[14.881] 霧月むげつ: こんばんは お疲れ様です
[18.209] tsubame5204: umeSalute
[2153.875] altec_____: forward down forward + punch will always do a dp
[2160.923] gajonaori: 横対戦での気持ちの入ったドライブインパクトを返すと隣から「すいません！」って言われること多いぞ
[2161.159] umetyaahan: もうウメハラも立派な最長老
[2167.770] shokugo55: スト5も出たばっかの時みんな大味って言ってた
[2174.978] erisuk: スト５のトリガーは大味以上のなにかだからな
[2177.765] ~MISSING_COMMENTER_INFO~: 大味でも良いよね
[2178.999] joseetigerfish: インパクトはだいぶ大味
[2179.304] kakutora_no_o: 素人目から見たら迫力あって面白いけどね…
[2180.398] yummycawa: tokido
[2187.431] altec_____: no mago
[2191.563] towai8: 深さもあるからただの大味じゃない
[2201.844] ミスターポポ: バーンアウトしても強いキャラは強いまんまよな
[2204.759] (S)ゴリゴリのゴリ: ある程度大味でいてくれないと、初心者には難しすぎます。
[2204.939] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2205.074] umetyaahan: スト5はトリガー一本の大味だけどね
[2208.419] あり0221: スト5は苦労したけど6は比較的簡単に勝てるわ。やっぱ攻めゲーの方が好きだわ。
[2208.686] (S)axchuuu: 見てる側は演出が楽しい
[2210.724] latenight000: まぁスト5から格ゲー始めた人からしたらショッキングかもねぇ
[2210.893] shokugo55: バクステの性能5に戻しても良くない
[2218.429] gajonaori: モダンはBO前提で火力出してBO時にSA1で守るって感じある
[2220.160] altec_____: it would be cool for japan if this year one of them won
[2221.135] roytaly: 攻め楽しい
[2222.819] ちぇんぷる: 立川がモダンの方が強いってツイートしてたね
[2223.667] (S)tabibitox: パリィ強すぎるし投げないとどうにもならん
[2225.015] ミスターポポ: ６は攻めのゲージがたくさんあるのがいい
[2229.694] かべ_娘は双子: ありがとうございます。個人的には自分よりうまい人にも攻めることができるからめちゃくちゃ楽しいです。
[2234.325] TEIKETTO: やってる側も演出気持ちいいよ
[2234.774] もひさん: 子供にもSF教えるのにもだんかクラシックがどちらが良いですか?
[2236.223] (S)hiro_chan: The main characters of manga all train steadily and become strong.
[2239.416] Machixile: しかも、もしモダンが主流になると小技にインパクト仕込む行動から大ダメージを食らうリスクから超待ちゲーになる可能性もあるし・・・
[2241.810] (S)gorogorogorn: 空中ヒットはマジで終わってる
[2242.512] (S)marvolo6: ライトゲーマーからすると多少大味なゲームの方がありがたい
[2243.248] umetyaahan: あんなにやったのに...
[2251.375] gajonaori: とりあえずスト６はクソオモロイので
[2258.435] ミスターポポ: なんならダイナミックで
[2262.984] (S)nacci516: やってて楽しいのは6な気がする
[2263.411] たかちゃん06: 動画勢だけどラシード楽しみ
[2265.875] Jeakfreet: ちびっ子がダイナミックで楽しめるスト6
[2267.573] altec_____: how many dp per day?
[2271.345] latenight000: 流行ってないゲームで俺世界最強ですって言ってもな
[2274.443] みょんみょんあかみ: 大味じゃないゲームってどんなんだ？
[2275.117] altec_____: one dp man?
[2279.218] trumyolo: jp won a lots of evo but failed cc cup
[2280.902] gajonaori: ドライブインパクトがランク上がっていくほど返せなくなっていく現象に名前を付けたい
[2282.459] Youhei6251: 5のころ、6は安易な逆転要素無くせって言ってたけど実際"安易な逆転"は無くなったですよね
[2284.318] altec_____: 100 dp per day?
[2291.186] あり0221: 5はガチの知識ゲー。ランク毎に必須知識をつけないと壁を越えられないみたいな
[2294.308] vslash00: インパクト端でヒットガードでフルコンボだけ、ちょっと緩和していいように思う
[2300.395] mujina627: ラシードはさわりますか？
[2303.049] ミスターポポ: アンチモダン派はまだアンチなのかな
[2303.356] (S)osarusan26: ランクマも５より上がりやすくしてるらしいですね。５だと勝率７０％ぐらいでマスターだけど６は５０％ぐらいでいけるようにしてるらしいです
[2304.034] trumyolo: 10k each day 
[2315.302] gingaman7: これなにやってるの
[2315.483] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[2318.415] mifune1046: 5は6と比べて試合時間が1.5倍くらい長く感じる
[2320.883] (S)gorogorogorn: CAだけで逆転普通に起きてるもんね
[2322.375] altec_____: it would be easier with a stik
[2323.396] セツリ: マスターリーグがあるからよ！
[2332.676] shokugo55: Vシフト欲しい
[2334.735] ミスターポポ: 総師範
[2342.224] mifune1046: マスターリーグがくるらしいですね
[2342.603] prisira: ５０％切ってもマスターいけるしなスト６
[2343.714] Machixile: 俺は息苦しいゲームより今ぐらいの大味さがある方が好きです
[2343.989] latenight000: そうだね、じゃないとむちゃくちゃやめると思う
[2344.390] NekkyOne: 45%程度でも行くらしい
[2355.504] 新ころりん: そらマスターリーグの為にマスターの数必要だからな！
[2355.541] towai8: ゲームも客商売だからさ
[2359.203] vaio_95: 勝てると楽しい、負けるとつまんないってなる人は多いだろうね
[2359.246] セツリ: マスター報告したいじゃんね ｆｐｓ勢はとくに
[2361.665] (S)bushman0913: マスター早くなり過ぎても辞めそう
[2361.919] twitchyarutch: 50%きっててもボーナスでいけちゃうのかな
[2365.564] (S)gorogorogorn: やればやるほど上がるの要らんよなあ
[2367.679] xxzoids: ウメちゃん、こういう色の服も似合うね。
[2370.821] ミスターポポ: マスター以上のランクは増えるんだろな
[2372.365] あり0221: 5で言ったらシルバーレベルの知識でも6はプラチナ行ける感じ
[2372.928] niemalsaufgeben: 課金ゲーおれTUEEEになれた日本
[2372.941] chin_56_: スーパーダークマスター
[2374.355] (S)romamaloico: やれば上がる方が人が辞めにくいのは間違いない
[2379.023] gajonaori: まぁ勝って50負けて40低ランクは連勝ボーナスありだからねー
[2379.044] デュララ: ゴールド以下が半数以上のVが厳しすぎた
[2380.274] CampFire71: 目先の数値が上がらないのはやっぱしんどいｗ
[2381.343] ~MISSING_COMMENTER_INFO~: ポイント上がらないと達成感無くてやめる人増える
[2381.808] (S)箸くれ: 達成感大事なので…
[2381.868] かべ_娘は双子: 負けててもポイント上がるから強く慣れた気がする（笑）
[2382.858] (S)nacci516: ビーストカップってストリーマーも出たりする？
[2391.609] (S)れの__: マスターリーグのレート制いいよね。ちゃんとプロの方がやりまくってるアマより上になってくれそう
[2393.712] battyo76: バトルハブがあるから特にランクも気にしてない
[2396.871] (S)しすてむえらー: 上と下とで実力差がありすぎるからランキング帯調整も難しそう
[2397.479] gondawaragon: 強さの指標になるのはマスターリーグとやらが追加されてからかね
[2398.425] 新ころりん: １ヶ月後のビーストカップは楽しみだ
[2400.206] gajonaori: まぁ実際強くなってはいるからそれで良い気もする
[2401.439] vslash00: このくらいの難易度じゃないと、萎えて辞める人続出すると思う。スト5ですら難易度高すぎたと思う
[2407.115] ミスターポポ: Vtuberってめちゃたくさんおるよな
[2417.569] umetyaahan: ビーストカップはたくさん参加してほしいなぁ
[2423.656] mifune1046: マスターリーグって段位戦みたいなことなのかしら
[2424.300] gajonaori: スト５のランクはほんま数こなさないと上がれないから、そもそも社会人にはキチイ
[2425.149] manasvin13: 数字が上がってくだけでうれしいって人も多いんだろうねー
[2427.057] ちぇんぷる: ビスチルのメンバー出てくれないかなー
[2434.192] prisira: ストリーマーとかは色々やらないといかんししゃーない
[2435.612] myokosuke: 「負け越してるなー」って状態でも、勝手にランクが上がって、もっと強い人とマッチさせられるの、ちょっとキツく感じてきました
[2436.922] (S)titilrin: タイマン競技なら7割いけば一流だったかな
[2437.191] TEIKETTO: 5かて勝率6割ちょいあれば時間の暴力でグラマスに行くことは可能だったよ
[2438.599] amirigolo: 壱ノ型 
[2439.468] (S)osarusan26: 時間かければ上がれるってのはぬるいかもしれないけどゲームって本来そういうもんだもんね
[2441.475] Machixile: スト6はコンボ周りは5より難しいけど、勝ちやすさは5より高いかもしれない
[2446.893] あり0221: 5は操作自体は6より絶対簡単。本当知識要求と受け身とか無駄な前提テクニックが多すぎた
[2449.461] ミスターポポ: 降格ないのがきつい場合もあるよね
[2451.074] umetyaahan: ビーストカップは1日でやり切る？
[2452.358] twitchyarutch: 参加は自由よね、オンラインだし
[2457.615] (S)nacci516: 案外オープンででかい大会少ないからビーストカップかなり楽しみ
[2458.492] (S)bushman0913: 梅さんから見て、スト6はどのランクから上級者ですか？
[2459.214] battyo76: ドンピシャさんマスターになりそうやん凄い
[2471.930] hs19840706: 関さん、葛葉さんもマスターに上がってましたね!
[2477.282] 90sArcadefighter: what's he doing just practicing DP? was doiing it the other day
[2494.828] いからし: 昇龍拳の音声が違って聞こえてきた。耳がマヒってきた
[2497.186] 90sArcadefighter: looking at spacing?
[2505.875] ミスターポポ: 人口比率で言えばダイヤから３％くらいだっけか
[2507.963] Machixile: 4はセットプレイ発表会で5以上の知識ゲーだったし、コンボ精度も今よりずっと難しかったイメージ
[2508.115] (S)nacci516: 原宿のじゃんがら、外国人観光客かなり多いですね
[2512.689] niemalsaufgeben: フロムゲーも海外の方がすごい売れてるし、日本はランクきついとね
[2514.309] gondawaragon: キャンセルラッシュ少なめにするの真似してみてるんですけど、どうやってダメージ取ればいいんですか？
[2516.400] ビフィダス: 上級者ってどういうことなんでしょ
[2527.320] プリズムパワー: 中足引っ掛けて奮迅竜巻 端運ゲー大味だと思っちゃう
[2528.429] lopanbigtrouble: ?
[2529.354] mifune1046: またBOCCHIというアイドルの方来るんですか！？
[2537.581] (S)titilrin: スト4のランクが上級者ってわかりやすかった気がする
[2538.099] latenight000: 上級者とは、なんなのか
[2540.230] ランジェリーバード: ウメハラさん、エボォで会えるの楽しみにしています。お互い頑張りましょう
[2544.406] roytaly: 上級者の上がプロ？
[2546.061] (S)gorogorogorn: 3％って言ってもエンジョイ勢込みだしなあ
[2551.317] (S)axchuuu: 上位何割とか？
[2553.965] lopanbigtrouble: Daigo, what u do?
[2568.499] ミスターポポ: プロしか上級者じゃないｗ
[2568.596] あり0221: 他のゲームだと基礎的なキャラ対くらいし始めて中級者って感じだけど
[2570.947] mifune1046: でもまだマスターは1％しかいません
[2571.057] ケツ洗い坂48: スト６のプラチナがスト５のシルバーらしいね分布的に
[2573.025] j_zima: j_zima subscribed with Prime. They've subscribed for 44 months, currently on a 4 month streak! 
[2575.891] (S)Ai_Ingu: umeYay
[2576.371] (S)Sgt_Rudolf: now I understand ...
[2577.973] (S)箸くれ: スライム
[2582.267] かべ_娘は双子: ストVのとき最後の年でハイタニさんが「今ダイヤの人は超うまいと思う」って言ってたな。あれで少し救われた。
[2584.529] chin_56_: 乳首
[2584.556] latenight000: 野球の上級者はプロ野球選手だけです！！（え？
[2585.735] apapa1031: ウメちゃんの定義でいうとかるびは上級者って感じ？
[2586.568] towai8: マスターあるけどこのゲームあんまりよくわからん
[2587.171] (S)Sgt_Rudolf: I got this daigo ..
[2588.840] vslash00: ももちは、スト5はゴールドから上級者みたいなもんってた言ってたことあったね
[2589.496] lopanbigtrouble: Lol
[2594.617] ぐぐっす: ストVはシルバーから歪みすぎてた
[2597.759] mifune1046: ミートの頭
[2598.094] (S)Sgt_Rudolf: should pratice on my own too .. THANK YOU
[2598.232] nihonsyu_: かるびちゃんももしかして上級者・・・？
[2610.913] ミスターポポ: 言うて普通の人が上のランクいくのけっこう勉強しなきゃだしな
[2613.609] 新ころりん: もしかしなくてもかるび上級者やで
[2615.383] (S)yashirospg: でもおれマスターいけてうれしかったよぉぉぉ
[2616.127] (S)axchuuu: かるびちゃんも上級者だね！
[2616.280] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[2619.151] (S)hiro_chan: Up until now, I've been Guile in hitboxes, so I didn't need to practice, but I need practice to issue the rising dragon command at any time in hitboxes.
[2622.256] ミスターポポ: かるびすげえな
[2627.470] あり0221: ダイヤ行けるのはすげえわ
[2630.324] jitajita: かるびダイヤいったの？
[2630.895] ケツ洗い坂48: グラップできりゃ上級者やろ
[2633.156] ~MISSING_COMMENTER_INFO~: え？ダイヤ行ったの？
[2633.966] (S)nacci516: かるびかなり人狼やりたそうじゃなかった？
[2636.244] ぼんじゅ: 今回LP無限に増えるから何目標にすればいいかわからん
[2636.417] prisira: プラチナじゃない？
[2637.178] inpma555: スト４はセビ滅できるかどうかで言われてた
[2638.465] saibabasan: 行ってないよ
[2639.112] mifune1046: え！？プラチナでしょ
[2640.251] たかちゃん06: かるびまーじ 
[2642.491] (S)ましゅダヨ: カルビすごいじゃん！！
[2643.429] 天然ベニテングダケ: こんばんは
[2644.967] みょんみょんあかみ: カルビちゃんは光だなぁ
[2648.971] 霧月むげつ: かるびはゴールド・プラチナいったりきたりでしょ
[2650.791] prisira: かるび最近忙しいからやれてないと思う
[2650.937] (S)marvolo6: かるびはたぶんプラチナ
[2652.081] roytaly: 実際プラチナで嘆いてる人たくさんいるよね
[2653.791] 000105: 逆をいうとクラシックの上達の遅さって問題だったんだなぁ
[2658.156] saibabasan: 人狼は自信あるって言ってる
[2658.457] higashi350: higashi350 subscribed with Prime. They've subscribed for 36 months! 
[2658.628] セツリ: シグネーターでは人狼やりたそうだった
[2659.092] CampFire71: ストリーマーの人たちは忙しいのにすげえわ
[2659.641] erisuk: スト６は知識なくてもなんとなくでランクあがるから特にラインがわからん
[2661.513] (S)junjamaica: こく初心者コーチングでいきいきしてる
[2661.520] xxzoids: かるび、音ゲー出身らしいね。
[2663.017] ミスターポポ: プラチナ１あたりが壁だと思う
[2663.982] rinze_chan: 俺5はスパプラで、6はマスターだな
[2666.525] umetyaahan: マダミスとか見たい
[2668.685] (S)Sgt_Rudolf: umeGoat
[2669.604] vslash00: オンライン以前以後で定義変わってそう。今のゴールド・ダイヤとかは昔のゲーセンで考えたら村勇者できそう
[2671.098] Machixile: ダイヤ行ったのはSHAKAさんとかじゃない？
[2671.836] 潮騒ちゃん: 関さんマスターいったんすごい
[2681.548] ~MISSING_COMMENTER_INFO~: ゴールドプラチナの狭間にいる人が多いんだよね
[2684.291] 90sArcadefighter: kill JP!!! 
[2689.112] vaio_95: 人気ストリーマーは企画もの参加すると長いこと拘束されるから大変だ
[2690.115] セツリ: うわぁあ
[2691.419] chin_56_: 目がぁ
[2691.724] x_abu_xx: プラチナで連勝ボーナス無くなるからプラ1が沼になってる
[2692.532] (S)箸くれ: 目がァ！！！！
[2693.870] かべ_娘は双子: 関さんまじすごいわー ストVのガイル観てたから余計すごいと思った
[2694.051] (S)gularain: 目が～～
[2694.331] 新ころりん: 梅ちゃん眼科で目薬貰ってこよう
[2695.140] 天然ベニテングダケ: プラチナ帯になってから立ち回り分からんって嘆いてたかるび
[2695.571] (S)axchuuu: 無理しないでください
[2696.261] mifune1046: スカルやって欲しいですね
[2696.378] (S)echizen2000: メガシャキ
[2696.432] みょんみょんあかみ: かZOOの子でも人狼やりたいって言ってたなカルビちゃん
[2697.033] Nanafushi_san: ロートさ〜〜〜ん
[2697.673] (S)besser_org: ムスカ？
[2698.584] ちぇんぷる: 目がーーー
[2698.869] CampFire71: ムスカ
[2699.337] twitchyarutch: ムスカ
[2699.386] (S)天之麻グロロ: 目薬ほしいな
[2699.661] higan1983: 目が～
[2699.872] icyblue1985: 関さん葛葉さんはマスターか
[2700.406] underground0714: ムスカ
[2700.756] matsu_zalem: ムスカか
[2700.909] ebismine47: 大佐！？
[2701.568] いからし: 回数でやってんの？時間？
[2701.849] (S)ゴリゴリのゴリ: プラチナやたら同じ人と当たるんですが、プラチナ3･4あたりって人少ないんですかね
[2702.813] (S)nacci516: あれ、メガネまだ来てないのか
[2702.876] v_harumi_v: あまり寝れてないんですか？
[2703.604] jhkkhfdathvd: 目がーーーーーーーーー
[2704.177] yogaotoko: ムスカいたぁ
[2704.988] taro0140: 目があぁぁぁ
[2705.002] (S)ましゅダヨ: ムスカ
[2707.890] lopanbigtrouble: Gotta do it from both sides
[2708.151] latenight000: マスターはまぁやってればいく（上級者ﾄﾞﾔｧ
[2708.809] (S)hiro_chan: 時間
[2709.837] (S)axchuuu: ココブルー買いますか…
[2713.962] hal0302: ここで取り出すのはロートZ
[2714.798] (S)あばたあ: umeFail
[2715.034] (S)junjamaica: アイマッサージャー買ったらいい、あれめっさ楽になる
[2717.417] だいこん_: 目がぁぁ目がぁぁぁぁぁ
[2719.248] (S)gorogorogorn: さっきの流れでしょｗ
[2719.413] icyblue1985: バルス！
[2720.954] suzukisuzu: ロムスカパロウルラピュタ？
[2721.538] chin_56_: バルス！
[2722.709] (S)Sgt_Rudolf: @90sArcadefighter hello my brother soldier! 
[2723.142] latenight000: 3分間待ってやる
[2725.810] (S)箸くれ: ハヤオはスゲエや
[2726.443] underground0714: ゴリアテを呼べ！
[2727.125] nikkou18: ロートZマンたすけてー
[2727.555] CampFire71: 他に誰いる？
[2728.262] ちぇんぷる: はやおー
[2729.277] erisuk: 逆に他にいいない
[2730.058] (S)marvolo6: go1さんにメガネ借りますか
[2730.172] みょんみょんあかみ: 花粉症のときはムスカになる
[2730.703] セツリ: ここでハヤオに戻ってくるとは
[2731.709] 不渡哲也: はやおの話してたばっかだし…w
[2732.923] (S)titilrin: 蒸しタオルマジ効くっす
[2737.350] 157655: 駿に戻ってオチつくの草
[2737.351] niemalsaufgeben: ムスカは王になれなかった
[2738.645] saketyazu: むしろムスカ以外にだれかいたっけ？
[2738.768] レム__: ON
[2739.176] (S)gularain: 温めた方がいい場合と冷やした方がいい場合あるみたいですね
[2740.130] (S)maya_g01: オン！！
[2740.858] mifune1046: メガネ掛けると眼精疲労も減るよ
[2741.075] umetyaahan: オン！！
[2741.259] yomogi0610: 蒸しタオル目に当てると気持ちいいですぞ
[2745.126] (S)hiro_chan: Just finished the other side
[2749.945] (S)ましゅダヨ: ムスカやなあ
[2751.445] lopanbigtrouble: Ah
[2752.595] (S)ochoko0731: ochoko0731 subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! 
[2754.499] ~MISSING_COMMENTER_INFO~: 🤓ロック…オン…
[2755.928] Machixile: ここでアイスアイマスク？でも買ってきた方がいい
[2756.457] ぶどうぱん: なんかの折にラピュタちゃんと見ると超面白いもんなぁ
[2758.219] vaio_95: さっきまでボロクソ言ってた駿に育てられてんだな結局
[2758.454] ちぇんぷる: ホットアイマスクみたいなんいいよ
[2760.765] chin_56_: どこへいこうというのかね
[2762.919] (S)ましゅダヨ: ON！
[2762.947] みょんみょんあかみ: ホットタオルが置いてあるゲーセンは神だった
[2766.239] twitchyarutch: 蒸気でアイマスクってやつか
[2766.645] ジャンクばっち: ムスハラ
[2774.432] mifune1046: ウメ眼鏡は来月ですか？
[2774.725] mikaze0001: 「シータの決意」好き
[2775.200] umetyaahan: 蒸しタオルって肩に乗っけても目に乗っけてもマジ気持ちいいしマジで神
[2775.862] (S)Sgt_Rudolf: GeneralsArmy insiders .. cool innit?
[2778.967] lopanbigtrouble: "I don't have time to play"
[2779.367] (S)箸くれ: 角膜修復する目薬買お
[2779.697] (S)ましゅダヨ: 流行りの服は嫌いかね？
[2792.312] 新ころりん: あずきのチカラは愛用してるわ まじ疲れ目に効くし
[2798.047] ミスターポポ: ゲーミングメガネつける人増えるのかな
[2800.059] (S)junjamaica: 充電式のアイマッサージャー今5000円ぐらい
[2800.558] twitchyarutch: もうすぐ出来上がるらしいですね
[2800.838] jhkkhfdathvd: 大きくしませんか？
[2800.895] danny_love_danny: 鯖江で仕上げってすごいね
[2807.992] (S)天之麻グロロ: 失礼かもしれないですが まだ老眼ではないですよねぇ
[2808.226] roytaly: 今日オシャレですね
[2813.854] (S)ましゅダヨ: 高い目薬はやっぱ効きますぜ
[2816.204] 000105: アールさんショックで忘れてるのかな？
[2816.489] saketyazu: 寝るときに蒸気でホットアイマスク最強
[2817.590] ebismine47: え？cocoハラ？
[2818.421] 真輝ちゃん: 視力は良い方ですか？
[2818.438] xxzoids: ウメちゃんもブルーアイズになるか。
[2818.558] クレシー: GO1さんのやつ？
[2823.545] mifune1046: さすがに眼鏡遅すぎないか…
[2824.731] (S)titilrin: ワインレッド
[2826.981] ジャンクばっち: めぐリズムさいっきょ
[2827.851] (S)axchuuu: お似合いですよ
[2828.753] 新ころりん: 何時もは黒いからイメージが違う
[2829.193] v_harumi_v: ロゴがお洒落よ
[2830.769] umetyaahan: おっきくなったぁ！
[2831.118] ミスターポポ: いい色してる
[2832.186] Machixile: 目の疲れなんかよりオッサンには飯食った後めちゃくちゃ眠くなる方がキツい ソースは俺
[2833.180] sabaibaru: レッドブルの服
[2834.564] romuro001: あずき色のシャツですね
[2835.052] magic2021: ブルシャツ
[2835.232] vaio_95: 赤色似合うね
[2837.535] (S)箸くれ: そのシャツ買えるやつ？
[2838.335] danny_love_danny: いい色だよ
[2839.477] (S)bushman0913: 似合うなぁ
[2839.742] ちぇんぷる: ウメちゃん赤似合うね
[2841.312] (S)tabibitox: ブルって書いてある
[2841.434] (S)octo_56: かっこいい
[2842.323] (S)gularain: いい色
[2842.751] icyblue1985: かっこいい
[2843.349] (S)maya_g01: いいお色よ
[2843.633] nen_100: クリムゾンウメハラ
[2844.505] ぷりにゃん: ・・・！
[2844.659] ima_son: アルファタウリ？
[2845.796] (S)hiro_chan: 今日のウメちょんお洒落
[2849.740] omochi09: いい色してる
[2850.864] v_harumi_v: 似合う
[2852.265] (S)axchuuu: いつもより顔色が良く見える
[2853.318] careful_crab: RedBull ™️
[2853.968] manasvin13: 大人っぽい色
[2854.275] tsukikage_saga: ぷげらさんがこの前、インターネットの反応速度測定やってあまりいいタイムが出なかったんですけど、ウメハラさんはこういうのやったことありますか？
[2854.366] niemalsaufgeben: あらオシャレ
[2855.230] xxzoids: さっきも言ったけど、その色は似合ってる。
[2857.178] ミスターポポ: それ売ってる？
[2858.311] (S)hiro_chan: ファミマの服？
[2859.207] jhkkhfdathvd: うめさんはいつもかっこいい
[2861.210] (S)ましゅダヨ: まじかれっどぶるしゃれてるー！
[2862.767] umetyaahan: 暗い赤好き
[2866.455] ima_son: あ、普通にブルでしたね
[2867.230] koro3__: ウメさんえんじ色似合いますね
[2869.649] suzukisuzu: 痩せたらイケオジになれる
[2874.389] higan1983: 今年からメガネかけ始めました
[2877.746] (S)ましゅダヨ: あ、ほんとだ
[2878.526] tsukikage_saga: ウメハラさんにもやってみてほしいｗ
[2879.570] ぷりにゃん: マーダーファッション
[2881.245] v_harumi_v: レッドブルって色々お洒落ですよね
[2882.591] ジャンクばっち: ブルのシャツ何枚くらいあるのかな
[2884.183] mifune1046: サイズもちゃんと合ってる！
[2884.360] (S)romamaloico: ユニフォーム新しいの作ったりしないの？
[2885.658] みょんみょんあかみ: ごーちゃんは蒼の力でスピード上げてたな
[2888.427] (S)esutark: ときどふ〜どももちかずのこを漫画のキャラで例えてください
[2890.214] ima_son: 痩せてなくてもイケオジだろ！
[2891.860] (S)hiro_chan: ブルレッド
[2893.193] umetyaahan: 今まで見た中で反応一番やばかったのって誰？
[2893.975] みょんみょんあかみ: ぬこ
[2900.769] ビフィダス: 漫画のキャラ？
[2906.250] elatedbonsai575: hi.
[2907.605] saketyazu: レッドブルのロゴ格好いいよね
[2908.598] v_harumi_v: ウメちゃんはイケオジだよ～
[2911.996] (S)axchuuu: イケてるってよりかわいい気もする
[2917.779] ビフィダス: かわおじいいな
[2920.915] v_harumi_v: かわいさも兼ね備えてる
[2921.831] (S)maya_g01: かわおじ～
[2924.353] elatedbonsai575: kingre39CammyCheer
[2929.261] (S)titilrin: 反応おばけの三ちゃんは一番すごいのシャオハイと言ってたな
[2930.299] mifune1046: ミルダムTシャツはサイズが…
[2933.933] (S)ましゅダヨ: かわおじわかるw
[2943.677] あり0221: ウメちゃんは試合中がかっこいいから普段はかわいくていい
[2973.628] (S)axchuuu: 予想屋の時は怖いけどね
[2975.143] jhkkhfdathvd: マッサージチェアどうなりました？
[2975.301] (S)こんぽち: ネコ元気にしてますか
[2985.883] omochi09: ベースやってる？
[2986.556] matsu_zalem: ふーど氏はドクターヘド似
[3000.976] umetyaahan: マッサージガン気持ち良すぎてやり過ぎたら揉み返しになったから気をつけて
[3003.632] 新ころりん: 置く場所で悩んで って話だったね前
[3009.217] roytaly: ベースそろそろ次のステップ行きたいね
[3010.999] jhkkhfdathvd: 買うみたいな事言ってませんでした？
[3013.590] ぷりにゃん: アケコン片手にオラオラしててほしい
[3027.877] tsukikage_saga: えいたさん、男塾の３できた？
[3030.532] gondawaragon: ベース上手くなったら発表会ある？
[3031.748] saketyazu: ベース練習配信まってる
[3035.728] Nanafushi_san: ベースの進捗でミートさん襲来とかしたりしてるんですか？
[3056.917] (S)axchuuu: ベースと言えば小指ストレッチしなきゃ…
[3060.871] nen_100: マッサージチェアをそのままゲーミングチェアにしよう
[3064.512] prisira: ミートさんも忙しいし大変だよね
[3065.177] burisuke: 今座ってる椅子の横側めくれてたよね？新しいの買わないの？
[3065.918] umetyaahan: ほらほうよ
[3070.397] saibabasan: マッサージガン小さすぎない？ｗ
[3071.852] saketyazu: オンライン講習！すご！
[3071.954] ちぇんぷる: さすがにねー
[3073.314] v_harumi_v: ですね
[3073.480] koro3__: それ血行良くなりそう
[3075.036] blackcoffee0821: ロボ
[3075.199] (S)hiro_chan: ミートさんオンラインレッスン始めたね
[3075.911] battyo76: 10先トナメ含めて企画はEVO終わってからか
[3076.198] (S)haicro_zm: 声が
[3077.358] ~MISSING_COMMENTER_INFO~: 声揺れてる
[3079.007] (S)bikibiki999: 声がﾌﾞﾙﾙｗ
[3082.134] matsu_zalem: メンおじ印のマッサージガン
[3085.208] ruruyama0108: ベースは格ゲーにいきてるの？
[3085.227] みょんみょんあかみ: そういやミートさんスーパーカップ39秒切れるらしいじゃん
[3087.227] ~MISSING_COMMENTER_INFO~: www
[3098.540] roytaly: おや
[3098.893] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[3099.533] たかちゃん06: ゲーミングPC買ってスト6始める予定の僕に激励の一言お願いします
[3102.905] tsukikage_saga: ラスベガスはもう満喫してみるところないですか？
[3103.331] chinkalahoi: ほほう
[3105.188] (S)axchuuu: ライバルですか…
[3106.692] mifune1046: ほんとか～？？？
[3107.058] (S)こんぽち: 早食いの聖戦くるか
[3107.398] burisuke: なんだと・・
[3107.576] (S)maya_g01: ほーん
[3109.613] erisuk: イキリデブ
[3109.808] (S)gorogorogorn: ウォーターベッド マッサージの知ってる？
[3111.835] ちぇんぷる: ほんとぉ？
[3114.551] hanzou3: スーパーカップ王決定戦くるか？
[3114.704] enuemu3: なるほどね
[3120.039] あり0221: たけし…挑むのかお前？
[3125.914] kaomoji3: がんばぇ〜
[3126.338] たかちゃん06: ありがとうございます
[3134.225] lucia_morgan: 対戦中にゾーンに入った時って、自分でも分かります？
[3135.011] mifune1046: エースコックがリツイートしてて笑った
[3137.822] 新ころりん: スーパーカップはエースコック公式TWが反応してたね 梅ちゃんの早食い
[3138.068] taro0140: 動画あげてもらわないと！
[3143.083] ~MISSING_COMMENTER_INFO~: おぼと言い挑戦者増えてきたね
[3143.417] みょんみょんあかみ: そのうちやるって言ってました
[3154.265] kazurock69: ウメさんこんちは〜
[3161.184] ケツ洗い坂48: 血糖値スパイクとか怖くない？
[3169.966] saketyazu: 始まるのか…早食い決戦…
[3171.879] 今井みどり: それってギアですか？
[3176.408] burisuke: おぼとミートとわからすか？
[3178.479] chin_56_: スーパーCUP開催
[3182.536] CampFire71: ギアをね
[3189.346] (S)gorogorogorn: おぼは見たんかねえ
[3192.608] (S)hiro_chan: ギア5
[3193.108] (S)maya_g01: ギアではない
[3197.405] degajun: ギアってなに？
[3199.578] kaigaizei: 集中力を上げたか？
[3199.733] hal0302: ギアを上げ・・・てない
[3199.903] (S)tabibitox: ギアはありまぁす
