[32.079] れいとろん: にちは〜
[2789.677] (S)港区ザンギエフ: テイテイ!(マイナンバーカード連携)
[2789.969] shikokuzei01: そりゃ獄炎島の維持費よ
[2792.541] dejiru: スマホ料金とかあるしな
[2793.475] unimel1x: うぬら、今日はスイカが安いぞ
[2794.742] salvere_66: おつです。今日開始早いですね！
[2799.470] seven_bluewave: こんちゃー
[2801.871] (S)sysysysy: あの大仏壊すたびに作り直すのに金が要るんじゃあ
[2807.379] ishiya007: 気になるやん朝に税務署並んでる豪鬼とか
[2812.432] 蒼い人: ストのキャラっていい仕事してたり結婚してるやつ多いんよな
[2815.867] (S)あしゅりーぬ: どぐにゃんジョーカーのことマーベルって思ってそう
[2817.654] (S)ひろし1357: パニカン投げ避け
[2821.718] kuuderia: ひなーのどぐザンギがトラウマになって昨日ザンギに流されてたよ
[2822.218] (S)mukubado2: Wi-Fi代払わんといかんからか
[2822.656] siba1ken: 豪鬼は阿修羅で税務署すり抜けるよ
[2824.789] 春詩音: 確！定！申！告！ドンッ！
[2827.271] (S)港区ザンギエフ: うぬ、今はe-taxの時代だ
[2832.579] gftakataka: スマホあるならe-Taxでやってるだろうな
[2833.615] kaeruseijin1008: リュウはファイトマネーとかで金持ってるだけで実際無職だからよ
[2837.372] ポップマンです: 豪鬼の納税事情まじでおもろいww
[2839.961] zackz_fair: 豪鬼は獄炎島に迷い込んだ子供を助けたりする一面などがありますって見た記憶がある
[2841.693] tsumu0322: 今日はコーチングない感じですか？
[2843.775] しぼみ: うぬ、つみたてにぃさをはじめよ
[2843.913] saddle_67: ひなーの課題がわからんて言ってたから、リプレイかなんか見て教えるのがええかもやねぇ
[2846.417] risa_rice: 生産者の顔が見える野菜で豪鬼が写ってるのとか買いたくない……
[2851.827] acis012: オタクなのでニンジャバットマンと異世界スーサイド・スクワッドしか見る気がない
[2854.223] (S)港区ザンギエフ: うぬ、e-taxを知らぬのか？
[2854.717] (S)mukubado2: 確定申告する豪鬼おもろすぎやろ
[2855.338] dejiru: うぬ、今月はギガが足りぬ...
[2857.706] anakonda2022: ほ、んだ
[2859.241] カンラク: 税理士さんにこの領収書はどういうことですか？って聞かれてる豪鬼見たい
[2864.735] yoshikawa_yo: 優しさ
[2864.936] ポップマンです: ひなーの頑張ってるよ
[2865.473] 蒼い人: 豪鬼はパラレルパラダイス読んでるらしい
[2867.967] (S)コムコムぽん: cagdogOtu
[2870.270] alfredpeter911: ぜひ教えてあげてほしい
[2871.014] seven_bluewave: ひなーののモチベーションを後方ベガ立ちおじさんが削ってないか心配
[2871.716] こすもどりっぷ: ２４時間生駒サービス
[2871.870] unimel1x: メルエム豪鬼
[2874.758] kitakitatata: 昨日Mルークで初マスターいったんですけどマスターいってから意識するべきことみたいなことってありますか？
[2877.806] tkgnotamago: うぬ、がめきょしろ
[2878.263] (S)あしゅりーぬ: ひなーのスト６はまってるねェ
[2881.372] acis012: モダンエド専門家のどぐーら
[2881.532] しぼみ: 生駒ホットライン
[2885.228] kakeru4100: ひなーのはコメントノイズにイライラしてた
[2885.628] カンラク: マスターおめでとー
[2889.699] acis012: ハッピバースデーう～ぬ～
[2889.897] yuuki_souga: 豪鬼が現れたら税理士さん腰抜かすわw
[2891.002] ishiya007: うぬ、LINEやってる？
[2895.049] kaeruseijin1008: Mルークニキマスターおめ
[2895.176] ポップマンです: ひなーののベガ立ちおじさん達はすごい優しい感じでした
[2895.648] (S)港区ザンギエフ: これは仏像の修理用の…
[2896.221] saddle_67: パラレルパラダイスって一般誌でええんかあれ
[2896.599] siba1ken: 我、料理の献立をしりえし者
[2898.193] サケ缶: うぬ、コクという男からカキカキパクるなと言われた
[2901.401] shikokuzei01: 税を極めし者
[2909.260] dejiru: いろんな人がスト6始めるみたいでイベントの匂いを感じる
[2912.157] ~MISSING_COMMENTER_INFO~: 格ゲーでイライラしないわけない
[2916.495] 蒼い人: ズームで寝転んでる状態で会議する豪鬼
[2918.562] seven_bluewave: 『うぬ』って言うとラオウっぽくならん？
[2920.998] (S)yamaasira: ジャンプからの攻撃もっとしたほうがいいよって言われて教わってないってキレてたの良かった
[2921.231] (S)港区ザンギエフ: 確 定 申 告
[2921.861] risa_rice: 我、今日の夕食を知りし者
[2930.060] tsumu0322: CRカップスト6あるよ
[2932.201] 春詩音: 豪鬼「医療費控除を…」
[2933.016] neon00143: 豪鬼、トラック壊すバイトしないか？
[2934.902] (M)(S)まめスパ: リモート面接でたぶん寝転んでる豪鬼
[2934.976] しぼみ: 第四回CRカップの先鋒枠どこから探せばいいんだろうな
[2940.369] (S)港区ザンギエフ: 背中に税の字が浮かぶ豪鬼見たすぎる
[2950.078] ポップマンです: 豪鬼妄想捗ってるなぁw
[2952.728] カンラク: 豪鬼水飲んでもらえる？
[2956.225] saddle_67: 我、ケンを極めし者…リュウなど使っているから負けるのだ…！！
[2961.229] kuuderia: ひなーの格ゲー2日目にしてちゃんと勝てる相手に勝てるようになってて驚いた
[2963.753] 蒼い人: 君寝転んでるよね？ちょっと瞬獄殺撃ってみて？
[2966.339] risa_rice: 毎年年度末に現れる納税豪鬼
[2966.446] siba1ken: うぬ、ちと税金が高すぎやしないか
[2969.752] (S)mukubado2: うぬ、明日暇？
[2970.854] (S)港区ザンギエフ: あの〜豪鬼さん、履歴書にある殺意の波動というのは〜…？
[2974.475] なべつよ: 一瞬納税
[2977.583] しぼみ: 我、御社の企業理念に感銘を得たり…
[2981.292] azu_maru: 豪鬼がスマホ持ってる姿がどうしても想像できないから連絡は矢文で来ると思ってる
[2987.911] (S)sysysysy: 子供を取り込むならマイクラ界隈の有名人とかじゃない
[2989.062] こすもどりっぷ: 対空出して偉いのに咎められるフーリガン
[2990.172] yuuki_souga: この前あにまーれっていうV事務所もスト6の初心者大会やってたしなんか流れがまた来てる気がする
[2994.963] (S)港区ザンギエフ: 我、日月はバイトに入れぬ
[3010.483] tkgnotamago: 豪鬼がスーツ着て電車乗ってるのとか想像したら笑う
[3012.830] ishiya007: 我、去年は参戦がなく収入がないため住民税がきつい
[3014.507] cwjiwe92faw: 豪鬼って明日も休みなのかな、いいなぁ
[3015.739] unimel1x: うぬ、この日しふと入れぬか？
[3022.309] ささみ橋: 豪鬼がレジにいたらクレーマー逃げ帰りそう
[3030.717] siba1ken: バイトにシフト聞く豪鬼草
[3034.543] kusarin3: 予定納税に苦しむ豪鬼は草
[3035.361] (S)港区ザンギエフ: うぬ、この日本語が読めぬか
[3044.616] 蒼い人: 豪鬼くん分からんことあったらいつでも聞いてね 豪鬼くん、これ前も言ったよね？
[3045.057] サケ缶: 中間管理職豪鬼
[3045.277] dejiru: 一発三万 確定申告 貯金零円 我豪鬼也
[3046.630] risa_rice: クレーマーどころか普通の客も寄り付かなさそう
[3046.697] しぼみ: うぬ、年齢確認をせよ
[3048.417] フレンドリーマーキュリー: 殺意の波動は資格なのか特技なのか
[3052.612] miyazawatahu: 万引きしようとしたら瞬獄殺の動きで追いかけてくる豪鬼…
[3055.037] kitakitatata: 豪鬼は戦闘以外のことだったら何やっててもおもろそう
[3056.228] tkgnotamago: うぬ、給料を上げよ
[3059.146] ブランドール: クレーマー対策豪鬼おもろい
[3059.341] 地球最弱を継ぐもの: 陽キャバイトにいじめられる豪鬼
[3065.466] なべつよ: 満員電車に揺られる豪鬼
[3071.030] こすもどりっぷ: うぬ、ボーナスとやらはまだか
[3072.169] shikokuzei01: 豪鬼さん、阿修羅使えるから時給良さそう
[3073.302] oreyuta: 豪鬼ってなんか仕事してなかったっけ
[3074.007] siba1ken: 大丈夫豪鬼は店主だから
[3076.747] ささみ橋: 万引き犯は阿修羅で追っかける
[3084.460] モドキ: 豪鬼ＬＩＮＥネタ好き
[3085.374] (S)コムコムぽん: 特技は殺意の波動とありますが？
[3086.412] ポップマンです: 張り紙に万引きしたら豪鬼が追いに行きますなの怖ないか
[3087.226] alfredpeter911: 殺意の波動を職場に持ち込まれては困ります
[3087.812] miyazawatahu: 面接官「殺意の波動が弊社の役に立つのですか？」
[3091.122] risa_rice: ふつーに早歩きしたらおいつけなさそう(瞬獄殺で追いかけてくる豪鬼
[3095.194] テンカワ: 豪鬼は野菜売りしてる
[3096.853] カンラク: 阿修羅で品出しして
[3101.517] ブンタ3: うぬ、パートナーを嫁と申したか？
[3101.987] unimel1x: うむ、くれぇまぁを我の殺意で追い払う
[3103.385] 春詩音: 品出し千人でやったら一瞬やね
[3112.089] ポップマンです: ﾇｰﾝ(レジオープン)
[3118.677] tkgnotamago: (万引き犯に)一瞬千撃！！
[3123.371] risa_rice: 一瞬品出
[3129.657] なべつよ: 殺意のレジ打ち
[3132.215] kitakitatata: 一瞬レジ打ち
[3135.624] ガルポ大統領_はやぶさかな: どぐらさんこんばんは～
[3136.136] kaeruseijin1008: うぬ、あたためますか？
[3141.392] 蒼い人: しゃくねつ！
[3142.171] risa_rice: レジ壊れない？
[3142.711] (S)港区ザンギエフ: うぬ、我のレジ打ちが遅いと申すか？
[3143.202] (S)田中脊髄剣田中: 豪鬼「秘密結社の近くで露店商を営んでいました」
[3143.723] ishiya007: 一品千円
[3150.076] しぼみ: 23番では要領を得ぬ、銘柄で申せ
[3150.820] (S)iwap0n: あ
[3153.704] cwjiwe92faw: 豪鬼社会人だったんだ…
[3156.820] acis012: ｿﾞﾝｷﾞｴｰﾌ
[3158.128] サケ缶: うぬ、ストローは紙で良いか？
[3162.083] モドキ: うぬ、ポケットの中身を見せてみよ
[3167.354] (S)港区ザンギエフ: ザンギきた
[3176.122] tkgnotamago: うぬ、レジ袋はいるか？
[3184.615] (S)田中脊髄剣田中: うぬ、レジ袋はいらぬか？
[3184.666] ポップマンです: コンビニバイト豪鬼の世界線もあったかもしれない
[3186.630] unimel1x: うぬ、この弁当は温めるか？
[3190.459] (S)港区ザンギエフ: うぬ、もうドラムは品切れだ 他の部位から選べい
[3191.885] miyazawatahu: （ご一緒に）ポテトはよいか！？
[3193.682] aba0704: リュウ
[3195.555] kaeruseijin1008: このザンギは何区のザンギだ？
[3198.884] 春詩音: 千！客！万！来！ドンッ！
[3202.191] ブンタ3: うぬ、半額シールはまだ貼らぬのか？
[3204.205] (S)鉄板: 豪鬼がまっとうな社会生活してると思うとなんか面白い
[3209.557] (S)田中脊髄剣田中: うぬ、お支払いは現金と申すか
[3209.702] neon00143: セルフレジの使い方教えてくれる豪鬼
[3211.225] risa_rice: 荒川区のザンギ
[3213.667] しぼみ: うぬ、ここになければ無い、諦めよ
[3213.705] (S)さとチャ: タイミーをつかう豪鬼
[3213.865] (S)港区ザンギエフ: 多分墨田区
[3214.914] ブランドール: どこのザンギだろうか
[3215.969] kakeru4100: 今のヌルっとキモかった
[3220.176] yuuki_souga: なんで豪鬼コンビニやねん、阿修羅とか百鬼使えるんだから引越しバイトしろ
[3223.236] なべつよ: うぬ、今ならななチキ2個で100円引きだぞ
[3223.416] カンラク: リュウよりかはちゃんと働いてるイメージ浮かぶじゃんねぇ
[3239.456] モドキ: 豪鬼って青果店とか営んでなかった?
[3240.802] こすもどりっぷ: うぬ、我では対応できん。経営者を呼んでくる
[3240.896] tkgnotamago: うぬ、レシートはいるか？
[3243.718] miyazawatahu: 仙人みたいな生活しててほしくはある
[3244.628] kitakitatata: 最近ザンギとかガイルよりエドのほうが勝てない
[3247.393] (S)港区ザンギエフ: 我、半額弁当を求めし者なり
[3248.806] risa_rice: たかしはラーメン屋開業しただろ！！
[3249.419] (S)ポコ二ャン: 茶碗にご飯を盛る豪鬼さん
[3253.094] unimel1x: 豪鬼はくだもの屋さんだけどいまみんなコンビニバイト豪鬼で盛り上がってる
[3254.796] (S)田中脊髄剣田中: 多分引っ越しバイトは百鬼派生で家具壊してクビやろ
[3256.853] miyazawatahu: エド好きねえ
[3257.629] ishiya007: ラーメン屋とコンビニバイトどちらが高みか
[3266.420] dejiru: うぬ、お先に九千円のお返しだ、確認せよ
[3278.987] tkgnotamago: 未だレジ打ちもできぬか、未熟者めが！
[3281.809] risa_rice: 丁寧なのか粗雑なのかw
[3289.588] (S)港区ザンギエフ: 1.2.3.4.5.6.7.5.9...確かに確認したか？
[3291.463] neon00143: ストリートファイター ラーメン屋のリュウ／コンビニバイトの豪鬼
[3295.857] shikokuzei01: 電子マネーの残高が足りぬ…
[3301.399] risa_rice: そこの棚に無ければ、あらず！！
[3306.819] モドキ: バックヤード見てくんないのかwww
[3306.848] (S)港区ザンギエフ: ちやーじするか？
[3307.126] toto3210119: はいクレーム
[3307.130] (S)さとチャ: 豪鬼に品物あるか聞けねぇ～
[3314.212] unimel1x: ぺぃぺぃとやらには対応しておらぬ
[3317.430] ishiya007: うぬそれは500ウォン硬貨だ
[3323.329] ねっし: 童、100万円のお釣りだ
[3325.163] サケ缶: うぬ、商品名ではなく番号を申せ！！
[3329.063] 春詩音: 我、接客を極めし者！
[3329.123] しぼみ: うぬ、雑誌の立ち読みは控えよ
[3329.536] tkgnotamago: うぬ、Tポイントカードはあるか？
[3331.962] aba0704: リュウ
[3334.047] カンラク: Suicaの残高が足りなくて改札に止められてる豪鬼の画像ください
[3335.801] msyyy: 我、品出しを極めしもの…
[3346.396] ガルポ大統領_はやぶさかな: 我、発注ミスを極めし者
[3351.265] なべつよ: ラッキーストライクのボックス下さい
[3358.851] zackz_fair: 豪鬼に〇〇ありますか？って聞いたら無言で立ち去って商品を持ってきてくれそう
[3359.816] shikokuzei01: 真面目にレスするとコンビニは数量限定品多いから棚から無くなったら終わりって物も多い
[3362.133] ねっし: 豪鬼の野菜をブラックカードで払おうとするリュウ
[3362.372] (S)港区ザンギエフ: マイセン！って言うディージェイVSコンビニバイトの豪鬼見たい
[3364.441] risa_rice: ミスを極めないでください
[3368.863] unimel1x: うぬ、銘柄ではなく番号で申せ
[3372.218] naryuhama: お世話になります。拳を極めしものです。
[3375.392] (S)田中脊髄剣田中: うぬ、棚卸の日は休むと申すか
[3381.720] risa_rice: DJマイセン吸うのかwww
[3383.314] saddle_67: 白か、青かどっちのボックスかはっきりせい！！
[3388.996] tkgnotamago: うぬ、迷子センターでたかしくんが待っておるぞ
[3389.256] shikokuzei01: マイセンじゃなくてメビウスだろ！
[3392.011] (S)港区ザンギエフ: うぬ、仕事を舐めておるな？
[3394.735] (S)iwap0n: 🎶
[3399.479] realseikintv_: こく兄！
[3401.492] neon00143: 今作の道着キャラみんな定職あるのか
[3401.933] (S)港区ザンギエフ: cagdogBugi
[3403.145] cho_low0095: 煙草は番号で述べい！
[3403.510] sivi_1110: 昇竜対空が楽っていう感覚が分からないんですけどレバーだからですか？
[3406.193] douban_f89: 格闘技やってる人がヤニ食ってんじゃねぇや！
[3409.354] siba1ken: 豪鬼「くれじっとかーどはつかえぬ」隆「じゃあいいですー」
[3410.812] 春詩音: うぬ、ついでに殺意の波動はいかがか？
[3410.829] (S)港区ザンギエフ: リュウはないよ
[3413.954] ポップマンです: こく兄！？
[3414.357] kitakitatata: うぬ、有給をとると申すか
[3429.649] ガルポ大統領_はやぶさかな: 「センパイ～クリスマスってシフト変われます～？」 「うむ、よかろう」
[3440.472] miyazawatahu: 豪鬼は現地では皆から恐れられてるけど無邪気な子供に振り回されていて欲しい
[3442.182] 吉田じんぎ: 昇竜は空中攻撃に無敵だからだよ
[3446.846] 欠損: ジャストからでも倒されてる体力やったから、重ねるのも無い感じやったな
[3447.676] (S)港区ザンギエフ: コンビニバイト豪鬼概念おもろいな
[3448.643] モドキ: 我、ワンオペを極めし者
[3449.172] なべつよ: 豪鬼さん、来月のシフトどうします？
[3465.238] サケ缶: うぬ、これほどの金額のカード騙されてはおらぬか？
[3467.267] unimel1x: 我は全ての日に入る、うぬも入れ
[3468.794] saddle_67: 今日はバイトの誕生日也…ハッピバースデーうーぬー🎵
[3469.802] (S)港区ザンギエフ: 我、第二週の火曜日は入れぬ
[3474.624] こすもどりっぷ: わーお
[3477.927] (S)港区ザンギエフ: 削りルート
[3480.724] (S)ノーススター: バーンアウトの時のODスプレーこわいなあ
[3480.806] cstp__: リーサル判断すごい
[3481.915] しぼみ: 童どもよ、車に気を付けて帰るのだぞ
[3484.661] risa_rice: やーる
[3486.027] ポップマンです: 削れるまじか
[3499.956] kitakitatata: 削りやーる
[3517.383] のな: エドやってて春麗とケン辛いんですけど、どぐらさんはどうですか
[3522.761] risa_rice: すんごい
[3526.662] ポップマンです: うまぁ！
[3528.206] しぼみ: キンバリー楽しそうに見える
[3531.426] kaeruseijin1008: うんめえなこの人
[3534.460] kuuderia: キンバリーってなんか調整ありましたっけ
[3539.722] siba1ken: DJどうせよわなるし
[3539.728] 吉田じんぎ: リリーやばない？
[3543.722] kakeru4100: キンバリーのSA1長くて嫌い
[3547.179] ガルポ大統領_はやぶさかな: 豪鬼との相性気になりますね
[3548.346] unimel1x: キャミィシンプルにきつい
[3550.046] saddle_67: このキンバリーかっこええなぁ
[3550.206] douban_f89: バリーはモチベ高くなりそうな調整ありそうで良いですね
[3551.313] gabe_era: はえーやつ いや
[3558.476] tkgnotamago: キンバリー最近増えてねぇかぁ？
[3558.919] (S)0パン2大佐: じゃあどぐにゃんそこだけぶらんかあるか？
[3559.894] (S)港区ザンギエフ: 一瞬千撃 抜山蓋星 鬼哭啾啾 故豪鬼也
[3566.903] marmot0001: キンバリーも人口増えそうだ
[3568.086] cstp__: マノンは・・・
[3568.900] miyazawatahu: FPSのキャラにいそうなコスだな
[3570.449] Artorius_jp: ジェイミーでやってるとエドめっちゃきつく感じる
[3579.872] なべつよ: ラシードのわからん殺しわけわかめ
[3589.097] 地球最弱を継ぐもの: キンバリーはガスマスクとかつけてくれたらつかうかもしれん
[3590.117] (S)港区ザンギエフ: バリーも強化待ちで慣らしてる人が多そう
[3591.979] 蒼い人: Outfit4はもっと、可愛くお願いします
[3595.366] ishiya007: FPSでこの色の髪と頭サイズ致命的
[3596.893] douban_f89: ジェイミーのノリでマノンも強化来ると思ってたんですけどねえ
[3605.118] sttafer_hatt0210: ダイヤDJです HP不利で相手待ってるときってどうたって攻めたらいいですか？
[3610.697] alfredpeter911: エドキンバリーは肘がきつすぎて
[3611.203] (S)港区ザンギエフ: 多分この髪当たり判定ない
[3612.863] tkgnotamago: キンバリー強化か、どこぞのアヒルが喜ぶな
[3619.392] なべつよ: たぶん髪の毛にも当たり判定ありそうw
[3621.643] siba1ken: 一瞬千撃 抜山蓋星 蒙古湯麺 鬼哭啾啾 故豪鬼也
[3632.311] 吉田じんぎ: いやー試遊調整は流石に囮くさい
[3633.838] cstp__: 蒙古湯麺
[3634.367] shinba358: ガスマスクはもうドクトリンダークなんよ
[3635.936] goodkey44: めくり昇竜出そうとして肘くらうの辞めたいけど手が勝手に動く
[3636.047] (M)墾田永年私財砲: なんか多いぞ
[3636.807] のな: なんじゃそれ
[3638.774] beachsandal: キンバリーにドクトリンダークのOutfit来ても納得性ある
[3643.339] tkgnotamago: おいなんか一つおかしいの混ざってるぞ
[3643.795] しぼみ: これこれぇ！
[3649.254] unimel1x: 辛そうなの1つありますね
[3653.481] ガルポ大統領_はやぶさかな: 猛虎湯麺
[3654.393] 欠損: Dリバー６でリバーサルで出せる方が震えてるけどな
[3657.643] oreyuta: キンバリーほんま攻めいいな
[3659.238] (S)港区ザンギエフ: 一瞬千撃 抜山蓋星 鬼哭啾啾 武神権限 故豪鬼也
[3661.933] douban_f89: 非常に伝えづらいのですが、抜山蓋世です…
[3671.045] (S)mukubado2: 違和感を放つ蒙古タンメン
[3674.664] miyazawatahu: しょうもない四字熟語入れてもバレない豪鬼
[3683.397] なべつよ: 武神流がいるぞw
[3685.814] (S)ノーススター: うひー辛い
[3686.952] 吉田じんぎ: 焼肉定食
[3692.990] 地球最弱を継ぐもの: やりたい放題祭り
[3699.679] (S)さとチャ: 端のキンバリーやばいな
[3699.957] のな: Dリバ-6ってモダンの反撃弱くなんのかな
[3703.309] tkgnotamago: 一瞬千撃 抜山蓋世 鬼哭啾々 焼肉定食 故豪鬼成
[3710.229] (S)さとチャ: やりたい放題やん
[3715.140] 春詩音: 抜山蓋世ってどこぞの武神流も言ってたよね
[3716.795] モドキ: つよつよキンバリー何もさせてくれないからキライ
[3719.252] kaeruseijin1008: 食べたい定食発表豪鬼
[3721.874] kitakitatata: 腹減ってる豪鬼もいます
[3730.454] glock_tmt: ラーメン屋の隆と家系豪鬼
[3735.255] 吉田じんぎ: っぱサバ味噌
[3737.062] (S)g_dms: 一瞬千撃 豆蜘蛛男 常時感謝  故豪鬼也
[3739.788] siba1ken: 食べたいものを技名の途中に含める豪鬼
[3740.214] acis3983: 一瞬千撃 抜山隔世 青椒肉絲 鬼哭啾啾 故我豪鬼
[3740.928] handol_handol: エディ試遊バージョンでの調整で実際には来なかった調整内容とかあるのだろうか
[3743.088] (S)港区ザンギエフ: 豪鬼が抜山蓋世って言っちゃったせいで是空の参戦あり得なくなった話好き
[3751.165] ポップマンです: Dリバの確反かなり格差でそう
[3751.514] kakeru4100: ひなーののしゃがみガードムズいが理解できないんだけど誰か教えてほしい
[3756.157] 欠損: 中攻撃以上で反撃出来ないキャラは格差に見舞われる可能性がある
[3760.712] tkgnotamago: まめスパに感謝する豪鬼.....
[3762.075] (S)13Nemesis: 好きな惣菜発表豪鬼
[3768.227] (S)港区ザンギエフ: パッドだとしゃがみガード難しいんすよ
[3778.872] (S)yamaasira: OCTAはマジで斜め入らん
[3779.737] (S)iwap0n: 殴り合いや！
[3780.619] 13net_: PADだとしゃがみガードとしゃがみの違いに気づくのすらむずい
[3785.706] goose0914: 斜め下のつもりが下になってるはあるあるです
[3786.210] oreyuta: 斜め下に入れる概念がむずいし入れてるつもりでも下だけの場合も多い
[3788.948] acis3983: padゆえ
[3789.431] のな: 橘さんキャラ何にしたん？
[3791.684] なべつよ: 一瞬千撃 抜山隔世 生駒悪魔 鬼哭啾啾 故我豪鬼
[3792.803] こすもどりっぷ: オクタはまーじで斜め抜けするぞ
[3794.082] ishiya007: 下だけ入ってたり下が入ってないとかで食らったりするんよ
[3794.126] shi_a__: 特にパッドはねぇ
[3797.127] kuuderia: コントローラーで斜め下ずっと押してるってあんまやらない操作だから…
[3797.283] (S)起きるサカナ: しゃがみガードむずいは結構な人がいうてるイメージ
[3799.898] ガルポ大統領_はやぶさかな: ジェイミー立ち中P＋2Fになるらしいですけど何が出来るようになるか分からないです
[3801.994] dan_syo: 俺もスト6から始めたから最初パッドまじムズかった
[3803.472] alfredpeter911: 最初からOCTA持ってるってすごいな
[3804.129] kakeru4100: pad故なのか、ありがと
[3804.206] ポップマンです: Padだと余計なるんすよねぇ
[3804.779] siba1ken: パッドむずい
[3809.510] tkgnotamago: パッドでやってるとしゃがんでるだけになってたり後ろに下がってたりするからねぇ
[3814.940] (S)港区ザンギエフ: 十字キー使ってたらまだやり易いんすけどね、大体の人がアナログスティックでやるんで
[3820.465] siba1ken: ひなーのはぱっど故、
[3823.974] (S)g_dms: 一瞬千撃 近代操作 否定派閥 故豪鬼也
[3824.948] heim1152: octa新しいやつ初期不良で斜め入らないのあるよね
[3832.556] 欠損: デカジェとかブランカのリバーランガードするのめっちゃ慣れな無理
[3835.428] saddle_67: 拉麺提供 集中波掌 与撃七千 故隆也
[3842.590] dejiru: アナログスティック勢が思ったより多い
[3843.032] tkgnotamago: モダン嫌いな豪鬼さん
[3844.408] handol_handol: パッドでアナログスティックってすごいな…
[3845.432] miyazawatahu: まだ防音室じゃないのね
[3847.907] douban_f89: 抜山蓋世 鬼哭啾々 児童臓物 故豪鬼也
[3848.602] siba1ken: 故がついてたらなぜか豪鬼の声で再生される
[3850.049] なべつよ: PS5の純コンだと尚更斜め下いれづらい
[3850.970] ガルポ大統領_はやぶさかな: とっさに斜め下入れるのむずいですね
[3851.976] 蒼い人: 一瞬千撃 粉塵爆発 太田勝久
[3854.914] tenar5: 十字だと斜めになってないことが多い印象
[3857.136] (S)港区ザンギエフ: うぬら、我の技を語るか
[3858.387] 吉田じんぎ: 腹減飯求
[3861.984] 地球最弱を継ぐもの: 椅子配信
[3868.796] cstp__: 💩
[3871.402] glock_tmt: ひなーのは十字？スティック？どっちなんやろ
[3874.918] (S)港区ザンギエフ: いい不動産屋だと思いますよ
[3875.857] miyazawatahu: 求出前館
[3876.373] なべつよ: 一瞬千撃 抜山隔世 青椒肉絲 鬼哭啾啾 故我豪鬼
[3878.033] siba1ken: 我、もだんを憎みし者
[3878.319] kusarin3: 中国人豪鬼
[3878.986] (S)mukubado2: 単純明快
[3879.433] naryuhama: お父さん
[3881.707] dan_syo: 十字キー後ろしか入らんことたまにある
[3883.116] ishiya007: お父さん
[3884.004] サケ缶: 我、空腹也
[3886.871] (S)港区ザンギエフ: こんなところ(ﾁｭｯ♡)
[3889.627] poiyu_jp: 初コメです。スト５無料になってから始めてスト６も一応最初期に始めたんですがランクでなかなか勝てずゴールドあがったくらいで諦めて今やらなくなってしまった初心者です。長く続けるにはどうしたら良いでしょうか？
[3889.721] unimel1x: ゲーマーだったら、おたやど選んどけば間違いないんじゃないですかね
[3891.473] (S)アンコモンたこやき: 鉄拳バージョンoctaは斜め抜けひどすぎて無料修理してもらったよ
[3891.577] (S)田中脊髄剣田中: お父さん
[3893.603] サロム: 豆蜘蛛話
[3893.798] (S)さかじょん: お父さん
[3894.005] (S)yamaasira: 豆蜘否刺
[3894.858] acis3983: 一汁三菜
[3897.289] (S)港区ザンギエフ: お父さん
[3902.769] siba1ken: 社長イケメンっすね
[3905.184] 吉田じんぎ: 土偶戻也
[3905.263] miyazawatahu: 残念我男 性交不可
[3905.458] なべつよ: 一瞬千撃 抜山隔世 生駒悪魔 鬼哭啾啾 故我豪鬼
[3905.913] 春詩音: スティックの上下左右の感度下げて斜め判定がより強くなるようにしたらとうなんやろ
[3908.791] saddle_67: 十字キー後ろに押してて他なんも押してないのになんかガード消えて食らっとることある。あるよね？
[3909.572] acis3983: お父さん
[3912.920] tkgnotamago: 一瞬千撃 抜山蓋世 鬼哭啾々 大谷翔平 故豪鬼成
[3919.023] mix_camp: エド最近使いだしたんですけど一つ一つの技が癖ありすぎて立ち回りに悩んでます、どぐらさんは立ち回りの技振りや振り方で意識してるとこありますか？
[3919.284] (S)g_dms: 一瞬千撃 御宅宿借 御父上様 故豪鬼也
[3922.193] (S)港区ザンギエフ: 大谷翔平おる
[3935.253] siba1ken: 大谷が行けるなら水原もいける
[3938.496] 吉田じんぎ: 宅宿借父
[3939.008] ガルポ大統領_はやぶさかな: ジェイミーの環境入りあると思いますか？
[3942.266] (S)ノーススター: 何度見てもアケコンの色いいなあ
[3944.370] モドキ: 昔、瞬獄殺ヒット中に何してるのかでいい加減な事言うやつってクラスに一人はいましたよね
[3956.486] unimel1x: 結局キツそうな対面
[3961.832] (S)港区ザンギエフ: ジェイミーはかなり環境入りすると思う
[3966.390] なべつよ: 一瞬千撃 水原一平 口座振替 野球賭博 故我豪鬼
[3969.255] 地球最弱を継ぐもの: リーチ関係ないきゃらキタ
[3972.220] miyazawatahu: マットな紫ええな
[3974.058] kaeruseijin1008: それは言いすぎだろ
[3975.941] (S)アンコモンたこやき: 秘密の花園通じるんか？
[3976.231] (S)g_dms: 胴取り七悶殺も一緒や
[3977.628] acis3983: 一汁三菜 抜米代葉  毎日焼肉 故我豪鬼
[3983.321] douban_f89: 愛の伝道師ッケイ！
[3987.487] saddle_67: PSに令和の勝負師水原一平RDってプレイヤーおるよな。負けたらくそ炊いてまう
[3990.437] acis3983: だるまカラーも好き
[3996.768] tkgnotamago: リーチ活かしたり有利伸ばしたりするために先端に当てるのは意識せなあかんなぁって思うけどむずいんよな
[4001.112] 春詩音: 一瞬千撃の間にかんちょうしてるかもしれないってことー？
[4002.397] モドキ: アレと一緒は…
[4005.017] unimel1x: 入身灘月も瞬獄殺も同じや
[4005.671] とろきりで: 健康食豪鬼やめてね
[4009.733] dan_syo: このカラー1番好き
