[4.124] (S)sakusannyo: きたーー
[501.993] ra_ra_ra_ra_: 喧嘩売るな
[502.196] いももちの幼馴染: wwwww
[502.322] nono___00: かわよーん
[502.430] tsu147: 狭い場所ぬけれるって言うしね
[502.575] Ichigo_Strawberry15: 食うな
[502.606] 猫又01: おい
[502.681] (S)tukky1208: うわ
[502.891] mom_0222: 常識
[503.286] 唐突ならっと: おい
[503.291] お豚様: かわいーん
[503.447] nakihai556: かわいーーーん
[503.531] 中原きょうか: むりやない
[503.559] (S)知咲: 個体による
[503.614] miruki_tyoko: らっだぁが不吉ってこと！！
[503.738] hoheto_168: かわいーん
[503.772] (S)0ox_Q: 個体による
[503.863] rioapr03: おい
[503.973] (S)あ表示名これでいいじゃん: たべてる
[504.039] (S)のせ太郎: 食うな
[504.237] ozokunchan: かわいー
[504.576] lightreft1250: おい
[504.661] 蝶化身: いいえ
[504.677] syano_a: 嫌いよな
[504.719] havanero_yamy: お前は何も見ていない
[504.788] ihi_san: かわいーん
[504.821] (S)umekkko: あんまりだよ
[504.930] huuuyooo: にゃっ
[505.046] 0401122: お前も今日から液体な？
[505.192] (S)てぃやんでい: おい
[505.212] suuuuun_666: おいやめろ
[505.341] ruu_ha: 食うな
[505.445] syrup_rc: 食べるな
[505.542] アーユン: おいwww
[505.745] hiiiiiiiiiikr: wwwwwww
[505.988] sisyou3326: いけない
[505.997] にゃん_ごろう: かわいーん
[506.024] harii_raaa: やめたれよ
[506.181] reontannau: ふーん君初心者？
[506.267] kagura_kiba: www
[506.273] aonagi_08: 咀嚼すんな
[506.322] tobineko22: 猫による
[506.338] やちよ172: かわいーん
[506.544] exia_182: おい
[506.550] shirororororo08: 可愛すぎて
[506.637] fukuda1129: 共食いすな
[506.890] (S)メイフ: 基本的に水は苦手よ
[506.999] ayunosioyaki0223: 食うな
[507.013] tyanponmen0726: おい
[507.066] raorao_82: さいてー
[507.120] mom_0222: いけない
[507.222] ru463: かわいーん
[507.295] (S)tadaboshi: かわいーん
[507.302] butakoro: 食べるなカス
[507.308] (S)ねぴん活動休止中: おい
[507.573] suragulu: www
[507.643] konayukichan: かわいーん
[507.810] sakana_mobu: ぎゃわおー、！
[508.020] kaaaiva: わこらだ
[508.195] ゐのうえ: かわいーん
[508.519] unitaroo_1117: かわいーーん
[508.648] センライ: やめたれ
[508.781] huku_mm: 食わんで
[508.829] gyuru22: ヤマト運輸いじめないで
[508.847] hanbunpurin: おい
[508.851] まるざね: かわいーん
[509.060] theworld5081: おい
[509.076] taconomi8888: 語尾にゃんつけてや、きもいから
[509.416] カナバ: いける子といけない子がいる
[509.664] ﾆｺﾏﾒ: 食うなwwwww
[509.873] hoheto_168: 食うな
[510.102] お豚様: くうな
[510.527] (S)0ox_Q: かわいーん
[510.696] kano091203: かわいーん
[510.768] 02hirotan: かわいいいいいい
[510.793] siragiku_nobaka: 喧嘩を売るな
[510.848] cori5698: おいwww
[510.911] (S)sora_mameee: かわいーん
[511.200] ラズベリー0408: www
[511.329] jhonnymorimori: 毛づくろい
[511.528] (S)kagura_0107: 食うな
[511.853] Ichigo_Strawberry15: 共食い
[511.960] yura_0611: おいw
[512.016] ぴょんぬ: 左の子可愛い
[512.077] ponzu_nomitai: 放置するとゴロゴロいうらしい
[512.301] ベニマル: 共食いす共食いすな
[512.458] satowasa: 共食いか。可愛いな
[512.530] (S)kumo3389: 泳げるけど苦手
[512.666] chamo_chako: radaoKawaiin
[513.111] Riisu_amms: きゃわ
[513.237] カナバ: 共食いするな
[513.313] 虎名: かわいーん
[513.336] (S)tsuM6G1_: やめたれw
[513.451] きすみさん: ネコエアプすぎるw
[513.762] itoido: 世界の理に逆らうぬっこ
[514.302] (S)あぷあぷえる: 食うな
[514.444] (S)りろ31: くうなw
[514.679] (S)inuyo: やめろwa
[514.941] ﾆｺﾏﾒ: やめたれwwwww
[514.983] piyopiyoisland: 猫が猫吸いしてる
[515.012] にゃん_ごろう: グルーミング
[515.014] kiminonamo: かわいーん
[515.037] (S)1chimare: らっだぁとかいう人外に1番似合わないゲーム
[515.158] sisyou3326: おい
[515.161] shirororororo08: 幸せはここにあった
[515.321] mitoya_1115: radaoHi
[516.056] 唐突ならっと: お前の方が不吉
[516.157] ruchi_13: グルーミング
[516.237] 昼迄ねむる: グルーミング
[516.442] yubaharu: かわいー
[516.696] miruki_tyoko: うわ
[516.755] やちよ172: 食べるな
[516.869] じもじ: ぐるーみんぐ
[517.205] rioapr03: 挨拶すな
[517.331] (S)のせ太郎: グルーミング？
[517.344] おいでやす: いただくな
[517.501] reipia0415: !uptime
[517.824] ichigomilk_252: おい
[517.831] adpiyoko: やめたれ
[517.930] (M)Nightbot: らっだぁ が配信を始めてから 8 minutes 44 seconds 経過しています。
[517.999] havanero_yamy: 食うな
[518.158] 猫又01: 人外要素だすな
[518.299] (S)1chimare: グルーミングな
[518.299] lemoncheesesource: グルーミング
[518.350] (S)イカスミてんぷら: グルーミング？
[518.451] ひうら: マウント取るな
[518.742] ru463: くうなよ
[519.048] めじぇどっ: グルーミング
[519.688] yuzu_basketball8: 食べるなw
[519.757] めるめ: グルーミング
[519.832] siragiku_nobaka: やめたれ
[519.909] huuuyooo: 共食いすんな
[520.036] ozokunchan: グルーミング
[520.645] あげだし丸: グルーミング？
[520.790] sabimamita: グルーミング？
[520.881] ニコ丸0429: グルーミング
[521.021] きのここ: グルーミング
[521.021] konnpann: きゃわー！
[521.108] kagura_kiba: グルーミング
[521.304] (S)tukky1208: グルーミングな
[521.532] kanon_nnn: wwwww
[521.585] mo_coa: それはディズニー
[522.177] センライ: あーあヤマトに喧嘩売った
[522.240] bunchaan: 挨拶？
[522.411] もち田: グルーミング？
[522.505] (S)ｵﾝ: 共食い?
[522.575] unitaroo_1117: グルーミング
[522.843] itoido: 食うな
[522.902] 紗弥0926: グルーミング
[523.630] lightreft1250: チュートリアル進めろ
[523.855] theworld5081: ハムスターかてめぇ
[524.337] tsuyuki77: グルーミング？
[524.920] asuka_1617: グルーミン
[524.969] rito1725: グルーミング
[525.891] ﾆｺﾏﾒ: グルーミングな
[526.404] カナバ: それディズニー
[526.726] nisora_0022: わこらだ
[526.827] jhonnymorimori: 試食するな
[527.029] YodoRa: グルーミング？
[528.243] satowasa: それ挨拶
[528.594] w0rkaho1ic: グリーティングわろた
[528.895] sooaaa_1013: ？る
[529.116] theworld5081: グルーミング
[529.340] 人生100年時代: トリミング
[530.383] shynya11: あいさつ？？？
[530.457] masamark2: ぐちつぼ??
[530.689] s_i_i_a: このゲーム口角上がる
[530.712] (S)こねずみ: グルーミング？
[530.928] yutiy_25: グルーミング？
[530.949] (S)sora_mameee: グルーミング
[531.139] miruki_tyoko: 愛護団体に訴えてやる
[531.937] (S)えりさ_: www
[532.091] もちもちの奇: 今できないんじゃない＿
[533.035] mitoya_1115: グルーミング
[533.242] 275_y: それディズニー
[533.605] unitaroo_1117: わろた
[534.559] (S)tsuM6G1_: wwwwwwww
[534.948] 燐音です: グルーミング
[535.212] rikan1111: はよ
[535.460] sakana_mobu: グルーヴィー
[535.583] センライ: あーあヤマトに喧嘩売ったぁ
[535.734] ru463: グルーミングな
[536.650] 唐突ならっと: くさ
[537.193] tonn_donnnnn: らっでぃと違ってめっちゃかわいいな
[537.424] Riisu_amms: wwwww
[538.021] piyopiyoisland: 猫が猫吸してる
[538.069] tyanponmen0726: 草
[538.795] yubaharu: wwww
[539.393] theworld5081: パーキング
[539.467] ruchi_13: サイン欲しいんか
[539.932] satowasa: 後でできるぞ
[540.300] mikan_san: これどこ行くんだ？
[540.504] knowrta: わこらだ！
[540.630] ch1111z: 挨拶すな
[541.100] (S)ななしふじ: www
[541.380] psycosilver3: ネズミは餌だろ
[541.898] (S)tukky1208: チュートリアルすすめろ
[541.987] (S)水ノ翠: radaoKawaiin
[542.119] (S)1chimare: お互いの毛を舐め合うやつだね
[542.128] tubugu: エコーがいい味出してる
[542.176] お豚様: wwwwww
[542.431] wttk3514: 草
[543.517] cacao_316: なんで青くないの
[544.642] unitaroo_1117: www
[544.886] siragiku_nobaka: 動物愛護団体に訴えられろ
[546.010] (S)sora_mameee: wwwww
[546.149] さぎゃんとすぅ: すごねこ
[547.021] hrk_0417: radaoKun
[547.248] machiru88: radaoHi
[547.936] yubaharu: ちゅー
[548.051] tokoivu1125: radaoHi
[549.736] miruki_tyoko: リトルグリーンメン
[549.966] お豚様: わらわらわらわら
[551.077] sudy2525: まあこんな幸せ空間実質ディズニー
[551.584] ayunosioyaki0223: へー
[552.312] (S)tukky1208: しぬわ
[552.321] mikan_san: へー
[552.848] れつれつ: わこらだ
[553.058] ゐのうえ: へー
[553.096] lii_q13: radaoCry1
[553.682] mo_td: 適当に押して見ればあたる
[553.910] komekami107: へー
[553.948] lightreft1250: へー
[554.138] じもじ: なわけ
[554.685] kujirai___: らしいね
[554.913] mo_coa: え！？そうなの！？
[554.916] ｿﾙﾄ: へー
[555.365] (S)river_shallow: 個体差あり
[555.684] 唐突ならっと: 800？？
[555.920] hiiiiiiiiiikr: つよ
[555.948] Riisu_amms: へー
[556.065] miruki_tyoko: リトルグリーンメン？
[556.169] てくてん: くそかわいい
[556.489] hiyoko_5020_: むり
[556.684] tyanponmen0726: へー
[556.699] (S)ななしふじ: へー
[556.749] ベニマル: へー
[556.943] Ichigo_Strawberry15: やば
[557.020] ruu_ha: まじ？
[557.037] konayukichan: へー
[557.249] huku_mm: へー
[557.282] tubugu: 猫派液体
[557.449] ar1_1220: へー
[557.531] ft2828: はえー
[557.845] 抹茶の午後: へー
[558.000] 0401122: 訴えられてしまへ
[558.053] kagura_kiba: へー
[558.220] kawaharaya: へー
[558.232] (S)にょまれ: つよ
[558.353] mikan_san: 何その雑学
[558.679] (S)tsuM6G1_: へー
[558.694] cori5698: へー
[559.468] sooaaa_1013: へー
[559.527] ﾆｺﾏﾒ: 液体だからね
[559.800] (S)りあるやめる: 動物愛護団体の者ですが
[559.884] (S)あぷあぷえる: へー
[560.406] tonn_donnnnn: 800は死ぬぞ
[560.575] ゐのうえ: 邪魔すんな
[560.584] taconomi8888: まじか飛び降りてや
[561.149] 犬ﾚ: うそつくな
[561.271] (S)りろ31: へー
[561.374] ihi_san: 何とかはなる...🥺
[561.411] satowasa: 蟻はどこから落ちても死なんぞ
[561.474] マザー龍ノ助: ならないよ
[561.529] suidousuiii: へー
[561.605] もぐもぐわさび: くわしいね
[561.631] yuzu_basketball8: radaoKun
[561.895] とうむ: わこらだ
[562.026] ひうら: radaoKun
[562.117] katonaaaa_: かわ
[562.176] (S)のせ太郎: さすがに死ぬくないか
[562.301] taida_4040: かわよ
[562.691] norara_tw: ８００はないだろ
[562.771] m_tl_0: 邪魔するなw
[563.566] お豚様: はえ〜
[564.001] asuka_1617: いや、うそやん
[564.711] lightreft1250: 800メートル？
[565.013] (S)yoppiy_: 800m？
[565.135] (S)てぃやんでい: おおおお
[565.264] (S)tsuM6G1_: 800ま？
[565.449] rioapr03: wwwww
[566.092] lemoncheesesource: www
[566.214] Ichigo_Strawberry15: 死ぬだろ
[566.288] ruchi_13: wwwwww
[566.362] らずらむ: radaoHi
[566.659] gyuru22: ぐちゃぐちゃになるやろ
[567.113] yura_0611: wwwww
[567.182] kappon23: かわいーん！！
[567.243] sooaaa_1013: かわいーん
[567.317] ぺーきち: なわばり
[567.390] w0rkaho1ic: 個体差あるぞ
[567.539] (S)umekkko: それはならんやろ
[567.567] satowasa: 連打
[567.750] yubaharu: まじか
[567.949] ajihurai_000: かわよ
[568.500] hanbunpurin: かわいーん
[568.534] くろうるふ: ｗｗｗｗｗ
[568.568] rtttttttan: 内蔵破裂するけど
[568.682] gumi21021: ？
[568.737] pipiy0piy0: わこらだ
[568.891] kagura_kiba: かわい
[569.347] (S)tukky1208: おっせ
[569.409] knowrta: imGlitch
[569.636] ギンナン: ww
[569.879] kano091203: へー
[569.942] 中原きょうか: めーとる？
[570.017] わたしです114514: 今北わこらだ
[570.077] (S)nari_0602: 爪とぎの操作w
[570.187] kiminonamo: wwww
[570.327] いのりさん: 猫にそんなことするな
[570.345] かんめん: かわいいにゃん
[570.570] センライ: いいね
[570.576] あげだし丸: 流石にそれは無理だろ
[570.598] ﾆｺﾏﾒ: かわいーん
[570.614] ゐのうえ: かわいーん
[570.813] miruki_tyoko: 可愛い
[570.840] harii_raaa: かわいーん
[570.848] taconomi8888: 切れ味あがるやん
[570.921] ozokunchan: www
[570.952] ちぃず太郎: 横取りすんなゎ
[570.959] アーユン: おおおお
[571.031] おいでやす: 骨は、折れるけど気づかない間に感知するらしい
[571.289] 猫又01: かわいーん
[571.366] (S)many7575: 今北ﾗﾀﾞｵ‐
[571.517] sumo77758: 800は嘘
[571.699] ベニマル: おおお
[571.713] (S)のせ太郎: かわいいwwwwwwwwwwwwwwww
[571.772] yutiy_25: 800？
[571.776] (S)りろ31: www
[571.801] くろうるふ: すご
[572.038] ぺーきち: といでけー
[572.338] やちよ172: かっわや
[572.448] mayra__a: かわいーんら
[572.594] Water_1013: 動き方ほんとリアル
[572.689] lemoncheesesource: かわいーん
[572.743] (S)ねぴん活動休止中: かわいーーーーーん
[573.242] ta_ka92: わざっぷじゃない？
[573.432] 虎名: 嘘?
[573.467] 唐突ならっと: かわいーーん！
[573.512] rioapr03: かわいいねえ
[573.652] katonaaaa_: かわいーん
[573.657] mitoya_1115: かわいーん
[573.663] (S)あぷあぷえる: 800は死ぬくね？
[573.879] shion081: radaoKun
[573.931] amu_naifami: 高くない？
[574.003] unitaroo_1117: 連打だよ
[574.930] toubun__: radaoHi
[575.137] w0rkaho1ic: かわいーん
[575.828] tubugu: 可愛い
[576.720] mo_coa: かわいーん
[576.936] まっつんつんつんつん: 猫になりきれてない
[577.161] シロップ3366: かわいーん
[577.187] munyamalru: かーわーいいーん
[577.236] さぎゃんとすぅ: 座禅思い出すぜ…
[577.350] havanero_yamy: 猫は液体だかんな
[577.355] konayukichan: かわいーん
[577.379] hoheto_168: かわいーん
[577.482] cori5698: かわいーん
[577.516] ちぃず太郎: かわいーん
[577.918] (S)tukky1208: かわいーん
[577.985] taida_4040: すご
[578.040] YodoRa: あらかわいい
[578.105] (S)many7575: かわいいいいいいい
[578.133] (S)ななしふじ: かわいいーーん
[578.399] mom_0222: radaoKun
[578.625] haruito_222: かわいーん
[578.753] chiteneko: 今北わこらだ
[579.332] sirotann46: かわいーん
[579.420] ベニマル: かわいーん
[579.694] お豚様: かわいーん
[580.621] norara_tw: かわよ
[580.692] r1n_t: radaoKawaiin
[580.780] (S)kagura_0107: すごいリアルｗ
[580.863] (S)sora_mameee: かわいーん
[581.257] aina___10812: かわいーん
[581.266] sunege_ff14: radaoPikon
[581.547] konnpann: かわいーん
[581.580] (S)umekkko: かわいーん
[581.720] (S)知咲: もういいやろww
[581.797] (S)りろ31: かわいーん
[582.057] らお3: ちゃんと跡ついてる
[582.107] ft2828: 猫初心者？
[582.264] chiteneko: かわいーん
[582.369] もふちゃん: radaoHi
[582.522] ねここねる: かわいーーん
[582.565] 275_y: かわい〜ん
[582.784] unitaroo_1117: かわいいーんん
[582.789] fuurinnzamurai2222222222: にゃわいーん
[583.014] じもじ: 降りた衝撃で臓器グチャグチャなって人目につかないとこで4んでるんだぞ
[583.018] wantikin: かわいーん
[583.230] taida_4040: かわいーん
[583.372] yutiy_25: かわいーん
[583.456] ihi_san: かわいーん
[583.557] banira0719: かわいーん
[583.622] satowasa: かわいーん
[583.801] hanbunpurin: つめなくなる
[583.861] (S)sin_pin_: かわいーん
[583.947] なるか3: radaoHi
[584.011] nekonaaa: わこらだ
[584.258] やちよ172: それはかわいい
[584.377] (S)many7575: にゃあああああああ
[584.448] (S)ぐるうむ: PS5凄いらしいね
[584.957] センライ: かわよ
[584.965] becpac: 爪長すぎ
[585.135] bluepanda0603: かわよ
[585.165] ｿﾙﾄ: かわいーん
[585.185] adpiyoko: ぎこちない笑
[585.189] (S)yano_ixeruka: その姿のらだおめちゃくちゃ可愛いな
[585.205] suragulu: かわいーん
[585.329] (S)kagura_0107: かうぃーん
[585.378] yayoi0525: かわいーん
[585.544] dia_1919: かわいーん
[585.548] kiminonamo: かわいーん
[585.548] (S)真クロすけ: イタイイタイ
[586.614] lii_q13: 爪なくなるてーーーー
[586.754] 虎名: かわいーん
[586.977] kagura_kiba: めちゃとぐ
[587.240] ﾆｺﾏﾒ: 白い粉出とるが
[587.471] pon2929: ばりばりかわよ
[587.491] (S)ななしふじ: 爪が
[587.632] もふちゃん: かわいーん
[587.699] (S)time_is_god84: これで穴掘ります
[587.717] tonn_donnnnn: wwwww
[587.798] (S)1chimare: かわいーん
[587.824] runa0511: かわいーん
[587.971] w0rkaho1ic: 爪がなくなっちゃう
[587.989] (S)tukky1208: やめろや
[588.443] yura_0611: かわいーん
[588.588] 抹茶の午後: かわいーん
[588.665] satowasa: 爪が？
[588.708] tsu147: かわいーん
[589.189] e_maturika: かわいいいいーーーん
[589.525] (S)sushita1120: そっくりやん
[589.588] wawamf: radaoHi
[589.675] 0707_shinn: かわいーん
[589.811] unitaroo_1117: なくなっちゃう？
[589.896] fukuda1129: やめたれよ
[590.037] sisyou3326: かわいーん
[590.516] tsuruka_: かわいーん
[590.786] (S)inuyo: radaoKawaiin
[590.834] tubugu: www
[590.854] いのりさん: 深爪
[591.621] ruchi_13: えぐい
[591.727] yumeaki12: かわいーん
[592.390] (S)にわすずめ: かわいーん
[592.639] bunchaan: 爪が
[592.867] ponzu_nomitai: バリバリバリバリ
[592.887] huuuyooo: めっちゃ動きリアル
[593.103] (S)raguragu828: 800は骨が粉砕する
[593.149] (S)_ひかるくん_: radaoKawaiin
[593.445] katonaaaa_: お肉が削れちゃう
[593.655] (S)orion_nnnn: かわいーん
[594.034] 唐突ならっと: いたそ
[594.233] yubaharu: かわいーん❤️
[594.334] shion081: radaoHi
[594.767] konnpann: wwwww
[594.844] uta_0713: radaoKawaiin
[594.912] huku_mm: 爪なくなりあおう
[595.086] reeeeen_309: 今北
[595.094] (S)ねぴん活動休止中: radaoKawaiin
[595.626] ほのぼの: radaoKawaiin
[595.658] aika21: かわいーん
[595.659] 09topasu: 神ゲー
[595.909] (S)ｵﾝ: 爪無くなっちゃう
[595.927] mash_skh: かあいい
[596.083] unitaroo_1117: かわいそうや、
[596.408] mitoya_1115: 爪無くなっちゃう
[596.427] ゆきみ2: やめたれw
[596.541] lii_q13: ほんまに爪なくなるてーー
[596.564] asuka_1617: 木おれるんちゃう
[597.141] wawamf: 癒し
[598.272] ぺーきち: 研いでるからね
[599.223] センライ: このコメ欄かわいーんしかないな
[599.291] (S)many7575: こんばんにゃああああ
[599.876] amu_naifami: 跡やば 
[599.906] ru463: めっちゃ削るじゃん
[599.947] taida_4040: かわいそう
[600.468] (S)あぷあぷえる: 深爪になっちゃう
[600.525] ちぃず太郎: おぉー
[601.172] rioapr03: 歩き方があまりにもそれ
[601.399] あまま: こんばんは初見です
[601.475] mikan_san: おおお
[602.601] chiteneko: 癒しすぎる
[602.837] ぺーきち: また生える
[602.960] main94: かわいーーん
[603.028] ちてぃ: らだんらだん
[603.077] sudy2525: 木も本望
[604.145] miruki_tyoko: 愛護団体に訴えるぞ
[604.365] miu_ooo: かわいーん
[604.370] ひうら: やらせてる
[604.905] mashiro0131: かわいーん
[605.234] taconomi8888: 語尾ににゃんつけろ
[605.380] ozokunchan: 爪なくなる
[605.467] katonaaaa_: ジャンプ力すごすぎ
[605.688] syano_a: ストレス
[605.863] unitaroo_1117: 深爪
[605.956] 中原きょうか: おぉぅ
[606.034] ちぃず太郎: 花丸
[606.186] gumi21021: ゲームなんで
[606.250] かんめん: 深爪になるw
[606.335] rioapr03: お前とは大違い
[607.831] taida_4040: なくなるて
[607.973] (S)0t0g1: こんばんにゃー
[609.310] shilva_0: radaoHi
[609.852] hiiiiiiiiiikr: なんのおーなの
[609.973] tonn_donnnnn: ジャンプ力やべ
[610.656] m_tl_0: 無くなることほぼねぇよ
[610.978] katonaaaa_: きちゃない
[611.991] (S)あ表示名これでいいじゃん: きたな
[612.032] satowasa: そこら辺でグルメれるぞ
[612.112] 唐突ならっと: ねこ
[612.145] ihi_san: くっそかわいーん
[613.896] ta_ka92: それはもはや肉といでる
[614.281] (S)0ox_Q: しぬ
[615.025] (S)ゆずかちゃん: 800mはスカイツリーより高いぞ
[615.078] aoisorazora: ストレス解消だもんねー
[615.537] mikan_san: なんか水湧いてるな
[615.829] ｱﾐｬ_5: radaoHi
[616.042] tubugu: 衛生がねぇ
[616.045] tanbochann: かわ
[616.071] ちぃず太郎: 飲ますな
[616.212] 中原きょうか: 血が出る
[616.463] (S)知咲: 野良はよく雨水飲むよ
[616.680] お豚様: かわいーん
[616.879] ピーナッツ0328: 可愛いゲームでグロいはなしすな
[617.074] 虎名: すご
[617.162] chamo_chako: radaoKawaiin
[617.601] (S)真クロすけ: かわいーん
[618.676] ﾆｺﾏﾒ: 大丈夫だろ
[618.808] センライ: お前とは違うな😁
[619.455] satowasa: きたないーん
[619.658] やちよ172: 歩き方ガチかわいい
[619.680] ruchi_13: ぽまえと同じで大丈夫やで
[619.867] taida_4040: かわいーん
[620.066] shion081: radaoKun
[620.471] おいでやす: 野良猫らだお
[620.730] (S)キラキラボシ: radaoKawaiin
[620.907] unitaroo_1117: 天然水
[621.244] ゐのうえ: くっそかわいーん
[621.471] もふちゃん: めためたかわいーん
[621.483] tubugu: 危ない
[622.119] babitto: すごいよね
[622.236] (S)ぐるうむ: 野良批判ですか？
[622.429] gyuru22: ぽまえは✖️
[623.063] sutolaba: radaoHi
[623.309] sakana_mobu: らだおとちがって
[623.845] lightreft1250: 流石に良くない
[623.988] (S)many7575: やめて
[624.071] aonohitodesu: わこらだ
[624.383] hannari_3729: 野良批判ですか？
[624.509] (S)あぷあぷえる: お前とは違う
[626.283] asuka_1617: ここどこだろうね
[626.366] (S)こねずみ: お前の爪がなくなった時のこと考えてみな
[629.597] ぺーきち: 野良の腸は強い
[630.082] 0401122: お前の爪長w
[631.612] taconomi8888: ねこバランスいいらしいね
[631.870] もなおから: 何するゲーム
[634.881] お豚様: コメントがかわい〜んであふれている
[635.244] (S)nari_0602: 俺ってほかの猫オンライン？
[635.683] tubugu: この前爪割れてた
[636.248] もなおから: いまきた
[636.385] じもじ: パーティて
[636.792] ひよりさんです: radaoHi
[636.971] (S)おむらいぬ: 猫の爪は何枚も重なってるから無くならないぞ
[637.318] mikan_san: モンハンみたいなもんか
[637.713] m_tl_0: スクワッド
[638.568] おだ_115: ノラちゃんは水たまりの飲むよ
[638.725] satowasa: スクワッド
[639.431] ta_ka92: ぽまえみたいにウォーターサーバーいらないんだよ
[640.272] おいでやす: ド○クエかな?
[640.772] asuka_1617: 群れな？
[641.018] (S)りあるやめる: ゲーム脳やめろ
[641.525] 抹茶の午後: ドラクエかよ
[642.467] (S)many7575: じゃあおまえタンクな
[642.641] ﾆｺﾏﾒ: パーティー草
[642.810] ra_ra_ra_ra_: 四皇？
[643.020] タス乗り初心者: めっちゃ神秘的
[643.381] lightreft1250: スプラ？
[644.653] (S)ｵﾝ: ねずみ捕まえようぜ
[644.680] hanbunpurin: このゲームかわいい
[644.818] 片栗粉栗: お前は最弱
[645.178] (S)io_iori: パーティーて
[645.719] (S)shizu917: スタンドバイミー
[645.922] bunchaan: スクアッド
[646.838] tyanponmen0726: 暴力団
[647.036] w0rkaho1ic: 猫四天王
[647.290] miruki_tyoko: 愛護団体がだまってないなw
[648.306] narayuu: ニャンター？
[648.451] aoao_0217: radaoHi
[648.824] ぺーきち: レッサーパンダいない？
[648.995] ピーナッツ0328: ドラクエ?
[649.054] fuyu_dayooooo: ねこきゃわいい…
[649.390] mo_coa: それお前
[649.976] unitaroo_1117: パーティーwww
[650.178] 唐突ならっと: してんねこ
[650.396] (S)にょまれ: 野良猫にも界隈があるんやなぁ
[650.512] evacoler: してんにゃー
[650.643] chimineko: 兄弟
[650.656] ﾆｺﾏﾒ: 四天王な
[650.760] (S)りあるやめる: ドラクエ？
[650.782] (S)真クロすけ: スクワットかな？
[651.820] f_erick: 最近ワンピース読み直した？
[652.125] raorao_82: お前だけ弱そうだな
[652.624] gumi21021: ？
[653.080] やちよ172: パーティー草
[653.401] うにだ: radaoHi
[653.729] aoodes: 思考がRPG
[654.236] hikage_0324: 夢に出てきそう
[654.673] センライ: お前がな？
[654.749] 猫又01: お前が最弱
[656.018] ruchi_13: めっちゃ綺麗だね
[656.213] ぺーきち: ぽまえな
[656.791] もふちゃん: それお前
[656.817] (S)tsuM6G1_: くさ
[657.753] (S)0ox_Q: お前は最弱
[657.785] (S)tukky1208: お前グルーミングタイム逃したぞ
[657.899] am4kumo: それお前
[657.987] ﾆｺﾏﾒ: おまえがな
[657.993] そふぃ3: radaoHi
[658.115] yubaharu: 四天王
[658.253] ru463: ドラクエか？
[658.339] taconomi8888: わかってんじゃん
[658.461] ajihurai_000: 四天王  らだお    強そうww
[658.582] gyuru22: 自己紹介すんな
[659.916] 0401122: うわ
[660.054] ピーナッツ0328: にゃおーを倒しに行くのか、
[660.281] yutyan_0618: 今から、チャンピオン部隊になるんだよ
[660.940] siragiku_nobaka: お前が最弱やろ
[661.247] ft2828: 四皇
[661.311] satowasa: すたんとって。役目でしょ
[661.878] (S)sora_mameee: 奴は四天王の中で最弱…
[661.906] (S)ななしふじ: 草
[662.044] 中原きょうか: 野良クエ
[662.209] shirororororo08: お前な？
[662.598] katonaaaa_: 順番決まってるやん
[663.387] 人生100年時代: 猫ってこんなとこにいるんだ
[663.536] いぬひよこ: 猫視点
[663.633] cacao_316: お前が最弱
[663.779] chiteneko: ドラクエじゃん
[664.241] お豚様: お前がな
[664.338] じもじ: おい
[664.517] mawt___: radaoHi
[664.936] yutiy_25: ぽまえがな
[664.978] ちぃず太郎: モブ
[665.484] ひうら: 最弱はお前
[665.741] jhonnymorimori: フォーマンセルや
[665.914] tanbochann: ククク‥
[666.053] 人生100年時代: わからせてやれ
[666.456] Ichigo_Strawberry15: www
[666.594] momo_6113: わこらだー 
[666.781] はるきゃべつ: お前やん
[667.027] tonn_donnnnn: お前は最弱
[667.256] taida_4040: 四天王やん
[667.484] ひょうか1229: バトロアやぞ
[668.020] suuuuun_666: うん
[668.535] (S)ame_ume: 四天王 猫
[668.979] (S)yagiyogeo: わーいこんばんわらっだぁ
[669.428] lightreft1250: そうだな
[669.622] アーユン: 四天猫か
[669.847] センライ: あいつマイキー
[669.865] katonaaaa_: 守られとる
[670.184] mikan_san: お前は永遠の3番手
[670.225] upyaaaa: わこらだ
[670.958] (S)many7575: 黒猫カワイイ
[671.262] same_no_obake: 一人のメス奪い合ってる
[671.363] おいでやす: 四天王最弱らだお
[671.802] unitaroo_1117: 最弱
[672.176] raorao_82: 後ろの子が譲ってくれてんだぞ
[672.285] tubugu: 守られてんのよ
[672.465] 0401122: 愛護団体が黙っちゃいねえま
[672.505] asuka_1617: てかここどこだろうね？
[673.497] 漆黒のホタテ: 特大ブーメランじゃね？
[673.668] kanishantaclaus: 一番安全
[673.941] 虎名: きみだね
[674.711] お豚様: モブ
[674.850] taconomi8888: しれっと倒されてる
[675.045] ピーナッツ0328: 誰が最初に死ぬかな、
[675.088] もち田: 脇猫
[675.373] ku11ta: 下克上すっぞ
[676.121] 犬ﾚ: おまえの人生みたいやな
[676.580] san_0917: わこらだ
[676.706] satowasa: 回復しろ回復しろはやく！
[676.826] mom_0222: バトロワかんかくやん
[677.085] okome_maan: 猫界のF4だよ
[677.375] (S)tsuM6G1_: ぽまえにぴったり
[677.660] アメンボ5: 四天にゃう
[677.943] lightreft1250: お前にぴったり
[678.372] w0rkaho1ic: 後で味方とかになりそう 三番目は
[678.609] (S)ららら0913: お前が最弱
[678.944] やちよ172: ぽまえ四天王だったのか
