[16.618] tsukikage_saga: ウメちゃんおはよう
[5222.179] 霧月むげつ: 草ｗ
[5222.361] ぢょごぢゃん: ｗｗｗｗｗｗｗ
[5222.598] りあ仮称: ぜったいに数値調整まちがってそう
[5222.628] berurusuko: 火力高くて近づきやすくて玉も持ってるって至れり尽くせりだな
[5223.417] pinkdark01: 15て
[5224.398] (S)箸くれ: 些末な数字ｗｗｗｗｗｗｗｗ
[5224.912] naginagi99: 些末な数字ｗｗｗｗ
[5226.103] lun__01: +15
[5226.845] (S)~MISSING_COMMENTER_INFO~: 突然クイズするよー
[5227.130] sunu_p: 些末なｗ
[5227.242] oleo0227: +15Fｗｗｗｗ
[5227.941] fbhjkl: WutFace
[5228.455] オワオワタ: モダンじゃなくてもお手軽にこの火力でるのやばいな
[5228.802] (S)chachachakoma: ｗｗｗｗ
[5234.370] NAOjpp: 記憶力の差
[5235.253] kaigaizei: 猶予だらけ
[5235.466] takahashiseigi: ガイルはベータにあった手足や翼がもがれたのに…
[5236.554] ry0444: 有り余るフレームｗｗ
[5238.888] (S)chachachakoma: おいｗ
[5240.819] (S)ハジメちゃん: 始まったばかりだししゃーないというしか！？(^-^;
[5243.821] (S)gorogorogorn: お茶飲めるわ
[5243.954] ~MISSING_COMMENTER_INFO~: ｗｗｗ
[5244.190] tegeyodaki: ｗ
[5244.385] spring__thief: 早すぎる
[5244.597] sh1zuku716: 意味ないｗ
[5245.713] LogicalDashGG: 終わってるｗ
[5247.087] demonbane_twosword: たわけすぎるｗ
[5247.238] よもぎです: 些末なw
[5247.765] gorilla_osaka: ごもっとも
[5248.134] (S)chachachakoma: どんだけ早いんだｗ
[5248.422] taroumaruh: やべえなぁｗ
[5249.477] MasturBT: 散々重ねてきたw
[5250.133] 赤髪_: 確かにw
[5250.967] sh1zuku716: 一応ね
[5253.794] lun__01: カプコンの配慮
[5254.162] johnnyppas: フレームも火力もラッシュもバグってねえか？
[5256.765] icyblue1985: 申し訳程度ｗ
[5260.692] berurusuko: 関係ないやろw
[5261.299] 霧月むげつ: なんの意味もねぇｗ
[5262.866] りあ仮称: 体験版にいないキャラは調整されてない説がマシてきたな
[5263.587] ramenbrake115: 申し訳程度の配慮しみる～
[5270.745] rindou_22: なんで＋なんだよw
[5271.830] maddy2623: ケンは慎重に柔道ちょっとかわったのにDJは雑すぎる
[5273.419] oleo0227: 隙があまりにも少ない
[5273.714] kaigaizei: え？
[5274.848] (S)noriyuki3: どぐら昨日使ってきてたなぁ
[5275.493] 母の日ですお母さんに: 火力が高いかわりに足が速い
[5278.118] tabibitox: アレな
[5281.339] kfto9zax: どんどんネタ出てくるな
[5284.756] kaigaizei: はあ？
[5286.794] naginagi99: こりゃつええ
[5287.346] 皇帝ルル: おぉささも来てる
[5289.439] icyblue1985: 重ね強いのか
[5289.757] lun__01: 弾も強いっていう
[5290.341] sdo12222: @syusyoku83 草
[5291.187] rosier12345: つんよいねぇ
[5291.433] zoqzoq001: ささもさん頭ええよね
[5293.076] kinama_92: やっぱ強キャラやなぁ
[5293.688] Youhei6251: そらつえぇわ
[5294.667] wikokihgrs: まあ1億はｄｊ説が濃厚だわ
[5295.501] spring__thief: 何個も持ちすぎてるなｗ
[5295.885] (S)すれいまん: おいカメラ止めろ！
[5298.962] teruharu_: カプコンありがとー（）
[5299.163] bokusatu: ＤＪ使わない？
[5299.895] rindou_22: ケンはOD波動－2です！
[5300.317] mimiprettybot: さくら「」
[5301.377] (S)abeteru: 解説して貰えると相当凄いね
[5302.400] デス動画勢: コーチ優秀すぎない?(笑)
[5304.736] kiton_taichi: ガイルが可哀想になるくらいの差が…
[5306.312] (S)chachachakoma: ササモくんいいなぁ
[5307.871] とぷろ: その弾ズルない？
[5310.225] (S)tomoyukki: これ配信載せて大丈夫なのｗｗｗｗ
[5312.738] てぃけーチカ: 立ち回りが強い代わりに火力が高い
[5315.183] あり0221: おぉささもじゃん。ガチ対策してるんだ。
[5315.942] LogicalDashGG: いてぇ
[5316.595] lun__01: へっる
[5317.006] エネクト: 火力が高い代わりに後隙がないwww
[5317.486] gorooon: DJの強さに改めてビビる
[5317.938] chanmipoin: プラスの技多いな～
[5318.435] (S)maruino351: ｗｗｗｗ
[5319.862] inpma555: このキャラ強いわ
[5319.932] takahashiseigi: カプコンのDJ担当社員、クビにしてよw
[5320.168] naginagi99: ｗｗｗｗ
[5320.568] (S)hakuchi11: 自分の使用キャラがいかにたわけてるかを、こんなに隠さず教えてくれるのほんまありがとうな
[5320.742] りあ仮称: これカプコンに送ろう
[5322.561] ry0444: ガイルとはコンセプト違うし
[5323.371] Ochimusha123: なんかDJ見てると5のS2ガイル思い出すw
[5323.825] ancehutn: ｗｗｗｗｗ
[5323.847] ~MISSING_COMMENTER_INFO~: ちょっと？
[5325.138] (S)gorogorogorn: ｗｗ
[5325.612] teruharu_: たいへんｗ
[5325.670] tktkappaking: これムズいよなー コンボ
[5325.712] fbhjkl: ScaredyCat
[5325.768] demonbane_twosword: すげええええ
[5326.450] lun__01: 大惨事です
[5326.558] niemalsaufgeben: 前投げでも後ろなげでもプラス
[5326.915] (S)gazesd: たわけ
[5327.200] tegeyodaki: ｗｗｗ
[5328.489] valhalla5555: ｗｗｗ
[5328.789] ちょうど良いです: ササモくんがスパーリングパートナーとして需要高かった理由わかったわ
[5328.868] comment3: 大変です
[5328.950] potocki1810: ｗｗｗ
[5329.132] sonic_chop: 大変ですww
[5329.511] mike39cc: 痛すぎますねぇ
[5329.712] icyblue1985: ﾋﾟｬｰ
[5329.895] (S)chachachakoma: 大変だぁ！
[5332.395] terry_man630: 6000！？
[5333.006] johnnyppas: このキャラスタッフがちゃんと調整するの忘れてない？
[5333.164] mangoarmy009: 代わりの意味がわかりません
[5333.787] (S)箸くれ: ←（42） （23）→
[5333.821] sistersguitarreplica: あかんやろw
[5334.554] berurusuko: 色々間違ってないか？w
[5335.452] ogisaka: 地獄のようなダメージｗ
[5337.856] koro3__: 大変だ、、、
[5339.464] sndkzfm1: 夏にラシードが来るから安心しろ
[5341.140] saibabasan: これクソキャラ列伝を収録してない？
[5343.790] taroumaruh: どぐにゃんがDJ選ぶ訳だなぁ…
[5344.039] りあ仮称: 数値間違えたとしか思えん
[5347.814] dogousouken: さすがに火力おかしいなw
[5352.377] nikukuisugi333: 火力火力の大火力
[5358.928] homoludens8: 草
[5359.695] valhalla5555: ｗｗｗｗｗｗ
[5360.505] (S)gazesd: 不愉快
[5360.665] kiton_taichi: ラシードはスゴイことになりそう
[5361.798] (S)aliyome: ファジーコパにカウンターするのか
[5363.856] shellfish55: 勝てるキャラ選ぶ奴が正しい世界だ
[5368.286] 霧月むげつ: 不愉快…ハメコさん！？
[5368.459] (M)(S)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[5368.882] ame_do: ame_do subscribed with Prime. They've subscribed for 21 months! 
[5370.851] mike39cc: 大変不愉快
[5372.239] LogicalDashGG: DJ最強キャラ？
[5373.312] hhartmann: ちなみにケンも大分やってる側のキャラだよ
[5374.133] ねろ_555: この2人なんか相性良いね
[5376.079] gorilla_osaka: 自キャラの強い要素嬉しそうにしゃべるのかわいい
[5379.075] tktkappaking: 確反だしね
[5379.304] ry0444: ケンもたわけ側だから
[5379.592] sh1zuku716: ささも理解力速さやばない？
[5382.103] tabibitox: ケン有利ありそう
[5384.429] (S)~MISSING_COMMENTER_INFO~: 不愉快ｗｗｗ
[5387.993] lun__01: 回ったら手を出す
[5390.544] homoludens8: 我大変不愉快
[5397.266] (S)箸くれ: ケンは我々が思っている以上にたわけ
[5399.686] Opening_Runner: ウメハラさんも緊急動画出して政治しないと
[5400.031] niemalsaufgeben: プロが使ってるキャラ全部やってるよ
[5401.457] (S)yorigirl: ささもさんにDJってマッチしてるな
[5403.647] kawayu1038: これがプロの練習か
[5406.299] (S)蝉時雨: ウメちゃん奮迅と竜尾立ち回りで振らないから印象が違うw
[5409.166] りあ仮称: ももち曰くＤＪやっていて、ケンは辛い
[5411.439] Ochimusha123: スト6たわけキャラばっかだけどクソおもろいの不思議よな
[5417.383] valhalla5555: ささもくん賢すぎねえか
[5417.466] nakao86: マゴさんと正反対だな自キャラはどんだけ弱いか力説するのに
[5419.091] (S)箸くれ: ウメちゃんがきれいなケンってだけ
[5419.729] shellfish55: ウメちゃん補正でケンはあまり叩かれずにすんでるｗ
[5420.823] kazurock69: DJたわけてるなーw
[5422.694] berurusuko: たわけキャラしか上にいないんだよな
[5424.723] kiton_taichi: タノシクてイイキャラ
[5424.871] (M)(S)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[5425.831] (S)宮本燈: いいねえ
[5427.263] nokekogann: もにぃSFL応援してるでー
[5429.057] (S)hakuchi11: リプレイ確認まーじか
[5429.540] (S)johndoe6523rp: いいね
[5430.863] ry0444: どのキャラもクソって言われてて面白い
[5431.234] lun__01: どぐらを研究
[5431.864] tegeyodaki: めっちゃおもろい
[5432.667] ~MISSING_COMMENTER_INFO~: 研究会すぎる
[5434.271] (S)aliyome: がっつり対策してるな
[5434.377] もりりんだよー: はや
[5434.771] twitchyarutch: たわけはたくさんいる。いまはDJの攻略
[5435.124] ミルコシロコップ: おっいいね
[5436.440] kenitama: ケンもたわけてるから安心していいよ
[5439.491] 霧月むげつ: ウメちゃん自体があんまケンのたわけた部分使わないってのはある
[5439.663] (S)yut7xot8: DJ研究会
[5439.918] (S)yorigirl: すごい好感持てるよね
[5442.481] niemalsaufgeben: どぐらとは
[5443.303] prisira: やっぱクソの投げ合いだな！
[5443.512] crytina: ケンが叩かれてないのは人口とウメちゃんのおかげってのはある
[5443.748] homoludens8: これはさらに勉強になる予感
[5445.271] kaigaizei: おい今日おもろいな
[5445.635] demonbane_twosword: 周りのレベルが上がれば通じなくなるよね、系はもうウメちゃん見切ってる感じする
[5446.701] (S)蝉時雨: たわけにはたわけで
[5447.269] icyblue1985: たわけは楽しみでもある
[5448.429] (S)sigegather: 普通にケンのが強いけどね
[5448.449] taroumaruh: 打倒怒愚羅獣梅原
[5448.971] MasturBT: だがそれがいい
[5451.383] sndkzfm1: たわけだらけのスト6、嫌いじゃない
[5451.938] teruharu_: こういうのおもしろいなあ
[5453.168] oleo0227: ケンはケンで尖ってる部分がある
[5454.452] kiton_taichi: ケンもたわけだからなぁ
[5458.116] mifune1046: さぁーさも！？
[5461.270] berurusuko: 6は4のクソの押し付け合いを少し思い出す
[5463.699] ぽににに: 隣の方はどなた？
[5466.386] (S)箸くれ: クソの投げ合いは王公認のスポーツ
[5467.409] nakao86: ケンは難しいしな
[5468.110] 新ころりん: ささも君
[5468.154] takahashiseigi: ウメさんも早めにDJ触って、クソさを知るべきだったのよ…
[5469.051] tabibitox: 噂の
[5470.435] (S)闘劇のアルベルト: もにぃありがてえ
[5473.525] ガヤン0521: チルドレンたちのためにも負けられねえ
[5474.132] shellfish55: 残念ながらリュウはクソな部分がないんすよ
[5474.477] comment3: ハメ
[5476.162] ry0444: たわけ6最高よ
[5477.074] sh1zuku716: どうしようもねえｗ
[5477.386] teruharu_: 顔ｗ
[5478.636] LogicalDashGG: ｗｗ
[5478.871] (S)playatlas: LUL
[5479.331] potocki1810: ｗｗｗ
[5479.464] izakunn0215: 下手くその上から目線コメやめろ
[5480.149] (S)gazesd: たわけ火力
[5480.162] (S)マンゴスチン: ヘイヘイヘーイ♪
[5480.293] tegeyodaki: おろかｗ
[5480.443] fbhjkl: NotLikeThis
[5481.065] john117_s: ｗｗｗ
[5481.145] ram_doggo: おろかｗ
[5481.520] rt340: umeFail
[5482.327] ぷりにゃん: ボコボコやないすか
[5482.914] (S)ponokakillme: ｗｗｗ
[5483.286] ダンボールと空き缶: www
[5483.710] ebikatsu39: 圧倒的コーチ力
[5484.179] taroumaruh: ｗ
[5484.555] (S)chachachakoma: ｗｗｗｗ
[5484.898] Opening_Runner: お恥ずかしい
[5485.823] moririka755: 愚かww
[5486.122] hotsumaowo: ｗ
[5486.164] くまリンカ: まぁ...
[5489.034] kazurock69: もしかして全キャラたわけてる方が楽しい？
[5489.171] homoludens8: 「すごい愚かに見える」ｗｗｗ
[5489.481] lun__01: 端は地獄
[5490.253] kawayu1038: Lolプレイヤー賢こすぎ
[5491.569] (S)きしー: うめちゃんやさしい
[5491.719] (S)jusankokuki: おろかｗ
[5491.957] merkava_mk2: 愚かw
[5494.070] berurusuko: 大味なんよなあ
[5494.859] oleo0227: 知った後だと愚かに見えるやつｗ
[5495.386] (S)~MISSING_COMMENTER_INFO~: 愚かｗｗｗ
[5495.609] chipstar9: 格ゲーはたわけてたほうがおもろい
[5498.781] (S)蝉時雨: みんなそれぞれクソなとこある方がおもろい
[5499.865] darisu_k: www
[5501.849] (S)hakuchi11: 丁寧にやろうとしすぎてるってこと？
[5503.672] りあ仮称: そろそろネモストップが
[5510.194] naginagi99: メンタルまで説明してくれるｗ
[5511.477] solace_14: is he labbing against dee jay?
[5512.881] (S)chachachakoma: やっぱり中距離ＤＪ嫌なんだな
[5513.684] (S)dokuyubi: 本番じゃなくて良かった
[5513.922] hhartmann: ささもにぃありがとーーー
[5514.944] ~MISSING_COMMENTER_INFO~: すげえな
[5516.669] blackcoffee0821: ささもさん師匠すぎひん
[5519.666] 霧月むげつ: 尖ってる方が面白いのは古来から言われてる 全キャラに即死あるから神ゲーって言われてる北斗がいい例
[5521.642] ぷりにゃん: ストリートファイターは日本が生んだ相撲ゲーよ
[5523.350] nakao86: これだけ持ちキャラを修正されるようなこと言う人も珍しい
[5524.557] nero1616: yo phenom look different
[5525.209] sh1zuku716: てか火力高い方が苦痛がないんだよねさっさと終わるから
[5525.987] gorooon: 手厚い解説ありがてぇ
[5537.969] shellfish55: 我らがマゴさんはもうDJ攻略してたよ
[5539.648] berurusuko: 北斗が神ゲーはなくねw
[5540.425] prisira: リーサル判断難しいよな６
[5541.788] tabibitox: 言語化うまいからウメちゃんと相性よい、是非来年同じチームになってほしい
[5553.391] sh1zuku716: スト5はこぶしだったけど６はみんな武器持ってるイメージ
[5553.549] (M)(S)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[5553.986] りあ仮称: リーグ始まったらＤＪ下げ発言なくなりそう
[5554.910] mike39cc: こういう心情解説好きだ
[5555.055] homoludens8: 北斗はまた違う気がｗおもろいけど
[5555.303] bokusatu: これは焼肉連れてかないとだめ
[5555.701] naginagi99: 不快な時間は少ないほうがいいｗ だからJPは不快時間が長いからヘイト高いんだろうな
[5557.428] lun__01: ビスチルたちの前だしな
[5557.723] (S)chachachakoma: リュウ・・・
[5559.128] esutark: 最近ウメちゃん端っこ行ったらだいたい負ける
[5560.167] MasturBT: 現代格ゲーすごいことになってきてる
[5560.494] (S)playatlas: w
[5560.940] methotrexate_aym: ｗ
[5561.700] (S)hakuchi11: ！？
[5562.063] (S)moyashi117: ｗｗ
[5562.321] sonic_chop: えー
[5562.746] rindou_22: 多すぎw
[5562.929] (S)gorogorogorn: ｗｗ
[5563.115] oleo0227: ｗｗｗ
[5563.385] くまリンカ: ｗｗｗ
[5564.612] nikukuisugi333: ｗ
[5564.936] (S)chachachakoma: ｗｗｗｗ
[5565.160] (S)蝉時雨: www
[5565.547] comment3: 138ページ
[5565.915] WhiteShoreDrive: 多いｗ
[5566.602] (S)abeteru: 行でしょｗ
[5566.705] ry0444: 138ｗｗ
[5566.887] niemalsaufgeben: 138ページｗｗｗ
[5567.049] dswlm: ケンどうなってんのｗ
[5567.440] ミルコシロコップ: やば
[5568.410] ebikatsu39: ｗｗｗ
[5568.456] tegeyodaki: ページはうそｗ
[5569.131] lun__01: 辞典かな？
[5569.231] ayataka33: 多すぎやろｗｗｗｗ
[5569.480] (S)ババシャツ: やべぇw
[5569.676] (S)2youyou2: WutFace
[5571.886] derwace_lifolve: ルートの多さがたわけ
[5573.667] (S)箸くれ: ｗｗｗｗｗ
[5574.510] ちょうど良いです: ページはさすがにw
[5574.811] chanmipoin: 小説やん
[5577.169] りあ仮称: 格ゲーマーは盛るから
[5578.381] tsubame0614: 行政文書かよｗ
[5579.329] jigokunonekomatu: もはや変態ｗ
[5579.376] kaigaizei: アスリートな上に勉強家なのかよかべ
[5579.857] takahashiseigi: 論文書けるなw
[5581.788] kinokaren: 無敵技が常にあること多いシステムだし意図的に端攻めはエグくしてそうよね
[5582.782] sndkzfm1: どんな神を信じるかは個人の自由
[5586.019] (S)~MISSING_COMMENTER_INFO~: かべどりーむコンボ
[5589.062] MasturBT: さかるw
[5590.401] (S)gorogorogorn: 巻物かよｗ
[5590.644] thefrozensun_: 行政文書www
[5600.632] homoludens8: 格ゲーで卒論書いた人がいたな昔
[5604.771] ぷりにゃん: トラウマなるわこんなん
[5609.085] (S)黒光り肉の: ささもわかりやすいなぁ
[5609.790] セツリ: ささもさも
[5613.773] ry0444: こだわるとルート多くてむずいのはDJケン同じか
[5616.369] dental15: 有能だなぁ
[5618.504] 新ころりん: ささも先生ありがてぇ
[5618.767] ~MISSING_COMMENTER_INFO~: ｗｗｗｗ
[5618.883] (S)箸くれ: k4senのせいでDJのサイン見るたび笑ってしまう
[5619.266] teruharu_: 優しい先生だあ
[5619.580] (S)マンゴスチン: ためになる～
[5620.873] bokusatu: すごいよこれｗ
[5621.115] (S)蝉時雨: ささもかなり分かりやすい
[5621.863] fbhjkl: SeemsGood
[5623.431] emu773: 説明うますぎ
[5623.776] セツリ: "入ってくる"
[5623.990] kaigaizei: ササモが入ってくる
[5624.467] naginagi99: ささもさん有能
[5624.501] (S)~MISSING_COMMENTER_INFO~: 入ってくる
[5624.618] WhiteShoreDrive: スッと
[5625.423] (S)2youyou2: マジ有能先生
[5625.644] (S)johndoe6523rp: ササモ師匠
[5625.909] rt340: ありがとーー
[5626.653] Nagare765: お礼しないとな
[5626.762] friendbakery: ゲームもうまいし説明もうめえな
[5627.354] 霧月むげつ: もうささもくんに金払ってコーチングしてもらおう
[5627.717] MasturBT: ときどに論文でまとめてもらおう
[5627.749] lun__01: 吸収吸収
[5627.896] demonbane_twosword: スポンジのように
[5628.360] nakao86: 普通はこんな素直に言わない
[5628.849] mike39cc: ささもさん解説わかりやすい
[5629.550] berurusuko: 投げキャラのマノンが無敵技めちゃくちゃぱなしてくるゲームだもんなあ
[5630.387] imamu25: ササモウメちゃんのコーチ就任してくれ
[5631.461] (S)しすてむえらー: ササモ先生わかりやすい
[5631.852] kiton_taichi: 有料にしちゃおう
[5632.024] icyblue1985: スッと入ってくる
[5632.032] kfto9zax: 説明が上手い
[5633.143] msyyy: 言語化がうめえんだわ
[5633.379] comment3: さすがゲームスーパーうまお
[5633.986] niemalsaufgeben: 文字じゃできんから、ごめーん
[5636.371] (S)kani7321: 太鼓判ぽん
[5638.095] edgawatinpo: どぐらずっとチームメイトの面倒みてるのにやたら強いな
[5638.830] mitsuji: これがゲームうま男さんの説明力か
[5638.888] moririka755: ささもが入ってくるは草
[5641.164] sonic_chop: へーー
[5644.189] tamayugek9: 優秀なお方だ素敵です
[5646.713] vungo_mr: 理論派でかつ分かりやすいすごい
[5646.788] teruharu_: ここに住まない？
[5650.275] sh1zuku716: ささも先生頭良さそう
[5650.953] (S)~MISSING_COMMENTER_INFO~: LOLチャレAPEXプレデターやからね
[5651.051] ちょうど良いです: ササモくんすごいねー
[5653.933] 10orq: ウメササモ相性バッチリだな
[5654.164] kaigaizei: ヌキ激怒
[5660.034] ry0444: 検討内容聞けるのは貴重だなあ
[5660.388] ancehutn: ｗｗｗｗ
[5663.753] Eito4649: ささもかせんさんに教えてほしい
[5665.873] とぷろ: ｱｷﾗﾒﾛﾝ
[5667.596] homoludens8: あ き ら め
[5667.908] (S)kani7321: DJとの距離が大事なんだな〜
[5670.145] kiton_taichi: 神です
[5670.425] りあ仮称: リーグの後半でウメササモみたいな
[5670.737] (S)2youyou2: 神
[5671.602] (S)hakuchi11: 神かぁ
[5672.572] 新ころりん: いや ささもくんの説明ほんとわかりやすい
[5673.815] kinokaren: 人を超えた技
[5674.601] ローレンシウム: ええプレデターて…
[5674.615] icyblue1985: ゴッド
[5674.970] moririka755: いまからプロコーチングで食っていけそう
[5680.423] kita_12345678: このまま夜まで居よう
[5680.590] tktkappaking: バーンアウト中はみんな神になれる
[5682.770] くまリンカ: 今北、1時間半全部DJ対策でしたか？
[5684.733] vungo_mr: ｗｗｗｗｗ
[5686.586] merkava_mk2: 神には抗えない
[5686.630] imamu25: ｗｗｗ
[5688.771] kaigaizei: なんてあっけない
[5690.029] WhiteShoreDrive: 人がしんだ
[5690.512] (S)箸くれ: あっけないな人の命ｗｗｗｗｗ
[5691.113] (S)mart_00_: wwww
[5691.562] (S)~MISSING_COMMENTER_INFO~: umeYay
[5692.502] icyblue1985: 儚い命
[5693.009] ちっくんたっくん: 儚い・・・あまりにも儚い・・・
[5693.026] hotsumaowo: ｗ
[5693.896] berurusuko: プロに教えるのと初心者に教えるのは違うんじゃないか
[5694.465] (S)黒光り肉の: ユーモアいじりうまい
[5695.446] (S)dokuyubi: はーかない
[5696.172] teruharu_: はかないんや
[5696.303] thefrozensun_: 儚いなあ…
[5696.394] ねろ_555: いつか大会で解説やってそうな気がする
[5697.883] (S)apacheconf: ワードセンスよ
[5700.281] (S)kogejirou: ヌキさん嫉妬中
[5700.391] ry0444: ワードチョイス面白いｗｗ
[5700.446] (S)hakuchi11: ボソッと面白いこと言うのやめてｗ
[5700.488] ミルコシロコップ: なんという儚さ
[5700.623] (S)BATAKE21: ワードチョイスが良いわ
[5702.016] ~MISSING_COMMENTER_INFO~: サイコパス火力
[5706.026] (S)~MISSING_COMMENTER_INFO~: アッケナイヨ！
[5709.143] sndkzfm1: 選手兼コーチやなササモくん
[5709.773] (S)~MISSING_COMMENTER_INFO~: いのちが！
[5711.669] ごーらん: この右の人誰ですか？
[5714.280] (S)kani7321: なんて儚いんだ…
[5718.198] yam1351: 解説もできるのすごい
[5721.774] homoludens8: セカンドキャリアが安心すぎる
[5726.265] 皇帝ルル: ささもニキ
[5729.231] bokusatu: 戦術眼ＳＳ
[5729.995] friendbakery: フェーズをね
[5730.276] niemalsaufgeben: SFLリーガー
[5730.566] teruharu_: 再春館所属リーガーささもさんです
[5730.826] ry0444: DJコーチ達のワードなんなのｗｗ
[5734.181] naginagi99: てか、ササモさん解説に呼ばれても普通にできるやん、これ
[5734.905] lun__01: DJの嫌な距離
[5735.213] berurusuko: ささもめちゃくちゃやってるんだな知識の泉
[5735.539] ごーらん: あざます
[5736.479] (S)hakuchi11: この知識を授かったk4senさんの世界線も見てみたさあったな
[5736.864] kaigaizei: 大声張り上げないで面白いのが俺らにも入ってくるよササモにぃ
[5737.173] esutark: 神父さま
[5738.365] kinama_92: これはささもにご飯ご馳走やな
[5740.948] momo123456759: 説明の仕方がもう頭いい
[5741.066] dogousouken: すごいね
[5742.180] demonbane_twosword: 分かりやすすぎる…
[5742.426] (S)yut7xot8: 888888888
[5745.854] MasturBT: サモにい好き
[5746.519] otometootemoto: ありがたや
[5746.603] sonic_chop: すごいねぇ～
[5746.763] (S)jusankokuki: ありがてえええ
[5747.963] merkava_mk2: チューしてあげて
[5749.155] yudedako: 熟練のコーチみたいだ
[5750.581] rindou_22: めちゃくちゃ良かった
[5751.428] tegeyodaki: 若手って理論的だ
[5751.854] (S)hiaaru: 有能コートすぎる
[5752.537] 新ころりん: これはご馳走も安いですよ
[5753.187] NAOjpp: 予想以上
[5753.349] myanokun: 王の左腕
[5753.360] teruharu_: ｗｗｗｗｗｗｗ
[5753.521] pot1111111: この子再春館か
[5753.647] coconuts3tu: 攻めてるうちは受けなくていい
[5754.241] sonic_chop: ｗｗｗｗｗｗｗｗｗ
[5754.501] 霧月むげつ: ささもさん素晴らしい
[5754.599] mike39cc: 素晴らしい時間でしたねぇ
[5754.622] (S)~MISSING_COMMENTER_INFO~: 炎舞炊きごはんご馳走してあげて
[5754.834] ~MISSING_COMMENTER_INFO~: ｗｗｗｗｗｗｗ
[5755.477] (S)moyashi117: 説明がうますぎた
[5755.606] (S)hakuchi11: ｗｗｗｗｗｗｗ
[5755.611] ancehutn: ｗｗｗｗｗｗ
[5755.860] momiji4431: ｗｗｗｗ
[5756.050] (S)箸くれ: ｗｗｗｗ
[5756.402] (S)maruino351: ｗｗｗｗｗｗｗ
[5756.413] WhiteShoreDrive: せやなｗ
[5756.563] aranami0: ｗｗｗ
[5756.677] ダンボールと空き缶: wwwwww
[5756.766] ebikatsu39: ｗｗｗｗ
[5757.034] (S)kani7321: さぁ肉行こっか
[5757.383] teruharu_: ありがとー
[5757.513] えーひろ: www
[5757.534] (S)haicro_zm: ずっといてほしい
[5757.624] lun__01: 話しすぎた
[5757.691] rt340: ササモにぃありがとーー
[5757.901] yayuyo888: ｗｗｗｗｗｗｗｗｗｗｗ
[5758.652] ロードバラン: 頭よしお
[5758.800] mental_health_zh: おもろ
[5758.901] (S)chachachakoma: ｗｗｗｗｗ
[5758.905] なまこすき: アイハブササモ
[5759.033] (S)soy315: ｗｗｗｗｗ
[5759.112] osakanamacho: www
[5759.238] kfto9zax: ハメコさんとかと相性良さそう
[5759.252] こはる小春: すご
[5759.892] inkgran: wwww
[5760.314] (S)ババシャツ: ww
[5760.446] (S)蝉時雨: ネタバラシ
[5761.346] moririka755: ささもーありがとー
[5761.407] ancehutn: 絶対聞いてるぞｗｗｗ
[5762.274] Nagare765: アーカイブ消せえええええ
[5762.476] (S)マンゴスチン: やっぱりかｗｗｗ
[5763.633] bokusatu: 恩返ししないとな
[5763.717] シミズム: ですよね
[5763.729] kaigaizei: ネモに詰められる
[5764.113] (S)BATAKE21: 有能過ぎる
[5765.734] りあ仮称: ネモさん見ないでー
[5765.907] ~MISSING_COMMENTER_INFO~: 全てをさらけだしたもんなｗｗ
[5766.828] gb_niconico: 対戦してみては？
[5766.838] (S)黒光り肉の: 身を削ってありがとねぇ
[5767.528] berurusuko: 百パーみてるの
[5767.791] niemalsaufgeben: 絶対きかれるでしょｗ
[5768.681] (S)宮本燈: ほんまにね
[5770.208] une3333: いっぱい食べさせてあげてｗ
[5770.798] naginagi99: 本番やらんとわからんもんなｗ プレッシャーあるしｗ
[5773.783] lun__01: ももちがスパーに協力しないのわかるわw
[5774.899] icyblue1985: ありがたいぜ
[5776.217] shumatsu623: DJはもっと丸裸にしていけ！
[5779.060] monpiipop: なるほど
[5779.150] (S)hakuchi11: もう見たんでアーカイブ消していいですよ
[5779.463] (S)chachachakoma: だよねぇｗ
[5779.801] sndkzfm1: 全員にバフがかかる
[5781.317] kaigaizei: ネモ「君さあ新人だよね？」
[5782.307] sonic_chop: あー
[5783.008] niemalsaufgeben: ささもにぃ、ありがとう
[5786.253] (S)箸くれ: バイソンのかおり
[5786.494] dswlm: いいにおいがする
[5786.858] oleo0227: 強いけど今勝てるのか？ってキャラか
[5787.818] (S)gorogorogorn: ｗｗ
[5788.314] ~MISSING_COMMENTER_INFO~: fruitcard subscribed with Prime. They've subscribed for 29 months, currently on a 2 month streak! ササモ記念
[5788.700] iwaisi: バイソンｗ
[5788.714] 新ころりん: ネモ社長から電話こないからまだセーフ
[5788.864] (S)OdinStan: Is he tryin to learn the MU or learn Dee Jay ?
[5789.316] sistersguitarreplica: なんか匂うよね
[5789.524] あり0221: www
[5790.080] monpiipop: バイソンの
[5790.453] りあ仮称: ももちを剝がしていく
[5791.131] kobetaf: ササモ徐庶、諸葛亮ふ～ど
[5791.144] (S)jusankokuki: バイソンのかおりｗ
[5791.695] naginagi99: バイソンの香りｗｗｗｗ
[5791.815] (S)名もなき義人: お礼はお弁当ふたつ？
