[1.846] (S)ひなづき0712: わだこら!!
[751.721] クマんじゅー: www
[752.010] crowsuke96: なんできょーさんだけｗ
[752.283] (S)わらびもち_11: wwwwww
[752.520] うぉ: wwwww
[752.701] えりさ_: wwwwww
[752.935] taakatuki1024: wwww
[753.299] (S)kogumi_136: wwwwwwww
[753.561] aina___10812: きょーさんｗｗｗ
[753.572] norato041197: www
[753.765] みそギン: wwwwwwwwwww
[753.776] ginger_1202: wwww
[754.095] 心1203: wwww
[754.450] icenohikari: wwwwww
[755.116] (S)あるみ屋: なんでやwwwwww
[755.129] ちゅるちゅるぅ: wwww
[755.332] ｱﾁｬﾓ: wwwwww
[756.243] reo106: wwwwww
[757.282] many7575: コンちゃん？
[759.217] mushigohan: www
[759.654] ikicha_2525: きょーさんはいかついだろww
[759.868] rislo_tto: wwwwwwwwwwwwwwwwwwww
[761.007] samidare_1222: www
[761.368] ayunosioyaki0223: www
[761.836] setsunananoda: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[762.017] mushigohan: w
[762.539] yuasee: wwww
[762.673] mikan1185: 下手www
[763.148] ご機嫌なシャチ: ｗｗｗ
[764.792] ryuto22209771: wwwwwww
[764.910] 愛の林檎: wwwwwwwwwwwwwwwww
[764.927] itoido: ｗｗｗｗｗ
[765.138] kotetsu_yuzu0108: wwwwwww
[765.839] (S)inuyo: きょーさんwww
[765.848] (S)あるみ屋: wwwwwwwwwwwwwwwwww
[766.080] runrun0302: wwwwww
[766.250] Water_1013: wwwwww
[767.028] kakyouin0726: wwwwwwwww
[767.138] ｺﾄﾐｱ: ww
[767.361] sayoina: わこらだー
[767.748] marochi_desu: ｗｗｗｗｗｗｗｗｗ
[768.035] 和泉ぴけ: アスレ勢？
[770.091] miummm: W
[771.269] 愛の林檎: なんでwwwwwwwww
[771.312] (S)Ruria00: wwwwwww
[771.374] rislo_tto: 遊びwwww
[771.444] sayorin25256: Wwwwww
[772.270] tawashida_3000: wwwwwwww
[772.799] ngorongoroci19: wwwwww
[773.038] ちゅるちゅるぅ: wwwww
[773.742] akai_ringo_daaaa: 緑くん下がったら？？
[774.083] まだら25: wwwww
[774.654] ayunosioyaki0223: あw
[776.252] roune123: radaoHi
[776.329] waishigeki: w
[776.640] (S)AoironoMalco: コンちゃんがすごくね
[777.183] (S)Chawan_7: @suiperia_ly ままままま
[777.230] あく____: きょーさん？www
[777.242] hima_norita: wwwww
[778.132] (S)seillane: wwwwwwww
[778.154] (S)Mi_zua0: わこらだ
[779.210] mikan1185: 置いてくか
[779.277] 愛の林檎: wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww
[779.326] yuasee: えぇ？ｗ
[779.423] ngorongoroci19: wwwwwww
[779.506] しじみエキス: w
[779.939] ｺﾄﾐｱ: 行けないw
[780.440] oorei924: www
[780.463] puyopuyokun: www
[781.247] 脳内人格者タルパーちゃん: 見捨てよ
[781.285] miummm: きょーさん？？？
[781.303] きのこのこぉ: wwwww
[781.453] rislo_tto: お前が言うなw
[781.455] 和泉ぴけ: きょーさんはデブだろ
[782.528] marochi_desu: ｗｗｗｗｗｗｗｗｗｗｗｗ
[783.453] おつむぎぃ: わこらだ
[784.102] warabimoti42: wwww
[784.373] えりさ_: wwwwwwwwwwww
[786.257] dky_i111027: わこらだ
[786.417] eichan_2470: wwwwwwwwwww
[786.674] わさびじる: ループしとるw
[786.750] crowsuke96: おー
[787.410] yuasee: おおー
[787.477] mikan1185: あお
[787.934] オレオおおおおおお: おお
[788.210] ngorongoroci19: wwwww
[788.445] ayunosioyaki0223: おおおお
[788.772] hima_norita: おー
[788.958] ｺﾄﾐｱ: おー
[788.961] utoi_hito: ナイス
[789.609] 愛の林檎: おー
[789.727] 脳内人格者タルパーちゃん: おー
[789.736] mikan1185: おお
[790.046] marochi_desu: おお
[790.378] mushigohan: Lv1
[790.746] ewokakou: おおお
[791.076] (S)くろうるふ: わこらだ
[791.175] (S)Ruria00: おー
[791.327] kotetsu_yuzu0108: おー
[791.607] たくみん_1: お
[791.858] ちゅるちゅるぅ: おお
[791.929] (S)あるみ屋: おー
[792.036] ryuto22209771: おー
[792.571] akaihi: 死体が喋ってる
[793.172] miu1119: おお
[793.238] mikan1185: ないす
[793.366] mirumiru_h: おお
[794.032] nekoko28: ないすーw
[794.200] ikicha_2525: やっとだ
[794.266] ginger_1202: おお
[794.425] akai_ringo_daaaa: お
[794.484] くろざき: おー
[794.609] pmjtgyp: ないす
[795.060] oorei924: おおー
[795.095] ca5151: おー
[795.312] ちのぽ: おおおおおお
[795.527] 脳内人格者タルパーちゃん: やっとだ
[795.628] sabakanu: お
[795.882] ミィリス_0318: おお
[797.459] miu1119: お
[797.597] 嶺胡: 今北
[797.997] まこくん: わこらだ〜
[798.898] pnoniwatori: みどりーやさしー
[799.097] クマんじゅー: お
[799.472] utoi_hito: お
[799.595] rislo_tto: なすー
[799.610] akai_ringo_daaaa: ないす
[799.731] ｺﾄﾐｱ: ないすー
[800.783] da1marrrr: らっだぁ虚無やん
[801.224] (S)seillane: お
[801.429] ewokakou: お
[802.134] suiuuuuuu: わこらだ
[802.269] aya1207_: や
[802.323] 愛の林檎: いけるんかい
[802.346] 和泉ぴけ: 死人うるさいなw
[803.496] (S)nobume0v0: ないすぅ
[803.533] many7575: ないすー
[803.737] (S)あるみ屋: お
[803.755] 暇な爆弾魔: ナイス
[803.788] 白玉のハルハル: ないす
[803.893] ~MISSING_COMMENTER_INFO~: お
[804.608] mirumiru_h: 死人が1番うるさい
[804.620] ちゅるちゅるぅ: す
[805.316] mikan1185: お
[805.348] しあーー: radaoHi
[807.082] yuasee: 出た
[807.802] 愛の林檎: でたここ
[808.080] ngorongoroci19: ねっとりした動き
[808.528] akai_ringo_daaaa: おお
[810.587] ミィリス_0318: 一番最初に4んだやつが何言うとんねん
[811.193] 犬ﾚ: お
[813.706] (S)rimrfy: radaoHi
[813.817] akabeko0130: お
[813.886] 雨傘ライ: お
[813.950] (S)あるみ屋: 生き返ったw
[815.185] da1marrrr: なんか1人うるさくね？
[815.912] (S)AoironoMalco: 電気のやつか
[816.276] 愛の林檎: 見やすくなっとる
[816.363] baceneKo: おー
[816.725] わさびじる: お
[817.363] (S)dhisan_ino: なんか見やすくなってる
[818.080] runrun0302: お
[818.549] おつむぎぃ: 懐かしい
[818.609] 脳内人格者タルパーちゃん: スマイリー沢山いるとこだっけ
[819.278] tonkatsu_0920: 地下駐車場怖い
[819.513] ちゅるちゅるぅ: お
[819.821] wpj575: こy
[822.802] mikan1185: なつ
[823.973] ngorongoroci19: おおー
[828.038] denou777: え
[828.378] hima_norita: え
[828.566] ~MISSING_COMMENTER_INFO~: え
[828.755] オレオおおおおおお: え
[828.758] (S)sora_mameee: え
[829.263] 白玉のハルハル: お
[829.333] mikan1185: え
[830.273] yuasee: え
[831.001] すいぺりあ: え
[831.177] 脳内人格者タルパーちゃん: え？
[831.225] ikicha_2525: 絶対怖いやつやん
[831.270] (S)sutolaba: え？
[831.348] (S)dhisan_ino: 早速きた
[831.384] ewokakou: え
[831.394] ofurosaboten: え
[831.399] kotetsu_yuzu0108: え
[831.409] ryuto22209771: え
[831.521] (S)わらびもち_11: え
[831.606] mizuno0624: 画質○
[832.152] itoido: え
[832.202] ui_nemutai: え
[832.326] runrun0302: え
[832.384] 雨傘ライ: え
[832.559] batu_0009: え
[832.595] wpj575: え
[832.805] meruizu: え
[832.828] ayunosioyaki0223: え
[833.212] まだら25: え
[833.247] oreo_oic101: え
[833.986] ひのした: え
[834.010] (S)あるみ屋: え
[834.268] ミィリス_0318: え
[834.340] 青いアフロ: こんな暗かったっけ
[834.515] 白玉のハルハル: えぇ
[834.791] お値段以上の人間様: こy
[834.821] リライトパンダ: やばいじゃん
[835.063] sirasu224: ええ
[835.402] rya_ya: え
[835.493] わさびじる: え
[835.683] crowsuke96: え
[835.693] 愛の林檎: え
[835.842] shi__409: え
[836.521] (S)nobume0v0: え
[837.211] ngorongoroci19: こy
[837.640] ichinomyo_taro: え
[838.015] halcloud: わこらだ
[838.036] yuu4270: yuu4270 subscribed at Tier 1. They've subscribed for 23 months, currently on a 23 month streak! わこらだ
[838.548] (S)sutolaba: 偽物がいるってこと？
[838.784] ofurosaboten: こわ
[839.292] gakuto1007: 新しい場所やで
[839.547] ちゅるちゅるぅ: え
[839.557] ~MISSING_COMMENTER_INFO~: こっわ
[839.696] setsunananoda: え
[840.062] (S)sora_mameee: まじか
[840.305] youcan1201: ktkr
[840.318] ｺﾄﾐｱ: こy
[840.387] (S)seillane: え
[840.672] hima_norita: こy
[840.844] yayayayajapan: え
[840.907] 雨傘ライ: こy
[841.085] yuasee: こｙ
[841.120] eichan_2470: え
[841.256] itoyu_62: え
[841.464] 愛の林檎: こわ
[841.591] mirumiru_h: 裏切り者がいるってこと？
[841.656] mikan1185: 偽物おる？
[841.692] ura__5: こわ
[841.813] ngorongoroci19: えええ
[841.881] runrun0302: ニセモノがいんの？
[842.042] warabimoti42: え
[842.061] 脳内人格者タルパーちゃん: 偽物が出てくるのか
[842.077] kawaharaya: え
[842.121] motizunnda: こわ
[842.204] クマんじゅー: えぇ
[842.576] sanya0911: こわ
[842.819] NoPe_0110: 偽物がいるんか
[842.937] 犬ﾚ: こわ
[843.078] (S)kogumi_136: え
[843.205] sayorin25256: え
[843.330] (S)わらびもち_11: こy
[843.637] 格好いいよねロックマン: わこらだ、レウさんいる？
[843.806] tawashida_3000: え
[843.844] taakatuki1024: こわ
[844.028] 白玉のハルハル: こわ
[844.702] rtz3343dtm: ふえてる…
[844.939] どあちゃさん: え
[845.789] (S)あるみ屋: こわ
[846.166] (S)AoironoMalco: こy
[846.204] (S)seillane: こy
[846.593] takoyaki0917: おまえやん
[846.820] toipuzukidesu12: こy
[847.184] youcan1201: ここすき
[847.568] (S)kogumi_136: こy
[847.755] 愛の林檎: wwwwwwwww
[847.785] meron_san: こy
[847.984] kotetsu_yuzu0108: 偽物がいるんか...
[848.444] ミィリス_0318: こわ
[848.611] mikan1185: こy
[848.697] rtz3343dtm: こわ
[848.893] どあちゃさん: 怖いな
[849.785] sasami_yeah: こわ
[849.794] (S)ねこれ: れうさん…
[850.391] ak_type: わこらだ 
[851.013] わさびじる: こっわ
[851.775] ca5151: こy
[851.988] siguma0852: こy
[852.208] ngorongoroci19: ドッペルゲンガーぁぁぁ
[853.310] denou777: お前本当にらっだぁ？
[853.328] 猫の髭: radaoHi
[853.762] yunki1211: こy
[854.377] ayunosioyaki0223: wwwwwwwww
[854.929] batu_0009: こy
[855.139] オレオおおおおおお: wwwwwwm
[855.285] yuasee: wwwwww
[855.453] hima_norita: www
[855.582] とある実況者が推し: わこらだ
[855.711] da1marrrr: レウさんいないよ
[856.034] rtz3343dtm: れうさん…
[856.626] (S)よるむちゃん: IDの見せ合いかわち
[856.884] あく____: 偽物いるん？
[856.905] 梨一: 梨一 subscribed with Prime. They've subscribed for 41 months! 
[857.060] ikicha_2525: 20歳までは泣くってwww
[857.110] piroyaaan: こわこわ
[857.772] setsunananoda: いけよ
[857.869] (S)seillane: wwwwwwww
[858.050] ui_nemutai: wwwww
[858.632] motizunnda: wwwww
[858.775] どあちゃさん: wwww
[858.880] utoi_hito: だっれで
[859.018] (S)Ruria00: wwwwwww
[859.785] sirasu224: こy
[859.914] ewokakou: wwww
[859.921] ngorongoroci19: こy
[860.016] meron_san: radaoCry1
[860.096] warabimoti42: wwww
[860.220] (S)あるみ屋: wwwwww
[861.420] hisakids: こy
[861.535] rya_ya: www
[862.847] eichan_2470: こy
[863.408] ayunosioyaki0223: お
[864.094] miummm: こy
[864.596] denou777: いないレウ
[865.097] まだら25: wwwww
[865.253] mxesan: 笑笑笑笑笑笑
[865.490] 和泉ぴけ: らっだぁが勝手に行ったんだろw
[865.922] tonkatsu_0920: 背中守ってけ
[866.040] (S)つむじのきもち: 心スポあるあるw
[866.452] hisakids: わこらだ
[867.183] rtz3343dtm: こわ…
[868.024] 愛の林檎: お前はいつも背中守ってんな
[868.801] あやとちん: みどりくん早いからなぁ
[869.516] すのうこーひー: みんな上向こう
[870.138] utoi_hito: 草
[872.676] mikan1185: ホラー耐性カンスト勢のみどりくん
[872.812] rislo_tto: お
[873.493] shi__409: あ
[873.513] gaiantufan: わこらだ
[873.519] 白玉のハルハル: おぉ
[874.141] 愛の林檎: ん？
[874.380] yuasee: wwww
[874.467] (S)seillane: wwwwwwwwwww
[875.654] (S)inuyo: あれ
[875.932] ayunosioyaki0223: www
[876.320] (S)dhisan_ino: 黄色・・
[876.402] さつまいもごはん: !member
[876.527] (M)Nightbot: [solo]
[876.860] oreo_oic101: あれw
[876.893] rona0525: あ
[876.927] kotetsu_yuzu0108: wwww
[877.087] (S)sora_mameee: ｗｗｗｗｗ
[877.772] ura__5: wwwww
[878.270] 愛の林檎: wwwwwwwwwwwwwwwww
[878.429] (S)ベニマル: radaoHi
[879.095] (S)あるみ屋: wwwwwwwww
[879.622] 脳内人格者タルパーちゃん: 困った時は 
[879.986] sakuranoomoti: wwww
[881.071] 白玉のハルハル: www
[882.050] monmon09060: radaoHi
[882.288] 雨傘ライ: www
[882.315] frogflingpstfst: 俺の車体？ｗｗ
[882.336] miummm: ぶーぶやん
[882.653] オレオおおおおおお: みどりw
[882.656] romu_00: wwwwwwwww
[883.006] (S)nobume0v0: www
[883.187] mikan1185: wwwwww
[883.418] kurari_complex: これホラゲ？バックルームって世界感楽しむんちゃうん？怖いよ
[883.646] (S)よるむちゃん: www
[883.758] どあちゃさん: radaoHi
[884.235] ikicha_2525: きょーさんは？ww
[884.407] ngorongoroci19: 車がぁぁ
[884.454] rislo_tto: お前も乗るな
[884.472] こうか: わこらだ
[889.240] 脳内人格者タルパーちゃん: 遊ぶな
[889.274] 格好いいよねロックマン: 困ったときのみどりいろ
[892.266] (S)フュ: 悪ガキかよ
[892.707] eichan_2470: きょーさんない
[893.990] (S)ryuuunon: radaoToire
[895.261] kamereon_caiman: わこらだ〜
[898.305] 灰鷹: 今北産業
[901.482] mayupapepon: わこらだー
[905.978] utoi_hito: 色々変わってんな
[906.542] renkuwa0331: コンちゃんも紫だからなくね？w
[907.567] (M)Nightbot: YouTubeにクリップ集を投稿していきたいので、面白かったシーンなどを>>"タイトル"<<をつけてクリップ作成お願いします。画面の右下にクリップ作成ボタンがあります。>>"タイトル"<<を付けて作成してもらえると後でクリップを選出しやすくなります。よろしくね
[909.298] nanoha5201: わこらだー
[915.601] 愛の林檎: え
[915.654] omoti0319: 今北
[916.830] ngorongoroci19: 車ローンくんだのに,,,,
[917.989] rtz3343dtm: こわいな
[918.000] mikan1185: www
[920.146] えりさ_: www
[920.443] 雨傘ライ: www
[920.665] omoti0319: わこらだ
[920.737] yuasee: めっちゃ変わってるね
[922.017] とある実況者が推し: www
[922.795] 脳内人格者タルパーちゃん: 開くんかい
[925.218] omoti0319: radaoHi
[927.660] ちゅるちゅるぅ: WWWWWWWWW
[930.472] (S)あるみ屋: 何であかんかったんやw
[930.584] honehone_2: radaoHi
[931.899] 脳内人格者タルパーちゃん: なんかうるさいね
[932.554] crowsuke96: ｗｗｗｗｗｗｗｗ
[932.802] ngorongoroci19: らだ廃
[933.671] hima_norita: おっと
[933.746] yuasee: wwww
[934.621] ura__5: wwwww
[934.795] mikan1185: 人狼？
[935.310] 愛の林檎: wwwwwwwww
[935.458] itoido: ｗｗｗｗｗｗ
[935.519] オレオおおおおおお: あー
[936.279] ayunosioyaki0223: wwwwww
[936.499] 白玉のハルハル: こわ
[936.861] (S)sora_mameee: ｗｗｗｗｗｗ
[937.206] ewokakou: wwww
[938.113] えりさ_: wwwwwwwwwwww
[938.195] sakuranoomoti: なんでwww
[938.347] runrun0302: w
[938.355] miummm: radaoHi
[939.245] 和泉ぴけ: 人狼？
[939.503] 愛の林檎: あやc
[939.613] kotetsu_yuzu0108: wwww
[939.933] 脳内人格者タルパーちゃん: お？人狼
[941.137] itoido: リアルで疑うなｗ
[941.489] (S)あるみ屋: 人狼？ww
[942.006] (S)sora_mameee: 人狼はじまったか
[942.531] ｺﾄﾐｱ: wwwwww
[942.741] (S)nobume0v0: 人狼w
[942.877] (S)セレちゃ: wwwww
[943.746] るなにや: 人狼ww
[944.061] こはくとう041205: わこらだー
[944.064] mikan1185: 独り占めすんな
[944.212] ginger_1202: wwwww
[945.520] nekomaru52: いま北
[946.162] (S)Ruria00: おい
[947.175] kotetsu_yuzu0108: おい
[947.652] sirasu224: 人狼すなw
[947.834] rislo_tto: 人狼w
[948.707] 愛の林檎: せしめるな
[949.248] たくみん_1: ｗｗｗｗ
[949.325] (S)つむじのきもち: さいsく
[949.488] redooosannn: おい
[950.733] mk_37564: わこらだ
[950.738] dky_i111027: 人狼すなw
[950.972] gakuto1007: おい
[951.006] motizunnda: うわ
[951.710] (S)みんてぃぁ: 欲張りw
[951.825] ちゅるちゅるぅ: w
[952.021] sakuranoomoti: おい
[952.048] kado_kd: おい
[952.302] utoi_hito: うっわ
[952.574] 嶺胡: radaoWaterserver
[952.730] (S)その辺のねこ: radaoKasu
[952.952] あく____: 独り占めだ
[954.581] ~MISSING_COMMENTER_INFO~: 一回ね
[955.064] (S)リムヲ: 分け合えw
[955.362] (S)iza__13: radaoKasu
[955.502] ngorongoroci19: 独り占めw
[955.696] 格好いいよねロックマン: 人狼始まったな
[956.096] 暇な爆弾魔: radaoKasu
[956.836] _ヴォク: 犯人っぽい提案だ
[958.402] ちゅるちゅるぅ: うまそ
[958.585] 脳内人格者タルパーちゃん: すぐ死ぬくせに独占すんな
[958.804] kurokodai104423: 粕
[959.095] どあちゃさん: 吊っとこ
[959.305] miteruyotakaoga: radaoToire
[961.388] mikan1185: おい、占い誰だよー
[961.692] maromaro332: 人狼始まったか
[961.731] setsunananoda: 育ちがいい
[963.621] 愛の林檎: え
[963.870] ui_nemutai: え
[963.934] おつむぎぃ: backroomは人狼するやつじゃないだろ
[964.197] たこのめ: わこらだ
[964.902] (S)Ruria00: お
[965.277] hima_norita: ？？？
[965.782] yuasee: え
[965.998] 暇な爆弾魔: ( ﾟдﾟ)ﾊｯ!
[966.125] (S)あるみ屋: え
[966.597] オレオおおおおおお: えw
[967.130] kado_kd: ハッ
[967.368] mikan1185: 飲み込まれた？
[967.825] 労い: ？
[967.941] crowsuke96: こっわｗ
[967.949] たくみん_1: ２月１４日、、、
[968.081] ui_nemutai: ？？？？
[968.372] (S)makaron_016: ？？？
[968.630] (S)seillane: wwwwwwwwwwwwwwww
[969.066] きのこのこぉ: wwww
[969.208] ゴローだよお: わけっこしようなw
[969.712] (S)emazkirin: えｗｗ
[969.921] denou777: え？
[970.376] ayunosioyaki0223: www
[970.417] 灰鷹: これワイテがこないだやっててバクり散らかしてたようなww
[970.651] kono1110: radaoHi
[971.134] nasimaru18: ？？
[971.373] (S)Ruria00: ？？？
[971.377] runrun0302: ？
[971.379] baceneKo: ？
[971.848] ゴローだよお: ｗｗｗ
[972.292] nekomaru52: ？？？？？？？？？？？？？
[972.310] ewokakou: ？？？？
[972.603] sakuranoomoti: ？？？？
[973.188] (S)inuyo: ?????
[973.934] gakuto1007: wwwwww
[975.663] crowsuke96: おー
[975.977] 青いアフロ: ？？？？
[976.402] taakatuki1024: のみこまれ？？？
[976.591] 脳内人格者タルパーちゃん: ？？？？？？？？？？
[977.351] 雨傘ライ: ？？？
[977.354] mikan1185: ？？？
[977.360] 愛の林檎: ね
[978.915] さち_: ？？
[979.044] r_udhimaru: わこらだ
[979.110] すいぺりあ: ？？
[979.153] nosyuuuu: お広い
[979.198] kayadayo_: わこらだ
[979.261] kado_kd: あーなる
[980.697] (S)nobume0v0: おおお
[981.109] kado_kd: なるほ
[981.125] ura__5: wwwww
[981.647] オレオおおおおおお: wwww
[982.144] ｺﾄﾐｱ: おー
[982.510] (S)m_sakuta: おおおお
[983.082] 労い: wwwwwwwww
[983.126] 愛の林檎: リーンすな
[983.995] ewokakou: wwww
[984.469] (S)つむじのきもち: リーンで喜ぶな
[984.663] (S)yuuuu_2525: ？？？？？？
[984.738] motizunnda: あー
[984.994] おつむぎぃ: 黄色あった？
[986.142] crowsuke96: なるほど？
[986.202] (S)あるみ屋: リーンすなw
[986.263] alcoholsyodoku: あるかも
[986.348] miu_u0212: わこらだ
[986.349] many7575: みてないｗ
[987.095] (S)セレちゃ: おおお
[987.765] sakuranoomoti: ﾘｰﾝ
[988.513] setsunananoda: イキるな
[990.360] 愛の林檎: え
[991.343] momijiiiiiiiiii1009: radaoHi
[991.720] rikurikubo: わこらだ
[991.884] mikan1185: www
[992.391] yuasee: wwwwww
[992.488] 脳内人格者タルパーちゃん: え？
[993.314] oreo_oic101: www
[993.342] (S)seillane: wwwwwwww
[993.348] hima_norita: wwwww
[993.381] (S)AoironoMalco: 有能
[994.205] オレオおおおおおお: wwwwwww
[994.429] だだそ: radaoHi
[994.486] hanpen5385: リーンすな
[994.966] るなにや: wwwww
[995.002] ngorongoroci19: radaoCry1
[995.018] (S)Ruria00: wwwwwww
[995.207] 愛の林檎: wwwwwwwww
[996.262] (S)わらびもち_11: 黄色あった？
[996.369] runrun0302: wwwwww
[996.422] kotetsu_yuzu0108: wwww
[996.733] (S)あるみ屋: wwwwwwwwww
[997.013] ちゃちゃころ: ちゃびんぽてと subscribed with Prime. They've subscribed for 11 months! 
[998.132] yuasee: え
[998.806] taakatuki1024: www
[1000.027] (S)sora_mameee: ｗｗｗｗｗｗｗｗ
[1000.534] sakuranoomoti: wwww
[1001.120] れむら: わこらだ 
[1001.222] batu_0009: え
[1001.311] kayadayo_: ｗｗｗ
[1002.226] ~MISSING_COMMENTER_INFO~: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[1002.428] ura__5: wwwwww
[1002.518] crowsuke96: ｗｗｗｗｗｗｗｗｗｗｗ
[1002.655] aina___10812: ｗｗｗ
[1002.965] ayunosioyaki0223: えw
[1003.223] denou777: ｗｗｗｗｗｗｗｗ
[1003.293] wpj575: www
[1003.336] oreo_oic101: wwwwww
[1003.385] (S)抹茶の午後: ｗｗｗｗ
[1003.419] itoido: ｗｗｗｗｗｗ
[1003.451] puyopuyokun: www
[1003.486] かげぬい: ｗｗｗｗｗｗｗ
[1003.667] sunomono8: wwwwwwww
[1004.172] mikan1185: wwwwww
[1004.318] まだら25: wwwww
[1004.439] (S)AoironoMalco: wwwww
[1004.457] オレオおおおおおお: wwwwwwwwww
[1004.472] 犬ﾚ: wwwwwww
[1004.876] (S)わらびもち_11: wwwwww
[1005.149] (S)きのここ: wwwwwwwww
[1005.151] hima_norita: wwwwwwwww
[1005.166] shi__409: え
[1005.220] yuasee: wwwwww
[1005.396] とある実況者が推し: www
[1005.533] (S)seillane: あw
[1005.545] (S)rimrfy: wwww
[1005.596] はくまい_45: wwww
[1005.616] kotetsu_yuzu0108: wwwww
[1005.684] ryuto22209771: wwwwwwwwww
[1005.753] fish_37: 草
[1006.055] itoyu_62: wwwwww
[1006.259] batu_0009: wwwwwwww
[1006.276] るなにや: www
[1006.312] クマんじゅー: ww
[1006.313] おつむぎぃ: wwwwwwwwwwwwwww
[1006.447] ｺﾄﾐｱ: wwwwww
[1006.686] (S)nobume0v0: wwwww
[1006.763] kado_kd: wwwww
[1006.805] どあちゃさん: wwwwwwwwww
[1006.816] あぷあぷえる: wwwwww
[1006.937] ui_nemutai: wwwwwwww
[1006.948] スパーズ: wwww
[1007.030] すかあと: wwww
[1007.130] (S)ベニマル: wwwwww
[1007.182] (S)Ruria00: wwwwwwwwwwwwww
[1007.336] rona0525: wwwwww
[1007.362] なぷなつ: wwwwww
[1007.374] プラず: wwwwwwwww
[1007.434] ここねり: wwwwwww
[1007.453] color2525: ｗｗｗ
[1007.555] 雨傘ライ: www
[1007.569] (S)その辺のねこ: wwwwww
[1007.807] iriss3535: www
[1007.830] Ra_0601: ｗｗｗｗｗｗｗｗｗｗｗ
[1007.891] えりさ_: wwwwwwwwwwww
[1008.156] mirumiru_h: wwwwwww
[1008.626] rya_ya: wwwwwwwww
[1008.874] リライトパンダ: w
[1009.074] (S)seillane: バカw
[1009.117] (S)あるみ屋: 黙ってるからwwwwww
[1009.132] kami0820: なんでwww
[1009.194] 白玉のハルハル: www
[1009.218] (S)m_sakuta: 笑笑笑笑笑笑笑笑
[1009.285] 愛の林檎: m9
[1009.316] ひのした: wwwwww
[1009.356] ura__5: 草
[1009.854] setsunananoda: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[1009.995] taakatuki1024: wwwww
[1010.059] rislo_tto: wwwwww
[1010.071] ゆゆま_: こわwww
[1010.089] わさびじる: wwww
[1010.394] _ゆずれもん: wwwww
[1010.578] halcloud: wwwww
[1010.621] 和泉ぴけ: こわ
[1010.836] roune123: wwwwww
[1010.865] MORIYA_37: wwwww
[1010.872] mikan_san: 逆に冷静やん
[1010.922] minto13579: wwwwwwwwwww
[1011.231] あく____: wwwwww
[1011.259] (S)もあり: wwwwwww
[1011.313] akai_ringo_daaaa: wwwwwwwwwwwwwwwwww
[1011.482] なつおよ: wwwwwwwwwww
[1011.496] (S)haruneo_s: wwwwww
[1011.579] motizunnda: 飲んだwwwww
[1011.689] gakuto1007: wwwwww
[1011.726] ginger_1202: wwwwww
[1011.777] ofurosaboten: wwww
[1011.788] ayunosioyaki0223: wwwwwwwww
[1012.104] yuma75s: wwwwww
[1012.704] pmjtgyp: www
[1012.714] ruuga_1113: wwww
[1012.954] (S)あかね0313: なんでよwww
[1013.492] rislo_tto: あーあ
[1013.558] haruru3896: おいｗ
[1013.559] mizusakura0326: wwwwwwwwww
[1014.136] さち_: wwwww
[1014.289] nanosabo0726: wwwwwww
[1014.303] 暇な爆弾魔: w
[1014.351] koparu: ｗｗｗｗｗｗｗｗｗｗｗｗ
[1014.371] ｱﾁｬﾓ: wwwwww
[1014.378] tennchaan: わこらだ
[1014.599] mizuno0624: wwwww
[1014.822] きのこのこぉ: wwwww
[1014.859] nasube8: wwwwww
[1015.510] (S)よるむちゃん: 飲むの死ぬwww
[1015.748] たかぎ3: radaoHi
[1015.909] (S)mrgrtpsr: wwwwwwww
[1016.012] kayadayo_: びびりか
[1016.151] 脳内人格者タルパーちゃん: そーやってすぐ無駄にする
[1016.572] 愛の林檎: もったいなwwwwwwwww
[1016.776] setsunananoda: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[1016.912] 雨傘ライ: こywww
[1017.022] (S)inuyo: なにしてるのww
[1017.186] (S)バナナ民: radaoHi
[1017.424] (S)sintara12: wwwwwwww
[1017.646] れむら: wwwwwwww
[1017.862] fk3526: www
[1018.068] halcloud: こっわwww
[1018.114] qprz_: あーあwwww
[1018.780] わさびじる: あーあw
[1019.715] tawashida_3000: wwwwwwww
[1019.921] ゆちま: wwwwwww
[1020.525] yukikoro1103: 今北わこらだ
[1020.841] eichan_2470: wwwwwwwwwww
[1021.062] strawberry_7_2: wwwww
[1021.596] imagabell: もってるからやろ
[1021.690] youcan1201: びっくりしすぎてアーモンドウォーター飲むwwwww
[1021.787] (S)セレちゃ: wwwwwww
[1021.818] 愛の林檎: へー
[1022.378] sunoosan: わこらだ
[1024.800] (S)フュ: 手に持つなよwew
[1024.970] なぷなつ: 人狼すぎる
[1025.015] くろざき: wwwwww
[1025.065] あく____: こy
[1026.002] ｺﾄﾐｱ: 怖すぎw
[1027.977] 白玉のハルハル: ちゃんとこわい
[1027.978] れむら: あーあwwww
[1030.953] ikicha_2525: 今日はきょーさんがリア狂！
[1032.442] kado_kd: こy
[1033.210] narunaru0817: 終わったw
[1037.377] rislo_tto: とろうとするな
[1039.667] (S)あるみ屋: 取れなそう
[1039.935] おつむぎぃ: 誰だよ
