[14.078] 若鶏の唐揚げ: umeCossack
[1614.857] danny_love_danny: 病院でカウンセラー紹介してもらうとか、相談に乗ってくれるNPO団体あるよ。病院か役所に相談してみて！   厚労省の電話相談もあるから検索してみて！
[1625.989] akaoowasi: 家事とかでも何か変化がおきそうだ
[1637.771] chin_56_: シカト
[1637.886] ヌララザンギ: 人間不信て、結局、人間にしか癒せないもんな。社会生活する中では。
[1639.373] tsubucoro: スルースキル最強！
[1640.054] おあしすさん: ふむ
[1640.133] ガスおじ: なるほどな
[1640.941] のまい: 無視する技術難しいよなあ、、、
[1641.969] (S)potata_725: 「ありがとうございます」って他人に言って癒された事あったな
[1641.987] teruharu_: 人と関わるって疲れるけど同じくらい元気ももらえます
[1647.549] rsk1101: いい話だなー 自分にも当てはめたいね
[1650.171] (S)erisuk: それは難しいな～
[1652.977] 千葉県おっさん: 鈍感力？
[1658.926] kaomoji3: 雀荘で鍛えた技術
[1661.690] raurakd: 溜め込みすぎると潰れちゃう
[1661.912] chin_56_: 鬱は無視！
[1672.168] gularain: 負担にならならない？
[1676.501] nail06k: やばい
[1679.020] ましゅダヨ: 行動する力が今はなくても、何もしないでゆっくりするってことで力は少しづつ溜まってくるよ
[1681.041] おあしすさん: 入り込みすぎると
[1681.954] curemikan: うん
[1682.564] ガスおじ: そういうもんよ
[1683.061] ヨコグシ: BibleThump
[1683.074] のまい: mondoしたいんだけどいくらお金出せばいいかわからん
[1686.385] (S)mrhams1: rice and chicken tea ginger and lemon for energy building
[1689.988] kaomoji3: あぁ、そういう話か
[1690.794] akaoowasi: ですよねードレインされるよなー
[1690.870] benkura_jpn: インパクト
[1692.358] shiro_risu01: BibleThump
[1692.984] tsubucoro: beast 
[1696.662] mako6912: 引っ張られちゃう
[1699.529] suzu_mushi: 涙がとまらん、優しい人や、無理しすぎないでください
[1704.509] (S)inari_tencho: そういうのがうつ病の耐性なのよね
[1704.573] benkura_jpn: バクステ
[1704.686] ましゅダヨ: うめちゃんの感受性もすごいもんなあ
[1707.628] (S)erisuk: みないようにするのがうまい人達
[1708.552] tsubucoro: TwitchConHYPE
[1708.884] (S)びっくすまん: 良いこという
[1711.228] ましゅダヨ: うんうん
[1713.335] (S)mrhams1: Very serious 🧐
[1713.557] raurakd: それがメンタルの強さなのかも
[1717.956] milanor03: 精神科医の先生とかすげぇよホント
[1720.979] れい0127: うまくやろうとしなくていいと思ったな
[1721.908] (S)nakamura3278: 処世術よな
[1729.250] benkura_jpn: いい加減さも大事
[1730.194] (S)erisuk: それができねぇんだよなぁ
[1731.254] ましゅダヨ: スルースキルね、すごい大切だよ
[1732.317] degajun: PC壊れたストレス
[1736.412] une3333: ウメちゃんってスルースキルの塊だと思ってたけど、防御力が紙ゆえの能力だったのか...
[1737.949] くおお: 王が心身ともに安泰で健康でいて欲しいよ
[1745.629] yukinanyanko: 真に受けすぎなんだと思うね
[1746.182] kumamaku100: 太陽浴びたら、みんな一日がんばった
[1754.704] (S)トリプルカオマンガイ: tigeger subscribed with Prime. 
[1754.753] (S)mrhams1: Im Doctor hams dirty best 
[1756.446] akaoowasi: 回復する技術と防御する技術か
[1757.649] おあしすさん: あー・・・
[1759.919] ましゅダヨ: うんうん
[1766.254] ましゅダヨ: いるのよわかる
[1769.426] chin_56_: ばーかばーか
[1773.278] (S)inari_tencho: おしえたがりおじさん
[1774.486] tabibitox: お前も敵か？
[1779.073] kaomoji3: 処世術を学んだと
[1782.527] メタルぱんだ: わかる
[1783.583] 水増し: フレネミー
[1783.628] おあしすさん: 怖い…
[1785.675] たあぼ0126: 佞言か？
[1788.877] まるいとうふ: KSK
[1789.425] mako6912: いるいる
[1791.890] 箸くれ: 会ったこともない誰かのためにこんなに考えて優しくできる人そうそうおらん
[1796.113] benkura_jpn: それが家族だとガー不なんだよな
[1798.616] tsuchi_poyo: ◯◯のゲームやらないんですか？
[1798.878] yukinanyanko: 格ゲーと一緒だね 防御や避けは必須
[1799.790] chin_56_: ぜんぶ無視！
[1799.796] (S)nakamura3278: 身内だったりするしね
[1800.678] inuneko201: 人当たりいいんだよなｗ
[1801.287] ましゅダヨ: 違和感とかあるよ、まじでそういう奴
[1802.172] いぬみみ: いるよね 見極めるのが難しいね
[1808.978] ガスおじ: @cnin42 こういうのを無視する技術って感じか
[1810.322] (S)erisuk: 精神科医とかそのタイプいるからマジで危ない
[1813.330] (S)mrhams1: shonem mentality
[1817.541] ましゅダヨ: だよね。
[1826.824] ねこざけ: テストステロンさんも同じこと言ってるよね
[1827.631] benkura_jpn: 無敵の人
[1828.357] zwita2736: zbi
[1831.624] akichi018: ｗ
[1832.486] degajun: www
[1833.349] 憂う者の弟子: Muteki the Daigo
[1833.803] 箸くれ: ｗｗｗｗｗｗ
[1834.361] chin_56_: ですぅ〜
[1834.720] benkura_jpn: 志村けん
[1835.738] gokoussgss: 無敵
[1836.287] tsubucoro: どうでもいいですー 
[1836.678] (S)inari_tencho: 毒は吸収しなければ無毒ってな
[1837.336] (S)ぐるえむ: LUL
[1838.825] (S)軽く捻るか: ｗｗｗ
[1839.036] ましゅダヨ: そうそう、無視してるよね。すごいなと思う
[1839.239] kaomoji3: 志村w
[1840.489] (S)のまい: あ
[1840.537] akichi018: えらい
[1840.702] くおお: アタクス〜
[1841.198] おあしすさん: なかなかできんが
[1845.743] 箸くれ: umeYay
[1847.480] une3333: 防御力がカンストしてるわけじゃなくて、回避力がバカ高いわけだったんですね
[1850.126] ビフィダス: 何故か 無視してるから
[1853.386] (S)jamxqc: ジャスパ
[1854.585] yuzitadao: その特技はすぐできるもんじゃないから少しずつ養ってけばいいね
[1854.670] (S)erisuk: 全部スーパーアーマーで受けちゃうからなぁ
[1854.902] raurakd: umeBlocking
[1858.372] kimi_3_: ３の倍数
[1858.382] HAGEMEGANE: 鈍感力っていうかね
[1861.685] ビフィダス: わかるわかる
[1862.993] (S)gyumao: カマタクみたいになったｗ
[1864.832] akaoowasi: じゃないと壊れちゃうもんね
[1873.245] ヌララザンギ: スルースキル…
[1876.324] (S)acehirotaka: どうでもいいやつにムキになっちゃうよなぁ。車の運転とか
[1879.291] ねこざけ: 泣けるぜ(´・ω・)
[1879.913] おあしすさん: ありがたい
[1880.117] teruharu_: 切り替えうまくなりたい
[1882.005] ガスおじ: 聞いてくれるだけで助かってると思うよ
[1883.383] mako6912: ありがたい
[1884.005] (S)びっくすまん: 現実には画面端はないので永遠にバクステしましょうってことか
[1884.613] tanu_p: karubisFurifurii
[1885.211] gularain: 軽いのほしいな
[1886.448] (S)mrhams1: you are Saitama daigo 
[1889.068] kaomoji3: 人生に答えるなんて無理よね
[1891.566] クレちゃ: 素晴らしい
[1892.905] ましゅダヨ: 寄り添って欲しかったんだと思う、この人たちは
[1893.048] (S)mrhams1: umeWin
[1895.583] raurakd: 最良の答えだった気がする
[1898.236] jagajaga1943: 無視すること
[1899.118] chin_56_: 💢💢💢
[1902.186] (S)inari_tencho: 温度感草
[1904.235] おやつハンター: マーダー
[1905.041] まるいとうふ: PunOko
[1907.373] sonic_chop: 日向ぼっこして養生してね！！
[1912.828] 憂う者の弟子: オコだよ ヽ(｀Д´)ノ
[1916.263] ビフィダス: お、怒りマネジメント
[1917.521] おあしすさん: おー
[1918.471] nail06k: ほー
[1920.795] inuneko201: すごい
[1922.862] une3333: え、すごい
[1924.437] じゃっｶﾙ: すごいねぇ
[1927.442] (S)nakamura3278: すげえ
[1931.710] super_fluo: 人気店だ
[1932.529] kaomoji3: そうめん屋かぁ、珍しいね
[1932.647] jagajaga1943: ｗｗｗ
[1933.047] chin_56_: やがりました
[1933.366] tabibitox: やがりｗｗｗ
[1934.175] maya_g01: ｗｗ
[1934.232] シンノ: ｗｗｗｗ
[1935.375] fbhjkl: ScaredyCat
[1935.432] sei_6: WWWWWWWWWWWWW
[1936.282] ましゅダヨ: 私もうつ病だから、そういうこと人達に寄り添ってくれてありがとうね、うめちゃん。
[1936.487] メタルぱんだ: ！？
[1936.810] degajun: ええやろｗ
[1936.810] nikukuisugi333: ｗ
[1936.995] 箸くれ: ｗｗｗｗｗｗ
[1937.302] chachachakoma: wwww
[1937.611] (S)inari_tencho: 草
[1937.719] いぬみみ: ｗｗｗｗｗｗ
[1937.909] neojapan01010: wwwww
[1938.144] (S)nakamura3278: 笑笑
[1938.698] mm2351: ｗ
[1938.873] kaomoji3: あっ
[1939.063] じゃっｶﾙ: 流れ変わったな
[1939.140] おあしすさん: やってきたな
[1939.252] ヨコグシ: ｗｗｗ
[1939.269] ビフィダス: ぎゃー
[1939.374] one596: 凄い場所で凄いピンポイントの店やってるのなんなんだよw
[1939.772] gokoussgss: これ相当起ってるなｗ
[1939.783] sonic_chop: ｗｗｗ
[1940.106] une3333: それはキレるかもｗ
[1940.615] ましゅダヨ: え
[1941.552] 水増し: wwwwww
[1942.944] harunan808: 草
[1943.262] (S)yukikaze083: ｗｗｗ
[1944.395] benkura_jpn: 同キャラ
[1944.479] kaomoji3: クソがー！
[1945.164] mako6912: wwwww
[1945.251] (S)mrhams1: drink tea 
[1945.406] ビフィダス: パクリじゃー
[1948.116] (S)びっくすまん: これ地元民ワンチャン分かっちゃうだろ
[1949.709] (S)ぐるえむ: ふざけてるｗ
[1950.042] shinobuchan4649: 同キャラ使いか・・
[1951.363] chin_56_: なぁ〜んでだよ
[1951.479] sonic_chop: 面白いなぁw
[1951.956] 水増し: ブチギレっす
[1952.047] teruharu_: なぜそうめんなのか
[1952.561] ぐぐっす: しゃあないこれは・・・
[1955.634] inuneko201: コメディみたい
[1955.904] akaoowasi: そうめん需要を上げたから漁夫されちゃったわけかー
[1956.360] benkura_jpn: 返しインパクト
[1959.244] 新福菜館マン: 笹寿司さー
[1961.594] gomesu: Tシャツの文言「そうめん屋」に決まりましたね
[1962.393] tabibitox: 知らんのかいｗ
[1962.902] (S)erisuk: 近くは確実にやってる
[1963.877] neojapan01010: 明らかにわざとだよな
[1965.254] ましゅダヨ: そこは知らないんだww
[1967.160] tsubucoro: w
[1967.163] じゃっｶﾙ: 減ってなくてもだめかw
[1968.350] mako6912: せめてそば屋にしろやw
[1969.063] くおお: 草
[1969.207] chin_56_: ﾑｶﾑｶﾑｶﾑｶ
[1970.076] ビフィダス: この人のそうめん食いにいきてえ
[1970.623] 箸くれ: これは気持ちわかりすぎる
[1970.769] Sunsun_the_Sunfish: いろんな質問がくるなあ～
[1972.038] ヌララザンギ: このパクりは法律で裁けないもんなあ😂ストレスだわ。
[1972.198] cafu556: そうめん屋って珍しいな
[1972.277] gettyozi: 笹寿司笑ったｗｗ
[1972.492] super_fluo: 何でそうめん被せてくるんやw
[1972.648] lucentsnow: ｗｗｗ
[1973.663] (S)nakamura3278: これは結構根深いなw
[1975.938] ねこざけ: これも難しい質問だｗ
[1976.189] HAGEMEGANE: スパイしに行こうぜｗ
[1979.838] une3333: まずそうめん屋ってどういうお店なんだろう
[1980.041] WhiteShoreDrive: そうめんニキが頑張ったから来たんじゃｗ
[1980.323] ましゅダヨ: マンガかwww
[1980.771] tabibitox: 相手の客足調べろｗ
[1981.008] sonic_chop: 面白いねぇww
[1982.183] (S)mrhams1: Jamie no alcohol
[1982.606] (S)erisuk: 常連さえ掴んでるなら油断しなきゃいける
[1982.843] (S)毒見ユッケ: そうめん屋とか見たこと無いのに2件も
[1983.749] akichi018: そうめん屋被せてくるなんてなぁ
[1984.670] メタルぱんだ: ｗｗ
[1984.746] ヌララザンギ: 焼肉屋にしろよt
[1986.866] yuzitadao: すべらない話きたあ
[1987.087] (S)inari_tencho: 持ちネタ
[1987.134] shinobuchan4649: 並ぶなら他でくうもんな・・
[1987.350] ビフィダス: 良い質問だなぁ
[1988.338] lucentsnow: そばにでもしろよｗ
[1990.820] degajun: ｗｗ
[1990.841] chachachakoma: これおもしろいよねｗ
[1991.146] maya_g01: 洗練させていけ
[1991.837] 好きな言葉は森林伐採: そうめん落語
[1992.505] メタルぱんだ: もっと！？ｗ
[1998.449] 六角橋アキ: そうめんって外で食えるとこめちゃくちゃ少ないよね
[1998.501] akaoowasi: たしかに面白い！！
[2000.486] (S)shog1994: 闇話題案件
[2001.052] ビフィダス: www
[2001.263] redpeppar510: そうめん屋ってことは奈良県とかなんかな
[2003.142] roi3s: 落語みたい
[2003.476] pandasan_power: とりあえず１回食べに行ってみてほしい
[2003.920] harunan808: 草
[2004.576] ましゅダヨ: すべらなぁーい話
[2006.468] sonic_chop: ｗｗｗｗｗｗ
[2006.934] シンノ: おもろｗｗｗ
[2008.014] 水増し: wwww
[2009.411] tsubucoro: 🤣
[2009.645] 箸くれ: 相手大ファン
[2009.821] sei_6: 客を奪われなくてよかったよ
[2010.419] (S)さえぐさたくま: もっと増やして地元をそうめんの郷にしてしまおうぜw
[2010.606] Loytory: かぶせw
[2012.458] ヌララザンギ: 三件目出来たら伝説になるw
[2012.918] kaomoji3: 戦争よ
[2013.278] nail06k: いずれそこの名物になっていくかもしれん
[2015.884] prototypeie: マジモンのかぶせ
[2016.837] yuzitadao: なんでそこで競合すんねん
[2018.952] akichi018: 炭酸水が出るとこで炭酸そうめんとかはあるけど、これはレア
[2021.949] lclc98765: キャラかぶせ！？SFLじゃん
[2025.400] akaoowasi: それこそ短編小説にいけるぞ！
[2026.405] 超パンダ: そこの店主と過去になんかなかったか？w
[2027.127] fj_honey: ニ束目のそうめん
[2027.681] super_fluo: なかなかないよな
[2030.063] chin_56_: わろとるでえ
[2030.574] ほげええ: ちょっと面白い
[2031.188] sonic_chop: ｗｗｗ
[2031.490] une3333: この先にもっとすべらない話が待ってるかもしれないとｗ
[2033.764] ヌララザンギ: そうめん横丁作ろうw
[2035.127] (S)mrhams1: umeBoom
[2035.258] ましゅダヨ: そうめんにそこまで需要あるのかよww
[2035.558] (S)nakamura3278: 相手どう思ってんねん
[2036.543] raurakd: そーめんw
[2036.543] chachachakoma: ちょっと実際に見てみたいｗ
[2036.727] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2036.765] (S)jamxqc: ドラマチック
[2037.616] sonic_chop: ｗｗｗｗｗｗ
[2037.731] une3333: こんなガン被せあるのかとｗ
[2038.812] Botamoti1: 四国のうどんはよくありそうな話だけどなｗ
[2039.356] blackcoffee0821: でもさー
[2039.384] kitakaze_kita_kita: 本人は人生かかってんのにｗ
[2040.085] kamakiri7: 「たまたま」だろ
[2040.390] ねこざけ: そうめんの名産地にしてそこのパイオニアとして生きていこうｗ
[2040.776] tmtm84: そうめんピックかぶせ？？
[2040.916] (S)びっくすまん: ウメソバ
[2040.959] (S)potesaraudon: そうめん屋を何にでも変えれそう
[2041.076] benkura_jpn: そうめん屋が珍しいのに
[2044.334] mako6912: 日本一のそうめん屋になってくれw
[2045.102] ara5588: 浅はか過ぎるw
[2045.537] ビフィダス: Tシャツ、「そうめん屋」
[2047.619] (S)erisuk: ヘマしなきゃ熟練度ある分まけようがない
[2047.956] milanor03: 始めやがりましたw
[2048.218] maddy2623: 解決策 無し！
[2048.308] naoto_0805: イライラするところまでがセットでｗ
[2048.350] teruharu_: 負けないでそうめんのトップになってほしい
[2048.777] pandasan_power: 10年後にはそうめんが名産になってる可能性ある
[2049.717] 箸くれ: そんな店あんまり無さそうだから身せんか？ｗ
[2051.598] (S)nakamura3278: ほっこりになったw
[2051.705] 無心に: その小話、そうめんだけにね、で締めて欲しい
[2052.507] よもぎです: 素麺街道になるんだろうか
[2052.519] prosciu: 解決はしないが面白い
[2053.061] メタルぱんだ: 洗練するためには、色んな所で話さなきゃなぁ
[2053.358] (S)rockmantarou: ローソンの近くにファミマが出来てローソンが潰れた話にあった
[2053.414] une3333: そうめん屋みたことないもんなぁｗ
[2056.997] ミカロニ: イライラの解消はしないんか
[2061.181] lucentsnow: かぶせてくるなよｗ
[2061.775] sonic_chop: どうでもいいけど東中野に美味しいそうめんやさんがあるよ！w
[2062.992] sefo_xdd: 質問の答えになってなくて草
[2064.815] 17_4590: 未解決事件行
[2073.828] ましゅダヨ: wwwwww
[2074.030] ヨコグシ: ｗｗｗ
[2076.233] maya_g01: ｗｗｗｗ
[2077.050] chachachakoma: ｗｗｗｗｗ
[2077.971] 箸くれ: ｗｗｗｗｗｗｗｗｗｗｗ
[2078.422] メタルぱんだ: ん？ｗ
[2078.643] yuzitadao: まずいww
[2078.889] teruharu_: ｗｗｗｗ
[2078.955] sonic_chop: ｗｗｗｗｗｗｗ
[2080.150] fbhjkl: LUL
[2080.232] chin_56_: ﾁｰﾝ
[2080.709] (S)nakamura3278: www
[2081.734] 箸くれ: また払えてねえｗｗｗｗｗｗｗ
[2082.484] gokoussgss: ｗｗｗｗｗｗｗ
[2084.268] ましゅダヨ: あ
[2084.285] une3333: なんで身銭を切るんだｗｗ
[2087.992] ビフィダス: 返金兄ぃww
[2088.328] ユキゆき: なんじゃそりゃwww
[2089.868] (S)mrhams1: akuma is back 
[2090.782] tabibitox: どんだけ金欠やねんｗ
[2091.403] maya_g01: これも返金だったあ
[2092.406] chachachakoma: なんだよこれｗｗ
[2093.817] (S)potesaraudon: 全部受け取ってないのｗ
[2094.627] ねこざけ: ｗｗｗｗｗ
[2095.679] semisemi120: わろた
[2096.624] (S)inari_tencho: 草
[2096.672] one596: ダメだったw
[2096.877] sho01: www
[2098.407] にしん__: えー返金ですw
[2098.424] chin_56_: 間が悪い
[2099.239] prosciu: www
[2099.472] ましゅダヨ: あああああああ！！！！！
[2099.571] ヨコグシ: ｗｗｗｗｗｗｗ
[2099.818] ガスおじ: 草
[2099.960] (S)yukikaze083: ｗｗｗ
[2100.805] degajun: ww
[2101.199] (S)ぐるえむ: ｗｗｗ
[2101.932] Botamoti1: 草
[2102.623] sonic_chop: ｗｗｗｗｗｗｗｗｗｗ
[2103.442] おやつハンター: ｗ
[2103.970] ねこざけ: オチがあるなあｗｗｗ
[2104.131] gokoussgss: ｗｗｗｗ
[2104.331] (S)軽く捻るか: ｗｗｗ
[2105.670] teruharu_: ごめーーーん
[2106.127] (S)nakamura3278: 全部期限切れw
[2108.724] gettyozi: 送り得か？
[2108.907] ましゅダヨ: なんでだよお！！ww
[2109.288] (S)ひじきもち: ｗｗｗｗｗｗｗｗｗｗｗ
[2109.391] ビフィダス: wwww
[2109.745] suupu: ｗｗｗｗｗｗ
[2110.531] (S)nakamura3278: なんなんww
[2110.565] akaoowasi: 返金処理されたことに立腹なのは面白いw
[2113.343] kimanaka28: ビッツでお願いします
[2116.205] (S)軽く捻るか: 期限短すぎるｗ
[2116.913] 箸くれ: 代わりにサブスクぶちまけたりしよう
[2120.552] ビフィダス: ほっこりすんなぁ
[2126.626] ましゅダヨ: ちょっと詐欺まがいやん！ww
[2126.771] (S)mrhams1: Nigthmare Im go training jurie 
[2130.276] no_name_0521: あ
[2133.370] hachi__hachi: 排水笑
[2133.726] よもぎです: ちょっとw
[2133.733] ましゅダヨ: ミームww
[2134.039] maddy2623: そうだっけ？
[2134.611] gettyozi: え、そうなの？
[2136.454] Justinfun456321987: 排水
[2136.537] (S)nakamura3278: 排水
[2138.218] 憂う者の弟子: こどおじふぉーえばー
[2138.482] une3333: え、子供部屋おじさんってウメちゃん発だったの？
[2142.248] chin_56_: ウメ起源？
[2142.694] メタルぱんだ: 梅ちゃん発進ってほんと？
[2143.039] pandasan_power: ウメスレ発祥で全国デビューした言葉
[2143.748] one596: 意味が微妙に違うけど手今とあれは
[2144.857] tmtm84: はいすいｗｗｗ
[2146.123] moricocoa: 実はそうなんだよね
[2146.864] degajun: ｗｗｗ
[2147.073] (S)nakamura3278: そうなん？
[2147.341] une3333: さっきの話で言うとスルーだよねｗ
[2147.664] sonic_chop: ｗｗｗｗｗ
[2147.879] akaoowasi: シコハゲとか？
[2148.839] LCDReturns: Daigo Shave 
[2149.358] yuzitadao: クソどうでもいいだろ笑
[2150.780] (S)びっくすまん: うめちゃん発祥だったら逆に美味しいだろ
[2151.381] ガスおじ: 子供部屋おじさんかぁ
[2151.636] Loytory: だよねw
[2154.182] しょうぐん777: ウメちゃん発じゃないだろｗ
[2155.846] おやつハンター: 持ちネタ
[2157.593] (S)rockmantarou: mond無用
[2158.948] すけりょー1011: こどおじ=ウメちゃんではないだろww
[2162.830] sefo_xdd: 本人効いてるだけじゃんね
[2165.981] tabibitox: まぁウメちゃん起源やで一応
[2166.870] ミカロニ: ウメスレ発祥らしいね
[2166.947] kamakiri7: ウメハラ発祥なのこれｗ
[2169.069] ましゅダヨ: ハッピーハッピー
[2170.052] pandasan_power: ウメスレ起源なのはマジだよ
[2171.139] tsuchi_poyo: ウメ発では無いだろw
[2171.618] ryuken_future: この用語ウメちゃん発祥なのｗ？
[2172.540] sonic_chop: 面白いの続くなぁww
[2184.928] akaoowasi: ただ世間の心を掴んだミームになったからなー
[2185.552] chin_56_: 惹かれてるな
[2187.165] Livan_Lilivan: 40代多くね？
[2190.557] gaming8898: ヤベ江やつ多いなｗ
[2198.138] tabibitox: そうめん屋か？
[2199.923] tmtm84: そうめん？
[2199.931] y_proto: 意外と知られていない格ゲー界隈発祥用語
[2200.892] ryuken_future: さっきのそうめん屋か？
[2202.081] sei_6: ？
[2204.880] maddy2623: 子供部屋おじさんはウメちゃん発祥じゃないとおもうけどな
[2205.711] harunan808: そうめん屋やりそう
[2205.749] prosciu: そうめんか
[2206.654] (S)びっくすまん: こどおじウメスレj起源だったのか…知らなかった
[2207.052] nail06k: しゅげー
[2210.125] chin_56_: 満喫満喫
[2210.352] (S)rockmantarou: 割とウメさんの年齢に近い人多いね
[2210.424] sonic_chop: あら凄い
[2215.908] sefo_xdd: そうめん屋多いな
[2218.403] (S)mrhams1: sayko power full 
[2221.282] mako6912: そうめん屋はやめたげてw
[2222.862] まるいとうふ: 欲は尽きない
[2223.934] perfecttakahashi: こどおじはマジでウメスレ発だよ
[2227.644] ましゅダヨ: ええ……
[2230.854] kimi_3_: 向かいのそうめん屋か？
[2235.707] 水増し: そうめん被せ側だったら面白い
[2237.333] tmtm84: 改装したんか？
[2238.087] (S)びっくすまん: これそうめん屋被せてきたやつじゃね？
[2240.359] (S)nakamura3278: 大丈夫かその話
[2240.839] (S)mrhams1: akuma Big menace
[2245.534] tabibitox: これは競合してきたそうめん屋やな
[2260.282] (S)rockmantarou: ソーメンかぶせてきた人ならおもろいｗ
[2260.580] ガスおじ: 学がある
[2263.120] (S)mrhams1: 🫣😈
[2263.526] akaoowasi: 起業している時点で人生賭けたギャンブルしてんだから刺激満点だろうに
[2263.629] chin_56_: 失敗すればぁ
[2267.830] DancingSheep1119: 長いしウザい
[2271.006] Botamoti1: そうめんやの流れからだと面白く見えるｗ
[2272.774] (S)マイド: これがさっきのそうめん屋か
[2274.584] ましゅダヨ: どんな世界なん……
[2281.343] une3333: 田舎での立場や信用ってなに...??
[2283.688] (S)erisuk: 事業が失敗しての借金でなんで信用失われるんだ？
[2291.853] まるいとうふ: やれとも言えんだろこれはw
[2295.127] lucentsnow: 3件目のそうめんやかもしれん
[2295.927] エノオウ: 家族に相談が先な気が・・・
[2297.427] (S)acehirotaka: そうめんチャレンジ
[2298.109] (S)nakamura3278: 後戻りできる範囲でチャレンジせんと
[2301.511] 無心に: そうめん…
[2305.077] (S)mrhams1: Life is challenge
[2305.102] hassan0825: りゅうきちか
[2306.088] sefo_xdd: そうめん屋やればいいよ
[2306.130] akaoowasi: 知らんよなー
[2307.563] yuzitadao: 家族はなんと？が先では
[2318.169] Loytory: うん
[2318.995] (S)びっくすまん: 3件目のそうめん屋候補は笑う
[2319.014] ましゅダヨ: ほお
[2319.839] maya_g01: んっ
[2336.925] gettyozi: ３つは安心できる
[2338.869] Botamoti1: 企業しても元のことの延長線上だとたいして刺激もかわらないように思う
[2342.691] akichi018: 熱量がないのと、巻き返し出来なさそう
[2347.082] ガスおじ: あぁ
[2360.409] (S)mrhams1: ok Im Fly Aligato thanks all bye-bye the best 
[2370.942] kisegawa_eternity: 馴れただけじゃないかな
[2383.095] degajun: 刺激足りなくなってきたから、ビジネスチャンスに乗りたい感じ？
[2385.953] chin_56_: ギャンブルか
[2410.841] perfecttakahashi: なるほど
[2423.108] akiraz3: 石？
[2423.150] fbhjkl: PogChamp
[2424.234] メタルぱんだ: ん？
[2426.262] (S)さえぐさたくま: 今の仕事の中で新しいことを始めることだって出来るはずだろうに
[2432.668] perfecttakahashi: 石！？
[2433.994] degajun: 宝石？
[2434.183] maya_g01: おおー
[2434.223] one596: もう極致じゃんお姉さんw
[2435.006] tabibitox: へー
[2436.162] じゃっｶﾙ: 枯山水てきなやつか
[2437.458] fj_honey: 勉強とは？
[2438.167] ましゅダヨ: wwwwww
[2438.661] Loytory: 興味が尽きないのほんとすごい
[2442.656] (S)potata_725: 鉱物？
[2444.322] よもぎです: 彫刻？
[2444.469] iguchiill: 鉱物かな
[2445.113] (S)nakamura3278: へええ
[2445.188] くおお: 姉ハラさん興味湧いたらすぐ行動できるのすごい
[2446.737] gettyozi: パワーストーンか？
[2448.814] ましゅダヨ: あらあー
[2448.971] yuzitadao: まあ学ぶってそういうことやからなー
[2449.103] chin_56_: 石好きだな
[2450.262] akichi018: 動機が先で動き出してるんだよね
[2451.033] akiraz3: 鉱石とか宝石みたいな感じか？
[2453.375] (S)ひじきもち: すんごおおおお
[2453.891] ましゅダヨ: wwwwww
[2454.313] maya_g01: 寿司！
[2455.001] benkura_jpn: 謳歌してるな
[2455.407] くおお: 寿司！
[2456.069] fbhjkl: PogChamp
[2456.224] WhiteShoreDrive: 多芸過ぎるｗ
[2458.152] yutanatana: いいですね～
[2459.396] perfecttakahashi: 寿司wwww
[2464.810] y_proto: 謳歌している
[2465.682] akiraz3: 寿司かよｗ
[2467.660] ましゅダヨ: バイタリティすごすぎるww
[2469.870] oleo0227: 興味持ったらすぐやってみる人達なんだなあ
[2476.128] yudedako: 多趣味一家か
[2483.035] kaomoji3: 余りにも多才
[2487.708] kisegawa_eternity: 多才な一家ですね
[2488.190] akaoowasi: 自分で楽しめているんだなー
[2490.199] (S)potata_725: 気力体力すごい
[2492.167] ましゅダヨ: やっぱこの親にしてって感じだね
[2497.083] yuken_t: 至言だな
[2505.579] yuzitadao: 楽しみ方の視野が狭いのかな
[2520.472] kakitama5: 仕事の内容や規模の問題でもないと
[2552.490] (S)nakamura3278: うん
[2562.020] (S)ponponguripon: 読みやすい
[2593.642] ラリメモ: 趣味で刺激が欲しいなら料理初めて見るのも結構良いぞ食べる幸せと作る楽しみで両立できる
[2601.288] sonic_chop: へぇ～
[2602.976] ましゅダヨ: 病院で勤めてた！？すごー
[2603.869] chin_56_: いっかあ
[2615.924] fj_honey: 歌舞伎者や
[2618.213] ましゅダヨ: ん？
[2619.663] fbhjkl: WutFace
[2620.438] kaomoji3: 更にロシアに行こうとしてた話好き
[2620.681] 憂う者の弟子: おそろしあ
[2620.831] WhiteShoreDrive: ！？
[2621.961] くおお: ！？
[2621.985] chin_56_: おそロシア
[2622.461] (S)ponponguripon: w
[2622.691] suupu: ｗｗっうぇ
[2625.378] kakitama5: 海を大幅に超えた
[2626.370] shiro_risu01: ！？
[2627.870] (S)nakamura3278: なんで寒い方寒い方にw
[2632.007] (S)potata_725: すごいな
[2633.228] one596: 酒か？酒なのか？
[2634.441] ましゅダヨ: ついにww
[2635.337] tabibitox: ロシア計画とん挫したおかげで今のウメちゃんがあるｗ
[2637.638] (S)erisuk: ロシアＮＧ
[2639.330] chin_56_: ウメモフ
[2640.382] (S)さえぐさたくま: まだソ連時代じゃない？
[2642.260] kimanaka28: ウメパパすごいなｗ
[2663.366] ましゅダヨ: そうだよねwwwww
[2666.985] sonic_chop: ｗｗ
[2667.494] perfecttakahashi: www
[2669.188] sei_6: ウメザンギになるとこだった
[2670.937] kakitama5: 行ってたらウメちゃんがザンギエフになってた可能性も
