[13.787] (S)RFKage: umeCossack
[2146.575] (S)とも8はる: 若い人はダイヤのAじゃないの？
[2147.628] sn0wf0x3: 20代はメジャーやろ
[2150.614] goozy009: 巨人の星は50代
[2151.734] np2np: ドカベンじゃない？
[2151.886] ぬかづけ: あだち充は正直野球かっていうとなんか恋愛っぽくねって思う
[2152.033] mack_yy: スラムダンク的なポジションはむずいなぁ
[2156.478] ババシャツ: 最新はダイヤモンドの功罪か？
[2157.693] syu7170: ドラベース懐かしすぎるw
[2157.993] neojapan01010: ドラマ化でいえばルーキーか
[2158.506] (S)noriyuki3: たぶん30代もメジャー
[2160.111] jigokunonekomatu: 巨人の星は世代がね
[2160.118] 3113JP: アブサン
[2162.721] sh1zuku716: ４０代だけどドカベン見たことないな
[2162.933] niwakanoppo187: 見てたね～ｗ
[2164.158] pesca_gigantessa: ドリームス
[2164.791] bokuchan44: 緑山高校おもろいよ
[2171.793] zyagamon: ストッパー毒島は神だぞ
[2172.240] (S)poriporikaku: サンダーバキューム
[2172.696] (S)rm_rf__: 最強の敵が落合だからねw
[2173.987] niwakanoppo187: サンダーバキュームボールみんなやったね
[2176.507] バーニングチャーハン: 野球部に地味に人気なドラベース
[2177.506] kireboshibasyato: 魔球だからなぁ
[2179.270] yusan090: 侍ジャイアンツのムチャクチャ
[2180.153] neojapan01010: 今ヤンジャン野球漫画３つあるよね
[2186.067] yoshikawa_yo: 野球もサッカーもやってるアイアンリーガー最強って話に
[2187.159] pondenring0930: 消える魔球、七色の魔球
[2190.722] 闘劇のアルベルト: タッチかあ
[2193.203] goozy009: そりゃね
[2193.717] gettyozi: まーーーじか
[2195.511] ミジンコ隊長: はえー
[2196.053] (S)おしるこ11: ほなタッチかあ
[2197.874] lucentsnow: あだち充つよい
[2199.687] (S)ジャアスティン: アストロ球団は？
[2203.284] chin_56_: 駆けろ大空
[2203.847] zyagamon: じゃ、タッチで
[2204.398] erisuk: 世界で売れてるのはそうなる
[2207.378] niwakanoppo187: タッチはブームに近い
[2207.737] zyangara2: タッチ世代じゃなくてもアニメの再放送でかなりの人が見てるよね
[2208.606] kireboshibasyato: タッチは野球を楽しむものなのか
[2211.876] tanu_p: 野球というか青春漫画だろ
[2212.682] mack_yy: タッチで野球は好きにならんのよなぁ
[2215.081] ymdmad: ミスターフルスイングもあったなー
[2215.192] neojapan01010: ここのおっさんらはなんと孫六好きそう
[2216.120] (S)noriyuki3: タッチってそんな売れてんのか
[2216.226] (S)rm_rf__: タッチはでも王道かと言われると
[2216.911] ぬかづけ: タッチ野球漫画かなぁ
[2218.106] goozy009: 何回愛蔵版出てるかわからん
[2223.719] np2np: それは聖書理論に
[2225.025] (S)黒猫くん: タッチを野球漫画として見るならそうね
[2226.651] nekositi: タッチは野球漫画のイメージはないなｗ
[2227.906] zyagamon: してない
[2228.100] rock69696969: ｗ
[2228.672] 闘劇のアルベルト: ラブコメ寄りだね
[2231.774] (S)おしるこ11: おいｗｗｗ
[2232.443] (S)イエール: wwww
[2232.677] ババシャツ: ww
[2233.358] neojapan01010: ｗｗｗ
[2233.929] ミジンコ隊長: そうなんだ
[2234.439] maya_g01: んっ
[2234.599] (S)とも8はる: 野球漫画としてでいうと違う感
[2234.744] malionl: ｗ
[2235.184] raurakd: 草
[2236.417] aranami0: 暴論やぞｗｗｗ
[2236.718] ikiguru: 野球始めさせたのはドカベン多そう
[2237.534] sn0wf0x3: wwww
[2237.621] poiuytrewqasdfg0987654321: タッチは大好きだけど野球漫画っていうと……
[2238.750] (S)monpiipop: ドカベンなんて最初柔道だぞ！！
[2241.620] goozy009: キャプテンだな
[2241.774] sengoku_cyber: タッチは野球じゃなくても成立はしちゃう
[2243.441] jigokunonekomatu: 野球選手まんがとも言える
[2244.191] zyangara2: 野球要素で十分や
[2247.493] lucentsnow: クリスマス回で笑う
[2249.660] newriver824: 野球漫画ってイメージじゃないんよな 何ならボクシングしてる時期あるし
[2250.777] (S)ましゅダヨ: 技とかバケモンの技だしなw
[2254.877] pondenring0930: 野球はしてるよタッチ、ラブコメメインだけど
[2257.173] (S)rm_rf__: 熱さとかを意図的に排除したのがタッチだよな
[2258.099] gettyozi: ｗｗｗｗｗ
[2259.706] ハイレグ男爵: アストロ球団忘れてるよ
[2260.641] toshio0224: ダイヤのＡすごいな
[2262.572] Maloneal: ミスターフルスイングは？！
[2264.737] tabibitox: アイアンリーガーｗ
[2265.785] tanu_p: ふりぃｗ
[2266.251] zyagamon: あるわけない
[2266.292] 箸くれ: サッカーだろｗ
[2266.981] neojapan01010: アイアンリーガーｗ
[2267.030] aranami0: わたるがピュン
[2268.130] sn0wf0x3: ダイヤのAおもろいよな
[2268.309] gettyozi: ドン・ボルガンｗｗｗｗｗ
[2268.540] Fkdso555: ダイヤのエースは未完で終わってしまった
[2270.478] 000105: 駆けろ大空がええな
[2271.626] sho01: www
[2272.508] chin_56_: やったろうじゃん！
[2272.694] mixbomb: アパッチ野球軍
[2272.795] そらたま: なんと孫六、おもろいけどなー
[2272.829] zyangara2: 地獄甲子園
[2273.007] njpw2017: ダイヤのエースのあの終わり方なんなん？
[2274.443] mack_yy: 山下たろーくんとか
[2274.976] sengoku_cyber: 孫六勢いた
[2275.485] (S)noriyuki3: 逆境ナイン出てこないな
[2276.459] maddy2623: ドンボルカン 全2巻
[2278.463] (S)イエール: ハロルド作石w
[2280.227] そらたま: ドカベン
[2280.713] (S)満ニラ: 幕張
[2281.454] erisuk: なんかドマイナーなやついるなｗ
[2282.790] pesca_gigantessa: なんと孫六は喧嘩漫画だから
[2284.797] zyagamon: あードカベンか
[2285.136] テラ子ラ: 名門第3野球
[2285.925] adachikufgc: サムライジャイアンツ
[2286.842] jigokunonekomatu: 風光るとかね
[2289.255] Loytory: なっつ
[2290.693] 将門ゴルゴロ: 侍ジャイアンツは？
[2290.865] (S)相田俊介: レアなの言いたいだけｗ
[2292.408] バーニングチャーハン: ダイヤのエース、年代考えるとめっちゃ売れてるな
[2293.197] kireboshibasyato: 山田太一おもろかった
[2293.878] evimayo88: 山田たいちｗ
[2294.207] aranami0: じじいしかいない！
[2296.156] toshio0224: 第三野球部は！？
[2299.425] lucentsnow: ｗｗｗ
[2304.042] 勤務中: 剛Q超児イッキマン
[2312.283] tanu_p: あった
[2312.691] (S)相田俊介: エースだね
[2313.803] もきち555: エース？
[2314.802] (S)ナベさん: エース？
[2315.304] diediedying: わたるがぴゅんは月ジャン廃刊と共に未完だっけか
[2317.035] successmk2: たぶちくんは田淵に一銭も入ってないらしいなｗ
[2318.729] newriver824: あきら翔ぶってあったよな昔
[2321.236] 無心に: 若者型あくびをしている
[2321.798] goozy009: なんと孫六
[2323.672] そらたま: ハブボールな
[2330.637] gettyozi: そのパターンね
[2330.707] (S)monpiipop: www
[2331.898] maddy2623: キックボクサーまもる
[2332.714] pondenring0930: っぱキャプつばよ
[2333.645] 5don: いろいろw
[2333.725] sn0wf0x3: www
[2335.896] neojapan01010: 聖闘士星矢もそうやなｗ
[2336.104] zyangara2: 編集に求められるからね
[2338.183] terry_man630: ダイヤのAは現実味あるし、野球としてしっかり描かれてる！あとめちゃ感動する！！
[2338.468] matsu_zalem: チャランボ
[2341.005] (S)ナベさん: わたるがぴゅんは？
[2344.144] (S)おしるこ11: 高橋陽一はサッカーやったことないからな
[2345.355] koaraa: ボクシングもね
[2349.582] KKD1986: 毒島とかも結構よかった
[2350.014] ますたーかむい: unkochanYaa
[2350.743] kokujintv: 815 raiders from kokujintv have joined! 
[2350.912] 魚ﾝ: unkochanYaa
[2353.140] taku1018: hanjouNyoss
[2353.824] ~MISSING_COMMENTER_INFO~: ん
[2356.133] しんべい: やぁ
[2356.611] そらたま: プロ野球選手が見てたのは、、ドカベン
[2356.869] natsuki0104neu: やあ
[2357.048] momoiromaachii: やぁ
[2357.074] theta__ahh: やあ
[2357.593] (S)イエール: こくありがとー〜
[2360.166] sgthr7: kokuji3Nya
[2360.169] 000105: こくこいよ
[2361.358] niwakanoppo187: あしたのジョーっしょ
[2362.814] ミジンコ隊長: umeYay
[2363.575] goozy009: あしたのジョー
[2363.908] (S)ジャアスティン: グラゼニは？
[2364.800] (S)mazuibou_: やぁ
[2365.045] (S)相田俊介: キャプ翼は世界的な影響ヨ
[2365.620] aranami0: あしたのジョー！！
[2366.710] (S)ナベさん: BB
[2366.726] (S)おしるこ11: 破壊王ノリタカ
[2366.895] コムテック太郎: kokuji3Chu
[2368.312] 将門ゴルゴロ: こくにぃありがとー
[2368.815] (S)ましゅダヨ: 明日のジョーじゃないの！？
[2368.847] pesca_gigantessa: 稲垣さん以外今のキン肉マン全員見てそう
[2368.869] np2np: あしたのジョーでしょ
[2369.119] neojapan01010: きたねぇスタンプありがとー
[2370.555] lucentsnow: 格闘漫画も難しそうやな
[2370.685] successmk2: キャプつばの対になるならドカベンでしょ
[2370.809] konamazin: キャプ翼は海外のサッカー選手も憧れてる
[2371.050] ババシャツ: その二択
[2371.349] 闘劇のアルベルト: あしたのジョーでしょ
[2372.085] (S)今井みどり: ジョーだろ！
[2372.753] yusan090: キャプつばは世界規模ですしお寿司
[2373.524] meganesandesuyo: シュガー
[2374.181] pondenring0930: 野球は昔から人気あったからね、サッカーは90年代からだけど
[2374.286] (S)monpiipop: はじめの一歩に一票ぅ
[2374.327] erisuk: あしたのジョーっす流石に
[2375.414] mack_yy: 一歩かジョーかだと、ジョーかなぁ
[2376.219] sn0wf0x3: あしたのジョーがあるからなー
[2380.633] 魚ﾝ: unkochanYaa
[2381.405] (M)(S)Moobot: That's a tad too many emotes, @onyancoscratch (warning)
[2382.406] njpw2017: あしたのジョーだよな
[2383.276] そらたま: はじめの一歩
[2383.481] malionl: ｗ
[2385.703] mamamamatsu: あしたのじょーやろ！
[2385.708] sengoku_cyber: ジョーははずせない
[2387.138] (S)おしるこ11: 一歩かなあ
[2387.161] konamazin: 一歩やろ笑笑
[2387.212] zyangara2: あしたのジョーは普通に話が面白い
[2387.845] goozy009: 銅像があるのはあしたのジョー
[2389.288] jigokunonekomatu: あしたのジョーがなかったら一歩もなかったよ
[2389.288] (S)acehirotaka: がんばれ元気ダメ
[2390.110] sh1zuku716: 一歩だな
[2391.055] kame277: 個人的に面白かったやつでみんなで総評しよう
[2391.066] nekositi: あしたのジョーはアニメの方が強いよな
[2391.231] neojapan01010: これは戦争起きる
[2391.721] (S)demonbane_twosword: 一歩かなあ
[2392.914] ufj_atm: 懐かしい話ししてる
[2394.336] lucentsnow: ジョーか一歩
[2399.402] onyancoscratch: kokuji3Chu
[2399.502] もきち555: 一歩はおっさんしかみてないでしょｗ
[2400.582] aranami0: ｗｗｗ
[2401.523] (S)とも8はる: 一歩最近の展開がねぇ
[2401.691] ババシャツ: we
[2402.239] (S)rm_rf__: LUL
[2402.260] れい0127: www
[2402.708] tanu_p: KATSU!
[2405.440] sn0wf0x3: wwww
[2405.521] neojapan01010: なんだその情報ｗ
[2405.703] markun7: 神様はサウスポー
[2407.853] 000105: うどん食ってそう
[2408.882] kobi3070: www
[2408.902] chin_56_: うどん隠れて食うやつ
[2409.181] shibaponz: ネジリンボウ食わせそう
[2410.356] erisuk: はじめの一歩知ってるなら明日のジョーもしっとるやろ
[2412.317] LGA2011: 20代誰もあしたのジョー知りません
[2412.841] np2np: うどん野郎ね
[2414.007] poiuytrewqasdfg0987654321: うどん野郎
[2414.091] goozy009: うどん大好き西
[2416.726] matsu_zalem: シャーすてるときも
[2420.146] (S)ナベさん: 幕の内リオン
[2422.187] そらたま: 一歩は、真柴の仇に現役復帰する
[2422.643] 原子力塩太郎: あしたのジョーはもう60代だよ
[2435.113] ufj_atm: 明日のジョーは親世代だな
[2435.430] mack_yy: 一晩しゃべれるｗ
[2439.149] successmk2: タッチで話終わったら怒るよ？
[2445.429] (S)monpiipop: いい話だった
[2446.449] 原子力塩太郎: 海外逃亡するときの日本赤軍の連中が「我々はあしたのジョーである」とか言ってたぐらいだし
[2449.138] neojapan01010: しゃーないね
[2453.581] goozy009: レイドありました〜
[2454.397] (S)ジャアスティン: ボクシング漫画といばタッチ
[2463.122] maddy2623: フリッカー
[2471.696] chin_56_: 凄い伸びそう
[2476.430] れい0127: エドのこといってたね
[2477.391] バーニングチャーハン: ボクシングはどうしても硬派なの多いわな
[2477.957] zyangara2: 先生反応してたんかー
[2479.265] sichakamechaka: いま来たんですけどキャサおさんくるって話俺の記憶ちがいか？
[2479.329] (S)demonbane_twosword: フリッカーでリーチ伸びるのは間柴の影響っぽい
[2480.887] maddy2623: 森川先生エド使いたいって言ってた
[2481.346] sn0wf0x3: 先生が反応してたね
[2488.128] matsu_zalem: ヒットマンスタイル
[2499.639] (S)noriyuki3: 折笠さん待ってた
[2505.186] lobelia_c: ふっか
[2507.106] latenight000: ずるい、の線引き
[2508.985] ufj_atm: ずるい
[2512.634] 5don: www
[2514.867] (S)rm_rf__: いい感じよねw
[2515.342] クラクラ777: たしかにｗ
[2515.491] erisuk: ずるいかぁ
[2516.901] sn0wf0x3: www
[2518.282] fbhjkl: SeemsGood
[2519.841] successmk2: こくはずるい？
[2521.576] (S)monpiipop: wwww
[2521.997] lobelia_c: 戦士だけじゃない
[2522.831] (S)イエール: 闇話題の成果が出てきてるw
[2524.553] ぬかづけ: 常識外で得をすることか？
[2538.235] yusan090: シャランＱ
[2539.689] ufj_atm: ほえー
[2542.124] chin_56_: ずるい女
[2546.812] lobelia_c: 悪いことじゃないよね
[2547.335] (S)demonbane_twosword: 悪い意味に感じないな
[2548.863] vivfiw: EleGiggle
[2549.451] (S)ましゅダヨ: ！？
[2549.778] (S)~MISSING_COMMENTER_INFO~: ｗｗｗｗｗ
[2551.667] maddy2623: なにいってんだｗ
[2551.832] ミジンコ隊長: ｗ
[2552.149] (S)monpiipop: www
[2552.656] ufj_atm: ！？
[2552.987] (S)rm_rf__: 急やなぁw
[2553.181] sh1zuku716: それはずるいな
[2553.346] sistersguitarreplica: え?
[2555.075] (S)ましゅダヨ: 悪口！？
[2555.649] rias9121: たけしゆるせねぇな！
[2555.964] latenight000: 急に刺してきた
[2556.036] 将門ゴルゴロ: いきなりディスｗ
[2556.186] neojapan01010: ｗｗ
[2556.333] sn0wf0x3: wwwww
[2562.554] ufj_atm: ミートさんずるいよ
[2562.823] markun7: 転売屋
[2563.162] toshio0224: ベースの実力だろｗ
[2564.263] (S)おしるこ11: 急に刺した
[2565.306] fuan4444: 用意しようと思って過ごしてると全然違うんだろうな
[2565.639] lucentsnow: ｗｗｗ
[2568.434] (S)monpiipop: 突然けんかを売ってて草
[2572.778] erisuk: 音楽を臭わせて擦り寄ってきた
[2586.246] chin_56_: ずっちーな
[2587.684] njpw2017: その定義だと誉め言葉よな
[2596.015] erisuk: 当たり前にあればやっていいのかよ？
[2596.135] (M)(S)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[2601.411] ufj_atm: ネガティブなイメージあるね
[2605.763] sistersguitarreplica: 真っ当では無い感はある
[2615.254] (S)demonbane_twosword: インチキしてる印象も交ざってる
[2622.909] yusan090: 要領が良いのとずるいは違くないか
[2624.264] ミジンコ隊長: ？
[2625.039] (S)monpiipop: 結構むずくない？
[2626.492] Loytory: オンラインゲームにおけるチートツール使用
[2627.080] zyangara2: ずっちぃなぁ～ｗ
[2627.478] goozy009: 褒めてないw
[2627.576] (S)ましゅダヨ: ずっちいなぁー！！(言いたいだけ)
[2628.530] neojapan01010: ずっちーなー
[2628.566] (S)イエール: 織田裕二w
[2628.867] pondenring0930: カンチ！
[2629.070] melon_pan14: 卑怯とか、賢いとか色んな意味をふくんでるよね
[2630.995] chin_56_: 織田裕二
[2633.307] (S)monpiipop: 嫌なずるさ……
[2634.548] maddy2623: 織田裕二のモノマネだろｗ
[2636.434] ぬかづけ: ゲームのチートはそう
[2637.606] 闘劇のアルベルト: 東京ラブストーリー
[2640.310] sn0wf0x3: ずっち〜な
[2642.214] daichan1200: スーパーで奥からものを取ってるやつ
[2650.578] ミジンコ隊長: うおおおおおおお
[2654.945] goozy009: ルール違反がずるでしょ
[2657.991] newriver824: 不器用で出来ないやつの負け惜しみの場合が多いからなぁ
[2658.519] nekositi: それは武士道精神やろ
[2669.869] (S)monpiipop: さすが言語化の王
[2674.662] tetete06: そんなことないよ
[2675.575] fujimike: シャチとか
[2675.892] erisuk: ハイエナはずるいよ
[2678.698] やあああ: 協調性にかけるときに言うイメージ
[2680.009] 箸くれ: 托卵とか
[2681.983] daichan1200: 生きるためじゃん
[2683.300] (S)sharks_up: ルールの外
[2687.143] (S)monpiipop: ずるいと思ってやってないww
[2688.521] sistersguitarreplica: 猫の可愛さもずるい
[2690.176] クラクラ777: たしかに
[2690.686] (S)demonbane_twosword: 托卵はズルいなｗ
[2696.515] (S)noriyuki3: 託卵ずるいなww
[2696.706] melon_pan14: ハゲタカ、ハイエナもずるいな
[2697.803] chin_56_: カラスはズルおらあ
[2698.438] sh1zuku716: ムズイな定義によるな
[2699.511] ミジンコ隊長: おらぁ！
[2707.491] fujimike: 知恵ってことになるぞ
[2708.243] 闘劇のアルベルト: 寄生虫とかね
[2708.951] fj_honey: そんな事ないっしょ
[2709.367] markun7: ペンギンが巣作りに集めた石を横から盗むペンギン
[2720.216] fuan4444: まずルールがあるのが前提やろ
[2721.800] (S)~MISSING_COMMENTER_INFO~: ｊｐ
[2722.286] 000105: 動物も大きい餌を取るズルさはあるかも
[2724.012] そらたま: 突然、バイソン出してくるとか?
[2724.487] latenight000: ずるい=強い
[2724.780] bokuchan44: ズル賢い
[2728.804] (S)イエール: 賢さに理性をもって名前をつけた感
[2737.275] ド森林: 真豪鬼みたいな
[2738.927] (S)ましゅダヨ: ハチャメチャWorld
[2739.734] (S)monpiipop: バイソンで頭突きしまくるとか？
[2740.844] (S)noriyuki3: そうなんだよね
[2743.410] Loytory: うんうん
[2743.530] 箸くれ: 確かに騎士道とか軍事的な約束事とかあるな
[2750.589] nekositi: 全然ぴんとこねぇｗ
[2751.839] ミジンコ隊長: 核はずるい？
[2754.599] niwakanoppo187: 社会性からのずるさ、個人の価値観のずるさの二個ね
[2765.915] erisuk: ステータスが低いから擬態するしかなかった
[2766.119] クラクラ777: 強みではあるよね
[2770.763] raurakd: 正しいやつが馬鹿みるしな
[2772.904] njpw2017: 他はすべて死んだからな
[2774.067] sistersguitarreplica: 主観か客観かによる
[2777.225] zyagamon: 正義と悪の話か？
[2777.507] successmk2: てかそもそも最初から強い奴がずるいじゃんね
[2780.818] alumindom: 生きるためにスリとかするのはズルいですか？
[2781.924] nameless_774: 攻めたら4んだ
[2782.933] sh1zuku716: ずるいは客観だよな
[2784.548] (S)rm_rf__: なるほど
[2784.568] fujimike: なるほど
[2785.520] lucentsnow: そもそも擬態しようと思って進化したのか
[2785.718] daichan1200: 擬態しようとおもってやってなくて、あんな柄のやつがたまたま生き残っただけじゃね
[2787.079] (S)monpiipop: ほぉーーー
[2787.248] そらたま: 政治家の裏金が、税金乗らないのはズルい
[2788.125] ぬかづけ: 待ちがずるいみたいなもんか
[2789.472] (S)~MISSING_COMMENTER_INFO~: ずるのプロは違うなあ
[2790.760] zyagamon: あー
[2799.514] melon_pan14: おれたちは社会的に生きる上でのずるもあるからなあ
[2806.140] chin_56_: プロ語るね
[2808.274] gokukeshi: 意図が入るからってことか
[2812.121] (S)sharks_up: ずるしようとする意志
[2814.684] そらたま: ルールを超える物が、ズルい
[2818.654] ラリぶべぼ: 技はズル
[2820.639] daichan1200: 詐欺師はずるい
[2821.368] nekositi: 弱い物が強い物に勝つための要素じゃないのか？生物的にも
[2822.415] erisuk: 法で縛るしかないわな
[2824.239] クラクラ777: ｗｗ
[2824.651] yusan090: リスクを他者に背負わせて利益を得るのがずるいじゃないの
[2826.933] おじキッズ兄: さすがに？って事
[2827.873] rias9121: ずるくなると短期的には勝つけど長期的には恨まれて負けるリスクあるよね
[2832.161] (S)monpiipop: 勝つためになんでもするぅ
[2833.757] fujimike: 社会のルール外のことか
[2836.165] neojapan01010: スト1のサガットか
[2836.630] zyagamon: 筋トレずるい
[2838.809] tanu_p: 基盤買って俺ん家でしようよ！
[2841.243] (S)rm_rf__: 野球のサインを読むのが禁止ってやつと一緒だな
[2858.617] pesca_gigantessa: ずるいって言葉を悪い意味と定義したのも社会からはみださせないためのものかな
[2858.788] (M)(S)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2863.724] そらたま: 裏金問題は、ズルい
[2869.197] goozy009: でも、ハナから自分より優秀な人にもズルいって思うやついるのも笑えるから、個人の線引だよな〜
[2871.378] erisuk: 商売なんか９割ずるいからな
[2872.136] latenight000: wwww
[2872.830] (S)イエール: wwww
[2874.231] markun7: 情熱ボタン
[2874.343] (S)ジャアスティン: オレオレ詐欺、格ゲー、鉄拳、、う頭が
[2874.694] おじキッズ兄: せこい
[2875.448] zyagamon: こすい
[2878.102] (S)ましゅダヨ: それはわかる
[2878.778] chin_56_: むずい
[2880.541] (S)イエール: クッソ具体的な例出てきたw
[2885.020] latenight000: 解約しにくいようにしてるやつねw
[2888.545] やあああ: 転売ヤーの嫌悪感はずるいだよな
[2894.248] zyagamon: 卑怯ってこと？
[2895.511] daichan1200: 解約だけは電話とかね
[2902.492] (S)sharks_up: 俺は真面目にやってるのに・・・！
[2905.747] クラクラ777: まわりまわってくるからじゃない？
[2908.613] zyangara2: 自分は我慢してるのにっていう
[2909.157] lucentsnow: 知らないほうがだめでしょみたいな商売してる企業もあるよな
[2910.919] (S)noriyuki3: 巡り巡ってそうなるから
[2912.810] (S)monpiipop: 損したってこと？
[2913.209] tetete06: しわよせ来る場合はあるよ
[2915.036] 闘劇のアルベルト: 不満があるからね
[2915.788] niwakanoppo187: ずるいやつら増えたら100％生きにくくなるじゃん
[2917.900] nekositi: 自分に関係ない事をずるいとはおもわんなぁ
[2926.220] takeiteasy55: ウル４の対ももちの取り組みをズルいと感じる層が一定数居たな
[2926.331] yoshikawa_yo: あまりのズルは後から法律で規制されたりするよね
[2928.333] sengoku_cyber: まあ裏金はねえ
[2935.643] (S)イエール: あったなー
[2938.931] yusan090: ずるいことに対応しなくてもズルいとは思ってるでしょ
[2939.006] v_harumi_v: ありましたね
[2939.332] zyagamon: 楽して儲けるは別にだな、不動産全部ダメやん
[2941.597] rias9121: 名作
[2945.387] (S)monpiipop: www
[2946.762] maddy2623: プレステにあったなぁ
[2947.661] chin_56_: 🍟
[2948.179] kaban1192: あったあった
[2950.855] zyagamon: ハイハイ
[2951.063] (S)ましゅダヨ: あ
[2951.163] ババシャツ: あるねw
[2952.176] ミジンコ隊長: ｗ
[2953.074] v_harumi_v: ありましたねぇ
[2953.767] クラクラ777: かしこい
[2956.162] dcdryuya404: あーあったなぁ
[2959.692] ババシャツ: あれ結構面白いw
[2961.618] aranami0: ｗｗｗ
[2963.443] poiuytrewqasdfg0987654321: ｗｗｗ
[2963.918] kaban1192: 攻略なのにｗ
[2964.073] rias9121: 説明書に書いてあった攻略やろ！ｗ
[2964.286] (S)ましゅダヨ: (´；ω；｀)
[2964.407] chin_56_: 話してやれよ
[2966.529] niwakanoppo187: ゲームの攻略でしょｗ
[2966.984] sh1zuku716: なんでぇ
[2967.411] ミジンコ隊長: えのもとくん；；
[2968.166] erisuk: そいつはなにもしてねぇだろｗ
[2968.423] lucentsnow: 榎本くん
[2968.665] kame277: ミートらしい
[2973.484] LGA2011: 榎本くん関係ないだろｗｗｗｗ
[2975.796] goozy009: 榎本くんから学んだ？
[2979.279] (S)~MISSING_COMMENTER_INFO~: えのもとくん 
[2980.447] daichan1200: ヴォェ、ヴォェってずっとなってたな
[2980.826] 反省済2: 真面目な攻略だけどね？w
[2981.157] クラクラ777: 結局脅威になるからなんだね
[2981.938] sh1zuku716: ミートさんって結構シビアだよな
[2986.607] melon_pan14: それは賢いとはいえないの？？
[2995.516] (S)rm_rf__: 相手の不利益を顧みないって事か
[2995.538] おじキッズ兄: あ
[2997.569] ミジンコ隊長: あ
[2997.622] aranami0: ｗｗｗｗｗ
[2997.843] kaban1192: アムネジア
[2998.051] LGA2011: おいｗｗｗ
[2998.452] (S)イエール: JPじゃねえか
[2999.021] (S)sharks_up: バカ正直の反対
[2999.659] fujimike: あ
[2999.763] tabibitox: アムネジアｗｗｗ
[2999.955] zyangara2: JPかるた
[3001.495] (S)オーカミマン: そーだそーだ
[3002.360] gokukeshi: 隙あらばJP叩き
[3002.598] yoshikawa_yo: www
[3002.639] shibaponz: カメラ止めろ
[3004.195] nishikawa_kun_: あむね、じ
[3006.564] maddy2623: ズルさを感じさせないのが賢い
[3008.190] njpw2017: あれはズルい
[3008.342] erisuk: ポテト塩分はずるいぞ
[3009.400] kaban1192: 投げも取るなんてズルい
[3011.529] (S)monpiipop: むずいよ
[3013.147] 箸くれ: あいつは性格もずるいから大丈夫だよ
[3013.170] goozy009: アムネジアは確かに
[3014.521] zyagamon: 外法
[3019.477] daichan1200: ルールの抜け穴ついてギリギリ合法なやつズルい
[3020.348] chin_56_: とある女性
[3023.571] sh1zuku716: とある
[3024.781] (S)イエール: アムネジアはポテト塩分アップ
[3031.868] (S)ましゅダヨ: ほおー
[3032.578] zyagamon: あー
[3034.782] LGA2011: でも確かにJPはクソズルいって思っちゃうわ
[3034.828] クラクラ777: なるほど
[3038.335] (S)monpiipop: www
[3038.438] lucentsnow: てか格ゲーだとキャラ被せが割りとずるいとかどうとか昔言われてたな
[3039.168] chin_56_: 素体
[3039.387] latenight000: 女性「調整やめろ」
[3045.164] kaban1192: ブスにやさしい時代
[3045.866] 闘劇のアルベルト: メイクはなあ
[3046.787] リク21: メイクも技術の格差ねーか、という
[3047.092] erisuk: 絶対それだけじゃないけどな
[3047.151] クラクラ777: でももともとがいいのは強いぞｗ
[3047.601] (S)ましゅダヨ: なんだそりゃw
[3047.709] sh1zuku716: 誰だ
[3048.431] ミジンコ隊長: ひどいｗ
[3049.284] shibaponz: おいおい最近の格ゲーかぁ？
[3049.720] goozy009: 昭和のアイドルの強さ
[3051.635] 反省済2: ひどい話だw
[3052.001] tama_zx61: ｶﾜｲｲは作れる
[3052.239] maddy2623: 化粧ずっちーな
[3052.803] tachaomi8: 性格ｗ
[3053.132] poiuytrewqasdfg0987654321: それはｗ
[3054.705] やあああ: どんだけ自信家だよ
[3058.959] evimayo88: 化粧はチート
[3062.482] pondenring0930: 強欲なツボ
[3062.565] 反省済2: 化粧はマイルド調整なんだw
[3063.970] yusan090: 絵じゃん
[3064.348] zyangara2: クソゲー化
[3066.309] LGA2011: 整形ズルいってのも同じだよね
[3069.469] (S)ましゅダヨ: 元が綺麗な人がなんだかんだ得してるから安心してくれw
[3071.133] (S)demonbane_twosword: 別人レベルの化粧はズルいわｗ
[3074.194] (S)おしるこ11: すっぴんを流行らすしかない
[3074.681] (S)sharks_up: 自分が勝てる土俵にもっていきたい
[3076.158] erisuk: 下を上にあわせる調整が化粧
[3076.218] gokukeshi: 人から見ればそっちがずるいという話か
[3076.402] lucentsnow: 元がいい人は化粧ずるいっておもうんかｗ
[3080.412] shibaponz: 石油じゃんねぇ
[3084.122] sh1zuku716: たぬかな「VTはズルい」って言ってたなｗ
[3085.006] daichan1200: 車で渋滞してるのわかってるのに、横道から合流するやつ
[3092.167] chin_56_: ♨️
[3102.354] aranami0: ？？？
[3105.614] sistersguitarreplica: わかる
[3107.418] goozy009: 親ガチャ
[3110.411] takeiteasy55: 何かわかる
[3111.034] (S)ましゅダヨ: なるほどね
[3111.300] bikibiki999: そういう人居るだろうな
[3112.225] dcdryuya404: 損したなって感じか
[3113.405] melon_pan14: わかる
[3115.098] (S)ましゅダヨ: わかるわかる
[3115.147] maddy2623: umeWhat
[3119.902] ぬかづけ: インディーズバンド好きみたいな？
