[47.743] ヒラマサさん: やっぴー
[10824.513] onesolo52: ガーって入ってくるからその食べ方止めた
[10835.215] hageyamasanagain: おー、清潔感
[10842.511] (S)ヒイロジーエム: 清潔〜
[10849.222] timiyonion: においかいでもいいか
[10855.247] (S)ヒイロジーエム: 草
[10865.000] icchi46: それは抜け毛がやばいから？
[10878.860] (S)ヒイロジーエム: 武器強いの持たせるのも楽しいよね
[10921.091] onesolo52: アーマー着てるなら重火器持とうぜ
[10946.707] daiyankei: ミーアキャットってサルの仲間なの？それとも猫？
[10960.845] timiyonion: ハンマーで殴ったほうがはやい
[10979.636] (S)ヒイロジーエム: たしかに似てる
[10982.812] toda0613: 写輪眼
[10994.624] timiyonion: サスケェ！
[11000.964] icchi46: 2人が食い散らかすから、ポテチ散らかっても関係ないんかw
[11002.902] daidaidaidesu: ライトオーソリティつよい
[11046.350] timiyonion: パークどんなんとってんの？
[11062.948] (S)ヒイロジーエム: 持ちすぎると荷物圧迫するしな
[11071.015] daiyankei: ヌカランチャーいこう
[11108.002] omagorenegado: WHAT IS YOUR MOTIVATION?
[11120.328] (S)ヒイロジーエム: あー
[11120.629] timiyonion: 痛打は手数が多い武器で強い
[11126.425] hageyamasanagain: 投票行かねば
[11127.908] 1111_kou: 個人的には確かグッドネイバーに売ってたスーパースレッジがおすすめ
[11137.366] (S)ヒイロジーエム: 配信者殺しよねw
[11148.469] (S)ミズタニ: 住所バレこっわ
[11151.112] 黒毛和牛980円: ばれる
[11152.790] groovelivegroovelive: こわ
[11189.556] 黒毛和牛980円: きも
[11193.449] (S)ヒイロジーエム: うわー嫌やな
[11194.343] うしとら_: 選挙カーはどうしてなくならないの
[11195.695] 濃厚魚介つけ麺: ストーカーきもい
[11199.203] hageyamasanagain: えええ、キモすぎる
[11209.194] timiyonion: ミニガンで粉々にしてやれ
[11213.462] groovelivegroovelive: ゴリラ飼おう
[11213.711] (S)ヒイロジーエム: 人としてな
[11227.163] Nishizonono: よいこのみんなは犯罪しないでね
[11231.572] groovelivegroovelive: ミニガンは弾がなあ
[11231.879] うしとら_: 弾確保するのきつそう
[11234.306] (S)ヒイロジーエム: 弾すぐなくなるねミニガン
[11240.417] 黒毛和牛980円: パーク取れてないから微妙
[11250.981] daiyankei: 現実でもミニガン持ち歩こう
[11252.578] daidaidaidesu: 警察呼べよｗ
[11253.749] うしとら_: パパつよい
[11257.426] 濃厚魚介つけ麺: 警察に連絡すればいい
[11261.264] groovelivegroovelive: かっこいいじゃん
[11266.912] timiyonion: この世界でもいきていけるな
[11271.632] (S)ヒイロジーエム: ゴルフクラブは武器になるな
[11275.309] 黒毛和牛980円: でた
[11278.653] うしとら_: すんごいネーミング
[11297.732] daiyankei: ブタの奴は着弾するとキャップが拾えます
[11311.928] 黒毛和牛980円: 豚さん飛んでくよ
[11339.718] timiyonion: それ
[11366.130] (S)ヒイロジーエム: 草
[11378.847] (S)ヒイロジーエム: 火力高いパパ
[11380.704] groovelivegroovelive: 一回行ってみるか
[11391.763] timiyonion: 痛打のゴルフクラブ
[11408.919] groovelivegroovelive: そうだよ
[11446.653] (S)ヒイロジーエム: 持つ武器とかで仲間喜ぶね
[11447.071] groovelivegroovelive: ダンスはパワーアーマー着るだけで好感度上がる変態
[11465.764] timiyonion: お揃いでうれしい
[11473.207] 1111_kou: パワーアーマーフェチ
[11477.052] groovelivegroovelive: そう
[11479.610] dorako27: パワーアーマーフェチ
[11484.574] 黒毛和牛980円: 伝説
[11510.710] noneball: ダンスがバズライトイーヤーになるmod大好き
[11583.820] groovelivegroovelive: えー、ダンスのせいじゃね？
[11593.223] (S)ヒイロジーエム: 草
[11602.369] timiyonion: ニックにしよう
[11615.269] Nishizonono: ｗｗｗ
[11616.338] (S)ヒイロジーエム: 私だけを見てってメンヘラかもしれん
[11627.278] timiyonion: 羊も？
[11642.183] 黒毛和牛980円: スーサイダー
[11651.152] (S)ヒイロジーエム: 自爆兵怖いよな
[11727.467] daidaidaidesu: 自爆させないで倒すとミニニューク取れる
[11777.907] AzumaTatsuya: タマ
[11783.785] timiyonion: レーザーの玉
[11784.001] noneball: レーザー系武器の弾薬
[11786.287] (S)ヒイロジーエム: エネルギー銃の弾
[11880.969] timiyonion: ほかの仲間よりかなりつよい
[11939.685] watcher_japan: 冷静に考えてヘアピン７０本も持ってる奴わろける
[11972.598] うしとら_: お？
[11984.585] (S)ヒイロジーエム: ｶﾘｶﾘｶﾘ
[12013.083] (S)ヒイロジーエム: 土左衛門になるとこだったw
[12034.089] daiyankei: 動きづらいけど溺れることはないはずだよ
[12132.179] groovelivegroovelive: くっら
[12168.764] daiyankei: 改心レイダー党に投票しよう
[12176.122] groovelivegroovelive: 着く前にセーブ推薦
[12177.229] watcher_japan: めいわくー
[12181.818] うしとら_: やぁねぇ
[12183.418] 1111_kou: 最悪過ぎる
[12183.690] (S)ヒイロジーエム: ヤバイやん
[12214.609] wolf_vltt: 配信には何も聞こえてない
[12216.854] 黒毛和牛980円: 止まってる
[12251.559] groovelivegroovelive: おつ
[12289.877] watcher_japan: BOS!!BOS!!
[12297.809] groovelivegroovelive: BOS最強！
[12322.420] hageyamasanagain: BOS！！BOS!!
[12325.775] groovelivegroovelive: あれ？
[12334.089] 黒毛和牛980円: 全快するんよ
[12341.425] hageyamasanagain: 雑魚がよおおお
[12348.461] うしとら_: おおー
[12351.193] 1111_kou: これ好き
[12365.054] tadafu: 当たり
[12384.231] groovelivegroovelive: 草
[12386.479] onesolo52: こういう時のヌカラン
[12388.569] timiyonion: 揃えると制止時透明になる
[12410.387] (S)ヒイロジーエム: 死んでらっしゃる
[12413.175] groovelivegroovelive: スレッジハンマーダンスに持たせよう
[12487.970] 1111_kou: スレッジハンマー≒グレネードなのやばい
[12508.430] timiyonion: たしか装備者の筋力で威力が変わる
[12590.889] (S)ヒイロジーエム: 草
[12594.407] groovelivegroovelive: まだ輝きの海じゃないよ
[12608.691] timiyonion: しかもそのマーカー入口です
[12631.506] syuu76: ワロタ
[12633.683] tadafu: 地獄だよ
[12634.330] groovelivegroovelive: さそりとデスクロー注意な
[12638.815] 黒毛和牛980円: 爆心地
[12643.014] (S)ヒイロジーエム: その辺全体が輝きの海
[12686.556] timiyonion: 朝にしてからのほうがよくねか？
[12699.033] (S)ヒイロジーエム: 油浮いてるやつね
[12704.474] groovelivegroovelive: それバクテリアだよ
[12706.585] ポキモン: 鉄バクテリアとか
[12772.616] timiyonion: ニックの奴はDLC
[12781.770] groovelivegroovelive: そうそう
[12786.070] (S)ヒイロジーエム: 核爆弾の爆心地だからね
[12794.716] groovelivegroovelive: あーやべえ
[12804.596] (S)ヒイロジーエム: 草
[12807.669] groovelivegroovelive: ダンスつえええ
[12808.045] ポキモン: 脳筋ダンス
[12809.355] 1111_kou: ダンスめっちゃ頼もしい
[12846.268] (S)ヒイロジーエム: 薬で抑えたり回復したりしてもいい
[12850.919] 黒毛和牛980円: RADX飲むのもあり
[12857.000] groovelivegroovelive: RADアウェイとRAD X
[12858.718] 舞茄子: 倒れるまで被爆してないって考え
[12866.346] noneball: RADX 回復はaway
[12893.083] groovelivegroovelive: 安全装置ねーだろ
[12898.615] 879bu380: つっよ
[12906.109] timiyonion: ハンマーのどこについてんだ？安全装置
[12918.005] groovelivegroovelive: ダンスクソ強くなったな
[12921.897] (S)ヒイロジーエム: パワーアーマーの硬さにハンマーの火力！
[12923.076] noneball: 脳に安全装置
[12986.387] groovelivegroovelive: ラム探検隊
[13001.927] timiyonion: 物理的に悪いな
[13020.331] (S)ヒイロジーエム: つまり、プッツンしたら殴りだすと
[13084.316] (S)ヒイロジーエム: ダンジョンだねぇ
[13130.504] groovelivegroovelive: グールの大ボスだよ光しもの
[13144.657] (S)ヒイロジーエム: 放射能ダメージ追加で与えられるの良いねラジウム銃
[13144.893] tadafu: ゲーミンググール
[13165.119] ぽいたく: Falloutのドラマおもろかった～
[13177.994] groovelivegroovelive: 回転ハンマーでた
[13185.398] toda0613: これクリアした後ドラマ見たらおもろいやろな
[13187.646] timiyonion: 放射能ひかりがち
[13201.275] 摩利支天尊: MODなら…笑
[13207.885] tadafu: 夜行性はハズレ
[13223.242] groovelivegroovelive: ラジウムライフル撃たれるとマジできつい
[13238.891] (S)ヒイロジーエム: ドラマ、マジゲームまんまで興奮すると思うよ
[13264.782] 1111_kou: ラジウムライフル自体が対人強そう
[13310.245] (S)ヒイロジーエム: 同時再生で同時視聴しよう
[13314.354] hageyamasanagain: へー、アマゾンプライム入会しよう
[13323.333] toda0613: フォールアウトドラマ全世界一位で二週間目の時点でAmazon歴代2位らしい
[13327.168] (S)ヒイロジーエム: 一緒に見たいｗ
[13335.451] watcher_japan: primeサブスクのボタンを隠したり、最近twitchの劣化がやばい
[13407.275] (S)ヒイロジーエム: それでいいから一緒に見たいねｗ
[13418.353] 摩利支天尊: サムネだけで「はい神～」って言える
[13446.244] (S)ヒイロジーエム: 半年後くらいかな？ｗ
[13457.650] 1111_kou: 4の10年後な気がする
[13463.216] (S)ヒイロジーエム: いや、違うボルトの話
[13487.198] 1111_kou: 4と直接関係はないけど
[13518.684] 黒毛和牛980円: アトム信者
[13545.857] timiyonion: こんな放射能の中で平気らしい
[13559.960] oka_people_: ﾒｶﾞﾄﾝﾍﾖｳｺｿ
[13644.260] おにんにん侍: 住人にもたせてもあり
[13646.483] (S)ヒイロジーエム: お金も大事
[13651.649] 木下ともお: レジェは分解できないかも
[13653.127] 濃厚魚介つけ麺: 売れ！
[13666.704] 摩利支天尊: キャップだぞこの世界は
[13673.129] groovelivegroovelive: 今のなるほどなかっこいいな
[13696.725] groovelivegroovelive: 弾買うか
[13704.193] (S)ヒイロジーエム: 弾でも買ってやるといい
[13716.524] (S)ヒイロジーエム: もしくはジャンクとか
[13719.203] timiyonion: 仲間に気持ちを聞くと場所によっていろんなことしゃべってくれるぞ！
[13748.558] groovelivegroovelive: ヒュージョンセルや！
[13766.578] 濃厚魚介つけ麺: 輝きの海か
[13778.775] groovelivegroovelive: それ
[13790.813] ディディ24: コアも買っとけは
[13807.493] groovelivegroovelive: コア売ってたか？
[13829.517] ディディ24: まあね
[13856.352] 摩利支天尊: 買うコアよりたまたま見つけるコアのほうが脳は喜ぶ
[13871.484] groovelivegroovelive: もうここまで来たのか
[13881.717] anon0529: いい返事だ
[13955.536] (S)ヒイロジーエム: かわいい
[13956.807] 木下ともお: メインのみだと意外と早く終わる
[13956.998] groovelivegroovelive: かわいい
[13969.152] housecurry888: すやぁ
[14001.933] (S)ヒイロジーエム: デスクローと殴り合うの草
[14021.639] timiyonion: 近接もつと突撃して盾になってくれんのよね
[14051.608] anon0529: 落ち着いて(銃を構えながら)
[14060.910] tadafu: 理性的なスーパーミュータント
[14088.204] (S)ヒイロジーエム: 眼鏡似合ってるな
[14167.209] groovelivegroovelive: スーパー血清な
[14180.852] 木下ともお: なんか食い気味だな
[14191.065] 濃厚魚介つけ麺: テレポーター作ろう
[14192.770] (S)ヒイロジーエム: これはこれは・・・
[14212.438] groovelivegroovelive: あ
[14214.125] TK28vamps: 服が堅そう
[14221.898] timiyonion: あれは歩いてる
[14242.671] groovelivegroovelive: ケロッグの記憶に出てたやつだよ
[14266.604] 摩利支天尊: 一緒にワープしてった黒服
[14267.062] toda0613: あのもこうみたいなやつか
[14283.061] groovelivegroovelive: もこうみたいなやつ
[14287.851] (S)ヒイロジーエム: コーサーぶっ飛ばしてチップを手に入れろと
[14302.080] oyupon: ブレイドみたいなやつ
[14319.127] anon0529: もこーさー
[14331.203] (S)ヒイロジーエム: こっちには脳筋がおるし平気やな
[14360.763] (S)ヒイロジーエム: 貯めとく？
[14385.221] 879bu380: 欲しいのが無かったら貯めるのも視野
[14388.830] timiyonion: 筋力を６まであげるとバッグがめっちゃでかくなるパークある
[14389.708] toda0613: 地雷喰らわなくなるパークあったよねそういえば
[14391.444] ディディ24: 俺だったら武器
[14393.531] (S)ヒイロジーエム: もしくは武器系とか？
[14403.306] 濃厚魚介つけ麺: 敵のロボハッキングするやつ面白かった
[14425.609] 1111_kou: Animal friendのレベル上げると荷物持たせられた気がする
[14485.184] 木下ともお: グラビアモード
[14487.017] (S)ヒイロジーエム: たしかに
[14553.039] timiyonion: 薬品もちょっとおいてけば
[14611.119] ディディ24: 武器それ全部いるの？
[14621.000] groovelivegroovelive: かなり慣れてきたな
[14667.335] ディディ24: まあ重量気にならんなら
[14692.824] (S)ヒイロジーエム: 弾少ないやつは置いてっても良さげね
[14699.234] groovelivegroovelive: ショットガン好きだから残そう
[14732.318] toda0613: ケロッグピストル素でレジェんだり効果ついてなかったっけ
[14769.300] (S)ヒイロジーエム: 草
[14774.419] groovelivegroovelive: 人殺しですやん
[14778.211] timiyonion: 野蛮な栄光ですな
[14817.168] ディディ24: 無線！
[14820.457] timiyonion: ラジオね
[14824.234] groovelivegroovelive: 周波数がなんたらかんたら
[14828.108] ディディ24: 無線チューニング
[14839.917] カイくん1010: あ
[14860.837] timiyonion: 伝説はほしくねーか
[14916.457] カイくん1010: お
[14920.707] (S)ヒイロジーエム: 増幅してる！
[14937.576] (S)ヒイロジーエム: 迂回しよう
[14942.521] timiyonion: 回り込むのは
[14970.335] timiyonion: この建物より向こうでは
[14983.999] カイくん1010: く、くる
[14994.142] (S)ヒイロジーエム: 近づいてる！
[15042.356] timiyonion: 確かに一瞬だったな
[15045.215] カイくん1010: まずい！
[15071.007] カイくん1010: 打つのに躊躇がない
[15077.951] (S)ヒイロジーエム: BOSに襲撃されるレイダー悲惨だなｗ
[15087.021] housecurry888: もうBOSになったのか
[15104.317] カイくん1010: 近い！！
[15105.686] (S)ヒイロジーエム: 近い！
[15114.204] カイくん1010: く、くる！！
[15121.472] (S)ヒイロジーエム: くるぞおおおお
[15138.169] groovelivegroovelive: なんかこええな
[15145.966] (S)ヒイロジーエム: ボコられてたなｗ
[15148.177] カイくん1010: あ
[15149.329] timiyonion: ダンスが無双してる
[15158.074] カイくん1010: コーサーきた
[15160.827] (S)ヒイロジーエム: あー
[15167.823] (S)ヒイロジーエム: たまに来るね
[15171.869] osuman72: コーサーの方から来た？
[15182.914] ディディ24: 玄関先ににコーサー来てるんじゃない？
[15188.338] カイくん1010: たぶんそれコーサー
[15193.314] timiyonion: こっちが死の勧誘をしている最中
[15194.147] ディディ24: オートロックちゃうんか？？
[15216.289] timiyonion: もう消していいやろ
[15218.379] (S)ヒイロジーエム: ラジオ消せるんじゃない？
[15265.012] (S)ヒイロジーエム: ガンナーとコーサーか？
[15267.035] groovelivegroovelive: ガンナーやろ
[15268.295] カイくん1010: やば
[15269.700] timiyonion: ガンナーですってよ
[15280.133] 摩利支天尊: まじタイラント
[15290.428] groovelivegroovelive: 脳筋コンビ
[15292.074] (S)ヒイロジーエム: ガンナーがコーサー狙ってるね
[15310.152] カイくん1010: ダンス興奮してる
[15319.359] (S)ヒイロジーエム: 脳筋だから・・・
[15324.014] groovelivegroovelive: ダンス「ハンマー振り回してえよ…」
[15338.517] (S)ヒイロジーエム: うわ痛いやつ
[15345.191] 1111_kou: コンタクトあるある
[15349.751] (S)ヒイロジーエム: 眼鏡にしよう
[15412.547] timiyonion: コーサーにコンタクト取りに来たのに・・・
[15475.312] (S)ヒイロジーエム: 痛いよなー
[15482.492] hobironsuhr: 助かる
[15487.772] (S)ヒイロジーエム: 眼鏡R
[15534.255] (S)ヒイロジーエム: 眼鏡姿もかわいい
[15535.422] ディディ24: それ結膜傷ついてるね
[15593.380] m4eda_: ドラマはゲームやってから観るの？
[15600.537] ディディ24: もう今の時点でもドラマ見ても楽しめるけどね
[15607.911] daidaidaidesu: 寒いよ
[15617.220] kokohan4: 今日は暑いしPCも熱くなる
[15633.132] 尻人: あれ４がベースなんだ
[15637.304] (S)ヒイロジーエム: 小道具とかマジ細かいから良いよ
[15649.146] (S)ヒイロジーエム: 撃たれてるｗ
[15649.539] m4eda_: どれがってことはないんじゃない？
[15661.121] クレイロもちょもちょ: ドラマはFallout 1と2とニューベガスの要素が多いね
[15679.031] 尻人: はえ～
[15685.168] (S)ヒイロジーエム: カスエイムｗ
[15696.878] 授乳デップ: クリティカル使わんの
[15703.257] daiyankei: ドラマはゲームのラジオでよく聞く曲たくさん出てくるからああ～ってなりこと多かったな
[15712.095] timiyonion: そんだけガンガン打つならクリ使っていいと思う
[15720.215] (S)ヒイロジーエム: いいね
[15728.211] (S)ヒイロジーエム: ガチキャン
[15732.979] kokohan4: 獲物狩るの？
[15775.330] (S)ヒイロジーエム: 積み木やね
[15796.316] ディディ24: そんなガチでキャンプできるとこ今時ある？
[15832.202] kokohan4: ペグなんて久々に聞いた
[15839.636] (S)ヒイロジーエム: 微妙なラインナップだなｗ
[15870.351] ディディ24: ガチキャンプは自分でかまど作って焚き木拾って、火おこしするんやぞ？
[15886.896] (S)ヒイロジーエム: むしろキャンプブームよな昨今
[15906.217] kokohan4: 寝るときに蚊が群がるのが嫌や
[15930.088] daidaidaidesu: キャンプブーム終わったって聞いたぞ
[15935.103] kokohan4: キャンプって知り合いの山でやるイメージがあるわ
[15967.460] timiyonion: ダンスにベグハンマー持たせたら一発で釘埋まりそう
[16027.666] hatimituboy777: ぐろ
[16028.089] kokohan4: 両腕弾け飛んだ
[16072.117] (S)ヒイロジーエム: キャンプの話始めたあたりやなここ
[16088.669] hatimituboy777: チル
[16103.788] kokohan4: ガンナーって結構いい装備してるからな
[16124.562] (S)ヒイロジーエム: クリアリングがFPSプレイヤーのそれなんよな
[16131.958] timiyonion: ちょっと待ってればダンスが突っ込んでくれる
[16141.297] manyyao: 館山バーベキューでカマ松を虫から守ってるの笑った
[16167.064] (S)ヒイロジーエム: クイックセーブ大事
[16174.170] ディディ24: でもどうせ便利な道具持ち込むキャンプなんでしょ？
[16178.139] kokohan4: すいません
[16182.097] hal_haru: 女子のメスセーブ
[16222.332] kokohan4: 汚いことして稼いだ汚いかね
[16226.834] (S)ヒイロジーエム: トイレは変なもんよくある
[16235.713] timiyonion: 物理的にな
[16267.194] kokohan4: 来た。この後地雷踏んだ
[16271.359] ディディ24: とんでもない体位とかしてくれるのかな？
[16272.133] (S)ヒイロジーエム: この先で死んだね
[16421.719] (S)ヒイロジーエム: いいね
[16423.425] kokohan4: ニック；；
[16426.603] hageyamasanagain: うぇーい
[16435.824] timiyonion: INTのパークが上がると文字が少なくなる
[16453.181] (S)ヒイロジーエム: グレうまｗ
[16454.342] ディディ24: 怒りのクイックセーブ！
[16539.571] kokohan4: ダンスパワーアーマー着てるんだからもっと先行して欲しいｗｗ
[16595.812] ディディ24: ラジオの曲流すと著作権引っかかるんかな？かなり古い曲だけど
[16717.969] kokohan4: ぶちまけた？
[16726.748] (S)ヒイロジーエム: 辛いな
[16741.497] ディディ24: いくらくらいの香水？
[16756.714] timiyonion: なんのにおい？
[16764.275] (S)ヒイロジーエム: 高い香水は割れやすいんかな
[16771.878] ディディ24: デパコスの香水
[16805.043] kokohan4: バニラで渋い
[16814.063] hal_haru: 柔軟剤の容器は割れない
[16819.103] (S)ヒイロジーエム: 部屋が良い匂いになるね
[16819.619] ディディ24: セッ◯スはまずい
[16847.302] timiyonion: 落ちるときスローに感じそう
[16888.979] (S)ヒイロジーエム: うわー
[16906.556] ディディ24: そのあと匂いが大変なことになりそう
[16909.789] (S)ヒイロジーエム: 戦争やな
[16929.072] timiyonion: じゃいいか！
[16942.329] (S)ヒイロジーエム: 頭粉砕するの怖過ぎる
[16997.591] ディディ24: 結構、ラジオの曲ドラマでも流れてエモくなるから、裏でサブクエとかやる時に聞きながらやるといいと思います
[17014.706] (S)ヒイロジーエム: 買った弁当食う前にひっくり返した時も似た気持ちになった
[17042.900] (S)ヒイロジーエム: なるw
[17043.347] kokohan4: 無になるよね
[17045.159] 1111_kou: スンッってなる
[17059.173] (S)ヒイロジーエム: 草
[17059.239] timiyonion: 今みたいな感じ？
[17085.072] korekorechanel: 今日もメイクしてエラい!
[17120.568] kokohan4: 子供の頃の思い出さ
[17127.770] (S)ヒイロジーエム: いつもらしたの？
[17128.656] timiyonion: 赤ん坊の時から自分でトイレしてたのか？
[17133.578] (S)ruto2323: きょう、もらしました＾＾
[17137.546] ~MISSING_COMMENTER_INFO~: いいね
[17142.039] hal_haru: 小学生に上がってから以降ないな
[17144.412] ディディ24: 赤ん坊はノーカンだよ
[17148.030] 摩利支天尊: 完全に出口としてしか使用したことがない人は漏らさない
[17165.794] korekorechanel: 認定もらえた？
[17171.710] (S)ヒイロジーエム: 冷えるしな
[17192.429] korekorechanel: 窒素溜まった？
[17202.711] ポキモン: スキューバブリリング
[17229.036] timiyonion: が死するよりは漏らしたほうがいいな
[17245.038] korekorechanel: ダンゴウオ？
[17258.760] (S)ヒイロジーエム: ウミウシかわいいね
[17294.886] kokohan4: 自分と同じ重さかぁ……
[17313.371] (S)ヒイロジーエム: あ……
[17314.389] ディディ24: 海でう⚪︎ち漏らしたら魚が寄ってきそう
[17315.936] 頸椎: 海中で出したらダメなんか
[17326.016] oka_people_: 海だったら簡単に流せるな
[17342.301] (S)ヒイロジーエム: うんこ責めだぁ
[17346.521] timiyonion: パンツは重かったんじゃないのか？気持ちは軽快でも
[17381.622] watcher_japan: わいはレンタルのダイビングスーツで小便もらしたぞ
[17383.397] kokohan4: それ以降いってないんか？
[17397.409] 頸椎: ちょっとだけでしょ？
[17409.792] oka_people_: 超えちゃいけないハードル
[17418.758] ディディ24: 肛門拡張したんやな
[17422.724] timiyonion: くせになるってか。クセだけに
[17438.101] akichi21: 出たら出たで「出ちゃったんだからもうどうにもならんわ」って開き直るよね
[17441.122] 頸椎: 全ぶっぱかー つらい
[17441.514] akazukin_san: 全ゲリｗ
[17443.022] kokohan4: お腹冷えるの辛いよね
[17457.288] (S)ヒイロジーエム: まあ、人前とかでなくて良かったね
[17476.166] 摩利支天尊: 弱いって、厳しいって
[17479.301] ディディ24: お腹壊しやすい人はビオフェルミンオススメ
[17499.777] kokohan4: もう無敵じゃん
[17508.360] watcher_japan: ん？
[17517.410] manyyao: ODウンチぶっぱやめてね
[17521.230] oka_people_: 脱糞エピソード語られても困る
[17522.932] 頸椎: 屁の見極め誤ってちょっとならやったな
[17525.904] (S)ヒイロジーエム: インフルエンザかなんかにかかった時にちょい漏らしなら……
[17534.444] timiyonion: スカしたんならそりゃ出てないやろ
[17583.576] (S)ヒイロジーエム: バラしてて草
[17586.314] 頸椎: けっこう漏らしてるやんオトン
[17598.362] akichi21: ちょｗ
[17603.232] daiyankei: ノンデリ度は似てる？
[17612.768] kokohan4: ガンナーいすぎだろ
[17615.050] 摩利支天尊: その環境条件に身を置いてようやく1回漏らしたのならむしろ優秀では
[17626.724] ディディ24: ボトラーのお父さんマジエモいね
[17641.968] makino213: 27歳にもなってウンコ漏らした時は、本気で泣いた
[17675.784] (S)ヒイロジーエム: 長距離運転手はボトラーよな
[17691.951] hal_haru: サラブレッドじゃん
[17693.653] timiyonion: それは漏らしたに入るの？
[17693.950] (S)ヒイロジーエム: 屁で！？
[17695.392] kokohan4: 草
[17698.865] ディディ24: あーそれはしょうがないよ。運転する人はみんなやる。布団ちゃんとは違うわ
[17700.959] daiyankei: 威力でかいな
[17704.324] watcher_japan: 運転手って我慢しすぎて痔瘻の人が多いよな
[17705.323] kokohan4: 摩擦か？
[17710.772] (S)ヒイロジーエム: ギャグ漫画やん…
[17711.670] moyac19: 出力調整しようね
[17719.021] kokohan4: ドライバーは職業病ともいえるからね
[17767.447] watcher_japan: いい夫婦だな
[17770.415] (S)ヒイロジーエム: おならテロやんw
[17774.625] ディディ24: ラムもボトルチャレンジしてみて
[17779.676] moyac19: 愛だなー
[17780.501] kokohan4: かわった趣味やな
[17796.967] osamisu: 好きな女の子が嫌がる顔を見たい
[17825.364] timiyonion: にぎりっぺとかここ十年されてない
[17830.288] akichi21: うん◯も情報もダダ漏れですね
[17859.559] ディディ24: 俺エッチの時彼女がすごいオナラしちゃって、すごい気まずかった
[17921.833] timiyonion: 友達のガキ大将。においも鮮明に思い出せる
[17950.290] (S)ヒイロジーエム: 誰からでも嫌だよら
[17955.052] 摩利支天尊: クソの話は伸びるな
[17980.429] kokohan4: 喜ぶやつはかなり珍しいだろうな
[17998.779] timiyonion: 上で人が尋問されてんのに握りイペの話はどうか
[18010.456] timiyonion: にぎりっぺ
[18063.197] kokohan4: にぎりっぺで拷問されてるかもシレンぞ
[18080.874] (S)ヒイロジーエム: すぐ吐けるね
[18134.728] (S)ヒイロジーエム: ターミネーターってわけね
[18142.879] 1111_kou: ダンスつっよ
[18143.045] kokohan4: ダンスｗｗｗｗ
[18152.945] kokohan4: ダンスに任せたら倒してくれそう
[18169.248] (S)ヒイロジーエム: 草
[18175.157] timiyonion: 見えてる
[18196.237] 1111_kou: ハンマー血みどろ
[18196.308] kokohan4: ダンス一人でやってるやんけｗｗ
[18199.210] (S)ヒイロジーエム: 筋肉最強！
[18231.362] timiyonion: 人造人間もパンツの素材にはこだわるか
[18276.865] (S)mimimiumiu1: ただいま
[18306.823] (S)ヒイロジーエム: 草
[18308.132] watcher_japan: こっち見ろ
[18319.045] groovelivegroovelive: なんで背中で語ってるん
[18326.898] (S)mimimiumiu1: 銭形警部やん
[18330.721] ディディ24: 人造人間はう⚪︎こ漏らさないから、見下されてるよ
[18346.993] kokohan4: お礼にお金とか装備とかねぇ？
[18392.243] anon0529: う●こ漏らすところも含めて人間を再現してたらすごい
[18394.136] hunjin: 天気わっる
[18395.769] toda0613: うんこ貯金理論
[18401.232] kokohan4: へそ出してる女の子ってお腹冷えないの？根性で我慢してるの？
[18401.869] timiyonion: 朝だと景色がきれい
[18403.049] groovelivegroovelive: たっか
[18410.505] kokohan4: パワーアーマーで降りる？
[18432.623] groovelivegroovelive: こんぜう
[18459.659] timiyonion: へそ出してくれて感謝しないとな。こんどお礼いってみよう。
[18528.973] groovelivegroovelive: メガネ可愛いなおい
[18566.485] (S)mimimiumiu1: キモキモお節介じじぃ
[18568.452] watcher_japan: 偏見がえぐい
[18588.693] timiyonion: だが実用的だ
[18607.552] (S)mimimiumiu1: ｸｻｸｻお節介じじぃ
[18699.638] timiyonion: 香水入りかな？
[18706.887] groovelivegroovelive: おいしいやつは大体重いよな
[18773.104] kokohan4: 屋台？
[18795.977] timiyonion: もう隣じゃないやん
[18814.450] kokohan4: 常連ばかりだと気まずいよな
[18844.957] hunjin: ハゴフハゴフ
[18851.788] timiyonion: 飼い主に似たか
[18852.181] (S)mimimiumiu1: 入店した瞬間の空気とまるかんじ
[18854.534] watcher_japan: かわいいのは事実
[18855.045] akichi21: ｗｗｗ
[18856.367] groovelivegroovelive: かわいいだろ
[18887.255] uyo4442: もらえないの分かったらすぐいなくなるの笑う
[18907.375] groovelivegroovelive: お、強いライフルきた
[18936.841] groovelivegroovelive: 🐮✋
[18953.529] timiyonion: 俺いつもそんなかんじだぞ
[19012.555] hunjin: 今アメ横とかで飲むのめっちゃいい季節だにゃ
[19025.374] timiyonion: サブクエは配信じゃやんないの？
[19030.528] groovelivegroovelive: ライトオーソリティも結構長く使ってるな
[19037.015] (S)mimimiumiu1: アメ横のアジア感
[19045.018] groovelivegroovelive: つけれないよな
[19054.874] timiyonion: たぶんつけられない
[19059.418] kokohan4: やってみ
[19086.535] timiyonion: 単体で強い奴は大概つけらんない
[19119.193] kokohan4: 直角に曲がったな
[19132.763] groovelivegroovelive: インスティチュートにダンス連れてけなくね？
[19199.665] 摩利支天尊: ん、どっちが言ってる？
[19200.013] akazukin_san: ｗ
[19261.813] timiyonion: RADアウェイ４０もいらんくね？１０で多い気がする
[19293.365] dj_now_: RaMuさんだ。可愛い…。
[19297.822] うしとら_: 遂にグッドネイバー
[19322.519] timiyonion: あたまふっとんじゃうよ
[19351.266] dj_now_: ん？
[19367.363] dj_now_: ドクター細い
