[49.886] えたーなるぶるー: culonyanKonChadoumodoumo
[5549.464] _こぺ_: 焼くの？煮るの？干すの？？
[5555.042] ememeume: 半ズボン少年
[5560.015] ﾔﾐ: 生チョコ生八つ橋も作ろうと思えば作れるという事か
[5565.843] yamayama0520: 焼く
[5569.292] (S)とおー: umeSmoosh
[5570.786] ~MISSING_COMMENTER_INFO~: 無意識ガイル
[5571.768] kusare_gedou: 逆に地元人からしたら生の八つ橋は邪道らしいよ
[5573.817] (S)Kagawashinjiru: 目とか痙攣しないですか？
[5575.540] (S)rinze_chan: 今日寒いのに薄着だね
[5577.454] (S)つさつ: umeGuile
[5580.275] (S)子亀の親分: 生八つ橋の皮だけのがうますぎる
[5586.803] ememeume: 分かるー
[5592.783] 宇佐見連コ: ｹｲｼﾞ
[5600.354] 壱万円札: umeGuile
[5605.926] une3333: まあぶっちゃけ八つ橋と生八つ橋は別物と思っていただいて大丈夫です
[5617.556] (S)Hitode_noko: なんだかんだずっと食べれるのは焼き八ツ橋
[5623.397] shibaponz: 八ツ橋見るのは好き
[5624.309] (S)rinze_chan: 八ツ橋の皮って赤ワインと合うんだよね
[5628.805] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[5631.169] yomogi610: 美味しければどっちでもいい
[5636.607] NOBELL_GF13_050: パリッパリの八ツ橋ー
[5645.058] kusanagi0825: めっちゃ楽しそうw
[5645.158] ememeume: これこれーぃ 
[5646.874] koba_pon: 焼き八橋。細長い瓦みたいな形の。
[5647.560] (S)rinze_chan: やっぱりニルヴァーナなんだよなあ
[5649.740] 宇佐見連コ: かっけぇ…
[5655.753] kumanobed: umeDuo
[5660.138] (S)ゴン太マン: 八つ橋の皮は薬飲むときにいいよね！
[5666.539] shibaponz: あのミニ瓦みたいなフォルムがかっこいいんだよなぁ
[5667.243] (S)多抜深夜: 犯罪者
[5671.053] imamu25: ウメちゃんの胴着かっけぇ
[5676.713] rago2580: ときどこねーかな
[5679.066] (S)strange_love00: 食いすぎてハッカで腹下したわ
[5686.528] (S)rinze_chan: 京都の人って真ん中に住んでる人以外は言うほど陰湿じゃ無いらしいね
[5696.645] (S)Hitode_noko: ニッキじゃなくて？
[5716.004] ﾔﾐ: 生ca 生発動 生八つ橋
[5722.895] (S)strange_love00: そーそーニッキ
[5725.772] une3333: 京都＝腹黒はメディアが作り出したウソですので....
[5738.367] momokomomoyama: VirtualHug
[5739.959] 宇佐見連コ: ぶぶ漬けもウソ？
[5754.001] (S)ホナウド: たまにでいいので、この前みたいにおじ４人のゆるいトーク聞きたいです
[5756.466] (S)rinze_chan: 腕時計褒められたら、話なげえよって意味なのも捏造なのか？
[5769.369] zigeny: 逆にバレバレすぎてできひんでw
[5770.205] shibaponz: ぶぶ漬けって落語かなんかじゃなかったか
[5775.674] (S)多抜深夜: 一部を切り取って全てかのようにいうのはメディアの常套手段
[5779.096] (S)Kagawashinjiru: レバー無いと物足りない感ないですか？
[5780.539] une3333: 捏造ではないけど今の人はそんなこと言わんですｗ
[5792.960] yamayama0520: 初めて聞いた
[5803.429] (S)afro888: 京都の名産品木刀とヌンチャク
[5804.019] (S)Hitode_noko: えっ、きょうはヒトボカゲなんすか！？
[5819.079] kimie_white: レバーだけど？
[5821.922] zanpei501: レバカゲ
[5822.263] tk44444: 大阪人もガラ悪かったりせえへんから。
[5823.527] hojihojidx: カゲの色はもう白固定なのかな
[5826.899] makiwari_: 愛知も言うほど運転荒くないしな
[5827.699] _こぺ_: １日３食うどんも捏造だけど、うどん定食はある
[5829.809] (S)strange_love00: １０年住んでたけど商売人の「いけず文化」は慣れなんだ
[5829.948] (S)booby_one: ウメカゲきてたー
[5831.306] NOBELL_GF13_050: まぁ、内地以外煽りがないこともないがネタ範疇
[5834.869] shibaponz: 大阪人はみんな天使のように優しいぞ
[5839.099] (S)rinze_chan: シソカゲは使わんのかな
[5841.443] une3333: 遅らせー
[5843.967] balthazar000: それは嘘だ
[5847.438] inzaghi09b: 京都人は陰湿はマジだから言ったらダメって京都生まれの紳助がいってたなあ
[5852.592] (S)Hitode_noko: レバーかー
[5854.389] 不渡哲也: 大阪人天使は嘘が過ぎる
[5858.666] flashdbs: EqlFlash subscribed with Twitch Prime. 
[5858.794] (M)Moobot: @EQLFLASHさんTwitch Prime登録ありがとうございます！
[5859.226] tk44444: 大阪人がうるさいとかも嘘やから
[5862.064] トゥーピー神: メディアってなんでミナミのやべーやつばっかとるんかな
[5863.450] (S)rinze_chan: 大阪人が話にオチを求めてくるのはガチ
[5877.872] cpcp3: umeCatGlare
[5882.085] une3333: Ｑです
[5882.121] kimie_white: んでオチは？
[5882.208] shibaponz: 天使は言いすぎたな、あいつら悪魔や
[5889.497] NOBELL_GF13_050: 割と関西はガチ目にオチは求められる
[5896.362] woodmud: ミナミってやっぱガラ悪いの？
[5897.390] galovan0: 四国の人から大阪はクズって面と向かっていわれたことあるぞ・・・
[5898.337] 宇佐見連コ: この評価の振れ幅よ
[5899.533] トゥーピー神: みんなGO1みたいな顔だよ
[5900.036] ~MISSING_COMMENTER_INFO~: グラボかなにか変えた？
[5913.294] (S)booby_one: 奈良人は皆どぐらってマジ？
[5915.315] ﾔﾐ: 本土で岐阜より西に行った事が無いので、ここの情報は全て信じます
[5922.515] 藍蒼碧: 草
[5926.173] (S)Hitode_noko: 関西出身と話すとオチチェック入るよね
[5929.866] kimie_white: うん、で、オチは？
[5931.485] tk44444: オチがないのはおちないんかい！って言っておとしてあげるだけやで。
[5932.435] une3333: 奈良の人はみんな「擦る」ってマジ？
[5934.264] thefrozensun_: 「その話オチないん？」
[5938.219] zanpei501: 奈良人はヌキさんみたいなひとだよ
[5941.979] yayuyo888: 近畿は電車内うるさいイメージ
[5943.521] (S)rinze_chan: 大阪の人が東京人嫌いなのもガチなんだ😢
[5945.154] inzaghi09b: まーじか
[5947.452] 不渡哲也: 落としてあげるとかくっそ上からで草
[5947.489] _こぺ_: 四国はいざとなったら操縦して離脱できるんだぜ？
[5952.768] (S)strange_love00: でも近江商人がケチ（商売上手）はホントだったよ
[5953.333] (S)rinze_chan: wwwwwwwww
[5954.433] shibaponz: で、オチは？はマジやから否定できへんな・・・
[5961.617] NOBELL_GF13_050: オチないとオチないんかい！突っ込みはマジで入るなｗ
[5962.345] (S)itoooo_o: なんかその服わろてまうわ
[5974.952] ﾔﾐ: オチ要求はガチなんですね
[5977.434] galovan0: 関西の人は自分大好きやから簡単にへそまげるで
[5989.041] tk44444: 突っ込みないと無言で空気悪くんるやん
[5990.002] shibaponz: 格ゲーのセットプレイと同じようなもんやししゃーない
[5991.618] (S)booby_one: オチなくてもヌキさんは笑ってくれるから
[5996.680] une3333: まぁ「みんながみんなそうじゃない」とだけ思ってもらえれば.....
[5998.370] (S)rinze_chan: 仕事の出来るできないに匹敵するくらい、オチがあるかどうかは人の評価に関わるよw
[6014.485] えーひろ: 関西の人はカバンとか服とかの値段嬉嬉として言いがち
[6018.523] sonchoh: 大阪入るのにパスポートいるらしいじゃん
[6020.373] kimie_white: 標準語にはオチはないんだ すまんな
[6023.564] _こぺ_: 空気悪くなるって思ってるのが関西人だけって説
[6034.653] galovan0: せっかちで人に自分のレベルを求めるで
[6036.705] higatti: パスポートいるのは群馬や
[6038.510] NOBELL_GF13_050: あの安さアピールはなんだろうな
[6045.335] hojihojidx: ドノヴァンコスって何で企画通ったんだろｗ
[6054.932] yayuyo888: 関東は高値自慢で、関西は安値自慢てどっかの誰かが言ってた
[6056.249] ﾔﾐ: なんかあまり良い話が出てこないですねｗ
[6056.399] shibaponz: まぁ高いものを安く買えたほうが嬉しいからな
[6065.997] からあげくんレッド: オチ求める関西人って感じ悪い
[6068.805] une3333: ギルコスが企画通るんだからドノヴァンも通るさ
[6072.103] juu_hachi_shadow: Shamrock100
[6072.424] (M)Moobot: Thanks for the support, @buauf 
[6075.170] inzaghi09b: ResidentSleeper
[6080.463] (S)booby_one: 値引き交渉できる＝しゃべりが上手い、みたいな
[6081.712] _こぺ_: 昔から商いの街だからじゃない？
[6085.168] (S)strange_love00: 巨人ファンも多いけど、やっぱり阪神に詳しいだけでもだいぶラクよ
[6091.323] えーひろ: この服なんぼだったんがなんぼだったんよ！凄くない？みたいな
[6098.435] tk44444: 大阪の割り口になるように腹黒い京都人が仕掛けたなー！？
[6104.220] (S)ホナウド: アメちゃんあげる
[6104.432] tk44444: 悪口
[6106.633] トゥーピー神: 大阪人はNAOくんみたいにコンボうまいから
[6125.135] 不渡哲也: NAOくんて誰かと思った
[6126.818] inzaghi09b: せやかて工藤
[6127.472] (S)rinze_chan: NAOって誰だよ声優か？
[6131.315] balthazar000: マジかよ陰陽師最低だな
[6133.619] une3333: なおくんどこの人ですっけ
[6134.154] nagoyan138: umaa
[6138.753] hojihojidx: ギルコスはユンのアレコスにヤンコス出すくらい舐めてるからなｗ
[6145.200] chinbinmax: ゲージ完璧
[6156.650] えーひろ: 飴ちゃんとバン！って言って打たれた振りするのは嘘だと思ってる
[6159.542] (S)booby_one: 広島人でベイスファンのガチくんって漢だわ
[6163.138] トゥーピー神: さこなおと
[6170.715] (S)rinze_chan: 飴ちゃんはガチだった
[6178.964] tk44444: あめちゃんは結構ガチです。
[6179.153] higatti: 人による
[6179.826] 宇佐見連コ: 飴もガチかよ
[6183.505] (S)Hitode_noko: 京都人と大阪人は嫌い合ってるの？
[6187.033] _こぺ_: ベイスは蔑称なのでお気をつけを
[6195.584] NOBELL_GF13_050: バンは多分割とやってくれると思う
[6210.204] えーひろ: そーなんだw
[6210.368] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[6211.099] (S)rinze_chan: ベイスって蔑称なの！？知り合い普通に使ってたわ
[6220.724] (S)omegazwalt: 俺も初めて聞いた
[6222.459] (S)ゴン太マン: 大阪と沖縄は、入るのにパスポート出したわ
[6229.262] (S)wahaha7788: うめちゃんおつかれ～
[6231.823] inzaghi09b: のりつっこみは乗っかってくれるってのは聞いたがほんとかな
[6232.051] 不渡哲也: 野球全然知らんけど倉本のことだけ知ってるわ
[6233.556] ~MISSING_COMMENTER_INFO~: ベイスは蔑称じゃないだろ、ハメカスとかが蔑称だろ
[6236.525] tk44444: バンやってくれるの3割もいないと思うよw
[6250.216] (S)rinze_chan: ウメハラってどこファンなんだろ
[6251.369] higatti: 海外から来たら大阪も沖縄もパスポートいるな
[6254.488] (S)ebimayoo: 馬場がうんこなのはどの地域？関西？
[6257.349] ﾔﾐ: ベイスはどっちなのか…
[6261.685] (S)strange_love00: カープファンは他県住みがツライ。放映権の囲い込みがえぐいから。
[6262.385] 宇佐見連コ: 群馬以外にもパスポート必要なところあるんか
[6265.565] _こぺ_: ベイスターズファンをバカにするときに使わられるよ。昔から耐えてきたからわかるんだ
[6274.795] hojihojidx: ウメちゃん球技に興味あらず
[6275.082] misoshiru01: よく横浜がとんでもないプレーすると、ベイスボール始まったとかいうよね
[6285.484] (S)hayama01: umeCheer241 
[6285.664] (M)Moobot: hayama01 さん、ありがとうございます！ 
[6300.378] kusare_gedou: ウメちゃんはあまりスポーツに興味ないでしょ
[6301.383] ggl8546: ウメちゃん野球興味なさそう
[6303.306] ygaofmk: 政治と野球とドラクエの嫁の話はNG
[6307.364] (S)rinze_chan: ベイスターズ→ベイスでdisになるのか、難しいな
[6313.652] une3333: 京都よりよっぽど怖いやん野球....
[6314.503] からあげくんレッド: ハマスタはいいとこだったよ
[6319.016] バリーボンズ: カゲでも圧倒！！ウメちゃん強い！！
[6323.278] ﾔﾐ: ドラクエの嫁の話しダメなのか…
[6327.028] (S)wahaha7788: ウメちゃんはフェンシングの才能がありそう
[6333.362] トゥーピー神: ドリブルは恥ずかしいです。
[6334.058] (S)rinze_chan: ドラクエの嫁ってなんだ？
[6335.933] ~MISSING_COMMENTER_INFO~: 群馬仕事で何回か出張したことあるけど、東京から新幹線で30分くらいで駅前は割と発展してたぞ
[6336.486] (S)多抜深夜: ベイス呼びってガチくんもきれるんかな
[6340.510] _こぺ_: ベイファンとかDeファンとかハマファンが普通
[6340.969] (S)kaigaizei: コーディーとの野球は大好きな模様
[6343.972] (S)strange_love00: じゃあ昨日の堤さやかの話する？
[6347.668] ﾔﾐ: 私はバーテンダーの才能があると思ってます
[6355.473] zanpei501: ネネ？
[6358.919] _こぺ_: キレはしないけど大体は嫌な気持ちになる
[6367.117] 宇佐見連コ: トルネコの嫁じゃねえか！
[6371.186] une3333: のーまるこすになった
[6372.497] _こぺ_: まぁ人によりけりだけどね
[6388.720] yayuyo888: いまベイスて言われるほど弱くないよね
[6390.163] (S)omegazwalt: ただの略称で蔑称って言われてもよく知らん人は困るだろうな
[6396.442] kimie_white: 武器商人とか現実ならやばい職だからな
[6398.542] zanpei501: ツッコミありがとｗ
[6401.931] (S)rinze_chan: しかし、カゲの大Pの「しゃあっ」って言うのダッさいなw
[6402.861] DarkBorne6: YOu are then man...HOPE you win EVO this year...I will be cheering for you.
[6418.579] (S)hayama01: ジャッ！！
[6428.961] こまお: うめちゃんが野球やってても多分成功してたと思う
[6433.595] hojihojidx: 「ｺﾝﾆﾁﾜ！」
[6438.044] mr_jnickz: LUL
[6440.313] inzaghi09b: 略すなら横浜かベイスになるしわかりやすいからベイスって言うぐらいだと思うな普通は
[6445.898] damumeta: うめえw
[6446.323] (S)Hitode_noko: ッシャオラ！
[6452.739] ﾔﾐ: 梅さんがやってたら失敗しそうな職業は何かな？
[6459.566] (S)tasukete: バントの指示聞かなそう
[6460.985] (S)rinze_chan: ウメさんのお篠とバッセンいってたときの動画やばかったよ
[6462.930] woodmud: ウメハラさん球技は苦手って言ってた気がするぞ
[6463.071] kimie_white: ガチくんのラシードベイスコスやばいくらいダサくね？
[6464.764] えーひろ: 介護
[6466.537] トゥーピー神: サッカー
[6474.357] (S)booby_one: 団体競技は無理そう
[6482.825] こまお: サッカーとバスケはやばそう
[6485.891] 宇佐見連コ: 介護は昔実際にやってたはず
[6491.472] 不渡哲也: 集団の中で自分の役割を理解する機能が欠落してるって言ってたからなぁ
[6497.489] (S)wahaha7788: カゲでユリアンにこんな勝ててたっけ
[6497.714] hiisan: 大人気コスやろが・・・
[6498.138] ﾔﾐ: サッカーは確かに
[6504.014] (S)strange_love00: ダルみたいなオタク気質な一流プレーヤー
[6511.026] LCookie: shackHYPE
[6516.481] _こぺ_: こないだ何かの話で野球に例えてなかったっけ？ウメちゃん。意外だった記憶がある
[6517.434] triskeal: 雪山でふらーっと単独行動するのが戦略なのか天然なのか
[6517.990] kimie_white: ヘルメットかぶってんだよ？
[6531.156] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[6536.878] misoshiru01: ２００８年にいたルイスっていう広島にいた投手の勝ち星と、ベイスターズの交流戦の勝ち星が同じだったから、「ルイス」との対比で「ベイス」の蔑称が誕生したらしい
[6538.589] えーひろ: 昔辞める時にここはおれの場所じゃないって言ってたからw
[6540.188] こまお: テニスとかゴルフはいけそうな気がする
[6541.540] hojihojidx: サッカーやりこんでたら実際ドリブル多そうｗ
[6547.143] tk44444: 大人気やけどガチくんに気を使って誰も使ってないだけやから。。。
[6547.223] une3333: いーひひーやー
[6550.586] ~MISSING_COMMENTER_INFO~: 集団競技が苦手そうなのは、雪山見てればなんとなくわかる。テニスとか卓球ならいけそう
[6557.678] (S)rinze_chan: ルイスの勝ち星ワロタ
[6558.617] woodmud: 足元は不器用そうだけど
[6559.135] ﾔﾐ: ヌルっと雪山をさまようのが魅力
[6561.230] (S)Hitode_noko: 「デッドボール？人数減らしたほうが有利取れません？」
[6567.432] 宇佐見連コ: なるほど、無知だったわごめんw
[6585.741] 不渡哲也: ウメさん歩き方可愛いもんな、アームレスリングとか良さそう
[6592.735] inzaghi09b: 普通の人はそんなエピソード知らんw
[6597.409] えーひろ: いやせめてないよ！wこっちこそごめん
[6600.719] zanpei501: ウメちゃんにあいそうなのはゴルフかな
[6609.471] トゥーピー神: 競歩はとくいだな
[6614.178] (S)wahaha7788: ウメちゃんガイル封じられても全然いけそうだね
[6614.394] (S)tasukete: 国技の相撲あらず？
[6628.287] _こぺ_: いや、そもそもベイ・スターズなんだからベイスで切ると、え？ってなるでしょ？
[6634.872] misoshiru01: ちなみにそのあとルイスに勝ち星の数で抜かされたらしいよ
[6640.071] hojihojidx: ゲーマー腕相撲大会みたいね
[6641.435] dappi69: デッドボールで有利とるって発想やばいなｗ
[6649.870] ememeume: ぷはー
[6652.589] (S)Hitode_noko: ベイ・スターズだったのか
[6653.246] (S)rinze_chan: ルイスやるやんけ
[6656.784] (S)booby_one: ベイスって言い出した俺のせいだー！ごめーーん！！
[6666.740] takatsushiba: ルイスなっつ
[6675.834] _こぺ_: 長々話引っ張ってごめーーーーん！！
[6678.095] mmiiacha: 政治と野球の話はご法度のはずだろうがぁ！
[6683.307] tk44444: スポーツって何でも上手い人怪我さしたら有利取れるものやからねw
[6685.941] inzaghi09b: 日本・ハムファイターズ
[6689.895] (S)Hitode_noko: ドリフターズのノリだと思ってた
[6693.357] (S)rinze_chan: デッドボールって敵にダメージ与えたのに不利になるって、ルールおかしくない？
[6693.875] woodmud: プロ格ゲーマーが腕相撲で腕の筋やっちゃったら危ない
[6696.339] ぐのたお: ウメカゲが大会で見られる日は来るのだろうか
[6700.040] (S)strange_love00: やっぱこくじんは中日かな？野球ネタ聞いたことないけど。
[6702.720] ebikatsu39: ベイスターズって横浜のイケてるイメージの足引っ張ってるよね
[6714.305] えーひろ: 道民って皆日ハム好きなイメージ
[6715.028] ﾔﾐ: 球技全然見ないけど、サッカーのスライディングはやりすぎな動画多いですね
[6721.658] balthazar000: イケ、、、てる、、、？
[6723.346] audience01: 野球のコミュいってくれ
[6731.236] tk44444: ちょっと前殺人タックルで実際に有利取りに行って叩かれまくってたけどね。。
[6731.397] (S)strange_love00: うんこちゃんは倉本の守備が大好き
[6736.823] une3333: ウメちゃんなんかの大会の打ち上げみたいなので腕相撲してなかったっけｗ
[6738.559] inzaghi09b: すまんなThankEgg
[6748.433] 不渡哲也: ウメマゴで腕相撲してたね
[6749.432] 宇佐見連コ: マゴさんとやってたね
[6749.555] (S)rinze_chan: タックルで有利とかユリアンでもだめでしょ
[6752.716] (S)Hitode_noko: 獣道の打ち上げ
[6757.048] mmiiacha: マゴさんに勝って、カムイさんに負けてたｗ
[6759.835] (S)wahaha7788: サッカーの痛い痛いまとめ動画面白くて好き
[6775.179] une3333: マゴさんとやって、別の時に外国の人ともやってたよね
[6776.762] (S)rinze_chan: スポーツはEX絶唱ある
[6782.678] _こぺ_: 足引っ張ってるのは10年前までの話だぞ！いまはシャレオツな球場でデートスポットにも最適なイケてる球団になってるんだぞ！(早口)
[6788.466] (S)kaigaizei: 腕相撲強い神威さんすき
[6790.586] zigeny: エイジスさばくのウマー
[6790.762] left_dk: おー
[6795.356] BigbossJP: そこで飛ぶかｗ
[6795.453] tk44444: アメフトのタックルは話題になったもんねー。
[6795.792] (S)多抜深夜: とんでるぅ
[6795.820] Zakahonie: alter
[6798.512] ﾔﾐ: マゴさんとの腕相撲覚えてなかったんでしたっけ？
[6799.171] lyo0822: とんだー
[6800.671] (S)ホナウド: すごい
[6801.293] (S)tasukete: ドンピシャやん…
[6801.342] dappi69: このユリアンの人本当にプラチナなん？
[6801.366] hojihojidx: 通すかぁｗ
[6803.742] tsubame5204: sakoOk
[6809.863] LCookie: shackHYPE
[6810.085] 不渡哲也: りゅうせいだよ
[6812.774] une3333: りゅうせいぞ
[6813.971] lyo0822: りゅうせい
[6825.375] (S)strange_love00: ラミちゃんはよくやってると思うよ
[6826.379] woodmud: このプラチナはプロ並みだなあ（
[6828.565] (S)おひで: 最近のプラチナ強いからな
[6828.839] gakkaripanda: ももちから気持ちレイド
[6829.536] ぐのたお: プラチナのりゅうせい
[6829.556] inzaghi09b: アルティメットプラチナ
[6830.523] dappi69: だよね、めちゃめちゃ動きいいなと
[6830.884] _こぺ_: ちなみにハマスタの喫煙所でマゴさん見かけたことあります
[6835.243] (S)rinze_chan: りゅうせい今年で27って知ってびっくりした
[6836.587] balthazar000: プロチナ？
[6839.339] (S)Hitode_noko: まーじか
[6846.009] une3333: なにやってねんハヤシぃ！！
[6857.965] 桜風かなた: このユリアン、ヒカルの碁がむっちゃ好きなんだなぁ
[6863.146] misoshiru01: このプラチナユリアン、大会で見たいわー
[6863.753] lapistaxx: ももち配信から徒歩で行けと言われて来ましたw
[6866.409] (S)wahaha7788: まごさん全国の喫煙所まわってそう
[6869.365] (S)Hitode_noko: まごしいw
[6870.881] mmiiacha: ウメちゃんの配信には基本レイドできないはず
[6874.075] obo_006: ももちありがとーー
[6884.535] lyo0822: ももちありがとｗ
[6885.013] (S)rinze_chan: レイド出来ないってなにw
[6889.211] balthazar000: レイドも忍ぶ
[6891.749] naosansan: あひる口かわいかった
[6893.024] Key_Boy69: ももちありがとー
[6897.593] 不渡哲也: なんか知らんけどレイド拒否設定になってるんてさ
[6899.284] (S)booby_one: ゆうすけありがとー
[6903.030] ﾔﾐ: ｗ
[6903.212] ゅり: 配信者側の設定でできない
[6903.506] conpuka: BigPhish
[6904.144] (S)wahaha7788: 忍びのものが徒歩できた
[6904.483] dappi69: 徒歩ｗ
[6907.125] (S)rinze_chan: 王は媚びない
[6907.787] mmiiacha: 手動レイドありがと～
[6908.050] ﾔﾐ: レイド拒否ｗ
[6911.291] (S)tasukete: 施しは受けない
[6916.953] (S)多抜深夜: 硬派
[6919.578] gakkaripanda: 忍んで来た
[6919.918] zappnn: ももちがレイドしようとするって珍しいな
[6920.432] (S)Hitode_noko: うめちゃんは媚びない
[6924.519] ﾔﾐ: 誰の前でレイドしてんだよ
[6926.291] (S)ホナウド: ウメさんがフォローしてる人しかレイド出来ない設定のはず
[6930.131] 球根: 徒歩で来た
[6951.392] (S)ebimayoo: ただ間違って設定したまま変えれてない気も
[6955.060] une3333: エイジス使ってもきつーい
[6955.074] kamite51: KonCha
[6985.045] une3333: あぶあぶあぶ
[6987.611] ﾔﾐ: メっへへへ
[6989.294] ~MISSING_COMMENTER_INFO~: ユリアン「・・・あれ！？俺って最強キャラじゃないの？」
[6993.513] (S)Hitode_noko: あばれたー！
[6994.422] ESTEN69: 9-2
[6997.536] tmo_012: こんにちは、影で安定して勝てるようになりましたか？
[6998.347] (S)rinze_chan: しょうりゅうせびつよ
[6999.269] (S)チョコミんト: 阿修羅の先にエイジスできないのかね
[7005.409] soboroyoshihiro: 即投げ決まるねー
[7007.979] zappnn: 他の配信で結構ウメさんにレイドできないって言ってるの見るな
[7012.854] 宇佐見連コ: 阿修羅キャンセル強いな
[7014.872] lyo0822: りゅうせい頑張れ
[7018.391] zigeny: はやなげかー
[7018.980] obo_006: りゅうせいずっとしゃべってておもろいｗ
[7023.421] (S)booby_one: ウメカゲSランクってマジ？
[7024.875] mmiiacha: どんなにリードしててもエイジスが恐ろしい
[7024.909] richuouo: hello from italy
[7037.743] (S)rinze_chan: 俺が配信者ならウメにレイドしてお返しレイド貰うムーブしたいのに
[7040.303] despera_lk: hello
[7043.300] obo_006: りゅうせいとディスコはやらないのかな
[7044.928] lapistaxx: ciao
[7048.461] admjg23654: カゲとウメカゲは別物、か
[7048.780] himeguma_ma: VoHiYo
[7051.545] diediedying: りゅうせい「ムカついてきた。叫びたい」
[7052.939] richuouo: ciao
[7065.700] (S)ebithunder: りゅうせいだいぶお怒り
[7067.613] akiaki0612: りゅうせいくんにガイルつかわんの？
[7074.474] ryu_hado: hello
[7074.531] une3333: りゅうせいくんは通話するとかなり面白い感じになるよ
[7074.929] (S)strange_love00: 茶王
[7083.737] ryu_hado: how Are you
[7093.074] inzaghi09b: Squid1
[7110.623] inzaghi09b: あれ？出ない
[7114.052] admjg23654: はっ！？
[7120.624] tmo_012: あわわ
[7120.733] (S)~MISSING_COMMENTER_INFO~: guys is toyaakira pro player or just daigo friends?
[7125.017] ﾔﾐ: 解せぬ
[7127.560] une3333: がくーっ
[7128.499] (S)~MISSING_COMMENTER_INFO~: umeBoom
[7129.187] (S)ebithunder: りゅうせい、叫びたいくらいむかついってるって
[7134.682] inzaghi09b: umeBoom
[7138.785] (S)booby_one: あらま
[7144.824] despera_lk: no ,igo player
[7149.727] inzaghi09b: FUNgineer
[7150.257] hzks_VNFGC: maybe random opponent
[7152.319] (S)~MISSING_COMMENTER_INFO~: igo?
[7161.435] Chunkydunky0: toya akira is best go player
[7163.564] redbull_daisuki: こんばんは。お、りゅうせいか
[7164.617] (S)ankoro123: アイゴー？
[7167.045] Chunkydunky0: wwww
[7167.382] despera_lk: yes. igo
[7178.290] (S)~MISSING_COMMENTER_INFO~: what is igo?
[7185.301] inzaghi09b: umePout
[7187.987] Chunkydunky0: japan board game
[7188.081] (S)rinze_chan: 王「貴様などカゲで十分」
[7188.873] (S)tasukete: コメント欄で質問きたとき毎回適当に返すやつおるな
[7192.759] (S)Hitode_noko: igo player in japanese famous igo comic
[7194.709] トゥーピー神: 囲碁？
[7195.072] (S)arigato_arigatou: 今日は登山するの？
[7197.826] (S)~MISSING_COMMENTER_INFO~: that go game in hikari no go?
[7199.839] obo_006: ryusei
[7201.967] despera_lk: ask the google
[7204.082] (S)~MISSING_COMMENTER_INFO~: it's called igo?
[7210.615] (S)dohyaaaa: あれ、今日レインボーのMAXENDだっけ？
[7213.974] daruma2597: 囲碁プレーヤーになってますね
[7217.036] 宇佐見連コ: ヒカルの碁関連？
[7221.289] despera_lk: yes
[7222.297] (S)Hitode_noko: yes, hikaru
[7232.909] redbull_daisuki: スーパーチェリ太郎さん？
[7233.901] (S)~MISSING_COMMENTER_INFO~: ok thanks chat 
[7237.092] mmiiacha: 塔矢アキラだしねぇ
[7241.732] (S)rinze_chan: なんでアイゴーの話してんだ
[7251.140] zanpei501: Go
[7251.150] obo_006: ちぇり太郎さんカメラつけるかー
[7253.053] (S)dohyaaaa: ニックネームありすぎてわからん
[7255.379] himeguma_ma: ヒカルの碁の話だよ
[7257.644] despera_lk: 4Head
[7259.502] げろげろまる: スーパーチェリー三太郎（40）
[7280.024] (S)rinze_chan: 三太郎さん童〇なん？
[7288.371] (S)Hitode_noko: ベストアイゴプレイヤーインジャパン
[7300.835] diediedying: んなわけw
[7304.781] obo_006: ＪＫの娘いる彼女いるんじゃないっけ
[7314.543] (S)ankoro123: ほかにアイゴープレイヤーはいるのか
[7320.134] (S)strange_love00: アイゴーは英語でアウチだよって書こうとしてとんでもない勘違いに気づいた
[7320.487] (S)rinze_chan: それJKの娘が本命じゃね？
[7324.063] attyan21: ガイルタイムは終わってしまいましたか？
[7326.919] (S)Hitode_noko: マゴしい
[7329.623] obo_006: その娘には嫌われてるとかｗ
[7332.288] (S)kxiaofen: umeNekoMiru
[7361.491] (S)rinze_chan: JKにおっさんの魅力つたわらんかー
[7371.435] une3333: 娘が嫁に見えて一瞬意味わからんかった
[7377.450] obo_006: ｗｗ
[7378.236] (S)~MISSING_COMMENTER_INFO~: where is shohei and our fgc translation content 
[7383.519] (S)booby_one: 端こえー
[7398.154] une3333: jkの嫁がいる彼女ってなんやってなった
[7399.475] damumeta: そら母親の彼氏とか嫌やろ
[7417.353] (S)rinze_chan: JKの嫁がいる彼女.......
[7417.545] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[7417.778] inzaghi09b: きっついっす
[7419.754] (S)シリン: 複雑だね〜。
[7421.295] (S)Hitode_noko: 自分の親が野良雪山でチェリーとか超必とか言ってたら嫌だわ
[7426.448] redbull_daisuki: みんなチェリ太郎さんに詳しいな、さすがにチェリ太郎さん配信まで見てたら寝る時間なくなる
[7433.831] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[7439.417] millioniwashi: スーパーチェリー
