[24.304] alyncoo: k4sen5ban
[5171.442] katamarusan: SGあるからクソゲーか...
[5175.067] (S)rushhikakinzz: ちゃんとショットガンにキレるあたり戻ってきましたね
[5175.831] ksnshin: 俺も今やってたけどショットガンガチキモいまぁ昔からだけど
[5176.086] tamamajidayo: えレートあがるん？ｗ
[5179.227] aizomekun: こういうチームデスマッチみたいなゲームなんで日本流行らんのやアロ
[5180.558] 3kagi: ｗｗ
[5181.347] ゆるふわ霊柩車: つっよw
[5181.791] みちちち: はぁつよｗｗｗｗｗ
[5182.019] maaa_roku: まじかw
[5184.471] chinesdragon: つよすぎｗ
[5184.877] ftchinbk: つんよ
[5185.072] kab_e: つっよ
[5185.085] Chili_tomatojr: はwwwww
[5185.393] キューブってる: ｗｗｗｗｗｗｗ
[5185.971] mintonll: つよww
[5186.059] すれいさん: ｗｗｗｗ
[5186.168] ufoforyou: そんなやつcodにおったよなw
[5187.122] lryuccca: つっよ
[5189.529] marvolo6: 汚物は消毒だ！
[5190.130] ただのともや: www
[5190.233] katamarusan: ピュリファイヤ
[5190.617] kurikoan: しゅんどけすぎる
[5191.694] c6erry: ピュリファつっよ
[5192.375] aero_crunchy: DPS高ww
[5197.361] h9lios: 煮沸じゃーー
[5197.384] aiueyonbin: ピュリファイヤーやん
[5198.850] ~MISSING_COMMENTER_INFO~: ピュリファイアー
[5198.887] ufoforyou: ピュリファや
[5200.324] 低音ちゃん: 強い時代のピュリファイア
[5201.115] Annoymouse: 汚物プレイ辞めてね 
[5202.675] (S)マートン: これってやっぱBO3の・・・
[5204.805] あのがわ: これはbo4
[5206.633] boost_diva: BO4にてる
[5206.752] katamarusan: それなw
[5208.035] みちちち: ほんまにＣｏＤのピュリファイヤーやん笑
[5208.412] 猫宮ねこス: ソードフィッシュ
[5208.787] maaa_roku: ほぼそれ
[5209.443] jecht9898: ピュリファイアーすぎぃ
[5212.500] adachi_p: あ
[5212.567] chikage_1003: やっぱそうだよねw
[5213.591] c6erry: だって作った人一緒だもん🅆
[5213.661] (S)sheeeelll: wwwwwwwwwwww
[5214.985] ちわい: あ
[5215.635] h9lios: wwwww
[5217.589] ftchinbk: ｲﾝｽﾊﾟｲｱ
[5217.738] bbaooi: でしょうね
[5218.958] 7tk4: MercyWing1
[5219.319] mentaimayo0141: 言っちゃったw
[5221.648] daichaaan12: テンペストあったら確信犯
[5221.975] 粗茶です: これだったら本家で別にいいんじゃ
[5222.360] みちちち: 無料のＣｏＤ
[5223.143] marvolo6: オマージュですよ＾＾
[5223.869] Shijimichan: ファイアブレイクだろこいつ
[5227.568] adachi_p: みんな言わないようにしてたのに
[5227.770] ufoforyou: アナイアレーターある？
[5228.752] rikkymaru8: bo3のプュリファイアーやん
[5228.933] boost_diva: 中央下のUIまんまじゃんｗ
[5229.336] 3kagi: 無料でできることに感謝します
[5230.872] aero_crunchy: 5分で思った
[5231.711] ftchinbk: UBI様やぞ？！
[5232.191] 桜井景和: 味方にキレるところとかまで何もかもがcod
[5233.136] グリフォンです: 右手からミニガンになるキャラいます？
[5234.440] h9lios: 作った人一緒なのま？？
[5234.814] kurikoan: もうブーストつけよう
[5234.848] manatee0624: 作った人一緒だからなあｗｗｗ
[5235.569] 蒼守: サイス追加してくれ
[5236.084] キューブってる: オマージュ
[5236.495] Baylessjj: 本家は10000円やからね
[5237.819] jecht9898: パルワールド！？
[5238.905] 834217: ソードフィッシュあれば完璧よ
[5239.441] ~MISSING_COMMENTER_INFO~: オマージュな
[5240.340] 桜井景和: cod公式ブロックしてなかったっけ
[5240.967] yoshizawa_ktk: みんなあえて言わなかったのに；；
[5242.206] あのがわ: これこれ～って感じ
[5242.342] aizomekun: こういう命軽いFPSなんで流行らんのや
[5242.538] miso_kan: 作ってる人一緒だし
[5244.171] tamamajidayo: だって元codの人が作った
[5244.718] ゆーちゃそ: でも無料
[5245.337] consensus_low: でも無料で出せるのはubiの実力か
[5246.303] Chili_tomatojr: 無料なら流行るんじゃね
[5246.840] xoSOULox: CoD公式にツイッターブロックされてるからな
[5247.581] gavrosu: 無料で出来るCODならこっちでいいや
[5254.829] wingmeeen: この武器abrやろもう
[5259.565] katamarusan: ブロックわろた
[5261.120] manatee0624: ツイッターブロック草
[5265.046] (S)sheeeelll: 逆に何が違うん
[5269.752] ﾐﾁ: 室内BO3のアクアリウムみたいな感じに似てる
[5271.422] chinesdragon: 無料でできるcodとか神やん
[5271.735] ~MISSING_COMMENTER_INFO~: おまえら無料なんだから文句言うな
[5273.245] Annoymouse: ＣＯＤの開発辞めたの何か理由あるんかな
[5276.420] (S)桜井景和: 桜井景和 subscribed at Tier 1. They've subscribed for 2 months, currently on a 1 month streak! 
[5276.833] grave_ex2: これに限らずFPSなんて似たり寄ったりだろ
[5280.826] ufoforyou: ステージがシンプルなんが神すぎる
[5282.399] daichaaan12: いうてこのゲームちょい流行りしそうな気がする
[5292.693] tamamajidayo: 無料でcod出してるようなもんだしなｗ
[5292.902] nuousuper: このジャンプ打ち終わってて無理
[5294.033] catmyu: キルスト無いから一方的な試合は少ない？
[5294.378] kurikoan: ジャンプ撃ちがCODの動きすぎるｗ
[5300.168] ゆるふわ霊柩車: 今のcodは肌に合わんしかなり好きかも
[5302.920] shiwasunohi: わかる
[5307.352] ~MISSING_COMMENTER_INFO~: ACRサプゲー
[5311.433] ~MISSING_COMMENTER_INFO~: ナパーム爆撃はないんですか？
[5312.877] 低音ちゃん: 敵の視認性も良い
[5313.081] ニシタニ: でも流行りません 
[5313.731] yoshizawa_ktk: 配信者がやる人多いかだけが流行る条件
[5314.941] ftchinbk: ｗ
[5321.234] h9lios: えらい
[5324.626] consensus_low: 無料の水でもゴミならクレームくる
[5326.387] c6erry: 乗った方がポイント入るからね
[5329.875] manatee0624: 配信映えしないから流行らないよ～ｗ
[5329.968] katamarusan: ボドカ流行らせろ
[5331.553] ftchinbk: ゾーン内の人数って関係あんのか
[5332.307] cattiger5656: メス豚のケツにビンタ (キックも)
[5333.961] みちちち: ルールを守りまくってる笑
[5334.264] すれいさん: 意識たけぇ
[5336.147] monry_v7: cod好きはハマりそう
[5337.261] ~MISSING_COMMENTER_INFO~: 配信者に案件出せば流行るくらい面白いゲーム
[5338.394] vwaiwaiv: スライディングキャンセルできる？
[5341.086] daichaaan12: ファイナルズも配信者結構やってたけどな、、
[5343.372] みちちち: キル廚おらんってこんな強いんやな
[5351.665] ~MISSING_COMMENTER_INFO~: おわおわエイム
[5353.013] ufoforyou: でもこういうゲームって雑談しながらできないから配信者はやらんよなあ
[5353.302] はぜぼう: エイムアシストはありますか？ 
[5354.890] iwaryu7: あもなん
[5358.080] mostimavlrt: tntn
[5361.197] grave_ex2: キルスト無いの味気ないな
[5361.846] h9lios: えいちん？？
[5362.480] 蒼守: プレステ民に気に入られるかが全て
[5365.198] ftchinbk: ｗｗｗ
[5365.788] 3kagi: きもちーｗ
[5366.091] 121pz: つよ笑
[5366.171] (S)sheeeelll: うわ最高やw
[5366.749] aiueyonbin: リスありのFPSいいよな
[5367.062] (S)homuhomuqb: wwww
[5367.127] tamamajidayo: ｗｗｗ
[5367.388] すれいさん: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[5368.142] あのがわ: codもそうだけど旗意識高いやつ偏ってるイメ―ジある
[5368.355] mintonll: www
[5368.986] c6erry: ｗｗｗ
[5369.059] ~MISSING_COMMENTER_INFO~: きめえｗ
[5369.362] gavrosu: ｗｗｗ
[5369.844] 低音ちゃん: なんか死んだｗ
[5370.432] ニシタニ: ピュリファイヤー！？
[5370.548] katamarusan: wwwwwwwww
[5370.632] okamotofps: wwwwwwwww
[5370.645] kantaaq: ｗｗｗｗ
[5370.820] ASHXBLOOM: wwwwwwwwwww
[5371.940] キューブってる: ｗｗｗｗｗｗｗｗｗｗ
[5372.092] ASHXBLOOM: w
[5372.191] yoshizawa_ktk: 配信者のなかで流行らないとこの手のは流行らん
[5372.699] chinesdragon: アホすぎｗ
[5372.794] Annoymouse: w
[5372.809] mostimavlrt: www
[5373.213] ASHXBLOOM: wwwwwwwwwww
[5373.394] yoshizawa_ktk: ｗｗｗｗｗｗｗｗｗｗｗ
[5373.406] rikkymaru8: まじでプュリファイアーやん
[5374.049] mentaimayo0141: wwww
[5375.030] みちちち: ウルト２週目！？ｗｗｗｗｗｗ
[5375.318] ただのともや: ベイブレードきたあああああ！！！
[5375.533] ufoforyou: クソおもろいやん
[5376.482] あのがわ: ｗｗｗｗｗｗｗｗｗｗｗ
[5376.491] Syuto0907: wwww
[5377.005] papi883: wwww
[5377.089] しゃけの塩焼き: wwwwww
[5377.865] h9lios: スプリンクラーきたーーーーーー
[5378.323] tellsun: 伝統芸やめろwwwwwww
[5380.595] decoy_55: きもすぎww
[5380.883] みちちち: つよすぎやｗｗｗｗ
[5382.803] aizomekun: バトロワは雑談できるからはやったもんね
[5385.625] Syuto0907: つっよww
[5386.016] キューブってる: 目回るわｗ
[5390.099] consensus_low: マウス強いか
[5390.267] vwaiwaiv: BO4であったなこんなの
[5392.249] katamarusan: m16強いな
[5398.557] ~MISSING_COMMENTER_INFO~: したいうちで炙れるなこれ
[5399.654] lucis27: スキル？とか次世代感あるな
[5402.193] gavrosu: キーマウでDPI高くしてやったらおもろそう
[5443.119] みちちち: ネク意識やばない？敵
[5443.550] ufoforyou: 武器強すぎる
[5445.672] yooboi723: !drop
[5445.840] ftchinbk: ｗｗｗｗ
[5450.275] maaa_roku: もうネク覚えてるのか
[5451.074] tamamajidayo: ｗｗｗ
[5452.276] すれいさん: ｗｗｗｗ
[5452.433] kantaaq: ｗｗｗｗｗｗ
[5452.670] みちちち: 絶対ＣｏＤ経験者笑
[5456.958] あのがわ: ｗｗｗｗｗｗｗ
[5458.475] しるねこ: 相手えらすぎｗ
[5459.597] h9lios: wwwwww
[5460.225] スワンプ: 制圧部隊ｗ
[5462.387] たぢ: ww
[5465.937] srtdehew: なんか見たことあるスキルきたな
[5466.086] ~MISSING_COMMENTER_INFO~: 延期する前にやりこんだ奴らかな
[5467.380] ただのともや: ww
[5467.595] camcampop: あのコンボやば
[5468.319] c6erry: でもmvp
[5470.440] katamarusan: codすぎるwwww
[5471.640] ftchinbk: ow並のウルトコンボ
[5476.253] consensus_low: 本業兵士？！
[5480.959] みちちち: ６０キル！？！？！？！！？！？
[5482.258] すれいさん: ｗ
[5483.964] ufoforyou: ラスキルカメラないんやな
[5484.567] maaa_roku: え
[5487.087] Chili_tomatojr: さすぼど
[5487.322] Baylessjj: 武器が強かった
[5490.184] みちちち: 海外のティア表やとぶっちぎりのＳティアでしたね
[5490.991] akat2314: 爆キャリー
[5491.949] soderion: ぼど流行らせて
[5493.704] aizomekun: ひとり弱いからしゃーない
[5493.994] manatee0624: 拠点意識あるチームには勝てねえゲーム性なの結構いいな
[5498.953] agonaga_onisan: kill厨ですやん」
[5503.248] tamamajidayo: またキルレトップじゃない？
[5510.370] srtdehew: これPADはPADだけのマッチなん？
[5511.671] K1NKOZ: こんだけキャリーしてても勝てないのマジでチームゲーだね
[5512.809] decoy_55: バースト強いのもcodやな
[5515.262] p1hky: 感覚CODに似てますか？
[5515.858] daichaaan12: 前のボドカなら今のスコア見てキレ散らかしてた
[5516.050] じゃむおじさんず: m16とakのストック無しとmp7最強だよ
[5518.574] c6erry: これvdkポイント関与しまくれば一人で完結できるんじゃね？ｗ
[5524.641] ~MISSING_COMMENTER_INFO~: acrが強すぎるんだよなぁ
[5530.117] yoshizawa_ktk: いまこれＰＡＤでやってるん？
[5545.127] soderion: こっから本番
[5548.937] katamarusan: アビリティあるのいいね
[5554.710] fuminifu: マークスマン結構強かったけどそうでもない感じ？
[5555.640] 低音ちゃん: 武器XPブースト使えます
[5555.966] みちちち: CoD元世界王者のScumpもやってた。デッドゾーンは両方１やったわ
[5558.116] Baylessjj: 2人倒すのが精一杯
[5570.696] aizomekun: みんなPADマークやん
[5570.902] Annoymouse: それがいいかもね
[5571.516] kantaaq: カバー意識大事だよね
[5571.729] ufoforyou: スナイパーでも無理なんかき
[5582.051] ~MISSING_COMMENTER_INFO~: ボドンプきたこれ
[5583.236] srtdehew: すかんぷなっつw w w w
[5587.447] tamamajidayo: ｗｗｗ
[5587.745] consensus_low: bfか
[5591.536] maaa_roku: デッドゾーン結構軽さ変わった
[5596.175] c6erry: codって敵やわらかいんか
[5604.936] yanineko_cb: スナは胴体１発だけどレベル１６まで上げないとスコープ×１２しかなくて辛い
[5606.448] agonaga_onisan: syamuさん！？
[5608.114] manatee0624: 出たこのマップ
[5631.557] ufoforyou: なんかbo3のDLCでこんなステージあったな
[5631.830] じゃむおじさんず: cod民からしたらもう少しHP少なくてもいいと思う
[5640.945] ~MISSING_COMMENTER_INFO~: IReapZzとか今何してるんだろうか
[5650.736] srtdehew: シャーリーは？
[5658.885] tellsun: りばれんと
[5659.661] c6erry: いなば100キルえぐいよなｗ
[5660.292] daichaaan12: それはプロすぎる
[5661.369] きゅーばん: にこちゃんもやってたね
[5662.323] ufoforyou: ウィンレッドやってるかな
[5665.211] みちちち: それはバケモンすぎる笑
[5667.064] h9lios: ばけもん
[5668.290] vwaiwaiv: かった
[5669.525] agonaga_onisan: ねこかん今何してる？？
[5669.821] みちちち: 災害やん笑
[5671.056] terii303: codよりまあまあ硬いな
[5685.497] そうぐら: マウス動かすとなる
[5693.517] じゃむおじさんず: ぱまじ再来しんかな
[5694.255] consensus_low: キルストはなしか
[5704.119] bob_dosukoi: 近接攻撃ないの？
[5708.893] ニシタニ: リロキャンはできないんか
[5709.352] みちちち: このマップ好き
[5714.269] ftchinbk: ｗ
[5715.134] maaa_roku: ファストマグ？ほしいな
[5716.332] YoungXRP: www
[5725.682] h9lios: ありえない話し！！！
[5733.691] Annoymouse: wwww
[5744.645] バルサミコ酢: 最後爆発するからありえるんよなぁ
[5755.380] c6erry: 武器のレベル上がんの遅いんだよなぁ マガジン系10レベ以上だし
[5760.047] Annoymouse: ダルい殺され方やな
[5762.532] ftchinbk: ｗｗｗｗｗ
[5762.755] h9lios: ぼこぼこや
[5763.396] みちちち: あのドローンがちで戦況変わる。
[5763.727] tamamajidayo: owルール？
[5770.766] katamarusan: なんなんあれw
[5771.473] yasutaka_000: 一戦やってみました、神ゲーです
[5775.318] t4qmi: owみたい
[5776.145] ftchinbk: スキルゲー
[5782.764] みちちち: そこ両サイドがちできついよなあ
[5783.764] yooboi723: www
[5784.939] manatee0624: このウォールハックおばさん強すぎる
[5785.947] h9lios: 武器ちーと
[5786.230] みちちち: ってうんま！
[5791.911] Annoymouse: スキルでやられたら絶対腹立つ
[5796.922] みちちち: なぜ抜けれるそこを。
[5798.827] ufoforyou: その武器ほんま
[5809.697] みちちち: 普通に壊れてる笑
[5812.202] セブンイレブンバイト: 迷彩解除とかあるんかな
[5816.119] h9lios: おばさん声キツいって
[5825.872] c6erry: 順調に
[5828.832] yrk121211: ソードフィッシュ思い出すな
[5836.625] みちちち: いやまじで立ち回りがイケイケで好き
[5847.755] (S)激ローメタモン: kyouchBrbr
[5849.914] h9lios: 音圧ぅ
[5853.848] kakatte_koi_king: www
[5858.453] 芋ぷろ: ブラックバードみたい
[5860.201] uichan_uwu: 強い武器は強い。バランス良すぎないのが好き。
[5874.081] tamamajidayo: わかる
[5874.819] ufoforyou: ほんまそれ
[5875.145] agonaga_onisan: お前が流行らすんや
[5876.397] むんにゅう: 楽しいよね
[5876.438] yrk121211: また流行らんかなぁ
[5877.385] milf1you: どっちかっていうとbarだな
[5881.043] (S)マートン: まじでスナック菓子よなこういうゲーム
[5881.956] ~MISSING_COMMENTER_INFO~: なんだかんだこういう系が面白い
[5882.154] 丸山だ: @lililyumu 武器レベルでブロンズ、シルバー、ゴールドまでありますよ
[5882.558] katamarusan: やっぱこれなんよ
[5885.096] yoshizawa_ktk: 気軽でいい
[5886.490] ゆち丸: 脳死でできるのサイコー
[5886.678] Chili_tomatojr: ボド頼むよ
[5887.445] terii303: でも今時流行るかなあ
[5888.675] みちちち: 一生戦ってるこのモードかなりいいよなぁ
[5890.092] Reo__________: 頭空っぽにできるゲーム最高や
[5890.185] lryuccca: 命軽いゲームいいよなぁ
[5890.269] maaa_roku: 1周回って流行ってくれ
[5890.324] h9lios: ファッションと一緒で時代は回るんか
[5893.206] Aoshi_404: はっや
[5898.894] yanineko_cb: ４分は早いな
[5901.347] みちちち: さて問題はディフェンスと。
[5902.447] (S)激ローメタモン: おれもこういう系のFPSあんまやってこなかったから楽しみ 
[5902.592] スプーキールーキー: 逆コビーボドカ
[5902.817] ゆち丸: こーゆうのでいいんだよ
[5904.656] あげぽよ金次: マネタイズ失敗してそう
[5906.035] tro_but: はやりはしなさそうやな
[5908.567] (S)新人おじさん: 疲れたFPSプレイヤーがやりにくるだろうね
[5909.369] GOB1OSU: このゲーム流行りますか？
[5911.314] manatee0624: 配信で流行らないと流行らない風潮マジでやめてほしい
[5912.487] vqlva2525: ボドカ流行らせてくれ
[5913.106] yoshizawa_ktk: 配信者の中で流行らせたらワンチャンないかな
[5913.790] 角待炭治郎弐号: CODプレイヤーがハマりそうな操作性ですか？
[5913.892] consensus_low: BloodTrail
[5916.549] (S)マートン: ゲームしたいけど重いのやりたくないなあって時に最適
[5918.006] agonaga_onisan: 名前がすこし硬いなあ
[5922.472] Annoymouse: 前はやってたFPSプレイヤーやりだすかもね
[5923.735] なおぷぅ: これはsteamですか？？
[5928.798] ~MISSING_COMMENTER_INFO~: 流行ることはないだろうな
[5934.518] 7tk4: free4sUpndown
[5935.674] yanyan_53: ストリーマー達がやるかどうかだね
[5937.384] ufoforyou: 日本のゲーマーまじで自我なさすぎる
[5939.967] じゃむおじさんず: 実況向けゲーム配信向けじゃない
[5940.108] (S)マートン: ノリノリ
[5940.493] katamarusan: ハセシン
[5941.600] terii303: codやってねえからな。あとノリ
[5942.416] むんにゅう: のりさん
[5942.885] kuda1050: のり、あき
[5943.455] daichaaan12: は、せ
[5943.732] yoshizawa_ktk: 触れてこなかった人多いよね
[5950.475] vwaiwaiv: wwwwww
[5950.906] ftchinbk: codはみんな燃えたよ
[5952.347] ally_84: ハ、セシン
[5953.082] tamamajidayo: カットしていく人も呼べばいい
[5954.822] kindergarten12345678: りょりょが帰ってくれば覇権取れる
[5955.265] maaa_roku: もうFPS飽きてる人も多そう
[5957.178] mentaimayo0141: けんき好きそう
[5958.411] parsely2222: PCゲーマー多いからな
[5958.486] milf1you: 自分がキルできなかったらやらないし…
[5959.972] Reizty: L4zyが帰ってくる...!!
[5960.687] 低音ちゃん: 配信者やらなくてもユーザーは遊びそうだけどね
[5960.877] みちちち: 雑談とか茶番で伸びてる人はこういうのこのまんね
[5964.807] yasutaka_000: 武器のラインナップが良いねこのゲーム
[5965.613] isudaisuki0141: うんこちゃんがやんないと盛り上がんないのが配信界隈
[5968.167] taoti: 忙し過ぎて基本話しながら出来ない
[5969.377] yrk121211: そこよくいるw
[5973.774] muto_6: 友達と喋りながら雑にやる系のゲームだもんな
[5976.965] daichaaan12: アイロンマン復活の伏線ですか？
[5996.612] katamarusan: キモプうまいね 
[5998.304] a_b_c_d_e_fu: 速攻元気広告
[5998.545] kama0531: 懐かしいID 
[5998.774] ufoforyou: codと一緒でランクマとかはないのかな
[6000.844] kf_cyu: 角待ちガ○ジ
[6000.902] consensus_low: みんな強いすか？
[6011.413] agonaga_onisan: ねこかん誘ってやりましょうよ
[6012.132] 丸山だ: @ufoforyou これからくるよ
[6012.243] Reo__________: アリーナじゃね
[6013.192] Annoymouse: 角待ちsg
[6015.200] yoshizawa_ktk: もういまFPS自体みんな食傷気味な感じするわ
[6017.273] りんぱす: こういう系海外好きよな
[6017.475] みちちち: アリーナＦＰＳ
[6018.211] manatee0624: 暇な時間少ないから雑談できないって言うのもあるよな
[6019.234] maaa_roku: アリーナ
[6019.326] あのがわ: codと一緒でランクマありますよ
[6023.858] ゆち丸: これってなんぼくらいすんの？
[6025.151] ソコロフスキー: レミントン無いの?
[6027.359] ufoforyou: くるんか、いいね
[6032.825] ぷるこぎ__: これスチームでインストールできますか？
[6033.995] ジャガーン: おんつーできる？
[6037.088] rep008_: アリーナもっと狭いイメージ
[6042.609] katamarusan: ハードポイントはおもろい
[6043.654] uguisulove: @ゆち丸 無料です
[6043.893] isudaisuki0141: レミントントン
[6047.985] スプーキールーキー: CoDにはエスコートルールとかなかったよね？
[6049.288] yasutaka_000: マップ解説動画待ってます
[6051.416] h9lios: このゲーム映えるプレイできるんかな
[6055.498] 丸山だ: ランクマは4v4でゾーン確保だけっぽい
[6063.373] ぐりーむ6: steamでインストールできないのが勿体無いところ
[6063.599] ゆち丸: @uguisulove まじかよありがと
[6066.741] ~MISSING_COMMENTER_INFO~: あった
[6066.941] ufoforyou: あった
[6067.633] muto_6: あったあった
[6068.113] 低音ちゃん: あった
[6068.268] yamadalter: エスコートルールあったよ
[6068.374] takymi7788: このゲームってサーチありますか？
[6068.477] katamarusan: あった
[6069.088] Reo__________: あった
[6069.499] agonaga_onisan: すぇーふがーど
[6069.582] dekapuri397: codの覇気で倒す動画で涙出るほど笑った思い出
[6069.591] Annoymouse: ubisoft
[6070.005] milf1you: セーフガード
[6072.217] Rohey55: なつ
[6073.119] ufoforyou: ロボット運ぶやつな
[6073.830] isudaisuki0141: たまおもまたやってくんねえかな
[6075.654] katamarusan: ロボット
[6077.779] muto_6: サイスに似てる奴な
[6081.215] いしがき3: どのゲームモードおすすめですか？
[6082.426] tamamajidayo: エペとかヴァロからＦＰＳはじめた人はこういうの未経験だからワンチャンあるかな
[6082.947] まよらー007: そんなんあったんや
[6085.077] Rohey55: feeder御用達
[6085.144] 834217: キルカメが欲しい
[6086.282] milf1you: リスキルゲーw
[6087.857] consensus_low: 者っす
[6087.859] きゅーばん: 砂めっちゃフィード取りやすいやつ
[6091.103] cloud9_hikakin: feed用のルールね
[6093.506] shirait: 戦車運ぶやつもあった
[6094.403] muse753: 今北、おもろい？
[6095.526] スプーキールーキー: ほぇー知らなかったわ
[6099.683] ただのともや: マンティスみたいなやつか
[6100.761] yuuta0922: lyr1cがさっそくこのゲームのキャラコンクリップ上げてたぞ
[6100.810] takymi7788: このゲームってサーチありますか？
[6104.017] pika0427: 懐かしいｗｗｗ
[6104.493] きゅーばん: ヒートウェーブも
[6106.514] daichaaan12: bo3ラグビーみたいなモードなかったけ？w
[6107.700] Reo__________: フィーダーって言葉がもうなつい
[6108.985] Shijimichan: あれ最終地のはちゃめちゃでクソおもろい
[6109.561] bellion020: サーチ出たらフルパ配信も多少映えそう？
[6114.606] agonaga_onisan: prop huntまだ？？
[6114.853] kuda1050: warモードも忘れないで
[6126.363] 3104fjkw: そのロボは一応ディビジョンに出てくるやつ
[6133.313] milf1you: ラグビーはアップリンクやね
[6135.277] ジャガーン: sqlaとかも元はcodのよ人やな
[6138.947] gigarogu: サーチないのわけわからん
[6140.350] vesperiajunji: マルチキルむずそう
[6143.927] きゅーばん: フラクチャーモードも下さい
[6144.472] ufoforyou: ハードコアとかいうクソルールまたやりたいわ
[6148.107] ニシタニ: ピュリファイヤーでキルチェーン取ってました 
[6149.302] みちちち: お、味方強い。ウルトたまってる
[6151.882] ~MISSING_COMMENTER_INFO~: 武器チェングルグル回ってトマホーク投げてトリックショットしてほしい
[6156.884] terii303: 今時サーチやるくらいならヴァロやりそう
[6157.052] daichaaan12: アップリンクやww懐すぎぅw
[6160.541] yasutaka_000: このゲーム意外と敵固いから李グループ意識しないとちょっときついね
[6166.962] h9lios: ｯあぅぁぅやめてね
[6167.843] ufoforyou: 本物です
[6169.639] kantaaq: ｗｗｗｗ
[6170.675] milf1you: 本物?
[6170.732] ftchinbk: 可愛くてゲームも上手いと
[6170.838] yoshizawa_ktk: さすが堀北真希
[6170.952] きゅーばん: △ダブルタップありますか
[6172.406] キューブってる: wwww
[6172.870] lryuccca: まじかよ
[6173.613] pika0427: 偽物って書いてないから本物だよ
[6173.811] みちちち: 本物か。
[6173.815] ghsjjfbi: うっま
[6175.985] そうぐら: 武器レベル300でゴールドスキンきっつ
[6176.274] ただのともや: 流石や
[6179.150] h9lios: 日本国宝です
[6179.164] アボカド3: 堀北真希COD民やから本物です
[6180.172] takenokoyarou_no2: 本物って書いてないから偽物だよ
[6180.243] ftchinbk: ｗｗｗｗｗ
[6181.226] negitoro_gg: www
[6181.487] MilkMix: まきおじ
[6182.352] katamarusan: 本物
[6183.463] Baylessjj: まきちゃん
[6185.111] h9lios: wwwwwww
[6185.316] soderion: サーチ出れば配信者やるかもね
[6187.099] decoy_55: ww
[6187.387] ただのともや: www
[6187.791] 石原さとみの左足薬指: おれ石原さとみって呼ばれてるよ
[6189.093] tro_but: フレンドなんていないよ
[6190.539] parsely2222: フレンドいないよ
[6192.420] Annoymouse: 本物の可能性もある
[6192.537] vilvil0420: パチまきよ
[6192.620] h9lios: ほっちゃんやで
[6192.949] templecat35: フレンドいるやつがそんな名前つけんて
[6194.419] yukko1243: 友達いません
[6194.628] くがそき: まっちゃんちゃう？
[6203.002] すれいさん: BibleThump
[6203.093] daichaaan12: BibleThump
[6204.385] キューブってる: wwwww
[6206.826] かずとら: 今の子堀北真希しらなそう
[6207.730] katamarusan: BibleThump
[6213.369] みちちち: ナイス～
[6213.930] チュウピカ: L9knew懐かしい
[6217.718] mentaimayo0141: 堀北真希世代はおじさんだろ
[6218.989] jefazame: 新垣結衣って名前のフレンド居るけどがっきーって呼んでるぞ
[6220.175] katamarusan: 圧倒
[6221.488] MilkMix: BloodTrail
[6223.223] kireazing: 圧倒
[6223.731] yoshizawa_ktk: 圧倒
[6223.802] ufoforyou: ルール忘れてたやろ
[6227.446] h9lios: 圧倒
[6228.000] Baylessjj: OWみたいにオーバータイムないのか
[6230.202] ただのともや: 圧倒
[6231.454] vwaiwaiv: SMG強いですか？
[6232.485] consensus_low: 専業主婦でトレンドfpsするとかw
[6233.667] yoshizawa_ktk: 圧倒ちょっとダサくていいね
[6233.728] 乙骨は五条50: だっさ
[6236.123] あのがわ: がっきーはまずい
[6236.313] kireazing: 堀北真希が1番可愛い
[6243.339] 丸山だ: OTあるよ
[6246.993] daichaaan12: 勝負に勝ったらなんか欲しいよな〜
[6247.908] soderion: サーチ早くきてほしいなー
[6251.306] ひゅが21: 練習解放された？
[6254.220] (S)rushhikakinzz: 楽しそうやけど日本語のフォントがダサいのが残念
[6257.006] ftchinbk: ｗｗｗ
[6264.259] 7tk4: ｗ
[6264.712] ufoforyou: 逆に恥ずい
[6264.908] みちちち: ひねり出した感すごいな「
[6268.170] kantaaq: 無理やり感
[6268.201] katamarusan: 恥さらし
[6273.078] なはむな: 堀北真希がいっちゃん可愛い、山本耕史を未だに許さない
[6273.678] bombero__jr: スナイパー使ってクレーい
[6277.149] Reo__________: 褒めるとこない；；
[6280.106] consensus_low: ポリコレ配慮でみんな女ブスらしいですね
[6280.696] tamamajidayo: サーチやりたいね
[6281.349] konpaku0928: mw3よりおもろい
[6289.756] decoy_55: 赤点出るのにミニマップ見る癖なくなってた
[6290.652] まつよい: おいくらで？
[6291.968] yasutaka_000: やってみたけど楽しかったよ
[6292.952] h9lios: 無料やしな
[6294.664] 乙骨は五条50: 流行りません
[6296.712] wingmeeen: ペイロだけはがちでおもんない
[6298.320] serq_mgd: 運営によるよな
[6298.985] vqlva2525: このゲーム無料なんか
[6299.684] (S)rushhikakinzz: 最近の視認性悪いcodよりば全然楽しそう
[6301.589] ufoforyou: 海外では流行りそうやけど日本では間違いなく流行らなそう
[6301.866] yoshizawa_ktk: 流行りません
[6303.566] 3104fjkw: アーリーアクセスって感じはする
[6307.160] daichaaan12: これで流行らなかったらこの手のゲームはもう流行らん
[6309.127] nin2552: 無料ならやってみようかな
[6312.543] Knoll____: 課金要素は？スキン？
[6318.154] ddlovesun: リスポーン早くて楽しい
