[18.253] kiiroiinu88: O
[321.445] (S)おばけちゃそ: geroki1Kawaii
[321.466] (S)とらおさん: 鼻の下伸びてるよー
[321.659] winolloell: もう終わりかあ
[321.686] meimeimiko: ニヤニヤしとるやん
[321.702] (S)エレみょん: ぐい
[321.856] ocha72525: wwwwwwwww
[322.041] kakaroo2: 今きたんですがもうおわりですか？
[322.065] me_go_: geroki1Punch
[322.082] あゆに: 隠せてないよwwwwww
[322.177] 9295s: 誤魔化した
[322.191] アキラら: おわり
[322.365] まなぴぃちゃん: ニヤニヤ誤魔化してる！
[322.529] atnb_: 缶でごまかすな
[322.608] ~MISSING_COMMENTER_INFO~: とっ
[322.627] (S)suzubba: geroki1Yametene
[322.879] (S)n4tsumik4n: え
[323.131] kenchi0122: まだ服着てるぞ
[323.275] か___: と
[323.468] (S)おばけちゃそ: geroki1Kawaii
[323.557] gentou: 早くない？なんで？
[323.674] (S)yuu_harugami: ニヤニヤしてんじゃねぇぞ
[323.682] okomep: 解散解散！！！
[323.767] (S)hirunaruna: 胸筋！？
[323.800] しこたまコアラ: 今来たけどげろさん？？、やるの？
[323.969] eveningmist_: 胸筋ね
[323.979] moe_2514: あら？笑
[323.981] terii303: 終了
[324.051] velvet_024: おっぱいな
[324.122] 侍蟻: どうした金城？
[324.164] (S)iwaminn_22: 今日終わりか〜
[324.169] yae_karasu: そこ！口元隠さないで！
[324.214] (S)omaenoushiroda_0: と！？！？
[324.316] satomaru__: 口隠すなよ
[324.376] nasbi_nasbi: スイカ入れてますがなwww.
[324.377] ごーぐる: お疲れ様でした
[324.581] maccha_100: 飲み物ずるいぞ
[324.587] (S)ten76558: お疲れ様でした！！！！！
[325.454] chama_live: 胸筋がな
[325.485] 2moji_: 終了か？
[325.661] aruha_0113: 胸筋えぐいね
[325.670] meimeimiko: www
[325.884] raru_004: きんぜう！バレてるぞ！
[325.889] maitakeyayaya: と？
[326.096] ocha72525: トレーニー
[326.143] (S)おばけちゃそ: geroki1Kawaii
[326.306] tubura3: お疲れ様でした
[326.389] (S)kometsubutsubu: 胸筋
[326.507] (S)romshiyo: だねぇ
[326.526] yukimiomochi: 鼻の下伸びてたなwww
[326.559] npa_a: WWW
[326.585] (S)zoba_57: おっぱいな
[326.586] (S)mizore_ame: げろりん？？？www
[326.594] flyingpizza104: 配信終了です
[326.722] (S)megenai_suzume: wwwww
[326.808] maccha_100: w
[326.879] (S)kohaku_sazanami: お疲れ様でした
[327.021] oshmkufahsafg: ニヤ
[327.048] pelican666pp: なんて？
[327.068] ~MISSING_COMMENTER_INFO~: お疲れ様でした
[327.279] 睡眠不足_: wwww
[327.291] lchlkawa: ひろきは大きいのが好きか
[327.371] riz0022: 筋肉かあれ
[327.477] (S)v_ga8g: 脂肪だろ
[327.478] wazukanin: とて
[327.704] kugigmc: wwwwwwwwwwww
[327.987] しもんぬぅ: 胸筋wwww
[328.008] okashiya: たわわ
[328.025] takitategohann: おい
[328.137] pan_mero: 胸筋www
[328.174] usagiraran: wwwwww
[328.237] (S)おばけちゃそ: geroki1Kawaii
[328.364] (S)まなみ_____: えっ
[328.505] nano_gr: 酒ｽﾞｽﾞｰｰｰｯ
[328.549] onzoshi2664: ロケット乗ってんのかい！！！
[328.654] (S)yuu_harugami: おっパイって言えよ
[328.784] (S)pon8_k5: 胸筋www
[328.827] appuppu2817: 胸筋は草
[328.879] nuuuum_: 終了
[329.135] nanohana20: 乳でええやろw
[329.325] rxrx2525: 筋トレ
[329.952] sakura_yrsk: 胸筋www
[330.035] takayan4290: ひろきニヤけてる
[330.199] (S)Deer119708: 酒で隠すな
[330.201] lukadesuga: 唇かみ締めてどした？www
[330.375] Hiyori__123: 止まってるぞ
[330.421] jjaho18: 爆笑
[330.437] aruha_0113: www
[330.438] meimeimiko: 胸筋www
[330.458] ora_ozen: wwwwwwwwww
[330.883] toramomomaru: 終わり終わりw w
[330.999] ubibibibibibibibibi: 肉だぞ
[331.091] tyoushitirou: 胸筋ww
[331.129] 07haru07: と、とっ
[331.156] ようですよ: 胸筋のと？
[331.275] zakipon1224: じじぃやあ
[331.632] (S)ymk__jp: 胸筋ｗｗｗｗ
[331.845] yu00u: お？？？wwww
[332.022] 2mikupy: もうニヤけてますよね
[332.817] gentou: 胸筋好きだもんね
[333.080] アキラら: はい。おわり
[333.316] yukkiyoko: 口元隠すなよ笑
[333.577] misakuma6363: ニヤケそうじゃんｗｗｗ
[333.793] nayunayu_nnn: それ脂肪やで
[333.800] aksan0816: www
[334.008] (S)meauchap: 胸筋の凸？
[335.485] (S)zoba_57: 配信終了
[335.681] ~MISSING_COMMENTER_INFO~: 先っぽ浮いてね？
[335.715] maccha_100: 隠語！？
[335.889] あゆに: しぬwwwwww
[336.292] 3ゆ: 筋トレしてるヒロキからするとね
[336.546] andante_mii: 胸筋wwww
[337.259] (S)おばけちゃそ: geroki1Kawaii
[338.903] ocha72525: じじいやから
[339.246] yuriran01: 胸筋ｗｗ
[339.792] 新居プラン: これで胸筋は奇形だろ
[340.358] (S)hibari_1104: 胸筋草
[340.522] (S)ankoroll: 脂肪ですｗ
[340.824] しこたまコアラ: てかでっっっっっ
[341.503] lyee_ox: 今気づいたんだけどタイトル草
[341.798] udon48273: 胸筋がね
[342.763] riz0022: 既におもろい
[344.892] teno_ru3: 今北が終了か？
[345.486] ayabe008: このゲームすぐムラムラして長時間出来ん
[345.575] (S)makiwoooo: ニヤニヤしてええんやで 
[346.194] nasbi_nasbi: スイカ入れてますがなwwww
[348.875] aruha_0113: wwwお？
[349.073] (S)zoba_57: ニヤニヤ
[350.692] (S)chan_KIMI: 胸筋w
[350.788] yukimiomochi: 胸筋ね
[350.995] takayan4290: もっとワイプ広げよ
[351.265] (S)おばけちゃそ: geroki1Kawaii
[351.556] chama_live: ノンデリ
[352.319] (S)mitsuki2525816: こっちがニヤニヤする 
[353.560] totsugeki_iruka: ノンデリ
[354.177] (S)ren_noze: 巨乳がタイプ？？？
[354.938] misakuma6363: 即終了になりそｗｗｗ
[355.363] hypothesis20: は？
[356.254] sekuharatandai4: ノンデリ
[356.878] aren_1220: かわいい
[357.139] lukadesuga: 酒で紛らわせたな
[358.766] oshmkufahsafg: ノーブラじゃね？
[359.187] (S)pinjky: 確かに胸筋の凸
[359.506] mochic4n: ノンデリ
[360.415] (S)hibari_1104: うそつけｗ
[360.623] (S)ギャ: かわいい
[360.784] sakura_yrsk: もう終了だよ
[361.063] (S)miena317: ふらぐか
[361.198] (S)mussannnn: ま？
[361.340] (S)zoba_57: あ
[361.872] piyochang: すまんすぐ終わるだろこの配信
[362.075] takitategohann: geroki1Yametene
[362.093] 3ゆ: でかくなったら教えてね
[363.457] yukimiomochi: ノンデリ
[363.646] sekuharatandai4: www
[363.917] hatati2075: アイトラッカーも入れろよおい
[364.135] satoeee: 人生終わってる奴を奈落に落とそうとしてる
[364.489] nano_gr: www
[364.620] (S)ten76558: ？？
[365.134] 青ネギ婦人: ひろきニヤニヤチャンネル
[365.303] riz0022: そうね
[365.341] takayan4290: ドッチボール
[365.534] atnb_: ほーん
[365.793] (S)mizore_ame: 鼻の下伸びまくってるよ？
[366.795] giornooon: 強がるな
[366.891] るーでんすらっと: 既にニヤニヤ 
[367.193] tohu_1103: ワイプもっと大きく！！！！！！
[367.211] (S)hirunaruna: そうだぞ
[367.318] (S)n4tsumik4n: ？？
[369.010] (S)chonnmage: chonnmage subscribed at Tier 1. 
[369.106] okashiya: 漢Gero
[369.234] なちゃん25: ショートカットの子来たら終わりかな
[370.024] appuppu2817: 缶で隠すなww
[370.109] (S)zoba_57: ゴクリ
[370.919] (S)kometsubutsubu: geroki1Yametene
[371.389] (S)saaaawa: いやいやいやwwww
[371.546] ochiko115: ぴろき嬉しそうやな
[372.158] moe_2514: ほんと？
[372.565] しこたまコアラ: ギャルゲーってやつですかい？
[373.256] (S)どげざぷろ: geroki1Punch
[375.035] me_go_: geroki1Kawaii
[375.875] totsugeki_iruka: 胸デカすぎ顔と同じサイズじゃん
[376.344] kunsil026: πのてっぺんの位置がわかるぜ
[377.506] (S)おばけちゃそ: 早く終わらせてみんなで井上尚弥見ないか？？？？
[377.636] chama_live: キャッチはだめですよ
[377.767] andante_mii: 嘘つく時、人って鼻触るんですって
[378.543] riz0022: お誘い！？
[378.886] tntn_com: 笑顔ちょうだい！
[379.308] pppppyonti: 一旦クソ弱いか
[379.318] ぱか10: さすが硬派な歌い手だ
[379.526] one513: 今に見てろ笑笑
[379.743] (S)ten76558: geroki1Dance2
[379.952] (S)yuu_harugami: おもろいなぁ…
[380.721] sekuharatandai4: 缶の下ニヤニヤ
[380.763] nattuchann: geroki1Punch
[381.703] ゆうちゃんっ: これ胸筋じゃなくておっぱいだよおっぱい
[384.299] 偏西風焼きそば: BloodTrail
[384.578] (S)hirunaruna: ギャルゲだね
[385.137] (S)おばけちゃそ: geroki1Punch
[385.921] aruha_0113: 喋るなぁ
[385.973] (S)ten76558: 胸でか
[386.773] chaco415: Geroさんのお顔アップにして見ておきますね！！
[388.342] (S)yuu_harugami: wwww
[388.936] usagiraran: www
[389.739] (S)ミニマムまちだ: ミニマムまちだ subscribed with Prime. 
[390.156] pelican666pp: w
[390.726] nanohana20: ぶるん
[390.786] appuppu2817: それはそう
[390.831] muzoudokozo: ゆれたぁ
[390.944] しこたまコアラ: ばいんばいん
[391.329] takayan4290: ドッチボール2つ分
[391.768] rhythm_mixer: お前もな
[391.829] velvet_024: ぶるん！
[392.368] (S)v_ga8g: 気持ち籠ってる
[392.445] 3ゆ: ひろきみたいやん
[392.469] rxrx2525: 独り言
[393.751] 偏西風焼きそば: geroki1Yametene
[393.941] warachia0536: 揺れた
[394.158] (S)mitsuki2525816: ぴろきのTシャツ美味しそう 
[394.350] sekuharatandai4: ブーメラン
[394.858] あゆに: 声優発揮すな
[395.098] yukkiyoko: CVひろき
[395.188] marakasu12395755: イケボ
[395.250] (S)ギャ: Geroもよく喋る
[395.713] (S)zoba_57: えっど
[395.843] (S)omaenoushiroda_0: ヤバい楽しすぎる
[396.065] aruha_0113: wwwそれほぼキャッチ
[396.645] あゆに: wwwwww
[397.508] pelican666pp: おまいう
[398.358] (S)おばけちゃそ: geroki1Kawaii
[399.155] (S)ymk__jp: ｗｗｗｗｗｗｗｗｗ
[400.189] tyoushitirou: www
[400.939] raru_004: geroki1Yametene
[402.051] shikaku_square: げろちゃん下半身も画角に移してよ
[402.083] (S)zoba_57: 中！？
[402.259] tubura3: wwwwwwwww
[402.384] (S)hirunaruna: ボイスたすかる
[403.236] kenchi0122: ！
[403.372] ソウトイウエイゾウマン: アドリブ
[403.439] nanohana20: w
[403.711] (S)かん69: geroki1Neko
[403.952] takitategohann: チラッとだけな
[404.186] (S)三色おだんご: ｗｗｗ
[404.512] riaria__0: 声優
[404.560] (S)zoba_57: あ
[404.899] (S)迷子の社会人: ｗｗ
[405.247] jjj___jjj___: ワイプ左上にしてくれ
[405.337] (S)n4tsumik4n: wwwww
[405.619] gohantaro4: あ
[406.037] (S)hibari_1104: 声いやｗ
[406.254] ~MISSING_COMMENTER_INFO~: q
[406.277] ikumin08: だろうね
[406.526] ruri_gm: でしょうねw
[406.738] (S)swimkinpop: マカ！？
[406.744] (S)hakudesu117: たわわなお胸だなぁ
[406.745] aruha_0113: えっど
[406.745] kuma0_0927: あ
[406.766] appuppu2817: アドリブ！？
[407.058] (S)zoba_57: えっど
[407.062] mdmdmdmdmdw: 笑
[407.141] しこたまコアラ: こっちのセリフなんだが…
[407.186] chama_live: あ
[407.232] (S)umttmm: わあ
[407.275] (S)omaenoushiroda_0: wwwwwwwwww
[407.289] (S)いけちゃむ: www
[407.655] sk_sleeeep: あ
[407.893] ~MISSING_COMMENTER_INFO~: あ
[408.165] (S)risusiru: ななななな中！？！？
[408.408] totsugeki_iruka: えっど
[408.612] (S)musshuuuuu: あ
[408.797] ubibibibibibibibibi: えっ
[408.822] (S)yuu_harugami: wwwwwww
[408.828] (S)nyon_1026: さすが声優
[408.839] 3ゆ: でか
[409.266] (S)zoba_57: ニヤニヤ
[409.461] 2moji_: あ
[409.675] (S)hirunaruna: あ
[409.685] (S)kamosuzo_: あ
[409.777] (S)kometsubutsubu: 細くなったな
[409.818] pppppyonti: あ
[409.887] (S)迷子の社会人: あ
[409.892] andante_mii: ニヤニヤ
[409.921] hatati2075: セーーーーフ
[409.982] ruri_gm: wwwwww
[409.985] nanohana20: ちゃんと見て！
[410.014] onzoshi2664: あかんwww
[410.158] ocha72525: おっと
[410.186] MachineGunBaby_00: えっど
[410.200] aruha_0113: ああああ
[410.369] ynw0123: ひろきがおっぱい見てる😭リアコ辞めます😭😭
[410.504] サガットの卵: wwwwwwwwwwwwwwwwwwwww
[410.625] pelican666pp: あんらー
[410.725] ace1ace1111: デカいな？
[410.734] raru_004: geroki1Kao_BW
[410.823] sekuharatandai4: でしょうねw
[410.870] (S)zoba_57: ムクムク
[410.874] hqrcaaaaa: wwwwww
[411.036] ~MISSING_COMMENTER_INFO~: えっど
[411.184] (S)hibari_1104: えっど
[411.437] riz0022: 目が
[411.715] (S)omaenoushiroda_0: でっっっっっか
[411.864] warachia0536: geroki1Yametene
[411.891] tyoushitirou: 声優Gero
[411.931] miko_x_o: あ
[411.937] appuppu2817: おっと
[412.009] satomaru__: キャッチやんけ
[412.059] (S)でんがく_: おぉ
[412.099] 青ネギ婦人: あ
[412.135] しらたま222: ひろきの顔だけみてる 
[412.152] 倉内: あ
[412.294] (S)迷子の社会人: ｗｗｗｗ
[412.339] ika_poppo_chan: あ
[412.348] mack2525: ｗｗｗｗｗ
[412.453] (S)ギャ: ひろき？？？？？
[412.670] (S)yuu_harugami: おい？wwwwwww
[412.838] なちゃん25: ねえＷＷＷＷ
[413.083] nuuuum_: 雲行き怪しい
[413.114] ~MISSING_COMMENTER_INFO~: ニヤニヤ
[413.285] 2moji_: えっど
[413.394] tohu_1103: wwwwwwwww
[413.402] mochic4n: あw
[413.508] (S)チズケキ: 役なりきってて草
[413.548] (S)三色おだんご: 顔ｗｗｗｗ
[413.559] あゆに: 顔wwwwwwwww
[413.628] (S)wowzowee: ん？
[413.782] ocha72525: えっど
[413.837] (S)mizore_ame: www
[414.129] uru__n: wwwwww
[414.172] tahdvdkdnd: 終了
[414.235] moko_rainbow: えっど
[414.367] yukkiyoko: おわりか？
[414.676] aruha_0113: アウト？
[414.884] (S)iwaminn_22: www
[415.161] amadeus_0716: 鼻w
[415.201] (S)miena317: www
[415.347] (S)pon8_k5: wwwwww
[415.401] 07haru07: 顔wwwz
[415.414] s_yupi05: wwww
[415.776] まなぴぃちゃん: おっ？
[415.915] aksan0816: えっど
[415.971] (S)ちゃろまま: お顔www
[415.974] (S)v_ga8g: あ
[416.044] ぱか10: 鼻の下伸びてないか？
[416.072] 3ゆ: わろてへん？
[416.243] ~MISSING_COMMENTER_INFO~: ﾆﾀﾆﾀ
[416.246] (S)hibari_1104: 終わるか
[416.498] muzjyou: えどすぎる
[416.530] okashiya: www
[416.601] npa_a: 笑
[416.688] (S)ten76558: ！？
[416.858] keeeeeeeeei_13: 顔w
[416.980] (S)wanwan_5: でっっ
[417.083] toramomomaru: 口ウケるw w
[417.182] mey730120: www
[417.198] no___28: でっっか
[417.390] hatati2075: 抑えろ！！！
[417.408] (S)hirunaruna: えっど
[417.420] (S)hayakenta: wwwwwwwww
[417.601] kaniiiini: 👀👀
[417.620] shoutan1996: お？
[417.628] usagiraran: wwwwww
[418.070] (S)yuu_harugami: えっど
[418.165] yocchin_2525: おい
[418.171] andante_mii: おいぃ
[418.297] おあげつきわかめうどん: どうしたの？
[418.573] kotori_10152: え？
[418.672] hopma_7: むく
[418.746] taruto39: なにその顔w
[418.772] か___: wwwwwwww
[418.851] ff9ef5: どう？
[418.875] eveningmist_: 演技しなくていいよげろちゃん
[418.961] gengoro560: 終了してスト６行くか？
[418.976] ikumin08: 顔wwwwww
[419.255] saccnn: 爆笑
[419.434] atnb_: あ
[419.737] (S)zoba_57: ムクムクしてきた
[419.849] hitonastu: wwwwww
[419.871] satomaru__: にやにや
[419.929] (S)hakudesu117: wwwwwwwwwwwwwww
[420.095] ruri_gm: wwwwwww
[420.166] (S)ギャ: 顔終わってる
[420.288] (S)ten76558: アウトだろ
[420.449] mack2525: 耐えた
[420.477] (S)おばけちゃそ: geroki1Kawaii
[420.677] appuppu2817: すんっ
[420.703] 倉内: アウトだろw
[420.713] takitategohann: ｗｗｗｗｗｗｗｗｗｗｗｗ
[420.992] (S)saaaawa: 終わるのか？？w
[421.009] (S)とらおさん: デカいなー
[421.409] (S)hayakenta: えっど
[421.462] ~MISSING_COMMENTER_INFO~: 終了か？w
[421.623] しこたまコアラ: このじかんなに！？
[421.629] (S)いけちゃむ: おいwww
[421.757] npa_a: かおWWWWWW
[421.963] yae_karasu: 無言やめて
[422.103] ochiko115: おっぱいがいっぱい！！！！！！
[422.183] (S)まなみ_____: あ
[422.406] (S)mitsuki2525816: 鼻の下のびてますよ
[422.802] uru__n: おわりだろwwwwwww
[423.073] okashiya: 鼻の穴広がってんで
[423.264] ぎょっさん: unkochanPower
[423.307] mdmdmdmdmdw: 終わり
[423.346] wazukanin: あ
[423.375] (S)romakkuq: wwwwwwwwwwww
[423.435] しこたまコアラ: 笑笑
[423.493] ika_poppo_chan: 顔やめwwww
[423.914] est_mr: hanjouNiyaniya
[423.993] takayan4290: 薄っすら覗いてる
[424.042] syokuyoku__: あれ？？
[424.387] かえでつばめ: geroki1Yametene
[424.443] yukimiomochi: おっとぉ？
[424.601] marakasu12395755: どんな体制？
[424.827] 青ネギ婦人: おい
[424.940] (S)mizore_ame: リアコ泣いてるよwwwwww
[425.177] おあげつきわかめうどん: geroki1Yametene
[425.426] andante_mii: アウト
[426.300] (S)ren_noze: wwwwwww
[426.505] nanohana20: 腰どんだけ細い？
[426.636] pelican666pp: ウエストどうなっとんねん
[426.670] (S)zoba_57: ニヤニヤ
[426.702] haizi: ひろき、こういうの好き？
[426.707] 2moji_: 雲行き怪しwww
[426.712] (S)でんがく_: geroki1Dance
[427.054] kunsil026: 行くしかねえ！！
[427.262] kuma0_0927: 目キマってたぞ
[427.656] (S)umttmm: ワイプ100倍にしろ
[427.738] (S)yuu_harugami: 顔がwwwwwww
[427.810] meyhiro65: wwwwww
[427.956] (S)fluid55: ﾑｸﾑｸ
[428.245] warachia0536: 嘘
[428.497] npa_a: あぶないぞーーーWWWWWW
[428.818] saccnn: 鼻の下伸びてるw
[428.867] ようですよ: ww
[429.191] onzoshi2664: geroki1Yametene
[429.193] sekuharatandai4: アウトm
[429.903] ~MISSING_COMMENTER_INFO~: 鼻の下伸びてるぞw
[430.195] syokuyoku__: 顔やめてwww
[430.889] ynw0123: リアコ辞めます😭😭
[431.024] takitategohann: 降参しよう
[431.055] k_omugi: geroki1Yametene
[431.172] amadeus_0716: しってんだろw
[431.556] 所情事: らぶりーちゃん顔伸びた？
[431.724] (S)迷子の社会人: 笑いがとまらないｗ
[431.929] (S)swimkinpop: 判定ガバすぎる
[432.144] rhythm_mixer: (●)(●)
[432.885] eenn_25: あるだろ
[432.971] hitonastu: おわりじゃん
[433.102] aruha_0113: www
[433.102] riz0022: アウトだろwww
[434.253] lemiko0919: もう終わりそう
[434.318] debudebudebu24: おてぃんてぃん、おっきくなっちった。。。
[434.921] ocha72525: ノリノリ
[435.043] sekuharatandai4: 嘘つけ
[435.269] kugigmc: ｽﾝ
[436.048] amanojaku_neko: www
[436.211] (S)おぎゃわん: ふーん、えっちじゃん
[436.837] Oreo9_monster: イラストかわいい
[437.072] yukimiomochi: 鼻の下伸びてんぞー
[437.355] kotori_10152: これすぐ終わるぞ
[437.737] (S)hirunaruna: リアコ嫉妬しちゃう
[437.954] ace1ace1111: おっぺえがおっぺえだぁ
[438.229] (S)ren_noze: 伸びまくってるwwwwwww
[438.534] (S)zoba_57: 配信終了
[438.556] takayan4290: ワイプもうちょっと
[439.563] sekuharatandai4: www
[439.659] (S)おばけちゃそ: geroki1Kawaii
[440.342] hoshiya2525: リアコ；；
[440.577] mugichano: www
[440.632] 3ゆ: ひろきは上野のガルバ行ってるもんねWWWWWWW
[440.734] satoeee: 早口で誤魔化すな
[440.861] uru__n: 鼻膨らんでるぞwwwwwww
[441.662] mochi963: ノリノリで草
[442.333] ダダダーク: あ
[442.644] (S)Deer119708: geroki1Kawaii
[443.113] こいだま: アウトでしょwww
[443.882] appuppu2817: うわ
[444.648] てみまる: にやけてるやん
[445.827] (S)makiwoooo: ひろき動揺が隠せない 
[445.958] gomoda: 乳がでかすぎる
[446.008] mdmdmdmdmdw: アウト🤣
[446.040] jjaho18: はwwwwww
[446.232] yukimiomochi: リアコ終わるなww
[446.478] ubibibibibibibibibi: えっど
[447.000] (S)mitsuki2525816: チラッと
[447.246] (S)おばけちゃそ: geroki1Kawaii
[447.473] hatati2075: 誘ってる子おるやん
[447.771] marakasu12395755: 寸止め
[448.006] sakuraxxkouzuki: こんばんはー
[448.664] ~MISSING_COMMENTER_INFO~: 鼻ムクムクでワロタ
[449.443] アレックスオチョア: 6つ
[449.586] nattuchann: ワイプでかくしてー😭😭😭😭😭
[449.785] (S)ten76558: ムクムクだぞ！金城‼️
[449.834] ようですよ: ニヤニヤ
[450.379] hentaj_man: 口角あがってきた
[450.389] kagaribi_0000: 神回確定
[450.570] sekuharatandai4: えろ
[452.020] onzoshi2664: ムクムクセンサーはないの？
[454.074] aruha_0113: やば！！
[454.285] (S)n4tsumik4n: あ
[455.416] (S)zoba_57: おあずけ
[455.610] raru_004: じじいムクムクでワロタ
[455.623] (S)おばけちゃそ: geroki1Kawaii
[455.763] riz0022: えっっっ
[455.813] totsugeki_iruka: 寸止めやめてね 
[457.009] chama_live: 全員くそでけーや
[457.246] muzjyou: 権利がもらえるって！？
[458.282] (S)n4tsumik4n: やば
[458.327] pelican666pp: たぶんリアルだとJカップぐらいあるだろ
[459.044] mdmdmdmdmdw: アウト(笑)
[460.430] (S)risusiru: 顔死んでて草
[462.225] (S)zoba_57: ；；
[463.123] mokeke_kemono: これから終わるからね
[463.531] (S)quinm_21: quinm_21 subscribed with Prime. 
[463.679] sakuraxxkouzuki: 皆さんでか美ちゃんや
[465.307] sekuharatandai4: 寸止めのが
[465.412] (S)hirunaruna: やさしい
[465.540] (S)かん69: 泣いちゃう
[466.283] (S)ten76558: 胸クソでかい
[467.946] tyarinko_twi: ；；
[468.614] Hiyori__123: BibleThump
[469.043] aruha_0113: え？
[470.084] (S)hibari_1104: 良い子
[470.317] yukimiomochi: ひろきアウトやろ
[470.550] (S)wanwan_5: ；；
[470.755] riz0022: 可愛い；；；；
[471.721] ikurann: あ
[471.833] hizatohiza: バレた
[471.855] shikaku_square: バレてるｗｗ
[472.226] ocha72525: にやにや
[472.912] ohyohyoseijin: 焦らしプレイやめてね 
[473.984] (S)hirunaruna: ；；
[474.022] こう123: もうニヤけてますよ
[475.008] (S)yuu_harugami: 良い子やぁん
[475.116] mugichano: wwww
[475.215] mochi963: 可愛い〜
[475.599] ソウトイウエイゾウマン: にやけたってよ
[475.739] (S)おばけちゃそ: geroki1Kawaii
[475.927] やっちょ: BloodTrail
[476.051] ruri_gm: バレてる
[476.115] (S)romshiyo: ええ子や
[477.587] (S)まなみ_____: にやにやですね
[477.636] (S)kohaku_sazanami: バレてるやんけ
[477.955] kakaroo2: バレてます
[477.992] sekuharatandai4: ；；
[478.164] 食券です: こんばんは、ニヤけてますよ
[480.039] atnb_: いい笑顔な
[481.299] (S)wowzowee: 「笑顔」
[481.358] nattuchann: ショートの子かわいすぎる
[481.498] uru__n: ひろきおわりだろwwwww
[481.565] アレックスオチョア: アイトラッカーつけよう
[482.117] ~MISSING_COMMENTER_INFO~: 焦らすのやめてね
[482.183] eenn_25: ＾＾
[483.184] (S)risusiru: Hカップ
[483.403] ~MISSING_COMMENTER_INFO~: ﾆﾀｧ…
[483.404] mochic4n: キャッチやんけ
[483.528] (S)いけちゃむ: ばれてーら
[484.313] (S)zoba_57: ニヤニヤばれてら
[484.972] nanohana20: ウエストの細さポッキーやん
[485.760] thermin28: 俺の人生ほんとgm
[485.857] (S)v_ga8g: ニヤけてるよ、ひろき
[486.951] ocha72525: wwww
[487.251] yukimiomochi: なんか我慢してね？ww
[487.746] nattuchann: わいぷでかくしてや
[488.710] クロ321: リアルだと多分Qカップくらいある トップとアンダーの差がエグすぎる
[489.307] rxrx2525: 黄色がいい
[489.640] kotori_10152: 金城の顔が草
[490.410] eenn_25: 寸止め
[490.451] ace1ace1111: 焦らされてる
[491.595] hayagriiber: ありがとねえ
[491.694] sekuharatandai4: なるほどね＾＾
[492.813] (S)ren_noze: ちゃんと画面見ろよ
[494.182] amadeus_0716: 入りたいの？
[494.893] (S)でんがく_: まったねー！
[495.094] 2moji_: 寸止め
[495.660] (S)まつば: よし明日こよう
[496.165] gomoda: 純
[496.329] ぱか10: 入りたい…？？まさかね
[496.523] (S)zoba_57: ムクムク
[496.903] ika_poppo_chan: ムクムク
[497.600] mochi963: チョロ
[497.844] pelican666pp: 営業されたな
[499.547] こいきんぐ: 女ファン大事にしてんならこんなゲームするな
[500.718] しこたまコアラ: ボイス付きめちゃくちゃいいな…
[500.895] uribo_3: 声が…ニヤけてるよ
[501.512] riz0022: 入りたい、ですか
[502.163] (S)yuu_harugami: 金城の顔が良いな
[502.259] (S)ankoroll: (´〜`)
[502.312] (S)hirunaruna: ムクムク
[502.326] aruha_0113: チョロ
[502.482] (S)ten76558: ムクムク
[505.847] mochic4n: 単純
[506.611] (S)hibari_1104: チョッロ
[507.497] takitategohann: ムクムク
[507.938] (S)mussannnn: まじでフルボイスでいくの？
[509.111] npa_a: ちょろ
[510.925] mugichano: www
[511.164] aruha_0113: wwww単純やん
[511.241] yukimiomochi: 声にやけてんだわww
[512.132] rxrx2525: か
[512.438] marakasu12395755: ぬいた
[513.362] 食券です: 、か
[514.068] ika_poppo_chan: チョロ
[514.798] ubibibibibibibibibi: 、か
[515.162] (S)zoba_57: ですか
[516.913] 青ネギ婦人: 、か
[517.115] (S)yuu_harugami: 草
[519.507] thermin28: 俺の人生ほんとgm…
[520.032] (S)hirunaruna: か
[520.489] nattuchann: ワイプでかくしてーや！！！😭
[520.666] やっちょ: 適当言ってんねぇ
[521.059] (S)kometsubutsubu: 一瞬ポスター馬に見えた
[521.315] ~MISSING_COMMENTER_INFO~: 一万円が残金で人生終わりだろ
[522.322] riaria__0: 、か
[523.090] tyoushitirou: リアルだと重すぎて肩凝りエグそう
[523.985] (S)uru__c: か
[524.411] aruha_0113: いいやん！www
[524.987] (S)iwaminn_22: フルボイス助かるな
[526.146] gomoda: いいこという
[526.346] muru215: ムクムク…
[527.203] 3ゆ: 絶対隣に住んでる
[528.343] しこたまコアラ: イチゲンさんお断りなのか？
[528.720] pi_suke66: 元気なって良かったね
[528.725] yukimiomochi: www
[531.052] takitategohann: ええやん
[532.910] (S)yuu_harugami: フルボイス助かる
[533.287] michiwwwwwwwww: もっとイケボで読んで～
[534.248] (S)zoba_57: 下も前向きになれるぞ
[535.374] めめせー: cv金城
[535.487] jjj___jjj___: ワイプそのままで
[536.986] (S)pinjky: フルボイス助かる
[537.476] mumindaniel: 演技いいなぁw
[539.888] riz0022: おー
[540.675] aruha_0113: おお？
[540.818] mochi963: 生き返ってる
[541.218] (S)mitsuki2525816: ぴろきの声でにやける〜💕
[542.217] (S)yukinochan115: フルボイス最高
[543.716] haizi: やっぱ声いいよな
[546.885] superkimoiman: これエロゲー？
[547.888] (S)yuu_harugami: cvラブリーちゃん良いな
[548.806] aruha_0113: 今日やね
[548.872] nanohana20: 京谷
[548.952] hitonastu: ええ声だなぁ
[549.026] (S)wowzowee: あら
[549.502] (S)ギャ: 今日だ
