[1.988] 哀れな人の子: radaoTrain
[1604.553] suima131: てぇてぇ
[1604.588] karinn0323: 分かる分かる
[1604.633] (S)manakaito: 石川さんだるま知ってるんかな
[1604.640] taketoke2525: うまいね
[1604.722] (S)drem_chan: うまい
[1604.836] 伊丙カオル: てぇてぇ
[1604.846] ajast99: 石川さんに行ったらわからないかも
[1604.921] ちょこみんとあいす: てぇてぇ
[1605.059] でにぃ: 吐血してんの？
[1605.269] (S)jima922: おぉ！
[1605.469] (S)venibear3466: 気まず
[1605.499] (S)はぐりっと: 吐血？？
[1605.569] (S)mikan_san: 過呼吸いない？w
[1605.999] maro_72: らっだぁの描くありさかさん好き
[1606.273] じゃがビぃ: うまい
[1606.291] (S)しょこら25: 吐血？
[1606.504] muuuutyai: なぜ舌なめずりw
[1606.514] kinu0917: 花びらに見えてきた
[1606.860] (S)akaneko_2232: てぇてぇ
[1607.081] (S)louis_bun: 愛を誓う要素なくね？
[1607.094] iriss3535: てへぺろ？
[1607.270] cobaltsolt: 血反吐はいてる
[1607.301] yoko__0702: うまい
[1607.418] umarekawattasaba: 上手いwww
[1607.512] hiiiiiiiiiikr: 今北
[1607.611] お手軽炊飯器: ｗｗ
[1607.660] (S)犬ﾚ: わかる
[1607.661] kakaninjin: だるまに見えるか？w
[1607.746] ミリこ: wwww
[1607.957] (S)miiiiii_373: てぇてぇ
[1608.049] kopapa06: 吐血！？
[1608.195] すいらら: てぇてぇ
[1608.402] (S)はぐりっと: 吐血？
[1608.606] aruto_33: いいやん
[1608.611] kittyrxxy: 舌いいよ
[1608.652] すいろ: てぇてぇになる予感
[1608.698] (S)なん69: 舌天才
[1608.763] yukumero1022: 吐血ww
[1608.799] sasayataka: だるさかてぇてぇ
[1609.265] 愛の林檎: うまい
[1609.340] akaihi: 吐血
[1609.469] (S)yusan913: だるありてぇてぇ
[1609.783] ichinomyo_taro: 吐血www
[1610.011] urotti: 吐血してて草
[1610.013] retonekomikan: うまいうま
[1610.110] kro_cat: べろうま
[1610.234] tkmof: てぇてぇなぁ
[1610.253] haneko_zip: 吐血してね？
[1610.450] honehone_2: これありさかさんに渡らないかな
[1610.611] honekara: ハートいっぱい描こう
[1610.727] いのりさん: 頭の輪っか理解してんのえらい
[1610.945] neu_rose: ハート歪すぎん？
[1611.062] pochipo_122922: 界人君わかるんかな
[1611.192] dis_min: wwwwwww
[1611.211] kaku7293: うまいw
[1611.249] yossy25252: 舌ね
[1611.464] (S)ラボア: wwwwwww
[1611.644] 紗弥0926: wwww
[1611.704] (S)はぐりっと: 吐血？？？
[1611.742] aruta2019: うーん・・・？
[1611.853] まとま: 吐血ww
[1611.889] 焼き鳥屋さん: 血吐いとる
[1611.917] (S)藤之助: 頬染めてる
[1612.107] (S)きっこまん: てぇてぇ
[1612.392] ぱるぱふ: かいとさんわかるん？
[1612.549] はやち: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[1612.638] (S)sutolaba: 吐血wwww
[1612.763] (S)fuu_maru: ハートというか桜の花びらなんよなww
[1612.918] ケーキｸﾝ: ありさかさん形ナゲット？
[1612.958] mirumiru_h: 吐血
[1613.149] rona0525: てぇてぇ
[1613.196] (S)fuucyann: 吐血草
[1613.210] fujita_en: てえてえ
[1613.370] kyo_kaaa: 吐血www
[1613.415] 7むし: 吐血wwww
[1613.493] マスクさん: wwwwwwwww
[1613.575] haneko_zip: ！？
[1613.604] mirinchanda: 吐血wwwwwwwwww
[1614.105] sjindoa: wwww
[1614.150] nibosichan_0403: ww
[1614.267] ミリこ: wwwwwwwwwwww
[1614.323] oversleeeeep: 吐血は草www
[1614.389] くもおとこ: てぇてぇ
[1614.510] (S)yukichan2525: あー
[1614.587] (S)たぴおか1267: wwwwwwww
[1614.623] (S)fuu_maru: ｗ
[1614.718] nodoka111: 舌か
[1614.772] ウォシュレット最高: らっだぁの描くありぴうまい
[1614.895] お手軽炊飯器: ｗｗｗｗｗｗｗ
[1614.931] 燐だよ: 吐血w
[1614.954] ドコサヘキサエン: !?
[1614.959] at_22_7424: 吐血wwwwww
[1615.010] japarada_xeno: 吐血にしか見えんw
[1615.022] (S)roy_rag: wwwwww
[1615.077] ssss_mudkip: www
[1615.078] wpj575: ｗｗｗ
[1615.119] (S)きっこまん: ｗｗｗｗｗｗ
[1615.139] omoti1208: ？
[1615.392] 神崎立夏: wwwwwwwwwwww
[1615.584] (S)akky_0209: wwwwwwwwwwww
[1615.596] jhonnymorimori: え
[1615.799] (S)ruchi_13: ありぴ！？
[1615.818] ずんな: これ絶対らだおのお題石川さんだなwww
[1615.832] iriss3535: 吐血草
[1616.077] (S)Ichigo_Strawberry15: ！？
[1616.079] minibanbi: ！？
[1616.096] karinn0323: wwwwwww
[1616.290] エリンナイル: wwww
[1616.349] resutamin: 絵心ないってことは分かった
[1616.370] あいりすきゅん: だるさかてぇてぇ
[1616.527] world_kohaku: あ
[1616.558] (S)んさく: wwwwwww
[1616.614] 梨一: ？
[1616.657] (S)とりーーも: え
[1616.746] mmmmeeeelllloooo: 吐血は草
[1616.805] (S)ひびき1214: うまくて草
[1616.884] 伊丙カオル: ！？
[1616.940] ryuna514: wwwwwwwwwwwwwwwww
[1617.300] じゃがビぃ: ！？
[1617.365] sabatu382: ひどい
[1617.460] soumen0305: ？
[1617.561] kenp1n_8: え？
[1617.599] kotonoha039: wwwwwwwwwwww
[1617.638] poppo16: ハート下手w
[1617.839] あきぬこ: wwwwwwwwwwwwwwwwwwwwwww
[1617.903] もぎ: 吐血wwww
[1618.015] tkmof: しにそうw
[1618.086] (S)Ichigo_Strawberry15: あー！
[1618.336] (S)an_do121: wwwwwww
[1618.512] (S)kumakkuma_bear: 酷いやつ来たwww
[1618.569] (S)ラボア: ！？wwwwwwww
[1618.666] 神崎立夏: あ
[1618.722] 空おれんじ: え
[1618.738] ウォシュレット最高: wwwwwwwwwwwwwwwwww
[1618.748] ari120515: ？？？？？
[1618.751] chitose0917: 吐血？
[1618.756] kittyrxxy: 吐血は草wwwww
[1618.881] kanon_nnn: 吐血wwwww
[1619.184] まき627: wwwww
[1619.287] retonekomikan: wwwwwwっw
[1619.326] ベニマル: 吐血wwww
[1619.349] 咲虎: 誰だ？？
[1619.404] (S)yona_0724: あ
[1619.476] (S)roro_131: ありぴ？
[1619.510] かしぱん_: ｗｗｗ
[1619.615] (S)moris1013: wwwww
[1619.631] ユゥジサン: だれ？
[1619.718] (S)そふぃ3: え？？
[1619.738] hiina_091426: ?????
[1619.820] しかくのさんかく: え
[1619.856] お手軽炊飯器: ？？
[1620.103] (S)ほのぼの: ？
[1620.126] てぃやんでい: ｗｗｗｗｗｗ
[1620.220] (S)ねこすず: あれ？！
[1620.297] ｿﾙﾄ: 吐血w
[1620.697] usuakamin: だれだよwwww
[1621.865] (S)Ichigo_Strawberry15: おれあぽ！？
[1622.198] aruta2019: ひどいｗｗｗ
[1622.338] nibosichan_0403: wwwwwwwwwwww
[1622.360] kosuke25252: 吐血草
[1622.438] rito1725: www
[1622.526] マスクさん: 微妙にわかりにくいな
[1622.541] (S)noririnmonrou: ？？
[1622.638] 甘酒大好き: あーーーｗｗ
[1622.722] sakurada_04: 吐血してね？www
[1622.772] kurot0923: wwww
[1622.787] (S)こんばんは1: ？？？？？？
[1622.788] ドコサヘキサエン: なんだ
[1622.829] (S)りかお: これはきたなwwwwwwwwwwww
[1623.133] nehar_maki: おれあぽかな？
[1623.138] kujirai___: ？？？
[1623.146] oshinagaking: おれあぽ？！
[1623.275] tonkatsu_0920: wwwwwwwww
[1623.331] kataminooon: なんだこれｗｗｗ
[1623.338] (S)はぐりっと: ありさかさん都道府県みたいな形してる
[1623.359] (S)howlin_0: ？？？？
[1623.636] (S)ninfea_03: ？？？
[1623.659] (S)ヒルスト: ありぴ？？？？？？？？？？？？
[1623.666] (S)fuu_maru: 誰？？？
[1623.801] (S)~MISSING_COMMENTER_INFO~: おれあぽ？
[1623.852] ichinomyo_taro: これはありさかさん
[1623.856] (S)lunatic2525: wwww
[1623.861] salted_Wani: 吐血wwwwwwwwwww
[1624.016] inakano_tako: 血がww
[1624.056] ミナオ: 髪色しかわからんｗ
[1624.065] (S)ふちてゃん: おれあぽ？？
[1624.158] after12noon: おれあぽか！？
[1624.209] HICHITO1234: 絶対ありさんじゃんwww
[1624.221] sakanoooo: おれあぽ？？
[1624.238] jun_ju_jun: 吐血してる？ww
[1624.254] みさお婆ちゃん: www
[1624.256] むてす: だれだ？？
[1624.439] (S)しょこら25: wwwwwwwwwwww
[1624.674] (S)rinka59: だれだよwwwwww
[1624.749] お手軽炊飯器: ？
[1624.767] non11_piuzo: ？？？
[1624.804] world_kohaku: おれあぽ!?
[1624.860] fuyukeshiki: ないすw
[1626.814] 7むし: wwwwww
[1626.829] (S)an_do121: 誰wwww
[1626.904] gentian_916: 死んだ人になったなww
[1626.946] pirokasugg: wwww
[1626.983] 灰白色_: だるまさんしんでない？wwwww
[1626.988] yuity_: おれあぽ?!
[1627.044] kusunokitomori811: おれあぽ？
[1627.058] (S)はぐりっと: wwwww
[1627.063] (S)sutolaba: ？？？？？
[1627.068] yuimo_1823: だれだ？
[1627.189] (S)kana_can: てぇてぇ
[1627.284] kuuhaku417: ？！
[1627.376] riiiree: おれあぽ？
[1627.420] akoakoko: おれあぽ？
[1627.503] (S)ねこすず: ひなの？
[1627.713] tkmof: え？
[1627.751] (S)endooon: おれあぽ？
[1627.842] asarikaibasira: だれ？？wwwwwwwwww
[1627.922] あいりすきゅん: おれあぽ？
[1627.929] magu332: wwwww
[1627.963] nishina___: は？wwwwwwww
[1627.989] solomon_0219: グフッ
[1628.014] (S)4maten: おれあぽ？
[1628.295] (S)鬼田: ん？？
[1628.346] カンケリ: おれあぽ？
[1628.371] あきぬこ: おれあぽ！？、？？
[1628.470] (S)fuucyann: wwwwwww
[1628.491] (S)kagemoegi81: かみとくん？
[1628.602] (S)オデち: おれあぽじゃね！？！？
[1628.654] (S)ふむふる: おれあぽ？
[1628.757] pwmjgpwdjgwuj: www
[1628.759] kenp1n_8: 誰…
[1628.785] kittyrxxy: wwwwwwwwww
[1628.827] myouban: ええー！！
[1628.866] raisu_blume: ？？？？
[1628.887] pan_dawa_: ？？？ｗ
[1628.921] 年中頭痛: だるさかてえてえ
[1630.013] (S)てとらぽっと: おれあぽ？
[1630.091] やださん: おれあぽ？
[1630.205] 神崎立夏: すーちゃんとおれあぽ？
[1630.225] ritae95: おれあぽ？
[1630.258] murasaki_chan: えwwww
[1630.259] atush1_: www
[1630.275] まりるー: おれあぽ？
[1630.299] (S)peroki0531: おれあぽ？
[1630.317] ruk1q: おれあぽ？
[1630.393] kapu_seru: あ
[1630.438] at_22_7424: wwwwww
[1630.445] (S)れなぽんぽん: この棒人間はwww
[1630.447] (S)こんばんは1: おれあぽ！？
[1630.449] en07nn: ？？る
[1630.567] daifuku___0328: おれあぽ！？
[1630.797] rika_sweets: おれあぽ！？
[1630.818] peace3511: ？？？！
[1630.825] ミリこ: だれだ？wwwww
[1630.835] (S)しょこら25: おれあぽ？
[1630.836] SHUTTOooo: 棒人間祭り
[1630.907] seni2104: だれwwww
[1630.971] honekara: 吐血www
[1631.013] (S)who_tawn: おれあぽか？
[1631.017] (S)ラボア: 誰？？？？？
[1631.046] kelvim9616: 髪色が…
[1631.082] くまべりー: だれ？
[1631.232] jhonnymorimori: 誰なの…
[1631.263] hi_oyu: おれあぽ？
[1631.387] れんか_: おれあぽかな？w
[1631.639] (S)yuna_aaaaaaaaa: ひなの神と？
[1631.723] riona0208: ！？
[1631.738] (S)yoichimu: おれあぽ、、、？
[1631.783] (S)roro_131: 棒人間www
[1631.871] Rei_3160: おれあぽ
[1631.890] pochipo_122922: え？
[1631.913] ReachAwake: ひなのさんは黒じゃね
[1633.067] ゆかりんりん: おれあぽ？？？？
[1633.106] _紅茶: おれあぽ？
[1633.113] すわンナ: 棒人間はありぴなんよw
[1633.277] ベニマル: おれあぽやな
[1633.288] (S)Aricia_luz: おれあぽ！？
[1633.291] (S)tora25_22: すーちゃんに土下座するおれあぽ
[1633.455] (S)panndaman1: おれあぽ！？
[1633.492] origo_to29831: 誰やwwww
[1633.504] shiirase_im: だるさかてえてえ
[1633.520] yossy25252: おれあぽてえてえ
[1633.522] プラず: おれあぽ？
[1633.529] 2時半: おれあぽじゃね
[1633.658] himajin___: おれあぽか
[1633.688] おむりゃいす: おれあぼ？！
[1633.704] maro_72: 誰？
[1633.764] prpr_friedrice2: おれあぽか
[1633.818] マスクさん: だれだ？？？
[1633.855] 7むし: おれあぽか！？
[1633.876] ふわたん: おれあぽやんｗｗｗ
[1633.929] aruto_33: wwwwwww
[1634.031] Akojonny: ありぴだろwwww
[1634.077] dis_min: いやあwwwwwww
[1634.188] amaroni0614: おれあぽ？
[1634.246] aru_rujp: おれあぽか？
[1634.309] (S)rinka59: おれあぽかwwwwwwww
[1634.336] (S)はぐりっと: おれあぽか！？
[1634.518] (S)ゆきとよ: おれあぽに怒るすーちゃん？！
[1634.525] (S)~MISSING_COMMENTER_INFO~: 俺アポっぽくね？
[1634.687] (S)akaneko_2232: あー、おれあぽか
[1634.740] surume_GG: おれあぽ？
[1634.777] (S)kagemoegi81: おれあぽ？
[1634.895] kanon_nnn: おれあぽ！！
[1636.142] かいろすくわがた: 橘!?
[1636.148] しろわにさん: おれあぽ？
[1636.357] nobume0v0: おれあぽ？
[1636.409] sabatu382: 3分くらいでかけそう
[1636.441] nehar_maki: おれあぽ
[1636.524] fumi_8734: おれあぽ？
[1636.558] mcchihiro: かわせと石川さん
[1636.568] syuria10y09: わんちゃんすーちゃん？？
[1636.572] non_tako: ????????????????www
[1636.626] mira_889: おれあぽやん
[1636.740] もぎ: おれあぽだww
[1636.744] (S)zono_37: おれあぽ
[1636.744] susefu: おれあぽか？
[1636.763] (S)sutolaba: 髪の色しかヒントがないwwww
[1636.784] うぃらすと: ？？？？？？？？
[1636.832] にょまれ: オレアポ！？
[1636.869] (S)shi_n_tou: おれあぽやなあ
[1636.905] ta_tago: おれあぽ？？
[1636.984] 夜伽らぁ: おれあぽやん
[1636.991] tetoro4368: おれあぽかｗ
[1637.111] moririnn1103: だれだこれ
[1637.152] のんﾁｬ: おれあぽ？？
[1637.329] (S)aina___10812: わかんねぇ
[1637.560] shimeno_n: おれあぽ？
[1637.614] いのりさん: おれあぽ警察すーちゃん？
[1637.753] (S)koruku_31: おれあぽ？
[1637.764] 大宮瑞樹: おれあぽ？
[1637.786] aplo_27: おれあぽとすみれ？
[1637.816] (S)おりおんさん: おれあぽ？
[1637.891] じゃがビぃ: おれあぽかこれ？
[1639.204] 咲虎: 赤とピンクってだれだ？？
[1639.225] kro_cat: ひだりだれや
[1639.300] aoiro00: おれあぽ？ｗｗｗ
[1639.308] t_kskw: おれあぽ？
[1639.329] waon_point: アポロの方おかしいだろw
[1639.348] (S)のこ汰: おれあぽ？
[1639.363] hoxow_0111: おれあぽ
[1639.373] 北のまりも: おれあぽに怒るすーちゃん…？
[1639.447] pwmjgpwdjgwuj: ？
[1639.502] iriss3535: おれあぽ？
[1639.708] ちょーみん: おれあぽやんwwwwww
[1639.820] pu_tyan: おれあぽwwwwww
[1639.825] kainn_1114: おれあぽ？
[1639.985] rawalpi: 誰に謝ってる?
[1640.023] ココマイ0: てぇてぇ警察だ!
[1640.186] (S)slt_silk: 俺アポ？
[1640.192] (S)らむ麦: あーすーちゃんか？
[1640.306] rs_simuna: おれあぽ
[1640.308] (S)yusan913: おれあぽ？
[1640.408] (S)howlin_0: おれあぽやな
[1640.476] amane_e: おれあぽ？？
[1640.506] (S)無糖のこぴこぴ: おれあぽっぽいな
[1640.507] kururinngo: んー？
[1640.550] nattu__: おれあぽか
[1640.647] カナバ: 赤ピンクだれだ？
[1640.701] uchichan_p: てぇてぇじゃね？
[1640.712] sumikko_ai: wwwwwwwww
[1640.824] さばあいす: おれあぽ？
[1640.901] azumikan_l: おれあぽ？
[1641.115] ei_ae: おれあぽてぇてぇ？
[1641.270] (S)mikan_san: おれあぽか？
[1641.335] (S)rin12027: ありぴ？
[1641.364] (S)noririnmonrou: 3人目誰だwww
[1641.561] salted_Wani: おれあぽ！
[1641.651] mitora2916: あってるあってる
[1641.774] nodoka111: おれあぽか？
[1642.229] kalium_s: おれあぽ？
[1642.232] sjindoa: ひなのさんとかみとさん？
[1642.243] でにぃ: おれあぽてぇてぇをアンチするすーちゃん？
[1642.265] べりさとべりか: ひだりだれだよｗｗｗｗ
[1642.295] chiuchiupet: おれあぽに嫉妬してるかがすみれ
[1642.325] aromamoon_: あれあぽ？
[1642.369] staso_1125: おれあぽ？
[1642.484] 和泉ぴけ: 重要なのがわからんw
[1642.519] nibosichan_0403: おれあぽ？
[1642.520] limg23: おまえだれ
[1642.530] nishina___: え？おれあぽじゃないでしょwww
[1642.534] pwmjgpwdjgwuj: わかんねえ
[1642.595] itoido: おれあぽねー
[1642.598] tyontyon: カミトさんおるな
[1642.718] ドらコアら: 立ってる棒人間誰だwwwwwww
[1642.736] (S)marimoko6231: おれあぽ？
[1642.737] (S)mayu_329: おれあぽwww
[1642.751] kro_cat: すーちゃん…-
[1642.928] (S)_ゆずれもん: すーちゃん？
[1642.944] つのた: 左だれだよ笑
[1643.159] kittyrxxy: おれあぽかwwwwwwwwww
[1643.263] HICHITO1234: おれあぽ......？
[1643.296] (S)endooon: 髪の色がちげぇよ！
[1643.354] kapu_seru: おれあぽやん
[1643.359] (S)kanoaaa8: てぇてぇ
[1643.415] (S)雪代: 髪の毛の色違くない？
[1643.453] ryuso1012: すーちゃん？
[1643.473] (S)taito001: 赤ピンクだれだ？？？？
[1643.474] 鏡神: ?なんぞ？
[1643.933] izayoi_77: おれあぽ？？
[1644.143] syachill: 色違い
[1644.149] (S)4maten: 左ww
[1644.177] kuru053: おれあぽてぇてぇきた？
[1644.341] (S)roro_131: おれあぽか！
[1644.346] non_tako: おれあぽ…
[1644.374] maguuuuuun: かわせさん石川さん
[1644.501] (S)もるねちろ: がちわからんwwwwww
[1644.667] ココナッツ__24: かみとさん?
[1644.733] tukky1208: おれあぽじゃない
[1644.794] jhonnymorimori: おれあぽか？
[1644.802] リューン: おれあぽ？w
[1644.897] yuimo_1823: 違くね？
[1644.932] mimipaadesu0428: おれあぽ！？
[1645.507] のまだ: 左誰だよwwwwww
[1645.713] family857: ありさか、かわせじゃね？？
[1645.745] rito1725: おれあぽ？
[1645.769] (S)しのんの: 色おかしくねｗｗｗｗｗｗ
[1645.788] (S)ラボア: おれあぽかww
[1646.011] shiirase_im: おれあぽ化？
[1646.183] (S)shige__maru: おれあぽ？
[1646.254] にやにや2828: おれあぽ？
[1646.286] 神崎立夏: てぇてぇ警察？
[1646.291] foxy1003: ピンクに赤の髪誰だ？
[1646.389] (S)rinka59: いやだれだwwwww
[1646.508] rimirimi1205: おれあぽっぽい
[1646.525] (S)kirizaki007: あどみんさん？？
[1646.766] main94: おれあぽ？？？
[1646.767] pun_6: 髪色違うよね
[1646.888] maruteaa: かわせとありさかさんかとおもった
[1647.119] えぬあい: おれあぽとすーちゃんにしか見えん
[1647.121] (S)スパーズ: おおおおおおお
[1647.237] dokukinoco: おれアポてぇてぇ？
[1647.336] aze1228: おれあぽか？
[1647.341] sakanoooo: ひなのちゃん押し倒してる？？？
[1647.347] spade_surprise: てぇてぇけいさつだ！
[1647.353] l_plus_minus_l: すーたゃんか？
[1647.370] 燐だよ: おれあぽw
[1647.377] gaiantufan: 左誰だよwwww
[1647.479] (S)オデち: もうひとり誰だよwwww
[1647.653] (S)しょこら25: アポロじゃねぇw
[1647.660] kotonoha039: 左一般人で草
[1647.707] nakarobots: かみとさんとひなのさん？
[1647.719] pwmjgpwdjgwuj: すーちゃんか？
[1647.857] 酢橘: おれあぽ？
[1647.912] yuzun87: おれあぽ？
[1647.919] kro_cat: すーちゃん？？？
[1648.022] Hiraga_Name: かみとさんぽくね？
[1648.115] ちょーみん: 左誰だ、、、
[1648.138] ずんな: おれあぽとすーちゃん？
[1648.232] (S)furutto110: おれあぽをしばく花芽すみれ
[1648.305] 梨一: ｗｗｗｗｗ
[1648.419] (S)ruchi_13: 3人目だれ！？
[1648.454] kuuhaku417: おれあぽにしては色が……
[1648.559] mirumiru_h: 赤ピンク？
[1648.602] (S)kana_can: すーちゃんか？
[1648.628] マスクさん: しとる
[1648.785] nenuidot: かみとさん？
[1648.826] karinn0323: おれあぼ？
[1648.843] myouban: 謝ってる対象は誰なんだwww
[1648.921] itoido: かみとさんかこれ
[1648.937] はやち: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[1648.940] mamama03: すーちゃ？
[1650.189] (S)みずいろか: え？ww
[1650.223] nodoka111: すーちゃん
[1650.223] お手軽炊飯器: ｗｗｗｗ
[1650.241] mi_tyan0: すーちゃんかな？
[1650.257] しかくのさんかく: wwwww
[1650.272] 伊丙カオル: wwwwwwwwww
[1650.306] sunomono8: wwwwwwwwwwwww
[1650.349] fuyukeshiki: 赤ピンク？
[1650.401] (S)souranbushiman: おれあぽ？？？
[1650.416] ドコサヘキサエン: おれあぽとだれwww
[1650.426] (S)roy_rag: wwwww
[1650.474] (S)rin12027: おれあぽ
[1650.485] kinu0917: wwwww
[1650.504] murasaki_chan: 赤…？
[1650.568] omoti1208: wwwwwwww
[1650.705] hyu0713: 赤ピンクって誰
[1650.785] honekara: だれだ？
[1650.794] ねむいがはがは: おれあぽ？？
[1650.798] まぐやた: 赤ピンク誰
[1650.845] (S)otux2_0205: ｗｗｗｗｗｗ
[1650.861] (S)nekodama2155: おれあぽか！？
[1650.963] そおお: そのまま
[1651.022] いりいりこ: おれあぽか！？
[1651.042] uver0043: すーちゃん？
[1651.070] kanusu_pandaisuki5656: おれあぽ
[1651.089] aoiro_lite: すーちゃんとおれあぽ？
[1651.089] spade_surprise: すーちゃんか？
[1651.130] (S)そふぃ3: かみとさんと橘？
[1651.366] つなまる: ｗｗｗｗｗｗｗｗ
[1651.395] ゆかりんりん: おれあぽだとしても、ひなーのの髪色違うクネ？？ｗｗｗ
[1651.717] kataminooon: あぽろこんなん？
[1651.745] (S)aina___10812: ｗｗｗｗｗｗｗｗ
[1651.782] (S)an_do121: おれあぽかな？？
[1651.795] (S)ふむふる: wwwwww
[1651.848] みどふぃ: おれあぽじゃないだろ…？
[1651.866] yuu62_o: www
[1651.893] (S)ゆきとよ: ｗｗｗｗｗｗ
[1651.907] (S)noririnmonrou: wwwwwww
[1651.920] inakano_tako: 赤とピンク？
[1651.939] asarikaibasira: しとるwwwwwwwwww
[1653.238] (S)Ichigo_Strawberry15: てぇてぇ警察？
[1653.274] koronn1101: おれあぽを成敗するすーちゃんとか
[1653.333] (S)drem_chan: おれあぽっぽい
[1653.341] ウォシュレット最高: wwwwwwwww
[1653.364] non11_piuzo: wwwww
[1653.364] 年中頭痛: これはアポロじゃなくていちご🍓？
[1653.401] (S)mary611: 赤が分からんw
[1653.410] マスクさん: 土下座しとる
[1653.416] (S)Aricia_luz: 髪色がちがう？
[1653.453] meruizu: wwwwwwwwwwwww
[1653.566] minibanbi: wwwwww
[1653.615] (S)moris1013: wwwww
[1653.677] (S)yuuka_0223: wwwwww
[1653.729] shifon0708: しとるw
[1653.819] ssss_mudkip: www
[1653.840] (S)チュチュンバー: 謝るおれあぽ！？
[1653.912] (S)rinka59: 髪色おかくないかwwwww
[1654.023] (S)yona_0724: wwwww
[1654.082] (S)sutolaba: 髪の色当てクイズ？
[1654.093] らはぶ: 説明じゃんｗｗｗｗ
[1654.155] (S)kumakkuma_bear: なんで訛った？？？
[1654.185] (S)きのこの炊き込みご飯: 髪色ちゃうくね？
[1654.212] kuru053: しとるwww
[1654.213] akoakoko: すーちゃん？
[1654.433] (S)souranbushiman: うーーーん
[1654.434] (S)kijinrin: すーちゃん？？w
[1654.503] (S)~MISSING_COMMENTER_INFO~: よな
[1654.675] riiiree: wwwwww
[1656.737] (S)sakuma1201: おれあぽ警察？
[1656.791] ryuna514: wwwwwwwwwwwwwwwww
[1656.824] 神崎立夏: ｷﾀ━(ﾟ∀ﾟ)━!
[1656.861] 愛の林檎: おれあぽがち？
[1657.024] himajin___: しとるw
[1657.268] kareikara: おれおぽ？
[1657.483] kanusu_pandaisuki5656: www
[1657.489] tkmof: 左、すーちゃん？
[1657.510] hatiti88: ひなのさん茶色もあるよね
[1657.544] sosko3260: しとるwwwwww
[1657.595] maho6029: オレアポ？
[1657.625] えいぺる: しとるwwwwww
[1657.627] (S)はぐりっと: てぇてぇ警察？？？
[1657.709] さばあいす: てぇてぇ？
[1657.730] (S)ねこすず: wwwwwwww
[1657.774] ogu_0: しとる？
[1657.834] さばっとっと: wwwww仕方ない
[1657.882] ユゥジサン: wwwwwww
[1657.935] (S)ryo_ngz: しとるwwwww
[1657.997] takoyaki01414: りすなー？
[1658.043] 8分19秒: てぇてぇ警察？
[1658.061] 29yomi_: きたｗｗｗｗ
[1658.127] (S)_ゆずれもん: おれあぽ警察か
[1658.255] おおやすみ: かみとさんと橘っぽい
[1658.476] (S)Ichigo_Strawberry15: wwwwww
[1658.483] (S)souranbushiman: すーちゃん？？
[1658.576] (S)はるーむ: すーちゃん？
[1658.680] しかくのさんかく: wwwwwwwwww
[1658.701] japarada_xeno: おれあぽ？
[1658.780] (S)おさけチャン: おれあぽだとして左誰だよ
[1658.842] tukky1208: ルージュラきたwwwwww
[1658.856] (S)ナリー19: ｗｗｗｗｗｗｗｗｗｗｗ
[1658.880] ぱなぷる: おおw
[1660.147] (S)IMOSUBE: おれあぽにキレるかがすみれ
[1660.171] unavele_nobu: ｗｗｗｗｗ
[1660.198] ripen_r: wwwwwww
[1660.355] soumen0305: wwwwwwwwwwww
[1660.371] (S)slt_silk: 左誰だ？
[1660.378] itoido: すーちゃんだろ
[1660.398] mikachi1102: おれあぽの力関係
[1660.413] taketoke2525: wwww
[1660.680] 和泉ぴけ: wwwwww
[1660.724] hiina_091426: あーｗｗ
[1660.770] (S)aina___10812: きちゃぁｗｗｗ
[1660.832] もぎ: 左すーちゃん？www
[1660.867] (S)ふちてゃん: きたーｗｗｗ
[1660.976] yururano_0: しとるwwwwwww
[1661.080] azumikan_l: 界人さんかな？
[1661.116] sjindoa: でたw
[1661.176] myouban: 赤とピンク?
[1661.185] hachiringo: おれあぽてぇてぇにキレるすーちゃん？
[1661.349] 神崎立夏: ブルボン
[1661.399] 哀れな人の子: でたわね
[1661.476] (S)kagemoegi81: で、でたー
[1661.477] (S)ruchi_13: でたぁwwww
[1661.529] (S)きっこまん: ｗｗｗｗｗｗ
[1661.538] kawaharaya: www
[1661.761] nobume0v0: てえてえ営業しすぎてすみれに怒られるおれあぽ？
[1661.762] ~MISSING_COMMENTER_INFO~: ？ひなーのの髪わからんかったのかな
[1661.788] harugasaku: wwwwww
[1661.921] masamasa2525: wwwwwwwwwwwwwww
[1663.197] (S)犬ﾚ: しとる
[1663.289] (S)無糖のこぴこぴ: うろ覚えのおれあぽやろ
[1663.339] (S)tora25_22: ｗｗｗｗｗ
[1663.404] aruto_33: すーちゃん？
[1663.407] れのれの: wwwwwwwwwww
[1663.418] 2時半: おれあぽとすみれ
[1663.476] mitora2916: ぶいすぽにおこられたかな？
[1663.510] curibon_nobiruc: ほうべを垂れてつくばえ
[1663.636] (S)kana_can: きたww
[1663.660] 礼紋: wwwwwww
[1663.665] motyar_6989: ルージュラww
[1663.672] mimimi3rin: おれあぽてぇてぇ
[1663.726] (S)はぐりっと: wwww
[1663.731] kuuhaku417: しとる
[1663.789] (S)Ichigo_Strawberry15: 土下座しとるw
[1663.822] (S)kotaroabc: ルージュラべに！？
[1663.851] at_22_7424: wwwwww
[1663.864] リューン: しとるwww
[1663.866] (S)sutolaba: wwww
