[4.490] Pear10257: O̤̮K̤̮で̤̮ー̤̮す̤̮
[593.183] (S)runa0511: www
[593.274] 五色椿: radaoHusei
[593.335] (S)gongchaaan: radaoHusei
[593.419] からたべ: 落ちてるとそうなるのか
[593.486] (S)rioapr03: 草
[593.522] (S)arumame: radaoHusei
[595.094] ジークジーク: 歪
[595.102] (S)唐辛子ガール: radaoKasu
[595.158] ks_1117: 歪
[595.187] (S)リラカ: あ
[595.213] to_mamenmen: ｗｗｗ
[595.251] danon0613: 草
[595.258] Toki_1259: 歪
[595.390] あすとる: ゆとりシステムに制裁を
[595.421] miomio1221: はい
[595.476] (S)lara_3o: 歪
[595.601] (S)hitsugi14: アイテムにも反応するんだ
[595.675] having_harumaki: ｗｗｗｗｗｗｗ
[595.940] (S)いさお130: はいー
[596.031] sakuchi_1108: は？
[596.048] (S)debuff_o__: ※効いてます
[596.080] karintou_painappuru: あ？
[596.169] hasami_girotin: 不正
[596.267] (S)Unininini114: radaoHusei
[596.268] ぶな_しめじ: あ
[596.352] (S)てむぽ: はい
[596.446] ちゃりんどう: wwwwwwww
[596.477] ruchi_13: w
[596.521] (S)motamiku34: へったぁ
[596.551] (S)こしつぶ: はい
[596.917] そらいろえのぐ: ｗ
[596.945] murasaki_0204: あ
[597.016] ちおちお: え？
[597.057] しろ_さん: 草
[597.116] masukis: アイテムもなるのね
[597.266] ars5425550: wwwwww
[597.271] (S)shimeno_n: ww
[597.307] (S)kuuhaku417: wwwwwww
[597.356] (S)pannnakottajp: wwwwwwwwwwww
[597.457] takusyon8080: 効かねぇな(致命傷)
[597.476] (S)まいちゃそ: 歪
[597.487] ほつけ: wwwww
[597.649] 快特: 歪
[597.744] (S)くらべ: radaoHusei
[597.809] terabyte__o0: wwwwwwww
[597.878] (S)waraashi: はかない命
[598.114] (S)koukoukoy: wwwwww
[598.321] (S)mameinu_: はい
[598.524] 神崎立夏: m9(^д^)ﾌﾟｷﾞｬｰ
[598.694] (S)みえのえ: radaoGahaha
[598.887] ずれ: くさ
[599.200] (S)しかくのさんかく: はい歪
[599.239] 月無水2420: ww
[599.264] (S)焼畑: 歪
[599.289] (S)sakiika_o5: wwwwww
[599.380] masukis: は？
[599.674] かすてら_0110: 歪
[599.896] (S)flower_sayasaya: radaoHusei
[599.908] (S)mossan0109: うざ
[600.130] urunc96s: 歪
[600.144] teren0204: 1年ぶりに来ましたらっだぁさん元気ですか？
[600.365] (S)yukinakomochi: あ
[600.390] miomio1221: 歪
[600.483] kaziki_1213: wwwww
[600.551] sakuchi_1108: 歪
[600.597] まき627: www
[600.733] (S)きんいろ: 1つになったね
[600.764] (S)outinoyami: あ
[600.936] yuto1515: チートかな？
[601.029] (S)をきう: ずっこwww
[601.094] goudaDP: 歪
[601.114] 快特: ｗｗｗｗｗ
[601.156] bucket_niwatori: 歪歪歪歪歪歪歪歪歪歪歪歪
[601.163] きゃノ: あ
[601.179] (S)yuu_umi: はい
[601.212] SeBurosu_: 歪
[601.323] (S)kimty__12: radaoHusei
[601.387] (S)kuronera_m: 歪
[601.424] 桃組の最終兵器: はい
[601.466] (S)ゐそやん: wwwwwwwwwww
[601.698] shald_jink: はい
[601.867] (S)kotehan31415: いのちだいいに
[601.933] (S)こもり: 草
[602.021] (S)きのお: ？？
[602.073] (S)fuzi_inari: 歪
[602.116] unknown_ra: www
[602.226] micha23214: はやかったな～
[602.254] (S)murasakineko6262: 命を？なんだ？
[602.353] aono_kasisu: さっき見た光景
[602.432] リアナ_1125: ｗｗｗｗｗｗ
[602.605] hituji_san64: wwww
[602.670] 夢現: 歪に歪を重ねるな
[602.703] (S)月ねこ: www
[603.178] zutsuusann: あ
[603.210] ぽっぷさん: radaoNannann
[603.256] sesami2525: くっさぁ
[603.370] shirataki_11: は？
[603.379] namu0418: 歪
[603.427] (S)涼晴: radaoHusei
[603.698] (S)matchamochi117: 命を無駄にするな
[603.748] お白湯: 命の無駄遣いやめろ
[604.439] ちおちお: あ
[604.578] (S)shapu_meg: 素直に４んどけ
[604.644] ~MISSING_COMMENTER_INFO~: 歪
[604.709] (S)debuff_o__: wwww
[604.822] takaha_ty: じゃあ命あと一つね
[604.849] Ichigoore0110: あ
[604.933] りむにゃん: 草
[605.153] りゅい: ふは
[605.188] (S)zyaga_b: 草
[605.258] (S)lv_0_: www
[605.391] piriodo_1: 落ちててもそうなるんだ
[605.475] (S)lara_3o: wwwwww
[605.599] (S)ruhu_0522: www
[605.600] (S)gongchaaan: www
[605.630] (S)しかくのさんかく: 草
[605.652] ユーキ0703: はい
[605.886] ジークジーク: あ
[605.943] (S)さおりん_: www
[606.021] (S)karasu57: wwwww
[606.084] shirataki_11: はい
[606.161] asaborake0408: はい
[606.223] yumenoiatu: wwww
[606.230] touhu_0910: 草
[606.306] ココたこ: www
[606.367] angebo_v1t: はい
[606.399] (S)shiro0704: あ
[606.484] (S)g_n_u_kana: wwwww
[606.501] (S)Unininini114: wwwwww
[606.632] saku_390: wら
[606.782] (S)うゆり: 笑笑笑笑笑笑笑
[606.820] (S)ワタメル0324: ざっこ
[606.827] applebell: 儚いねぇ
[606.874] まき627: はっや
[607.506] bon_sai: 天誅
[607.692] Remint39: wwww
[607.716] りゅい: やっえわな
[607.745] (S)bagio_mu: www
[607.862] うしおツヨシ: 歪
[607.900] (S)mitsuxx00: はい
[607.990] ふるふれあ: リスキルすぎるｗｗ
[608.082] naraba_12: あ
[608.093] (S)zero_gram77: 一個無駄にすんな
[608.121] mimizupan: ナイス
[608.310] (S)gawrib: ww
[608.343] のら05: 効かないねー
[608.488] momose_1945: 虚しい、、
[608.513] むつき7777: www
[608.527] milk_3169: はい
[608.553] dairyu1128: 草
[608.583] (S)metoronoomu: 草
[608.719] (S)36maru: 草
[608.864] kuuuuuuuuchan: www
[608.886] (S)aru_rujp: 歪
[609.112] chunchumu: あ
[609.323] daidaine: wwwwww
[609.341] (S)キョロちゃん: また減りました
[609.391] (S)yogharu: はい
[609.524] emilu1765: はやかったなぁ
[609.618] hellger27: wwwww
[609.659] fintia: ｗｗｗｗｗｗｗｗｗ
[609.718] akashima: wwww
[609.762] ゆきひろさん: 鬼そこに至ってわかってるのになんでそっちに行くの（）
[609.766] (S)hi_oyu: 草
[609.851] suteneko__: wwww
[609.938] aya_39: はい
[609.970] (S)461kuma: wwwww
[609.991] kinopi25: www
[609.992] piriodo_1: 草
[610.050] いのりさん: radaoHusei
[610.067] 桃組の最終兵器: 歪
[610.218] (S)yozora_0923: ざっこ
[610.238] jpbagu: お疲れ様
[610.239] gaiantufan: 歪
[610.259] (S)nana_om: 草
[610.638] (S)独炎レイト2525: www
[610.876] chunchumu: くそ
[610.882] (S)yu__0316: リスキル
[611.066] いる1023: はやすぎ
[611.073] Ichigoore0110: www
[611.077] りゅい: あーあ
[611.080] (S)neu_rose: 草
[611.089] yusagi1: 今ひとつになったぞ
[611.137] umiriku_umimi: 甘えだからだよ
[611.151] ちおちお: www www
[611.290] (S)jasmugi: wwww
[611.310] (S)shira_to: あ
[611.363] (S)kinote3: wwwww
[611.408] うめた: radaoHusei
[611.491] (S)lugner_510: radaoYatta
[611.552] (S)Unininini114: はっや
[611.881] syokorahanabi: wwwwww
[612.135] (S)kuuhaku417: あ
[612.155] (S)新君青太: 歪
[612.371] (S)nonsugar017: ゾンビかよ
[612.400] (S)rakotann: はいww
[612.420] まき627: 草
[612.448] peridot_27: www
[612.580] ユーキ0703: 歪
[612.595] (S)zabuton5mai: www
[612.628] (S)じょぶたみ: wwww
[612.643] (S)もふ_00: radaoHusei
[612.822] (S)唐辛子ガール: wwwwww
[612.881] (S)matutu0420: はい、あと1つ
[613.013] raizudayo: 草
[613.090] nekowanko: おい
[613.209] タコタコバンビ: radaoW
[613.430] (S)涼晴: 歪
[613.431] oisu_ois: ざっこ
[613.433] (S)うゆり: 命の無駄遣い
[613.658] (S)0itimaru: はっや
[613.681] wocha_tea: あれ
[613.837] murasaki_0204: うっざ
[613.857] (S)mayu1222: wwwwwwwwww
[614.100] shald_jink: 草
[614.219] りゅい: おいよさん
[614.322] yaaaaa85: ww
[614.332] 神崎立夏: ボケた？
[614.398] (S)debuff_o__: ※効いてます(n回目)
[614.545] huruhero: 草
[614.547] (S)湯とうふ: 歪
[614.556] hasami_girotin: うわ
[614.582] (S)くらべ: radaoRIP
[614.648] (S)エルローライト0302: wwww
[614.682] (S)roze_25252: 好かれてて草
[614.783] (S)きのお: wwwwww
[615.352] ciel_88: 草
[615.560] dauto_622: はい
[615.599] (S)rakotann: www
[615.612] (S)akagi111: むだにするなｗ
[615.828] (S)kio_1216: wwwww
[615.899] ちゃりんどう: もしかしてはきづいてるやん
[616.129] ふろんてん: ずっる
[616.328] kuuuuuuuuchan: 歪
[616.354] (S)ぬこが好き: パソコンみたららっでぃ昼配信してるからびっくりしたぞ
[616.512] (S)torikko_: おい
[616.532] 檜山尚人: 確実に1つ命失ってて草
[616.559] (S)く一ろ: ラストだな
[616.707] 琥珀はこ: wwwwwww
[616.746] (S)flower_sayasaya: 早かったな〜
[616.811] bucket_niwatori: 歪歪歪歪歪歪歪歪歪歪歪歪歪歪歪歪歪歪歪歪歪歪
[617.232] areq55: wwwwwww
[617.479] (S)勿忘草: デジャヴ？
[617.677] (S)kurono1022: あ
[617.713] hasami_girotin: 最悪やん
[617.969] (S)miyabi_8969: www
[618.197] (S)matwo_000007: 忖度モードやん
[618.519] (S)ぽてって: あ
[618.761] asaborake0408: 命が軽すぎる
[618.986] いる1023: いのちだいじに
[619.076] (S)murasakineko6262: radaoHusei
[619.176] kojirou917: 落ちているアイテムにも反応するのね
[619.292] (S)zyagaimo__: 草
[619.524] namu0418: ひどいなぁ
[619.579] シーラだよぉ: wwwwww
[619.615] (S)kurono1022: はや
[619.963] 夢現: 今までのは夢！？
[620.107] (S)Unininini114: はやすぎワロタ
[620.325] piriodo_1: もったいない
[620.529] ねる汰: こいつやば、ほんま
[621.491] dauto_622: wwwwww
[621.537] (S)ぽてって: www
[622.057] ほつけ: もしかして、ヤッてます？
[622.105] daidaine: にんきだな
[622.165] (S)くらべ: radaoHusei
[622.255] (S)zyaga_b: 強くてNEW GAMEかよ
[622.612] (S)kuuhaku417: 致命傷で草
[623.171] zutsuusann: 派よ4ね
[623.397] (S)shira_to: はや
[623.552] (S)owatativv: ダークライ！？
[623.665] (S)ワタメル0324: もったいな
[623.669] ちおちお: wwwwwww
[623.820] wocha_tea: はいー
[624.192] ずんだみん: 再放送ですか？
[624.455] po_1017: www
[624.657] りゅい: wwwwww
[624.937] (S)てむぽ: 俺また何かやっちゃいました？
[625.444] (S)にわとり鶏: もうクソやんけ
[625.720] まき627: 爆速死亡www
[625.990] hasami_girotin: クソゲーとなったな
[626.250] るっこらら: なろう系？！？！
[626.475] chikinritoru: W
[626.583] loltaro: 痛くも痒くもないね
[626.701] (S)まりもころころ: イージーのイージーするな
[627.364] (S)kimty__12: wwwwww
[627.967] piriodo_1: 落ちてても反応するのな
[628.190] skyhigh_day0: 夢遊病かな？
[628.193] (S)Unininini114: wwwwww
[628.538] (S)ぽてって: あ
[628.644] ジークジーク: アスレ配信見れないのかー
[629.584] (S)lisa_12_12: ヒロインなってて草
[629.866] rtinoooo: やば
[629.987] yume_setu1374: 最速死亡マン
[630.344] りゅい: まじ？
[630.565] (S)kiri_girisu: wwwwww
[630.635] potemashusyu: なろう系らっだぁ
[630.771] (S)rarumu0109: ww
[631.764] (S)リライトパンダ: 次で終わるけどな
[631.786] (S)りょうきち: ストリーマーの特権ずるいぞ
[631.886] aato2535: ダークライ！？
[632.155] mad_tune: 不正
[632.537] からたべ: もう相方いるんじゃね？
[632.684] watashida1: 不死鳥と書いてフェニックスと読むさん！？
[633.404] りゅい: ダークライ
[633.884] かすてら_0110: おいよさん！？
[635.497] dauto_622: 不正ですか？
[635.618] いのりさん: ダークライ！？
[635.840] (S)teritama5: ん？今どこでもって
[635.915] (S)mikan_san: わこらだ
[636.177] 神崎立夏: やっぱりポケモン
[636.409] (S)arumame: フワッティー「早くね？」
[636.419] まき627: ダークライ？！
[636.497] (S)kimty__12: ゾンビ
[636.901] huka_huka_: radaoHusei
[637.052] (S)mazirou: 自分で探せ
[637.806] (S)ぽてって: アスレみたいなぁ？
[637.819] ぽっぷさん: 尻軽
[637.966] yuukichan07: やばお前
[638.337] kanahebi1125: 息をするように不正するな
[638.793] momose_1945: おいよさん!!
[639.844] (S)kurono1022: ？？
[640.307] karintou_painappuru: 浮気し放題
[640.528] (S)くらべ: 背後気を付けろ
[640.808] bucket_niwatori: うわきっつ
[641.352] minto13579: あｗ
[641.412] emilu1765: 実質ワープ
[641.567] まおさんです: ダークライ！？
[642.565] piriodo_1: おいよさん
[643.159] (S)ｸﾛｲ: おいよさん
[643.245] umiriku_umimi: おいよさん！
[643.314] (S)mameinu_: 自分の力で探せ
[643.451] りゅい: (;´д`)＜萎ｪｪｪ↓↓
[643.698] (S)jasmugi: ダークライ！？
[644.116] ちゃりんどう: きかないんじゃないの？
[644.352] kanasahata: 大将黄猿っぽい
[646.137] (S)omusasa: ？？
[646.574] murasaki_0204: 汚い
[646.787] りゅい: おいよさん!!!!
[647.559] namu0418: 決して自分からは動かない配信主w
[647.876] (S)debuff_o__: radaoTariki
[648.710] りゅい: おいよさん
[648.743] (S)ちゃば00: radaoTariki
[648.822] まおさんです: おいよさん！
[648.961] (S)ぬこが好き: radaoTariki
[649.530] 亜莉紗: あ、おいよさん
[650.064] remomon085: らっだぁ....?
[650.284] (S)izumi_0520: ボーちゃんさん！？
[650.373] (S)独炎レイト2525: radaoKasu
[651.053] hasami_girotin: 他力本願寺が
[652.935] mad_tune: おいよさん！
[654.168] (S)murasakineko6262: radaoTariki
[654.188] rikorikor: おいよしゃん！
[654.581] りゅい: おいよさん!!!!
[654.986] aono_kasisu: やばすぎワロタの歌
[655.193] (S)ruhu_0522: radaoTariki
[655.220] wocha_tea: やば
[655.522] 伶音: 八尺様ですか？
[655.586] (S)独炎レイト2525: radaoTariki
[655.657] ユーキ0703: おいよさん⁈
[656.239] 神崎立夏: ごまだれ？
[656.488] りゅい: おいよさん
[656.686] (S)Unininini114: ボーちゃんさん！？
[656.766] (S)kurono1022: おいよさん
[657.036] ジークジーク: 今日他力本願寺すぎん？
[657.415] (S)lugner_510: radaoTariki
[657.638] (S)yukinakomochi: 鳩？
[657.665] shald_jink: ぽぽぽ
[658.357] (S)zyagaimo__: radaoTariki
[658.430] (S)torikko_: ？
[658.605] himokata: 他力本願寺発動
[658.608] (S)kuuhaku417: 他力本願寺が
[658.616] piriodo_1: ぼーちゃん！？
[658.833] bucket_niwatori: 他力本願寺
[659.926] りゅい: おいよさん!!!!
[660.128] (S)ぽてって: おいよさん?!
[660.757] (S)kuuhaku417: ぼぼぼ
[660.974] (S)ゐそやん: はとぽっぽ
[661.432] (S)kiri_girisu: radaoTariki
[663.131] ヴェライス: おいよさん！？
[663.406] (S)debuff_o__: なんの歌w
[664.757] hasami_girotin: radaoGG
[666.542] りゅい: ｱﾞｱﾞｱﾞｱﾞｱﾞ
[667.140] emilu1765: アスレ配信かな？
[667.292] piriodo_1: 笑うな
[667.392] (S)雪華0830: radaoTariki
[667.609] (S)ruhu_0522: radaoTariki
[667.763] (S)kuuhaku417: ミュート
[669.274] saku_390: おいよさん?!
[670.990] あきぬこ: かわいん
[671.181] omuraisu_nana10: w
[671.893] からたべ: かわいーん
[672.863] (S)lisa_12_12: かわいーん
[672.928] (S)haruuuuuun_0299: わこらだ
[673.334] karintou_painappuru: 浮気し放題
[674.216] (S)torikko_: 歌うな
[674.976] (S)owatativv: 現場猫！？
[675.186] りゅい: おいよさんは？
[676.090] teren0204: 1年ぶりに来ましたらっだぁさん元気ですか？
[676.647] 夢現: 肉ヨシ！
[677.362] sanpaku_gan: ヨシ！じゃないが
[677.787] (S)mikan_san: ヨシ！
[677.996] りゅい: おいよさん!!!!
[678.292] (S)kotehan31415: ダークライ？
[678.666] suteneko__: おいよさん！？
[678.932] (S)JoeriNotFound: ヨシ！
[679.068] piriodo_1: かわいーん
[679.105] (S)yuu7syo: ヨシ！
[679.267] ユーキ0703: かわいーん
[679.847] (S)lugner_510: かわいーん
[680.281] りゅい: 可愛いね
[681.299] ヴェライス: ヨシ！
[681.557] deccslomp: ヨシ！
[681.824] mii_kun1116: 片腕引きちぎれ
[681.980] (S)murasakineko6262: よし！
[682.780] (S)karasu57: かわいーん
[682.814] (S)metoronoomu: かわいーん
[682.929] (S)Unininini114: ヨシ！
[683.369] (S)akagi111: かわいーん
[683.495] gaiantufan: かわいーん
[683.643] (S)ワタメル0324: かわい
[683.725] yusagi1: さいてー
[684.093] (S)zabuton5mai: かわいーん
[684.143] ジークジーク: 糸だけにヒモになるな
[684.168] (S)nnick1__: ヨシ！
[684.334] kiminonamo: かわい〜ん
[684.555] (S)ガクフル: ヨシ！
[684.856] kinopi25: かわいーん
[684.936] パンケーキ奉行: 肉ヨシ！
[684.961] (S)flower_sayasaya: かわいーん
[685.089] (S)izumi_0520: ヨシ！
[685.127] yakki_san: ヨシ！
[685.294] りゅい: かわいーん
[685.583] 神崎立夏: ヨシ
[685.683] Ichigoore0110: 可愛い
[685.738] ほつけ: ヨシ!?
[685.784] murasaki_0204: 自分の腕でも噛んどけ
[685.954] kanahebi1125: 犬か
[685.996] kuuuuuuuuchan: かわいーん
[686.149] (S)lugner_510: よし！
[686.186] namu0418: よしじゃないだろw
[686.325] かすてら_0110: よし！
[686.532] (S)kiri_girisu: かわいーん
[686.608] umiriku_umimi: かわいーん
[686.747] うさた先生: かわいーん
[686.797] dauto_622: よし！
[687.486] からたべ: ヨシ！
[688.197] applebell: ヨシ！
[688.220] _イオ_: ヨシ！
[688.377] いのりさん: ヨシ！
[688.462] kaziki_1213: ヨシ！
[688.973] piriodo_1: よし！
[689.314] (S)karasu57: ヨシ！
[689.352] danon0613: ヨシ！
[689.497] (S)iriss3535: かわいーん
[689.540] wocha_tea: おい
[689.849] icgmochi0210: こんにちは
[690.127] unknown_ra: ヨシ
[690.167] (S)~MISSING_COMMENTER_INFO~: ヨシ！
[690.192] (S)hitsugi14: どこどこ
[690.277] sorabosi: かわいーん
[690.877] 伶音: かわいーん
[691.107] かすてら_0110: 落雷？
[691.665] gaiantufan: ヨシ！
[691.837] zutsuusann: よひ
[691.984] (S)ぬこが好き: かわいーん
[692.027] (S)sacra_games: かわいーん
[692.133] 夢現: 金ﾄﾞｺﾄﾞｺﾄﾞｺﾄﾞｺ
[692.543] (S)hi_oyu: ヨシ！
[692.940] (S)ぽてって: ヨシ
[693.263] (S)shapu_meg: それ最後の1個だったんじゃ
[693.591] (S)独炎レイト2525: radaoKasu
[694.309] (S)aono_202: ヨシ！
[694.336] (S)lv_0_: ヨシ！
[694.367] (S)Unininini114: かわいーん
[694.454] (S)pannnakottajp: ヨシ！
[694.871] emilu1765: 有能
[695.310] りゅい: ペットかよ
[695.502] (S)36maru: ヨシ
[695.578] aono_kasisu: かなどこどこ
[695.751] (S)kurono1022: よし
[695.946] (S)yozora_0923: ヨシ！
[696.011] (S)jasmugi: ヨシ！
[696.031] (S)sumotumotumotu: ヨシ！
[696.913] (S)ruhu_0522: ヨシよーし
[697.175] (S)りょうきち: ダークライさん
[697.178] (S)mazirou: 目の前でむさぼり散らかすな
[697.283] piriodo_1: かわいーん
[697.401] choco0506: ヨシ！
[697.612] kiminonamo: ヨシ
[698.509] suteneko__: よし！
[698.762] touhu_0910: ヨシ！
[698.873] (S)ワタメル0324: うっわ
[699.331] (S)metoronoomu: ヨシ！
[700.605] まき627: ラス1やったやん！！
[700.838] pct_oo: 乞食ヨシ！
[701.089] (S)hitsugi14: 見えないん？
[701.415] (S)にわとり鶏: ﾖｼ!
[701.655] goudaDP: ヨシ！
[702.448] (S)kumagorou5656: ヨシ！
[702.675] 1129819194: ヨシ！
[702.897] (S)matutu0420: 濁雷？
[703.034] (S)murasakineko6262: (・д・ = ・д・)
[704.222] りゅい: うわぁ。
[704.252] meychan_ty: ヨシ！
[704.443] bucket_niwatori: ヨシッ！
[705.291] applebell: 落雷？
[705.518] (S)sakanano_imouto: 落雷？
[707.417] きゃノ: よし
[708.011] (S)yu__0316: いるんじゃない？
[710.141] icgmochi0210: 落雷？
[710.564] pokedora: ダークライ？
[710.580] りゅい: なるへそ
[711.599] すのっぺ: 落雷？
[712.575] (S)lv_0_: 落雷？
[713.692] ねる汰: 落雷？
[714.055] (S)matchamochi117: まだチェストの中とか？
[714.108] 夢現: 危険を察知
[715.587] (S)nana_om: ダークライさん
[715.807] dauto_622: 落雷？
[718.606] (S)pannnakottajp: 落雷？
[719.207] 神崎立夏: らっだぁをまきたい？
[720.071] (S)lugner_510: びびり
[720.753] りゅい: 相方おるのでわ？
[721.100] ちおちお: 落雷？？
[721.771] (S)kaito_taise: おぉ
[722.639] rikorikor: 落雷してる
[723.814] bucket_niwatori: ラークライ？
[724.731] (S)koukoukoy: ラクライ？
[724.829] (S)murasakineko6262: 落雷？
[726.406] (S)ナス忍者: 情けない声
[726.608] (S)nana_om: wwww
[727.402] aono_kasisu: ぼっち？
[728.442] mii_kun1116: 一生孤独なんだよ
[728.991] りゅい: 落雷wwww
[729.222] (S)mazirou: 独り身って俺のこと？
[730.084] (S)rioapr03: あ
[731.041] having_harumaki: お
[731.405] suteneko__: 落雷
[731.817] パンケーキ奉行: 元カノｗ
[732.282] (S)kurono1022: ラクライ
[732.312] りゅい: ぼっちやなぁ
[732.702] 夢現: 元カノｗ
[732.932] sakuchi_1108: あ
[733.159] (S)ガクフル: 元カノ！？
[733.165] (S)debuff_o__: ぼっち
[733.223] くりな_0619: 今北わこらだー
[733.259] (S)雪華0830: あ
[733.312] (S)hitsugi14: ww
[733.604] (S)murasakineko6262: あ
[734.255] 神崎立夏: 元カノwwwwww
[734.339] harou_momiji: あ
[734.467] (S)Unininini114: あ
[734.566] (S)kaito_taise: あ
[734.676] suteneko__: お
[734.907] (S)ryo_ngz: 元カノ！？
[735.173] (S)mikan_san: あ
[735.294] having_harumaki: あ
[735.423] murasaki_0204: 草
[735.534] (S)akagi111: あ
[735.735] kojirou917: 落雷？
[735.751] umiriku_umimi: あ
[735.786] (S)karasu57: あ
[736.017] (S)ぽてって: あ
[736.240] (S)mazirou: あ
[736.414] aono_kasisu: うっさ
[736.490] suteneko__: あ
[736.606] ユーキ0703: あ
[736.707] (S)matutu0420: 元カノに縋り付くな
[736.721] himokata: あ
[736.879] emilu1765: ぼっち？
[736.910] (S)kumagorou5656: あ
[736.929] (S)koukoukoy: wwwwwwww
[737.109] (S)lara_3o: あ
[737.361] (S)こしつぶ: あw
[737.597] hasami_girotin: 文句言うなら行けや
[737.647] ヽ丶: 元カノw
[737.757] Ichigoore0110: あ
[737.823] (S)みどふぃ: あ
[737.824] unknown_ra: 元サヤ
[737.835] (S)をきう: そんなー(´･ω･`)
[737.860] きゃノ: あ
[737.917] (S)lisa_12_12: 元カノ草
[737.923] (S)そまる: うっさ
[738.002] 伶音: あ
[738.029] かすてら_0110: あ
[738.057] からたべ: 元カノwwwwww
[738.166] あまとう_: ussa
[738.218] (S)渚けい1210: あ
[738.707] べるみ: ああああ
[738.713] bon_sai: おちゃめダクライ
[738.737] (S)fuzi_inari: あ
[739.010] (S)kimty__12: あ
[739.163] (S)_もちもち_: うっさ
[739.252] (S)ぬこが好き: あ
[739.323] おまえのむすめ: うっさ
[739.331] namu0418: うっわ
[739.334] 夢現: 元カノ；；
[739.386] (S)lv_0_: あ
[739.462] (S)koukoukoy: あ
[739.499] (S)kuuhaku417: 元カノwwwwwww
[739.634] (S)新君青太: さいてい
[739.741] danon0613: うっさ
[739.834] りゅい: リアルだと
[740.079] deccslomp: うっさ
[740.264] あまとう_: うっさ
[740.292] kuuuuuuuuchan: あ
[740.299] (S)shira_to: あ
[740.316] (S)pannnakottajp: うっは
[740.361] masukis: あ
[740.385] (S)yogharu: 元カノ
[740.517] (S)ゐそやん: あ
[740.582] あんりりり: あ
[740.613] kanahebi1125: うっさ
[740.623] (S)shimeno_n: あ
[740.779] ジークジーク: ヒモしすぎだってばよ
[740.837] _イオ_: あ
[741.122] (S)rioapr03: やったな
[741.167] (S)Unininini114: 元カノじゃん
[741.349] minto13579: あｗｓｗ
[741.572] snownuts: あ
[741.725] (S)閉織: 元カノすてたｗｗｗ
[741.898] ちゃりんどう: くさ
[742.408] りむにゃん: あ
[742.584] _イオ_: うっさ
[742.670] harou_momiji: ダークラアアアアイ
[742.679] シャケ権三郎: あ
[742.776] 月無水2420: あ
[742.783] ゆな_: うっさ
[742.860] (S)kaito_taise: 元カノw
[743.211] 消しピン: 俺は命が3つがなんだって？
[743.307] りゅい: やっ
[743.383] (S)りょうきち: おまえさｗｗ
[743.398] 亜莉紗: チキらず
[743.461] (S)debuff_o__: www
[743.461] (S)fuzi_inari: うっさ
[743.507] fintia: うっさ
[743.642] (S)とれいら: うっさｗ
[743.643] micha23214: い つ も の
[743.661] (S)nanasino_jugem: あ
[743.685] (S)izumi_0520: うっさ
[743.759] piriodo_1: 元カノwwwwww
[743.816] パンケーキ奉行: あ
[743.854] (S)をきう: あ
[743.868] (S)roze_25252: ああああぁ
[743.919] (S)murasakineko6262: なんでー？(´･ω･｀)
[744.019] (S)mazirou: ああ
[744.069] (S)sjindoa: あ
[744.177] (S)ryo_ngz: はい
[744.188] aono_kasisu: あ
[744.281] umiriku_umimi: くさ
[744.336] having_harumaki: ｗｗｗｗｗｗｗｗｗｗｗｗ
[744.395] (S)rakotann: あ
[744.563] (S)shiro0704: 草
[744.595] (S)teritama5: 今のホラー
[744.606] (S)hitsugi14: w
[744.742] jun08081031: 元カノ
[744.788] karintou_painappuru: うっさ
[744.865] (S)いさお130: 元カノwww
[744.880] kiminonamo: あ
[744.923] (S)36maru: あ
[744.936] (S)lara_3o: 元カノww
[746.342] まき627: www
[746.434] あきぬこ: あ
[746.483] sakuchi_1108: はい
[746.500] zutsuusann: 元カノ降臨
[746.541] (S)yakkora: やめとけ
[746.618] himokata: あっw
[746.640] applebell: 元カノw
[746.850] toma_neko: あ
[747.035] terabyte__o0: wwwwwww
[747.076] 神崎立夏: www
[747.205] (S)zaaaako__: あ
[747.225] (S)さおりん_: あ
[747.263] (S)yozakura874: はい
[747.278] ヽ丶: 元カノ捨てるな
[747.364] touhu_0910: 元カノ？
[747.467] piriodo_1: うっさ
[747.592] (S)kumagorou5656: 元カノw
[747.633] saku_390: 元カノw
[747.653] namu0418: うっさ
[747.669] loltaro: ｗ
[747.801] yakki_san: うっさ
[747.805] りゅい: あっやってな
[747.812] bucket_niwatori: あ
[747.884] (S)リラカ: あ
[747.931] (S)ぬこが好き: はい
[747.955] aato2535: www
[747.996] (S)~MISSING_COMMENTER_INFO~: 元カノww
[748.086] いる1023: あっ
[748.181] あまとう_: アスレ行け
[748.417] (S)kio_1216: あ
[748.434] (S)karasu57: うっさ
[748.509] だーくねすへぶん: 草
[748.514] (S)mizuno0624: wwww
[748.529] (S)雪華0830: はいーw
[748.634] (S)ワタメル0324: あ
[748.780] skyhigh_day0: ホラーw
[749.369] さけかす: ｗｗｗｗｗ
[749.515] harou_momiji: はい
[749.550] (S)nnick1__: あw
[749.551] 伶音: うっさ
[749.592] (S)Unininini114: wwwwww
[749.651] yume_setu1374: wwww
[749.652] asaborake0408: うっさ
[749.757] (S)しかくのさんかく: あ
[749.759] (S)owatativv: 連れてきやがったこいつ
[749.800] nikkouak: wwwwwwww
[749.868] yusagi1: しってた
[750.109] murasaki_0204: お前が殺した
[750.155] 夢現: radaoRIP
[750.239] (S)aono_202: www
[750.332] (S)さおりん_: うっさ
[750.346] まき627: あ
[750.385] (S)saisai_tmc: うっさ
[750.591] からたべ: うっさw
