[25.270] careful_crab: Oh 
[3750.248] (S)エムクロ: きんきゅー
[3750.269] diego_ohunabara: umeYay
[3750.597] (S)aruch_22: きっともう調べてる
[3752.203] potocki1810: せんせー不眠不休ｗｗ
[3753.124] (S)こんぽち: 緊急動画ｗ
[3754.136] yunyun_ada: 弾に弱いんだっけラシード
[3754.257] scottiever06: レベル8と戦おう
[3756.750] syrup9000g: あまりにも激務
[3758.967] (S)しゃくれ: 緊急業務命令
[3759.925] ぽろり225: 開発力０というか開発する気がないよねｗ
[3763.793] fescap110: 【緊急】はネモさんはやってくれるから…
[3765.300] (S)FilthyOjiChan: @Esparmansion he asked warakia sensei to research rashid MU
[3765.428] (S)tabibitox: 緊急動画は根本氏が作ってそうｗ
[3765.671] moviepassion: ボーナス出すんでおねがーい
[3765.811] (S)ふぁんつい: 緊急で動画を撮るネモさんになっちゃう
[3768.187] だいこん_: 先生依存症じゃけぇ
[3769.520] CARNO_JPN: ランクマでラシードを探しに行きましょう
[3769.935] (S)izacro5e: 世間の需要大分高い仕事やな
[3772.551] (S)potesaraudon: すでにやってたらまじすごい
[3773.935] (S)monpiipop: あーCPU8ね
[3775.315] pyamaaaa: ボーナス出します
[3782.714] jigen0104: スラで抜けれない？
[3783.159] hideto007: 多分、言われる前にもう調べてると思うｗｗ
[3788.373] (S)maeda_sutemaru: 先生に調べてもろて格ゲーマーが農作業しよう
[3790.476] pondenring0930: まぁ直後だから既に研究してそう
[3793.548] (S)ラリメモ: 弾抜けもあったはず
[3794.087] prisira: 前転あるよ
[3795.101] (S)gorogorogorn: こんなこともあろうかと…
[3795.494] Ceciltaisa: まぁやってるんじゃない
[3797.318] gorilla_osaka: まぁ大好物っぽい
[3799.140] (S)bolabola102: ランの後前kで弾抜けかも
[3799.295] kaigaizei: ウメちゃん以外はもう全員やってんで
[3801.628] nomal11: 前転は別業派生ですね
[3803.273] プリズムパワー: 大竜巻ｐ→前ｋ追加入力でプラス取れる
[3804.930] グンダム: ネイルはある
[3805.683] (S)Nagare765: ケンのコンボも他の人に教えられたし実質開発していない
[3807.035] prisira: ＰＶであったからあるはず
[3808.287] girigirichop178: cpuとやろ
[3814.810] potocki1810: 竹内ジョ〇「ジェイミーは捨ててないよ。みんなの心にいる」
[3815.886] 1108044k: CPUいいね
[3821.253] latenight000: 弾抜けは見てからは無理っぽいね、置いとくしかない
[3824.947] NekkyOne: それで弾消せるよ
[3826.214] (S)tabibitox: 風設置から
[3827.805] (S)aruch_22: 先生は新キャラ、アプデの時はインセンティブあんのかな
[3830.742] (S)日本語かな: 竜巻P→前キック（ロール）→前キック（ネイル）
[3835.594] prisira: 弾消せるんだって
[3836.884] demonbane_twosword: ODイーグルスパイクが玉無敵
[3846.926] チョコミんト: いぇーい
[3853.779] potocki1810: ｗｗｗｗｗｗ
[3860.432] latenight000: え、抜けれたっけか
[3861.709] prisira: ＯＤでも風ないとインパクト確定らしい？
[3867.111] (S)くまリンカ: え
[3867.341] (S)SOLAS1D: 弾きついけぇ
[3869.068] demonbane_twosword: あれ、間違った
[3869.426] ogisaka: 恐れていた事態が起きてしまったので緊急で動画を撮りました。
[3871.574] yunyun_ada: は？
[3872.902] グンダム: 抜けられるのは強化版だけ
[3873.991] pondenring0930: ？？「わし弾きついけぇ」
[3874.694] one596: ワザップ
[3876.232] チョコミんト: w
[3876.632] balthazar000: 風付き？
[3877.409] potocki1810: ｗｗｗｗｗｗｗｗ
[3878.006] latenight000: シンプルな嘘つき
[3879.702] (S)FilthyOjiChan: www
[3881.568] ponokakillme: シンプルうそつきいたー
[3881.660] shichimi10: ｗｗｗｗｗ
[3882.200] (S)しゃくれ: ダウト
[3882.339] (S)こんぽち: シンプルうそつき笑うｗ
[3882.368] nikukuisugi333: ｗｗｗ
[3883.191] HirocoT: ！
[3883.354] (S)izacro5e: おもろｗｗｗｗ
[3883.600] (S)monpiipop: wwee
[3883.763] diego_ohunabara: umeNirami
[3884.135] (S)bolabola102: さすがにねw
[3884.142] WhiteShoreDrive: 草
[3884.989] nack128: ワザップ？
[3885.871] LogicalDashGG: ｗｗｗ
[3885.931] (S)kyuuri1: ｗｗ
[3886.039] ザマニール: エアプ草
[3886.085] chocolat1234: 😅ｗｗｗｗｗｗｗ
[3886.420] moricocoa: 井戸に落ちるか？
[3887.396] 無心に: シンプルですね
[3887.429] apacheconf: 出たばっかりだししゃーない
[3887.791] (S)ふぁんつい: ｗｗ
[3887.910] tak1on_: 3秒でバレるウソで草
[3887.920] (S)Nao_iwt222: 風が必要
[3888.377] mikio777: ｗｗｗｗ
[3889.462] kurare2020: うそつきー！
[3889.669] syrup9000g: ｗｗｗｗｗ
[3890.081] (S)tama_zx61: ストレートにいく！！！！
[3891.004] (S)m1s4m0: むふふwww
[3891.104] (S)aruch_22: ｗｗｗｗｗｗ
[3891.134] ドラキュラおじさん: ワザップ
[3891.316] ledlight9413: 初歩のウソ
[3891.364] (M)(S)gameinntwitch: きっちり翻訳までされてかわいそう
[3891.382] dai920san: 嘘つき･･･嘘つきーーー
[3891.889] garu735: umeFail
[3892.941] ロミヲ: ジュリの弾が抜けられてかなりやばい
[3894.048] (S)日本語かな: 弾無敵ないよ。メーターがオレンジなら弾抜け。
[3894.120] fescap110: 吊し上げろ
[3895.086] ayataka33: w
[3895.174] icyblue1985: 井戸に落ちる
[3895.275] fbhjkl: ScaredyCat
[3895.622] rutyen: シンプルは嘘
[3896.310] (S)axchuuu: だれだああああ
[3897.331] latenight000: すぐバレる嘘！！
[3898.405] feel2525: 人狼なんてもんじゃない
[3898.489] 変なコメ: あやまれーーー！！！
[3900.986] (S)こんぽち: 呪われるぞ！
[3901.790] dassun1: こんばんは！ラシードどうですか？
[3901.911] nomal11: ジュリの弾は抜けられるって話かな
[3902.079] だいこん_: 竜巻で勢い付いてるときだけですね弾抜けは
[3902.124] (S)gorogorogorn: 井戸の呪いやあ
[3902.143] demonbane_twosword: 気流接触時でしたサーセン！
[3902.228] battyo76: そこまで責めるなよw
[3902.346] girigirichop178: 人狼
[3902.606] (S)ふぁんつい: のろわれるぞー
[3902.951] tsubame5204: 呪い
[3903.061] (S)ohyoi2002: umeYay
[3904.674] (S)ゴリゴリのゴリ: トレモ使いこなすには、やっぱり全キャラある程度触れないといけないですよね、、、
[3905.075] かべ_娘は双子: デモンベインこのやろう！！
[3905.247] NekkyOne: さっきの派生前で弾消して風つくって色々やる
[3908.615] moviepassion: 謝れ〜
[3908.728] navyblue314685: 嘘は良くない
[3909.511] potocki1810: simple liar
[3911.476] (S)kobetaf: 昭和へ帰れ
[3912.852] CARNO_JPN: シンプル嘘吐きも、現代社会では貴重ではないですか？
[3914.118] (S)hiro_chan: ビチェラー強制参加の呪い
[3914.295] pyamaaaa: 草
[3915.295] (S)izacro5e: 気流接触時？
[3915.490] カブトシロ: 色んな人が観てるからね。
[3915.903] (M)(S)gameinntwitch: とらなくてもラッシュ確定じゃなかったっけ
[3929.443] yunyun_ada: なんか弾抜け動作あったけど出しにくそうだったな
[3931.968] potocki1810: ユーライアーライアー誰もがライアーｗ
[3933.040] latenight000: イーグルスパイクは日が暮れるぐらい有利フレーム
[3936.593] erisuk: 突進はただの反撃確定
[3944.056] chocolat1234: いえ・・・
[3945.216] かずえ08: ロールで弾抜けできるけど１クッションあるからまず無理でしょ
[3946.917] mori_teru: 知ってた
[3946.951] aki5568: ケン使ってないから知らない
[3953.696] bebebeeell: 割と基本では……
[3954.373] tibusa8: 知ってました
[3956.554] johndoe6523rp: え？
[3956.927] (S)hiro_chan: 弱スバイク先端は？
[3961.942] fescap110: イーグルはガードで+36Fあって、インパクト確るらしいね
[3962.126] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典があります → https://bit.ly/2YE2nLB
[3962.221] (S)てべす1103: 知ってました
[3962.772] tama_ko: 奮迅竜巻でいい
[3965.617] pyamaaaa: 誰かがやってた
[3966.188] (S)hiro_chan: スパイク
[3976.557] (S)日本語かな: 弾抜けはランから前パンチボタンとかのはず。見てからは無理
[3985.244] battyo76: ジャンプ下大p面白いよ
[3986.714] (S)hiro_chan: 弱スパイク先端はかくらないきゃらいる
[3996.116] caloriemeiko: 小迅雷なら目押しいらずで大昇竜まで入るよ
[4001.548] (S)tabibitox: スパイクの反撃確認しとこ
[4008.298] (S)てべす1103: スライディングみたいなやつね
[4008.964] kanatazx: スライディングでよける
[4010.980] かべ_娘は双子: 前ステ押しっぱ
[4013.851] latenight000: ラシードは前ダッシュし続けるとランになる
[4014.044] だいこん_: 前ステ前おしっぱ
[4018.846] かべ_娘は双子: 前ステ入れっぱ
[4022.868] 戸愚呂妹: それラッシュw
[4026.079] kuroinanika521: ラッシュじゃないで
[4026.346] yunyun_ada: ラッシュじゃない
[4026.701] (S)bolabola102: 前ステから前押しっぱなし
[4034.120] (S)hinhinpp: うわー
[4036.926] qin_liangyu: ラシードって目に包帯まいてるの？
[4037.091] (M)(S)gameinntwitch: なんか側転みたいな技もあったよね
[4039.037] sistersguitarreplica: こざかしさが半端ない
[4039.847] (S)monpiipop: 抜けるんだ…
[4040.835] ロミヲ: 位置さあ
[4044.473] ayataka33: どうなっとんねん
[4044.487] chocolat1234: なのそれｗ
[4046.490] akira_s_: やり過ぎだー
[4051.727] 1108044k: それ弾抜けだけど見てからは無理だったはず
[4051.885] HirocoT: わ
[4053.876] (S)moko15: 前ステ派生あるんだ
[4055.404] 000105: 体育教師スライディング
[4058.261] akiaki0612: エルフォルテ感ない？
[4058.397] かべ_娘は双子: めんどくさいやつになったなラシードw
[4058.681] (S)日本語かな: 発生28フレっす
[4061.299] nov_go: nov_go subscribed with Prime. 
[4061.400] yunyun_ada: でも相当弾抜けきついと思う
[4061.996] prisira: イーグルはインパクト確定らしい
[4062.108] pyamaaaa: トリッキー
[4062.236] (S)てべす1103: 6KKで側転ローリング
[4062.738] necoris_necoil: ケツたたいてんの
[4064.148] (S)gorogorogorn: 一発殴って行くの腹立つなあｗ
[4066.798] latenight000: 基本、コンボ用かな？
[4067.259] (S)Nagare765: 運びえぐい
[4068.752] ryuga00: 竜巻入りますよ
[4068.970] (S)izacro5e: 弾どころかキャラ抜けちゃうよ
[4069.002] moricocoa: 風で強化すると強い
[4069.576] (S)bolabola102: 前kkで密着なら位置入れ替え
[4072.649] かべ_娘は双子: 全部-36とか？
[4075.884] kaigaizei: イーグルは運び
[4076.171] 戸愚呂妹: こいつだけ餓狼伝説みたいな画面の動き方するな
[4077.040] yuki_aion_aion: ラシード モダン 最強っす
[4077.332] qin_liangyu: ｗｗｗ
[4080.429] DonReiniero: lol
[4081.481] (S)FilthyOjiChan: www
[4081.621] syrup9000g: 軽度
[4082.972] diego_ohunabara: umeYay
[4084.214] だいこん_: ワール貯め撃ちしてイーグルで本田
[4084.987] dai920san: のぶ子
[4085.868] ハイスケサイコー: 怖いよ
[4086.176] (S)monpiipop: 壊れてきてるな
[4086.638] (S)いちけん04: w
[4087.029] mifune1046: evoラシード参加可能は怖すぎるでしょ…2週間あったら色々見つかりそう
[4087.136] (S)しゃくれ: 名前が気に入った
[4087.142] (S)moko15: どったの？
[4087.416] ロミヲ: umeYay
[4087.666] ぐるえむ: ｗ
[4088.186] chocolat1234: ﾀﾞﾌﾞﾙ
[4089.065] johndoe6523rp: ｗwｗw
[4090.128] (S)m1s4m0: のぶこ
[4090.318] beichan5962: beichan5962 subscribed with Prime. 
[4091.716] (S)Nagare765: umeWhat
[4092.268] 変なコメ: ｱﾘｶﾞﾄﾞｫ
[4093.690] qin_liangyu: のヴ・ご
[4095.935] (S)kani7321: のぶごへの感謝
[4096.824] ayataka33: イウサールから隠れてじゃない
[4097.556] kurare2020: ありがどぉ
[4097.981] (S)kimi_3_: サブスクが来るときだけアホになります
[4098.938] chanmipoin: ラシードはやはり危険
[4104.879] mohikamu: CPUボコってみようよ
[4107.261] (S)hinhinpp: ラシードに荒らされて終わりは悔やみきれん
[4109.531] (S)ましゅダヨ: 感謝がすごい
[4113.097] (S)いちけん04: umeYay
[4113.916] hideto007: 今んとこSA2がぶっ壊れてるくらいか
[4113.970] ryuga00: 奮迅竜巻入りますよ
[4114.421] 来栖クライ: 奮迅竜巻始動行けない？
[4115.001] yunyun_ada: 奮迅竜巻いけない？
[4115.406] (S)そろもん1: SA2おもしろいよ
[4123.397] prisira: 奮迅竜巻だって
[4123.532] (S)てべす1103: スパイクは全強度インパクト確定
[4125.447] (S)m1s4m0: イウサールつよいよねー
[4126.236] NekkyOne: 微歩きインパクトもはいるって
[4127.240] (S)gorogorogorn: エボのラシードは誰も得しないよなあ
[4132.055] myaaaaaa123: 微歩きインパクトが確定らしい
[4134.526] fescap110: SA2はバグ要素がね…
[4138.089] 1108044k: そういうイーグルスパイク撃ってくる人いなさそう
[4141.027] scottiever06: 奮迅竜巻いこう
[4154.616] kitkit3: 字幕おもろいな
[4158.355] Loytory: 奮迅竜巻入ると思う
[4160.082] prisira: 奮迅竜巻入るらしいよ
[4160.334] yunyun_ada: 無理そうかな
[4162.705] (S)ymd1222: 奮迅竜巻入るんじゃないの
[4169.998] (S)日本語かな: 気流イーグル調べたほうがいい。
[4189.689] sen_en: どうせオイルキングあたりは間に合わせてくるよ
[4190.614] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[4191.684] チョコミんト: でかいー
[4192.615] (S)絵馬にょ: へーる
[4192.615] (M)(S)gameinntwitch: へりすぎぃ
[4194.644] yunyun_ada: だよね
[4197.874] prisira: たぶん風ないと打たないと思うよ
[4212.847] akira_s_: 風を纏うって事？
[4216.659] だいこん_: 頭突き
[4220.355] moricocoa: 基本はこっち
[4224.424] 憂う者の弟子: ﾄﾞ━━━━m9(ﾟ∀ﾟ)━━━━ﾝ!!
[4225.275] arotadiph: すごいくるくる
[4227.520] グンダム: ブランカになった
[4231.846] (S)tabibitox: バクステしたらスカりそう
[4233.141] (S)monpiipop: どうなってんの
[4234.712] TsubakiAlter: 気流のるとジャンプ伸びる
[4247.908] ogisaka: 気流はブランカになるんか
[4248.156] akiaki0612: マジエアーマン
[4248.556] butubatu: 気流からならミキサーでくるかも
[4248.770] 戸愚呂妹: Vシフトするしかないね
[4254.558] tibusa8: 流石に空ダは無くなったのかな
[4258.615] (S)しゃくれ: 本田でも無理なやつ？
[4261.563] (S)bolabola102: 気流でミキサーがやばいよねー
[4262.004] u_taz: OD劉備どうですか？
[4262.139] moricocoa: 弱ミキサーでも突っ込める
[4263.028] だいこん_: これのODが弾抜けです
[4267.722] (S)volta942: 自動翻訳追加されとる！？
[4268.544] (S)kekekenochan: 今帰ってきてはじめてラシード見てるんだけどこれリリィちゃん大丈夫？
[4269.673] (S)moko15: EX
[4270.676] かべ_娘は双子: ワールの一発目ジャスパしたらどうなるんだ？
[4274.470] みくろむ: 下大P
[4276.454] (S)日本語かな: ↓大P
[4281.056] latenight000: ジャンプ↓大Pから動けるとかだっけ
[4283.193] prisira: コンボしにいったら？
[4288.242] sistersguitarreplica: それあかんと思う
[4290.676] 1108044k: 4回くらいとんでたのみた
[4295.010] (S)tabibitox: コパンでおちないかな？
[4299.540] erisuk: はしはノーゲージでかなり減る模様
[4303.539] かべ_娘は双子: そっから竜巻kだっけか
[4303.922] potocki1810: ｗｗｗｗ
[4305.780] (S)日本語かな: パニカンじゃなくても入るくなあ？
[4308.948] johndoe6523rp: 人間跳び箱
[4309.468] (S)FilthyOjiChan: www
[4310.916] サルクモ: o
[4311.062] t0m0yuki: せんせー！
[4312.702] latenight000: 空中で更に必殺技打てたはずでもっとピョンピョンできる
[4313.280] ロミヲ: I think ソラアカン 笑った
[4313.776] (S)てべす1103: ぱにかんじゃなくても入らなかった？
[4314.689] kebiisi: 翻訳草
[4315.098] HirocoT: 信頼ｗ
[4318.535] (S)bolabola102: パニカンなしでも入るよ
[4320.228] 戸愚呂妹: ワラキアてんてー！
[4323.415] lm312v04wo: ネモさんは救われてなかった
[4323.649] (S)Nagare765: EVOまで間に合うかな
[4324.162] myaaaaaa123: 先生残業お願いします！
[4325.709] dai920san: であえであえ！先生！お願いします！
[4326.078] (S)usamaru_noir: 3回くらいとんでました表裏してました
[4327.224] pyamaaaa: 先生丸投げ
[4329.347] サルクモ: お、翻訳機能入れたんですね
[4330.643] ledlight9413: 賄賂現場
[4335.426] 霧月むげつ: さっきあきらさんが敵の上で3回ぐらい跳ねてる動画あげてた
[4338.635] akiaki0612: 雇った甲斐炸裂
[4338.867] (S)moko15: 先生あとは全部頼みます
[4345.089] arotadiph: 先生は丸投げするもの
[4346.714] yoshikawa194: ジャンプ台パンｗｗｗｗ
[4351.265] nomal11: 空中必殺技もあります
[4352.594] latenight000: いや、普通に二段ジャンプみたいな必殺技あります
[4353.336] lucia_morgan: 藤村のラシードのさわり方が天才すぎて理解できない
[4355.797] gorilla_osaka: めんおじと先生で全対応
[4361.197] (S)日本語かな: 前ジャンプ中に竜巻キック
[4376.007] サルクモ: ミリオンダラーパンチにワラキアさん出演しないんですか？
[4385.393] 1108044k: 下大Pのあとできるんじゃなかったっけ
[4392.009] keikohiro: ジャンプ台パンはダメ高そう
[4392.456] (S)tabibitox: ほんとこいつ自由だなｗ
[4392.777] (S)くまリンカ: たのしそう
[4396.225] 憂う者の弟子: なんてウザいんだ
[4399.808] icyblue1985: やばそう
[4400.868] necomuraneco: それ三角跳びのあともできる
[4404.036] kaigaizei: 今回の最大の悪さポイント
[4404.059] johndoe6523rp: NotLikeThis
[4404.938] pyamaaaa: 草
[4405.082] hata3333: 重力どこいった？
[4407.864] チョコミんト: すぐに別ゲー始める
[4408.514] (S)日本語かな: 2段ジャンプのあとジャンプ攻撃できます
[4411.304] t0m0yuki: アークゲー
[4411.680] NekkyOne: ギルティギア
[4411.982] WhiteShoreDrive: 石油のかほり
[4413.538] chocolat1234: おかしいことになってます・・
[4414.253] (S)てべす1103: よくわかりません！
[4415.229] sistersguitarreplica: そう、訳が分からん
[4416.486] ayataka33: ストリートファイターさん？
[4418.173] keikohiro: やっばい
[4418.804] (S)絵馬にょ: The teacher will help．
[4419.044] ogisaka: なんやこの動き・・・？
[4419.161] kiton_taichi: 三角飛びからもできるんだよなぁ
[4420.117] (S)volta942: 無法すぎる
[4420.891] hata3333: OD版もあるよ
[4421.393] hideto007: SFらしからぬ動き
[4423.524] yunyun_ada: 3角飛び持ってんの？こいつ
[4428.186] lm312v04wo: 画面端でおかしな動きができる
[4430.738] HirocoT: 重力さん？
[4431.266] Dio55555: 先生も今研究中じゃない？
[4433.208] (S)しゃくれ: DMCじゃん
[4434.239] aki_tr21: 昇竜のタイミングによっては逆側にでるとかある？
[4435.492] 霧月むげつ: ｗ
[4436.045] fescap110: やってることチップみたいで草
[4436.440] keikohiro: まずい
[4436.869] hideto007: ｗｗｗｗ
[4437.170] lucia_morgan: ｗｗｗ
[4437.177] グンダム: ｗｗｗ
[4437.750] (S)moko15: なんでもござれ
[4438.077] takahashiseigi: 餓狼伝戦みたいな動きしやがってw
[4438.185] チョコミんト: w
[4438.219] (S)marton_ss: w
[4438.724] (S)tabibitox: 丸投げｗ
[4438.886] ヨコグシ: ｗｗｗ
[4438.922] latenight000: もうええもうええ！
[4438.996] t0m0yuki: 王だよ？
[4439.199] (S)izacro5e: 草
[4439.551] feel2525: それ
[4440.363] HirocoT: ｗ
[4440.777] jigen0104: www
[4441.620] diego_ohunabara: umeNirami
[4441.761] dswlm: 大体ひとまかせｗ
[4442.962] akira_s_: 草
[4444.282] 1108044k: 難しいキャラは無理なんですー
[4444.789] icyblue1985: 大吾は考えるのをやめた
[4445.751] (S)mtayaa: w
[4447.476] 濃厚魚介つけ麺: 他力本願
[4447.523] WhiteShoreDrive: ぶん投げｗ
[4448.113] kuroinanika521: もうええわ
[4448.660] ayataka33: ww.
[4450.282] one596: そらそうだ
[4450.348] 大ﾗｲｽ: 頼んだ
[4450.392] pyamaaaa: めんどくせぇし
[4451.227] (S)volta942: あとで補習です
[4452.909] asa2023ku: くさ
[4453.734] navyblue314685: めんどくさくなっちゃった
[4456.044] hata3333: 色々できすぎるとこうなるよね
[4456.310] (S)日本語かな: 使わないし
[4456.941] ledlight9413: ハイエナの王
[4457.319] kebiisi: アウトソーシング
[4457.814] potocki1810: がちにきー
[4458.099] (S)絵馬にょ: ウメちゃんがこれで安心する
[4458.599] sistersguitarreplica: 他力本願寺
[4459.815] (S)dalhi: もう、ええわぁ
[4460.053] カブトシロ: どっか行った・・・
[4461.020] battyo76: 税金待ちの王
[4461.960] erisuk: やるつもりもないキャラさわるの葉時間の無駄
[4463.157] akira_s_: いつもの
[4463.260] one596: どうせ情報出てくるし
[4463.768] 濃厚魚介つけ麺: ラシード使いが開発してくれるさ
[4465.118] fescap110: このオジサン…
[4465.673] herumesuwind: こっちはーもうおじいちゃんでー
[4466.562] (S)mtayaa: 使える奴が調べとけ
[4467.653] inpma555: そのための専属よ
[4470.617] johndoe6523rp: まあそのためのワラキア先生だし？
[4470.809] rdstus: 王は分かったら報告しろでOK
[4472.942] kuroinanika521: ウマい奴に任せた方がいい
[4474.565] (S)usamaru_noir: まじで操作難しそう
[4478.620] lm312v04wo: 対策間に合いますかね
[4479.279] (S)monpiipop: まだマスターじゃランクマで当たらないのかな
[4484.333] latenight000: ガチ「情報統制するけぇ」
[4485.052] (S)moko15: 使う気１ミリもないのがわかってしまう
[4489.410] sistersguitarreplica: ラシード調べるとか大変やなー
[4491.795] takahashiseigi: キャラ開発、スト4の頃はどうしてたんだろw
[4492.514] Dio55555: それヤバそうっすね
[4504.287] hata3333: どうせ誰かが開発するからね
[4511.076] mifune1046: 王「オオヌキは開発が苦手」ってディスってたのに…
[4512.227] keikohiro: 昔全キャラ使いだったとは思えないなw
[4524.044] demonbane_twosword: 気流の動作やSA2関連は本気でやらないと覚えきれないなあ
[4526.934] ledlight9413: 開発は部下の仕事
[4536.936] battyo76: EVOでパンピーラシードに轢かれないことを祈るぜ
[4537.305] caloriemeiko: ぶっちゃけ自分で調べるよりうまいやつのリプレイ見た方が早い
[4538.158] 1108044k: このスタンスだと多キャラ使うのは無理だね
[4538.403] (S)日本語かな: うめちゃん竜巻Pからの低空ダッシュ初見くらいそうで怖い
[4538.502] nutsberry1701: ランクマにもいないし、ラシード勢はEVOでわからん殺し狙ってるかなぁ
[4569.186] mifune1046: てかevo今からでも禁止にすべきでしょ…
[4569.337] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[4588.403] keikohiro: 器用な人は隠し持ってそうラシード
[4592.159] takahashiseigi: ランクマで翔が遊んでるし、観たらいいのに
[4593.188] nutsberry1701: 使う必要はないけど、最低限の知識ないと轢かれて大会終わっちゃう
[4594.746] グンダム: 禁止なんかするなら最初からEVO後に追加するんだわ
[4607.451] (S)Nagare765: ウメちゃんガイル舐めてるしな EVOで痛い目遭いそう
[4610.989] (S)nagasaki3662: EVOでウメちゃんブランカとかガイルとかにボッコにされそうで不安
[4635.373] takahashiseigi: ガイルは、ひぐちやだいこくとスパーやらないといかんな
[4639.541] lucia_morgan: 海外のプロの配信見てると「ラシードとかどうでもいいからさっさと豪鬼だせよ！」っていうコメントが多い
[4640.901] (S)brutal9998: レアキャラに弱いというある意味信用
[4646.727] battyo76: ジョン君ジェイミーはみんなの心に住んでるとか言ってて草
[4664.582] (S)Nagare765: ジェイミーは所詮繋ぎじゃけぇ
[4677.335] latenight000: さぁ昇龍拳を打とう
[4677.463] pondenring0930: はい！
[4679.761] 1108044k: 雑談かな
[4681.785] カブトシロ: どうぞどうぞ。
[4682.430] jhkkhfdathvd: おかえりです
[4683.633] HirocoT: それは
[4683.926] erisuk: ケンでカスタムマッチ
[4689.331] latenight000: ステ雑
[4690.033] sistersguitarreplica: ステ雑
[4692.826] ロミヲ: ……
[4695.483] (S)volta942: 祈りのステップ
[4696.157] nutsberry1701: 捨て雑
[4700.336] (S)hoshi_boshi_0: 今日は対戦予定ありますか？
[4705.341] one596: ？？？
[4706.355] みくろむ: 練習が硬派すぎる
[4709.349] erisuk: きょうみんなラシードで遊んでるから無理かも
[4715.932] えぬ田: そういやワンボタンラッシュはご確認されましたか
[4716.159] necomuraneco: 指を鍛えます
[4718.287] latenight000: みんなで対戦相手探そ！
[4721.523] girigirichop178: cpuやろ
[4723.948] 1108044k: これでラシード対策間に合います？ｗ
[4724.832] (S)しゃくれ: 前ステチャンス
[4725.202] (S)yamato925925: 新ラッシュの使用感とかありますか？
[4725.542] プリズムパワー: ボタンラッシュに矯正する?
[4726.406] miyusayers: 相手ラシード出来ても良いの？
[4726.600] sistersguitarreplica: 自分のこと様呼びはきつい
[4729.249] (S)Nagare765: ウメちゃんが予約取らないと
[4735.265] one596: なんの為の対戦募集ライン部屋
[4741.021] (S)dalhi: ラシードに遊んでもらいに行こう
[4744.436] Soradas: Beast-senpai, what buttons do you use on your Hitbox, they are very quiet. 
[4745.652] takahashiseigi: 翔もラシードを調べてるから
[4746.042] チョコミんト: スト5で見た
[4749.270] (S)usamaru_noir: CPULv8先生と遊びませんか
[4749.293] nutsberry1701: ラシ-ドLV8と戯れてみてほしい
[4754.135] (S)volta942: 対戦相手指定のカジュアルマッチとか出来るんだっけ
[4758.105] ledlight9413: 4000人以上いるのに使わない手はないでしょ
[4766.241] セツリ: 先生ー
[4775.000] (S)brutal9998: ジョンが室内でグラサンしながらラシード触っててなんかイラッとした
[4776.005] t0m0yuki: ラシード最強か？
[4776.982] (S)tabibitox: ゲージMAXだからｗ
[4786.659] poposuke: 簡単設定ってとこで、試合形式でやったらいいよ
[4786.824] kurobedam: ラシード調整ミスってるよな
[4796.214] (S)Nagare765: ミスってないキャラいないっす
[4815.726] latenight000: ケンは調整ミスってない素晴らしいキャラ
[4820.306] ロミヲ: ブルーライトカットとかじゃなくてサングラスしてるの？
[4835.475] (S)hiro_chan: ココブルー？
[4846.513] battyo76: ラッシュ見えねーw
[4846.701] (S)volta942: ダッシュはえー
[4848.858] erisuk: ちゃんとした対戦にしたほうがええんやない？
[4851.458] hideto007: ほんと人間みたいな動きするなCPUなのに
[4863.253] icyblue1985: ダッシュ見えん
[4864.016] のぞみくん: たつまき散歩🌪️はくらいましたか
[4867.785] (S)thanksformatching: スーパーラシードキック
[4872.732] 霧月むげつ: カプコンが使用許可した心冴ブルー
[4907.760] latenight000: やっぱ色々トリッキーな動き見せて、本命の生ラッシュになりそうだ
[4945.113] (S)くまリンカ: へるｗ
[4949.201] jangosan: atpWind
[4951.130] 霧月むげつ: なんつー動きだ
[4954.729] mt7f: めっちゃゲージ使ってきたな
[4954.885] Limmel1: damn his combos are crazy
[4989.834] BigbossJP: 元のスーパコンボみたいだな
[4990.008] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[5000.126] (S)marvolo6: CPUコンボすげーや
[5001.786] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[5019.377] (S)volta942: 自動翻訳に格ゲー用語辞書登録しておきたいなｗ
[5027.322] chicken_dumpling: cpu level?
[5031.515] セツリ: 8
[5032.806] のねむ: その入れ替えずる
[5033.086] pyamaaaa: 側転あるんか
[5033.742] (S)volta942: Lv8
[5038.784] chicken_dumpling: thanks
[5044.365] (S)しゃくれ: はこぶー
[5048.006] potocki1810: ｗｗｗｗｗ
[5049.783] (S)H_WILDE: うめ
[5051.903] (S)tabibitox: イウサールつおい
[5053.202] WhiteShoreDrive: はこぶねぇ
[5054.353] のねむ: 端端ｗｗｗｗｗ
