[8.841] ゆにゆにゆにーく: wakorad
[4250.205] ただのおばけ: ALL INするかぁ……
[4252.285] kohana0d06: 涙拭こっか
[4253.459] hansintaigaaau: 餡…
[4253.741] おっとり刀: これからがんばって耐えていくんだぞ
[4255.120] nobume0v0: 無線歪みがちやな
[4255.473] katsukichi09: 猫マンゴーがいるよ
[4257.304] 湯とうふ: 今日無線歪んでる人多い
[4257.993] れもんちぃ0: あ
[4258.223] coco8q: おっと
[4258.562] sjindoa: wwwwwwww
[4258.643] harou_momiji: お
[4259.135] (S)kin6100: え？
[4259.683] bosabossa: 入店？
[4259.845] (S)seillane: あ
[4259.949] cyarasu: 顔www
[4260.486] ゴードン松尾: 入店
[4260.745] (S)ほたて12: www
[4260.785] Rimon_sky: あ
[4260.787] koyaren: wwwwwwwwwwww
[4260.824] (S)ゆずシフォン: あ
[4260.965] すいぺりあ: wwwww
[4261.123] ミスタ一: また入店してて草
[4261.378] つきあかり: ww
[4261.474] hansintaigaaau: 入店？
[4261.513] rei_0610: 入店の人だ
[4261.622] にわすずめ: あぁw
[4261.625] yume_1103: お？
[4261.632] ぷちます: 入店するな
[4262.048] many7575: 入店www
[4262.244] lutes00: あれ？
[4262.346] (S)ユウ太郎: 入店の方
[4262.459] (S)どらこどら: 入店？？？
[4262.581] 46_kulo: ww
[4262.945] Rimon_sky: wwww
[4263.004] baceneKo: お
[4263.121] みりぃもち: 入店ww
[4263.129] ログリア: wwwwww
[4263.207] suidousuiii: 顔www
[4263.281] meroasu_: www
[4263.349] tarabaaaa: 入店
[4263.476] hima_norita: 入店!!
[4263.559] (S)minaduki37: 入店…
[4263.612] koyaren: wwwwwwwwwwwwwwwwwww
[4263.713] dokokara_dokomade: www
[4263.891] ayunosioyaki0223: あw
[4264.115] syu_0317: 入店w
[4264.137] harou_momiji: らんちゃんｗｗ
[4264.819] tokr111: 入店いうなｗ
[4264.965] (S)seillane: ｗｗｗｗｗ
[4265.076] kanariatobu: 入店w
[4265.173] (S)ばにら0115: wwwwww
[4265.329] reitoumikannokawa_: wwwwww
[4265.352] (S)ほたて12: 入店www
[4265.453] yuasee: 入店？？
[4265.542] ベニマル: また入店www
[4265.763] Soratandao: 入店www
[4265.980] 怪獣: wwww
[4266.108] ~MISSING_COMMENTER_INFO~: www
[4266.319] torizuki_desu: あww
[4266.532] にわすずめ: wwwwwwwww
[4266.571] m1s4k1_09: 入店www
[4266.618] hash_maro: 入店w
[4266.630] isaco135: www
[4266.775] sora_mameee: 入店のかた
[4266.785] koyatai117: クセ強っw
[4266.801] zaza_kun: 店のひとか
[4266.833] ichi__go: 入店しとるww
[4267.070] many7575: らだど
[4267.176] cyarasu: 癖強めか
[4267.493] reo11118: あーw
[4267.582] eaSTARTwind39: 入店ww軽いなｗ
[4267.654] (S)toneka8284: wwwwwwwww
[4267.675] すてらいつ: らだど
[4267.886] れもんちぃ0: 入店wwwwwwwwwwww
[4267.980] (S)ベスプラ: 入店ww
[4268.075] sjindoa: www
[4268.141] ainoseeeee1111: 入店wwww
[4268.609] same__15: また入店してるwww
[4268.746] 惰性さん: ｗｗｗｗ
[4268.885] syu_0317: らだどw
[4269.200] melonmelo_: wwww
[4269.313] 怪獣: wwwww
[4269.433] gccxhhhui: wwwwww
[4269.435] itumi434: www
[4269.467] panndaman1: wwwww
[4269.470] Rimon_sky: らだど
[4269.518] なんでもいい: wwwww
[4269.646] aina___10812: 入店ねｗ
[4269.665] 96猫3: wwwwww
[4269.668] kara4ge: 入店かw
[4269.671] ラミリア: wwwww
[4269.697] sakeoo_0102: wwwwwwww
[4269.760] mikan_san: らだどさん...
[4269.884] しゃしゃも_: 入店w
[4269.934] ただの絵描き: 入店w
[4269.940] ui_nemutai: 入店………
[4270.058] mintia0107: 入店www
[4270.102] zoon8629352: 入店か
[4270.117] mary611: 入店www
[4270.333] zarame0531: 入店www
[4270.553] むろ_: 入店www
[4270.573] merongo_1023: 入店www
[4270.586] goodmanpppp: 入店www
[4270.755] meso_1001: 入店w
[4270.778] (S)雪狐0143: 入店www
[4270.885] s95618: wwwwwww
[4270.977] (S)ふぁじぃねーぶる: 入店wwwww
[4270.979] ris_66: スペシャルできますか？？？
[4271.057] re__pi: wwww
[4271.073] (S)ばにら0115: 入店w
[4271.196] runana_1123: 入店w
[4271.217] minoriin_4080: あぁ！
[4271.316] こんにゃ: らだど
[4271.455] ぐつぐつ茶釜: 入店するなw
[4271.459] mochi_00v: wwwwwwwwwwwww
[4271.666] chokemimi: wwwwwwww
[4271.856] yume_1103: wwwwwwwww
[4271.876] arrow_x957: 入店しちゃたｗ
[4272.226] kohana0d06: らだど
[4272.325] hifumiyoim: ららど
[4272.482] ただの絵描き: wwwwww
[4272.605] namoyan0809: らだど先輩
[4272.697] himekana_: らだど
[4272.864] sora_mameee: らだど
[4272.903] ミスタ一: 青井らだど
[4272.924] koumakans: ！？！？
[4273.140] yassandesu: あWWWWWWW
[4273.144] 25254747: 入店ね
[4273.394] 大宮瑞樹: らだど
[4273.668] (S)ゆずシフォン: 入店w
[4273.844] kanariatobu: おまいう
[4273.877] むろ_: らだどさんw
[4274.053] rei_0610: 仮面増えたなぁ…ww
[4274.510] yuk_iha_d_esu: 入店してんだｗ
[4274.895] メロン_: wwww
[4275.123] 怪獣: 可愛い
[4275.177] つきあかり: 強いなw
[4275.199] akashi1941: らんたろうw
[4275.335] 囚人番号: 犯罪者にしか見えんてwww
[4276.313] ケロ村長: らだど
[4276.471] すあま〇〇: 入店さん
[4276.560] himekana_: wwwwww
[4276.708] 佐野ちャん: らだど先輩
[4277.593] miu18iiii: 入店ねw
[4277.756] (S)saraniron: らだど先輩
[4277.905] (S)shun_2539: 皇帝か？
[4277.988] gyouzachann: 体入ww
[4278.182] goodmanpppp: らだどww
[4279.014] むろ_: wwwww
[4279.532] coco8q: らだど先輩
[4279.646] many7575: 特殊か
[4279.678] qqg0: 入店してるからね
[4280.295] せきつい: 体験入店さん
[4280.483] ミスタ一: 特殊課か？
[4281.110] (S)LAICOlogario: かわいいな？！！！！
[4281.544] ぷちます: 特殊向けなのか＿？
[4281.619] ﾏﾙﾏﾙ: パワフルね！
[4281.807] Ishio_62113125: www
[4281.884] ~MISSING_COMMENTER_INFO~: 特殊きたあああああああああああ
[4282.499] (S)pikamr: 特殊刑事課か？
[4283.257] (S)ふぁじぃねーぶる: らだど先輩ww
[4283.464] mary611: 元気だねぇ
[4283.494] minoriin_4080: らだどw
[4283.757] kara4ge: 特殊？
[4284.566] むろ_: 特殊か？w
[4284.589] (S)seillane: ｗｗｗｗ
[4285.523] meso_1001: お口トロトロw
[4285.589] makisima0614: 青井らだど
[4287.235] mawa_0: らだど先輩…
[4287.740] 八坂乃宮: 個性派おおいねw
[4287.876] yassandesu: あー
[4287.931] zarame0531: www
[4287.974] (S)kin6100: 覆面率上がってきたなw
[4288.094] yuasee: wwwwww
[4288.460] cyarasu: www
[4289.270] しん_4696: おるか系
[4289.389] sakeoo_0102: あぁ
[4289.426] baceneKo: www
[4289.435] (S)ゆずシフォン: 特殊か？
[4289.800] hima_norita: wwwwww
[4290.039] れもんちぃ0: wwwwww
[4290.268] キャホー: オルカ系wwww
[4290.349] nanun03: 入店w
[4290.559] koumakans: また濃いキャラ来たなぁ
[4290.717] (S)らいちょむ: らだど
[4290.789] ainoseeeee1111: あ〜w
[4291.395] ﾏﾙﾏﾙ: wwwwww
[4291.406] ケロ村長: wwww
[4291.595] sora_mameee: あーね
[4291.641] にわすずめ: オルカ系www
[4291.646] honu000: 特殊かな……
[4292.060] 八坂乃宮: たしかにw
[4292.500] ureshiin: オルカ系www
[4292.539] gyouzachann: おねげいしゃーすw
[4293.730] yume_1103: www
[4294.334] 弥紅: オルカ系ｗｗｗ
[4294.476] kenshin_g2: 敬語おるか
[4294.499] harou_momiji: オルカ系は草
[4294.691] many7575: オルカ系か
[4294.740] coco8q: オルカ系ｗ
[4294.751] himekana_: wwwwwww
[4294.767] noonmoon_v3: オルカ系
[4295.733] あしゅ_1127_: www
[4296.118] rain_less: オルカ系www
[4296.244] (S)ユウ太郎: 元気がいい子
[4298.105] rei_0610: いわゆる特殊寄り
[4298.296] ashikabi691: バディ組ませるか
[4298.556] goodmanpppp: オルカ系かww
[4299.149] 佐野ちャん: この一瞬でわかった
[4301.155] umisora323: 犬系かー
[4301.561] ven38sji: 特殊課かな（罰ゲーム）
[4301.930] lethargy00: 元気系
[4302.165] si_nn_me_319: 顔でっか
[4302.175] しゃしゃも_: オルカ系www
[4302.242] nobume0v0: オルカ系 www
[4302.938] koyaren: wwwwwww
[4303.194] ichi__go: いいね元気いいの
[4303.378] にわすずめ: w
[4303.964] zenkichi74: 敬語オルカ
[4304.322] mawa_0: オルカ系ww
[4305.230] キャホー: 先輩か？ｗ
[4305.724] syu_0317: 元気やw
[4305.727] (S)ほたて12: www
[4305.801] (S)ククリン: wwww
[4305.850] yuasee: いいねｗ
[4306.046] (S)minaduki37: 敬語オルカかぁ
[4306.059] くろもちげん: 元気だ
[4306.367] (S)ばにら0115: wwwww
[4306.575] ねる㌨: ww
[4306.597] ログリア: wwww
[4306.828] れもんちぃ0: wwwwwwwwwwwwwwwwww
[4307.110] mochi_00v: wwwwwwwwww
[4307.127] ただの絵描き: www
[4307.451] ayunosioyaki0223: wwwwww
[4307.670] kur_oi_: www
[4307.683] yume_1103: wwwwww
[4308.064] kk_army613: ギャル
[4308.280] (S)まぐえふ: つよい
[4308.470] 暗黙の緑茶: いい子
[4308.639] (S)黒ごまソフト: 元気な子だ
[4308.709] same__15: 元気だ
[4309.504] (S)tiroru202: radaoKawaiin
[4309.713] kurono1022: 元気やね
[4309.737] ureshiin: ええなあw
[4309.744] 和泉ぴけ: あったけー
[4310.398] (S)くーちゃん123: げんきなこ
[4310.648] ぐつぐつ茶釜: 元気だなぁ
[4310.751] many7575: 元気いっぱいwww
[4310.820] Soratandao: かわいーん
[4310.949] sarara0411: かわい
[4310.973] 楓さん: 敬語おるか
[4310.989] zarame0531: 良い子や
[4311.517] karokaro23: 元気だねーw
[4311.752] yume_1103: 元気やなwww
[4311.757] 八坂乃宮: 元気だw
[4311.779] kuro_0125: 元気だなぁ
[4311.832] 弥紅: いいね
[4311.978] (S)雪狐0143: 元気だ
[4312.034] nemu_1213: 見習えよー
[4312.297] ainoseeeee1111: 敬語オルカだ！
[4312.361] (S)hijiki0877: 夜中に助かる奴ね
[4312.530] (S)mira_o: radaoKawaiin
[4312.663] rain_less: 元気や
[4312.680] (S)ゆずシフォン: ええ子や
[4312.691] ﾏﾙﾏﾙ: 眩しいね...
[4313.190] ichi__go: 敬語版オルカw
[4314.704] yona_0724: wwwww
[4314.704] ケロ村長: オルカ系w
[4314.930] ぐつぐつ茶釜: あったけぇー
[4314.935] mary611: いい子だ
[4315.702] oli_liriri: おっさんとギャルの会話
[4316.010] kon0703: 敬語オルカ笑った
[4316.252] taiyousinnaporo: radaoKawaiin
[4316.508] minoriin_4080: wwwwwwww
[4317.921] 楓さん: radaoKawaiin
[4318.049] nemu_1213: あ（）
[4318.404] 所トしヤ: オルカの敬語版
[4318.882] kohana0d06: 元気良いねｗｗｗ
[4318.907] sjindoa: おー
[4319.167] 贄ﾁｬﾝ: ゆっくりしていってね
[4319.272] syann_0131: 敬語オルカか
[4319.290] baceneKo: いい人ではあるw
[4319.305] (S)ユウ太郎: 元気いい女の子同士は癒し
[4320.087] (S)らいちょむ: いい子やな
[4320.267] goodmanpppp: ええ子や
[4320.839] gccxhhhui: お
[4321.065] kilokilo0518: かわいいw
[4321.067] yume_1103: お？
[4321.072] にわすずめ: おはよ〜
[4321.098] 八坂乃宮: お
[4321.994] (S)ククリン: おー
[4322.541] gyouzachann: ええ子や
[4322.577] zaza_kun: お
[4322.842] すいぺりあ: えびー
[4322.914] ねる㌨: おお
[4322.962] ﾏﾙﾏﾙ: えび男！
[4323.172] yuasee: えびーお
[4323.442] baceneKo: お
[4323.491] same__15: お
[4323.633] (S)hijiki0877: シュリンプマン！
[4323.923] ただの絵描き: お
[4324.125] touka_8: うんうん
[4324.967] Rimon_sky: お
[4325.049] zaza_kun: えびー
[4325.219] cyarasu: えびおきちゃ～
[4325.289] mirina017: お
[4325.333] ark_jorqera: エビ男だ
[4325.357] harou_momiji: おはよー！
[4325.423] むろ_: お！
[4325.755] reitoumikannokawa_: お
[4326.085] nattoniboshi: えびお
[4326.214] koyatai117: 上官なんだ
[4326.290] (S)ゆずシフォン: お
[4326.436] かなるる: お
[4326.945] Mira7510: おお
[4327.236] たまごガチアンチ: 仮面組増えたね
[4327.319] m1s4k1_09: お
[4327.458] (S)雪狐0143: お
[4327.521] (S)らいちょむ: ギャル系オルカ
[4327.598] (S)ゆにるな: お
[4327.910] すてらいつ: ぽまえも上官か
[4328.131] koumakans: この場合ヘッドショット当たり判定ってデケェのかなぁ
[4328.898] (S)いぬひよこ: えび！
[4329.059] yume_1103: えび男！
[4329.298] むろ_: えび男ー！
[4329.746] kohana0d06: お
[4330.400] suidousuiii: おおおお
[4330.651] minoriin_4080: えびーおー
[4331.237] nobume0v0: お
[4331.263] same__15: えび男きちゃー
[4331.398] Ishio_62113125: 男やん！
[4332.838] katsukichi09: えびーお
[4333.817] (S)黒ごまソフト: えび男きたー
[4334.691] rei_0610: 警察のクセが集まってきた
[4335.116] (S)海にぃ: エビ男だ！
[4335.322] ichi__go: おー
[4335.489] kara4ge: えっへん
[4337.571] ホットな麦茶: おはようございます〜わこらだ
[4337.666] にわすずめ: w
[4337.741] (S)ほたて12: 上官なんだ
[4337.743] ﾏﾙﾏﾙ: ぎゃるみ！
[4337.829] k_koruru: 特殊？ww
[4338.582] many7575: キャップ？
[4338.921] tarabaaaa: ぎゃるみｗ
[4339.299] coco8q: えび男まいにち出勤してくれるね
[4340.280] koyaren: wwwww
[4340.315] (S)shun_2539: あげ！
[4340.532] mawa_0: エビ男だ
[4340.844] harou_momiji: ぎゃるみ！
[4341.070] kojikoji333: 大丈夫BOT
[4343.597] koyatai117: あげ
[4343.616] しゃしゃも_: ぎゃるみ！
[4343.851] nemu_1213: ん
[4344.348] (S)ユウ太郎: ぎゃるみー
[4345.011] ﾏﾙﾏﾙ: え
[4345.242] ただの絵描き: ぎゃるみ！
[4345.344] cyarasu: wwwwww
[4345.510] すいぺりあ: ぎゃるみ！
[4346.022] にわすずめ: ぎゃるみ？q
[4346.179] しん_4696: ？
[4346.260] Rimon_sky: あたまの？w
[4346.387] (S)海にぃ: わこらた
[4347.009] ayunosioyaki0223: 頭w
[4347.077] isaco135: wwwww
[4347.344] massandazei: どんぐりさんだ
[4347.397] sakeoo_0102: wwwww
[4347.672] nattoniboshi: え？
[4348.354] れもんちぃ0: wwwwww
[4348.475] すてらいつ: ん？
[4348.533] harou_momiji: え？
[4348.615] many7575: ちく
[4348.785] すかあと: wwwwww
[4348.791] ミスタ一: 頭の治療ｗｗｗｗ
[4348.882] (S)shun_2539: ん？
[4349.038] (S)ほたて12: ぎゃるみーー！
[4349.094] (S)ククリン: え？www
[4349.148] (S)ばにら0115: あ
[4349.301] しゃしゃも_: え
[4349.622] (S)minaduki37: どんぐりだ
[4349.630] たまごガチアンチ: wwwwwwww
[4349.837] (S)mira_o: え？
[4350.960] (S)salted_Wani: あ
[4351.015] melonmelo_: え？
[4351.161] ただの絵描き: え？w
[4351.222] miu_119: wwwwww
[4351.290] ichi__go: え？
[4351.682] yume_1103: え？
[4351.724] (S)どすこい伝説: どんぐりーー！！！
[4351.899] ~MISSING_COMMENTER_INFO~: www
[4351.900] koyaren: wwwwwwww
[4352.528] ﾏﾙﾏﾙ: wwwwww
[4352.757] 和泉ぴけ: なにわろてんねん
[4352.851] erenaab13: ギャルーー
[4352.910] gsucix: ぎゃるみww
[4353.673] (S)hijiki0877: ド低音ギャル
[4353.711] baceneKo: www
[4353.724] minoriin_4080: wwwwwww
[4354.047] reitoumikannokawa_: wwww
[4354.279] yuasee: www
[4354.360] zarame0531: www
[4354.592] にわすずめ: wwwwwwww
[4354.622] chokemimi: wwwwww
[4355.214] mizuhusen_aq: www
[4355.356] (S)ばにら0115: www
[4355.707] PON_cc: ちゃりさん～
[4356.069] ichi__go: www
[4356.283] kana9n: www
[4356.515] 八坂乃宮: 野郎w
[4356.770] kon0703: やんのかwww
[4356.905] nanashico27: wwwwwww
[4357.413] れもんちぃ0: やんのかwww
[4357.414] むろ_: wwwww
[4357.463] ただの絵描き: wwwwww
[4357.759] mawa_0: wwwwwww
[4357.934] namoyan0809: ぎゃるみけんか腰で草
[4357.997] (S)わらびもち_11: wwwwww
[4358.522] rain_less: wwwww
[4358.720] しん_4696: ぎゃるみ怖いww
[4359.117] Meriel814: 誹謗中傷で逮捕か？ｗ
[4359.349] okara25: wwwww
[4359.398] ainoseeeee1111: ギャルは強し
[4359.550] ~MISSING_COMMENTER_INFO~: wwwwww
[4359.931] ぷちます: 強力なラインナップ
[4360.716] lethargy00: イケボなギャルだなあ
[4360.856] syu_0317: 元気だwww
[4360.935] (S)pikamr: やんのかwww
[4361.306] (S)mira_o: www
[4362.042] にわすずめ: ギャル強い
[4363.023] yakkooo630: こーわw
[4363.472] lastma01: 一応科捜研いくか
[4363.707] taiyousinnaporo: こy
[4363.749] kon0703: ぎゃるみだいすき
[4364.082] mappa_hi: ダウナーギャル好きだ
[4364.600] かなるる: めっちゃ低音
[4364.787] tiger_bay: 医療隊もなかなかに個性的だ
[4365.861] (S)雪狐0143: ギャルは強し
[4366.172] many7575: ぎゃるみのローテンションすき
[4366.307] 贄ﾁｬﾝ: ぎゃるみぼそっと言うのずるいよね
[4366.848] qqg0: ギャルみw
[4367.427] hash_maro: 圧すごいw
[4367.540] (S)laitea1124: ぎゃるみイケボすぎる
[4368.319] cyarasu: だね
[4368.579] merongo_1023: ぎゃるみつっよw
[4369.816] ﾏﾙﾏﾙ: ね
[4370.271] peperonn17: ね
[4370.351] eaSTARTwind39: ホイコーロー？
[4370.506] katsukichi09: ヤバいやつばっかだな
[4371.593] (S)seillane: ね
[4371.672] kon0703: ずっといるね
[4371.738] yume_1103: ね
[4371.768] ainoseeeee1111: ね
[4371.808] (S)ゆずシフォン: ね
[4372.061] (S)mira_o: ね
[4372.270] baceneKo: ね
[4372.757] merongo_1023: ね
[4372.805] ~MISSING_COMMENTER_INFO~: ぎゃるみのギャップがえぐい
[4373.130] isaco135: ね
[4373.154] 贄ﾁｬﾝ: ぎゃるみはしごできだね
[4373.382] 八坂乃宮: だね
[4373.515] syann_0131: ぎゃるみずっとおるww
[4373.557] sakeoo_0102: ね
[4373.767] yassandesu: ね
[4374.142] dokukinoco: ワンオペもしてる
[4374.234] (S)雪狐0143: ね
[4374.331] runana_1123: ね
[4374.499] sjindoa: ね
[4374.542] rei_0610: ね
[4374.651] cyarasu: いつも来てくれる
[4374.705] しゃしゃも_: ね
[4374.722] si_nn_me_319: いつでもいる
[4374.863] ログリア: ね
[4374.901] mawa_0: こy
[4374.961] roikn: ね
[4375.108] nanashico27: ね
[4375.119] same__15: ね
[4375.187] panndaman1: ね
[4375.415] hifumiyoim: 意外と長いね
[4375.431] gyouzachann: ぎゃるみすきやわー
[4375.625] nr_ripa: エビデンスいいの？
[4376.162] gsucix: ね
[4376.200] ぷちます: 指名はいってそう
[4376.573] shi__409: いつもいるよね
[4376.817] らぺん: 真面目にやってる
[4376.857] ashikabi691: 名物になってる
[4377.152] ひかるのかがみ: 仕事は真面目
[4377.312] せんか_宣化: 根はまじめ
[4377.341] lethargy00: いっつもおるな
[4377.398] うたたねさん: 朝イチからいる
[4377.649] れもんちぃ0: ぎゃるみわんおぺしてたもんな
[4377.660] coco8q: ぎゃるみ昇進したかな
[4378.007] うわべかもしれない: 救急隊の特殊
[4378.333] zarame0531: ね
[4378.565] harou_momiji: ね
[4378.575] 八坂乃宮: いつもいるねw
[4378.874] kohana0d06: ね
[4379.094] ureshiin: ぎゃるみ早番だし
[4379.902] syu_0317: 高いし、ずっといる気がする
[4380.077] nobume0v0: ね
[4380.171] kon0703: 真面目ギャル
[4380.316] rain_less: ぎゃるみステゴロ強そう
[4380.441] ~MISSING_COMMENTER_INFO~: ぎゃるみは常時ワンオペ
[4380.846] (S)neue310: ギャルめっちゃ見かけるね
[4381.136] すてらいつ: 良いギャル
[4382.211] (S)mira_o: 大体いるよね
[4382.875] ark_jorqera: いっつもいる印象
[4383.028] 音吐朗々: 前ワンオペしてなかったか？
[4383.748] 暗黙の緑茶: ぎゃるみ今日も低いなあいいな
[4384.361] massandazei: 最近はもう早めに来てワンオペしてるもんね
[4384.659] (S)yuki_empty: ついこの間研修受けてたのに
[4384.872] 遅れます: めちゃ真面目だよね
[4385.191] shabani_2731: ギャルに逆らったらなにされるかわからんぞ
[4385.377] poruwo1212: いつもいるイメージがある
[4385.698] (S)雪狐0143: ワンオペもしてる
[4386.600] kojimanominato: エビデンスみたっけ
[4386.621] 囚人番号: らだおエビデンスとってなかったっけ
[4387.381] naosiki: ぎゃるみああ見えて働き者
[4387.411] なべっ子: ほぼいる
[4387.442] (S)たかまちゃ: アゲ
[4387.742] kuro_uri: 12時間勤務らしい
[4387.980] さーそー: もう多分ワンオペできるぞ
[4389.309] (S)ずーーーーみん: ギャルみ早番頑張ってるよ
[4389.516] aska0623: ワンオペ率が高い
[4391.039] nobume0v0: 真面目なギャル
[4391.702] ちきちぃ: ぎゃるみ真面目すぎるｗ
[4392.183] dokukinoco: え？
[4392.258] (S)kin6100: 仕事できるタイプのギャル
[4393.595] nick__ski: ギャルなのにチャラくない
[4394.614] ぐつぐつ茶釜: ん？
[4394.743] mawa_0: ワンオペしてたね
[4394.856] (S)くーちゃん123: ？？？
[4394.879] zakuro0609: ギャルは強し
[4395.806] 楓さん: 科捜研ー
[4396.375] (S)neue310: wwwwwww
[4396.864] logic_gori: とったやつ消化しないの？
[4396.962] (S)ユウ太郎: 仕事できる
[4397.031] らーいさら: 働き者のギャル
[4399.140] garumofu: エビデンス見て、からにしといた方がよくない？
[4402.964] めっつびたー: MM号やめｗ
[4403.022] sor4sido: 科捜研いいのか？
[4404.093] kilokilo0518: あれで犯罪しないからいいよなw
[4404.969] potetooodayo: マジックミラー号、！？
[4405.533] mgmgr: ワンオペギャル
[4405.798] (S)hijiki0877: なにこれ
[4406.034] にわすずめ: おお
[4406.546] sjindoa: ええ
[4407.213] (S)seillane: え
[4407.393] まここま: 迷子？
[4407.680] うめまろぉ: え？
[4408.045] harou_momiji: え？
[4408.149] ﾏﾙﾏﾙ: お
[4408.353] yuasee: おお
[4408.460] suujaku: 科捜研1個うえやね
[4408.838] riren_92: おお
[4408.958] cyarasu: うお
[4409.037] (S)海にぃ: なにここ！
[4409.663] wpj575: おお
[4409.853] Tubaki0000: おお
[4409.863] すいぺりあ: ええ
[4409.924] sora_mameee: え
[4410.058] koyatai117: おお
[4410.067] himanaso_da_517: ？？？
[4410.070] かんがえるー: なにこれ
[4410.106] baceneKo: おお？
[4410.195] mirina017: え
[4410.402] hima_norita: おお！？
[4411.069] ミスタ一: なんだここは
[4411.161] meroasu_: え？
[4411.210] eaSTARTwind39: おお
[4411.304] re__pi: え
[4411.570] roberunrun: MM号って言った⁉︎
[4411.629] (S)ゆずシフォン: え
[4411.685] shi__409: なんだここ
[4411.787] peperonn17: おお
[4411.881] zarame0531: おー
[4411.938] にわすずめ: すご
[4411.949] ペネロペ: おお
[4412.095] しゃしゃも_: おお
[4412.232] 八坂乃宮: 本当だ
[4412.325] れもんちぃ0: なんだここ
[4412.458] same__15: え！
[4412.605] rukkkoru: え
[4412.695] coco8q: お
[4412.962] Ishio_62113125: ！？
[4413.058] sjindoa: すげぇ
[4413.174] (S)seillane: すげええ
[4413.175] aina___10812: なんだここ
[4413.279] mawa_0: お？
[4413.321] merongo_1023: なにここ！！？！
[4413.604] mizuhusen_aq: なにこれ
[4413.605] (S)mira_o: 何ここ
[4413.833] 楓さん: えーかっこいいー！
[4413.849] ayunosioyaki0223: おお
[4414.245] sora_mameee: おおおお
[4414.888] cyarasu: すごい
[4414.902] しん_4696: すご
[4414.935] (S)わらびもち_11: なにここ
[4414.999] 96猫3: え
[4415.144] こんにゃ: お？
[4415.148] rei_0610: おおおお
[4415.172] (S)nekonaaa: おおお
[4415.349] yume_1103: なにこれ？
[4415.403] (S)雪狐0143: おお
[4415.891] zoon8629352: すご！！
[4416.495] つきあかり: すげえ
[4416.694] umasotti: なんだここ？
[4416.731] maru_tyan__: すげ
[4417.166] melonmelo_: おおお
[4417.283] aqua_marin0619: えー！！
[4417.391] 佐野ちャん: なんだここ
[4417.636] minoriin_4080: お、すごい！
[4417.677] ﾏﾙﾏﾙ: かっこいい！
[4417.905] ぷちます: REAL
[4418.159] gito64: 雰囲気あるね
[4418.160] ぐつぐつ茶釜: かっちょぇぇぇ
[4418.467] (S)ゆずシフォン: すご
[4418.491] ゴードン松尾: 薬あるじゃん
[4418.726] goodmanpppp: おおおお
[4419.273] si_nn_me_319: 仕入れするとこじゃない？
[4419.359] mawa_0: おお！！
[4419.381] niranin12: かっこいー！
[4419.515] 96猫3: おお
[4419.518] mary611: すご！
[4419.667] zarame0531: いい
[4420.033] meso_1001: え！？
[4420.129] many7575: 探検だー！
[4420.728] same__15: かっこいい〜！
[4421.381] かなるる: 使うの？
[4421.661] (S)ばにら0115: おぉ
[4421.880] maru_tyan__: 初めて見た
[4422.075] 楓さん: バイオみたい
[4422.407] frogflingpstfst: 酒めっちゃある？ｗ
[4422.870] sora_mameee: かっけぇええ
[4422.885] kana9n: すご
[4422.918] minoriin_4080: かっけぇ！
[4423.118] nobume0v0: ええええかっけぇ
[4423.120] 囚人番号: あるだけ？
[4424.171] cyarasu: かっこいい
[4424.419] ミスタ一: 絵画とかあるし押収品保管庫かな…？
[4425.222] (S)seillane: 雰囲気かｗｗ
[4425.538] (S)mira_o: 何ができるんだ？
[4425.762] にわすずめ: かっけ〜
[4425.940] (S)ユウ太郎: 警察っぽい
[4425.990] miu_119: ふぇぇぇ
[4426.260] (S)かげぬい: わこらだ
[4427.224] maru_tyan__: 事務作業？
[4427.467] すあま〇〇: 檻がある
[4427.729] sakeoo_0102: すごー
[4427.947] ﾏﾙﾏﾙ: コールドケース？
[4428.194] 八坂乃宮: 注文とか？
[4428.663] gongoo1980: 雰囲気部屋
[4428.841] poruwo1212: ここがランク4から何かできるとこか？
[4429.072] mawa_0: バイオやん
[4429.122] ぷちます: 相棒だと鑑識がいそう
[4429.258] same__15: うん、雰囲気
[4429.266] (S)くーちゃん123: 雰囲気ｗｗ
[4429.301] れもんちぃ0: なにもないのか
[4429.330] nandow3: 本当の押収物保管庫っぽいな
[4430.226] baceneKo: www www
[4431.161] many7575: 実験とか？
[4431.267] 冷たい南風: 雰囲気！
[4431.381] 和泉ぴけ: 飾り
[4431.635] すてらいつ: 上位ランクだけかも？
[4432.019] sora_mameee: 雰囲気だいじ
[4433.379] ケロ村長: www
[4433.473] meroasu_: 雰囲気だ
[4433.513] sarusaru3636_z: 事務？
[4433.623] merongo_1023: ぽい部屋や！！
[4433.802] mawa_0: かっこよ
[4434.270] kana9n: 雰囲気ww
[4434.704] (S)yumichi0724: めっちゃかっこいい
[4435.006] rai__rai__: 備品作ったりとかあるんかな
[4435.626] rafalec2013: フレーバー的な？
[4437.087] mona0627: 雰囲気室
[4437.204] konkondesu: ランク上がれば使えるのか？
[4437.538] (S)ばにら0115: 雰囲気？
[4439.011] eaSTARTwind39: まさかのお飾り!?
[4439.097] Haru_suzume: 部屋にせん？笑
[4439.223] ankoro0825: 雰囲気部屋
[4439.465] si_nn_me_319: 上官の人が仕入れするとか？
[4439.682] (S)雪狐0143: 雰囲気大事
[4440.155] しゃしゃも_: かっけぇ
[4440.565] kohana0d06: 囲まれたら詰む部屋
