[7.203] (S)はくまい_45: 何事？
[429.479] ずつうがいたい: ついにここまで来たか
[429.512] tiger_bay: 新劇のはしご
[429.654] (S)yuru_2222_: 意味がわかんない
[429.656] (S)noaaaan_5: 次ワンピース目指そう
[429.698] cha_ti: 企画かと思った
[429.743] (S)kusunokitomori811: 進撃のらっだぁだもんな
[429.772] みんご1234: wwwww
[429.869] muu_rika: 最初パンツ履いてる変態かと思った
[429.925] sopomuisu: wwwwww
[431.302] siwasiwanatshatu: 怒られろ
[431.306] nobitade: 経緯教えて
[431.460] なつおよ: wwwwwwwwwww
[431.475] スパアイ: ぽまえすごすぎん???????????
[431.532] seillane: radaoHi
[431.797] nerikondapan: うなじ守ろう
[431.806] 片栗粉栗: 奇行種
[431.961] いのりさん: 来るな
[432.051] raifu0_: wwwwww
[432.066] りゅい: タイタン＝ら
[432.200] yumuna19: アタックオン
[432.201] yuhi_k: wwww
[432.268] ふくうう: 海外勢勘違いするて
[432.279] しそぴ: でも夢オチなのおもろい
[432.339] mizusakura0326: wwwwwwwwwwww
[432.370] ハルマ: 翻訳したら進撃のレイダーで草
[432.405] めるまろん: パンツ合体したの被ってるみたいな
[432.412] linyqxr: 進撃のらだ
[432.584] Rufu39: らだお事後承諾？w
[432.753] sable_15o: ワロタ
[432.783] たいやっき: らっだぁ討伐されるの？
[432.814] せきつい: 進撃のらっだぁwww
[432.824] mugisan0503: まじかよ
[433.010] ハナさん: 駆逐されるの？
[433.084] Ichigo_Strawberry15: アニメ化するの？
[433.091] chipien_05: 駆逐されるね
[433.125] ramuradao: wwwwww
[433.206] ria0115: 進撃されるらっだぁだろ
[433.243] chitose0917: 先生まじっすか
[433.311] narumi_1111: 進撃のらっだあ笑笑
[433.474] かわたぱの: 進撃のらだお
[433.533] aya5021: 急に弱そう
[433.811] kinntamu1900: ワンチャンアニメでらっだぁ出てくるかも
[434.328] そいる_: 進撃のらっだぁ
[434.375] 狐_火: 駆逐してやる
[434.444] sakika_1214: 駆逐されちゃう
[434.468] akakuro324371: 海外の人に見てほしいこれww
[434.572] 音楼: アニメ化待ってます()
[434.623] tomu317: 進撃のらだお
[434.770] (S)かえで_じーじー: くるな
[434.839] shiu27: 進撃好きだからほんとに嬉しい
[434.847] mika_2512324493: 公式がパンツ被せてくれたんだぞ
[434.991] dedede_apapap: dedede_apapap subscribed with Prime. They've subscribed for 21 months! 
[435.019] (S)hina___4: アニメ化来る？
[435.202] (S)ウツル: いつもたかるからあってるね
[435.253] ららら0913: attack onらっだぁ
[435.320] porietirenn: 駆逐される側w
[435.397] iambum_210: らっだぁ駆逐するか
[435.543] ﾐｵさん: 駆逐されるってこと？？
[435.564] (S)kaomodi22: 一匹残らず駆逐…???
[435.795] sotono213: 駆逐しに行くね
[435.874] kamiyu0306: 作者公認
[436.024] nya_san37: 駆逐されてて
[436.034] ゆきさば: アニメ化ですか？
[436.040] yururi_83: 今北だっピ、何が起こってるっぴっ
[436.219] tsunamayoneezu: 女型のらっだぁ！？
[436.261] (S)muuuui7: なんでそこなんだwww
[436.279] みさき0224: パンツ、、
[436.290] みんご1234: アニメ作るの？
[436.384] べるみ: 変態仮面かとおもった
[436.505] nekoto01: ガチめにいくらなんやろ
[436.681] (S)つむじのきもち: いみがわからんけどな
[436.721] imos3: Attack on radder
[436.755] tsuyuki77: 駆逐される？
[436.841] kabochaisgot: ん?w
[436.960] ekatensan: attackonradao
[437.084] chiwawaheart: てからっだぁ進撃する側なんだね
[437.149] merongo_1023: 声に出してみたいパワーワード過ぎる
[437.217] dadapan_koubow: 超大型変態仮面
[437.393] ずうちゃ: らっだぁ駆逐できるってこと！？
[437.437] (S)takepanda04: 弱そう
[437.481] raifu0_: いくら払った？
[437.498] (S)なしのみ: 作者さん認知はえぐいてぇ
[437.679] Ramune__0: アニメ化するかぁ
[437.763] iludaaa: 進撃のパンツマン
[437.995] カナバ: まぁ諫山先生も変態的なとこあるしけ
[438.013] きおるん: こりゃ年内100万人だな
[438.059] rinku_: www
[438.061] しらゆきボーイ: 音MAD待ってますw
[438.167] くろやぎちゃん: アニメ化？
[438.193] haaup: らっだぁONパンツ
[438.391] itigo_1226: 弱そう
[438.412] Ishio_62113125: 第一話でエレンの鼓膜破壊しそう
[438.462] huminnoko: パンツかと
[438.571] ずーねちゃん: 奇行種...
[438.585] chon0401: 最近進撃見直してたからタイムリーで嬉しい
[438.613] sarusaru3636_z: 進撃のらだお
[438.655] sudoooooooo66: 転スラの後に進撃の巨人とらっだぁって並び凄いな
[438.655] amuamora: アニメ化？
[438.730] (S)toro_0317: ゲームかと思ったらグッズか
[438.916] riko_shi: 進撃じゃなくて震源地だろ
[439.120] mocupu: 弱そう
[439.123] rigore_napoli: パンツ被ってるようにしか見えん
[439.145] _くの_: 煙がサウナのバケモンになったみたいでいいな
[439.158] るおはゲーム下手: 作者先生はらっだぁのこと知ってるってこと！？
[439.188] sisk_34: 駆逐されろ
[439.218] gekiro_nin: 進撃のらっだぁ
[439.356] そふぃ3: 進撃のらっだぁwwwwwwwwww
[439.366] uru0922: 弱そう
[439.397] shironos0720: かっこいいｓｗｗ
[439.411] (S)koharapi: www
[439.581] kochq3: らっだぁ進撃コラボま？
[439.616] (S)ドミノくん: 進撃しすぎや
[439.749] tarou_83: 奇行種でしかない
[439.807] りゅい: アニメ化待ってます
[439.831] ponzu_nomitai: かませ犬感
[439.864] やろたお: らっだぁを駆逐するの？
[441.128] potetireenu: しぬw
[441.150] 神崎立夏: 人気も進撃ってこと？
[441.221] (S)cleam37564: 後退してそう
[441.227] あきぬこ: 駆逐待ったなし
[441.275] nico_cyan: アニメ化くる？
[441.281] harurahuru_1015: 駆除しないと
[441.361] raaaaaaaaaaaaan: 全身画像欲しいwww
[441.502] yousan_luck315: 駆逐されるな
[441.515] あまりんだ: 駆逐してやる…ｯ!!!!!!
[441.610] (S)kuugay0905: 絶対クソアニメ
[441.623] 冷や茶: 駆逐されてくれ
[441.717] たゆう_はね: 駆逐されちまえよ
[441.745] waaaaahco: 駆逐される側じゃん
[441.770] (S)amanooomikami: ぽまえもでかくなったってこと...？
[441.784] hima_norita: 雑コラ臭
[441.795] 花くらげ: 勝てそう
[441.810] 31350307: 赤はかっこいいけど青は...
[441.847] ららら0913: 駆逐するぞ
[441.942] ~MISSING_COMMENTER_INFO~: コラボ依頼しよ
[441.951] (S)ログリア: 首に気をつけな
[441.996] m_kq: 進撃公式ももうらっだぁは知ってるのか
[442.146] キリンです: なぜこれをやろうと思ったのかを本当に聞きたい
[442.225] ozokunchan: 駆逐しなきゃ
[442.306] mirumiru_h: 駆逐されろ
[442.510] pan_dawa_: 巨人要素をらだおが吸ったってこと？？
[442.593] あげのり: らだおをヤレって事？
[442.725] omaru_ssr: アニメ化？！
[442.736] (S)hiragi_114514: 駆逐される側やん
[442.833] しがないタコ: 話持ちかける相手間違えてますよ
[442.873] 海老天0412: radaoKun
[444.240] なつチキン: リスナーがらっだぁの首を切りにかかるの？
[444.267] shiba_Noizy: パンツ被ったらっだぁのグッズかあ、、、、
[444.280] sakiritu: お前なんて青鬼モチーフな時点でアングラなのにそんな表にどんどん出ていいのか
[444.325] mitora2916: 駆逐してやる…
[444.346] 瑠壱: らっだぁ駆逐か
[444.431] はしち: らっだぁを駆逐
[444.500] (S)井田: お願いだからこないで
[444.538] kuhaku_1225: 駆逐されんな
[444.567] (S)にゃん_ごろう: やっばぁ
[444.626] ren0102: ぱんつ
[444.749] スパアイ: らっだぁアニメ化まじか
[444.879] うみタカ: パンツ被んなってー
[444.884] gawrib: gawrib subscribed with Prime. They've subscribed for 28 months, currently on a 3 month streak! 変態仮面かな…？
[444.923] yucachin: 白ブリーフ被っちゃって
[444.982] むつき7777: ほんとだ公式にリツイートされてるw
[445.103] okomemoti: 駆逐されろ
[445.115] (S)セレちゃ: アニメだ
[445.139] ruku0109: いくら払った？
[445.147] (S)ぺこすけちゃん: 何者だよおまえ
[445.293] yona_0724: wwww
[445.318] (S)あめのち: 進撃のらっだぁ
[445.408] (S)みちこ523: うお、パンツ被ってるのかと思った
[445.411] ayunosioyaki0223: w
[445.502] (S)にわすずめ: お
[445.536] nano_m_: wwwwwwww
[445.742] remo_ne: 青すぎて笑えるww
[445.766] ねこねこお嬢: アニメ化決定！
[445.843] ytarowt: まじでビックになったね
[445.857] (S)ankoro0825: これで家族にもらっだぁの話できる
[445.868] tomu317: 狩に行くか
[447.360] heuchera_617: お似合い
[447.377] 14mugitha: 海外ニキ達から、らっだぁって誰ってなりそう
[447.466] ピース_146: お似合い
[447.512] waon_point: ぽまえ土井さんに駆逐されるやん
[447.547] (S)凩_: wwwwwww
[447.592] せきつい: やっぱバケモン側なんだな
[447.618] せっきくん: うける
[447.621] (S)yuru_2222_: 駆逐しなきゃ
[447.651] 甘酒大好き: おまえベルトルトなん？？
[447.811] (S)awayuri: wwww
[447.842] えりさ_: wwwwww
[447.844] rairairaif: アニメ化か
[448.042] Rus8931: 紅蓮の弓矢歌おう
[448.146] kurisuzu: Google翻訳だとレイダーになってると言うやつ
[448.189] nagasushiroi: あっ；；
[448.191] ﾕｯｹ: 進撃の巨人好きなので買います
[448.250] 野生のたんぽぽ: 草
[448.269] mugi_mugi_b: まじか笑笑
[448.299] (S)muuuui7: 駆逐されるじゃん
[448.443] moshimo00: うなじにらっだぁいるってまじ！？
[448.470] あまりんだ: 任せろ殺す
[448.475] narumi_1111: 弱そう
[448.504] otux2_0205: radaoRIP
[448.697] tsuyuki77: ww
[448.975] ぽーてっと: wwwwww
[448.992] (S)chito246: らっだぁぼこるイベでもあるのかなって思った
[449.089] ちくマシュ_0406: 作者公認なのね
[449.182] (S)じゃむじゃ: wwwwwww
[449.208] ドらコアら: 駆逐しろってこと？
[449.213] いるつ: wwww
[449.215] (S)たまごガチアンチ: radaoRIP
[449.249] るっこらら: 化け物だしね
[449.267] t_neko_t_: まあそうだよな
[449.329] ﾏｲﾁｮ: 駆逐してやる
[449.330] (S)nanatsuumi: 進撃と東京タワーコラボってどれだけ大きくなるの
[449.398] たか野: うなじ切りに行くね
[449.469] きっこまん: www
[449.541] うめた: www
[449.567] (S)にわすずめ: 駆逐してやるよ
[449.703] レだん: 駆逐しよ
[449.834] magaos_753: wwwwwwww
[449.857] toyo_1127: アンチから
[449.861] rani_08: 駆逐しなきゃ
[449.870] miya07016: お似合いだね
[449.871] poruwo1212: マジでいくら払ったの？
[449.889] nameko0398: さすがヴィラン
[449.902] mizuumi_3: よかった
[449.902] toofu_93: 任せて
[452.030] annzu125: アニメきた？
[452.107] marble1121: 駆逐してやるよ
[452.126] (S)mero_251111: お似合いだね
[452.152] konhamu: 駆逐するの誰かなー
[452.159] okami0704: www
[452.208] ekatensan: 良かったね
[452.250] (S)ちゃモん: らっだぁもデッカくなったもんだ
[452.290] (S)ドミノくん: radaoBigcry
[452.295] (S)かえで_じーじー: 口くっさ？
[452.311] peaaaaaaaace: 駆逐してやる！！！！！！！
[452.344] きゅあろっく: まぁ人外やしな
[452.354] (S)pinok0_: 人外だからOK出たのか、、？
[452.368] もなおから: 詳しく
[452.455] amuamora: アニメ化待ってる！
[452.653] あしゅ228: わこらだ
[452.718] まだら25: wwwww
[452.724] あるごん0555: 駆逐側なの？ww
[452.782] (S)はっる坊: 15000くらい？？
[452.795] (S)ayuayuayuyu: wwww
[452.881] nuuuuunn: www
[452.964] ざらめめ: ちゃんとキモいのがいいね
[453.008] (S)toro_0317: そら青い化け物やしなお前
[453.087] ひがし一: 平日発売は学校終わる前に完売確定で泣く
[453.148] otyaba_808: よし
[453.161] (S)inuyo: よかった
[453.247] merongo_1023: うなじ削がなきゃ
[453.426] evacoler: 一夜完結アニメ
[453.489] ハルマ: radaoRIP
[453.575] tsuyuki77: radaoRIP
[453.601] (S)unagi0303: よかった
[455.116] みゅう_818: だよな
[455.160] ryufuuu: radaoHi
[455.178] (S)sisui_golira: 口臭い
[455.224] ららら0913: 任せろ
[455.238] nekonekonyannyan0: よし
[455.239] (S)ウツル: radaoRIP
[455.286] tadaboshi: radaoRIP
[455.324] chunusann: radaoOtu2
[455.366] ~MISSING_COMMENTER_INFO~: 良かったわ
[455.378] mikann7: 変態マスク味がなあw
[455.403] yuasee: よかった
[455.423] kaniokundayo: ワイらが守る
[455.444] morry1063: 変態仮面だろこれ
[455.547] mingo__sk: 弱そう
[455.627] (S)ログリア: ボコボコやん
[455.712] lkalto: アニメ化？
[455.742] gobou_uuu: 駆逐してやる
[455.791] sintara12: 誰に駆逐されるん？
[455.797] ice_box02: がははって言いながら追っかけられそう
[455.838] choco3143: やったぁ！w
[455.918] denou777: さよならっだぁ
[456.007] iambum_210: いつも攻撃されてるもんねリスナーに
[456.020] すき焼きくん: お似合い
[456.069] milk__lemon: 誰にされるんだろうなw
[456.079] 優依1945: リスナーから駆逐される
[456.106] aty0_122: いつもされてるだろ
[456.197] narumi_1111: よわほう
[456.309] 花くらげ: 一話で完結しそう
[456.392] (S)ama_iro_: わこらだ
[456.524] (S)kuugay0905: 解釈一致
[456.733] xx_aogiri_xx: 駆逐する側は運営さんか
[456.774] りりあ1111: 駆除対象
[456.883] tk0404tk: アタック・オン・ランタンの方が語感よい
[456.923] itigo_1226: さすが
[456.924] ニコチャソ: 青いなぁwww
[458.085] raisiro: raisiro subscribed at Tier 3. They've subscribed for 33 months, currently on a 33 month streak! 
[458.194] furrrrfox: 青脱？
[458.245] syounooo: パワーワードすぎwwww
[458.252] たゆう_はね: お前のうなじ狙い行くかー
[458.273] narumi_1111: よわそう
[458.325] (S)レロキャン: よかった
[458.365] ゆきさば: リスナーが得意じゃん
[458.374] mika_2512324493: 化け物だからね
[458.468] kyurino_asazuke: すぐ死ぬか
[458.494] gekiro_nin: うなじ気をつけろよ
[458.507] はしち: 巨人が汚染される
[458.513] s_mayusan: 青いもんな
[458.552] ~MISSING_COMMENTER_INFO~: マイナスとマイナスをかけたらマイナスになる珍しい例
[458.584] シキトさん: 今来たんだけど何があったんw
[458.619] n6jttvzox0: お前は進撃するな
[459.755] ゆちちちち: いつものことか
[459.804] sinse0911: わこらだ〜!!!!!
[459.889] iruka_0630: 変態仮面みたい
[459.892] すわずし: だよね
[461.254] omaru_ssr: あ
[461.351] (S)muuuui7: あ
[461.373] mitora2916: あ
[461.457] nanadefo: 駆逐しないとアカンよ
[461.472] (S)amedama_0525: さすが
[461.486] mo_coa: あ
[461.497] きっこまん: あ
[461.505] am4kumo: あ
[461.523] dilofo01: ジャンプの表紙の端っこでもいいから写ってほしい
[461.529] 嶺胡: 駆逐してやるよ
[461.575] ruin0608: 駆逐しなきゃ…w
[461.591] わばぬん: え、
[461.595] りゅい: あ
[461.599] roy_rag: あ
[461.643] ずうちゃ: あ
[461.722] (S)nonoil_: らっだぁはもうグッズ詳細見たの？？？？
[461.727] ららら0913: radaoRIP
[461.808] こだま15: あ
[461.834] ドらコアら: 口臭い？
[461.854] (S)peng1130: どこ攻める？YouTube？
[461.879] (S)yamamurame: あ
[461.932] Ichigo_Strawberry15: あ
[462.115] せっきくん: あ
[462.177] dia11313: アルミンに食べられるね
[462.228] うもうくん: あ
[462.231] (S)f_ukuchan: え
[462.272] (S)suiten_: あ
[462.310] (S)つむじのきもち: あ
[462.346] kanio319: 解釈一致
[462.418] nakihai556: あ
[462.711] mizuumi_3: あ、
[462.766] 神崎立夏: あ
[462.793] いのりさん: あ
[462.794] sinse0911: radaoHi
[462.817] nostalgic8451: あ
[462.914] たか野: あ
[462.916] anp01008: わこらだ
[463.771] (S)りかお: りかお subscribed with Prime. They've subscribed for 11 months, currently on a 1 month streak! わこらだ何これ？
[464.966] Gomichandovuti: あ
[464.981] gorillameronpan: あ
[465.006] (S)はっる坊: あ
[465.043] (S)おるがのる: あ
[465.065] (S)amanooomikami: あ
[465.084] (S)レロキャン: あ
[465.087] suisamadazo: ネタバレやめてください
[465.103] (S)ドミノくん: あ
[465.117] suiha_7: あ
[465.157] (S)ぎょろっとみかん: あ
[465.178] (S)kuugay0905: あ
[465.184] (S)tanakanburitya: あ
[465.185] ozokunchan: あ
[465.213] (S)shinooo_n: あ
[465.316] (S)ankoro0825: あ
[465.705] ずーねちゃん: あ
[465.775] ピース_146: あ
[465.798] (S)わらず: あ
[465.802] shooo818: あ
[465.806] yabuki___: あ
[465.814] Haruka_26: あ
[465.822] Turtle2465: あ
[465.824] natubatch: あ
[465.827] otyaba_808: あ
[465.831] (S)タキ: あ
[465.843] (S)おかチャン: あ
[465.897] MORIYA_37: あ
[465.906] コニー眉毛: あっ
[465.912] きょうちゃん01: あ
[465.913] (S)御白湯: あ
[467.988] myuu2001: あ
[468.010] (S)小豆太郎: あ
[468.016] (S)ankoro0825: え？
[468.074] 冷や茶: あっ
[468.085] shiroinuno_roa: あ
[468.097] ~MISSING_COMMENTER_INFO~: あ
[468.102] (S)siro_wara: あ
[468.151] tirimen_2: あ
[468.162] (S)ウツル: あ
[468.166] こけしやん: あ
[468.191] t_neko_t_: なーんちゃって
[468.194] (S)hotarusuki: あ
[468.196] toraban6: あ
[468.204] (S)ライチ31: あ、
[468.206] truthdayo: あ
[468.737] RamuneAme1111: あ
[468.751] ずうちゃ: ネタバレやめてください！
[468.773] hakurow_0104: セーフ
[468.782] ssss_ms: あ
[468.789] 揚げたこ焼き: えっ
[468.794] 9a_ta: あ
[468.848] nerogatto13: あ
[468.860] akaihi: 何年前だよw
[468.886] yuz_266: あ
[468.887] 黒糖ブドウ糖: あ
[468.887] そふぃ3: あ
[468.895] めめんと森鴎外: あーあ
[468.902] saku_rr01: あ
[468.914] うどんぱん: あ
[471.054] hirock430: あ
[471.080] st_yomogi324: あ
[471.108] すわんこふ: あ
[471.146] sakamotohyuga: あーあ
[471.253] (S)にわすずめ: 勘違いだよなぁ！？
[471.286] if0990: ネタバレですか？
[471.300] (S)あのまの: ベルトルトだね
[471.466] kelutan_1128: あ
[471.469] (S)inkainohea: あ
[471.535] ハル_ｮｮ: あ
[471.556] マスクさん: 読むなよそのコメ
[471.561] にゃご崎: あっ
[471.598] (S)つむじのきもち: そうだよ
[471.612] waka_000: あ
[471.640] suiha_7: はい 終了
[471.725] ryule_rv: あ
[471.786] tsuyuki77: あーあ
[471.809] merongo_1023: あーあ
[471.903] muu_rika: あ
[471.916] tonosan37: あーあ
[473.984] ハロゾア: 鬼干クラン subscribed at Tier 1. They've subscribed for 17 months! 
[474.100] (S)mimipaadesu0428: あ
[474.112] mikan331: あーあ
[474.121] らみせ_0626: あ
[474.172] みやこ27: あ
[474.173] curyyyyyyy_rice: 罪
[474.175] れいんくんだよ: あーあ
[474.187] (S)sushita1120: あ
[474.226] (S)lemon199y: 遅すぎだろｗ
[474.326] スパアイ: 草
[474.359] (S)shunmin_914: なーんだ
[474.364] ゆちちちち: あーあ
[474.440] りりあ1111: あーあ
[474.468] suiha_7: あーーあ
[474.542] バッサノ: radaoHi
[474.743] drem_chan: そうだよ
[474.804] tomu317: あーあ
[474.824] asparagus78: あーあ
[474.856] Hamutyaro_126: あーあ
[474.861] 89u_u: あ
[474.863] kuromonnn: は？
[474.875] kusunoki1333: あ
[474.918] magaos_753: こーれネタバレです
[474.921] ふれーく: あ
[477.147] sjindoa: あーあ
[477.159] エイさん: そんな奴がコラボすんなw
[477.180] panndaman1: あーあ
[477.192] うがら: あ
[477.226] darumakihico: あ
[477.248] 恭華: つまりリスナーは駆逐する側か
[477.252] たこわささん: トレンド入り
[477.272] nano_m_: 怒られる
[477.352] そいる_: ベルベル
[477.357] (S)らいるさく: じゃあいつもの事か
[477.360] なつ1111: あーあ！！！！
[477.361] (S)ないくゲーム: は？
[477.377] (S)にわすずめ: なんなん？？
[477.391] (S)hina___4: おーいおい
[477.646] ずつうがいたい: ネタバレだ
[477.700] kurono1022: あーあ
[477.750] (S)ko_do_1123: じゃあアルミンや
[477.826] ekatensan: おー
[478.042] らみせ_0626: は？
[478.047] 夢現: ネタバレやめてください！
[478.096] れおあつ: 文字通りでっかくなったな
[478.148] なめらか: そうなの？
[478.208] わぐわぐわぐ: おい
[478.210] shirororororo08: あ
[478.224] むぅ_0413_: なんだよ
[478.227] Ichigo_Strawberry15: 悪魔の末裔が！根絶やしにしてやる！！！
[478.275] (S)けーつぐ: マジで知らなかったんだけど
[478.411] (S)とんぼむ: あーあ
[478.551] akashia0422: 萎えた
[478.639] ららら0913: ネタバレですか？
[478.704] ﾏｲﾁｮ: あ
[478.709] うたさゐ: あ
[478.735] (S)ハチストック: なんやねんｗ
[478.736] (S)ドミノくん: ネタバレかぁ...
[478.758] denou777: マジで？
[478.768] ふくうう: マジでパンツかぶってるようにしか見えん
[478.783] moshimo00: あ
[478.785] toofu_93: は？
[478.805] chiwawaheart: まじで？
[478.834] oreoreo5: あーあ
[478.861] あちゅんぬ: あ？
[478.889] okami0704: なんだよ
[481.067] Ishio_62113125: ネタバレやめて
[481.133] yukimaru0501: あ？
[481.166] (S)muuuui7: は？
[481.203] perseus7000: は？
[481.226] (S)nakaji00: カス 
[481.242] シュメール人: は？
[481.317] yuki_mei26: あ-あ
[481.320] shu_piiiiiii: なんなん
[481.322] uraranr: なるほど？
[481.367] らみせ_0626: くそ
[481.373] 守柚: は？
[481.469] (S)Nemu_ru_zZ: なんだよ
[481.508] ponzu_nomitai: あぶねー
[481.581] (S)toro_0317: あーあ
[481.682] dia11313: あ
[481.712] (S)tokai_no_kuma: 鼻塩塩
[481.717] yuasee: あーあ
[481.753] いのりさん: よおアルミン
[481.819] charcy___: 脊髄液よこせ……
[481.829] 雪狐0143: こーれネタバレです
[481.919] halu261524: あ？
[481.923] (S)shinooo_n: なんだよ
[482.010] kusunoki1333: ごめんね
[482.147] sintara12: かえる
[482.248] 王子かけご飯: なんだよ
[482.254] akita_210: なんやねん
[482.294] potetireenu: なんだ
[482.629] (S)ラムネ味: は？
[482.658] (S)odangotiyan: アルミンだよ
[482.698] ハル_ｮｮ: なーんだ
[482.707] (S)tokumeikibou_t: こーれネタバレです
[482.708] ぎゃうすけ: ごめん
[482.751] imagabell: なんだよ
[482.762] そふぃ3: あ、ふーん
[482.764] mugisan1221: なーんだ
[482.792] tokitoki1221: おい
[482.811] ただのおばけ: は？
[482.819] hotallu_42: gutituStrike
[482.850] geligamesh: はい
[482.851] ura__5: w
[482.857] タス乗り初心者: なんだよ
[482.924] 野生のたんぽぽ: あーあ
[484.223] (S)yamamurame: これから読もうと思ってたのに....
[484.306] 赫原海雷: は?
[484.330] YodoRa: おいつるし上げろ
[484.400] あおみどろん: あ
[484.435] (S)ないくゲーム: なんだよ
[484.470] narumi_1111: ひ？
[484.472] 877kuskus: ネタバレだw
[484.623] waaaaahco: 完全にネタバレ食らった
[484.641] りさせん: ネタバレです
[484.686] danzumin: アルミンって聞いたんだけど？
[484.690] (S)レロキャン: あー
[484.731] みゅう_818: マウント
[484.758] 恭仁: 数量限定はえぐいって
[484.946] (S)yuru_2222_: radaoKasu
[484.959] raru25: なんやて
[485.086] rnm00: ネタバレ辞めてください
[485.090] yuki_mei26: あああ
[485.112] ~MISSING_COMMENTER_INFO~: ごみ
[485.246] ねこねこお嬢: ネタバレやめてください
[485.341] (S)はっる坊: ネタバレされました。もう進撃の巨人見る気失せました。
[485.472] saku_rr01: なんだ
[485.472] あらんえむかーびぃ: 売るのか今ここで！？
[485.478] citron__xx: 進撃みてないからあんまわからんけど買う
[485.516] shironos0720: っち
[485.571] karen2891: なんなん？
[485.588] 小トロ: あーあ
[485.713] ぎゃうすけ: ごめんね
[485.713] suna0056: コラボなのにしらんほうが問題やろw
[485.720] raifu0_: リスナーが駆逐すると
[485.727] Ishio_62113125: ネタバレやめてください
[485.846] などない: あ？
[485.858] motyar_6989: 今さらすぎだよ
[485.878] ひなたやで: は？
[487.245] (S)kuronowa2525: あ
[487.308] りこぴんｽ: なーんだ
[487.323] あきまる4649: 拾うなよ
[487.447] shilva_0: ね
[487.719] runa_1226: じゃあ良いじゃねぇかw
[487.751] kohu_u72: あー、、
[487.771] hima_norita: ね
[487.820] めるまろん: そしてチャンネルがなくなりら民が次第に消えてった………
[487.864] chitose0917: 拾うなや
[487.915] タケダ黒胡椒症候群: radaoCry1
[488.017] umino_p: あーあ
[488.098] 都さむらい: 顔面ぐちゃぐちゃやん
[488.132] たか野: 他人事
[488.255] ぎゃうすけ: は？しねよかす
[488.303] るらま: マウントとるな
[488.315] marble1121: は？
[488.479] やえぎ: ネタバレだ
[488.690] okomemoti: らっだぁ全裸ってこと？
[488.715] (S)amanooomikami: アニメ未履修です4ね
[488.738] t_reo_t: 鼻☆塩☆塩
[488.757] (S)takepanda04: お前はライナーだろ
[488.866] kuroba0921: やるんだな？
[488.917] emilu1765: じゃあアルミン？
[488.950] remo_ne: すごすぎ
[488.955] halu261524: は？
[489.189] narumi_1111: はあ
[489.357] sabakan0207: 1匹残らず...駆逐してやる...！by鍵穴
[489.409] ららら0913: ネタバレやめ
[489.495] はー_0930: 粕
[489.515] akakuro324371: ウザ
[489.632] kiba_1129: また敵に回したな
[489.683] kelutan_1128: アルミンは男なんですか！？
[489.697] ponzu_nomitai: ねー
[489.859] (S)ベニマル: すごいね
[489.925] なゆーた: おい
[490.347] yumuna19: 禁句禁句
[490.352] (S)ログリア: 鼻塩塩
[490.499] ruu_ha: 他人事やな
[490.559] とぅえん: やるんだな？らっだぁ！今ここで！
[490.623] yuasee: ねー
[490.642] ケロピ蛙: ガチっぽい言い方上手ですね
[490.688] mika_2512324493: ネタバレやめろください
[490.716] sakuteru18: えぐ
[490.718] dng224: 呼んでてそれ？
[490.728] Nazuna_GI: アルミンに決まってんだろ
[490.789] fuu___1207: 巨人の姿このサムネのやつ？
[490.947] (S)siwanasi: かす
[490.967] りりあ1111: ねー凄いね
[490.991] vanillacat1116: お前が始めた物語だろ
[491.007] charcy___: 脊髄液寄越せ……
[491.029] (S)peng1130: ね
[491.161] tetsudohzoi: radaoHi
[491.183] nico_cyan: ね
[491.276] aoi_0902: ネタバレじゃん今呼んでんのに
[491.311] mirumiru_h: 凄すぎだろ
[491.442] (S)mijyu2525: 待って！まだ私の物語始まったばっかなの！！！
[491.667] tsuyuki77: その一言がなかったらわからなかった
[491.790] peaaaaaaaace: 笑
[491.930] (S)oreo_oic101: あれ
[492.030] Qyumixu: はぁ
[492.062] nya_san37: えぇ！？
[492.110] 瑠壱: だろうな
[492.236] yuz_266: 険しい顔してんね
[492.341] yukio_no1: 巨人って人なの？
[492.433] pino__2525: 進撃の巨人って向こうから提案されたの？
[492.539] せっきくん: だろうな
[492.565] geboku__m24: 配信来てこれクソ笑うわ
[492.600] mamama03: 有名になっちまったな
[492.667] shake_910: 来年またアニメ始まるから見ろよ
[495.726] itoyu_62: おお
[495.812] suiha_7: えええええええええええ
[497.733] kamiyu0306: へー
[497.758] いのりさん: すげえ
[497.775] ウォルフ_: すげー
[497.884] (S)らあくちゃん: ま？
[497.916] かわたぱの: だろうな
[498.194] hotoginikka: へー
[498.228] shilva_0: おおおおお
[498.280] ayame186: 脊髄
[498.321] みりンゴ: すご
[498.355] かりんりんだよぅ: だろうなw
[498.421] (S)okappameganee: へー
[498.424] sarusaru3636_z: へー
[498.435] (S)ドミノくん: www
[498.450] luno_snow: ガチすごい
[498.492] YodoRa: だろうな
[498.807] rgwn27: すげえ
[498.828] milk__lemon: おー
[498.850] ﾅﾏﾁｬ: さすが
[498.854] moshimo00: えぐwww
[498.885] (S)koharapi: え
[498.900] heuchera_617: すご
[500.138] ~MISSING_COMMENTER_INFO~: ええええええええ
[500.149] sakuteru18: すご
[500.173] (S)括ｯ弧: 今読んでるのに
[500.193] ponzu_nomitai: 見たことないもん
[500.194] (S)とんぼむ: 多分パーカーは22000円かな？
[500.194] yuuuuuuuuna: すげぇ
[500.240] (S)kuugay0905: まじ！？
