[18.565] ゆかりんりん: わこらだ！！！
[296.799] (S)nasino_123: 出た人外
[296.875] mero_dy0: 哲学？
[297.031] (S)Setiara: 小並感w
[297.267] PEI_OwO_: そっからねwwww
[297.293] haku1219: わこらだ
[297.998] Chico_19_03: でた人外発言
[298.073] ふれーく: 深夜あぺってマジ！？
[298.078] hana3856: 泣いてるの？
[298.322] ゆち888: まじかよ
[298.784] koujoku: crカップか
[298.813] 雪華0830: あーね？w
[298.950] nanacW: 競技性が高いよね
[299.176] neko1159: わこらだ
[299.373] aya3tori: 人外発言？
[299.445] nobinobi15: 神秘的な話する？
[299.991] (S)つきみー: 人外目線？
[300.169] 五色椿: そっか
[300.265] たっかー: 推しチームは？
[300.272] (S)himikokichi_06: あーね
[300.905] sakiritu: でた人外
[301.002] ryuryu_ryu: わかる
[301.034] ichibuno_b: マジですごい
[301.304] 夜の星海: へぇ
[301.713] katoha_desu: 何時までするん？って
[302.044] 0to___: 射撃訓練場のダミー動かせるの知っとるー？
[302.251] んさく: wwwwww
[302.252] めびい: すごいしかいっとらんぞい
[302.497] kanadadao: 語彙力
[302.921] (S)ameringoame: 語彙力w
[302.987] (S)netaiyo: 哲学ね
[303.092] おへそ: Lazさんうますぎ
[303.310] (S)lumaguron: radaoWakotu
[303.321] niina_0217: わかる
[304.426] ayatakaayaya: By人外
[304.644] arusain: ヴァロやらんのかいwww
[305.631] rito1725: あーね
[305.849] konnpeitou: 1週間しかチームで活動してないのにな
[305.936] (S)ぱんだぁぁぁ: 絶対、うるさいやんw
[306.081] ライズ0: 唐突に悟り開かないで
[306.196] もちまるた: わかる
[306.282] katagiriharu: ほんとに凄かったからねー
[306.311] (S)kurono1022: 確かに
[306.445] さかなのひと: クラッチクイーン凄かった
[306.453] (S)jima922: どうした、真理の扉開いたか？
[306.524] koshiankoOUO: でしょ？
[306.653] asaborake0408: lazさんはＡＩだから
[306.705] yuna012707: そうだね？
[307.175] 100トン: 人外くん
[307.269] chamsx7170: なんてゆったん
[307.380] Unsugar_26: 雑談だけで終わりそう
[308.042] (S)なーぽん: うん()
[308.138] mikan_san: うおおおおおおおって？
[308.730] 6v_metamon: 人外から見た人間はすごいか？
[308.875] 0to___: あーね
[308.939] あおぞら公園: あーね
[309.486] しなやかしょうゆ: ー
[309.561] neru0451: わかる
[309.749] つなまる: マジで声出る
[310.053] おやじちゃん: でるよ
[310.259] (S)ゆきとよ: そっか…
[310.854] kimitya: radaoNice
[310.986] (S)もうねむたくないよ: ゔぁろの大会は出る
[311.090] ごり之すけ: ロケリは見た？
[311.156] きのここ: うるさそう
[311.295] (S)mochimochiku: 日本語お上手ですね
[311.466] (S)mattyarate113: わかる
[311.466] dloveda: らっだあがCRカップ出てくれたから、eスポーツにハマれた
[312.259] hapimoto: わかる
[312.653] utayori: 俺も1人で拍手してた
[313.408] 五色椿: 出る出る
[313.447] (S)nin__zin202: 草
[313.659] らふれ: わかる
[314.035] (S)ねこすず: あー、わかるわ
[314.214] なぎさん39: 大会後の通話はグッとくるものがあった
[314.545] 白の六号: わかる
[314.831] ペンシルベニア州: やば
[314.906] yuimo_1823: www
[315.051] raisiro: それはみんなそう
[315.175] mikan_san: wwwww
[315.388] tanuki_pan: うおおおおおお
[316.157] nokkonk: どんな感じだったん？
[316.175] のぴ_: わかる叫ぶよな
[316.389] kanadadao: 青鬼だからねらだは
[316.813] noe_215: 恥ずかしいよ。
[316.855] asaborake0408: あれは出る
[317.023] もふ_00: わこらだ
[317.809] yuity_: どっち応援してたの？
[317.953] mark08_nk: 泣けるよぉ…
[318.040] dloveda: さけんだ
[318.871] aisathank: ほんとそれ
[319.592] 夜の星海: 草
[319.805] ryuryu_ryu: クラッチやばかった
[320.339] koujoku: 誰の見たんや
[320.955] miracle0218: 一戦目の最後が声でた
[321.339] neru0451: ｗｗｗｗｗ
[321.552] めびい: こわ
[321.961] (S)matchamochi117: w
[322.091] kkotarou1204: 分かる
[322.215] PEI_OwO_: それわかるww
[322.369] torafuku59: 正体あらわしたね
[322.844] (S)nattoniboshi: 草
[323.131] (S)ぱんだぁぁぁ: www
[323.589] _こっぺぱん: わこらだ
[323.763] yururano_0: わこらだ～
[323.838] (S)しゃぼんだま: あれはさすがに声出る
[324.160] くらむぼむ: ああいうの羨ましいよなボッチだから
[324.178] 2123runa: 草
[324.292] 梨一: ｗｗｗｗ
[324.437] honehone_2: wwwwww
[325.120] 猫雪: わかる めっちゃ叫んでた
[325.198] mina_0607: www
[325.251] (S)hanyuneko10: wwwww
[325.329] (S)こうか: ｗｗｗ
[325.377] (S)をぺ: wwwww
[325.379] ruu_ha: wwwww
[325.649] cloverya: wwwww
[325.654] すいぺりあ: うおおぉw
[325.868] (S)Setiara: 近所迷惑w
[325.902] んさく: wwwww
[325.936] sunomono8: wwwww
[325.998] (S)akaneko_2232: お前ほどではないやろ
[326.097] pvanillaice: 釈迦の配信見てたでしょ
[326.291] ryuso1012: おい
[326.314] mo_mose: ｗｗｗｗ
[326.500] prpr_friedrice2: wwwww
[326.713] chamsx7170: らだお、そんな声でるんや
[326.768] (S)露木ロコ: 草
[326.969] (S)sofutokurimu: うぉw
[327.103] jolevre: www
[327.247] (S)mattyarate113: ブーメラン？？
[327.345] パッック: 想像できる
[327.410] 五色椿: www
[327.415] taich35: ｗｗｗｗｗ
[327.466] hapimoto: 辛辣
[327.677] アストモ: wwww
[327.703] enpt___qmq: wwwww
[327.827] きのここ: wwwww
[328.079] (S)なーぽん: 奥さん来なかった？大丈夫？()
[328.089] medo_710: 奥さんになんか言われた？
[328.119] ぽたまる: パナマミシェル subscribed with Prime. They've subscribed for 5 months, currently on a 1 month streak! 
[328.205] tanuki_pan: 怒った
[328.452] orange_6003: あれは声出る
[328.534] okasi_tabetai: 楽しんでるね
[328.617] 夜の星海: いつものお前の方がうるさい
[328.666] おへそ: 全員声出してたぞ
[328.818] fuuwata: 世界大会見てほしい泣けるよ
[328.826] (S)ねこすず: wwww
[329.100] (S)himikokichi_06: wwwww
[329.737] yossii63: ヤバいやつ
[329.936] サニーゴ: どっち応援してたん？
[329.949] スカイウリ: wwwwwww
[330.188] ゆち888: wwwwww
[330.188] ルロア: wwwwww
[330.217] SHIROMA_468: 想像できる
[330.748] (S)コモてや: wwwww
[330.839] PEI_OwO_: 手叩くよねwww
[331.223] (S)nin__zin202: 草www
[331.974] いのりさん: 突然喋りだすオクタビオ
[332.207] mikan_san: あ
[332.558] (S)みそギン: wwwwww
[333.147] (S)ruchi_13: せやな
[333.558] (S)yona_0724: www
[333.771] なぎさん39: wwww
[333.776] pu_tyan: www
[334.139] nobume0v0: wwwww
[334.267] gobooodooo_510: あちぃ男だなぁらだお
[334.463] wasabi_1234: ノアのクラッチは手叩いてしまった
[334.480] Chico_19_03: wwwww
[334.916] raisiro: せやね
[334.956] tarou_kakio: わこらだ
[335.717] yuna012707: 臭
[335.805] (S)an_do121: w
[335.862] もちまるた: のあさんのクラッチえぐかった
[336.018] L_latte1202: わこらだ
[336.213] nokkonk: 見てみてー
[336.222] (S)sofutokurimu: www
[336.242] konnpeitou: www
[336.250] oo1016: やめたれよ
[336.404] (S)Setiara: www
[336.422] ギンナン: ww
[336.567] yuimo_1823: wwwww
[336.793] lara_3o: wwwww
[337.275] (S)なーぽん: 喋るんだwwwww
[337.527] よーーひ: ジャスパーさんまじですごかった
[337.759] SHIROMA_468: wwwww
[337.794] utayori: 賢い
[338.132] ひのした: w
[338.228] (S)marimoko6231: www
[338.247] hana3856: wwwwww
[338.351] kkotarou1204: www
[338.950] syumawok: wwww
[339.075] enpt___qmq: やめたれよ
[339.577] (S)moppy_1955: わこらだ
[339.609] 五色椿: あ
[339.714] (S)しなと: 雄叫びやん
[339.849] めびい: っw
[340.069] shiba_retasu73: w
[340.146] ゆうがり: よくたえた
[340.290] 村長の孫の嫁: わこらだ
[340.351] ぴーやぽう: あぶねぇ
[340.546] left_2_10: 草
[340.644] (M)Nightbot: らっだぁ切り抜きチャンネルはこちら→https://www.youtube.com/channel/UCh-qC7-Ru8a54apFdHnASsA/
[340.765] 0to___: かわいそすぎるwww
[340.999] rito1725: www
[341.035] (S)kurono1022: www
[341.705] tanuki_pan: 炎上ソムリエ
[341.980] (S)mizuhashi_2323: radaoW
[342.507] PEI_OwO_: wwww
[342.766] なぎさん39: ガチ勢やん
[342.871] (S)ねこすず: やめたれ
[343.376] ogi_3: 釈迦さんみてたな
[343.584] limg23: ん？だれの配信?
[343.752] ishicoro_coro_coro: w
[344.387] (S)himikokichi_06: のあさんのクラッチ凄かった
[344.464] (S)コモてや: オクタン泣いとるぞ
[344.527] (S)akaneko_2232: さすが炎上ソムリエ
[344.550] 6choco2: wwwww
[345.022] sakutaro_xyz: Noahさんのクラッチで声出たわ
[345.734] (S)panndaman1: wwwww
[345.920] (S)Setiara: それはそう
[346.596] oo1016: それはそう
[347.294] おやじちゃん: どっちかと言うと？？
[347.599] (S)おさけチャン: オクタンかわいそう；
[347.812] スカイウリ: あぶないねぇw
[348.060] kimitya: CRカップってなんの大会なの？
[348.330] (S)an_do121: やめたれw
[348.339] (S)hana1016: むちゃ激アツだった
[348.347] gobooodooo_510: wwww
[348.494] さかなのひと: wwww
[348.583] (S)ameringoame: wwwww
[349.409] asaborake0408: 正解
[349.615] ryuryu_ryu: www
[349.866] yuna012707: どちらかと言うと？
[350.078] kkotarou1204: 急に辛辣w
[350.906] washhanako: wwwwww
[351.037] naonaomeow: 最下位のチームに決まってんよなあ！？
[352.558] (S)taito001: わこらだ
[352.763] cogetaoyu: じゃっさん見てたやろ
[352.872] koronn1101: わこらだ
[353.468] (S)yona_0724: 配慮〇
[353.685] (S)sofutokurimu: すごいな
[354.641] itumi434: 終わった後の通話でもらい泣きした
[355.812] enpt___qmq: さすが炎上ソムリエ
[356.547] ぴーやぽう: ﾉｱｰのクラッチは沸いた
[357.562] おへそ: 配信歴長いと上手く立ち回るじゃん
[357.762] shootopiisu0202: うぽらだ
[359.199] ryuryu_ryu: それ
[359.269] つなまる: のあちゃんすごかった
[359.813] koshiankoOUO: 炎上回避
[360.024] takenokoooo__: 世間体 気にしすぎやろww
[360.496] remamura: のあさんすごかった
[361.084] mikan_san: あれすごい
[361.113] maka918: どこのチーム好きだった？
[361.517] tomamama1010: わこらだ
[361.720] kero_ppi1: わこらだ
[362.065] (S)こうか: あれ熱かったね
[362.123] miracle0218: びびった
[362.762] めびい: 角が立つんやなw
[363.038] みどふぃ: それ
[363.289] yuna012707: 強いて言うと？
[364.031] (S)銀河ポテト: でた
[364.719] くらむぼむ: あれえぐかった
[365.698] (S)Setiara: あれはすごい
[365.893] きのここ: あれすごかった
[365.937] kkotarou1204: 気遣い◎
[366.092] honehone_2: 熱かった
[366.565] nashu_noike: あれ熱い
[366.889] 猫雪: ないすーって叫んじゃう
[367.930] dora5555: あれやばかった
[367.936] (S)himikokichi_06: まじ凄かっわた
[369.319] さかなのひと: のあさんまじつよ
[369.439] sakiika0w0: わかる
[369.458] おやじちゃん: 神フリックえぐかったね
[370.659] (S)shiden045: あれえぐい
[370.762] (S)ruchi_13: 凄かった
[370.856] (S)ponnta0810: あのスライドやばい
[370.883] takenokoooo__: takenokoooo__ subscribed at Tier 1. They've subscribed for 13 months, currently on a 13 month streak! 
[371.651] ガウガウくん: 俺はわかるwどっち応援してたか
[372.638] (S)ameringoame: あー
[373.120] tenn0511: ひろんと熱かったー
[373.245] sakiika0w0: でた
[373.913] みどふぃ: まじで手たたいた
[374.452] jasminesana: あれはやばい
[374.794] あだちたろう: あれえぐいね
[374.809] なぎさん39: つまりどっちか応援してたということ
[375.220] えならん: のあちゃんやばい
[375.311] (S)an_do121: わかる
[375.382] asaborake0408: マジで熱かった
[375.771] 音夢: 見てないんだけどどんなだった？
[375.891] (S)みそチョコ: あれやばかった
[376.015] (S)kurono1022: あーね
[376.394] りんごまめ: わこらだ
[376.901] tenn0511: やばかったよね
[377.325] syuria10y09: のあちゃんやばすぎた
[378.074] utayori: 釈迦さんのそれはダメでしょってやつ好き
[378.077] 濡れた猫: わこらだ
[380.180] 256番: えぐかった
[380.443] aisathank: わかる！叫んだ
[381.099] PEI_OwO_: 分かるあれ鳥肌もん
[381.211] murasaki_chan: あれ激アツ
[381.907] 6choco2: やばかった！
[382.217] dloveda: ﾉｱｰ
[382.239] (S)Setiara: 神だった
[382.782] さかなのひと: あれは脳溶けた
[383.222] (S)りょうきち: うぉぉぉぉ！ってなった
[383.434] kkotarou1204: あれえぐい
[383.499] hakomira: かっこよかったなぁ
[383.987] しゃしゃかま: あれえぐい
[384.056] yuna012707: それな
[384.126] itumi434: あれは凄かった
[384.466] (S)ねこすず: やばかった
[384.742] さらしゃ: わこらだ
[385.864] おへそ: つまりそっち応援していたと
[386.094] (S)ponnta0810: しかもラスボス相手にね
[386.715] koujoku: 鳥肌が立つ
[386.907] (S)negishio___: あれすごかった
[387.138] (S)taito001: らっでぃヴァロやらんの？
[388.143] めびい: うほって？
[388.287] 8分19秒: エイム良すぎる
[389.155] もちまるた: プロに初心者枠の方がエイムで勝ったのやばい
[389.398] run_no11: のあちゃんほんとすごい
[390.134] ryuryu_ryu: 見てておもろい
[390.163] yuimo_1823: ロケリ見とったなぁ
[390.667] (S)みそチョコ: よく取れたよな
[390.841] (M)Nightbot: サブスクdiscordの入り方はこちら→https://twitter.com/rader2525/status/1167079316754067456
[390.890] あおぞら公園: わかる
[392.460] hakomira: えもかった
[393.037] (S)キリン_: ぶいすぽすげぇ…
[393.275] koshiankoOUO: 脳汁えぐかった
[394.066] (S)kurono1022: 確かに
[394.236] (S)ねこすず: スマホ投げたわ
[394.269] あおぞら公園: ﾉｱｰ
[394.685] kanadadao: まじで凄かったあれは
[395.921] やし_: あれで初心者枠だもんなー
[396.153] dloveda: 見た方がいい
[396.750] hana3856: アーカイブ見るわ
[396.850] raisiro: 実況ガチでおもろいよな
[398.281] なぎさん39: 鳥肌もんだった
[398.479] sakutaro_xyz: もっと淡々としたゲームだと思ってた
[399.217] venibear3466: あとてみるわ
[399.332] (S)ありちっ: みにいこっと
[400.778] 8分19秒: ロケリの大会も見てな
[401.489] yuity_: 脳汁出た
[401.564] Chico_19_03: 脳汁
[401.738] せぐま: ヴァロ分からんけど見てて興奮したわ
[401.777] (S)Setiara: 見てて凄い楽しい
[402.010] su_gar__25: ロケリみた？
[402.370] (S)銀河ポテト: のあちゃん泣いててつられた
[402.579] あだちたろう: 切り抜きとかもあるから見てほしいね
[402.768] pontanu87: クラッチキングからクラッチ取るのヤバ過ぎんよ
[402.910] jasminesana: ヴァロわからんくてもすごかった
[402.991] 角角家: うんごめんロケリ見てた
[403.243] (S)ぷ_る_た_ぶ: じゃあヴァロやろ
[403.451] tasopoyomaru: カスタムはほとんどみた
[403.508] まりぃくん: わこらだ
[403.800] katagiriharu: ヴァロもほんとに頭使うー
[404.612] tenn0511: わかる
[404.778] えならん: のあちゃん始めて1週間らしいね
[405.821] nopisan: わこらだ
[405.880] beat6767: 専門用語はわからんけどおもろい
[406.101] めぐを: めちゃくちゃ熱かった
[406.654] すいぺりあ: 初めて一週間なのにあれはすごい
[407.908] (S)mochimochiku: すまねぇけどロケリ見てた
[408.157] akikaze_farin: らっだぁ出るんだったら見るんだけどね
[410.329] puriiiiiiin424: ヴァロラント見てて最高に楽しい
[411.214] dhango0430: ヴァロは体力低いから立ち回りがめちゃ重要だしね
[411.936] nehar_maki: Lazさんの方みてて気づいたけど読み要素バリバリあるんだね
[411.940] hakomira: らっでぃはどのくらい強いの？
[412.157] ほのぼの: 自分も叫んで親にうるさいと言われたわw
[412.283] mikan_san: 100点満点だよ…
[412.397] なぎさん39: アーカイブありやす
[415.027] でんぶ: 最高にあつかった
[415.055] (S)ありちっ: ロケリ見ててヴァロ見れんかったわ、あとでみる
[416.147] サニーゴ: 分かるとおもろいよな
[416.506] 256番: スクリムは見たの？
[417.355] ykun313_: ロケリ見てたんよ
[418.392] michio0106: 脳あったの？
[420.819] 雪華0830: 成長がすごいんよ、のあちゃん
[422.143] 36maru: 完全チーム連携ゲーだからむずそう
[423.670] kazusuna: わこらだ
[425.271] くらむぼむ: 最後恭ちゃん泣いたの分かったときの皆の涙腺爆発感ヤバかった
[425.742] 敵の敵の味方: ヴァロまじスポーツ
[426.430] maka918: めっちゃ熱かったけど見てるだけでいいかも
[427.620] でんぶ: 見てると場所の名前もわかってくる
[427.852] tunamayo1234: わこらだ
[427.991] konoha_aocha: わこらだ
[428.664] hotallu_42: ロケリ見てたからあとで見るわ
[428.889] (S)naonyao_04: 初めてまともにヴァロ見たけど熱すぎて泣いた
[429.126] yoshi4949: 釈迦見て泣いたわ
[429.649] (S)kurono1022: 初心者者でも、できるってとこ見せてくれたよね
[430.756] マサひく: 昨日のは見たの？
[431.083] mikan_san: そこら辺もっと分かるようになったらおもろいんやろな
[432.078] _もちもち_: わこらだ
[432.911] (S)もうねむたくないよ: 武器も可愛いしな
[433.394] しゃあろっく: 胡桃のあさんもしょしんしだったもんね
[434.052] run_no11: のあちゃんほんとすごい！
[435.242] mika_1218: わこらだ
[435.353] 夜の星海: えぐいわよね
[435.488] miracle0218: 48kill
[435.999] _こっぺぱん: そう
[436.040] (S)furutto110: 熱かったね
[436.232] katagiriharu: マジチームゲー
[436.319] ryuryu_ryu: 強すぎたな
[436.763] dloveda: やってみたくなった
[436.784] (S)ぜろんろ: 48
[436.994] (S)hana1016: のあちゃん初心者なんだもんな...
[438.081] ks203509: つまりそっちを応援してたと…
[439.434] あだちたろう: ヴァロ全く分からんけど泣いたよ
[439.798] nyanoyu: じゃすすごかった
[440.052] wasabi_1234: じゃすぶっ壊れてたなｗｗ
[440.686] まぐやた: わこらだ
[441.404] (S)naonyao_04: 思いが詰まりすぎてた
[441.771] つなまる: 別次元すぎる
[442.490] yossii63: クラッチがわからない
[442.735] rei_radaolove: わこらだ！
[443.193] でんぶ: 48killえぐすぎ
[443.272] (S)みそチョコ: 初戦やばかったな
[443.728] んさく: やばかったね
[443.981] PEI_OwO_: ヴァロまじ何が起こるか分からんけんおもろいよな
[445.140] noe_215: やば
[445.310] abokadia: わこらだ
[445.892] ぴーやぽう: じゃすぱーさんプロいけるw
[445.952] rin_0505: わこらだ
[446.094] asaborake0408: やばすぎw
[446.330] なぎさん39: 少しでもルール理解して見ると見てるだけでも感動するゲームだと思う
[447.013] あおぞら公園: 48
[447.715] (S)furutto110: はつめさんの成長バケモン
[447.989] nanacW: それがわからなくても暑くなれる
[448.096] jisupeke3: フィジカルエリート
[448.639] (S)nin__zin202: えぐ
[448.821] ykun313_: ヴァロと、ロケリで迷ったからロケリ見たんよ
[448.878] hapimoto: らだおも初心者だからいけるぞ
[449.111] (M)Nightbot: YouTubeにクリップ集を投稿していきたいので、面白かったシーンなどを>>"タイトル"<<をつけてクリップ作成お願いします。画面の右下にクリップ作成ボタンがあります。>>"タイトル"<<を付けて作成してもらえると後でクリップを選出しやすくなります。よろしくね
[449.971] carbonara10: わこらだ 
[450.198] (S)mochimochiku: やば
[450.499] jasminesana: 48キルしてたね
[452.070] hakomira: えぐかったー
[452.710] アストモ: えぐ
[453.557] (S)naonyao_04: 逆転勝ちがクラッチ
[454.632] PEI_OwO_: やばすぎww
[454.789] (S)kurono1022: すごい
[456.591] 五色椿: えぐい
[457.680] ぱぴころな: 今日何戦やる？
[459.057] natubatch: 疲れてて何もする気が起きんかったわww
[459.292] みずい1472: まじ何食べてんだ
[459.676] manmarumeru: わこらだ〜
[459.892] (S)yusan913: わこらだ
[459.913] 夜の星海: らっだぁもヴァロやる？
[460.263] _こっぺぱん: プロのシェリフえぎる
[460.901] dejitari: わこらだ
[461.924] (S)kurono1022: えぐい
[462.351] mochimochi_mochimochi: プロ勢はガチでやばかった
[462.517] (S)こぺと: やば
[462.579] 玉川: RedCoat
[463.802] きのここ: じゃすさんまじでやばかった
[465.078] スカイウリ: 人間なの?その人
[465.205] (S)りょうきち: それはわかる
[465.534] bigdream0321: はよ酔い覚ましてくれ
[465.750] クレイジー田中: さすが闇のゲーム出身
[465.817] kio_1216: kio_1216 subscribed at Tier 1. They've subscribed for 12 months! わこらだ
[467.555] (S)naonyao_04: 人数不利からの逆転勝ち
[468.626] (S)ぜろんろ: らっでぃも俺たちに見せてくれ
[471.309] pls290: 今日はあぺ？
[471.425] おへそ: お前も上手いぞ
[471.576] (S)ponnta0810: ありがとう
[471.605] いのりさん: 俺もお前が羨ましい
[471.924] raisiro: わかる
[472.365] world_kohaku: らっだぁも上手いよ
[472.802] (S)hana1016: らだおも上手くね？
[473.093] enpt___qmq: でもやるのはあぺなんだね
[473.321] dhango0430: そういえばらっでぃはぱぶじの大会とかでたりしない？
[474.319] nehar_maki: 努力もやで
[474.809] もちまるた: あぺで輝こうぜ
[475.252] (S)銀河ポテト: らだおも上手い
[476.260] みずい1472: まじで何食べたらヘッドショットできるん？
[477.247] Chico_19_03: は？らっだぁ うまいじゃん
[477.350] jolevre: らっだぁも上手いよ
[477.362] wasabi_1234: 練習量もえげつないでしょ
[478.079] なぎさん39: らだおもいけるよな
[478.557] 8分19秒: らっだぁ出てたらまた0キルだったね^^
[479.632] ユッキァ: ほぼ読み当てだと思ってる
[480.145] (S)もうねむたくないよ: らってぃもAIM良かったよヴァロ
[480.554] miyako1110: らっだぁも十分上手いよ
[481.685] sakutaro_xyz: らっだも大会出るたびうまくなってるよ
[481.916] nanacW: 練習の賜物ってことでやるかヴァロ
[483.000] たっきーーー: らっでぃも上手だよ
[483.282] pu_tyan: ぽまえも上手いだろ
[483.562] nobume0v0: らっだぁも上手いよ
[483.691] syotokeeki: らだもうまいよ
[484.456] yukkin_rarara: うん
[484.715] 夜の星海: 光になる
[485.126] (S)yusan913: ウズウズすんな
[485.506] miuta_aruru: らだおもうまいで
[486.105] (S)みそチョコ: うん
[486.191] ko___m: らだおも上手いよ
[486.209] kurisuzu: ヘラってるの？
[486.811] つなまる: うん
[487.052] mr_sword893: らだおも上手い方
[487.063] (S)nanami_nati1008: らっだぁも上手よ
[487.276] きのここ: うん
[487.525] (S)ぱんだぁぁぁ: wwwwww
[487.589] くらむぼむ: むしろ炎上
[487.822] (S)ruchi_13: 木っ端微塵
[488.225] (S)ねねねい: 飛ぶぞ
[488.473] run_no11: らだもうまいじゃん
[488.689] (S)コモてや: らだおもなかなか
[488.898] (S)himikokichi_06: うん
[488.954] 箏奈: 跡形もなくなる
[489.057] nemu1006: 努力もだよ
[489.113] (S)shinichan227: らだおもマイクラ勢なら強キャラなのにな
[489.207] rokomoko0415: 練習でしょ
[489.257] (S)shi_n_tou: 努力量がすごいよな
[489.263] shootopiisu0202: バイオレンス
[489.278] rein_sz: ぽまえも逸材やぞ
[489.303] akino77777: エイム置いとくんじゃない？
[489.307] ぴーやぽう: ドッカーン
[489.490] んさく: うん
[490.050] しゃあろっく: 弾け飛びたい
[490.440] ta_tago: なるわ
[490.734] cloverya: そりゃそう
[490.898] Nonba_: ドカーン
[491.050] perrier85note1229: わこらだ
[491.144] いのりさん: もう弾け飛んでるから気にするな
[491.323] でんぶ: 弾け飛ばせてくれ
[491.384] ebinkii: わこらだ
[491.390] hi_oyu: きえるわ
[491.393] PEI_OwO_: らだおもうまいよ
[491.455] maro_72: なる
[491.610] koukoukoy: うん
[491.643] hakomira: あんたもすげぇよ
[491.702] (S)ぜろんろ: radaoMoeru
[491.878] (S)雪代: もうやばい
[492.679] maruta0053: ドッジの才能あるじゃん
[492.933] kazusuna: ぽまえも上手い
[492.982] yukkin_rarara: ビックバン起こす
[493.096] (S)まここま: むしろ弾けさせてくれ
[493.137] ryuso1012: うん
[493.765] _こっぺぱん: 嫉妬で爆散する
[493.800] tokky0718: おまえも上手いだろ氏ね
[493.811] mikan_san: どっかーーーん！
[493.941] ikafly_2828: 飛びたい
[494.027] honehone_2: 多分4ぬ
[494.038] yuimo_1823: ランクで沼しんのか？
[494.386] (S)yona_0724: うん
[494.474] koujoku: やさしい
[494.599] meruizu: うん
[494.641] (S)nin__zin202: なるねw
[494.643] karage210: そうわね
[494.656] sorabosi: 地球滅亡させるかも
[494.721] スカイウリ: らっだぁまだ知らんだけで才能の塊
[494.890] hapimoto: まぁ、片腕片足なくなるわ
[495.149] niina_0217: なるわな
[495.387] nehar_maki: あたるくん.exe
[495.461] タキ: 爆発四散する
[495.544] ruu_ha: らっだぁのace見たいなぁ
[495.609] tanuki_pan: ポーンって
[495.749] ﾁｬﾝすい: らっだぁも上手いよ
[495.783] (S)キリン_: w
[495.954] でんぶ: え
[496.171] world_kohaku: ありがとう
[496.272] 五色椿: 勝手に爆発させないで
[496.298] もちまるた: 各所で花火あがるわ
[496.377] (S)れなぽんぽん: やさしいな
[496.482] (S)Setiara: ぐろいw
[496.886] めぐを: うん
[497.111] (S)なーぽん: うんw
[497.338] (S)銀河ポテト: 弾け飛びたい
[498.039] jasminesana: 爆発する
[498.304] きのここ: 弾け飛ばしてくれよ
[498.340] rindou_03: それはそう
[498.378] ryuso1012: やさｃ
[498.451] (S)yukidaruna: 脳汁吹き出すわ
[498.602] bc_moimoi: うん
[498.620] ryo_ngz: なるほどね
[499.027] asaborake0408: それはする
[499.173] yuity_: 代行してないかを疑うけど
[499.258] raisiro: 同時多発テロなるで
[499.258] がんじん_豆: らっでぃもなかなか上手いよ
[499.270] ゆち888: 逃げるな
[499.550] 五色椿: やさしいね
[499.758] つなまる: あえてね
[500.085] keroppyyyyy: 違う努力だよ
[500.111] (S)hana1016: 爆発する
[500.237] enu_xo: うん
[500.318] kuleimoa: こんばんは、遅い時間からの配信ですね
[500.333] toritomo2751: 否定はしない
[500.339] mei_hisui31: 寝れんから来た
[500.446] スカイウリ: うん
[500.467] (S)shi_n_tou: それはガチで声出るよ
[500.522] syotokeeki: らだもAPEXうまいよ
[500.622] ponharu: わこらだ
[500.680] tubaki__hana: ぽめえもうめえよ
[500.923] (S)hanyuneko10: そらもうそうよ
[500.971] 夢現: ほんまありがとな
[501.384] (S)marimoko6231: うんwww
[501.507] 6choco2: うん
[501.639] syumawok: うん
[501.697] (S)himikokichi_06: ふーん
[502.031] ユッキァ: ありがてぇ、一生しないでくれ
[502.179] hakomira: ポップコーンなるわ
[502.322] (S)kopepe_: 弾け飛ぶね
[502.325] 豊田育斗: やさしい
[502.351] (S)ぷ_る_た_ぶ: そっか
[502.511] cloverya: してくれて全然いいよ
[502.536] sakutaro_xyz: 鼓膜どころか目も敗れるわ
[502.539] (S)さめちーず: 爆発したい
[502.689] Nonba_: 爆散する
[502.879] remamura: そりゃもうお陀仏よ
[503.047] (S)123frisk: 爆散するね
[503.120] (S)ruchi_13: やらかした方が木っ端微塵なるけど
[503.124] (S)nanami_nati1008: うん。操作してるのらっだぁ?って疑うわ
[503.192] issennasyou: 泣くやろね
[503.394] (M)Nightbot: サブスクライブはこちら https://www.twitch.tv/products/raderaderader/ticket Primeの方は無料でスポンサー登録ができます→  https://twitch.amazon.com/prime
[503.748] (S)Setiara: あーね？
[503.817] okasi_tabetai: 適当にこじつけて叩く
[503.831] honehone_2: へー
[503.864] pirokasugg: うん
[503.901] dhango0430: ｱﾘﾌｧﾄｳ…
[504.212] (S)unsan_0904: お前なんて言えなくなる
[504.403] left_2_10: たしかに
[504.444] すいぺりあ: 肘飛ぶ
[504.459] rokomoko0415: 弾け飛ばせてくれよ
[504.662] (S)コモてや: どかーん
[504.968] maro_72: 別にいいよ
[505.217] (S)もうねむたくないよ: 私たちスパイク
[505.378] miuta_aruru: 弾け飛ばせてくれよ
[505.412] yogharu: うん
[505.434] (S)りょうきち: 翌日のニュースでらっだぁが死因でってなるのうけるなぁｗ
[505.597] myuu2001: 弾け飛ばしてくれよ
[506.204] 256番: 逃げるな
[506.233] akino77777: 歪だな
