[13.348] aki_0122: こんちわ
[4822.445] tabibitox: 帰れオーラか
[4822.716] kawasak1n: こわー
[4823.558] (S)sai927: 圧
[4827.147] chin_56_: ｻｯ
[4829.577] sonic_chop: わーｗ
[4832.389] balthazar000: 反応良い店員じゃんね
[4833.251] mirin_melon: そんなに厳しいカフェが
[4836.951] teruharu_: ｻｻｯ
[4837.819] lucentsnow: 効率厨のこくが経営してる？
[4841.544] adachikufgc: ちょい残しとこ
[4842.088] pined0gg: 俺を誰だと思ってんだ！
[4843.243] loopy000401: ウメちゃんそれはグーグルマップで評価１にして悪口書こうよ
[4843.697] poposuke: 汚い格好してたとかはない？
[4848.008] hikky722: 男は追い出されやすい
[4848.346] うしおとぬこ: マック店員がなんか凄い怒って叫んでる動画ありましたね
[4848.865] ragdoll303: ちょこっと残しとくんだよ
[4853.789] akiaki0612: インカム重視
[4854.303] 箸くれ: 1時間ぐらいは居させてぇ
[4856.092] mirin_melon: w
[4860.130] catcutgut: ルノアールの話してる？
[4861.364] (S)イエール: 陰湿だぁw
[4863.796] kurakura99: そういうのって場所代込みの値段なのに
[4864.819] ~MISSING_COMMENTER_INFO~: sweetheartFingerguns
[4865.639] hal0087: ブルーボトルか？
[4867.805] sonic_chop: ベローチェ？
[4874.648] mirin_melon: マイアミ？
[4875.101] (S)イエール: タリーズ？
[4884.160] pined0gg: ルノアールで寝てたｗｗ
[4885.955] gomesu: いろんなとこで寝ますね
[4886.580] cafe_gondo: 寝てたｗ
[4886.918] じゅーくぼーい: だから寝るという択よ
[4887.497] poposuke: 特定班
[4888.946] (S)sai927: ｗｗｗ
[4890.512] sonic_chop: ルノアール客層が好きw
[4892.095] 宮藤ｨｨｨ: ルノアールは巡回が早いよね
[4892.338] (S)イエール: wwwww
[4892.818] tabibitox: いつか当たる
[4895.103] sn0wf0x3: www
[4895.122] adachikufgc: 宇田川カフェ
[4897.067] (S)a_isana: 特定しようとしてるww
[4900.563] (S)jinkun80: スタディカフェとかコーヒー一杯で朝から晩まで粘る人もいますし..
[4913.773] catcutgut: 結局スタバがいいわ、おかわり半額だしね
[4914.749] adachikufgc: ルノアールは投資詐欺おおい
[4914.980] mirin_melon: それだけ高かったような
[4916.702] hotsumaowo: ｗ
[4917.821] chin_56_: ｼﾞｮﾎﾞﾎﾞﾎﾞ
[4918.393] sistersguitarreplica: あったけえ
[4919.874] (S)artri4: 昼間なら適当なビルに入ると快適だぞ
[4923.378] kawasak1n: やさーしー
[4923.464] super_fluo: カフェのコーヒーなんて席代込みで取ってるのにねえ
[4923.650] 箸くれ: 思い出すだけで顔が幸せになってる
[4926.237] sonic_chop: ｗｗｗ
[4926.380] (S)akatoki_mk1: その分高めの値段
[4933.880] iam_scotch0908: それも含めてみたいな
[4942.585] mukimukipanda: よくねーだろww
[4945.094] くいしんボゥ: 起きたら即飲める用の水
[4945.222] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[4947.197] latenight000: ルノアール「お買い上げぇ！」
[4948.877] buretan555: 昔どっかのホテルに併設してるカフェはコーヒー無限に入れてくれるのあったな
[4949.071] pined0gg: うそやん人めっちゃ通るだろｗ
[4952.504] teruharu_: ；；
[4953.764] sistersguitarreplica: ベンチで寝るはやったな
[4953.981] redpeppar510: ルノアールでモンハンやってたなぁ
[4954.163] np2np: 原宿駅だいぶきれいになったよね
[4954.682] myonchan_daisuki: じゃんがら3000回行った中で寝た事ありますか？
[4956.790] じゅーくぼーい: 竹下通りの目の前！？
[4967.714] latenight000: ベンチつめてぇ・・・
[4970.131] (S)jinkun80: そんな所で寝ないでw
[4975.074] sistersguitarreplica: じゃんがらで寝るw
[4975.729] sonic_chop: ｗｗｗ
[4980.584] じゅーくぼーい: すごい
[4981.974] くいしんボゥ: 首痛くなりそうw
[4987.608] catcutgut: 人間味濃い
[4990.330] MXRKSTAR: watching Daigo at 3am is becoming a theme. 
[4991.273] yasubewe: ご飯食べながら寝るはもう相当ヤバいｗ
[4992.088] teruharu_: 猫のムーブ
[4995.639] tasuminn: 高田馬場の喫茶白ゆりは行きました？
[4998.475] mukimukipanda: 上野の地下通路いいよ
[5002.206] umesecond: 飯屋で寝るはさすがに？
[5002.990] lucentsnow: 伝説の満喫
[5012.494] name7ess2o21: Its the beasg
[5014.834] yasubewe: なんか上級者が多いなｗ
[5014.835] sonic_chop: ｗｗｗｗ
[5016.999] name7ess2o21: Beast
[5017.439] じゅーくぼーい: w
[5018.973] poposuke: その道の達人ちらほらいる
[5019.668] nikukuisugi333: ココイチで寝てるギャルはいた
[5020.118] sn0wf0x3: www
[5020.731] (S)dokuyubi: 案内人おる？
[5021.361] (S)yukikaze083: ｗｗｗ
[5022.748] (S)jinkun80: まだってw
[5023.290] sonic_chop: 道は上級者すぎw
[5023.497] (S)a_isana: www
[5023.607] kurakura99: 有識者多い
[5024.100] chin_56_: 酔ってやってそう
[5024.783] akiaki0612: 猛者いるな
[5029.584] melonpan16: 本物か？
[5029.825] curryko: それはもうホームレスなのよ
[5033.405] (S)junjamaica: ダンボーラーの集い
[5034.001] coyot3z012345: 駐車場
[5034.051] latenight000: 道でやるとおやじ狩りとかホームレス狩りの対象になりかねないw
[5037.521] pined0gg: ホームレスの情報交換かよｗ
[5037.938] (S)ponponguripon: 酔っ払って朝路上で目覚めたことは
[5044.228] じゅーくぼーい: デニーズよくたまってたなー
[5046.495] sistersguitarreplica: デニーズはなんかそれっぽい
[5048.194] ara5588: 山手線ぐるぐるはどう？
[5052.343] Umipuzzle: デニーズは寝た
[5053.042] (S)a_isana: 深夜のガストで寝てたけど怒られたことない
[5054.055] catcutgut: 昔のファミレスは何やってもいい感じあったね
[5058.170] akiaki0612: ホームレスの方は冬は昼間寝て夜は歩くらしい
[5058.567] (M)gameinntwitch: ビッキーズデニーズよう寝てたな
[5062.409] omega312312: ９０年代深夜デニーズの治安の悪さは過去最悪
[5067.035] kawasak1n: ファミレスで友達とトランプ最強だったなー
[5067.158] 箸くれ: ｗｗｗｗｗｗｗｗ
[5068.799] sonic_chop: ｗｗｗｗｗｗｗ
[5078.088] (S)a_isana: 意図せずかww
[5079.841] mirin_melon: 山手線は寝ながらグルグルした経験が…
[5080.131] sn0wf0x3: www
[5081.651] 箸くれ: やすらかすぎるでしょｗｗｗｗ
[5082.889] sonic_chop: 中央線じゃなくてよかったねww
[5084.693] Hikaru_256: 昔は緩かったな。今はSNSで晒される時代だもんな
[5087.466] catcutgut: 青春の溜まり場だったわファミレス
[5087.565] Umipuzzle: あるある
[5087.619] (M)gameinntwitch: 新宿小田原いったりきたりよくあったわ
[5087.791] chin_56_: 鉄矢
[5090.248] np2np: 本当はお金がかかってしまう話だから危険だ
[5091.179] 箸くれ: ビクッがリアルすぎて草
[5091.383] loopy000401: ウメちゃんリュウみたいな生活してたんだね
[5094.843] じゅーくぼーい: www
[5099.882] (S)イエール: 永久だw
[5100.054] 産まれてきてくれて: 僕は道民なので東京などのあの密集した住宅街に興奮して散歩してるとき楽しいのですがウメさんは散歩のさい何を楽しんでますか？
[5101.430] (S)ましゅダヨ: ずーっと寝ちゃうww
[5105.280] ara5588: 分かるー
[5105.311] eddiedayon: それ怖い話？
[5110.868] latenight000: 行ったり来たり！
[5113.647] じゅーくぼーい: そんな寝るんだwww
[5118.181] (M)gameinntwitch: 徹マン明けはしゃーなし
[5124.048] redpeppar510: 南武線でやったなぁそれ
[5125.460] kaerukyo: 東横線は時間帯で女性専用車に切り替わるので寝落ち注意⚠️
[5128.784] 宮藤ｨｨｨ: アキバ浅草を散歩行ったり来たり楽しいよ
[5131.313] 箸くれ: ゲームゲノムのインタビューした方がnoteに記事書いてたけど半分ぐらいウメちゃんだった
[5133.633] catcutgut: 散歩って静かに興奮する感じない？
[5136.011] (S)potesaraudon: 見たことない風景見るのが楽しい
[5141.455] (S)クロチル: 路地裏見るのたのしいよ
[5144.463] MXRKSTAR: we cant walk in America
[5146.424] Umipuzzle: RPGで新マップ行く楽しさと同じものあり
[5155.286] MXRKSTAR: most things are far
[5163.392] sonic_chop: 街並みも楽しいし色んな人いて楽しいね
[5164.553] kurakura99: この家、庭広っとか見てるの楽しい
[5166.404] akiaki0612: うさぎ、客0の時も結構あったの？
[5175.094] mirin_melon: 今は知らない人が歩いてると不審者情報に
[5182.298] yasubewe: キモの話好き
[5189.790] じゅーくぼーい: 都会育ちは逆に空が広い道歩くの興奮する
[5190.156] ~MISSING_COMMENTER_INFO~: car country
[5196.500] Budah901_: yo
[5197.214] (S)gularain: 昼のほうがいるんだ
[5198.125] (S)イエール: 植物アプリみたいなの入れて自宅周辺の植物調べながら散歩するとクソ楽しいよ
[5202.154] ruined_box: ストで格ゲーを始めたのですが、6ボタン攻撃、ラッシュ、パリィ、インパクトなどで頭が回りません まずはシンプルなゲームから始めたほうが良いのでしょうか
[5216.825] Budah901_: hello
[5218.021] adachikufgc: 別班？
[5222.609] catcutgut: 海外散歩は見慣れない物多いから楽しい
[5222.903] balthazar000: シンプルに始めればいいんじゃない？
[5224.573] aiukake: 一旦スマブラか
[5235.488] np2np: ワールドツアーからやればいいと思うの
[5237.809] MXRKSTAR: @budah901_ yoo
[5239.241] 泣き虫サクラ: 出来る事からやればいい
[5241.845] v401: テセウス？
[5243.338] adachikufgc: てせうす
[5247.787] Budah901_: @MXRKSTAR sup
[5247.916] (S)イエール: テセウスか
[5248.269] oyukakete3min: 希望の船
[5250.639] じゅーくぼーい: テセウスじゃね
[5253.532] mukimukipanda: 二角取りとか
[5255.202] catcutgut: タイタニック
[5256.470] ruined_box: ありがとうございます 1つづつ触れて慣れていきます
[5258.848] kawasak1n: テレビでもしてたね
[5267.100] buretan555: マシンガンとミサイルとレーザーとはどうほう渡されたみたいなｗ
[5267.470] lucentsnow: ビジネス
[5268.024] MXRKSTAR: @budah901_ you play sf?
[5276.673] Budah901_: @MXRKSTAR since a kid
[5277.369] (S)イエール: しのっちかな
[5282.945] Budah901_: but i dont have 6 yet
[5285.319] MXRKSTAR: @budah901_ you 🔥?
[5291.908] MXRKSTAR: @budah901_ dam
[5292.840] 泣き虫サクラ: 珍しいね
[5300.168] Budah901_: yea
[5305.134] Budah901_: i might get it
[5306.110] MXRKSTAR: get Tekken 8
[5316.210] Budah901_: ok
[5317.541] ~MISSING_COMMENTER_INFO~: @MXRKSTAR lol
[5325.716] Budah901_: WutFace
[5337.667] superbillgates360: play tekken 8 bro
[5343.949] lucentsnow: うさぎの名前の由来ってあの麻雀漫画のうさぎから？
[5349.581] (S)イエール: うさぎで客が寝てたら、マサが引きずり出しそう
[5351.679] Budah901_: i grew up on tekken also
[5351.806] MXRKSTAR: Tekken 8 boutta be brazy
[5362.344] lucentsnow: へー
[5369.741] hal0087: あのアホ漫画じゃないのか
[5374.382] MXRKSTAR: I grew up on COD
[5384.971] ~MISSING_COMMENTER_INFO~: men faces are good , but they dont know make girls faces 
[5385.106] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[5386.166] Budah901_: COD broke right nw
[5388.301] Budah901_: now
[5389.118] superbillgates360: i grew up playing fgo and genshin impact
[5393.229] Budah901_: cant even play WZ
[5398.591] (S)ユルリオン: Cheer100 こんばんは！( *˙-˙* )
[5399.011] lucentsnow: マジであれ途中から置いてきぼり感すごかったｗ
[5400.798] MXRKSTAR: lol ion play it no more
[5406.382] MXRKSTAR: i play fighters now
[5412.491] Budah901_: word
[5415.253] MXRKSTAR: i got mw3 tho
[5418.685] hal0087: DD軍団だっけ？何がなんだか
[5424.500] Budah901_: fasho
[5437.868] kawasak1n: ブランカちゃん 
[5451.793] Youhei6251: めっちゃ噛んでくるブランカこえーよ
[5455.598] MXRKSTAR: weezusHugo
[5462.965] MXRKSTAR: weezusBlanka
[5465.334] sistersguitarreplica: かわいい
[5469.590] catcutgut: つええ
[5480.849] MercuryDrive: カワイイゾ
[5484.526] MXRKSTAR: @catcutgut 🥹🥹
[5519.718] tabibitox: つんだか
[5521.191] MXRKSTAR: @mercurydrive 
[5526.851] (S)イエール: umeCossack
[5532.770] MXRKSTAR: rockagCarlton
[5565.230] Budah901_: cartie3Ker
[5565.366] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[5590.908] johndoe6523rp: 中段がないＭブランカ
[5607.797] rogtotheness: CoolCat
[5618.778] MXRKSTAR: @johndoe6523rp 
[5631.622] rogtotheness: daigoat 
[5636.051] MXRKSTAR: Modern
[5642.391] MXRKSTAR: Blanker
[5651.833] Youhei6251: ラッシュバクステの釣り、いやらしいですね
[5654.381] emaplusplus: 仕掛け上手なブランカだねぇ
[5655.891] sonic_chop: やるわね
[5678.075] じゅーくぼーい: キツい
[5693.920] MXRKSTAR: weezusBlanka
[5709.239] kawasak1n: おっけい
[5721.589] MXRKSTAR: brothe117W
[5724.716] catcutgut: ヴィヴァン
[5730.643] あーーき014: そういえばウメさん、りゅうびきゃく使わないのはなぜですか？初めは強いと言われていた気がするのですが、、
[5735.083] v401: イエロージャケッツ？
[5737.356] 超パンダ: 転生のやつ？
[5738.904] musashiKAI: ・・・
[5744.954] BigbossJP: 今日はチャット欄がグローバルだね
[5746.997] rogtotheness: GivePLZ
[5747.254] kawasak1n: ・・・
[5749.555] 超パンダ: ブラッシュアップ？
[5750.531] (S)potesaraudon: ジャスパ取られるしなぁ
[5752.431] sonic_chop: 木梨の？
[5753.794] catcutgut: 半沢直樹
[5765.964] Youhei6251: リュウビは超トップ層だとジャスパの的ってこないだ言ってた
[5775.685] MXRKSTAR: Just Privileged
[5787.291] (S)イエール: 死に技だぁ
[5792.186] MXRKSTAR: Just Projectiles
[5795.799] じゅーくぼーい: りゅうびのジャスパ難しくないからなあ
[5800.375] market_fujisaki: 上に行けば行くほど対応されてる技
[5804.955] umesecond: まあ普通に返しやすいよね
[5811.438] hal0087: ちょうど見てからパリィすると勝手にジャスパになるんだよな
[5830.812] Hikaru_256: 誰か使いどころ研究してほしいな
[5835.727] latenight000: リュウビはマジでもう少し強ければ
[5836.278] Youhei6251: リュウの波動が1個死に技になる問題みたいで悲しいですね
[5841.843] (S)kakutora_no_o: 打つのが強いってより見させてリソース奪う役割なイメージ
[5847.537] MXRKSTAR: J.P.= Just Parry
[5856.056] johndoe6523rp: 自分は初めてのジャストパリィが竜尾脚でした
[5859.680] じゅーくぼーい: 相手がBOしてたら機能するから死に技ではないかな
[5860.476] heijitusan: 相手BO中とかなら使う時ある
[5871.532] sefo_xdd: バーンアウトの時に輝く
[5884.141] tabibitox: 強欲
[5897.117] emaplusplus: はじめてのジャスパ覚えてるのほほえましいなｗ
[5937.747] 超パンダ: 初心者の練習用かよりゅうび
[5938.641] sistersguitarreplica: 初めてジャストパリィ食らったのがりゅうびをハブにいたアールさんにした時やな
[5951.847] 泣き虫サクラ: 記憶に残るものだよなそういうの
[5972.229] MXRKSTAR: @panda_bonus 👋🏿 🐼
[5991.824] 超パンダ: hi
[6020.907] shiemi483: shiemi483 subscribed with Prime. They've subscribed for 19 months! 
[6028.261] じゅーくぼーい: 針のような中足
[6034.819] musashiKAI: ２無駄にさせたの美味い
[6040.421] おやつハンター: 700ゲッツを思い出す
[6103.526] ラリメモ: 700ゲッツと比べてリターンが、違いすぎるけどねw
[6110.723] emaplusplus: あったー
[6112.187] じゅーくぼーい: パリィやべえ
[6112.472] une3333: わーお
[6112.904] 新ころりん: 甘えた結果が
[6113.231] oasis______: holy shit
[6113.264] nidouhu: Kreygasm
[6116.377] 巻き毛猫: FallWinning
[6116.412] oasis______: that parry
[6120.834] johndoe6523rp: すげ
[6123.447] mirin_melon: 良かった
[6125.135] market_fujisaki: 誰前
[6126.380] musashiKAI: nice パリィ
[6129.772] domontyan: Cheer100 うめちゃん。いつも癒しを ありがとうございます だいすきいいいいいいいい
[6135.764] Disjokerr01: @oasis______ IKR craaaaaaaaaaazy
[6136.531] royrat8325: 楽になりたインパクト
[6148.286] まるいとうふ: 今日も素晴らしい告白
[6149.360] 新ころりん: まぁパリィ強いよね
[6151.513] 口口口口口: daigo is crazy
[6154.418] じゅーくぼーい: スト6煮詰まるとパリィゲーになりそうなんよな
[6162.774] (S)kakutora_no_o: 回収もするしね
[6164.745] musashiKAI: 回線３
[6166.727] rogtotheness: best Ken rn
[6166.846] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[6186.954] erukima: 遠いな
[6206.954] sunsusun881107: パリィは削り白ダメくらいあって良い気がする
[6224.144] じゅーくぼーい: なんならジャスパ要らないかなあ
[6234.759] v401: 俺のエドはまだかなー早くワンツースリーしたい
[6235.490] (S)~MISSING_COMMENTER_INFO~: インパクトに対するパリィのみ白有とか？
[6285.595] Hikaru_256: インパクトをパリィできる代わりにDゲージがっつり持ってかれるとか
[6400.189] Youhei6251: ブロッキングは上ブロと下ブロの択あるけど、ジャスパはそーいうのも無いですしね
[6449.760] (S)イエール: umeYay
[6449.891] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[6469.103] じゅーくぼーい: 美味しい
[6470.269] sunsusun881107: ジャスパ自体はあった方が同じ展開の試合なりづらくて良いとは思うんだけどね
[6502.847] (S)ponponguripon: 冬って2月末まで？
[6531.291] (S)すれいまん: 春分は一応3月20日やね
[6550.237] (S)kakutora_no_o: ジャスパのおかげで派手な技が多い気がするからねぇ
[6565.778] jabaneropeppers: Hello Daigo!
[6571.162] あーーき014: 波動拳は基本弱ですか？
[6574.564] じゅーくぼーい: うーんキツい
[6592.566] こたのすけ: モダンでも波動の強弱付けさせてくれ
[6600.445] emaplusplus: ロマン砲
[6628.714] heijitusan: たかし使おう
[6628.757] (S)すれいまん: 波動拳撃つごとにコマンドするのちょーめんどう
[6629.707] musashiKAI: 久しぶりの本田
[6637.222] (S)ponponguripon: エド2月中には来るのかな
[6640.386] (S)イエール: ほんーだ
[6653.770] 新ころりん: メスは入りそうな部類だよねMの弾の強弱
[6660.842] pined0gg: 本田のコスかわいい
[6669.212] じゅーくぼーい: リュウと本田のNewFitまじなんなんwww
[6676.965] 産まれてきてくれて: スマブラだとボタンの押す長さで昇竜拳とか波動拳の強弱つけれたね
[6696.899] jonanaya: モダンなんだから諦めてもろて
[6697.564] emaplusplus: 常時BO本田
[6698.201] Youhei6251: リュウとか本田とか日本人のコスはネタ枠なのかよ
[6717.055] (S)すれいまん: 久々にコマ投げでキャンセルしない中段見た
[6724.593] heijitusan: あれ持続当てになる
[6736.975] (S)ponponguripon: ﾄﾞｽｺｰｲ
[6743.341] sojiro_r7: kskコス
[6788.937] (S)イエール: ッケイ
[6789.113] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[6800.969] じゅーくぼーい: うめ
[6810.972] johndoe6523rp: まーじか
[6815.465] (S)kakutora_no_o: よいよいよい
[6819.884] (S)ponponguripon: ﾊｯｹﾖｲ
[6835.541] じゅーくぼーい: ありまするる
[6841.960] tabibitox: たまる
[6846.007] pined0gg: やる～
[6847.772] MaruGames001: うまー
[6848.218] 新ころりん: 足りたわよ
[6849.508] domontyan: たりますわよ～～～～～～
[6850.059] こたのすけ: 判断ばっちし
[6851.758] (S)kakutora_no_o: ぴったり
[6853.721] musashiKAI: PogChamp
[6854.331] (S)すれいまん: 中昇竜で振り向きすると空ジャンプに当てんのアホみたいにムズイよね
[6871.115] じゅーくぼーい: でたこの釣りwww
[6875.891] (S)ponponguripon: ちゃんこ食わんかーい
[6876.385] omega312312: リスクでけえな
[6881.559] sistersguitarreplica: 空ジャンプほんと強いわ
[6881.846] ムエタイ: 空ジャンプつよい
[6888.526] domontyan: ウメハラ様～～～～ってサロメ嬢とのコラボまたみたい
[6893.620] (S)kakutora_no_o: エクスカリバー一閃
[6901.805] emaplusplus: 圧よ
[6913.342] kabicha000: MR1700付近の本田っていやな感じの名前多いよね
[6935.255] じゅーくぼーい: 本田といえばkey？
[6961.303] tabibitox: 前歩きは速い
[6965.494] Youhei6251: この本田、ちょっと日焼けしてるのがまたバカンス感出てるな
[6975.459] ムエタイ: ex張り手ガードしたら投げ間合いで本田側下がれないよ
[6989.490] Hikaru_256: 上手い本田はめっちゃキビキビ動くな
[6995.417] (S)kakutora_no_o: keyさんが大会とかで強豪食ってる印象やね
[7000.411] saitannazib: umeGuile
[7003.417] じゅーくぼーい: 一切持たないですよね
[7044.045] ひでよぴ: MercyWing1
[7087.953] sistersguitarreplica: 張り手はexで違和感ないな
[7112.405] kawasak1n: ありゃ
[7116.592] tetsuwoskt: 微妙すぎるw
[7121.350] johndoe6523rp: 何が違うんだ
[7131.280] tetsuwoskt: すごいリスクだし
[7132.824] bcontyan: うーん？
[7147.175] (S)kakutora_no_o: めっちゃめりこめばって感じ…？
[7149.211] omega312312: マニアックすぎｗ
[7185.562] woodmud: いつでも情報はありがたい
[7241.978] tabibitox: さとるくんか？
[7256.007] tabibitox: うんすや
[7272.624] Ehrinim: fancy
[7273.336] ippeita: うんすくんもバリバリMR上げてきてるな
[7317.826] sistersguitarreplica: 顔火傷するやろあれ
[7340.529] market_fujisaki: がちで わやする いちおく とるねーど
[7361.129] (S)kakutora_no_o: その語感めっちゃすき
[7374.525] musashiKAI: ｱｲﾔｰ
[7379.734] kawasak1n: あいやー 
[7390.195] じゅーくぼーい: うま
[7390.323] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[7394.346] market_fujisaki: 出たｗ
[7398.880] latenight000: うっっま
[7418.315] rogtotheness: dropping that combo saved you a bar haha
[7427.422] gumi1113: 竜巻コマンドずるいねぇ
[7485.059] るーるい: ウメちゃん以外のプロ格ゲーマーってやたら名前変える気がする
[7485.186] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[7494.053] indigothunderbro: Chicken pot pie is good.
[7506.074] indigothunderbro: Especially with mash potatoes.
[7512.429] じゅーくぼーい: ワール撃てねえーもう
[7515.835] market_fujisaki: ウメさんも最初カタカナでウメハラだったはず
[7520.869] latenight000: ウメかウメ以外か
[7565.706] (S)kakutora_no_o: 本名だし変えるとかないだけやない？
[7605.860] じゅーくぼーい: アラビアンもだめか
[7614.766] market_fujisaki: 割り込みやべえｗ
[7628.999] sistersguitarreplica: 入力の音くそ早い
[7647.041] (S)すれいまん: いつごろからだろうなリングネームみたいに本名じゃない名前使うようになったの。スト2の頃は本名結構居たイメージ
[7669.216] tankbba146: 本名なの翔とうめちゃんくらい？
[7673.976] tankbba146: 後立川か
[7690.989] (S)akatoki_mk1: 忍びとか本名多いよね
[7700.692] 生まれてきてくれて: 大谷とか
[7710.112] tankbba146: あー忍びはジョニィ以外本名か
[7723.703] でかぱん: ハイタニも本名
[7729.381] (S)kakutora_no_o: 昔だと地名+キャラ名みたいな
[7730.185] sistersguitarreplica: カワノ
[7732.944] 0208h: ももち...
[7736.327] tankbba146: ひぐちもか
[7739.682] tankbba146: 意外といたな
[7759.718] (S)akatoki_mk1: 逆になんでジョニィは本名じゃないんだろうｗ
[7781.193] (S)すれいまん: 本部以蔵が本名だと思われた格闘ゲーマーの話するか？
[7799.110] (S)kakutora_no_o: 蓮…
[7810.554] tankbba146: 守護る人？
[7839.099] (S)すれいまん: おお
[7841.101] tabibitox: やばい
[7851.651] pondenring0930: やっちまったー
[7876.934] (S)すれいまん: レッツゴーダイゴー！
[7879.205] (S)potesaraudon: ww
[7937.490] じゅーくぼーい: とりかご
[7963.643] musashiKAI: ラッキー
[7967.474] kurakura99: ew
[8011.691] (S)すれいまん: 削れぬ
[8011.819] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[8033.921] zenbo7: senile11Carlton
[8044.420] sinjaehara: なんか、噛み合ってない。
[8051.730] じゅーくぼーい: 温存おいしい
[8060.699] tabibitox: SA撃ってもいいよインパクト
[8073.667] 超パンダ: おしゃれ
[8144.040] tabibitox: でぇこく
[8149.916] (S)すれいまん: Dの者
[8156.441] Youhei6251: "D"
[8159.690] じゅーくぼーい: ウメちゃんだいこくにあんま勝ててないイメージ
[8161.108] erisuk: 浮いた存在
[8163.587] (S)イエール: アナザーD
[8225.516] une3333: 人生には、いろんなDがあります
[8229.508] (S)potesaraudon: ｗ
[8238.179] erisuk: ふぅ～
[8240.669] pondenring0930: Dが勝つ
[8278.477] tabibitox: たかしもこれくらい弾が優秀なら・・・
[8294.880] sistersguitarreplica: Dって悪役みたいなコス好きなんかな
[8295.395] マンゴスチン: こっちの髪型のガイルの方が少なそう
[8320.239] (S)すれいまん: たかしの弾が全体40Fとかになったら強すぎてたかしばっかになっちまう
[8330.038] じゅーくぼーい: 集中が2フレとかならなあ、なんであんなノロマに集中するかなあ
[8363.365] jambotanishi: ウメハラ・D・アイゴー
[8377.417] pepepe393: ケンガイルって結構きつい組み合わせ？
[8381.592] thraximundaru: 2Fの集中で大パン集中大パン連ガにして超楽しそう
[8395.132] (S)すれいまん: ガイル有利やろなぁ
[8416.474] じゅーくぼーい: ラッシュに組み込めたりしたら楽しいと思いますよねえ
[8432.570] rdstus: ウメちゃんが普通にやったら勝てない組み合わせって言ってたね
[8464.386] une3333: ぐんぐん伸びるガイル
[8467.968] Youhei6251: 1-1だぁ
[8479.613] (S)すれいまん: この試合・・・Dが勝つ
[8507.628] sonic_chop: がんばえー
[8507.764] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[8516.912] ミスターポポ: なにこれスト2？
[8521.622] keigunnoikkaku: でえこくか
[8524.016] erisuk: ５を共に過ごしたガイルが仇敵となるとは
[8533.358] あーーき014: 攻めにくすぎる
[8539.663] えこえこ: Dのほうが今は強いか
[8545.988] じゅーくぼーい: 今気付いたけどウメちゃん髪型すーごいwwwガイルよりすーごいww
[8560.957] tama_zx61: umeGuile
[8562.419] une3333: サマソぉ
[8569.291] nephewdork: 557 raiders from nephewdork have joined! 
[8571.999] TEIKETTO: うめぇな
[8576.015] Youhei6251: いよいよとなったらウメちゃんもガイル解禁するから…
[8576.639] une3333: お、ネフューありがとー
[8581.079] tama_zx61: thx
[8582.743] johndoe6523rp: ネフューありがと〜
[8588.304] tikkyponpon: ウメガイルもウメルークもみたい
[8593.014] (S)akatoki_mk1: ネフューサンキュウ！
[8593.155] une3333: ネフュー？ネヒュー？まぁいいやありがとー
[8599.771] pepepe393: ネフューありがとー
[8604.580] (S)イエール: ありがとーーー
[8625.655] (S)軽く捻るか: ありがとー！
[8625.793] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[8629.012] 超パンダ: ネヒュー
[8629.012] (S)ikaring0311: ikaring0311 subscribed at Tier 1. They've subscribed for 2 months! 
[8637.988] erisuk: まだ目かわくの
[8641.558] (S)おいしいごはん_: 👀
[8642.252] 超パンダ: ネヒュー？ネフュー？
[8666.352] une3333: イカリング食べたいねぇ
[8678.021] (S)イエール: とんかつ食いてえ
[8693.545] Beverii: NEPHEW レイード wwww
[8693.579] (S)ikaring0311: イカリング美味しい😋
[8703.701] ミカロニ: おにやが今日アメリカのバーのステージで歌った話聞いた？
[8709.241] binky300: alfaDoodleBob
[8739.598] (S)Make2317: Make2317 subscribed with Prime. 
[8749.540] (S)ましゅダヨ: wwww
[8751.322] (S)sai927: 急に
[8751.648] (S)おいしいごはん_: ｗｗ
[8752.602] fireballkid1981: 草
[8754.554] (S)イエール: 何がすごいか分からんけどすごいねw
[8755.777] une3333: よく分からんw
[8757.277] osarusan26: むしろ何で聞いたと思ったしw
[8764.431] pondenring0930: へー凄いね(わからんけど
[8764.445] るーるい: 俺も今の聞いて何がすごいかわからんかったｗ
[8770.284] tabibitox: とんだぁ
[8772.258] (S)ましゅダヨ: うめちゃんのところに来る前にみてたww
