[15.553] momouni: わらこだ
[155.011] 百野ち: かわいそうに。。。
[155.064] 岩屋: 自分チョコもらいました
[155.074] sizk5042: ワロタ
[155.102] okomemoti: うける
[155.136] (S)OmOtc: radaoBigcry
[155.257] (S)nenemaru_: radaoBigcry
[155.271] しょうろんぽウ: わこらだ
[155.499] mary611: どんまい
[155.760] 220_099: gg
[155.769] mikan_san: わこらだ
[155.796] skysandayo: 先っぽだけよ♥️
[155.803] aiilo_: どんまい(´・ω・｀)
[155.806] (S)こねずみ: バツ2だね
[157.131] pasu0517: radaoCry2
[157.135] raijin__1007: 捨てられた？
[157.315] motoyane: radaoCry2
[157.343] (S)kurasaka128: radaoCry2
[157.357] lusia1945: ジムの人にチョコかえした？
[157.396] (S)hanacha228: つらいな
[157.486] lihito1412: かわいそー
[157.513] meron_san: あー
[157.528] rizuki1219: radaoCry2
[157.562] sushineko_26: radaoCry2
[157.664] るくおにく: 可哀想
[157.678] (S)orange_6003: バレンタインマッチョさん...
[157.697] rg_irece: radaoCry2
[157.713] ﾏｲﾁｮ: １ヶ月でかわったんか、、
[157.720] (S)りったん_: 義理チョコだったんだ、、
[157.724] kocobn11: おつ
[157.735] みわわわわ: 振られたの、、、
[157.747] ttt_1onz: どんまいらだお
[157.878] naru0122: radaoCry2
[157.881] (S)きょむきょむぷりん: どんまい
[157.919] syui415: あ...
[158.100] (S)mg_rafu: らっだぁの面倒見るの疲れたんだよ
[158.263] 星空の海月: あ…
[158.362] meimei_15: どんまい
[158.368] yuto020702: 待ってたかもしれないのに
[158.388] (S)tc_core: radaoBigcry
[158.406] (S)サノウラ: ×２？
[158.531] yyuuzzuu: 笑
[158.746] lemoncheesesource: わこらだ
[158.770] 琉凪: radaoCry2
[158.813] Reea2: 振られてるわ
[158.857] 14mugitha: radaoCry2
[160.296] (S)らふろいぐ7: radaoCry2
[160.305] (S)iori0517: radaoBigcry
[160.500] mini3931: radaoCry2
[160.534] k_otone: やっぱりそうだよな、、らだ振られるよな、、うん、わかるよ
[160.602] pipi_chann: どんまい
[160.929] 夜半アロウ: あ
[161.170] gonnchan: 汗臭かったんじゃないの
[161.202] no__chi: radaoCry2
[161.349] shiroa1019: どんまい
[161.373] (S)~MISSING_COMMENTER_INFO~: タイプじゃないんだ
[161.426] akiu___0727: どんまい
[161.447] lusia1945: あーね
[161.502] いろえんぴつ: あー…
[161.519] omuraisu_nana10: radaoCry2
[161.551] misa_0036: どんまい
[161.584] Kounotori_kaiju: 涙拭いて
[161.610] (S)harusame55: せっかく仲良くなったのに…
[161.687] kyo___n: うわぁ
[161.753] yuyu554343: radaoCry2
[161.823] YodoRa: だから連絡先聞いとかないとって言ったじゃん
[161.887] ryuuseigunnw: radaoCry2
[161.902] ねこねこお嬢: 嫌われた？
[161.932] sky_100603: あらー
[162.011] アラル海: どんまい
[162.091] しゃけたまご: 駆け落ちかぁ
[162.119] みわわわわ: radaoCry2
[162.121] aruto_33: 🥺
[162.239] solomon_0219: radaoCry2
[162.252] kuroneko_terumu: わこらだ
[162.320] risa_kakipi: 追いかけろ
[162.472] macchan114514: あ
[162.487] toranoko_424: わこらだ
[162.694] ロクでなし: 元気出して
[162.916] やおにいち: あーあ
[162.940] syura001: 可哀想に
[163.342] elucha_1003: radaoCry2
[163.402] oto_hiraeth: わこらだー
[163.406] pon_pon_0314: 今日、誕生日なんでおめでとうください！
[163.489] ちゃのすけ: どんまい
[163.503] よぞら_: 笑
[163.683] sanyasans2: radaoCry2
[163.903] gaiantufan: ；；
[164.070] 沙央: radaoWakotu
[164.135] kana_502: radaoCry2
[164.285] さめまる_: 振られたな
[164.380] 中落ちカルビ: 中落ちカルビ subscribed with Prime. They've subscribed for 22 months, currently on a 22 month streak! 
[164.493] くるみ1209: あら
[164.661] totoro_1783: バツ２やね
[164.723] danana34: らっだぁってイケメンですよね
[164.851] shu_piiiiiii: 誰だよ泣かしたやつ
[165.064] sakura31644: そういう時もある
[165.076] piisuke0428: 片思いだったか
[165.230] ayunosioyaki0223: あー
[165.288] honehone_2: へー
[165.456] ジャガイモの皮: どんまい
[165.477] ryuuseigunnw: radaoCry2
[165.511] まこくん: radaoCry2
[165.512] watty2507: 彼女にペアルックの時計あげた〜
[165.584] 琉凪: どんまい
[165.677] macchan114514: radaoCry2
[165.681] rito_0008: どんまい
[165.739] karasu57: 2回目か…
[165.928] ゆちまるさん: radaoCry2
[166.111] gi_1209: 奥さんにも？
[166.150] arisa524: どんまーい
[166.197] るくおにく: どんまい
[166.335] cocona_1111: どんまい
[166.448] くろうるふ: あー
[166.643] 雫_179: あーあ
[166.738] ryuuseigunnw: radaoCry2
[166.848] daifuku10: 聞いてごめんね…
[166.880] mimi_1111_kuken: radaoCry2
[166.951] hiyo85: radaoCry2
[166.960] kana5929: radaoCry2
[167.041] mizusan_1022: どんまい
[167.063] junjunjam495: radaoCry2
[167.175] moguse_15: ߹𖥦߹
[167.242] usakanono1030: radaoCry2
[167.404] 星のマッ茶: しってた
[167.457] nana_tiroru: つらいね
[167.472] ama_yzk00: 安心した
[167.480] (S)~MISSING_COMMENTER_INFO~: ハンカチいる？
[167.619] nirakki: 俺がいるから安心しろ
[167.627] shiroa1019: あーあー
[167.709] tomatotto_: バツ2？
[167.781] ponharu: radaoWakotu
[168.229] レミリアスカーレット: らっだぁ怖いもんね
[168.445] ttaiyaki: 普段うるさいからな
[168.451] sachan_606: radaoCry2
[168.475] dangokyoshinja: radaoCry2
[168.486] jyogijyogipen: 元気出せよ…
[169.086] 2jqtpja: わこらだ
[169.320] rufuma: 可哀想に
[169.344] スカイウリ: 一瞬人としてどうなのかて疑ってごめんな…
[169.526] アーユン: バツ2…ってコト？！
[169.532] (S)ふぉるお: バツ増えたな
[169.555] rin7331: 置き逃げかよ
[169.557] zeno_shuji: なんの話し？
[169.722] (S)aya_ksar: やーい振られてやんのーーー
[169.724] opisu_p1: ホワイトデーのお返しできなかったね、、、
[169.848] 柔らかぷりん: radaoCry2
[169.894] sulapon58: らだおだからしゃーないな
[169.988] yusan913: わこらだ
[170.072] (S)nana_sasa_: radaoCry2
[170.076] yuimo_1823: わこらだ
[170.103] nasiaisu: 泣いていいよ
[170.257] naru0122: 言い方きしょいな
[170.297] ryuuseigunnw: radaoCry2
[170.912] Gokigenn_Poteto: わこらだ
[171.022] アキレゐト: ヴァロ起動してるけどヴァロやるん？
[171.031] chacha_124: radaoCry2
[171.041] tuukune: あーー
[171.159] (S)kuradayo777: 勘違いやば
[171.246] ひかりなんだ: 新しいトレーナー女の人？
[171.285] (S)りちゅる: radaoCry2
[171.463] rizuki1219: radaoCry2
[171.475] (S)oyasai_rc: わこらだ
[171.476] aiilo_: じゃぁ俺があげる
[171.675] maron_33: 追いかけてゆけ
[171.679] ルイノ: 泣いてもいいよ
[171.891] (S)たゆう_はね: あー
[172.083] meron_san: 涙吹けよ …
[172.134] ikachan02: あいつ無理だって裏で話されてるよ
[172.551] にわすずめ: あぁ
[172.704] Yakishio_1219: バツ2かぁ…
[172.795] no__chi: かわいそ
[172.812] 湊ソラ: タイプだったのか…
[172.814] goo813: radaoCry2
[173.068] (S)サノウラ: あ、今が仲いい方＞
[173.275] (S)yanitsuki24: radaoCry2
[173.416] solomon_0219: radaoCry2
[173.428] mizusan_1022: しゃーないよ
[173.525] yukio_no1: 不倫されたってこと？
[173.757] みわわわわ: 元気だして
[173.992] rufuma: 元気だし
[174.020] miri8685: わこらだ
[174.210] ri_ra_kun: radaoCry2
[174.258] toura_me: radaoCry2
[174.348] ririneko6133: わこらだ
[174.914] (S)塩ばたー: あーあ
[175.000] ゐゐは: あね
[175.042] (S)fuu_maru: あー
[175.153] hroiiio: らっだぁってイケメンなん？
[175.369] ｻｧｻ: あー
[175.670] ドミノくん: radaoCry2
[175.848] momoka0325: 今北何の話？
[175.900] ねこねこお嬢: radaoCry2
[176.061] harukiti0213: radaoCry2
[176.076] kocobn11: radaoCry2
[176.130] わまる01: わこらだ
[176.284] (S)matsubo99uri: gg
[176.660] rizuki1219: radaoAngry2
[176.708] f_erick: ひたすらマーベル語る配信ほしいです
[176.932] (S)urullowo: かなしす
[177.093] amane_0212: あぁ…
[177.187] kyosuke0708: わこらだーー
[177.187] (S)masonbas: radaoWakotu
[177.323] 薩摩芋太郎32: わこらだ
[177.342] hoshi_aka_ri: 今北です、どういう話ですか？
[177.503] lowing1120: わこらだ！！
[177.536] 雫綺: あら
[177.623] アキレゐト: あー
[178.143] piisuke0428: あー
[178.192] donbishari: あー
[178.350] gi_1209: あー
[178.422] tasyysta1019: 涙ふけよ
[178.468] アラル海: あー
[179.459] (S)ak_type: わこらだ 
[179.548] Reea2: バケモンすぎたんだよ
[180.014] ayunosioyaki0223: radaoKuuun
[180.161] nashiiiiiiiiiiii: radaoCry2
[180.263] sanyasans2: PowerUpL
[180.274] ai_ai0304: ちゃんと唾つけとかないと
[180.557] ttt_1onz: かわいそ
[180.810] さつまいもおいしい: わこらだ
[180.828] mizusakura0326: あー
[180.992] (S)キラキラボシ: ぽまえが振ったのかよ
[181.031] wwwwded: わこらだ
[181.236] (S)みんてぃぁ: radaoCry2
[181.243] 琉凪: あー
[181.285] komugi_1228: あー
[181.471] くすりもち: 言い方やめんか
[181.625] ena_0000: 浮気ってコト！？
[181.708] syamuneb: 泣くなよ...
[181.922] chacha_124: あね
[181.953] karen__1121: あー
[182.059] ｳﾙ: あー
[182.129] daifuku10: 言い訳？
[182.148] hanadango823: あー
[182.158] きのぴおちゃん: radaoCry2
[182.415] カナバ: じゃあ相手を振ったんだ
[182.531] 縮緬雑魚: お前臭かったんちゃうんか？
[182.756] hoppi0326: わこらだ
[183.556] mitsuxx00: あー
[183.590] (S)たゆう_はね: うん
[183.604] sol_8787_: わこらだ
[183.605] Kounotori_kaiju: radaoCry2
[183.763] ayunosioyaki0223: そうやん
[183.818] のいたぬ: あいつ無理って噂されてるよ
[183.861] (S)kamiusa1210: radaoWakotu
[183.913] shouyu_0000: わこらだー
[184.025] (S)りちゅる: あーーーー
[184.087] (S)のせ太郎: お前のせいじゃん
[184.097] cori5698: あー
[184.104] usus_t11: わこらだ
[184.293] jyogijyogipen: あー
[184.314] nyun426: GG！
[184.523] 百野ち: 泣くなよ、
[184.640] ゐゐは: また布教？
[184.686] Reea2: あー
[184.691] 220_099: ｷｯﾁｲ
[184.846] skysandayo: 仕方ないよな
[184.867] ルイノ: らっだぁ彼女いんの？
[184.871] (S)~MISSING_COMMENTER_INFO~: ハンカチいる？？
[184.942] さかなはら: お前のせいだ
[185.056] 雫綺: せやな
[185.170] 砂ザトウ: そうだな
[185.805] chacha_124: 涙拭けよ
[186.189] kokesinn: あー
[186.352] nameko0621: あー
[186.374] (S)covalt_blue: あーあ
[186.376] などない: あー
[186.486] mini3931: かわいそう
[186.583] アーユン: お前のせいだ
[186.592] (S)magu1013: おまえがわるい
[186.840] (S)tsuM6G1_: あー
[186.963] (S)ふぉるお: そういうことか
[187.052] navyblue___: radaoWakotu
[187.074] aruto_33: あー
[187.516] (S)スペルタン: うん
[187.544] あらんえむかーびぃ: 振ったのかまじか
[187.732] 雫_179: あーーー
[187.760] (S)こねずみ: なるほど
[187.765] rufuma: あー
[187.956] ロクでなし: あーあ
[187.956] me1oxdy: あーね
[187.960] syuncho: radaoCry2
[187.993] kuga_kun: わこらだ
[188.074] donbishari: お前のせい
[188.197] snowwhite125: どんまい
[188.209] (S)タクトン: なんだよ
[188.407] solomon_0219: unn
[188.445] (S)nattu__: そだな
[188.455] (S)ak_type: あー
[188.484] アラル海: うん
[188.631] k_otone: 臭いからだよ
[188.788] 夜絃: radaoWakotu
[188.869] ramune_02gw: あー
[188.870] pasu0517: あー
[189.045] (S)fuu_maru: また布教しないとね
[189.101] alice8629: ぽまえのせいだ
[189.111] (S)トマト狩り: お前が捨てたのか
[189.153] kafemoka_0401: わこらだ
[189.278] 揚げたこ焼き: そやね
[189.285] tarisann_1124: まぁ涙拭けよ
[189.640] rorutipeace22: ぽまえが振ってんじゃん
[189.795] 紗弥0926: そうだよ
[189.851] tuukune: そうだよ
[189.999] (S)harusame55: あーあ
[190.027] okomemoti: お前のせいやん
[190.072] con__116: なんで変えたんだよ
[190.141] (S)ookami_rudi: a-a
[190.222] cocona_1111: あーあ
[190.230] rena_547r: 自分から降ったんかよ
[190.693] しゃけたまご: 事務の人助かったな
[190.731] ゐゐは: また布教する？
[190.825] 雫綺: うん
[190.895] namatamago427: お前が振っとるやん
[190.936] nirakki: あー
[190.976] (S)kuradayo777: お前が逃げた
[191.375] piisuke0428: はえー
[191.400] muu_ri1022: バスタオルです涙拭く？
[191.460] カナバ: お前が振った
[191.599] kuroneko_terumu: える
[191.619] 琉凪: 変えるからやろ
[191.685] (S)pao_pink_: お返しじゃなくてもいいんじゃないの？
[191.844] itinoseteto1129: お前のせいだ
[191.862] おしゅしのさぶ: radaoCry2
[191.927] おおにゃんこ: そうだよ
[192.090] ちゃのすけ: 涙拭け
[192.178] 塩辛食べたい: うん
[192.256] かな_1111: わこらだ
[192.346] tomatotto_: バツ2でも応援してるよ
[192.377] (S)iori0517: だね
[192.466] oguruma0920: ぽまえが振ったのか
[192.526] ryupei8: らっだぁが振ったってこと？
[192.542] 売買: そうだよ
[192.612] karen__1121: らっだぁのせいやん振られたの
[192.628] Yakishio_1219: お前のせい
[192.661] ラムネ味: そうだね
[192.732] samekosi: 俺振られたよ…
[193.062] shizuku_088: お前のせい
[193.204] yume_1103: ﾅﾐﾀﾞﾌｹﾖ
[193.233] syamuneb: あーあ
[193.328] komugi_1228: うん
[193.358] ruu_ha: そうだな
[193.408] nanadefo: わこらだ
[193.464] itoido: うん
[193.770] honehone_2: 何様だよ
[193.901] arisa524: うん
[194.012] daifuku10: せやな
[194.228] (S)たゆう_はね: そうやね
[194.315] るくおにく: そやな
[194.426] (S)s_i_i_a: radaoBigcry
[194.536] (S)スペルタン: 自分から逃げた
[194.953] nanananana016: わこらだ
[195.048] mizusakura0326: お前が捨てた
[195.110] るん1213: おまえやね
[195.135] Reea2: 顔がバケモンすぎたんだよ
[195.147] waraashi: トレーナーさんにホワイトデーのお返しできんやん
[195.155] (S)_こなた_: わこらだ
[195.198] piisuke0428: うん
[195.201] nanasi0917: 貰い逃げか
[195.243] ~MISSING_COMMENTER_INFO~: うん
[195.341] 都さむらい: 被害者面すんな
[195.358] (S)ふぉるお: どっちがよかったの？
[195.364] (S)rosemary0920: ぽまえのせい
[195.380] にわすずめ: お前は振ってない
[195.582] aiilo_: 俺があげたるよ←
[195.795] me1oxdy: うん
[195.799] no__chi: うん
[195.812] rufuma: うん
[195.978] 揚げたこ焼き: うん
[196.012] k_otone: うん
[196.014] nana_tiroru: そうだね
[196.099] ねこねこお嬢: 言い訳だな
[196.104] nuoh0195: 彼女に振られました、慰めてらだお
[196.150] てんたた: 元気だしてね
[196.209] (S)みんてぃぁ: そうだね
[196.395] carbonara10: わこらだ 
[196.443] s_a4408: やっぱ、殻いりのケーキ作ったから逃げられたんだな
[196.590] haniiroha: わこらだ
[196.657] ogapaka: トレーナーさん泣かせた?
[196.693] (S)youn2134: radaoBigcry
[196.725] (S)こねずみ: そうね
[196.830] nasiaisu: ハンカチ貸すよ
[196.856] さめまる_: お前のせい
[198.098] meimei_15: あーあ
[198.166] aruto_33: お前のせい
[198.212] nirakki: 圧倒的お前のせい
[198.269] pon_pon_0314: 今日、誕生日なんでおめでとうください！
[198.300] 縮緬雑魚: 声がドブすぎた？
[198.307] neu_rose: あーあ
[198.312] 砂ザトウ: 最低
[198.314] buuuuusuka: buuuuusuka subscribed at Tier 1. They've subscribed for 14 months! 
[198.483] kon_rou11: うん
[198.543] thinking_gg: お前がフッたって事やん
[198.751] (S)itayui5: 今からでも間に合うよ
[198.994] su_gar__25: お前が臭いからだよ
[198.995] nekomrnn930: うん
[199.194] たぴおか1267: わこらだ
[199.204] (S)tsuM6G1_: まあまあ
[199.248] 星のマッ茶: お前がふったのか
[199.474] (S)ozokunchan: うん
[199.644] (S)らふろいぐ7: 浮気者め
[199.688] chacha_124: 振られた人かわいそ
[199.703] 雪狐0143: そうだね
[199.714] yona_0724: そやね
[199.716] (S)~MISSING_COMMENTER_INFO~: あんたのせいだなぁ
[199.871] みおん3078: 実質ぽまえが振ったね
[199.906] (S)露木ロコ: 罪な男じゃん
[199.962] rufuma: せやな
[200.115] yuto020702: お前が逃げた
[200.634] k_otone: お前が振ったんだろ
[200.750] wa_iam_: !uptime
[200.753] omuraisu_nana10: ぽまえが悪い
[200.766] pasu0517: radaoCry2
[200.864] jinya222: わこらだ
[201.067] (M)Nightbot: らっだぁ が配信を始めてから 3 minutes 25 seconds 経過しています。
[201.227] さかなはら: 振ったのに振られたフリするのマジでやばいぞ
[201.365] ttt_1onz: 相手さんお返しももらえんと可哀想やん
[201.541] YuuKi_0222: 振ったやん
[201.652] ramune_02gw: ( ･´ｰ･｀)っ□
[201.730] kokesinn: お前が悪い
[201.776] (S)ha1maru_: せやな
[201.959] hanadango823: うん
[202.013] sanyasans2: MercyWing1
[202.211] daigorooo97: radaoCry2
[202.252] syamuneb: ぽまえが振ったのかよ
[202.574] (S)hanacha228: そうだね
[202.783] syui415: それはらだおが降ったも同然
[202.888] (S)こねずみ: バスタオルでいい？
[203.328] まひろ0918: わこらだ。裏でヴァロ開いてる？
[203.426] Kounotori_kaiju: やな
[203.496] (S)asopasomaso0224: わこらだ
[203.514] (S)mg_rafu: とっかえひっかえするな
[203.548] gi_1209: らっでぃ、、
[203.793] 雫_179: えん
[204.071] asuka_061: その女がらっだぁに釣り合わなかっただけだよ。
[204.126] toranoko_424: お前のせい
[204.278] まよかた: ぽまえが逃げた
[204.319] rufuma: そやぞ
[204.771] Reea2: ぽまえのせい
[204.995] sunagiimo: ぽまえだよ
[204.995] (S)雪代: radaoWakotu
[205.497] wwwwded: 大丈夫だ
[205.533] ねこねこお嬢: うん
[205.790] kokesinn: そう
[206.014] ドミノくん: じゃあ連絡先教えてもらお
[206.018] 雫_179: うん
[206.186] しほり: ぽまえがふった
[206.295] nopiki1018: 寝起き？
[206.305] harukunimotoki11: わこらだー
[206.380] ikachan02: 浮気ものだ
[206.418] 星空の海月: そう
[206.445] わまる01: radaoCry2
[206.590] (S)rosemary0920: うわ
[206.662] ぽむかも: らっでぃーのツイートで初リプ返もらえたからスパイダーマン見ようと思った
[206.799] karen__1121: そうやね
[206.825] natana_08: わこらだ
[206.841] rufuma: うん
[207.522] くるみ1209: うん
[207.556] 琉凪: うん
[207.562] さやかっぱ: そうや
[207.570] 狐日和2014: 今日雑談???
[207.720] piisuke0428: そう
[207.881] riku0572: そうだな
[207.985] nirakki: お前が逃げた
[208.111] macchan114514: ぽまえだ
[208.239] aruto_33: いっちょまえに？
[208.330] aiilo_: サイテー
[208.491] ちびちゃんん: もらえるもんは貰って捨てるタイプね
[208.608] Yakishio_1219: 最低だな
[208.836] pasu0517: そやな
[208.838] 縮緬雑魚: なにすんの？
[208.857] 百野ち: うん
[209.367] alice8629: 浮気じゃん
[209.582] (S)rigore_napoli: ぽまえのせい
[209.646] さめまる_: あーあ
[209.706] amane_0212: うん
[209.882] (S)ポテチの子: うん
[210.591] いろえんぴつ: モテモテかよ
[210.773] (S)aya_ksar: うんそう
[210.818] _ロゼ_: radaoCry2
[211.021] syura001: ぽまえが振ったんか
[211.029] カナバ: 雑談？
[211.231] nameko0621: お前がふったんだ
[211.466] (S)retomin0901: ぽまえのせい
[211.473] ゐゐは: 布教せなあかん
[211.700] 雪狐0143: おまえが振ったな
[211.702] rutta_26: ぽまえのせい
[211.776] mizutama__: 先っちょだけ放送キターーーーーーーーーーーわこらだ
[211.904] ひかりなんだ: らだおがふった
[212.131] 柔らかぷりん: らっでぃ
[212.307] (S)monakarintou110: わこらだ
[212.385] nasiaisu: ぽまえやん
[212.450] 雫_179: うーわ
[212.622] (S)~MISSING_COMMENTER_INFO~: タイプじゃないもんね
[212.806] samekosi: 俺はリアルで振られたよ
[212.808] zabuton_fuwafuwa: わこらだ
[212.840] mizuha12120721: ( ´・ω・`)っはんかち
[213.031] (S)タクトン: そうやって取っかえ引っ変えしてんだな今も…
[213.132] suzu6ya: うん
[213.163] みけぽちゃ: トレーナーさん悲しんでるかなぁ
[213.266] 14mugitha: 女たらし？
[213.377] スカイウリ: うん
[213.609] 220_099: らだおに振る権限ないでしょ
[213.692] dangokyoshinja: radaoCry2
[213.845] 雨祝: 被害者ズラって事？
[214.196] (S)露木ロコ: はい
[214.343] ゐゐは: こんにちは
[214.400] mikan__1124: 逃げられたと言うよりかは逃げただね
[214.555] riimito: お疲れ様です
[214.917] me1oxdy: ぽまえのせいだね
[216.017] ロクでなし: ちわっす
[216.129] nikoliliz: それはだめだよらだお
[216.241] nyun426: 私がかわりになったるよ///
[216.263] mattya_dau: わこらだ
[216.354] ケーブル接続: わこらだ
[216.378] 縮緬雑魚: なにを？
[216.575] シェリー_: わこらだ
[216.594] gonnchan: 何かするの？
[216.919] 魔莉奈: こんちゃ
[217.152] ai_ai0304: 殻入りケーキ…
[217.342] mini3931: ううわ
[217.391] raijin__1007: やるんだ
[217.581] ちゃのすけ: 雑談？
[217.610] annindouhu0530: 今北〜
[217.722] せいやせいちゃん: わこらだ
[217.911] あまぐ: わこらだ
[218.056] yuto020702: 浮気じゃん
[218.072] 誤字しまくるマン: こにちわ
[218.105] あーわ: お
[218.197] アーユン: 夜やぞ
[218.240] skysandayo: 振ってるやん
[218.446] thinking_gg: 眠そうやなw
[218.490] ririkada: ちょっとだけなってゆうけどだいたい結構してる
[218.713] no__chi: 泣いてるよ今頃トレーナーさん
[218.825] (S)たゆう_はね: わーい
[218.825] tetoram: わこらだ
[218.924] suibotu_: 何すんの？
[219.106] moguse_15: もうこんばんはじゃね？
[219.323] gi_1209: ねむい？
[219.413] るくおにく: なにを
[219.651] (S)こねずみ: はらへった
[219.723] okomemoti: ^o^
[219.871] ラーよ: 今きた
[220.204] (S)のせ太郎: なにを？
[220.287] f_erick: お
[220.290] ﾅﾒｺのな: 振れるのかよ
[221.075] mego0946: わこらだ
[221.119] ayunosioyaki0223: うおおおおおおお
[221.139] (S)aya_ksar: たらしかよ()
[221.190] solomon_0219: こんにちは
[221.208] にわすずめ: おい
[221.350] 砂ザトウ: やったぁー
[221.387] カナバ: おk
[221.840] (S)pao_pink_: ヴァロラントやりますか？
[221.969] ゐゐは: 座禅？
[222.081] k_otone: 被害者ズラするな
[222.281] アラル海: わーい
[222.340] shion_0202: わこらだ
[222.450] hoshi_aka_ri: radaoCry2
[223.051] (S)~MISSING_COMMENTER_INFO~: なにするのー？
[223.122] suzu6ya: ふったね
[223.238] (S)tsuM6G1_: お？
[223.314] sakura31644: お
[223.319] ケーブル接続: お
[223.413] cori5698: わー
[223.665] さびてん: わこらだ
[223.691] まちゃちゃちゃ: わこらだ
[223.716] しほり: なにやんの？
[223.860] (S)きょむきょむぷりん: わーい
[223.899] ちゅーだい: うんこちゃんの披露宴みた？
[223.938] 雫綺: 昨日はお楽しみでしたね
[224.250] 縮緬雑魚: 先っちょだけだから！
[224.359] daifuku10: なに〜？
[224.495] (S)itayui5: お〜？
[224.733] shizuku_088: わーい
[224.951] (S)スペルタン: ナニを？
[225.176] rizuki1219: こんちわ
[225.272] caf_coffee: 何やるの？
[225.368] ねこねこお嬢: ちわ
[225.498] (S)こねずみ: こんちわ
[225.504] mijinko_12: わこらだ
[225.550] matchamochi117: radaoWakotu
[225.698] gi_1209: はい
[225.747] me1oxdy: なにするん？
[225.886] hikojyun: らだおの声で言葉再生されたわ
[226.155] riimito: こんちは！
[226.274] omuraisu_nana10: お
[226.599] カナバ: キッシュ
[226.626] (S)塩ばたー: お
[226.848] syura001: もう終わる？
[227.043] (S)サノウラ: 今日はこの配信だけ？
[227.204] ramune_02gw: ヴァロ？
[227.268] okomemoti: こんちは
[227.293] koooohizeri: わこらぁ
[227.415] cori5698: お！
[227.430] raijin__1007: おお
[227.563] てんたた: わーい
[227.630] 海色: こんにちは
[227.899] Yakishio_1219: こんにちは
[228.067] ゐゐは: 座禅！
[228.101] 星空の海月: 眠そう
[228.106] gonnchan: えっろ
[228.187] るん1213: なにすんのー
[228.294] (S)うがら: お
[228.336] ruu_ha: おお
[228.380] (S)ナラ抹茶: お
[228.425] ttt_1onz: k
[228.516] ふーじのっ: バロの音がきこえる
[228.525] mizusakura0326: お
[228.630] (S)~MISSING_COMMENTER_INFO~: 雑談？？？
[228.742] itoido: お
[228.776] 魔莉奈: おぉ
[228.951] gi_1209: お
[228.965] piisuke0428: お
[228.968] (S)fuu_maru: なにする？
[228.971] 雪狐0143: はい
[229.159] syrup_rc: おい
[229.372] syuncho: やたー
[229.374] annindouhu0530: わこらだー！
[229.425] kyurin70: お
[229.590] nekomrnn930: お
[229.594] suibotu_: お
[229.606] たかぎ3: わこーらたー
[229.642] ayunosioyaki0223: おお
[229.660] 売買: おー
[229.823] tararu_095: わこらだー
[229.866] ちゃのすけ: おー
[229.908] (S)tarakobb: お
[231.001] 琉凪: お
[231.024] hoshi_aka_ri: わーい
[231.035] あきのね: わこらだ
[231.142] riku0572: お
[231.205] ラムネ味: お
[231.206] (S)ozokunchan: ナニするの？
[231.207] Niwatori005: お
[231.211] (S)みんてぃぁ: あーい
[231.239] 柔らかぷりん: おー
[231.309] f_erick: おぉ
[231.313] (S)塩ばたー: おおお
[231.361] riimito: おー
[231.373] 塩辛食べたい: お！
[231.374] (S)こねずみ: なにすんの？
[231.421] s_a4408: 殻いりのケーキ作るやつはいやらしいぞ
[231.707] (S)evolblackhole555: お
[231.750] cocona_1111: おおー
[231.750] nanananana016: 眠いね
[231.775] アストモ: お
[231.820] syamuneb: おー
[231.971] jyogijyogipen: お
[232.024] mineral_coa: わこらだ
[232.057] nirakki: お
[232.187] hanadango823: お
[232.190] akiaki48: お
[232.257] pasu0517: おお
[232.459] nemulimuli: わーい
[232.496] mope716: うおおおお
[232.628] (S)mingo__sk: radaoWakotu
[232.677] (S)itayui5: おお！！！
[232.703] (S)harusame55: お
[232.773] shibainu_48: わこらだー
[232.795] tomatotto_: わーい
[232.840] みかんの旅: お
[232.918] (S)fuu_maru: おおおおお
[234.020] (S)nenemaru_: おお
[234.087] maki_0205: うおおおお
[234.142] 彼明: おお
[234.216] どぎゃ: おー
[234.224] no__chi: おおおおおー
[234.271] alice8629: おお
[234.282] pon_pon_0314: 今日、誕生日なんでおめでとうください！
[234.288] ねねねい: わこらだ〜
[234.326] (S)タクトン: わーお
[234.476] nameko0621: お、何を
[234.535] dangokyoshinja: おおおお
[234.544] okomemoti: おおおおおおお
[234.556] 砂ザトウ: マジ！？
[234.648] 誤字しまくるマン: お
[234.688] nana_tiroru: お
[234.779] aiilo_: わーい
[234.782] じぇっさん: うおおお
[234.788] マポ酢: よっしゃ
[235.071] asuka_061: うぇーい
[235.079] ケーブル接続: やったぜ
[235.092] gonnchan: おー
[235.458] konbudesu: わこらだ
[235.585] (S)こねずみ: 雑談？
[235.671] jmpta: おおおおおおおお
[235.681] me1oxdy: ヴァロ？
[235.682] nekomrnn930: やたー
[235.685] aruto_33: あ
[235.697] ikachan02: きもい
[235.702] るん1213: わーい
[235.710] (S)tsuM6G1_: おおお
[235.765] (S)Sora1roooo: お
[235.808] ねこねこお嬢: おお
[235.900] syura001: おい
[235.902] kon_rou11: おー
[235.902] donbishari: おーー
[237.262] さやかっぱ: おおおおお
[237.321] nirakki: は
[237.369] 2jqtpja: ちょっと？
[237.495] りろ31: お
[237.607] (S)urullowo: ぐちさん
[237.792] koooohizeri: おー
[237.839] yume_1103: おぉー
[237.860] hoshi_aka_ri: 先っちょ
[238.337] (S)covalt_blue: radaoPien
[238.346] (S)pao_pink_: ソロコンペ!？
