[31.102] reo_821: unkochanYaa
[4391.667] 堀北まかない: 上手くいけばスリで敵の武器奪ってから戦闘開始もできる
[4393.022] (S)mimimiumiu1: ええな
[4396.446] nisuich: 所持重量を上げるのお勧め
[4401.562] manyyao: ピッキング楽しい
[4412.363] groovelivegroovelive: ピッキングとハッキングあるよな
[4415.851] kokohan4: ピッキングは経験値入るよな
[4421.952] 昼さん: いったん入れときますか
[4429.884] akazukin_san: 家具作ってそこにぶち込んどけ
[4430.119] groovelivegroovelive: 箱作って入れとけ
[4449.043] 昼さん: つかステーションに入れれる
[4451.527] akazukin_san: ！？
[4452.325] manyyao: 開けられない扉とか箱はモヤモヤするしねw
[4454.445] (S)mimimiumiu1: wwwwww
[4457.510] かじらぎ96: !?
[4457.875] groovelivegroovelive: きちゃな
[4458.475] ぱどめ: w
[4463.626] (S)mimimiumiu1: グレートムタやん
[4475.352] zutsukiel38b: 見てると久々にやりたくなるな
[4477.156] 昼さん: うぇ～～～～い
[4490.263] 摩利支天尊: 収納に見た目以外の差はまっっっったくなかった、と思う
[4491.365] 昼さん: ものすごい量だ
[4510.940] 木下ともお: 結婚指輪・・・
[4513.860] manyyao: だんだん使いこなしてる
[4514.518] groovelivegroovelive: 街着いたら売ればいい
[4521.146] soatakaaki: DLCある？
[4522.693] kokohan4: 比較的綺麗ｗｗ
[4528.383] 昼さん: 贅沢言わない！
[4537.550] (S)ミズタニ: 優雅なクラシックで草
[4562.797] groovelivegroovelive: 電池使うからなあ
[4568.849] soatakaaki: フュージョンコア消費するけどめちゃくちゃ固くなるぞ
[4570.810] 昼さん: フュージョンコアもうすぐ切れるよ
[4578.273] kokohan4: コアが無くなると動けなくなるから、悩む
[4579.332] 摩利支天尊: コアが0になったらそこで終了ですよ
[4584.747] (S)mimimiumiu1: いざという時着よう
[4604.675] manyyao: 最後まで生身でもいいぐらい
[4610.267] 昼さん: 強い替わり電池制だったりいろいろ制限ある
[4614.128] groovelivegroovelive: とりあえずVATS覚えないと死ぬぞ
[4632.490] 昼さん: V.A.T.S.学びたいすね
[4655.475] akazukin_san: ｗ
[4658.404] 昼さん: みにがん💛
[4666.261] manyyao: かわいいw
[4667.428] pepeko1174: ♡
[4669.407] 堀北まかない: L1とかだっけ
[4672.300] 昼さん: ぎゃるがんみてぇだ
[4677.953] Ippo360: マスケットはリロードボタン何回か押してチャージして段数が２になったら発射
[4699.883] Ippo360: VATSはL２ボタンに設定してたっぽいよ
[4709.114] groovelivegroovelive: きたーーーー
[4712.846] kokohan4: 時が遅くなる
[4737.494] manyyao: VATS索敵にも使えたと思う
[4747.517] 堀北まかない: 至近距離とか手動じゃ当たらないもんね
[4750.912] 昼さん: さあ いくか！
[4759.357] のな: 俺も記憶消して最初からやりてー
[4782.313] kokohan4: 荒廃した世界や
[4788.902] groovelivegroovelive: 敵でたらVATSな
[4797.610] 玉ヒュンケル: らむたんおはおー
[4826.175] kokohan4: せや
[4829.131] 玉ヒュンケル: 面白い？
[4830.040] 昼さん: そうだね
[4832.363] groovelivegroovelive: せやな
[4862.077] 昼さん: 今の人の服着てるわけか
[4870.675] kokohan4: インゲンみたいに言うなｗｗ
[4876.138] groovelivegroovelive: あ、でた
[4883.121] (S)mimimiumiu1: 目の前で作物を収穫
[4898.152] manyyao: 住人に服着せたりもできる
[4917.223] groovelivegroovelive: コズワース連れてこう
[4922.962] (S)mimimiumiu1: 持たざるもの
[4935.437] 昼さん: 困りがおチャンピオン
[4940.965] kokohan4: 下がり眉
[4973.303] Ippo360: マママ？
[4977.911] 昼さん: は？おれんちなんだが？？
[5000.728] daidaidaidesu: HeyGuys
[5005.407] 昼さん: 東京グール的な
[5014.939] カイくん1010: ワイもグールだけど生きてるよー
[5029.554] 昼さん: いやお前が行きなさいよ
[5042.472] (S)mimimiumiu1: ﾐﾆｯﾂﾒｰﾝ
[5043.481] daidaidaidesu: ところで将軍
[5045.191] カイくん1010: ぐんぐんあがる
[5048.968] manyyao: にちゃあ
[5058.066] 昼さん: クエスト達成がいっちゃん入るね
[5058.563] 摩利支天尊: 既プレイ「 
[5071.166] daidaidaidesu: それいいよ
[5072.258] kokohan4: 弾も欲しい
[5081.263] kokohan4: ブラック・ウィドウ
[5082.958] otamajyakushi: こんにちは！
[5087.363] 昼さん: 玉枯渇しつつあるもんねｗ
[5102.810] カイくん1010: 男性キャラだと女性に誘惑になるよね
[5112.926] 昼さん: 男が主人公の場合 レディキラーだったか
[5120.771] daidaidaidesu: 水に入っても放射能受けないパークいいよ
[5121.128] 摩利支天尊: レディーキラー
[5195.913] (S)mimimiumiu1: 脳筋強し
[5196.992] 昼さん: ワイルドすぎる
[5199.662] kokohan4: 戦闘上手くて草
[5215.937] 昼さん: 格ゲー始まった
[5220.040] daidaidaidesu: 放射能嵐
[5235.966] カイくん1010: てめえ！
[5239.022] 玉ヒュンケル: めっちゃ撃たれてるやん
[5255.823] (S)mimimiumiu1: 部位を狙える
[5256.226] manyyao: コンパスに映るランドマークアイコンの大きさでだいたいの距離わかったはず
[5258.532] 玉ヒュンケル: 弱点？
[5258.913] daidaidaidesu: 命中率
[5267.182] 昼さん: ％高い箇所狙え！
[5276.308] kokohan4: 追い剥ぎやんけ
[5277.331] カイくん1010: 犬がくったw
[5280.352] tadafu: 部位によって命中率変わる
[5286.089] (S)mimimiumiu1: ドッグミートがかじった
[5287.527] 昼さん: 盛り上がってまいりました
[5290.159] kokohan4: 放射能の嵐や
[5292.719] 玉ヒュンケル: ブリーフ最強
[5299.042] tadafu: 放射能嵐
[5300.684] daidaidaidesu: 放射能嵐は時間早送りで回避
[5300.886] カイくん1010: 放射能の嵐
[5304.518] kokohan4: 屋内に行け
[5308.365] ロ0ロ: そういう天気
[5331.155] manyyao: ランドマーク目指すか！
[5335.066] カイくん1010: 花粉みたいなもん
[5344.696] tadafu: ファストトラベルでサンクチュアリ行けば
[5346.037] 昼さん: 放射能やどりしないと４んじゃう！
[5383.671] manyyao: やりすごせそうだね
[5393.484] ロ0ロ: RADアウェイ飲めばいいよ
[5398.846] 玉ヒュンケル: ラムちゃんドラマ見た？
[5418.926] kokohan4: 賢い
[5429.128] 昼さん: 地味に大事よね
[5438.014] akichi21: こんちゃ フォールアウトはオモロー？
[5448.825] manyyao: ラッドをアウェイ
[5493.353] kokohan4: 快晴や
[5496.591] 昼さん: 取り漏らしなし！
[5496.733] (S)mimimiumiu1: 晴れたや
[5500.730] 昼さん: うおおおおお
[5509.691] daidaidaidesu: そのロボット動くぞ
[5531.553] kokohan4: パワーアーマーじゃね？
[5533.038] daidaidaidesu: パワーアーマー
[5566.643] manyyao: 敵かどうかVATSで確認したり
[5589.398] 昼さん: コマンドバトルにもちこめる
[5597.683] daidaidaidesu: VATSじゃエイム得意なら必要ない
[5606.929] kokohan4: ケツ撃ち
[5627.964] manyyao: 命中もだけど人なかあえて部位破壊ねらったり
[5643.547] (S)mimimiumiu1: APが足りてない
[5685.750] manyyao: ドライブゲージ管理大事
[5714.106] kokohan4: ええやんけ
[5717.714] (S)mimimiumiu1: ええね
[5740.512] 昼さん: けっこう深刻ですな
[5765.531] daidaidaidesu: 数字大きいほうが命中率あがる
[5766.072] 昼さん: 弾売ってくれる商人も確保したいな
[5782.026] manyyao: 近接も楽しい
[5782.885] 昼さん: スパンキング
[5786.015] daidaidaidesu: 近接でもVATSできるぞ
[5807.240] 昼さん: ｗｗｗｗｗｗ
[5808.166] kokohan4: 地雷？！
[5808.556] (S)mimimiumiu1: 罠！
[5808.821] こんすたんてぃん: ｗｗｗｗ
[5809.468] Ippo360: 草
[5814.450] opennnnnnnn: きたーーー
[5814.693] manyyao: あぅ
[5817.034] 堀北まかない: 特攻隊
[5821.324] 昼さん: 爆弾犬かな？ｗ
[5822.114] _くまたん_: お!めっちゃおもろいゲームやってる！
[5829.574] puchirisu: 爆弾付いた犬が突っ込んできた
[5831.388] (S)mimimiumiu1: けっこう戻るな…
[5831.891] toda0613: 地雷
[5848.953] manyyao: クイックセーブ学び
[5864.860] Ippo360: それはそう
[5868.458] manyyao: 割と事故るw
[5899.740] 昼さん: 今作初だとそうとう初見キルくらいそうｗ
[5921.642] (S)maro134r: いなくなるとすぐキーボード触るw
[5936.732] (S)mimimiumiu1: プレイしてるな
[5940.362] (S)maro134r: メロ君お話ししようぜ
[5961.812] はりぼう: こんにちは！ 自分はドラマ見て始めましたｗ
[6083.400] (S)mimimiumiu1: セーブセーブセーブ〜
[6106.567] 昼さん: 村おこしチュートリアルもできると思います 気が向いたら村の誰かに話しかけてください！
[6138.349] kokohan4: 行けたら行くわ精神で草
[6145.601] (S)maro134r: 気が向くとは言ってない
[6149.906] otamajyakushi: あ
[6150.996] soatakaaki: ひどい
[6163.206] manyyao: 節約いいね
[6177.541] kokohan4: おほおお
[6184.914] 昼さん: ぐっろぉ
[6186.824] akichi21: 頭ぱーん！
[6195.070] (S)mimimiumiu1: 数字が確立やねん
[6197.214] kokohan4: 数字が命中率や
[6197.450] manyyao: バーンアウター
[6201.767] ヤクザ商売: gm aim
[6221.704] 昼さん: いる
[6231.147] otamajyakushi: 6
[6272.797] 昼さん: 弾くれ～～
[6299.222] manyyao: あえて部位連打もありやけどね
[6300.443] 昼さん: 急所にワンチャンかけるのも有効
[6314.931] 堀北まかない: 胴体当たりやすいけど、部位破壊あるからどっちもどっち
[6329.960] 田所大掃除: ここらでクイックセーブどうですか
[6337.152] (S)mimimiumiu1: 電池無い
[6339.553] manyyao: コアなしかな
[6343.492] kokohan4: フュージョンコア持ってないんか
[6352.112] otamajyakushi: めっちゃ重いよ
[6358.258] manyyao: アーマーくそおも
[6384.789] 昼さん: 意外と持てる犬
[6402.687] (S)mimimiumiu1: リードでくくりつけてる
[6423.929] (S)mimimiumiu1: セーブ定期
[6442.172] 昼さん: あっぶな
[6443.748] taka8caso: あぶね
[6446.844] kokohan4: 特攻ｗｗ
[6450.476] manyyao: ないすな
[6453.347] otamajyakushi: ボマー
[6454.684] daidaidaidesu: 上
[6457.987] KAMEsaburo: 上
[6461.298] kokohan4: そういうときこそVATSや
[6494.476] (S)mimimiumiu1: 犬は死なんのやって
[6504.975] manyyao: どっからって時は下のコンパス見たりVATS使ったり
[6505.998] marumarurinkota: おバカちゃん
[6512.609] daidaidaidesu: こいつ無敵だぞ
[6535.152] 木下ともお: 取引
[6558.784] 昼さん: NPCの装備はある程度干渉できるみたい
[6568.862] shuttleee990: やあ
[6619.000] 昼さん: どぐみー！
[6667.477] 昼さん: 犬側で装備
[6668.315] 木下ともお: 犬のインベントリで装備出来ないかな
[6672.438] manyyao: 右の枠に装備ボタンあったと思う
[6676.481] kokohan4: ドッグミート側の選択項目に行くと装備って表示が出てたら出来る
[6692.197] toda0613: 過去作だと仲間の不死属性無かったからマジで死んだらそれっきりだった
[6719.490] shuttleee990: ドラマおもろかったから早く見てほしい
[6719.884] 木下ともお: 溶接のゴーグルもドッグミート装備できるかも
[6720.438] urushido1: わかる
[6728.501] manyyao: MODあればな
[6738.359] kokohan4: ええやんけ
[6738.873] (S)mimimiumiu1: きゅん
[6740.648] akfjaklsfj: ｳﾋﾋﾋﾋ
[6740.730] manyyao: 着せ替えたのしい
[6745.982] 昼さん: 愛着湧く
[6759.149] toda0613: かわe
[6776.475] manyyao: 拠点の住人も全員着せ替えたりしてたw
[6784.067] (S)mimimiumiu1: 金
[6787.044] フジネコ: らむ好きやで
[6788.520] 木下ともお: クリエイションクラブで課金して好きな犬種にするのもいいよ
[6790.010] nisuich: 通貨
[6791.001] 昼さん: この世界の通貨
[6793.977] めっちゃ67です: お金だよ
[6796.637] 堀北まかない: 結局一人称操作のほうがやりやすくてマウスに戻りがち
[6815.891] 昼さん: きたきた
[6820.000] oka_people_: ヌカコーラのキャップが通貨
[6823.441] otamajyakushi: ヌカコーラのキャップがこの世界の通貨になってる
[6839.050] manyyao: ちっかw
[6840.336] 昼さん: ミニッツメンのパシリなんですけどね
[6853.550] c_h_a_k_a_60: ヌカコーラの瓶のキャップだっけ？
[6871.148] daidaidaidesu: 序盤の難所きた
[6871.667] 昼さん: レイダーはヒャッハー
[6873.973] urushido1: レイダーは盗賊
[6874.653] oka_people_: グールはゾンビ
[6915.504] (S)maro134r: 1ヶ月だけでも取ってもらえませんか？洗剤も付きます
[6923.009] 昼さん: AIDに追加されてるはず
[6951.802] manyyao: 上手に焼けたじゃん
[7061.182] (S)mimimiumiu1: きんも
[7068.931] 昼さん: レンチ扱いが板についてきた
[7106.256] kokohan4: 現実でもレンチで叩かれたら痛いしな
[7111.909] 昼さん: １１もある！
[7134.988] manyyao: さすがダイイングライター
[7159.456] 昼さん: これもきもちいですよね
[7165.314] daidaidaidesu: ピッキングうま
[7175.412] manyyao: ダイイングライト2もおもろいよね
[7238.319] 昼さん: ふむー
[7272.317] kokohan4: ココのテクスチャおかしいんだよな
[7293.466] (S)mimimiumiu1: いいわぁん
[7302.879] 昼さん: 人いなかった？
[7364.854] 昼さん: うおおお
[7383.606] daidaidaidesu: ここはRADXが必要
[7396.026] otamajyakushi: 潜らないといけないのか
[7409.109] manyyao: あ
[7412.986] otamajyakushi: うおw
[7413.657] 昼さん: 漢すぎん？
[7414.810] (S)mimimiumiu1: 事故w
[7428.234] まんじよしだ: www
[7429.095] (S)mimimiumiu1: セーブ
[7446.764] akazukin_san: ジラジラしてるｗ
[7448.460] 昼さん: 雨がうまく表示されてないな
[7465.620] ロ0ロ: 水に入ってもRADにならないパークある
[7465.890] daidaidaidesu: RAD-X
[7476.281] (S)mimimiumiu1: アウェイでなおす
[7477.313] manyyao: アウェイしちゃお
[7487.030] 昼さん: 除去はアウェイ
[7490.550] akazukin_san: RAD-Xは耐性上げる
[7493.394] daidaidaidesu: それ飲んだら潜れるぞ
[7505.818] helpman0912: Xは暫くの間、放射能耐性つく
[7524.296] daidaidaidesu: 泡が目印
[7524.453] 昼さん: けっこうあるな
[7541.765] daidaidaidesu: 水面に泡出てるところの下
[7553.558] manyyao: いいね
[7554.669] (S)mimimiumiu1: おー
[7592.573] KAMEsaburo: テクスチャに隠れてる？
[7608.780] (S)mimimiumiu1: wwwww
[7621.079] 昼さん: ベセスダの洗礼
[7621.512] ダダダーク: ここよくテクスチャバグるぞ
[7683.751] もたぁ: フォールアウト難しくないですか？？放射線がよくわからなくて笑
[7691.393] 昼さん: うぇぇ
[7711.765] manyyao: 辺りがぺたんこのテクスチャに包まれてるw
[7712.504] ダダダーク: あ
[7719.793] monchan_man: 初コメ。ここ自分もバグっててめんどくさかったな。
[7720.689] 昼さん: 天敵ｷﾀｰ
[7732.601] daidaidaidesu: 顔
[7741.496] ダダダーク: そいつ殻硬いから内側狙うといいぞ
[7742.446] otamajyakushi: かってえ
[7743.021] (S)mimimiumiu1: せーーーぶ！
[7744.253] akichi21: 強敵
[7745.314] akazukin_san: はいー
[7749.084] otamajyakushi: あ
[7750.043] daidaidaidesu: VATSで頭狙う
[7753.983] monchan_man: あらセクシーな４
[7758.671] otamajyakushi: どっからだ？
[7760.819] (S)mimimiumiu1: よかったー
[7761.881] helpman0912: 序盤はこいつ強いねぇ
[7763.245] manyyao: たすかりたー
[7766.478] 摩利支天尊: VATSでわざわざ甲羅ねらう奴ｗｗｗ
[7773.013] 昼さん: どうしようかね
[7773.756] (S)mimimiumiu1: 中身を狙うのか
[7784.348] daidaidaidesu: ソフトシェルだから弱いよ
[7806.671] monchan_man: 変わらず硬いな・・
[7808.353] kokohan4: 回復しとけ
[7816.090] 昼さん: エイムうまし
[7821.240] KAMEsaburo: 回復してね
[7823.030] akazukin_san: ｗ
[7824.739] 昼さん: ﾎﾟｺｯ
[7826.760] ikarepont: 普通頭じゃね？
[7829.434] 堀北まかない: カニパンチ！
[7832.235] monchan_man: ワンパーーーンチ！！
[7833.733] daidaidaidesu: 足狙うと足止めできるよ
[7837.289] もたぁ: www
[7839.149] kokohan4: 初期HPが半分だからキツイな
[7839.753] ダダダーク: 脚壊せば雑魚になる
[7840.579] 昼さん: ３匹もいるぞw
[7849.760] 昼さん: 切り札切るか
[7850.101] monchan_man: もったいない
[7859.843] 摩利支天尊: セーブ近いから安心して煽れる
[7865.776] manyyao: 高いとこから狙うとかもありかな
[7870.522] daidaidaidesu: NPCになすりつけろ
[7873.907] 堀北まかない: 近いならkん説武器でVATSも使えるよ
[7881.179] harutaito: マライアークの肉は旨いぞぉ
[7882.272] 堀北まかない: 近接
[7894.744] monchan_man: あれ？
[7909.524] monchan_man: お
[7917.533] manyyao: ぽきっ
[7920.685] 摩利支天尊: いいねぇ
[7924.078] monchan_man: リスナーさんありがとうね
[7924.610] otamajyakushi: おー
[7925.486] 昼さん: のっっろｗ
[7935.608] kokohan4: あ
[7940.383] monchan_man: あるね
[7940.748] 堀北まかない: 武器持ってるやつなら腕とか
[7941.996] daidaidaidesu: 敵によって弱点ある
[7947.490] monchan_man: ｗｗｗｗｗ
[7950.867] kokohan4: 円谷
[7958.687] helpman0912: 銃持ってるやつの持ちて壊すと銃落とすね
[7960.291] groovelivegroovelive: ういーす
[7962.743] ikarepont: モンスターごとにそういうのあるだろうね
[7976.425] 摩利支天尊: デスクローなんかもマジで足ぶっ壊せばザコ
[7977.387] monchan_man: てかわかってたなら言えよな
[7977.934] 昼さん: ピンチ！
[7991.575] otamajyakushi: クエスト完了だ
[8006.725] 昼さん: これなんか新しいとこか料理連発で上がるな
[8014.147] groovelivegroovelive: 今どこだこれ
[8019.856] 昼さん: クエスト経験値うまいんよね
[8023.327] akichi21: FO4最初の方でやめてるんだけどまたやろうかな
[8025.917] kokohan4: ぐっすりやんけ
[8028.428] monchan_man: 爆睡
[8029.611] daidaidaidesu: 序盤中の序盤
[8055.945] kokohan4: 料理で経験値入るしね
[8056.777] otamajyakushi: つくれね
[8058.595] helpman0912: 実は最近アプデ入って追加武器とかきてますね
[8072.419] retalk3000: こんにちはー
[8072.663] manyyao: 焼き虫
[8079.956] groovelivegroovelive: マジかよアプデされたんだ
[8086.504] monchan_man: ドラマおもしろかったからもう一回やるのもありかな
[8087.777] kokohan4: いらない武器と防具は解体したほうがエエ
[8089.083] daidaidaidesu: 序盤は売ったほうがいい
[8089.561] nisuich: @groovelivegroovelive デスクロー倒してサンク出たとこ
[8090.733] otamajyakushi: 解体しよー
[8093.506] 昼さん: せぶした？
[8095.070] monchan_man: 解体いいと思います
[8101.027] groovelivegroovelive: サンクス
[8112.599] 昼さん: そう まだその段階
[8117.415] kokohan4: ハイウェイあるな
[8131.924] manyyao: 高速道路いいね
[8136.334] groovelivegroovelive: 虐待
[8137.634] monchan_man: 肉！！！！
[8139.086] 昼さん: 牛おとなしんだな
[8141.079] ダダダーク: あ
[8151.006] helpman0912: 序盤は売って、本格的にクラフトするかってくらいで解体かなぁ、序盤は弾すら苦労するからお金は欲しいよね
[8165.047] ikarepont: ラック
[8170.451] kokohan4: 弾も欲しい
[8171.738] harutaito: 鍵あけ
[8173.373] daidaidaidesu: 脳禁ならストレングス
[8177.605] 昼さん: 基礎上げてもいいし ＰＡＲＫでも良い
[8177.605] ダダダーク: idiot神だぞ
[8186.360] 授乳デップ: たのしいからね
[8187.907] 堀北まかない: ラッキーのVATSパークが強い
[8192.803] くね君: LUCKで取れるやつが強いんだよね
[8193.511] monchan_man: いやー
[8193.854] manyyao: 正直くっそ強い
[8195.474] 昼さん: すきなのにしたらいい
[8198.640] daidaidaidesu: ラッキーはヌルゲーになるぞ
[8198.879] groovelivegroovelive: ぶっちゃけなんでもいい
[8200.737] monchan_man: やっぱ荷物もてないとどうにもならん
[8203.108] harutaito: 鍵開けあげとくと後半強いぞ
[8210.652] tadafu: 下のほうにランダムで獲得経験値倍になるやつあるよ
[8214.506] helpman0912: オレは上げてないなあ、テンプレなんかやってもつまらんし
[8218.226] daidaidaidesu: 正直なんでもいい
[8240.172] ikarepont: キモいスキルばっかとって欲しい
[8240.485] 堀北まかない: ほかにもいろいろある
[8245.618] harutaito: それ強いばっつ
[8245.860] groovelivegroovelive: 相手がバラバラにぶっ飛ぶパークなかったっけ
[8247.812] akichi21: 自由なゲームだから、お好きなものを
[8255.624] 昼さん: 何かに直面してほしくなった時までとっとくという手も！
[8255.827] otmp4545: Buds
[8263.850] kokohan4: 近接の攻撃力も上げたいよな。悩む
[8264.307] daidaidaidesu: 近接好きなら近接パーク
[8271.020] manyyao: 自分のやりたいロールプレイに合わせるのが楽しい
[8275.038] (S)mimimiumiu1: なやむよなぁ
[8277.461] helpman0912: ストレングスは近接とか、あと所持重量増加もああるね
[8288.353] groovelivegroovelive: 脳筋楽しいよな
[8290.626] manyyao: 接近していくー
[8292.116] monchan_man: そうですねー
[8304.964] daidaidaidesu: ｗｗｗ
[8309.012] monchan_man: ｗｗｗｗｗ
[8317.219] manyyao: 閉じるやいなやw
[8318.288] daidaidaidesu: それ強いぞ
[8321.276] (S)mimimiumiu1: 試し切り出来て良かったwww
[8321.896] 授乳デップ: グールこええ
[8336.191] kokohan4: 賢い！！
[8341.730] 昼さん: 攻略法見つけちまった
[8347.518] monchan_man: すばらしい
[8347.587] くね君: 世紀末に適応してる
[8348.669] akichi21: 機動力を奪う
[8349.847] groovelivegroovelive: ひどい
[8351.184] manyyao: あとは煮るなり焼くなり
[8359.071] monchan_man: 女性は適応能力が高い
[8360.910] mado357: おもろ
[8370.516] 昼さん: 倒れたら犬の餌食よ
[8372.926] daidaidaidesu: 賢い
[8377.255] groovelivegroovelive: 元は人間だぞ
[8384.817] _くまたん_: なんてことを...
[8398.239] kokohan4: 弾の消費を抑えたい（無抵抗な相手を一方的に殴りたい）
[8398.556] monchan_man: 制圧したBGMかｗ
[8401.525] otamajyakushi: ラムは玉無し
[8444.444] monchan_man: きかんのかーい
[8450.201] groovelivegroovelive: コミックスあった？
[8465.946] kokohan4: 夜中明るくなる
[8491.758] monchan_man: ワンちゃんナイス！
[8501.970] manyyao: しとめるだけならバッシュでもいいかも
[8502.208] groovelivegroovelive: コミックス読むと能力上がるぞ
[8518.624] kokohan4: コロコロ？
[8519.352] ダダダーク: 取得する弾の量が増えるパークとかあったな
[8536.934] daidaidaidesu: 10ミリ弾序盤はなくなりがち
[8540.308] monchan_man: ここじゃないか
[8565.707] monchan_man: ワンこにパワーアーマーもたせてるのｗ
[8582.186] ダダダーク: 荷物持ちで草
[8586.174] groovelivegroovelive: 人間だと装備するからな
[8594.077] kokohan4: 躊躇なく足吹っ飛ばすの好き
[8621.827] monchan_man: こっわｗ
[8623.196] くね君: カリカリ
[8624.782] manyyao: たまにはセーブもね
[8662.633] lodnv: しゃがむと敵居るのかわかります
[8666.020] monchan_man: あ
[8685.207] akazukin_san: そんなポンポンあるもんじゃねえよｗ
[8720.687] ダダダーク: ゴミばっか拾ってて草
[8725.657] gattuman1225: 犬肉
[8728.546] helpman0912: もうそろそろファストトラベルで戻るのもあり
[8734.006] 授乳デップ: ファストトラベルできないっけ
[8735.724] kokohan4: あんぐり
[8739.270] くね君: 一旦拠点逝くのも視野
[8756.635] groovelivegroovelive: 序盤の荷物持ちイライラするよな
[8762.396] monchan_man: うおおおおお
[8763.382] manyyao: ウェイト５以上は拾わないとかでもありやね
[8785.613] kokohan4: 一回サンクチュアリ戻る？
[8814.507] monchan_man: ファストラできなくなっちゃうからね
[8871.120] monchan_man: いえ、やってるフリです。岸田と同じです。
[8872.164] daidaidaidesu: ばらしていいよ
[8873.748] 摩利支天尊: 仕事してるふり
[8878.292] monchan_man: バラしてください
[8878.827] 昼さん: ばらす必要ないですね
[8879.558] kokohan4: ワークショップに移せばエエんや
[8881.896] くね君: ワークショップにぶちこむ
[8892.309] 昼さん: 使う時自動でばらしてくれる
[8903.389] monchan_man: 合ってないような・・
[8903.732] helpman0912: バラすと素材して見やすくなるってだけで、ワークベンチに預けとけばモノのままでも素材としてカウントはされてる
[8907.296] kokohan4: バラさなくてもワークショップにいれれば素材として使えるで
[8921.801] groovelivegroovelive: 間違ってるだろ笑笑
[8937.546] daidaidaidesu: バラすと素材ごとにソートされるから使いやすくなる
[8938.316] monchan_man: 斬新なやりかたですね
[8941.459] manyyao: バラシ中毒でおもろいw
[8946.096] 授乳デップ: このやり方初めて見た
[8962.481] 昼さん: 単にバラしたいんだねw
[8962.958] ダダダーク: くせになってんだ、ばらすの
[8965.855] kokohan4: ええで
[8965.988] monchan_man: バラしちゃうとなにで素材手に入れたか忘れちゃうんだよな確か
[8974.560] ダダダーク: VAL低いのバラすといいぞ
[8987.090] kokohan4: 12キロもあるで
[8989.227] nisuich: パイプ武器は捨てて大丈夫
[8989.345] daidaidaidesu: 正直弱い
[8993.437] groovelivegroovelive: ハンマー重すぎるやろ
[8997.280] monchan_man: 動きがのろくて使いにくい
[9007.072] urushido1: ☆ついてない奴は基本的にバラシていいと思うよ
[9017.673] 授乳デップ: ミニガンクソ重いよ
[9026.305] monchan_man: えー序盤のお供がぁ
[9029.968] くね君: パイプは弾手に入りやすいから序盤の相棒
[9033.313] groovelivegroovelive: ミニガン重すぎ
[9035.903] kokohan4: カッコいいなら持っててもエエな
[9036.342] ダダダーク: ミニガン預けたほうがいい
[9043.612] daidaidaidesu: バラす前にパーツ外すとええで
[9043.892] monchan_man: ミニガン正直使わない
[9047.314] manyyao: かっこいいやつは飾りたい
[9054.392] helpman0912: パイプは威力ないけど序盤弾手に入るからね、持ってていい
[9074.350] daidaidaidesu: 10mm弾もうないからパイプ武器使うぞ
[9091.991] groovelivegroovelive: レザーアーマーかっこよくてすこ
[9097.506] _くまたん_: サイレンサーつけてしゃがんでパイプ武器使ってたなあ
[9101.975] daidaidaidesu: パワーアーマー
[9114.860] ダダダーク: アパレル
[9131.082] 授乳デップ: ソートで重さ順にできる
[9142.631] daidaidaidesu: ばらしてもええで
[9142.809] kokohan4: 売る相手がな……
[9143.709] monchan_man: オシャレなど世紀末に不要！！
[9148.260] ダダダーク: アパレルはアーマークラフト見てぇなので分解できる
[9148.873] _くまたん_: 食べ物と薬と防具いらない
[9155.655] 昼さん: 売る時までとっとくのも
[9155.856] manyyao: 迷うなら箱作ってほりこむか
[9157.497] groovelivegroovelive: アパレルぶち込むかバラすか
[9163.114] kokohan4: アーマー作業台でばらせる
[9165.743] helpman0912: 高いやつは売るのもあり、今の序盤だと売る相手少なすぎるから置いておくのもいいかもね
[9189.221] groovelivegroovelive: ぶち込み箱作ろう
[9191.739] daidaidaidesu: 満足度ひっく
[9216.959] _くまたん_: 食料も水も足りてないw
[9226.639] _くまたん_: パワーアーマーいらない
[9231.649] groovelivegroovelive: 軽くなったな
[9233.184] monchan_man: パワーアーマーって自分ほとんど使わなかったわ
[9236.323] daidaidaidesu: レザーアーマーは装備したほうがいいよ
[9238.498] _くまたん_: 拠点の
[9245.048] ダダダーク: 装備全然してねぇじゃねぇかよ！
[9245.106] manyyao: 衣食住
[9248.424] helpman0912: 水とか寝床とか食料おかないと不満になる
[9267.124] monchan_man: 足りないんじゃない？
[9272.025] groovelivegroovelive: 1番しょぼいやつでいいよな
[9272.383] kokohan4: 雑魚寝
[9289.186] kamemochi: 病院！？
[9297.000] monchan_man: 病棟っすね・・
[9304.685] manyyao: 密っ
[9306.038] RoJyaPop: 資源
[9311.152] monchan_man: あるでしょ音がきこえますよ
[9311.265] groovelivegroovelive: 井戸みたいなのなかった？
[9316.636] kokohan4: ポンプがあるだけで何故かきれいな水を作れる
[9327.519] moge123: 酔わない？
[9338.840] groovelivegroovelive: きたーー
[9354.124] manyyao: いいね
[9354.313] 授乳デップ: どこでも水が出る魔法のポンプ
[9364.097] daidaidaidesu: 寝た
[9384.091] helpman0912: きっと地下水は核に汚染されてない・・・らしい
[9389.210] 昼さん: クエストアクティブでマーカーつけれます
[9407.295] kokohan4: 建ててもエエな
[9415.873] 摩利支天尊: 建設画面の上に出るやつが赤い文字じゃなくなればOK
