[10.182] ミュク: よっ
[6027.542] アメーダ: 普通じゃないジャムとは
[6029.256] eda_donguri: この世で一番使われてるジャム
[6030.075] (S)ミカロニ: はんじょうのネタ
[6032.336] gurikororo: wwww
[6037.333] flkkt: www
[6037.345] (S)おすぅしぃ: だーかーらー！普通のジャムだって！
[6038.908] ab4d__: 普通のジャムください
[6053.520] (S)persinette821: 普通のジャムに引っ張られ過ぎてるｗ
[6054.381] ウロ: バターで恥ずかしいです
[6055.646] 初雪みかん: こんばん！ラウンジ参加希望！
[6057.215] ななな7: 画面酔いからもどってきたらたのしそうなのやってた
[6067.337] ぜろこーど: 難しい
[6071.620] gurikororo: ムズくね
[6082.564] はらまきっ: わかる
[6083.956] gurikororo: sunaodInsotu
[6085.271] ab4d__: これ戻れないのかな
[6096.078] eda_donguri: 入れなくなっちゃった；；
[6119.182] 初雪みかん: やったぁ！ありがと！
[6124.376] taku_4321: 回答する前に待機プレイヤー参加がある
[6124.582] 初雪みかん: ｗｗ
[6127.669] gurikororo: wwww
[6131.952] (S)おすぅしぃ: アス比ミスってる
[6135.693] (S)ミカロニ: 映画のことだっけ？
[6135.837] ab4d__: 難易度あがるでぇ
[6176.109] (S)ミカロニ: 動きの激しい映画、劇を活劇と呼ぶそうです
[6184.046] (S)yucassh: 冒険活劇
[6235.588] (B)sunao_desuu: https://loungegamejoin.site/enter/dG9rZW49YVdROU1qZ3dOelkzTlNadVlXMWxQVTFVWTNoT2VrbDZUbnBWTTAxbg
[6274.203] (S)ミカロニ: はんじょう「普通のジャムください」店員「？」はんじょう「普通のジャムですって」店員「いちごジャムとかですか？」はんじょう「分かってんじゃん」←ってことがありました
[6302.025] gurikororo: w
[6307.101] (S)persinette821: やばいｗｗ
[6310.052] 初雪みかん: はんぜうクオリティの会話
[6316.210] eda_donguri: はいれた！
[6316.227] gurikororo: 引かれてるw
[6317.829] ななな7: かけた！
[6325.925] 初雪みかん: 大丈夫！
[6326.572] ab4d__: いけてます！
[6328.454] (S)おすぅしぃ: ノ
[6333.599] cafelatte99: いけたー
[6343.969] wadaryu_ope2: もう13人回答してる
[6351.782] taku_4321: 毎回回答する前に右上に待機プレイヤー参加がある
[6363.282] ぜろこーど: 勝ったな
[6366.670] gurikororo: sunaodInsotu
[6366.867] (S)persinette821: 1問目簡単がち
[6371.179] はらまきっ: お題の画面かな
[6380.623] ななな7: え
[6386.678] ウロ: まあ二択やな
[6387.136] eda_donguri: sunaodGyoee
[6406.077] cafelatte99: あ
[6409.908] 初雪みかん: 全然違うｗ
[6410.856] gurikororo: あ
[6411.810] ab4d__: え？
[6412.764] wasabi_suki: ｗｗ
[6412.971] はらまきっ: ｗｗｗ
[6418.232] (S)persinette821: たまごｗｗ
[6418.553] ウロ: おにぎり迷ったなぁ
[6423.384] gurikororo: バナナ
[6429.080] ab4d__: ゆで卵一口なのに…
[6431.026] wadaryu_ope2: バナナはわかる
[6432.641] 初雪みかん: っぱバナナよ！
[6433.162] (S)ミカロニ: 今度こそさんちっさ
[6434.882] 海老マシンガン: たまごいいね
[6437.452] eda_donguri: ｗｗ
[6441.994] gurikororo: w
[6449.083] gurikororo: ロッキーかも
[6449.758] ウロ: 片手で卵割れる自慢やめてね
[6466.241] wadaryu_ope2: これは一択
[6468.185] gurikororo: いけるか
[6472.963] ななな7: これ一択です
[6484.468] アメーダ: 一人しか思いつかなかった
[6488.057] (S)ミカロニ: 配信者でもいるね
[6499.414] gurikororo: いるいる
[6500.982] mogubou: これは当てたい
[6505.382] (S)おすぅしぃ: 余裕で草
[6508.218] 初雪みかん: すまん、これしか出なかった...
[6509.938] (S)ミカロニ: 絶対アレ書く人いるわぁ
[6516.194] ななな7: 協調性だしてね＾＾
[6527.204] (S)ミカロニ: 〇〇鈴木書く人いそう
[6541.470] 初雪みかん: いろよｗ
[6554.798] cafelatte99: あー福君か
[6555.690] (S)ミカロニ: 鈴木宗男…
[6560.288] gurikororo: バラバラ
[6561.911] wadaryu_ope2: イチロー一択です
[6570.181] (S)ミカロニ: ウド鈴木いないのかよ
[6570.705] eda_donguri: 福くんか
[6572.526] ななな7: イチロー意外やってない？
[6578.395] アメーダ: イチローは鈴木のイメージなかったわ
[6584.925] gurikororo: ノリアキだめなのか
[6585.241] mogubou: 絶対イチローだと思った
[6594.564] 初雪みかん: ノリアキじゃねぇのか、、
[6603.165] wadaryu_ope2: これ流れで一択です
[6606.726] (S)ミカロニ: ボケやすいな
[6606.993] gurikororo: sunaodUkiuki
[6613.910] (S)おすぅしぃ: 余裕で草
[6619.527] (S)persinette821: 角度いいね
[6622.302] gurikororo: sunaodOtu
[6624.506] (S)ミカロニ: 余裕ではないやろ
[6628.588] ab4d__: お疲れ様でした✨
[6641.212] eda_donguri: むずいが
[6644.069] wadaryu_ope2: ウォチパまでまだ時間あるね
[6644.888] ななな7: かきなおしたい・・・・
[6660.226] (S)おすぅしぃ: どれだ・・？
[6661.165] gurikororo: あぁ
[6662.199] 初雪みかん: 🍺これじゃない＿？
[6666.604] ab4d__: オジャる
[6699.188] 初雪みかん: 見たらわかってくれると思う絵文字ｗ
[6723.921] (S)persinette821: 炊飯ジャー迷ったわ
[6724.018] eda_donguri: 炊飯ジャーやろ！
[6724.244] gurikororo: デカレンジャーw
[6727.022] isseichels: でんし！？
[6727.381] 初雪みかん: ジンがいない...だとっ
[6732.615] アメーダ: デカレンはあかんでしょｗｗ
[6736.821] (S)ミカロニ: 割とメジャーはやってる
[6741.680] ab4d__: やってんねPart2
[6750.658] ウロ: あー 自炊しとらんかぁ〜
[6755.803] (S)persinette821: きたああああ
[6762.784] gurikororo: sunaodInsotu
[6765.628] cafelatte99: こーれ終わりです
[6768.734] ななな7: むっず
[6769.290] gurikororo: sunaodOtu
[6783.691] 初雪みかん: ムズすぎない
[6785.419] eda_donguri: むずい；；
[6786.318] gurikororo: これはいけるわ
[6797.653] gurikororo: すなおちゃんの配信だよね？
[6812.268] ウロ: あんま考えんと書いたけど悩み始めたら悩んでまうな
[6813.958] アメーダ: いろいろあって絞れないわ
[6824.804] ab4d__: 一番早く買ったものにした
[6878.356] wadaryu_ope2: 流石にな
[6906.239] 初雪みかん: 一人ってところでアイロンっしょ！
[6908.005] ウロ: すまんな
[6913.259] isseichels: 冷凍庫w
[6915.220] ab4d__: いいレンジに変えたくなるやろ！
[6919.717] (S)persinette821: 教養を感じる
[6919.804] (S)おすぅしぃ: 才
[6921.763] gurikororo: いいなw
[6926.458] (S)おすぅしぃ: ｗｗｗ
[6927.469] (S)persinette821: ｗｗｗｗｗ
[6928.747] アメーダ: 冷蔵庫か洗濯機で迷った
[6928.827] eda_donguri: ｗｗｗ
[6929.561] wadaryu_ope2: やってるな
[6930.226] ななな7: ソ
[6931.173] gurikororo: w
[6931.443] ab4d__: ソ
[6931.903] アメーダ: あいろそ
[6933.901] (S)persinette821: アイロンですらないｗｗ
[6950.370] ウロ: すまんが二槽式派
[6977.536] gurikororo: ムズくね
[6998.204] (S)おすぅしぃ: これはいったろ
[6998.289] ななな7: 人気だからね
[7008.088] ab4d__: これはいけそう
[7009.080] isseichels: チョコミントこい！
[7010.149] (S)persinette821: ストロベリーと迷った
[7016.985] アメーダ: たぶん俺やったかもしれん
[7024.658] ab4d__: ハミガキ粉やめてね
[7027.370] アメーダ: みかそ
[7027.488] eda_donguri: ｗｗｗｗｗ
[7027.729] ななな7: やってんなぁ
[7030.191] wasabi_suki: ｗｗ
[7031.985] gurikororo: みかんw
[7041.869] ab4d__: ピカソみたいだ
[7044.248] ウロ: 画家かな
[7052.335] eda_donguri: 歯磨き粉混ぜないで
[7052.428] (S)persinette821: ソにするためにカタカナなのわろたｗｗ
[7074.911] (S)おすぅしぃ: ３１やん
[7076.930] 初雪みかん: 自分の好みやんｗｗ
[7082.011] 海老マシンガン: ｗｗｗｗｗｗ
[7083.457] ウロ: なんでだよ 人気だろ
[7085.763] gurikororo: w
[7088.354] (S)persinette821: 多様性～
[7093.402] ab4d__: お？
[7100.755] isseichels: これはきた
[7103.609] gurikororo: やめてね
[7105.708] isseichels: おい
[7105.879] eda_donguri: ピザたのんだことねい；；
[7114.406] アメーダ: ・・・？
[7121.255] ウロ: 協調性 
[7125.603] isseichels: パイソナっプルくるぞ
[7127.904] suzukin46: え！？
[7132.333] (S)persinette821: sunaodSu
[7132.488] eda_donguri: すっご
[7136.788] 初雪みかん: PizzaTime
[7138.181] mogubou: 🍕
[7140.937] wasabi_suki: PizzaTime
[7145.530] ななな7: 協調性だせな？
[7146.658] ab4d__: パイナそプル
[7178.114] gurikororo: w
[7186.170] eda_donguri: 異端がよお
[7188.459] ab4d__: 裏切りものがすごいw
[7189.559] cafelatte99: ｗｗ
[7196.744] gurikororo: 仕方ないわw
[7205.962] 初雪みかん: チーズですよ、これが民主主義
[7206.216] isseichels: トマトソースじわる
[7208.991] wadaryu_ope2: 最初ペパロニ書こうとして合わせにいってパイナップルにした
[7210.027] (S)persinette821: ペパロニ一番王道じゃないのか...
[7213.866] ななな7: ｗｗ
[7213.991] eda_donguri: ｗｗ
[7216.134] 初雪みかん: 草
[7217.931] gurikororo: www
[7222.900] ウロ: 意味が分からん
[7229.519] (S)おすぅしぃ: パイナップル日常じゃなさ過ぎておもいつかんかった
[7243.289] ぜろこーど: 難しいな
[7243.643] ウロ: パイナップルが許されてトマトソースキレられるの納得いかん
[7247.142] gurikororo: ムズくね
[7258.651] ぜろこーど: 配信でも作ったしな
[7260.907] gurikororo: 地域色出そう
[7282.059] ななな7: あ
[7286.514] 初雪みかん: こんこん
[7296.026] (S)おすぅしぃ: サイドメニューって回ってるか？
[7314.118] ab4d__: あれ？
[7317.993] 初雪みかん: これまじか
[7324.100] gurikororo: ご飯粒w
[7326.257] cafelatte99: これムズイ
[7333.909] ウロ: からあげみたことないが
[7339.671] アメーダ: おいなりは関係あるだろがろい
[7342.710] wadaryu_ope2: おりなりさんは関係あるかも
[7344.102] ななな7: おいなりさん←すしです
[7345.770] eda_donguri: 寿司やんw
[7345.838] (S)persinette821: 回転ずしバイトしてるけどハンバーグ死ぬほど出る
[7350.640] ウロ: お稲荷さんは寿司だろ
[7350.824] ab4d__: 関係あるやつばっかじゃん
[7357.220] 初雪みかん: おいなりさんって寿司なの！？
[7360.108] 海老マシンガン: それは寿司のごはん粒やんｗ
[7360.611] ウロ: ハンバーグも好きじゃないのか？
[7363.583] ウロ: 寿司
[7367.900] ななな7: 師匠
[7373.936] はらまきっ: 楽器
[7374.166] ウロ: ビブラスラップ
[7375.364] ab4d__: はんばーーーぐ
[7380.098] (S)persinette821: ハンバーグ師匠
[7380.843] (S)おすぅしぃ: ビブラスラップだよ！
[7381.226] gurikororo: sunaodInsotu
[7383.308] eda_donguri: かああああんておとするやつ
[7384.050] suzukin46: 音が鳴るやつ
[7391.323] wasabi_suki: きた
[7392.133] isseichels: きたあああああああ
[7395.007] eda_donguri: sunaodOtu
[7395.943] gurikororo: sunaodOtu
[7396.522] ぜろこーど: 勝ったな
[7396.614] isseichels: 終わったな
[7398.238] mogubou: きたあああ
[7399.366] ななな7: GG
[7400.240] アメーダ: 一択だよなぁ？？？？？
[7403.627] 初雪みかん: GG！
[7412.163] shaf731: これ以外あるのか？
[7415.016] mogubou: sunaodOtu
[7415.035] アメーダ: 先に行っておきます GG
[7416.827] wadaryu_ope2: これはやろうとしてもやれない
[7420.105] はらまきっ: sunaodOtu
[7420.319] ななな7: これはずしたやつはやってるってことでいいか
[7421.349] 海老マシンガン: ありがとうございました！楽しかったです！
[7426.560] (S)おすぅしぃ: おつ！
[7430.893] 初雪みかん: いやー楽しかった
[7431.088] gurikororo: うづ
[7431.412] ab4d__: 楽しかったー
[7432.727] cafelatte99: sunaodOtu
[7433.097] wasabi_suki: sunaodOtu
[7434.204] suzukin46: 三角形の固形のタレがついてるやつ
[7437.867] gurikororo: うっま
[7439.197] (S)おすぅしぃ: sunaodFokapan
[7449.043] アメーダ: おいい！？？！
[7450.069] (S)persinette821: ｗｗｗｗｗｗ
[7452.857] eda_donguri: ｗｗｗｗｗ
[7453.369] wasabi_suki: あ
[7454.747] cafelatte99: あ
[7454.828] ぜろこーど: あーあ
[7455.073] ab4d__: いましたね
[7456.074] 海老マシンガン: くっそｗｗｗ
[7458.204] wadaryu_ope2: やりすぎてやってる
[7458.416] ウロ: １６人の！結果を！
[7458.818] gurikororo: sunaodGyoee
[7459.772] mogubou: www
[7462.373] (S)おすぅしぃ: スペシャルや
[7464.818] (S)persinette821: WutFace
[7464.870] ぜろこーど: これはマジでBAN
[7466.651] アメーダ: やってんな
[7472.616] はらまきっ: せめてなめこ
[7473.973] wadaryu_ope2: PUBGの脳やられてる
[7484.356] 初雪みかん: ぼ、ぼく,,,?
[7493.642] wadaryu_ope2: ｗｗｗｗｗｗｗｗ
[7493.854] ウロ: おまえや
[7495.609] eda_donguri: ｗｗｗ
[7496.257] gurikororo: みかんぬw
[7500.780] アメーダ: 知らんのだけどなまこってねっとりしてるん？
[7502.319] wadaryu_ope2: 違うみかんかもしれない
[7504.770] 海老マシンガン: 申し開きを！！
[7511.481] 初雪みかん: い、いや、良くヌメヌメしててHって頭にあって....
[7513.887] eda_donguri: ねっとりはしてるか
[7515.533] ab4d__: ハワイの方ですか？
[7523.385] ウロ: BANです
[7530.216] wadaryu_ope2: 言い訳すらやってる
[7533.140] 初雪みかん: 無罪なんです...信じてください...
[7539.824] gurikororo: なまこ見てエッチなイメージ沸く？
[7541.113] 海老マシンガン: それが最後の言葉でいいのかい？
[7541.500] ぜろこーど: もう二度とPUBGやらないしBANもしますと
[7542.428] isseichels: Hなら仕方ない
[7544.145] ab4d__: たしかに
[7544.174] mogubou: なめこだったらまだわかるけど、なまこ？
[7547.365] (S)persinette821: ChewyYAY
[7549.093] アメーダ: 前科があるからねぇ君ぃ
[7551.514] wadaryu_ope2: ぜってぇＰＵＢＧやらねぇからな
[7551.757] ab4d__: 思い浮かんだのかどうか
[7552.973] ウロ: ねっとりって言われると納豆もどうかなって感じはあるけどな
[7553.233] (S)おすぅしぃ: 今わの際だぞ
[7559.210] eda_donguri: もうPUBGやってくれないぞ
[7563.441] 初雪みかん: sekiChibi
[7583.774] gurikororo: またパブジー見たいなぁw
[7592.910] ぜろこーど: これも難しいか
[7593.581] eda_donguri: sunaodTyototsu
[7595.561] (S)persinette821: これムズすぎる
[7601.298] gurikororo: ムズくね
[7604.683] ab4d__: むずい
[7611.847] アメーダ: 2択
[7612.856] gurikororo: バトエン
[7613.807] (S)ミカロニ: 2択
[7618.660] mogubou: むず
[7619.168] (S)おすぅしぃ: おつかれ～
[7627.332] eda_donguri: sunaodOtu
[7627.979] 初雪みかん: もう僕を責めないで...
[7633.865] ab4d__: BloodTrail
[7638.414] ななな7: わかってるな？
[7641.047] (S)ミカロニ: “ふで”ばこだよな？
[7647.276] wadaryu_ope2: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[7650.102] gurikororo: あ
[7660.832] (S)persinette821: ガチ
[7661.039] cafelatte99: ｗ
[7665.677] (S)おすぅしぃ: 定規はまだわかるだろ！
[7666.433] ななな7: ボールペンはまぁゆるす
[7667.871] eda_donguri: 辛い過去があるんやな；；
[7671.062] ウロ: 一緒にせんといてや
[7671.991] 海老マシンガン: ｗ
[7672.196] mogubou: 俺もボールペンだと思った
[7674.228] ab4d__: はじめとラストにえぐいのいる
[7677.457] isseichels: ボールペンは許してやれw
[7677.709] はらまきっ: ボールペンは全然いい
[7680.016] wadaryu_ope2: でもさっきよりだいぶマシじゃないか
[7682.531] gurikororo: 筆箱だよね？？
[7697.423] ウロ: ピザは絶対トマトソースだし
[7706.699] ぜろこーど: 難しいなあ
[7715.744] (S)persinette821: これは揃わんなー
[7717.800] gurikororo: 人によりそう
[7726.780] ab4d__: あてにいきますよ
[7733.325] 初雪みかん: ゴーストフェイスと迷った
[7735.305] gurikororo: 貞子って書いちゃう
[7743.450] アメーダ: ちょっとこれは無理ごめん
[7757.630] (S)ミカロニ: みかんたちとすなおが一緒の答えだったらどうしよう
[7758.898] eda_donguri: むずい；；
[7769.807] ななな7: 一回みんなの気持ちをひとつにしないか？
[7782.207] 初雪みかん: ｗｗ
[7782.917] (S)おすぅしぃ: 円陣くも
[7785.000] ウロ: 和ホラーなんだがもうオレ負けなのか？
[7823.787] wadaryu_ope2: まぁサクサクいこう
[7830.381] 初雪みかん: 落ちたなら流石に言うんじゃない？
[7842.045] (B)sunao_desuu: sunaodFokapan
[7847.212] ab4d__: 円陣組むならどんな円陣にするかでワタワタする
[7849.568] ななな7: sunaodFokapan
[7849.898] eda_donguri: sunaodFokapan
[7851.773] (S)persinette821: sunaodFokapan
[7856.454] gurikororo: sunaodFokapan
[7857.527] ウロ: sunaodUkiuki
[7861.409] mogubou: sunaodFokapan
[7870.754] 初雪みかん: ニコラスｗ
[7873.996] ぜろこーど: ヴィリーズ民もいます
[7875.666] eda_donguri: ごめんなさい
[7883.388] wadaryu_ope2: いやわかるｗｗｗｗｗｗｗｗｗｗ
[7886.130] gurikororo: あとで？？
[7887.336] アメーダ: わかるけどｗｗ
[7891.026] ななな7: 設定なｗ
[7891.291] ウロ: 全然いいよ
[7895.173] 海老マシンガン: 死亡フラグってことかｗ
[7896.738] 初雪みかん: 待ってマイケル1人なのマジかよ、、
[7900.887] gurikororo: そういうやつねw
[7905.061] cafelatte99: チャッキーしらなかった
[7907.883] gurikororo: マイケル？？
[7909.395] ウロ: そうとも読める問題が悪いよ
[7909.987] (S)persinette821: まいけるだれ？
[7912.280] (S)おすぅしぃ: すなーお・・・？
[7914.187] アメーダ: マイケルはホラーじゃなくてスリラーなんよ
[7917.930] 初雪みかん: マイケルマイヤーズ...
[7918.482] ぜろこーど: 今度ハロウィンみよっか
[7919.201] ななな7: 先生！腐ったみかんがいませんか？
[7929.228] ab4d__: いち早く取り乱して死ぬやつもありだったか
[7930.324] gurikororo: マイケルマイヤーズ？？
[7938.194] gurikororo: sunaodOtu
[7941.158] はらまきっ: sunaodOtu
[7943.701] ウロ: めかてか
[7945.549] mogubou: sunaodOtu
[7945.570] wasabi_suki: いっぱいある
[7951.776] (S)ミカロニ: 大喜利もできなくね？
[7955.001] ウロ: そうだよ
[7957.206] 初雪みかん: ほんとだ...
[7958.493] はらまきっ: sunaodInsotu
[7961.084] (S)persinette821: sunaodInsotu
[7961.914] gurikororo: sunaodInsotu
[7964.425] wasabi_suki: sunaodInsotu
[7966.561] ななな7: 気づいてしまったか
[7967.447] ぜろこーど: 感じもそういう成りなんだっけか
[7975.347] ウロ: 👁→目→め
[7976.856] wadaryu_ope2: イｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[7981.098] wasabi_suki: イ！？
[7981.257] gurikororo: おしーーー
[7982.113] ab4d__: イ
[7982.728] (S)persinette821: めっさんさぁ...
[7984.098] eda_donguri: 究極の二択
[7986.193] mogubou: イwww
[7988.679] アメーダ: め て い は
[7990.259] eda_donguri: ｗｗｗｗｗｗｗ
[7991.145] (S)ミカロニ: 胃…
[7997.991] ウロ: カタカナやないかい
[7998.166] (S)persinette821: ｗｗｗｗｗｗｗ
[7998.411] gurikororo: い
[7999.488] cafelatte99: イはやってるｗ
[8002.045] ななな7: 裁判しよう
[8003.728] ab4d__: 胃
[8016.112] isseichels: カタカナやしw
[8017.154] ab4d__: この戦争を長引かせにきた…
[8018.209] 海老マシンガン: さて、
[8018.426] (S)ミカロニ: 胃はセーフまだ大丈夫じゃない？
[8019.536] 初雪みかん: (はぁ、また俺は責められるのかっぁ)
[8024.691] ななな7: カタカナはやってる
[8025.859] mogubou: 医療従事者なのかもな
[8033.111] wadaryu_ope2: 2024年にPUBGやってる奴はちげぇよ
[8034.039] ウロ: これは別にいいと思うけど
[8039.297] gurikororo: 魔女狩りされてた？
[8044.073] ぜろこーど: 消化器科かもしれない
[8046.519] (S)ミカロニ: 手が多数派ですよ
[8054.934] eda_donguri: ｗｗ
[8057.435] 海老マシンガン: ｗｗ
[8062.459] ab4d__: グルやね
[8077.574] gurikororo: ムズそう
[8081.949] ウロ: 無限にある
[8084.184] (S)persinette821: それぞれの精神状態が出る
[8095.836] ななな7: すてげー
[8103.285] 初雪みかん: 一旦ね
[8104.427] suzukin46: これは絶対に揃わん
[8125.719] (S)ミカロニ: みかんさぁ
[8138.300] eda_donguri: 精神状態出ちゃった
[8138.766] リュダ: これ途中参加いけますか？
[8140.425] gurikororo: これは仕方ないわ
[8140.737] 初雪みかん: 可哀そう；；
[8147.878] ab4d__: 合わないからまぁまぁ
[8157.222] (S)ミカロニ: タイピング勢…
[8161.587] mogubou: sunaodSu
[8163.005] wadaryu_ope2: 流石にお疲れさまでした
[8166.258] アメーダ: これはGG
[8166.702] gurikororo: sunaodOtu
[8168.092] cafelatte99: さすがにね
[8179.354] ab4d__: おつおつ
[8184.888] ab4d__: ちょうどいい時間値
[8190.985] ななな7: 自己主張やめてね
[8193.584] (S)おすぅしぃ: いい時間調整
[8199.497] 初雪みかん: ...
[8210.865] ななな7: きたあああ
[8212.181] wadaryu_ope2: きたああああああああああああああああああああああああ
[8213.039] eda_donguri: sunaodUooo
[8213.052] (S)persinette821: あああああああ
[8213.700] アメーダ: おおおおお
[8216.111] はらまきっ: sunaodUooo
[8216.695] wasabi_suki: sunaodUooo
[8217.550] cafelatte99: きたあああああああ
[8217.988] mogubou: sunaodUooo
[8219.927] gurikororo: eurieceGG
[8219.937] isseichels: やっときたああ
[8220.019] 初雪みかん: よかったあああああああああああああああ
[8224.581] gurikororo: sunaodUooo
[8226.631] (S)persinette821: sunaodUooo
[8228.416] mogubou: sunaodUkiuki
[8235.735] 海老マシンガン: sunaodUkiuki
[8238.033] (S)ミカロニ: みかん思いつかなかっただけだろ
[8238.409] ab4d__: DinoDance
[8241.370] (S)おすぅしぃ: すなおって小ボケ来るか通った
[8241.775] 初雪みかん: ミカンなわけないじゃないですか！💦
[8243.926] mogubou: めでたしめでたし
[8244.197] ウロ: やっぱ俺らはやるときはやるけどやらんときはやらん男なのよ
[8251.043] gurikororo: みかん書いてたらパブジー見れなくなってた
[8253.839] eda_donguri: さすがにな
[8255.583] highbridge_: 逆に他のなにがあるかあ
[8259.717] 海老マシンガン: おもろかったあ
[8271.290] (S)ミカロニ: これ本来10回当てるやつですよ
[8271.888] wadaryu_ope2: この時間に調整しようとしてたまである
[8274.676] 初雪みかん: いやいやそんな～
[8281.099] アメーダ: 無理やり答えるならスキューバダイビングとか？
[8282.068] はらまきっ: 水泳
[8283.107] taku_4321: 水泳
[8286.154] (S)おすぅしぃ: スクール水着
[8293.894] gurikororo: 水泳かな
[8298.231] 初雪みかん: ああー！水泳があった！
[8305.312] gurikororo: ん？
[8309.389] (S)persinette821: あぶねぇ
[8312.559] mogubou: www
[8312.970] アメーダ: 浮かばなくてありがとうね
[8313.583] 海老マシンガン: やってるわｗ
[8315.146] gurikororo: こっわ
[8316.824] (S)おすぅしぃ: まって
[8320.978] (S)ミカロニ: すなおさんもう一回ゲームのタイトルサブタイトルまで見てみませんか？
[8338.264] ななな7: １時間あるからあれできるじゃん
[8340.926] ウロ: 風呂入るわ
[8341.630] はらまきっ: !discord
[8341.733] (M)Nightbot: https://discord.gg/AP6VeU7YYb
[8345.019] eda_donguri: はいな
[8346.437] 海老マシンガン: おつ！
[8349.844] ab4d__: おつおつ
[8350.276] gurikororo: sunaodOtu
[8350.703] (S)persinette821: sunaodYeah
[8351.791] 初雪みかん: ほななー！
[8354.165] (S)ミカロニ: スマホ勢の俺…
[8357.802] mogubou: sunaodOtu
[8363.609] wadaryu_ope2: はいな一旦 
[8370.194] cafelatte99: sunaodOtu
[8372.568] はらまきっ: sunaodOtu
[8373.422] wasabi_suki: sunaodOtu
[8377.055] eda_donguri: sunaodOtu
[8377.140] taku_4321: sunaodOtu
[8378.197] gurikororo: スマホは見れなくて悲しい
[8383.092] アメーダ: sunaodOtu
[8384.351] (B)sunao_desuu: sunaodLove
[8384.717] (S)persinette821: sunaodOtu
[8385.418] gurikororo: sunaodOtu
[8386.175] はらまきっ: sunaodLove
[8386.397] mogubou: sunaodLove
[8387.318] taku_4321: sunaodLove
[8388.803] eda_donguri: sunaodLove
[8389.190] cafelatte99: sunaodLove
[8389.673] (S)persinette821: sunaodLove
[8391.018] アメーダ: sunaodLove
[8394.199] wasabi_suki: sunaodLove
