[5.367] da1marrrr: うおおおおおおおおおおおお
[2370.547] ayata_1110: 11！？
[2370.737] (S)kuugay0905: えぐ
[2370.820] charlotte0ra: えぐ
[2371.197] mochi_00v: えっぐ
[2371.970] ねお0525: ヒトシダメなんや
[2372.176] yoa_inf: えぐ
[2372.925] (S)Ruria00: えっぐw
[2373.288] sayorin25256: えぐ
[2373.475] mi_tyan562: えぐ
[2373.850] (S)sora_mameee: 暴れてるなぁ
[2374.249] mizusakura0326: えぐ
[2374.403] koyaren: !member
[2374.532] (M)Nightbot: [w/山田涼介、釈迦]
[2374.999] ryuto22209771: やばw
[2375.221] (S)seillane: えっぐ
[2375.375] みかのたべ: えっぐ
[2375.453] kinoko210: えぐ
[2375.530] oshousantotanbo: えぐw
[2375.567] CuRuteru: えぐ
[2375.592] aruto_33: えぐ
[2375.623] miyamiya138: えぐ
[2375.662] (S)なんでもいい: えぐ
[2376.642] rin5_3: やば
[2376.849] tsunagungun: えっぐ
[2376.869] ebifr: 11はやべー
[2376.959] 愛の林檎: 戦車すぎる
[2377.656] saketyaduk25: えぐ
[2377.661] lily__wtf: 何位だったの？
[2378.405] (S)壱代目: えぐ
[2378.575] (S)nobume0v0: えぎぃ
[2378.667] koyaren: !uptime
[2378.910] (M)Nightbot: らっだぁ が配信を始めてから 39 minutes 45 seconds 経過しています。
[2379.036] (S)狂人おかき: えぐ
[2380.076] つよいこ: 8位で11キル！？
[2380.790] nyankichi_773: えぐ
[2380.994] ~MISSING_COMMENTER_INFO~: スクリムだから仁志しゃあないね
[2382.129] 窓際室長: え、ヒトシだめなんや
[2382.709] いろは0224: すごいね
[2383.478] マヨネーム: えぐ
[2384.995] sarusaru3636_z: えぐ
[2386.039] ra1two: 上位がキルポ平たく持ってるな
[2387.066] rioniku1515: これ練習試合なのか
[2387.191] waon_point: 意外とクリプト少ないな
[2387.703] rin5_3: 3位やね
[2389.838] Mac1919: ローバ多すぎや
[2390.351] (S)霞ちゃん: これ本番はキル制限あるの？
[2391.079] arc_ct1409: ヒトシ禁止なの？
[2391.837] 愛の林檎: ね
[2392.192] many7575: 惜しかったー
[2392.554] ねこすず: ヒトシダメなんですか？
[2393.193] mazikku: 最初はきる関係ないから
[2393.502] maasyuu: ヒトシはだめなのかな？
[2393.737] (S)わらびもち_11: ね
[2393.958] koyaren: おばさんだらけ
[2394.590] 愛の林檎: 多すぎ
[2394.812] (S)seillane: ね
[2395.847] rin5_3: おおいね
[2395.968] さなもろ: 八位やばwwwww
[2396.056] ryuto22209771: ね
[2396.661] えりさ_: ほんまや
[2397.720] koyaren: !uptime
[2397.803] sayorin25256: ね
[2397.908] pokaburu: 3部隊はあんまり先に戦いたくないよなー
[2397.928] nanasi___0: ね
[2397.951] (M)Nightbot: らっだぁ が配信を始めてから 40 minutes 4 seconds 経過しています。
[2398.793] ﾐﾗ: きまづ
[2399.084] 神崎立夏: ふむ
[2400.308] ra1two: 上位のローバ率
[2400.576] nyankichi_773: ローバめっちゃいるね
[2401.406] (S)Ruria00: 本番はヒトシがないって事じゃない?
[2401.880] oyakodon_1122: ヒトシダメとかあるんだ
[2402.400] mxesan: ね
[2404.443] lily__wtf: 3位か強
[2405.131] にゅーとらる496: ヴァルも多いな
[2405.468] るきち: 緑だらけ
[2406.317] ぴあす: ガスも多いね
[2407.162] Rimon_sky: ヴァルもおおい
[2407.820] kk_army613: 山田くん、4キルしてたねぇ~
[2408.894] waishigeki: 老婆だらけ
[2409.390] mixjuice0914: きまづすぎてくさ
[2410.021] nurumayu73: ヒトシは大会だと駄目なこと多いね
[2410.082] tsugu_0: すごかった
[2411.569] たこわささん: 気まづい
[2411.970] anzuuu_23: ヴァルキリー多いね
[2412.233] kyaon_0429: nice3位
[2412.586] (S)つむじのきもち: ヴァルもか
[2413.493] (S)さうだぁ: 本番はヒトシ出ないから大丈夫だと思う
[2414.492] many7575: バナー作れるの便利だよね
[2416.150] kagura_kiba: ヴァル多いな
[2416.399] tudacosu: radaoHi
[2418.252] natubatch: ガスの色わかりやすーw
[2418.330] kyaon_0429: 2位か
[2418.938] sansyoku_dango: わこらだ
[2418.996] (S)nobume0v0: ヴァルも多いな
[2420.042] q_yen: らっだぁがんばれ！！
[2420.361] 甘の党: 今北わこらだ
[2421.437] ゆかりんりん: ヴァル１３チーム？
[2428.775] many7575: トイレ大丈夫か？
[2434.478] suiha_7: 厳しかった
[2437.093] ~MISSING_COMMENTER_INFO~: ｗｗｗ
[2437.358] にわすずめ: wwwww
[2437.359] Ishio_62113125: 帰ってきた 3位凄い！おめでとう！
[2437.852] (S)つむじのきもち: wwwwwwww
[2438.284] 23gou: 投げ物投げたらわんち？
[2439.583] ~MISSING_COMMENTER_INFO~: えｗｗｗｗｗ
[2440.312] 愛の林檎: wwwwwwwww
[2440.423] pokaburu: wwwwww
[2441.037] 莉田: wwwwwww
[2441.177] mizusakura0326: wwwww
[2442.398] 甘の党: wwwwww
[2442.674] hima_norita: wwwww
[2443.232] takoyaki0917: いい声
[2443.477] chankyo8: わこらだ
[2443.483] 愛の林檎: そうね
[2443.555] sayorin25256: w
[2444.072] 1__rui__: 𐤔𐤔𐤔𐤔𐤔𐤔
[2444.629] ~MISSING_COMMENTER_INFO~: wwwwwwwwwwww
[2445.155] snhorn: 雑談してけ
[2445.378] nanasi___0: www
[2446.108] soraha00: www
[2446.628] つよいこ: wwwwww
[2447.410] nyankichi_773: wwww
[2447.976] aromamoon_: wwwwwwww
[2448.153] tsunagungun: WWWWWWWWWWWWWWW
[2448.197] にわすずめ: ご…え？
[2448.372] (S)あるみ屋: wwwwww
[2448.831] higuhigu2007: ないすー
[2449.278] (S)さえだ: wwww
[2449.328] (S)kuugay0905: wwwwwwwwwww
[2449.458] Rimon_sky: wwmmmm
[2449.702] ratarly: wwwww
[2450.288] くろざき: wwww
[2450.386] (S)いゆ_と申す: 最後にルール確認もしないとね
[2450.540] (S)seillane: wwwww
[2450.917] nyankichi_773: え？
[2451.619] Rc_Solie: スクリムまだあるのか？
[2451.673] (S)あほの子02: wwww
[2453.332] Ichigo_Strawberry15: え？
[2453.574] (S)dqng0san: w
[2454.427] mi_tyan562: www
[2454.959] (S)Ruria00: じゃあぽまえが悪いって事でいいよ
[2455.442] rin5_3: ナイスだった
[2455.522] dokukinoco: まじめ
[2455.721] charlotte0ra: www
[2455.977] ayunosioyaki0223: wwwwwww
[2456.087] (S)odenday_o_: 大丈夫っすよｗｗｗ
[2456.195] 愛の林檎: wwwwwwwww
[2456.247] tunamayo1234: www
[2456.876] takenokomusi: きまずw一旦トイレ行くかw
[2457.094] koushi_kun: さっきのヒトシって何がやばかったんだろう？
[2458.176] nyankichi_773: wwwww
[2458.377] thukimia: wwwwwww
[2458.698] kotehan31415: でも初戦から3位だよ？？ふつうにすごくない？？？
[2459.036] (S)壱代目: www
[2459.560] (S)seillane: wwwwwwwwwwwwwww
[2459.798] 愛の林檎: そうね
[2461.077] Ishio_62113125: フォローしなさい
[2462.161] nanoha5201: もうすごい
[2465.346] many7575: 良かったよー
[2465.618] (S)okuchan0751: okuchan0751 subscribed at Tier 1. They've subscribed for 9 months! 
[2466.212] koyaren: スクリムあと1回
[2467.043] りなるあ: 今北 何戦目？
[2468.175] しめざめ: しめざめ subscribed with Prime. They've subscribed for 7 months! 
[2468.328] ult_mc: 投げ物投げてもよかったかな？
[2468.337] ratarly: ちゃんとねw
[2469.447] nyankichi_773: 良かったよ
[2469.602] rosemary0920: 良かったよね
[2470.604] (S)あほの子02: 良かった
[2471.328] pokaburu: 確かに！
[2474.352] (S)きのここ: そうね
[2475.023] nanasi___0: 良かった
[2475.689] suiha_7: すごいよ
[2476.040] (S)seillane: 良かった
[2478.304] ratarly: スクリム1戦目
[2479.281] (S)狂人おかき: あー
[2479.799] (S)nobume0v0: 初戦から全然善戦したよ
[2480.515] koyaren: !uptime
[2480.572] 神崎立夏: あー
[2480.767] (M)Nightbot: らっだぁ が配信を始めてから 41 minutes 27 seconds 経過しています。
[2481.621] 愛の林檎: たしかし
[2482.401] (S)komi_hachi: radaoOme
[2482.631] tsunagungun: あー
[2482.712] nyankichi_773: 投げ物使えばもっと良かったんかな？
[2483.025] hima_norita: フラグ
[2483.765] (S)つむじのきもち: あ
[2483.874] 愛の林檎: あ
[2484.372] にわすずめ: スクリム1戦後
[2484.897] mai161116katatumuri: あ
[2485.111] kama325: ただポジが悪かったね
[2485.620] baceneKo: あ
[2485.732] (S)seillane: あ
[2485.892] (S)きのここ: あ
[2486.078] 神崎立夏: おいフラグたてんな
[2486.265] koyaren: あ
[2486.316] 銀河ポテト: フラグ
[2486.438] takenokomusi: 次がラストスクリムかね？
[2486.540] rosemary0920: あ
[2486.648] ねこすず: あ
[2486.844] dokukinoco: まーたフラグ建てる
[2486.917] (S)わらびもち_11: あ
[2486.957] (S)sora_mameee: あ
[2487.011] mi_tyan562: あ
[2487.027] ほのぼの: あ
[2487.058] (S)kuugay0905: あ
[2487.084] (S)nobume0v0: あ
[2487.102] tunamayo1234: あ
[2487.342] miu_u0212: あ
[2487.547] (S)Ruria00: おいおい
[2487.563] ﾐﾗ: フラグ
[2487.652] miyamiya138: あ
[2487.702] thukimia: あ
[2487.805] (S)つむじのきもち: ふらぐだ
[2487.909] ららら0913: あ
[2487.941] ぴあす: あ
[2487.959] rei_0537: あ
[2488.140] のこ木綿: フラグ
[2488.193] 愛の林檎: そういうこというから
[2488.225] nyankichi_773: あ
[2488.280] (S)いちうら: あ
[2488.283] ayata_1110: あ
[2488.390] るきち: まずい
[2488.782] charlotte0ra: あ
[2488.842] noboriryuu0519: あ
[2488.884] karutaru9: まさかな
[2489.052] poruwo1212: おい
[2489.068] (S)狂人おかき: あ
[2489.099] (S)kohanai__o4: フラグ
[2489.182] riku0572: radaoNikkori2
[2489.193] oreoreo5: おい
[2489.233] あちゃぽろ: あ
[2489.249] 甘の党: あ
[2489.429] smile_826: あ
[2489.709] ra1two: フラグたったわ
[2489.737] koronn1101: はいフラグ
[2489.956] (S)さえだ: あ
[2490.013] (S)あるみ屋: あ
[2490.016] hima_norita: あ
[2490.104] みりぃもち: おわった
[2490.183] kagura_kiba: あ
[2490.187] nanasi___0: あ
[2490.195] ryuto22209771: フラグ
[2490.866] ちゃんちゃな: あ
[2490.981] きょぴ: おわった
[2491.088] rosemary0920: フラ……
[2491.389] baceneKo: ｗｗｗｗｗ
[2491.894] ryuto22209771: あ
[2491.914] many7575: あ
[2492.017] しゃくみ: これきます
[2492.079] せおりー: まっずい
[2492.082] みーだん: フラグ作るな
[2492.104] 愛の林檎: wwwwwwwww
[2492.153] ka_ki0115: あ
[2492.174] sayorin25256: あ
[2492.235] nyankichi_773: フラグよ
[2492.627] (S)96猫3: あ
[2492.761] スパーズ: あ
[2492.988] にわすずめ: wwwwwwww
[2493.047] koyaren: 🚩
[2493.288] 矢知: あ
[2493.512] えりさ_: まっずい
[2494.065] (S)sora_mameee: あるなぁｗｗ
[2494.189] heroharo117: あ
[2494.212] thukimia: wwwwwww
[2494.342] (S)あほの子02: おわた
[2494.738] nyankichi_773: あ
[2494.762] miyamiya138: wwww
[2494.770] mikankan693: あ
[2494.862] (S)mrgrtpsr: おわったか
[2494.930] ginger_1202: あ
[2495.293] 雪華0830: あー、フラグ…
[2495.350] 愛の林檎: 終わった
[2495.654] Clrula: radaoKyoton
[2495.966] smile_826: フラグたったな
[2496.405] ゆりあっ: フラグたてるねー
[2496.623] おれおお食べ: 🚩
[2497.135] ratarly: フラグ？
[2497.148] (S)nobume0v0: radaoNikkori2
[2497.228] snhorn: フラグ建てるな
[2497.271] mikankan693: wwwwwww
[2497.493] nyankichi_773: あーー
[2498.516] ホトトギス: あ
[2498.719] toremoro_san: あ
[2498.766] gaiantufan: あーあ
[2499.029] hima_norita: radaoOwari
[2499.228] (S)ゆずシフォン: フラグwww
[2499.496] つよいこ: CRカップから安置に嫌われてるよなぽまえ
[2499.938] (S)kuugay0905: フラグ
[2500.829] ult_mc: まだ練習です
[2501.010] (S)さえだ: wwww
[2501.715] ﾐﾗ: そういうこと言うなよ
[2502.297] (S)あほの子02: あーぁ
[2502.447] waon_point: 火力はもう火力外の家にファイトぶんどりにいくしかなさそう
[2502.729] あらんえむかーびぃ: wwwww
[2503.004] nyankichi_773: 歯茎にょき
[2503.788] ほのぼの: フラグ1級建築士
[2504.024] ybullberi: 今のって練習なの？
[2504.123] cha_ti: フラグ…
[2504.282] (S)さうだぁ: 大会でヒトシあったら安置外ムーブできるから禁止なんだっけか
[2504.290] 甘の党: フラグ立ったな
[2504.319] ひよごりら: ww
[2504.352] (S)seillane: まっずいw
[2505.415] heroharo117: 🚩
[2505.546] MIKU_J0311: フラグ
[2506.036] ratarly: wwwww
[2508.469] (S)Ruria00: 次、来ます
[2516.697] kedamanoma: ww
[2517.026] nyankichi_773: 来そうだねーーー
[2519.566] 愛の林檎: フラグしかたてん
[2520.675] dokukinoco: フラグやめい
[2522.390] (S)renkuwa0331: カスタムで良かった笑
[2526.187] ららら0913: 🚩
[2526.399] pokaburu: 端ムーブか、
[2527.532] karutaru9: まさかなw
[2527.686] (S)sora_mameee: むしろスクリムで来ればまぁ
[2530.169] 桜音: 桜音 subscribed with Prime. They've subscribed for 41 months! 
[2532.631] ~MISSING_COMMENTER_INFO~: 今何試合ですか？
[2535.933] ybullberi: いつ本番？
[2546.533] Rc_Solie: 次の次本番？
[2549.342] takenokomusi: おい
[2549.553] 愛の林檎: wwwwwwwww
[2550.016] さなもろ: 全くなwww
[2553.680] 愛の林檎: しゃーない
[2554.992] dokukinoco: 移動でいっぱいいっぱい
[2556.793] (S)つむじのきもち: Twitterに一応でてますよ
[2557.043] (S)lowsox_ring: スクリム2試合本戦5試合
[2557.497] da1marrrr: そもそも今バグでヒトシでてしまうので
[2562.118] takenokomusi: 叩かれそう
[2563.495] (S)yukitooooo0313: SBIのTwitterにスケジュールあるからそれ見てな
[2564.789] pokaburu: 育てれてたしまあ良かった
[2567.763] 23gou: 次はスクリム二試合目
[2571.018] 廿あま: まだ本番じゃないの？
[2578.086] 神崎立夏: ふむ
[2579.377] ratarly: まだスクリム
[2579.999] koyaren: !uptime
[2580.275] (M)Nightbot: らっだぁ が配信を始めてから 43 minutes 7 seconds 経過しています。
[2580.483] (S)arare241524: 今北わこらだ 
[2583.267] koyaren: !member
[2583.398] (M)Nightbot: [w/山田涼介、釈迦]
[2583.498] (S)hkr_r: 練習試合です
[2585.314] キラキラボシ: お
[2586.037] suiha_7: 本番じゃないよ
[2586.518] koyaren: !uptime
[2586.786] (M)Nightbot: らっだぁ が配信を始めてから 43 minutes 13 seconds 経過しています。
[2587.154] waon_point: ビッグモードはきつそう
[2590.529] koyaren: !member
[2592.086] many7575: がんばれがんばれ
[2593.383] (S)Ruria00: スケジュールTwitterにあるから調べながら見てな
[2593.904] nyankichi_773: スクリムやね
[2595.443] (S)hkr_r: 練習試合2試合あります
[2596.057] Peace_0925: わこらだ！
[2598.988] otenba_usagi: radaoFight
[2600.946] いろは0224: がんばれー
[2602.566] 23gou: 最後赤アマ拾えたのでかかったな
[2604.296] (S)ran_0807: radaoFight
[2605.488] mai161116katatumuri: radaoFight
[2605.577] koyaren: サクサクマウンテン
[2607.012] (S)わらびもち_11: radaoFight
[2607.406] ra1two: サクサクたすかる
[2607.608] many7575: サクサク
[2607.827] (S)ベニマル: radaoFight
[2608.601] 愛の林檎: ね
[2609.440] charlotte0ra: ね
[2609.842] dokukinoco: radaoFight
[2610.364] Ichigo_Strawberry15: radaoFight
[2611.241] nanasi___0: radaoFight
[2611.406] many7575: radaoFight
[2611.464] rosemary0920: んね
[2611.893] ra1two: radaoFight
[2612.332] いろは0224: ね
[2613.109] 愛の林檎: radaoFight
[2613.382] baceneKo: がんばれ！！
[2613.617] (S)なんでもいい: radaoFight
[2614.346] dokukinoco: ふぁいてぃーん
[2614.592] えりさ_: radaoFight
[2614.690] nyankichi_773: ふぁいとー
[2615.071] miyamiya138: ね
[2615.913] aina___10812: radaoFight
[2616.123] しかくのさんかく: radaoFight
[2616.405] うみねこアイサ: radaoFight
[2616.732] takenokomusi: しぶは、、、る
[2617.450] chashibu_310: radaoFight
[2617.582] soraha00: んー！
[2617.628] cha_ti: がんばれ！
[2618.023] tsugu_0: ふぁいおー！
[2618.085] (S)Ruria00: radaoFight
[2618.594] (S)げむ: radaoFight
[2618.647] mi_tyan562: がんばれー！
[2618.780] pu_tyan: radaoFight
[2619.027] ratarly: ほんとやね
[2619.035] (S)seillane: radaoFight
[2619.055] (S)nobume0v0: radaoFight
[2619.276] 犬ﾚ: radaoFight
[2619.837] yona_0724: radaoFight
[2621.064] (S)あーしゃん: radaoFight
[2621.412] mikankan693: がんばれ！！！
[2621.671] 愛の林檎: SHALERAWIN
[2622.079] ratarly: がんばれー！！！
[2622.085] くまみむ: radaoFight
[2622.289] nqrs_3022: がんばあ！
[2622.319] madatubomiyade: ふぁいとー！
[2623.495] Ganbaruooooo: 今来た！頑張れ！
[2624.941] nekodama2155: 頑張れ！
[2624.988] (S)れん_11: radaoFight
[2625.608] (S)tanakasan_29: 頑張ってー！
[2625.609] miu_u0212: ガンバ
[2625.741] ranwen: がんばれー！
[2626.033] chankyo8: ふぁいとー
[2628.543] miyamiya138: wwww
[2630.186] 廿あま: 頑張れらだ！
[2630.957] (S)霞ちゃん: radaoFight
[2631.560] suipi___: がんばれ
[2631.834] (S)2001mei: radaoFight
[2632.507] (S)aporoo_: radaoFight
[2632.674] ~MISSING_COMMENTER_INFO~: ジブのスキントワ様
[2632.796] hima_norita: がんばえー!!
[2632.831] (M)Nightbot: サブスクdiscordの入り方はこちら→https://twitter.com/rader2525/status/1167079316754067456
[2633.621] (S)壱代目: radaoFight
[2633.856] (S)hkr_r: デップやったな
[2634.056] 愛の林檎: なるほどね
[2634.094] (S)tanakasan_29: radaoFight
[2635.023] mary611: がんばえー
[2635.028] takenokomusi: がんばえ～
[2635.448] えりさ_: あーね
[2636.894] nanasi___0: radaoFight
[2638.495] nyankichi_773: あーね
[2638.669] pokaburu: 冷静になって山田涼介！？
[2639.434] many7575: わかんないよねー
[2640.035] baceneKo: へー
[2641.765] めるめ: 違ったかww
[2642.802] waon_point: カイト
[2643.776] ゆかりんりん: radaoFight
[2645.570] nn2407: がんばれ
[2646.479] mi_tyan562: あーw
[2647.101] 角角家: がんばえー！
[2647.645] ららら0913: ヘンディー
[2647.783] そー司郎: radaoFight
[2647.882] えりさ_: かいとくんか
[2649.453] many7575: カイトくん！
[2649.810] (S)あるみ屋: さん？
[2649.937] 愛の林檎: カイトくんとこか
[2650.101] aruto_33: かいとくんか
[2650.171] (S)sora_mameee: つよいねー
[2650.172] takoyaki0917: へんでぃー
[2652.051] 神崎立夏: ヘンディーさんwwwwwwwww
[2653.683] pokaburu: かいとくん！
[2654.542] hrktumi: カイトくんね
[2654.840] いのりさん: ヘンディーさん！？
[2655.182] dokukinoco: どのチームも強いんよ
[2655.581] miyamiya138: かいとくんか
[2656.535] kayadayo_: わこらだ
[2657.105] (S)Ruria00: へんでぃーさんw
[2657.518] baceneKo: ヘンディーかｗｗ
[2658.579] suiha_7: カイト君呼び卒業
[2659.391] (S)rabura_1: となかいか
[2659.656] わんわん4919: さやかちゃん！
[2660.194] さくいろか: 違和感
[2660.441] RamuneAme1111: 今北！1試合目でしょうか？
[2660.799] (S)つむじのきもち: よそよそ
[2662.160] you_28: 山下ァ！！！
[2662.389] とんぼむ: ハンディーさん！？
[2664.598] 神崎立夏: さん付けなんかおもろ
[2664.643] めるめ: カイト君泣くよ
[2665.613] (S)ｻｧｻ: 呼び方違和感www
[2665.836] 和泉ぴけ: 他人行儀やん
[2667.151] おこめじるし_: 2
[2670.897] トッティ5: 確定演出
[2671.896] kro_cat: なんか気持ち悪いなw
[2672.225] mk_37564: へんでぃさん、APEXよくやってるからね
[2672.616] (S)Ruria00: カイトくん呼びしないと悲しむぞw
[2672.858] takenokomusi: そっけない
[2673.028] terabyte__o0: さんじわる
[2673.626] 莉田: ヘンディーさん呼び！？w
[2675.314] nyankichi_773: 2試合目よー
[2677.166] Rc_Solie: スクリム2
[2677.281] su_gar__25: ｗｗ
[2678.680] RamuneAme1111: ありがとうございます！
[2678.976] 1o_oyu: 2
[2682.621] takenokomusi: 逆に匂わせ
[2683.107] 和泉ぴけ: 距離空いたか
[2684.502] dokukinoco: radaoFight
[2686.346] koyaren: !uptime
[2686.598] (M)Nightbot: らっだぁ が配信を始めてから 44 minutes 53 seconds 経過しています。
[2687.392] 神崎立夏: 距離感リセットされてる
[2690.739] (S)hkr_r: カイトくんやろ
[2692.062] (S)kiiwiii4649: ジャンマスできたんか
[2694.289] CuRuteru: やっぱ今日静かだよね
[2698.488] mikan_san: 山田さんの前だから行儀よくしてますこれ
[2702.383] mi_tyan562: www
[2702.546] himikokichi_06: www
[2702.570] 愛の林檎: wwwwwwwww
[2702.570] jizou13: ｗｗｗ
[2702.683] いろは0224: ｗｗｗｗｗｗｗｗ
[2704.370] ra1two: ぐｗｗｗ
[2705.026] Ichigo_Strawberry15: ぐwww
[2705.194] (S)nobume0v0: wwwww
[2705.211] えりさ_: wwwwwwwwwwww
[2705.218] 神崎立夏: wwwwwwwwwwww
[2705.243] aruto_33: wwww
[2705.299] tunamayo1234: wwww
[2706.107] pokaburu: ぐっ
[2706.400] 1o_oyu: wwwwwwwwwwww
[2706.406] (S)sora_mameee: wwwwww
[2706.825] hisoka_HyskoA0606: ｗｗｗｗｗｗｗｗ
[2706.870] charlotte0ra: wwwwwwwww
[2706.904] yona_0724: wwwww
[2707.087] runa0921: www
[2707.098] mikankan693: wwwwww
[2707.111] (S)seillane: wwwww
[2707.704] (S)kuugay0905: wwwwwwwwwww
[2707.774] miyamiya138: wwww
[2708.020] (S)Ruria00: wwwwwww
[2708.104] cha_ti: wwww
[2708.137] 銀河ポテト: wwwww
[2708.290] jizou13: wwwwww
[2708.357] (S)いちうら: ｗｗｗｗｗｗｗ
[2708.455] aokutibairo: wwwww
[2708.496] ﾅﾏﾁｬ: wwwwww
[2708.818] はくまい_45: wwwww
[2708.895] にわすずめ: wwwwwwwww
[2709.366] (S)わらびもち_11: wwwwww
[2709.714] (S)朝顔もーにんぐ: ｗｗｗｗｗｗｗｗ
[2709.823] many7575: www
[2709.939] runa0921: ぐっwww
[2710.187] takenokomusi: おいw
[2710.207] 愛の林檎: ほんまにwwwwwwwww
[2710.354] めるめ: 罪な男だな
[2710.460] CuRuteru: ぐww
[2710.800] (S)ｻｧｻ: wwwwwwwww
[2711.166] (S)れん_11: ぐwww
[2711.916] (S)つむじのきもち: 最悪だw
[2711.919] _こっぺぱん: _こっぺぱん subscribed at Tier 1. They've subscribed for 35 months! 
[2711.941] kagura_kiba: www
[2712.104] (S)ベニマル: wwwwwwwww
[2712.562] (S)いちうら: ぐｗｗｗｗ
[2713.042] sayorin25256: w
[2713.240] mary611: radaoMoeru
[2713.348] 和なし: wwwwww
[2713.727] fu_rin0617: wwwwww
[2713.962] piisuke0428: wwwww
[2714.319] 1__rui__: wwwwww
[2714.756] runa0921: 困らせんなwww
[2714.809] (S)壱代目: www
[2715.201] chankyo8: wwww
[2715.424] nanasi___0: www
[2715.430] (S)Ruria00: 炎上不可避
[2715.455] smile_826: wwwwwww
[2715.636] rimirimi1205: ｗｗｗｗｗｗ
[2716.093] many7575: ぐ
[2716.374] gaiantufan: レオ様吐血したけどww
[2716.520] 宙海: ぐwwwwww
[2716.739] melonmelo_: wwww
[2717.030] zuccha6192: はぐき
[2717.278] 猫又01: 罪だぞ
[2717.619] RamuneAme1111: wwwwwwwww
[2717.863] 肘丸: 炎上です
[2718.277] yomo_12: あ
[2718.786] asaborake0408: 誠心誠意謝罪しろ
[2719.413] みさお婆ちゃん: www
[2719.853] tsunagungun: おいwwwwwwwww
[2722.063] さなもろ: 山田涼介を困らせる男wwwww
[2722.207] タクトン: radaoW
[2722.707] ねこすず: 自我出すな
[2722.974] takenokomusi: 叩かれるぞ
[2723.519] suiha_7: 炎上
[2723.960] ノコツチ0220: やめ
[2724.000] (S)nobume0v0: 様付けないとファンにブチブチにされるぞw
[2724.728] runa0921: www
[2725.359] si_nn_me_319: さすがすぎ
[2725.885] 1o_oyu: 謝罪案件
[2726.089] 愛の林檎: 字ズラとんでもねえなwwwwwwwww
[2726.784] 和泉ぴけ: 炎上か
[2726.934] ﾐﾗ: 怖いらしいぞwwww
[2727.416] you_28: 土下座してきなさい
[2729.638] takoyaki0917: これは炎上
[2729.809] emitsin: はい炎上
[2729.892] takumoke: 大御所を困らせていく男 らっだぁ
[2732.257] (S)タキ: これは炎上するな
[2733.619] kedamanoma: www
[2734.244] kou_hoku: わこらだ〜！
[2734.249] ﾐﾗ: radaoMoeru
[2736.131] takumoke: 叩かれるぞ
[2737.715] rin5_3: 困らせるなww
[2738.515] (S)okayu121: わこらだ！
[2740.177] tsunagungun: 焼き土下座案件
[2743.868] kuraha_0107: radaoMoeru
[2745.151] suiha_7: ガチ恋勢の怖さを知らない男
[2746.133] しゃろっく: すいません。何位でしたか？
[2747.599] kedamanoma: 困らせんなw
[2751.705] (M)Nightbot: サブスクライブはこちら https://www.twitch.tv/products/raderaderader/ticket Primeの方は無料でスポンサー登録ができます→  https://twitch.amazon.com/prime
[2754.213] nyankichi_773: 3位でしたよー
[2757.019] 和泉ぴけ: 山田くん
[2757.104] 1o_oyu: 3位でした！
[2762.147] sqltcandy: !rank
[2763.173] rin5_3: さっきは3位
[2764.377] koyaren: !uptime
[2764.621] (M)Nightbot: らっだぁ が配信を始めてから 46 minutes 11 seconds 経過しています。
[2765.250] 犬ﾚ: いいね
[2765.690] しゃあろっく: これスクリムね
[2766.304] (S)朝顔もーにんぐ: 3位でした
[2768.891] ayunosioyaki0223: www
[2769.039] nakihai556: wwwwwwww
[2769.131] koyaren: !member
[2769.250] (M)Nightbot: [w/山田涼介、釈迦]
[2769.465] himikokichi_06: wwwww
[2769.570] にわすずめ: wwwwwwww
[2769.689] ruu_ha: wwwww
[2769.905] Ichigo_Strawberry15: wwwwww
[2770.178] sunomono8: wwwwwww
[2770.202] yona_0724: wwwwww
[2770.378] (S)つむじのきもち: wwwwwwww
[2771.202] many7575: ひらたくねwww
[2771.285] えりさ_: www
[2771.450] charlotte0ra: wwwww
[2771.461] miamio121: wwwww
[2771.489] (S)わらびもち_11: wwwwww
[2771.707] miyamiya138: wwww
[2771.889] koyaren: wwww
[2771.947] (S)nobume0v0: wwwww
[2772.142] しゃろっく: radaoKansya
[2773.016] おこめじるし_: ｗｗｗｗｗｗｗ
[2773.222] いろは0224: ｗｗｗｗ
[2773.340] キラキラボシ: wwwww
[2773.747] 愛の林檎: 平たく言えばね
[2774.319] 1__rui__: wwwwww
[2774.487] tanuki_pan: ひらたーく
[2774.560] rira_nyan: Wwwwww
[2775.506] mbando55: wwwww
[2775.767] つよいこ: 平たくいえばwww
[2775.970] (S)あるみ屋: 平たく言えばwwwwww
[2775.989] akatonnbo0912: wwwww
[2776.118] (S)kuugay0905: wwwwwwwwww
[2776.188] (S)おまめぃ: キモチャーライチクチクできるか！？
[2776.466] ankoro0324: wwwww
[2777.054] amakaya_15: wwwwww
[2780.405] kizaniatyuou: 川^ら^\
[2807.451] you_28: radaoTuuhou
[2807.492] ホトトギス: ん〜
[2809.639] akatsuki_tera: チャーライとらんの？
[2811.490] (S)izayoi966: うーん
[2811.640] takenokomusi: キモキモチャーライ見せてくれ
[2812.752] ぴあす: チャーライあったぞ
[2814.032] yunchi_5648: チャーライとればよかったやん
[2822.773] koyaren: !uptime
[2823.032] (M)Nightbot: らっだぁ が配信を始めてから 47 minutes 10 seconds 経過しています。
[2823.752] 贄ﾁｬﾝ: 勘じゃん
