[8.629] unlimited_teddy: おかえり
[2770.438] (S)uwamonq: そういうことなんだｗ
[2791.275] (S)ほっきょく: 女子映すと盗撮って騒ぐやつ居るからね
[2797.988] ぷーぬ: 夜道とかで前に女性いるときいつかって追い抜いたりすろよね
[2810.953] lesame: 今きたがもうジンバル死んでるのかｗ
[2814.430] 1108044k: リスク管理大事
[2816.670] (S)hiroyoshi_052: わかる
[2835.001] x_abu_xx: ジンバルくんは充電が切れてしまいました
[2835.014] (S)uwamonq: 何で黙っちゃったの？
[2848.010] the_blow02: ジンバルの効果ってすげぇな
[2875.023] lesame: いつもの黒いあれね
[2895.142] machakyuro: カメラ自体の手ぶれ補正機能は入れてるの？
[2896.687] gorogorogorn: しまんのジンバルは何処へ
[2928.174] x_abu_xx: 3万のジンバルは置いてきた
[2928.414] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2957.787] (S)imokun888: 電池ないジンバルはただの重い棒
[2958.782] gaia3333: ん？
[2962.496] loopy000401: 歩行者いてもチャリとばす人多いね
[2971.021] ~MISSING_COMMENTER_INFO~: D？
[2971.347] lesame: ジンバル差し入れきたぁ！
[2974.964] kaigaizei: ほっきょくかな
[2975.604] x_abu_xx: ジンバルの差し入れw
[2975.746] (S)imokun888: ジンバル差し入れなんてこの世にあるんか
[2976.310] 1108044k: 凸？
[2980.421] super_fluo: 誰かいるの？
[2981.467] 清潔なおしり: いいねえ
[2981.743] (S)teruharu_: FamilyMan
[2981.812] cicada_moons: だんごさん？
[2984.228] HirocoT: お
[2984.821] (S)hiroyoshi_052: ジンバル差し入れは草
[2985.834] (S)ほっきょく: いやいやｗｗ
[2990.390] ぷーぬ: ほんと王様だなwww
[2992.279] blackcoffee0821: だんごさんぽい
[2994.694] leonhard_mage: ジンバル差し入れw
[2995.028] (S)ほっきょく: 今日は家にいるからｗ
[2995.301] yogai2paopao: 裏方スタッフみたいな差し入れ
[2995.545] gorogorogorn: ジンバル差し入れにぃｗ
[2996.965] (S)ichi_gatsu: Gパン
[2997.913] (S)imokun888: osmoモバイルっぽいな
[2998.374] まじなさん: クロックスやん 
[3001.398] やきにくマン: ジンバル
[3001.556] (S)tabibitox: ナンバー映ってる
[3005.523] やきにくマン: ジンバルきたあ？！
[3020.137] peyangoo: 差し入れにジンバルは普通やろ？
[3023.435] junichitanaka: ダンゴさん出現率高いなw
[3026.026] (S)imokun888: なにもOKじゃない
[3047.138] (S)hiroyoshi_052: 王よ、なにもOKじゃありません
[3049.259] ぷーぬ: 散歩配信で時々後ろ振り返ったら面白そう
[3053.434] 清潔なおしり: お
[3057.866] (S)v_harumi_v: おお、いつの間に凸が
[3059.242] herumesuwind: 何時間歩いてんの？ｗ
[3067.777] x_abu_xx: ぐにゃあ～
[3075.012] gorogorogorn: 海外行ってたんじゃ
[3081.799] x_abu_xx: おお
[3082.055] leonhard_mage: ぐにゃるかー
[3083.816] (S)tabibitox: 安定した
[3103.289] ryuken1983: 👍🏽
[3104.835] (S)teruharu_: MercyWing1
[3106.570] leonhard_mage: おー、安定した
[3123.514] 清潔なおしり: ありがたやー
[3128.745] (S)v_harumi_v: ありがたやー－－
[3135.669] ちいトラ: umeGoat
[3140.606] ~MISSING_COMMENTER_INFO~: やっぱり頼りになる男は違うなぁ
[3143.283] blackcoffee0821: バイクできたの
[3147.324] (S)v_harumi_v: ノシ
[3151.506] (S)teruharu_: かっこええなｗ
[3153.414] ~MISSING_COMMENTER_INFO~: Dはクールに去るぜ
[3153.854] (S)ichi_gatsu: 去っていく
[3153.942] OGPG_mendokusai: 颯爽と
[3154.781] ねこざけ: ありがとー
[3155.473] blackcoffee0821: かっけー
[3155.589] 八極盗撮個展: バイクでピンポイントでやってくるの凄いなw
[3156.137] balthazar000: さよなら
[3157.642] x_abu_xx: だんごさんありがとー
[3159.840] (S)hiroyoshi_052: すげえな
[3170.483] まじなさん: 全然ちがうね
[3177.301] (S)tabibitox: メットの下にメットの男
[3178.038] tounyu_dayo: やるじゃん
[3180.249] (S)v_harumi_v: だんごさんありがとおお
[3180.475] blackcoffee0821: 🍡
[3180.552] pandascal: スタビライザーさいっきょ
[3180.743] (S)ほっきょく: 杉山公園を左に
[3180.834] HirocoT: さよならー
[3181.538] あかの: なんだバイク便の人か
[3182.814] ちいトラ: 熱心な方ですね
[3187.177] (S)ichi_gatsu: ノシ
[3192.094] gorogorogorn: 今までありがとうー
[3204.256] (S)teruharu_: だんごさんありがとー
[3209.462] x_abu_xx: このまままっすぐいって、新青梅出たら左です
[3213.524] danny_love_danny: だんごってサイコパスなあの？
[3221.160] gaming8898: ウメ支援
[3225.466] the_blow02: Dやるねぇ
[3226.369] blackcoffee0821: こっちもらく
[3234.580] kurby301: Get parried
[3238.389] (S)v_harumi_v: 寝落ちしてる間にそんなことが
[3241.937] (S)imokun888: なんだったらジンバル今までのより安定してる感ある
[3242.657] (S)tabibitox: そそｗ
[3243.429] kurby301: kurby3Aegis301
[3251.825] kurby301: kurby3Toki301
[3253.928] ちいトラ: スタビライザーってすげぇや
[3258.197] kurby301: Yo daigo!
[3260.552] やきにくマン: 壊れてるけど安定するんやな
[3261.881] x_abu_xx: これが科学の力
[3263.060] rm_rf__: 凄いスムーズ
[3267.610] kurby301: Hello from the USA
[3276.212] (S)uwamonq: だんごさんサイコパスなんですか？ｗこの前ふーど旅で良い引率者だった
[3279.834] kurby301: kurby3Stonedroshi301
[3292.046] kurby301: kurby3Urien301
[3292.654] gaga_u4x: 今日、あつい？ 汗だく？
[3297.060] junichitanaka: ネット長者のダンゴさんと同一人物
[3300.271] sdy_hs: 鹿に襲われてるフード親子を笑ってみてた団子
[3305.999] x_abu_xx: 折笠さんとやってるラジオ聞けばわかると思いますよ
[3321.263] danny_love_danny: Dは酒飲むとやばい
[3363.282] kurby301: kurby3Nani301
[3366.456] bibi_hk: good walk
[3369.774] (S)ほっきょく: 信号を左折っす
[3383.451] x_abu_xx: 新青梅そろそろっすね
[3387.030] leonhard_mage: だいぶ近づいてきたな
[3397.124] jagajaga1943: 救急車多くね
[3399.070] (S)ほっきょく: 新青梅じゃないと思うよｗ
[3401.232] ~MISSING_COMMENTER_INFO~: だんご液うめぇ
[3412.436] Stuntbounce: What we gon do? We going to hit the gym?
[3424.228] toilethumor: lord daigo...
[3436.836] (S)imokun888: 公園in
[3446.295] tawashi00: 中野通っていく感じか
[3448.149] x_abu_xx: 高円寺のホープ軒跡ですね>目標
[3448.968] kurby301: kurby3Tiddy301
[3449.017] (S)hiroyoshi_052: うめショートカット
[3449.905] まじなさん: うわぁここきたなぁ
[3450.147] hiro_chan: 高円寺？
[3452.420] (S)ほっきょく: 目的地：野方ホープ
[3455.063] junichitanaka: Walking for the sake of walking
[3455.641] Fkdso555: まっすぐ行ったら中野駅
[3460.405] kurby301: kurby3Lurkinkurbyinabox
[3469.368] rxz_2017: ｶﾞﾀｯ
[3473.703] x_abu_xx: ここひだりです
[3479.456] (S)ほっきょく: コレを左
[3484.578] hinokihinoki: この辺は新宿からも帰れる距離の割に家賃安くておススメ
[3489.411] (S)imokun888: 唐揚げ…
[3493.643] x_abu_xx: 次は環七渡って左です
[3493.653] balthazar000: 唐揚げ専門かぁ
[3500.791] smokingpiper: 杉山公園か
[3501.298] (S)ほっきょく: 堀越学園もあるしね
[3514.874] jagajaga1943: 唐揚げ専門店増えたのは簡単だからか
[3518.548] balthazar000: ウメさんおすすめの唐揚げ店ありますか？
[3546.742] (S)ほっきょく: 厳密にはもう少し大久保通り寄りですけどね
[3554.066] hiro_chan: 堂本剛？
[3557.625] balthazar000: やめたれ〜
[3558.258] (S)imokun888: アーティストの時にさかともりえになる人ね
[3559.050] Vorimor: Vorimor subscribed with Prime. 
[3559.093] (M)Moobot: @VORIMORさんTwitch Prime登録ありがとうございます！
[3564.283] rm_rf__: ともさかりえなついw
[3567.245] danny_love_danny: 堂本剛とも同級生じゃない？
[3569.467] helicom: 科が違うから会えないってオチ
[3577.111] herumesuwind: ともさかりえ知らない人多そう
[3577.384] (S)ほっきょく: SOD
[3587.565] gorogorogorn: まだ活動してるのかなー
[3587.850] hinokihinoki: じゃあ水樹奈々とも同じだ
[3589.945] はとぽっぽ: じゃぁ水樹奈々も同級生だわ
[3592.265] あかの: 学生時代のともさかりえのあだ名はバナナ
[3592.304] (S)v_harumi_v: 中学生の頃デビューするために転校してきた人が堀越に行きました。
[3592.634] danny_love_danny: 金田一少年なついー
[3592.743] (S)ichi_gatsu: じゃあ水樹奈々か
[3599.838] machakyuro: あーーー覚えてるｗ
[3601.242] matsaman_curry: イグアナっしょ
[3602.418] notero_jp: 金田一の世代が・・・
[3604.233] rxz_2017: じゃあsakoさんと同い年だ
[3612.437] hiro_chan: さかともえりも同級生
[3614.563] balthazar000: 学校行ってたんだ ってその手の話聞くたびに思う
[3616.386] (S)imokun888: 初代の美雪ね
[3618.000] ogawa3: さこさんと同い年だー
[3641.521] rm_rf__: 今なにしてはるんやろか
[3651.403] danny_love_danny: Sakoさん同い年ご祝儀でKinKiのデビューシングル買ったって配信で言ってたw
[3652.264] hiro_chan: 水樹奈々も同級生
[3656.864] junichitanaka: 遠藤久美子がオレの隣町のもんじゃ屋によくいた
[3663.739] (S)ほっきょく: ワイもこっちら辺の知識疎いけど大体説明できるｗ
[3666.163] Fkdso555: 堂本剛とsakoさん同い年ｗ
[3674.163] ogawa3: 二回離婚してて男の子がいたはず
[3684.320] gorogorogorn: それ後藤
[3687.303] (S)tabibitox: それはゴクミや
[3689.136] (S)将門ゴルゴロ: それ後藤ｗ
[3689.339] machakyuro: アレジだっけ？
[3692.969] (S)ほっきょく: 昔はエンクミって呼ばれてましたね
[3694.079] blackcoffee0821: ゴクミ
[3695.223] hinokihinoki: アレジはちゃうくない？
[3698.053] HirocoT: それは後藤久美子さんではｗ
[3700.519] Jackalope0504: エンクミゴクミ
[3702.759] smokingpiper: そろそろSOD本社だな^_^
[3704.761] rm_rf__: ゴクミで笑った
[3705.484] まじなさん: エンクミ
[3706.876] (S)v_harumi_v: F1はゴクミ
[3707.972] ~MISSING_COMMENTER_INFO~: 昨日、ヤフーニュースで女性に人気ってのが出てたな
[3710.064] (S)v_harumi_v: ややこしいｗ
[3711.649] (S)ほっきょく: もう過ぎたよSOD
[3712.064] machakyuro: ヤンクミは？ｗ
[3719.560] (S)v_harumi_v: ヤンクミってだれ？
[3722.914] (S)uwamonq: 奥山よしえは今・・・ｗ
[3728.878] hiro_chan: ジャンアレジ
[3729.258] junichitanaka: 遠藤久美子 エンクミ
[3732.182] erukima: ごくせん？
[3736.411] danny_love_danny: ボーイッシュな髪型の
[3736.748] (S)imokun888: ヤンクミはごくせんの役名
[3737.848] まじなさん: ヤンクミはごくせんだｗ
[3738.081] やきにくマン: クミ多ない？
[3739.638] machakyuro: ドラマで仲間由紀恵がやってたのがヤンクミｗ
[3739.946] junichitanaka: オレも忘れちゃった
[3744.923] kaigaizei: 代表作がないショートカットの女がエンクミ
[3745.234] manasvin13: 絶対知ってる名前だけど思い出せないエンクミ
[3757.085] ライコネン: アレジ？
[3761.198] hosp1990: まさかのアレジ
[3761.926] ちいトラ: ウメちゃんはゴクミ
[3772.124] (S)ほっきょく: そのうち中山エミリとか名前上がってきそうｗ
[3802.366] ~MISSING_COMMENTER_INFO~: 相武紗季？
[3804.785] Jackalope0504: 広末？
[3806.580] (S)imokun888: 鈴木杏か？
[3807.213] loopy000401: 一色紗英
[3816.655] (S)tabibitox: 一色さえ？
[3819.380] ビフィダス: www
[3820.281] ~MISSING_COMMENTER_INFO~: はぁ？ｗ
[3822.695] hinokihinoki: 世代だねぇ
[3823.193] ビフィダス: 懐かしい
[3823.426] terry_man630: 中山エミリ？
[3824.305] sdy_hs: なんでわかんの
[3825.906] HirocoT: ｗ
[3826.592] smokingpiper: 一色さえ
[3830.328] erukima: 絶対おじだ
[3831.952] ちいトラ: 通じ合ったー
[3832.398] manimani0418: これって年齢調査？
[3840.606] jagajaga1943: なんでわかんのｗ
[3840.925] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[3841.454] ~MISSING_COMMENTER_INFO~: モロッコのこと悪く言って問題になったよね
[3842.177] (S)ほっきょく: そこのファミマ結構都内で大きい
[3844.527] (S)uwamonq: 一色て凄い苗字やね
[3844.743] unlimited_teddy: 内田有紀アイドル時代
[3848.629] hinokihinoki: ポカリで年齢バレる
[3849.554] danny_love_danny: 一色さんのシンデレラエクスプレスは神
[3852.340] loopy000401: 中山エミリ系の顔なので連想できました
[3858.454] kaigaizei: 女優かよくわからないポカリのCMに出てた女10人ぐらいいるだろ
[3869.138] hiro_chan: 本名サーフェン紗英
[3877.281] やきにくマン: ZARDのやつか
[3881.666] pandascal: ポカリとかアクエリアスのCMはそのシーズン強キャラになりそうな奴が出る
[3883.197] (S)imokun888: 後藤理沙もポカリあるぞ
[3885.480] smokingpiper: 偶然だけど、一色紗枝この辺出身だよ。
[3887.708] junichitanaka: サーフェンかっけぇ
[3888.933] (S)ほっきょく: ZARDの人がポカリのCM出ても盛り上がりそうな気がしてた
[3893.176] netflixcapcom: ラスト対戦調整手強そうだなー
[3899.312] manasvin13: たしかにｗ
[3900.082] gorogorogorn: ハーフなんだ
[3903.564] (S)v_harumi_v: そんな感じしますねー
[3910.707] hiro_chan: 一色紗英は杉並区出身
[3913.860] hinokihinoki: JR東海のクリスマスエキスプレスの牧瀬里穂が神だったのは覚えてる
[3919.703] (S)uwamonq: ウメちゃんスポドリはポカリ派？
[3925.026] keiji25nico: ただのジュースなのにね
[3927.261] 穴入亭快楽: どぐらはポカリのCM狙ってるらしいですねw
[3931.904] (S)satochii__: 大塚製薬の広告系は昔からレベル高いよね
[3944.032] machakyuro: ポカリは電通ですね
[3948.743] (S)imokun888: ハイポトニック
[3952.550] (S)uwamonq: そりゃ強いｗ
[3958.051] hiro_chan: やるやら出てたね
[3961.633] パパゲーノ: 大塚製薬の隣に住んでます
[3969.153] やきにくマン: カルピスとポカリは女優さんのイメージ
[3983.604] (S)ほっきょく: @１０分位で環七到達と予想
[3994.019] (S)uwamonq: 粉塵を押し返す意志力
[3995.593] (S)imokun888: うめちゃん長澤まさみとかギリ分かんなそうだな
[4007.875] matsaman_curry: 金持ってた？
[4018.665] kaigaizei: ポカリの新CMの曲アンダーテイルの作者が作曲してるぞウメちゃん
[4021.817] やきにくマン: ほんまかいなw
[4023.954] (S)tabibitox: 結構歩いたしセブンのカレーくっても許されそう
[4032.225] super_fluo: ウメちゃんは橋本環奈も知ってる
[4039.470] (S)hiroyoshi_052: うめちゃん晩メシ食うのいつもこんな早くからなの？
[4039.909] hiro_chan: ジョビンはキャバクラ行くとき吉野家の孫って名乗ってる
[4044.707] matsaman_curry: そーれわ持ってるわ
[4044.762] balthazar000: 麻雀と金に関係が？
[4045.419] (S)uwamonq: 無敵やｗ
[4055.771] gorogorogorn: でしょうねｗ
[4057.390] junichitanaka: 橋本環奈もハシカン呼びする梅さんやぞ
[4059.817] (S)brunoman1: 無限湧きいいな〜
[4072.476] farandole_176: チャコールフィルター？
[4088.218] hinokihinoki: トライセラトップス？
[4102.209] maypos: 中谷美紀と柴咲コウの見分けつく？
[4112.257] hiro_chan: トリキの息子はジャニーズ
[4116.997] manasvin13: チャコフィル好きだったなぁ
[4120.147] ビフィダス: ！高円寺あたりまで歩いてるの！？
[4138.078] ねこざけ: チャコフィルの歌は絶対CMで聴いたことあるはずw
[4145.561] x_abu_xx: もうちょいで環七ですね
[4147.667] (S)ほっきょく: いつでも美味しい日乃屋カレー
[4150.897] ビフィダス: すごいなあ
[4157.279] blackcoffee0821: ググったら出てきたお
[4165.216] にとう夢の: 吉野家の孫
[4166.746] まじなさん: 東高円寺やね
[4169.525] ~MISSING_COMMENTER_INFO~: 昼夜逆転生活の治し方教えてください
[4172.619] (S)ほっきょく: 東高円寺
[4176.777] (S)v_harumi_v: へー
[4185.666] ビフィダス: いつ頃？
[4186.342] x_abu_xx: 帰りはこの東高円寺の駅から帰るのがいいと思います
[4195.500] HirocoT: 一瞬！
[4198.158] hiro_chan: 一瞬？
[4201.561] ねこざけ: 一瞬って瞬く間ってこと？
[4206.195] smokingpiper: 蚕糸の森公園
[4209.769] ビフィダス: おー プロになる前だ
[4213.744] (S)ほっきょく: 多分だけど反対車線に渡っておいたほうがいいかも
[4220.200] ビフィダス: ww
[4224.317] (S)erisuk: めっちゃ若いときやん
[4227.819] まじなさん: 蚕糸の森公園、好き
[4239.239] hiro_chan: 一瞬住居
[4239.813] x_abu_xx: いや、このままで大丈夫、環七の向こう側です
[4240.600] gorogorogorn: 内見しなかったんだ
[4284.079] ツィッギー: やっぱ昔のウメさんはゲーセンの近所に住みたかったですか？
[4285.305] ~MISSING_COMMENTER_INFO~: 豊玉！
[4286.266] (S)ほっきょく: あれ？？？野方ホープでいいんでしょ？？？
[4288.113] フﾄ: 内見だけじゃわからないこと多すぎてつらい特に回線
[4290.989] あかがねタスク: お隣の音がヤバかったと
[4292.274] (S)v_harumi_v: 公園いいですねー
[4299.642] (S)murabito06: 関係ないけど品川方面ってもう歩いた？
[4302.020] hinokihinoki: 昔この近所でタクシーにひき逃げにあったなぁ。懐かしい
[4319.817] びっくすまん: ひき逃げ笑う
[4329.763] (S)v_harumi_v: えええ、そんな懐かしいの嫌だー＞＜
[4332.734] まじなさん: 水分補給だいじょうぶなのかしら…
[4339.924] junichitanaka: 麻雀の沢崎さんみたいな歩き方の人いた
[4340.043] 種無: 元気そうやな
[4342.377] danny_love_danny: ひき逃げゴメン笑った
[4358.190] balthazar000: 大通りは暑いし、開けてて見るものあまりなくて寂しく感じる
[4360.986] leonhard_mage: ひき逃げを懐かしいは強いw
[4363.200] hiro_chan: 何公園？
[4363.808] pooh012345: 蚊柱すごい
[4363.839] mako_sc2: hadouken one of the passers by
[4368.690] keiji25nico: ムシわいてる
[4373.498] (S)v_harumi_v: 公園いいですよ
[4376.717] gorogorogorn: ちぃっちゃい虫やだー
[4379.876] ちいトラ: 口とか目に入ってくるやつ
[4394.527] danny_love_danny: 蚕糸の森公園だよ
[4399.343] まじなさん: さんしの森公園
[4404.512] hiro_chan: ありがとうございます
[4405.997] ビフィダス: いいなあ
[4408.857] (S)neogreenlife: 昼間の公園て良いね
[4410.540] ~MISSING_COMMENTER_INFO~: its so clean there
[4410.698] (S)imokun888: 味のある建物が…公園事務所かな
[4410.774] あさつき教: お腹空かない？
[4417.521] rm_rf__: 平和や
[4428.327] ビフィダス: すごいいい運動になってそう
[4436.687] danny_love_danny: この公園ちょっとレトロで好きだ
[4444.581] (S)ほっきょく: ホープは環七を右折で延々まっすぐ
[4448.350] x_abu_xx: 環七わたって、JRの駅とは反対側です
[4448.733] (S)v_harumi_v: ；＿；
[4457.468] danny_love_danny: 環七みえたー
[4457.774] x_abu_xx: 環七渡って左折してすぐですね
[4467.353] (S)ほっきょく: ん？？
[4470.281] 清潔なおしり: 腹も減るさね
[4471.162] ~MISSING_COMMENTER_INFO~: ビールうめぇぞぉ
[4479.001] (S)erisuk: こんだけ歩いたなら流石に味の濃いもん食べちゃう？
[4485.703] x_abu_xx: ですね、元ホープがそこです
[4485.999] (S)v_harumi_v: これだけ歩いたらビールも美味しいんでしょうねええ
[4494.444] (S)ほっきょく: あれ？？環七のホープって移転したの？？？
[4502.667] leonhard_mage: なついなあ、この辺
[4506.661] erukima: ラーメンくいて～
[4513.606] あさつき教: アルコールの入ったレッドブル
[4533.236] ちいトラ: 夕暮れ時ええな
[4536.497] hinokihinoki: この辺車で走ってると白い建物多くて南国っぽさあるんだよな
[4541.454] x_abu_xx: 反対ですね
[4546.532] ツィッギー: 秋葉原の散歩配信はしたんですか？
[4558.557] (S)ほっきょく: 跡地かぁｗ
[4567.613] x_abu_xx: そっちじゃなくて、もどって右折です
[4572.443] pooh012345: 杖ついてる人おおいなぁ
[4575.328] urinomo: うめちゃん道合ってる？
[4591.092] hiro_chan: ほんてん？
[4591.120] (S)ほっきょく: でしょ？？？
[4594.926] danny_love_danny: 西日暑そうねえ
[4610.754] x_abu_xx: okです、あとはまっすくです
[4612.367] xpertbandit204: where we going?
[4614.872] (S)ほっきょく: 歩道橋渡る
[4615.675] (S)クラクラ777: みんなのコメントでウメちゃんを目的地まで誘導しようって
[4618.158] (S)クラクラ777: ゲームです
[4623.519] smokingpiper: ホープ？タロー軒じゃなく？
[4639.781] (S)ほっきょく: 多分それ南に行ってる
[4643.967] pooh012345: VRウメハラ
[4648.498] pandascal: レミングスじゃんね
[4649.983] x_abu_xx: 南ですよね?
[4651.260] x_abu_xx: ***
[4653.817] Numiiplayslive: Where to Big Boss?
[4660.993] (S)ほっきょく: 野方は北側だよ
[4665.702] hiro_chan: グーグルだと北にあるけど
[4676.112] smokingpiper: 野方は反対だよ
[4677.492] balthazar000: 北はどっちなのか
[4682.141] HirocoT: ｗ
[4691.399] danny_love_danny: ウロウロ
[4691.525] kaigaizei: 月はどっちに出ている？
[4691.578] gorogorogorn: 人狼は誰だ
[4693.125] (S)ほっきょく: 元？？
[4698.795] ぽんです: これもうわかんねぇな
[4699.984] smokingpiper: そっちが北
[4703.341] ちいトラ: 枝倒して決めよ
[4707.603] pooh012345: ローラーしよう
[4711.190] (S)v_harumi_v: 枝倒しｗ
[4716.366] (S)imokun888: ホープ軒跡地ね
[4720.842] ツィッギー: コンパス買うか！？
[4723.458] hinokihinoki: 跡地ね
[4728.500] ガブガブ: 元ホープ軒は南でいいみたいです
[4729.979] urinomo: abuさんナイス
[4738.712] (S)erisuk: 違ったほうを最後に吊ろ
[4739.157] (S)クラクラ777: なるほどｗ
[4743.576] hiro_chan: 食わないってこと？
[4743.736] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[4759.705] x_abu_xx: 野方が北側でまでやってる店、潰れたのは南の店、のはずです
[4761.866] (S)ほっきょく: あー違うんだｗ
[4762.577] machakyuro: もとぷけん
[4770.389] (S)ほっきょく: 野方ホープだと思ったｗｗ
[4775.336] ちいトラ: 思い出にひたりてぇんだ
[4780.815] pooh012345: abuさん村人です
[4786.389] (S)imokun888: ウメノスタルジー
[4790.942] urinomo: ほっきょくさんもナイス
[4797.730] hiro_chan: 梅里一丁目のほうね
[4802.739] 天然ベニテングダケ: こんにちは
[4806.680] x_abu_xx: はい、ちょっと歩くと公園があって、そのへんのはずです
[4822.895] 種無: 村人すごい
[4827.217] hiro_chan: 梅里公園のとこ
[4831.231] (S)omoikawa: まだ散歩してるー
[4831.936] (S)v_harumi_v: たすかるー
[4832.461] danny_love_danny: 梅里公園
[4833.024] bigchapo724: Diago como esta el chikloso
[4850.528] blackcoffee0821: ゴールにいたら笑う
[4850.835] unlimited_teddy: 野形ホープうまいからな
[4857.233] (S)v_harumi_v: 良い名前の公園ですね
[4858.288] danny_love_danny: 寂れているな…
[4874.605] (S)ほっきょく: ホープ軒本舗 杉並店これか！！！！
[4890.764] ちいトラ: 良い色の歩道橋
[4891.350] danny_love_danny: きたー
[4901.041] (S)ほっきょく: 梅里 1-1-46
[4910.119] ツィッギー: やっぱ車すごいなー
[4910.586] (S)omoikawa: 3時間半歩いたら、足が痛い。ウメハラの足様すごいっす。
[4916.872] (S)ほっきょく: 探したら出てきた
[4922.898] x_abu_xx: このへんじゃないですかね
[4936.119] ガブガブ: 通り過ぎたかも
[4944.649] danny_love_danny: この落書きシャッターのどれかだと思うよ
[4956.187] hiro_chan: 梅里1-1-46
[4959.417] x_abu_xx: そのへんのシャッター街の何処かだと思います
[4963.057] gorogorogorn: らくがきｗ
[4964.075] (S)v_harumi_v: ああ
[4967.111] (S)ほっきょく: ここだ！
[4972.012] ちいトラ: ガチで廃れてんじゃねーか
[4972.038] ツィッギー: 寂しいなぁ
[4972.578] あさつき教: 落書きひでーｗ
[4976.416] (S)クラクラ777: ここらしい
[4979.903] rm_rf__: なんか切ねえ...
[4980.657] blackcoffee0821: 荒れてんな
[4982.861] (S)chankoi: ギャングに制圧されてる
[4986.478] gaming8898: 落書きほんと多いな
[4986.679] hiaaru: BibleThump
[4987.301] (S)v_harumi_v: さみしさあるー
[4991.011] (S)ほっきょく: 住所でググるとここが出てくる
[4995.659] pooh012345: 呪文唱えると開くよ
[4998.029] nnmdfs: 時の流れ・・・
[4999.109] danny_love_danny: 寂しい
[5007.802] ちいトラ: もうウメちゃんの心の中にしかないんやね
[5010.566] gorogorogorn: 希望が感じられない
[5014.589] やきにくマン: ；；
[5015.360] helicom: JYOBINて書いてあるの？
[5016.115] wankoro_moti: BibleThump
[5018.980] Numiiplayslive: RyuChamp
[5022.410] taroumaruh: 思い出の中で生き続ける
[5026.619] (S)imokun888: 風情はないな…
[5030.765] (S)v_harumi_v: パシャリしてる
[5037.428] herumesuwind: 時の流れってもっと50年周期とかでさぁ
[5039.216] danny_love_danny: まわるーまわるー
[5041.041] ツィッギー: ピピ！
[5050.035] Numiiplayslive: FamilyMan
[5056.058] gorogorogorn: お10万のカメラか
[5074.303] tawashi00: かなりの距離だぞ…ｗ
[5080.267] あさつき教: 目が回る
[5080.536] nnmdfs: 散歩相当長い
[5084.928] (S)v_harumi_v: いつか写真みせてくれるのでしょうか
[5088.845] danny_love_danny: なにこの景色w
[5098.749] (S)imokun888: ジンバル、スティックが壊れてるだけで機能には問題ないっぽい
[5099.040] 泣き虫サクラ: ホープ軒は左から６軒目ぽいね
[5100.194] urinomo: abuさんほっきょくさん乙でした
[5101.648] blackcoffee0821: どこうつしてんの
[5112.463] (S)v_harumi_v: 案内してくれた方ありがとうございましたー
[5113.591] melmel_melme: お疲れ様、ずっと見れました
[5125.937] x_abu_xx: やっぱ潰れた跡って全然わからないですねぇ
[5130.573] x_abu_xx: 反対です
[5134.748] x_abu_xx: >高円寺
[5145.196] danny_love_danny: 元に戻って
[5146.062] 種無: 早速違って草
[5149.473] manimani0418: www
[5153.090] ~MISSING_COMMENTER_INFO~: zilAYAYA
[5156.197] erukima: 危ないねえ
[5158.406] (S)imokun888: 縦…
[5162.028] melmel_melme: たわけか？
[5162.793] hiro_chan: 床屋の隣だったみたいね
[5163.754] Numiiplayslive: Be safe sir. Also your a big reason why I still love fighting games today.
[5166.816] pooh012345: 首がおかしくなる
[5169.566] ツィッギー: アドバイスなかったらどうなってるんだ・・・・ｗ
[5181.002] (S)ほっきょく: さっきの大きい交差点を渡っても真っすぐ行ってもOK
[5183.149] x_abu_xx: 環七真っすぐ歩けばJRに出ます。地下鉄でいいならさっきの東高円寺ですね
[5187.299] kiraku08: このジンバルのスティック取れやすいよねー
[5190.776] あさつき教: umeCatSleep
[5196.031] pandascal: 方向音痴なのに散歩好きは属性盛りすぎてる
[5202.662] keiji25nico: 上着暑かったでしょ
[5202.990] balthazar000: いい声〜
[5204.244] imotarou1126: 地獄の門
[5214.556] ~MISSING_COMMENTER_INFO~: 子亀の凸待ち
[5217.242] x_abu_xx: 普通の高円寺ならこのまままっすぐです
[5222.441] やきにくマン: お仕事してる人みんな偉いわ・・・
[5238.248] (S)将門ゴルゴロ: なんか画面が安定した
[5241.191] apapa1031: 東高円寺とか新高円寺てかいろいろあってややこしいよね
[5242.490] ~MISSING_COMMENTER_INFO~: grafitis in japan 
[5244.529] balthazar000: もしかしてこの後対戦ですか？
[5249.827] smokingpiper: 真っ直ぐ
[5262.349] xpertbandit204: those are sick bikes
[5271.787] danny_love_danny: 新高円寺から高円寺駅までだと商店街が楽しいよ
[5281.123] pooh012345: 廃墟感がすごい
[5296.038] smokingpiper: 因みに高円寺民としては、新高円寺は高円寺にあらず^_^
[5296.121] x_abu_xx: 散歩向きの商店街通りたい様なら、青梅街道を左ですね
[5296.727] yogai2paopao: 落書きだらけですねぇ
[5299.703] 種無: なにたべる？
