[18.310] ねこのけだま: selly55Lurk
[3118.953] nattoniboshi: ふたり！？
[3119.160] いぬ科: え
[3119.381] aqua_marin0619: え
[3119.395] にわすずめ: え
[3120.112] cyarasu: うわ
[3120.312] 二年前かららだ民です: アナゴやんw
[3120.471] ﾊﾑ86: radaoTuuhou
[3121.248] yakki_san: え
[3121.509] カナバ: 2人か？
[3121.723] れもんちぃ0: え
[3121.833] kyarameri_57: え
[3122.748] asahi__s: 無理じゃね？
[3122.803] つきあかり: え
[3123.046] merongo_1023: え
[3123.062] sora_mameee: え
[3123.115] aina___10812: え
[3123.491] lemondaifuku: え
[3123.622] chokemimi: え
[3123.682] りむりん: え
[3123.743] 二年前かららだ民です: え
[3123.807] gorinngo: え
[3124.182] venusguider: 気になる～
[3124.450] かんがえるー: 一人！？
[3124.732] iseitaisei: え
[3124.814] (S)つぎきち: ん？？
[3125.004] mashuuuuuuu22: え
[3125.032] ayunosioyaki0223: え
[3125.220] anko_normal: え
[3125.928] kanariatobu: 人質居なくね…？
[3126.111] sakeoo_0102: 1人！？
[3126.445] ゆがた: ソロま
[3126.468] many7575: アナゴさんwww
[3126.809] (S)ゆずシフォン: え
[3127.090] 時雨さんだぞ: え
[3127.599] asahi__s: え
[3127.644] aqua_marin0619: 1人！？
[3127.731] めるまろん: え？
[3127.738] 和泉ぴけ: いやいや
[3128.367] harou_momiji: あー
[3128.660] よもぎモチモチ: 追いかけるのはいいんか
[3128.865] 宙海: え
[3129.038] ラロウ: 仲間内で人質やっとるやろｗｗｗ
[3129.307] ゆゆうごだじぇ: え
[3129.416] puramiko: えー？
[3130.134] nonoami0702: え
[3130.237] 科座車: は？www
[3130.699] goodmanpppp: 1人？
[3130.851] (S)epopopo_i: radaoHatena2
[3131.033] 八坂乃宮: 人質見えないけどなーw
[3131.132] (S)seillane: え？？
[3131.282] ここねり: え？
[3131.618] yuzu_306: え
[3133.318] koko_chan55: え
[3133.594] 角角家: え？
[3133.668] justin01120707: せる？
[3133.766] salmonsuper: え
[3133.834] 湊ソラ: セル？
[3133.897] にわすずめ: え？
[3133.987] いぬ科: やばくない？
[3134.572] (S)つぎきち: え？？
[3134.606] ruu_ha: セルかよ
[3134.808] ゆゆうごだじぇ: 一人〜？
[3134.965] emitsin: セルw
[3135.168] nattoniboshi: それはもう無理じゃん
[3135.427] sosko3260: セル？w
[3135.678] goodmanpppp: え？
[3135.689] show_tarosan: あれ？
[3135.938] れもんちぃ0: セル1人wwwwww
[3135.957] カナバ: ついてってたけどねぇ
[3136.127] peperonn17: 一人マ？ｗｗｗ
[3136.581] あぐれっと_: そういうなｗ
[3137.092] kyarameri_57: 1人か
[3138.051] なやしろ: うーん
[3138.129] sora_mameee: やばそう
[3138.405] anruky: セル？
[3139.382] 宙海: セル？
[3139.574] (S)minaduki37: セルｗｗ
[3139.966] (S)seillane: セル...
[3140.023] kanikama89635: 罠やなぁ
[3140.141] すいぺりあ: 1人か
[3140.251] ﾏﾙﾏﾙ: 後追いが？
[3140.462] dokukinoco: 条件絶対飲む必要ないしねー
[3140.718] goodmanpppp: セル？w
[3140.899] mbando55: セル…？
[3141.230] 藤原紫苑: ヘリ上空待機かな
[3141.334] kingsbane_1_7_3: せるー？
[3141.727] gomudam: 詐欺罪か～
[3141.835] kuzu92_: 共犯？
[3141.932] harou_momiji: タイマンか？
[3141.932] aqua_marin0619: あれ
[3141.996] はなかん: セルww
[3142.010] 冷たい南風: www
[3142.221] kanariatobu: 人質居ないけどなぁ…w
[3142.366] yuasee: あ
[3143.496] isaco135: セル4人www
[3143.780] miam_1018: せる…
[3144.108] (S)naosiki: 人質()共犯
[3144.579] sora_mameee: あ
[3144.926] カローリー: ｗｗ
[3145.932] 96猫3: せる？
[3146.000] にわすずめ: はて
[3146.220] ssi__kk: セル、、？
[3146.282] 八坂乃宮: うーん罠感がすごい
[3146.382] いぬ科: あ
[3146.489] ココマイ0: 行かないで途中合流すりゃええか
[3146.541] (S)キャ口ﾉﾚ: はてさて
[3146.674] yuzu_306: あ
[3146.739] めるまろん: なんか企んでるねー
[3147.270] ﾏﾙﾏﾙ: はて？
[3147.461] chokemimi: いい名前だね
[3147.518] えりさ_: wwwwwwwwwwww
[3147.633] ちょこぷちょ: www
[3147.689] れもんちぃ0: あ
[3147.730] riren_92: はて…？
[3147.898] taru_taru_k: セル？
[3147.909] しゃしゃも_: あ
[3147.946] shintanjent: X
[3148.052] peperonn17: はて…
[3148.177] (S)seillane: はて
[3148.388] sh0wty_: Xｗｗｗ
[3148.404] taaagon0720: 嘘かも…？
[3149.082] kuro_0125: セルーじゃないから笑
[3149.183] 湊ソラ: セルu?
[3149.200] iseitaisei: はて
[3149.342] lemondaifuku: あ
[3149.975] (S)ユウ太郎: セル四人パワーワード過ぎるｗ
[3150.054] nanashico27: はて
[3150.412] suidousuiii: w
[3150.703] gaiantufan: はて
[3150.765] からたべ: はて…
[3150.929] good_good_days: ？
[3151.019] (S)ゆずシフォン: はて？
[3151.146] oshousantotanbo: はて
[3151.221] ここねり: ？
[3151.648] mgyr2525: はてなんだ
[3151.723] urullowo: はて
[3151.922] reitoumikannokawa_: はて
[3152.151] りにょーん: はて
[3152.423] shu_nasu: www
[3152.616] koko_chan55: あwww
[3152.813] かんがえるー: はて
[3153.068] 冷たい南風: はて
[3153.171] みるあむ: はて
[3153.214] (S)雪狐0143: はて？
[3153.280] magaos_753: はて？
[3153.372] tiger_bay: ポストはなんていうんだ
[3153.441] asaborake0408: わろた
[3153.599] nekodama2155: はて
[3153.983] kohakoha921: はて？
[3154.214] __あお: はて
[3154.221] mizusakura0326: はて
[3154.425] つむじのきもち: 侵略されてる？
[3154.455] nanasikanasimi: はてさて
[3154.871] ayunosioyaki0223: はて 
[3155.338] many7575: はて
[3155.509] (S)pocobokei: はて…
[3155.575] ゆゆうごだじぇ: はて
[3156.149] にわすずめ: wwwwwwwwww
[3156.156] (S)seillane: ｗｗｗｗｗｗｗ
[3156.317] しゃしゃも_: はて
[3156.343] merongo_1023: 半分持ってかれとるw
[3156.555] norris_tuckerd: こっちもXに染まったか…
[3156.678] 宙海: はて
[3156.694] sakeoo_0102: はて…
[3156.806] kyarameri_57: はて
[3157.227] aqua_marin0619: wwwww
[3157.437] anko_normal: はて
[3157.546] mashuuuuuuu22: 嘘っぽ
[3157.939] rioka08: はて
[3159.131] ayunosioyaki0223: wwwwwwwww
[3159.153] (S)みるく金時: セルこの世界に6人いるじゃんじゃあもう
[3159.981] いぬ科: でも鳥だから…
[3160.006] れもんちぃ0: wwwwwwwwwwww
[3160.189] いんたーる: 吸収したい人造人間いるか？
[3160.225] harou_momiji: はて
[3160.658] すてらいつ: 皇帝に地球の命運託すのマ？
[3160.717] justin01120707: セルだ…
[3161.075] suujaku: アプリTinderみたいなのあるやん
[3161.140] (S)coco8q: 強盗してんの？ｗｗ
[3162.000] (S)のむ_のむ: なんだぁ？
[3162.035] えぬあい: たぁ
[3162.958] でんぶ: wwwwww
[3162.976] kanadesora: 誰がやったかわからなくさせる作戦？
[3163.813] v_ryokoubato: 仲間では？
[3165.188] itumi434: ちゃんとセルwwwwwwwwwwwww
[3166.054] sosko3260: wwwwwwwwwwwwwwww
[3166.231] (S)ないけん: かく乱用か？
[3167.037] えりさ_: 若本さんwwwwwwwwwwwwwwwwww
[3167.344] ~MISSING_COMMENTER_INFO~: マッチポンプやんけw
[3167.811] hakomsc: ｗｗｗ
[3168.058] honorin_oni: ななんかもう1人呼んでそうだったよね
[3168.579] じょびず_うっでぃ: ずっとまるみえｗｗｗｗ
[3168.972] kairo_ej: ｗｗｗｗｗｗ
[3169.152] ayunosioyaki0223: www
[3169.515] itumi434: wwwwwwwwwwwwwwwww
[3170.008] カナバ: 3人くらいバイクで行ってたけどねぇw
[3170.187] (S)ユウ太郎: 宇宙人が宇宙人を拉致してるってこと？
[3170.515] (S)pocobokei: wwwwww
[3171.125] あっすー_: wwwwww
[3171.218] 二年前かららだ民です: あかんwwwwww
[3171.248] shintanjent: 誰が犯人かわからないな
[3171.505] show_tarosan: wwww
[3171.936] shu_nasu: wwwww
[3173.131] あささんさん: 2人のてい？
[3173.244] sora_mameee: wwwwww
[3173.460] 宙海: wwwwwwwwww
[3173.806] (S)ゆずシフォン: wwww
[3174.036] nemu_1213: セル何人おんねんWWW
[3174.256] 鴨柚1945: めっちゃ声するなぁＷＷＷ
[3174.496] sakeoo_0102: wwwwww
[3174.582] (S)つぎきち: いっぱいいるけどな声
[3174.635] 泣井サソリ: なんかあなごさん多くね？
[3174.766] ssi__kk: あなごさんいっぱいいる
[3175.187] nite0621: セルいっぱいいるな
[3175.299] (S)seillane: ｗｗｗｗ
[3175.538] KAKEO86: 宇宙人が宇宙人人質にしてる？
[3176.388] emaaaru1: カメラでめっちゃ相談してるの筒抜けだけど大丈夫か？
[3176.482] ichi__go: わこらだー、講義やっと終わったー
[3176.500] ﾊﾑ86: 昨日の同じ顔ならのお試し？ww
[3176.612] nekodama2155: wwwwww
[3176.640] many7575: www
[3176.807] エイさん: なんかいっぱいいるw
[3178.295] mgyr2525: 仲間人質にする気か
[3178.330] show_tarosan: クオリティがw
[3178.494] niraoka: 共犯じゃね？wwww
[3178.525] karakusa1111: マッチポンプじゃん
[3179.369] 時雨さんだぞ: wwwwwww
[3179.495] (S)neue310: なんか１人分かりやすいのいるな
[3180.075] kanariatobu: 味方を人質扱いしてね…？
[3180.081] dokukinoco: これ証言になるよね
[3180.212] (S)riraaaaa: 人質のふりってこと？ｗ
[3180.316] meganerakuraku1: あなごさんいない？
[3180.339] ﾅﾏﾁｬ: wwwwww
[3180.895] すぷまる: 2人のていって言ったなww
[3181.434] みかにゃん_: 筒抜けすぎん？ｗｗ
[3181.542] かふねちやん: いつなったら強盗始めるんだw
[3181.543] harou_momiji: ｗｗｗｗｗｗ
[3181.683] Y3n_BabyWavy: 仲間じゃねえかwww
[3181.772] suzuyayaya: wwww
[3181.950] nanashico27: めっちゃ何人かで話しとるやんwww
[3182.041] lemondaifuku: wwwwww
[3182.107] asahi__s: wwwwwwwwwww
[3182.213] ウツル: ｗｗｗｗｗ
[3182.324] aina___10812: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[3182.363] にわすずめ: wwwwwwwwwwwwwwwwwwwwwwww
[3182.422] いぬ科: wwww
[3182.432] sutila_13: wwwwwwww
[3182.433] peperonn17: ｗｗｗｗｗｗｗ
[3182.504] ログリア: wwwwww
[3182.597] えりさ_: 似てない人もおるwww
[3182.631] cyarasu: wwwwww
[3183.018] ruu_ha: wwwww
[3183.028] sakeoo_0102: wwwwwwwww
[3183.401] gaiantufan: wwwwwwwww
[3183.511] yakki_san: ｗｗｗｗｗｗｗｗ
[3183.703] tukky1208: wwwww
[3183.927] よもぎモチモチ: wwwwwwwwwww
[3184.039] aqua_marin0619: wwwwwwwwwwwwwww
[3184.113] 銀河ポテト: wwwww
[3184.139] sora_mameee: きたｗｗｗｗ
[3184.263] (S)coco8q: 入場
[3184.333] すかあと: wwwwwwwwwww
[3184.347] tarabaaaa: ｗｗｗｗｗｗｗ
[3184.602] mer0oooo: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[3184.612] ﾏﾙﾏﾙ: wwwwwwwww
[3184.665] ﾜﾜﾜｦﾝ: 上手いやつと下手なやついるなwwww
[3184.718] drowsy__46: wwwwwwwww
[3184.909] たけもにすと: wwwww
[3184.918] なやしろ: wwwwwwwww
[3185.077] yogharu: ｗｗｗｗｗ
[3185.186] (S)seillane: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[3185.382] chokemimi: wwwwwwwww
[3185.444] yuasee: あなごさんやんｗｗｗｗ
[3185.497] jackass0012: ｗｗｗｗｗｗｗｗｗｗ
[3185.720] pirokasugg: wwwwww
[3186.237] (S)キャ口ﾉﾚ: 尻尾ｗｗｗ
[3186.303] ray__ray__: wwwww
[3186.336] yuzu_306: wwwwwww
[3186.689] emitsin: きたｗ
[3186.715] ayunosioyaki0223: wwwwwwwww
[3186.941] (S)雪狐0143: なんかいっぱいいるwwwwww
[3187.180] なあゆちゃん: wwwwwwwwww
[3187.240] (S)yuki_empty: www
[3187.410] sosko3260: きたwwwwwwwwwwwwww
[3187.450] しゃしゃも_: wwwwwww
[3187.460] kuugay0905: wwwwwwwwww
[3187.598] mizusakura0326: wwwwwwwwwwww
[3187.682] 科座車: wwwwwwwwwww
[3187.714] rioka08: wwwww
[3187.756] 八坂乃宮: wwwwwwt
[3187.806] roikn: wwww
[3188.083] ~MISSING_COMMENTER_INFO~: wwwww
[3188.138] show_tarosan: wwwwwwww
[3188.146] (S)nekonaaa: wwwwwwwwwwww
[3188.270] みさお婆ちゃん: www
[3188.291] mirina017: wwwwwwwww
[3188.309] (S)meovx2: wwwwwwww
[3188.653] karasuzaku: wwwwwwww
[3188.658] (S)tiroru202: wwwwwwwww
[3188.750] oshousantotanbo: wwwwww
[3188.824] めるまろん: wwwwwwww
[3188.859] (S)ゆなべ: wwwwww
[3188.882] れもんちぃ0: wwwwwwwwwwwwwwwwwwwwwwww
[3188.960] namaco_o: みんなセルかwww
[3188.972] コア21: wwwwww
[3188.988] nanasikanasimi: なんか来た
[3189.284] miznohanabana: wwwwwwwwww
[3189.436] すいぺりあ: wwwwww
[3189.696] mimitabu_92: wwwwwww
[3189.858] anko_normal: wwwwwwwwwwww
[3190.150] hifumiyoim: wwwwwww
[3190.154] chokemimi: 見学www
[3190.288] (S)ゆずシフォン: wwwwww
[3190.305] sakeoo_0102: きたー！！wwwwww
[3190.477] Soratandao: wwwwwwwww
[3190.479] gsucix: wwwww
[3190.557] ~MISSING_COMMENTER_INFO~: wwwwwwww
[3190.565] reitoumikannokawa_: wwwwww
[3190.578] goodmanpppp: www
[3190.724] (S)わらびもち_11: wwwwww
[3190.734] kyarameri_57: wwwww
[3190.804] ratetya: wwwwwww
[3190.975] zero18901: プレデターおるて
[3191.004] mohumohu_0828: wwwwww
[3191.007] miam_1018: wwwwwwwwwwwwwwww
[3191.227] fukahire24: wwwwwwwww
[3191.453] nekozuki22: wwwwwwww
[3191.468] (S)ラキ2525: wwwwww
[3191.491] osa_393: wwwwww
[3191.511] jizou13: ｗｗｗｗｗｗｗｗｗ
[3191.674] (S)oreo12190: wwwww
[3191.697] kohana0d06: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[3191.722] koko_chan55: wwwwww
[3191.723] honorin_oni: 見物人=らっだぁ？
[3192.255] えりさ_: wwwwwwwwwwwwwwwwwwwwwwwwwww
[3192.301] (S)seillane: やばｗｗｗｗｗ
[3192.365] (S)雪狐0143: wwwwwwwwww
[3192.541] yuasee: ｗｗｗｗｗｗｗｗｗｗ
[3192.757] kohakoha921: wwwwwwwwwwww
[3192.959] venusguider: しっぽあるなぁ
[3192.976] みるあむ: wwwww
[3193.005] arue912: ｗｗｗｗｗｗｗｗｗ
[3193.068] charlotte0ra: wwwwwwww
[3193.180] わるぷるぎしゅ: wwwwww
[3193.420] nanashico27: wwwwwwwwwww
[3193.831] れいだうだ: wwwwwwwww
[3193.989] himekana_: wwwwww
[3194.058] Ciel4949: wwwwww
[3194.680] 月_ゆえ: wwwwww
[3194.725] bin2726: www
[3195.367] taru_taru_k: www
[3195.604] sutila_13: これ共犯だろｗ
[3195.647] ログリア: wwwwwwwwwww
[3195.983] many7575: 全員アナゴなだけで三人いるのかwww
[3196.108] sora_mameee: 濃すぎｗｗｗｗ
[3196.337] gaiantufan: 情報量多いってwwwww
[3196.544] (S)ユウ太郎: ふっさふさな尻尾生えてるなｗ
[3196.713] えいりちゃ: えいりちゃ subscribed at Tier 1. 
[3197.688] rukkkoru: wwww
[3197.828] (S)秋月える: ぶｒｒｒｒｒｒっらあああああああああああああああ
[3197.989] ssi__kk: wwwwwww
[3198.165] ラロウ: これいいんか？ｗｗ
[3198.261] sakanoooo: セルというかアナゴさんやねwwwwwww
[3198.368] kyarameri_57: うぁ...ww
[3198.800] inakano_tako: wwwwww
[3199.008] _ちむ_: wwwwww
[3199.034] nanasikanasimi: wwwwwwww
[3199.479] ayunosioyaki0223: 人質〜♪
[3199.721] taaagon0720: 共犯やろw
[3199.730] goodmanpppp: セルダァwww
[3199.745] (S)seillane: しっぽｗｗｗｗ
[3199.839] hifumiyoim: ぶるるるあｗｗｗｗ
[3199.910] kohana0d06: くっそｗｗｗｗｗｗ
[3199.977] えりさ_: 巻舌wwwwwwwwwwww
[3200.126] tukky1208: 仲間だよな
[3200.159] ﾏﾙﾏﾙ: あーね
[3200.159] nekodama2155: やばいだろwww
[3200.499] 泥水浴び: wwww
[3200.627] でんぶ: これ共犯つけられるでしょwwwww
[3201.344] 7233san: 楽しそうだなwww
[3201.697] (S)pocobokei: セルwwww
[3201.840] からたべ: 共犯じゃね？？？wwwwww
[3201.926] epdk114: セルも人質？
[3202.390] kanariatobu: 共犯じゃねーかy
[3202.480] peperonn17: 人質もセルｗｗｗｗ
[3202.824] (S)main94: ｗｗｗｗｗｗ
[3203.083] marusaku1029: 気持ち悪いいいww
[3203.435] 八坂乃宮: 共犯だろw
[3203.730] なやしろ: 草
[3204.044] なちちなちなちち: 複数人の緑の宇宙人はこの場合サイバイマンだろw
[3204.298] harou_momiji: もう共犯でいいよｗｗｗｗ
[3204.850] (S)seillane: ｗｗｗｗｗｗ
[3205.574] non_tako: wwwwwwwwwwwwww
[3205.752] ayunosioyaki0223: wwwwwwwww
[3205.795] anko_normal: テンション高いwww
[3205.986] ramen_chicken: 共犯じゃねえか
[3207.110] aqua_marin0619: wwwwww
[3207.228] めたとろ: wwww
[3207.761] tiger_bay: これで共犯じゃないって言われてもな
[3207.827] many7575: ぶるぅあああ
[3207.938] ogi_3: wwww
[3208.651] にわすずめ: 共犯でいいだろwwwwwwwww
[3208.895] sakeoo_0102: wwwwww
[3209.006] yakki_san: ｗｗｗｗｗｗｗ
[3209.157] Soratandao: これ共犯ぽいね
[3209.270] (S)ぷちます: さすがに・・・
[3209.556] 宙海: wwwwwwww
[3209.972] yuasee: ｗｗｗｗｗｗｗｗ
[3210.009] (S)seillane: やばｗｗｗｗｗ
[3210.648] (S)ゆずシフォン: wwww
[3210.883] karakusa1111: 共犯だね
[3211.492] norris_tuckerd: 遊びはじめたかな？www
[3211.568] gito64: お
[3211.586] みかにゃん_: 共犯やん
[3211.707] inakano_tako: wwwww
[3211.833] つきあかり: 共犯だろwwwwww
[3212.230] ちょこぱいおいしい: wwww
[3212.483] nattoniboshi: お
[3212.517] ログリア: お腹痛いwwwww
[3212.775] show_tarosan: www
[3212.821] N2NoName: セルだったか
[3212.974] あっすー_: wwwww
[3212.984] fisicna: 一応まだ犯行はしてないがｗ
[3213.253] chokemimi: wwwwww
[3213.704] budou0616: アナゴさんだろww
[3213.891] (S)naosiki: お
[3213.905] kanadesora: 共犯だろ
[3214.071] lemondaifuku: wwwww
[3214.954] (S)わらびもち_11: お
[3215.302] 八坂乃宮: もう全員ぶっ殺せ！w
[3215.436] panndaman1: 共犯だろw
[3215.467] とり肉: お！
[3215.486] いぬ科: お
[3216.730] nanasikanasimi: 何やってんだこいつ
[3216.871] origin0329: お
[3216.875] (S)seillane: お
[3217.327] 和食定食: wwwwww
[3217.659] シュテーレン: 音聞いてるし共犯かw
[3217.741] あっすー_: お
[3218.183] kanariatobu: お
[3218.449] (S)しああき: wwwwww
[3218.458] でんぶ: あ～
[3218.577] zero18901: ほーらいわんこっちゃないｗｗｗｗｗｗ
[3220.211] yuasee: お
[3220.642] tukky1208: マッチポンプありなん？
[3220.841] kanadesora: wwwwwww
[3221.180] sakeoo_0102: ほう
[3221.214] ﾏﾙﾏﾙ: へー
[3221.671] rin12027: 共犯
[3221.866] すいぺりあ: おー
[3221.958] fisicna: あ、やったわ
[3222.533] venusguider: 草
[3223.418] show_tarosan: あー
[3223.870] いぬ科: wwwww
[3224.069] れもんちぃ0: ほう
[3224.319] yuasee: ｗｗｗｗｗｗｗｗ
[3224.347] harou_momiji: へー
[3224.604] わるぷるぎしゅ: wwwwww
[3224.758] magiku: 共犯でいいだろwwwww
[3224.965] (S)seillane: ｗｗｗｗｗｗｗｗ
[3225.913] にわすずめ: radaoW
[3225.936] ゆゆうごだじぇ: www
[3226.059] chokemimi: www
[3226.165] (S)hisuiiiiiiiiiiin: へー
[3226.174] すかあと: wwwwwwwwwww
[3226.320] めるまろん: 共犯にしか見えん
[3226.847] (S)meovx2: いいんだw
[3227.004] kohana0d06: あー
[3227.157] ichigomilk_252: あー
[3227.247] (S)わらびもち_11: wwwwww
[3227.400] KAKEO86: 一緒にバイクで行ってたね
[3227.480] (S)ゆずシフォン: へー
[3227.570] many7575: これ共犯じゃねーか！www
[3227.662] とり肉: やった〜
[3227.871] まっちゃわらびもち: wwwwww
[3228.074] urullowo: 共犯人質ありなんか
[3228.093] sora_mameee: wwwwwwww
[3228.171] kairo_ej: ｗｗｗｗｗ
[3228.204] pirokasugg: wwwwwww
[3228.228] wata_mitsu: wwwww
[3228.310] みりぃもち: wwwwwww
[3228.472] nekodama2155: wwwwww
[3228.572] ayunosioyaki0223: wwwwwwwwwwwwwww
[3228.987] (S)minaduki37: じゃあ共犯か
[3229.046] aina___10812: ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[3229.084] kuugay0905: wwwwwwwwwww
[3229.150] cyarasu: www
[3229.190] はちわれ3: wwwwwwwww
[3229.228] (S)雪狐0143: へー
[3229.253] sh0wty_: おるぁおるぁおるぁ
[3229.380] magiku: wwwwwww
[3229.417] aqua_marin0619: じゃあ共犯かwwwww
[3229.418] mizusakura0326: wwwwwww
[3229.446] (S)ゆなべ: wwwwww
[3229.498] えりさ_: 上手いwww
[3229.552] kanikama89635: 捕まえて判断やろw
[3229.669] カナバ: 共犯だろこれw
[3229.837] 八坂乃宮: もう共犯でいいよ
[3230.074] ぱる_071: wwwwwwwww
[3230.330] maru0770: ｗｗｗ
[3230.569] chokemimi: おもろいな
[3230.723] kanariatobu: 共犯じゃんw
[3231.040] hifumiyoim: おるぁｗｗｗ
[3231.055] jizou13: あのさあｗｗ
[3231.064] peperonn17: やってるｗｗｗｗ
[3231.137] いぬ科: 声やめてwww
[3231.223] じょびず_うっでぃ: ｗｗｗｗｗ
[3231.319] kyarameri_57: wwww
[3231.422] 泥水浴び: wwwwwww
[3231.440] totoron111: 逮捕ーー！w
[3231.896] ラミリア: こいつらギャングなのか…？
[3231.915] れもんちぃ0: wwwwww
[3231.994] ﾏﾙﾏﾙ: オルァ
[3232.137] 冷たい南風: でも、おもろいからwww
[3232.144] show_tarosan: wwww
[3232.156] nanasikanasimi: wwwwwwww
[3232.366] gaiantufan: wwwwwwww
[3232.379] miznohanabana: wwwwwwwwww
[3232.527] すいぺりあ: おらwwwww
[3232.562] good_good_days: これは共犯だろw
[3232.649] らはぶ: ｵﾗ
[3232.878] yakki_san: ｗｗｗｗｗｗｗｗ
[3233.146] ここねり: 共犯じゃね？
[3233.225] (S)えいりちゃ: wwww
[3233.304] shige__maru: wwwww
[3233.406] コケ国旗: wwwww
[3233.527] ~MISSING_COMMENTER_INFO~: wwwww
[3233.622] よもぎモチモチ: やめてwwwwwww
[3233.858] ichigomilk_252: 共犯か
[3234.154] えぬあい: おらぁ
[3234.199] magiku: うるせえww
[3234.393] asahi__s: 共犯だろwwwww
[3234.557] 和食定食: wwwwwww
[3235.524] 7233san: 共犯の判断難しそう
[3235.600] koko_chan55: あwww
[3235.725] (S)seillane: ちょきついｗｗｗｗｗｗｗｗ
[3235.745] iseitaisei: おｒｒｒｒｒらぁ
[3235.814] yumemiruneco: オルァwww
[3236.246] とりここ: wwwwwww
[3236.296] turara_17: 今捕まえていいんじゃね？ｗ
[3236.498] goodmanpppp: ぶるぅぁww
[3237.069] syunta_: あなご居すぎだろ
[3237.377] mgyr2525: 声やめて〜
[3237.507] oshousantotanbo: www
[3237.633] 冷たい南風: おもろいからなぁwww
[3237.649] Soratandao: さすがに共犯じゃねwwwwwwwww
[3237.775] show_tarosan: ギャングじゃなさそうw
[3237.828] arue912: 馬鹿だｗｗｗｗ
[3238.574] あっすー_: 共犯やろwwww
[3238.586] mgyr2525: 笑笑
[3238.765] tomako_0309: wwwwwwww
[3238.814] たけもにすと: うちゅんちゅ...
[3238.837] mizusakura0326: 声しぬwwwww
[3238.871] チュチュンバー: 声やめてww
[3239.081] reitoumikannokawa_: wwwwwww
[3239.090] shu_nasu: 共犯やろwwwww
[3239.223] (S)ユウ太郎: 共犯じゃないならこいつら何なんだよｗｗｗ
[3239.406] みかにゃん_: 終わり？ｗ
[3239.675] ログリア: wwwwwww
[3239.899] bosabossa: wwwww
[3240.352] ayunosioyaki0223: おもろすぎるwwwwww
[3240.679] nekodama2155: 声いやだw www
[3240.807] yakki_san: 同じ惑星はどうなんだ？ｗ
[3241.454] (S)hisuiiiiiiiiiiin: きっつw
[3241.669] 棚畑: こわいwww
[3241.698] みさお婆ちゃん: 全部カメラで聞こえてるwww
[3241.991] logic_gori: これ共犯じゃないの＿
[3242.000] sakeoo_0102: おもろwwwwww
[3242.219] (S)ゆなべ: ちょっときもいwwwwww
[3243.032] shakeriki_p: オルゥァ
[3243.033] dokukinoco: 同じギャングにしか適用されないのきついな
[3243.133] ruterute_016: これは共犯だろwww
[3243.251] エイさん: w
[3243.252] ogi_3: wwwwww
[3243.496] でんぶ: wwwwwww
[3243.887] mashuuuuuuu22: あなごさんやwww
[3244.094] fisicna: ｗｗｗｗｗ
[3244.415] miine1221: 共犯じゃねwww
[3244.952] 冷たい南風: おもろすぎるからwww
[3245.216] aqua_marin0619: wwwwww
[3246.044] N2NoName: 全員逮捕でいいんじゃね？
[3246.077] gsucix: 会話聞いてたし共犯いけるんじゃないか？www
[3246.267] (S)雪狐0143: 声がwwwww
[3246.439] gu_taranosuke: wwwwww
[3246.553] mmiinnnnn: 判断難しいね
[3246.673] くもおとこ: 強盗中も声真似してておもろい
[3246.739] sota_tsuchiya17: 人質のていって言ってたけど笑笑笑
[3246.895] 宙海: wwwwwwwwww
[3247.276] gomudam: これ電話鳴らして特定するメタあり？
[3247.387] yogharu: おもろすぎｗｗｗｗ
[3247.592] (S)seillane: ｗｗｗｗｗｗ
[3247.651] many7575: たいほー！
[3247.652] sora_mameee: なんだこれｗｗｗ
[3247.907] misa_2102: みんなで移動してたのに(笑)
[3247.930] Ciel4949: 捕まえていいんじゃないか？
[3248.105] (S)ゆなべ: wwwwww
[3248.593] レティツィア: 仲良くバイクで移動してたし共犯だろｗ
[3248.719] shintanjent: ヘッドホンで聞いててつらいwwww
[3248.891] しまヱなが: 人質逃げれそうwww
[3249.099] ayunosioyaki0223: wwwwwwwwwwwwwwww
[3249.135] にわすずめ: wwwwwwwwwwww
[3249.270] miznohanabana: おもろすぎるwwww
[3249.324] ogi_3: 面白すぎるwwwww
[3250.236] (S)めっつびたー: 別のバイクに乗ってついて行っているところ現認してるし、共犯でいいだろw
[3250.252] kurono1022: さっきまでの会話でアウトだろ
[3250.500] いぬ科: wwwwww
[3250.821] (S)みるく金時: これギャングじゃなくて半グレの集団説あるなw
[3250.883] わんここ: 共犯でいいだろwwww
[3251.220] (S)秋月える: これが観測者ｗｗｗｗ
[3251.736] (S)neue310: ぐだってるww
[3251.935] inakano_tako: おもろすぎるwwww
[3251.967] takoyaki0917: 流石に共犯だろw
[3252.040] nanashico27: 面白すぎるwww
[3252.221] aska0623: デ・ヤンスの証拠があるね
[3252.229] (S)coco8q: なんだよこれｗｗｗw
[3252.593] みかにゃん_: 初かｗｗｗ
[3252.856] かふねちやん: ぐだぐだww
[3253.088] とーもです: もう捕まえろよww
[3253.158] 科座車: バカかな？www
[3253.209] parapara0620: レギオンで一緒に来たの目視してるけど無理なのか
