[3.967] 4444446666: 滑りすぎておわった
[625.532] ModernCurryRiceOOmori: えいたなめられるw
[626.259] lun__01: ユーチューバーに厳しい岩手
[627.263] (S)vungo_mr: ハイエース呼べるしな・・・
[629.087] sakai_jin2020: 下手したら通報だな
[629.296] mifune1046: ガード崩せず
[630.266] mitsuyasf6: グッドマナー
[630.587] nmasa: 警戒してけ！
[630.803] (S)ｾﾀﾒﾝ: 防衛能力◎
[631.089] (S)まとご: キッズ「岩手でプロゲーマーが歩いてるはずがない！」
[631.746] kaomoji3: マジっすか、すごっ！からのー
[633.346] teruharu_: ちゃんと教育されてる
[637.337] usa451: ミンサガの南エスタミルにいる子供みたいだな
[638.678] onyancoscratch: 明日の回覧板に載るぞ
[641.430] (S)uwamonq: それにしても通行人がゼロなのはすごいよね
[648.237] (S)aki__aki: プロゲーマーとYouTuber、どちらが人気なんだろう？
[648.616] (S)ノア1844: 怪しい人を見たら挨拶を置くと教育されていますよね
[648.693] 反省済2: まっとう
[653.730] 芋之山: 声かけ事案
[654.359] eremin_39: ガードレール助かる
[654.910] hanao_t: 自分からユーチューバーですって言ってくるひとはまずあやしいからな
[655.339] ごまさんです: でっか
[656.215] 反省済2: でっか
[656.433] GelidiumJellyCat: ユーチューバーを名乗る怪しい集団
[657.628] weeep1: 車で移動しかせんよ
[658.124] mogai555: 家にネット回線通ってなさそう
[658.248] 新ころりん: YouTuberを名乗る不審者って回覧板出ちゃう
[658.572] (S)kkshkk: お屋敷だなぁ
[659.174] 000105: 平屋
[660.428] shifoncafe: 人気がなさすぎる
[660.917] porcupinepine: うーんこれはお屋敷
[661.131] cielcloudy248: ユーチューバーを名乗る集団に子供が声を掛けられる事案が
[662.900] daruma2597: あー田舎の家だ
[663.308] besser_org: 家でかい
[665.609] (S)のら村長: プロゲーマーは外にでないよね
[665.823] chachachakoma: 家がみんなでっかいんだがｗ
[666.037] chin_56_: 杖をついた男がうろついているという情報が
[666.407] (S)EDN3rd: プロゲーマーと言って信じてもらえるかやってみてほしい
[667.491] usa451: 大地主春也
[667.676] neon_d99: 豪農じゃん
[667.923] qq_taro: ご立派
[668.155] 原子力塩太郎: でけー家多いなー
[668.796] こんぽち: 田舎っぽい家のでかさ
[670.718] (S)fortis600: こんな家すんでみてえ
[670.956] ゆるさな: 田舎ってこんなもんだよな
[671.635] (S)闘劇のアルベルト: どの家もデカいなあ
[671.696] 閃光の: 防犯ブザー鳴らされそう
[672.022] (S)黒光り肉の: これは事案あるね
[673.812] (S)まとご: 立派な入母屋造りや
[675.318] (S)jin0073: 家でか
[679.674] mifune1046: みんな家でけぇなー
[681.394] あさつき教: 綺麗に剪定されてんな
[688.220] masarin763: もうちょっとしたらチャリ学生勢が少し出てくるかな
[689.531] 原子力塩太郎: 掃出し窓多くてめっちゃ寒そう。さすがに二重窓にしてあるのかな
[689.557] 反省済2: ちなみにもう警察とコラボした？
[691.889] ebikatsu39: 田舎の家は部屋めっちゃある
[692.111] Mrk111: この先泊まれるところあるんすか？
[699.729] eremin_39: でけー
[704.095] 芋之山: 田舎の家は座敷とか普通にあるしな
[704.336] taisa0131: 足元がお留守だぜ！
[706.729] neon_d99: 老人の家は二重窓にしてないとこも多いらしい
[708.472] habutaedango: ウメちゃんモクモク
[709.358] (S)まとご: 東京だと日光の高度制限があるからこうはならん
[711.133] (S)ぬこごぼう: 歩道狭いねえ
[714.402] besser_org: 田舎に泊まろう
[718.540] 000105: 話のネタ
[734.528] weeep1: Dまだ生きてる？
[735.355] 反省済2: ウメハラ足音ASMR
[737.332] takabo_1010: 今どの辺？
[738.207] homerttdi: Daigo new game?
[738.830] 原子力塩太郎: 大更駅あたりにホテルあるけど、ゴールどこだっけ？
[739.482] ebiebi12: 誰も喋らない
[743.258] のってる: もう宿泊場所決まってるよ。安比高原
[745.150] (S)黒光り肉の: 定期的にDに声かけてくれ
[746.361] forthemoment_elt: ユーモアか死か。D選べ
[750.557] (S)pung_pung_ouji: だんごさんマジで大丈夫なんかね
[753.382] mifune1046: 安否確認
[753.611] 超パンダ: カーニチャハンえいたも静かだ
[755.333] ゆるさな: 流石に話すことなくなってくる
[765.032] neon_d99: 次のローソンから車使ってさらに1時間歩いて八幡平がゴール
[765.328] (S)aki__aki: スキー場だっけ
[766.915] (S)adamsky111: 今日の宿はスキー場ホテル
[769.893] porcupinepine: そうなんだよなー
[771.241] erukima: ウメちゃんの肩たたき
[771.783] chin_56_: Dストップ
[772.028] ddb365: やばい
[772.414] GelidiumJellyCat: 降りてきてる
[772.705] (S)foo_twitch: 折笠現象
[773.052] ごまさんです: 二代目！？
[773.081] (S)メタルぱんだ: あｗ
[774.723] (S)kkshkk: 死音だ
[777.705] (S)黒光り肉の: やっぱり杖が呪われてる
[778.213] 閃光の: タンポポの花なんか渡すから
[779.039] (S)tom236n236p: ハンサム化
[779.067] 反省済2: 折笠化
[779.858] lun__01: 折笠の霊が…
[780.537] porcupinepine: さっきの座ってる姿とか完全に
[785.277] weeep1: 死臭がしてきたな
[788.197] forthemoment_elt: 後ろ移してシュート
[788.540] (S)foo_twitch: 死臭がね
[789.455] LEE4646: ハンサムリーチ音
[789.995] erukima: 折笠杖
[791.947] Mrk111: 安比かあ、まだだいぶ遠い
[796.596] (S)tom236n236p: 脱落が近くなるとハンサムになる散歩
[802.994] のってる: これから車だよ
[804.385] svcchaozu: また暴言吐かれるぞ
[805.825] porcupinepine: あらららら
[811.362] Loytory: あんれま〜
[812.371] 原子力塩太郎: 安比高原までは流石に車だよな。なるほど
[814.144] kkkfdf: 狂人
[816.130] (S)uwamonq: ウメちゃんがヤバくなった時、肩を叩くのはしゅーくんの役目だから・・
[817.820] spica1987: 奇人だよなｗ
[817.915] ごまさんです: 驚かない人は居ないよ
[822.069] erukima: 頭おかしいって思われそう
[823.368] ガチくんコス転売ヤー: 不審者
[825.737] (S)tilia211: 普通におかしい
[826.137] tabibitox: まぁあたまおかしいｗ
[829.459] porcupinepine: まぁおかしいんだけどね
[830.543] (S)kkshkk: 辛いときほどユーモアだよ
[833.684] (S)afuring: 修行だと思われる
[833.906] いがぐりころころ: おかしい人達の集団w
[834.307] (S)黒光り肉の: 普通誰もやらないから理解できないよな
[836.941] balthazar000: カフェさんが引きずってでもウメさんをゴールさせるよ
[837.908] acehirotaka: あらららヘンな人達
[838.024] ゆるさな: 暴言クリップありますか？
[841.221] koumonsama: ワープは隠そう
[841.476] eremin_39: 地ならしだわ
[842.203] hanao_t: 桜はまだまだいけそうだね
[844.471] べーこん118: エイダとやってそう
[844.575] 閃光の: 常人には理解できんよ
[847.427] kaifu_08: 桜ほぼ満開だな
[849.307] chin_56_: 坊主にしてもらお
[860.232] さっぽさんぽ: 39.832921, 141.111103
[878.655] LEE4646: 秋田のほうはふってるみたいなんだけどね
[881.032] (S)jin0073: 座標たすかる
[881.249] 万年六段: 弘前城は桜満開です
[893.739] largsrn: 幻聴
[893.987] 原子力塩太郎: KSK、昼飯は冷麺700円だってさ
[904.116] 反省済2: なんだ冷麺か
[904.833] ランメルモールのルチア: 座標あざます
[907.686] (S)黒光り肉の: 肉は食ってないか
[910.455] 閃光の: 晩飯決まってるん？
[914.270] (S)闘劇のアルベルト: shutofOdori
[915.700] (S)Maloneal: 焼肉嘘だったのか
[915.976] (S)tom236n236p: 弘前は桜散りはじめくらいが一番美味しいね
[916.620] Coedawg: yucchoHeart
[917.844] (S)m1s4m0: 文字たちもがんばっております
[919.301] (S)dufushi: KSKの昼食は2000点
[919.981] neon_d99: チェックポイントはまだ結構ある
[920.200] kaworuko19: いいってことよ
[920.536] hairi0610: HeyGuys
[923.478] GG_sensay: どういたしまして
[923.909] kino883: 文字も頑張るわよ
[924.136] 猫神寝猫: 俺たちのおかげって訳
[925.967] (S)黒光り肉の: ニキいる？
[929.373] (S)aki__aki: スキー場のレストラン？
[929.537] hinokihinoki: カニチャーハンやろ
[936.230] (S)gazesd: 流石になにもないんか
[943.180] (S)kkshkk: 宿の人に聞くか
[944.170] yamanashi_sp: ホテルに鉄板焼き屋があるとか
[945.273] 閃光の: 焼き鳥の部位何が好き？
[945.501] (S)黒光り肉の: タンパク質は大事
[945.807] ~MISSING_COMMENTER_INFO~: 早めに店が閉まると思うので気をつけて
[946.081] Mrk111: 食わないのはやばい
[951.764] 芋之山: 食った方がいいね
[954.165] (S)uwamonq: 今日もお好み焼きで
[958.703] ゆるさな: 食わずに寝るはやばいよ
[958.900] もきち555: 焼き鳥はちょっとちがうようなｗ
[960.234] (S)tilia211: 動いて食わないは 死
[962.947] mifune1046: オーラがあったら店入るって言ってましたけど、今までオーラある店ありましたか？
[966.499] habutaedango: 夕飯は宿のご飯がふつうだよね
[968.074] masarin763: 北森駅でしたっけ？今日の終点
[970.183] ゆるさな: 低血糖で動けなくなるで
[971.286] spring__thief: 車あるし多少移動してもいいんじゃない
[972.255] トネ: ホテルはまあまあ、良い値段するけど和食は食えたはず
[972.405] LEE4646: ダメージ回復は休息と栄養
[972.487] ランメルモールのルチア: ゴハンはガソリンやで
[972.960] effector_shop: 今までとレベチのど田舎だろうね
[979.056] (S)finoajp: ウナギでは
[981.438] (S)m1s4m0: 八幡平じゃなかったっけ
[999.908] oooippp: 雲真っ黒
[1003.087] weeep1: 栄養を欲している
[1003.124] わい氏: 駅は北森
[1003.512] balthazar000: オーラは初日だけじゃない？
[1007.323] (S)finoajp: アールさんの朝ごはん投稿めっちゃバランスいい
[1011.880] spring__thief: ルートインは朝飯おいしい
[1012.113] (S)黒光り肉の: ルートイン系列る
[1013.822] gajonaori: いまハチマンタイのどの辺？
[1015.763] (S)tilia211: 空すげぇなぁ
[1016.912] (S)闘劇のアルベルト: 今日の朝食はおいしそうだったね
[1017.221] Mrk111: ここから弘前までは鹿角くらいしかそれなりの町がない
[1017.546] (S)dufushi: ルートインのメシは旨いから
[1018.676] 閃光の: 疲れてる時の塩おにぎり美味しい
[1024.906] neon_d99: 八幡平にはまだまだ
[1032.281] よもぎです: 水美味しいと全部美味しくなる
[1034.756] weeep1: 昼飯はオーラで決めるといってたけど、今まで昼休憩で飯屋にインしたことがない
[1036.472] masarin763: 北森駅なら周りにセブンとかありますね
[1042.671] サラバア: akikiさんにりんかより食べないのにって言われてたなw
[1043.136] buri_0811: 疲労には豚肉
[1045.513] gajonaori: @kaitaku_k ありがとー
[1049.051] largsrn: カーニチャハーン
[1054.572] (S)kkshkk: だけど…
[1058.850] tabibitox: なお次の日
[1060.106] 新ころりん: 疲労時は豚肉安牌よね
[1060.958] (S)ｾﾀﾒﾝ: 龍園は強かったか
[1061.652] layla3: それが翌日・・・
[1066.206] (S)黒光り肉の: 折笠さんの子供めちゃかわいいらしいね
[1066.744] mifune1046: 最初はどうだったの？
[1067.418] noveske0713: 食堂むら重がこのあたりでは地元民に人気
[1069.044] mogai555: 折笠ってだれ？
[1073.885] (S)pinkdark01: 折笠さんまた見たいなぁ
[1077.657] 閃光の: 首の動きがヤバい言うてたな
[1078.019] (S)gftakataka: いたる…
[1080.777] sora_neko09: 今はなき
[1083.454] mahiro_8: ちゃんとした人だったのに、、、
[1086.424] (S)uwamonq: 折笠さん今なにしてるのかなぁ
[1088.459] Tokizakitamago: ハンサム以外生き残ってる？
[1091.374] (S)tom236n236p: いたるはすでに至っている
[1093.154] balthazar000: 一本木あたりなのか
[1093.205] (S)machakyuro: 駐屯地ってことは陸自か
[1095.849] izawa2001: だんごさん大丈夫か～
[1100.060] 000105: 斜めってる
[1101.204] (S)owacooorn: Dが瀕死
[1102.103] gajonaori: 折笠至らない
[1102.263] (S)tilia211: ハンサムも杖となって見守ってる
[1104.035] (S)ｾﾀﾒﾝ: つぎは衣笠になって鉄人化
[1110.733] (S)jin0073: 今日はあと１０キロくらいかな？
[1110.980] 猫神寝猫: 桜の一本道の先はもう見るだけでキツいなぁw
[1115.797] 反省済2: メタルオリカサ
[1116.771] (S)黒光り肉の: Dいるかー？
[1118.629] (S)m1s4m0: 今日の終点をもう一度教えてください
[1121.848] chin_56_: 衣笠ｗ
[1124.079] thefrozensun_: 夜に空を見れば折笠さんはいるよ
[1124.966] neon_d99: 八幡平
[1126.639] サラバア: ハンサム脊髄杖
[1128.197] ddb365: 最終日にはレベルアップしたウメちゃんがザオリク使ってくれるさ
[1128.390] chahaaaaan: あとどのくらい？
[1128.666] (S)ys120: カッ コッ カッ コッ
[1130.742] ちゃんぷくん: 理想的な歩き方になってら
[1134.557] gajonaori: はちまんたいです
[1134.903] nosveral: 維持されなくなった家を見るために立ち止まることができます
[1136.018] (S)aki__aki: 安比高原
[1137.973] (S)machakyuro: はちまんたい
[1138.155] 閃光の: 鉄人衣笠
[1138.368] chamomile21: はちまんたい
[1138.667] ve968: ウメさんは何が1番食べ物美味しかったんだろうな
[1139.098] Mrk111: はちまんたい
[1142.260] ゆるさな: はちまんたい
[1143.530] shu_nakatani: はちまんぺいｗ
[1144.088] sakryan: タイ
[1144.318] トネ: はちまんたいです
[1144.739] neon_d99: 次のチェックポイントで2時間？ぐらい車移動
[1147.612] ModernCurryRiceOOmori: はちまんたい
[1148.224] dagashiya190: はちまんたい
[1148.492] (S)dufushi: 永遠に地名を覚えない面々
[1148.751] miya3853: はちまんたいよ
[1150.661] weeep1: Dの様子を写しておくとあとでフーリアスが編集しやすそう
[1150.705] 満ニラ: はちまんたい
[1152.006] mogai555: どや顔で間違えるアール
[1158.103] じなーな: 一生覚えてもらえない八幡平
[1161.145] (S)machakyuro: どやアール
[1163.933] habutaedango: はちまんたい覚えたくないのか
[1164.299] (S)m1s4m0: やきとり重兵衛ってお店！
[1164.605] ゆるさな: 岩手少なかったな
[1170.812] ちゃんぷくん: 八幡平の山頂にドラゴンアイ見に行かないか？
[1175.108] Mrk111: バキハウス
[1175.245] daruma2597: 八幡平も広くてどの辺だろうか
[1176.031] largsrn: ばきのいえｗ
[1181.930] mozuk310: 東北こわ
[1182.564] (S)hinemosu4: 田舎ん家の備蓄は半端ねぇぞ
[1183.410] (S)tilia211: 田舎はこえーんだ
[1183.934] ゆるさな: 県外ナンバーの車に張り紙されるやつ
[1187.318] (S)finoajp: リアルに燃やすはやばい
[1189.301] acehirotaka: 石投げられた家とか
[1191.693] ModernCurryRiceOOmori: 田舎ははんぱない…
[1197.914] porcupinepine: やっぱ消毒なんだよねー
[1200.053] 猫神寝猫: 田舎の最初の感染者の家にいし投げ込まれたとか普通に聞いたし
[1201.185] (S)finoajp: これだから田舎は・・・
[1206.375] 閃光の: 余所者が怖いんやろな
[1210.700] gajonaori: 八幡平の上の方の売店みたいなところで昔ハチマンタイラーとかいう謎の戦隊モノのCDが売ってたよ
[1210.964] mifune1046: 人間は昔から進化してない、いまだに病気で村八分
[1212.495] (S)machakyuro: 今日は座標兄いないの？
[1218.146] dagashiya190: ウイルスより怖いのは人
[1221.421] (S)dufushi: 疫病は人類に根絶されるレベルだからなあ
[1223.200] miruujyu: でもバイオハザード、だいたい村スタートだよ
[1224.153] (S)m1s4m0: 敗北の悪魔強そう
[1224.876] ゆるさな: 敗北の悪魔は弱いやろｗ
[1226.218] akiaki0612: 下りかな？
[1231.812] neon_d99: 座標の人おるよ
[1236.593] akiaki0612: 16時
[1238.613] (S)owacooorn: SFL入れ替えの悪魔にやられるよ
[1242.986] (S)泣き虫サクラ: 疫病にあたるんじゃね
[1246.394] Hikaru_256: ゴキブリの悪魔
[1251.047] weeep1: クビ宣告の悪魔
[1251.766] (S)ｾﾀﾒﾝ: 毒も使い方一つで薬に
[1251.957] (S)m1s4m0: 座標にぃってどうやって算出してるん？
[1253.988] gajonaori: 生駒の悪魔
[1254.963] nappamatei: 深海の悪魔
[1256.723] garaisi: ハゲの悪魔
[1256.903] 猫神寝猫: 溺れる悪魔とかヤバそう
[1257.506] usa451: はげの悪魔
[1257.847] layla3: 地元で最初に感染した家、引っ越しちゃった。例の無対策劇見に行った女の子が感染して
[1263.948] (S)yukke85: 畏れ
[1264.168] yano_mokuzu: ネモの悪魔
[1265.118] mifune1046: 「ガン」の悪魔いたら相当強そう
[1269.741] (S)m1s4m0: 引っ越しまじか…
[1269.968] neon_d99: 普通にグーグルマップじゃない？
[1274.245] terry_man630: 空気の悪魔
[1277.278] 閃光の: 冤罪の悪魔怖くね
[1280.118] hanao_t: 夜とか暗闇は明示的には出てきてないか
[1282.807] ラテラテ0210: 画面端の悪魔
[1285.240] ~MISSING_COMMENTER_INFO~: チェンソーマンが食った説
[1286.006] ddb365: あー岩手はずっと０だったんよね
[1286.846] (S)ｾﾀﾒﾝ: 地点クリックすると座標出るよね
[1290.673] mahiro_8: なんて？
[1292.272] natsume1313: 事故の悪魔とか
[1293.775] umesecond: 早口の悪魔
[1296.884] (S)kkshkk: 考察好きだねぇ
[1298.646] (S)misosiru: ずっとチェンソーマンの話してんなｗ
[1300.162] malionl: 日本語に聞こえない
[1300.217] uhpa84: ネタバレくる？
[1305.840] nemu_less: 悪魔の悪魔は出てくると思ってる
[1307.999] (S)achieichi: 食ったら認識すらされなくない？
[1310.551] ssGRiDM4N: ネタバレの悪魔
[1312.259] chin_56_: 考察の悪魔
[1312.747] kirakiracat331: ネタバレじゃんねぇ
[1320.516] kaigaizei: 聞きかじりの悪魔うるさい
[1322.929] izawa2001: 東北道の高架下
[1323.740] (S)hone253: シュートwwww
[1325.188] (S)Maloneal: ネタバレ踏みたくないのでチャンソーマンの話終わったら教えてください
[1325.583] Coedawg: umeYay
[1326.498] さっぽさんぽ: 39.838457, 141.113261
[1330.720] ve968: なんと撮ってるシュート、チェンソーマンまだ見れておりません！！
[1331.119] (S)gazesd: 早く読みな
[1332.385] (S)dufushi: ダンゴ大丈夫かな
[1332.928] gibutzsan: 一本木かー
[1335.423] 猫神寝猫: チェンソーマンも良いけどHUNTER × HUNTERまだァ？
[1343.194] syururun: 不遜の悪魔
[1345.298] gajonaori: だんごさんが真顔の悪魔
[1346.305] (S)tilia211: はい・・・
[1346.533] chin_56_: Dの悪魔
[1346.602] mahiro_8: ハライチのネタみたいやな
[1347.297] hairi0610: はぇ……
[1347.892] izawa2001: グラサンの悪魔
[1348.239] (S)hone253: ダイジョブだぁw
[1348.530] (S)dufushi: 力ないな…ｗ
[1349.343] mogai555: よわよわしいｗ
[1350.132] largsrn: 痩せ我慢の悪魔
[1350.905] Coedawg: yucchoPenfuru
[1351.965] usa451: 志村けん以来の
[1352.499] forthemoment_elt: 志村けん？
[1353.506] nappamatei: はい…の悪魔
[1354.708] (S)kkshkk: 志村の悪魔
[1355.396] prosciu: だいじょぶだぁ
[1355.599] てつのすけ_: がんばれがんばれ
[1357.610] (S)hone253: 志村けんリスペクトw
[1357.854] 閃光の: 志村
[1357.938] porcupinepine: 膝の悪魔
[1358.182] natsume1313: 忘却の悪魔
[1358.442] さっぽさんぽ: 一本木バイパス入ります
[1360.120] さきがみ: ダンゴし、口があきっぱ
[1361.591] (S)uwamonq: だんごさん痩せこけてる・・・
[1361.628] triskeal: だんごの悪魔
[1362.600] ~MISSING_COMMENTER_INFO~: グラサンの悪魔
[1364.745] うましかぎん: ﾌｧｲﾃｨﾝ!
[1366.129] chamomile21: 折笠の呪物使ってるからヤバいな
[1368.093] (S)hone253: バカ殿の悪魔
[1369.139] ssGRiDM4N: 逝きかけの悪魔
[1370.878] buri_0811: Dは背筋伸ばしていこう
[1371.945] weeep1: ナイストライの悪魔絶望じゃん
[1372.718] (S)owacooorn: 折笠の悪魔にやられる
[1376.645] ~MISSING_COMMENTER_INFO~: 不審者の悪魔
[1377.379] largsrn: 独り言の悪魔
[1378.582] (S)m1s4m0: 聞こえなかった
[1380.034] (S)omochi1111: リタイヤの悪魔
[1380.189] mifune1046: ユーモア
[1381.794] tabibitox: ないとらー
[1382.429] や8: 7日目ですか！改めて凄いですね
[1384.812] forthemoment_elt: 志村けんオーバーソウルした？
[1388.865] porcupinepine: 口に石詰められて殺されたりするんでしょマフィアの悪魔
[1391.024] nikorinko: にょいのあくま
[1391.342] (S)raurakd: ノーユーモアの悪魔
[1391.984] (S)まとご: ４W”D"やん
[1396.012] (S)kkshkk: 疲れてるからおもろい
[1396.890] gajonaori: Youtuberの悪魔
[1397.662] 猫神寝猫: いたるの悪魔
[1404.929] さきがみ: おいつめると味でてくる
[1409.281] porcupinepine: 自然体
[1410.094] spica1987: D体力無くなるとユーモア出てくるのかｗ
[1410.783] (S)kkshkk: 脱力感がバフだ
[1412.616] neon_d99: ろうそくの最後の輝き
[1417.899] ぷーぬ: 今北、先日の黄砂大丈夫だったの？
[1420.250] hairi0610: シャオリー
[1422.828] (S)ｾﾀﾒﾝ: ユーモアの悪魔
[1430.434] yamanashi_sp: 言葉の下痢状態
[1432.127] (S)raurakd: 味が出てきた
[1434.585] mifune1046: パナシの数が増えるのか
[1435.322] (S)pos888: 極限のユーモア
[1437.766] porcupinepine: 200きろ歩いてようやく出るってきつくないすか
[1439.585] gajonaori: だんごさんは今ダイ大でいう「閃光のように」状態
[1444.526] weeep1: 入力ミスの悪魔
[1445.223] ca2ca2: ここら辺めっちゃ細いよ
[1455.219] もきち555: Dの声聞きたい
[1456.341] syururun: だんごの悪魔
[1471.428] mifune1046: 上りと下り、どっちがキツイですか？？
[1471.575] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1472.811] 13th_arcadia: 今北。山越えた？
[1474.997] 記入漏れ: あーじゃあ関節だろうか･･･厳しい
[1477.583] weeep1: 2時間休憩したら夜でしょｗ
[1479.598] 閃光の: 杖上手く使えてなさそう
[1482.510] (S)pinkdark01: だんごさんに上り坂と下り坂の数きいて
[1487.420] izawa2001: 山の夜は早い
[1488.994] (S)まとご: そろそろ今日の折り返しかな
[1505.397] shifoncafe: 広いとこ出たな
[1515.098] (S)lljp: 2時間ちょっとの散歩道
[1517.535] metyaoka: 2時間ちょっとの散歩道
[1521.886] Hikaru_256: 禁酒の悪魔
[1533.682] porcupinepine: ん？
[1535.962] spica1987: そうじゃなきゃおかしいよｗ
[1536.377] weeep1: ？？？？
[1536.785] (S)uwamonq: 詰めてこ
[1537.544] izawa2001: 逆ギレの悪魔
[1539.282] ごまさんです: 壊れた
[1540.941] shifoncafe: ん？
[1544.378] (S)m1s4m0: バファリンの悪魔
[1544.648] umesecond: ナイストライ
[1545.560] ガチくんコス転売ヤー: チルアウト！
[1545.567] ssGRiDM4N: イライラの悪魔
[1548.372] gajonaori: 壊れちゃった
[1550.658] (S)pinkdark01: 言語化が出来ない
[1550.917] (S)tilia211: おかしいな～
[1550.989] largsrn: 文句の悪魔
[1554.465] right_8: ゴネはじめた？
[1554.987] (S)uwamonq: 逃げたｗｗｗ
[1555.877] ~MISSING_COMMENTER_INFO~: この人怖い
[1557.511] neon_d99: 使えてなくねｗ
[1557.593] porcupinepine: ギロの音
[1558.640] mahiro_8: チルアウトないのか
[1558.655] weeep1: ？？？「こんなの運動じゃない、ただの散歩」
[1558.907] (S)dufushi: 引きずってるやんｗ
[1559.662] spica1987: 杖意味ある？
[1559.769] (S)kkshkk: 引きずってね?
[1560.421] acehirotaka: 杖の意味
[1561.011] Tokizakitamago: 杖いるか？
[1561.260] izawa2001: 杖意味ね～
[1561.919] (S)m1s4m0: ｗｗｗｗｗｗｗ
[1562.031] (S)rm_rf__: もう杖も気力がないw
[1562.218] ssGRiDM4N: 杖意味ないやん
[1563.255] layla3: 杖引きずってちゃ意味ないやん
[1563.508] balthazar000: もう杖の役割が
[1563.733] (S)yukke85: ギロｗｗ
[1563.752] iwaisi: ｗｗｗ
[1563.787] papipopon: じゃりじゃりいってる
[1564.549] Mrk111: 引きずってる
[1566.265] (S)tilia211: 杖ガリガリだけど・・・
[1566.360] (S)ぐるえむ: ｗｗｗ
[1567.486] ddb365: 杖いみなくね？ｗ
[1568.227] あんころーる: 杖ひこずってる？ｗ
[1570.072] mahiro_8: 抵抗うけてる
[1572.559] 4jou_half: 持たない方がいいだろｗｗｗｗ
[1572.593] kiton_taichi: 杖、ついてねぇ
[1572.758] うましかぎん: 意味ないじゃんｗ
[1572.813] 閃光の: もうあかんやろ
[1573.203] (S)hone253: 逆に重りになってるwww
[1573.549] largsrn: もう腕が
[1573.900] (S)machakyuro: 杖荷物じゃね？ｗ
[1574.919] xxzoids: もう駄目だ。
[1575.131] chamomile21: 杖の意味ある？ｗ
[1577.256] forthemoment_elt: ヤバイふにゃふにゃになってきた
[1578.608] mifune1046: 削りダメージやばそう
[1581.012] wonderhit1: ユーモアだなぁ
[1581.831] (S)shinobuchan4649: 足かせになってるやんｗ
[1581.896] (S)pinkdark01: 左の杖預かったほうがいいんじゃ
[1583.586] 記入漏れ: もうDは･･･ダメかもしれん
[1584.679] (S)pondenring0930: 杖が文字通り足枷に
[1584.748] acehirotaka: 杖けずれて無くなる
[1584.935] mahiro_8: 摩擦抵抗
[1585.515] (S)omochi1111: 杖に謝れ！
[1586.593] GelidiumJellyCat: ガリガリ
[1591.031] PUCHU7788: 呪いの装備
[1591.130] tabibitox: Dそろそろやばいな・・・
[1591.543] (S)shinobuchan4649: 縛りプレイやん
[1591.655] (S)rm_rf__: ｶﾞﾘｶﾞﾘｶﾞﾘｶﾞﾘ
[1593.038] shifoncafe: ズー
[1593.101] 戸愚呂妹: 低ユーモア高ホラー
[1593.296] right_8: 杖の摩擦で負荷を上げてる？
[1593.652] largsrn: 尖っていく
[1594.142] ごまさんです: もんじゃだ
[1596.871] にわごり: 死が早まるぞ
[1597.773] moscat0c7: 使い方知らんか
[1597.953] porcupinepine: あっそうなんだ・・・
[1599.757] chin_56_: 引きずりの悪魔
[1599.835] weeep1: ただの重りやんけ！
[1599.853] lmokl: 引きずってね?
[1600.232] (S)finoajp: リズムとってるから
[1602.142] hairi0610: Dの歩いたあとには一本の線が
[1602.512] (S)m1s4m0: あ、そう
[1604.120] mahiro_8: 鍛えてるのか
[1604.697] (S)yukke85: 要るのか…
[1604.993] konbuma: はじめてのおつかいの大根状態
[1605.142] spica1987: 折笠の特級呪物が…
[1605.281] (S)kkshkk: 呪物だからしゃーない
[1605.365] layla3: 配信気にノイズだから
[1605.711] 弾き一閃: 完全に削りにいってる
[1607.436] (S)shinobuchan4649: 前にすすむとき押し出してるのかな
[1607.862] 4jou_half: 折笠さんお呪いの杖にダメージを与えるＤ
[1609.164] ddb365: いるならまぁ
[1610.064] umesecond: 持ち上げられない
[1610.794] (S)machakyuro: でも膝は本人思ってるよりちゃんとしてる折笠さんはこのレベルではなかった
[1611.014] spring__thief: バランスのため
[1611.191] (S)hone253: だんごさんキツそうやな～
[1612.177] いさみ_10311921: ウメハラ持ちってやつね
[1613.595] forthemoment_elt: ありがた迷惑だわwww
[1614.125] 記入漏れ: この音がDを蘇らせる
[1614.544] jagajaga1943: いるかこれｗ
[1616.094] (S)pos888: 音で回復している
[1617.147] invisible_focus: 食い気味に言われたな
[1617.304] chamomile21: やっぱこの杖呪われてるよ
[1619.258] sora_neko09: やはり呪いのアイテム
[1619.452] (S)DancingSheep1119: 意味ない
[1623.149] ~MISSING_COMMENTER_INFO~: デジャヴ
[1623.848] (S)pinkdark01: 食い気味なの面白いな
[1624.948] Tokizakitamago: カフェさんいる？
[1625.918] yoshikawa_yo: ユーモアが伸びている
[1626.640] (S)れく太: なんで杖なのにギロみたいな打楽器の音してんの？ｗ
[1627.955] weeep1: 折笠の断末魔が聞こえてくる
[1629.006] xxzoids: こういう楽器？
[1630.670] (S)ronamu22: ギーコギーコ
[1631.645] balthazar000: 会話が止まった、、、
[1632.236] chin_56_: 音気になるな
[1632.323] (S)leonhard_mage: 呪いの杖は草
[1634.030] porcupinepine: 弘前まで歩かないと解けない呪い
[1634.268] (S)ys120: 圧
[1635.096] 閃光の: イライラしてるねー
[1635.408] lmokl: いるならまぁ
