[5.572] (S)gogopimimi: ウメちゃん
[2304.956] (S)nagilay1: リフィスとパーンの体格いいほうに使っとけ
[2306.344] ~MISSING_COMMENTER_INFO~: 加賀センサーは草
[2307.717] tololo86: センサービンビン
[2308.222] (S)pem97476: 加賀センサーｗｗｗ
[2308.350] ぱーーまん: 加賀センサーｗｗｗｗ
[2309.287] ~MISSING_COMMENTER_INFO~: 言い方よ
[2315.789] ~MISSING_COMMENTER_INFO~: 容赦ないサンダー
[2316.301] sasakumadrops: w
[2317.861] (S)zyagamon: 加賀説明求む
[2319.723] (S)icyblue1985: 加賀センサーっw
[2319.756] SawayakaFaraday: GivePLZ
[2319.839] (S)~MISSING_COMMENTER_INFO~: ぼくもビンビンしてます
[2327.210] MazicMozaic: 下ネタやめてください
[2336.658] (S)toshioj: ここの加賀おじは結構やるよ
[2342.525] ~MISSING_COMMENTER_INFO~: センサーほんと草
[2343.721] (S)ttp_hayato: 加賀は出てこねーよｗ
[2343.853] gyahhaa: 湧き出す加賀
[2345.598] (S)snake7575: かががでてくるｗ
[2345.927] (S)avmajvm: 加賀が出てくる草
[2347.667] ぱーーまん: 加賀参戦は草
[2350.986] (S)売れないバンドマン41: 加賀なんだわww
[2352.222] (S)元気な変態おすぎ: 加賀
[2354.211] (S)zakkn: 加賀でてこい！
[2357.954] JikoAi3: どういうゲームなのこれ
[2358.039] yukihiro3417: まさかの本人増援
[2360.920] (S)recycle4: 増援の加賀
[2362.736] (S)ttp_hayato: 出てこい加賀ァ！！
[2367.146] Jaguar_kick: 加賀センサーですでにアウトがあるよ
[2367.396] (S)icyblue1985: 加賀ァッ！
[2371.063] (S)avmajvm: クマさん顔の加賀でてこいや
[2374.647] tololo86: 成長する男
[2375.272] (S)nagilay1: そこから出てくる加賀は最高にうざいぞ
[2377.217] ~MISSING_COMMENTER_INFO~: 加賀と差し合うＳＲＰＧ
[2390.824] (S)ttp_hayato: ここも加賀じゃん！ｗｗｗ
[2391.720] tololo86: ここも加賀
[2392.700] (S)pem97476: ここも加賀ｗｗｗ
[2402.262] ~MISSING_COMMENTER_INFO~: かぜの拳
[2404.340] (S)icyblue1985: 加賀vsウメ
[2415.730] (S)toshioj: 加賀との戦い
[2418.906] (S)icyblue1985: 加賀ポインツw
[2434.140] (S)zyagamon: トロンつよ
[2434.339] SawayakaFaraday: stair is kaga
[2434.485] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[2473.211] (S)nagilay1: これダイムサンダ絶対たりねーよな、２冊目取ってないとオルエン終わるぞ
[2482.482] Jaguar_kick: 加賀センサーですでにアウトがあるよ。
[2491.897] (S)Kanquez05: 壁貫通するからね
[2506.711] (S)zakkn: おにーさまの取ればよし
[2509.462] ~MISSING_COMMENTER_INFO~: サラってまだ魔法書持てないんだっけ
[2520.231] (S)nagilay1: もてるぞ
[2528.989] ~MISSING_COMMENTER_INFO~: 戦わせたほうがいいな
[2551.549] (S)toshioj: オルエンは下級職だったらアスベル以上になれたのに
[2581.080] (S)oheya36: 武器持ってないから確定
[2583.895] (S)shupii097: ほしい
[2594.421] SawayakaFaraday: able
[2602.425] ~MISSING_COMMENTER_INFO~: 武器無しだからな
[2612.022] friedebi: 人さらい
[2626.795] (S)harubou1123: そもフェルグスはトロンで捕らえられたよ！
[2637.265] ~MISSING_COMMENTER_INFO~: リカバーくらいは、まあ
[2649.264] (S)avmajvm: とらえた踊り子売れないの
[2660.964] (S)toshioj: 初見で何もかもできるわけないからね
[2664.203] yusukp: ストリートファイターVいつぐらい？
[2678.912] (S)toshioj: 今日はないよ
[2683.981] ~MISSING_COMMENTER_INFO~: 非戦闘員を捕獲するって択があるのはイイよな
[2686.804] (S)zakkn: 奴隷商人はさすがに？
[2689.046] yusukp: な、ぬ
[2705.733] Jaguar_kick: ここでメンバーカードがもらえるけどすでに条件満たしてない
[2712.947] ~MISSING_COMMENTER_INFO~: 敵の命中やばいやん
[2715.846] ~MISSING_COMMENTER_INFO~: こっわ
[2716.457] (S)toshioj: 今日中にクリア無理じゃないかなｗ
[2729.273] ~MISSING_COMMENTER_INFO~: 杖ミスったよ
[2731.982] rm_rf__: miss!
[2735.123] (S)nagilay1: メンバーは金ないからいらん
[2742.176] MazicMozaic: メンバーカードあってもどうせ何も買えない
[2744.428] tamaow: お金もないしスルーするんじゃない？
[2753.061] (S)zakkn: いちおう教えとく？
[2759.407] (S)toshioj: 手に入れ方知らんだけっしょ多分
[2773.673] tamaow: まだ誰も教えてないのか
[2790.835] (S)nagilay1: 教えたけど多分みてない
[2792.216] musouzankouka: 自国民です
[2802.722] Jaguar_kick: 絶対に気づけないから教えよう
[2808.526] (S)zakkn: 知らない方がいいこともあるんや・・
[2810.763] ~MISSING_COMMENTER_INFO~: サラが武器装備しないと捕えられ損だなあ
[2811.074] (S)toshioj: 攻略教えなければいいんじゃない？今までそうしてきてるし絶対気付かないし
[2817.898] (S)ttp_hayato: トイレから戻ってきたけど加賀出てきた？
[2829.720] ~MISSING_COMMENTER_INFO~: まだ出てない
[2839.878] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[2857.788] (S)ttp_hayato: ありがとー まだってことはやっぱ加賀でるんか
[2860.123] (S)zakkn: 力の書ッケイ
[2864.419] SawayakaFaraday: GivePLZ
[2865.728] yukihiro3417: 完全に18章打開ってならまだしもメンバーはいらんでしょ
[2893.283] Novasys: GivePLZ
[2902.441] ~MISSING_COMMENTER_INFO~: 捕獲されるよ
[2904.561] (S)売れないバンドマン41: 肉壁の人ってCCできないの
[2905.630] (S)zakkn: ウメちゃんを信じておしえていけ！
[2908.136] grblkun: 司祭＝攻撃手段ないって思い込んでるな
[2924.801] tamaow: レンスター兵生存チャレンジは大変だけど、やるかどうかは本人しだいかな
[2927.228] (S)toshioj: 教えたら数日かかりそうｗ
[2943.514] (S)avmajvm: その細いとこ間接くらわないのかな
[2963.687] ~MISSING_COMMENTER_INFO~: てやりくらい飛んできそう
[2971.209] Jaguar_kick: ここのレンスター兵を一人も倒さないでクリアするとメンバーカードもらえる。捕獲離脱はセーフ
[2978.138] (S)toshioj: メンバーズカードの手に入れ方知りたいかと
[2987.953] (S)zakkn: 知ってしまったか・・
[2996.330] yukihiro3417: 知ってしまった
[2998.069] gyahhaa: メンバーカードはもういいよ 何十回もやり直すことになるよ
[2998.238] (S)zyagamon: メンバーズカード？
[2998.949] ~MISSING_COMMENTER_INFO~: ひみつのみせに入れる
[3001.130] (S)zakkn: レア店にはいれる
[3002.263] musouzankouka: 秘密のお店にいける
[3007.734] (S)punitaman: ムフフなお店に入っておいしい体験できる
[3009.510] yukihiro3417: その辺にすごいいます
[3017.437] ~MISSING_COMMENTER_INFO~: ランサーってどっち所属だっけ
[3018.887] (S)oheya36: 終盤の店で良いアイテム買える なお高い
[3026.904] ryuka1983: 知らなければよかったのに…
[3027.056] ぱーーまん: メンバーズカードは隠し店に入れるけど値段高すぎて多分まともに変えないよ
[3028.371] (S)zakkn: さすがに？
[3032.329] (S)yoinio: 流石に？
[3032.557] ~MISSING_COMMENTER_INFO~: うようよ居るな
[3034.803] (S)クズ220: お金ないしいらんと思うよ
[3035.140] なにわコアラ: ステータスアップアイテムが単価8000で買える券 たぶんお金足りない
[3041.398] SawayakaFaraday: leinster soldier without face
[3043.721] (S)5don: さすがにｗ
[3046.530] (S)zakkn: シャナムおじもおらんからねー
[3051.816] (S)icyblue1985: 金ないからいいっしょ
[3054.234] (S)punitaman: 全員ぶっころそ
[3054.385] (S)recycle4: 高すぎてなんも買えないだけ
[3070.205] (S)recycle4: 織田裕二ね
[3071.045] (S)yoinio: 織田裕二
[3071.890] gyahhaa: 織田さん
[3072.591] (S)ttp_hayato: 織田裕二
[3073.277] (S)5don: 高級なのですね
[3074.766] (S)shupii097: 闘技場で無限に稼げるからバランスブレイクよ
[3075.789] (S)toshioj: あいつの拳を握りしめて倒れていけ
[3079.667] musouzankouka: ヌキさんのおきにのドラマ
[3082.720] yukihiro3417: あとはサラも攻撃参加か
[3088.246] tamaow: 真ん中のレンスター兵は仲間案件なんですがそれは・・・
[3095.442] (S)toshioj: あれ恥ずかしいでしょｗ
[3096.735] (S)zakkn: プークスクス
[3097.340] (S)zyagamon: だせえ
[3103.137] (S)avmajvm: これは恥ずかしい
[3105.397] rm_rf__: 顔真っ赤
[3106.918] (S)ぐぐっす: 加賀
[3113.529] gyahhaa: 加賀さんから電話が
[3114.806] ぱーーまん: 強そうな方の加賀
[3116.235] (S)icyblue1985: ププッw
[3116.455] 東北のスロカス: お電話
[3117.625] ~MISSING_COMMENTER_INFO~: 草
[3118.899] grblkun: 草
[3119.835] KaLam1ty: hai!
[3119.898] (S)toshioj: ちょうどｗ
[3119.926] (S)juuuunation: ｗｗｗｗｗ
[3120.226] (S)zakkn: えｗ
[3120.444] moromororo: あ
[3120.543] (S)avmajvm: 死んだじゃんｗ
[3120.838] (S)yoinio: くっ
[3121.250] nuruwo: いてぇよ
[3121.686] yamame: prrrrr
[3122.361] (S)oheya36: くっ・・・
[3123.487] ドア裏最高: いてぇよ
[3124.045] (S)recycle4: くっ
[3124.339] (S)motyatya: くっ・・・
[3125.496] yukihiro3417: この程度
[3125.742] (S)売れないバンドマン41: wwwww
[3126.946] (S)ttp_hayato: ｗｗｗｗｗ
[3127.371] (S)スクルージおじさん: あっ・・・
[3127.602] (S)pukeshi: prrrrrrr
[3128.379] 東北のスロカス: タイミング糞ワロｗｗｗ
[3128.739] (S)zakkn: tel死
[3129.060] s_riverfield: くっ
[3129.765] yamame: くっ
[3129.880] friedebi: 電話にびっくりして死亡
[3130.176] (S)toshioj: 電話に気を取られたか・・・
[3130.234] lutz001: あ・・・
[3130.646] burisuke: umeFail
[3131.416] (S)yoinio: くっ俺
[3131.504] (S)ttp_hayato: いてえよ・・・
[3132.963] (S)avmajvm: くっころ
[3133.609] (S)5don: 敵襲！！！！
[3137.226] stuj876: didnt he beat this already why he playing again, trying to double perfect? 
[3137.632] tamaow: 加賀「どうよ？」
[3138.902] (S)icyblue1985: 死w
[3139.400] (S)zakkn: くっころ！
[3139.591] (S)元気な変態おすぎ: いてぇよ…
[3141.817] SawayakaFaraday: BibleThump
[3143.072] (S)nagilay1: ww
[3145.042] なにわコアラ: 加賀さんから電話が
[3149.711] ~MISSING_COMMENTER_INFO~: ルンバもそうだけど横やりのタイミングが絶妙すぎるｗ
[3150.783] sasakumadrops: お…間が悪い
[3153.721] (S)kitagawakun: くっ・・・
[3156.385] (S)Yokichi_68: はい、ウメハラです
[3157.305] (S)avmajvm: 加賀「いかが・・・どうでしたか」
[3158.029] (S)icyblue1985: 加賀電
[3160.730] (S)blackie_1988: ちょこ
[3161.409] (S)toshioj: もうすぐウメちゃんが来る感じだ？
[3163.353] (S)ぐぐっす: umeYay
[3164.627] (S)kitagawakun: Nintendo
[3164.908] (S)ttp_hayato: ｽｯ
[3168.277] (S)zakkn: ポチっと
[3170.216] burisuke: umeYay
[3170.640] ぱーーまん: 流れるようなリセット
[3170.885] gyahhaa: とりあえずサラに魔法書を
[3172.725] lutz001: 無言
[3172.987] GarciaFBI: Daigo Forever ... Brasil
[3173.461] (S)売れないバンドマン41: 序盤でよかった
[3174.391] (S)avmajvm: 加賀さんから電話きた？
[3179.565] (S)nagilay1: www
[3188.586] (S)5don: (ピコーン)
[3190.833] lutz001: 加賀「いまから行くから」
[3193.514] (S)toshioj: 加賀さんから煽り来たってマジ？
[3203.847] ~MISSING_COMMENTER_INFO~: 間接でチクチクさせるだけで異常な伸びを見せる
[3208.052] (S)ttp_hayato: 加賀さんつれてきて加賀さんとはやろうぜ！
[3218.157] stuj876: olwen
[3247.595] (S)売れないバンドマン41: ライブ足りてなさそうだね
[3251.153] KaLam1ty: Food!
[3253.531] (S)あと1983: いつもよりはやい！
[3253.857] GarciaFBI: Itabashi veio no Brasil ... falta você Daigo
[3254.087] (S)pem97476: ｗｗ
[3254.230] (S)irukano: ウメちゃんきたああああああああああ
[3254.771] (S)motyatya: カーン
[3255.975] (S)zakkn: はしってきたか
[3257.070] ~MISSING_COMMENTER_INFO~: ｶﾞｼｬｰﾝ
[3259.688] (S)toshioj: ウメちゃああああああああああああああああん
[3262.588] yamame: ｶﾞｼｬｰﾝ
[3268.188] (S)ぐぐっす: カーン
[3268.790] (S)5don: 敵襲ーーー！！！
[3271.197] SawayakaFaraday: WutFace
[3273.487] (S)avmajvm: ｶｰﾝ
[3281.942] burisuke: amazon
[3291.702] (S)売れないバンドマン41: また配信機材か
[3294.895] (S)ttp_hayato: ライブの杖amazonで買おう
[3301.353] (S)zyagamon: サフィって攻撃手段あんの？
[3301.835] (S)Kanquez05: エントランスから部屋まで5kmあるといわれてるウメマンションをこの短時間で・・・
[3308.574] (S)avmajvm: こいついつも家にいるな・・・って思われてる
[3319.000] ~MISSING_COMMENTER_INFO~: 武器レベルを見ればいい
[3332.544] ぱーーまん: サフィはクラスチェンジしないと無理
[3332.761] (S)harubou1123: シスターは魔法持てるけどプリーストはダメという
[3336.881] SlackerZ_DC: Daigo hair lookin' shaggy
[3336.896] Novasys: wargroove 購入 ?
[3337.038] (S)zyagamon: 杖のみか
[3337.075] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[3340.080] (S)zakkn: ｃｃしても光だけなのがねー
[3348.365] KaLam1ty: Sara 
[3355.850] SawayakaFaraday: GivePLZ
[3363.707] friedebi: 魔導書がない 
[3363.782] (S)avmajvm: ５０％で再行動？
[3364.100] (S)oheya36: エリートもあって魔法使わせると、ガンガン成長する
[3364.429] (S)zakkn: 何でも使える！
[3365.509] ~MISSING_COMMENTER_INFO~: スキルも３つビカビカしてるんだよなあ・・・
[3372.859] (S)クズ220: リザイア持たせると無敵よ
[3373.017] (S)zakkn: ２５%かな
[3390.144] (S)ttp_hayato: リングこんな放置でええの？
[3398.238] (S)ぐぐっす: ヨツムンガンドの不良在庫
[3399.963] (S)ttp_hayato: いつも宅配同じ人なん？
[3401.168] tamaow: ゼーベイア仲間にする条件って、説明するの大変なんだが
[3404.967] (S)oheya36: ホメロスからライトニング奪うか
[3432.400] (S)zakkn: 光魔法はレア
[3453.086] (S)avmajvm: サラのスキルみよ
[3456.559] (S)ttp_hayato: 装備不足か？
[3460.358] ~MISSING_COMMENTER_INFO~: どのみち危ない戦闘させると即死だからゴミ武器でもいい気がする
[3464.109] yukihiro3417: 杖使いは杖が使えるだけで優秀
[3499.580] ~MISSING_COMMENTER_INFO~: 捕獲されないお守り程度に 回数する減ったウインドあたり持たせるのがいい
[3502.915] (S)zyagamon: 魔法書そろそろ補給
[3524.453] (S)zyagamon: オルエンかわいい
[3525.306] (S)nagilay1: レベル上がるときにヘズルもたせとけばhp40越えもめざせるぞ
[3528.247] (S)Kanquez05: リザイアって封印では闇なのに
[3550.084] ~MISSING_COMMENTER_INFO~: サラ書育成はドーピング疑惑
[3558.958] SawayakaFaraday: wherefore does homero have s-drink?
[3571.069] (S)papipopon: サラのスキル見せて
[3618.104] (S)nagilay1: ネールが体格
[3618.475] ぱーーまん: サラのスキルはヤバい
[3622.894] (S)zakkn: いいのもってますねー
[3638.350] (S)zyagamon: エリートヤベえ
[3640.585] (S)zakkn: さらに連続がつくという
[3649.898] (S)avmajvm: その辺に放り込んだら勝手に育ってそうｗ
[3656.145] ~MISSING_COMMENTER_INFO~: マリータと違ってストーリー上も人間やめそうな空気出してる
[3670.550] ぱーーまん: 華々しいデビュー戦
[3687.396] (S)toshioj: すぐ疲れるよな
[3687.728] (S)zyagamon: 経験値よこせぇ
[3697.125] tamaow: 瀕死ｗ
[3701.196] ~MISSING_COMMENTER_INFO~: スパルタで草
[3701.963] (S)avmajvm: ３試合目で引退しそうですね・・・
[3702.794] owa4gamer: サラを試す
[3702.920] (S)zyagamon: 避けてみせろよ！
[3708.907] SawayakaFaraday: BibleThump
[3711.469] セルヴァラ: 祈ってけ
[3724.949] friedebi: 瀕死になる前に即死しそう
[3725.962] (S)zyagamon: スキル名が祈りなのウケる
[3731.915] SawayakaFaraday: BlessRNG
[3741.825] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[3744.082] ~MISSING_COMMENTER_INFO~: エース級増やさないとこの先辛いから良い判断ではある
[3775.873] tamaow: 「神様！お願・・・ いてぇよ・・・」
[3778.295] (S)zakkn: ブリザードもやばいで！
[3779.193] (S)toshioj: そっか、ウメちゃん移動力高いキャラがいないのか
[3784.161] grblkun: 馬乗れるからアーチも潰せる
[3792.147] SawayakaFaraday: GivePLZ
[3798.705] (S)toshioj: ｗｗｗｗｗｗ
[3800.235] (S)zakkn: え
[3800.254] KaLam1ty: F
[3800.820] セルヴァラ: んっｗｗｗ
[3803.263] (S)元気な変態おすぎ: いてぇよ…
[3804.477] (S)zyagamon: アチャ
[3807.683] (S)zakkn: いてえょ・・
[3809.831] (S)avmajvm: いてぇわよ・・・
[3816.183] SawayakaFaraday: BibleThump
[3817.113] (S)toshioj: すっごいえぐれてるねあの音は
[3829.867] (S)たあぼ0126: 私もこの程度か…
[3830.143] ~MISSING_COMMENTER_INFO~: 体格低い魔法勢にサンストは諸刃の剣
[3888.119] ~MISSING_COMMENTER_INFO~: 屋内は体格ゲーなんで土方兄弟が優秀なんだよなー
[3911.168] (S)元気な変態おすぎ: やばい
[3911.396] セルヴァラ: つええ
[3918.304] yukihiro3417: サラにきづいていく
[3921.061] ~MISSING_COMMENTER_INFO~: 再行動５のマジ〇チ
[3944.301] (S)avmajvm: こ ん な や つ
[3960.239] ryuka1983: でもどうせ当たれば一発で死ぬしなサラ
[3989.696] セルヴァラ: 魔力技速さ80%なのに速さだけ・・
[3991.821] (S)zakkn: 自国民ころしていくう
[4008.644] (S)nagilay1: だから、ヘズルでhp上げるんや
[4019.939] ぱーーまん: チョコ食べなきゃ
[4032.842] ~MISSING_COMMENTER_INFO~: わりと書無しでそんくらい上がったような・・・
[4041.944] (S)ilm0806: ウメちゃんを満足させる子、はやくううう
[4053.319] ~MISSING_COMMENTER_INFO~: 鉄の剣大事だよね
[4057.878] ~MISSING_COMMENTER_INFO~: 中足くらいの大事さある
[4078.983] (S)toshioj: 逆に重い武器はマジ使いづらい
[4152.197] ~MISSING_COMMENTER_INFO~: グレソは反確
[4165.231] chichi999999: 強い武器で倒しちゃうと、次のターンで自分が死ぬとか深い
[4168.789] ツィッギー: 順調ですか？
[4211.362] ~MISSING_COMMENTER_INFO~: 血に飢えてる
[4211.573] (S)toshioj: 鋼でさえ重くて持たせるの躊躇する
[4223.667] NagOutSide: こんにちわ～
[4260.008] (S)awagayim: カメラ変えた？
[4260.202] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[4264.992] (S)nagilay1: サラ書持ってる？上がり悪いが
[4274.342] (S)hiisan: ウメちゃん今日もやっとるな
[4279.857] (S)cheeseeater: 昼飯食べながら見てる
[4291.232] ~MISSING_COMMENTER_INFO~: マチュアには平民の限界を感じる
[4306.848] (S)zakkn: カレーくおう
[4441.848] (S)zakkn: マチュ姉・・
[4473.698] ぱーーまん: マリータ基準にするとみんな弱くなってしまう
[4506.465] ~MISSING_COMMENTER_INFO~: カリオンフェルグス級をヤムチャ枠にする女たち
[4555.633] yukihiro3417: あれ
[4559.995] (S)zakkn: タイマンでやられそうなんだがｗ
[4560.017] ~MISSING_COMMENTER_INFO~: 他が出すぎなんだよなあ・・・
[4564.803] (S)Kanquez05: 2発目は必殺やろが普通・・・
[4571.995] gyahhaa: ヨワイトンを連れてこないと
[4613.724] (S)toshioj: マチュアは多分硬いから・・・
[4643.885] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[4702.355] (S)toshioj: キラーランスつよーい
[4705.148] (S)ちゃやこ: ウメさんはFEシリーズお好きなんですか？トラキアだけ？
[4712.445] ~MISSING_COMMENTER_INFO~: 初撃必殺の女
[4714.406] (S)kurataro: ノヴァの書は力30%
[4730.113] reincarnation_am: FC紋章はプレイしたみたい
[4730.771] (S)クズ220: エダはドラゴン乗ってないとうんちだから…
[4732.944] (S)toshioj: SRPG大好きらしいよ
[4733.982] MazicMozaic: ウメちゃんは加賀信者
[4740.434] ~MISSING_COMMENTER_INFO~: それレンスター兵じゃね？
[4742.187] reincarnation_am: 紋章じゃなくて暗黒竜か
[4749.498] tamaow: 異常なしであります
[4757.125] (S)zakkn: 自国民もやる方針ゾ！
[4762.884] ~MISSING_COMMENTER_INFO~: 本来仲間だから戦いたくない風のＡＩだったら賢い
[4763.631] (S)kurataro: エダはリセットまでの命
[4782.644] hinomotoani: camera too smol
[4790.797] (S)zakkn: ただいまーｗ
[4792.062] (S)toshioj: 道塞げよｗ
[4881.141] tamaow: 男の人呼んでー！
[4888.429] セルヴァラ: 経験値おいしいなぁ
[4898.158] doragnai: 加賀のベルサガ面白かったな
[4899.872] (S)toshioj: サラで画面見ないウメちゃん、あまりにも
[4929.625] balthazar000: もりもり
[4930.007] ~MISSING_COMMENTER_INFO~: シスターの皮を被ったお助け枠
[4983.963] (S)zakkn: 増援を止めるにはー?
[4992.795] (S)zyagamon: 階段の上にユニット置いて防げんの？
[5001.903] tujimen: 階段の上に乗ると？
[5004.359] (S)icyblue1985: 肉
[5004.961] balthazar000: 蓋するのいいかもねぇ
[5018.756] doragnai: 何ターンまで出るかな
[5073.199] MazicMozaic: 敵ボスはリーフで殺したいな
[5076.565] (S)zakkn: いてえ
[5101.158] KaLam1ty: \ 
[5124.563] (S)toshioj: ボスにリーフ戦わせるの怖くない？ゼーベイア説得のあとで
[5159.252] ~MISSING_COMMENTER_INFO~: ＨＰ高かったから即死は無いと思いたいが どうだろうなあ
[5165.381] (S)zakkn: サブスクのターン
[5165.562] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[5202.008] MazicMozaic: 江戸幕府は15代だからな。
[5252.681] (S)zyagamon: この通路いやらしい
[5300.780] (S)nozomaro: タニアにキラーボウとか銀の弓は持たせてないのか
[5330.686] (S)zyagamon: 魔法の書チャンス？
[5336.644] (S)toshioj: 壁を貫通するのが仕様なのが凄い
[5358.312] (S)zakkn: 悪い顔したな
[5362.233] ~MISSING_COMMENTER_INFO~: そのアーマー殺したらあかん
[5372.278] (S)toshioj: カードいらんらしい
[5373.787] douguluskaien: 山なりに射撃していると思おう
[5374.232] ~MISSING_COMMENTER_INFO~: ん フリージだっけアレ
[5375.486] SawayakaFaraday: GivePLZ
[5377.929] tamaow: 今のはフリージ兵
[5383.134] (S)zakkn: 真ん中はフリー時
[5395.168] ~MISSING_COMMENTER_INFO~: そういや混ざってんのか
[5396.821] (S)zyagamon: メンバーズカードは諦めた
[5398.106] ~MISSING_COMMENTER_INFO~: めんどくせええええ
[5402.897] (S)varoshi: 何回もやり直しが待ってるのに、中央開くのに時間かかってるね
[5413.511] grblkun: せいすいとかMアップ使えばサンスト節約できるのに
[5440.480] tamaow: ハハッ 賢い
[5441.619] (S)oheya36: 面倒だなー
[5442.086] ~MISSING_COMMENTER_INFO~: しみんって攻撃されたっけ
[5446.281] (S)zakkn: 小癪な
[5456.423] (S)toshioj: Mアップと聖水普段使わないからあまり考えとして出てこないんだよねー
[5475.188] (S)toshioj: ﾌﾌｗ
[5478.455] balthazar000: 加賀はお見通しだった
[5479.864] (S)zakkn: ゴーゴー
[5500.151] (S)クズ220: どうせリセット地獄６お
[5502.176] ~MISSING_COMMENTER_INFO~: その作業するときはタニア壁がほしいなー
[5520.632] (S)oheya36: 市民の部屋の前まで引っ張るか
[5524.043] (S)zyagamon: 先に開けて八人以外塵殺
[5545.935] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[5549.970] asayan1257: 市民と敵がいる部屋の扉開けてどんな動きするか見てみないとね
[5551.747] (S)toshioj: 壁作る為にキャラ追加しようとすると配置変わるの嫌だよなここ
[5564.355] (S)zyagamon: 魔法使いから書奪えば？
[5577.296] (S)zakkn: サンダー取り放題！
[5579.162] tamaow: ペアリングして中立になってからが考え所
[5606.102] balthazar000: 手は膝の上出来ず
[5606.740] ~MISSING_COMMENTER_INFO~: あれそうだったっけ・・・
[5607.019] (S)山田たろう太郎: 人の心が残ってたｗ
[5608.991] (S)toshioj: 加賀さんありがとう
[5610.366] (S)takuan55213: 人の心ｗ
[5613.147] ~MISSING_COMMENTER_INFO~: 草
[5613.440] (S)zakkn: いやうごくべ
[5615.551] (S)zyagamon: 加賀「今です！」
[5615.668] ~MISSING_COMMENTER_INFO~: あ
[5616.357] imojisan: ｗｗｗｗｗｗｗ
[5616.619] (S)山田たろう太郎: ほんとうにそうか？
[5616.972] (S)toshioj: ｗｗｗｗ
[5617.502] ~MISSING_COMMENTER_INFO~: この流れほんま草
[5617.684] (S)kurataro: あれ
[5618.096] (S)元気な変態おすぎ: wwwwwwwwww
[5618.569] douguluskaien: ｗｗｗｗｗ
[5621.704] grblkun: リセット地獄の始まりだ
[5622.675] (S)varoshi: あまいな
[5623.000] ぱーーまん: 人の心がなかった
[5623.145] (S)recycle4: 人の心あらず
[5623.818] ~MISSING_COMMENTER_INFO~: 人の心ｗｗｗｗｗ
[5624.346] (S)takeo_onakasuita: あれ
[5624.735] yukihiro3417: メンバーカード取る気だとここハゲるんだよな
[5625.062] (S)kurataro: 反撃で殺しちゃう
[5625.133] (S)motyatya: あれ
[5627.434] douguluskaien: 加賀さんに人の心など残っていなかった
[5628.329] MazicMozaic: ふふふふ
[5628.683] (S)zakkn: あるぇ おかしーぞー
[5628.903] (S)twtchid: 人の心・・・
[5629.342] (S)toshioj: 加賀さんほんまありがとう
[5630.398] (S)元気な変態おすぎ: 人の心なんてなかった
[5630.643] SawayakaFaraday: GivePLZ
[5630.764] tamaow: 加賀「何言ってんだこいつ？」
[5630.977] ~MISSING_COMMENTER_INFO~: 面白すぎるｗｗｗ
[5631.784] (S)papipopon: うごくんだよなぁ
[5632.075] kaeru100: いやこのマップに人の心はないと思う
[5635.071] (S)varoshi: キラーランスもってるね
[5635.328] (S)yoinio: 加賀さん？
[5636.095] (S)oheya36: 人の心、かえして
[5636.211] セルヴァラ: 加賀見てるか
[5637.116] (S)山田たろう太郎: ビースト対ビースト
[5638.170] (S)ぶっちゃ: 草
[5639.927] ~MISSING_COMMENTER_INFO~: 声出して笑ったわｗｗｗ
[5640.621] らじか: 人の心どこ・・・？
[5641.167] (S)ぐぐっす: 無かった
[5642.984] (S)zakkn: さすがに？
[5645.099] (S)tenten2156: 人の…
[5645.183] (S)nozomaro: 武器はずして壁か？
[5646.118] (S)nagilay1: 余裕で動くぞ
[5646.971] (S)varoshi: はい？
[5647.017] ばんび29: おいすー やってるね
[5648.103] (S)クズ220: 加賀は悪い人です
[5651.086] (S)motyatya: 人間をやめた？
[5652.360] (S)takeo_onakasuita: ん？
[5653.108] ~MISSING_COMMENTER_INFO~: これがＦＥ芸人か～～～
[5654.357] douguluskaien: 人に非ず
[5655.050] (S)yoinio: 人の何だって？
[5656.537] (S)ぶっちゃ: ちゃんと見てろよw
[5656.888] tamaow: こいつ動くぞ
[5657.669] ばんび29: これ1回目？
[5661.052] (S)zyagamon: 反撃で殺す可能性あるのか
[5661.366] (S)toshioj: 人の心までなくしたか、加賀ァ！！！
[5664.542] (S)あと1983: 加賀 the beast
[5669.200] (S)varoshi: 子供の部屋あけないのは？
[5670.048] ~MISSING_COMMENTER_INFO~: ※加賀は人に非ず
[5670.708] (S)kurataro: 今日中に終わるだろうか
[5671.330] (S)takeo_onakasuita: 非情
[5674.475] (S)zakkn: どうにかする！
[5678.564] balthazar000: 加賀流欺瞞の術
