[3.050] (S)Seiran7343: radaoRainbow
[495.760] sakiika0w0: なんだ、感心したのに
[496.585] kon0703: 外でただけ偉いだろ
[500.154] (S)えぬドット: 家出るだけで偉い
[500.512] (S)matou_06: やばｗｗｗｗ
[500.545] nqta_coconut: wwwww
[500.723] (S)kurageru: やけどしなくてえらい
[501.848] (S)たゆう_はね: www
[501.985] 痲芽: なしまー！！！
[502.784] (S)やなちゃそ: スーパーのくだりで自炊かと思ったわ
[502.919] (S)suzunone_: wwwww
[503.120] (S)yutankonasu: ｗｗｗｗｗ
[503.398] kanariatobu: www
[504.044] あるみ屋: wwwwww
[504.254] 00kurosuke: なしまさーーーん 
[504.391] (S)ｼｷ_: wwwwww
[504.459] ゆずシフォン: wwww
[504.791] (S)agemono44: なっし～
[504.823] (S)matou_06: なしまさ～ん！！
[504.920] (S)D_01100100: なしまー！ねねー！
[504.980] (S)dash_1324: なしまー！！！
[505.015] (S)hisuiiiiiiiiiiin: wwwww
[505.188] くるくく: えぐいw
[505.212] waterdragon131: なしまー！
[505.438] (S)しめったチワワ: www
[505.444] (S)kokone0927: wwwwww
[505.504] (S)salyu__: なしまさん起きてない？
[505.510] nqta_coconut: なしまー
[506.019] (S)ookawaseiji: アルカナいるかな？
[506.243] るこるる: ｗｗｗｗｗ
[506.803] (S)~MISSING_COMMENTER_INFO~: なしまー
[507.310] 銀杏歩: なしまさーん！！
[507.376] あるみ屋: なしまさーん！！
[507.447] (S)hatt_u: なしまー
[507.517] (S)コンさん: なしまさんー！
[507.570] (S)ky0to23: なーしま
[507.764] tarabaaaa: 綺麗な金がないｗｗ
[507.788] (S)suzunone_: なしまー！起きてくれー！
[507.982] (S)マロン_: wwww
[508.084] hunting_nimo: なしまー！早く来てくれー！
[508.182] kanariatobu: なしまー！
[508.185] (S)未来から北鮭: なしまさんー！！
[508.516] (S)chino052520: なしまさーん！！
[508.912] (S)yunyun7171: 今日こそブラックマネー交換…
[509.036] (S)やなちゃそ: なしまーーー！！！
[509.134] (S)nico_kk_mp: なしまーーーねねーーーー！！！！
[509.149] (S)きなこ117: なしまさんー！
[509.190] (S)さわタイ焼き: wwww
[509.226] (S)ねこのみー: なしまくん……
[509.773] ジエノゲスト: なしまさんこーいーWWW
[509.930] (S)璃喜: 全部ブラマかwww
[510.366] 紗弥0926: なしまさん居てくれ
[510.572] aoironanairo: なしまさん！
[511.076] (S)akaigori: 電話でてくれ頼む
[511.295] kon0703: なしまさーーーん!!!
[511.725] (S)uki_shizumi: な、しま
[511.876] ゆずシフォン: なしまー！！
[512.065] 銀杏歩: radaoCry1
[512.093] るこるる: そうだったw
[512.149] dokukinoco: ねねー
[512.618] (S)Rio__44: なしまさーーん
[514.458] kanariatobu: ねねー！
[514.982] yuu_gg_fps: なしま ねねー
[515.659] キアラ3: BM貯金がwww
[515.811] reki_b: radaoHi
[516.269] (S)ひなしろ: radaoCry1
[516.668] (S)ぱないぽ: なしまさーーん！
[517.472] (S)yutankonasu: なしまさーーん！
[517.653] (S)かっしかし: 助けてなしまー
[517.708] るこるる: 今日こそw
[518.306] (S)りもえ: ねねなしまいてくれー
[518.406] (S)haru_chan92: なしまさーーーん！ねねさーーんー
[518.468] (S)ドパーズ: radaoBigcry
[518.501] (S)yomoyomoyomochan: なしまさーーーん起きててくれーーー
[519.292] (S)あいら0626: なしまー
[519.721] (S)あつこ_0609: どちらかー！
[520.035] (S)rain_less: なしまさーーーん！！ねねーーーー！、！
[520.064] (S)yunyun7171: どっちか居てくれ…
[520.348] (S)red_S10: なしま来てー
[520.493] (S)blbblbblbblb: なしまさーん！金くれー！
[520.597] (S)うどーんちゃ: なしまさーーん！！！
[521.177] okayua: radaoHi
[521.447] (S)hisuiiiiiiiiiiin: なしまさーん！
[521.742] kuro_300: 洗うことになるｗ
[522.456] (S)arisa_184: なしまJOINたのむ
[523.310] (S)chino052520: なしまーー！！ねねーー！！
[524.163] gyudon_plb98: どうせスト６やってるよ
[524.273] (S)みんとだよ: なしまさんかねねさーん！！！！！
[527.445] (S)samu_hikan: 電話しとこうwwww
[529.304] tarou_kakio: radaoHi
[530.252] goshawk1152: そろそろ洗わないと行けなくなるw
[531.121] (S)みせすおいも: かなかなはしばらく忙しそうだけど
[531.151] (S)haru_chan92: なしまさんねねさん頼むて
[531.978] (S)diophoenix: し、ていはい
[531.980] (S)Rio__44: ね
[532.613] (S)璃喜: ね
[533.024] (S)inosisi1004: Arcana
[535.055] 00kurosuke: 増えたねー
[535.102] (S)にびびび: もなんだよねｗ
[535.128] (S)hisuiiiiiiiiiiin: ね
[535.518] kanariatobu: まだ少ないw
[535.711] (S)kazukazutakawa: ね
[535.762] (S)red_S10: しかじゃないんだよ
[536.183] リムヲ: いいね
[536.355] (S)salyu__: あー……
[537.123] (S)dash_1324: もwww
[537.839] Zzz_jun: おー願いシンデレラー
[537.977] (S)suzunone_: 人いっぱい
[538.033] (S)rinchan1917: 増えたねぇ
[539.495] kon0703: 今日も多いね〜
[540.039] (S)kurageru: すごく多く感じるよねｗｗ
[540.646] (S)きなこ117: 感覚ズレてるwww
[541.452] (S)yunyun7171: おや
[542.936] くるくく: めちゃいる
[544.456] (S)きなこ117: わーお
[545.458] (S)suzunone_: たかさん……
[545.525] (S)yutankonasu: 多いな
[545.643] (S)ぷてゃん: わお
[546.005] ayunosioyaki0223: おお
[546.196] (S)ｼｷ_: おお
[546.344] (S)冷凍みかん3: 鷹さんだああ
[546.664] (S)meria777: いったんまずいか
[547.633] (S)suuchaaa: メンバーが
[548.590] (S)matou_06: うわ～タカさん
[548.713] (S)ky0to23: おー
[548.759] (S)arisa_184: 多いね
[548.928] れもんちぃ0: 鷹さん！？
[549.222] (S)rain_less: 多いね
[549.447] (S)~MISSING_COMMENTER_INFO~: わーお
[549.910] (S)マロン_: おお〜
[550.140] mikomikoto0: いや実際多い
[550.214] dhisan_ino: 鷹さんえぐい
[550.472] (S)kokone0927: 鷹山！？
[550.938] tarabaaaa: おお
[551.073] るこるる: おおいね
[551.086] あるみ屋: 6人もなのが限界すぎるw
[551.091] (S)hisuiiiiiiiiiiin: おぉ
[552.939] (S)salyu__: ﾜｧ…
[553.110] からたべ: 鷹さんおるかー
[555.296] (S)たゆう_はね: おー
[557.928] (S)コンさん: おー
[558.164] るこるる: おー
[559.911] ameneko64: ヘリ2！
[560.566] (S)たゆう_はね: ヘリ2！
[560.743] (S)dash_1324: 鷹さんこえーなあら
[561.600] (S)えぬドット: 限界ギャングw
[561.652] 痲芽: ヘリ２ですか～～良いね～～
[564.024] るこるる: いいね
[567.776] (S)suzunone_: ヘリ2いいね！
[568.982] (S)otooto_: ヘリ2だ！
[570.186] 00kurosuke: あら
[570.654] (S)Makottyann14: なしまーーーーねねーーー！！
[571.628] nqta_coconut: おお
[572.258] (S)たゆう_はね: あら
[572.684] (S)ぷてゃん: あら
[574.301] (S)suzunone_: あら
[574.401] ゆずシフォン: おお
[575.081] (S)璃喜: ヘリ2構成いいね
[575.324] (S)kokone0927: おー
[575.466] (S)みんとだよ: あら
[577.500] るこるる: あら
[578.743] (S)two__bear__: ヘリ2 
[580.135] (S)ケリーモン: ヘリ2は熱い
[581.291] (S)~MISSING_COMMENTER_INFO~: ナイスタイミング
[583.674] (S)ドパーズ: ナイスタイミング
[588.155] (S)ookawaseiji: ちょうどよかった
[588.742] 00kurosuke: ぱたぱた
[589.658] (S)kusopann: ゆらゆら
[589.973] (S)ねこねこお嬢: ヘリ2いいね
[592.576] (S)ねこのみー: らんらん
[593.467] (S)Hyper_ringo: ね
[593.923] (S)yunyun7171: ゆらゆら
[596.720] (S)むぎ丸: ほんとだ
[597.023] (S)yutooooon06: radaoKitya
[597.272] (S)suzunone_: ね
[599.137] (S)dash_1324: ノリノリやん
[599.407] many7575: ぐらぐら
[601.134] くるくく: ゆーらゆーら
[601.196] (S)たゆう_はね: フラフラやん
[601.642] nqta_coconut: ほんとだ
[601.991] みさお婆ちゃん: ほんとだ
[604.042] ぎむきょういくろせ: 楽しそう
[604.629] (S)ねこねこお嬢: へー！
[605.384] (S)nico_kk_mp: 今日、街が重めだからケア
[606.209] 痲芽: マリカ運転してるんだ
[607.188] higiomi: 体幹いいね
[608.079] yuu_gg_fps: radaoKawaiin
[608.666] hunting_nimo: ストレスヤバそう
[611.848] (S)arisa_184: 一人称エグそう
[614.135] purinn_w: ぽまえも揺れてそう
[615.616] 銀杏歩: 準備運動してるみたい
[617.772] からたべ: 準備運動みたい
[618.961] くるくく: 酔いそう
[619.743] (S)yunyun7171: 動作確認？w
[624.328] (S)daison32: daison32 subscribed at Tier 1. 
[625.554] many7575: マリカー現象おきそう
[629.788] (S)あつこ_0609: radaoKawaiin
[630.207] 00kurosuke: おかえりー
[632.176] (S)dash_1324: おかえりお嬢ー
[632.917] るこるる: おかえり
[634.008] many7575: おかです
[637.873] (S)Hyper_ringo: おかです
[640.588] (S)kurageru: おかえりー
[656.932] (S)ケリーモン: radaoFight
[659.887] (S)ささみんた: radaoHi
[662.396] (S)suuchaaa: radaoFight
[662.457] (S)k__13__: radaoHi
[662.908] (S)マロン_: radaoFight
[663.152] (S)suzunone_: radaoFight
[667.175] (S)dash_1324: ファイトやで
[667.346] (S)ささみんた: radaoFight
[668.885] (S)kurageru: radaoFight
[669.609] (S)あにゃも: radaoHi
[671.721] (S)りんごさん: radaoHi
[673.167] 00kurosuke: やっちゃえー 
[673.346] (S)ai0902: radaoFight
[673.472] (S)yunyun7171: radaoFight
[673.936] (S)さわタイ焼き: radaoFight
[674.773] (S)ｶﾆﾁｬﾊﾝ: radaoFight
[674.911] べ_た: https://clips.twitch.tv/SweetArborealClipzOSkomodo-6xYPtvdjuEuZOJ0g
[676.691] (S)ややなの: radaoHi
[678.048] ゆずシフォン: radaoFight
[678.475] (S)烏ﾉ尾羽: radaoFight
[679.491] (S)rururu3_: radaoFight
[681.101] れもんちぃ0: radaoFight
[681.874] わらびもち_11: radaoFight
[682.486] (S)nanoka_piyo: radaoFight
[683.220] (S)Rio__44: radaoFight
[684.151] 銀杏歩: radaoFight
[684.708] (S)Asupekuun: radaoFight
[685.851] (S)ｼｷ_: radaoFight
[686.733] many7575: ふぁいてぃーん！
[687.521] (S)sayutaru: radaoFight
[688.023] (S)cafe_latte23: radaoFight
[688.410] (S)potamossss: radaoFight
[689.271] sunomono8: radaoFight
[689.397] 鶯餅: radaoFight
[689.435] (S)Itsuse_5: radaoFight
[689.944] しめざめ: radaoFight
[690.332] ぎむきょういくろせ: radaoFight
[690.364] tarabaaaa: radaoFight
[690.462] (S)月神雪兎: radaoFight
[690.832] yuki_empty: radaoFight
[690.872] nqta_coconut: radaoFight
[690.965] many7575: やろやー！
[691.053] (S)ひなしろ: radaoFight
[692.189] (S)Ramun3412: radaoFight
[692.293] (S)itsumoiru_hito: radaoFight
[692.736] (S)ioooi_2525: radaoFight
[693.455] (S)キキ키키: radaoFight
[693.474] (S)247knk: radaoFight
[693.950] kuro_300: radaoFight
[694.028] (S)mochi0140: radaoFight
[694.050] (S)あつこ_0609: みんな頑張れー✨
[694.105] (S)otooto_: radaoFight
[694.181] kon0703: 起き抜け大型
[694.338] dokukinoco: radaoFight
[694.414] (S)albatross0719: radaoFight
[694.451] (S)まめくらげ: radaoFight
[694.580] (S)しめったチワワ: radaoFight
[694.869] many7575: radaoFight
[695.109] (S)すあぽん: radaoFight
[695.184] (S)salyu__: radaoFight
[695.412] (S)riku0570: radaoFight
[695.460] (S)nanun03: radaoFight
[696.337] konduki02: radaoFight
[696.371] (S)篠影: radaoFight
[696.475] るこるる: radaoFight
[696.720] (S)yutankonasu: radaoFight
[696.785] (S)amiy_pop: radaoFight
[696.891] あるみ屋: radaoFight
[698.030] (S)うどーんちゃ: radaoFight
[699.326] (S)kumaqoo: radaoFight
[699.454] (S)blbblbblbblb: やろやー！
[700.947] (S)iris_r5: radaoFight
[701.375] (S)azuimmo: radaoFight
[701.673] (S)yunyun7171: radaoFight
[701.809] (S)pe1c0Nu: radaoFight
[701.904] (S)saraniron: radaoFight
[702.917] (S)suzunone_: やろや！
[703.684] aoneko_san: radaoFight
[704.392] (S)sakusakurano: radaoFight
[705.261] (S)rinchan1917: radaoFight
[705.633] mizn0_0: radaoFight
[707.584] many7575: ヘリ２って珍しいね
[709.181] あじさ: radaoFight
[709.340] ramune0920: radaoFight
[709.428] (S)kokone0927: radaoFight
[709.443] 痲芽: やろやー
[709.687] tako_0627_: radaoFight
[712.014] (S)matou_06: radaoFight
[712.717] (S)しょーゅぅ: radaoFight
[714.137] (S)ookawaseiji: radaoFight
[717.304] (S)excel_noa: radaoFight
[717.539] (S)omuricemogumogu: radaoFight
[718.023] (S)red_S10: radaoFight
[720.052] (S)あっひょ: radaoFight
[722.688] (S)nox3010: radaoFight
[726.725] 犬ﾚ: radaoFight
[726.771] hatsuna_m: radaoFight
[726.816] (S)yui1yui: radaoFight
[728.858] (S)miu_0l2l: radaoFight
[733.745] many7575: みんながんばれー
[739.113] (S)黒蔵: わこらだー
[739.288] (S)nagami712: radaoFight
[740.243] (S)ドパーズ: radaoFight
[742.255] (S)ゆう1151: radaoFight
[742.536] (S)璃喜: radaoFight
[743.051] (S)さわタイ焼き: radaoFight
[744.436] (S)negitoro_usagi: radaoFight
[746.572] (S)和泉ぴけ: radaoFight
[747.058] talt_tatan: radaoFight
[747.703] meso_1001: わこらだマジか
[749.729] (S)1nu_wnwn: radaoFight
[749.899] (S)南雲ン: radaoFight
[752.036] ameneko64: radaoFight
[753.454] (S)ケリーモン: radaoFight
[753.743] (S)reiki_1220: radaoFight
[754.049] kashikii: radaoFight
[756.023] (S)tmkhawk: radaoFight
[757.022] (S)iris_r5: radaoFight
[758.067] (S)明日も頑張ろう: radaoFight
[758.839] (S)むちゃこっこ: radaoFight
[761.427] (S)あっひょ: radaoFight
[761.646] shouk473: radaoFight
[763.475] (S)rinapi_pi: radaoFight
[769.032] (S)yunyun7171: radaoFight
[769.911] ちゃろ58: radaoFight
[770.827] (S)blbblbblbblb: radaoFight
[771.947] 痲芽: 倉庫上心なき４ｗ
[772.659] (S)aria345: radaoFight
[775.517] (S)iriya_rey: radaoFight
[776.648] (S)suuchaaa: あらー
[777.962] (S)yunyun7171: 全員ダメか
[778.171] ゆずシフォン: あら
[778.428] (S)マロン_: あら
[779.341] (S)さわタイ焼き: あら
[779.415] (S)nox3010: あらー
[779.679] (S)ｼｷ_: あら
[781.566] (S)rain_less: 耐えか
[782.021] (S)dash_1324: 歪むなあ
[782.038] emazkirin: あら
[782.580] suiha_7: radaoFight
[784.037] れもんちぃ0: 歪むねぇ
[785.213] (S)ケリーモン: またかー
[785.526] (S)salyu__: あら珍しい？
[787.610] (S)あっひょ: やっぱり歪みやすいねぇ
[787.662] あるみ屋: おっと
[788.313] mhiiragi42: まーた最低保証だ
[792.997] (S)ぱないぽ: また最低かー
[793.306] (S)matou_06: 歪み多いな～
[794.041] (S)247knk: やっぱ中待機歪む？
[796.693] (S)きなこ117: 飛行場歪まないことないな
[797.009] (S)妖野蓮子: またかー
[798.789] (S)saraniron: 歪み多いね
[799.477] (S)たゆう_はね: がんばえー！！
[802.703] nekoneshi: radaoHi
[803.766] (S)iris_r5: だめか～
[803.838] (S)かっしかし: 飛行機はなー
[805.292] (S)arisa_184: 飛行場はな～
[805.502] (S)たゆう_はね: radaoFight
[806.930] (S)あっひょ: がんばれ〜
[809.890] ゆずシフォン: radaoFight
[810.492] (S)abara_129: やっぱ歪まない方が珍しいね
[811.477] (S)tavu_0214: radaoHi
[813.438] horou83: radaoHi
[813.522] (S)rinchan1917: やっぱ受注者より先に入ってるとダメ説か？
[814.139] shino0909: radaoHi
[815.273] (S)salyu__: 市長〜頼むよぉ〜
[816.277] rui_sk39: やっぱ飛行機歪むか
[817.023] ﾏﾙﾏﾙ: radaoFight
[817.165] (S)いぶちゃんぶ: わこらだ
[821.800] (S)rain_less: 飛行場ってこんな歪むんだなぁ
[821.894] tarabaaaa: お
[823.391] (S)あつこ_0609: 耐えがんばれ〜✨
[824.276] (S)ｼｷ_: お
[824.474] (S)suuchaaa: お
[829.772] tarabaaaa: はっや
[831.519] kuro_300: ないす
[832.694] roy_rag: はやー
[833.030] みさお婆ちゃん: はや
[833.355] (S)あっひょ: わお
[833.581] (S)マロン_: おお
[833.937] (S)rain_less: はっや
[834.292] isaco135: ないすー
[834.448] mizn0_0: はっや
[834.910] (S)ｼｷ_: はや
[835.005] (S)みんとだよ: はっや！？
[835.409] (S)たかなしはな: ないす
[835.581] (S)yutankonasu: え？
[835.582] ゆずシフォン: はや
[835.749] hunting_nimo: いやはや
[835.830] (S)冷凍みかん3: はっや
[835.938] (S)ねこのみー: さすがー
[836.014] (S)ねけめれ: はっや
[836.205] わらびもち_11: ないす
[836.505] (S)さわタイ焼き: はや
[837.306] (S)suuchaaa: はや
[837.423] (S)dash_1324: 強いねえ
[837.606] (S)agemono44: つよしゅぎｗ
[837.644] (S)Rio__44: はやい
[837.789] (S)laitea1124: はっや
[837.902] (S)otooto_: ないす！
[838.297] ﾏﾙﾏﾙ: ないすー
[841.204] ちょーみん: つよ
[842.314] (S)ドパーズ: radaoBanzai
[844.817] (S)salyu__: 中全員歪んだなら逃げるだけか
[854.109] (S)あつこ_0609: せりちゃんすご
[865.311] (S)yunyun7171: 心無きのパンクはエグい
[866.659] (S)arisa_184: 心なき強すぎだろ
[875.018] (S)hisuiiiiiiiiiiin: 心無きパンクw
[877.748] (S)あっひょ: お
[878.444] kurose_i: え
[879.997] ゆずシフォン: お
[880.321] tarabaaaa: お？
[880.362] (S)agemono44: 強制瞑想してねｗ
[880.534] (S)matou_06: お？
[881.372] (S)hisuiiiiiiiiiiin: お
[881.781] (S)rain_less: 取れるんだ
[883.135] あるみ屋: お
[883.289] (S)suzunone_: お
[883.834] (S)マロン_: お？
[889.962] (S)yunyun7171: 触ると飛ばされそう怖い
[891.438] Haru_no_sinjya: Haru_no_sinjya subscribed at Tier 1. They've subscribed for 38 months! わこらだ
[896.591] (S)mo_mo_mo_mon: とぴお、いつもちょいちょい金取れるな
[898.290] many7575: がんばれー
[900.600] (S)ケリーモン: radaoFight
[908.060] ﾏﾙﾏﾙ: がんばれー！
[908.726] れもんちぃ0: radaoFight
[911.997] (S)あっひょ: radaoFight
[917.070] ゆずシフォン: radaoFight
[918.220] (S)salyu__: radaoFight
[918.612] (S)kurageru: radaoFight
[920.154] 湊ソラ: ワロタか？
[921.123] (S)yunyun7171: radaoFight
[922.062] (S)ひなしろ: radaoFight
[922.723] mhiiragi42: ワロタ？
[922.759] (S)halu0622: radaoFight
[924.654] suiha_7: radaoFight
[924.854] (S)みんとだよ: わろた？
[925.702] ゆんふぁ1123: radaoFight
[926.321] (S)ｼｷ_: radaoFight
[926.452] (S)suzunone_: サーマルカル
[927.059] (S)komatuna_pipipi: radaoFight
[929.425] (S)ぱわ一: radaoHi
[929.831] many7575: うま
[930.433] ゆめきり: radaoFight
[931.205] (S)suuchaaa: いっぱいだぁ
[931.540] ゆゆま_: radaoFight
[932.350] (S)yutankonasu: へー
[934.864] (S)あっひょ: タカさんか
[936.201] dhisan_ino: 地上じゃないんだ
[936.469] (S)matou_06: radaoFight
[936.943] (S)冷凍みかん3: おー
[937.820] (S)あつこ_0609: ないす
[937.889] (S)ゆう1151: radaoFight
[938.478] あるみ屋: おー
[939.120] (S)コンさん: おお
[940.120] (S)salyu__: 落とせるか!?
[940.312] (S)dash_1324: たかさんへりか
[940.762] tanuki_pan: radaoFight
[941.562] (S)otooto_: おお
[941.614] many7575: 鷹さん！
[942.281] (S)abara_129: 珍しい
[945.005] (S)ほりいしなぁる: なんだか珍しい
[946.312] れもんちぃ0: うまいねぇ
[946.534] (S)ケリーモン: radaoFight
[948.168] (S)ねこのみー: たかさーん
[949.493] many7575: ヘリもうまいなー
[951.114] (S)Shizuku_pen: radaoFight
[953.278] (S)hishaku_o0: radaoFight
[955.877] isaco135: radaoFight
[958.977] (S)冷凍みかん3: ないす
[959.512] (S)salyu__: ナイス
[959.733] (S)マロン_: おお
[960.575] ゆずシフォン: うまー
[961.286] あるみ屋: うま
[961.694] (S)komatuna_pipipi: 煙ないす
[961.778] (S)suzunone_: うま
[961.959] (S)ｼｷ_: ないす
[963.075] (S)さわタイ焼き: うま
[965.177] many7575: がんばれ！
[966.343] るこるる: うまー
[966.994] jeremiah_9s: radaoFight
[969.159] (S)マロン_: ないすー
[973.194] ばのさん: ないす
[976.083] こっスィー: radaoHi
[978.748] (S)dash_1324: えぐい
[978.859] (S)mekuro2047: ナイス
[981.281] ayunosioyaki0223: radaoFight
[981.781] (S)komatuna_pipipi: ないすぅー
[981.999] kon0703: 殺意が
[982.546] ゆゆま_: radaoFight
[983.265] (S)kurageru: ないす
[983.747] mizn0_0: がんばれ
[983.997] (S)signal_does: 熱いバトルだ
[985.829] あるみ屋: radaoFight
[986.258] tarabaaaa: にげろー！！
[987.944] sqltcandy: ワロタ沈め～
[988.143] (S)omuricemogumogu: radaoFight
[988.272] kuro_300: radaoFight
[988.332] (S)yunyun7171: 見てるね〜
[988.382] (S)マロン_: radaoFight
[988.595] (S)Hyper_ringo: ナイスー！
[989.202] (S)salyu__: もう落ちるか警察ヘリ
[989.914] urullowo: あちい
[993.992] (S)~MISSING_COMMENTER_INFO~: レベル高い
[994.131] (S)abara_129: 切り返しアタックしてくるの上手いね
[994.211] (S)ケリーモン: radaoFight
[994.284] many7575: ヒリつくー！
[994.326] ryotamk_2: radaoFight
[994.580] (S)しめったチワワ: radaoFight
[1019.998] (S)ももねこ: トピオ板についてきたな
[1021.431] (S)suuchaaa: おっと
[1021.456] (S)salyu__: おっとぉ
[1027.637] (S)ケリーモン: radaoFight
[1028.792] (S)yunyun7171: おや
[1028.938] ﾏﾙﾏﾙ: あ
[1029.057] ゆずシフォン: radaoFight
[1029.245] (S)matou_06: おや
[1029.767] dokukinoco: あ
[1030.200] (S)さわタイ焼き: あ
[1030.356] (S)Hyper_ringo: お
[1030.391] (S)komatuna_pipipi: おっと？
[1031.502] emazkirin: あ
[1031.883] ゆずシフォン: あ
[1032.134] rui_sk39: とぴ？
[1032.856] (S)suuchaaa: あ
[1033.127] (S)salyu__: 誰だ
[1033.173] (S)suzunone_: あ
[1034.269] (S)ｼｷ_: あら
[1034.404] るこるる: ん
[1036.310] (S)komatuna_pipipi: とぴお？
[1036.964] れもんちぃ0: とぴか
[1038.849] ﾏﾙﾏﾙ: トピオか
[1042.171] ばのさん: とぴお）
[1043.959] (S)ｼｷ_: トピオー！
[1055.579] (S)matou_06: あ
[1056.390] tarabaaaa: まずいｗ
[1056.632] (S)komatuna_pipipi: あw
[1056.638] isaco135: www
[1057.208] kurose_i: ｗｗｗｗｗｗｗｗｗｗ
[1057.214] ﾏﾙﾏﾙ: www
[1057.419] れもんちぃ0: あw
[1057.620] (S)Rio__44: あ
[1058.194] emazkirin: あｗ
[1058.987] (S)kurageru: あ
[1059.185] (S)yutankonasu: ｗｗｗｗ
[1059.418] (S)マロン_: wwww
[1059.437] (S)hisuiiiiiiiiiiin: あ
[1059.692] (S)laitea1124: あwwwww
[1059.829] (S)salyu__: あ
[1059.840] (S)あっひょ: あwww
[1060.279] urullowo: あwww
[1060.494] (S)suuchaaa: おっとっと
[1060.873] (S)yunyun7171: www
[1061.708] あるみ屋: wwwwwwwwwwww
[1062.241] ayunosioyaki0223: w
[1062.594] (S)ｼｷ_: wwwww
[1062.844] (S)otooto_: wwww
[1062.982] (S)とろネギ: バザードマ？w
[1063.326] なっち: バザードくーん
[1063.735] (S)blbblbblbblb: あ
[1063.803] (S)pepechi80: radaoFight
[1064.146] ﾏﾙﾏﾙ: うま
[1064.497] (S)matou_06: あっぶね
[1064.724] (S)璃喜: まっずいかww
[1065.237] (S)suzunone_: まっずいwww
[1065.353] mizuno0624: あ
[1065.922] (S)ねけめれ: おほーーー
[1066.734] many7575: バザードなんだよwww
[1066.801] rui_sk39: あら
[1067.501] (S)komatuna_pipipi: まずいw
[1069.585] (S)salyu__: まっずい
[1069.801] (S)warutti: けむりはっやw
[1069.994] (S)rain_less: 耐えたwwwww
[1070.317] (S)laitea1124: radaoKawaiin
[1070.565] suiha_7: radaoW
[1070.575] (S)ｼｷ_: わーお
[1070.746] れもんちぃ0: セフセフ
[1071.784] (S)なち222: バザード柔らかいな
[1072.013] るこるる: うお
[1073.293] (S)ねひと: あぶねー
[1073.500] (S)Hyper_ringo: まずいwww
[1073.971] kon0703: 煙だぁ
[1078.077] (S)suuchaaa: 煙まずい
[1079.217] (S)arisa_184: こわ
[1079.240] (S)yunyun7171: 煙った〜
[1079.427] kurose_i: えぐ
[1079.436] ﾏﾙﾏﾙ: ！？
[1079.609] rui_sk39: え？
[1079.995] (S)さわタイ焼き: はっや
[1080.291] あっすー_: こわ
[1080.412] れもんちぃ0: ！？
[1080.413] (S)なち222: ！？
[1080.581] many7575: はやー
[1080.614] みさお婆ちゃん: え
[1081.104] なっち: え！？！
[1081.173] (S)あっひょ: 電車はや！？
[1081.250] (S)ねけめれ: え wwwwww
[1081.557] (S)Rio__44: はっや
[1081.779] itonemushi: wwwwww
[1081.878] (S)komatuna_pipipi: はっやwww
[1082.329] taiyousinnaporo: え
[1082.446] emazkirin: え！？
[1082.513] ゆずシフォン: え
[1082.562] (S)マロン_: え
[1082.587] 00kurosuke: こわ
[1082.740] (S)hisuiiiiiiiiiiin: え
[1082.822] (S)璃喜: こっわ
[1083.057] あるみ屋: ！？
[1083.196] (S)7daruno: こわ
[1083.215] (S)rinapi_pi: え
[1084.091] (S)ｼｷ_: え
[1084.103] jeremiah_9s: はっやww
[1084.713] (S)Hyper_ringo: 新幹線wwwww
[1084.913] dokukinoco: 新幹線並
[1084.998] (S)kuronoa_1109: はやw
[1085.006] emazkirin: はっやｗｗ
[1085.109] (S)コンさん: え
[1085.327] (S)suuchaaa: www
[1085.363] るこるる: え
[1085.544] nekodama2155: 暴走列車！？
[1085.789] (S)matou_06: こわ
[1085.944] (S)mekuro2047: 早すぎ
[1086.262] ふむふる: え
[1086.793] (S)なち222: ミサイル？
[1086.849] (S)しめったチワワ: www
[1086.853] (S)suzunone_: こわ
[1087.035] ばのさん: え
[1087.126] (S)pepechi80: はやいなｗｗｗｗ
[1087.151] (S)ほりいしなぁる: 出た爆速電車w
[1087.682] sakiika0w0: はっやw
[1087.858] frogflingpstfst: ｗｗｗｗ
[1088.683] あるみ屋: 爆速電車wwwwwwwwwwww
[1089.385] ko_do_1123: のぞみ！？！？
[1089.481] (S)tmkhawk: リニア！？w
[1090.156] (S)nouen_: radaoHi
[1090.212] なっち: 急行かな？
[1091.333] (S)Gerugerumanimani: 快速急行
[1091.540] 贄ﾁｬﾝ: 歪み暴走列車だ
[1093.248] ふむふる: リニア？
[1104.253] (S)suuchaaa: 金持ちか…
[1119.691] (S)ケリーモン: radaoFight
[1127.999] (S)iris_r5: いすぎ
[1128.176] (S)rago_118: 機動力えぐ
[1132.245] kurose_i: うわ
[1132.864] (S)Rio__44: あ
[1133.123] (S)arisa_184: わー
[1133.136] kuro_300: えぐ
[1133.202] (S)matou_06: うーわ
[1133.409] mizn0_0: うわああ
[1133.545] ﾏﾙﾏﾙ: わああああああ
[1133.582] (S)yunyun7171: わ〜
[1133.845] (S)璃喜: すご
[1133.949] (S)Hyper_ringo: あああああ
[1134.418] hima_norita: おわー
[1134.511] (S)さわタイ焼き: あ
[1134.704] (S)pepechi80: おわああああ
[1134.737] (S)冷凍みかん3: わああああ
[1134.872] (S)ねけめれ: わーーーーー
[1135.064] なっち: わー
[1135.833] 00kurosuke: radaoBigcry
[1136.062] ayunosioyaki0223: あ
[1136.295] (S)あっひょ: おわぁ
[1136.419] (S)blbblbblbblb: わあああ
