[15.831] MUFIN46: よ
[3587.374] あれっくすたん: ww
[3589.367] n4siki: 今のうちにやっとかないと人口減ってからじゃ遅いからな
[3592.208] gekilo2ro: csもあるで
[3605.988] oh_men13: 流行りそう？
[3608.370] れいいー: リグループや
[3615.805] shishi_hitsuji: OWみたいにリグループしてからせめてる可能性
[3633.271] 段ボール: リフレックス？
[3651.933] ajifly9518: ホロ枠が太くて見にくい
[3654.635] (S)新人おじさん: リフレックス枠薄いからどのゲームでも見やすい
[3662.477] tkc0616: これ無料なら、もうCODいらんやん
[3671.369] c4l0n88: パッドの感度どのくらいがいいんだろ、
[3684.636] ひろゆきむ: 普通に楽しいんだよなこのゲーム
[3697.105] thduby: bo6でて人口分散してお互い爆死まで見える
[3700.467] realpizza2: 銃の音ほとんど変わらんな
[3703.844] gohantaro4: ウルトもうちょっと溜まりやすくしてくれへんかな
[3714.192] (S)新人おじさん: 無料だからこっちに人集まると思うけどね
[3741.073] alles1200: どっちもやりゃええ
[3753.124] 石原さとみの左足薬指: !member
[3753.229] (M)Nightbot: solo
[3754.384] (S)sas4m_: 一時的に減ってもまた戻ってくるのがF2Pの強みなので
[3756.171] skeptical217: 面白そうなんよな
[3756.784] gekilo2ro: 毎年フルプライスで買う気起こらんからなcodはこっちでいいやマジで
[3761.488] (S)sas4m_: ペクスでみんな経験あるでしょ
[3770.557] (S)新人おじさん: CoDは気軽に人誘えんのよ高すぎて
[3780.197] tabobo_h: 時代背景が昔のcodはやらないって人周りに多いです
[3783.079] nata000109: 武器レベルのこともあるしどっちもはしんどいな
[3790.073] benecry: キルストないから初心者にもおすすめだしな
[3796.206] 段ボール: ｗ
[3799.380] tkc0616: CoD無料だったらどうする？
[3803.302] yuuta0922: IMADOKI９０００円払ってCODはやらねえよＷＷＷＷＷＷＷ
[3812.074] シンラくん: 昨日MP7レベル100行ったよ!
[3817.885] 3monji: 砂のレパートリー少ないくらいしか文句ない
[3822.132] (S)sas4m_: ウルトはこのくらいでいい、頻発されたらまともな撃ち合いができん劣化CoDになる
[3830.194] joooss123: CODクオリティは良いんだけどねえ
[3838.022] わさちゃ: なんかbo4っぽい？
[3842.363] dodor143: 撃ち合いは楽しい、蜘蛛のスキルだけは不快
[3844.261] nata000109: 弾抜け問題とかをどのくらいの早さで解消できるかやな
[3848.824] mochimal_oo: 盾一切使わんやんｗ
[3855.633] 段ボール: 敵本気出してきた？
[3873.269] gohantaro4: 野良やと打開しにくいし、スキルのクールタイムとか減らしてほしい
[3877.679] ひろゆきむ: 一通盾強い
[3896.099] vg7wr: もうちょっとで新砂出るてどっかで聞いた
[3898.300] ふぁあああああああの音: 蜘蛛はbo4みたいにタイミング解除欲しいね
[3934.013] はるまき5966: ボドカマジでcodやってた時に比べてキレんくなったな、これが大人の余裕か？
[3942.941] joooss123: 蜘蛛って床注視する以外の対処法ないの？
[3946.720] taran8922: 味方がいない涙
[3949.911] miityyy1234: 最近のCODは知らんけどやっぱもっさりよりこっちだな
[3961.034] (S)激ローメタモン: 放置するなら抜ければいいのに。。。
[3961.317] 段ボール: 5vs6
[3965.289] shishi_hitsuji: 放置にもキレなくなりました、と
[3979.809] ひろゆきむ: このスピード感でいいよね
[4006.145] skeptical217: キルストない？
[4014.521] mktdesu: もっとキレていいんだよ
[4030.188] コードネームクア: 👍
[4038.335] taran8922: ｗｗｗ
[4041.651] (S)新人おじさん: このリスの早さに慣れちゃうとリスに時間かかるゲームストレス感じそう
[4041.924] 段ボール: GG
[4045.773] めいぷる_0715: gg
[4045.867] コードネームクア: gg
[4048.485] Juicewisdom: axeumBlush
[4052.019] (S)激ローメタモン: 勝ち確しょんべん
[4054.261] tabobo_h: このゲーム配信してくれる日本人まじで嬉しい
[4065.010] taran8922: ほんま
[4068.459] arumi0303: gg
[4074.954] まよあん: っぱ盾
[4076.093] thieru6839: 盾マジ強い
[4076.121] skeptical217: xx族まだいるのか
[4078.298] amanten: 盾背負って来い
[4080.337] (S)新人おじさん: っぱ盾よ
[4087.494] 段ボール: ポイント意識ね
[4088.135] kingdeb120: 今のところがちはまりやんたのしそう
[4090.807] あるにー: 体力120になるのえぐい
[4094.743] dodor143: 命の軽いfpsは気楽にできるのが楽しいよね
[4097.255] 段ボール: HP120は高いねぇ
[4102.675] (S)新人おじさん: だろうね
[4113.347] benecry: 武器スキンダサいよなこのゲーム
[4121.017] youki222525: ガチでHP一律にしてほしい
[4124.343] gekilo2ro: うおお
[4136.610] realpizza2: ヘッショ音と銃声が残念過ぎる
[4146.367] taran8922: このゲームの攻略情報とかもうあがってるんや
[4152.198] 段ボール: nt
[4152.369] (S)kazaha_zazazaxf: w
[4157.431] amanten: レベル上げや
[4158.403] あれっくすたん: ww
[4158.708] d4nma_desu: もうちょいではある
[4167.520] iguni_ru: ブースター速射バーティカルリフレックス軽量がいい
[4175.198] jin2148: 39まであげか、、、
[4180.914] あれっくすたん: レベ上げしなきゃ
[4184.590] (S)新人おじさん: もうちょっとやん
[4190.668] zoneseph4138: このゲームなんか色々ちゃっちい
[4192.015] taran8922: ２０分て短いよな
[4193.084] ふぁあああああああの音: 横移動重視な感じか
[4203.514] あれっくすたん: ゴリゴリ上がるよ
[4205.857] 段ボール: 4倍Lets goooo
[4210.478] shishi_hitsuji: か、きん？
[4212.285] asparagusbacon: なんで２０分きざみなん？
[4214.293] (S)新人おじさん: 課金やろなぁ
[4229.434] あれっくすたん: 1時間は見たことない40分はUBIリワードで交換できまっせ
[4230.616] ジョーです: bfとかもすごいしな
[4241.192] shishi_hitsuji: そこはマジでそう思う。ただスレッジハンマーは許さない
[4241.976] iguni_ru: でもCODのUIクソすぎるんだよ
[4249.767] asparagusbacon: ｂｆはまじでドンパチやるときはたのしい
[4250.318] はるまき5966: 9000円は払いたくないか
[4250.888] Simousago: でも今の時代無料がつよい
[4251.308] zoneseph4138: じゃあcodいこうよ
[4251.955] Perdarc: やっててスコスト欲しいなってなる
[4252.046] stay_gf: このゲームはバグおおいですか？？
[4265.334] (S)新人おじさん: CoDはバナーとかもカッコいいのいっぱいあるしな
[4269.059] zoneseph4138: みんなcodいけ
[4269.090] iguni_ru: 10年以上やってるけどずっと思ってるよ
[4270.892] 段ボール: 無料がデフォになっちゃったからなぁ
[4271.985] ゆるふわ三河: 細かいところまで作り込まれてるのがcodとかよな
[4277.415] arsenelpin_: BO6はよやりたい
[4281.542] zazen074: 金払ってやるゲームでチーター出てくると無料ゲームより萎える
[4281.555] bishoppu77: bo6楽しみや
[4287.520] goldbaikinman: みんなコントローラーだったけどPCじゃないの？
[4292.133] はくだ: 慣れるほどやってないまである
[4294.758] Simousago: このゲーム無料にしてはいい出来だと思うけどな
[4301.335] jinzai_end: bf6はよこい
[4302.557] ただのともや: たのしみ
[4311.028] kabukisanteam: codモバイル版みたいなマップ図で草
[4316.706] aiyo77: わざわざ有料買うのかな？
[4323.452] (S)kazaha_zazazaxf: bo6って響きの違和感えぐいwそんな経ったんか
[4328.534] ボドキッズ: 無印BOの頃に似てておもろいこのゲーム
[4337.591] ぞく: アカウント作れなくて泣いてる
[4341.250] stillgoatman: ppatryarch
[4344.917] skeptical217: そんなことAPEXの時にも言ってた気がする￥
[4348.152] 3monji: 1度は口に出して言いたい単語オキュパイ
[4351.282] jin2148: 武器もそのうち増えていくんやろか
[4361.693] herushia1: 全くキレへんやん
[4365.695] realpizza2: このマップ見たことあるな...
[4366.939] ふぁあああああああの音: ここのＢまじで終わってる
[4374.753] kabukisanteam: これゲーム性云々より会社の中ほんまに大丈夫なんか？ってのはある。品評会やってクビになった連中が作った会社やろ？
[4379.619] 1010tu: ボイス生々しいな
[4395.435] ぬたみ: 正直CODはPSだったからおもしろかったんよな、モンハン持ちして低空ジャンプとか精一杯やってたのがよかった
[4397.816] tabobo_h: シーズンごとにマップ、武器が3つ増えるよ。勢力は1つ
[4399.798] 02981000: ハセシンこのゲームやったら息できなるほどしゃべってそう
[4404.052] benecry: CODってキルストあるから初心者入りづらいよなぁ
[4404.511] kabukisanteam: 下手すりゃプロにも影響出るで
[4405.445] dodor143: 味方の数減ってる？
[4417.679] joooss123: 今日のボドカ優しいな
[4421.084] zoneseph4138: 別にpcでコントローラーでやればいいじゃん
[4429.110] asparagusbacon: 柔らかボドカ
[4434.411] まよあん: ｗｗ
[4436.118] taran8922: ちゃぁ
[4437.161] あれっくすたん: えっ？
[4473.867] ひろゆきむ: 盾つえぇ
[4481.910] ぬたみ: @zoneseph4138 マウスがいるってことがもう違うんよな
[4511.223] asparagusbacon: マウスならマウスのみ。コントローラーならコントローラーのみとかがいい
[4511.729] 段ボール: ｗｗｗ
[4523.181] ひろゆきむ: Pc
[4523.403] 02981000: ｗｗｗｗ
[4524.355] taran8922: きた
[4525.267] (S)新人おじさん: マッチ分けれるぞ
[4525.783] 段ボール: ｗｗｗｗｗｗ
[4526.262] arsenelpin_: ｗ
[4526.767] amanten: wwww
[4527.326] ぐりーむ6: @auv_v Padだけマッチとかにできるよそういうことじゃない？
[4530.325] jin2148: きた
[4530.483] zoneseph4138: pc版ならしかたないことやん
[4533.273] hatatv: 目が合った
[4533.302] miityyy1234: あっ
[4544.987] はるまき5966: キタキタァ！
[4548.248] igteee: ボドが思う強い武器は何？
[4550.251] qqfavpp: w
[4550.316] rx_jack_: でも、倒せなかったね笑
[4573.578] あもももん: ボドカさんが1番好きなマップはなんですか？
[4582.985] taran8922: わかる、ピンほしい
[4587.360] jin2148: ピンは開発中らしいね
[4590.489] siomamedaihukuuu: 絶殺
[4608.767] asparagusbacon: うまいねえ
[4612.095] arsenelpin_: うまい
[4614.104] herushia1: 足音よくわからんの治った？
[4618.981] あれっくすたん: うまい
[4619.406] 段ボール: ｗｗｗｗ
[4620.372] thieru6839: 盾つっよ
[4624.090] amanten: あれつよ
[4624.331] スティーブン大阪: このゲームあとクイックマッチがほしいっす
[4642.435] taran8922: ｗｗｗ
[4656.058] 段ボール: 1vs5vs6
[4667.445] asparagusbacon: エペもなんかリマッチついてて遊びやすくなってな
[4671.638] arsenelpin_: ＣＯＤ歴ないやつばっかなんかな
[4680.186] miityyy1234: 盾置くだけで1wayなの
[4697.583] zoneseph4138: Codのこと悪く言ってるやつ、大体やった事ない説ある
[4711.262] shishi_hitsuji: CoDだったらスペシャリスト完走してるくらいのストリークだった
[4718.944] いいねぼっと: やあ
[4723.482] ゆるふわ三河: ヒット音結構好き
[4734.895] sennin_11: COD老害とネガキャンが共存してるいい配信
[4737.767] crocodile543: GG
[4738.381] あれっくすたん: ないすぅ！
[4741.524] いいねぼっと: サーチアンドデストロいないの？
[4742.513] 아리7: gg
[4746.114] 段ボール: 銃声いいなぁ
[4747.968] benecry: なんでこのゲーム性でスモークないんやろな
[4749.343] いどあ: お前が最強だ…！
[4751.667] melton_puyo: サーチ欲しいよねw
[4755.686] 02981000: みんな恥ずかしくて言えないのかもしれないけどcod上がりには結構神げー
[4761.266] roriru0821: かっこいいね
[4763.429] asparagusbacon: BloodTrail
[4769.459] まよあん: ｗｗｗ
[4770.943] dodor143: サーチはスキルが強いからどうだろう
[4771.069] arsenelpin_: ｗ
[4779.928] sein_0730: sbmmないの神
[4786.082] 1234yuma: どの勢力が強いとかあるん？
[4787.659] tabobo_h: スモークは新キャラのアビリティできそう
[4789.024] かぐかぐ: これ基本無料？
[4792.117] benecry: それな
[4792.193] oh_men13: bo4のサーチは神ゲーだと思ってた
[4796.866] melton_puyo: サクッとできるのがほんとにいい
[4799.494] ゆるふわ三河: わかる
[4801.956] ふぁあああああああの音: デスが軽いゲーム楽しいんだよね
[4811.921] ゆるふわ三河: 脳なしで出来る
[4812.736] (S)swmkw: カジュアルに出来るのいいわ
[4817.062] amanten: 何も考えずに凸りたい
[4817.835] asparagusbacon: ４んでも誰も悪く言わないゲームすき
[4819.213] siomamedaihukuuu: codやったことないけどやってみようかな
[4821.214] (S)新人おじさん: お猿さんになりたい日もあるんゆあ
[4842.964] taran8922: いなばカスタムってなに？
[4851.126] arsenelpin_: ヴァロとか精神的につかれるんよな
[4863.714] (S)可能性の獣1: いなばur？
[4864.351] asparagusbacon: ヴァロエペは感情無くなる
[4866.254] きりみにき: チーデスドミネが脳死で出来るから結局好き
[4889.156] くれいじーだいやもんど: 野良とコミュニケーション取らなくてもできる気楽なゲームいい
[4908.257] akr2896: padゲー？
[4915.442] (S)新人おじさん: なんか既視感あるなこのマップ
[4925.827] asparagusbacon: 斜めの地形いくと自然と体も斜めになる
[4926.250] いいねぼっと: バロとかエペって味方に気にしながらやらないといけないけどこのゲーム気楽にできるな
[4929.135] KkR4xSBR: Inaba_URっていう日本のCoDシーンで打ち合い最強だった人が作った武器カスタム
[4929.923] taran8922: みたいから流行れー
[4937.721] magurroo: XDはpadどのくらい強いの？
[4951.085] ふぁあああああああの音: ｗｗｗ
[4951.248] まよあん: ｗｗｗ
[4951.650] いどあ: ｗｗ
[4951.779] 02981000: ｗｗwith
[4951.873] kyon2dxx: 競技シーンあるとしたらpadなのかな
[4952.178] crocodile543: www
[4954.727] スティーブン大阪: このゲームまぁキルも大事だけど目標取らないと勝てないからそこら辺も気軽な気がしなくもない
[4955.032] asparagusbacon: むしさんわらわらで草
[4957.230] siomamedaihukuuu: wwww
[4959.126] 1234yuma: ワロタ
[4959.491] あれっくすたん: www😂
[4963.510] (S)新人おじさん: 使い物ｗｗｗ
[4964.936] arsenelpin_: なにそのバイオの洗脳するやつ
[4965.145] tabobo_h: そんな強くないし、そもそもpadキーマウでマッチ分けられる
[4968.877] amanten: ショックRCみたいなやつ
[4973.442] herushia1: ひっど
[4976.012] 02981000: その発想良く思いつくなｗ
[4982.699] benecry: しょうへいさん笑笑
[4985.462] miityyy1234: ハンターキラー
[4991.237] ゆるふわ三河: このゲーム癖で伏せ打ちしようとしちゃう
[4998.605] adukiiiiii: このゲームエイムアシストある？
[5001.419] スティーブン大阪: フェイスハガーレバガチャで取れるようにしよ
[5019.673] ふぁあああああああの音: EMPシステム気悪いね
[5032.380] hatatv: 名探偵
[5033.737] まよあん: こっわ
[5033.829] arsenelpin_: 角待ちショットガンいる？
[5034.687] 02981000: いにしえの戦法
[5036.351] らいらい33: いるうｗ
[5036.579] 銀ろう: 伏せあったらいいのになあ
[5039.819] はるまき5966: フラストレージ溜めてけ
[5049.099] tappy_y: PADとキーマウどっち強いん？
[5050.104] herushia1: BloodTrail
[5053.501] realpizza2: 初心者やろ
[5054.681] (S)新人おじさん: BFに良くいたやつやん
[5060.095] fps_noobloll: wwwwwwwwwwwww
[5066.143] tranz1218: このゲームの地雷マジで避けれん
[5067.051] stillgoatman: ベティ！？
[5068.996] sennin_11: PADはカスタム設定くればストレス減る
[5069.447] goldbaikinman: ﾋﾟｷﾂl
[5081.280] ジャン_: 運営にCOD元プロいるから競技シーンはPADオンリー4vs4で確定っぽさそう
[5093.966] kedama_lu: からかち
[5098.419] いいねぼっと: 関さんみたいなキャラ
[5100.957] kada159159: 関
[5103.008] arsenelpin_: はんじょうみたいなやついるやん
[5114.393] (S)新人おじさん: sekiAnimegane
[5115.295] ryochi_oo: 関さん？！
[5121.002] igteee: このゲームこの画面長すぎる
[5134.859] きりみにき: これドミネ以外ないの？
[5135.525] ゆるふわ三河: この結果画面たまに何もなさすぎて捻り出したスコアとか出てて好き
[5154.781] くれいじーだいやもんど: 辛勝とか惜敗ってなんで読むの？
[5163.411] きりみにき: しんしょうせきはい
[5171.473] げんぼーい: つらかち おしまけ
[5172.782] arsenelpin_: カスタムして試してる時が一番おもろい
[5172.893] dodor143: しんしょう、せきはい
[5178.012] natakura: つらがち でいけ
[5182.669] いどあ: おしまけすこ
[5183.185] (S)新人おじさん: つらかち好き
[5183.635] miityyy1234: 辞書を引きなさいw
[5184.492] fuminifu: ツイッターでキルレ0.3で推薦動画あって笑った
[5186.266] くれいじーだいやもんど: おおー、そう読むのですね、ありがとうございます
[5187.899] realpizza2: 書けてるやん...
[5189.566] あるこ_: Inabaさん強すぎてチーター扱いされてたねｗ
[5194.341] 戦車: 早すぎる
[5203.256] ひよこちゃんだよ: ドラララ
[5204.544] くれいじーだいやもんど: 無理やり変換しました。
[5204.657] きりみにき: 書けてるわ確かに、やられた
[5212.020] ジャン_: UBIにチーター認定されたCOD日本一プレイヤーカスタム最強です
[5212.315] chartreuse__: つらがちせきはいってうったんだろ！
[5226.471] sennin_11: inabaってリヴァレントだっけ？
[5236.502] わさちゃ: 10回連続くらい勝ってなかったっけ
[5237.343] sennin_11: ICRくそつよかったよな
[5246.854] dnkrss: 視点きれいでエイムえぐい
[5279.565] nanasinogon: www
[5305.596] (S)新人おじさん: ZETAで活動無かったのほんまもったいない
[5318.458] あるこ_: ZETAになってからのCoD大会みたかったなあ
[5329.087] taran8922: うびび
[5349.202] andaseizounin: 4人くらいおったｗ
[5355.546] aaeee9999: BloodTrail
[5364.628] GussanRR: このマップこれがあるからあんま好きじゃない
[5372.760] 戦車: Rushの人以外ストリーマーとしても活動あんまりしてないし生計どう立ててるのか気になってた
[5376.617] (S)チーム水原: ボドの暴言聞くと落ち着く
[5389.686] いどあ: ｗ
[5392.130] ティーぼーん: ww
[5395.951] _ちゃー_: ｗｗｗ
[5396.161] あれっくすたん: www
[5398.431] キンドル: アジアにCODリーグチームないの？
[5403.810] いどあ: UBIさん彼に案件をください
[5403.894] ふぁあああああああの音: ここのエスコートまじで嫌い
[5416.004] はるまき5966: ボドカの癇癪は万病に効く
[5416.478] nanasinogon: 可変ストック
[5419.171] ティーぼーん: codも現状こんなん。
[5425.151] あれっくすたん: ww
[5425.785] crocodile543: NotLikeThis
[5432.823] taran8922: 火力たかめｗ
[5434.545] 02981000: この待機画面で大体展開わかるのつらいｗ
[5450.594] あるこ_: k4senノリアキコンビの大会も恋しい
[5468.655] まよあん: あ
[5471.813] スティーブン大阪: M16強いと思うんだけどバーストなのがなぁ
[5473.903] realpizza2: 2階にまだおる
[5482.132] (S)tororoyorinototoro: こ、こない
[5482.502] mew3v: ｗｗ
[5483.580] あれっくすたん: 敵さん初心者じゃない？
[5483.609] ゆるふわ霊柩車: 攻撃リス芋、戦争犯罪でしょ
[5486.239] あるこ_: 王族のチンパンジーおる？
[5492.962] dodor143: 諦めてチーデス始めたかな
[5515.728] (S)可能性の獣1: このゲームボドカとやまとん先生以外やってないの？
[5533.265] ゆるふわ霊柩車: 333やってるぞ
[5539.008] あれっくすたん: 結構壁貫通してくることない?
[5545.377] alfredo_the_meat_boy___: neeshLEON
[5547.849] kabukisanteam: うまそうやな
[5558.775] alfredo_the_meat_boy___: こんぼど
[5586.804] はるまき5966: これは敵うまいパターンか？
[5596.169] benecry: TAC連射速度上げるのおすすめよ
[5619.225] aiudesu: www
[5621.727] (S)kazaha_zazazaxf: このマッチえぐいw
[5623.430] alfredo_the_meat_boy___: neyachDance
[5626.287] yaxley9973: 全員ピカピカなんよ
[5631.114] nanasinogon: チカチカ光ってる
[5649.119] herushia1: PokPikachu
[5653.274] taran8922: ｲﾀｧｲ！！
[5656.274] ヨしだ: うまい
[5658.402] あれっくすたん: うまいっ！
[5659.093] crocodile543: うっま
[5660.798] 寺田ココシャネル: taiminngukannpoeki
[5662.466] tabobo_h: えっちなシールドや
[5672.264] あるこ_: 今のシールド気持ちええ
[5676.345] davi_twich_fc: なんかスナイパーの当たり判定でかい？笑
[5703.315] しゃけ200: このゲームのスナイパー楽しいわ
[5703.961] すめりん: PogChamp
[5704.750] clachetst: 終わりの始まり
[5707.813] ヨしだ: うまいーー！
[5708.691] kawasima00: うますぎやろ
[5709.172] あしゅま__樋口: うめえw
[5711.983] crocodile543: わお
[5712.209] andaseizounin: 芋掘り
[5713.689] (S)新人おじさん: 0距離ｗ
[5713.703] すめりん: あクリップ
[5713.850] sen4rx: さすがにclip
[5713.908] tabobo_h: クリップや
[5714.622] 豆腐の末裔: うまーーー
[5716.276] ぞく: 胴体一発？
[5718.009] あるこ_: クリッピー
[5722.896] 闇のブロスフゥンダル: 相手botすか？
[5725.971] nanasinogon: フィード
[5729.035] Mumaj1: ログ長いですね
[5729.206] herushia1: うま
[5735.043] あれっくすたん: うますぎる！見てて気持ちいいわ
[5736.152] kynaike: あえて、昔のペンタグラムとかでクリップ動画上げてほしいなｗｗ
[5736.477] おもちぱん: さすがすぎる
[5738.807] davi_twich_fc: 当たり判定でかいだけにしてもうまいなw
[5742.125] sen4rx: おにやだったら3ヶ月はこのクリップ擦る
[5759.630] れいーー: ぼども1個の方の砂つかったのかな？
[5775.202] clachetst: あ
[5786.798] おもちぱん: 編集の仕方昔のままで動画出されたら懐かしくて4んでしまう
[5808.074] GussanRR: 相手も同じウルト
[5811.219] あれっくすたん: 炎？
[5812.519] realpizza2: 火でだいぶ喰らってた
[5844.427] kiraran134525: こんばんは、ボドド
[5864.257] Juicewisdom: axeumBlush
[5884.515] はるまき5966: これ息を止めるって何？
[5890.319] ぞく: ｗｗｗ
[5892.365] あかひと: wwwww
[5892.821] crocodile543: ｗｗｗｗ
[5893.064] clachetst: もうええて
[5894.068] pepe07h: ｗｗｗｗｗｗ
[5894.685] sen4rx: あ
[5908.990] taran8922: タイミングｗｗ
[5915.341] しゃけ200: エイム安定させるための息止め
[5932.586] はるまき5966: なるほどね
[5939.431] れいーー: @harumaki5966 覗いてる時のブレがなくなるよー
[5947.126] まよあん: ｗｗ
[5952.726] takoyaking0531: え？ｗ
[5953.679] あれっくすたん: ww
[5954.346] taketori_66: １０年前のボドカ見てるみたい
[5963.042] タカシージャス: https://clips.twitch.tv/AdorableRelievedWasabiTwitchRaid-kRPb4ecE0vxm6IPc
[5963.636] shitohatenan: すみませんこのゲームどこでダウンロードするんですか？
[5964.625] clachetst: あ
[5968.276] crocodile543: LUL
[5968.939] yaxley9973: 確かに最近のFPS息止めないな
[5969.163] しゃけ200: w
[5971.060] アムロルイ: あ
[5977.386] ひゅが21: ubiなんちゃら
[5978.046] 02981000: あいつらに勝ち負け煽りはきかんのよ
[5987.020] n4siki: そういうとこも含めて懐かしいな
[5998.960] n4siki: 一生芋ってる砂とかいたなぁ
[6007.510] ゆるふわ三河: キル厨ってことか
[6038.618] stylish_nojob: ハセシンはやってるのかな？
[6040.926] ひゅが21: @shitohatenan xdefiantで調べてみてください ダウンロード先出てきます
[6041.309] ninja_hiroo: このゲーム普通におもろい
[6045.487] noel_dao: リドル戦は明日ですか？
[6047.033] benecry: 案件ふっかけてくれ
[6057.262] ゆるふわ霊柩車: 無料のbo3,4ライクシューターだし流行ってほしいねえ
[6060.401] shitohatenan: ありがとうございます @hyuga420gk1
[6061.369] dnkrss: マッチえぐはやいからストレスないけど
[6061.370] ゆるふわ三河: 無料ってのも敷居低くてやりやすい
[6072.397] sen4rx: 昔の案件イベントみたいに配信者対抗戦とか見たいわ
[6101.799] kaki0000: そっかこれubiか
[6105.408] あるこ_: たま拾えるパークあればなあ
[6107.286] taran8922: pi
[6113.759] ひゅが21: カスタム開けるようにしてほしい 1vs1したい
[6117.883] benecry: 最強ウルトくんきた
[6118.709] crocodile543: ｵｷｭﾊﾟｲ
[6124.543] arata12fps: ハセシンがみんなとやるみたいやけど呼ばれてないん？
[6126.988] n4siki: パイパイ最高！
[6154.436] ゆるふわ三河: このゲームのハンドガンすごい足速いよね
[6154.797] kaki0000: フルパ見てみたいね
[6164.611] sen4rx: あっぶな
[6201.442] realpizza2: ubiだからfarcry6って書いてあったのか
[6209.509] masakindayo: オキュパイ響きがやらしい
[6232.805] arsenelpin_: かた
[6241.842] sen4rx: 圧倒的すぎる
[6241.996] dodor143: アサクリとか追加されたらナイファーなのかな
[6245.581] ゆるふわ三河: 勢力がubiの各ゲーム内の勢力とかだからね
[6253.076] nata000109: ゲージ減ってないから全部弾抜けしたのかと思ったわ
[6253.291] x9cer: ピン機能くるかもらしいよ
[6280.998] きりみにき: 合法ウォールハックま？
[6283.693] ともぞーん: ぺくす
[6288.484] neco_power: vdkしかしてないゲームだ
[6298.457] valture_6969: ばった野郎うぜー
[6299.973] arata12fps: ベータのときより操作感よくなった？
[6309.623] arsenelpin_: キル音きもちい
[6316.473] ankooisii_1: 今の環境武器なんだろ
[6347.102] x9cer: とりあえずmp7が強いね
[6350.112] valture_6969: M16じゃない？
[6353.963] x9cer: スナイパーはきしょく悪い
[6361.115] n4siki: マークスマンじゃね？
[6370.690] welldoneman1: VDK 
[6378.709] ぐりーむ6: がちで最強を求めるならマークスマンやな
[6386.121] o_a_oo: pad?
[6389.491] valture_6969: このウルトつんよい
[6400.328] PandaMan_o1: 途中抜け多いな
[6403.519] arsenelpin_: ＣＯＤ歴が違うねんな
[6415.148] ゆるふわ霊柩車: ヒェ〜！？
[6420.990] valture_6969: 途中抜けはCOD卒 
[6426.747] x9cer: てかさリニアと背広曲線って操作感けっこう変わる？
[6433.979] あれっくすたん: 敵ものすごく途中抜けしてない?w
[6458.177] n4siki: 途中抜けするデメリットないからな
[6471.695] yurayura7272: LMG強いのに使ってるやつ少ない
[6482.883] あるこ_: マジで連キル気持ちええ
[6507.415] sen4rx: ショットガンあんまいないけど弱い？
[6519.283] valture_6969: 🐒「あっvdkだ抜けよっ」
[6521.330] arsenelpin_: うま
[6535.970] yaxley9973: AAはゴミ
[6536.160] yurayura7272: ダブルバレルだけね
[6540.048] kk_eris_tt: M4は弱い
[6543.273] いどあ: ただしAA-12おめーはダメだ
[6546.723] a8mahman: mp5ほぼ見ない
[6547.522] GussanRR: ダブルバレルだけ強い
[6550.540] あれっくすたん: AA
[6552.653] sen4rx: それきいてやる気出たわdlします
[6577.002] n4siki: 透明化のおばちゃんと合わせたらSGだいぶきしょい
[6579.128] realpizza2: AA-12あるのか。懐かしいなぁ
[6600.807] an_mi_tu: このゲームのおもれえな！？
[6602.598] あれっくすたん: AAで凸るのは気持ちええよ
[6603.477] yurayura7272: 金はっや
[6608.967] decoy_55: 倒した時のキーンて音気持ちいいな
[6610.017] n4siki: 金迷彩やw
[6611.194] dnkrss: 100行くのはええ
[6624.988] (S)kazaha_zazazaxf: 金迷彩もってるやつおるw
[6660.918] valture_6969: ソナーさーん？
[6663.244] まよらー007: おすすめ武器なんですか
[6677.119] いどあ: うひょ～
[6678.824] a8mahman: このウルトまじ最強
[6680.995] arsenelpin_: 気持ち良すぎ
[6683.531] sen4rx: おっしい
[6691.960] takabo_1010: アナイアレーターつよいね
[6693.787] きりみにき: このウルトはソナーとアナイアの合体みたいな感じ？
[6694.651] valture_6969: BO4思い出す
[6700.455] (S)AKUTANNNN: ow2のポルシャコラボだっけ？買った？
[6701.994] a8mahman: どのキャラもウルト強いけどこれが一番強い
[6715.690] オリカナ: このウルトあかいけんちくんすぎるWWW
[6723.230] いどあ: このゲーム抜けんのかｗ
[6729.240] あもももん: このキャラのウルト最初にナーフされそうですね
[6730.926] n4siki: ピュリファイアー微妙に感じるくらい他強いよな
[6733.394] takabo_1010: 回復できるおばさんのウルトが一番弱い
[6756.514] a8mahman: おばさんウルトオキュパイ中で炊いたら最強
[6757.211] ankooisii_1: スキャンつえー
[6760.939] 抹茶ろいず: さっきのエリアスキャンして壁抜きできるよ
[6765.158] ぐりーむ6: 敵の前でおばさんウルト使ってみがち強いから
[6768.439] sen4rx: wwww
[6771.787] decoy_55: ww
[6773.087] hanakusozamurai4: このゲームってエイムアシストあるの？
[6776.357] あれっくすたん: www
[6776.593] valture_6969: 角バリアきっしょw
[6787.581] n4siki: おばさんウルト不快指数含めて強い
[6794.962] きりみにき: fmjとか無いんか
[6795.265] (S)新人おじさん: 抵抗バリア
[6808.577] sen4rx: あれ？接戦じゃね？
[6818.312] arsenelpin_: まずいねえ
[6827.704] n4siki: ま，負けますよ
[6839.081] valture_6969: なんで抜けんだよw
[6844.350] arsenelpin_: 砂つよいな
[6905.598] きりみにき: 相手粘るね
[6916.026] valture_6969: ないす
