[13.960] hachi8ee: :(
[1594.094] 太陽のタルタルソース食堂: 4万てカメラ用？
[1594.126] Blowthat: nice japan cars
[1595.142] nop64: ジンバルぬ
[1598.061] ある_____: 発泡スチロールみたいな青
[1602.410] kaigaizei: なくしてるのが使ってる人だから使わないとなくならないんだよ
[1606.045] (S)teruharu_: w
[1606.271] nop64: ジンバルに名札つけよ
[1607.886] 5don: キングボンビーはなかなか消えない
[1608.970] (S)v_harumi_v: 4万はもったいなかったけど、配信はかわいくてキュンキュンした
[1609.622] るぅの: umeCatHope
[1611.274] あかの: 次のチャリティーで出そ
[1612.543] (S)imokun888: ジンバルは色んな機械にあわせなあかんから調整いるんよ…
[1638.138] (S)ほっきょく: 次左行くと渋谷スクランブル
[1641.500] (S)ヤギー: へぇ
[1646.860] dappi69: 今日手ブレがすごいね笑
[1662.459] Blowthat: there arent many cars in the street, thats good
[1663.730] ememeume: 青山は渋谷通り越してまっすぐ行けば
[1665.144] une3333: なんかいまの話聞いてると寝具買うのも不安になってきたw
[1671.960] lapistaxx: いまさら？ww
[1672.816] raurakd: 王も人の子
[1673.674] (S)gyu_nyuu_pann: そんなのあったのww
[1675.099] (S)ほっきょく: 手前に２４６在るからそれ右行けばスクランブル通らず青山いけるよ
[1683.698] checker_od: Walkable neighbourhoods, good thing
[1685.102] (S)imokun888: 専門学生の群れにとりかこまれるど…
[1686.298] yui_tang0307: 右行けば線路くぐれる
[1686.607] ある_____: むしろスクランブルの方が溶け込める
[1693.966] yuyu09250925: そっちいくとアペロから離れてるよ
[1694.325] メタルぱんだ: ！？
[1701.826] miruujyu: ウメハラがとおるよー
[1705.805] (S)neogreenlife: 恥もプライドも捨てたかと思っていた
[1706.666] えこえこ: 寝具にテクニックいらんから大丈夫
[1707.946] (S)tabibitox: ゴンタママについてきてもらえばよかったなｗ
[1709.418] (S)gyu_nyuu_pann: 店員さんに聞こ…ね
[1709.833] une3333: とぅふ
[1714.346] mutuizumi: コアラマットレスとか１年試せたような
[1714.431] lapistaxx: 冒険しないで、安定行動にしよ
[1715.551] (S)chankoi: 寝具は合う合わないが結構ありそう
[1715.600] ~MISSING_COMMENTER_INFO~: 寝具は安心だぞ。高いのは中華のがほぼないから
[1716.405] balthazar000: 何で下手なのか分析しません？
[1725.303] sabotenn6: ごんたさんもソレ危惧してたわ
[1733.117] yuyu09250925: 右の方にアペロあります
[1736.056] Blowthat: the livecost in that area must be super high xdd
[1745.283] balthazar000: よく分からないけど方向合ってるで脇道に入るのが最高
[1751.000] (S)v_harumi_v: ちゃんと恥ずかしがらずに、アスリートだから睡眠の質が大事っていってくださいね。普通の快適さだと思われたら心配しそう。
[1757.445] mutuizumi: コアラマットレス１２０日だった 試せます
[1766.055] (S)suzuki_we: 今日どこ歩いてるの？
[1777.453] エビテン: 渋谷方面
[1785.531] une3333: ガタンゴトン
[1788.396] yuyu09250925: そのまままっすぐいくと渋谷、右いくと南青山
[1788.422] 太陽のタルタルソース食堂: パルクールする若人
[1789.487] (S)imokun888: 寝具どこに買いにいくんじゃろ
[1790.641] ~MISSING_COMMENTER_INFO~: 若い子、お金持ちなんだろうなｗ
[1794.345] ねこざけ: 道はすべて繋がってる
[1795.076] えこえこ: 首痛くならないやつ下さいって伝えないと
[1795.150] yui_tang0307: そう、うしろ
[1798.914] みそらの: 右側、渋谷駅の湘南新宿ラインホームかな？
[1799.842] lapistaxx: 今は渋谷駅に向かう側道かな
[1804.373] 5don: 「線路の向こう側」という意味なのかな
[1810.722] マジカント: これ右は渋谷駅？
[1811.196] une3333: いろんな人がいるなぁ
[1813.084] カメキチハウス: 青山製図専門学校
[1816.844] (S)v_harumi_v: 図面を書く
[1820.800] enuemu3: へぇー
[1823.089] みそらの: CADとかかな？
[1824.444] じゃむじゃむお: 建築士試験でも受けるんかな
[1826.089] ねこざけ: 建築系？
[1826.644] (S)gyu_nyuu_pann: 設計的な？
[1827.268] yui_tang0307: その先線路沿い行けないよ。中に入る
[1829.362] みそらの: 機械とか建築とか
[1830.525] helicom: 建築の図面とか
[1832.957] (S)v_harumi_v: プロダクトデザインとか設計とかに必要
[1841.732] ~MISSING_COMMENTER_INFO~: たぬかな系か
[1841.803] みそらの: ｗｗｗ
[1842.361] nikukuisugi333: ｗ
[1851.782] kitori_17: たぬ系
[1851.817] une3333: オシャレって書いてある提灯が既にオシャレじゃないと思うんです
[1855.841] qwertyu4769: おしゃれ警察
[1855.994] lapistaxx: もういいからwww
[1858.920] enuemu3: www
[1861.115] あかの: スキあらばおしゃれアピ
[1866.172] (S)ほっきょく: そそ
[1869.124] yui_tang0307: めちゃくちゃ変わったところだから、散歩にはいいかもねぇ
[1869.277] (S)neogreenlife: 言っちゃったよ…
[1883.503] じゃむじゃむお: オシャレ 確かめないか？
[1887.755] YvDhFvmLvyxi: その細長い建物なに？
[1888.497] yuyu09250925: そうです
[1891.665] yui_tang0307: そうそう！！
[1892.421] みそらの: 今日は暑すぎず寒すぎず、歩くのは気持ちよさそうですね
[1894.486] enuemu3: 地元民ありがと〜
[1895.993] kitori_17: フェンス乗り越えるのかと思ったw
[1905.783] (S)imokun888: 最強線だ
[1907.636] あなたは何も悪くない: おしゃれさんが多いとこだぁ
[1917.342] une3333: 若い人が多いですね、学校とか近いのかしら
[1925.039] 5don: 土地勘ある人いて助かる配信
[1929.512] みそらの: ダンジョン作り替え工事してますね～ 渋谷駅前
[1938.472] (S)ほっきょく: googleJapanあるからね
[1940.442] ememeume: 渋谷駅周りすごい
[1965.635] (S)imokun888: もうちょっと行ってたらめちゃくちゃ開発されててちょっと前と結構景色ちがうんよね
[1967.340] lapistaxx: 渋谷駅と駅周りが再開発はいつまでも続くんだろねぇ
[1976.427] balthazar000: 何駅なんだろう
[1984.986] taroumaruh: 今日はジンバルくんご機嫌斜めか
[1986.581] MYHEROJOSE: hello whats up?
[1991.266] YvDhFvmLvyxi: ちょいちょい落書きされてるな
[1992.226] (S)v_harumi_v: 渋谷の景色が変わってて、ちょと迷子になりますよね
[1996.021] みそらの: 最近、横浜駅は開発落ち着いてきたけど、渋谷駅が不思議なダンジョンになりつつありますねｗ
[2004.946] une3333: こっちの首が傾きます
[2005.092] bo_kansha: 外ももう結構薄着なんだな〜
[2010.823] taroumaruh: 曲がってるし手振れヤバイｗ
[2013.510] (S)imokun888: ジンバルない方がブレなさそそう
[2017.647] helicom: スプーン曲げならぬジンバル曲げ
[2018.213] あなたは何も悪くない: バキの家みたいに落書きされとる
[2027.011] ねこざけ: プロ向けジンバル
[2028.264] YvDhFvmLvyxi: 刃牙の家くらい落書きされてる家あった
[2029.939] 紅孔雀0325: 渋谷ってヤマンバとか黒ギャルが闊歩してるんだろ？
[2031.225] GalleriaRow: ジンバル使ってたんやw
[2033.061] だいこん_: これがワンランク上の世界
[2037.717] edermeira: hi Daygo Brasil 
[2040.954] (S)yut7xot8: 酔うね〜
[2043.159] 宮藤ｨｨｨ: カラーギャングこわいゆ
[2044.577] 壓虎: 豆腐店
[2048.940] ある_____: 近くに526っていう二郎系あるよ
[2050.900] une3333: ああいう落書き見るたび思うけど、ヘタクソなのが無いのがすごい
[2054.248] みそらの: カラーギャングは池袋！ｗ
[2060.098] chinnen1: 真っ直ぐな棒にガムテで固定した方が安定感ありそう
[2067.494] (S)imokun888: 恵比寿代官山方面に向かっとるかな
[2069.289] あなたは何も悪くない: 豆腐屋って峠攻めるやつ？
[2076.347] (S)ほっきょく: マンモス行っても良さげな気がするけどｗ
[2080.053] 新福菜館マン: 渋谷はカラスが猫サイズのネズミ食ってるバイオレンスシティだって聞いた
[2090.570] (S)neogreenlife: ガムテのがまだ安定してたの悲しいね
[2098.198] YvDhFvmLvyxi: かっけぇバイク
[2112.845] une3333: こんなとこ置いてて盗られないか心配
[2116.971] (S)imokun888: pcみたいにジンバルめんおじ欲しい
[2118.450] 宮藤ｨｨｨ: 竹の子族おるかもな
[2123.214] wahaha7788: ピンクのナンバーかわいい
[2132.816] upbeat91: What time is practice?
[2163.347] あなたは何も悪くない: こんな落書きするためにホームセンター行ってスプレー缶買ってるんかな
[2167.645] みそらの: 線路くぐれそうですか？
[2178.289] ~MISSING_COMMENTER_INFO~: リア充カップル×２
[2179.354] (S)imokun888: 陸橋あるよ
[2184.941] lapistaxx: 自分の家の壁に落書きすればいいのに
[2186.275] une3333: 歩道橋みたいなの見えますね
[2198.348] (S)v_harumi_v: 確かに、ジンバルの使い方みてあげたいくらいフラフラ～
[2205.429] ねこざけ: 柵の中のJeep
[2210.774] 紅孔雀0325: コイパたっか
[2210.928] une3333: ブル缶を捨てたぁ！！
[2231.262] (S)imokun888: ジンバルすてちゃえ
[2237.685] ねこざけ: 今日もリュック背負ってないの？
[2239.018] (S)v_harumi_v: カバンなしなの？
[2260.775] 新福菜館マン: 変わらないために変わり続ける
[2260.895] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2262.963] une3333: 大丈夫ですよ今んところ
[2265.759] helicom: そんなでもない
[2269.329] kaigaizei: 風より揺れよ
[2270.000] mmiiacha: 大丈夫。弱ワール。
[2276.735] lapistaxx: まぁ今んとこ大丈夫よ
[2279.896] (S)neogreenlife: 風はわりとマシ
[2280.495] wahaha7788: 背負えるジンバルとかあればいいのに
[2284.256] helicom: 電車の方が音でかい
[2290.441] (S)gameinntwitch: あら新ジンバルいっちまったのか
[2292.304] omega_blackFGC: VoHiYo
[2299.832] (S)imokun888: ゴープロだと首からかけれて楽よ
[2327.810] wahaha7788: 足取りが重い
[2332.214] kinakobuta: 古い歩道橋
[2333.766] une3333: これはウメちゃんにはきつそうな階段がw
[2338.871] peyangoo: ジンバルってこんなに壊れるもんなの？壊れすぎじゃね？ｗ
[2343.266] kent_noel: I love these streams
[2343.509] (S)imokun888: たんけんぼくのまちじゃん
[2346.340] ~MISSING_COMMENTER_INFO~: こんなゆっくり階段登ったことない
[2347.127] wahaha7788: 俺の誕生日は七月
[2348.501] mmiiacha: 溢れる知識欲
[2350.306] ancehutn: BrokeBack
[2350.942] maddy2623: 知らないことが多すぎるーー
[2352.744] kitori_17: 好奇心が溢れ出ちゃうの？
[2353.779] 玉蘭: 40にして
[2357.754] kaigaizei: まずジンバルの説明書読もう
[2359.311] (S)gyu_nyuu_pann: 例えば？
[2362.149] れとぅ: 舗装されてないな
[2363.537] ねこざけ: 知らないこと知るの楽しいよねえ
[2365.043] 난입금지: 株の動きを教えてください
[2370.349] une3333: 未知への渇望が
[2370.692] あなたは何も悪くない: 僕の好きな食べ物はハヤシライス
[2370.829] YvDhFvmLvyxi: アマゾンで新種の動物探そう
[2373.686] ame512: 説明書は草
[2374.637] ogawa3: クジラのダンス
[2376.598] (S)gyu_nyuu_pann: 団地っぽい？こ
[2376.817] meltingzoo: 図書館行こっか？
[2378.990] une3333: こっちはスロープなんだ
[2379.438] qwertyu4769: 今からでも知れるよ
[2380.354] あかの: まず良いベットの寝心地を知ろう
[2385.082] (S)imokun888: ジンバルの調整の仕方知って欲しいってのはある
[2387.397] ねこざけ: 知らざるを知る者
[2388.378] みそらの: 知らないモノを知ろうとして～ 望遠鏡をのぞき込んだ～
[2392.016] osirisoft: 今からでも全然間に合うよ
[2393.011] potocki1810: 卵をゆでるまえにスプーンでちょっとたたいて割っておくとゆでた後むきやすいよ
[2393.827] maddy2623: 宇宙の真理
[2398.303] une3333: ないんだもの
[2403.651] loran_t: こんにちわ！今日はどこ行くんですか？
[2414.240] kaigaizei: まず手ブレの直し方を知ってもらえれば1500人が助かる
[2417.327] peyangoo: 俺も天体観測が思い浮かんでて、ビビったｗ
[2417.710] 新福菜館マン: ディスカバリーチャンネル見よう
[2419.650] une3333: てかさすが東京、電車の本数多いですね
[2420.983] (S)justinanasisan: justinanasisan subscribed with Prime. 
[2421.069] (M)Moobot: @JUSTINANASISANさんTwitch Prime登録ありがとうございます！
[2423.244] YvDhFvmLvyxi: ハチの羽音みたいだな
[2427.219] donekofg: いろいろ知りたいと思いつつ興味ないことは調べられないのよ
[2429.032] だわさワサワサ: 知ってるより知らないを知ってるのが強いってばっちゃが
[2437.822] (S)justinanasisan: バレエ習おう
[2439.044] enuemu3: さすが都会ですな
[2442.603] hasitaka0: ちょっと聞きたいんですけど、ウメさんが行ってた高円寺のホープ軒ってカレーとラーメンがありました？
[2443.991] Hiclere: シューズ買った？
[2444.539] une3333: バレエ教室ありますね
[2448.214] 玉蘭: まだ人生折り返しにも来てないかもしれない
[2452.203] lapistaxx: 今日は青山とか新宿とか行くみたいですよ
[2458.001] ねこざけ: うそな
[2459.032] (S)ikaika071: Cheer100 Cheer100 Cheer100 おはようございます
[2459.251] (M)Moobot: ikaika071 さん、ありがとうございます！ 
[2461.634] wahaha7788: ウメちゃんレオタードとか似合いそうだね
[2462.736] low_single: けんちゃんとフムフムみたいなこと言うじゃんね
[2475.870] osirisoft: それ、いっぱい知ってる人が言うセリフかな〜？
[2476.427] (S)imokun888: 80まで生きるつもりだったの！？
[2479.330] wahaha7788: まずは常識から学んでいこう
[2481.877] donekofg: まだ半分もあると思うとなげぇ
[2482.313] YvDhFvmLvyxi: まだ3分の１かもしれない
[2492.414] (S)justinanasisan: 一回試しにレオタード着てみよう
[2494.584] (S)gyu_nyuu_pann: 100年時代だよ！
[2508.735] catsxx: www
[2511.684] akiaki0612: 世界最高齢の婆さんはそろそろ還暦2回目だぞ
[2512.177] ~MISSING_COMMENTER_INFO~: 80歳のプロゲーマー目指そう
[2518.939] une3333: でもどんなに博識な人でもせいぜい全体の5%くらいじゃないの知識量って
[2519.888] latenight000: 酒とか飲みまくると痴呆とかも早めにお迎えくるだろうし
[2520.013] 落としぶた: 目的地的に新井家具ベッド館には行かない感じなんすね、究極のベッド探しには良い店だと思うんすけど
[2520.104] 난입금지: この町の名前は？
[2521.384] 宮藤ｨｨｨ: ゲーミング老人ホーム待たれる
[2523.837] (S)justinanasisan: 60
[2527.867] wahaha7788: 何歳くらいから生きるのが苦しくなってくるのかな
[2531.459] あなたは何も悪くない: いきなり医学がブレイクスルーするかもしれない
[2536.725] yuki__0410: 私バレエやっているのですが男性ダンサー増えたらうれです！
[2540.670] (S)gyu_nyuu_pann: 70？
[2542.663] ancehutn: ；；
[2542.883] DENnislhlam: Good Morning Master Daigo
[2544.762] 3_dots: 体作り大事ですね！
[2548.914] catsxx: 80歳まで全然生きそう
[2550.850] 玉蘭: 健康でいたいねえ
[2553.224] YvDhFvmLvyxi: 技術的に可能なら不老不死なりたい？
[2556.305] chris_poon94: 日本の男性の平均年齢は？
[2556.315] ねこざけ: 健康寿命が大事よね
[2557.608] ある_____: 寝たきりになるとつらそうね
[2558.548] une3333: 腰が痛かったり肩がこったり
[2562.744] kinakobuta: 寿命って心臓の鼓動回数って言うよね
[2566.829] (S)gyu_nyuu_pann: 60だっけごめん
[2571.127] (S)justinanasisan: 世界最高齢の格ゲーマー目指そう
[2574.325] bo_kansha: 人生の終わりが真横に
[2574.558] kitori_17: 元気なまま歳を取れるかどうかはあるなあ
[2577.982] donekofg: 風呂で意識が遠のくが理想
[2585.644] あなたは何も悪くない: 他人にシモの世話させるまえに死にたい
[2596.281] balthazar000: 苦しんで死ぬは何を想像します？
[2598.162] 紅孔雀0325: PPK(ピンピンコロリ)がベスト
[2599.772] wahaha7788: 運動すると寿命減るんか
[2601.510] (S)tabibitox: ボケて入った老人ホームでアケコン渡されて覚醒するウメちゃん
[2601.964] ~MISSING_COMMENTER_INFO~: 細胞分裂の回数でしょ
[2602.522] imotarou1126: マラソン選手って短命のイメージある
[2602.764] loran_t: 俺寝てる時と起きてる時で2倍心拍数違って悲しい
[2608.130] ﾃﾄﾗﾝ: あ～れ～って死んだ人見たことないよ
[2621.852] une3333: 突然事故死とかは嫌だなぁ
[2623.855] fabregas123456789: ゲーセンいこ
[2626.121] みそらの: これだけ手を動かして頭も使ってるんだから、そうそうボケないでしょｗ
[2627.174] nop64: 寝てる間に老衰で死にたい
[2633.208] yuki__0410: 皆さん長生きしてほしいです
[2636.888] (S)ほっきょく: ヌキさんが老人ホーム入ったらアケコン全身に乗せてそう
[2639.657] ﾃﾄﾗﾝ: そんな死に方したらSNSで拡散されちまうよ
[2649.627] peyangoo: 配信中に、あ～って言って死んだ人はいた
[2650.558] ある_____: 左にいくと渋谷
[2651.018] qwertyu4769: まーじか！
[2652.702] (S)ほっきょく: まっすぐ
[2657.083] enuemu3: ポイポイ…(タヒ)
[2659.110] ねこざけ: 野菜やキノコが！！？？
[2661.127] saba520: 安
[2662.343] sansiki205: 物知りだな
[2663.295] akiaki0612: 野菜、キノコ(隠語)
[2666.775] (S)ほっきょく: 坂上ったら左
[2668.102] 浣熊俠: rooOWO
[2671.177] osirisoft: そこ真っ直ぐ行くと大学
[2682.829] une3333: yes!
[2693.321] ~MISSING_COMMENTER_INFO~: ひぐち大？
[2695.894] bunkichi23: ひぐちくんおるかな
[2696.555] (S)ほっきょく: 青学じゃないｗ
[2697.181] wakeup623: wakeup623 subscribed with Prime. 
[2697.238] (M)Moobot: @WAKEUP623 with the Prime sub!
[2700.887] wahaha7788: キレイな白髪のじじばばはかっこええな
[2703.473] akiaki0612: ひぐち出てこいよ
[2706.780] osirisoft: 國學院
[2707.208] omega_blackFGC: HungryPaimon
[2725.119] mako6912: こく？
[2731.576] (S)ほっきょく: そこのライフは芸能人とか御用達
[2737.209] kinakobuta: サッカー強いとこ？
[2742.352] balthazar000: コメント見ているから地図アプリ使えないとか？
[2743.762] vitaminc0516: 梅ちゃん今から大学入るとしたら何の勉強したい？
[2745.985] ある_____: 深そうなこと言ったけどよくわからなかった
[2746.011] ねこざけ: 大学入ろ？
[2747.674] みそらの: ほっきょく兄、地元民？
[2747.934] akiaki0612: ウメさん、バンジー興味ない？
[2756.751] (S)ほっきょく: よく送ること多いからｗ
[2766.771] 4444446666: ぐらぐらしとる 今日ジンバルなしか？
[2769.957] ﾃﾄﾗﾝ: 東京は芸能人の乗車率も高いんだろうなぁ
[2782.256] ねこざけ: 芸能人は野菜買うのもタクるのか。大変やな
[2794.344] ﾃﾄﾗﾝ: ジンバルではない何かと化している
[2794.904] helicom: また
[2805.078] low_single: 充電切れたとか？
[2805.701] kame277: ウメちゃんも芸能人みたいなもん！
[2807.574] 157655: ジンバル選び大変すぎんか？
[2809.858] 4444446666: は？むしろジンバルまた買ったのがしょーもなくねえかwww
[2809.997] (S)gyu_nyuu_pann: 使い方わからんからでしょ！
[2811.264] wahaha7788: 土に埋めちゃおっか
[2814.136] (S)neogreenlife: 芸能人はライフ行くのもタクシーなのか…
[2814.339] helicom: おいくらまんえんだったの？
[2815.187] ねこざけ: 掴まされた(掴んだ)
[2817.173] kaigaizei: モノのせいにするのは失礼やぞ
[2818.629] 玉蘭: 今時のクオリティではないのう
[2820.194] akiaki0612: 摑まされたんじゃなくて、自分で掴んだ
[2829.947] YvDhFvmLvyxi: 外配信で変な人に絡まれたことある？
[2830.627] enuemu3: ジンバルガチャ渋いねぇ
[2833.103] (S)justinanasisan: 掴み取ったってことだよ
[2836.016] 4444446666: 前のジンバルどーしたんだよ
[2847.573] Ryleo8: てｓ
[2855.438] wahaha7788: えいた？
[2859.732] ねこざけ: 緑のあるマンション
[2860.741] みそらの: ヤクルト
[2862.040] メタルぱんだ: ！？
[2864.656] (S)justinanasisan: ヤクルト１０００効くらしいね
[2868.853] 玉蘭: えぇ、、
[2873.585] mako6912: え？
[2874.640] kitori_17: それはウソ
[2874.909] ある_____: まじかよ石井プロ最低だな
[2876.142] 4444446666: んなあほな…
[2876.171] domontyan: umesindo1234 subscribed with Prime. They've subscribed for 41 months! ウメちゃんこんにちわ
[2876.216] (M)Moobot: @UMESINDO1234さん、41ヶ月目のサブスク登録更新！ありがとうございます！
[2878.694] mmiiacha: 妖怪ジンバル隠し
[2879.802] ねこざけ: なくしたんやろ
[2880.926] ddb365: 存在しない泥棒
[2881.729] ﾃﾄﾗﾝ: ジンバル専門の泥棒が
[2882.737] chandio2251: どこでだよｗ
[2883.925] (S)gyu_nyuu_pann: んえええ…
[2885.158] potocki1810: 悲しみｗ
[2885.274] enuemu3: 石井プロほんま
[2885.568] domontyan: えw
[2886.333] akiaki0612: なぜかモノなくなるよね
[2888.418] みそらの: ※なくしただけで、盗まれたかは不明です
[2904.036] じゃむじゃむお: どうせ散歩配信の後に酒のんで店に置き忘れた
[2907.666] 4444446666: 石井に売ったやつはウメハラが使いこなせなかっただけだろwww
[2908.502] endo_3: この世の悪意を一つ解消するために使った
[2908.857] (S)teruharu_: ジンバル神隠し
[2911.018] (S)mochico0141: ジンバル狩り
[2912.860] akiaki0612: 同じの買えばよかったじゃん
[2917.875] ke__nn: なんだ、無くしただけか
[2918.052] 4444446666: なるほど、無くしたのか
[2921.164] 玉蘭: かいせつたすかります
[2921.490] (S)wakeup623: I saw your Topanga interview, but didn't see you play any of the qualifying match. I hope to see you play in the tournament.
[2923.904] donekofg: あんまもの無さそうなのにね
[2927.700] kaigaizei: なくしたものを盗まれたっていうのはボケの初期症状・・・・
[2927.937] (S)murabito06: 靴下とかね
[2928.059] (S)tabibitox: ちゃんと管理してないから
[2929.128] domontyan: わかる
[2929.675] ame512: ジンバル盗むとか玄人すぎるｗ
[2931.762] ある_____: エネルギー保存の法則ってやつですね
[2932.223] ﾃﾄﾗﾝ: 物それぞれに専門の妖怪がいるからな
[2932.658] れとぅ: 何もないところから生まれたからね
[2942.069] rxz_2017: 👃
[2943.851] low_single: たまたま格ゲーマーに出会わないかな
[2946.079] 4444446666: ボケの初期症状わらった
[2953.039] akiaki0612: 家モノだらけとかじゃないよね？
[2955.702] osirisoft: きちんと置く場所決めてないからだって誰かが言ってたよ
[2959.147] jake_the_lake_man: what a beautiful city
[2959.967] (S)gyu_nyuu_pann: 沈丁花とかかなぁ
[2961.083] rafaelvascc_2: yo, whats up?
[2971.919] 4444446666: ジンバルよく買うね。ガジェットYouTuberですか？
[2976.138] une3333: ウメちゃんの部屋とかどうなってるんだろう...w
[2981.097] (S)tabibitox: 使ったら同じ場所に置くってこともめんどくさがりそうｗ
[2985.012] akiaki0612: 子供の頃、部屋汚かった。
[2987.378] rafaelvascc_2: daigo just chilling?
[2994.916] omega_blackFGC: ya
[3003.090] 4444446666: yes just chiling
[3004.059] ねこざけ: 電動キックボードけっこういるね
[3009.317] チー油: チー油 subscribed with Prime. They've subscribed for 44 months! 
[3009.369] (M)Moobot: @CHIIYU_SAMAさん、44ヶ月目のサブスク登録更新！ありがとうございます！
[3019.787] jake_the_lake_man: where we going?
[3023.733] ある_____: そこ左？
[3028.461] 4444446666: 今どこ向かってんの？
[3030.925] ke__nn: 國學院大学？
[3040.380] ねこざけ: 人生おおきく学ぼ？
[3041.229] omega_blackFGC: idk but I'm enjoying the ride
[3044.382] みそらの: He'll goto Aoyama to
[3045.643] akiaki0612: はいろ
[3056.677] 4444446666: 青山向かってんのか
[3063.090] (S)Areca129: ウメさん今から大学で勉強したいこととかあります？
[3068.066] osirisoft: 学食食べない？
[3068.528] une3333: 新緑がキレイでいいなぁ
[3076.365] 4444446666: 住む場所見つけるには青山は興味ないと思ってた
[3081.348] ~MISSING_COMMENTER_INFO~: 確保！
[3086.310] potocki1810: 捕まらないでーｗ
[3089.350] (S)justinanasisan: 入るのも学食食べるのも自由やで
[3089.579] une3333: 流石に捕まらないと思いますけどw
[3096.387] 3_dots: Corgo100
[3096.732] (M)Moobot: 3_dots さん、ありがとうございます！ 
[3098.887] akiaki0612: 『講演してやるから入らせろ』
[3103.391] rafaelvascc_2: btw, there is a brazilian channel called Baka Gaijin, the guys just wanders around Tokyo showing the city and the alleys
[3103.714] ねこざけ: あなたは何も知らないのね
[3106.484] みそらの: chilling って何かと思ったら、リラックスとかゆっくりするって意味か
[3110.055] rafaelvascc_2: just like that
[3111.242] une3333: 大学って大体一般の人ふらーっと入れますね
[3113.368] ~MISSING_COMMENTER_INFO~: 院じゃなきゃ専門的なのはあんまないよ
[3121.064] ﾃﾄﾗﾝ: 一般人でも入れる学食は珍しくないよ
[3127.081] (S)gyu_nyuu_pann: 学食は一般の人でも入れるよ！安いしうまい
[3129.792] ke__nn: 國學院久我山は井口資仁の出身
[3167.503] akiaki0612: 日本語学とかは？
[3167.629] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[3167.744] kitori_17: 経営者向けのとかになるのかなあ
[3167.758] ねこざけ: 國學院の学食は何か名物ある？
[3173.845] 5don: 受験用の勉強はトレモ
[3176.695] (S)gyu_nyuu_pann: そういうのは選ばなければいい
[3181.782] jake_the_lake_man: is this tokio then?
[3182.217] (S)justinanasisan: 外国語がいいよ
[3182.839] une3333: 風水とか？
[3184.829] (S)issui_orga: issui_orga subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! 
[3184.915] (M)Moobot: @ISSUI_ORGAさん、サブスク登録2ヶ月目！
[3185.101] indobazaar: サーベルタイガーかな
[3191.776] ~MISSING_COMMENTER_INFO~: 中国からだよね
[3191.972] ﾃﾄﾗﾝ: ボン栽
[3191.983] (S)wakeup623: Someone should make a map of all the places daigo has walked lol. I bet he has walked everywhere by now.
[3194.754] (S)gyu_nyuu_pann: 映像心理とか 宇宙とか？
[3195.406] mogugu67: 宇宙〜
[3196.018] (S)tabibitox: ググれ！
[3197.090] qwertyu4769: 歴史はおもしろいよ
[3201.478] (S)murabito06: 調べたらいると思うよ
[3203.196] みそらの: 造園から学んでいきますか～
[3208.726] ~MISSING_COMMENTER_INFO~: 文化史かな
[3218.707] (S)ほっきょく: 道なりにずっと行くとコカ・コーラ本社が左手に見えてくるよ
[3221.714] (S)gyu_nyuu_pann: 文化史いいね
[3223.260] ねこざけ: ウメさん好きそうだし古代生物について学ぼう
[3227.405] peyangoo: 埼玉に盆栽町っていう盆栽の有名なところあるで！
[3227.436] balthazar000: 中国じゃなかったかな。小さな箱に庭作るとかそんな感じのから発展したとか聴いたことある。
[3227.531] ﾃﾄﾗﾝ: 三国志とか学ぶのも面白いよ
[3227.747] une3333: 香道とか？
[3228.109] jake_the_lake_man: he walks to find the next challenger
[3232.057] ke__nn: プログラミングは研究してみたい
[3232.318] じゃむじゃむお: 日本の風俗史とかうめちゃん好きそう 穢れの文化とか
[3240.403] れとぅ: 家建てないの？
[3242.088] ~MISSING_COMMENTER_INFO~: でも日本は一見だとどこも同じような風景だねぇ
[3244.465] rafaelvascc_2: lol
[3249.205] (S)issui_orga: 体系的に学べるのが面白いんじゃない
[3250.325] rafaelvascc_2: or wild pokemon
[3255.399] kitori_17: 師匠に教わる系がいい？
[3257.118] kimie_white: 風情がいいね
[3258.550] ~MISSING_COMMENTER_INFO~: ググるだけじゃ頭使いながら学べないよね
[3258.825] donekofg: 面白い講師の話がききたいのか
[3259.481] rafaelvascc_2: daigo, play pokemon go, please
[3261.304] (S)tabibitox: ゆーて本探すの面倒じゃん？
[3262.084] rafaelvascc_2: :D
[3262.672] (S)gyu_nyuu_pann: 大学の講義にはぐぐるだけじゃわからない魅力があると思う
[3268.825] みそらの: ウメさん、城下町って歩いたことある？って聞こうとしたけど、よく考えたら東京って城下町だったｗ
[3271.640] balthazar000: 都会は表通りの裏通りの違いくらいよなぁ
[3278.704] ねこざけ: 医学はどう？
[3278.774] ~MISSING_COMMENTER_INFO~: 東京より大阪とか京都に住むと散歩も楽しいかもよ
[3279.335] mogugu67: ブラックホールが気になる
[3285.179] (S)たなかん: たなかん subscribed with Prime. They've subscribed for 7 months! 
[3305.708] akiaki0612: カプコン、正社員の平均基本年収を30％増額へ
[3317.192] みそらの: ブラックホールの写真とか見ててスゲ～って思いますよね
[3329.490] みそらの: 30%はでかい！！
[3330.849] あかの: ひえー
[3332.990] balthazar000: ずいぶん前のニュースじゃない？
