[0.436] nihonsyu_: kskｗｗｗ
[1068.278] Mrk111: 地元民いわく食える店全然ないらしいよ
[1069.460] そらたま: ラーメン🍜さっきのニンニク入れよ
[1070.825] shifoncafe: 有名な店あるんかな
[1071.123] ペプシ男: シュートだけチョコチップスティックな
[1072.857] kame277: パンで腹一杯まで食おう
[1073.246] (S)清潔なおしり: カニとか食いたいな
[1076.138] (S)junjamaica: サンミー うまいぞ
[1076.396] norishio523: 鹿角ならホルモンかな
[1077.532] (S)まとご: ウーバーKSK
[1077.599] 有栖川333: 鍋よさそー
[1087.225] (S)~MISSING_COMMENTER_INFO~: よっほー
[1090.732] ebifuryai: 休憩中にメンチカツがうまいとこがあるって言ってた人がいたな
[1094.480] momochan6: 定食屋とかあるな
[1094.832] 動画勢0: たかの目で牛角さがそ
[1096.311] buretan555: 近くにマックスバリューとかホルモン屋あるから最悪それかな
[1096.656] CSGOShadoow: Where are they going
[1097.159] nosveral: 車内のニオイの増減
[1099.354] tategami: ホテルのラストオーダー19:30！？そんなことある！？
[1103.049] Frasco006: くびかりぞく
[1103.052] yamada12321212: 隣の晩御飯も視野
[1106.109] (S)景彡才支: ファミチキ
[1106.261] かふぇらて_: さっきまでいた毛馬内とかに戻るしかないかも
[1109.057] Mrk111: メンチカツのとこ18時までなんです
[1109.609] (S)泣き虫サクラ: 十和田湖が近いのか
[1110.858] (S)patriot_ryoma: 小坂はブランド豚の桃豚がおすすめ
[1113.896] homerttdi: What is ge doing?
[1114.270] samanther9: googleマップで見る限り、ホルモン屋ぐらいっぽいね
[1115.215] (S)れく太: from sendai(miyagi) to hirosaki(aomori)
[1118.171] tw_numa: かづのと何回言えば
[1121.315] chanmipoin: ビーフシチュも旨いよ
[1122.350] あば2: ホルモン幸楽とかうまいですよ
[1133.286] 芋之山: w
[1137.361] 動画勢0: ２件までてｗそういうもんなの？
[1137.916] HirocoT: patriot_ryoma: 小坂はブランド豚の桃豚がおすすめ
[1139.998] (S)~MISSING_COMMENTER_INFO~: 小坂はブランド豚の桃豚がおすすめ
[1141.857] (S)junjamaica: カフェなら逃がさねぇ
[1144.181] homerttdi: Daigo has decided to hike across japan ?
[1145.024] モーーーー牛: オヤジの行軍
[1145.949] リンダマンさん: 小坂はブランド豚の桃豚がおすすめ
[1148.107] Hikaru_256: そんなコメ閲覧性低いのかｗ
[1150.013] 有栖川333: 桃豚だって
[1150.053] dskbsouryo: 小坂はブランド豚の桃豚がおすすめ
[1152.152] shifoncafe: へー
[1153.844] (S)ishiwata1234: みんな優しいw
[1155.164] (S)kkshkk: 疲労回復だ
[1156.263] Roze1019: 強調ｗｗ
[1159.408] tokiomari: 白金豚といい豚多いな
[1159.880] (S)patriot_ryoma: ホルモン幸楽 小坂店(小坂町小坂)
[1160.140] triskeal: 配信してると2～3行しか見れないらしい
[1161.091] CSGOShadoow: @verywhitypeach 
[1162.779] momochan6: とんかついいなあ
[1163.317] 静声乙: 雨降ってるからねぁ
[1163.829] にとう夢の: パンがいいよ
[1164.697] もきち555: ブランド豚がいるのかー
[1165.116] かふぇらて_: 幸楽はあかん
[1167.985] yamada12321212: 桃にい
[1171.928] 0208h: ハンサム豚
[1174.332] tw_numa: 桃
[1176.402] norishio523: 幸楽はうまいけどゆっくりできないかも！
[1178.065] そらたま: 🐖
[1178.958] (S)kkshkk: w
[1179.872] kimie_white: あかんのかよｗ
[1180.066] 45tm83: ww
[1181.382] anymore777: 首狩り族
[1181.408] chamomile21: ｗｗｗｗｗ
[1182.084] (S)rm_rf__: どっちなんだよw
[1182.084] shifoncafe: どっちなんだよｗ
[1184.239] (S)~MISSING_COMMENTER_INFO~: どっちだｗ
[1185.037] (S)senseiabcd: どっちだよｗｗｗ
[1185.133] HirocoT: ｗｗｗ
[1185.501] (S)tilia211: ？ｗｗｗｗｗｗ
[1185.829] rxz_2017: アカンのかい！
[1185.874] umesecond: ｗｗｗ
[1186.032] poposuke: ゆっくりできないのか
[1186.184] リンダマンさん: もうしらん！
[1187.382] (S)dj0d4y4k4: どうすんだよｗ
[1187.419] lun__01: 情報戦w
[1187.650] sam21111: ｗｗ
[1187.776] (S)maruto2023: どっちｗ
[1188.314] chamomile21: どっちなんだい
[1188.437] chin_56_: 幸楽キャンセル
[1189.099] かふぇらて_: アカンです
[1189.246] syugi3: どっちなんだああああ
[1190.098] nail06k: UnSane
[1191.369] momochan6: あかんのかよｗｗｗ
[1191.896] umesecond: 人それぞれか
[1192.633] furu13: www
[1194.688] (S)れく太: they walk to hirosaki(aomori) from sendai(miyazaki) to see cherryblossom.
[1196.292] goldexpepe: わっかんねーｗ
[1197.967] porcupinepine: 幸楽アンチか？
[1198.188] tw_numa: 情報戦はじまっちまった
[1199.246] (S)shinobuchan4649: 覇権争いが
[1199.565] shumatsu623: 択、とおしていけ！
[1201.395] (S)senseiabcd: 情報が錯綜してるw
[1202.476] (S)_ぷっちょ_: 理由を添えてくれーｗ
[1203.202] Mrk111: 地元民複数居るんか
[1203.953] (S)junjamaica: 否定派も出てくるのねw
[1204.203] (S)ishiwata1234: 頭フリーズしちゃうw
[1205.766] komihako: その人数で行く店じゃねぇ
[1207.041] (S)mogetasan: どうせ諸説あるんだろw
[1208.897] tw_numa: 決めるのは自分
[1209.564] feel2525: 派閥が生まれた
[1209.839] norishio523: おすすめしておいてごめんなさいw
[1210.010] (S)闘劇のアルベルト: どんな店なんだw
[1210.396] 1108044k: 商売敵かもしれん
[1212.802] sam21111: ゆっくりできない店を勧めるなよｗｗ
[1215.213] Frasco006: 豚肉の美味い店ないんか？？
[1221.262] hukohuko: ちゃんとした理由ありそうだね
[1224.983] fin_fannel: 今日土曜日だもんなー、混むかー
[1228.510] syrup9000g: 地元兄ゆけ～い
[1229.080] かふぇらて_: ”味”のあるおばちゃんがひとりできりもりしてます
[1232.147] bikibiki999: えいたくんえらいなｗ
[1235.199] anaguma3: 豚肉の美味しい店募集？
[1237.564] homerttdi: Does he do this every year?
[1240.034] fin_fannel: 1人かw
[1240.642] (S)清潔なおしり: 寒いからあったけえもんもいいな
[1242.150] (S)patriot_ryoma: 伊勢家 大昌園(小坂町小坂) 焼肉屋
[1243.030] shifoncafe: おばちゃんひとりじゃきついな
[1250.697] (S)くえんち: 6度
[1252.507] かふぇらて_: だいしょうえんやってませnn
[1253.068] 動画勢0: 地元タクシーの運ちゃん任せ
[1254.776] fin_fannel: 俺バイトで行こうか？
[1258.363] donekofg: 焼肉しかないわけぇ
[1260.072] (S)kkshkk: 焼肉多いなぁ
[1260.345] かふぇらて_: 焼き肉屋潰れました！！！！！！！
[1261.730] (S)shikiso49: そこ？ｗ
[1264.548] Roze1019: そこいかなかった？
[1265.546] ukiyo55: ｗｗｗ
[1266.666] chamomile21: 潰れたｗ
[1266.820] Frasco006: 詳しい人おるなｗ
[1267.227] cqc5555: w
[1268.423] shifoncafe: やってねーのかよｗｗｗｗｗｗｗｗ
[1269.475] そらたま: 潰れたw
[1269.502] donekofg: 潰れたって
[1270.029] (S)senseiabcd: 潰れたってw
[1270.661] HirocoT: ｗｗｗ
[1270.817] sa_tou: 潰れたｗｗｗｗｗ
[1271.472] (S)junjamaica: どんなけ肉くうの
[1272.138] anaguma3: ｗｗｗ
[1272.184] Roze1019: ｗｗｗｗｗｗｗｗ
[1273.375] ebifuryai: つぶれたｗ
[1274.254] poposuke: ｗｗｗ
[1275.108] rxz_2017: ｗｗｗ
[1275.130] as6623: 最悪コンビニで飯買うか～
[1275.388] mmiiacha: ｗｗｗｗｗｗｗ
[1275.657] (S)yubel8: 潰れたｗｗ
[1275.827] aranami0: ｗｗｗｗｗｗｗｗ
[1275.871] (S)憂う者の弟子: つぶれますた
[1277.307] Mrk111: ほんとだ潰れとるwwwwwww
[1277.564] fin_fannel: やってねーw
[1277.579] mozu_882a: 草
[1278.791] akasanz3x: 潰れてるｗｗ
[1279.331] (S)nanddeya: ；；
[1279.873] tokiomari: 情報が古いｗ
[1280.412] (S)闘劇のアルベルト: 潰れてたー
[1281.387] もきち555: 2日めと同じ名前ｗ
[1281.639] hukohuko: 嘘でしょww
[1282.061] リンダマンさん: そこつぶれてたーｗ
[1282.615] anaguma3: 色々酷いｗｗ
[1283.466] chin_56_: 秒で潰れた
[1284.731] maddy2623: せちがれー
[1285.426] Frasco006: 後の先取ってくるやんｗ
[1285.829] syugi3: 飛び交う情報
[1286.346] アベ0206: 新情報きたな
[1286.465] kimie_white: 地元民しっかりしてくれｗ
[1287.517] (S)marimo83: 草
[1287.868] LEE4646: つぶれた情報は貴重ｗ
[1290.369] donekofg: チェーン店か？
[1290.653] sam21111: 頑張れｗｗ
[1291.484] Roze1019: つぶれた店はいらんぞ！
[1291.636] latenight000: ふふ、”世知辛い”
[1295.364] tw_numa: これが情報戦か
[1296.783] shifoncafe: 地元民なんとかせーやｗ
[1299.821] sa_tou: 地元民頼むｗｗｗ
[1301.901] (S)rm_rf__: 逆に知らなくて行かなくて良かったな
[1302.027] れんぞね: 何もない炭鉱町だからねえ
[1304.521] (S)senseiabcd: 地元民の情報全部だめやんw
[1304.793] momochan6: ｗｗｗｗｗｗ
[1306.291] (S)junjamaica: 寒いし温まる鍋とかは？
[1306.522] かふぇらて_: 地元民ですら進められるところどこにもないｗｗｗｗｗｗ
[1306.526] そらたま: チキンラーメン ニンニク🧄入り
[1306.739] sam21111: 地元民がんばれｗｗ
[1312.715] HirocoT: パン屋ｗ
[1313.096] Mrk111: 奈良岡屋って定食屋があるけどこれは？
[1317.170] moch__ky: なんでコメントこんな偉そうなんだ？？？？
[1317.327] syagami: なんもあらず！？
[1318.523] (S)marimo83: お店ないんじゃないのｗ
[1321.128] onigiri21: ここ２～３年でマジ飲食店潰れてるからな～
[1321.143] (S)泣き虫サクラ: 原理主義者
[1321.334] umesecond: いいみせないか？
[1322.736] (S)mart_00_: 幸楽いいやん
[1322.872] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1324.609] anaguma3: 地元民がんば！
[1327.741] のぞみくん: "ない"w
[1328.846] 1108044k: 小坂とか行ったことない
[1329.302] potocki1810: だんごさん、最後まで行けそうでよかった
[1329.907] low_single: ちち家というホルモン焼肉店がホテル近くにあるよ
[1331.315] syrup9000g: 流石に何か店くらいあるっしょｗ
[1333.399] かふぇらて_: ホテル隣接の青銅館に19：30までにまにあわせよう！！！！！
[1334.388] chaka_97: 大館市まで車で20分走れば、ホルモン幸楽お薦めです！
[1336.426] (S)pgr33: 地元民おらんやろw
[1341.244] (S)baebae_6: もう呂律が
[1344.238] buretan555: 前日との落差やばそうだな 今回の宿
[1344.965] chin_56_: なーんもないね
[1346.715] takahashiseigi: kskさんのhuel、6人分飲んだら？
[1347.656] syrup9000g: あなたさぁ～ｗ
[1348.191] tw_numa: また幸楽戻ってきたやん
[1348.471] 有栖川333: やはり幸楽なのか？？
[1351.689] (S)senseiabcd: ｗｗｗｗｗｗ
[1352.240] (S)marimo83: 草
[1353.671] poposuke: 大館のほういく？
[1353.827] kame277: w
[1353.974] かふぇらて_: 大館までいけばなんでもあります！！！！小坂は終わってます！！！！
[1356.141] ウダガール: ループｗ
[1356.456] porcupinepine: ループ草
[1357.712] 1108044k: 大館は別じゃね
[1357.894] shifoncafe: 幸楽にもどったｗ
[1360.270] (S)rm_rf__: 幸楽いくか！
[1360.825] (S)憂う者の弟子: おばちゃん！
[1362.186] tw_numa: 終わってるw
[1362.688] bikibiki999: ああそういうことか
[1363.456] Mrk111: 大館できりたんぽたべよ
[1364.140] もきち555: アンチとの戦い
[1364.677] poposuke: 小坂は幅がなさそう
[1368.022] akasanz3x: 大館いけとｗ
[1368.695] yuubinya: 小坂にあるわけないやろ！
[1368.882] sam21111: ループものか
[1369.293] junpei_11: 小阪は終わってる
[1370.475] yamada12321212: ウーバー兄ぃに頼も
[1371.002] poposuke: 大館まででたら都会っぽいぞ
[1371.280] onigiri21: 幸楽の知識が増えていく
[1374.496] myaaaaaa123: こうなると幸楽気になってくる
[1374.736] (S)kkshkk: きりたんぽいくか
[1375.561] あば2: 大館にいくとデカい幸楽があるよ
[1375.727] (S)senseiabcd: この地域はホルモン幸楽しか択がないのかｗ
[1375.843] bikibiki999: アンチじゃなくて優しさじゃねえか
[1378.050] ukiyo55: 大館までいけばなんでもあります！！！！小坂は終わってます！！！！らしいぞ
[1379.473] Mrk111: 大館が…都会…？
[1379.797] (S)Spike_rod: 幸楽は8人で行く店じゃないらしい
[1380.068] (S)景彡才支: 隣町の方の幸楽だよ
[1382.341] low_single: 鹿角戻って鹿角牛食うか
[1389.121] ~MISSING_COMMENTER_INFO~: よくそんなところにホテルだけあるな
[1390.963] pascal171012: 小坂店じゃなくて大館店の幸楽ですよ
[1392.486] (S)junjamaica: NPC情報つかんでないのか？
[1393.612] maddy2623: 逆に気になるな幸楽
[1393.732] kirakiracat331: 大館行けだって
[1395.856] junpei_11: 小坂アンチおるな
[1401.192] shifoncafe: おーなるほどね
[1404.042] porcupinepine: 幸楽も一枚岩じゃない感じだ
[1406.457] 1108044k: おおだて
[1406.995] yuubinya: 鹿角か大館ならくうとこある
[1408.100] (S)noriakiisreal: おおだて
[1408.203] PUCHU7788: キャラ差
[1408.438] syrup9000g: ｗｗｗｗ
[1408.642] kirin_humi: おおだて
[1409.124] chamomile21: おおだて
[1410.202] あば2: おおだて
[1410.725] Mrk111: おおだて
[1410.931] poposuke: おおだて
[1411.036] (S)kkshkk: おおだて、じゃね
[1411.619] akasanz3x: おおだてな
[1414.046] かふぇらて_: ホテルある理由は国際資源大学校が隣接してて海外の人たちが住んでます
[1414.301] hukohuko: 幸楽しか店がないwww
[1415.448] (S)ninjin125: 大館か鹿角に行かないと飲食店ないですね
[1417.554] balthazar000: 戦いが起こっているな
[1419.971] momochan6: 大館いくのはありだな
[1423.921] tw_numa: 大館ゆけーい
[1428.257] lstang: EVO並に情報が錯綜してる
[1431.107] anaguma3: ちち家というホルモン焼肉店がホテル近くにあるよってさ
[1431.345] アベ0206: 大館は観光地だからありそう
[1432.691] 静声乙: 大館は比内鶏だなぁ
[1432.755] (S)rm_rf__: なんでこんな幸楽詳しくなってくんや
[1433.722] umesecond: 幸楽っていう名前なのに荒れてる
[1433.848] takahashiseigi: 店屋、一択もなしかw
[1434.973] 1108044k: おおだて行った方がいいのはマジ
[1437.256] (S)ninjin125: 大館の方がお店多いですよ！
[1439.302] yuubinya: 車でええからおおだておすすめ
[1439.812] かふぇらて_: 小坂民です大館いってください！！！！
[1444.496] (S)patriot_ryoma: 大館なら渓鶏庵 (けいけいあん)
[1445.204] shifoncafe: うまそうだな幸楽
[1446.547] Mrk111: 大館車で20分で行けるの？
[1446.707] chaka_97: 大館市まで車で20分走らせればホルモン幸楽大館店があります。6人席もあります！
[1446.841] low_single: 奈良岡屋っていう定食屋もあるよ
[1447.044] tw_numa: 小坂市民がww
[1448.583] osman_kotarou: 道すがらドライブインはないの？
[1449.638] パイモン狐村: おおだての方が店は圧倒的
[1451.211] lambdaw2of: 大館は比内地鶏の産地やで
[1453.466] kirin_humi: もう大舘の近くまで来てるんだ…
[1458.445] yamada12321212: 無能ｗｗｗ
[1461.156] momochan6: 大館は情報いっぱいでてくるなｗ
[1465.104] (S)mogetasan: 小坂ってなんなのw
[1466.200] tsubame0614: 小坂市民ｗ
[1467.023] (S)patriot_ryoma: 大館なら渓鶏庵 (けいけいあん)とか
[1467.993] (S)hone253: Twitterの方へ送ったら？
[1469.330] maddy2623: 小坂民ギブアップ出たぞ
[1469.541] kame277: コメントさかのぼってよ！
[1471.397] Frasco006: コメ稼ぎエグイってｗ
[1471.829] (S)憂う者の弟子: おおだてならなんでもあるそうだぞ！！
[1472.241] れんぞね: 小坂は市ですらないってば！
[1473.393] (S)baebae_6: 小坂市民から避難警告きてるぞｗｗｗｗ
[1475.540] chamomile21: 大館はいっぱいあるみたいだね
[1476.729] nishikawa_kun_: とんかつ栗平 っての近くにあるよ カツラーメンメインのｗ
[1479.799] はーげんだっつ: だいぶ暗くなったなぁ
[1480.768] (S)ishiwata1234: 大館へ
[1481.368] yuubinya: おおだてや！
[1481.416] (S)Spike_rod: とりあえず大舘いけばよさそう
[1481.717] はおすけ: チャンネルポイントなくなっちゃう
[1483.750] Roze1019: 大館のがいいっぽいな
[1485.178] ラリぶべぼ: 縦にせー
[1485.233] (S)brutal9998: 隣町の大館にあるきりたんぽ
[1486.574] 有栖川333: 渓鶏庵だって
[1489.398] ライム_: 読め！読め！
[1490.074] hirarilemon: カツカレーとかならあるみたいだけどｗ
[1493.948] (S)pgr33: 大館オススメわろたwwwww
[1495.930] 静声乙: 大館結構遠いけどワープしてもいい山道
[1497.324] poposuke: 流れ早い＆配信者側は3行しかまともに見れない＆1行手風防で見えず
[1498.335] pascal171012: けいけいあん
[1500.093] (S)brutal9998: 元祖むらさき
[1503.936] かふぇらて_: おおだてにいって！！！！！！！！！！
[1505.744] 1108044k: きりたんぽはどうかなぁ
[1505.795] bikibiki999: けいけいあん
[1506.034] chinpocor: 地元民もっと連投するんだ
[1507.017] low_single: 小坂にお金落としてー
[1507.027] 芋之山: 大館市まで車で20分走らせればホルモン幸楽大館店があります。6人席もあります！ らしいぞ
[1507.423] 有栖川333: 渓鶏庵！！
[1509.949] sansiki205: 大館に伝説の剣あるぞ
[1510.119] kame277: 魚は食ったの？
[1510.902] zucchieeeni: 大館ならきりたんぽうまそう
[1524.446] onigiri21: 地元民活き活きしててええな
[1524.774] jacofrost: 幸楽って泉ピン子が働いてそうな名前だな
[1525.547] maddy2623: きりたんぽ反応薄いけどうまいんだぞ
[1525.909] syugi3: 冷えた体にきめていくかね
[1528.451] lambdaw2of: 大館で比内鶏の親子丼食えばええやん
[1529.151] かふぇらて_: 大館の幸楽はｵｽｽﾒ
[1530.310] kurone_2022: 6人ってKSKは入れないな
[1530.411] (S)brutal9998: きりたんぽの元祖むらさきか昔のきりたんぽや
[1530.455] Mrk111: 花善の鳥飯弁当食いてえ
[1533.131] ebifuryai: 鍋しみるだろうな 寒いし
[1536.554] umesecond: 6人席ってKSK立つの？
[1540.197] shifoncafe: 寒いし焼肉がよさそう
[1540.520] lun__01: おもてなしやな
[1541.582] (S)景彡才支: 大館はいっぱい店アルネ
[1542.795] anaguma3: 大館なら渓鶏庵 (けいけいあん)とか
[1543.271] momochan6: 地鶏いいなあ
[1543.657] bikibiki999: きりたんぽ食いたいけ？ｗ
[1547.336] kirin_humi: まぁ、ね…
[1548.647] Roze1019: 肉がくいてえのか？
[1549.433] (S)ninjin125: ここからならホルモン幸楽が近いしオススメ
[1550.039] norishio523: 秋田に有名人来ることほとんどないから、私も含めて浮き足立っちゃうんですw
[1551.481] (S)レトロじじい: やっぱ肉食いたいよな
[1552.183] aranami0: きりたんぽどうして・・・
[1555.542] tabibitox: 肉が食いたいだろう
[1558.915] fin_fannel: ksk立ち食い？
[1560.484] (S)kkshkk: きりたんぽ旨いのに
[1560.703] はーげんだっつ: きりたんぽは有名なだけど別に美味くは。。。
[1561.325] poyoyon915: うめちゃんすいとん苦手だけどきりたんぽはどうなんだろ
[1561.564] potocki1810: 幸楽のホルモン鍋めちゃおいしそう
[1561.596] mozuk310: 美味しんぼのきりたんぽ回読むと食いたくなる
[1562.331] bakedonion: 規模とか考えてあげて
[1563.263] 動画勢0: けいけいあん８人いけるの？
[1568.986] tooyasan1: きりたんぽはまあ万人にうけるってわけでもないし・・
[1574.875] かふぇらて_: とりあえず大館行こう
[1581.833] kasukabeharu: さむそうだけどいい雰囲気だ
[1582.081] TOYBOTA: 寒そう
[1582.517] chaka_97: 小坂町は炭鉱で栄えた街でした。今は閉鎖して後の名残みたいな町になってます。
[1593.185] shifoncafe: へー
[1593.311] ebiebi12: きりたんぽうまいけどね。
[1595.445] momochan6: へえ～
[1596.699] vertyogo: 🍿👍
[1597.247] 芋之山: 悲しいコメが…
[1599.927] 有栖川333: 渓鶏庵いけそー
[1600.558] poposuke: 早めに目星つけて予約しないと、だから情報欲しいね
[1602.163] nishikawa_kun_: きりたんぽの良し悪しでバトル始まってるな
[1604.316] bikibiki999: けいけいあんは蕎麦じゃんｗ
[1604.468] Mrk111: 焼いて味噌塗ったきりたんぽが好き
[1607.926] chinpocor: 小坂に詳しくなっていく俺たち
[1611.861] かふぇらて_: クリスマス発祥の街です
[1613.157] (S)patriot_ryoma: 秋田比内や 大館本店 は？
[1613.910] junpei_11: 小坂復興のために行こうぜ
[1615.064] (S)pgr33: きりたんぽはよ紹介せい
[1616.478] shifoncafe: そば食ってどうすんだよ
[1619.713] balthazar000: KK庵
[1621.414] fin_fannel: 炭鉱で栄えた町なのか…
[1623.894] 下からよんこ: 秋田比内や 大館本店
[1624.693] osman_kotarou: ヨッホーmade
[1624.993] (S)junjamaica: 幸楽めっさ、うまそうやん
[1627.726] 動画勢0: 肉１択でしょ
[1628.431] akasanz3x: そばはわんこそばでもう食ったわ
[1630.508] brunoman1: 比内地鶏の店とかないの
[1631.946] (S)闘劇のアルベルト: クリスマス発祥！？
[1632.512] osman_kotarou: ヨッホーまで戻るしかないか
[1633.661] ebifuryai: 昼ならありだったk
[1637.648] momochan6: 比内地鶏の焼き鳥とかないんけ
[1641.532] Mrk111: ここの赤いとこのメンチカツがうまい
[1643.989] poposuke: 鶏が有名らしいぞ、鶏はええんか
[1645.644] (S)清潔なおしり: ガッツリ食いたいんだな
[1648.336] kasukabeharu: 比内地鶏おいしい
[1648.347] kame277: 海鮮の店いった？
[1653.096] furu13: 鍋とかないの？
[1656.277] ドリアンくん: 比内地鶏は美味い
[1656.623] びぶお: 渓鶏庵食べログ3.06でした
[1657.670] 1108044k: 比内地鶏はガチ
[1659.181] Frasco006: ホルモンみんないけんのか？
[1659.542] (S)junjamaica: 鍋がメッサうまそう幸楽
[1660.143] 静声乙: 大館なら比内地鶏スープのラーメンとかあるよ？
[1660.833] みょんみょんあかみ: お弁当屋さんなのね
[1661.090] zucchieeeni: 大館って比内地鶏の本場でしょ？
[1664.532] nosveral: 夜になると妖怪が現れる
[1665.082] syugi3: 体力の回復もかねてがっつりめか
[1665.698] punch_n: おいちい っていう店は
[1670.596] cafe_gondo: 先二人はファミマ入ってます
[1678.920] lambdaw2of: 比内地鶏の生産地だから
[1679.711] (S)しゅごいよ: どしゃぶりだな
[1681.384] (S)Spike_rod: 結構降ってんなー
[1682.504] Mrk111: しっとりしてきた
[1686.783] syrup9000g: ウメちゃん？
[1688.712] potocki1810: あがらないｗ
[1689.978] hanao_t: フード取りたくなった
[1690.158] HirocoT: umeGrin
[1690.700] ebifuryai: かぶれない
[1690.939] fin_fannel: シャワーレベルw
[1691.089] junpei_11: フードケミファかぶれず
[1691.299] 5don: 蒸れるのね
[1692.413] poposuke: むれるからね
[1694.474] aranami0: 湿りハラ
[1696.083] (S)tilia211: ｗｗｗｗｗｗｗ
[1696.417] chin_56_: ハゲるよ
[1697.179] kimie_white: さすがに？
[1697.800] shifoncafe: 雨強いな
[1697.962] syrup9000g: 拒否ｗ
[1698.180] HirocoT: おおー
[1698.285] tabibitox: 愛
[1698.586] kebiisi: カキカキ
[1699.457] chamomile21: さすがに？
[1699.772] one596: www
[1700.268] mmiiacha: 拒否ｗ
[1700.312] poposuke: ぎゅっ
[1701.199] ちぶるすきー: あめやばいからカーに乗ろうぜ
[1701.678] 5don: ギュッ
[1702.078] (S)ninjin125: 比内やとみくらってお店も良いかも
[1702.092] lun__01: ハグ拒否
[1702.371] kaigaizei: ﾋｭｰ!
[1702.875] oh_yama329: ｗｗｗｗ
[1703.052] shochann: 拒否
[1704.677] (S)junjamaica: シャットアウト
[1704.727] (S)~MISSING_COMMENTER_INFO~: 拒否ハラ
[1704.960] rxz_2017: ロマンのシュート
[1705.144] prosciu: カフェさんファミマに
[1705.251] Frasco006: やんわり塩対応ｗ
[1706.172] delpel10: もうちょい先に面白い店名が待ってるｗｗ
[1706.535] kuniyoshi8: これは嬉しいだろ
[1708.724] (S)rm_rf__: 雨凄いな
[1709.716] (S)昼さん: よかったねぇ
[1710.200] fin_fannel: 軽く拒否w
[1710.326] (S)闘劇のアルベルト: ハグブロッキング
[1711.322] danny_love_danny: だが断る
[1713.714] (S)ガヤン0521: シュート良かったねぇ
[1713.835] butaki3: 拒否
[1714.168] Mrk111: あと1kmくらいかな？
[1715.157] (S)shinobuchan4649: 若手はロマンがないと
[1716.253] (S)gyu_nyuu_pann: 雨すごい
[1717.379] suginaka56: ❤️
[1717.545] shochann: これはきちぃ
[1719.969] みょんみょんあかみ: わかる気がする
[1720.863] tw_numa: この旅…雨エンドなのか？
[1721.560] kame277: しゅーとがんばれ
[1722.370] latenight000: レッツゴーシューティーン
[1722.970] yamada12321212: 名物はよ
[1723.735] そらたま: ハグキャン
[1723.975] (S)brutal9998: 元祖むらさき凄い広そうだけど
[1724.072] LEE4646: こういった旅って絆が強くなるよね
[1726.779] 有栖川333: ロマキャン
[1727.573] (S)junjamaica: しゅーとちょっといってもた？
[1727.658] lstang: ハグ逆エイジス
[1728.755] onigiri21: ﾒｼﾞｲｺﾞ
[1733.093] shifoncafe: 幸楽でいいじゃん
[1736.626] tw_numa: もう幸楽じゃんね
[1740.790] bikibiki999: 大館の幸楽に決まりそう
[1742.708] (S)gyu_nyuu_pann: ﾒｼﾞ
[1743.134] pascal171012: 幸楽予約しよ
[1743.307] rxz_2017: 桜きれ～
[1745.474] かふぇらて_: 飯は大館の幸楽でいこう
[1748.906] (S)ninjin125: むらさきは居酒屋だったかな
[1753.479] totokarutyo: うわー雨がすげえ
[1755.602] Salt010: 🌸
[1756.969] (S)やあああ: えいたのiPhoneめっちゃ明るいな
[1763.498] low_single: めんどいから幸楽でいいでしょ
[1767.776] kasukabeharu: 見た目より雨ふってる
[1770.655] tw_numa: 花散らしの雨やん
[1771.203] umesecond: 幸楽アンチの声届かずかｗ
[1774.502] (S)Spike_rod: 電話してみないとなんともだな
[1774.571] spring__thief: ワンチャン、kskのセンスに任せてみる
[1778.743] (S)mogetasan: あったまるもん食いてぇなぁ
[1779.620] (S)pgr33: 元祖むらさき結構美味いぜ
[1780.356] たけあき: 元祖 むらさき きりたんぽ鍋
[1785.423] 1108044k: ウメちゃんパーカーのフードはみだしてるよ
[1787.230] anaguma3: 秋田比内や 大館本店とか？
[1789.056] delpel10: 理容ハンサム 全スルーｗｗｗ
[1790.422] nishikawa_kun_: 元祖むらさき は カツ鳥きりたんぽ秋田全部詰め込んだ店
[1793.094] donoue07: 幸楽 大館 予約しようや 肉はまずくならんし確保が最優先
[1793.118] (S)junjamaica: 幸楽の鍋温まりそうだからいい思う
[1796.550] (S)brutal9998: きりたんぽの元祖むらさきキャパありそうだよ
[1801.481] かふぇらて_: 小坂の幸楽はあかんけど大館の幸楽は良いと思います！
[1809.567] totokarutyo: 泊まるのは大館なのかな
[1810.197] tabibitox: いいねぇ！
[1810.992] zyangara2: きりたんぽいいねぇ
[1811.004] danny_love_danny: きりたんぽいいなー
[1813.210] (S)ishiwata1234: いいね！
[1813.554] (S)patriot_ryoma: 『秋田比内や 大館本店』『おいちい』 『庄 北の鎌倉』
[1814.410] gomeeen: あったけえ
[1815.421] Machixile: この調子なら明日に散歩は終わりそうですね
[1818.340] (S)nanddeya: きりたんぽ・・・・
[1818.968] (S)brutal9998: 幸楽に決定
[1819.625] lstang: 幸楽にぃ歓喜
[1819.898] gasuin3: え？大館くるの？
[1819.909] onigiri21: 幸楽うおおおおおおおおお
[1820.865] shifoncafe: ホルモンありがとー
[1822.115] ferumosu: きりたんぽ人気なし
[1822.324] sa_tou: 地元民助かる
[1825.027] tw_numa: とねり？
[1825.647] aranami0: きりたんぽ鍋はあったまりそうでイイ！
[1826.004] low_single: 山越え
[1827.466] poposuke: 車で20分移動
[1828.441] NagOutSide: ホルモンうまそ
