[7.670] もきち555: こんうめちゃん
[2602.613] hotshotqq: 🚑
[2607.041] (S)ちぇんぷる: おおー
[2609.203] maddy2623: 不退転SA2
[2611.665] ryuken_future: ウメちゃん配信ありがとー
[2613.368] watasiya_channel: のみまくるｗ
[2613.487] hojihojidx: 酒豪で草
[2614.297] だいこん_: 迎え酒SA2
[2615.323] Jam10505: 今日は体調悪そうだなー
[2620.381] ビビンバ_: ガブ飲みで草
[2621.067] uwbxlwyhsiqj: それBO回復するのかw
[2624.525] delinger723: 体調悪そうで心配や
[2635.348] (S)ちぇんぷる: 疲れてそう、こんな時間だししゃあないか
[2660.506] didier_macaroni: ウメちゃん体調悪そう
[2662.013] 憂う者の弟子: 普通に風邪かもしれない
[2662.613] だいこん_: たしかDゲージ半分回復するSA2
[2665.153] TEIKETTO: ミスのフォローで咄嗟にコマ投げ出せると強いんだよねぇ
[2668.022] johndoe6523rp: ラッシュ立ち中Pしゃがみ大P地味にムズい
[2670.049] 箸くれ: 湯舟つかると頭痛治ることあるんで始まるまで風呂浸かってみたらどうだろう
[2672.271] majinkotv: 最近ちょっと観れてなかったんですけど、ジェイミーは面接通ったんですか？
[2676.400] (S)hoshi_boshi_0: BOをSAで復帰できるって結構特権だよな
[2690.319] asa2023ku: OD雷撃は相当やば技
[2696.459] modemoodmode: ウメハラってなんでルークはつかわないの？
[2707.203] kazumetal: スト6の新キャラなだけあってゲージ周りとのシナジーはあるよなぁ
[2738.387] maddy2623: うまい
[2740.149] だいこん_: すんごい
[2740.565] majinkotv: かっっこいいいいい
[2741.329] vslash00: ウメちゃん、レバレスでオート対空昇竜間に合うようになったのってレバレスに替えてからどのくらいだった？
[2747.009] ラリメモ: もしかしたら疲れから風邪の可能性があるので一度タイミング見て体温計お願いできませんか？
[2750.292] lanslans0202: Holy smokes
[2766.442] ahiruchanng: 寝起きなだけ
[2766.843] kazumetal: あの辺?
[2767.101] tabibitox: あのへんｗ
[2771.510] cafe_gondo: あのへんな
[2772.277] だわさワサワサ: 花粉症？
[2772.534] だいこん_: あのへん
[2774.888] (S)hoshi_boshi_0: あのへんww
[2775.860] v_harumi_v: あの辺ってｗ
[2776.336] eiganojaiann_: うめさんいっつも眠そうだけど
[2776.649] (S)suzan_star: あの辺了解
[2778.866] lucky7404: 眠いだけ？w
[2781.118] (S)vaio_95: いや、違くて〜
[2785.453] rise_matsumoto: 万が一もあるよ
[2790.631] 2youyou2: 肩こりじゃない？肩こり酷いと頭痛くなるし
[2794.694] vslash00: へーそうなんだ。やっぱりレバレス大変ですよね。自分も練習してるから気になりました
[2794.697] ましゅダヨ: あの辺(；'ω'∩)
[2795.231] (S)hoshi_boshi_0: 変な時間に起きると頭痛いはあるある
[2796.674] 地球最弱を継ぐもの: あの辺…？
[2797.772] johnnyppas: さっきからちょくちょくコメントで流れる高木くんと飲みに行ったって話？
[2800.006] johndoe6523rp: あの辺＝三太郎さん、高木くん
[2804.157] 狂人狼: あんまり突っ込まないであげてwwwwwwww
[2812.441] tabibitox: ごんたのとこ？
[2821.958] (S)黒猫くん: もうちょい綺麗にサイン書いてやれよw
[2825.071] chin_bell_: 高木って酒飲める年齢なん
[2827.768] (S)suzan_star: 格ゲー直後にすぐ眠れます？
[2828.218] (S)vaio_95: 高木の前ステ力はすごい
[2828.444] punch0916: どんなつながり？
[2832.197] ahiruchanng: もうすっかりスト6の人間だな高木
[2835.637] 何も知らないジョンスノウ: 中途半端に寝ると疲れ貯まるよね
[2841.413] lucky7404: 高木ってフォートナイトの？
[2841.805] だいこん_: ウ✗ハラ
[2851.865] (S)MagneticTempest: MagneticTempest subscribed with Prime. 
[2853.121] (S)hoshi_boshi_0: あの「メ」は間違えたんか？
[2854.610] v_harumi_v: 大会から寝ないで９時までってこと？それは相当お疲れ。
[2855.994] johnnyppas: さんちゃんが繋げた感じか
[2856.222] ましゅダヨ: 高木くん顔出てこない……昨日いたんだな
[2857.955] ao_456: 高木はソフトドリンク
[2860.277] 狂人狼: 高木サインもらって嬉しそうだったよ
[2862.806] vslash00: 高木君、配信でヌキさんにツボってたけどヌキさんトークしてあげた？
[2864.399] twitchyarutch: 丁寧に書いたら偽物に見えるｗ
[2866.054] ggtabtab: 酒は飲んでないってよウメちゃんも
[2867.150] cosmosgather: ウメちゃんのお話面白すぎた。モチベ上がったって喜んでたよ。
[2874.411] (S)jungokaneko: 梅ちゃん肩こりでも頭痛になるんだよ
[2875.120] K3nsh1nBrZ85: WutFace
[2879.697] だいこん_: ファンキー！
[2887.758] K3nsh1nBrZ85: Dj 
[2889.092] yut7xot8: たかぎはウメさんのオーラが半端なかったって言ってたよ！ファンになったって＾＾
[2898.124] (S)suzan_star: 健康にだけは気を付けてほしいね～
[2917.281] banana_seven777: 高木は同接が弱い
[2918.355] lucidbro: NotLikeThis
[2922.033] ましゅダヨ: ほんと、健康ありきですぜ……
[2938.672] (S)カブトシロ: 頭痛いと集中力削がれそうだな。
[2984.008] だいこん_: 止める
[3005.591] (S)nanakusan793: ロキソニンがすべてを解決してくれる
[3013.444] flashbacks18: 健康のためにトライアスロンやろうよ
[3015.061] v_harumi_v: 肩こりからの頭痛とかにも効くし、ロキソニンとかあるといいですけど、なさそうな家よね。
[3019.811] K3nsh1nBrZ85: DJ 
[3048.961] maddy2623: 我慢比べに勝った
[3054.833] chin_bell_: しゃがみ弱p結構ラッシュ止まるな
[3059.697] 地球最弱を継ぐもの: ロキソニンてそんな気軽に飲んだらあかんて医者に言われたことあるわ
[3063.391] K3nsh1nBrZ85: LuvPeekL
[3064.341] lucky7404: 弱pタゲコンまじつよい、長くない？
[3093.859] maddy2623: やるー
[3096.481] (S)hoshi_boshi_0: みてるー
[3098.387] 江田島平八んぽこ: 😏
[3108.078] K3nsh1nBrZ85: LUL
[3113.993] hikarubundoki: 眠らなくても良いので、蒸気でアイマスクとかつけてお仕事までゆったりして欲しいです…
[3120.116] hachi__hachi: SA3の追撃はまだまだ伸び代ありそう
[3121.393] v_harumi_v: この感じの辛さは気軽ではないような
[3125.858] johndoe6523rp: そういえばこないだの調整の後ラッシュ止めやすくなったって一部のプロが言ってたけど本当なのか？
[3132.229] (S)ちぇんぷる: おおー
[3135.015] (S)hoshi_boshi_0: わーお
[3141.375] lucky7404: なんか見覚えある～w
[3143.257] 江田島平八んぽこ: あ
[3156.191] サラエボ眉間: なんか最速だとたまにスカるよねこれ
[3157.133] 2youyou2: 画面端以外は遅らせ必要
[3158.867] 乱パブ本能寺: 下大Pですが早いと通りすぎますね
[3159.817] 健康な野菜: 完全に端じゃない時は遅らせしゃが大
[3160.011] alice_iwnl: しゃが大ディレイじゃなかった？
[3162.330] にしん__: 中央は2大p遅らせないとですね
[3163.705] (S)hoshi_boshi_0: 助かった
[3164.143] がぁーさん: 屈大Pを引くつけないと端以外はインパクトはいらない
[3164.780] kazumetal: 最速ダメなんや
[3164.794] hachi__hachi: 2だいp低めに当てないと入らない
[3167.977] 憂う者の弟子: ラッシュアッパーをチョイ遅らせる
[3179.397] K3nsh1nBrZ85: That air kick is pretty cool lol
[3245.781] alice_iwnl: 最速ならラッシュ 5中P ラッシュ 2中P インパクト だったと思う
[3247.189] (S)suzan_star: 美肌ライト？
[3254.183] ましゅダヨ: なるほど目疲れもありえるね
[3264.448] (M)gameinntwitch: とりあえず大丈夫そうなのでゲームしてきます。ミラー始まる頃にまた戻ってきますわ
[3278.508] ヨコグシ: お疲れ様でした
[3289.316] hojihojidx: めんおじも闘いの渦へ・・・
[3292.051] ましゅダヨ: メンおじいってらしゃい！
[3293.738] まろぷーちゃん: メンおじありがとうございます🙇‍♀️
[3326.188] v_harumi_v: @gameinntwitch はいですー。楽しいゲームタイムを～🌈
[3326.375] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[3335.675] tomken35590: OD雷撃めっちゃ打つんすね
[3342.964] ペイペー: 週末？週初めのこの時間にこの視聴数すげえな
[3350.472] K3nsh1nBrZ85: Chun li is bad match dos Jamie,  but Daigocan win even against her
[3354.247] (S)yopony: yopony subscribed at Tier 1. They've subscribed for 5 months! 
[3357.567] (S)カブトシロ: 何か呼吸するのも辛そうだな。
[3366.398] (S)suzan_star: 酒５
[3372.241] poppoporon: kumiteって何時からですか？
[3379.717] はっち_8: なんか顔が辛そうだけど大丈夫？
[3379.928] johndoe6523rp: 2時っす
[3391.763] tabibitox: 試合は2時20分から、GFは10時予定
[3399.200] sindou_ume: 酒9
[3401.154] fu11bloom: りゅうきちのルーザーズってこれから？
[3403.119] poppoporon: あざっす
[3410.718] K3nsh1nBrZ85: Lag?
[3419.443] johndoe6523rp: GF10時予定か〜ｗ
[3431.254] librabird: 試合なっがw
[3447.010] v_harumi_v: そりゃ大変だー
[3447.149] yito678: daigo play ryu
[3458.016] にしん__: 立ち中p相打ちになったら基本的には立ちコパ繋がると思います
[3475.528] (S)黒猫くん: 一生スーハーしててこっちも辛いんやがw
[3480.711] だいこん_: マ？きっつ
[3480.961] (S)suzan_star: 点辰ｶｺｲｲ
[3483.438] (S)軽く捻るか: えええ
[3484.305] Fkdso555: 8時間以上やるのか
[3484.744] (S)vaio_95: ミラーはたつやに任せて休んでもいいのよ
[3490.143] gularain: しんどかったら寝てもいいんじゃ……
[3490.962] twitchyarutch: もたんぞこれｗ
[3495.635] meganesandesuyo: 今から1時間寝た方がよさそう
[3500.419] nyata1234: 二日酔い？
[3502.683] 何も知らないジョンスノウ: 無理っぽw
[3504.026] だいこん_: ResidentSleeper
[3506.086] johndoe6523rp: 大変な仕事や
[3507.846] noritchan: ウメちゃんマジで健康気を付けてね
[3511.748] ぬーぼー2: 体内時計がバーンアウト
[3512.753] 超パンダ: え、1日で終わるのか
[3515.333] (S)ちぇんぷる: ちょっと休憩とかどう？ 
[3520.188] K3nsh1nBrZ85: LUL
[3521.018] zan_k9: 参加人数どんだけいるんだ？w
[3521.280] 八極盗撮個展: もう出た方が楽なんじゃ？w
[3531.837] playatlas: 蛇足の兄貴も一生スーハー言ってる。つまり
[3534.742] ster9908: 柔道がしたいウメハラ
[3540.294] johndoe6523rp: 参加人数は16人
[3541.086] ましゅダヨ: 無理しないでね 
[3547.849] だいこん_: また風邪引かないようにね 
[3553.074] hojihojidx: 1回風呂行けばすっきりしない？
[3554.296] わきわき: ジェイミー君はいかがですか？？
[3557.089] K3nsh1nBrZ85: Almost double P hahaha
[3563.428] (S)hoshi_boshi_0: 5先のトナメだからじっくりなのよな
[3569.177] (S)ちぇんぷる: やばいって絶対w
[3573.328] v_harumi_v: 寝起きで頭痛だと血行不良とか？
[3576.016] johndoe6523rp: ルールはシングルエリミネの5先
[3586.750] zan_k9: 16人？10までとか...5先なのかやばいなw
[3587.022] chin_bell_: 梅ちゃん無理せずな
[3613.982] (S)ichione111: ５先！！
[3624.704] johndoe6523rp: 14人＋2人って感じ
[3656.766] pakorepukins: 定期的に健康診断とか行ってますか？
[3672.710] delinger723: 雷撃つよいなあ
[3673.237] tabibitox: いつもの入場からのくじ引きで結構時間食いそう
[3674.484] josajosa: 誰か一緒に見る予定あるのかな?
[3683.352] K3nsh1nBrZ85: Sweet...toma retranqueiro kkkkk
[3695.727] hikarubundoki: 半身浴とかあったかいタオルで目を休めたりとかしてほしい…
[3697.563] kanatazx: ハイタニさんも見るね
[3698.609] (S)軽く捻るか: 長いですね
[3705.673] gularain: ながいよねー
[3705.801] moricocoa: くじ引きとかイベントもあるしね
[3708.781] v_harumi_v: 沢山楽しんでもらいたいから？
[3711.467] (S)hoshi_boshi_0: 5先だしカッコいい演出も多いし
[3715.143] johndoe6523rp: 演出やらインターバルやら？
[3715.351] (S)suzan_star: 散歩して目サマソ
[3723.061] 地球最弱を継ぐもの: まあさすがに途中で寝ていいんちゃうかな…ながすぎる
[3724.385] ましゅダヨ: 1回で全部済ます感じかな
[3725.451] gularain: 去年てどうだったけ？
[3726.499] 近未来バスター: あとコンボコンテストもあるのかな？
[3727.817] 美味しい肉食べたい: ありけんもミラーしてくれるらしい
[3729.882] gorogorogorn: 外人ニキの雑談タイム？
[3740.649] だいこん_: 今更だけどレバレスでとんおりコマンドほぼミスらないの凄いなー
[3752.704] johndoe6523rp: 前回もコンボコンテストあったね
[3757.428] tabibitox: 16人のシングルエリミ5先だから15試合×最大9バトル
[3764.467] koj100: 無影蹴は簡易コマンドですか？
[3775.967] daizin0716: CPTとは違うスト6使った多様なイベントやからね
[3777.887] 近未来バスター: コンテストはLCQだったかな
[3784.113] (S)nutsberry1701: ウメイミーの独特の酒飲み好き
[3834.014] zan_k9: 16人で日本人4.5人くらい？嬉しい限りだね
[3875.258] ruruyama0108: 今日は何時くらいまでミラーするんですか？
[3883.144] Umechan55: ウメちゃんはkumite不参加なん？
[3886.221] てべす1103: ありけんハイゲあったのに凄いな
[3901.382] 新ころりん: ビーストカップと被ってたからねぇ組手
[3905.414] (S)hoshi_boshi_0: 声かかってたけど既にビーストカップの予定入ってた
[3931.625] Umechan55: なるほど
[3938.176] tabibitox: 日本でやったクミテ以降ウメちゃんずっと不参加やね
[3940.543] (S)suzan_star: 思わずボタンチェック
[3943.816] だいこん_: 怒りのインパクト
[3969.026] user_5960: 今後ウメダルシムの予定はありますか？
[3971.147] (S)hoshi_boshi_0: また日本でやって欲しいなーこのスト6の盛り上がりで
[4004.537] pakorepukins: 眼精疲労には後頭部と首の境目のマッサージが良いですよ
[4021.158] シャンウー: YouTubeの方のコメ欄 ウメさん体調悪いんじゃって心配してる
[4027.830] (S)ちぇんぷる: あぶなーい
[4031.695] gularain: あっぷー
[4031.906] Umechan55: 花粉症では？
[4032.392] Fkdso555: インパクト投げるねr～
[4037.450] (S)kakutora_no_o: 1320点
[4040.343] tabibitox: 欧州→アフリカ→アメリカだから次はアジア濃厚
[4070.603] hojihojidx: インパクト投げ見るとアビのトリガー投げてたの思い出す
[4070.781] bakuseiha: 組み手って大体何時間ぐらいやるの?
[4077.666] (S)Dorakuma3: kmashun subscribed with Prime. 
[4078.271] johndoe6523rp: てかアイドムってマノンで出るのか
[4083.743] nanashiking2020: ハイゲでスト６盛り上がってたなあ
[4086.782] 1108044k: こんだけ体調悪くする酒でもやめられないんだから酒って怖い
[4088.942] (S)hoshi_boshi_0: 来い…日本来い…！
[4118.282] (S)ちぇんぷる: 酒4でかくかくするのだいぶシュールで笑う
[4150.769] tabibitox: マリちゃん、キャミィにいけるってことはジェイミーにもいけるんかね？
[4156.110] v_harumi_v: 科博の毒展でお酒も神経毒の1種って展示されてたしｗ
[4174.818] nanashiking2020: たばこよりもすぐに身体悪くするって言われてるよね
[4186.148] ヨコグシ: w
[4187.601] gularain: W
[4188.587] だいこん_: 草
[4188.905] (S)ちぇんぷる: さすがにw
[4189.063] onupo: ｺﾞｸｺﾞｸｺﾞｸ
[4190.766] pakorepukins: 飲みすぎｗ
[4190.875] ち丸: グビグビ
[4193.145] tomhas5: のみすぎｗｗ
[4193.363] (S)nutsberry1701: ３飲みｗ
[4194.883] Fkdso555: 驚異の3飲み
[4210.859] ピヨさん: 歴史
[4213.532] (S)黒猫くん: 飲みすぎて死んじゃった
[4214.718] johndoe6523rp: てか組手の本戦メインキャラJPの人いないんだな
[4215.035] jerkhov: 飲んじゃった
[4222.160] (S)nutsberry1701: 凄まじいお仕置きくらった
[4226.346] Umechan55: ジェレミーの肝臓大丈夫？
[4238.202] ピヨさん: ダルシム
[4259.162] lucky7404: ジェイミーダルシムきついんだっけ?
[4264.831] tabibitox: アル中すぎるｗ
[4275.011] negishake: ママ久しぶりに見たな
[4275.933] ピヨさん: あら
[4285.704] (S)hoshi_boshi_0: あれ？キャミィ強豪の方だった気が
[4306.070] v_harumi_v: お髭があるママ
[4337.953] shigeru_41: ｗｗ
[4339.171] だいこん_: LUL
[4339.406] (S)ちぇんぷる: わあ
[4339.459] (S)nutsberry1701: 飲まずに起き攻めガー勢が多数を占める中ガチで飲んでくれるから面白い
[4340.619] ヨコグシ: www
[4340.711] ピヨさん: あらあらあら
[4341.572] (S)hoshi_boshi_0: あっ
[4342.432] fahmy0825: lol
[4342.777] tabibitox: ナメプやんｗ
[4343.924] Fkdso555: 油断
[4344.463] ましゅダヨ: ぴょん！
[4345.401] (S)黒猫くん: ひどいw
[4346.696] mahorochan: LUL
[4346.956] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[4348.679] (S)hoshi_boshi_0: こーれは
[4354.868] (S)suzan_star: 飲んでも飲まれるな
[4365.522] (S)shigeru_41: shigeru_41 subscribed at Tier 1. 
[4379.074] tabibitox: すんごい当たり方
[4396.218] ましゅダヨ: 薬湯じゃなくて白湯にしとこうw
[4421.662] だいこん_: とんおりの機能っぷりがすごい
[4444.366] (S)nutsberry1701: 泡盛じゃろ
[4452.212] zan_k9: 救急車も深夜に大変だなぁ
[4455.522] 日本語かな: 夜中に起きたらウメちゃんが配信してた
[4485.872] 日本語かな: naru04Owa
[4486.792] (S)hoshi_boshi_0: わーーお
[4487.805] delinger723: 今のかっこいい
[4489.405] tabibitox: オワ
[4489.576] (S)ちぇんぷる: おしゃれー
[4489.846] だいこん_: おわ
[4490.110] mssg41: mssg41 subscribed at Tier 1. They've subscribed for 62 months, currently on a 1 month streak! 昨日はビーストカップほんとに楽しかったです、スト6やる友達作るためにオフ対戦会行ってみようと思いました！
[4492.735] Fkdso555: オワ劇
[4492.836] carry_on_my_way: うんま
[4493.311] pakorepukins: うまげき
[4495.302] ましゅダヨ: 今日はレッドブルミラーです
[4496.060] (S)suzan_star: うひょお
[4497.112] onigiri21: オワ劇うおおおお
[4501.677] dj_miyamoto: うまげきw
[4501.991] ましゅダヨ: おわげき
[4506.571] 1108044k: ﾌｼｭｰ   ﾌｼｭｰ
[4509.185] Umechan55: ヒゲぶっこ抜きのダメージ
[4511.819] (S)Dorakuma3: ダルシム戦うまぁ
[4521.183] ましゅダヨ: ひげおるぁぁ
[4526.745] だいこん_: モダン
[4534.612] 日本語かな: うぅん
[4538.607] (S)hoshi_boshi_0: あのわびいちさんか
[4544.585] 日本語かな: 止めちゃおっか
[4546.209] delinger723: 19！？ｗｗｗｗ！？
[4557.199] ましゅダヨ: ちょwww
[4559.257] 日本語かな: 調子乗んなよ！
[4563.895] tabibitox: 立川信者の子
[4567.838] pakorepukins: 調子乗んなよ入りました
[4573.332] shomarusan: 有名な方なの？
[4579.057] kosmos5567: MルークからMエドはさすがタチファンボ
[4581.116] onigiri21: ウメちゃんと出会ってしまったばかりに20届かずってわけ
[4582.496] johndoe6523rp: スト６から格ゲー始めた若手
[4583.244] Fkdso555: ラグチェックで飲み飲み
[4593.702] (S)vaio_95: とんおりやめて〜ってなってる
[4614.311] ピヨさん: そういえばこないだ立川くんがエド1位に
[4621.585] ramune_since1973: エドのBGMかっこいい
[4624.424] junjamaica: おはよー
[4628.185] ましゅダヨ: mエドだいぶ強いそうで……(タチポストから)
[4638.001] 日本語かな: アッパーsa2でリーサルだったかも
[4650.581] strike_000: エヴァeで大会出てた子だっけ？
[4653.499] nan4mi66: umeFail_HF
[4654.681] Umechan55: あなた今諦めましたね？
[4662.966] (S)hoshi_boshi_0: 17歳の強豪
[4663.024] (S)vivfiw: TwitchConHYPE
[4666.439] lucky7404: エドって結局強いの？
[4689.053] ましゅダヨ: でも昨日のササモは強いと思ったけどなあ
[4689.781] てべす1103: タチはトップ10入る言ってたけどどうだろ
[4706.878] hs_wm: ダイヤグラム見ると勝率1位だけどどうなんだろうね
[4710.592] delinger723: エド公式ダイヤグラムはやばいよね
[4719.117] pakorepukins: 真ん中よりは上なのかな
[4726.599] kwuhdxjc: エド以外にボーカル付きBGMある？
[4726.876] (S)軽く捻るか: おおお
[4728.893] ましゅダヨ: まだ新鮮さの方が勝つけど
[4729.106] (S)hoshi_boshi_0: ナイス
[4742.658] mojira_2222: サイコフリッカーがガチ技すぎてそれだけで食ってる印象
[4746.430] だいこん_: あれは試合数少ないから当てにならない
[4748.146] ましゅダヨ: とーめちゃった(  ･᷄ ᴗ･᷅ )ゝ
[4753.630] (S)suzan_star: お、レッドブルがオンラインになった
[4756.189] 4bunny: 梅ちゃんジェイミーハマってるねー
[4758.813] (S)vaio_95: エド何より楽しい
[4761.523] (S)kakutora_no_o: 個人的には今のラシードみたいな立ち位置な印象
[4761.584] tabibitox: そら強い人がED始めると適正MRまでは勝ちまくるだろうし
[4762.461] kernel999: ダイヤグラムで使えたのは3日間だけだからな
[4775.448] pakorepukins: ザンギに紐があれば…
[4783.652] 日本語かな: 今のところボーカルはエドだけかな。それがラップ入ってるのがエドのBGMの売りなわけだし。
[4784.715] てべす1103: マスターまでやったけど飛びきつすぎて先が見えなかったな
[4803.461] ましゅダヨ: 対空はひどいw
[4822.639] norumon: カメラが真正面になったのって前から？
[4837.017] ジェイコブ: キンバリーでSA3を2回だか何だかで歌わなかったっけか？
[4839.740] onigiri21: ウメちゃんのジェイミーは呑みまくるねぇ
[4842.558] suupu: Y
[4847.584] (S)ちぇんぷる: コマ投げが 
[4857.361] (S)はおすけ: ウメの息がはぁはぁなっとんのは二日酔い的なやつなん
[4860.456] maddy2623: ティーザーのかっこよさはガチだったED
[4861.782] 日本語かな: キンバリー同キャラでお互いがsa3使わないと出ないね。
[4885.640] じょー1030: ジェイミーのBGMが1番いいと思うの自分だけ？w
[4888.234] johndoe6523rp: 正直対空がムズイ、ラッシュ止めがキツイって言うけど、それを高い精度でやる人が現れる可能性はあると思う
[4892.011] mssg41: 昨日はビーストカップほんとに楽しかったです、スト6やる友達作るためにオフ対戦会行ってみようと思いました！
[4900.194] ましゅダヨ: すいちょくえらー
[4903.487] (S)vivfiw: どっちもキャラかっけー
[4904.217] pensador28: LUL
[4905.964] (S)hoshi_boshi_0: うめー
[4907.426] suupu: かっこE
[4908.774] だいこん_: やーる
[4909.987] mm2351: これは酔拳
[4917.186] (S)ちぇんぷる: かっちょえ
[4919.049] avareinu: 組手ミラーってこれからですか！？
[4920.049] sidykuroart: @DaigoTheBeasTV jamie  main ?
[4931.897] だいこん_: 2時から
[4943.540] モギタマ: ２時からなのね。ありがと
[4959.283] caltropman: experimental use
[4964.974] てべす1103: 組手で豪鬼のトレイラーワンチャン…ないよな
[4966.216] johndoe6523rp: グランドファイナルが10時予定みたいです
[4967.773] avareinu: ありがとう！夜更かしの準備が必要だなあ
[4967.991] sidykuroart: oh ok
[4988.795] norumon: ぐびぐび
[4993.235] (S)Dorakuma3: ジェイミーのラッシュ止め技使い分け頭抱える
[4995.042] 日本語かな: わかるよー
[4997.934] kosmos5567: 4杯では足りない
[5008.143] sidykuroart: this lvl 2 is absurde hhhh
[5012.474] junjamaica: 高木が格ゲー盛り上がってうれしいって、このまま格ゲーしかない世界にしてほしいってｗ
[5015.175] kasutadonshirokuma: 10時ってマジすか
[5015.506] neonkzsyou: 風邪って弾抜け出来ますっけ？
[5018.128] sidykuroart: round winning lvl2
[5023.878] (S)vaio_95: umeYay
[5026.879] ちぇすとです: 🍌
[5029.693] norumon: 隙見つけて飲むのうまいなw
[5033.244] kasutadonshirokuma: 1日で最後までやるんか
[5036.314] tabibitox: クミテはブルのイベントだからカプコンは何もしない印象、クミテ直前にアプデするくらい別枠
[5046.007] (S)nutsberry1701: こんなに生飲みするジェイミーおらんよな
[5069.290] 日本語かな: naru04Owa
[5070.277] maddy2623: いくか
[5070.279] だいこん_: オワ
[5075.145] suupu: おわげき
[5078.122] (S)ちぇんぷる: おわげき
[5081.051] tyokka: おわげき
[5087.182] (S)Dorakuma3: 髭ブチ
[5090.959] katsukozin: joga mt mano
[5092.845] taki1211: 大会って何時から？
[5107.970] pensador28: TriHard
[5109.926] (S)kakutora_no_o: っしゃあおらぉ！
[5120.131] mm2351: ごくごく
[5120.343] suupu: 豪鬼にやったらヒゲがごっそり抜けそうね
[5135.918] aiukake: ワール中に飲むのいいね
[5136.989] johndoe6523rp: 2時
[5161.623] hiisan: ウメちゃん追撃忘れとるでよ
[5170.523] ヨコグシ: あ
[5171.762] だいこん_: アイヤー
[5205.808] CChadding: its haram to drink with jamie
[5219.350] 日本語かな: 普通にアッパー大絶唱追撃でリーサルだったかもね。アッパーODばっかいでゲージ貯めてsa2キャンセルからコンボもできたね。
[5227.997] ジャンクばっち: 思い出したぁ
[5242.332] KAKU78: Red Bull Kumite 2024 NEW YORK予定タイムスケジュール2：00メインイベント、2：30TOP16 ROUND 1、6：00ハーフタイムショー、6：20準々決勝10：00メインイベント終了
[5271.464] johndoe6523rp: タイムスケジュールあざす！
[5274.307] サラエボ眉間: 頭下にして酒飲んだら鼻から出るだろ
[5289.807] ジャンクばっち: ショーあるんや
[5322.797] mm2351: ちょっと試すじゃ済まないキャラやないかい
[5323.459] kilumedo: 朝ご飯食べる間ありそう
[5336.488] 日本語かな: とんおりｻｲｯｷｮ
[5348.963] falcanon: １０時に終わるってことは俺の会社の始業時間と同じか
[5388.145] KAKU78: 試合自体はもっと早く終わるんじゃないでしょか
[5388.345] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[5390.246] zan_k9: BO9って字ズラ凄い
[5392.591] (S)軽く捻るか: がぶ飲み
[5393.640] tabibitox: アルコール中毒
[5393.831] kinakoslime: ぐびぐび
[5395.290] (S)ちぇんぷる: がぶ飲みわろた
[5397.308] gorogorogorn: ハーフタイムショーｗ
[5407.558] hiisan: チンゲンサイより酒飲んどるでこのジェイミー
[5418.711] kawasak1n: 王、こんばんわー 
[5420.677] 日本語かな: mago2dJett
[5448.764] (S)vaio_95: マゴさんのSA3やかまし！
[5478.148] noritchan: こんなスタンプあるのかよｗ
[5479.010] kilumedo: 公式曰く酒ではなく薬湯だけど、酔いレベルも公式名称という
[5488.531] falcanon: 明日また仕事だし俺は寝るか
[5513.990] 江田島平八んぽこ: PopNemo
[5517.774] saimus4a: 酔うのはアルコールだけじゃないからね
[5522.415] flashbacks18: ww
[5542.976] にしん__: お酒だとゲームの対象年齢上がっちゃうからね…
[5550.558] ラリメモ: 酒だとSEROがうるさいけど音楽に酔ってるとかダンスに酔うって言い方は出来るからね
[5563.321] 江田島平八んぽこ: なるほど
[5568.199] 日本語かな: ジェイミーにレッドブルコスが来ればがぶ飲み増えそう
[5576.489] johndoe6523rp: なんか硬派なキンバリーだ
[5624.006] maddy2623: 顔にコマ投げって書いてあったよ
[5637.617] 日本語かな: フレンドのキンバリーがかなりやってくるタイプなんだけど、行くときスラ、死ぬ前にスラって言ってた
[5640.377] gb_niconico: ウメハラさんっていつ頃から「王」って呼ばれ始めたんやろ
[5644.794] muji_na: SeemsGood
[5647.911] hiisan: 相手SA3つかわなかったなぁ
[5648.631] lord_brollybr: FallHalp
[5650.147] (S)泣けるぜ: 泣けるぜ subscribed at Tier 1. They've subscribed for 7 months, currently on a 7 month streak! umeBlocking
[5662.302] muji_na: ジョボジョボ
[5662.982] 江田島平八んぽこ: ズリ
[5676.299] はらくだり: 梅ちゃん今日夜更かしだね
[5678.591] (S)nanakusan793: ひょうたんじゃなくてでかいレッドブル腰に下げてるコスがいるな
[5678.634] 日本語かな: バイオ4かな？
[5686.323] tabibitox: お、でんせつ氏
[5689.544] (S)kakutora_no_o: お、でんせつさん
[5690.510] 江田島平八んぽこ: あ
[5694.701] (S)ぶらっでぃぃ: ぶらっでぃぃ subscribed with Prime. They've subscribed for 4 months, currently on a 1 month streak! 
[5702.757] 日本語かな: 有名な方なんか
[5703.341] johndoe6523rp: 伝説対決
[5709.535] muji_na: 梅ちゃんトラキアの時にレッドブルの中に仙薬入れてなかったっけ
[5713.731] Fkdso555: ビーストカップにもいたね
[5714.830] junjamaica: 高木のアケコン うめちゃんのサインがウメハフになりかけてるｗ
[5716.109] bb08763: bb08763 subscribed with Prime. They've subscribed for 31 months! 
