[14.222] (S)mimoru_385: wako
[739.445] mudaraki: どこいくねーん
[739.532] buruburu6425: ローリング
[739.677] shilva_0: やめてくれwwwww
[739.719] tukky1208: おかえり
[740.424] mkia25: wwww
[740.654] asanomi_: ヴィエ
[740.796] itigomiruku0803: 回転
[740.807] shijima_san: あ
[740.873] (S)kanoaaa8: wwwwwwww
[740.879] mimitabu_92: wwwww
[741.199] sevennn_anjel: 後ろにもたれてたね
[741.403] (S)sapichaaan: www
[741.443] huku_mm: ただいま
[741.600] ささみんくん: wwww
[742.048] pasu0517: wwwww
[742.185] taratara2333: wwwwwwwww
[742.217] かかおしてます: wwwww
[742.225] 1051_33: おおおお
[742.232] toraaaaa_every: www
[742.243] uchichan_p: 回転
[742.257] (S)アキレゐト: カメラが迷子
[742.309] zenqlot: わこらだ
[742.487] yukki7969: どこいくねーん
[742.943] (S)たゆう_はね: ええええw
[743.107] ごり之すけ: wwwwwww
[743.162] 抹茶のゴルゴンゾーラ: おーwwwww
[743.327] なぁゆ: つらwww
[743.619] georgesmp0: なんか
[743.866] せらナミ: 一回転すなww
[743.921] root__05: 邪念を取り払え
[743.927] Dachiki_01: どこいくねーん
[744.064] mikan_san: カメラワークゴミw
[744.076] (S)s_i_i_a: 開発中？
[744.085] suibotu_: どこいくねーん
[744.151] (S)NORI25252: ガンジーすぎる
[744.599] rei_0610: どこいくねーん
[744.777] (S)soto_oka: ああああ
[744.809] nannan_s: わこらだー
[744.919] yakumo_higan: 滑らかに回転するなぁ
[744.987] 6atorokunen6: wwww
[745.086] wasabi1125: カメラー
[745.169] きゅうりのピクルス: イベントかとおもったｗ
[745.462] (S)レだん: ちょと
[745.473] tyokotippu1234: カメラが自由すぎwwww
[745.497] (S)きなこもち46: wwwwwwww
[745.653] riooooo_0815: wwwwwwww
[745.873] (S)nekodama2155: なんでーw
[746.084] karin_1127: どくいくねーん
[746.189] mofumofu30: まずいw
[746.199] ぱんだぁぁぁ: どゆことー－－ww
[746.735] yukino_toudou: www
[746.915] vivi_0914: どこいくねーん
[746.949] Free_Box11: wwww
[746.964] mary611: カメラさーん
[746.964] みかんの佃煮: かめらー
[747.185] ささみんくん: wwwww
[747.440] (S)yoneto_: www
[747.610] miku_0427: うわぁ酔いそうw
[747.955] toriniku_ryuto: どこいくねーん
[748.285] mimitabu_92: どこいくねぇーーんw
[748.507] suiaru_m: 草
[748.558] (S)うがら: 無重力だwww
[748.570] キョロちゃん: どこいくねーん
[748.609] ｿﾙﾄ: どこいくねーん
[748.788] suzunami1111: またwww
[749.091] toyu315: wwwwwwww
[749.118] (S)レだん: あああ
[749.290] korilla29: カメラww
[749.324] hakusei11124: かめらー
[749.401] (S)えりさ_: wwww
[749.452] Disco_11: カメラぁぁぉ
[749.578] monesama1218: カメラwwwwwwww
[749.635] rihohori: カメラさーんw
[749.857] rincho22: wwwxwwwwww
[750.012] 紗弥0926: どこいくねーん
[750.079] (S)kotori_py: どこいくねーん
[750.090] yuu_915: わこらだ
[750.204] (S)ishicoro_coro_coro: wwwwww
[750.308] 緑髪りょくがみ: どこいくの
[750.460] (S)harudesuyooo: バカシュール
[750.581] pasu0517: どこいくねーん
[750.605] 白だょ: おかえり
[750.685] Sirotora: 前澤さん?
[751.195] 6atorokunen6: wwwww
[751.208] nekomrnn930: どこいくねーん
[751.290] ru_ruuu: カメラさーん
[751.520] (S)tiger_bay: 浮力がどこから・・・？
[751.688] (S)ui_nemutai: どこいくねーん
[751.764] ラムネ味: wwwww
[751.791] なぁゆ: カメラーwww
[751.803] uchichan_p: wwwww
[752.207] mimuraminato: www
[752.221] minto13579: wwwwwwwwwwwwwwww
[752.298] 神崎立夏: wwwwwwwwwwww
[752.368] amashiro_816: カメラが無重力な件
[752.479] ぎょろっとみかん: wwwwww
[752.674] つるつれつね: カメラー
[752.733] ぱんだぁぁぁ: wwwwwwwwwww
[752.822] ゆきとよ: ｗｗｗｗｗｗｗ
[753.017] (S)レだん: ｗｗｗｗｗｗｗｗｗ
[753.038] dokokara_dokomade: wwwwwww
[753.064] moora_rua: セーブ地点ないのか？
[753.233] (S)クチナシ: 無重力？
[753.248] gomoku1012: カメラサーんwwwww
[753.255] (S)urullowo: おかえり
[753.419] (S)soto_oka: 戻ってきたー
[753.697] sunomono8: wwwwwwwwww
[753.761] shijima_san: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[753.795] omoti1208: wwwwwwww
[754.043] mkia25: 草
[754.263] 抹茶のゴルゴンゾーラ: カメラらっだぁみたい
[754.361] (S)ren_hosizuki510: もどってきたw
[754.388] (S)アキレゐト: www
[754.415] (S)きっこまん: おかえり
[754.595] nun__00: wwww
[754.603] maguro_tunakann: お風呂入ってくるね
[754.613] a__res: wwwwwwwwwwwwwwww
[754.689] (S)rigore_napoli: wwwwww
[754.716] tararu_095: カメラーw
[754.771] (S)zawdard: wwwwzw
[754.798] おりお: カメラも育ちがいいね
[754.810] soyokaze1212R: どこいくねーんwww
[754.812] rara_2024: かめらー
[755.258] badrai_: 宇宙空間みたい
[755.382] 緑髪りょくがみ: どこいくねーん
[755.410] takowasa9280: どこいくねーん
[755.532] tukky1208: 勢いwwwwwwww
[755.778] (S)るはら: wwwwwww
[755.935] omo_chi__: wwwww
[756.186] benisyake_ibuki: 宇宙空間www
[756.214] きゅうりのピクルス: ぎゅいーん
[756.346] kenp1n_8: wwwwww
[756.370] koyaren: wwwwwwww
[756.387] rincho22: wwwwwwwwwwwwwww
[756.525] nazu_7z: ｗｗｗｗ
[756.691] しおおおおおおお: wwwwww
[756.739] Amam1ya0000: ほんとに鬼畜ゲーやんww
[756.748] ayunosioyaki0223: wwww
[756.780] (S)~MISSING_COMMENTER_INFO~: お腹痛いwwwwww
[756.810] itoido: 俺らは何を見せられているんだｗｗｗｗ
[756.963] kuon___8170: わこらだ
[756.972] (S)ryotamk_2: wwwwwwwww
[757.017] mirumiru_h: wwwwwww
[757.516] (S)tsuM6G1_: どこいくねーんw
[757.741] kanikuchan: wwwwwwwwwwww
[757.885] hanadango823: wwwwww
[757.980] lemoncheesesource: 移動するだけでおもろいゲーム
[757.992] chun_taro2004: wwwwwwwwww
[758.012] negishio___: wwwwwwww
[758.259] あいむやで: どこいくねーん
[758.397] (S)レだん: うわあああ
[758.476] TaKeMaNa625: めり込んどるわ
[758.511] ぶな_しめじ: wwwwwww
[758.541] atuono: カメラが悟ってる
[758.563] harusame55: wwwwwwwwwwww
[758.626] (S)ozokunchan: wwww
[758.730] (S)うがら: www
[758.803] karin_1127: かめらぁ
[758.851] main94: wwww
[758.945] ちきんはーと: wwwwww
[758.960] t_fugu_0116: wwwwww
[759.025] mimuraminato: おかえりする？
[759.471] アーユン: チャンチャンチャン
[759.474] namatamago427: おかえり
[759.475] gyqgngkg884: 頭にめっちゃ血が登ってそうw
[759.626] tanuki_pan: カメラさんは奔放キャラ
[759.913] w_san: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[760.010] 道端のまめ: カメラさん見失っちゃった
[760.053] (S)レだん: ｗｗｗｗｗｗ
[760.135] (S)merongo_1023: おかえり
[760.445] latte_21: 200円だからねwwww
[760.683] yuria____: wwwwww
[760.801] syi_____: wwwwwwwwwww
[761.404] pasu0517: wwwwwwwwwww
[762.029] minto13579: 重力えぐいwwwwww
[762.422] dokokara_dokomade: はらいたいwww
[762.458] 親愛なるニンジン: おかえり
[762.948] huku_mm: www
[763.150] Clrula: 草
[763.512] P1n9uuu: wwww
[763.638] ささみんくん: 体制ww
[763.848] ken_ken346: どこか壺おじに似たものを感じるw
[763.851] kuon___8170: どんなゲーム？ww
[764.058] 17ititonana: wwww
[764.327] Dachiki_01: www
[764.508] latte_21: おかえり
[764.884] mikan_san: ケツから電球突っ込んでったwww
[765.274] reontannau: カメラどうなってんね〜ん
[765.765] georgesmp0: あれやね宇宙にいる人みたいで草。
[765.940] (S)nashu_noike: 逃げるな
[766.422] t_turtle: お腹痛いwww
[766.443] tsuyuki77: おかえりー
[766.589] さらだぜぃ: 何してんの？
[766.696] 紗弥0926: ｗｗｗｗｗ
[766.810] honoka2525: wwwwwwww
[767.401] karin_1127: wwww
[767.412] 1051_33: wwww
[767.435] (S)kotori_py: wwwwww
[767.457] ささみんくん: おかえり
[767.549] ひのした: おかえりー
[767.838] muru1113: これは逃げてもいい
[768.179] (S)たゆう_はね: あかえり
[768.326] korilla29: どこいくね──────ん!!
[768.399] mimitabu_92: wwwww
[768.504] (S)merongo_1023: カメラさーん！！
[768.508] (S)えりさ_: wwwwwwww
[768.726] (S)tarosuke_0e0: おかえり
[768.747] きゅうりのピクルス: おとなしくしなさい！
[768.893] oyazigarisan: 吸い込まれてる？wwwww
[768.954] (S)mg_rafu: おかえり
[768.968] t_fugu_0116: おかえり
[768.990] アーユン: 逃げんなよ
[769.477] tunamayo1234: wwwwww
[769.670] huku_mm: ストレス溜まりそうww
[769.684] aika_0317: wwwww
[769.958] (S)きっこまん: そしたら卵やろ
[770.123] (S)ozokunchan: 壺男の再来
[770.659] mikan_san: 絶対に逃がさない
[770.665] Akojonny: 俺たちはなにをみてるんだ
[770.762] waraashi: 視点まで無重力なのウケるｑｗｗｗ
[770.863] namatamago427: 逃がすか
[771.065] mimuraminato: おかえり〜
[771.580] (S)タクトン: radaoWakotu
[771.751] tototsu: 草
[771.996] monesama1218: wwwwwwww
[772.163] 17ititonana: おかえり
[772.396] 緑髪りょくがみ: 何やってんだよ
[772.518] KinakoMochi_06: 逃げろ
[772.599] 6atorokunen6: おかえり
[772.770] kanikuchan: お腹痛いwwwwww
[772.849] w_san: これはえぐいｗ
[772.900] yakumo_higan: おかえりぃ
[772.944] あぬん: WWWWWWW
[772.986] かかおしてます: おかえり
[772.989] おしゅしのさぶ: あーwww
[773.072] flan_333: wwww
[773.120] 白だょ: 歩けよ
[773.291] suiaru_m: わこらだ
[773.332] soyokaze1212R: wwwwww
[774.596] t_fugu_0116: wwwww
[774.782] なぁゆ: おかえりwww
[774.786] matchamochi117: 何コレwwww
[774.818] nun__00: うわぁぁあ www
[775.037] itigomiruku0803: お帰りなさい
[775.044] (S)ばのさん: けつ
[775.125] jyogijyogipen: www
[775.155] pasu0517: なんでそうなったwwwwwwwwwww
[775.199] honoka2525: どういう状況？
[775.210] (S)冷や茶: 逃げていいよこれwwww
[775.264] maru_2220: wwwww
[775.346] nazu_7z: ｗ
[775.440] kisaragimutuki: わこらだ
[775.482] (S)たゆう_はね: カメラどこいくねええーん
[776.076] sans0513: 尻輝いてね？
[776.413] badrai_: ケツが顔みたい
[776.446] yukki7969: なんだこれ
[776.663] ｿﾙﾄ: 逃がさない
[776.836] amane_xxxx: いいよ逃げてもw
[776.935] (S)ひびき1214: なにがおきとるwww
[777.219] (S)オデち: これはしゃーない
[777.585] cisha_1219: わこらだ
[777.589] (S)ももなっとう: wwwwwww
[778.039] uchichan_p: 逃げんな
[778.102] (S)レだん: ｗｗｗｗｗｗｗ
[778.182] (S)デニッシュくん: デニッシュくん subscribed at Tier 1. They've subscribed for 5 months! radaoWakotu radaoWakotu
[778.309] Disco_11: この男体勢がすごい
[778.524] korilla29: wwwwww
[778.555] hidari_27: 難そwwww
[779.111] 抹茶のゴルゴンゾーラ: これを12時間見続けるのか·····
[779.343] karin_1127: けつを天井に見せつけるな
[779.426] moora_rua: radaoW
[779.763] (S)ジリリン_: いらいら棒みたいなものなのか
[780.095] buruburu6425: むずすぎるイライラ棒
[780.845] Dachiki_01: おかえりーご飯にする？お風呂にする？
[781.061] flan_333: 腹痛いw
[781.077] mary611: ごめんな、逃げていいぞ
[781.424] oyazigarisan: 卵に逃げよう
[781.936] (S)merongo_1023: はい
[782.058] butatyan2525: わこらだ
[782.165] dayoikko: www.l
[782.606] rara_2024: radaoRIP
[782.857] ぱんだぁぁぁ: www
[783.261] (S)たゆう_はね: これはいいよ
[783.330] すいぺりあ: radaoAngry
[783.774] つむぐん: 今北わこらだ
[784.071] (S)aozora1717: radaoW
[784.711] キョロちゃん: 今日クリアしよう
[784.758] (S)nobume0v0: これは逃げていいw
[785.059] アストモ: 逃がさない
[785.294] (S)はぎわゃ: radaoW
[785.525] アーユン: 電球邪魔すぎwww
[785.750] lapisllazuli: ワロタ
[786.171] 柑黎さん: 逃げていい
[786.261] (S)レだん: radaoAngry
[786.634] れれんれ89776: 何見せられてんのか分からんけど涙出るほどワロてる
[787.113] f_erick: けつ光ってんのか
[787.348] yurinohana_batako: なにしてんの？
[787.362] あいむやで: お帰りなさいませーwww
[787.543] もぐつむり: わこらだ
[787.583] uchichan_p: wwww
[787.662] mame0205: ｗｗｗｗｗｗｗｗ
[787.812] matchamochi117: wwwwwwwww
[788.216] hanadango823: wwww
[788.279] (S)koronn1101: 逃さん言うてるやろ
[788.886] tukky1208: 言い方
[789.095] ayunosioyaki0223: え？
[789.131] jyogijyogipen: おかえりw
[789.713] benisyake_ibuki: 逃げんなよww
[789.905] Hamutyaro_126: 逃げよう
[790.144] (M)Nightbot: サブスクdiscordの入り方はこちら→https://twitter.com/rader2525/status/1167079316754067456
[790.434] suibotu_: wwwwwww
[790.674] badrai_: これは逃げても許されると思う
[790.811] きゅうりのピクルス: ＫＥＴＵ
[791.019] (S)サシモ0626: ガチえぐいww
[791.326] reontannau: え？
[791.391] sabakanu: ？？？
[791.613] (S)たゆう_はね: www
[791.740] (S)ももなっとう: BibleThump
[791.800] asanomi_: 最終目的が分からん
[791.807] 인터뷰1007: wwwwwwww
[791.828] karin_1127: wwww
[791.957] nekokan__09: wwwwww
[792.623] yuisan09: 笑笑
[792.652] さらだぜぃ: 逃がすかよ
[792.752] すてらいつ: wwwwwwww
[792.757] kabayaki615: できないは逃げていい理由にならないぞ
[792.812] (S)usiuma: 判定めっちゃシビアｗ
[792.834] yukki7969: wwwwwww
[793.283] korilla29: にげよう
[793.303] kinoko_re1: 今北 わこらだ〜
[793.305] (S)kotori_py: これは逃げよう
[793.399] 白だょ: はぁ？
[793.445] itigomiruku0803: w
[793.631] ぶな_しめじ: 凄いいらいらしそうw
[794.579] Disco_11: おばさん誰
[794.599] rimokoonn: わこらだ〜
[794.909] (S)nekodama2155: 人間イライラ棒ってとこか
[795.173] mimuraminato: www
[796.020] pasu0517: wwwwww
[796.059] (S)si_o_r: これは逃げていいww
[796.201] nun__00: wwwwww
[796.735] (S)kiba_1129: 逝く
[797.537] suzunami1111: 感電w
[797.995] (S)レだん: ｗｗｗｗｗｗｗｗ
[798.113] 毒空木: やる側は超イライラすると思うけど見てる側超楽しいwwwwwwwwwwww
[798.206] lapisllazuli: wwwwww
[798.855] (S)ryotamk_2: radaoKonro
[798.883] mame0205: しもねた？
[799.091] tsuyuki77: radaoTrain
[799.096] cyaso_desu: ww
[799.288] tehih: むず
[799.549] yuisan09: www
[799.584] きゅうりのピクルス: ガスコンロ
[799.748] mikan_san: ケツからイく！？
[799.845] tanakakun_110: 今逃げればまだバレない
[799.971] (S)レだん: あ
[800.019] Dachiki_01: wwwwww
[800.097] mirumiru_h: radaoKonro
[800.201] georgesmp0: ビビるんやけど
[800.394] lemoncheesesource: コンロ
[800.561] けい介: radaoKonro
[800.808] のいたぬ: このゲーム24時間やるってマジ？
[800.985] なるか3: 音www
[801.052] アーユン: キスすんな
[801.213] minto13579: ケツからいく(意味深)
[801.378] nekokan__09: 草wwwwwwwww
[801.488] 神崎立夏: radaoKonro
[801.556] (S)ナラ抹茶: radaoKonro
[801.959] ぱんだぁぁぁ: radaoKonro
[802.019] chun_taro2004: ちちちち
[802.029] (S)asona_c: radaoKonro
[802.190] (S)sjindoa: wwww
[802.192] nazu_7z: キスするな
[802.217] (S)nakihai556: radaoKonro
[802.237] tanuki_pan: 電気外そう
[802.402] おしゅしのさぶ: はっっっや
[802.434] (S)ozokunchan: radaoKonro
[802.537] koyaren: コンロつかない
[802.540] しおおおおおおお: 逃げていいわこれwwwwwwwwwwwwwwwwww
[802.547] huku_mm: コンロ
[802.632] 抹茶のゴルゴンゾーラ: うわ
[802.634] (S)merongo_1023: これは逃げても文句言えん
[802.955] 夢現: radaoKonro
[803.013] bunchaan: radaoKonro
[803.144] とろとろトロリ: radaoKonro
[803.159] 親愛なるニンジン: radaoKonro
[803.165] (S)tsuM6G1_: radaoKonro
[803.379] N_FondoX: 点火
[803.434] nari_0602: キスするな
[803.677] (S)ayano_2525: radaoKonro
[803.708] sunomono8: radaoKonro
[803.742] (S)ookami_rudi: radaoKonro
[803.872] reontannau: けつからイク？？
[803.897] f_erick: 台パンすんなよ
[804.108] mimuraminato: 適当にやるな
[804.132] georgesmp0: ケツ?!
[804.138] 緑髪りょくがみ: 分かったか？
[804.177] (S)roy_rag: radaoKonro
[804.285] (S)azisai1111: radaoKonro
[804.354] すいぺりあ: radaoKonro
[804.436] shijima_san: radaoKonro
[804.472] 中落ちカルビ: radaoKonro
[804.488] aira_0305: radaoKonro
[804.612] (S)レだん: radaoKonro
[804.651] KinakoMochi_06: radaoKonro
[804.730] riooooo_0815: 一緒に逃げよう
[804.776] たこーーー: radaoKonro
[804.860] 哀れな人の子: radaoKonro
[805.049] みずい1472: ちゅーしすぎ
[805.099] necouon: きすするな
[805.527] (S)オデち: radaoKonro
[805.594] (S)yoneto_: radaoKonro
[805.687] (S)Pantobox: radaoKonro
[805.768] (S)aina___10812: radaoKonro
[805.770] (S)rinne1221: radaoKonro
[805.897] taramo_52: ケツでいく？
[806.609] (S)なつおよ: radaoKonro
[806.623] (S)merongo_1023: radaoKonro
[806.711] 0秒: 火がつく
[806.794] まここま: radaoKonro
[806.882] ayunosioyaki0223: radaoKonro
[806.918] (S)たゆう_はね: コンロがいる
[807.044] mkia25: ケツからw
[807.420] kazutoro_desu: ケツからイク？
[807.532] (S)きなこもち46: radaoKonro
[807.554] uchichan_p: なんで操作出来んだよ
[807.620] yaaanagi_09: 下ネタですか？
[807.712] (S)sapichaaan: 鬼畜ゲーすぎだろ
[807.799] (S)さくららて: radaoKonro
[807.832] (S)aozora1717: radaoKonro
[807.836] Dachiki_01: ケツからビーム？
[807.916] (S)nonaru4637: radaoKonro
[807.986] rihohori: ケツからなw
[808.210] arashihiroshi: このコンロ点かないなぁ
[809.134] karin_1127: ガチイライラ棒
[809.163] まみまる: radaoKonro
[809.165] colt01200: エロい
[809.323] (S)かがりごまだれ: radaoKonro
[809.336] (S)こけしやん: radaoKonro
[809.453] ドらコアら: radaoKonro
[809.568] (S)cloverya: radaoKonro
[809.792] cyaso_desu: 着火すな
[809.809] rincho22: きすすんな
[810.119] (S)nobume0v0: radaoKonro
[810.144] mope716: radaoKonro
[810.393] せらナミ: radaoKonro
[810.603] (S)kotori_py: radaoKonro
[811.258] (S)nekodama2155: radaoKonro
[811.382] (S)wanwan65: radaoKonro
[811.505] (S)neckocha222: radaoKonro
[811.653] (S)tu_p_seven: www
[812.544] (S)turunko: radaoWakotu
[813.088] (S)えりさ_: radaoKonro
[813.118] (S)otux2_0205: radaoKonro
[813.176] srnk46: こんろ
[813.276] しゃけやろうﾊーﾄ: radaoKonro
[813.511] uziro0836: radaoKonro
[813.947] tsuyuki77: radaoKonro
[814.254] w_san: イライラ棒ってレベルじゃねえｗ
[814.371] (S)si_o_r: radaoKonro
[814.597] (S)ららら0913: radaoKonro
[814.658] kazutoro_desu: ひy
[814.899] mary611: radaoKonro
[814.983] (S)ruupi0312: radaoKonro
[815.146] mkia25: やば
[815.223] kanon_nnn: radaoKonro
[815.340] (S)ionatsu: radaoKonro
[815.387] t_fugu_0116: wwwww
[815.404] (S)せなこ2525: radaoKonro
[815.629] (S)ももなっとう: radaoKonro
[815.730] georgesmp0: ｯw
[815.860] jun_ju_jun: radaoKonro
[815.925] f_erick: おい
[815.943] (S)てぃやんでい: おい
[816.165] (S)mingo__sk: radaoKonro
[816.168] ひのした: radaoKonro
[816.276] 朝の紅茶: radaoKonro
[816.383] (S)アキレゐト: おい
[816.401] soyokaze1212R: radaoKonro
[816.420] (S)ジリリン_: radaoKonro
[816.442] ryu_na_: したうちwwww
[816.455] pasu0517: ガスコンロ登場
[816.521] (S)tarosuke_0e0: radaoKonro
[816.726] huku_mm: 舌打ちは早くね？
[816.805] (S)asona_c: おい
[816.840] uru_y: ケツからwwww
[816.847] (S)きっこまん: いいかた
[816.875] (S)mg_rafu: radaoKonro
[816.969] なるか3: radaoKonro
[817.236] (S)mire_mire_: radaoKonro
[817.263] (S)sjindoa: radaoKonro
[817.879] nari_0602: はい？
[817.885] minto13579: それはアウト
[817.895] (S)otux2_0205: おい
[817.972] (S)roy_rag: おい
[818.103] (S)ナラ抹茶: おい
[818.178] minpo_rom: 投げちゅーですか？
[818.187] 白だょ: コンロやめて
[818.245] あいむやで: エロい←
[818.270] ﾏﾄ: ケツでイくな
[818.281] (S)ui_nemutai: radaoKonro
[818.302] you_min0611: おい
[818.311] 沙央: おい
[818.426] (S)はぎわゃ: radaoKonro
[818.747] tarabaaaa: ケツでイクな
[818.849] muru1113: いくな
[818.881] (S)magaos_753: radaoKonro
[818.892] yura1196: ｍａｍｍｙは何を見てるんや
[818.907] sans0513: なんでキスした？
[818.936] もぐつむり: ケツ”で”はヤバい
[819.019] tukky1208: だから言い方
[819.074] (S)azisai1111: おい
[819.082] すてらいつ: おい
[819.307] ru_ruuu: キスすんな
[819.385] uziro0836: おい
[819.434] (S)mattyarate113: やめろ
[819.473] shiori_nanase: ガスコンロ大量発生
[819.577] (S)merongo_1023: ケツでイクな
[819.628] 夢現: イクな
[819.723] いのりさん: おい
[819.823] shiki_maru: おい
[819.834] れもねーどー: おい
[819.839] Choco__158: おい
[819.915] ayunosioyaki0223: おい
[820.061] shounen_k: キス
[820.174] chun_taro2004: おい
[820.201] (S)レだん: おい
[820.570] (S)なつおよ: え
[820.824] ちゃのすけ: こんろ
[820.910] miku_0427: ほんまにゴールが見えん
[821.080] kase_kura: おい
[821.086] mirumiru_h: イクな
[821.136] (S)iori0517: radaoKonro
[821.180] 親愛なるニンジン: おい
[821.247] yakumo_higan: 舌打ちすなぁ
[821.782] ~MISSING_COMMENTER_INFO~: erro
[821.923] mase_hs: えっ 
[822.001] さらだぜぃ: ケツからいく？
[822.026] NaNaBeFuTeKi: あ
[822.109] latte_21: イく
[822.343] (S)merongo_1023: おい
[822.602] アーユン: ケツでイク！？
[822.656] rei_0610: ケツでいく(意味深)
[822.911] manon_0203: やめて
[823.121] アストモ: おい
[823.353] (S)ほしちゃ: radaoKonro
[823.438] 6atorokunen6: ガスコンロ
[823.689] itigomiruku0803: 舌打ちやめぇ
[823.889] すいぺりあ: おい
[823.889] (S)たゆう_はね: おい
[823.899] れいるさん: おい
[824.270] nazu_7z: お
[824.653] KinakoMochi_06: おい
[824.721] shounen_k: 投げキス
[824.727] (S)tsuM6G1_: おい
[824.916] (S)urullowo: さっきみたいに平行移動
[825.147] しああき: ちゅ
[825.810] sabakanu: ？？？
[825.905] hakusei11124: おい
[825.956] 2jqtpja: けつでいく！？
[825.967] honoka2525: ガスコンロやめろ
[826.054] pasu0517: おい
[826.147] oja_290: なんでキスした？
[826.690] karin_1127: チューしないでもろて
[826.806] (S)ほしちゃ: お
[827.423] uchichan_p: おい
[827.500] (S)nekodama2155: 逝くな
[827.593] rara_2024: おこ
[827.622] (S)えりさ_: おい
[827.630] pugumo: けつではいかん。
[827.635] (S)レだん: おお
[827.737] potya_po: 着火しちゃった
[827.852] さらだぜぃ: 意味深
[827.949] Disco_11: やば
[828.160] soyokaze1212R: おい
[828.389] shibuya_0830: おい
[829.268] oja_290: ちゅ
[829.488] 燐だよ: おい
[829.497] kogumi_136: おい
[829.976] latte_21: おい
[830.048] mary611: おい
[830.073] t_fugu_0116: おい
[830.599] ~MISSING_COMMENTER_INFO~: 穴で行くな」
[830.903] chun_taro2004: イクな
[830.912] 白だょ: やめて
[831.385] (S)レだん: ああ
[831.603] (S)mg_rafu: リビング
[831.657] gomoku1012: んんるるる
[832.070] (S)たゆう_はね: radaoTyu
[832.078] oja_290: おい
[832.234] itoido: おい
[832.441] (S)wanwan65: いくな
[832.466] reontannau: ざんね〜んわら
[832.680] 仮面ライダー555: おい
[832.734] mope716: イク？
[832.774] koin_egg: ゲーム名なに？
[832.877] tena3256: ガスコンロ
[832.923] itayui5: おい
[833.157] 17ititonana: おい
[833.353] (S)~MISSING_COMMENTER_INFO~: ケツで行く笑
[833.369] ぱんだぁぁぁ: wwww
[833.430] georgesmp0: ああああ
[833.649] noko_415: おい
[833.754] yukki7969: おい
[833.812] ayunosioyaki0223: あ
[833.958] atuono: おい
[834.034] w_san: おおおおおおお
[834.129] すてらいつ: 超てんちゃんじゃないぞ
[834.371] (S)tarosuke_0e0: やめ
[834.465] mochiiita: !uptime
[834.470] a__res: wwww
[834.695] (S)れなぽんぽん: じぇるばんわさん？！
[834.703] (M)Nightbot: らっだぁ が配信を始めてから 14 minutes 経過しています。
[834.711] hiroto_0618: コンロ編集きちゃー
[834.851] (S)sjindoa: wwww
[834.880] しおおおおおおお: wwwwwwwww
[834.957] rg_irece: おい
[835.076] (S)らるーご: ｗｗｗｗ
[835.211] asuka_061: おい
[835.287] さらだぜぃ: 発火してんやん
[835.386] remona1: 難関、電気電気じゃあね?ww
[835.419] 0秒: 女の人の服ヴィエ゛みたい
[835.451] mkia25: イライラ知っとって草
[835.555] nazu_7z: あぁー
[835.863] jun_ju_jun: おい
[836.497] itigomiruku0803: お
[836.584] uchichan_p: ではダメ
[836.620] (S)koronn1101: おい
[836.791] ふぁる_: あん
[837.215] 蛍_: わこらだ
[837.321] riku0572: ｗｗｗ
[837.533] きゅうりのピクルス: ＢＢＡは？
[837.549] inui_24: ガスコンロ久しぶりに聞いたわ
[837.554] oja_290: 言い方
[837.708] Disco_11: やばいよお前（）
[838.068] ZeNoN_GAHAHA: 草
[838.201] Da1_ChaN1026: おい
[838.221] 抹茶のゴルゴンゾーラ: あれwwwww
[838.825] pasu0517: 意味深だぞ
[839.036] (S)ichigomilk_252: おい
[839.043] ボンレスキャベツ: BIN
[839.095] taratara2333: おい
[839.098] oyazigarisan: ケツイキ把握
[840.270] 白だょ: 親いる
[840.420] (S)koyuki12160: www
[840.442] (S)merongo_1023: はい
[840.445] huku_mm: 帰ってきたw
[840.502] karin_1127: あー
[840.644] buruburu6425: この絵面でそんなこと言わないで
[840.850] あいむやで: ケツでイク（意味深）
[840.865] mimitabu_92: おい
[840.869] oja_290: 言い方やめろ
[842.316] narurin0927: イグな
[842.554] chun_taro2004: cheer
[843.140] mikan_san: この電球がえっちすぎる
[843.570] arisu0110: radaoMasuo
[843.897] れいるさん: お前そういう趣味があったのが
[844.492] rihohori: ケツでいくはアウトだろw
[844.985] 半ライス大盛り4円: まだ深夜じゃない
[845.676] kumada111: まずいですよ
[846.024] (M)Nightbot: YouTubeにクリップ集を投稿していきたいので、面白かったシーンなどを>>"タイトル"<<をつけてクリップ作成お願いします。画面の右下にクリップ作成ボタンがあります。>>"タイトル"<<を付けて作成してもらえると後でクリップを選出しやすくなります。よろしくね
[846.334] Da1_ChaN1026: IKU
[846.570] milu_1728114: イライラ棒
[847.422] chococoo_827_: 人がやってんのを見るのはくそおもろいな
[847.474] ryu_na_: wwwwwwwwwww
[847.953] (S)tarosuke_0e0: おかえり
[848.018] georgesmp0: ｯw
[848.723] riooooo_0815: おかえり
[848.755] karin_1127: wwww
[848.815] uchichan_p: wwww
[848.941] yukki7969: wwwwwww
[849.525] itigomiruku0803: w
[851.635] (S)はぎわゃ: イかないで
[851.683] 紗弥0926: ｗｗｗ
[851.727] (S)たゆう_はね: おかえり
[851.862] ボナパルト田中: wwwww
[852.079] アストモ: おかえり
[852.197] uchichan_p: 帰ってこないでw
[852.306] mkia25: ꪝ𐤔ꪝฟꪝ ꪝ
[852.635] にょまれ: ケツイキらだお
