[9.939] king_katsuhisa: ん
[952.407] (S)エリ_10: へーー
[953.433] (S)ﾔﾐ: スパイｗ
[954.981] makebuta: 仲良くなってて草生える
[958.980] wash4: 期末テストは？
[959.217] 栢木メイ: ひびき君イケメンだわ
[960.308] (S)blankey3104: 他のチームとの交友いいんだｗ
[961.487] pfl2: 気の合いそうなのは誰？
[961.818] ~MISSING_COMMENTER_INFO~: ウメちゃん太っ腹！実際に腹出てるだけある！
[962.779] asdfiodadfs: それぞれの背負ってきた人生があるからね
[963.270] (S)ememeume: ええええーーーー
[963.585] (S)shomarusan: いいじゃーん
[963.674] (S)takeo_onakasuita: 後輩育成
[964.419] (S)kurataro: ヒビキ君は結構好き
[967.840] goejglsdf: まあ、話するのは面白いね
[969.330] (S)ememeume: 羨ましい！！！
[970.520] goodriser: かわのとは気になるな
[971.071] mailgoo: 親睦深めてるな
[972.264] (S)乱火隊長: この企画いいと思う
[973.696] (S)jony_avion: ひびき面白いよね
[976.131] 16tea16: ひびきとは？来る？
[976.244] yellow01234: うめ交流ええな
[979.833] goejglsdf: ジョニィ系ではなかったか
[981.691] (S)にゃーご08: オニキくんにはどんな教え勝たしてるの？
[985.621] (S)blankey3104: 白髪のひとだっけ
[991.793] (S)ememeume: いいなーーー
[993.409] (S)gomeeeeeeen: リュウ使ってるくらいだし
[994.742] (S)matsu_zalem: 鎧とハダカ
[996.562] (S)kurataro: 真っ赤なリュウの人だね
[996.913] ミルッちゃん: 飯田橋！
[998.667] (S)jony_avion: いきり若人かと思いきや
[999.982] ~MISSING_COMMENTER_INFO~: 銀髪？かな
[1002.745] xenys3: カワノは捻くれてる感じが面白い
[1003.550] makebuta: とは？したい人増えたな
[1004.581] (S)takeo_onakasuita: 同じリュウ使いとしてね
[1004.624] gettyozi: ほとんど素性が知られてないから、掘り甲斐があるよね
[1004.980] (S)chinkalahoi: ハイクラス、選ばれたかどうかで運命変わりすぎぃ・・・
[1007.571] (S)山田たろう太郎: LUL
[1008.084] _こぺ_: 奥村さん頑張って欲しいけど成長が見えない...
[1009.752] (S)jony_avion: 本番に弱い男オニキ
[1010.011] (S)Mayumix1025: 飯田橋
[1010.802] (S)ememeume: アツイ人でした？
[1013.207] ~MISSING_COMMENTER_INFO~: カワノはキャラ立ってていいわ
[1014.020] may0nn_aaaisee: 成長を見守る感じか
[1018.309] (S)shomarusan: エールを送ってる
[1018.755] (S)yakimocchi: マサにアドバイスもらおう
[1020.428] parkingfood: DansGame
[1021.228] higashimurayama: 普通に強いのか、おにきくん
[1023.304] (S)diego_ohunabara: umeYay
[1027.105] (S)エリ_10: メンタルの問題だけ？
[1028.160] (S)Hanahiro: メンタル教えてあげて
[1031.686] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1032.897] makebuta: オオニキどうして
[1032.978] (S)ememeume: 揚州商人があるビル
[1036.104] ~MISSING_COMMENTER_INFO~: 同類かｗ
[1037.237] (S)さくらうめきち: 飯田橋
[1037.784] nonnon1990: ハイクラスだとカワノとあんまんがずば抜けて上手く見えちゃうけど
[1042.798] yellow01234: 向こうからアドバイスきいてきたりあるの？
[1045.264] (S)shomarusan: いろんな交流あるのいいね
[1045.434] (S)エリ_10: w
[1047.934] (S)caruvi: あ
[1049.710] kakugedaisuki: あ
[1053.574] (S)jony_avion: ハイクラスだとさかがみは外せないでしょ
[1053.824] (S)kinpren: パイナポー家泊まったからね
[1054.321] goodriser: かわのって白鳥翔に似てない？
[1055.196] ono0011: ん？何かあったの？
[1055.918] (S)chinkalahoi: パイナポーて何歳だっけ？
[1056.700] (S)minutemaid_orange: umeYay
[1057.332] (S)gomeeeeeeen: カワノガイアの彼
[1060.972] Siesta111: あっ。ふ～ん・・・
[1061.208] xenys3: 永島さんはいい人感がヤバイ
[1061.738] gettyozi: 寝ゲロでも吐いてないかな？
[1062.292] inaninnja: アー♂
[1062.315] yamame: パイナポーｗ
[1063.966] ~MISSING_COMMENTER_INFO~: パイナポー33歳
[1064.310] makebuta: KappaPride
[1065.042] goejglsdf: うん？
[1068.575] (S)ememeume: 年齢差は？
[1070.719] (S)kurataro: ファンボ？
[1071.577] (S)さくらうめきち: ファン？
[1073.495] (S)junichitanaka: 白鳥翔すごい分かるｗ
[1073.730] (S)cccyd: ファンボ
[1074.286] (S)メピパラ: 翔にちょっと似てるw
[1074.428] (S)icyblue1985: ファンボーイ
[1075.430] kooooge: ファンボ
[1076.016] rm_rf__: あったけえ
[1077.662] (S)tamachan0530: ファンボ
[1077.726] coralbeaf: カワノはパイナポーの家泊まってたからな
[1078.004] helicom: エンカウント
[1078.041] 東北のスロカス: ファンボ？
[1080.395] fapfapjpn: TTours
[1080.888] (S)harahara02: ミニッツメイドオレンジはすらすらよめる
[1082.720] (S)jony_avion: ファンボｗ
[1083.201] kooooge: かおばれ
[1084.661] (S)icyblue1985: ウメちゃんファンボーイ
[1084.707] recycle4: 発見されたか
[1085.839] (S)kinpren: 逃げよう
[1086.982] (S)kurataro: 知り合いでしたか
[1089.717] (S)球根: 最近はガイルの練習の方が多い？
[1090.462] makebuta: ｗｗｗｗｗｗｗｗｗ
[1090.840] helicom: 知り合い？
[1090.975] (S)ememeume: えーいいなー
[1091.968] shichousha72: ｗｗｗｗ
[1092.128] (S)cubgasukidesu: お天気どう
[1092.255] coralbeaf: 強い人
[1092.360] (S)orijin15: 今日はどこに行くの？
[1092.742] (S)uncle_yam: 逃避ｗ
[1092.799] (S)chinkalahoi: 33だとハイクラス勢とは一回り違うんかｗ
[1093.945] (S)takeo_onakasuita: 笑うwww
[1093.966] ~MISSING_COMMENTER_INFO~: カワノ、コミュ力高いな
[1094.247] (S)shomarusan: ウメ信者
[1095.369] (S)tsubame5204: キキララのスマホカバーつけてても女の子に受けないですか？
[1095.375] parkingfood: PixelBob
[1097.927] (S)なかしょう: 「普通に歩いてる」でわろた
[1098.771] shikahige: オレンジ色
[1099.114] FZ250: 有名人が故に
[1099.211] (S)さくらうめきち: 神楽坂飯店の近く
[1102.184] (S)えーひろ: 卑屈笑
[1105.044] あんだんて456: シャイハラ
[1105.411] ~MISSING_COMMENTER_INFO~: カワノって19歳だろ確か
[1105.860] LanceLefthook: Konichiwa Daigo. o/ From old Swedish fan.
[1106.205] 小野さん: 前ステしよか
[1108.053] goejglsdf: 充電して寝よう
[1109.140] seiji141141: 今日祝日ってのは知ってる？
[1109.532] (S)junichitanaka: 深海魚のように生きたいウメさん
[1110.591] (S)ememeume: 神楽坂飯店よく行く
[1112.797] (S)nukkatti: 今年のプロツアーの自信は？
[1117.120] kousitekou: ウメちゃん同級生から逃げる小学生
[1118.636] ティコマン5代目: ２０％ BIbleThump
[1121.761] pyamaaaa: 講演の準備は順調ですか？
[1133.994] (S)ilm0806: @LanceLefthook Hi form Japan
[1134.078] (S)junichitanaka: カワノさんのTwitter で言ってたよ
[1136.121] (S)yakimocchi: ツイートしてたよ
[1141.036] (S)takeo_onakasuita: パイナポーさんて人当たりよさそうだよな
[1141.591] (S)xxzoids: 普段、声をかけられない方が不思議だった
[1147.054] inaninnja: おっさんがキキララ付けてたらキツない？
[1147.955] (S)kurataro: ズルムケｗ
[1149.657] (S)orange88: ｗｗｗ
[1150.249] ryu00123: 配信用にスマホ契約したら？
[1152.380] (S)icyblue1985: 何ツー名前だｗ
[1154.443] (S)blankey3104: ｗｗｗ
[1157.868] shichousha72: ずるむけ、ええな
[1158.120] ryu00123: いつものことじゃん
[1159.205] 東北のスロカス: ｗ
[1159.523] goejglsdf: キキララってなんだっけ？
[1159.673] 琥珀糖: ひでえwww
[1160.842] ティコマン5代目: 勢いあるねぇ
[1161.190] (S)cccyd: ｗ
[1163.995] (S)ememeume: この時間に歩いてると見つかっちゃうね
[1165.244] (S)user0511: いつものことや
[1166.083] (S)prisira: また一杯散歩しないとね
[1166.157] rm_rf__: 受けるんじゃなかったw
[1168.406] (S)shomarusan: まーた散歩しまくるしかないか
[1168.505] (S)caruvi: ぎりぎりまでやらない
[1168.774] (S)cubgasukidesu: りゅうせいとはのツイッターのイラスト可愛いね誰が作ったの？
[1169.373] mguroupper: 170時間
[1169.855] (S)メピパラ: ずるむけサンデー
[1169.905] (S)takeo_onakasuita: やべーのかwww
[1169.976] (S)gomeeeeeeen: いつもの
[1170.924] (S)icyblue1985: ウメちゃんまた歩きまくりそうｗ
[1173.032] Kaname_Tachibana: ﾔﾊﾞｲﾖﾔﾊﾞｲﾖ
[1173.393] (S)かげでん: 今年は何キロ歩くんですか
[1174.523] (S)takeiteasy55: お、配信来てたか
[1174.527] (S)ilm0806: しかも金とっての講演だからねええ
[1177.213] urabey: おれがかわりに講演していい？
[1177.953] (S)なかしょう: またネタ考えでめちゃくちゃ歩いちゃいますか？
[1178.306] (S)junichitanaka: あと一ヶ月あるけど、練習時間削られそう
[1178.753] higashimurayama: フードの試合でカワノも写したカメラマンマジ有能
[1179.351] _こぺ_: ラーメンの色変わってて嬉しい
[1180.512] (S)ememeume: ねこの運転手
[1182.304] (S)メピパラ: 前もそうじゃなかった？
[1183.071] (S)pepsi888a: サブスクの延長は切れないとできない？
[1183.694] (S)orijin15: みんなで考ええよう
[1185.257] (S)ebg808: 講演行きます
[1192.856] (S)サラバア: 人それぞれのジャスティスについて
[1199.625] higashimurayama: 次は２００キロ越えるか
[1201.335] (S)shomarusan: 同じこと喋らないってきつそう
[1201.892] (S)かげでん: テーマは何で依頼されてますか
[1203.294] (S)風呂でフルーチェ: また散歩の距離が長くなるな
[1205.453] さそび: 大阪散歩配信ありますか？
[1205.750] (S)にゃーご08: 散歩しまくってるけど、年間どれぐらいあるいてるのかな
[1207.681] sora_neko09: 前回も準備のための散歩が異常な長さになったし，講演
[1207.943] efmaniac_jp: こうなったら福岡まで散歩していこう
[1209.486] pcdopaulolives: WOW Japan
[1211.239] (S)kurataro: 講演の動画見たけど、素晴らしい内容ですよ
[1214.081] tk3333: ラーメン率高いなぁ
[1219.683] (S)blankey3104: 講演行ったことある！
[1232.772] h2hiroyuki: ファンボーイがいっぱい来てるからいけるっしょ
[1236.467] recycle4: 申し込み制だからファンしか来ない
[1236.913] guest56: 今回も講演配信あるのかな
[1246.018] goejglsdf: 知らない人にも業界や自分を知ってほしいしなぁ
[1249.614] 先日助けてもらった鶴です: インドラ橋
[1254.652] (S)メピパラ: あの講演すごかったな
[1256.109] (S)masakiti42: カワノエンカウントやめたんか
[1259.067] (S)takeiteasy55: お、神楽坂通り過ぎたとこか
[1260.112] (S)ememeume: 梅田教室って書いてあって、梅原教室だと思って申し込んだら大阪だった、、
[1263.029] taru9999: 来ている人みんなファンって感じだったけどね
[1269.853] ~MISSING_COMMENTER_INFO~: カワノ今日大会出てたよ
[1278.943] (S)iakira777: 更新は二日三日前ぐらいからできた気がするけど、忘れる。一か月前からでも更新させてほしい
[1279.708] (S)chinkalahoi: ｗ
[1281.263] donchan012345: 充電20%直ぐ落ちそうw
[1282.225] (S)kumatedd: ｗ
[1286.843] (S)えーひろ: w
[1286.925] (S)icyblue1985: 草ｗ
[1287.125] shichousha72: わろた
[1289.693] (S)caruvi: まあまあ
[1290.052] (S)cccyd: ｗｗｗ
[1291.086] (S)jony_avion: 質問のレベルがね
[1292.326] rm_rf__: すっごい分かる！そういう人いる！
[1292.854] sora_neko09: 聴講者のレベルが低い
[1293.988] h2hiroyuki: ファンボーイが多すぎんだよほんとｗ
[1295.166] (S)user0511: しゃあない
[1296.398] (S)gomeeeeeeen: 大阪だし同じ話擦っていいんじゃない？
[1298.354] King_Azey: KonCha
[1298.544] 先日助けてもらった鶴です: まだそこ？
[1299.625] wash4: 2年前だっけ？
[1300.614] 東北のスロカス: 散々配信でも言ってるしなｗ
[1301.273] parkingfood: ふぁんぼｗ
[1302.945] Globalos62: 仕方ない
[1304.954] (S)shomarusan: ただのウメさんに聞きたいこと
[1306.101] (S)icyblue1985: ｗｗｗｗ
[1307.854] mariannnu: ふむふむ
[1310.785] (S)ememeume: 単なるファン
[1311.703] pcdopaulolives: It's very beautiful, the place.
[1317.134] (S)kinpren: だいたいそんな質問ばっかじゃん
[1322.135] (S)えーひろ: そーゆー人には小足擦ろ
[1324.336] (S)ofmary: しょうがないよね 
[1329.470] mguroupper: そんなにやってたのか
[1330.414] 157655: へえそんなにたくさん
[1331.633] higashimurayama: そんなことないようめさん、響いてるよ
[1332.886] fukuzawa1manyen: 次の奴って配信ありますか？
[1333.798] (S)かげでん: 慶応の講演はもう10回はみてますわ
[1333.804] (S)orange88: ジョニィなんて質問なかったしな
[1334.617] (S)blankey3104: そうなんだ！！
[1335.068] (S)yakimocchi: 講演業
[1336.155] (S)takeo_onakasuita: うめさんに会いにいきたいだけっていう
[1337.222] (S)kurataro: 2回分かな
[1340.933] wash4: not beautiful
[1343.385] (S)ememeume: さすが
[1345.138] (S)メピパラ: そんなやってんだ
[1345.263] yellow01234: またねえちゃんくるの？w
[1351.631] mizuhiro1224: 講演配信またみたい
[1353.890] (S)matsu_zalem: そうなんすねーーー
[1355.823] guest56: その人もきっと質問を準備してたんだろう
[1357.654] (S)user0511: まあ聞く機会ってそこしかないからなぁ
[1360.579] inaninnja: 講演ハイクラス
[1363.093] (S)genshiken: 講演行きます 
[1363.187] (S)メピパラ: 知らなかった
[1365.287] (S)なかしょう: 出版以降は客層変わってません？
[1366.683] shichousha72: ネタ切れ
[1366.717] (S)iakira777: ネタつきましたかｗ
[1368.209] fukuzawa1manyen: ｗｗｗ
[1368.941] higashimurayama: 聞いてみたいなぁ、過去の講演n
[1369.255] (S)blankey3104: ｗｗｗｗ
[1370.147] (S)kinpren: 保育園時代の話しよ
[1371.329] (S)shomarusan: 同じことは話さないんでしょ？
[1371.459] (S)かげでん: どんなテーマでやってきました？
[1371.890] sataraito22: (´・ω・`)
[1374.377] rapid881000: 講演は同じ話こすっていいんだ
[1375.522] (S)onoeserika7: ダイエット方法
[1375.762] (S)orange88: ｗｗｗ
[1375.766] fqss0ztB: その人のことを知らなくて公演を聞きに行くことはそもそもなさそう
[1376.052] (S)komine58: 渋谷の外でやったやつは行きました
[1376.783] (S)シャチクイーン: 慶応の講演聞いてすげえ俺は為になりました
[1377.052] yuu_tantan: w
[1377.405] (S)icyblue1985: 講演テーマは何なんですか？
[1381.468] (S)miso__aji: 同じネタ擦ればいいじゃない
[1384.247] pcdopaulolives: For those who live in Brazil, Japan is beautiful, it's a paradise. wwww
[1385.788] (S)メピパラ: んっ ないっ
[1386.929] tamama_210: 適当w
[1392.715] (S)ememeume: なんちゃらスタジオ
[1394.558] brittle0724: 話すことって自分で考えるのか
[1395.203] hadogamosenpai: chi3
[1397.283] goodriser: 公園テーマ 「先駆者として、挑戦者として」
[1397.432] gehenax: おまえ今日から「なんとかスタジオ」な
[1397.776] (S)cubgasukidesu: 講演で酒飲んだらダメなの
[1399.715] (S)takeo_onakasuita: 前までの講演で出しつくした感じかー
[1402.910] (S)junichitanaka: 今回の講演は配信するの？
[1403.464] donchan012345: 講演ウォーロード梅原！
[1413.470] (S)harahara02: 今までの混ぜて話していこ
[1414.215] tk3333: 講演はみんな同じことを話すだけの楽なお仕事でっせ。
[1414.967] しきやん: 本業調子悪かった時は、慶応の公演を毎日見てたなあ
[1415.674] (S)pepsi888a: 格ゲー界の展望とかでいいんじゃない？
[1416.010] sora_neko09: 「講演の内容聞いてた？」って質疑があるのは仕方ない。
[1416.605] pyamaaaa: いつも質問に対する回答がすごく早い！
[1420.427] (S)miso__aji: 「酒」とは
[1425.613] taru9999: 荒川歩いて考えよう
[1427.461] (S)jack07w: プロゲーマーの未来の話聞きたいです。
[1427.624] (S)山田たろう太郎: 準備めちゃくちゃ大変そうだけどよく依頼受けてるね
[1430.163] (S)wombatsf: 梅ちゃんの話面白いからな
[1430.591] (S)Rector0675: 未来について語るとか
[1432.937] efmaniac_jp: 質問受けて答えるのはともかく、一つのテーマで４５分かそれ以上話すのはそうとうな準備が必要
[1436.456] 東北のスロカス: 講演の依頼ってどんな感じでくるの？
[1439.586] (S)gomeeeeeeen: 普通講演毎に話考えたりしないよ 同じネタ使い回すよ
[1441.518] (S)harahara02: 昔からの変化ピックアップしていこ
[1444.586] (S)onoeserika7: お酒と上手な付きあい方
[1444.756] (S)かげでん: 折笠にゴーストライターしてもらおう
[1446.348] (S)kumatedd: 今回のテーマハジャスティス
[1451.933] (S)blankey3104: ｗｗｗｗ
[1454.966] shichousha72: まーーーじか
[1455.141] (S)chinkalahoi: 10％は危険
[1455.504] (S)icyblue1985: ぴーんち
[1455.639] mizuhiro1224: 切れるね
[1456.022] goejglsdf: マーーーーーーーーーーーーーーーーーージかああああああああああ
[1456.362] (S)kumatedd: 寒いと電源のヘリが早い
[1456.451] sataraito22: 切実ね
[1458.048] (S)iakira777: 寒いからね
[1459.401] (S)桜風かなた: 毎回同じ人が来るわけじゃないから同じことでもいいんよ。
[1459.561] (S)kurataro: 予備は持ってなかったか
[1460.326] (S)tamachan0530: 充電器ある？
[1463.433] ~MISSING_COMMENTER_INFO~: モバイルバッテリーないの
[1465.662] (S)blankey3104: 重電機ないの？
[1469.140] (S)cubgasukidesu: じゃあ講演にパイナポー連れて行こう
[1472.105] (S)takeiteasy55: 同じことはやりたくない病かｗ
[1474.352] goejglsdf: 充電するようにしよう
[1476.053] (S)サラバア: 初めての人向けに決まって話すことと新しいネタを半々にするとか？？
[1476.726] (S)kinpren: ガサゴソ
[1478.134] taru9999: スマホなにつかってるんだろ
[1480.414] higashimurayama: えらい
[1480.457] (S)ilm0806: he is taling about Talk event in March
[1480.729] sora_neko09: 使い回すもなにも，前回と意見180度変わってたりするじゃない，あなた
[1481.511] fqss0ztB: 毎回ちゃんと内容変えてるのか
[1482.910] (S)ofmary: 配信のノリでしゃべっちゃえ 
[1483.047] (S)ememeume: そこがウメハラさんの素敵なところ
[1484.847] (S)orange88: 信者ばかりなら楽なんだけどな
[1485.496] (S)5687gpjjj: 夜回り先生みたいに同じ話無限にしたらいいのに
[1486.788] (S)harahara02: 普通の靴はいてる
[1487.775] 000105: ファンボーイ充電はよ
[1488.148] (S)桜風かなた: クロックスじゃなーい
[1488.295] pcdopaulolives: all-star? rs
[1489.320] (M)(S)blankey3104: パイナポー呼ぼう
[1492.740] (S)ilm0806: but there is no theme lol
[1494.769] (S)ememeume: 本人確認？
[1495.940] (S)icyblue1985: ウメちゃん冬にコンバースは寒ない？
[1498.293] (S)uncle_yam: 学論の15分程度ですらしゃべるの大変だもんなー
[1499.847] (S)かげでん: ウメちゃんのしくじり先生みたい
[1500.205] (S)nagilay1: ごそりすぎw
[1502.708] (S)masakiti42: 今度名古屋で講演お願いします！
[1511.382] goejglsdf: 中々斬新なアングル
[1514.040] donchan012345: 10%はあっと言う間に切れるw
[1515.162] DaniloLopesx: BegWan
[1515.263] PolymoZZ: ごそごそ
[1515.382] (S)ememeume: 道端
[1515.948] mguroupper: 気持ちはわかるけど毎回新しい話するの相当大変だよね
[1517.001] may0nn_aaaisee: rooBlank
[1517.056] yappa_giants: 早まらないで 思い直して 人生は楽しいよ
[1518.109] fqss0ztB: この絵面は新しい
[1521.805] gehenax: かわいいバッグもってた
[1522.174] (S)icyblue1985: 雑草配信
[1523.960] ゴウシ: 自殺かな？
[1527.265] (S)harahara02: てんぷらにしたらうまそうな草
[1527.345] (S)takeo_onakasuita: 歩道配信
[1530.585] LT123456: 草
[1532.603] mizuhiro1224: 縁石
[1533.139] (S)rotyokoro: 画面端
[1537.075] 000105: 先が尖った靴履こう
[1537.899] goejglsdf: 手前のぼやけ方がいいね
[1538.654] (S)aryupaka: 縁石配信
[1541.682] (S)ememeume: 野に咲く花
[1543.032] (S)えーひろ: いいアングルだなw
[1543.785] mugixxmugi: 自殺配信
[1544.121] (S)ilm0806: and shmartphone battery is 10% left lol
[1545.187] tk3333: 昇天しちゃうの？
[1548.541] helicom: 弁当？
[1548.548] (S)miso__aji: クロックス警察監視しててﾜﾛﾀ
[1550.307] (S)user0511: うめちゃんお弁当持ってるのか
[1552.219] (S)エリ_10: ほんと飛び降りっぽいw
[1553.351] gehenax: バッグかわいい
[1554.536] _こぺ_: え
[1554.840] 東北のスロカス: あなたさぁｗ
[1556.068] rm_rf__: お弁当バッグ
[1556.076] (S)tamachan0530: え
[1556.292] umechin7: おわた
[1556.326] goejglsdf: たー
[1556.544] (S)kumatedd: おわったあああああ
[1557.121] (S)icyblue1985: ァジでｗ
[1557.136] (S)ememeume: お弁当？？
[1557.378] FZ250: あ
[1557.737] (S)takeiteasy55: バカヤローがｗｗ
[1557.771] (S)kurataro: まぁしゃあないです
[1557.950] shichousha72: あっ
[1558.246] mizuhiro1224: おわたね
[1559.077] brittle0724: あちゃーｗ
[1559.566] sataraito22: 詰んだ
[1559.731] may0nn_aaaisee: ｗｗｗ
[1559.808] (S)かげでん: ウメハラと大阪、で講演
[1559.876] love_misaki: まーじかー
[1560.157] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1560.161] ono0011: うめはらがぁ！ 道路わきぃ！
[1560.381] (S)takeo_onakasuita: まさか
[1560.415] kireboshibasyato: 詰んだ
[1560.651] gehenax: わー
[1561.004] goejglsdf: 終わりです
[1561.342] (S)caruvi: おつ
[1561.538] (S)onoeserika7: おつかれー
[1561.802] h2hiroyuki: さーすがやらかし５神
[1561.841] tokitamun: ｗｗｗｗ
[1562.080] しきやん: いっその事、ネタ出しどうする？をネタにするとか？
[1562.972] efmaniac_jp: まさかの
[1563.359] LT123456: おわた
[1563.415] (S)桜風かなた: オワタ
[1563.459] moromororo: おつｗ
[1563.634] 東北のスロカス: おつｗｗ
[1563.785] _こぺ_: w
[1564.710] (S)takeo_onakasuita: うわぁー
[1565.066] (S)rotyokoro: あなたさあ
[1565.292] (S)gomeeeeeeen: おつ
[1565.521] fqss0ztB: エッッッッッッ
[1565.774] (S)takeiteasy55: おつ
[1565.819] umechin7: おわりです
[1565.856] mizuhiro1224: はい
[1566.633] ミノガメ: あ、はい
[1566.884] (S)kinpren: ＼(^o^)／
[1566.913] cobebell: おつです
[1566.945] helicom: はっや
[1567.053] (S)heterotopia3: ひーどい
[1567.081] (S)prisira: つんだかー
[1567.108] (S)orange88: いえいえ気になさらずｗ
[1567.345] shikahige: 閉門！
[1567.929] sora_neko09: あなたさー
[1568.291] umechin7: ごめーーーーーーーーーーーん
[1568.344] (S)えーひろ: おわやなw
[1568.592] (S)ememeume: 忘れたーー
[1568.698] optedout731: おつかれさまでしたー
[1568.858] yuki329: はいしゅーりょー
[1568.891] (S)icyblue1985: うそーんｗ
[1569.225] (S)xxzoids: umeYay
[1569.442] fl0kis: え
[1569.779] (S)nanmi__: umeSad
[1569.824] (S)takuan55213: コンビニで買え
[1569.872] FZ250: おつかれさまです
[1569.943] borkh3js: あちゃぁ
[1570.061] recycle4: 終わり
[1570.229] (S)kumatedd: 終わり、終わりです
[1570.422] (S)shiotama: 終わりかー
[1571.445] umechin7: もうしわけねーーーーーーー
[1571.667] ororoin: PokPikachu
[1572.670] shichousha72: ウメちゃん、どうして…
[1572.776] (S)エリ_10: おつw
[1573.334] gehenax: 終わったよw
[1573.335] bigsleeper: ｗ
[1573.719] tokitamun: 頭オオヌキ
[1574.935] (S)山田たろう太郎: LUL
[1574.966] mailgoo: 電池切れエンド
[1575.210] kireboshibasyato: せっかく菓子まで用意したのにｗｗｗｗ
[1575.979] mugixxmugi: 終わりか
[1576.074] gettyozi: 終わりの始まり
[1576.490] andy_of_a_down: コンビニで買いましょう！
[1576.580] PolymoZZ: わろた
[1577.023] (S)takeo_onakasuita: ありがとうございました！！！
[1577.468] (S)kurataro: 青5分というところか
[1578.700] (S)genshiken: umeFail
[1579.540] (S)ememeume: でも吉本行ったら充電できます？
[1579.690] (S)orange88: LUL
[1580.453] (S)桜風かなた: umeFail
[1580.565] hadogamosenpai: お疲れ様です。 
[1580.640] さそび: 謝罪を
[1581.022] (S)aram1234e: ごめーん
[1581.096] donchan012345: ちゃんとやれよーwww
[1581.216] yuum_88: あっはい
[1581.928] (S)wombatsf: umeYay
[1582.476] taru9999: 1%で耐える事あるから‥
[1583.589] (S)coolkatsu: w
[1584.534] (S)ilm0806: and over in a few minutes
[1585.511] ~MISSING_COMMENTER_INFO~: ぶっつりイったら電話できなくなるよ
[1585.603] fqss0ztB: いやーおどろいたね
[1585.724] 9211212a0105: ウメさんさーｗｗｗｗｗ
[1585.822] pfl2: 今後の予定は？
[1586.008] tk3333: これで、終わりだ〜
[1586.304] (S)シャチクイーン: はえええw
[1586.347] (S)二丁目: umeSad
[1586.631] (S)tohofuhai: 終わりワロタw
[1586.683] fapfapjpn: CoolStoryBob
[1586.770] (S)rotyokoro: ポンチーツモラストー
[1586.786] ミノガメ: これは6時間遅刻ですわ
[1586.859] (S)~MISSING_COMMENTER_INFO~: ～完～
[1587.282] 豆腐0014: 帰りも配信してー
[1588.251] mizuhiro1224: あと５～10分くらいか
[1589.306] charcoal_filter: 自動販売機で充電するか
[1589.320] forusena: こんびにで充電器かってｗ
[1589.508] (S)Rector0675: umeFail
[1589.520] LobotomizeR_: 対戦ありがとうございました
[1589.591] (S)フォグ: コンビニは
[1589.934] _こぺ_: バッテリー確認してからツイートしよ？
[1590.017] (S)kurataro: 人間だもの
[1590.520] (S)user0511: 充電器はあるの？
[1590.787] (S)kumatedd: ｗｗｗｗ
[1590.910] (S)AgaGuile: umeFail
[1591.316] (S)kinpren: 誰か届けろよなぁ～
[1591.531] higan1983: 戻ったらまた配信して
[1592.227] (S)shomarusan: ；；
[1592.495] (S)エリ_10: おつかれーw
[1592.810] cobebell: ウメちゃんらしい
[1593.766] hadogamosenpai: chiY
[1594.850] sora_neko09: バッテリーの限界へ
[1594.972] inaninnja: いきているのだもの
[1595.499] (S)uncle_yam: ぶっつりいったら今日電話無しかｗ
[1595.648] 東北のスロカス: いや緊急時ように少しは電池残して持ってた方がいいよ
[1596.940] (S)桜風かなた: あるさ
[1598.078] woodmud: そりゃサブスク更新忘れにも文句いえんわ
[1598.265] yellow01234: バッテリーは忘れがち
[1598.966] ShiroHojingu: お疲れ様
[1598.969] (S)えーひろ: しゃーなし
[1599.306] kireboshibasyato: 今日また配信する？
[1599.589] DaniloLopesx: CoolStoryBob
[1600.114] gehenax: 生きてんだから
[1600.671] (S)ememeume: ありますね
[1600.874] (S)icyblue1985: 俺の休日終わりっ！ｗ
[1602.451] goejglsdf: もってくれよ！ウメのスマホ！！
[1603.785] (S)takeo_onakasuita: にんげんだもの
[1604.139] bigsleeper: しゃあない 
[1604.323] ako484848: と言うことでね
[1604.896] (S)aram1234e: もーしわけねー
[1605.371] boke149: バッテリー買おう
[1606.630] (S)user0511: ッケイ！
[1608.035] Philomentus: What a relaxing stream.
[1608.349] momonga2223: いつもだろ
[1612.316] (S)ilm0806: バーディのVT２への対応について一言
[1612.410] (S)tamachan0530: コンビニで買えーい
[1612.933] umechin7: 今、パチンコ屋とかコンビニとかどっかに、充電できる場所ないか？
[1613.542] (S)nikkorogasi: しゃーない
[1614.256] (S)orange88: umeSalute
[1615.548] 000105: タクシーでワンチャン充電
[1615.657] (S)rotyokoro: ジョニィ出番だぞ！
[1618.361] h2hiroyuki: ウメさんそればっか
[1618.395] (S)gomeeeeeeen: 人生初の失態だねー
[1622.242] _こぺ_: 自分を信用しないで
[1622.516] guest56: 緊急用に2パーセントくらいでやめた方が
[1622.973] (S)wombatsf: 近くのファンボーイバッテリー持ってってあげて！
[1623.637] (S)prosciu: 寒いから消費も早そう
[1624.039] sataraito22: そりゃねｗ
[1624.995] (S)kurataro: トイレの次は充電器探しか
[1626.741] hadogamosenpai: chiZ
[1627.149] (S)ememeume: 吉本行けば誰かは持ってる！
