[24.626] 桜子ちゃん: こんちはー
[6233.658] (S)kyubeisan: がんばれー
[6238.211] papillon779: がんばれ〜
[6259.606] inufu: がんばえー！
[6260.544] (S)かなるな: え？今？
[6266.740] (S)かなるな: tonaka2Ganabare
[6269.754] (S)zakiyoka: tonaka2Faito
[6269.853] チュパチャプス: ああ〜
[6273.012] (S)わしのしわ: DinoDance
[6290.044] さくぅ_: tonaka2Faito
[6295.482] (S)かなるな: tonaka2Penraito
[6308.842] (S)かなるな: 細かいところに気がつくね
[6416.728] (S)かなるな: わぁ
[6442.332] しゆう_: tonaka2Oko
[6498.937] (S)はおちゃ: tonaka2Oko
[6507.162] (S)かなるな: ないすっ
[6606.063] bamboo3q: ないす
[6635.704] ヒビニチ: 硝煙弾で炎と毒消せるで
[6645.904] ridtyud: いいぞー
[6649.015] しゆう_: ないす
[6651.934] (S)かなるな: いけー
[6657.770] (S)シャケ猫: ごーごー！！
[6662.431] (S)シャケ猫: tonaka2Faito
[6687.350] ridtyud: うま
[6691.637] bamboo3q: いいね
[6693.697] papillon779: うまー
[6694.798] (S)かなるな: ないすジャンパ
[6698.364] inufu: うまいなあ
[6702.692] (S)かなるな: かっけえ
[6785.061] (S)はおちゃ: つえー
[6787.572] しゆう_: おし
[6789.765] ridtyud: おしー
[6805.253] (S)かなるな: 惜しいな
[6808.131] Juicewisdom: axeumBlush
[6810.997] (S)かなるな: まだいける
[6868.527] ridtyud: うわー
[6874.173] (S)はおちゃ: うわあ
[6876.928] (S)かなるな: バレたー
[6891.205] (S)はおちゃ: gg
[6897.805] (S)かなるな: まぁまぁまだまだ
[6917.310] inufu: どんまいどんまい
[6933.381] さくぅ_: gg
[6939.956] (S)かなるな: トイレどこぉ
[6949.233] (S)かなるな: おもろいねー
[6963.441] (S)かなるな: ドキドキする笑
[6967.481] papillon779: 見てても面白いよー
[6969.868] (S)うんぺるたる: みてるとやりたくなるなぁ
[6980.870] inufu: ヘンディーかっこいいぞー
[6999.766] ridtyud: ゲーム性は新しいね
[7005.022] bamboo3q: テンポ感いいね
[7018.798] papillon779: うんうん
[7024.359] チュパチャプス: ギリギリ勝てた時めちゃくちゃきもちいい
[7031.910] (S)かなるな: 逆転できるのいいよな
[7036.842] ridtyud: 競技あったら色んなメタとかできそう
[7056.549] inufu: ニュースで今日言ってた詐欺の電話来た笑
[7087.759] (S)かなるな: 近接な
[7090.342] チュパチャプス: ソード強すぎｗ
[7097.097] (S)シャケ猫: キリトやん
[7108.446] かけちょ: 透明ソードほんま炊く
[7159.154] (S)かなるな: ハンマーか
[7198.386] かけちょ: RPGマストバイです
[7232.480] (S)かなるな: 隠れてたのバレたもんな
[7243.391] (S)シャケ猫: 酒臭かったか
[7248.397] (S)大きな寿司: オイニーが
[7252.177] inufu: 索敵もあるのか
[7252.955] daichaaan12: BibleThump
[7258.177] (S)かなるな: ハイボールか
[7301.144] (S)シャケ猫: 重たいものを見ようとして
[7373.145] (S)シャケ猫: ドスパラさん見てます？
[7374.652] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[7399.048] (S)わしのしわ: 気になるところで止めるじゃん
[7429.098] (S)かなるな: 前のがついていけないか
[7463.192] (S)シャケ猫: 処分セールか？
[7478.050] (S)かなるな: 型落ちもええ
[7480.234] (S)シャケ猫: www
[7487.970] (S)かなるな: はいwww
[7581.487] (S)syao_2: 逆転マッチは獲得キャッシュ3倍らしいね
[7609.170] bamboo3q: 上位組固まってるなー
[7618.308] inufu: ｱﾁﾁな試合展開か
[7742.543] さくぅ_: tonaka2Faito
[7754.793] bamboo3q: ないす
[7781.217] (S)かなるな: tonaka2Ganabare
[7791.854] inufu: がんばえー！
[7877.404] (S)かなるな: あちゃー
[7910.894] papillon779: がんばれ〜！
[7927.543] ふか_321: tonaka2Faito
[7931.101] (S)かなるな: 頑張れぇぇぇ
[7969.870] papillon779: ナイス
[7970.869] (S)かなるな: ないす！
[8182.308] (S)かなるな: うゎ
[8255.411] ヒビニチ: これ最高なのよな
[8292.556] papillon779: イケー
[8299.624] (S)かなるな: いけー
[8331.035] あまぬぉ: エレベーター設置きちゃああああああ
[8342.500] (S)かなるな: あーーー
[8361.101] (S)かなるな: おしぃ
[8367.668] inufu: ナイストライ
[8368.055] papillon779: おしい
[8370.724] さくぅ_: nf
[8424.763] ミズキたん: こんばんは＼(^▽^)／！
[8497.960] あまぬぉ: グリッチグレネードとか
[8515.352] ヒビニチ: 煙で全部消せるで
[8567.942] ヒビニチ: このゲームグレつよい。ふつうの煙グレは毒も炎も消せる
[8606.075] ヒビニチ: 消せるで
[8623.466] Juicewisdom: axeumBlush
[8631.239] ヒビニチ: あるくない？？なかったけ？
[8632.768] あまぬぉ: あとは灰色の缶拾うか
[8648.271] ヒビニチ: このゲームグレ強すぎなんだよな
[8674.861] (S)かなるな: エレベーター設置きついな
[8737.370] みみみ223: ありぴどのゲームでも強いなぁ
[8738.389] (S)わしのしわ: フォートナイト元プロだっけ？
[8743.948] (S)はおちゃ: フォトナだね
[8791.593] ヒビニチ: ごめん間違えた。毒は炎できえて、炎は煙で消える
[8798.704] ヒビニチ: ジャンケン方式
[8803.968] あまぬぉ: 今確認したけど煙でガス消せないからガスは火だけやね
[8859.969] ヒビニチ: そうそう間違えた。記憶違いすまぬ
[8889.688] ヒビニチ: バニホもこのゲームあるよ
[8935.365] papillon779: 逆転しよ〜
[8971.796] ヒビニチ: 毒ガスは回復アビで耐えれる
[8978.479] siesta7117: 今回のチームメイト誰でしたっけ？
[8998.214] siesta7117: 今。ミュートで聴けてなくて…
[9003.916] jarashi119: 本番？
[9008.384] ridtyud: ここで決まります
[9017.890] papillon779: x
[9185.571] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[9222.554] siesta7117: ありがとうございます
[9245.458] ridtyud: ロビーの入り方練習するゲームw
[9269.282] (S)かなるな: チームにいるのにゲームにいなくてー
[9281.076] 皇シグレ: ファイトやでへんちゃん
[9293.979] inufu: でも昨日はしのみやいなかったし！
[9310.297] あまぬぉ: スタンガンさえなければ…！
[9342.554] (S)かなるな: 頼もしい
[9385.794] ridtyud: 昨日の味方は今日の敵
[9393.606] inufu: www
[9447.188] チュパチャプス: ふぉい
[9449.205] (S)かなるな: ふぉいwww
[9453.442] (S)zakiyoka: まさかのww
[9460.134] inufu: ええwww
[9465.771] (S)はおちゃ: Qちゃん
[9468.303] (S)かなるな: カイトくんもぶいすぽやね
[9479.706] (S)じぇにん: 泣かすか
[9481.216] チュパチャプス: ぽぉ？
[9483.408] (S)かなるな: よう言われるし
[9520.109] mika___zuki: がんばれ〜！
[9524.397] (S)はおちゃ: tonaka2Faito
[9529.864] さくぅ_: tonaka2Penraito
[9530.728] inufu: ファイティン！
[9544.825] (S)zakiyoka: tonaka2Faito
[9588.372] (S)かなるな: tonaka2Faito
[9924.488] (S)シャケ猫: いいよー
[9943.178] inufu: ナイスチームよー
[9966.482] あまぬぉ: うっま
[9969.120] bamboo3q: ないす
[9970.197] ridtyud: いいよー
[9973.247] (S)シャケ猫: tonaka2Makaserori
[9975.423] papillon779: ナイス
[10001.227] ridtyud: えぐw
[10054.005] osatti88: ｗｗ
[10060.154] ridtyud: ないすー
[10064.858] チュパチャプス: ぴょんぴょんｗ
[10075.413] ridtyud: いいんじゃない？
[10086.857] (S)シャケ猫: ないふぁい！
[10091.223] kamaboko0000: 3倍は1位のみ？
[10126.174] (S)syao_2: 1位のみやね3倍は
[10134.071] ridtyud: 一位のみなんか
[10134.570] vovovod: お酒も影響してそう
[10146.584] yamada326: gg
[10150.073] (S)はおちゃ: gg
[10156.672] (S)syao_2: 結構トロールかw
[10159.399] inufu: www
[10180.401] 522nechikoyan: 酒飲んでるからか笑
[10196.124] (S)natu0713: なんで大会で酒飲んでんねんｗ
[10217.084] inufu: 文句受付中
[10289.930] (S)シャケ猫: んな？やめてw
[10335.959] inufu: へぇー
[10378.797] (S)かなるな: スゥー
[10383.891] (S)シャケ猫: ちくちく
[10414.109] Juicewisdom: axeumBlush
[10422.205] (S)かなるな: あ〜
[10437.024] inufu: あらま
[10465.872] keitan0405: 酔拳やりすぎたかｗ
[10536.551] (S)シャケ猫: アプデま？
[10573.649] (S)かなるな: やってね
[10578.210] cocoamilk24: 901だけどねw
[10614.008] (S)シャケ猫: キューマルイチのヘンディー
[10622.309] vovovod: 試合はもう終わり？
[10670.906] すみれいろ: !member
[10671.007] (M)Nightbot: ヘンディー、ととみっくす、なるせ、如月れん、AlphaAzul、わらぶい、 らいじん、ひのくまらん、花芽なずな、NIRU、なちょ、まるーん
[10732.643] (S)シャケ猫: 一切りヘンディー？
[10737.153] (S)かなるな: 人きり抜刀斎
[10750.289] さくぅ_: 本配信ではデータ集計でました
[10890.007] ridtyud: 6位だー
[10899.796] (S)シャケ猫: 順位出たでー
[10903.613] 522nechikoyan: 順位出てるよ
[10905.476] さくぅ_: 6位
[10906.817] (S)かなるな: 6位か
[10958.063] (S)かなるな: くそお
[10980.936] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[11045.073] ridtyud: 6位何万円だったけ？
[11101.845] (S)シャケ猫: あー
[11106.394] (S)junn_0212: ww
[11108.376] さくぅ_: 5位までだね12万
[11121.770] ridtyud: Cまじかw
[11265.689] (S)junn_0212: なんやこれw
[11308.407] (S)シャケ猫: ないすー
[11314.671] (S)かなるな: tonaka2Nice2
[11322.538] 超越水: ナイス！
[11324.250] cocoamilk24: ないすー
[11331.076] ridtyud: 5000w
[11336.753] taroimo7590: 時代は近接かぁ
[11356.327] (S)かなるな: 近接が正解か
[11412.324] さくぅ_: 惜しかったね
[11466.042] (S)natu0713: 終わってるところはもう終わってるね
[11541.928] (S)かなるな: 短剣さん
[11573.573] (S)シャケ猫: 姫を守る騎士に
[11580.035] りきゅ0139: めっさん優勝か！
[11643.816] ridtyud: クソゲーwww
[11726.536] (S)かなるな: 香ばしチック
[11895.909] daichaaan12: 呂律w
[11927.358] (S)シャケ猫: すぐわかるなw
[12163.849] 民子たみこ: ないすうう
[12164.805] (S)シャケ猫: ないすー
[12165.412] (S)annindo__fu: tonaka2Ggggggggg
[12171.266] musasi0220: 本配信からこんばんわ、惜しかったですね〜でも楽しかったです！
[12181.016] papillon779: ナイス！
[12186.717] ridtyud: ないすー！
[12216.186] (S)シャケ猫: 酒飲んでるからや
[12247.174] Juicewisdom: axeumBlush
[12260.152] vovovod: ここんとこ毎日酒飲んでない？w
[12337.539] (S)シャケ猫: 塩焼きwww
[12348.289] (S)owo_8o8: ワイルドw
[12374.898] (S)シャケ猫: カリカリなら豚バラかな？
[12383.607] daichaaan12: 大きさ違うよね
[12625.102] daichaaan12: あ
[12707.084] (S)シャケ猫: ええてw
[12709.132] (S)zakiyoka: ありゃ
[12725.641] ridtyud: www
[12730.557] vovovod: 酔ってるだろww
[12756.380] (S)シャケ猫: スイッチオン
[12766.877] (S)natu0713: いや普通にうまい
[12781.714] (M)Nightbot: 面白いシーンなどがあれば”名前”をつけてクリップしてもらえると嬉しいです！もしかしたらそのシーンが切り抜きで出てくるかもです！メンバー、サブスク限定のディスコードサーバーもあるので是非はいってみてください！
[12845.909] ridtyud: おしーw
[12922.512] (S)シャケ猫: www
[13045.888] (S)シャケ猫: おつー
[13053.258] musasi0220: おつー
[13055.507] (S)zakiyoka: お疲れ様でした
[13057.491] (S)千茶: お疲れ様でした〜
[13058.476] (S)みにろん: お疲れさまでした
[13061.512] (S)annindo__fu: おつ 
[13066.725] (S)nakayu61: tonaka2Honane
[13067.486] (S)シャケ猫: おー待ってるよー
[13072.912] さくぅ_: tonaka2Honane
