[33.317] arare_1567: こんこんこん
[7720.184] いでんでん: 壁やられが問題だったんでそこが咎められましたね
[7725.852] 激動のマタドール: ソニック立ち途中で出るの嬉しい
[7739.446] g_dms: しゃがみからの確反強化
[7755.049] たつお: ソニファンの利便性が上がるー
[7756.587] 激動のマタドール: ヒートにも行くしね
[7765.430] g_dms: こーれでかい
[7791.762] g_dms: 7WK
[7794.868] 激動のマタドール: ７ＲＰ
[7806.057] テキーラ2000: コメントお初です✨ヴィクターについて見解をいただきたいです✨
[7809.660] たつお: 7LKです
[7817.089] 激動のマタドール: ｗｗｗ
[7820.131] g_dms: ごめんLKだった
[7822.852] catsoccer: こんばんは。何も知らないゲームのアプデ検証配信見て楽しめるのか検証中です。対戦よろしくお願いします。
[7825.586] (S)ta3z_: ｗｗｗ
[7825.638] (S)Takuge_mono: こうどなじょうほうせん
[7828.135] 激動のマタドール: ごめんＬＫだった
[7862.384] g_dms: 強制移行削除
[7864.858] 激動のマタドール: くそでか
[7869.153] たつお: 勝手に踊らなくなる！
[7873.702] gguntama: コンセプト崩壊！！！
[7875.137] g_dms: クイズ大会が加速する
[7876.546] ep1018: おお
[7878.363] (S)tamago67fa: まーじか
[7879.066] sylvus_: え
[7880.144] kaya0728: 使わくてもいいんかｗ
[7891.624] opuyoshi: 最初はレイジアーツほぼ確定だったライオンさん…
[7900.589] kaya0728: 上矢印なんかｗｗ
[7905.686] (S)musi_namazu: 実質消しでは・・・
[7914.455] g_dms: もうダーティから勝手に踊るスティーブ君はいないんだ
[7916.302] raki1470: ダーティもキャンセルできるんか
[7928.784] gguntama: つまりライオンハートは足手まといって…コト？
[7938.906] 激動のマタドール: 肩あっぱとかがでかいね
[7947.953] たつお: ライオンハート移行より-4くらいされそう
[7952.111] (S)Takuge_mono: ダンサーではなくボクサーであることをようやく思い出したスティーブ
[7955.596] (S)ta3z_: 明日が楽しみだ
[7964.037] 激動のマタドール: これはただのストレスやったから助かるね
[7967.866] gguntama: むしろなんで最初からなかったん？？？
[7972.462] たつお: ステブ使いとしてかなり嬉しいよ
[7973.524] g_dms: フレーム次第だけど強制移行のストレスは消えるねえ
[7978.506] 激動のマタドール: チュンリーで毎回構え行くのと同じやったからねｗ
[7985.386] kaya0728: 踊っちゃうから立ち回りで打ちづらい技が打てるようになるもんね
[7991.791] (S)beruze5963: レオのワンハイにもこれつけて……
[7995.153] g_dms: 問題のヴィクターさんです
[8007.625] margarita_217: 今日のトパチャン予選出ますか？
[8024.547] chef_oizumi: レオのワンハイうんち
[8030.868] 激動のマタドール: ビクター詳しニキに任せろ
[8050.183] 激動のマタドール: 強化だね
[8056.350] (S)tamago67fa: 開発陣はレオのことはよくわからないのでそのままです
[8063.663] g_dms: お手軽技は全部弱体
[8080.561] Tetsuya5963: doodGG
[8086.873] 激動のマタドール: まぁ変わってないって感じかな
[8110.611] g_dms: エデンはWP 据え置き
[8118.946] tomato_sinpu: 鉄拳のことはよく知らないのですが、割と大きな調整踏み切るタイプの運営さんなんですか？
[8120.187] 激動のマタドール: それカウンターで当たるとコンボいけるんだよね
[8136.993] 紫ゆかり: ブレードみたいな技？
[8139.948] g_dms: 半当て身技って感じの技
[8140.191] chef_oizumi: ノクティスのあれ？
[8171.987] g_dms: 当たり前体操
[8190.870] 激動のマタドール: パワクラ確定付けないのに意思を感じるよね
[8196.788] opuyoshi: コンパス！に構え移行が変化ポイント
[8209.437] g_dms: 代わりにダメージ下がって構え移行しないと+2Fです
[8230.752] 激動のマタドール: いうて変わんないと思うけどな
[8239.676] b043916: 許された感
[8242.143] タフタフ: ちょっと違う
[8261.667] 激動のマタドール: これ多分強いままだよ
[8264.951] hamham9999: 原田神の寵愛
[8266.892] g_dms: フェイルノートもいかれてますよ
[8274.744] g_dms: 発生鈍化、リーチ弱体
[8278.337] (S)Takuge_mono: レイジ零さなくなりました。おわり
[8280.052] bbimanim: ニーナもいかれてなかったな
[8281.874] カモナベ: 最近鉄拳8始めたんすけど友人のヴィクターにボコられたのでもっと弱体化して欲しかった
[8288.784] 激動のマタドール: シャオ変えなくて良いのー？
[8290.860] hamham9999: アズセナは表立って嫌われすぎた
[8303.672] bbimanim: リロイあれでええんか
[8306.648] g_dms: あぐらに行けや調整
[8308.568] b043916: シャオユウほんま…
[8311.070] タフタフ: ご褒美ぐらいくれよ
[8320.857] 激動のマタドール: いっぱい座って下さいというメッセージ
[8336.566] g_dms: 個性 個性
[8339.594] bbimanim: かりんなあ
[8351.745] 激動のマタドール: あの技一回画面の外に出てから戻ってるのかと思うくらい何も当たらんからね
[8354.755] (S)beruze5963: あれも個性だから……
[8357.385] b043916: 吉光あかんやふぉ
[8368.967] g_dms: 華輪とブレードと隼で無限に逆択
[8370.469] ナガシです: 今回投げれるから。。
[8374.147] hamham9999: 強みっす
[8374.223] bbimanim: 体力消費を鉄拳３くらいまでもどそう
[8376.630] 激動のマタドール: かりんせめてもうちょっと自傷ダメージ増やして欲しいよね
[8400.059] 激動のマタドール: ４ＬＫ
[8400.845] (S)tamago67fa: 体力減ってるからええやろの精神
[8401.325] g_dms: 4LK
[8410.009] opuyoshi: スーパー横移動
[8423.766] bbimanim: 白ゲージでもいいからもっと増やさんか実際
[8436.246] ゆうよく: 20年前から誰も幸せにならない技だと思ってる
[8438.496] ナガシです: 硬直とか今回手を加えられてるから。。
[8447.883] (S)rimokon67: すごい動くな
[8455.780] (S)tamago67fa: 4RPかな
[8458.371] 激動のマタドール: 方向も選べるし
[8462.392] タフタフ: HP減るし
[8471.598] (S)mawatari64: うおおおおおおおリディア楽しみだ！！
[8473.420] 田中パル子: かりんもコマ投げで投げられなくなるって考えると怖いですね
[8495.400] g_dms: 蜻蛉中の技、強化されてます
[8501.349] 激動のマタドール: 後、ブレードが実体力増えるのも良く分からん
[8503.263] (S)tamago67fa: うおおおおおアグレッシブ
[8519.030] (S)Takuge_mono: アグレッシブ言いながら逃げるな
[8531.253] b043916: リリどうすっかなー
[8547.340] 激動のマタドール: アグレッシブを完全否定する者やからね
[8556.065] hihiirosan: 格ゲーを冒涜してるだけの事はある
[8561.024] ナガシです: ブレードとカリン弱くしていいからガード有利技増やしてください
[8573.566] 激動のマタドール: いや、実際くそでかだよね
[8580.672] (S)mawatari64: リロイどうなった！？
[8581.576] NUMM_yama: 今帰宅しました。仁は大丈夫でしたか？
[8584.158] g_dms: カズヤポールステブレイヴンおめでとう調整
[8607.953] hihiirosan: 麗奈はさようならなのかなぁ…
[8609.737] hamokn: 一八そんな始まったのか
[8614.207] よどちゃ: キングも？ステステが三島より強い攻めありそう
[8616.865] 激動のマタドール: 三島使いは皆カズヤいきそう
[8624.513] bbimanim: カズヤ強化って聞いた時正気かと思ったけどやっぱりどうぬきは弱くなってたか
[8636.147] g_dms: あとは共通調整のヒートバーストとコマ投げホーミング削除がデカイっすね
[8639.712] (S)mawatari64: 麗奈ってそんなに暴れてた？
[8644.339] 激動のマタドール: レイナは今実際マジで強いよｗ
[8647.289] (S)Takuge_mono: 競技シーン結構出てたからなぁ
[8655.434] hamham9999: シャオちゃんと処刑して欲しかった
[8656.054] trick0918: 弱くなったのは誰になるの？
[8661.403] zon2: リリまだ舞えそうだけど少し萎えました
[8671.319] opuyoshi: カズヤってそんなに立ち回り部分物足りなかったかなあ
[8678.513] g_dms: フェンとロウも許され気味かと
[8681.134] hihiirosan: 調整は難しいわぁ
[8685.318] 激動のマタドール: リリはヒートスマッシュが入らんのはびびった
[8687.114] よどちゃ: リリはシステム関係弱いからなぁやりすぎるといっきに最下層に
[8691.976] yuzu_tekken: どぐらくんばんわー今日は鉄拳なんやね
[8692.865] (S)mawatari64: ブライアンはまだあかん？
[8698.837] カモナベ: 仁も弱体化？
[8699.440] タフタフ: 平八なら許されてる！差別やな！
[8701.624] ひまんちゅ10: 麗奈新キャラなのに…
[8707.786] (S)ta3z_: お父さん
[8718.303] (S)田中脊髄剣田中: お父さん
[8718.622] ゆきがら: 御父様
[8724.720] trick0918: 平八も許されてたか…？
[8727.080] (S)Takuge_mono: ファーザーフェイス
[8729.249] タフタフ: アズセナも新キャラや…
[8733.068] oli_va: 誰ですかこの方！？
[8736.603] (M)墾田永年私財砲:  関東・関西のお部屋探しは『おたくのやどかり』  https://otayado.com/contact
[8752.436] (S)mawatari64: 鉄拳8の新キャラって麗奈 アズセナ ビクターだっけ
[8758.993] (S)田中脊髄剣田中: こんなところ（ﾁｭｯ♡）
[8760.056] hamham9999: アズセナこれどうなったんだろ
[8763.230] catsoccer: この人新キャラですか？
[8772.921] nyarlbini: お父さんキャンセル
[8775.051] (S)やぎう氏: こんなところ(ﾁｭｯ♡)
[8778.206] まあたい: お父さん…
[8780.496] (S)鉄板: ちょっとね
[8780.508] hihiirosan: 麗奈使ってみてくれません？ｗ
[8783.334] ひまんちゅ10: やったー！
[8787.425] (S)田中脊髄剣田中: お父さん...どこ...?
[8787.825] pakorepukins: むかおわ
[8787.953] (S)mawatari64: さきっちょだけ
[8788.411] bosobaagirl: お...
[8788.769] yuzu_tekken: お、やるんや
[8789.990] 投げの助: 今回の調整で鉄拳勢の不満とかは解消されそうです？
[8792.066] (S)shi_a__: わーい
[8793.163] チムロク: どりゃ
[8794.199] hamokn: 開幕切れそう
[8798.886] hihiirosan: 即やめしそう
[8801.432] (S)mawatari64: 一八は？
[8820.276] (S)やぎう氏: 即やめ(ムカついてもやめない)
[8821.290] junkd0g_joe: どぐらさんの主観でいいんですけど三島ってやっぱどこまで行っても理論値キャラですか？
[8825.880] (S)Takuge_mono: まだまだアグレッシブ
[8841.516] タフタフ: 20:00時はこえる…か？
[8843.934] ttsujimon: 鉄拳のセール今日までなので買おうと思います！
[8861.312] catsoccer: 検証お疲れ様です。どぐらさんがモダホラ3で注目してるのはなんですか。
[8863.825] 激動のマタドール: 終了ですか？
[8871.928] opuyoshi: 発生13の無双連拳ください！
[8871.998] nyarlbini: もうヤバそう
[8875.610] hamham9999: 今イラッとしました？
[8876.188] junkd0g_joe: カズヤに鬼八追加して
[8883.963] (S)Takuge_mono: イラッとして～
[8884.139] (S)鉄板: ザフィーナと当たっただけで
[8886.015] タフタフ: ノビさん何で優勝やったん？
[8886.478] (S)mawatari64: 今キレたね
[8886.759] g_dms: もうおわりそう
[8886.968] catsoccer: あ
[8887.059] 激動のマタドール: 今のはぁ？は審議
[8891.136] sharkofjinbe: キャラが悪いよ～
[8897.753] (S)inemuri_tanuki: 足ほっそ
[8899.137] hamokn: 今のじゃぶすかは相当来たね
[8900.126] yuzu_tekken: 六腑ハイからコンボって昔みたいやもんな一八
[8906.039] タフタフ: 即イキあるぞ
[8919.009] kaya0728: コレは・・・・
[8921.449] (S)mawatari64: これはキレる
[8921.470] sn0wf0x3: www
[8921.923] hihiirosan: 鉄拳で怒らない人は本当に尊敬する
[8922.108] nyarlbini: んっ
[8922.595] trick0918: w
[8924.196] Deaxxaed: ww
[8924.970] justhit123: ｗｗｗ
[8925.093] shinobisugi: はい、ということでね
[8926.185] チムロク: イキそう
[8926.429] hamham9999: ...
[8926.939] bbimanim: ﾋﾞｷﾋﾞｷ
[8927.618] will4349: にこやか
[8928.551] (S)Takuge_mono: んっ アグレッシブ
[8929.495] (S)inemuri_tanuki: ヒェー
[8931.787] inoki4649: リーサルミスだから…
[8935.082] まつみん: うーんそらきれい
[8938.662] (S)やぎう氏: んっ！
[8949.210] chef_oizumi: シャオとこいつほんまなんも当たらん
[8950.116] タフタフ: 冷えてるか〜？
[8952.793] bbimanim: あかんか
[8953.848] 投げの助: まちなみきれい
[8954.570] hamokn: やめよっか
[8957.782] g_dms: うおおお水中戦
[8958.167] (S)トランスフルトリン: 辞めたくなってそう
[8958.341] justhit123: ふふ
[8959.240] (S)mawatari64: おっと
[8961.836] nyarlbini: 空キレイやなあ…
[8962.193] Deaxxaed: w
[8962.679] hamham9999: やめろざフィーナ！
[8964.307] bbimanim: おわりか
[8965.873] (S)やぎう氏: 厨二病おばさん
[8966.005] yuzu_tekken: 急におもたなったな
[8967.861] (S)鉄板: そろそろか？
[8968.337] trick0918: 水中戦始まった
[8972.820] ヒガシ: Wi-Fiか？
[8981.944] ささみ橋: ご飯時だから電子レンジ使ったかな？
[8990.789] 激動のマタドール: 今、楽しくて鉄拳やってる時間無限みたいに感じたっしょ？
[8995.818] ダリルちゃん: なんだ！？ この、げっっっそりとする感覚は！リ
[9013.537] タフタフ: なんだぁ
[9015.423] yuzu_tekken: ディレイ3F
[9021.684] (S)mawatari64: けっこうPCでやってる人スペック不足の人いますよね
[9033.413] 紫ゆかり: 鉄拳王なってる
[9033.862] (S)Takuge_mono: やめておけというバンナム神からのお告げかもしれん
[9051.480] (S)inemuri_tanuki: PCはお金かかるしな……
[9057.867] (S)inemuri_tanuki: 揃えるの
[9073.880] (S)mawatari64: 乙です
[9077.355] 紫ゆかり: 鉄拳かなりスペックいるっぽいもんなぁ
[9079.394] trick0918: うむ
[9086.637] ダリルちゃん: デビルジンのベジットソード好き
[9088.982] aki5568: 鉄拳ってスト６よりスペックいるの？
[9106.888] (S)inemuri_tanuki: スピリットソード？
[9109.117] kakao117: 推奨スペックでもカクつくよね鉄拳
[9112.142] opuyoshi: ゲーム機で言うとPS4では出てないゲームですしね
[9116.144] (S)shi_a__: ３Dだからいりそうな印象がある
[9119.020] (S)mawatari64: 鉄拳8の画質を楽しみたかったらかなり頑張らないといけない
[9119.486] bbimanim: スト６はＰＳ４にもあるが鉄拳８はないしなあ
[9119.881] 激動のマタドール: ザフィからの吉光
[9122.921] (M)墾田永年私財砲:  [本日の更新動画のコーナー] 今作はコマンドキャラ？ベガについてあれこれ考えるどぐら  https://t.co/EyPlO1eoGS
[9123.721] (M)墾田永年私財砲:  語るのが難しい格ゲー衰退論について https://t.co/oqMm8SOqqe
[9126.983] 投げの助: 鉄拳8勝って全然やってないからストーリーとかだけでもやろうかな
[9128.657] (S)鉄板: 鉄拳かなりスペックいる
[9128.725] タフタフ: ザフィーナのミニスカかなり不味くない？
[9130.837] g_dms: 地獄みたいなキャラ連戦
[9132.461] trick0918: よし〜みつ〜
[9136.639] ダリルちゃん: 昔はスピリットソード、今はベジットソードに変わってます
[9137.867] 紫ゆかり: ステージが広いし3Dだ
[9142.455] 激動のマタドール: 最近募金とかしてないんだ？してたらその２キャラは続かないんだけど
[9142.552] lamers2009: 推奨スペック程度ならそらカクつくよ
[9145.834] (S)inemuri_tanuki: えっ
[9147.231] タフタフ: 火輪こい！
[9154.427] (S)ta3z_: 雨の降ってるステージが特に重い印象ある
[9158.699] (S)inemuri_tanuki: ベジットソードに変わったんですか！？
[9159.210] (S)やぎう氏: なんでザフィーナ吉光と連戦せなアカンねん
[9160.684] (M)墾田永年私財砲: 徳 かぁ
[9171.818] kakao117: 推奨スペックとは一体…
[9172.667] kaya0728: 徳が足りないとこうなるんかｗ
[9173.245] irodo6: DLCに備えてエルデンリングsteamに突っ込んだけど容量鉄拳8の半分ぐらいで草
[9176.611] ささみ橋: 善行積んだらマッチングしなくなるのｗ
[9184.456] 紫ゆかり: 初戦2戦目と濃いメンツが
[9186.314] bbimanim: 本田ブランカあたりと連戦やってると思えばワンチャン
[9192.090] g_dms: こーれ次にシャオユウ来ます
[9193.187] (S)Takuge_mono: スペックもだけど回線も結構要求されるイメジ
[9197.742] (S)再度落選の大統領マルモリ: 自供したほうが罪は軽い
[9203.139] trick0918: 鉄拳勢的に今回のステージって評判良いのかな？
[9204.206] ぎゃみんぐ: 相手のキャラ武器持っててずるいな
[9206.384] 激動のマタドール: そこでツイスターおしゃれだねｗ
[9218.518] kenpisnake: 鉄拳何やっとるか分からんけど見るの面白い
[9224.186] chef_oizumi: 本田ブランカはまだかわいい
[9229.965] 激動のマタドール: 頼む！シャオきてくれ・・・
[9238.147] 投げの助: なんか吉光動いてるの見ると思ったよりかっこいいかもしれん。イロモノのイメージ強かったけど
[9240.451] trick0918: w
[9241.878] 激動のマタドール: ソダムで頼む
[9246.289] ささみ橋: このはぁ？は審議
[9249.158] (S)mawatari64: 何今の
[9249.591] trick0918: はぁ出ました
[9252.340] g_dms: クイズ大会はじまった
[9254.096] 紫ゆかり: すごいわざきた
[9254.480] bbimanim: おこ？
[9254.973] ダリルちゃん: ベンチマーク比較してきましたけど、あんまスト6と鉄拳8で推奨スペック変わんないっすね
[9263.460] (S)やぎう氏: ん？
[9270.567] opuyoshi: 他のPCゲームにも言えますけど推奨+もうちょいが理想なんですよね
[9272.248] (S)mawatari64: サイコクラッシャー
[9284.992] ramp_flame: どこまでコンボなのか全然わからないw
[9285.120] (S)Takuge_mono: やっぱデビルはムカつかせる側だよ～
[9287.049] (S)やぎう氏: サイコクラッシャー！！！
[9290.297] (S)inemuri_tanuki: お
[9296.645] (S)inemuri_tanuki: 昇格だ
[9306.610] 紫ゆかり: 横に弱くなってもやっぱサイコってわけ
[9314.484] ナガシです: 飛行からの打撃投げとアンリミテドサイコクラッシャーって似てない？
[9331.430] trick0918: あれが横に強かったのがよくわかんないよ…
[9345.880] 激動のマタドール: 久しぶりに見るとデビル良いキャラなんだな
[9349.818] (S)mawatari64: デビルの最風って成功してるか分かりづらいな
[9370.895] g_dms: はいブレードだよー
[9371.412] kakao117: ｗｗｗ
[9372.151] (S)shi_a__: www
[9372.555] bbimanim: どーん
[9373.317] sharkofjinbe: あっ
[9373.409] 激動のマタドール: めっちゃ音ズレしてる気がする
[9375.852] (S)mawatari64: おしまいです
[9376.338] toto3210119: なえでびちゃん
[9376.545] sn0wf0x3: www
[9376.724] ささみ橋: ｗｗｗｗｗ
[9377.915] 紫ゆかり: 草
[9379.455] (S)鉄板: おわろっか
[9379.470] trick0918: w
[9379.934] (S)Takuge_mono: つまんないいただきました～
[9388.392] yuzu_tekken: 追い突きミスったばかりに
[9390.090] TheYamaZaki12: つまんないとこ見るのがいっちゃんおもろいんだから
[9391.352] (S)やぎう氏: 終わっつるー
[9393.004] sylvus_: wwww
[9393.220] (S)rimokon67: おわりか
[9395.292] unimel1x: wwwwwwww
[9396.469] (S)shi_a__: くるっくるwww
[9396.499] bbimanim: 奈落あたるんかい
[9397.561] toto3210119: 最高のゲーム！
[9397.755] g_dms: おわっつる
[9398.171] (S)うちま_: ｗｗｗｗ
[9398.449] (M)墾田永年私財砲: ｗｗｗｗｗ
[9398.501] (S)mawatari64: はじめよっか
[9398.984] ひまんちゅ10: ｗｗｗ
[9399.020] sharkofjinbe: 2戦目で鉄拳おしまい
[9400.069] (S)再度落選の大統領マルモリ: 感情シーソー
[9400.475] gguntama: 気持ちわかるよ
[9400.796] ささみ橋: 手首ベアリング
[9401.275] 煮干し銀: 神ゲーか？
[9401.512] trick0918: 奈落w
[9401.851] 紫ゆかり: 間に合った？
[9404.145] zon2: クソ投げ合っていきましょう
[9404.379] unimel1x: 手のひら捻じ切れてますよ
[9406.227] (S)inemuri_tanuki: wwww
[9406.709] ダリルちゃん: どっちだよ(現場監督)
[9407.791] irodo6: 空乱れてる
[9409.104] (S)rimokon67: 神ゲー
[9409.809] east47: 神ゲー？
[9412.077] kentaro_y: wwww
[9413.086] (S)鉄板: 奈落一発で面白くなるゲーム
[9417.518] ヒガシ: 生駒デビルはなんか勝つ
[9419.561] sn0wf0x3: 手のひらくるくるw
[9426.495] (S)高カロリー豆腐マン: 4秒でw
[9427.663] タフタフ: にちゃあ
[9428.320] (S)Takuge_mono: ムカつくゲームはいいゲームってどぐらさんが言ってた言葉だからね
[9431.439] bbimanim: やっぱこのゲーム麻雀では
[9447.722] (S)mawatari64: サイコクラッシャー！
[9453.927] unimel1x: 相手もつまんねぇって言ってそう
[9456.539] opuyoshi: どうして鉄拳って感情の起伏が激しくなるんですか？
[9456.915] 激動のマタドール: シャオ頼む
[9457.591] g_dms: シャオユウこい！
[9459.433] trick0918: はいサイコクラッシャー
[9464.173] hihiirosan: 鉄拳神まで頑張りますか？
[9464.380] inoki4649: どっちもどっちすね
[9469.501] Deaxxaed: ww
[9470.328] (S)やぎう氏: ん？
[9471.446] toto3210119: え？
[9472.130] trick0918: はぁ
[9473.367] memeka: は？
[9474.257] east47: やべ～
[9475.375] (S)inemuri_tanuki: ん？、
[9475.852] bbimanim: これが鉄拳勢や
[9477.055] hoihoi101010: PunOko
[9477.350] g_dms: ジンかあ
[9478.944] (S)aquari_s: ええて
[9482.143] (S)再度落選の大統領マルモリ: 職人キャラ主張してる人でいい人見たこと無い
[9482.717] 激動のマタドール: 逆ワンツーマシマシで頼む
[9483.449] (S)アベ0206: 初心 初心
[9490.059] poooo_jp: 豪鬼理論
[9499.043] anemoi_thyellai: 難しくてもケイオスは許されたかい？
[9504.338] g_dms: ええぞ
[9518.530] (S)mawatari64: 豪鬼は職人キャラ
[9533.280] unimel1x: もしかして職人キャラは免罪符にならないんじゃないのか？
[9533.546] zon2: ４の懐かしのダサコスか
[9535.888] trick0918: 7豪鬼も職人キャラ定期
[9537.019] opuyoshi: 鉄拳4コス使いは仁大好きってのが伝わる
[9541.282] hihiirosan: ぶっちゃけスト6と鉄拳並行でプレイして混乱したりしませんか？
[9542.013] electric_gorilla: 鉄拳のサイコクラッシャーを見せてほしい
[9549.513] bbimanim: ホーミングなくなったばっかりに
[9550.537] g_dms: 確定
[9553.128] (S)mawatari64: 確定するんだ
[9556.141] toto3210119: んほ～
[9556.699] irodo6: 間に合うんかあれ
[9558.230] trick0918: あ
[9571.643] g_dms: お体に触りますよ
[9572.704] electric_gorilla: うおおおお
[9585.318] bushido_ai_: やってる〜？
[9595.874] hamham9999: ジンかっこよ
[9599.471] 紫ゆかり: 押しが強い
[9602.721] g_dms: ゴリゴリくる仁だな
[9607.601] bbredy: デビルのレイジかっこいい
[9607.813] trick0918: でもこのゲーム自信満々に振られた方が嫌じゃないか…？
[9637.023] namirou: 調整もうすぐなんだっけ？
[9637.507] 紫ゆかり: むっちゃ回復した と思ったら●んだ・・・
[9641.112] g_dms: はい
[9641.967] bbimanim: ・・・
[9647.107] hamham9999: あ
[9647.161] hihiirosan: みいたん覇王までいってるのか
[9647.450] unimel1x: 通常仁いまアツいんだっけ？
[9648.993] trick0918: w
[9650.399] (S)Takuge_mono: なんだかんだジンは素もデビルもかっこいいな
[9651.539] irodo6: ｶﾀｶﾀｶﾀｶﾀｶﾀｶﾀﾀｯﾀｯﾀｯﾀｯﾀｯ
[9651.892] pakorepukins: ｗ
[9651.966] opuyoshi: 。。。。
[9652.188] sharkofjinbe: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[9652.696] inoki4649: 仁は職人キャラだから納得すね
[9653.049] TheYamaZaki12: うける
[9653.646] Deaxxaed: ww
[9655.481] ささみ橋: ｗｗｗｗｗ
[9655.836] toto3210119: あっ
[9656.254] 紫ゆかり: ムカついてるｗｗｗ
[9656.471] kentaro_y: ww
[9657.350] g_dms: 20時まで持たない！
[9659.483] sn0wf0x3: wwww
[9661.180] trick0918: みんな怒ってるじゃんw
[9662.806] electric_gorilla: くうう
[9663.842] unimel1x: ストレス ストレス
[9665.599] g_dms: シャオきたあ
[9665.961] (S)tamago67fa: なんか違和感あると思ったら俺の鉄拳が対戦BGMもキャラセレBGMだからだ
[9667.881] 激動のマタドール: っけい！
[9668.053] hoihoi101010: 😡
[9668.275] bbimanim: 早い
[9668.324] TheYamaZaki12: 神ゲーどこいったんや！
[9668.711] hamham9999: いかん！
[9668.751] 投げの助: 草
[9668.904] ten_10fly: しなしなになっちゃう
[9670.293] bbimanim: からの
[9671.960] (S)Takuge_mono: 職人キャラ対決
[9672.125] gokoussgss: あっ
[9672.813] hihiirosan: ストレスの塊が来た！
[9672.875] myokosuke: こ、このゲーム……
[9673.477] Deaxxaed: wwwwwwwww
[9678.029] ダリルちゃん: あだ
[9687.065] east47: もうやめそう
[9687.819] (S)鉄板: このゲーム…ッ！
[9691.801] opuyoshi: 主人公の仁よりゴリラな女！
[9698.011] (S)やぎう氏: 草生える
[9712.109] g_dms: ザフィ吉光仁シャオってマッチングすごすぎるよ 神社行った方がいい
[9713.118] hamham9999: ｗｗｗ
[9719.677] electric_gorilla: うわあああああ
[9722.284] 紫ゆかり: ｳｰｱｧｧｧ
[9722.395] trick0918: 冷静
[9722.873] gokoussgss: ﾍﾟﾁ
[9725.398] opuyoshi: どの選択肢にも勝てないアーツ！
[9728.400] (S)やぎう氏: んっ！
[9730.931] (S)ta3z_: 迷わないって決めた女性は強い・・・
[9734.449] ささみ橋: お祓いが必要なマッチング
[9736.251] (S)Takuge_mono: いーや、シャオは職人キャラだね
[9744.253] trick0918: やっぱシャオ可愛いなぁ
[9751.600] ryu_kirino: 飛燕流舞こんな使いこなしてる人初めて見た
[9751.792] 紫ゆかり: ガー不ｗ
[9760.021] east47: シャオは難しいからね
[9776.906] trick0918: あれ鉄拳神って鉄拳王の一個上だっけ
[9787.745] 居留守3: 2個上
[9788.028] electric_gorilla: シャオユウ、フーリガンみたいな技撃ってくるやん！！
[9792.900] bbimanim: 鉄拳覇王がはさまる
[9794.963] hamham9999: いかっ
[9795.638] g_dms: 鉄拳王の上は鉄拳覇皇
[9797.878] trick0918: 2個かあざます
[9803.861] namirou: シャオの攻撃痛くね？
[9805.082] ラチくん: キャラかっこいいのに鉄拳ってなんで人口増えないの？
[9807.249] SHOELACE_kutuhimo: 春麗と同格レベルのう◯ち
[9808.678] 紫ゆかり: きちぃ～
[9811.087] (S)Takuge_mono: んっ 職人
[9813.680] hihiirosan: 8番乗り場やりましょｗ
[9815.286] sn0wf0x3: つええw
[9815.506] (S)鉄板: これはなかなかやね
[9817.626] ten_10fly: はい…
[9823.009] huurainomurabito: この勝利ポーズほんま煮える
[9824.287] (S)やぎう氏: やめるか
[9828.074] (S)inemuri_tanuki: これが職人かぁ……
[9846.062] electric_gorilla: 阿波踊りつえええええ
[9856.142] yuzu_tekken: しゃがみ前進でしたくぐる
[9859.740] hamham9999: 見てる分にはおもろすぎる
[9863.375] trick0918: クイズ大会
[9863.659] chef_oizumi: えら
[9869.922] desesseintes_: デビル仁ってスト6だと何相当なんです？
[9872.496] ryu_kirino: 流舞は横歩きとかでもいけなかったっけ
[9885.554] g_dms: 豪鬼みたいな感じかなあ
[9894.753] sustainxg: 鉄拳はなんだかんだで知識ないと難しいね
[9899.362] (S)Takuge_mono: 鳳凰とかいうクイズゲー
[9906.186] ittsun: このゲーム皆体力一緒？
[9906.396] g_dms: 扱いムズイけど最高値が高いキャラ
[9906.573] namirou: ジンて火力低いの？
[9907.054] electric_gorilla: うおおおお
[9920.518] (S)inemuri_tanuki: ストーリー上は殺意リュウみたいな感じなんすかね
[9933.042] goma58n: 仁は火力高いヒートも2番目に高い
[9955.100] g_dms: つんりか まあ確かに
[9962.845] ddmm1111: むずい強いヒロイン
[9965.293] 紫ゆかり: ﾄﾞｺﾞｺﾞｺﾞｺﾞ
[9968.901] (S)Takuge_mono: 飛燕ってこんな撃って良いんだ
[9970.448] ittsun: 技多いなぁ
[9977.222] electric_gorilla: 鉄拳は一年目あと2人追加キャラがおるけど誰がくるんやろなあ
[9977.355] desesseintes_: なるほどぉ
[9979.056] (S)gmg_kn: ムズさ春麗どころではない
[9982.996] inoki4649: クダンスくらいしかださないもんなぁ
[9988.167] chef_oizumi: 春麗より大会で見ないレベルでむずい
[9994.731] ストナイ: シャオユウは本田
[9999.544] ラチくん: 鉄拳って体力差あるっけ？
[10000.589] electric_gorilla: うおおおおおお
[10002.581] trick0918: w
[10011.545] g_dms: 体力差ないです
[10015.930] (S)やぎう氏: 体力差ないっす
[10017.187] 激動のマタドール: 当身弱くなったからくるくるドーンには紫雲確るんじゃない？
[10021.716] 紫ゆかり: 鉄拳は体力共通っす
[10028.502] trick0918: 全員共通
[10028.981] bbimanim: シャオユウはなんだろなあ
[10029.511] firatam: 明日の調整たのしみ
