[29.783] yatomn55: うす
[1681.077] とうぶんかた: キャプボで4kとかなかなかつかわんやろｗ
[1681.433] (S)はむはむ_: 良いものなのに・・・
[1688.107] アズリッド: カメラ用なら絶対そっち
[1689.849] pudding229: カメラならそれでいい
[1691.514] ikarosu_3: まあ用途が一丸なんで
[1696.065] クロマメアリ: ぼどかさんゲーミングノートパソコンっていいと思います？
[1710.133] とうぶんかた: 最近カメラ止まってる原因かｗ
[1731.137] アズリッド: ペダル使ってる人いるん
[1732.719] (S)96san_788: neoシリーズかわいい
[1735.387] pudding229: エルガトのグリーンスクリーンいつまでも在庫切れなんだよな～
[1738.900] きつね__: タッチするやつ買おう
[1741.007] (S)sas4m_: ノブつき良いよね
[1742.154] kane8n_sub: 釈迦さんめっちゃ持ってるから貰おう
[1743.064] しろねこ08: 新しくする？
[1744.083] tomtommy624: ツマミついてるんだ
[1744.591] ikarosu_3: ダイアルとかね
[1745.350] (S)venven8: かわいいよね
[1747.323] あとらすです: 今セール来てる
[1747.345] 友達の弟の友達が優しい: これ配信者じゃなくてもいる？
[1748.826] とうぶんかた: 一番ボタン多いやつにしよう
[1751.702] しろねこ08: 釈迦からもらうべ
[1753.170] dadadadadafafafa: 高すぎやろ
[1753.470] pudding229: 最近出たエルガトのneoシリーズかわいいぞ
[1754.153] (S)ぎあちゃん: ボド、まだ日本で売ってない時に買ってたよね
[1754.777] (S)sas4m_: いっとこう
[1754.972] ikarosu_3: 配信しなくても便利よ
[1754.975] dippzy____: 言うほど使う？
[1763.565] トムケイシー: 配信とかやらんけど欲しい
[1765.666] nnnn214: 配信してなくてもめっちゃ便利
[1767.244] アズリッド: ペダル人柱になってほしい
[1768.435] kane8n_sub: たしか音量調節とかいけるんだっけか
[1774.227] とうぶんかた: ネオっす
[1778.782] (S)96san_788: それ
[1779.649] (S)sinkakei: にお
[1782.963] アズリッド: かわいい
[1792.956] (S)sas4m_: 下の横長がタッチできるはず
[1800.801] ikarosu_3: 小さいけどモニターもついてるな
[1803.442] (S)はむはむ_: デザイン良いけど在庫なさそう
[1805.392] あぷあぷえる: かわいいけど機能面的にはプラスあんまない
[1807.692] おさむらいちゃん: フットペダルいいぞ
[1809.377] (S)venven8: 案件こないかな
[1813.136] deejaypj123: ｗ
[1814.289] dippzy____: ルームツアー用やん
[1825.260] 友達の弟の友達が優しい: エルガㇳってスカフとかコルセアの子会社？
[1831.866] きつね__: つまみがいいね
[1832.289] アズリッド: 釈迦さんがサバゲビンゴであててたからもらおう
[1832.684] コサンジです: えっど
[1833.271] (S)sas4m_: ほしい
[1834.475] reu2501: 無限まじか
[1834.614] sst_ff: KNOB付きならLOUPEDECK
[1835.272] ikarosu_3: 無限まじか
[1836.444] RinLinP: まじかよ
[1843.197] deejaypj123: それでDJしよう
[1846.201] Nyaruhote: loupdeckも良さそう
[1850.611] pudding229: ｗ
[1850.798] (S)96san_788: ｗｗｗ
[1852.806] dippzy____: それはそう
[1853.760] きつね__: 使い道がね
[1854.397] (S)sas4m_: Loupedeckってプラグインとかどうなの
[1854.602] とうぶんかた: いらんのかいｗ
[1857.351] あぷあぷえる: wwwwww
[1858.135] psyduck_cu: ｗｗｗｗｗ
[1859.668] アズリッド: 踊らないの？
[1861.639] きつね__: ｗｗｗ
[1862.869] sdxse: 足のやつは？
[1865.718] ikarosu_3: 羽つけないのか？
[1865.928] トムケイシー: いらなくてもこういうガジェットわくわくする
[1870.635] dippzy____: 編集業の人は良さそう
[1872.420] アズリッド: それほんと未知数
[1872.524] (S)96san_788: きたああ
[1873.272] とうぶんかた: ふみふみするのかｗ
[1873.927] ikarosu_3: ペダル
[1874.960] Aug_Leaf: ｗ
[1875.734] RinLinP: スタンミかよ
[1875.929] yuzupondering: ペダルｗ
[1876.502] おさむらいちゃん: これ持ってるけどいいぞ
[1877.613] イケザエライダ: 足版
[1879.078] あぷあぷえる: あーVCしやすくなる
[1879.295] ssssssssszx: きたー！
[1879.763] da1320: うーん
[1880.821] きつね__: 細かい設定する人じゃないとね
[1881.218] math_english: しろまんた
[1883.081] ikarosu_3: VCするべ
[1883.149] ふくむ: 光らないのか
[1885.844] 友達の弟の友達が優しい: 企画で使えそう
[1888.254] psyduck_cu: アムに押してもらお
[1888.983] tomtommy624: 懐かしい
[1889.049] dippzy____: リアルレレレ
[1889.219] ikarosu_3: ｗ
[1889.879] (S)96san_788: shirom30Naita_BW
[1890.742] WtYnT: 高すぎ
[1890.911] reu2501: 時代は台パンではなく床ドン
[1891.442] アズリッド: ｗｗｗｗ
[1892.009] (S)ぎあちゃん: レレレするか
[1892.183] (S)はむはむ_: まんた先生用
[1893.899] とうぶんかた: ぼったち漁り卒業
[1900.860] (S)mao_o9: 足でマイクミュートするとかカメラ切り替えるとか
[1901.913] ealice11: これでインパクト返そう
[1908.369] アズリッド: ペダル買って足元かめらとかつけてほしい
[1911.196] トムケイシー: とっさの時に画面切り替え
[1911.205] pudding229: エルガトのマイクアームくっそいい
[1913.681] きつね__: 配信需要多すぎだろ
[1914.900] 友達の弟の友達が優しい: エルガとはプチプラ？
[1921.037] (S)はむはむ_: 質が良くて間違いないからねぇ・・・高いけど・・・
[1934.243] わもん: あほみたいに綺麗な奴？
[1934.621] dippzy____: でもお高いんでしょう？
[1935.270] reu2501: これなら全部出せそう
[1940.112] ピタパンです: ヘンディそれだよね
[1941.891] アズリッド: まぁでも一眼レフが頂点よ
[1943.417] da1320: でもカメラならLogicoolで
[1943.758] ikarosu_3: どんな商品もそうやｗ
[1948.260] MrET507: これ買うならもはや一眼買うやろ
[1951.568] 友達の弟の友達が優しい: ボドは一眼だからいらないでしょ
[1952.731] きつね__: すっご
[1952.961] kachitoma: テレプロンプターも出してる
[1954.930] とうぶんかた: すご
[1956.134] ねぎねぎ: he-
[1968.423] (S)96san_788: ま、ざー
[1969.401] あぷあぷえる: www
[1970.162] ikarosu_3: GB
[1970.277] 友達の弟の友達が優しい: かせん
[1971.179] アズリッド: 宇宙で配信する？
[1971.627] きつね__: ｗｗｗ
[1975.683] わもん: グリーンバックは最近のメタではなし
[1976.176] pudding229: グリーンスクリーンずっと在庫切れだよ まじで欲しいのに
[1976.980] dippzy____: でも後ろのrionの顔見えなくなるぞ
[1984.489] ikarosu_3: rionが・・
[1987.558] kemononeko: たまにあると使えるクロマキー
[1988.183] とうぶんかた: この布結局邪魔よね
[1988.508] ピタパンです: ピタパンです subscribed with Prime. They've subscribed for 25 months! vodkav2Riddlesmile
[1992.600] とっしーです_: クロマキー Nvidiaの設定で簡単にできるぞ
[1997.907] kou18881: かせんさんこれじゃない？？
[1999.414] (S)mao_o9: デブかるびとりおん見れなくなるw
[2012.465] 友達の弟の友達が優しい: 百均で緑の画用紙買うのとなにか違う？Ｗ
[2020.034] アズリッド: ワイプ芸するには必須だよね
[2026.354] dippzy____: 流石に違うくねｗ
[2037.550] きつね__: 畳めるのがね
[2047.636] ikarosu_3: 普段が棒
[2052.019] (S)はむはむ_: 下から引き上げるのが良いよね
[2052.715] pudding229: Pixioも出してるんか
[2053.963] dippzy____: 引っ張ってしまうだけなのが良い
[2056.005] da1320: たいてい出しっぱなしになるけどな
[2063.163] (S)はむはむ_: チョットしたときに動かすの楽だし・・・
[2066.510] とうぶんかた: いいよねpixioの
[2071.152] ikarosu_3: カラーリングあるやつ
[2072.422] toro_poke: かわいいから気になってる
[2074.466] アズリッド: 映える
[2076.040] (S)ぎあちゃん: ここコスパいいよ
[2078.669] あとらすです: 最近キてる
[2078.824] あぷあぷえる: pixioサブモニとして優秀
[2079.165] _のあまる: 有機elのモニターとかどう？
[2081.496] わもん: VCJの協賛のPIXIOさん
[2085.611] きつね__: はっや
[2087.668] (S)はむはむ_: モニターアームもピンクなのいいいよね
[2089.591] 桜鏡月: くそかわいいな
[2096.347] あべさんです: あ
[2096.358] とうぶんかた: ipsだけどどうなんやろな
[2097.301] da1320: でも23,000円ならありか？
[2097.934] iamive6: IPSパネルだからいいよ！
[2098.171] 友達の弟の友達が優しい: IPSだらいいよ
[2098.567] シンラくん: 悪いよ
[2101.880] dippzy____: ｗｗｗ
[2103.355] heart_less_jp: ｗｗｗｗｗｗ
[2103.654] アズリッド: 苺のってそう
[2103.811] sdxse: なんか卑猥
[2104.562] aka_pencil: お，んな
[2104.848] (S)96san_788: ブイスポのRAGEもスポンサーだったな
[2105.318] とうぶんかた: これどうなん？ｗ
[2105.488] (S)sas4m_: 女おらんやろ
[2105.675] 7tk4: amakip1
[2106.053] aiudesu: wwww
[2107.205] kemononeko: 60の倍数でないと微妙か
[2107.424] あべさんです: ｗｗｗｗｗ
[2107.958] Nyaruhote: ごつい
[2108.182] ねぎねぎ: karubisNnn
[2108.764] あぷあぷえる: wwwwww
[2110.831] Ratenccy: 言い方よｗｗ
[2112.243] math_english: 女やめろ
[2112.561] dippzy____: 大人しくBenQ買っとけ
[2112.985] わさびのりが主食: 女はいません
[2113.079] R1haku_: モニターで冒険しづらい
[2113.400] あぷあぷえる: 化け物やん
[2113.838] a_b_c_d_e_fu: いいわねこれ
[2114.141] あべさんです: 女はいない
[2114.590] mizuhashi_ssb: マイメロとか好きなんやろ？＾＾
[2114.705] WtYnT: 女ぁ！
[2115.914] るあぎあ: ピンク嫌い
[2117.953] ikarosu_3: ライター草
[2119.437] たばこ___: 小6
[2120.008] heart_less_jp: 火で炙ってら
[2120.582] kou18881: これ単色揃え向けに作られたものすぎて。
[2122.689] 友達の弟の友達が優しい: 女の子ね
[2123.363] (S)mao_o9: 白やろ
[2123.863] MrET507: コンセントは隠すほうがはやい
[2126.643] (S)sas4m_: だっさ
[2126.793] とうぶんかた: ボドもピンクで揃えよう
[2127.038] dippzy____: ｗｗｗｗ
[2127.198] (S)sinkakei: ゲーマー女はピンクより水色よ
[2127.209] きつね__: ｗｗｗ
[2127.417] アズリッド: ｗｗｗ
[2127.783] あべさんです: ださｗｗｗｗｗｗｗ
[2128.888] とうぶんかた: wwwwwwwwww
[2129.096] とっしーです_: ちんぽやん
[2129.371] dippzy____: えぐ
[2129.668] Aug_Leaf: wwww
[2130.173] iamive6: ダサw
[2130.229] yuzupondering: ちんぽ
[2130.294] (S)mao_o9: www
[2130.297] (S)96san_788: いいね
[2130.323] るあぎあ: ｗｗｗｗｗｗｗｗｗ
[2130.345] tomtommy624: あ
[2130.357] tamachan_0123: www
[2131.210] あぷあぷえる: wwwwwwwww
[2131.241] gororiii7awawa: だっさ
[2131.481] pickaxe0000: www
[2131.813] コサンジです: 絶望の肌色
[2133.314] psyduck_cu: wwwwwww
[2135.095] あぷあぷえる: ださすぎw
[2135.279] ikarosu_3: 説明の日本語が・・・
[2135.931] mizuhashi_ssb: 和室
[2136.186] Rohey55: ばばあ
[2137.857] MrET507: 肌色はまずい
[2139.327] kou18881: だs
[2139.490] progamer_kk: 普通の色ですか？
[2139.650] reu2501: カエル化してるよ今
[2140.232] RinLinP: 肌色はまずい
[2140.573] きつね__: どこに置くんだｗｗｗ
[2141.697] R1haku_: ほぼピンクや
[2141.805] heart_less_jp: 肌色はまずい
[2141.815] とうぶんかた: オナホやん
[2141.903] shirona0303: だっせw
[2142.862] iamive6: 肌色…………………..
[2149.408] きつね__: すっご
[2149.702] アズリッド: えぐ
[2149.844] ikarosu_3: ピラミッドｗ
[2151.247] あべさんです: 火事こっわ
[2152.904] あしゅらちゃん: それ便利で使ってる
[2154.208] dippzy____: 普通に邪魔？？
[2155.612] とっしーです_: ピラやめて
[2157.246] yuzupondering: 配線えぐいやろｗ
[2159.344] (S)sakichan96: ピラw
[2162.974] イケザエライダ: タワーええんか
[2163.565] コサンジです: 家にピラミッドおける時代がきました
[2164.570] あぷあぷえる: タコ足でいい
[2166.629] (S)mao_o9: ピラミッドのメリットは何？
[2168.180] きつね__: ＡＰＥＸの△のやつじゃん
[2169.799] Nyaruhote: typeC端子付いてないのかな
[2169.860] びすこ博士: 肌色
[2175.578] mizuhashi_ssb: PC給電とかじゃなくてそういうのの方が使い勝手ええん？
[2175.603] ikarosu_3: スパイクやん
[2179.266] da1320: 電源タップならAnker 647っての見てみてくれ ケーブル内蔵でめちゃくちゃ便利だぞ
[2179.459] トムケイシー: 肌色って今時は言わんらしいよな
[2181.205] kou18881: コストコで買ったやつ一生使ってるや
[2190.435] アズリッド: 向かい合ってもつかえる
[2195.245] reu2501: ピラミッド型とかぜったいこの企業イルミナティーやん
[2198.722] イケザエライダ: 電源タップってどれくらいで買い替えてる？
[2199.466] あべさんです: やっす
[2200.857] わもん: やっす
[2202.596] (S)96san_788: かわいい
[2203.883] とっしーです_: 女がすきそうなやつきた
[2204.776] deejaypj123: やっすｗ
[2205.334] アズリッド: いいじゃん
[2206.074] reu2501: 目が痛い
[2206.226] kou18881: pcの置き方きも
[2206.694] (S)はむはむ_: いいねー
[2208.356] progamer_kk: ええてｗ
[2208.360] きつね__: いいね
[2209.026] ikarosu_3: ゲーミングをつけたら何でも良いと思ってる
[2211.321] mizuhashi_ssb: 女はこれで原神やれ
[2211.419] dippzy____: 甘雨
[2212.464] 世界の白猫: 女子か
[2212.913] ふくむ: 台パンしたら壊れそう
[2213.034] 友達の弟の友達が優しい: ニトリのゲーミングデスクかっこいいよ
[2214.247] とうぶんかた: 男しかおらんのに好きなやつおらんやろ
[2215.865] アズリッド: おなかすいたら食べれる
[2216.504] mci_foden: ピンク♡
[2217.484] sdxse: ゲーム要素どこ
[2218.503] (S)mao_o9: ピンクめちゃ推すやんw
[2218.992] kemononeko: L字は使いにくいとも聞くけど実際どうなんだろ
[2220.411] るあぎあ: ウエハースｗｗｗｗ
[2226.261] iamive6: 安すぎて怖い
[2230.384] あぷあぷえる: デスク安いな
[2232.747] mizuhashi_ssb: 俺らオタクはバウヒュッテ；；
[2233.984] 桜鏡月: 安すぎて怖いな
[2234.858] 友達の弟の友達が優しい: ぼどが今使ってるデスクおしえて
[2235.071] kou18881: ニトリデスクやん
[2241.047] da1320: ぺこぺこしてそう
[2241.978] R1haku_: ニトリのゲーミングコーナーみたいなの見たけど本体置く場所なかったな
[2244.888] deejaypj123: L字正直使いづらい
[2245.605] アズリッド: 普通の家具屋にないからな
[2245.623] あべさんです: ｗｗ
[2247.120] とうぶんかた: 最近結構普及してるよね
[2247.604] きつね__: ｗｗｗ
[2247.868] kou18881: wwwwww
[2248.185] あぷあぷえる: wwwwwwwww
[2248.214] ikarosu_3: うお
[2249.543] aiudesu: w
[2250.471] とうぶんかた: wwwwwww
[2250.962] アズリッド: ｗｗｗｗ
[2251.527] deejaypj123: ｗｗｗｗｗ
[2252.061] (S)はむはむ_: いいむ
[2252.274] (S)sas4m_: これ使ってる女痛いだろ
[2252.472] sdxse: 目が疲れる
[2254.507] tanaksan: wwww
[2258.402] (S)mao_o9: いいむ
[2258.477] heart_less_jp: 高密度冷延鋼
[2259.524] (S)sinkakei: プレなし
[2260.600] ikarosu_3: 高密度冷延鋼ｗ
[2261.490] あべさんです: 詐欺臭い
[2263.206] deejaypj123: 日本語でおｋ
[2265.130] とうぶんかた: 台パンも安心してできる
[2265.437] reu2501: こういう机よりダイニングテーブル買ったほうが広く使える
[2266.733] mizuhashi_ssb: 魔法陣ラグｗｗｗｗｗ
[2270.500] アズリッド: 魔法陣ラグｗ
[2270.954] とっしーです_: 普通の女がこんな部屋にしてたら痛々しいわ
[2271.613] ikarosu_3: 魔法陣草
[2274.536] きつね__: そのギターどこに売ってるんだｗｗｗ
[2280.102] kemononeko: デスクは汚れが付かない天板が良い
[2282.255] (S)sas4m_: ケツないやん
[2282.452] mizuhashi_ssb: ケツちっさすぎ
[2282.467] psyduck_cu: ちっさ
[2283.547] あべさんです: けつちっさｗ
[2283.631] 世界の白猫: スリーサイズ？
[2284.073] reu2501: けつちっさ
[2284.271] kou18881: 13バケモンやん
[2284.394] とうぶんかた: えっど
[2285.051] heart_less_jp: 尻ペラペラや
[2286.000] pudding229: えっど
[2286.239] あぷあぷえる: けつちっさ
[2286.472] ikarosu_3: ほっそ
[2286.635] RinLinP: 13ｗ
[2286.911] るあぎあ: 13？？？？
[2287.267] はなわれ: カスタマサビースついてる
[2287.741] tomtommy624: 逆三角形
[2288.789] deejaypj123: ｗｗｗｗ
[2289.790] (S)mao_o9: ケツ13
[2291.684] とうぶんかた: 逆三角
[2294.886] きつね__: ｗｗｗ
[2296.011] math_english: かるび
[2296.776] pudding229: ケツだけ貧弱だな
[2297.120] ikarosu_3: ドラム缶定期
[2297.596] あぷあぷえる: でっかw
[2298.745] mizuhashi_ssb: 風俗出来たら窒息するて
[2298.928] tamachan_0123: www
[2300.562] dippzy____: チェンジで
[2300.624] 世界の白猫: でっか
[2301.323] heart_less_jp: 使徒やん
[2301.854] reu2501: 逆三角形やん
[2301.977] Aug_Leaf: 普通の机は70か72cmなｗ
[2305.633] カラスです: k4senHague
[2307.121] あべさんです: karubisFurifurii
[2308.491] kou18881: ありけんか
[2308.754] da1320: ボンボンキュ
[2309.564] 世界の白猫: さすがにチェンジ
[2310.770] アズリッド: ｗｗｗ
[2321.174] あべさんです: ｗ
[2322.517] とうぶんかた: e元素やっすいよね
[2323.034] (S)sas4m_: でた
[2323.309] きつね__: やっす
[2323.456] ikarosu_3: やっす
[2324.221] (S)96san_788: きたあああああ
[2326.725] iamive6: 中華や
[2327.020] deejaypj123: あっつ
[2327.199] あぷあぷえる: e元素やからな
[2328.772] sdxse: ｗ
[2329.652] きつね__: ｗｗｗ
[2330.623] カノぴー: それ壊れます
[2333.280] mizuhashi_ssb: 0.1ぶいすぽキーボード
[2335.180] 友達の弟の友達が優しい: いーようそ
[2335.551] (S)はむはむ_: いや、いがいとしっかり・・・
[2335.993] wangeeee: ラピトリも出してるぞ
[2336.647] イケザエライダ: うわ
[2336.906] るあぎあ: 音うるさそう
[2337.184] とうぶんかた: うおおおおおお
[2337.842] ikarosu_3: かわいい
[2338.077] kemononeko: 100円で売ってるキーボードもあるしまあ
[2339.286] shirona0303: やっす
[2339.430] あべさんです: たかｗ
[2339.638] kou18881: そこの会社ラピトリ8000とかだよ
[2339.847] (S)sas4m_: そこそこまともに使えるらしいという噂の
[2339.888] mizuhashi_ssb: たｋｋｋｋっか
[2339.897] reu2501: 小学生が好きそう
[2340.236] dippzy____: たっか
[2341.017] (S)96san_788: e元素ラピトリついてるぞ！
[2341.321] sdxse: たか
[2341.790] 世界の白猫: かわいい
[2342.016] iamive6: かわいい
[2342.748] deejaypj123: かわいい
[2343.651] pudding229: Ｅ元素 ラピトリあるぞ
[2343.835] アズリッド: まぁゲーミングキーボードが高くなりすぎた感
[2343.916] tanaksan: かわいい
[2343.920] きつね__: いいね
[2347.113] da1320: 昔のワープロみたいなデザインだな
[2347.504] aka_pencil: 評価してほしいｗ
[2347.945] とうぶんかた: ちゃんとした値段で草
[2349.094] Aug_Leaf: ちゃんとたかい
[2349.291] とっしーです_: ガキが買いそう
[2352.361] ほくまる: それちゃんとしたキーボード作ってる会社らしいよ
[2353.318] ikarosu_3: シリコーンなんか
[2362.063] (S)はむはむ_: 遊び心があっていいね
[2368.399] 友達の弟の友達が優しい: キークロンっていうメーカーボドが好きそうな打鍵してるよ
[2376.812] (S)96san_788: かわいい
[2378.281] _のあまる: Niz、キークロン、HHKBええぞ
[2382.734] とっしーです_: ｗｗｗ
[2383.653] kou18881: 今キーボード何使ってるの
[2384.139] pudding229: e元素ですらラピトリあるのにロジクールさん・・・
[2385.630] psyduck_cu: いらねｗｗｗｗｗ
[2386.284] アズリッド: むかついたらクマぱんちできる
[2387.303] きつね__: BibleThump
[2387.444] deejaypj123: ｗ
[2387.513] cqrr0t_: 逆にダサく見えるて
[2391.738] Nyaruhote: ごちゃごちゃになりそう
[2392.737] reu2501: イラついたときにああ野ネズミ殴るんか？
[2396.054] heart_less_jp: @pudding229 
[2402.061] とっしーです_: それ俺も知りたい
[2409.750] str_ao: モニターライトは？
[2410.484] kou18881: pad収納棚
[2410.698] (S)venven8: 忍者飯
[2415.398] dippzy____: 沼だぞ
[2416.532] yokiki2: 配信用のコスプレとか？
[2416.597] ssssssssszx: 米
[2417.794] arisudayo0419: イヤホンは？
[2418.854] ~MISSING_COMMENTER_INFO~: クソフォントの令和最新版ガチャ
[2421.901] きつね__: しげき（ふりかけ）
[2422.397] (S)sas4m_: たけぇのか
[2425.264] ねぎ___: アケコン買おうぜ
[2427.402] kachitoma: https://www.amazon.co.jp/dp/B0CSCRF8L1/?coliid=I2LYJ7SGVJRFCQ&colid=LURSNY3IQ3K1
[2427.412] とっしーです_: 庶民は買えねぇのよそんなもん
[2427.536] (S)sas4m_: VOLT 176くらいしか思いつかなかった
[2431.483] reu2501: オーディオインターフェースはベビーフェイスプロ使ってるけどめっちゃ音質いい
[2434.421] mizuhashi_ssb: うんこちゃんが使ってるやつなんだっけな
[2434.628] kazard_: コンプレッサーOBS
[2435.606] da1320: 高いIFにコンプ入ってることある？
[2436.935] sdxse: Dが詳しそう
[2437.386] sugarbaronjp: 蛇足に聞いたほうがいい
[2438.895] (S)sas4m_: RMEとか？
[2442.714] dippzy____: RMEでいいやろ
[2445.413] とうぶんかた: コンプレッサーつきのやつかせんさんも言ってたな
[2446.145] ~MISSING_COMMENTER_INFO~: 蛇足がそういうのくわしい
[2446.586] RinLinP: たけールーター買おう
[2452.929] hengen_vip: 一般人使わん
[2454.861] kou18881: ローランドのやつか？
[2456.489] NeoN_1R0H4: https://amzn.asia/d/ahd5elF
[2460.723] (S)ぎあちゃん: 音割れるもんね
[2465.773] kachitoma: ２PC配信するならコレ良いぞ   https://www.amazon.co.jp/dp/B0CSCRF8L1/?coliid=I2LYJ7SGVJRFCQ&colid=LURSNY3IQ3K1
[2465.774] アズリッド: 高すぎると、ASIOドライバ必須になってOBSと相性わるいんよな
[2470.122] (S)sas4m_: Fireface uxc ii
[2473.778] kane8n_sub: ｗｗ
[2474.352] dippzy____: RMEのTotalMix使えるやつならコンプもループバックも使えて楽よ
[2475.037] reu2501: 音割れVDK
[2478.961] (S)sas4m_: Fireface UCX II
[2479.836] あぷあぷえる: それもアジ
[2480.273] (S)ぎあちゃん: obsでコンプかけるのはダメ？
[2483.112] とうぶんかた: obsのやつだとdiscordが音割れするしね
[2485.013] (S)96san_788: ローランド Roland BRIDGE CAST
[2490.620] わもん: APOGEE ( アポジー ) / Symphony Desktop オーディオインターフェイス
[2492.148] (S)sas4m_: UXCタイポ、UCXです
[2509.797] (S)sas4m_: OBSだとディスコにはいらんがな
[2512.581] アズリッド: OBSはVSTプラグインでかけれる
[2513.886] mizuhashi_ssb: 入力時点で割れてたら意味ないやろ
[2514.881] dippzy____: 掛けれるけど通話が別になる
[2516.964] (S)mao_o9: かけれるよ
[2517.233] (S)sas4m_: かけれるけどディスコにのらんで
[2518.410] kazard_: プラグインかったら
[2525.961] (S)ぎあちゃん: プラグイン入れる
[2533.223] (S)sas4m_: 無料でもかけれるけど
[2537.182] fkc_lemond: MOTU 826 おすすめ
[2537.609] kachitoma: この辺は蛇足がクソ詳しい
[2541.457] kou18881: 変わるけど、後ろにPAD並んでるの見ると、PAD収納棚どう？
[2552.292] Rou49671: ネックスピーカーのGNW10快適だった
[2553.064] あぷあぷえる: え
[2559.570] ssssssssszx: やろう
[2560.886] reu2501: たっか
[2563.631] アズリッド: でもハードでかけたほうがいいですね
[2563.867] とうぶんかた: www
[2563.997] da1320: いかついな
[2566.007] kou18881: たか
[2566.350] hengen_vip: まいくん
[2568.373] dippzy____: それそれ
[2572.464] (S)sas4m_: それ定価です
[2573.285] きつね__: でっか
[2573.708] Juicewisdom: axeumBlush
[2574.616] あぷあぷえる: それいいね
[2575.323] ssssssssszx: なにこれ
[2579.653] kou18881: 宅録すぎる
[2579.934] RinLinP: たっか
[2579.941] (S)sas4m_: サウンドハウスだとポイントけっこうつく
[2582.903] sdxse: PC買える
[2598.007] dippzy____: INOUT多いからだいたい行けるよ
[2605.662] kou18881: これ買うならサウンドハウスで買おう
[2608.483] da1320: ささるよｗ
[2611.280] (S)sas4m_: LINE OUTPUTでささる
[2613.205] (S)sas4m_: TRS端子かな
[2614.458] (S)sas4m_: 多分
[2614.646] deejaypj123: 流石に
[2618.692] MrET507: Outputを変換すれば
[2620.689] アズリッド: フォーン端子で出力できる
[2621.829] あぷあぷえる: 変換すればいけるくね？
[2632.363] (S)ぎあちゃん: フォーン端子のアウトから行ける
[2636.473] (S)sas4m_: TRS端子だから、アクティブスピーカーならいける
[2640.196] da1320: スピーカー、フォン端子じゃないの？
[2645.950] (S)sas4m_: LINE OUTPUT
[2646.930] MrET507: スピーカーは3.5ｍｍ？
[2648.154] アズリッド: すうじかいてるやつ
[2650.508] (S)sas4m_: 3つならんでるやつ
[2651.261] dippzy____: 右下
[2652.193] (S)ぎあちゃん: ラインアウト
[2653.787] da1320: 下の黒い部分の左のほう
[2656.448] da1320: 右や
[2657.650] (S)sas4m_: そう
[2659.773] (S)sas4m_: それの左側
[2660.531] dippzy____: それ
[2662.267] ZinM4cky: 後ろのline outあるよ
[2672.650] fkc_lemond: ANTELOPE AUDIO/ Discrete 4 Pro Synergy Core
[2675.735] tomtommy624: モニターアウトじゃないんだ
[2681.332] reu2501: 背面
[2685.801] (S)sas4m_: そうじゃね？
[2689.774] dippzy____: 代替１と２が組み合わせになってる
[2692.030] (S)ぎあちゃん: 基本1.2
[2693.406] (S)sas4m_: たぶん5.1ch対応とかそんな漢字
[2700.333] MrET507: ていうかヘッドフォンつながないならヘッドフォン端子から出してもいい
[2702.957] (S)sas4m_: TRS端子だから、直つなぎだとアクティブスピーカーだけ
[2704.976] (S)ぎあちゃん: 奇数がL.偶数がR
[2714.676] (S)sas4m_: ｗ
[2716.225] arlingtonnnnn: おRMEじゃん
[2718.668] (S)96san_788: ｗｗｗ
[2719.405] mizuhashi_ssb: いるわけないから買う
[2721.609] とうぶんかた: www
[2721.972] あぷあぷえる: wwwwww
[2723.213] きつね__: かっけー
[2724.326] aka_pencil: ｗｗ
[2724.824] reu2501: 絶対音質がいい
[2726.549] yayuuu2222: www
[2728.997] tomtommy624: antelope audio かっこいいぞ
[2730.106] (S)sas4m_: かっこいいから買うのは大事
[2730.361] kazard_: FLEX
[2732.586] あぷあぷえる: かっけー
[2735.650] sdxse: たっっっっｋ
[2735.905] blackpottt: かっこい
[2736.079] MrET507: BALANCEDだからTRRSじゃないかな？
[2737.494] reu2501: たっか
[2738.172] dippzy____: もしくはハードのコンプだけを買っていまのに繋げれば
[2739.934] アズリッド: たかｗ
[2743.530] わもん: たｋｋっか
[2744.724] tadanomegane: 38万ｗ
[2744.930] kachitoma: マイクは何使ってるの？
[2746.736] レフトハンド: やっぱ黒か
[2750.057] reu2501: これにするか
[2751.034] ikarosu_3: しかもこっちのが高い
[2753.799] dippzy____: 上行くんかい
[2756.687] mizuhashi_ssb: オーディオインターフェース界のポルシェはどれやねん
[2757.079] トムケイシー: わくわくするよね
[2759.489] cnp_u: 俺はこっちの方がオススメ
[2760.776] blackpottt: vodkav2Vodkka
[2760.787] sdxse: ｗ
[2760.943] とうぶんかた: さっきよりバカ高いｗ
[2762.165] しすいさん: you買っちゃいなよ
[2762.435] きつね__: たｋｋ
[2762.514] aka_pencil: 絶対使いこなせんｗｗ
[2766.870] blackpottt: 高くて草
[2769.500] sdxse: 使ってる人おるんか
[2771.483] レフトハンド: 768kHz
[2774.346] dippzy____: ちなみにくっそ音いい
[2775.535] hengen_vip: 1000兆分の1があーだこーだ
[2775.887] n4siki: なんや研究でもするんかｗ
[2777.496] aiudesu: たっっっか
[2777.517] fkc_lemond: そのメーカーの商品一覧みてみもっと高いのいっぱいあるよ
[2779.521] (S)sas4m_: それオーディオインタフェースじゃなくね？
[2781.123] トムケイシー: たっかwww
[2781.303] きつね__: ｗｗｗ
[2783.126] ikarosu_3: ｗｗ
