[23.824] わらじは多い方がいい: 待ってた！！！！！！
[1091.193] (S)_花_: wwwww
[1091.262] (S)kou7586g: wwwwwwwwwww
[1091.504] davallia_: wwwww
[1091.520] karume_yaki: wwwwwwwww
[1091.847] (S)小火_: ｗｗｗ
[1092.350] (S)リオレ: www
[1092.449] えびれど11: gutituNobahatena
[1092.587] (S)ありくいろーる: www
[1093.031] 哀れな人の子: gutituBoom
[1093.082] yumeji404_astrono2: www
[1093.464] (S)エズシュト: www
[1093.635] hakamekisakura: wwwwwww
[1093.676] みたらしいなり: gutituBoom
[1093.732] ren2212: wwww
[1094.183] (S)よもぎもちぅ: ww
[1094.337] うもうくん: 寝てる？
[1094.695] ram_nia: wwww
[1094.701] 島人3: www
[1094.780] ハチノス: もうメチャクチャ
[1094.990] (S)rion2510: www
[1095.074] こちょこがみ: 布とかね
[1095.078] (S)ことはみう: www
[1095.118] ふなもり: ~MISSING_MESSAGE_INFO~
[1095.421] yunory: まだ寝てる？？る
[1095.612] karume_yaki: ？？？
[1095.965] (S)といなみ: gutituBoom
[1095.990] uzura7373: wwww
[1097.424] つきあかり: 寝起きで頭回ってない？
[1097.514] やきなす: 寝起き過ぎる
[1097.681] (M)dryfruitmixtaku: オフレイドありRUSTは久々だな
[1098.385] (S)いぬスキー: gutituNobahatena
[1098.450] 1nv2: gutituBoom
[1099.579] にこぜろ: gutituHatena
[1099.593] eggaemgwt: gutituNobahatena
[1100.755] (S)ありくいろーる: おかしくなっちゃった？
[1100.885] うゆ__: 頭回ってない
[1101.092] みたらしいなり: 寝起き
[1101.918] (S)tetora0727: 花粉が脳に…
[1103.635] (S)翠晃冠: wwww
[1103.902] (S)ゆーぐりっど: gutituBoom
[1104.636] かぶら_: 寝起きだからｗ
[1105.781] (S)eiya_soiya: gutituBoom
[1106.501] うゆ__: gutituBoom
[1107.745] にこぜろ: gutituNobahatena
[1107.925] (S)ことはみう: 寝起きw
[1108.411] chocotart_11: 鼻声？
[1109.316] (S)ﾖﾝﾐ: ~MISSING_MESSAGE_INFO~
[1110.375] karakaraku: 花粉脳や
[1110.465] (S)ぽちょみ: gutituBoom
[1110.701] 玉響のぞみ: gutituHi
[1110.906] しおのおにぎり: gutituBoom
[1112.992] (S)noritamantohihi: gutituBoom
[1114.082] (S)second_san: gutituBoom
[1114.208] (S)ねむむいむい: gutituBoom
[1127.388] neon_0524: gutituHi
[1132.763] yuidayo2_ab: もぐもぐ
[1134.991] (S)ねこのさめ: gutituHi
[1137.901] (S)つぼこじ: お馬さんご飯
[1142.017] こちょこがみ: 記憶が
[1142.884] ロゾム23: gutituHi
[1147.301] (S)べんべむ: はや
[1149.069] 尉鶲: gutituHi
[1150.055] rukarukairuka: gutituHi
[1151.045] vegetab1e0831: 記憶の彼方だ
[1152.078] 水族館食う: gutituHi
[1174.798] みたらしいなり: gutituHappy
[1176.650] アリメ: ｗｗｗ
[1176.854] 多々良359: わお
[1177.621] mirin_rinririn: www
[1177.659] かぶら_: wwww
[1177.758] 梨一: ｗｗｗｗ
[1177.915] 薮坂: www
[1178.116] こやはやみ: ww
[1178.432] のかちゃん_: ｗｗｗｗ
[1178.601] kamonohashihamigi: www
[1178.738] yumeji404_astrono2: www
[1178.752] ハチノス: ｗｗｗｗｗｗ
[1178.795] やきなす: ｗｗｗ
[1178.892] すすのき: wwwwww
[1179.129] miina317317: wwwwww
[1179.892] 1nv2: wwww
[1180.028] おととか: wwww
[1180.225] にこぜろ: gutituHappy
[1180.448] 戒吏: wwww
[1180.527] ずうちゃ: ww
[1180.626] (S)second_san: wwww
[1180.656] (S)kou7586g: wwwww
[1180.667] (S)ことはみう: www
[1180.721] (S)ありくいろーる: びっくりしたw
[1180.739] (S)あひるごよ: www
[1180.948] うゆ__: わあ
[1180.974] こちょこがみ: あらw
[1181.188] loxoln: wwwwww
[1181.212] (S)0ㅏ아: wwwwwww
[1181.441] めたぬー: www
[1181.840] (S)といなみ: wwww
[1181.851] levia_11: wwwww
[1182.256] (S)はなかん: wwwwww
[1182.408] yuidayo2_ab: ！？！？
[1182.436] oci_neco: ラグいね
[1182.625] (S)ねむむいむい: wwww
[1182.687] (S)翠晃冠: wwww
[1182.717] cccla: www
[1182.932] (S)まこト: wwwwww
[1182.969] (S)_花_: wwwww
[1183.201] 白米塩バニラ: wwwwwwww
[1183.242] single_94: wwwww
[1183.349] オメルス: ｗｗｗｗｗ
[1183.526] にこぜろ: ｗｗｗｗｗｗｗｗ
[1184.117] ram_nia: wwww
[1184.367] noa_hakobune: wwww
[1184.832] (S)ヒロミヤ: wwww
[1185.294] __たう__: wwwwwwwww
[1185.327] (S)raro12346: wwwww
[1185.398] (S)べんべむ: w
[1185.504] n_yuuuna: wwwww
[1186.285] 薮坂: 引き戻されるー！
[1186.499] ドレイン: wwwwww
[1186.614] (S)エズシュト: wwwww
[1186.646] うめおにぎり: wwwwwwwww
[1186.684] (S)足し湯: www
[1187.291] (S)rion2510: www
[1187.853] uzura7373: wwwwww
[1189.015] (S)ありくいろーる: どうなってるw
[1189.440] (S)yogees_: 🍜
[1190.409] (S)翠晃冠: wwwwwwww
[1190.662] ずうちゃ: のめり込んでいく；；
[1191.729] りらるら: たどりつけないｗｗ
[1192.010] (S)turu_yume: wwwwwwww
[1194.878] neon_0524: www
[1206.435] hakamekisakura: ww
[1220.687] こちょこがみ: なるほど
[1222.404] 薮坂: まだその時ではないか
[1223.160] パンのアレ: 最終的な暴力に必要ね
[1228.294] 薮坂: www
[1228.803] miina317317: wwww
[1229.237] 梨一: ｗｗｗｗｗ
[1229.685] みたらしいなり: www
[1230.114] kamonohashihamigi: wwwww
[1230.716] とや_: ｗｗｗｗｗｗｗｗ
[1231.611] levia_11: wwww
[1231.678] おととか: wwww
[1231.716] 戒吏: wwwww
[1231.818] (S)べんべむ: ww
[1231.886] アリメ: ｗｗｗ
[1232.044] (S)ありくいろーる: www
[1232.575] yumeji404_astrono2: wwww
[1232.723] (S)ことはみう: wwww
[1232.745] loxoln: wwwwwww
[1233.185] にこぜろ: ｗｗｗｗｗｗｗ
[1233.543] こやはやみ: ww
[1233.639] 薮坂: つまみ食いしてんな
[1234.109] かぶら_: wwww
[1234.280] 1nv2: gutituTroll
[1234.589] davallia_: wwwww
[1235.295] みたらしいなり: 漁り残しがww
[1235.563] (S)といなみ: gutituTroll
[1235.703] (S)kou7586g: wwwwwww
[1235.919] (S)ありくいろーる: 誰だァ？
[1236.420] sora_mameee: www
[1236.691] こちょこがみ: 結構いいね
[1238.114] 256番: www
[1238.635] (S)yogees_: gutituTroll
[1238.883] あずちゃーん: gutituTroll
[1239.165] 玉響のぞみ: wwwww
[1239.289] uzura7373: wwww
[1239.391] ram_nia: wwww
[1240.327] 多々良359: gutituTroll
[1241.535] vegetab1e0831: これは敵同士の洗礼だ
[1241.706] にこぜろ: つまみ食い
[1245.108] パンのアレ: pvpできないなりの戦い方
[1260.283] (S)隼人さん: gutituHi
[1271.946] 薮坂: 自分に返ってきちゃう
[1274.344] vegetab1e0831: まあそうですけども
[1279.062] (S)とんこつ_123: 箱だけ取ってるねー
[1280.912] Mihall_9: gutituNyoki
[1303.039] (S)vash_246: vash_246 subscribed at Tier 1. They've subscribed for 5 months, currently on a 5 month streak! 
[1308.390] 薮坂: 確かに
[1312.068] zakuzakuya: なくてもよくね？
[1312.887] こちょこがみ: そうか
[1313.099] (S)ha_7_bi: gutituHi
[1313.691] (S)ありくいろーる: たしかになあま
[1317.747] 1nv2: 家建てる場所とか先に決めてたりする？
[1319.489] やきなす: ｸﾏｰ
[1320.524] kanpati2000: ！？
[1321.034] kegkke: 箱さえあれば生きれる
[1322.309] chris_vect4045: 維持費が勿体ないか
[1327.923] mirin_rinririn: しゃべーか
[1329.455] uirou256: 場所なくなるのが怖そう
[1334.299] karume_yaki: 維持費も勿体ない
[1335.261] ドレイン: 家なき子か
[1341.759] みたらしいなり: 20分で気付いてしまった
[1345.440] 薮坂: お金はバンクできるし
[1345.670] かわかちゅ: rustのファーム音好き
[1350.587] にこぜろ: ｗｗｗ
[1351.308] chocotart_11: gutituHigutituHi￼￼ 
[1351.386] かぶら_: ファーム楽しい
[1351.514] miina317317: 生粋のファーマー
[1351.749] (S)saaya_24: 楽しい
[1351.849] (S)_花_: www
[1352.697] こやはやみ: ファームいいね
[1352.974] シユウ: ファーム楽しいよね
[1353.179] みたらしいなり: ファーム配信楽しい
[1353.186] 戒吏: wwww
[1353.730] (S)ありくいろーる: やったぜ
[1354.085] おととか: wwww
[1354.163] ヌン0318: ファーム見てるの楽しい
[1354.171] 風鈴の音: わかる
[1354.202] karume_yaki: www
[1354.271] しろたび: ファーマー
[1355.194] (S)あひるごよ: wwww
[1355.553] 1nv2: ファーム配信でいいよ
[1355.720] うゆ__: Rustの音いいわぁ
[1355.812] levia_11: ファーム見てるだけで幸せ
[1356.299] (S)rion2510: いいね
[1356.342] 薮坂: gutituDance
[1356.497] (S)ことはみう: いいね
[1356.536] naga_m: ファーム最高
[1356.960] hinyari_pudding: ファーム配信たのしい
[1357.253] vegetab1e0831: 一生フェーズ1から進めない
[1357.421] (S)_ビビ_: さすがファーマー
[1357.634] (S)まこト: ファーム配信助かる
[1358.149] (S)といなみ: gutituDance
[1358.549] 梨一: ファーム配信助かる
[1358.944] (S)turu_yume: wwww
[1358.986] こちょこがみ: ファームゲーたのしい
[1360.272] ざらめめ: いいよ
[1361.808] レイト_: 生粋のファーマーだしな
[1364.361] やきなす: RUSTのファームでしか得られない栄養がある
[1364.423] single_94: ファーム配信良い
[1364.548] (S)いぬスキー: gutituDance
[1366.232] (S)サンダバンダバ: ファームはどんなゲームでもおもろい
[1366.509] にこぜろ: Rustの音いいよね
[1367.491] シユウ: 一心不乱にできる
[1368.128] こちょこがみ: ね
[1369.449] つきあかり: ね
[1370.479] アリメ: そうね
[1370.994] うゆ__: そうだね
[1371.519] しおのおにぎり: 頑張りすぎるなよ
[1372.143] (S)といなみ: そうね
[1374.374] uirou256: 色々揃っててびっくりした
[1375.102] sora_mameee: そうね
[1376.182] うもうくん: おー
[1376.676] (S)あひるごよ: そうね
[1379.098] アリメ: おー
[1379.874] shuriii0110: 言ってたね
[1380.079] mirin_rinririn: おお
[1380.879] うゆ__: 24時間配信よろ
[1381.396] (M)Nightbot:  !help と入力することで、配信で利用可能なコマンドを確認することができます。
[1381.522] levia_11: おお
[1382.490] yumeji404_astrono2: おお
[1382.543] たゆたや: おー
[1383.135] (S)rion2510: おー
[1385.113] neon_0524: 実際Rastのファームの音いい
[1385.293] あずちゃーん: gutituNice
[1386.695] (S)翠晃冠: おお
[1389.658] かぶら_: おお
[1390.797] まちあ41: おー
[1390.838] (S)kou7586g: おお
[1391.595] しおのおにぎり: いいね
[1391.989] lilya0130: おー
[1392.185] 梨一: やったー
[1392.614] ドレイン: おお
[1392.713] アリメ: おお
[1392.965] おととか: おお
[1393.000] karume_yaki: おおお
[1393.175] (S)ことはみう: おお
[1393.188] こやはやみ: おー
[1393.204] chocolateryy: おおお
[1393.265] nek0wood: おお
[1393.416] 戒吏: おお
[1393.504] Hinakong717: いいね
[1393.728] 1__いずみ: うれしい
[1393.901] にこぜろ: おおお
[1393.914] aki_and: おー
[1393.956] (S)saaya_24: やったー！
[1394.102] nanairofushigi: おお
[1394.107] みたらしいなり: やったー
[1394.114] あまとう__: おお
[1394.211] miina317317: たすかる
[1394.216] うゆ__: 嬉しい
[1394.460] loxoln: おおおお
[1394.553] (S)いのが: やったー
[1394.565] hakuseki13: おおー
[1394.586] つきあかり: おおお
[1394.737] kamonohashihamigi: 嬉しい
[1394.806] わらじは多い方がいい: やったぜ
[1394.820] ささざら: 嬉しい
[1394.955] mirin_rinririn: ありがてぇ
[1395.528] 薮坂: やたー
[1395.803] hinyari_pudding: たすかる
[1396.017] davallia_: ありがたい
[1396.071] (S)エズシュト: やったー
[1396.259] zakuzakuya: やったー
[1396.283] (S)トリア: やったー
[1396.529] (S)といなみ: gutituHappy
[1396.638] (S)_花_: やったー！
[1396.659] (S)さくらとねこ: gutituHi
[1396.665] なみのりを覚えない: gutituDance
[1396.672] xooxoxmo: 助かる
[1396.694] こちょこがみ: 昼配信もあったりして
[1396.750] sibshu: gutituHappy
[1396.928] (S)翠晃冠: まじで助かる
[1397.018] (S)きた喜多: やったー
[1397.243] ram_nia: おおお
[1397.317] 腹痛: やったー
[1397.455] (S)えぃみみ: ありがとう
[1397.730] たゆたや: gutituKansya
[1397.832] rutile_8: やったー
[1397.906] すすのき: やったー
[1398.044] シユウ: それはありがたい
[1398.256] (S)レアミナト: うれしい
[1398.334] (S)はなかん: やったー
[1398.447] ikasaki7221: やったー
[1398.502] naga_m: 歴史的ファーム
[1398.535] こやはやみ: うれし
[1398.809] neon_0524: 助かる
[1398.996] へいほーさん: 無言ファーム配信
[1399.152] 島人3: やったぁ
[1399.316] (S)いぬスキー: gutituHappy
[1399.346] (S)おいも___: やった
[1399.370] うゆ__: gutituHappy
[1399.602] うさきみん: gutituKansya
[1399.639] (S)rion2510: やったー
[1399.726] (S)rain_bow_wow: たすかる
[1399.927] yumeji404_astrono2: gutituKansya
[1400.045] yunory: gutituHappy
[1400.591] 玉響のぞみ: よっしゃ
[1400.762] cccla: うれしい
[1400.787] uzura7373: いいね
[1400.842] むネオ: たすかる
[1400.904] (S)ぱらめ: GWだしいっぱいやってくれ
[1400.919] にこぜろ: 嬉しい
[1401.215] (S)きた喜多: 助かる
[1401.251] つきあかり: ファーム見れるの嬉しい
[1401.406] (S)ねむむいむい: うれしい 
[1401.442] (S)小火_: gutituHappy
[1401.464] harus1on: たすかる
[1401.471] yushiashia: やったー！
[1401.501] hinyari_pudding: やったー！
[1401.924] (S)eiya_soiya: gutituHappy
[1402.807] 泥水浴び: gutituKansya
[1402.870] (S)ヤナです: 嬉しい
[1403.236] (S)翠晃冠: gutituHappy
[1403.253] (S)いこまななち: うれしすぎ
[1403.498] miromiso: gutituHappy
[1403.530] (M)dryfruitmixtaku: 昼間配信が
[1403.776] yuzu2356: gutituHappy
[1404.017] (S)ゆーーー_: gutituHappy
[1404.165] (S)といなみ: gutituKansya
[1404.637] (S)さめざぁ: gutituHappy
[1404.645] kamonohashihamigi: gutituHappy
[1404.816] (S)ごんみみ: GWだし助かる
[1405.418] (S)ことはみう: gutituHappy
[1406.828] syao7893: 懐かしい
[1406.887] (S)rion2510: gutituHappy
[1407.054] ikasaki7221: ファーム音だいすき
[1407.248] miina317317: ファーム配信うれしい
[1407.280] うゆ__: 昼配信あったりする？
[1407.771] 島人3: gutituHappy
[1407.812] (S)レアミナト: gutituDance
[1408.258] ｶﾆﾁｬﾊﾝ: gutituKansya
[1408.570] (S)犬すぎる犬: ww
[1408.721] deffe22: 無言ちょっとみたい
[1408.746] hakuseki13: うれしい
[1409.988] kunumo: gutituHappy
[1410.075] こちょこがみ: いいよ
[1410.741] アリメ: ｗｗｗ
[1410.896] おととか: wwww
[1411.137] 薮坂: www
[1411.494] とくん: gutituDance
[1412.072] tororo_omusubi: tororo_omusubi subscribed at Tier 1. They've subscribed for 17 months, currently on a 17 month streak! 
[1412.104] mirin_rinririn: wwwwww
[1412.268] メリノ: もうしゃべらなくてもいいから配信付けててほしい
[1412.620] (S)やえやま: gutituHappy
[1412.755] (S)しろた株: gutituHappy
[1412.839] loxoln: wwwww
[1412.900] kamonohashihamigi: wwww
[1412.946] (S)_花_: wwww
[1412.951] みたらしいなり: 切るなwww
[1413.839] (S)saaya_24: 無言でもいい
[1413.860] (S)翠晃冠: 無言でもいい
[1413.940] 薮坂: いいけどｗｗ
[1414.071] (S)ありくいろーる: www
[1414.508] 戒吏: wwwww
[1414.644] うゆ__: 無言かよ
[1415.419] yumeji404_astrono2: www
[1416.263] hinyari_pudding: 音がいいよね
[1416.468] (S)トリア: 作業しながら見るからいいよ
[1416.528] こやはやみ: ww
[1417.293] ドレイン: マイク切るな
[1417.408] ずうちゃ: テレ流し
[1417.901] にこぜろ: ｗｗｗｗｗｗ
[1418.401] (S)ことはみう: www
[1418.612] (S)ゆーぐりっど: wwww
[1418.831] ram_nia: 全然いい
[1418.870] (M)Nightbot:  ぐちつぼ が配信を始めてから 23 minutes 45 seconds 経過しています。
[1419.948] nanairofushigi: ぜんぜんうれしい
[1420.034] hakamekisakura: w
[1421.263] こちょこがみ: うん
[1421.369] (S)ぱらめ: 始まってるぞ
[1421.490] 薮坂: 人によっては
[1421.594] (S)saaya_24: 始まってる
[1422.873] シユウ: わからん
[1422.961] shuriii0110: GW始まりました
[1423.282] にうま: そうだぞ
[1423.805] わらじは多い方がいい: 始まってるとこもある
[1423.912] とや_: そんなもんない
[1424.138] butakoro: 今日からだぞ
[1424.562] (S)nan901: はじまった
[1424.628] uirou256: 黄金週間
[1424.628] loxoln: 始まってるね
[1424.704] みたらしいなり: 始まってるらしい
[1424.741] あまとう__: 始まってる
[1424.888] minibanbi: 始まってる
[1424.923] miina317317: 始まりはしてる
[1424.926] (S)rain_bow_wow: 始まりつつあるとされてる
[1424.988] eggaemgwt: らしい
[1425.340] うゆ__: 一応
[1426.016] るるむ_: はじまってる
[1426.190] (S)ありくいろーる: 一応今日から？
[1426.620] (S)kita_basedall: ありがとBGM流してくれてたら
[1426.834] わきるか: まじか
[1427.040] たゆたや: せやね
[1428.259] たこせん: 始まってる
[1428.669] レイト_: 世間では始まってる
[1428.721] quince_184: ひとによってはらしいね
[1428.849] single_94: 今日から
[1429.557] (S)はなかん: 始まってるよ
[1429.686] ぷるさん: はやいねー
[1429.691] (S)_ビビ_: 一応
[1429.717] vegetab1e0831: 定義の上では
[1429.792] (S)えぃみみ: らしいな
[1429.804] にこぜろ: 始まりはしてる
[1430.588] フールツパンチ侍: まだに決まってんだろ
[1430.821] mirin_rinririn: そんなもん存在しないよ
[1431.253] かぶら_: 始まってる
[1431.809] (S)turu_yume: 始まった
[1432.128] hinyari_pudding: そんなものはなかった
[1432.255] やきなす: 巷では
[1432.350] (S)ヤナです: 全然仕事の民
[1432.685] (S)kou7586g: 一応
[1432.996] (S)ﾓﾓﾀﾛ: GW始まったらしい
[1433.604] kanpati2000: そんなものは無い
[1433.822] 玉響のぞみ: らしいです
[1434.419] ししち: そんなものはないよ
[1437.071] meme0731: いーな
[1438.598] an_do121: 人による
[1442.574] naga_m: ぐちつぼウィーク？
[1442.583] シユウ: 今年GWまじでわからん
[1442.771] パンのアレ: ホワイトな人は始まった
[1443.515] まちあ41: ３連休と４連休
[1443.605] こちょこがみ: 10連勤の人もいるよ多分
[1444.235] (S)アオギリ: かなし
[1444.970] djdaah: そんなのあったっけか
[1445.836] (S)しろノ: 10連休✌️
[1446.918] karakaraku: ねーーわ
[1446.983] (S)トリア: それ
[1448.838] (S)ことはみう: わかる
[1452.143] チョコレト: ねぇ
[1454.882] (S)ありくいろーる: わあ
[1456.537] (S)といなみ: gutituKeosare
[1460.347] (S)翠晃冠: ちか
[1461.168] 96hachiware: 年寄りみたいｗ
[1462.492] miina317317: www
[1462.710] mirin_rinririn: wwwwwww
[1463.452] アリメ: ｗｗｗ
[1463.583] kamonohashihamigi: www
[1463.994] levia_11: wwww
[1464.299] minibanbi: wwwwwwwwww
[1464.508] (S)_花_: wwwww
[1465.463] (S)ことはみう: www
[1465.686] 戒吏: wwwww
[1466.233] loxoln: wwwwwww
[1466.351] umorigeru: こんにちは
[1466.474] (S)ねむむいむい: wwww
[1467.339] (S)turu_yume: gutituWaruikao
[1467.567] (S)rion2510: www
[1467.917] (S)といなみ: wwwww
[1468.034] やきなす: 検問されてる
[1468.311] (S)べんべむ: w
[1468.921] yumeji404_astrono2: www
[1470.494] みたらしいなり: 曜日感覚ってどうやったらつくんだ
[1471.520] こちょこがみ: いけるか
[1471.666] (S)yogees_: gutituKnife
[1471.859] hinyari_pudding: やぁ
[1472.081] (S)ゆいにゃん_: gutituThugLife
[1473.249] にこぜろ: ｗｗｗ
[1473.633] メリノ: gutituLetsGo
[1474.067] (S)アオギリ: gutituKnife
[1477.210] うさきみん: gutituKnife
[1478.043] (S)すうじー: gutituKnife
[1478.271] 薮坂: gutituLetsGo
[1478.565] 1nv2: gutituKnife
[1480.121] みたらしいなり: gutituKnife
[1480.659] うさきみん: gutituLetsGo
[1483.179] にこぜろ: gutituKnife
[1484.322] 多々良359: この弓かっこいい
[1488.034] sabon163: gutituHi
[1488.073] こちょこがみ: ラグが
[1493.527] 薮坂: うわー
[1495.539] しおのおにぎり: ヘリいる
[1495.965] (S)turu_yume: ラグ
[1496.069] rutile_8: wwww
[1496.536] (S)ありくいろーる: がんばれサーバー
[1496.857] (S)rion2510: ラグい
[1497.751] karume_yaki: うわー
[1497.942] こちょこがみ: なつかし
[1498.147] アリメ: ｗｗｗ
[1499.061] 1nv2: ww
[1499.253] おととか: wwww
[1499.464] levia_11: うわぁ
[1499.495] (S)saaya_24: 久しぶりだー！
[1499.556] たこせん: そうじゃん
[1499.650] kamonohashihamigi: wwww
[1500.129] (S)いのが: うわあ
[1500.551] メランジュ: うわお
[1500.620] 戒吏: wwwww
[1501.469] 多々良359: www
[1501.584] hinyari_pudding: 大忙しだ
[1501.813] yumeji404_astrono2: うわ
[1501.946] にこぜろ: うわｗｗｗ
[1502.095] (S)rion2510: www
[1502.138] mirin_rinririn: アタヘリだ
[1502.172] (S)べんべむ: すご
[1502.208] single_94: なっつ
[1503.078] (S)といなみ: なつい
[1503.287] (S)rain_bow_wow: アタヘリいいね〜！！
[1503.288] ハチノス: ｗｗｗｗ
[1503.938] (S)ゆーぐりっど: wwwwwww
[1503.974] Late1120: なつかしいな
[1504.649] ナスおれ: アタヘリとかあったわ
[1504.664] (S)ありくいろーる: おもれ
[1504.956] やきなす: そういや
[1505.168] しおのおにぎり: なつかしいw
[1506.008] とや_: なつい
[1507.228] (S)はなかん: なっつ
[1507.455] kamonohashihamigi: いたなそんなのも
[1507.650] (S)トリア: アタヘリとかなっつ
[1508.334] 6捨8入: 懐かしい響きだ
[1508.710] こちょこがみ: 楽しいやつ
[1509.421] にこぜろ: なついｗｗ
[1509.547] ししち: あーー
[1509.684] (S)せがわちゃん: なついな
[1514.972] quince_184: ひさしくきいたな
[1518.303] (S)べんべむ: w
[1520.455] 薮坂: 当たんな
[1521.246] mirin_rinririn: wwwwww
[1522.232] みたらしいなり: www
[1522.435] (S)ありくいろーる: 不思議弓
[1522.779] うさきみん: wwwwww
[1523.589] kamonohashihamigi: www
[1523.794] loxoln: wwwwwww
[1525.537] 戒吏: wwwwww
[1527.342] にこぜろ: ｗｗｗｗ
[1531.136] (M)dryfruitmixtaku: 動いちゃダメ
[1532.449] yumeji404_astrono2: www
[1534.559] 梨一: ｗｗｗｗ
[1535.403] (S)とんこつ_123: 構える時の音が良い
[1537.199] こちょこがみ: gutituHatena
[1538.471] karume_yaki: www
[1539.777] アリメ: ｗｗｗ
[1539.990] 薮坂: ボヨンいうてた
[1544.739] hinyari_pudding: 五月病か
[1545.376] (S)アオギリ: 気合足りねえ
[1547.934] みたらしいなり: 弓のやる気が無かった
[1548.642] mirin_rinririn: 弓としての自覚が足りてない
[1552.900] にこぜろ: 弱そうな音してた
[1557.178] miina317317: はい
[1557.855] 梨一: ｗ
[1558.644] 1nv2: gutituKata
[1558.809] oci_neco: wwwww
[1558.966] やきなす: ドン
[1559.600] 薮坂: なるほどな
[1560.313] ドレイン: はい
[1561.362] おととか: はい
[1561.366] ねこすけ25: www
[1562.426] みたらしいなり: gutituNobahatena
[1562.479] かぶら_: はい
[1562.648] でどすた: おん
[1563.402] yumeji404_astrono2: なるほど
[1563.520] 1__いずみ: w
[1564.325] にこぜろ: ｗｗｗｗ
[1564.480] アリメ: はい
[1564.689] (S)ことはみう: w
[1565.587] ししち: 浅い
[1565.616] kafeooooooore17: 100人友達作れるかな
[1565.620] (S)カニかに: はい
[1565.748] (S)といなみ: gutituBikkuri
[1565.961] (S)kou7586g: はい
[1566.715] an_do121: あたりまえ体操
[1566.917] kegkke: gutituKata
[1567.081] hakamekisakura: はい
[1567.771] うゆ__: gutituBikkuri
[1567.792] (S)いぬスキー: gutituNobahatena
[1567.969] uzura7373: なるほど
[1568.008] (S)turu_yume: なるほど
[1568.747] (S)rion2510: はい
[1568.801] hinyari_pudding: 深いなあ
[1569.021] totemo_sugoi: gutituNobahatena
[1569.059] すすのき: gutituHatena
[1571.521] にこぜろ: あ、はい
[1572.578] (S)eiya_soiya: gutituHatena
[1573.718] ちびちゃん12: gutituNobahatena
[1576.258] neon_0524: gutituKata
[1578.698] sibshu: あさい名言
[1579.055] こちょこがみ: gutituKata
[1579.949] (S)まこト: 俺か俺以外かみたいなやつ
[1583.861] (S)トロヒカ: gutituKata
[1592.036] mimumemu: リサイクル
[1592.398] (S)べんべむ: w
[1593.146] uirou256: さっきおるって言ってたのにｗ
[1598.619] 96hachiware: 当たり前のことをかっこよく言ってみた
[1612.178] (S)ありくいろーる: 序盤はええやろ
[1616.011] (S)rain_bow_wow: 一旦リサイクルしてあとで後悔していこう
[1619.917] メランジュ: 標識シバけばいい
[1624.463] パンのアレ: 道路看板もげ
[1629.672] しおのおにぎり: gutituTensai
[1629.908] ちびちゃん12: gutituBikkuri
[1630.929] 1nv2: へぇ
[1631.155] mirin_rinririn: 深い
[1632.378] 薮坂: お
[1635.571] ぽつかれ: gutituBikkuri
[1636.244] (S)ことはみう: おお
[1636.382] (S)べんべむ: w
[1636.913] レイト_: 名言グアス？
[1637.400] ずうちゃ: 4年前
[1638.482] えびれど11: かっけぇ
[1640.163] 梨一: 名言集でも作るの？
[1640.243] でどすた: 4年前！？
[1640.991] にこぜろ: gutituBikkuri
[1641.317] (S)せがわちゃん: 名言ングアスのスタック
[1642.106] totemo_sugoi: あっさ
[1643.981] 96hachiware: ｗｗ
[1648.889] (S)ささっき: ささっき subscribed at Tier 1. They've subscribed for 11 months! 
[1649.158] (S)ありくいろーる: いいね
[1650.635] karakaraku: 歴ふっか
[1650.800] neon_0524: 迷言か
[1651.406] epopopo_i: gutituHi
[1655.718] (S)ことはみう: なつw
[1655.751] うさきみん: wwwwwwwww
[1656.513] minibanbi: wwwwwwwwww
[1657.127] hinyari_pudding: なっつ
[1658.145] 1nv2: www
[1658.794] アリメ: ｗｗｗ
[1659.007] mirin_rinririn: wwwwwww
[1659.154] miina317317: wwwwww
[1659.178] かぶら_: wwww
[1659.289] (S)レばにら: なっつ
[1659.754] みゅちゃん76: なつ
[1659.864] ねこすけ25: www
[1659.993] 戒吏: なっつ
[1660.296] levia_11: なつかしw
[1660.743] yumeji404_astrono2: www
[1661.500] (S)といなみ: wwww
[1661.706] ka_su_mi_27: 夏
[1662.788] loxoln: なっつwww
[1663.426] (S)hayu_3: なつい
[1663.550] しろたび: なんで歌えるんや
[1663.773] ドレイン: なにそれ
[1664.199] ぱーーる: なつかしいw
[1664.287] (S)turu_yume: なっつ
[1664.571] メランジュ: ｗｗｗｗ
[1664.587] バブちゃん太郎: 虹のゲートまで～
[1665.355] (S)eiya_soiya: gutituDance
[1665.852] うさきみん: 同じこと思ったから笑っちゃった
[1666.083] (S)ミロロン: www
[1667.510] レイト_: gutituSing
[1667.692] すすのき: なつかし
[1667.758] (S)しゃこくん: 虹のゲートまで！
[1668.385] __たう__: gutituSing
[1668.551] uzura7373: なつかしいwwww
[1668.801] しおのおにぎり: gutituSing
[1670.014] 薮坂: gutituDance
[1670.508] えびれど11: なっつ
[1670.762] eggaemgwt: なつ
[1671.974] (S)いぬスキー: gutituDance
[1672.029] (S)_花_: gutituSing
[1672.546] (S)すうじー: うわやば
[1672.849] __たう__: なっつい
[1672.924] アリメ: gutituSing
[1673.009] yumeji404_astrono2: gutituSing
[1673.666] (S)ゆーぐりっど: gutituSing
[1673.739] うさきみん: gutituDance
