[27.069] pettan_omochi: かっこいいの着てるねぇ
[2081.603] jigokunonekomatu: 健康麻雀ってなんですか？
[2081.688] (S)kazukitaiga: ばかっ！
[2081.691] daisan777: ばか！
[2081.968] ロンロ: ｗｗｗｗｗｗ
[2082.032] nail06k: テンゴってなにぃ～
[2082.274] inkgran: こらっ！
[2082.394] (S)choco_mint6: www
[2082.407] ライム_: バカ！
[2082.515] (S)gyu_nyuu_pann: ばか！！
[2082.808] 墾田永年私財砲: 🎃
[2082.824] 000105: ゼウスもらえる
[2083.301] Loytory: ｗｗｗ
[2083.359] 第四宇宙速度: はいはい
[2083.443] いがぐりころころ: ww
[2083.447] (S)vungo_mr: なにいってんだっ！
[2083.468] (S)latenight000: もらえるわけないじゃんねぇ
[2083.553] potocki1810: umeNirami
[2083.810] underground0714: バカッ！
[2083.939] wakebera6k: 現物支給
[2084.104] mmiiacha: かぼちゃ嬉しいねぇ
[2084.583] (S)ババシャツ: 健康になる！
[2085.879] lucentsnow: 誠意 誠意
[2085.972] ~MISSING_COMMENTER_INFO~: トラップ
[2086.323] eremin_39: トレンド
[2086.444] (S)gyu_nyuu_pann: おやさい
[2086.602] tokogonish: 清老頭は？
[2086.802] yomogi0610: ｗｗｗ
[2086.805] tw_numa: 誠意だよ
[2086.980] (S)raurakd: おバカっ！
[2087.131] thunderbolt0422: 空気読んで！
[2087.379] chin_56_: パンプキン
[2087.700] (S)fikat_0702: 誠意だけね
[2087.729] (S)n242f45aa: 現物w
[2087.802] suginaka56: 食べるぞっ！
[2088.221] いがぐりころころ: ばかっ！
[2088.722] balthazar000: 誠意っしょ？
[2089.291] tabibitox: 誠意
[2089.322] tsubame5204: umeNirami
[2089.683] momochan6: かぼちゃｗｗ
[2090.056] ジャンクばっち: カボチャええやん
[2090.335] 勤務中: ぴーまん
[2091.280] 墾田永年私財砲: 🍙
[2091.520] soraban26: え、賭けなし？
[2091.622] ロンロ: ＪＡ提供です
[2091.897] tw_numa: 誠意
[2092.649] morinagasyuya: 現物支給
[2092.762] (S)ys120: どんぐり
[2093.059] haruka33: 誠意やな
[2093.227] daisan777: 誠意とか
[2093.832] jigokunonekomatu: きゅうりは？
[2093.962] mococyoko: 現物はありなんだ
[2094.026] (S)gazesd: 米いいね～
[2094.600] akiaki0612: 誠意
[2094.888] (S)redpeppar510: 戦後かよ
[2094.950] 黒鼓ぜろ: あとは誠意
[2095.483] (S)黒猫くん: 健康やなぁ
[2095.742] (S)wonderhit1: 三店方式かな？
[2095.768] 吉田じんぎ: お米
[2096.150] ﾃﾄﾗﾝ: 米はセーフなんですかね…
[2096.686] (S)shinobuchan4649: 🥒も？
[2097.307] だいこん_: ほんとぉ？
[2097.335] underground0714: ほんとぉ〜？
[2097.710] thunderbolt0422: 正月のドンジャラと同じ！
[2097.835] njpw2017: そういう誠意もある
[2097.980] whiteoctopus08: 賭け麻雀?w
[2098.468] Loytory: 平和そう
[2099.527] ootsukemono: クリーンだなぁ
[2099.611] (S)yossi392: カードがもらえるｗ
[2099.863] (S)n242f45aa: 健康やなあ
[2100.719] kebiisi: 平和だなあ
[2101.577] donnori_konos: きゅうりがいいな
[2101.661] nappamatei: 米担いでお客さん来るんですか？
[2102.215] ライム_: 封筒は？？
[2103.176] chipstar9: いたって健康
[2103.310] (S)ババシャツ: 封筒かなぁ
[2103.460] v_harumi_v: ww
[2103.647] (S)bec118_japan: かごにカボチャをね
[2103.901] nanasisan3: さすがウメちゃん、三太郎さんだと平気で答えちゃうとこだった
[2104.454] balthazar000: 揉む？ 叩かれるではなく？
[2104.806] Zuta222: ああ、そういうことね
[2104.975] akiaki0612: 缶コーヒー程度の景品
[2105.450] mabo916: 年貢か
[2105.530] ddb365: 味覚王のAのパスタソース母の日用に買ってみたよー
[2105.654] (S)れく太: カボチャって何の隠語なんやろなぁ
[2105.855] beehive3: 米は嬉しいね
[2105.981] kahaku91: 健全やな～
[2106.709] (S)1108044k: ひまわりの種はあり？
[2107.934] wahaha7788: パチンコと一緒で健全だねぇ
[2108.173] (S)gyu_nyuu_pann: クリーン クリーン
[2111.422] ~MISSING_COMMENTER_INFO~: どんぐりかわいい
[2111.544] kakko130: 健康麻雀ですよ！
[2111.632] (S)ima_son: tanuka1Donguri
[2111.882] (S)kani7321: 肩たたき券
[2112.153] カブトシロ: ムササビかな？
[2112.745] hojihojidx: レバーで昇竜でた？
[2112.769] v_harumi_v: ドングリかわいい
[2113.316] triton11519: どんなレートで打ってたんですか？
[2113.644] mendokusaiu: 知らないおじさんに肩もまれるだけ
[2113.874] underground0714: テンピンてなんですか？
[2114.143] potocki1810: 肩たたき券ｗ
[2114.974] takahashiseigi: 格ゲー界で一番麻雀が強いのは、ウメさん？
[2115.447] fisher420690: hii
[2116.021] suzu_mushi: それで７００はいややなぁ
[2116.116] hobit_ojii: デカリャン米
[2118.972] eremin_39: Twitterのトレンドで知った人よ
[2120.375] (S)junjamaica: たまに荒稼ぎって言葉出るけどね
[2120.602] (S)メタルぱんだ: え？エリシャツ着てる！！
[2120.698] tw_numa: んっ、健全
[2120.938] ジェノサイドカッター吉田: 満貫未満はエンコ詰めるって本当ですか?
[2122.054] (S)vungo_mr: お米１合何点ですか？
[2124.834] maddy2623: 麻雀うたせてくれてありがとう、ってお客さんは場所代だすんだよ～
[2130.694] (S)れく太: レートってなんですか？
[2134.262] rockmantarou: 味覚王コーヒー編ある？
[2135.022] foo_twitch: 誠意を見せあって野菜を渡す
[2135.874] hato_pizza: なんでパチンコだけOKなんだろね
[2139.640] akiaki0612: 麻雀で一番テンション上がった瞬間ってありましたか？
[2142.027] daisan777: ピンピン？
[2142.892] balthazar000: 専門用語
[2142.930] sakana_twi: レート･･･？
[2143.103] 吉田じんぎ: 点10カボチャ
[2143.424] underground0714: レート？🤔なんのレートがあるんですかね
[2144.742] iaheunanjda: レート・・・？
[2146.284] (S)メタルぱんだ: ん？
[2146.354] thunderbolt0422: 高レートマンション麻雀って実在したんですか？？？
[2146.968] 36mgh: ※彼は冗談を言っています
[2147.718] one596: れーと？
[2148.672] TEIKETTO: レート？？？
[2149.170] maddy2623: ピンってな～に？
[2149.390] nanasisan3: レートとは・・？
[2151.508] ~MISSING_COMMENTER_INFO~: パチンコだってお金渡してるわけじゃないですよ
[2153.026] (S)gyu_nyuu_pann: レートとは
[2153.612] (S)perfecttakahashi: あ
[2153.800] balthazar000: 誠意レート
[2155.685] suginaka56: ピンの24とは？
[2155.946] (S)1108044k: 誠意レート
[2156.933] lucentsnow: レート・・・？
[2157.020] mococyoko: かぼちゃ26個？
[2157.498] wahaha7788: レートってランクマみたいなもんでしょ
[2160.281] triton11519: カボチャのレートですよ！
[2163.443] nanasisan3: かぼちゃレート
[2163.721] aranami0: 誠意がね
[2164.898] (S)ima_son: 今は黒川基準っていうのがある
[2166.332] une3333: レート...?なんだね、それは...??
[2166.757] 36mgh: かぼちゃがね
[2166.986] ラフタリア0: 32歳だけどZERO３vイズム無しがストファイで一番好きです！
[2167.205] (S)goto888: ゼウス
[2167.257] (S)メタルぱんだ: ｗ
[2168.082] (S)gyu_nyuu_pann: お米の数
[2168.258] (S)れく太: ”かぼちゃ”がね
[2168.616] thunderbolt0422: ご無礼は実話だったのか...
[2168.906] (S)brutal9998: 本番までにZERO3の感覚取り戻せそう？
[2169.459] (S)junjamaica: こくのパチンコ対決か始まる
[2170.115] (S)vungo_mr: 隠語やんけ
[2171.270] (S)gazesd: かぼちゃね
[2172.150] ロンロ: そんな急ハンドル見たことない
[2172.280] morinagasyuya: カボチャがね
[2172.705] mmiiacha: カボチャ二個は相当な荷物
[2173.493] 第四宇宙速度: レート・・・？
[2173.911] daisan777: デカピン
[2174.686] kahaku91: マンション？
[2175.444] (S)n242f45aa: 黒川基準があるから今は
[2176.782] (S)pondenring0930: チョコレートの話がね
[2177.955] (S)perfecttakahashi: かぼちゃかぁ
[2178.842] 不渡哲也: かぼちゃが好きでね
[2180.702] (S)tonyudx2025: テンピンは合法？
[2183.559] (S)gyu_nyuu_pann: かぼちゃクソ重くて草
[2183.747] bufuagi: かぼちゃでかくない？
[2184.251] chin_56_: ハロウィンかな
[2185.896] sakana_twi: 良かった、カボチャだね
[2186.649] (S)kani7321: いちごももらえますか？
[2188.392] hato_pizza: 換金しずらいなあ
[2189.832] kinakobuta: じゃあ麻雀やめよ
[2189.941] gjthbkhtd_: 自動卓買って家に麻雀部屋作りましょう
[2190.960] (S)n242f45aa: めちゃくちゃ邪魔すぎるw
[2194.124] ~MISSING_COMMENTER_INFO~: w
[2197.071] tomato5910: かぼちゃ10個とか勝ったら大変だね
[2199.499] wakebera6k: 和気あいあいとしてそう
[2201.029] akiaki0612: かぼちゃ大好き
[2201.836] thunderbolt0422: みんな煮て持ち寄るのかな？
[2202.170] (S)れく太: 新鮮でうめーんだ
[2202.733] ootsukemono: かぼちゃ持参しないと打てないのか…
[2203.039] ポンポン: ウメちゃんそのジャンパーかっこいいね
[2203.872] 36mgh: かぼちゃんが邪魔だからその場でもっと持ち運びしやすい何かに換えてもらうんだよね
[2204.116] aranami0: 食われた方は悔しいんよな
[2204.806] market_fujisaki: カボチャ嫌いだから雀荘行けねーわー
[2205.600] triton11519: リャンピンの3－9までセーフ
[2206.737] kebiisi: 楽しそう
[2208.692] (S)shiru042: 他のテーブルゲームには「健康」って付かないのにどうして麻雀だけは健康って言葉がわざわざつくんですかねぇ・・・？
[2212.476] チョコミんト: 生カボチャw
[2215.102] askrsu: 取られた感すごいねw
[2215.515] kahaku91: かたすぎい
[2216.245] lucentsnow: マサと一緒に食べてた
[2218.261] ~MISSING_COMMENTER_INFO~: シャリシャリw
[2219.815] カブトシロ: 一個で腹イッパイになるね。
[2224.102] (S)新戸ぺろきち: こんばんは！
[2227.126] 36mgh: 麻雀がより健康に良いからです！！！
[2227.411] kaigaizei: だから通常はかぼちゃの代わりに肖像画でやりとりする
[2228.818] (S)gazesd: 草
[2228.916] 墾田永年私財砲: 脳にいいからかなあ
[2228.978] (S)gyu_nyuu_pann: ウメちゃんがレッドブルのお洋服着てるのあんまり見ないかも アパレル?
[2229.634] akiaki0612: 今年のカプコンカップのカボチャも美味しそう
[2230.787] ~MISSING_COMMENTER_INFO~: そういうこと！
[2230.914] nagilay1: 麻雀だけじゃなくてパチンコにつくから！
[2231.462] jigokunonekomatu: 健康という闇
[2231.617] 吉田じんぎ: 頭の体操だぞ
[2233.650] ロンロ: 野菜貰えるからだろ
[2236.681] one596: 健康ポーカーとか
[2238.696] sunu_p: 野菜食べて健康ってこと
[2238.931] 不渡哲也: かぼちゃは体にいいだろぉ？？
[2239.172] daisan777: そういうことって言ってんの！
[2240.987] TEIKETTO: 喫煙可か不可の差だよ！！！
[2244.300] mococyoko: めっちゃ健康にいいじゃん麻雀
[2244.851] balthazar000: 座りっぱでタバコ絡むからね
[2245.386] (S)1108044k: かっこいい
[2246.702] (S)bec118_japan: 襟かっこいいな
[2247.028] (S)tonyudx2025: 雀荘のご飯が美味しいって聞いたんですけど実際どうなんですか？
[2247.079] ebiebi12: Mildomビーストって解散したの？
[2247.525] pettan_omochi: 見せてぇ
[2249.436] サルクモ: みして
[2249.640] (S)junjamaica: 頂戴
[2249.903] (S)gyu_nyuu_pann: かっこいいーー
[2250.869] gjthbkhtd_: 好きな麻雀漫画は何ですか？
[2251.827] 36mgh: 全身の写真ツイッターに上げよう
[2254.403] よたーん: 良いおべべ
[2254.634] あかの: ブルトランクスもある？
[2255.290] aranami0: ブルのアパレルいいよね
[2255.380] iaheunanjda: めっちゃ厚着に見える
[2256.751] bufuagi: 服もらえるの羨ましい。服高い
[2257.174] maddy2623: 蛭子さんが捕まったときのレートはリャンピンだったらしい
[2257.530] mmiiacha: ブルのアパレル非売品なんだよねぇ
[2258.434] 吉田ジャスティスカツヲ: 最近お酒控えてる？
[2259.225] jigokunonekomatu: ファッションショーしてもろて
[2265.193] v_harumi_v: その上着似合ってる
[2266.032] (S)brutal9998: ブル色々貰えるんだねえ
[2266.978] akiaki0612: ボンみたいに色々着てよ
[2268.229] カブトシロ: 温かそう。
[2272.605] hobit_ojii: redbullの帽子とか被らなくて怒られないんです？
[2273.589] (S)gyu_nyuu_pann: ブルのアパレル、かっこいいけど公式のは高くてね
[2273.757] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[2275.797] v_harumi_v: 青が似合う
[2276.507] (S)bec118_japan: なるほどね
[2280.462] (S)gyu_nyuu_pann: 素敵
[2282.099] (S)cqc5555: 後ろの帽子ってカップヌードル？
[2282.626] 36mgh: もう初夏だからあ
[2286.689] (S)perfecttakahashi: 調教師みたいな服だな
[2290.895] サルクモ: 新学期だから送られてきたのかな？
[2292.685] goozy009: どきどさんも引っ越すらしいですね
[2292.735] laia1812: team beastに関してまだ話せないの？
[2299.641] ootsukemono: へぇ〜
[2300.806] (S)gyu_nyuu_pann: へぇー
[2309.180] (S)asksrg: 机の歪みがめちゃくちゃきになる
[2310.277] mmiiacha: 怒気怒
[2311.031] (S)perfecttakahashi: どきど！？
[2311.145] (S)gyu_nyuu_pann: 怒気
[2311.391] (S)1108044k: 怒きど
[2311.993] (S)raurakd: 怒きど
[2312.751] 36mgh: ときどさん家賃64万の部屋見てました
[2313.093] kaigaizei: 怒き怒
[2313.105] (S)gazesd: 怒気怒
[2314.504] akiaki0612: カップラの玉座座ってたよね
[2315.642] kahaku91: EVOJでしょ
[2315.919] チョコミんト: 怒気w
[2316.100] aranami0: 怒鬼怒
[2316.736] Siriaru0520: ヒトボは送られてこないんか？
[2317.268] chin_56_: どきどき
[2318.065] (S)goto888: 怒気怒
[2318.867] gajpmwtdpw: マダーフェイス
[2319.374] 墾田永年私財砲: 日清スト5でよく支援してくれてたよね
[2320.447] jigokunonekomatu: カップヌードルミュージアムいきてーなー
[2320.899] takahashiseigi: ベルセルク最新話、面白いですよw
[2321.832] (S)bec118_japan: スタイリッシュヌーブも日清にスポンサーされてるよね
[2322.033] balthazar000: 怒鬼弩
[2322.478] v_harumi_v: どきどさん
[2322.681] hobit_ojii: 怒鬼怒
[2323.929] (S)gyu_nyuu_pann: 漢字強
[2325.071] (S)mozu_882a: dkd
[2325.192] tw_numa: ときど引っ越し動画を鉄拳の原田さんが出してたね
[2328.084] gjthbkhtd_: マックって食べますか？
[2336.674] (S)fikat_0702: ウメさんTシャツ欲しいです
[2338.104] tamujiro: ビーストの新スポンサーって決まってるんですか？
[2338.929] hojihojidx: EVOｊもカップヌードルスポンサーだった
[2339.315] market_fujisaki: SFLも一回ついてくれなかったっけ？
[2343.234] Nebula1794: モダン操作ザンギエフ、心配です
[2344.318] (S)gyu_nyuu_pann: モスっす
[2345.060] horikawa_r_i_k: zero3かててますか？
[2348.179] 第四宇宙速度: ウメちゃん側のZERO3座談会は？
[2350.247] jigokunonekomatu: ときんすと原田さんはズブズブ
[2350.635] 黒鼓ぜろ: 後ろのパイプ椅子どうせならゲーセンみたいな奴だと面白い
[2350.744] horikawa_r_i_k: horikawa_r_i_k subscribed with Prime. They've subscribed for 38 months! 
[2357.517] (S)perfecttakahashi: w w
[2360.115] spring__thief: パンに炭水化物使うぐらいならラーメンにいきそう
[2361.700] 36mgh: ウメハラアパレル売り出したら即完売よ
[2362.736] (S)ojiiisam: ojiiisam subscribed at Tier 1. They've subscribed for 2 months! 
[2362.880] hiro_chan: マックって超旨くないですか？
[2364.339] (S)cqc5555: ビーストのアパレルお願いします
[2364.644] (S)ima_son: ファミマに売ってる
[2367.568] higan1983: ネモさんがまた動画上げそう
[2370.850] bunbun0880: ふるさと納税やってる？
[2372.643] (S)shiru042: G8SみたいにBeastもアパレル出せば売れそう
[2372.883] サルクモ: 今在庫持たないでTシャツ作れるから作って欲しいです
[2373.054] (S)gyu_nyuu_pann: ゼロ3はやはりレバー?
[2375.940] mememe10: uoo8 subscribed with Prime. They've subscribed for 22 months! 
[2378.934] (S)ぎんぎらぎん: 作って！Tシャツ👔
[2379.472] shokupan_10301220: ビーストグッズでレンゲ作ってほしい、ラーメンで使うやつ
[2381.480] kahaku91: いまは無いかもね 時期によってある
[2383.340] akiaki0612: ゼロ３は思ったより自分が動けてる感じ
[2385.482] チアリーダー: Mリーガーになるとしたら誰がいるチームに入りたいですか？
[2389.372] (S)kani7321: beastTシャツほしすぎる〜
[2389.509] (S)perfecttakahashi: ビーストって株式会社なの？
[2391.209] nanasisan3: ビーストグッズないのは商機逃してるねぇ
[2392.537] かずきんぐさん: 昨日の25年前のゲームの練習はどうでした？
[2394.121] tanikiyo: モダン試さないの？
[2397.359] tw_numa: レンゲほしー
[2400.229] jigokunonekomatu: ドムドムバーガーとコラボしてを救ってあげて
[2401.358] goozy009: むかし作ったスカジャン欲しいっす
[2402.372] Siriaru0520: シノさんが興味ないんだっけか
[2402.744] v_harumi_v: アパレルあったら嬉しい
[2403.224] カブトシロ: 黄色のTシャツにウメちゃんのサイン印刷すればOK。
[2406.135] hojihojidx: いま着てるのって紺？黒？
[2410.264] kiraku08: 今回のオジリーグ見に行きます？
[2412.300] 肉は18: 萩原聖人とチームメイトなってみたいじゃんねぇ
[2413.662] maddy2623: 20年やってるバケモン対10年先を行ってた格ゲーの神
[2414.880] dosaken_fx: 好きなプロ雀士はいますか?
[2415.469] ebiebi12: SFL
[2422.895] thunderbolt0422: 滝沢プロとは話したことありますか？
[2424.684] akiaki0612: ゼロ３は自分が想像してたより動けてる感じですか？
[2427.359] (S)baebae_6: YOUDEALのTシャツどっかいっちゃったな
[2434.744] kahaku91: あれ刺繡だし
[2438.044] (S)gyu_nyuu_pann: ビーストのTシャツとかある時代いいなぁ
[2442.849] lucentsnow: 対戦相手のいがりさんって知ってたの？
[2443.495] (S)junjamaica: 焼肉かけたパチンコ対決始まった！
[2448.383] tw_numa: 麻雀続けてたらMリーガーになってたと思いますか？
[2451.212] エリ_10: エリ_10 subscribed with Prime. They've subscribed for 29 months! 
[2452.367] Yoko4580: 七対子好きですか？
[2462.909] thunderbolt0422: 滝沢プロとウメさんの卓なんて、豪華すぎる...
[2467.587] (S)りりと: りりと subscribed at Tier 1. They've subscribed for 5 months! 
[2488.008] akiaki0612: ムツゴロウさんに想いはありますか？
[2489.877] takahashiseigi: 全盛期のウメv豪鬼とウメvリュウ、もし10先したらどうなります？
[2494.727] goozy009: ウメさんの麻雀師匠ってMリーグ出てたりしますか？
[2497.865] sei_6: チートイあがれない
[2507.130] user_5960: うめうめ
[2507.979] kirakiraname: リャンペーコーって安くない？
[2511.597] odoreminv2: スト６の情報続々でてますけど気になる新キャラとかいますか？
[2514.768] afro888: Zナッシュ対Zリュウって五分？
[2515.799] nozomaro: ハンターのDCCみたいに5分の練習で優勝なんてことはないのか
[2516.959] 墾田永年私財砲: 6の豪鬼の見た目どうですかぼくは好きです
[2520.528] TEIKETTO: 上級者から見ても多井って異次元なの？
[2524.580] (S)vungo_mr: たしかにｗ
[2526.310] lucentsnow: Zero3のザンギのヤバさ教えて
[2528.518] (S)1108044k: JPの情報もかなりでましたね
[2532.569] nanasisan3: 調整しろや麻雀運営
[2534.095] (S)psea560: わかりやすっ！w
[2546.250] 墾田永年私財砲: へぇー
[2546.923] akiaki0612: リュウとナッシュ、どっちが嫌？
[2556.420] _こぺ_: _こぺ_ subscribed at Tier 1. They've subscribed for 67 months, currently on a 44 month streak! umeSmoosh
[2562.534] (S)tonyudx2025: カンチャン待ちって意外と上がれるんですね
[2564.300] dosaken_fx: 園田プロがウメちゃんと打って打牌速度に驚いたって言ってました
[2571.932] gjthbkhtd_: 麻雀の強さって何ですか？
[2575.188] Yoko4580: 配牌即降り理論の多井さんか
[2590.607] maddy2623: マスミさんはバリバリ現役なの？
[2592.683] plumfield_kemono: ザンギ強そう
[2598.254] (S)junjamaica: うめちゃんが育てた奴とボンが育てた奴で麻雀対決してほしい
[2606.846] amenoohoshimimi: 6のリュウ同キャラは面白そうですか？
[2612.874] mococyoko: プロも時間制限ないんだ
[2627.623] サルクモ: 引きの良さは？関係ある？
[2630.499] ラフタリア0: 麻雀のルールが覚えられず困っています、、、
[2630.646] (S)n242f45aa: 麻雀における引き出しの多さってなんですか？
[2632.497] ~MISSING_COMMENTER_INFO~: 素人質問なんですがスト6でコマ投げにDリバって有効ですか？
[2637.441] xxzoids: そういや曽我（だっけ？）が主人公で天のスピンオフ作品が始まるらしいね。
[2643.536] nagilay1: ｍリーグは思考時間のルールはつけたほうが絶対いいと思うわ
[2647.435] (S)tonyudx2025: 当たり牌ってどう分かるの？筋と現物しか捨てれない
[2650.811] hojihojidx: 今回のzero3はオゴウクラハシの時のリハビリより時間割ける感じ？
[2659.021] (S)vungo_mr: おじリーグは観ますか？
[2662.089] akiaki0612: 最近スマホで麻雀はやってないの？
[2663.710] bufuagi: 両面よりシャボを敢えて選ぶとかあるの？漫画であるけど
[2666.509] Yoko4580: 符計算は鬼門よね
[2671.736] one596: 点数計算が難しい
[2673.382] (S)junjamaica: ならまちゃ強くなる？
[2679.600] yonayona04: 格ゲーと麻雀似てますね
[2680.609] Siriaru0520: ウメボンにゃん師は誰が強かったんです？
[2683.139] エリ_10: じゃ将棋と似てますね
[2683.410] (S)shinobuchan4649: いまは全自動卓が超有能よね
[2700.060] (S)brutal9998: 今のところスト6リュウとルークどっちが強そう？
[2701.081] (S)ノア1844: masumiさんはevoj2023優勝ですよね
[2704.229] (S)1108044k: プロ目線だとリュウよりルークのほうが強いって評価が多いですがウメちゃん的にはどうですか？
[2712.999] (S)BustaRhymes0014: 入目があるから
[2713.557] (S)baebae_6: 麻雀最近始めたけど東とか南って人によって価値違ってゴミじゃない？
[2718.443] kinakobuta: パリィをコマ投げしてもダメージ1.8倍？
[2719.314] ムエタイ: 麻雀の引き出しを増やすための練習って、どういう練習？
[2721.569] Yoko4580: 三麻は好きですか？
[2733.542] komine58: VERさんの印象あります？
[2737.846] 墾田永年私財砲: ｗｗｗ
[2738.564] imamu25: ｗｗ
[2741.312] (S)n242f45aa: 似てないｗ
[2741.574] (S)gyu_nyuu_pann: ww
[2741.637] ootsukemono: 似てないw
[2742.854] カブトシロ: バッサリ
[2744.434] yonayona04: ｗｗｗ
[2746.679] (S)yoyo_443: ｗｗｗ
[2750.827] (S)ノア1844: evoj決勝はmasumiさんといがりさんだったみたいですねｗ
[2753.880] shiro_risu01: BibleThump
[2758.370] potadesu: リュウでしゃがみ中キック→波動拳のあとにすぐ真空波動拳って出すのめちゃくちゃむずかしくないですか？練習しても出ないです なにか条件あるんですか？
[2760.576] suginaka56: 似てなかったかー 
[2762.325] tukumi07: 東と南は人によって価値違うね でも結局一周するから平等
[2765.724] esutark: じゃんがらでは こぼんしゃん食べますか？
[2766.585] 第四宇宙速度: じゃあmasumiさんに勝てたらいけるってこと？
[2766.684] akiaki0612: ゼロ３は対戦だけでトレモしたい感じとかはないのですか？
[2769.701] (S)perfecttakahashi: まだコンボミスとかするレベルだもんね
[2770.483] (S)オワオワタ: 麻雀に流れはあると思いますか？
[2782.217] kamiya1979: 翔ちゃんセミファイナル個人ポイント1位で凄い
[2791.145] (S)gyu_nyuu_pann: 打ち方とか人対勉強する的な?
[2793.590] niwakanoppo187: 昨日の座談会で話してたけどZERO3現役時でウメちゃんが苦戦した5分取られてた相手っていたんですか？
[2802.457] エリ_10: 経験値と引き出しなら将棋に似てますね
[2802.792] maddy2623: マゴさんはリュウよりルークの方がぶっちぎりで強いくらいのニュアンスで熱弁してる
[2804.598] (S)junjamaica: 例えば強い二人とウメボンと素人二人ガチふ～どが同卓したらどうなるの？
[2816.006] _こぺ_: ムツゴロウさんってめちゃくちゃ麻雀つよいんだよなぁって今ググったら先月亡くなってたのか...
[2816.327] Siriaru0520: 中足先端波動にインパクト確定するからきちぃってマゴさんいってたね
[2823.379] potadesu: すと６です
[2827.839] sakana_twi: でも麻雀て正解の引き出し開けても結果につながらない事が多いから評価難しいよね
[2837.718] odoreminv2: @potadesu スト６の話だったらそもそも繋がらないよ
[2841.196] (S)mothman369: モダンも触ってみますか？
[2846.299] はるかぜ3263: スト6で真空キャンセルできなくない？
[2847.121] masarin763: 割れ目ルールって関東だと割とメジャーなんです？TVでしか見たことない
[2850.975] goozy009: SFLのスケジュール考えると、今年のカプコンカップも日本枠は3人ですかね？
[2856.225] shiro_risu01: umeCatHope
[2858.162] tukumi07: 波動→真空は236P→236236Pだと思われてるかもだけどスト５とかは236P236Pで出る
[2866.158] (S)wonderhit1: そういえばはやし田行ってきたわ。おいしかったよ
[2867.960] 墾田永年私財砲: さすヌキ
[2871.124] (S)n242f45aa: やっぱ大貫なんだよなあ
[2871.686] tokogonish: あいいいいいいいいい
[2873.068] (S)gyu_nyuu_pann: ですよねー
[2873.885] inkgran: ｯｹｲ
[2874.246] (S)latenight000: スト6は波動拳から真空波動は出ないね、システム的に
[2878.290] (S)憂う者の弟子: あの！おおぬきさん！
[2878.408] (S)gyu_nyuu_pann: アイイイ
[2879.042] maddy2623: おじリーガーのあの人かぁ
[2881.339] kihiro_bq: アイイイイイイイ！！
[2897.526] komine58: masumiさんとガチった時って格ゲー離れてた時？
[2900.112] niwakanoppo187: ｗｗｗｗｗｗ
[2903.524] potadesu: そもそも出ないのですね。。。勉強不足でした ありがとうございます！
[2906.492] Loytory: かっけー
[2909.591] (S)n242f45aa: 無敵すぎてやめたはかっけー
[2912.630] tsubame5204: umeGoat
[2913.992] (S)gyu_nyuu_pann: かっこいいー
[2915.435] 第四宇宙速度: その神話の続き、見たくない？
[2928.004] ebiebi12: ドライブラッシュむずいわ
[2934.588] (S)brutal9998: 全くの無から入る人にとってはスト6はどう？
[2940.061] donder112: ギルティ勢からして目押しきついっす
[2943.667] chin_56_: 今モダンでやってる
[2943.678] (S)gyu_nyuu_pann: パリィって結局つよいの？
[2943.777] (S)baebae_6: スト5で急にコンボ簡単になった記憶がある
[2952.447] hiro_chan: ベッドハーフでウメちゃんのV豪鬼にボコボコにされました
[2954.565] (S)latenight000: SA1は通常技から、SA2はEX技から、SA3が通常必殺技からキャンセルできる
[2958.279] akiaki0612: Xのスパコンキャンセルムズイもんね
[2965.145] 吉田ジャスティスカツヲ: ヌキさんとバーチャやったことある？
[2965.484] masarin763: スト6共通システム強いですけど、キャラ別のシステムも多いですよね
[2971.508] shiemi483: shiemi483 subscribed with Prime. They've subscribed for 12 months, currently on a 2 month streak! 
[2971.602] 第四宇宙速度: 2001
[2974.810] komine58: 2001年
[2975.559] nozomaro: スーパーキャンセルがないのか
[3002.661] (S)perfecttakahashi: 岸田達はパリィ多用してた
[3006.448] donder112: 目押しないんだいいね
[3009.904] tabibitox: ごーちゃんは弾全部パリィしてた
[3013.420] horikawa_r_i_k: 小パンラッシュ消して欲しい
[3014.829] ebiebi12: このままリュウのままでいくの？
[3015.375] akiaki0612: マスミさんて現役なの？
[3019.442] (S)gezimayu29: スト６の動画いっぱい出てるけどザンギがやばそう
[3022.041] potadesu: @tukumi07 なにかの切り抜きでこれを見てスト6で何回もやってみたんですが出なかったので不思議におもいました、ありがとうございます！
[3027.580] (S)brutal9998: VERもベットハーフに出入りしてたんだよね？
[3027.624] yomogi0610: 今度対戦するVERさんってウル４で剛拳で有名だった人と同じ人？
[3038.287] goozy009: そう言えば、スト6で根性値無くなったのはどう思いますか？
[3038.875] ムエタイ: カプエスとか？
[3048.010] masarin763: ゴウケンの人
[3051.160] yuino5810: ゴウケンの人だよ
[3061.669] yomogi0610: なるほど、ありがとう～
[3071.798] かずきんぐさん: 6はまだ2キャラしか試せてないからこれからどうなるかだね
[3071.993] takahashiseigi: 昔zero3全国後の組手大会って、なぜ欠席したのですか？
[3072.884] tukumi07: ｂ
[3074.083] (S)1108044k: クローズβからやりこんでる勢はパリィ重要って言ってるよね
