[12.660] ねこざけ: おｋ
[1722.185] doanobu00000: AK無双だろ
[1724.839] vungo_mr: 手製武器は今相当センシティブ
[1724.993] mifune1046: じゃあ「毒斧」は？もう分かるよね
[1726.309] 黒猫くん: 盾がないと何もできないのが斧使い
[1727.888] (S)muteking510: 分鎖でしょ
[1728.993] seirosu: 槍の方が見栄えよくない？
[1729.050] なまこもの: 最強の盾も作らせよう
[1729.863] akiaki0612: 毒10連アロー
[1730.791] goozy009: ちなみに、鎖鎌は基本的に分銅の方を振り回して鎌でトドメっす
[1734.010] 天然ベニテングダケ: 毒は生き物特攻だから強いんよなぁ
[1734.275] curryricemaster: ^_^^_^
[1735.676] prototypeie: 剣よわない？
[1736.361] (S)p1uvo: umeJam
[1740.458] (S)p1uvo: umeCossack
[1743.343] メタルぱんだ: ｗｗ
[1743.778] hiisan: ！？！？
[1743.802] (S)fikat_0702: ｗｗ
[1744.042] zackz_fair: ロンギヌスの槍みたいに〇〇の斧ってあった？
[1744.204] tom236n236p: ｗｗｗｗｗｗｗ
[1744.507] (S)hiro_chan: スピードがね
[1744.547] muck_339: ｗｗｗｗｗ
[1744.653] (S)You_nari: wwwwww
[1745.449] フィズバン2023: ww
[1746.738] rt340: ww
[1746.769] (S)けいしゃん: ｗｗｗｗｗｗｗ
[1746.897] sahaha213: ｗｗｗ
[1747.020] icyblue1985: ｗ
[1747.305] (S)johndoe6523rp: ｗwｗw
[1747.569] ゴン攻め: www
[1747.738] (S)junjamaica: えいた＆室伏vs熊の仮装戦闘VTR作ってきましたはそそる
[1747.970] jigen0104: wwww
[1748.539] mifune1046: うっざwwww
[1749.220] 中段立てず表裏も見えない: なんで戦国時代で槍が主に使われていたかっていうことよ
[1749.541] (S)gorogorogorn: ファンタジーならいいよ？
[1749.866] ys120: ウメマウント
[1750.345] (S)echizen2000: うぜぇwww
[1750.521] muck_339: 斧も大概でしょうｗｗ
[1750.524] oleo0227: ウメちゃんは"リアリスト"
[1752.234] (S)sakusakuman225: ｗｗｗｗｗ
[1752.591] chin_56_: タイプだぁー
[1752.741] (S)FilthyOjiChan: www
[1753.203] rhfactor086: Helllloo
[1753.632] (S)luaetoile: w
[1753.758] one596: 馬鹿にされてるぞw
[1753.943] たぬきとジャブ: うざw
[1753.968] (S)EDN3rd: 漫画でも毒攻撃になると急に攻撃がカスりもしなくなる
[1754.218] okamasa456: 流石に無理
[1754.591] (S)kobetaf: umeNirami
[1754.725] 芦田樹藤: モーニングスターで後頭部を獲れ！！
[1755.250] roro_gc: え、ウメちゃん知らなかったの？
[1755.920] (S)You_nari: なんなんwwww
[1756.080] (S)muteking510: 鎖鎌だって
[1756.660] prototypeie: 空想の世界の住人
[1756.756] syagami: ”現実”
[1756.842] sinsin565: 無敵の反論
[1757.960] latenight000: まだそこかぁ
[1758.218] jigen0104: wwwww
[1758.476] lucentsnow: 斧原理主義者
[1759.488] suupu: ｗｗｗｗｗ
[1762.122] よもぎです: あらあら
[1763.006] (S)tama_zx61: 斧おじ
[1763.132] sharks_up: 次回の俺を穫れでくるぞ
[1765.084] (S)もちづきたろうさん: 筋肉は全てを解決する
[1765.240] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典があります → https://bit.ly/2YE2nLB
[1765.783] たぬきとジャブ: ArsonNoSexy
[1765.805] (S)redpeppar510: オカルト信じちゃうタイプだぁ
[1769.624] Artorius_jp: チャット欄に龐煖いるかもよら
[1769.656] norinorimaromaro: 金太郎もまさかりかついでるんやで
[1770.838] kazuxeno: 大錐は？
[1772.237] じゃむじゃむお: ヤリっていうから過小評価してるんだろうな グングニル！
[1772.819] aranami0: 若いねぇ
[1772.827] mohita_3: 試したわけでもないのに信じちゃったか～
[1773.858] ledlight9413: 斧はリアル
[1773.861] syouyuireppa: ストファイで切れる武器持ってるキャラっていたっけ？
[1775.708] akiaki0612: じゃあもう銃で
[1776.263] saibabasan: 史実でなんで斧がメインで使われなかったか調べてないの？
[1776.531] erisuk: 当然できるけど動く相手には流石に厳しい
[1781.780] (S)すれいまん: 槍斧とか９：１のクソゲーでしょ
[1784.408] akihila: コーディー
[1786.114] フィズバン2023: バルログ？
[1787.181] suupu: 斧に対する信頼篤すぎて草
[1789.343] balthazar000: 波動拳出てますねぇ
[1794.737] syouyuireppa: バルログか
[1794.973] こう___: 屈強P後のラッシュがむずいすね
[1796.148] mifune1046: ベルセルクで魔法が出てきたときは少しだけ萎えた
[1797.912] ongyaaaaaaaa: チェストォォォォこそ至高である
[1803.047] ゴン攻め: リーチゲーだと思うんすよねー
[1803.854] ヤーマニ: 武器職人設定が多いドワーフが斧使ってるのは説得力ある。
[1803.938] (S)hiro_chan: ジョビンも筋トレ不要って逆張りして格闘界でめっちゃ叩かれてる
[1808.398] okureiman07: でも斧って素早さ的にめっちゃ不利じゃない？
[1809.493] odoreminv2: じゃあてめえは自慢の斧でいくつの戦場生き抜いたんだよ
[1815.222] (S)junjamaica: そういう戦闘シミュ作りたいってなったらうめちゃん出しそうねｗ
[1818.077] erisuk: てかなんで斧の話になったらこんなレベル低くなるのｗ
[1818.459] (S)y_proto: 最初からファンタジー世界だけどね
[1820.376] akiaki0612: 好きな斧キャラっているか？
[1824.647] sh1zuku716: ベルセルクいつ再開するんだ
[1824.691] akachin03: 6000人もなぜこれを見ているのか
[1832.169] (S)gorogorogorn: 初出はゾッと？
[1833.150] icyblue1985: ベルセルクの作者はもう・・・
[1834.667] sharks_up: 設定適当な魔法は萎える
[1838.164] たぬきとジャブ: JP強いじゃん？じゃあそのJPの使ってる武器は強いじゃん？だから杖が最強だよ
[1839.687] (S)muteking510: 筋トレとかどんなスポーツでも必要よな
[1839.842] korejanai: 牛魔王
[1840.681] sphere0315: 武威
[1841.300] (S)hiro_chan: バーツ
[1841.433] のぞみくん: 金太郎
[1842.748] norinorimaromaro: 金太郎
[1842.915] akiaki0612: 斧ってドワーフ系ジジイのイメージ
[1842.929] (S)fikat_0702: トルケル？
[1842.952] hameo100kan: とか
[1843.458] zackz_fair: せんとうまる
[1844.230] doanobu00000: 三節棍に勝てるやつおる？
[1845.023] たぬきとジャブ: トルケル
[1845.565] (S)sakusakuman225: ということは弱いということでは？
[1845.923] (S)redpeppar510: クロコダイル
[1846.972] proajus: ベルセルク大変だろうなー頑張ってほしいが
[1846.995] (S)gorogorogorn: エーギルヘブリング
[1847.852] sinsin565: オーシン
[1848.060] (S)すれいまん: 作者居なくても続くシリーズはめっちゃ少ない
[1848.082] kazuxeno: でも蒙武の持ってる武器斧じゃないよ？
[1848.210] s_ShinoD: LoLのオラフ？
[1848.277] (S)coon_99: クロコダイン
[1848.554] mutuizumi: ドワ
[1848.627] jigokunonekomatu: ザジとマジ
[1848.684] prototypeie: ムキムキのモブキャラが多い
[1848.705] (S)きしー: キングダムとかいそう
[1849.004] だわさワサワサ: 金太郎
[1849.174] DisposableAccount001: オラフ
[1849.263] keeen85: クロコダイン
[1849.784] (S)sample_do: モーガン
[1849.954] syan1114: オーシン
[1850.145] フィズバン2023: ドワーフは大体斧イメージだけど
[1850.724] syouyuireppa: ヤンガス
[1850.745] seirosu: いないってことはやっぱ弱いんじゃない？
[1850.819] muck_339: バトルレックスのドランゴ……
[1850.882] moscat0c7: ドワーフ
[1851.075] いちのろく: それって弱いってことじゃ…
[1851.472] (S)けいしゃん: 斧ってハンドアクスが好きなの？両手斧なの？
[1852.049] mikaze0001: FEのレックス
[1852.087] kimi_3_: 弱いもんね
[1852.136] ggtabtab: ハメコが断固として詐欺飛びいい続けるって言ってたから公式では詐欺飛びのままよドリフターズ新刊出るね
[1852.482] niichan_cat: エスカノール
[1852.999] aonoring: ジェロニモ
[1853.286] (S)ノア1844: 金太郎は武将ですから剣かとｗ
[1854.460] ゆるおじさん: 全然関係ないですけど、実際に現実の槍にジェットブースター付いてたらどうなるんだろう？
[1854.475] icyblue1985: クロコダインｗ
[1854.476] gakkaripanda: 金太郎はまさかり
[1854.568] mako3jp: 金太郎
[1854.937] chin_56_: むさいな
[1855.727] pettan_omochi: ゴールデンアックスのドワーフ…
[1856.009] lm312v04wo: クロコダイン
[1856.900] たけすーと申します: 真三國無双のてんい
[1857.084] tabbty15: 斧手のモーガン
[1857.148] 吉田じんぎ: クロコダイーーーン
[1859.405] (S)poto2panapa: ベルセルクは意味不明な化け物を力技でねじ伏せるロマンが良かった
[1860.065] (S)ram_doggo: どうやったらこの議論決着付けれるんだろう
[1860.089] Artorius_jp: カマセだらけで草
[1860.098] (S)エムクロ: サジマジ？
[1861.453] (S)くろにゃんこにゃにゃ: 武威
[1863.239] goozy009: 小野義徳
[1863.518] saibabasan: 斧と言われてキャラが出ない、そういうところだよ
[1864.037] kazurock69: ヤンガス
[1864.735] 中段立てず表裏も見えない: クロコダイン
[1865.157] tanu_p: エスカノール
[1866.297] ledlight9413: ドン・クリーク
[1866.380] (S)hiro_chan: クロコダインとルークと草薙京の声優は同じ
[1866.469] kobi3070: ギムリ
[1867.717] vyvariity: ドラクエにいなかったっけ
[1868.312] mifune1046: 「即死」だからチャンバラに向いてないんよなぁ
[1869.158] rt340: フォーオナーで斧vs槍とか出来ないのかな？w
[1870.344] セリール: マサカリ
[1871.908] akiaki0612: みんな地味に弱くない？
[1872.144] たぬきとジャブ: トルケルは強かっただろ！w
[1872.490] seirosu: やられるやつらばかりで草
[1873.203] urumax999: すぐ壊れる真空の斧
[1873.532] proajus: 斧主人公はまだ開拓されていないジャンル
[1873.764] spoponchiki: ランスも相当強そう。盾で弾けるのあれ
[1874.283] jambotanishi: サジマジバーツ
[1874.933] harumaki040212: ヤンガス
[1875.745] kimi_3_: やっぱり斧より槍ですね
[1875.746] (S)けいしゃん: 斧で最強いなくない？
[1876.514] mikaze0001: プレセア
[1878.172] icyblue1985: 真空の斧だっけ
[1879.009] (S)ymd1222: カンダタ
[1880.010] vungo_mr: ヴィンランドサガのトルケル
[1880.034] ランメルモールのルチア: 金太郎
[1883.987] valkilmar912: バーツのほうがつよいやろ！
[1884.558] (S)muteking510: まさかりと斧違うの？
[1885.221] るっく04: 確かにゴッドオブウォーのクレイトスくらいの腕力なら斧攻撃も早そう
[1886.748] あさつき教: あんまり強いキャラいなくない？
[1887.025] sahaha213: 空振り後の硬直は長そう
[1887.709] 騙すカス鋼: もうそれは斧が弱いと言う事だ
[1889.333] (S)You_nari: 金太郎wwwww
[1890.080] (S)Nagare765: やめろ
[1890.151] (S)sai927: お
[1890.391] しのわーる: ザク
[1891.974] phenotypefgc: phenotype_fgc subscribed with Prime. 
[1892.740] pettan_omochi: ゲッターロボは斧？
[1894.347] market_fujisaki: おお
[1895.789] prototypeie: ｗ
[1896.258] seirosu: ん？？？
[1897.001] suupu: え？
[1897.104] mu_chan: ジャンプで斧主人公最近出たよ
[1897.490] (S)すれいまん: 斧主人公おらんなぁ
[1898.445] korejanai: 重量
[1899.154] (S)もちづきたろうさん: 遊白のブイ
[1899.948] chin_56_: ﾊﾟｰﾌｪｸﾄ
[1900.743] フィズバン2023: うつくしさ
[1901.008] ryp_diebujo: Que es lo que intenta el bro
[1901.905] akiaki0612: ？
[1902.209] muck_339: 美しさ……？？
[1902.772] vungo_mr: ｗｗｗｗ
[1903.100] (S)sakusakuman225: ｗｗｗｗｗｗ
[1903.484] (S)hiro_chan: 戦桃丸
[1903.673] (S)sai927: ｗ
[1903.933] なっつぃ: LUL
[1905.406] ぢょごぢゃん: ？
[1905.594] gakkaripanda: ｗｗｗｗｗ
[1905.681] demaekan_: あのねぇ！
[1905.683] jigen0104: 美しさ？
[1905.700] ヤーマニ: ザクのヒートホークは斧
[1906.091] proajus: ！？
[1906.354] 辛めのジョニィ: ｗｗｗｗｗｗｗｗｗ
[1906.376] sahaha213: ｗｗｗｗｗ
[1906.492] doanobu00000: ルパンの木こり、ホーク
[1906.616] sharks_up: 弱いじゃんｗｗｗ
[1906.874] market_fujisaki: wwww
[1907.100] Artorius_jp: ？
[1907.570] たぬきとジャブ: w
[1907.721] momiji4431: ｗ
[1908.106] roro_gc: え？
[1908.293] maddy2623: だめじゃねーかｗ
[1908.321] Nemu1010: www
[1908.323] (S)pung_pung_ouji: ダメじゃん
[1908.489] (S)miracle_flash: 弱いのでは？
[1908.499] kuroinanika521: それはそう
[1908.580] kimi_3_: 美しくはない
[1908.806] てるよちゃん: 剣に弱い
[1909.030] suupu: ダメじゃねーかｗ
[1909.076] mutuizumi: ？
[1909.128] メタルぱんだ: ！？
[1909.146] sinsin565: LUL
[1909.219] dswlm: ゴミじゃんねぇ
[1909.675] fbhjkl: NotLikeThis
[1909.690] 黒猫くん: じゃあ弱いやん
[1909.774] tabibitox: 弱いやんｗ
[1909.963] (S)fikat_0702: 強いからこそのね
[1910.034] (S)けいしゃん: ｗｗｗｗ
[1910.107] ksn0127: よわ
[1910.200] syan1114: つまり・・・よわ・・・
[1910.495] mako6912: BibleThump
[1910.764] icyblue1985: ｗｗ
[1910.943] (S)sai927: ワラタ
[1910.960] odoreminv2: ｗｗｗ
[1911.187] ledlight9413: 最大の弱点
[1911.207] rt340: 帰らぬ人w
[1911.512] たぬきとジャブ: 特攻兵なんよ
[1911.871] (S)You_nari: えつ？？
[1911.953] latenight000: 攻撃力全振り
[1912.162] one596: 弱くね？
[1912.334] jigen0104: wwww
[1912.714] ~MISSING_COMMENTER_INFO~: 一番でかいだろそこ
[1913.039] ビフィダス: www
[1913.051] vungo_mr: 明日なき斧
[1913.190] うーたんんんっ: だめじゃん
[1913.971] (S)sakusakuman225: その弱点致命的では？
[1914.033] harumaki040212: 重いから？
[1914.371] muck_339: それ弱くないですか？
[1914.460] (S)シンノ: 矛盾
[1914.583] (S)gorogorogorn: １話完結なんよ
[1914.731] 斉川: 致命的じゃんねえ
[1914.769] SleepShiva: 弱いからね
[1915.029] (S)buildingoodman: 語るに落ちたな
[1915.137] (S)高塚: FF2のガイは斧最強だよ＾
[1915.426] mifune1046: とんでもねぇ弱点wwwwwwww
[1915.471] yummy654321: よっわ
[1915.834] ゆるおじさん: 戦場は無理でしょ
[1916.060] (S)muteking510: んん？？？？
[1917.408] chin_56_: それが美しい
[1917.862] seirosu: ヘイト集めるってこと！？
[1918.188] goozy009: 特攻隊w
[1918.360] tanu_p: 傲慢の罪
[1919.283] kosmos5567: ん？
[1919.555] 墾田永年私財砲: かなしい
[1920.024] gumi69: 妖刀
[1920.834] メタルぱんだ: え？
[1920.866] zackz_fair: 100%はアカンやんけ
[1921.355] sinsin565: 死んどるやないかーい
[1923.006] セツリ: 意外と弱い
[1923.394] (S)You_nari: んー、、、
[1923.418] フィズバン2023: 兵士の持つ武器じゃないからなぁ
[1923.615] icyblue1985: ノーフューチャー
[1925.245] (S)堅甲: 鬼滅で最強キャラが持ってる武器が鉄球と手斧だったな
[1925.375] (S)marvolo6: 攻撃全振り
[1925.659] prototypeie: 英雄の武器
[1925.730] うううぬぬぬ: やはり最強は戦わない心
[1925.943] keeen85: 片道切符やないかい
[1926.061] (S)hiro_chan: 実質勝ち
[1926.179] フﾄ: じゃー槍でいいや！
[1927.585] urumax999: 投げ斧は許されます？
[1927.855] sharks_up: 思ったより少ないｗ
[1928.182] ~MISSING_COMMENTER_INFO~: 最強の定義とは
[1928.983] zoqzoq001: 計算が合わない
[1929.376] erisuk: ダメージ前提だから生き残れない、つまりあんま強くない
[1929.625] たぬきとジャブ: それこそトルケルくらいじゃないと…
[1929.853] (S)redpeppar510: 片道切符なのよ
[1930.530] (S)muteking510: んんんんん？？？？？？？
[1930.692] ~MISSING_COMMENTER_INFO~: 交換だけで見たら強いと
[1931.370] ゆるおじさん: 白兵戦ならあるいは
[1931.502] メタルぱんだ: その数字どこから？
[1932.035] echa_pi: そんなァ…
[1932.100] jigen0104: 戦果は挙げるから
[1933.673] (S)janjanbaribari: キルレ３確定武器？
[1934.291] muck_339: じゃあ槍握ります
[1934.595] 金ケ崎: タンクね
[1934.924] odoreminv2: 強さの定義よ
[1935.443] vungo_mr: 戦術レベルか戦略レベルかによって違うね
[1935.544] syouyuireppa: 昇竜拳が、暴力べし！にしか聞こえない
[1936.236] kimi_3_: 弓矢で一発です
[1936.749] (S)sai927: アド
[1937.171] てるよちゃん: でもオーシンは強いから死なない
[1938.001] (S)けいしゃん: 槍に勝ってるのってもしかして精神性みたいなやつｗｗｗ
[1938.796] rt340: キルデスは3だと
[1939.231] (S)mothman369: 斧ダサくね
[1939.452] Artorius_jp: 戦場で最強は弓じゃない？
[1939.804] ゴン攻め: 生きて帰りテェーよ...
[1940.065] (S)tyapa95: 黒字かぁ
[1940.089] sharks_up: ザンギが斧持ったら最強
[1940.460] TB2117: あと、斧って見た目がちょっとね
[1940.467] kunimuu: 2人殺してみんなさがればいいね
[1940.654] dxgenre: ケンの昇龍拳サムネイルからも聞こえました。。。
[1941.778] bulletk7: じゃあやっぱり槍だな
[1942.040] (S)haicro_zm: やっぱ槍だな
[1942.523] ksn0127: タイマンは最強?
[1942.849] ~MISSING_COMMENTER_INFO~: いいデュエリスト
[1943.931] proajus: 「坊主・・・後は頼んだぜ・・・」とか言って死ぬおっさん用武器
[1944.927] (S)You_nari: よわくない？
[1945.197] SleepShiva: サーベルタイガー語ってる時と同じ目してるもん
[1946.290] odoreminv2: あっさ
[1947.209] prototypeie: ｗｗ
[1947.876] メタルぱんだ: ｗｗｗｗ
[1948.533] muck_339: ｗｗｗｗｗｗ
[1949.192] (S)junjamaica: ゲームのtnk斧多いけどなｗ
[1949.498] (S)EDN3rd: キルレ３は強者
[1950.077] nino_9r: 一番
[1950.535] 黒猫くん: 予想かいな
[1950.569] (S)sai927: umeYay
[1951.533] なっつぃ: 捨ててガンダッシュするしかない
[1952.275] mifune1046: 片手斧って駄目なの？
[1952.481] goozy009: パナシ＝斧
[1952.714] Loytory: う～んｗｗｗ
[1952.974] kazurock69: ザクも斧じゃんねぇ
[1953.006] seiji141141: 斧使い最強はたぶんゲッターロボ
[1954.171] syagami: 想像のデータｗ
[1954.221] tom236n236p: 悲鳴嶼行冥とゲッターロボは斧界のカリスマ
[1954.450] セツリ: 全て机上の空論
[1955.110] たぬきとジャブ: 防御力は元のフィジカルに全て任せてるんだよね
[1955.178] erisuk: 一番のごみデータ
[1956.737] lm312v04wo: ドラクエ3の戦士ってグラは斧だっけ
[1957.047] ビフィダス: 映画D&Dではヒロインがマッチョで斧振り回すよ
[1958.071] (S)buildingoodman: 机上より低いデータ
[1958.209] prototypeie: ｗｗｗｗ
[1958.735] (S)fikat_0702: ｗｗｗ
[1961.126] lucentsnow: 絶対戦場行くときウメちゃん斧選ばなそう冷たい目で槍選びそう
[1961.152] 金ケ崎: ｗｗｗｗｗｗｗｗ
[1961.190] sharks_up: ｗｗｗ
[1961.703] (S)You_nari: まけてるし
[1961.746] blueplanet96: あっさｗ
[1962.113] kurare2020: ｗｗｗ
[1962.152] apri051: 草
[1962.158] メタルぱんだ: え？ｗｗ
[1962.188] wonderboy_9: キルレ2
[1962.192] muck_339: ３人から２人に減ったｗ
[1962.377] syouyuireppa: 充分じゃん
[1962.890] フィズバン2023: キルレw
[1962.900] 辛めのジョニィ: ｗｗｗ
[1963.485] seirosu: 2名しか倒せてなくて草
[1963.568] hayama01: 斧KDA悪くない？
[1963.584] potocki1810: www
[1963.939] (S)hiro_chan: さつさつし
[1964.095] fujimike: 弱くない？
[1964.602] (S)FilthyOjiChan: wwww
[1964.773] saibabasan: 斧は刃面積の小ささとレンジの短さのせいでティアリス低いよ
[1964.873] ksn0127: wwww
[1966.502] 金ケ崎: ＫＤ２
[1966.521] (S)marvolo6: キルレ２
[1966.556] prototypeie: 英雄ウメ
[1967.140] lawson_noswal: 予想で何が悪いんだよ！
[1967.160] momiji4431: 残機増やせばいいじゃん
[1967.447] jigen0104: 強者の武器やね
[1967.469] gumi69: 両手なのかｗ
[1967.580] oleo0227: 一応ダブルアックスだっけ？
[1967.623] chin_56_: ※イメージです
[1968.391] たけすーと申します: 幽遊白書の武威
[1969.427] sahaha213: 自分も合わせて3人なのかｗｗ
[1969.556] (S)haicro_zm: ぼくのよそう
[1970.136] 084bean: 全然甘いよ～ウメちゃん
[1971.050] jigokunonekomatu: 3割打者だ
[1971.080] (S)sakusakuman225: それでも斧装備していくの？？？
[1971.854] (S)maya_g01: 合計3人てことね
[1971.863] yummy654321: リスポーンあるの？ｗ
[1972.373] soeshin: 2人目は斧ぶん投げて逃げよう
[1972.479] mipporin: 持ちたくねぇーな
[1973.674] sharks_up: 自分もカウントにいれるなｗ
[1974.456] marupins6150: 今のだと盾持ってなくない？
[1974.992] kazuxeno: んなこたぁーないｗ
[1975.408] mutuizumi: 盾どこ
[1976.193] akachin03: 斧はトータルで三人ってことね
[1976.273] さちまる69: 斧は木も切れて便利です
[1976.278] necoris_necoil: 牛魔王盾もってなかったな
[1976.601] 黒猫くん: まじで浅すぎて笑うわw
[1977.139] moscat0c7: 想像
[1978.055] (S)けいしゃん: 盾持って槍チクがもっと殺せそうじゃない？
[1978.314] お友達2世: あ、三人自分含めるんやw
[1979.772] akiaki0612: 斧使いになりたくないです
[1980.212] のぞみくん: さつしさつさつしじゃない？
[1982.006] (S)mitoratora: 自分も含めて3殺は草
[1982.033] (S)volta942: 最高の上がりじゃねえか
[1982.047] erisuk: 誰が斧持つかも想定してない
[1982.114] (S)sai927: ｗｗｗ
[1982.305] one596: 盾ないから死じゃね？
[1983.074] okureiman07: ウメちゃんの斧のイメージは両刃？
[1984.001] 084bean: ｗｗｗｗｗｗｗｗ
[1984.242] akinikuihuku: 最近、ジャンプで斧主人公の漫画始まったよな
[1984.595] なっつぃ: ｗｗｗｗｗ
[1987.086] icyblue1985: ｗ
[1987.360] mifune1046: え？？片手斧なの？？？？
[1987.784] proajus: 1人で三人持ってってくれるのは軍師大助かりやろなぁ
[1988.198] mohita_3: ｗｗｗｗ
[1990.279] kunimuu: 1人殺して生きて帰ったやつと変わらん
[1991.244] (S)You_nari: りすぽーんしてたぞ
[1992.707] vungo_mr: ヴァルハラにリスポーンする
[1992.958] (S)muteking510: エビデンスが安い
[1993.603] 辛めのジョニィ: 斧持ったキャラ出たら使いますか
[1994.361] Artorius_jp: リスするならあり
[1995.529] こぐンモ: ロマサガの斧強い
[1998.049] (S)hiro_chan: 亜人が斧持ったら最強ってこと？
[1998.050] mohita_3: 違う人ｗ
[2000.723] vyvariity: 2:1交換なら上等
[2000.762] taketori_66: リスポーンってきこえてきた
[2002.118] hayama01: ウメさん的に両手斧はなしですか？ありですか？
[2002.371] lucentsnow: あまりにも悲しい
[2003.313] だわさワサワサ: 優勝できないけどベストバウト賞ってわけか
[2003.887] kazuxeno: バルディッシュ？
[2006.177] mutuizumi: 片手斧はよわそう
[2006.185] いちのろく: 最後投げればもうひとりやれるしね！
[2007.473] goozy009: そしてその斧を拾ったやつが再び死ぬ
[2007.872] (S)EDN3rd: マキ割ダイナミック という技名のセンス
[2008.445] sh1zuku716: 斧って両手斧？片手斧？
[2009.408] muck_339: これを根拠に斬馬刀のこととやかく言うのだから面白い
[2010.229] boco_gaming33: 手斧投げるアクティビティあるで 練度上げればデス無しでいける
[2015.257] moscat0c7: 重くなる
[2015.307] seiji141141: メイスはダメなの？
[2015.441] kinakobuta: そういや両刃ってなんのために？
[2016.432] ゆっくりペコ: トマホークして逃げたい
[2016.780] jambotanishi: マサカリと斧って違うの？
[2019.479] (S)エムクロ: ヨーヨー
[2019.878] jigen0104: かっこいいけどねw
[2022.699] セリール: ハルバード？
[2022.940] Loytory: ししししししし
[2023.463] chin_56_: ししししし
[2024.099] shironagainasubi: 両刃弾かれた時危なくない？
[2024.543] (S)You_nari: まけてるやんけ
[2025.132] vungo_mr: 盾ゲーなんだよなあ
[2025.264] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[2025.296] (S)FilthyOjiChan: hhhh
[2025.367] (S)gorogorogorn: でもエルデンリングで斧使わなかったよね
[2026.128] エメラルドスプラッシュ: そんなあなたに斧槍という
[2027.142] てるよちゃん: ダブルトマホーク
[2027.961] oyukakete3min: FEの手斧は？
[2028.738] mako6912: しししし
[2029.159] 0nuki: リスキルされてまんがな
[2030.092] sinsin565: ざっこww
[2030.293] のぞみくん: ケースいれないと危なくない
[2030.710] sharks_up: 片手でいけんの？
[2031.269] kuroinanika521: 両刃重く片手じゃ無理でしょ
[2032.523] じゃむじゃむお: 盾げーじゃん
[2033.076] なっつぃ: 振れもしないかｗ
[2035.965] (S)pansollo: 死ぬ覚悟で強くなりませんか
[2035.988] porukaoruka: 両刃は肩担げないからなー
[2036.138] syouyuireppa: 重装歩兵なら槍だなぁ
[2037.498] oleo0227: 両手斧で回転しながら突撃するの強くない？
[2038.300] (S)tyapa95: もうさぁしぬなら攻撃力全振りでいいじゃん
[2039.031] (S)~MISSING_COMMENTER_INFO~: 両刃剣っていう両方に刃が付いた槍が最強です
[2039.181] (S)johndoe6523rp: でもエルデンリングで斧使ってなかったじゃん
[2041.206] tang_swi: ワーヒーにいたな そんなの
[2041.885] zackz_fair: ダブルトマホークブーメランしましょうよ
[2043.756] ランメルモールのルチア: 金太郎は幼児でクマとタイマンで勝てるのに斧まで持ったら最強でしょ
[2044.257] セリール: 投げ斧は？
[2044.273] ooooo38: ハンドアクスのが実用的
[2044.736] yummy654321: もう斧投げつけようぜ
[2044.987] harumaki040212: 盾持てるかな
[2045.515] pettan_omochi: ウメちゃん映画のブレイブハート好きそう
[2045.763] hayama01: ウメさん鎖斧は？？？
[2045.982] Artorius_jp: 盾両手に持ってこ
[2046.776] (S)ババシャツ: 次回は盾側も用意しないと
[2048.669] akiaki0612: アクションゲーの斧は放物線に飛ぶ飛び道具
[2049.123] (S)homu0117: 十文字槍という最強の武器
[2049.917] oatsunu: 蒔割りで手斧使うけど扱いムズイわ
[2051.519] TB2117: 盾、最強じゃんね
[2051.867] sahaha213: 相手に斧持したら勝てるんじゃね？
[2053.138] sharks_up: 凄いフィジカル前提ｗ
[2053.377] sh1zuku716: ヤリチク最強だよ？
[2053.516] norinorimaromaro: 高速ナブラが使えれば
[2054.583] (S)堅甲: ファンタジーだとドワーフ好きそう
[2055.672] ulitan8181: 投げ斧はあり？
[2057.844] okureiman07: 武器の話しで唯一盛り上がる配信
[2058.257] (S)tarattaratta: 片手斧はこの前パワー不足感じたわ
[2058.319] kimi_3_: 槍で足を刺したら終わりなんだなあ
[2059.108] tambo567: やっぱクソデカ盾とクソ長ヤリが最強だな
[2060.498] (S)p1uvo: atp0in20
[2060.960] odoreminv2: もしかしてウメちゃんバイキング？
[2061.647] jigokunonekomatu: トマホークはダメっすか？
[2062.114] (S)muteking510: バーバリアンあかんかぁ
[2063.995] 中段立てず表裏も見えない: エルデンリングも氷殻の斧強かったなあ
[2065.073] watanabe0731: 片手で斧と盾両方持てばよろしい
[2065.477] chin_56_: 重そう
[2066.300] ledlight9413: そいつ斧使わないほうが強くね
[2066.574] muck_339: 取る前に盾で殴られてやられそう
[2068.021] mutuizumi: 両手斧ぶんまわすのがかっこいいんじゃ？
[2069.614] momomonzir: FF14 で斧術士じゃなかったんですか？
[2070.965] だわさワサワサ: 男塾のえいけい
[2071.669] Keke_Xili: メイスって方向指定ないから強くないですか？
[2072.378] rt340: 回収できなそうw
[2072.477] erisuk: 鎖が意味ない
[2072.488] よっとです: 馬に乗りながら斧振り回したら強くないですか？
[2073.140] (S)junjamaica: トマホークｗ
[2075.477] prototypeie: 当たらなかったらゴミ
[2077.714] vungo_mr: 刺して盾とったら攻撃手段なくならない？
[2078.257] ~MISSING_COMMENTER_INFO~: 次元断でワンチャン狙おう
[2080.550] ~MISSING_COMMENTER_INFO~: クソ重そう
[2081.022] (S)もちづきたろうさん: 鬼滅にいなかった？
