[35.791] tarantarantaran: umeYay
[1881.775] ビフィダス: 次はどこいくの？
[1881.868] junjamaica: 斧もってるよね
[1884.087] ddb365: だってオラは
[1884.207] りっちゃん0812: 木更津サリーと姉ヶ崎ミッキーマウス
[1886.586] GelidiumJellyCat: 声で穴開ける
[1886.952] ながしめん: いま超人だよ
[1890.043] underground0714: よわい
[1891.102] TUBE_MAN: 足立区 ジェロニモでググったら色々出てきた
[1891.113] millioniwashi: ケンタウロスはやばすぎる
[1891.430] 鷹爪三角脚: アパッチのおたけびはチート技だよ、めっちゃつよい。
[1893.986] momochan6: プロにあこがれたただの人よ
[1894.254] かませ犬ドッグ: 途中から超人になった
[1896.329] hukohuko: 今はかなり強い
[1896.554] アベ0206: 昇格して超人になりました
[1897.098] piyopiyomaru555: 北千住の極悪
[1902.862] ビフィダス: ww
[1903.245] LSI1000: 超人の試験に合格した
[1904.026] thunderbolt0422: ライセンスｗｗｗ
[1904.857] ~MISSING_COMMENTER_INFO~: ライセンスｗ
[1905.984] ukiyo55: ｗｗｗ
[1907.093] amaterasdesign: キン肉マンアニメやるらしいね
[1907.484] friendbakery: サンシャインに特攻あった
[1908.049] twitchyarutch: がんばる枠
[1911.664] kaigaizei: 結構早い段階で超人になったぞ
[1912.445] chin_56_: 努力したんやな
[1912.485] かませ犬ドッグ: 神様にいい人認定されたから超人になった
[1912.596] keiji25nico: テリーマンが見出したんだっけ
[1912.824] toro0524: ライセンス問題だったんだ
[1913.871] redbull_daisuki: 最終的にジェシー・メイビアに勝てるくらいには強い
[1917.164] triskeal: プロゲーマー＝超人
[1917.446] かませ犬ドッグ: アニメ化も決まったし
[1917.767] akaao123: キン肉マンアニメ化するぞ
[1918.679] メピパラ: パチンコのキン肉マンでジェロニモ出てきたら大体負けるぞ
[1918.750] ddb365: アニメ始まるよ
[1919.827] 鷹爪三角脚: 自分で自分
[1920.901] gorogorogorn: ｗｗ
[1923.540] anaguma3: 次どこ行くのって質問あったで？
[1923.934] 鷹爪三角脚: の心臓マッサージｗ
[1924.377] x_abu_xx: いや、今はつまらない。面白かったのは1個前のシリーズ
[1924.458] toro0524: ローラーに
[1927.290] sengoku_cyber: でも超人じゃないから良かったよね
[1927.521] ビフィダス: 今面白い
[1930.370] 鷹爪三角脚: 地獄のローラーｗ
[1930.519] momochan6: みんなで超人パワーわけたからじゃなかったか
[1934.868] underground0714: あったなあ
[1935.946] nakao1976: 呪いのローラー
[1937.006] keiji25nico: 地獄のローラー
[1937.924] tabibitox: うらー
[1938.584] furu13: 挟まれてたねw
[1939.858] ながしめん: 今はバッファローマンがきてる
[1940.104] かませ犬ドッグ: タッグ編
[1941.011] koonamamire: キン肉マン新アニメ化
[1941.758] friendbakery: 地獄の凱旋門もあるぞ
[1943.350] twitchyarutch: 地獄のローラー
[1945.043] 鷹爪三角脚: 凱旋門とかあったねｗ
[1945.293] kaomoji3: 熱いキャラよなぁ
[1946.926] yukke85: 分身するやつだっけ
[1947.214] kiku1133: おじが多いから盛り上がる
[1954.392] underground0714: バッファローマンは常にきてるやろ
[1960.921] amaterasdesign: ごーるど
[1962.143] kaigaizei: サンシャイン見てるとKSK思い出すわ
[1962.982] aranami0: 地獄の断頭台
[1963.264] foo_twitch: シルバーマンが無双してた前のヤツは面白い
[1966.172] 鷹爪三角脚: 新しくアニメやるし、盛り上がるね
[1967.019] jambotanishi: 今度アニメ化するみたいですね
[1969.091] くろせん: いまちょうど最新刊でロビンマスク活躍してるよ
[1971.482] yuuubin: 黒い閃光ってこと？
[1972.151] shiru042: ジェロニモが地獄の断頭台食らってるのにミスで驚いてるガヤの中にもジェロニモが居るのが好き
[1974.143] twitchyarutch: 1000万パワーだからなあ
[1976.371] sh1zuku716: ゆで理論
[1976.403] kaigaizei: 今は億
[1979.258] ながしめん: 超神が9999万パワー
[1980.403] hukohuko: バッファローマンは相手が毎回ボス格だから苦戦する
[1982.091] 159cm91kg: ロビンマスクに女子熱狂
[1983.230] ddb365: 格ゲーバッファローマン誰だっけ
[1983.892] 遼は肉が好き: ベンキーマンがパッと浮かんだワイ…
[1985.545] low_single: くろせんさん…
[1988.902] kkshkk: 息なげえな
[1995.852] amaterasdesign: ジャンプで当時人気投票いつも1位だったね
[2007.314] hukohuko: 基本的に1億上限
[2010.532] ながしめん: 神が地上に降りるために1万パワー消費するんだよ
[2015.355] momochan6: パワーを数値化した元祖だしなあ
[2016.201] twitchyarutch: スカウター壊れちゃう
[2017.933] kaomoji3: フリーザ編で億まで行ってるからなぁ
[2020.621] DACKT711: ー３億マンパワーのけーすけ最強じゃん？
[2027.718] furu13: ゆでたまごその辺上手いなぁ
[2034.024] hukohuko: だから9999万パワー
[2041.731] タイフーン: なんでプロレス方式で戦ってるんだろね
[2042.485] pugya7: 1万パワー消費の意味がよくわからないｗ
[2049.441] ながしめん: いまはその神軍団とたたかってる
[2051.690] pooh012345: えいたは500万パワー？
[2056.363] どくたけ: ブロッケンがラーメンにされてたの子供ながら恐怖おぼえたｗ
[2063.702] np2np: 第二形態で１００万越えは確実と言ってるね
[2065.630] kaomoji3: もう連載やめたかったんだろうなって思ってる、フリーザ編
[2069.075] low_single: 数値にすると冷めるねぇ
[2072.486] cielcloudy248: 回転すればパワーが上がる世界だし
[2074.571] ilm0806: フリーザではなく、ごくう の方じゃないのか
[2075.628] sistersguitarreplica: 人数換算で考えるとえぐい
[2079.824] 159cm91kg: 乗算パワーアップ
[2082.197] raurakd: 常に最終形態でいろ
[2083.281] twitchyarutch: 星が崩れる
[2083.882] chin_56_: 借金と同じやな
[2084.288] kaigaizei: ジンバブエ並
[2094.369] jambotanishi: ゆでたまご先生に整合性とか求めてもしゃーない
[2096.296] hukohuko: コルド大王ね
[2096.645] lm312v04wo: 星壊せるからねぇ
[2098.790] GelidiumJellyCat: 最終形態が元の姿で消費を抑えてるんじゃなかった？
[2099.347] 鷹爪三角脚: コルド大王でかませ犬というものをしったなぁ
[2100.526] amaterasdesign: マックス3倍までだよなぁ
[2106.079] foo_twitch: ゴルドっぽいのと恐竜みたいのとツルン
[2107.771] ながしめん: ブラックフリーザつよすぎ
[2108.286] momochan6: もうギニューとかゴミじゃんねえ
[2113.845] タクティカルバイザー鬼道: スーパーサイヤ人ごくうが1.5億、フリーザ様が1.2億だったっけ
[2117.716] (S)dufushi: 鳥山明が監修してるからそれなりに面白いよ
[2123.985] raurakd: 超わからん
[2124.707] mevius003: え
[2125.791] thunderbolt0422: 草
[2126.662] cafe_gondo: ええ…
[2128.720] perfecttakahashi: ！？
[2130.213] ~MISSING_COMMENTER_INFO~: なんでこんな視聴者多いの
[2133.277] chin_56_: チートやん
[2133.493] hodanonn: めっちゃ知ってるやん
[2133.849] toro0524: ！！
[2136.147] njpw2017: フリーザは24垓とかだよね
[2137.224] shigepedia: 全王様じゃないの？
[2138.882] 破天荒田中: ﾎﾟﾙﾝｶﾞ
[2139.435] foo_twitch: 神様が変わったり色々してるしな
[2139.636] 我がゴイチ: ええ...
[2142.049] ~MISSING_COMMENTER_INFO~: 東京支部？
[2145.148] thunderbolt0422: もうムチャクチャ
[2147.088] mako_oswald: ドラゴンボールも種類があるしな
[2150.867] momochan6: なんでもありだな
[2152.341] ilm0806: 13宇宙
[2152.408] kaomoji3: 髪の色がブルーまでしか追っつかないわ
[2154.972] スーパー対魔人4: メタルクウラ戦の映画のタイトルが「激突！！100億パワーの戦士たち」だったね
[2155.368] twitchyarutch: 叶える方もパワーアップしてる
[2161.654] Nishi_Poteto: 意外と知ってて草
[2165.556] hodanonn: はっきり言って同人レベル
[2168.775] 残り8万: 昔の漫画ってパワー勝負だよ
[2170.945] wahaha7788: つまんないキャラ出しちゃったな
[2171.724] sh1zuku716: 分けわからんｗ
[2173.959] redbull_daisuki: ビルスより強いの？
[2175.563] sengoku_cyber: 全王はたぶん揺るがない
[2178.155] gorogorogorn: 猫みたいなやつまでは見た
[2182.584] hanpen144: 全王はかっこよくも無いからなぁ
[2182.937] pooh012345: ウメちゃんは格ゲー世界消せる
[2183.255] gorugoru123: ｗｗｗ
[2185.338] nitamago33: ｗｗｗｗ
[2185.587] thunderbolt0422: ｗｗｗ
[2185.596] 麻雀打ち: 麻雀打ち subscribed with Prime. They've subscribed for 25 months, currently on a 2 month streak! 
[2185.678] (M)Moobot: @LIGHTNING_MOUSSE with the 25 months re-sub! 
[2186.893] perfecttakahashi: 全王は宇宙の範囲を超えてるんじゃない？
[2188.306] njpw2017: 全王と殴り合えば勝てるんじゃない？
[2189.741] momochan6: よくわからんてｗ
[2190.207] masabonchicken: 全王は宇宙のくくりに居ないよ
[2190.335] hukohuko: よくわからんキャラw ww
[2190.851] ~MISSING_COMMENTER_INFO~: ふわっとしすぎ
[2191.398] sistersguitarreplica: Wwww
[2191.536] タイフーン: 宇宙一強いやつより強くしてくれって言うしかないか
[2191.625] 何も知らないジョンスノウ: 全王は強さじゃなくて能力だからね
[2198.235] nitamago33: ぽっと出が最強なんだ
[2203.897] perfecttakahashi: ブラック！？
[2205.517] tamagon_: ブラックフリーザｗｗ
[2207.288] ながしめん: 全王様はシステム管理者みたいなもんちゃうか？
[2207.841] chin_56_: 眠気飛びそう
[2209.178] mako_oswald: 宇宙の中じゃなくでそれを統括する次元にいるとかなんじゃない？
[2209.641] porcupinepine: フリーザいくらでも強くなるやん
[2209.804] sh1zuku716: フリーザまだ出てくるの
[2210.930] ぐのたお: クレジットカードかよ
[2211.872] keiji25nico: 日焼けしたのか
[2213.195] foo_twitch: 色が変わったら強くなる謎理論
[2216.451] nitamago33: フリーザどんだけ擦るんだよｗ
[2217.307] mukade3: フリーザ推すねぇ
[2219.205] onesolo52: ビックリマンチョコのノリやなｗ
[2221.113] hukohuko: ゴールデンフリーザがさらにパワー上がった奴な
[2221.776] shumatsu623: 精神と時の部屋で実質10年ほど修業した天才フリーザ
[2222.449] kaomoji3: 色で強くなる漫画になってんのかな
[2225.689] ロンロ: フリーザ働きすぎやろ
[2225.752] 泣き虫サクラ: ブラックフリーザから高円寺を思い出す天才
[2229.945] sansiki205: ちなみに悟空がいる宇宙は第七宇宙だよ
[2233.639] redbull_daisuki: hs001D
[2233.718] pooh012345: いよっ！トトノエヤ！
[2235.606] 戸愚呂妹: 埼玉行ったらとんでもない時間になってたな
[2238.054] hodanonn: 色変わって強くなるのはコスパいいよね
[2241.435] foo_twitch: ブルーとかわけわからん
[2243.778] reganfa: 埼玉なくなってよかった感あるね
[2245.102] sh1zuku716: くるまやラーメン
[2247.138] ilm0806: 全王は、宇宙を消せるから、宇宙１強くなっても、無理じゃないかな
[2253.947] burisuke: くるまや安定っす
[2256.156] イゼット: みそバタいいよな
[2257.346] kaigaizei: KS電気
[2257.811] nitamago33: 東名の覆面パトまじで気を付けてね
[2260.545] tabibitox: ks・・・k
[2265.032] egatyan: くるまやラーメンまずかった
[2265.276] ~MISSING_COMMENTER_INFO~: 日本って車で走ると全部この景色だよね。大体
[2265.713] go_boardwalk: うちの近所だ
[2266.701] adachikujin: めっちゃ近くまで来てる
[2269.413] スーパー対魔人4: やっぱGTの締め方って完璧だったんだよな…
[2272.142] サルクモ: え！相模原くるの！？わしの手作りカレーも逆ウーバーすればよかった
[2273.188] タイフーン: でも最後、悟空が勝つんでしょ？
[2292.400] perfecttakahashi: パトに気をつける前に法律気をつけてくれw
[2303.236] スーパー対魔人4: おにぎりありがてぇ～～！！
[2304.322] yuichannu: 最近のは悟空勝たないパターン多いっすよ
[2305.920] onyancoscratch: おにぎり早食い見せてよぉ！
[2313.203] momochan6: どっかで飯調達したら
[2322.213] gomeeen: しゃけさいっきょおおおお
[2324.916] chin_56_: うまし
[2331.772] ilm0806: 界王神の一人が裏切ったとき、ごくう じゃ無理で、全王に消してもらった
[2338.375] cielcloudy248: 野沢雅子の喉を開放してあげて…
[2341.378] laponta: kokuji3Chu
[2341.423] 1678923482: ナマモノの差し入れはNG
[2346.518] hukohuko: チーフアシなんじゃないの？
[2350.552] サルクモ: もっと上手い人は自分で描くやろ
[2352.394] akaao123: 同人誌描いてたんだっけ？
[2355.795] foo_twitch: ドラゴンボールの同人書いてたら連行された
[2357.030] hodanonn: 藤原カムイあたりに描かせればよかった
[2357.344] GelidiumJellyCat: ゴボの同人書いてたとか
[2357.403] j_zima: わーかる
[2357.764] 一1990: ブログで同人漫画書いてたらスカウトされた
[2368.298] 月のワーグマー: とよたろうとかいう鳥山の才能を証明し続ける男
[2375.527] (S)tibusa8: とよたろうは動きを感じない
[2377.682] thunderbolt0422: すっげぇ
[2378.571] np2np: 鳥山明の戦闘書けるやつなんておらんやろ
[2378.926] mako_oswald: 鳥山明の一枚絵マジで好きだわ
[2380.901] kuuso1: ほとんど唯一人くらいのアシスタントなんじゃなかったけ
[2383.674] momochan6: すごいな
[2388.532] ilm0806: 構図や、キャラの扱い を手直してるよね
[2389.467] hukohuko: 今ドラゴンボールの漫画描ける人5人くらいいるよな
[2393.600] hanpen144: AF書いてた人？
[2395.765] chin_56_: you書いちゃいなよ
[2396.001] foo_twitch: 似てるんだけど構図とかアクションが及ばないんだよな
[2399.219] underground0714: マシリトか？
[2401.274] スーパー対魔人4: 「もしかしたら俺も、将来一緒に仕事ができるかも」と思い、『ドラゴンボールヒーローズ』の自作漫画を集英社に持ち込んだのが漫画家デビューのきっかけとなった
[2423.620] スーパー対魔人4: と、とよたろう氏のwiki記事より
[2437.707] ヤマモリ: クロノトリガーの漫画個人で書いてる人も凄い似てるよね
[2438.559] low_single: 召喚獣トラボ
[2442.706] go_boardwalk: 鹿浜つくじゃん
[2468.628] kiku1133: 竹の塚駅寄ろう
[2469.085] adachikujin: もう西新井やで
[2470.259] (S)sinanana1: いま島根やね
[2471.305] 5don: 鹿浜の過ぎたるものが乗車中
[2474.590] perfecttakahashi: あと何件ぐらいなの？
[2475.347] chandio2251: 四国か？
[2483.116] balthazar000: ウメさん眠い？
[2485.015] sh1zuku716: 鹿浜中最強？
[2487.121] piyopiyomaru555: 鹿浜リュウ
[2497.022] balthazar000: 鹿浜は詳しい？
[2497.073] mako_oswald: バンナムのドラゴンボールシリーズ2021の売上1200億超えらしいね
[2502.551] ノア1844: 野沢さんが長生きなのが人気に拍車をかけていますよね
[2502.970] foo_twitch: 鹿中というよく聞いたワード
[2508.949] piyopiyomaru555: 陸の孤島
[2520.120] ilm0806: バンナムは稼いでるからゴボの大会賞金上げればいいのにな
[2521.949] ノア1844: 野沢さん変わったらもう終わりかなと
[2523.900] thunderbolt0422: とよたろうさんググったら４４歳で2012年デビューの異色の経歴でよけい気になった
[2526.193] 泣き虫サクラ: 足立を制覇するまえに世界に飛び出たからな
[2526.802] pooh012345: なんか取り立て屋みたいな配信になってるなｗ
[2527.206] ~MISSING_COMMENTER_INFO~: いいよぅ
[2546.192] (S)sinanana1: そろそろ富士丸あるね
[2556.906] nitamago33: ちゃんと盛り上がる
[2561.759] miseumo: 夕暮れ時
[2567.758] しなしなのポテト: そそ
[2574.138] (S)dokkoiomusubi: ちなみに先ほどの青森県民ですが、 長尾中華そばはチェーン店あると思いますが、弘前たかはし中華そば店は青森限定です！！！
[2576.923] yuzubox: 二郎系
[2578.378] go_boardwalk: 二郎系
[2586.070] celsior_chan: 富士丸は元は直径二郎です
[2598.757] (S)sinanana1: 個人的に一番好きな二郎系です
[2604.569] れく太: 公式サイトあったけど店舗に東京なかったね
[2609.526] 泣き虫サクラ: 西新井店は元二郎じゃないよ
[2613.974] ojalmal: 富士丸系の麺好き
[2616.172] ジノジュグ: 昔は二に〇ついてましたね。まるじかな？
[2616.565] しなしなのポテト: 歌舞伎町とか池袋は名義貸しですね
[2624.884] piyopiyomaru555: 青森にぃサブスクしてるw
[2635.441] pooh012345: なんで二郎って言うの？
[2639.516] kimie_white: ウメちゃんはどこの二郎食ったことあるの？
[2652.502] celsior_chan: 二郎の本当に初期の頃の弟子できちんとした直系二郎だったけど、独立しました
[2658.885] アベ0206: 直系じゃないと仕入れられない材料あるんだっけ醤油とか
[2666.050] ppooppy: 神保町が一番好き
[2667.335] (S)dokkoiomusubi: 124.9万 です青森県の人口！！！
[2681.192] porcupinepine: マレー半島と同じ位か
[2692.329] kimie_white: 関内二郎は後ろに立って待ってる客のプレッシャーがやばくてすぐ出てきた
[2695.937] DACKT711: うめちゃんはラーメンで好きなのは二郎？家系とかも食べる？
[2696.404] sansiki205: えいたは５００万
[2699.808] piyopiyomaru555: 100万人くらい高齢者かな
[2703.350] kotatan_twitch: そんないるんか青森県民だけどしらんかった
[2707.169] 泣き虫サクラ: 富士丸は結局食べてないの？
[2716.137] laponta: 今は後ろに待ってないよ＞関内二郎
[2719.132] pooh012345: 1/4えいた
[2722.377] thunderbolt0422: じゃんがらが好きなだけ
[2728.603] kimie_white: 関内二郎変わったんか
[2731.138] 泣き虫サクラ: さんきゅ
[2757.047] kimie_white: 写メ撮ってたら後ろの客にすごい目で見られたな
[2757.177] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2759.423] 泣き虫サクラ: 神保町の奴量多かったんじゃね？
[2761.796] laponta: 店の外はすげー並んでますが
[2768.455] egatyan: 次の目的地まで、後どの位？
[2779.641] しなしなのポテト: 目黒少なくていいですよ
[2780.630] thunderbolt0422: 二郎、最近は並びが凄いからなぁ
[2781.862] yuzubox: ｗｗ
[2781.899] kimie_white: ねりけしｗ
[2785.091] thunderbolt0422: ｗｗｗ
[2786.404] 5don: ねりけし…ｗ
[2792.599] ~MISSING_COMMENTER_INFO~: ｗ
[2797.460] GelidiumJellyCat: カタメ
[2800.238] MadEggMania: 二郎系で固めってやばない？
[2803.318] kimie_white: はりがね？
[2803.878] DACKT711: チェーン店なら、最近は丸源っていうお店オススメ♪
[2812.859] yuzubox: 二郎で固めはすごいな
[2818.942] kaituburi: 粉落とし？
[2820.272] laponta: そもそもちょっと粉っぽくない？
[2823.715] ppooppy: 直系なら野猿もかなりうまい
[2830.314] akaao123: 肉そばラーメン
[2834.202] chandio2251: 中華そば
[2837.984] きあい: 肉そば？
[2844.784] lg99632: チャーハン好き
[2845.973] ユ一キャン: 丸源に〜 いらっしゃいませ！
[2849.878] thunderbolt0422: 愛知の安城が丸源発祥じゃなかった？
[2853.138] yusan090: 丸源の面無理だった
[2854.456] kimie_white: ウメちゃんこういう情報はちゃんと覚えてるの？
[2862.130] celsior_chan: 赤羽二郎は元は千葉の松戸でやってた人が赤羽に来たやつだったけど、店主の体調不良で3年くらいで店閉めましてね
[2864.621] hukohuko: 岐阜タンメンもうまい
[2871.851] corosuke_55: 野猿二郎最強
[2872.051] pooh012345: 豚骨ラーメン屋減ったよね
[2874.879] piyopiyomaru555: 肉そばけいすけっていうラーメン美味い
[2875.102] perfecttakahashi: ラーメンってなんでスープと麺が混ざった料理なの？ 変すぎない？
[2880.534] NagOutSide: 丸源普通
[2881.085] ppooppy: 中本とか鬼金棒とかはあんまりいかないんだっけ？
[2881.340] falandc: まだ明るいねえ・・
[2889.782] kimie_white: ラーメン情報すごい
[2894.073] ユ一キャン: 神奈川厚木の山の中に
[2896.242] gorogorogorn: 時々行きました報告するじゃんねえ
[2904.245] じゃむじゃむお: 結局ちゃんぽんが一番うめぇんすよ
[2905.190] kireboshibasyato: スーパーで売ってる岐阜タンメンの野菜炒めの素がマジ美味い
[2906.577] madahaya: 中本は
[2909.285] nakao1976: あと30分…ドキドキ
[2910.095] chandio2251: 鬼金棒そんなにうまいの？
[2917.151] ishiwata1234: きかんぼう激混みでやばい
[2920.647] kimie_white: 鬼金棒って聞くとふーどが大汗かいてるイメージしかないです
[2924.655] nitamago33: 山椒そこまで好きじゃなくても行ける？
[2925.355] NagOutSide: 幸楽苑が一番旨いなぁ
[2926.282] wakky1114el: 池袋だと無敵家とか
[2934.641] piyopiyomaru555: パンクがいちばん辛いやつスープ飲み干した
[2935.311] go_boardwalk: 中野にもえどもんど出来たね
[2936.096] redbull_daisuki: 鬼金棒 
[2937.025] hoehoeR: あるよ 潰れた店
[2938.463] 5don: 増え続けるからこそビッグ
[2938.495] thunderbolt0422: 鬼金棒もう格ゲーマーの聖地みたいになってるよね
[2938.813] ユ一キャン: 神奈川厚木の山の中に、水にこだわったズンドバーって店がありまして
[2939.717] しなしなのポテト: 近所なくなりました...
[2941.296] popopopo444: 田舎だけど潰れたよ
[2948.581] baibai29: ｗｗｗ
[2948.879] gorogorogorn: きかんぼういっつも並んでるから行けないよ～
[2949.650] ロンロ: ｗｗｗｗ
[2949.889] thunderbolt0422: ｗｗｗ
[2950.868] momochan6: ｗｗ
[2951.762] nihonsyu_: ｗｗｗｗｗｗ
[2951.776] kimie_white: そりゃあな
[2952.018] gorugoru123: だもん！！
[2952.159] 泣き虫サクラ: ここらへんは梅ちゃんに思い出話で案内してほしい
[2952.432] 顔面ユッケ: うちの近所のビッグボーイつぶれて研修センターになっちゃった
[2952.526] izumih71128: 高校生の頃ボッグボーイでバイトしてました
[2954.580] peperon17: そりゃね
[2956.734] feel2525: ｗｗｗ
[2956.965] ekusu00x: カウボーイ家族が無くなったのは寂しい
[2958.692] tsubame5204: umeFail
[2962.301] gomeeen: 潰れた潰れた言わないで
[2962.677] sengoku_cyber: 見逃してよーｗ
[2963.765] ~MISSING_COMMENTER_INFO~: 現在207店舗とのこと
[2965.588] enuemu3: www
[2966.389] raurakd: わーってるよ！
[2967.492] shir039: 沖縄にはありません
[2967.995] wakky1114el: 言ってみただけよ
[2971.738] ~MISSING_COMMENTER_INFO~: 鹿浜限定でしょうが！
[2973.027] gorugoru123: 鹿浜つぶれてないもん！
[2974.180] njpw2017: ビッグボーイって子ども部屋おじさんのこと？
[2978.735] shibaponz: この世って言ったら鹿浜のことでしょーが！！
[2981.768] cielcloudy248: フォルクスももっと長生きしてほしいよ
[2991.285] スーパー対魔人4: うちの地元のビッグボーイ、変わる景色の中ずっと居続けてるわ…
[2991.693] furu13: ビッグボーイってなに？
[2992.794] donder112: 練馬世田谷によくあるイメージ
[2993.241] myaaaaaa123: ビッグボーイのサラダバー好き
[2994.163] yuuubin: サラダバー
[2994.513] izumih71128: ？
[2995.773] kokusairengou: Bar
[2998.473] redbull_daisuki: サラダバー
[3000.272] kirakiracat331: サラダバー
[3003.694] pooh012345: びっくりドンキーにおされたのかな
[3004.918] gorugoru123: へぇ～
[3005.494] hoehoeR: でランチ安いよね
[3005.732] tsurioji_san: てごねハンバーグ
[3006.812] DACKT711: ビッグボーイとびっくりドンキーなら、びっくりドンキーに行きがちかもw
[3008.025] bonanza_death: ココスが潰れないイメージある
[3009.870] izumih71128: 今カレーもあるんだ
[3010.214] falandc: カレーバー
[3011.190] メタルぱんだ: ！？
[3012.713] njpw2017: ｻﾗﾊﾞﾀｰ
[3013.623] thunderbolt0422: わかるｗ
[3014.916] mako6912: カレーバー？
[3015.719] アイルトン_粉: ビッグボーイのケイジャンドレッシング好き
[3017.617] ishiwata1234: 少食w
[3017.862] HirocoT: ｗ
[3019.604] punch_n: ミルキーウェイ
[3020.794] nitamago33: ３０超えたらさすがにきちいｗ
[3021.964] ユ一キャン: わんぱくキッズにんまりの店
[3024.915] myaaaaaa123: サラダバーのみで満足しちゃう
[3024.942] gorugoru123: カレーは重たいからねｗ
[3025.559] baibai29: ウメボーイも満足のビッグボーイ
[3026.631] gorogorogorn: バイキングのカレーは罠
[3027.075] madaraomi: 食べ比べしたい
[3027.609] 泣き虫サクラ: 梅原少年の思い出
[3028.084] sengoku_cyber: ファミリーステーキハウスはバーあるよね
[3030.324] blackcoffee0821: 後悔させに行こう
[3033.742] donder112: カレー食わそうとするのすごいｗ
[3034.318] ~MISSING_COMMENTER_INFO~: ステーキ屋でカレーも食えるとこ多い気がする
[3035.250] izumih71128: たしかに、カレーハンバーグできる
[3036.264] faiueo: わんぱくすぎる
[3039.087] kiichip: しかもカレーそんなまずくない
[3039.237] yusan090: ハンバーグくいに行ってるのに出てくる前にカレー食ってるのマジ基地
[3039.780] kaituburi: バイキングでカレーあると大体終わる
[3046.696] じゃむじゃむお: ハングリータイガーいったことある？
[3047.539] hodanonn: カレーは飲み物だからね
[3056.588] pooh012345: ビッグフェイス
[3056.885] kimie_white: びっくりドンキーとどっちうまい？
[3058.853] perfecttakahashi: 俺がもっと太るからやめろ
[3059.219] ishiwata1234: へー
[3060.150] GelidiumJellyCat: かわいい
[3061.844] feel2525: ぺこ～
[3066.055] peperon17: かわいい名前なのにたっか
[3066.315] momochan6: 名前いいなｗ
[3066.437] faiueo: Pipkin
[3068.690] enuemu3: 名前かわいいね
[3070.754] laponta: 高いよお～
[3071.485] raurakd: うまそ
[3075.315] 泣き虫サクラ: そういう思い出話ツアー待ってた！
[3075.569] ekusu00x: たけー
[3076.138] kimie_white: 信号無視すげえ
[3078.038] celsior_chan: この橋渡りきったら北区で王子近辺に
[3078.588] gomeeen: まだ生きてるんか
[3080.114] akaao123: ぺこぺこ埼玉にもあったな
[3080.732] rm_rf__: LUL
[3084.970] baibai29: ｗｗｗ
[3085.369] HirocoT: 小声ｗ
[3086.048] れく太: 小声で聞くのやめろｗ
[3088.277] tansan_cola: ちゃんと黄色信号で止まってくれるの助かる
[3089.220] piyopiyomaru555: 信号無視すごかったな今の車
[3089.462] prosciu: こそこそ話
[3102.346] amaterasdesign: 5000したら美味しいよね
[3104.958] bonanza_death: 無視すごかったねーw
[3107.988] thunderbolt0422: 噂の！？
[3115.070] メタルぱんだ: ｗｗ
[3116.227] 泣き虫サクラ: マンガ肉イメージ
[3116.386] suzan_star: ｗｗ
[3116.466] taroumaruh: ｗ
[3117.000] gorogorogorn: ビフテキ！
[3117.718] feel2525: 素直
[3118.459] thunderbolt0422: ｗ
[3120.326] ~MISSING_COMMENTER_INFO~: すきかもー
[3121.163] celsior_chan: ksk まりをの店に連絡ないけど逆ウーバーいかない？ｗ
[3124.047] yuuubin: 確かに初めて行ったステーキ屋覚えてるわ
[3128.546] raurakd: 手応え微妙で草
[3131.188] そろもん1: 鹿浜橋ここ
[3131.303] donder112: 焼き肉のがわいわいできるからね
[3145.886] piyopiyomaru555: スタミナ園って実際美味いの?
[3148.534] kiku1133: ステーキといえばリベラ
[3151.040] ユ一キャン: ステーキは顎疲れるからあんまり苦手
[3158.574] taroumaruh: 最初のステーキはハングリータイガーだったなぁ
[3160.834] kireboshibasyato: 愛知ではメジャーなあさくま
[3162.981] neojapan01010: 車載配信好きだー
[3163.868] onyancoscratch: 有名だろあさくま
[3164.333] もきち555: スペシャル感パない
[3166.897] れく太: 俺も初めてのステーキあさくまだわハンバーグしか食わなかったけど
[3168.352] wakky1114el: リベラは衝撃うけた
[3169.942] kurumatiger26: 都内にもあるよあさくま
[3171.147] chiyosuke753: ステーキはブロンコビリー
[3171.898] laponta: あさくまは関東にもあるよね
[3174.145] katsuo73: ステーキ宮くいてぇ
[3177.063] くろにゃんこにゃにゃ: あさくま千葉にもありました
[3177.343] thunderbolt0422: ステーキのあさくま 静岡にも結構あるよな
[3181.800] amaterasdesign: 今はあんま聞かないよねあさくま
[3192.857] しなしなのポテト: 食べたもので一番高かったものなんですか？
[3192.912] 泣き虫サクラ: 時の首相まで立って並ばせたで有名なスタミナ苑
[3196.244] kimie_white: やっぱ安楽亭っしょ
[3197.452] ユ一キャン: レッドロブスター
[3199.222] そろもん1: これ環七？
[3199.226] れく太: お会計でハッカの飴もらえるの嬉しかった
[3205.834] kireboshibasyato: ステーキ宮で初めてステーキ食ったけど、感想はハンバーグの方が好きだった
[3206.880] オットーー: こういう話聞いてると食いたくなるわ
[3207.093] gorogorogorn: フォルクス好きだったなあ
[3210.089] gold_power1969: 少し前に通り過ぎたビリーザキッド安くて美味いよ
[3213.701] wahaha7788: 子供の時クマの手食べたのがすごい記憶に残ってる
