[10.796] あかの: キター
[3462.761] 1108044k: ガラスの仮面は？
[3469.831] qin_liangyu: ええ
[3470.881] おひとつ: ウメちゃん、漫画をひとつだけオススメするなら何すすめる？
[3472.502] 麻雀打ち: あさりちゃんは読んだことありそう
[3473.391] yusan090: 少女漫画も感性が違うからある意味おもろいんだが
[3475.290] nagisasaan00: 完結してる漫画で漫画初心者におすすめありますか？
[3479.793] gorogorogorn: 少女漫画ってルルーシュみたいな絵？
[3484.738] loopy000401: 「俺だけレベルアップな件」よんだ？
[3497.300] (S)chankoi: ワンピース好きそうって場合によってはキレられそう
[3512.280] taroumaruh: なるほど
[3513.145] おひとつ: わかる
[3518.019] yusan090: 最後がなあ
[3520.796] gettyozi: バランスいい、はいい言い方するねー
[3521.440] umesecond: まあ面白い
[3522.049] Papapadad: 全10巻くらいで読みやすいしね
[3522.569] SleepShiva: 柔道部物語よ
[3523.748] 1108044k: 子供の頃は怖かった
[3524.485] dekamega: 寄生獣は女子に読ませると「絵がヘタだから読む気がなくなった」と言う意見がちらほらあった
[3524.566] naginagi99: 少女漫画も時代によって絵柄が違うけど、基本書き込み細かいとか線が細いとか
[3525.435] nibiru_brave: エンジェル伝説は面白かったな
[3526.429] rapid_pierrot: ワンピース好きそうは侮蔑だった！？
[3526.439] 麻雀打ち: 分かる気がする
[3529.193] (S)v_harumi_v: なるほど。そうですね。
[3529.504] Areca129: 寄生獣はターミネーター2にも影響
[3531.511] loverou_: 尺が完璧
[3531.550] メピパラ: 最高ですね
[3532.209] おひとつ: 完成されてるよね
[3533.522] (S)yuki201709: はだしのゲン読んだことある？
[3534.104] vitaminc0516: 攻殻機動隊は見た？
[3538.394] konjac_0419: マンガのメソッドというか読み方がわからない人は寄生獣見ても？？？になるかも
[3541.249] (S)arotadiph: 根こそぎフランケンじゃないんだ
[3541.732] (S)めぐみさんだと: 怖くて読めなかった
[3546.322] nagisasaan00: 読んでみます
[3553.930] (S)めぐみさんだと: 子供の頃
[3555.193] rachel_hakumen: 最近パトレイバー読んだら面白かった
[3561.581] Artemis_Reinhold: 23 days? is that a thing?  99% conviction rate.  so dont push it!
[3563.713] kino883: ウメちゃん王様ランキング12巻読んだ？
[3566.345] 泣き虫サクラ: ベルセルクは誰かに継いで終わらせて欲しい？
[3569.593] やあああ: ここの絵すごいな
[3571.584] jk_julia: マンガ初心者に薦めるなら寄生獣より七夕の国かなあ
[3573.438] gettyozi: ウメちゃんは恋愛やラブコメ漫画は見るの？
[3578.263] おひとつ: マジでいいこという
[3580.117] enuemu3: 綺麗ですねぇ
[3581.627] mmiiacha: イルミネーションすごいねぇ
[3582.901] 麻雀打ち: マスターキートンは結構受けが広そう
[3589.905] (S)gyu_nyuu_pann: うわ綺麗
[3591.657] mako6912: 分かる
[3593.275] 再度落選の大統領マルモリ: かぐや様も見ない？
[3593.499] oinari6: 自分のホントに好きなものは話題にしないみたいな
[3595.345] nagisasaan00: 街がきれい
[3595.536] Kaeede: Beautiful
[3597.406] naginagi99: これ光ってるっす
[3602.381] dekamega: マスターキートンはまじで世界中のオッサンにおすすめしたい
[3605.427] tangarami1122: イルミが綺麗だねぇ
[3605.849] 黒猫くん: 視聴者に勧められて読んだ中でくそつまんねって漫画あった？
[3608.292] Papapadad: 愛などいらぬの？
[3608.635] yusan090: そこを逸脱して探って行くのがお宅ってもんですよ
[3613.864] piyopiyomaru555: ハイスコアガールはラブコメ？
[3615.472] 1108044k: ハーレムものとか絶対読めない
[3617.270] SleepShiva: 歳いくときついよな
[3620.014] メピパラ: うる星やつらは好き
[3622.106] Areca129: ワールドイズマインはどうすか？
[3626.144] gettyozi: あったんだｗｗｗ
[3626.949] okamasa456: 言えねえわなｗ
[3628.111] やあああ: あ
[3628.588] weeep1: 言わんやろｗ
[3628.718] tunnel_hitboxer: ハイスコアガールはラブコメでしょ
[3629.872] qin_liangyu: おお
[3630.156] rachel_hakumen: ちゃんと前見て歩いてね
[3630.411] 再度落選の大統領マルモリ: お
[3630.751] ~MISSING_COMMENTER_INFO~: あちゃー
[3631.173] dekamega: 凸きたか
[3631.505] hayashi01: かぐや様は告らせたいはラブコメで面白いよ
[3631.576] (S)erisuk: またでたぁ
[3631.813] セツリ: 凸
[3631.974] mmiiacha: 本日一人目
[3632.538] Papapadad: 凸きた
[3632.826] gettyozi: え？？
[3634.504] weeep1: 凸
[3635.176] taroumaruh: いつもの人
[3635.784] naginagi99: ｗｗｗｗｗ
[3636.012] loverou_: ハニワット読みました？
[3636.835] kaigaizei: ほっきょくなんだよなあ
[3636.835] 157655: ！！
[3637.095] suginaka56: え
[3637.612] tunnel_hitboxer: 凸
[3637.975] dekamega: ものもらい
[3638.763] やあああ: シロクマ？
[3640.178] おひとつ: 「じゃ」ってｗ
[3641.404] eremin_39: いつもの
[3641.809] 麻雀打ち: しろくまにいどこにでもいる
[3641.913] gettyozi: 一瞬すぎでしょｗｗｗｗｗ
[3642.393] mmiiacha: ほっきょくにぃじゃない？
[3642.594] 157655: さらっと
[3643.501] rias9121: 小包の受け渡し
[3644.783] ~MISSING_COMMENTER_INFO~: しろくまにぃ
[3644.914] ninsoku: こんなあっさりw
[3646.012] 泣き虫サクラ: 二言で終わらす潔さ
[3647.133] taroumaruh: ほっきょくにいタクシーだからええなｗ
[3648.918] tunnel_hitboxer: とくせい ものもらい
[3649.208] nagisasaan00: しろくまにぃ
[3649.481] ~MISSING_COMMENTER_INFO~: 3秒
[3650.419] bunkichi23: ｗｗｗ
[3652.027] (S)めぐみさんだと: 仕事中か
[3652.054] kame277: 早い
[3653.546] enuemu3: はやい凸
[3654.378] Jupiter1207: レギュラーすぎてあっさりしてるｗ
[3655.010] jk_julia: ブツの受け渡し
[3656.056] よもぎです: じゃ」のはやさ
[3656.565] 再度落選の大統領マルモリ: おにぎりｗｗｗ
[3656.836] yusan090: ブツの手渡しレベルの交流
[3657.108] kaigaizei: しろくまにぃなんていねえんだよウメちゃん
[3657.200] weeep1: 凸手慣れすぎてて草
[3657.825] (S)gyu_nyuu_pann: 早いね
[3657.930] (S)つさつ: www
[3658.473] nagisasaan00: タクシーの人？
[3658.670] suupu: さすがｗ
[3658.771] 1108044k: ブツのやりとり
[3659.770] hukohuko: 仕事柄凸しやすいな
[3660.648] okamasa456: いつものｗ
[3661.410] tokomaya99: つぐもも
[3663.469] neo_claw_: 物の手渡しｗ
[3664.708] Artemis_Reinhold: Haha
[3666.249] (S)teruharu_: 常連の差し入れやｗ
[3666.698] (S)erisuk: 食いもんはやめろとあれほど
[3667.817] hayashi01: 違法ブツやりとりしてる人じゃん
[3668.972] 0208h: そんな友達みたいなw
[3670.047] mako6912: 凸慣れw
[3670.907] ﾃﾄﾗﾝ: ありがたやー
[3671.024] balthazar000: 何が面白くなかった？ 薦める時の参考にしたい。
[3671.547] HirocoT: ｗ
[3672.215] セツリ: マジで素早い
[3672.667] naginagi99: ウメ凸のプロと化してるな
[3673.823] dekamega: 完全に冷たい奴受け渡してる
[3674.779] (S)yuki201709: 機動戦士ガンダム閃光のハサウェイは単体でも楽しめる
[3674.831] (S)v_harumi_v: ぶつの受け渡しww
[3675.623] やあああ: 受け渡しのプロやん
[3675.879] (S)gyu_nyuu_pann: 草
[3676.943] rias9121: 相当手慣れてるね～
[3677.349] そるてぃ: 凸プロほっきょくにい
[3678.206] dekamega: プッシャーハラ
[3682.027] UCNOVA: 見逃す速さ
[3684.068] tunnel_hitboxer: 白い粉のまぶされた…
[3684.143] tabibitox: ほっきょくにぃは道知ってるだけあって配信みたらすぐ現地いけそうｗ
[3685.099] マンゴスチン: 確かにw
[3685.920] kaigaizei: ウメちゃん、ほっきょくやぞ
[3687.872] (S)vvvv102: 銀座？
[3689.142] enuemu3: プロの犯行ですよあれは
[3691.088] nagisasaan00: どぐらさんの座談会でもぐもぐしてたやつか
[3699.326] weeep1: 戦争おきる？
[3699.470] (M)Moobot: ワイヤレスヘッドセット Cloud ll Wireless 発売！ http://hyperx.gg/3i5czYA
[3704.175] balthazar000: ここ銀座と有楽町の間か
[3704.318] dekamega: 有楽町の北側っぽいよな
[3707.623] ほっきょく: 仕事戻ります
[3714.238] mmiiacha: ほっきょくにぃありがと～
[3715.596] (S)めぐみさんだと: おつかれさまです！
[3715.780] kurokimi1234: ラブコメとか読むの？
[3716.545] 再度落選の大統領マルモリ: がんばえー
[3718.407] (S)gyu_nyuu_pann: ほっきょくにいありがとー！
[3719.019] tunnel_hitboxer: ありがとー
[3719.053] 0208h: ウメちゃんそこは慎重にね
[3719.302] rapid_pierrot: 偉人バトルの？
[3722.483] そるてぃ: ほっきょくにいありがとー
[3724.068] (S)erisuk: 人に勧めるのでそういうの起きるって相当やぞ
[3730.852] maddy2623: シャドーハウスかな
[3732.853] enuemu3: ほっきょくにいありがとー
[3733.553] qin_liangyu: ちゃんと読むのえらい
[3733.899] SleepShiva: 絶対に後悔しないとか口にする奴は高確率で地雷よ
[3739.638] austin4222: 麻雀漫画は？
[3750.815] balthazar000: 合う合わないあるから、起きるもんじゃない？
[3751.791] ゆっくり2121: bungoって漫画は20巻くらい超えてから面白くなりますよ
[3752.311] konjac_0419: 評価が前のめりの人の お勧め は危険な匂いがする
[3753.310] メピパラ: 逆張りしてきたんかな
[3758.295] (S)yogyogsothoth: こんな日も暮れた時間からお散歩配信してるなんて
[3762.712] dekamega: もうすこし日本橋のほうに行くと２階が鰹節問屋の美味しい立ち食いそば屋とか、たいめい軒がありますね
[3767.458] (S)yuki201709: バカボンド面白いと思う？
[3773.715] 麻雀打ち: ウメちゃんがダメなものがはっきりしてればそれ以外とりあえず薦められるよね
[3775.705] ほっきょく: シャドーハウスはエミリコ可愛い
[3780.333] gettyozi: ミュージアムって全３巻の漫画読みました？
[3783.793] sanchan_leaders: こんばんわー
[3790.256] Papapadad: とにかく完結してほしいわ
[3791.497] rapid_pierrot: 俺は好きだけどお前はどうかな〜って勧められたい
[3795.839] yusan090: 連載がないんで・・・
[3795.918] 再度落選の大統領マルモリ: 農業編もおもろいけどやる必要あんのかっていう
[3795.942] tangarami1122: 天とアカギどっちが好き？
[3798.044] kaigaizei: ここで他人が勧めてる漫画で「それマジでつまんないぞ」ってのあるしな
[3801.816] naginagi99: ｗｗｗｗ
[3805.257] 1108044k: なんでああいうの農業やりだすの？
[3806.625] weeep1: 補正
[3807.222] Jupiter1207: 片山まさゆきの漫画は雀荘で大体読み切った
[3810.136] suginaka56: バカボンドは小学生読んでも面白い
[3814.142] Artemis_Reinhold: Beautiful city.
[3819.524] qin_liangyu: だめｗ
[3822.028] akirashi1114: 都内でおすすめのつけ麺はどこですか？
[3822.083] 再度落選の大統領マルモリ: アカギは序盤は神なんやけどなあ
[3826.380] umesecond: 日常ものがダメって結構絞れる
[3826.738] クラクラ777: 行くつく先は生命をそだてるにいきつく
[3828.462] gettyozi: てか天はラストが良すぎる
[3828.652] dekamega: 逆に天のラストは歴史に残る
[3829.183] 黒猫くん: わかるー
[3835.661] umesecond: おー
[3835.865] tangarami1122: やっぱりそうだよね。
[3837.721] (S)gyu_nyuu_pann: 漫画の中で一番好きな絵柄は誰の？
[3838.320] austin4222: アカギって終わってたんか・・・
[3844.381] oinari6: 武蔵編どうだった
[3847.785] 再度落選の大統領マルモリ: スクネって魅力なさすぎない？
[3847.849] Soulgain0: 近代麻雀なのに地獄で戦ってるのひどかった
[3848.488] 0208h: 宿禰どう思う？
[3850.491] taroumaruh: バキの何編？
[3851.712] (S)gyu_nyuu_pann: えーー
[3856.497] konjac_0419: アカギはラストの方はもう見なくていいというレベル
[3861.792] shado2sonic: Konishowa Daigo in tokyo, have a good ride 
[3862.691] (S)erisuk: あの苦痛の相撲編を！？
[3862.855] balthazar000: 肩甲骨で投げる。すごくほぐれそうじゃない？
[3865.505] 泣き虫サクラ: 野見宿禰か
[3866.980] 再度落選の大統領マルモリ: あっ
[3870.922] 1108044k: ｗｗｗｗｗｗ
[3871.651] gettyozi: 前フリがすーごいｗ
[3871.787] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[3872.506] (S)erisuk: ；；
[3872.571] baro667: where are you right now ? is it Tokyo or somewhere else ?
[3873.353] okamasa456: ｗ
[3873.806] taroumaruh: んーｗ
[3874.763] kyu_ku: あ
[3874.923] naginagi99: wwwww
[3875.286] qin_liangyu: あ
[3876.223] tamagon_: あー
[3876.231] クラクラ777: ｗｗｗ
[3876.660] だいこん_: あっ…
[3876.711] weeep1: あ
[3877.041] UCNOVA: まーじか
[3878.527] kaigaizei: そんな…
[3878.766] hukohuko: 相撲は評価できる点がない
[3880.810] kame277: ウメちゃん、許さず
[3880.903] tokomaya99: つぐもも?
[3881.294] 再度落選の大統領マルモリ: 武蔵編はOKだった？
[3881.907] balthazar000: 全員メスは流石に？
[3882.445] 1108044k: あれはほんとにひどいｗ
[3883.338] クラクラ777: ｗｗｗｗｗ
[3883.388] mako6912: あっ…
[3885.521] suginaka56: あれは謎展開だったなｗ
[3892.503] SleepShiva: 武蔵編ゆるせるならもうなんでもありじゃない？
[3894.323] kyu_ku: 擁護できんよね
[3894.499] クラクラ777: ぎゃくによみたくなった
[3894.744] uridon123: 刃牙贔屓でもダメだったかぁ
[3895.985] funacchi15: こんばんは！
[3897.175] jambotanishi: オリバの扱いが酷い
[3897.189] lucentsnow: ウメちゃんの大好きな裕次郎ホモだったけどどう思った？
[3900.427] 黒猫くん: わかりみしかない
[3901.181] (S)teruharu_: 忖度なし
[3901.540] 泣き虫サクラ: キャラも立ってないし展開もよくみたやつ
[3904.281] (S)erisuk: ゼロカタルシス
[3904.353] tk_fox_03: What is the best restaurant in japan I love japanese food 
[3905.891] balthazar000: やっぱ雷台よ
[3911.494] Jupiter1207: 宿禰のせいでオリバが雑魚化したのがきつい
[3918.546] 1108044k: 勇次郎バイセクシャルはまじで
[3919.223] tora6666: 烈さんの異世界に期待っすな
[3921.181] hukohuko: ある意味面白くなる
[3929.915] 再度落選の大統領マルモリ: 勇次郎はホモとかバイじゃなくて視界に入るもの全てがメスに見えてるだけだぞ
[3933.740] (S)yuki201709: ジョジョ6部アニメ見た？
[3937.179] ほっきょく: ワールドトリガーは好き
[3939.425] taiyaki_ltd: khgroove subscribed at Tier 1. They've subscribed for 23 months! 
[3939.508] (M)Moobot: @KHGROOVEさん、23ヶ月目のサブスク登録更新！ありがとうございます！
[3941.117] goldroger004: おじゃま！
[3941.384] (S)yogyogsothoth: 囚人⇒原始人⇒武蔵と来て力士では強さの説得力がね・・・
[3951.349] felipen0rthlane: 来年の頭くらい自由が丘に引っ越しする予定
[3951.394] クラクラ777: バランスのいい山本
[3952.386] pascal171012: 晩年でそこを克服したいんじゃね
[3956.653] tora6666: 花山のスカーフェイスってスピンオフは読んでますか？
[3960.441] (S)nijiojisan: Daigo is in Tokyo, walking to Jiyugaoka.
[3960.519] 再度落選の大統領マルモリ: 武蔵も本部が謎の強さ発揮してたりはおもろかったけども
[3961.202] 黒猫くん: 正直もう限界じゃない？刃牙
[3963.852] Jupiter1207: 勇次郎vs郭海皇良かった
[3967.219] umesecond: 作者が関取とやたら仲良くなったとかかな
[3967.731] lucentsnow: なんで急にバイにしたんだろう
[3968.561] マキヲ: 相撲になってから単行本ずっと真顔で読んでる
[3968.566] gettyozi: 案件ｗｗｗｗｗ
[3975.662] 泣き虫サクラ: きっとそのうち宇宙人とやりだすと予想しておく
[3978.024] tora6666: 次回、Youtuber編
[3980.435] 再度落選の大統領マルモリ: 案件はかなり手厳しいな
[3992.493] rapid_pierrot: 守護る守護らないって相当マシだったんだなぁ
[3993.038] セツリ: HolidayTree
[3996.523] felipen0rthlane: 今はどこらへん？もう自由が丘？
[3998.438] lucentsnow: 金龍山過去を忘れてるんです・・・
[3999.880] apexxxgamer: do japan celebrate Christmas? just curious since its a western hoilday
[4002.145] 再度落選の大統領マルモリ: 相撲に比べたら烈海王の異世界転生のほうがずっとおもろい
[4004.115] 0208h: 武蔵カッコイイと思うんだけどウメちゃんは？
[4006.616] Artemis_Reinhold: Thank you Daigo, for sharing
[4011.266] SleepShiva: 板垣はバカボンド信者だから武蔵編作った
[4012.215] 泣き虫サクラ: 伝統は守られているっ！だから
[4013.644] gettyozi: こんなオシャレな街で刃牙を語る
[4014.281] ほっきょく: まだ銀座
[4015.797] kyu_ku: 武蔵編がまあまあとの感想になるとはなー
[4016.175] yut7xot8: シティすぎた
[4021.291] balthazar000: 相撲側が弱いよなぁ
[4025.386] loopy000401: ピクルぐらいからもう全然どうでもよくなったなぁ
[4026.977] 再度落選の大統領マルモリ: 根本が崩れてるよな
[4031.277] omoikawa: 相撲編に入ったのは、鮫島書いてた人が死んで連載終わっちゃったからっていうのもあると思うけどね
[4031.367] 黒猫くん: たしかにw
[4033.104] gettyozi: ほんそれｗｗｗ
[4033.734] だいこん_: チャンピオンで最新話ずっと追ってるけど、どう面白くするのか見守ってる気分
[4034.452] jambotanishi: バチバチの作者が急逝したきっかけで、始めちゃったんじゃないかなぁ
[4036.251] 麻雀打ち: それで素人さんとか言ってるからね
[4037.678] felipen0rthlane: 銀座に見えんるんだけどね🤔
[4038.736] 1108044k: だれも板垣をどやせない
[4040.524] weeep1: 相撲といえば火ノ丸相撲は読んだ？
[4041.353] mako6912: それなw
[4041.471] (S)chankoi: 説得力ある分析
[4041.641] nop64: 正論すぎるw
[4046.685] qin_liangyu: 正論ｗ
[4048.030] rachel_hakumen: ほんそれ
[4048.073] lucentsnow: オリバなんであんな簡単に・・・
[4048.246] 慈悲心鳥: その通り！
[4051.489] Jupiter1207: 相撲編は過去1で休載多いから、相当迷走してんだと思う
[4053.848] (S)erisuk: 相撲も裏の横綱がいるとかでもない！？
[4054.024] SnaggleToothVampire: Ginza yan
[4054.861] balthazar000: 相撲って見せモンで格闘技として見られてないよね？ ってとこからじゃない？
[4055.638] taroumaruh: オリバとセカンが闘う時のバーターとしてだけ一番機能した設定 力士
[4056.196] taiyaki_ltd: 案件だったか
[4056.365] 勤務中: バキお好きなんですねえ
[4057.316] daichan1200: しかも当時の横綱負けたよな
[4059.583] (S)myodent21: CHANELの前で刃牙を語る男
[4061.026] 再度落選の大統領マルモリ: 裏のさらに裏みたいな囚人出しといて相撲はもう。。。
[4063.642] はとぽっぽ: だから金竜山は負けたんだろって話
[4065.098] gettyozi: 積み重なったモノがあるからね
[4069.138] みっかぼうず: 面白くなかった漫画も意識して分析してます？
[4071.239] 再度落選の大統領マルモリ: 好きだねえ
[4071.839] tangarami1122: 高級ブランドだらけだな
[4077.299] okamasa456: ファンボだねえ
[4082.374] felipen0rthlane: あんなにパイプランドの店があるってやっぱり銀座だね
[4082.655] だいこん_: 刃牙、お好きなんですねぇ…
[4085.469] jambotanishi: 天内悠は生きていると思います？
[4086.911] mmiiacha: ザギンだねぇ
[4087.657] SleepShiva: 寛容だねぇ
[4088.567] ハナたろう: まああの漫画、作者がこれとこれが戦ったらどうなるかなっての描きたい漫画だからね
[4093.660] pochichan11: ガーゴイル
[4098.397] felipen0rthlane: ハイブラインド*
[4099.399] (S)yogyogsothoth: それ寛容なのｗ
[4100.013] gorogorogorn: 自由が丘まで何時間かかるんだろう
[4104.554] gettyozi: ｗｗｗｗｗ
[4104.946] pascal171012: ｗｗｗｗ
[4104.967] みっかぼうず: ｗｗｗ
[4105.556] 1108044k: 一歩といいバキといい酷くなっていくのつらい
[4106.162] (S)erisuk: ウメちゃんが時間がある時の本田で遊ぶみたいなもんか
[4110.140] qin_liangyu: ｗｗｗ
[4112.113] okamasa456: 忠誠してるもんほかにある？
[4113.189] ほっきょく: 四時間くらいかかりそう
[4113.834] lucentsnow: 花田は・・・
[4114.079] (S)yuki201709: 未来少年コナン見たことある？
[4114.469] 再度落選の大統領マルモリ: 昔楽しんでて完全に見切っちゃった漫画とかある？
[4116.328] balthazar000: 裏返った！ が一番好き。
[4116.976] 泣き虫サクラ: バキはどこが一番面白い？
[4119.545] メピパラ: 恵介にぃ疲れてるのよ
[4130.513] Artemis_Reinhold: Its like the US in the 90's. Malls in every downtown.
[4132.199] felipen0rthlane: 銀座から自由が丘まで歩くの？ 
[4134.356] Jupiter1207: ジョジョじゃない？
[4135.944] imokun888: umeYung
[4140.960] (S)teruharu_: 男塾
[4147.437] SleepShiva: 野田かよ
[4150.639] taroumaruh: ジョジョは一生荒木節だからな
[4150.833] lucentsnow: 聖夜？
[4156.255] おひとつ: がんばれ元気？
[4158.175] kyu_ku: ハンター？
[4161.623] atom0324: スラムダンクあたりかな
[4161.990] Areca129: 松本大洋のマンガはどうですか？
[4164.868] Jupiter1207: 富樫作品には忠誠度100です
[4167.027] kaigaizei: ジョジョリオンも楽しめたみたいだしな
[4168.327] Soulgain0: ジョジョリオン最後まで読みました？
[4172.154] weeep1: まあ偉大すぎたな
[4175.518] daichan1200: 井上雄彦のリアルは好きだった。最近どうなってるのか知らんけど
[4177.953] tora6666: 絵は重要ですか？
[4180.316] rachel_hakumen: ジョジョはラスボス戦いつもポカーンとなる
[4183.086] rapid_pierrot: 岩明先生の信頼感
[4183.830] umesecond: 進撃はそれがあったから最後まで見れた感じだ
[4188.395] kousei1231: 完結しない漫画は好きじゃなくなります
[4192.051] kaigaizei: 自分はジョジョリオンで離れた
[4192.512] 再度落選の大統領マルモリ: もう最後の単行本出てるぞ
[4196.838] mako6912: あの頃のジャンプは本当に良かった
[4204.732] qin_liangyu: ジョジョは絵が無理だなー
[4208.628] scary_beppe_: scary_beppe__ subscribed at Tier 1. 
[4208.672] (M)Moobot: SCARY_BEPPE__さん、サブスク登録ありがとうございます！_(. _ .)_
[4214.074] lucentsnow: 刃牙は格闘マンガの一時代築いたなそれでも
[4214.759] クラクラ777: ＪＯＪＯは６部あたりからボスがなぞ
[4215.312] tora6666: 漫画の原作と作画の分業だったら作画の方が給与の配分多いらしいっすね。
[4216.935] (S)gyu_nyuu_pann: 好きな絵柄ある？
[4240.791] 再度落選の大統領マルモリ: 折笠さん・・・
[4241.824] Jupiter1207: 絵は上手くないけど、チ。はくっそ面白いね
[4242.292] daichan1200: 大場つぐみはなんか失速したね
[4249.112] ほっきょく: 苺100%っしょｗ
[4250.052] adachi0919: 格闘技の漫画が全部刃牙に影響受けてて逆に問題説
[4250.343] SleepShiva: 好きな漫画で1番にジョジョをあげる奴は信用してない
[4253.745] taroumaruh: アメリカは脚本家の土壌が高いからねぇ
[4260.651] (S)はやーい: うそぶき subscribed with Prime. They've subscribed for 8 months! 
[4260.727] (M)Moobot: Thanks for subbing for 8 months, @U_SBK 
[4267.625] byepush: is daigo still searching for a new home
[4267.848] daichan1200: カイジの作者を見ると、マンガは絵じゃないんだなって思う
[4270.198] tora6666: アメリカと日本は違うんすね
[4270.516] weeep1: の…
[4271.206] 泣き虫サクラ: それが福本漫画でもぉ？
[4271.335] umesecond: ｗｗｗｗｗ
[4271.961] naginagi99: wwwwwwwwww
[4272.204] yuki__0410: こんばんは！街が明るくてとても綺麗ですね！
[4275.014] gettyozi: 具体的ｗｗｗ
[4276.239] mmiiacha: 野田さんだねぇ
[4276.998] beehive3: 野田
[4278.411] balthazar000: Rは信用ならず
[4278.605] おひとつ: 野田氏
[4279.569] lucentsnow: 野田さんどうして・・・
[4280.480] okamasa456: 野田は信用できないｗ
[4282.767] adachi0919: 野田
[4284.380] Jupiter1207: 野田だしな・・
[4286.454] 0208h: 俺ジョジョだぁ
[4288.012] メピパラ: アール
[4290.622] onigiri21: 野田さん出るまで早すぎない？
[4291.700] 1108044k: ジョジョは置きとして強すぎるからね
[4291.742] (S)シミズム: わークリスマス
[4294.590] 泣き虫サクラ: 鬼滅さん？
[4294.932] gettyozi: まーじか
[4301.070] adachi0919: ウメちゃんはシグルイ読んだ？
[4301.258] (M)Moobot: ワイヤレスヘッドセット Cloud ll Wireless 発売！ http://hyperx.gg/3i5czYA
[4303.937] 再度落選の大統領マルモリ: その極地は大暮維人。漫画版化物語はクッソおもろい
[4312.401] adachi0919: 折笠さんは評価されて良い
[4314.083] pascal171012: 花の慶次とか難しいね
[4314.457] セツリ: ラノベで作画ガチャ失敗って概念があるぐらいですからね
[4315.475] Artemis_Reinhold: @byepush his home is here 
[4317.603] daichan1200: カイジの人が原作で、絵がうまい人が書いたらどうなるんだろうって思う
[4318.586] 勤務中: ハンサム
[4319.580] tora6666: 漫画原作の映画ももっと原作者にお金まわってほしい
[4320.487] (S)erisuk: アニメで一般化されるまではジョジョって言ってもおかしくなかったのに
[4326.262] クラクラ777: 鳥山さんは両方できるからなぁ
[4329.989] ほっきょく: いまはとよたろう
[4330.355] jigokunonekomatu: 折笠さんの話？
[4331.455] あーげんだっつ: ガンダム漫画だったらクロスボーンガンダム好き
[4331.638] that_solid_dude: OUTSIDE monkaW
[4333.221] umesecond: あー一番好きなマンガって言われたら批判も多いエアギアなんだよね
[4341.312] dekamega: カイジの人が原作で、かわぐちかいじ（沈黙の艦隊の人）が作画やってる漫画はあるぞ
[4346.590] マルビー: デスノートだと配分どうなると思う？
[4347.653] adachi0919: 折笠さんの取り分は3%くらい？
[4348.219] qin_liangyu: ハンターだめなんだ
[4349.859] 1108044k: ハンターハンター？
[4352.570] Jupiter1207: ハンタ・・・・
[4352.813] (S)v_harumi_v: 同じくー。
[4353.050] jambotanishi: 攻殻機動隊・・・
[4355.378] (S)arotadiph: ハンター…
[4355.412] 壱万円札: ゴルゴは全くですか
[4356.576] おひとつ: わかる
[4358.847] beehive3: へえ
[4359.646] SleepShiva: わかる
[4360.285] pascal171012: ハンターは俺のなかで終わったわ
[4360.928] 泣き虫サクラ: 攻殻だな
[4363.906] (S)gyu_nyuu_pann: わかる
[4363.913] ゆっくり2121: デスノートは？
[4366.031] Artemis_Reinhold: No one gave me pause.
[4366.085] rxz_2017: それなー
[4368.324] kurokimi1234: 美味しんぼの悪口はそこまでだ
[4370.511] ~MISSING_COMMENTER_INFO~: 美味しんぼ？
[4371.624] HRN476: わかる
[4373.416] taroumaruh: 攻殻機動隊の文字は設定補完だからゆるしてやれ
[4373.526] セツリ: 言葉で説明しなきゃいけない表現力ってことですか
[4373.574] dodomk5: ガンダムならジョニーライデンの帰還もいいぞ
[4373.591] (S)erisuk: まぁね・・・
[4373.651] adachi0919: まぁ漫画なんだから絵で説明して欲しいすよね
[4374.951] balthazar000: そうだねぇ
[4375.894] 再度落選の大統領マルモリ: 休載中のいまに修正してくれればなあ
[4376.627] kaigaizei: ハンタはもう挿絵
[4379.314] 増田ジゴロウ: 文字数というとコナンとかワンピースをイメージする
[4381.086] クラクラ777: ハンターハンターはゲームの説明書だから
[4381.695] ギュウタン: 攻殻機動隊は欄外
[4381.831] okamasa456: ハンターハンターは読みにくいよね蟻のとこから
[4382.535] tora6666: カイジぐらいがちょうどいい？
[4383.771] (S)gyu_nyuu_pann: 漫画の良さ生かせてない
[4384.093] Papapadad: 大場つぐみは文字多いね
[4384.329] kame277: 鳥山明イズゴッド
[4384.750] adachi0919: セリフの多い映画もダメすよね
[4385.360] pascal171012: 美味しんぼはそういう説明漫画だろｗｗ
[4389.106] rachel_hakumen: ワンピも文字めっちゃ多い
[4389.930] weeep1: デスノートは割と序盤からだるかった
[4392.526] (S)yogyogsothoth: ヨクサルは文字多い時もあるけど良い作家さん
[4393.747] balthazar000: デスノートは読むのが他の３倍かかったな〜
[4395.471] gettyozi: ある程度人気出ると、自分の世界に持っていきやすいのかな
[4396.522] (S)エスシーハート: エスシーハート subscribed with Prime. They've subscribed for 4 months! 
[4396.636] prosciu: じゃんがら近いね
[4396.639] (M)Moobot: Thanks for subbing for 4 months, @SCHEART1020 
[4399.623] クラクラ777: 機動隊の欄外おもしろいぞぉｗ
[4405.240] ハジメちゃん: 夏目友人帳はどうですか?
[4406.795] kaigaizei: 呪術もたまに怪しい
