[33.508] (S)クヲーター: わこつ
[926.818] (S)rererebi: 連打したらダメージが下がるとかありますか？
[926.962] アスくん: 豆鬼でいいやん
[927.040] マポ酢: のび太がドラえもんからひみつ道具借りてじゃいあんぼこぼこにするかんじやね？
[927.058] okomenokakera: じゃあもう1回1から説明しようか。
[927.585] _はた_: 豆鬼ですか？
[927.585] (S)rekuron379: ひろ脱って新企画ってマ？
[927.801] rasukaru_0526: いいゲーム作ったな
[928.192] soda256: ひろし鬼
[928.262] chika1412: 今北
[928.351] くりぱくりぱ: 鬼のストレス高そう
[928.406] osushisan_: 豆鬼
[928.880] 写真家止野栄三: 復活は？
[929.645] yuma_na1129: 青鬼は復活するの？
[929.937] ｷﾉｷﾉ: おもろそーやん
[930.064] yoroyoromaru: ゲームシステム豆鬼やん
[930.207] puzz9ra: 復活できるの？
[930.306] しゃあろっく: ふーん…おもろそうやん
[931.436] Alpha_5665: 豆鬼ェ...
[931.527] (S)ふぁりるぶ: 青鬼は生き残れば勝ちなのか
[932.417] kujirai___: 窮鼠猫を噛むってことね
[932.805] ほしどろ: 青鬼も逃げるのか
[932.969] namekin: 今来た
[933.314] meisinn09: わこらだ
[933.990] chkisaaaan: 運営は今日いないの？
[934.165] areq55: 皆○しするピョン！
[934.462] oretatukusi: ひろしって１回死んじゃったら終わりなの？
[934.676] らんしょう: 桃太郎…？
[934.711] ugetsu_moon_rain: 今北わこらだ
[934.788] nanasi0917: 逆青鬼
[935.029] ねこたろー: おもしろそう
[935.127] fugurobotyan_820: 豆鬼のように消えませんように…
[935.329] yumatya: わこらだー
[935.465] hotaru_mincraft: 絶対神企画
[935.936] rakulima_dgvgb_: ひろしの逆襲、、、
[935.963] (M)(S)あめれう: 原作通りじゃん
[936.147] ちびまっちゃ: 青鬼は個人戦なの？
[936.150] fuyu10_: 足の速さは？
[936.263] (S)kitamuuuuu: ヒロシほんとに何があったんだ
[936.363] funinki_32: 豆鬼かー？
[936.479] ATaRaYO1215: は？面白すぎん？神企画かよ、キレそう
[936.797] abato_2525: 復活はある？
[937.169] sunoosan: 逆鬼だな
[937.286] ryukanext: へー
[938.191] renge_0910: 豆鬼、、、
[938.451] (S)ひよこまんじゅう: どうしたら、そんな面白いの思いつくの
[938.501] (S)ふぁりるぶ: ほー
[938.695] (S)rarusyi_: 「逆鬼」ってことですか？
[938.701] (S)soi04: 難しそうだけど面白そう
[939.473] (S)五色椿: ははーん？
[939.672] mamesiba2212: ジョンがいるw
[940.325] ailen0831: つまり豆？
[940.458] ankomochi011: 復活は？
[940.534] kinokonokonoko814: よく考えてあるねぇ
[940.557] (S)dekoboko2111623: ひろし返り血で真っ赤だわ
[940.693] (S)shiitake0130: 防具掛けが見えてるけど仕様？
[941.849] HamuHamuegg: ふむふむ実に難しい(())
[942.068] tanken31: 豆鬼ですか？
[942.275] (S)46_kulo: ひろし全滅ある？
[942.308] arrow_target: らっだあ説明へた？
[942.547] riku0572: 楽しそう
[942.603] kurumi_615: ひろし30人VS青鬼1体
[943.151] (S)シヤクナ4897: 青鬼の勝利条件それだけ？
[943.681] gottsuan4646: ひろしの形勢逆転BGM欲しいなぁ
[943.781] アキレゐト: これって青鬼再現しているんですか？凄いですね！
[943.850] (S)モチゴメ: 鬼って隠れてええの？
[943.883] (S)kero_ppi1: 脱出てことではないのか
[943.951] keibon0508: また ストレス溜まりそう
[944.164] あやこざ: ベールがなくなったらひろしを殺せるの？
[945.701] (S)guutyan: あー。もーたのしそう
[945.901] saki_1216: せんせーひろしって無限湧きですか？
[946.114] tousatsu: 日頃の恨みをね？
[947.190] (S)yureinoroki: 青鬼は逃げ切る、ヒロシは青鬼殲滅で勝ちか
[948.055] (S)五色椿: ほほーほほー
[948.217] (S)ぺーきち: 考えた奴天才か？
[948.314] yuma_na1129: 復活は？
[948.524] river_1805: おぉ
[948.560] ぷちちゃん: もうなんか、神ゲーの予感
[949.038] kon0703: 何鬼だっけ
[949.111] こち_8: ひろしの逆襲
[949.201] zinsyu: 皆殺し
[949.242] ailen0831: 逆鬼
[949.249] trafalgar5: 過去にひろしが鬼ってあったよな
[949.311] seki_5180: ひろしは死んだらアスレ行き？
[949.420] nekodan12: 名前は？
[949.441] bunn0708: 牢屋とかに芋られないん？
[949.913] (S)yuttala: 豆鬼の進化版みたいだー
[949.937] fuyu10_: へえ
[950.483] (S)loupe_5385: 要は豆鬼ってことね
[950.955] taiyooo: 逆鬼
[951.198] ｷﾉｷﾉ: 名前は？
[951.962] setuden: 復活はアスレ？？
[952.022] funinki_32: 逆鬼
[952.709] (S)あしややぞ: 略して何？
[953.835] saba_basa_: 豆鬼ってことでおk？
[954.046] kanikani_kamakama: で、豆いつ出てくるの？
[955.073] (S)lilac1104: ベールの場所なランダム？
[956.594] (S)haka_340329: 説明動画作ってもらうの？
[956.837] (S)arisugar1706: なかよしやな
[956.842] Alpha_5665: こっちゆっくり向くのこわ
[958.588] (S)ぺーきち: 名付けて！？
[959.184] bunchaan: こわい
[959.908] (S)uzuberrypan: どっちの方がむずいの？
[960.011] ゾヘーブ: 最初だからぽまえも鬼やるよなぁ？
[960.112] mikan_san: このゲームなんと言ったら良いですか？
[960.716] shizuha115: ストレスやばそう
[961.367] (S)五色椿: んなるほど
[961.422] momodamakun: ほとんど豆鬼みたいなもんやな
[962.452] kapibara0713: 青鬼はどうやったら勝ち？
[962.670] kurumi_615: おもろそーう
[962.761] hotaru_mincraft: ところで名前は？
[963.417] 眼窩底: ezかよ
[964.563] annindoufu_tounyu: やばぁ
[965.430] らみら: それは良心だね
[965.986] (S)sannnami: 脱みたいな感じ？
[966.335] (S)buchibuchichann: ほぉ
[966.753] rukua0522: らっだぁ=天才
[967.221] nekodan12: 青殺？
[967.244] (S)沙央: 逆鬼
[967.859] (S)しかり: おもしろそう
[968.348] maka0903: いまきて豆鬼一般かですか？
[969.196] ragi0117: 制限時間何秒？
[969.413] funinki_32: 名前何？
[969.697] (S)a_re_n_: ごめん、青鬼は初期何人？
[969.799] skz46_: つまり、HP0にして青鬼に立ち向かうっていう豆鬼っていうことでいいですか？
[972.009] sarubanana877: 豆鬼並みにストレスだな
[972.232] ぐぴぴ: とりあえずやろ
[974.211] ailen0831: 湧くの？
[974.428] rikkn1030: 初見です
[974.660] おさしみくん: 青鬼さん逃げて
[974.702] kamabbo: はーい
[974.906] noririnmonrou: 奥が深そう
[974.945] (S)ひよこまんじゅう: アスレあるの？
[975.393] ばかおーれ: これもらだお2年間で2回しか勝てないゲームですか？
[976.239] fugurobotyan_820: アスレ配信になりませんよーに！
[976.498] 燐だよ: ニョロモ首えぐれてるやないかい
[977.064] yunchi_314: 牢屋ってどうなるん？
[977.127] ｷﾉｷﾉ: 逆鬼？
[977.642] (S)edyuwar66: いぇーい
[977.879] yuto2007: すごいーん
[978.318] kana_kanawo: ごめん世界まる見え見てた
[978.522] 96猫ぐんそー: 名付けて？
[978.522] abato_2525: へぇ！
[979.037] hikarieko: ちなみに名前は？
[979.183] HamuHamuegg: この名前は！？
[979.279] (S)Shiranui1529: とうとう青鬼にもPVPがついてしまった
[979.495] (S)Rakumaka: pvp勢が活躍して目立つ企画ですね、いいですね～
[980.193] menrui0006: 脱+豆みたいな感じか
[980.315] (S)mikan_16218: やっていこーーーー
[980.514] skylark2525: 全然わからん
[981.296] いおたす: これはフェードアウト出来ないね！
[981.495] アカール: 程よいバランスでめっちゃ面白そう
[981.683] (S)レンナ: 名前しりたい
[982.137] koyomi888: 逆鬼
[982.771] (S)bunbun_aim: ものは試し
[982.873] ぴーよよよ: 面白そう
[983.018] nekodan12: 青殺でしょ？
[983.292] yuma_na1129: なるほどぉぉ！
[983.434] almach_0606: 逆鬼
[983.445] (S)よっしぃ37: だいたい豆鬼
[983.515] argon5726: さりげなく豆鬼の需要を無くす策士
[983.706] zaki14927: レアチェスト？
[983.774] kairyu_0: kairyu_0 subscribed with Twitch Prime. They've subscribed for 2 months, currently on a 2 month streak! 
[984.284] ｫﾜ: 名前は？
[985.360] (S)ゆげまる: わくわく
[985.832] あむちゅ: なんの音？
[986.034] river_1805: 青鬼の勝利条件は？
[986.617] ぱんさく: 要するに青脱と似てるね
[986.825] 2x2_4_8: 青鬼はベールを守ればいいの？
[987.239] (S)rarusyi_: 『逆鬼』ってことですか？
[987.420] ailen0831: やろ
[987.484] taiyooo: いえー
[987.490] チャ6: わこらだ
[988.104] HamuHamuegg: 君の名は？！
[988.322] kinote3: とりまやろー
[988.357] (S)rekuron379: 後半に形勢逆転するんか
[988.918] (S)lein2: きちゃあああ
[989.449] okomenokakera: じゃあもう1回1から説明しようか。
[989.813] (S)あしややぞ: きっと動画ではわかりやすいムービーがついてるんだろーなー
[990.090] ailen0831: わくてか
[990.981] (S)shiitake0130: よくわかんないから説明動画よろしくお願いします
[991.200] せらな: をくわく
[991.793] kinusaya38: わーい
[991.816] mamesiba2212: おお！！
[992.936] rasukaru_0526: お前がおにな
[993.427] kono_ki: 楽しそう
[993.664] せらな: わくわく
[994.327] (S)alice_0109: よく分かんないけど、やってくれたら分かる
[994.411] (S)buchibuchichann: おおー
[994.623] rum_san: ひろしはどうなったら負けなの？
[995.180] ぷちちゃん: やってた方がわかりやすいね
[996.463] shariko_w: 今きた こん
[996.543] padoraria: すごそう
[996.640] annindoufu_tounyu: ひろしは死なないの？
[997.090] rairumettoku: 名前は青逃げですか？
[997.470] (S)sa_yatooayano: らっだぁ＝天才イケメン
[998.233] yuuchan926: 青隠の逆バージョン的な？
[999.431] _々: wkwk
[1000.088] でっく: はえ〜
[1000.105] macaronxx: いえー
[1000.468] ametubu1001: おー
[1002.030] kuru053: 豆鬼と青脱を足して割った感じですか？
[1002.133] (S)あめたあめ: わっくわく
[1003.086] 八百万の神: 青逆とかいいんちゃん
[1003.253] mr82_: レッツゴーー！
[1003.384] (S)yupe2525: もうやろう
[1004.032] (S)ぺーきち: 天才か？
[1005.563] jun_ya: 豆鬼みたいな感じか
[1006.340] nekodan12: 題して『青殺』？
[1007.438] (S)美味しい塩: 参加して❤︎
[1009.871] Alpha_5665: あ
[1011.692] mikan_san: ちゃんと試したんだね
[1012.665] saki_1216: あ
[1012.924] ナイトゥーロビダル: お前もやれ笑
[1013.141] (S)urotti: ほんのシステムいいね
[1014.268] spring_sea0402: 先走りがとまらん
[1014.389] (S)mikan_16218: 青剣
[1015.851] おさしみくん: あ
[1016.814] kurumi_615: 楽しそーう
[1017.479] h1sui_second: おもろそう
[1017.926] kensan1025: 青シージ？
[1018.282] noririnmonrou: すごそう
[1018.343] tun252: あ
[1018.767] おもて: 89このコマンド！？
[1018.910] reinnnnnnnnn: あ
[1019.605] fuyu10_: おわかれ
[1019.909] ねここ716: あら敵対してしまったんかアンパンマンとニョロモ
[1020.317] (S)gari30: 今日何戦する？
[1020.932] kana_kanawo: アンパンを撲滅せよ
[1022.036] (S)a_re_n_: 調整は永遠や
[1023.015] (S)edyuwar66: しゃーない
[1023.564] ryo_ngz: すげぇサクサクやな
[1026.084] (S)ぺーきち: 青🅿︎?
[1026.185] (S)さゃ: 私画面時間とか出てないんですけど
[1026.593] kozuken_a: あいー
[1026.794] (S)あめたあめ: あ
[1026.821] (S)shiitake0130: 名付けてらだお穀し
[1027.378] sunoosan: いいやーん
[1027.621] (S)dekoboko2111623: あんぱんとニョロモで殺し合い
[1027.966] mikan_san: 楽しみでやんす
[1028.429] kotaru515: 今来た
[1028.720] (S)raraaaby: みどりくんいないの?
[1030.106] saka_sama: 題名なんなん？
[1030.475] shityousya: 楽しそーう！
[1030.850] kujirai___: 本で逐一変えれるのいいね
[1031.044] ちびまっちゃ: ためしよ
[1031.390] (S)レンナ: 楽しみ
[1032.439] (S)びあちゃん: わくてか
[1032.481] abato_2525: コマンド数半端ない
[1032.749] yottuka: 青戦
[1033.013] みるてぃん: もちのろん鬼やってくれるんすよね？
[1034.188] goti0_96: きちゃーーーー
[1034.875] zinsyu: はよ
[1035.051] rin_cometto: めっちゃおもしろそうやん
[1035.142] argon5726: 名前はせいしですか？
[1036.763] せらな: まだかな～？
[1036.882] (S)くいんと: 普通にゲームやん。すご
[1036.937] (S)そまる: めちゃめちゃ楽しみ
[1037.093] spring_sea0402: 運営呼ばないの？
[1037.685] (S)mikan_16218: きちゃぁ
[1037.932] nekodan12: 青殺？
[1038.339] zaki14927: 楽しみ
[1039.739] rakulima_dgvgb_: 楽しみー
[1040.165] redoo_iro: ランダムなのね
[1041.090] pizzahat2015: きちゃったよーーーー
[1041.148] fuyu10_: 青城？
[1041.251] (S)buchibuchichann: いえあーー
[1041.282] (S)まふぃんん: 楽しみ
[1041.330] ほしどろ: コマンドミスが無くなるのか
[1042.456] (M)Nightbot: @k252525 -> うるさい[自動処罰] [warning]
[1042.504] ar4biki: コアってなに？
[1044.652] ｫﾜ: 名前ないんすか？
[1045.561] applebell: 名前は？
[1045.701] (S)rarusyi_: 逆鬼？
[1047.932] (S)shiitake0130: 名付けてらだ殺？
[1049.273] sarubanana877: 名前決めましたか？
[1049.310] h1sui_second: 近代化してくゲームと老いていくらっだぁ
[1049.576] (S)よっしぃ37: めっちゃすごいな。たのしそう。
[1049.743] らんしょう: radaokunOkane
[1050.027] yuto2007: 運営は？
[1050.217] (S)シヤクナ4897: おうおう
[1050.221] (S)まっしろです: 次やりたいなぁー
[1051.372] (S)びあちゃん: 清掃員さんをいじめないで
[1051.544] きなこあんみつ: 名前は青殺？
[1051.755] mikan_san: 圧をかけるな
[1052.026] janp: 今北。なにこれ？
[1052.187] (S)あしややぞ: いじめアンケートにかくぞ？
[1052.259] (S)lein2: きちゃああああ
[1052.930] rukua0522: あ
[1053.184] るこるる: 楽しみ
[1054.943] ratesan__: 名前は？
[1055.026] kinako122: 虐殺
[1055.612] k252525: 名前は？
[1055.829] okaki69: 青殺…？
[1056.344] _々: わっくわく
[1056.790] (S)buchibuchichann: 圧かけんな
[1059.328] HamuHamuegg: 君の名はぁぁぁ！？
[1059.958] (S)アルセレニア: おい
[1060.126] (S)kero_ppi1: 壊した
[1060.590] (S)edyuwar66: 壊しっぱかい
[1060.688] jun_ya: 普通におもろそう
[1060.716] (S)alice_0109: おどしですか
[1061.207] (S)himasora: 柱直せやw
[1061.333] maru_aoi: おい
[1061.391] (S)よっしぃ37: 名前は？
[1061.600] yuma_na1129: 青殺？
[1062.124] わわわいん: 企画名は？
[1062.142] (S)yuttala: いじめるな
[1062.350] nanasi0917: 名前決めよ
[1063.200] (S)ぺーきち: 威圧すな
[1063.253] kinokonokonoko814: 名前は逆転鬼？
[1063.542] コナン好き: 青攻め？
[1063.765] annindoufu_tounyu: ほかの運営はいないの？
[1063.977] saki_1216: 圧やん
[1064.151] almach_0606: 青殺
[1064.152] shinogas: いじめるな！
[1065.541] onakinn893: ワクワク！
[1065.703] rukua0522: ﾜｧ───ヽ(*ﾟ∀ﾟ*)ﾉ───ｲ
[1065.767] chkisaaaan: 運営は今日いないの？
[1065.910] ぷちちゃん: 圧掛けないであげて
[1066.002] goti0_96: いえええええい
[1066.482] mr82_: ドドん(効果音)
[1067.250] (S)shapu_meg: 名前は？
[1067.630] noa_hakobune: 名前決まってないよ
[1067.921] hotaru_mincraft: 名前は？
[1068.400] だしうどん: 復讐
[1068.862] (S)rarusyi_: まもやろたお…
[1069.051] aze1228: これ青○になるの？
[1069.598] みこノ: 初見ですこんにちは
[1069.831] _々: やめたげて
[1070.081] (S)haka_340329: 女の子をいじめるな
[1070.301] はむおくん: とんさーん
[1070.307] kana_kanawo: おおおおおおおお
[1070.425] redoo_iro: 直せ
[1071.199] torakou9673: 初参加だぞ
[1071.276] nekodan12: 青殺
[1072.557] (S)まふぃんん: うおお
[1072.557] (S)yureinoroki: 器物破損
[1072.599] (S)五色椿: おぉー
[1072.814] janp: まもやろたおさん
[1073.016] applebell: 圧かけるな
[1073.062] (S)sannnami: よろ
[1073.566] kamabbo: かっけぇ！！
[1073.605] munimuni_04: 噂のパワハラ
[1073.923] 我はエンチャントの精: イェェエエ
[1074.745] kozuken_a: おおお
[1075.179] にうま: かっけえ
[1075.417] abato_2525: よろ
[1075.768] gottsuan4646: かっけぇ...
[1076.427] zaki14927: 名前は青攻とかどう？
[1076.496] (S)monster25j: どきどき
[1076.544] mikan_san: おおおおお
[1076.570] kinoto_2808: おー
[1076.644] (S)まひろ0918: それテトラ
[1076.700] almach_0606: なぜ東海道新幹線
[1076.967] tokky0718: どどん
[1077.329] (S)buchibuchichann: おおー
[1077.527] (S)mikan_16218: かっこよ
[1078.659] (S)peace3511: いぇーーい
[1078.979] ankomochi011: かっけぇ
[1079.050] mamesiba2212: すげぇ！
[1079.141] keibon0508: まもやろたお
[1079.146] Alpha_5665: おおお
[1080.221] (S)レンナ: おお
[1080.506] (S)shiitake0130: 青殺
[1080.608] yunoseri: おおお
[1080.853] (S)ossushisama: それ新幹線
[1081.039] saka_sama: かっけぇなぁ…
[1081.154] ryo_ngz: かっけええ
[1081.413] (S)minoto_0312: おおお
[1081.419] kumasensei_jp: うぽらだ
[1081.631] (S)よっしぃ37: 青鬼攻城戦で決定なん？
[1081.754] padoraria: かっこよ
[1082.203] applebell: わあい
[1082.334] hu_hu_mi1011: どどん
[1082.371] (S)kero_ppi1: かっけぇ
[1082.420] maccha_senbei: 間もなく名古屋かな？
[1082.531] tenkasukun: 名前は？
[1082.540] (S)うめめめめめ: かっけぇ
[1082.769] (S)おねだん以上: 新幹線発車するな
[1083.081] kana_kanawo: すげぇーーーーーー
[1083.337] (S)cotton627: がんばえー！！
[1083.737] kurumi_615: おお
[1084.020] nyoiiinsan: すげぇ
[1084.739] ｫﾜ: おー
[1084.805] meru_1jp: いぇい
[1084.975] (S)くい_: kui0905 subscribed with Twitch Prime. They've subscribed for 4 months, currently on a 4 month streak! 
[1085.046] (S)ripua88: それ新幹線
[1085.154] ほしどろ: たのちみ
[1085.277] spring_sea0402: おおーー
[1085.655] (S)ふぁりるぶ: 新幹線？
[1085.728] anpan132: いぇーい
[1085.828] saba_basa_: おおお
[1086.754] (S)ほたころ: いいねぇ
[1086.799] (S)沙央: かっこよ
[1086.817] mikan_san: 分かりやしぃ...
[1086.986] らみら: それ新幹線
[1087.422] yoru164: おお
[1087.625] (S)miloriblue: てんてんてててーん
[1087.668] ヽ丶: かっけぇ
[1087.827] ~MISSING_COMMENTER_INFO~: すげえ
[1087.850] らんしょう: おおお
[1087.877] (S)こしつぶ: おおおおお
[1087.878] アカール: それ新幹線のやつ
[1088.044] abato_2525: かっけぇ
[1088.091] 白い骨: かっこよ
[1088.431] (S)alice_0109: おおお
[1088.524] hgk_king: ね、なのか、な、なのかハッキリしろよw
[1088.604] (S)hisuzuran_: かっっっっっっっこよ
[1088.629] (S)ほたてかも: かっけぇ………
[1088.711] kinusaya38: かっこいい
[1088.767] (S)そまる: かっこいい
[1088.908] (S)あめはな: 1回デバック参加したけど初見実践はそうとう辛い
[1088.957] (S)0itimaru: すげぇ...
[1089.001] (S)甘夏0930: おお
[1089.180] でっく: おお
[1089.698] (S)なの__: かっこよ
[1089.883] (S)kero_ppi1: ふむ
[1089.916] (S)dosukoinyanta: 向き合っとる…
[1089.931] おさしみくん: おおおお
[1089.934] _々: かっけぇ
[1090.119] hinata_tomatomato: 文字おしゃれ
[1090.539] (S)dekoboko2111623: おおお
[1090.633] spring_sea0402: かっこいい
[1090.739] redoo_iro: かっけぇ…
[1090.990] momokomomo89: 発車した
[1091.387] shityousya: 守る感じか
[1091.626] hu_hu_mi1011: おー
[1091.633] jun_ya: 青穀
[1092.698] k252525: コアの前待機あり？
[1092.921] (S)mikage110203: おお
[1092.936] koddac0326: かっけえ
[1093.681] (S)あめたあめ: かっけぇ
[1094.060] (S)レンナ: かっけ
[1094.236] okaki69: それは東海道新幹線
[1095.942] applebell: 新幹線さん！？
[1096.833] (S)もさ吉: わこらだ
[1100.839] (S)mikan_16218: いけーひろし達よ
[1101.452] hina_kdn: あ
[1101.453] (S)みにどん: みどりくんすごいなぁ
[1102.031] fuyu10_: かっけえ
[1102.712] (S)まゆこ: 新企画おめでとう cheer100
[1102.754] yusaaaa34: わこらだー
[1103.117] mamesiba2212: がんばえーー
[1104.109] (S)mikan_16218: は？かっこよ
[1106.817] kurumi_615: すげぇ！
[1106.832] gany_24: それ新幹線
[1106.903] (S)buchibuchichann: お家からか！
[1106.976] zaki14927: コア光るのか
[1107.730] チャ6: おおおおお
[1108.140] (S)ゆげまる: これ守りつつって感じか
[1110.229] (S)ひのめ: 東海道新幹線到着するな
[1110.749] にうま: 箱だ
[1112.235] saki_1216: すごそー(小並感)
[1112.646] satsuki_0516: そっからなんだ
[1113.773] Alpha_5665: あー
[1114.841] kinusaya38: おお！
[1114.867] goti0_96: うおおおおおおおお
[1115.064] おもて: おおお
[1115.812] tun252: おおおおー
[1115.930] (S)alice_0109: 青鬼コアの前でガン待ちはアウトか
[1116.594] (S)沙央: おおお
[1116.715] ququik: おおお
[1117.165] hitoha9625: ちゃんと家から行くのね
[1117.294] くるみ0707: 初見です、青鬼動画は5パート目くらいから見てはいたんですけど。ツイッチで見るのは初めてです。お願いします。
[1118.015] (S)kero_ppi1: 文字はみ出てて草
[1118.284] (S)guutyan: 青鬼はとりあえずコアを守るんやな
[1118.660] kana_kanawo: は？ヤバすぎだろ
[1119.199] (S)rarusyi_: 逆だwwwwww
[1119.378] (S)そまる: うおおおおお
[1120.772] (S)rekuron379: 乗り込めぇええ！
[1120.950] yunoseri: おおおおお
[1121.163] yoru164: 見切れてるやん
[1121.386] abato_2525: もえるねぇ
[1121.432] (S)あめたあめ: おおお
[1121.497] (S)アキレゐト: riri_kirisame subscribed at Tier 1. 
[1122.032] (S)miloriblue: ほーん
[1122.339] zinsyu: 帰宅？
[1122.745] harenoti_kumori: ！uptime
[1122.902] (S)いのりさん: うおおおお
[1122.949] yottuka: 見切れてる？
[1123.595] (S)あしややぞ: 死んだらどうなるの
[1123.725] maru_aoi: おー
[1123.835] yusaaaa34: うわあああああ
[1123.853] おもて: おお
[1124.334] tokky0718: 配信切るようにいわんの？
[1125.407] kozuken_a: ほえええええ
[1125.415] yuma_na1129: 逆だァ！
[1125.639] hu_hu_mi1011: これ青鬼いもるのあり？
[1126.248] (S)ゆげまる: すげえ
[1126.952] おもて: おおお
[1127.015] きなこあんみつ: おおお
[1127.196] Alpha_5665: ほー
[1127.357] almach_0606: 皆殺しだぁ
[1128.171] yusaaaa34: やばたん
[1128.211] _々: ほほう
[1129.137] mikan_san: 基本最初は青鬼が強いんですね
[1129.379] (S)ぴーやぽう: おお
[1129.785] satsuki_0516: おおおおお
[1130.342] nanasi0917: おー
[1131.458] (M)(S)ペロロ様ファンクラブ: これがガンツですか
[1131.900] (S)ぺーきち: 青逃げみたい
[1132.275] hina_kdn: スペクティターなんかい
[1132.879] hakumai060: 家からの乗り込むのか
[1133.542] (S)salt_w12: おおおおおお
[1133.749] (S)ゆげまる: ボコられてる
[1133.755] HamuHamuegg: おおおおおおおおおおおお
[1134.530] kanikani_kamakama: 乗り込めええええええ！！！
[1134.842] _々: おおおおおー
[1135.241] shityousya: 相手ダイヤだけど強いの？
[1135.450] riku0572: おー
[1135.466] chkisaaaan: スゲー
[1135.913] HamuHamuegg: オンマイウェイ
[1136.756] でっく: お
[1136.977] annindoufu_tounyu: らっだぁにっこにこじゃん
[1137.578] すかあと: わこらだ
[1137.650] ねここ716: アンパンww
[1138.287] harenoti_kumori: !uptime
[1138.537] saki_1216: あんぱんないすー
[1138.578] (M)Nightbot: らっだぁ が配信を始めてから 19 minutes 6 seconds 経過しています。
[1138.887] (S)レンナ: 殺 し 合 い
[1138.972] (S)46_kulo: 団体戦強そう
[1139.348] (S)salt_w12: 楽しそう
[1139.756] (S)mikan_16218: カンカン
[1141.258] shion2215: 楽しそう！
[1141.669] (S)まふぃんん: ぬおお
[1142.096] spring_sea0402: がんばえー
[1142.476] having_harumaki: 残り時間の表示好き
[1142.650] rain1985: わこらだ
[1143.659] (S)alice_0109: 青鬼ガン待ちゲー？
[1144.511] (S)himasora: 有能
[1145.143] アカール: ブロックだよ
[1146.135] nyoiiinsan: がんばえー！
[1146.998] h1sui_second: どっちも自己回復するの?
[1147.131] (S)shiitake0130: 見せろ
[1147.165] mikan_san: うーん撮れない
[1147.221] (S)miloriblue: あーすげぇ面白そう
[1147.293] ringo2525_: おおおおおおおお
[1149.451] AoironoMalco: もはや鬼ごっこじゃなくなってて草
[1150.133] 海苔820: しんだらどうなんの？
[1151.768] yunoseri: 有能
[1152.009] (S)buchibuchichann: カメラがんばえwww
[1153.126] zaki14927: おお
[1155.485] Alpha_5665: ないす
[1155.700] (S)ゆげまる: はっや
[1155.934] (S)いのりさん: おお
[1156.473] hi_m: おもろそう
[1156.635] (S)loupe_5385: はやいね
[1156.654] saki_1216: おおー
[1157.951] (S)そまる: おおお
[1158.194] noririnmonrou: 魔法？
[1158.242] (S)レンナ: すげぇー
[1158.424] yusaaaa34: 面白そうw
[1158.490] raina_1215: はやい
[1158.676] sunoosan: おお
[1159.634] (S)五色椿: はやい
[1159.841] おさしみくん: はっや
[1159.949] (S)rekuron379: 888
[1159.958] spring_sea0402: 韻踏むな
[1160.520] kozuken_a: すこ
[1161.675] でっく: 強い
[1161.680] anpan132: はや
[1161.883] (S)alice_0109: 音が結構大きいな
[1161.893] yusaaaa34: はや
[1162.106] patrasche_pt: 無能カメラ
[1162.792] (S)rm__chan: おおお
[1163.190] (S)みにどん: ANNI？？？
[1163.355] にうま: おもろい
[1163.642] (S)kero_ppi1: はあー
[1165.470] kurumi_615: ゆうのーう
[1165.550] 紅葉39: 見ててワクワクするな
[1165.920] skylark2525: テトラじゃん
[1165.967] (S)ゆげまる: もしかして鬼むずい？
[1167.382] (S)しおめるぅ: おおお
[1168.817] spring_sea0402: なにあれ？
[1168.936] sirokuma06: ダイマックス
[1169.784] HamuHamuegg: 8888888888888
[1170.182] (S)あしややぞ: うめぇ
[1170.362] (S)あめたあめ: おお
[1170.542] ryo_ngz: なんかアイテム
[1171.544] yottuka: おおお
[1171.689] kamabbo: すげえ
[1172.549] kozuken_a: すご！！？？
[1172.837] (S)よっしぃ37: ベールがレイドバトルのそれ
[1173.048] (S)buchibuchichann: ほぉー
[1173.515] saki_1216: おぉ
[1174.709] (S)ぺーきち: ほうほう
[1175.103] hotaru_mincraft: おもろ
[1175.494] gottsuan4646: ええやん
[1175.680] fuyu10_: 何その草
[1176.121] yuniba2525: ANNI？
[1176.205] (S)そまる: すげえ
[1176.279] maru_aoi: へー
[1176.401] hu_hu_mi1011: なんかあるー
[1176.625] yusaaaa34: 凄いしか出てこない
[1176.631] (S)レンナ: これが魔法
[1176.700] rukua0522: (*ﾟДﾟ)ｵｫｫ...
[1177.185] (S)五色椿: これ魔法なのか
[1177.492] (S)さゃ: あれ
[1178.772] noririnmonrou: 落ちた？
[1178.995] (S)shiitake0130: 草生えてる
[1179.190] らんしょう: なんかすごい(小並感)
[1179.381] saka_sama: かっけぇ…
[1179.390] にうま: あれ
[1179.595] (S)ゆげまる: ww
[1180.163] h1sui_second: おおおお
[1180.197] でっく: あれ
[1180.220] _々: ほほー
[1180.280] (S)たちくん: あれ
[1180.814] mamesiba2212: あれ…？
[1180.887] milboys: これまたルール説明動画作らないとなw
[1181.132] kawa_mizu_: ひでぇ…
[1181.538] (S)茶芝木: ん？
[1182.060] spring_sea0402: かっけ
[1182.272] noririnmonrou: 生きて
[1182.363] seki_5180: 落ちた？
[1182.587] Alpha_5665: すげ
[1183.032] (S)gira4649: あれ
[1183.142] (S)kero_ppi1: あれ
[1183.371] (S)Bucchi_: あ
[1183.494] mikan_san: 一定時間で解ける感じですか？
[1183.562] ryo_ngz: あれ
[1183.597] saki_1216: がっこいー
