[16.631] Aelynoth: lirikA
[4763.840] chin_56_: なんでかな〜
[4764.203] たまむらタウン: あっ
[4764.716] neon_d99: センシティブwww
[4765.256] owawan3: まずい
[4765.259] OldTypeOji: 6000人以上のベガ立勢。
[4766.372] ~MISSING_COMMENTER_INFO~: 流石にねｗｗ
[4766.735] (S)pandasan_power: w
[4767.911] (S)nikukuisugi333: ｗ
[4768.580] (S)hamuko179862: (^◇^;)
[4770.357] chanmipoin: やめたれw
[4772.653] tabibitox: あんな数年前の話を引っ張り出されるからな
[4772.715] (S)gorogorogorn: ？？
[4773.542] HirocoT: ｗ
[4773.722] balthazar000: まあ行きにくいよねｗ
[4774.005] ddsato316: うっせぇ奴はいるから
[4775.467] minimini3223: ふふ
[4775.549] ggtabtab: あと1週間
[4778.188] (S)latenight000: 対戦結果はここに書かれるからどうしようもない、二窓推奨っす
[4779.441] sndkzfm1: トパチャンのネタバレはさすがにやめろよ
[4779.813] (S)fahmy0825: Daigo looks happy to play with Momochi 
[4779.966] potocki1810: 来づらそうｗ
[4780.979] ~MISSING_COMMENTER_INFO~: さすがに自粛してた
[4781.670] izawa2001: 来週の今頃は製品版か
[4782.032] zyangara2: 気にしないで来なよｗ
[4783.021] yuuubin: 7年前とかのだもんしゃーない
[4787.704] akinikuihuku: 全く触れないほうがアレだよなw
[4788.002] (S)naginagi99: じゃじいさんは、昔のネタはなあ
[4790.256] yuzubox: まぁイキってた頃は誰にでもあるから・・
[4792.910] spring__thief: ウメちゃんは気にしない
[4793.875] stopriverk: 10年前の話もちだされてもな
[4795.208] japonism: トパチャンのネタバレはライン
[4795.581] khide05: キャンセルカルチャーほんま
[4803.373] curemikan: きっつ
[4803.753] (S)黑暗骑士盖亚: 7年前なんて子供でしょ
[4804.600] みゃおお: まぁ時代よなぁ
[4805.973] one596: あれがアウトなら殆どのプレイヤー過去掘ったらアウトやぞ
[4806.092] (S)fahmy0825: another perfect
[4807.186] (S)fahmy0825: damn
[4808.711] shifoncafe: ｐ
[4808.727] Papapadad: 過去の過ちなんて誰にでもあるわな
[4810.215] Ayaeve223: あれぐらいのラインでまだ良かったよ
[4810.245] heishosann: というかなんで今更広まったんだ？
[4810.981] ry0444: はえーよ
[4811.926] doanobu00000: 生ラッシュって使う派使わない派にわかれますよね
[4812.140] (S)宮本燈: かった
[4812.351] aru_0928: 瞬殺
[4813.596] ancehutn: PogChamp
[4813.732] potocki1810: Ｐ
[4814.379] rararai1411: うますぎ
[4814.930] homoludens8: す、すげえ・・・
[4815.557] レム__: P
[4816.005] a0rei0914: さすがに七年前なんて自分も覚えてないよ
[4816.191] azisiotaro: 店長処理
[4816.757] balthazar000: やるなぁ
[4817.923] (S)mobageiskusoge: momochi is on another level
[4818.159] 新福菜館マン: 一般人男子なんてあんな感じよ
[4818.282] ~MISSING_COMMENTER_INFO~: しゃｋしゃｋ
[4819.109] terasun32: 完璧じゃん
[4820.986] toyplastics: ふつうに2窓せえよ
[4831.046] (S)latenight000: 二窓推奨っす
[4832.502] prisira: ネタバレいやだなコメント消す以外無理だぞ
[4834.460] (S)naginagi99: 生ラッシュ全く使わないのもよくないけど、普通に使っても返されちゃうのよなあ
[4840.457] zyangara2: 今のトッププレイヤーもＳＮＳ無いだけでみんなやばかっただろうにｗ
[4844.353] おどる: この人強いね
[4844.612] (S)ene1st: ２窓はいいと思うけど こっちにトパンガのコメント打つ意図は何？
[4845.790] のってる: まあネタバレ嫌ならネット閉じるしか無い
[4848.306] (S)edgawatinpo: 現役でもっとやばいことやった人もいるし強ければ許される世界
[4849.267] sndkzfm1: 2窓強要するやつ…
[4850.133] wasabi00009: まあコメント消すしかない
[4851.679] ロディア8: じゃじぃより、単行本の中身載せてるアキラのほうがやべーけどな
[4851.788] ShinYakimura: momochi's meter usage is so different from everybody else, it's kinda crazy
[4853.168] usizura: 今日は波動めっちゃ多いな
[4853.663] a0rei0914: psでトパチャンでpcでこっちみてるけど、こっち見入っちゃうわ
[4854.121] kentarocom: やっぱりももちのアケコンの打音凄く大きいんだな
[4858.150] (S)ene1st: むこうでうってこいやwww
[4859.000] (S)latenight000: なんなら勝敗を逐一書く人いたから難しいかと
[4859.692] yutama0502: わざわざこっちに書き込む意味ないだろ
[4860.000] gongogon: 過去のヤバイ発言は消しとけ が正しい
[4861.322] doublepush_da: 2窓してるけどバレはやめよう
[4861.970] tambo567: アカン強すぎる
[4863.115] okitakai: 強すぎ
[4865.056] shifoncafe: 瞬殺すぎる
[4866.958] (S)宮本燈: うっま
[4871.011] (S)マンゴスチン: 店長が処られてる
[4871.901] rararai1411: ももちやばない？
[4872.999] tentough: ね、たばれ
[4873.394] りあ仮称: ジャジイは某サイトが掘り返しただけでしょ 過去の発言でもアカンけど
[4874.933] tabibitox: ももちは近距離ではパリィ使わないな
[4875.329] ghostofkombatjunkee: momochi diferent
[4876.755] Papapadad: PC2画面にすると何かと捗るよ
[4879.722] mjkaject: 後ろの方なんて人？
[4881.806] (S)ene1st: た
[4883.169] しぶやひろし: 通常三和ボタンなんかね
[4884.334] sndkzfm1: ネタバレ許容の民
[4886.918] akiaki0612: やない
[4887.960] (S)hamuko179862: やないさんですね
[4889.285] shifoncafe: うしろはやないくん
[4889.756] ギアふっしー: 何も考えんと格ゲー繋がりでコメしたいだけやろ
[4891.129] (S)宮本燈: ルークの強さを存分に味わえる日だね
[4891.446] (S)latenight000: 二窓が丸いわな
[4893.731] ゆるさな: やないやないかい
[4895.479] improvedkaine: 後ろはG使いのヤナイくん
[4896.018] seirosu: 店長お店を守ってくれ・・・
[4898.562] あり0221: 自治してないで嫌ならコメント見るな。それで終わる話
[4898.897] prisira: ネタバレ許容っていうか無理だろって話
[4900.287] (S)fahmy0825: what they said just now probably that Luke parry is very useful, while Ryu parry is not as useful
[4901.095] (S)mm2351: 最前線の圧
[4901.334] nswrth: 無名氏
[4901.841] (S)ene1st: だから2窓の話なんてしてねえよ、勝手にしとけw こっちに向こうのコメント打つ意図は何？
[4905.270] sndkzfm1: スポンサーついたら過去ツイート削除すりゃええ
[4906.664] potocki1810: 頭領は６でまた４並みに勝ちそうすなぁ
[4908.276] ロミヲ: ５の大会はとくに気にならん どうでもいい
[4908.551] japonism: トパチャンワールドレベルの試合なら後で集中してみたいじゃんねえ
[4911.649] vmff14: 模範的なベガ立ち
[4915.034] (S)naginagi99: 結局端攻めをどうしのぐか、だな
[4919.258] tentough: ブチギレ
[4919.458] (S)pandasan_power: 軽い気持ちで書き込んだらすまんな、もう向こうのコメしないか
[4920.444] takahashiseigi: リュウの弾が実質機能しないね、やはり
[4920.773] (S)黑暗骑士盖亚: 喧嘩おこってら
[4921.399] ddsato316: コメントもピリついてきたな？
[4921.596] donekofg: 6000人のコメント統率などむり
[4923.237] kotataugame: プロになったらアカウント新規作成が安牌
[4923.830] nurupo2: 打鍵音が気持ち良すぎる
[4929.609] ebikatsu39: ７年前のネット掲示板なんて地獄だけどそれがバレる立ち回りはあかんので自己管理大事
[4931.526] tenrimi: 6000人を統制するのが無理な話だわな
[4933.253] nezas108: ネタバレ打つなって言うと100％なくなるの？
[4934.795] usizura: 大パンパワハラが効かない！？
[4935.227] (S)nikukuisugi333: まじで体験版大会やってほしいわ
[4935.459] Ayaeve223: 歩きパリィ楽しそう
[4935.590] (S)kebab0203: 7年前どころか今もイキッたコメントしてる奴もいますと
[4935.671] (S)2youyou2: 無視しとけー
[4946.338] khide05: ケンカしてるコメントは喧嘩両成敗で両方ブロックするのが安定
[4951.246] (S)naginagi99: スト５っぽい終盤に
[4951.380] hellcanon1111: ウメハラとももちどれぐらいの差？
[4951.916] nurupo2: カチャカチャ動く変な棒なんかいらんかったんや！
[4952.484] yuzubox: 黙ってブロックでいいよ
[4953.195] a0rei0914: 言いたい事も言えないこんな世の中じゃ
[4953.334] shifoncafe: それはそう
[4954.112] zyangara2: あとでトパチャンゆっくり観ようと思ってる人もいるからね
[4958.219] (S)マンゴスチン: umeCossack
[4958.466] (S)ene1st: 向こうの内容は向こうでした方が普通にいいと思うけどね 意味わからん
[4958.685] (S)hamuko179862: 6000人ベガ立ちしてるんですね、すごいなぁw
[4960.553] prisira: 自治すると荒れるからブロックするかコメント消すかどっちかしてくれ
[4963.513] donekofg: レバレス二人か
[4963.678] fliege1515: サプレッサー重たい
[4965.815] ドリアンくん: この至高の対戦観ようぜ
[4968.705] seirosu: コメントなんて有象無象だし嫌ならコメント見ないようにしてもろて
[4969.704] mememe10: コメ欄も盛り上がっていく～
[4971.254] nakao86: 先生何でも答えてくれるな
[4972.259] akiaki0612: 忍秘伝のパリィやばいな
[4974.999] owawan3: |→ってマーク押すといいですよ
[4978.811] (S)latenight000: 自治は荒れるのよねぇ
[4979.292] あり0221: 匿名不特定多数のネットで善意を期待するな。自分で自衛しろ
[4980.708] 泣き虫サクラ: ももちは集中が顔によく出るわ
[4982.832] yousuke778: グラ潰し技じゃなくなったんか
[4982.884] もけたわけ: ゲージ回復いいな
[4983.474] balthazar000: ケンカと議論が絶えないコメ欄
[4985.228] aru_0928: ももちSA回していく派なんだね
[4985.254] chin_56_: コメ欄の至高の対戦
[4986.884] Papapadad: ウメもも見られるのは今日だけかな？
[4988.153] みゃおお: ウメちゃんとももちの対戦みて熱くなるだけにしとけ
[4989.117] tyapa95: momochocoParipi
[4989.428] heishosann: バーンアウトきっつ
[4991.735] tentough: コメランズ効いてる
[4993.141] fliege1515: やめちくりー
[4995.028] (S)naginagi99: 端バーンアウト地獄ｗ
[4996.641] akiaki0612: ガン攻め
[4998.076] wannavi4: 攻め釣っよ
[4998.276] そらたま: 攻めダルマ
[4998.986] a0rei0914: チームごとに攻略の方向とか色あるの面白い
[5000.522] vmff14: つええ
[5000.768] (S)宮本燈: Cpu8先生と学んだ力
[5001.098] curemikan: ひえー
[5001.129] 157655: ゲージが潤沢だ
[5001.193] ギアふっしー: ももち明日もきてくれー
[5001.206] shifoncafe: このコンボｗ
[5002.290] homoludens8: えっら
[5002.951] (S)fahmy0825: Daigo still couldn't figure out what to do with Momochi's corner pressure
[5003.565] fliege1515: こっわ
[5004.308] チョコミんト: 完璧
[5004.680] misopotato: きっちり
[5004.985] _ちとせ_: うーまい
[5005.599] ddsato316: たりるぅ～
[5005.988] 猫皿: かっけぇ
[5006.378] ShinYakimura: Oooooh, he waited for Drive Guage
[5006.471] azisiotaro: 封殺
[5006.619] (S)Tetsuya5963: しぬんかーい
[5006.645] akiaki0612: 完璧
[5006.795] Lplp6lkhp: たかすぎ
[5007.099] tyapa95: スト6してるな
[5007.471] あるちゅまん: やば
[5007.609] potocki1810: つよいよーｗ
[5008.536] nezas108: かっけー
[5008.824] imaizumiyousuke: ばっちり
[5009.559] Sasakure3: つよすんぎ
[5009.586] tentough: ぴったり
[5009.625] v0m0v: えらすぎる
[5011.294] donekofg: 端ながーい
[5013.740] 中段立てず表裏も見えない: う～ま！
[5013.876] misopotato: リーサル間違わないねー
[5014.300] derwace_lifolve: 倒し切る～
[5014.747] (S)BobbySiege: BobbySiege subscribed with Prime. 
[5014.947] (S)宮本燈: ガチ強い
[5019.011] (S)mm2351: このルーク
[5019.039] takahashiseigi: 積極的にゲージ回復を狙うか、勉強になる
[5021.052] donachan: やすっｗ
[5021.988] megmilkman: やっぱももちのが強いかあ
[5022.004] ブッチャー87世: ｗｗ
[5022.916] 匿名ドラゴン: 発売してないのにこれ
[5023.640] sndkzfm1: コメ欄でも異種対戦開
[5026.683] ~MISSING_COMMENTER_INFO~: 凄い試合
[5027.137] ブッチャー87世: ﾊﾄﾞｰｹﾝｗｗ
[5027.282] akiaki0612: マジミス出来ないゲームやな
[5030.273] tambo567: ももちの師匠は弾見てから飛び確らせてくるレベルだから
[5030.315] (S)mm2351: つよすぎぃぃぃ
[5031.172] gomeeen: 後ろの人強そう
[5032.460] terasun32: かためた後のインパクトつえー
[5051.070] heishosann: やっぱバーンアウトしたら大体終わるなこのゲーム
[5051.134] tentough: go1 ももち
[5051.941] みゃおお: ももちの先生は超反応で当ててくるし
[5056.843] akiaki0612: 大会、2先なら一瞬で終わるゲームだな
[5058.993] yutama0502: ｐｓ５寝ちゃったｗｗ
[5060.076] ddsato316: かてぇ
[5063.792] plala84: ももちかて～
[5064.513] nail06k: うひー
[5067.580] ~MISSING_COMMENTER_INFO~: つえええええええええ
[5067.803] tondemonaiyo: まあ配信と関係ないコメントはどこでも基本ng、やる奴が悪い。
[5068.958] balthazar000: おやすみPS5
[5069.644] prosciu: ももち崩れないなぁ
[5069.696] potocki1810: うほー
[5070.154] shifoncafe: つええええええええ
[5070.871] ancehutn: ちゅよい
[5070.984] (S)宮本燈: 素晴らしい
[5071.205] plala84: 店長困ってる
[5071.664] mememe10: うおおおおももち
[5072.185] TEIKETTO: んまーい
[5074.321] あり0221: ももちつんよ
[5074.727] bec118_japan: ぎゃああああああ
[5075.915] donachan: やはり中足ラッシュ
[5076.037] AtomPeter: つえー
[5076.122] (S)fahmy0825: Momochi!!
[5076.256] NeGiDarK: ももちみたいな人居るなと思ったらももちなのか
[5076.645] curemikan: どんな集中力してんだろ
[5078.655] darisu_k: うまー
[5078.726] (S)mm2351: 忍べない強さ
[5078.910] (S)pandasan_power: つよすぎ
[5078.971] (S)ene1st: つえー
[5079.077] (S)melvin_1023: ウメちゃんがんばれ~
[5079.334] (S)宮本燈: リーサルほんと見えてる
[5080.363] iguchiill: おもしろーずっと見てられる
[5081.052] usizura: ウメちゃん差し合い最強ぽいけどインファイトけっこう負けるな
[5081.261] ヴィヴィ2046: うめええ
[5083.446] (S)hamuko179862: 今このゲーセン、ももちさんとやないさんだけいらしてるんですね
[5084.244] サメカツ1999: オーナーつんよい
[5085.661] donekofg: 4人目がいないと2台つかえんのね
[5088.132] tyapa95: リーサル力がだんち
[5088.232] BATAKE21: 発売前に課題が見つかるありがたさ
[5088.338] misopotato: バクステの一種の間合いとり、うま
[5088.489] gomeeen: ぱなち
[5092.842] くろめ62: さすが天才ももち
[5092.960] (S)fahmy0825: Daigo, you have to practice more it seems 
[5099.143] 泣き虫サクラ: 負けこんでる時に出るあのウンウンが出てる
[5099.480] akiaki0612: ウメちゃんは負けて強くなる
[5103.230] fliege1515: サプ！
[5105.332] prisira: インファイト負けるっていうか通常の性能はルークのがいいからね
[5106.142] eren_ackerman: momichi was labbing this game since day 1 of beta
[5106.194] potocki1810: 休日にウメもも、幸せでしかない
[5106.355] frick1215: オーナー＞店長なのか
[5107.392] (S)haicro_zm: こんな負けるのGO1以来か
[5111.515] しぶやひろし: あきらかに他の相手と比べて波動拳撃ててない
[5112.631] gongogon: 翔がどう戦うかみたい
[5113.939] ddsato316: 大パンおじさんが通用しない
[5114.020] donachan: ｗ
[5114.182] あり0221: ももち表情でないけどウメちゃんと一緒に遊べて絶対幸せそう
[5114.285] みゃおお: おおお
[5114.888] fliege1515: うほー
[5115.590] une3333: 謝罪ｗ
[5115.607] bunkichi23: ｗｗｗｗ
[5115.987] a0rei0914: させんｗ
[5116.520] hellcanon1111: 天才ももちに食らいついてるウメハラが強すぎる
[5116.999] サメカツ1999: ｽｲﾏｾﾝ
[5117.614] azisiotaro: ギア
[5118.434] (S)melvin_1023: んほー
[5118.990] (S)Tetsuya5963: ナイスー
[5123.091] (S)hamuko179862: すいませんw
[5123.203] yutama0502: ごめーーん
[5124.961] (S)mobageiskusoge: daigo is fine, it's momochi who's on another level. you guys should check momochi's set against mago. same thing happened
[5125.630] breezernights: Good catch.
[5126.424] shifoncafe: ごーちゃんとは互角だっけ？
[5127.394] misopotato: すみまさんがはやい
[5127.618] ギアふっしー: 対応のウメハラが勝ち越すことはできるのか
[5128.824] akiaki0612: 今のが『甘え』になるの？
[5128.995] skyfeed: どっからでもリーサルいけるから気が抜けない
[5129.505] comment3: ももちの守りカッチカチやな
[5132.212] hinokihinoki: フレーム回りほぼほぼこのまま出るのかな製品版
[5133.493] 東北のスロカス: ちわーす おーももちおる
[5134.758] 25schafer: downloaded
[5137.314] usizura: リバサ
[5139.151] ebikatsu39: 申し訳ないけど現時点ではガン処理されてる（逆転して欲しい）
[5141.112] (S)usamaru_noir: ももちさんついに来られたんですね
[5143.074] 皇帝ルル: ミスや安易な行動すると謝る格ゲー文化
[5143.857] bec118_japan: 店長は今日初のsa返しちゃうか
[5144.330] eren_ackerman: daigo is learning
[5148.476] tentough: go1 ももち
[5150.873] あるちゅまん: ももち製品版でもルークかな
[5151.567] homoludens8: 攻略で差がついてる感
[5151.579] ギアふっしー: Go1は途中まではボコ負けで最終的にはギリ勝ち越し
[5152.690] (S)edgawatinpo: ホームアドあっても勝てないとは
[5153.375] heishosann: リュウとルークはほぼこのままだろうな
[5159.695] (S)hamuko179862: ウメももありがたや（ ;  ; ）
[5167.520] ShinYakimura: Momochi's generally known for learning very fast
[5169.379] みゃおお: うーまい
[5173.482] donachan: さし返しうま～
[5175.174] akiaki0612: ももち、全キャラやりそうな勢い
[5175.909] fliege1515: 大Pのさし返しやばい
[5181.543] Ser_Ram3n: robbed
[5181.855] あり0221: 主観だが人的にももちとときどには負け越しても納得する
[5182.678] 56ne5656: まだ発売してないのに、これ
[5183.513] Ser_Ram3n: kek
[5184.710] aru_0928: スカりに反撃の精度やべぇ
[5185.121] (S)fahmy0825: @ShinYakimura He's indeed considered a genius
[5186.839] prisira: お互い勝った負けたはあんまり気にしてないっしょ
[5190.654] (S)~MISSING_COMMENTER_INFO~: 減衰に差があるんだっけか
[5191.158] ddsato316: 空振ったら終わるのやべぇ
[5191.695] derwace_lifolve: お～もろい
[5198.844] akiaki0612: スカりNG
[5199.917] potocki1810: おもしろすぎぃ
[5202.428] pastagohan: 差し替えしのお仕置きが１R
[5202.585] ギアふっしー: ももち 全キャラ×クラシックモダンで全パターン体験！
[5205.739] のってる: ルークの中パンがプラマイ0になってるとかそういう調整はありそう
[5212.313] (S)fahmy0825: But this is what Daigo expect tho, he said he's a slow learner and expected to get washed early on
[5214.482] 皇帝ルル: むしろ負けた方が課題点見つかりやすいしね
[5216.853] misopotato: 現時点の自分の課題が見つかるのが最大のメリット
[5224.742] bec118_japan: 腹の中でも勝ち負け気にしない奴がプロになんかならないから
[5232.949] prisira: リュウルークはたぶん変更はないと思う
[5236.522] yutama0502: 全パターンももちならやりかねんというか絶対やるだろうね
[5236.982] a0rei0914: ５で１１で４２連勝だから１８キャラやり込むのは楽勝だろうな
[5238.301] (S)wiener_jor: minion_enthusiast67 subscribed with Prime. 
[5238.612] toyplastics: ももちはキャラ触って対策するから結果的に多キャラ使えるようになる
[5239.853] (S)naginagi99: いろんなタイプの人とやった方が新しい課題見つかっていいしな
[5243.716] thescrb: 今日は誰が来るんですかね？この後
[5245.794] eren_ackerman: momichi also parries alot
[5246.620] akiaki0612: ソバット久々にみた
[5248.606] 猫皿: えぐ
[5251.455] myaaaaaa123: 一昨日ももちとやってた時は、勝敗どうだったんだろ
[5253.214] ddsato316: うますぎ
[5253.710] fliege1515: うおー
[5254.961] okitakai: うめえ
[5255.845] (S)latenight000: 体験版面白い→購入したらリュウとルークが性能変わってますは、考えづらいんだが、ここから変わることはあるんだろうか
[5256.910] ~MISSING_COMMENTER_INFO~: 着地狩り
[5257.127] n3osgaming: no ca?
[5257.496] 泣き虫サクラ: おほぉ！
[5258.792] bec118_japan: 1-5
[5259.087] syrup9000g: 見ごたえあるわ
[5259.701] hellcanon1111: ウメちゃん上手いな！！！
[5263.524] akiaki0612: 昨日はあまりやれなかったらしい
[5263.647] Sasakure3: どかないももち
[5263.776] darisu_k: おー
[5265.412] MisaMisa_12: 小技からのリターンたか
[5265.690] genbakantokumbe: お前とのスト5、息苦しいよ
[5269.213] あり0221: 見ごたえあるねぇw
[5269.576] SquallAdv: ejsaClap
[5271.214] tentough: ももちさん
[5271.917] chin_56_: 不動
[5272.912] wasabi00009: 中足すかって差し返しがキツイなー
[5274.432] shifoncafe: 1個は取れるんだけどなー
[5277.111] seirosu: 店長、ゲーセンの看板守ってくれ・・・
[5278.960] (S)pandasan_power: フリーでお互い色々試しながらだろうしあんまり勝ち負けこだわってもってところではあるわな
[5281.613] breeeezebear: ももちやってんなぁ
[5281.645] curemikan: やり込んでるな
[5285.060] サメカツ1999: ときどさん
[5285.420] genbakantokumbe: ヤナイくんモチベ勢だなーw
[5285.768] donpapa3425: なんでも知ってるももち
[5286.777] (S)マンゴスチン: 店長の対応が間に合うか
[5286.956] SistemaUno: Is that momochi
[5287.494] (S)poto2panapa: うも：1-5(5-13)
[5288.301] (S)naginagi99: ここから性能大きく変わるはないだろう。パリィの仕様多少変わるとかはありそうだけど
[5288.559] akiaki0612: 店長研修
[5289.709] NeGiDarK: ウメちゃんめっちゃ楽しそうｗ
[5289.909] ~MISSING_COMMENTER_INFO~: ときんすｗ
[5290.966] y0rmammu: how is this luke so nasty
[5291.021] 503_win: そうなんだｗｗ
[5291.294] TB2117: この知識ｗ
[5292.050] (S)hamuko179862: 今日も開店してるのなら、りゅうせいくん来てるかと思ったのですが（笑）
[5292.717] みゃおお: とっきーケンやるん？ｗ
[5293.475] (S)fahmy0825: @eren_ackerman Daigo didn't like parry that much. Also that's because they said parry is more useful for Luke than Ryu.
[5294.128] (S)puertoescondidomota: ときどさーん
[5295.179] khide05: ベータで評価が上がったケン
[5295.621] ~MISSING_COMMENTER_INFO~: とっきーが使うなら俺も
[5297.214] 浅草ガッツマン: 泉
[5299.350] derwace_lifolve: 抜かりないときんす
[5300.531] (S)edgawatinpo: ちゃんとウメちゃんが勝った時も同じこと言ってね
[5301.168] hinokihinoki: 障子に耳を当てるときど
[5302.498] tabibitox: あのときどが使うという大正解
[5303.311] ギアふっしー: りゅうせい来るらしいぞｗ
[5304.432] comment3: 道着最弱はリュウってまじ？
[5306.111] (S)latenight000: ラッシュ中段が無いから弱いってされてた
[5306.631] fliege1515: ケン好きな人は全然継続ありそう
[5306.989] (S)hamuko179862: ふむ
[5307.004] prisira: 差し替えしは５の置きが強かったからだよな
[5307.311] myaaaaaa123: 昨日は満足にやれなかったら、ゲーセンに殴り込みにきたのか
[5308.486] shifoncafe: ケンかー
[5309.202] あり0221: ときどが嫉妬しちゃう
[5310.606] heishosann: ハイタニケン見るとまじで強そう
[5311.072] Have4NiceDay: Momochi is too good
[5311.751] ebikatsu39: 格ゲーはアプデされた１日で完全に法律が変わるからマジでわからん
[5315.271] ddsato316: 前のベータと評価かなり変わったよね
[5315.617] (S)マンゴスチン: ときどが使うなら。。。
[5316.740] (S)mm2351: 製品版楽しみ
[5317.074] Lplp6lkhp: まーたたかしなのか？
[5317.427] aliyome: 最初のベータの時は足りてないよねっていう評価だった気がする
[5317.664] chin_56_: ｽﾄｼｯｸｽﾘｮｸ
[5319.493] ギアふっしー: まさか
[5319.775] hellcanon1111: ジェイミー...
[5321.341] (S)Tetsuya5963: 店長〜 
[5321.904] misopotato: 何の武器が6に必要かわかった感じだ
[5322.497] (S)~MISSING_COMMENTER_INFO~: 画面めっちゃ運んでるイメージはある
[5322.748] t_orange1000: わからされてるねw
[5323.108] a0rei0914: ｗ
[5323.478] iguchiill: ｗｗｗ
[5323.867] improvedkaine: 強けりゃね
[5325.763] shifoncafe: まさか
[5325.793] レム__: タカシだったらやらん
[5325.831] potocki1810: 試合間の話もたのしすぎぃ
[5326.220] サメカツ1999: 強ければね
[5327.838] pastagohan: まだ濁す
[5327.994] (S)latenight000: リュウとはドライな関係
[5330.747] サメカツ1999: 逆にね
[5330.991] donachan: FamilyMan
[5331.641] mememe10: リュウ；；
[5334.828] au0724: 水派 じゃじぃ りゅうせい は来るみたいですよ
[5335.556] (S)pandasan_power: 逆にな
[5336.406] 0nuki: 探りを入れていく
[5338.125] みゃおお: ウメちゃん強すぎたら使わんよね
[5338.328] derwace_lifolve: たかしはリュウじゃない
[5338.683] (S)hamuko179862: ドライなw
[5338.712] ~MISSING_COMMENTER_INFO~: みんなガイルｗ
[5339.530] heishosann: あれはねw
[5339.702] shifoncafe: それはそう
[5339.852] lucentsnow: みんなガイル
[5340.351] gomeeen: 使わざるをえねえ
[5340.394] tambo567: 使わざるをえねぇ
[5340.986] (S)gorogorogorn: ガガガガ
[5341.546] v0m0v: ガイル置いといて他はバランスまぁまぁ取れてたね
[5341.896] okitakai: 使わざるを得ない
[5342.641] sugarsato_: 使わざるをえねえ
[5342.644] fliege1515: つかわざるをえない！
[5342.658] げる: ウメリュウモモケンとか見たすぎる
[5342.696] une3333: 「使わざるを得ない」
[5342.897] ddsato316: さすがにみんなガイル
[5343.720] tsubame5204: umeBoom
[5344.177] yutama0502: 令和のユン
[5345.276] ry0444: あれならプロは皆使うよね
[5345.573] zyangara2: 流石に1億ガイル
[5346.609] zett61: タタコンガイル
[5346.969] misopotato: 使わざるを得ない強さ
[5346.989] Sasakure3: ガイルはねえ
[5347.065] popopopo444: 全員ガイルのSFL
[5347.433] tabibitox: 使わざるをえねぇ
[5347.473] prisira: go1「ガイル４でいいわ」
[5348.811] (S)hamuko179862: 使わざるをw
[5348.966] Sonic73131: あのまま出たらプロは全員ガイルになっちまうｗ
[5348.975] 何も知らないジョンスノウ: みんなガイルやべえw
[5349.483] ~MISSING_COMMENTER_INFO~: みんなあの頭！
[5349.797] サメカツ1999: あのガイルはきっと幻
[5350.345] あり0221: 俺にガイルを使わすな
[5350.713] (S)ガヤン0521: 調整なかったら１億ガイルになっちゃう
[5350.823] seirosu: 最強Tierは使わないウメちゃん
[5350.848] (S)hiaaru: あのままならガイルだらけになる
[5352.072] (S)pandasan_power: ももちガイルの字面弱そう
[5353.111] skyfeed: がいるふぁいたー６
[5356.170] myodent21: 全員ガイルのプロシーン
[5356.389] sharks_up: ソニックブーム
[5358.140] fliege1515: AEユンの再来か
[5359.666] (S)puertoescondidomota: ときどさーんもレッドブル組手あるしな
[5361.351] みゃおお: ランクマもガイルだらけやろ
[5362.424] pengetop: 太鼓の達人コントローラーでも勝てるキャラガイル
[5363.081] (S)~MISSING_COMMENTER_INFO~: ガイルのモーションは５の方が好みだな
[5363.399] カブトシロ: ももちさんもウメちゃんが誰使うか気になるのね。
[5363.626] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[5365.666] nakao86: 強すぎると駄目なんだ
[5366.199] stopriverk: FamilyMan
[5366.573] サメカツ1999: １億サマソ
[5367.337] prisira: まぁクローズβで意見貰ってるだろうし結構調整入るっしょ
[5371.419] zett61: GO1に「全員ガイル、あるで？」って言わせた性能のガイル
[5371.977] (S)naginagi99: ガイルは設置の持続とかもろもろ気になること沢山あるなあｗ
[5373.739] Hitode_noko: シノビズム全員サマソ
[5374.123] khide05: リュウへの固執は５で捨てた
[5374.131] ecsa: 半年前の調整だから・・・
[5375.840] (S)latenight000: できれば最強キャラ使いたいわなぁ
[5376.400] (S)edgawatinpo: ユンもガイルも強すぎた時から使ってる
[5376.787] 157655: ありゃー流石に世紀の大手術が行われて出るよね
[5376.798] bbb14231: みんなガイルは草
[5378.761] (S)gorogorogorn: ガイルの数を数えろー
[5380.701] (S)Tetsuya5963: sakoさんキレさせたらたいしたもんですよ
[5381.314] (S)chahaaaaan: ももちがおる
[5381.938] Spike_rod: ガイルに行けるキャラ探しが始まる
[5383.179] あり0221: マージくだらねえって言いながらやるのも格ゲーってことか
[5385.751] masarin763: ホホホマの未来も
[5385.837] 記入漏れ: あの性能を、いうて最強じゃないとかシステムと合ってないから～とか言ってる人居たなぁ
[5390.828] yamanashi_sp: 体験版が２キャラなのに製品版がガイル１キャラになるという未来
[5393.937] (S)pandasan_power: 製品版はキャラ調整してます！ってわざわざ宣言してたからさすがに弱くなってるでしょうね
[5400.682] japonism: 致命的だあ
[5401.818] breeeezebear: リュウはなんやかんや５と同じくらいの位置になりそう感ある
