[65.005] (S)kobayan86BRZ: きたああああ
[6571.152] (S)zakkn: つおーい
[6574.344] (S)超アンディー: つよっ・・・・
[6578.262] oyu3: 猛獣やん
[6583.100] avmajvm: なんだあいつｗ
[6586.941] rm_rf__: 不条理が支配する世界よ
[6588.501] 多抜深夜: ゴリラだった
[6592.198] batorubaaa: 理不尽だけど対策はできる
[6595.586] (S)zakkn: 加賀の悪意が詰まってる
[6597.049] (S)punitaman: お仕置き部屋に集結
[6598.049] (S)ソルダ: 待機するとワープする
[6598.593] (S)ポンポン: みなごろにしてもらおう
[6598.939] ysr846: そこはいるとみんな折檻しにくるのかｗ
[6601.752] シケモクスッパマン: 不条理には不条理で返せ
[6605.260] metal_hellion: 命中率という運要素がある時点で多いといってもな
[6613.387] oyu3: 敵、そこに飛んでは駄目だ
[6622.386] nozomaro: エーヴェル仲間にするの忘れないで
[6639.526] (S)寝るポイント: 加賀「待機、するよなー。」
[6647.246] メンタム: 出口に誰かいなければワープしないよ
[6648.456] (S)zakkn: ヘルアンドヘル
[6650.971] はらたいら3000: 文句は加賀まで
[6659.417] (S)punitaman: アーチャーつえええええ
[6660.508] (S)落としぶた: これが本当の地獄や
[6660.767] avmajvm: はえええ
[6661.064] (S)zakkn: かった
[6661.330] shochann: あ
[6662.838] lucentsnow: ウメちゃんどうして・・・
[6664.898] oyu3: 弓の堅さじゃないｗｗ
[6665.084] ysr846: 17
[6666.896] (S)mgs_faye: はやさ17もあるんだこいつｗ
[6669.691] (S)papipopon: 倒せず
[6671.013] (S)ソルダ: てつで舐めプするからー
[6671.746] (S)寝るポイント: めちゃ硬ｗ
[6673.185] aubergine101: スナイパー
[6678.447] squall2017: 毒の弓ってってことは・・・
[6678.873] avmajvm: キルソだったかー
[6680.490] shochann: ワンキルとばかり･･･
[6681.371] doragnai: さすが終盤
[6682.613] メンタム: 入り口を避けるんじゃなく出口をふさぐといいよ
[6688.130] rm_rf__: 出口置いとくとダイジョブ
[6688.389] (S)動くわんわん: 気づき
[6690.365] mogmog3939: おくりこめー
[6691.897] (S)asakaze: 気づき
[6694.570] orange016: シミー
[6695.989] shochann: ｗ
[6699.482] (S)orange88: LUL
[6701.866] (S)クズ220: 気付きな？
[6702.770] jikiru6: かがぁぁぁぁぁ！
[6704.885] (S)zakkn: ｗｗ
[6706.950] (S)寝るポイント: あっ。。。
[6708.409] oyu3: 囮
[6709.269] doragnai: 加賀にどや
[6711.018] shochann: ほほー
[6713.276] (S)zakkn: わかってしまったか
[6714.160] メンタム: え？
[6714.539] (S)動くわんわん: あっ
[6716.182] (S)zakkn: んｗ
[6719.010] (S)mgs_faye: 最終的に待機せざるをえないような
[6719.042] (S)papipopon: ん？
[6721.488] balthazar000: 気づき
[6721.849] (S)punitaman: ・・・
[6724.719] (S)zakkn: ？
[6724.776] batorubaaa: わいそこの弓兵にバサークかけてたわ
[6725.822] 多抜深夜: 理解理解
[6726.107] fapfapjpn: PogChamp
[6728.429] (S)punitaman: 完全に理解した
[6729.590] xdfwjfpf: うおおおおおおおおおおおおお
[6733.548] shochann: 勝利？
[6737.964] (S)zakkn: そ、そうなんだ・・
[6738.005] ysr846: キャラ対完了？
[6740.256] (S)punitaman: かーらーのー？
[6742.455] (S)Kanquez05: ｗｗｗ
[6743.743] (S)shomarusan: まちゃぼーのように最適解だせるか？
[6745.197] (S)動くわんわん: 草
[6746.710] (S)mgs_faye: ｗｗｗ
[6749.168] balthazar000: 蛇が来たらゲンブになっちまう
[6754.048] (S)mgs_faye: 装備じゃターン消費しない
[6756.726] undersorn: たぶん違う
[6758.000] (S)zakkn: ・・・
[6758.153] fapfapjpn: Kappa
[6759.451] (S)クズ220: あらら？
[6761.434] (S)ポンポン: ん
[6761.537] ilm0806: 慢心の合図か
[6764.316] rm_rf__: わたわた
[6766.813] シケモクスッパマン: フラグか？
[6781.800] batorubaaa: ？
[6782.041] はらたいら3000: 慢心フラグ
[6783.466] fourper212: ウメちゃん？
[6785.458] (S)ポンポン: 借り物競走
[6785.874] メンタム: 1回めから抜け道利用かあ
[6788.764] aubergine101: バケツリレー的な
[6788.784] arimabot: ほんとうにそうか？
[6791.083] ~MISSING_COMMENTER_INFO~: 最後待機選んでたよね
[6796.826] (S)動くわんわん: バケツリレー
[6797.683] xdfwjfpf: もう精神崩壊しちゃってるじゃん
[6799.506] avmajvm: ほんとに？
[6809.223] friedebi: 受け継がれるきずぐすり
[6809.249] (S)nabenights: 交換リレー
[6810.497] oyu3: これが対応力
[6812.362] (S)ソルダ: 天才
[6818.689] (S)mgs_faye: バケツリレーならぬきずぐすりリレーか
[6819.688] shochann: きずぐすリスト
[6824.566] シケモクスッパマン: キャンセルボタンで待機おしてない的な意味か？
[6827.131] siuva7: かなり面倒だなw
[6831.901] (S)zakkn: ごきげんはら
[6846.418] lucentsnow: 完全に理解したな
[6848.276] シケモクスッパマン: ワープされてほしい〜
[6850.883] avmajvm: このゲーム面倒だなあ
[6859.491] はらたいら3000: 純粋に待機だけしたら飛ばされてく
[6864.192] (S)Kanquez05: 勝ったな
[6873.178] (S)oguricapg1: そういうゲームだから
[6874.372] メンタム: こういう解き方じゃないんだけどねえ
[6880.727] shochann: めんどくさいだけだな、これ＾＾；
[6887.493] (S)寝るポイント: カイジのEカードのイカサマを見抜いた瞬間のよう
[6892.057] はらたいら3000: 加賀の遊び心
[6898.179] (S)rage198x: rage198x subscribed with Twitch Prime. They've subscribed for 5 months! 誕生日おめ
[6904.120] (S)ポンポン: これあとで戻すの大変だねw
[6928.031] (S)zakkn: BibleThump
[6942.397] (S)punitaman: んなわけない
[6947.210] (S)zakkn: 流石にしぬｗ
[6949.226] (S)クズ220: もうこのオバサンいらない
[6949.915] siuva7: 怖いわw
[6956.463] avmajvm: ここから育てるとかあるの？
[6956.783] smikami: 若いおかあさんだな
[6961.578] hachi_mitsu: 不死身じゃないです
[6962.963] rm_rf__: ジェイガン枠
[6964.205] はらたいら3000: 不死身じゃない
[6976.497] シケモクスッパマン: 不死身だったらゲーム終わるわな
[6989.332] (S)寝るポイント: ジェイガン枠ってわかりやすさやめて
[6995.985] kireboshibasyato: 加賀「不死身でも懲罰部屋に送ればいい」
[6998.390] (S)punitaman: ジェイガーン
[7026.839] (S)クズ220: 物交換で突破する人初めて見た
[7030.458] 多抜深夜: 面白い絵だなｗ
[7040.257] メンタム: これはバグ利用
[7043.114] arimabot: 圧倒的気づき
[7045.702] (S)sora_neko09: 待機じゃありません，物交換ですってトンチみたいな解決法だな
[7049.426] (S)寝るポイント: バトンリレーだなｗｗ
[7056.764] (S)kou967904: ちなみに正解ルートはなんなんですか？
[7059.543] あおみゃん: めんどくせぇ
[7059.968] avmajvm: これはバズる攻略法
[7060.852] mogmog3939: 命のバトン
[7062.637] (S)落としぶた: マリータ一家 唯一の人間枠
[7063.842] (S)papipopon: 交換しながら移動ってシュールだな
[7073.270] シケモクスッパマン: 待機にAボタン押すことが発動フラグってこと？
[7077.417] hachi_mitsu: たぶんプログラムの都合だと思うけどね＞待機
[7084.763] ysr846: これが立ち回り
[7088.918] (S)Kanquez05: 加賀「チッ」
[7089.717] (S)punitaman: 道具使って化物にしようぜ
[7096.024] nozomaro: 俺は気づいちまったのよこのゲームは物交換だってな
[7099.585] (S)寝るポイント: 一日一つだけ強くなっちまったな。
[7105.292] arimabot: この方法に気づくのは凄い
[7106.820] lucentsnow: ウメちゃん穴つくの上手
[7114.575] batorubaaa: だいたいの人は、強いキャラを飛ばされた先に置いてそこ陣取れば他飛ばされなくなる、これ使う
[7119.854] (S)zakkn: もの交換してＢで回避
[7123.985] oyu3: また成長してしまった
[7140.293] (S)動くわんわん: この攻略法は初めて見た
[7142.035] (S)zakkn: ずる法だけど
[7147.124] はらたいら3000: 誕生日、この章クリアできるといいな
[7149.165] batorubaaa: ウメちゃんの発想は面白い
[7158.014] シケモクスッパマン: 勘違いでワープされねぇかなぁ
[7162.134] メンタム: フォルセティめちゃ減ってるな
[7170.166] (S)punitaman: もうセティとマリータ飛ばして殲滅すればよくね？
[7171.728] (S)ポンポン: 間違って待機おさねぇかなぁ
[7187.173] (S)ソルダ: 地味な絵面だなぁｗ
[7187.949] (S)寝るポイント: ウメハラ「交換だから！交換だから！」 加賀「・・・。」
[7192.419] Stay_Hydrated_Bot: @daigothebeastv 
[7202.195] arimabot: 操作ミスで絶叫きて
[7210.692] (S)zakkn: 加賀のつめが甘かった形
[7225.823] lucentsnow: ウメちゃんワールサマソじゃなくて前飛び結構できる？
[7238.536] kireboshibasyato: 加賀「キサマ待機したな！」 ウメハラ「物交換です」 加賀「よし通れ！」
[7249.557] Revyce: トラキアってめちゃくちゃ難しいＦＥだっけ？
[7250.168] lucentsnow: リターンあるもんな
[7256.898] avmajvm: 待機警察ザルだな
[7280.109] oyu3: 通路満員電車みたいだけど痴漢されないかな？
[7283.171] smikami: 普段この配信をあまり見てないのですが、加賀とは何でしょうか。
[7284.139] 多抜深夜: アヴェ
[7285.478] squall2017: トラキアはシリーズ最難関といってもいいと思う
[7285.749] (S)寝るポイント: ”プロゲーマー”なんだよなぁー。
[7299.214] (S)shupii097: 製作者やで
[7302.801] batorubaaa: この方法見たことないな、新発見なのでわ
[7307.729] (S)落としぶた: 加賀さんはファイアーエムブレムの製作者だよ
[7314.807] シケモクスッパマン: なめてた〜
[7319.704] (S)zakkn: 飛ぶ先塞ぐとかだよねふつうｗ
[7321.404] メンタム: 20年前からあるやり方
[7323.520] (S)ソルダ: やらない
[7327.489] (S)valhalla5555: 遠足
[7331.070] (S)zakkn: さすがうめだねー
[7331.323] smikami: ありがとうございます！！
[7331.364] (S)寝るポイント: 大会まで隠さなくて大丈夫？？
[7338.163] fapfapjpn: PogChamp
[7342.776] メンタム: だるいから他のやり方やるよ
[7345.101] user81023: 気づきのウメ
[7349.324] aubergine101: ウメ式
[7349.363] はらたいら3000: 攻略見ちゃうからねぇ
[7349.941] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[7350.406] (S)ohigara: アンバサダーは発見してしまうものなのだなぁ～
[7350.659] (S)zakkn: 裏テクつかっていけーい
[7350.688] balthazar000: この発想力が獣なんだよなぁ
[7353.883] sayuha1: 攻略というかプログラムの穴だからねこれ
[7358.473] hachi_mitsu: 自分で気づいたのはすごい
[7359.174] xdfwjfpf: ウメハラ式
[7361.793] naka105: 普通はワープ先を塞ぐ
[7367.931] batorubaaa: 攻略見るともっと簡単な方法があるからね
[7370.351] momochan6: ウメップに載せようぜ
[7375.316] はらたいら3000: さすがプロゲーマーやで
[7377.677] avmajvm: うめちゃん、明日クラスで人気者じゃない？
[7380.916] fourper212: ヒント無しで気づきはすごい
[7381.623] シケモクスッパマン: とんちでいけんのすごい
[7382.833] (S)zakkn: プロは違うね！
[7386.671] oyu3: これファミ通だと何ガバスもらえる技ですか？
[7392.741] siuva7: ヒントはあった
[7400.179] シケモクスッパマン: ヒントなしは違うだろ 待機がフラグは教えてもらったし
[7405.250] smikami: ガバス？
[7408.450] nabe_labo: これが”先駆者”だ
[7411.465] smikami: 知らない単語が多い。。。
[7417.435] (S)saki7372a: 5000
[7431.414] avmajvm: あれ、交換してすぐ戻せばアイテム移動もなく終了になるのかな？
[7436.712] (S)寝るポイント: もしかしてカイジのモデル、ウメちゃん？
[7440.236] (S)kaworuko19: ウッボー！
[7441.436] (S)sora_neko09: 待機しちゃダメなのか，から，物交換ならいけるかもって試すまでが短いのが凄みやねぇ
[7442.294] (S)valhalla5555: ビデオにしてファミ通に送るか
[7442.328] シケモクスッパマン: ガバス知らないのか最近の子
[7449.351] lucentsnow: 加賀とウメちゃんは対話してる
[7457.572] (S)寝るポイント: ガバスハラスメントやめて
[7462.299] (S)zakkn: 待機おさなければ無罪
[7469.801] mogmog3939: ｗｗ
[7472.666] siuva7: 今ガバスないのか
[7474.564] ﾃﾄﾗﾝ: 加賀さんよぉ
[7475.813] x_abu_xx: 加賀見てるか?
[7477.164] Revyce: ｗｗｗ
[7477.738] avmajvm: 加賀越えきたか・・
[7478.248] シケモクスッパマン: ファミ通のペリカといえばわかりやすいか
[7478.815] khide05: 加賀じゃあのお
[7479.132] taroumaruh: 加賀 終わりだ
[7479.523] yuta_suko: 草
[7480.286] arimabot: 超越したウメ
[7480.442] squall2017: 確実に超えたね
[7482.896] (S)zakkn: 加賀みてるか
[7485.321] batorubaaa: 自分の装備位置動かすだけだいいのでは？
[7485.732] oyu3: ガバスって廃止されたのか
[7488.016] fourper212: 加賀超えのウメ
[7488.881] (S)寝るポイント: 加賀さん焼き土下座まだー？
[7490.576] (S)asakaze: 加賀を超えた
[7490.961] (S)ohigara: いつか加賀と出会ったらどうなるのか
[7491.226] メンタム: さん付けしなさい？
[7493.604] naka105: ウメちゃんの加賀越えｗ
[7495.419] xdfwjfpf: おい……見てるか加賀……お前を超える逸材がここにいるのだ……!!
[7499.385] (S)たあぼ0126: おはようございます
[7500.812] sayuha1: 加賀さんいまプログラマーに説教してるよ
[7501.805] はらたいら3000: 今日やってこの面クリアできるのすごい
[7502.188] (S)クズ220: ヴェスサガで加賀が待ってるぞ
[7504.547] squall2017: 製作者の抜け穴を付く見事な手法
[7510.624] khide05: あんなに強かったエーヴェルが・・・
[7515.085] (S)ソルダ: ヴェスタリアサーガをやってから言って？
[7517.119] lucentsnow: 加賀さん言われたらなんやこいつみたいな顔する
[7520.301] batorubaaa: 加賀さん越えるにはベルサがしなくては
[7522.837] シケモクスッパマン: といいつつ
[7527.253] メンタム: スト2でいう西谷さんだよ？
[7529.954] oyu3: 誘惑がｗ
[7530.224] kuchikey_7144: ｗｗｗ
[7531.811] (S)punitaman: ｗｗｗｗ
[7531.842] yuta_suko: うわぁ
[7532.039] kuuso1: まさかアッパー中に必殺技入力完成すると思ってなかった，みたいな
[7532.874] (S)zakkn: 餌
[7532.951] (S)orange88: LUL
[7534.001] smikami: 加賀さんがこのような所で呼び捨てにされてるは予想だにしてなかっただろうなぁ
[7535.694] S4k4g3: LUL
[7537.281] ﾃﾄﾗﾝ: 欲しがるねぇ
[7537.537] (S)動くわんわん: いくのかｗ
[7538.997] はらたいら3000: ベルウィックサーガやってくださいw
[7540.666] kuchikey_7144: 欲に負ける？
[7540.875] taroumaruh: 加賀「ほしいやろ？」
[7541.039] (S)punitaman: ほしいだからー
[7541.126] avmajvm: 加賀さんの置き土産でたな
[7541.613] (S)ソルダ: 片言ｗ
[7541.849] (S)中群かずふみ: www
[7541.981] balthazar000: よだれだらだらw
[7543.961] pandascal: バーサーカーいるだからー
[7544.994] (S)asakaze: ｗｗｗｗｗｗｗｗ
[7545.387] tannkai: たからばこほしいだから～？
[7546.235] yuta_suko: ホイホイぞ
[7547.239] aubergine101: 番人がおる
[7547.609] kireboshibasyato: なんでゲマビみたいな口調なんだｗｗｗ
[7548.661] (S)zakkn: だれだよｗ
[7549.731] scottiever06: 欲しがり
[7549.863] siuva7: おにぎり食べそう
[7550.147] khide05: 勝ち確からの欲
[7550.517] (S)クズ220: 欲しがりさんめ
[7550.604] (S)~MISSING_COMMENTER_INFO~: 💡
[7550.948] oyu3: 何人？
[7551.750] シケモクスッパマン: お宝ぁ
[7551.781] (S)超アンディー: 欲望が止まらねえ
[7552.698] taroumaruh: 台湾の英雄
[7552.864] (S)papipopon: ほしいだからぁ
[7552.887] Revyce: 加賀「ニヤニヤ」
[7554.860] (S)動くわんわん: 加賀の誘惑
[7556.794] lisp06: 行くのか
[7556.906] mogmog3939: だから～
[7557.382] (S)asakaze: ほしいだから～
[7561.488] シケモクスッパマン: ほしいだから
[7563.440] moviepassion: カタコトw
[7563.765] (S)寝るポイント: 加賀「この宝箱を取らずに帰る気かね？」
[7565.379] oyu3: リーフ
[7566.483] (S)小室友里: タカラバコガーホシイカラー
[7569.737] squall2017: ３つもほしいのか？いやしんぼめー
[7571.854] (S)punitaman: ザルガス
[7571.957] (S)ソルダ: 欲に目が眩むウメ
[7572.210] シケモクスッパマン: いくあるよー
[7577.173] avmajvm: 迷ったらﾘｰﾌでええやろ
[7578.737] (S)中群かずふみ: あ・・・
[7591.884] メンタム: 宝の鍵があるかな？
[7598.741] (S)blackcoffee0821: ミミック
[7604.168] tw_numa: 急にフィリピンパブ感出てきたな
[7611.585] batorubaaa: リフィス
[7612.918] シケモクスッパマン: でも左上敵いそうじゃね
[7614.848] nozomaro: 盗賊連れていかないと
[7614.856] 風来のリュウ: 宝を抱いて
[7617.488] kireboshibasyato: 箱開ける杖とか無かったっけ
[7635.451] シケモクスッパマン: 勢いで物交換忘れないかなぁ
[7636.112] はらたいら3000: デビルアクス 装備ダカラ〜
[7654.443] (S)寝るポイント: もうクリアできそうだし、もらえるものはもらっていこう！ 加賀「・・・。」
[7656.097] batorubaaa: ティナがアンロックもってたよな
[7659.502] メンタム: サラの移動力w
[7661.149] (S)クズ220: ベオの剣…バーサーカー…
[7711.140] メンタム: ベオの剣にスキルついてることすら気づいてないよな
[7728.426] (S)punitaman: 加賀「くくく・・・。まだだ。まだ笑うな」
[7739.333] scottiever06: 左から来そうでこえ～
[7751.176] シケモクスッパマン: 左いねぇのかなぁ
[7753.104] arimabot: 慢心しなければもうクリアだな
[7755.841] (S)kaworuko19: 加賀さんて方、任天堂と揉めてたのね。全然知らんかった。
[7762.196] シケモクスッパマン: 慢心せずトーチ
[7764.146] (S)たあぼ0126: こんなん闇討ちくらうやん
[7772.142] (S)zakkn: 消化試合になってきたかあ
[7773.102] (S)寝るポイント: 加賀「あー！そこの宝箱気づかれちゃったかー！やばい！やばいぞー！」
[7777.110] シケモクスッパマン: 任天堂から簡単にしろって言われて揉めたんだっけ
[7795.138] (S)shupii097: 名前が似てるからとかじゃなかたっけ
[7803.494] naka105: 加賀は独立してエムブレムもどき作ったからな
[7808.088] (S)クズ220: ティアサガ裁判のことか
[7822.748] (S)動くわんわん: ティアサガはもろパクリだったからなぁ
[7826.042] シケモクスッパマン: そんなんがあるのかググってこよ
[7835.765] (S)pepsi888a: ネタバレっぽいコメやめーや
[7844.155] (S)超アンディー: な。
[7854.634] khide05: ティアサガははじめエムブレムサーガって名前でFEとの関連に負わせてたから裁判になった
[7864.367] シケモクスッパマン: ネタバレ？
[7880.437] doragnai: 意外と面白かったティアサガ
[7899.359] メンタム: 普通に同一世界観のゲームだからな
[7900.654] siuva7: あれも難しいらしいけどね
[7908.407] machaking: これもう最後か
[7922.339] (S)動くわんわん: ティアサガは育成と編成間違えると詰むからなぁ
[7934.833] ebismine47: なにこれ最終章？
[7937.694] doragnai: これ終わったらベルサガやってほしいな
[7938.451] scottiever06: 左にトーチしたいところ
[7945.325] (S)ソルダ: ヴェルサガはトラキアより難しい
[7952.956] smikami: FEはPS4で出来ると嬉しいのになぁ
[7953.200] (S)sora_neko09: 次の面がラストらしい
[7960.950] メンタム: 事故るかねえ
[7980.540] (S)zakkn: さすがにでないやろｗ
[7987.683] (S)たあぼ0126: うめちゃんお誕生日会ないの？
[8001.135] シケモクスッパマン: 左にやられてスト5の
[8005.211] シケモクスッパマン: 流れありそう
[8005.743] メンタム: 武器持ってねーじゃん
[8006.353] khide05: 宝箱一つにうじゃうじゃと
[8012.668] pandascal: 白い歯が折られる可能性に怯えたな
[8017.866] (S)クズ220: 神ータまで動いた
[8019.473] (S)寝るポイント: 誕生日会？はじまっとるで？
[8028.052] lucentsnow: 宝島にいくんやなウメちゃん
[8030.896] kumatedd: 聖戦の系譜やってみようと思ったらなんのチュートリアルも無くフィールドに放り出されて笑った。説明書読まないと…
[8032.196] (S)超アンディー: 欲望の町
[8035.419] avmajvm: プレゼント交換会やってるよ
[8036.346] シケモクスッパマン: うめはらくん、おたんじょーびおめでとー
[8037.392] scottiever06: ワープマス対策もしないと
[8047.747] khide05: 大人の誕生日会は夜からなんだよ
[8050.270] pandascal: いきなり聖戦はつらいよ…ｗ
[8051.017] (S)zakkn: ケーキかった？
[8056.537] シケモクスッパマン: FEで説明書
[8062.332] lucentsnow: そういやウメちゃん誕生日おめでとう
[8073.438] (S)クズ220: 聖戦の系譜はシステムが独特よなぁ
[8092.481] (S)るぅの: お祝いしてるよ 
[8104.024] メンタム: セーフw
[8106.904] シケモクスッパマン: はいきました
[8112.335] nozomaro: 聖戦の系譜で勇者の斧や追撃リングにノーヒントで気づけるかな
[8119.143] (S)une3333: これがほんとの猫まんま
[8122.765] tannkai: 怒らないから手を挙げなさい
[8122.850] (S)寝るポイント: 物渡しの弊害が。。。
[8128.252] aubergine101: 渡しすぎて訳わからなく・・
[8134.981] シケモクスッパマン: トーチ交換しまくってだれがもってっかわからん
[8137.605] (S)たあぼ0126: 誕生日プレゼント忘れたー!皆ごめーん!
[8138.285] batorubaaa: くらつてたら死んでたんじゃ？怒り持ちよね
[8158.645] (S)寝るポイント: プレゼント交換会やりすぎた
[8162.104] lucentsnow: 慎重なウメちゃん
[8163.636] scottiever06: 左上怖いw
[8167.314] (S)zakkn: 交換しすぎい
[8172.056] (S)クズ220: バーサーカーのスキルもベオの剣のスキルも気付いてなさそう
[8178.411] (S)動くわんわん: 砂漠地帯並みの移動だぁ
[8192.992] (S)suigenius: ｗｗｗｗｗ
[8197.204] (S)寝るポイント: ざわ。。。ざわ。。。
[8201.379] (S)asakaze: 交換移動だから牛歩
[8216.871] シケモクスッパマン: めんどいなぁ
[8221.719] (S)sora_neko09: 交換移動って解決が面倒くささに拍車をかけてる
[8228.063] シケモクスッパマン: お
[8228.769] batorubaaa: 臭うとこだけでいいのてわ
[8230.300] (S)zakkn: 宝いるう？ｗ
[8244.867] シケモクスッパマン: この面で宝だからなぁ期待できるよなぁ
[8245.156] siuva7: 変なパズル要素がw
[8246.869] mogmog3939: もう待機しようぜ
[8252.033] SpiralCycle: evoJapan
[8252.353] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[8254.463] ebismine47: スゴい余計なお世話なんだけど、ウメキャットとパーティの一つでもしないんか？
[8265.806] tommy_sep6: これって最近のげーむ？
[8273.393] シケモクスッパマン: 昔のやで
[8282.315] GoldyLock: 20年前のゲーム
[8284.178] (S)lyo0822: 相当昔
[8291.420] ilm0806: 何もないってさ
[8295.568] とりあえずちさと: 前世紀のゲーム
[8297.950] (S)クズ220: スーファミ末期やで
[8300.767] siuva7: スーファミだからなぁ
[8300.846] tommy_sep6: なるほど。レトロゲーム配信
[8309.843] (S)zakkn: ウメ祭りないの・・
[8336.304] (S)寝るポイント: もうひとり護衛必要じゃない？
[8339.432] シケモクスッパマン: 左上にカメラ移動すんのなんなのこえーな
[8343.692] scottiever06: ワープ床の恐怖
[8352.881] siuva7: ふーどとカワノ呼んでパーティーしないの
[8374.500] (S)動くわんわん: なぜ左側から行くのかｗ
[8383.381] friedebi: ひやひやする
[8384.796] taroumaruh: こわすぎ
[8385.864] (S)zakkn: びくびく
[8386.660] lucentsnow: 大体おっさんになると恋人か家族といて終わりちゃうか
[8415.115] ilm0806: そうそう。俺らみたいにボッチじゃないわけで
[8416.660] シケモクスッパマン: バーサーカー「(こいつら...物交換しながら迫ってくる...!)」
[8422.357] scottiever06: ワープ床探しでもしてるかのような雑巾がけ移動
[8427.986] ebismine47: ダイゴ〜、ご飯よ〜
[8431.364] oyu3: 地道ｗ
[8439.145] (S)valhalla5555: FEぱーてぇー
[8442.673] aubergine101: パスサッカー戦術
[8452.152] (S)zakkn: ドラクエぽいねー
[8457.464] (S)寝るポイント: もうプレゼント交換会さっきから始まっとるで
[8457.673] シケモクスッパマン: はいっはいっ って言ってそう
[8460.450] (S)るぅの: 4マンセル
[8469.877] kireboshibasyato: これ帰りもこれやらなきゃいけないのか
[8476.377] とりあえずちさと: ウメハラってししゃもさんと知り合いなのかな
[8495.407] シケモクスッパマン: 全員脱出が条件なん？
[8507.244] scottiever06: 左上で敵がもがいてる
[8516.651] ミスターポポ: なんかゲーム音がゆらゆらするね
[8519.258] lucentsnow: ウメちゃんの誕生日プレゼント守ってる
[8523.309] メンタム: 脱出できなかった奴はいなくなる
[8531.003] nozomaro: ししゃもファウストはまだギルティやってるのかね
[8541.288] シケモクスッパマン: 攻撃は待機じゃない？
[8546.581] scottiever06: 待機が案パイ
[8553.812] メンタム: 死なんやろ
[8557.849] (S)playatlas: ウメちゃん今日から古戦場だよ
[8557.899] oyu3: 可哀想
[8560.330] yukihiro3417: こんな時はマリータの剣にした方がいいで
[8563.313] (S)動くわんわん: 流星えっぐ
[8572.702] kireboshibasyato: いるぅ？
[8576.059] (S)クズ220: 待ち伏せあるから危なかったな
[8577.803] シケモクスッパマン: えぐぅ
[8584.846] (S)寝るポイント: 加賀「ｗｗｗ」
[8585.262] (S)zakkn: まあ正直いらんのしかないｗ
[8587.811] (S)ソルダ: 次最後だし使っちゃおう
[8588.546] taroumaruh: 流石に？
[8591.101] orange016: 誰もが思ったw
[8591.843] ミスターポポ: 舌打ちｗ
[8592.028] oyu3: 加賀の罠
[8595.761] yupika: ｗｗｗｗ
[8596.105] ysr846: 加賀あ？
[8596.990] (S)ソルダ: ﾁｯ
[8597.944] kuchikey_7144: ままま
[8598.168] シケモクスッパマン: あれ？ゴミかな？
[8599.727] S4k4g3: 加賀？
[8601.177] squall2017: まあいらんなｗ
[8602.106] (S)zakkn: 加賀ぁ！
[8604.099] lucentsnow: 加賀からのウメちゃんへの誕生日プレゼント
[8608.879] batorubaa: 加賀さんさぁ
[8611.110] シケモクスッパマン: ちっ
[8611.856] (S)クズ220: リング結構余っとるぞ
[8616.284] Gordstorm: さすがに気分が高まります
[8616.330] yukihiro3417: リング二つはいいだろｗ
[8624.181] (S)動くわんわん: ナイトプルフ以外は有能だろうｗ
[8624.202] はらたいら3000: 誕生日プレゼントや〜
[8624.690] LibertySans: ハッピーバースデイウメ 
[8633.217] scottiever06: 全部マーティに使おう
[8635.372] シケモクスッパマン: みたこともないようなのをさぁ
[8640.225] oyu3: 加賀もお祝いしてくれた
[8645.821] cpx_zzz: 力こそパワー
[8646.983] kireboshibasyato: 使える杖欲しかったな
[8648.831] (S)zakkn: 帰るのだるーいｗ
[8660.199] (S)動くわんわん: 帰るまでが遠足
[8688.462] (S)クズ220: めんどくせー方法編み出したな
[8690.162] (S)zakkn: キレ原
[8692.311] (S)山田たろう太郎: ヘイト高まってるなｗ
[8698.016] とりあえずちさと: グチがガチっぽくて笑える
[8701.258] (S)Kanquez05: でもまあプレゼント３つも貰ったから
[8705.501] oyu3: いい方法だけどひたすら苦行
[8708.437] namacocoa: ウメちゃん 怖いｗ
[8710.276] メンタム: かつぎおろしで距離稼げそうだけどな
[8711.159] Gordstorm: 楽しんでるな
[8711.891] シケモクスッパマン: 逆に左上お宝あんじゃ
[8715.939] aubergine101: これやらないともっと面倒に
[8716.259] ebismine47: 誕生日にトラキアでイライラするなw
[8721.822] hadogamosenpai: DIG BDAY UMHR 
[8722.342] pandascal: 加賀への憎悪が深まっていく
[8735.876] LibertySans: なんでレトロゲーやりこんでるん？
[8736.205] taroumaruh: 今日クリアする？
[8744.704] balthazar000: あるあるパターン
[8749.672] (S)超アンディー: デンドンデンドン
[8756.105] (S)Sorachan1144: 誕生日にクリアするの！？
[8756.743] scottiever06: 慣れからの～
[8764.682] ミスターポポ: コントローラでかいね
[8765.480] taroumaruh: 持ちかしかー残念
[8768.631] (S)zakkn: 義務が逆になってきたなｗ
[8769.177] レム__: スト5の熱高いね
[8770.738] シケモクスッパマン: しそうだなぁ
[8771.964] (S)寝るポイント: はいはい。交換ね交換」
[8782.886] (S)るぅの: 加賀作品どんどんクリアしようよw
[8783.140] (S)asakaze: 加賀のせいでスト5の時間が
[8783.757] aubergine101: ヒットボックスでトラキアを
[8787.663] (S)ぼんじゅ: スト５やろうぜ
[8790.017] (S)saki7372a: 義務キアになったの？
[8800.271] ミスターポポ: シミュレーションってそういう時あるよね。
