[6.497] 5don: uyuyuyuWww
[362.305] yut7xot8: ウメちゃんの人徳だね〜
[362.778] (S)noriakiisreal: 旅の準備が仕方がすごい
[363.050] forthemoment_elt: この人大谷翔平の隣の人
[363.050] (S)gyu_nyuu_pann: おおーあとちょっと
[363.217] (S)m1s4m0: もうすぐだー！
[363.274] omo7144: これ王も知らないんじゃ・・・
[363.557] (S)憂う者の弟子: DM勢見てるか？ もう心配無用だぞ
[363.783] vesiter: プロカフェ
[364.277] kuchikey_7144: 掘り下げて良かったトーク過ぎる・・・
[364.400] (S)まとご: カフェ、出馬しようか
[364.446] fliege1515: ほんと無事に終わって欲しい
[365.527] fabregas123456789: やばすぎるっぴ！
[365.832] (S)kkshkk: これがプロの忠誠
[366.384] mifune1046: 王は色んな人に助けられてるんだな
[366.739] uguisupan1192: 荀彧や
[366.796] potocki1810: ありがとー（涙）
[367.552] kaigaizei: 一週間ここまでそれ言わないの忠誠心振り切れてる
[367.810] tachaomi8: そら精神的にくるわｗ
[367.977] taiyaki_ltd: カフェさんいなかったら実現出来なかったね
[368.701] blackmark2: 忠臣
[368.765] hotsumaowo: せめて忘れ物しないで…
[369.087] (S)machakyuro: 忠犬がすぎるｗｗｗｗｗｗ
[369.292] totokarutyo: もう一息
[369.453] suupu: 忠臣
[369.676] sts_1_: 完全に子守り
[369.709] nosveral: Forest
[370.549] Hitode_noko: 今来た〜。あと何キロくらいですか？
[371.035] shiru042: 忠誠心の体現者
[371.281] dagashiya190: カフェさん有能過ぎる
[371.568] myodent21: こんなバカな企画にそこまでしてくれてありがたい
[371.731] ddddppppgggg: 想定できるから予防できるんだな
[371.749] msfsa: 身代わりになって死ぬ覚悟あるレベル
[373.392] chachachakoma: カフェさんいなかったら絶対無理だったｗ
[374.908] onesolo52: ウメチームのマネージャーになってほしいｗ
[375.225] (S)mart_00_: カフェさんおもろいやんけwwww
[375.761] balthazar000: これは桃缶レベル。漬けてる。
[375.802] (S)成吉大: 一生言われる
[376.055] syounen_k: それに引き換えおじさん達さぁ～
[376.073] yoshikawa_yo: 神カフェさん…
[376.444] lun__01: ウメちゃんはこういう人たちに支えられてんだな
[376.989] katayude: 有能すぎて泣けてくる
[377.072] sakai_jin2020: おらんかったらどうなっててん！
[378.389] レム__: こら精神にダメージくるわｗ
[379.341] れんぞね: カフェんいなきゃ終わってるわ
[379.474] katappa45: DMは邪魔！
[382.279] (S)食用ばるさみこす: 〇〇「得意な人にやってもらえばいい」
[383.099] (S)マンゴスチン: 有能すぎる
[383.308] omo7144: 王はそんなこと知らんやろ・・・
[384.672] pico_za: カフェさんも家族を人質にとられてる可能性出てきたなｗ
[385.559] アベ0206: これが王佐の才
[385.653] きしー: それ言ってよ
[386.042] chin_56_: 呑気な王様
[386.735] low_single: ライトつけんくて大丈夫？
[387.954] syugi3: そらメンタルごりごり削れるわ
[388.078] (S)gyu_nyuu_pann: ほんといてくださってよかったな…
[388.662] (S)brutal9998: 何がきっかけでここまでの忠誠心になったの？
[388.858] myodent21: 外めっちゃ暗くなってきた
[389.177] もすも: 暗くなってきたねえ
[391.568] (S)まとご: カフェが出馬したら投票するわ
[391.716] HirocoT: ウメさんがアネハラさんのカゲを見ているカフェ氏…
[393.556] ババシャツ: アールさんが聞かなかったらわからなかった
[393.577] katayude: そりゃ精神も削られるわ
[394.093] こんぽち: 急に暗くなるなあ、いなかだなあ
[394.206] yut7xot8: ここにいる5000人はカフェさんの味方です
[396.370] (S)gazesd: umeGrin
[397.119] (S)メタルぱんだ: ホントにぃ？？
[400.019] hobit_ojii: カフェ氏まじありがとう
[400.098] (S)simmonfoxy: 暗くなってきたな
[400.641] blackcoffee0821: 好きな食べ物くわせたげて
[401.413] (S)tilia211: そうだね～
[402.527] keigunnoikkaku: 野田も頑張ってるよ！
[403.790] のぞみくん: eitanoEita
[404.131] sam21111: 前日に３０キロ歩いて対策してたの凄すぎ
[405.671] (S)junjamaica: 今まで格ゲーに全振りした男だから、いろんな体験させてあげてほしい
[405.761] rxz_2017: 8年後もオナシャッス
[406.922] ペプシ男: 一人だけ気付かれしてるカフェさん
[407.813] sts_1_: 大人に見守られてるから無茶できるんだよなあ
[409.628] (S)成吉大: 最終日は感動するやろなぁ
[409.758] furu13: 急に暗くなった？
[410.018] mako6912: カフェさんほんまありがとう
[410.247] lun__01: サライで終わりたい
[411.590] 4jou_half: 過去を振り返るといい思い出になるもんな、最後まで気を付けて頑張って
[411.793] ddb365: まずやろうと言い出す人がいない企画
[412.811] (S)gyu_nyuu_pann: サライ歌って終わろう
[412.931] balthazar000: 国内の旅も悪くない
[413.960] meganesandesuyo: 暗くなってきたな
[414.119] uguisupan1192: カフェさんが闇に飲まれるていく
[416.307] taiyaki_ltd: 喧嘩もないね
[419.006] mahiro_8: ありがとうカフェさんあーるさん
[420.187] しゆう_エンド: 一気に暗くなってきた
[420.419] icyblue1985: ゴールも見えてきたな
[420.558] (S)tilia211: 日曜にハッピーエンド決めたいね
[420.950] ラリメモ: 暗くなり始めてるのでライトつけた方が良くないですか？
[422.433] onesolo52: ダボ共は付いてきてる？
[423.263] chin_56_: 黒カフェに
[423.878] LEE4646: 完走したらすごく感動しそうだな
[424.153] nabe555: 日当いくら出したらこの人雇えるの？
[424.191] Hitode_noko: アレ、他のメンバーは後ろの方？
[425.135] 芋之山: 寂しくなってくるね
[425.239] (S)gyu_nyuu_pann: 視聴者目線早いなぁ長いようで
[427.291] や8: 暗くなってきたね
[428.822] shifoncafe: 暗くなってきたなー
[428.897] karimen4: 難所はもう超えたと判断でいいかな
[428.964] (S)将門ゴルゴロ: 急に暗くなってきた
[430.928] ebifuryai: 今日何食べるんだろ
[431.152] トネ: 暗くなったね
[435.896] (S)クラクラ777: それはルール
[437.179] (S)gyu_nyuu_pann: うんうん
[437.940] sakai_jin2020: 水曜どうでしょうだと最後は号泣だよ
[438.643] yoshikawa_yo: はーい
[439.580] fliege1515: はいー
[440.547] Mrk111: 山越えは車なのね
[442.076] (S)成吉大: 政界
[443.733] (S)gyu_nyuu_pann: ほいー
[444.001] (S)s0ft0fu: (๑･㉨･๑)
[444.237] や8: 山越えが車なのは安心
[444.344] neon_d99: 放送に固定した方が良い来たする
[445.608] HirocoT: ほいです
[446.090] shu_nakatani: ウメハラの浅い話より、裏方の言葉の方が力ある
[447.092] v_harumi_v: はーい
[447.170] ukir02: ワープ
[448.163] syugi3: うむ
[448.503] (S)gyu_nyuu_pann: いいね！
[449.507] monti370: 現場来いって！
[451.117] spring__thief: ここはkskのがんばりどこ
[451.728] lun__01: NPCルート
[451.876] icyblue1985: KSK！
[453.622] のぞみくん: 馬車
[453.733] (S)gazesd: さんきゅーNPC
[454.166] (S)hone253: kskカーの大活躍
[454.285] (S)成吉大: うーい サポートカー有用につこてもろて
[454.481] weeep1: ルールの変更は杖禁止じゃなくなったぐらいだよね。
[455.854] 紅鈴ノ助: 山はやばいから
[456.219] (S)gyu_nyuu_pann: NPCがね
[456.281] daruma2597: 県境見たいけど電波ないしね
[456.523] kebiisi: NPC
[457.969] ryo0405: 山中はね
[458.111] kunsuzuki: soushihanGurasan
[458.637] neon_d99: 放送に固定コメしたほうが良い気がする
[460.121] 記入漏れ: それは何より、そして 街灯のある道は間に合わずか
[460.654] (S)相田俊介: ホント仲間が心強い！
[461.351] dagashiya190: こういう方々が居るからこそ王が輝く
[462.644] kurokurro: トンネル歩くことになるしな
[465.249] (S)hone253: 暗くなってきたな～
[466.351] watanabe0731: もう弘前まで全部山ということにしよう
[468.882] Mrk111: 秋田-青森県境が電波入らないからどうするかと思ってた
[470.175] degajun: 車もマジ必須だったな
[471.515] (S)gyu_nyuu_pann: おおー暗い！
[473.461] (S)闘劇のアルベルト: カフェ氏を全面的に信頼してます
[475.287] こがや: あ〜秋田の方に抜けてあっちから弘前行くんだ〜
[476.519] mahiro_8: このパーティー何だかんだバランスが取れてるんだよねー
[476.776] balthazar000: 山道車でも可能なら昼間お勧め
[478.349] (S)やすぽこ: ほんと暗いな
[479.133] masabonchicken: （かふぇさんが借りた）KSKカー
[479.395] (S)pos888: あれKSKカーになってるんだ
[481.930] アベ0206: 一瞬で日が落ちたな
[482.270] (S)noboooooooooru: 後ろいる？
[482.641] (S)junjamaica: カフェたのんだ金持ちをスタートした土地へ運んでくれ！
[482.976] lun__01: 山はまーじキツイからな
[483.292] potocki1810: きゅうに暗くなりましたね
[485.820] ラリメモ: そろそろマジでライト付けませんか？
[488.257] poposuke: モバイルから固定コメントは大変そう。配信途切れる度に出さないといけないし
[488.585] (S)gyu_nyuu_pann: 土日だし明日からもっと人見てくれそうね
[489.956] yoshikawa_yo: おおー急に
[490.250] (S)成吉大: 急にきたね
[490.411] Siriaru0520: カフェさんカプコンカップとかも付いてってるけど何者なん
[491.062] (S)tilia211: なーんもみえーんなｗ
[492.063] fliege1515: とっぷり
[492.468] みつまめ728: ほんと一瞬で暗くなりますよね
[495.179] keigunnoikkaku: 普通に生きてたら300kmの散歩しようなんてことにならんからな
[495.391] 佐藤つばくろ: 一気に暗くなるなぁ
[495.685] chin_56_: うぇーい
[496.119] toro0524: 後ろｗ
[496.172] こんぽち: めっちゃ遠いじゃんｗ
[496.382] こがや: うーいw
[497.729] myodent21: 一気に日が暮れますね
[497.746] スーパー対魔人4: ルール概要知れる場所中々なかったからみんな不安になったよね
[498.084] alemi50: 津軽湯ノ沢駅辺りから歩き出すのかな？
[499.400] teruharu_: がんばれー
[499.833] icyblue1985: うーい
[500.219] (S)gyu_nyuu_pann: うーい
[500.622] (S)憂う者の弟子: うぇーい
[501.729] トネ: 遠い
[502.226] ddb365: 声は出す
[502.272] LEE4646: ひどい雨が降らなかったのが良かった
[502.963] のぞみくん: みえない
[503.623] tw_numa: くっら
[504.179] あんころーる: くらっ
[505.038] (S)maya_g01: がんばえ～～
[505.205] syugi3: おおー
[505.789] fabregas123456789: カフェにだいぶ高い給料やれよ
[506.819] や8: ライトついた？
[509.465] hobit_ojii: カフェさんまじ有能
[510.819] アベ0206: 後ろのうーい腹立つなｗｗ
[511.257] neon_d99: いってみましょーーーーー
[512.271] Mrk111: 鹿角市内は歩きかな？
[513.948] (S)gyu_nyuu_pann: がんばえーー
[515.115] matsu_zalem: 甘やかされハラ
[515.867] aranami0: 街灯ナシ！
[519.823] (S)成吉大: 真っ暗になった
[521.426] xxzoids: D、生還できそうね。
[521.668] や8: くらぁ
[522.612] (S)mart_00_: まっくら！
[523.955] 閃光の: ナイス鼓舞
[524.592] (S)gyu_nyuu_pann: 街灯ないなー
[524.994] softoika: 闇
[525.971] のってる: カフェさんもまた職業金持ちなんよ
[527.262] ddb365: アールさん光っとく？
[527.496] weeep1: 田舎だね～
[528.012] ババシャツ: 暗すぎぃ
[530.570] (S)成吉大: 田舎は外灯ないからね～
[531.778] tw_numa: やっぱ東京より早く暗くなるんかな
[533.568] neon_d99: これ肉眼だとまだ明るいやつかな
[534.007] nonsandayo: 田舎の夜を体験できる
[535.275] (S)keel_116: 良い仲間とこんな過酷な長旅したら思い出にもなりますね
[535.340] 4jou_half: いや～、田舎だね～
[535.370] daruma2597: 肉眼ならまだ見えるか
[535.517] dagashiya190: カフェさんマネージャーやったらかなり有能だろうなあ
[536.074] 失地王: ハンサムがいたら反射して明るいのに・・・
[536.830] (S)junjamaica: 士気あげていこう、いってみましょーで
[538.452] amakuchi_110: ゴールしたらうめちゃん涙出たりするかなぁ
[539.907] balthazar000: カメラ越しは真っ暗
[542.160] トネ: 山の麓ですからね。
[542.193] yoshikawa_yo: 街灯が無いのはわかるけど、灯りの灯った家屋が少ねえ
[542.382] (S)gyu_nyuu_pann: 肉眼なら明るそう
[542.454] potesaraudon: 自販機の光がありがてえ
[543.707] アンインストール: うわあ暗い！
[543.752] べネリ: ※配信より実際の方が明るいので問題ありません。
[543.917] syagami: 配信は実際より暗く見えるんだっけか
[544.381] Mrk111: 自販機が誘蛾灯になる
[545.577] tabibitox: この情報は8年後に活かそう
[546.693] mememe10: カメラと実際は違うからどうなんだ
[547.060] (S)diediedying: 田舎の住宅地はね
[548.175] (S)成吉大: 肉眼よりカメラのほうが感度高いはず
[548.368] (S)goto888: アールさんの各方面の立場をリスナーに知らせる立ち回りも完璧すぎんか。
[548.675] right_8: 街の灯りがあるところまで行きたいですね
[549.351] こんぽち: 日が落ちるのが早いって言うか、周りに灯りがないんだよね
[549.831] shu_nakatani: 急に暗くなったな
[550.924] forthemoment_elt: はいっ
[551.969] 今夜も赤こんにゃく: 一気に暗くなるな
[552.723] のぞみくん: がんばーれ！がんばーれ！
[553.372] fabregas123456789: カフェてなんかの社長なん？
[553.611] (S)kkshkk: それ何回聞くんだよ
[556.144] (S)gyu_nyuu_pann: 北森
[556.780] jmyswrows: 雛三沢か？
[558.865] ninpoko13: もう何かみんな疲れの感覚麻痺ってないか？ｗ
[559.557] besser_org: 星が綺麗そうだ
[559.585] Nenos4twc: 田舎で人が住んでるだけのところに灯りなんかあるわけあらず
[559.733] nonsandayo: 車のライトありがてぇ
[560.844] たこま: 無人駅か？
[560.994] や8: GoPro、夜の撮影弱いですね
[562.450] (S)gyu_nyuu_pann: もう青森か？
[563.687] keigunnoikkaku: 車に気を付けろよ～
[570.123] librabird: 渡辺義光
[571.280] gibutzsan: 市役所
[571.684] (S)gyu_nyuu_pann: たくさん歩いた
[572.753] Mrk111: まだ岩手だよ
[575.988] たあぼ0126: ゴールまだか？
[577.273] tw_numa: 青森入ったの？
[579.187] nonsandayo: まだ岩手県か
[580.682] (S)gyu_nyuu_pann: 岩手なんですね！
[583.154] yoshikawa_yo: 寒そうだ
[583.300] はしし11: 岩手でかいねー
[585.496] neon_d99: ゴールは日曜や
[585.999] weeep1: 昨日で160~170ぐらいだったはず
[586.592] ebiebi12: 暗すぎ
[589.275] ddb365: 碇ヶ関で青森かな？
[590.235] tw_numa: 岩手かー
[590.332] (S)gyu_nyuu_pann: 岩手でけぇや
[591.794] v_harumi_v: そんなそんなー
[592.754] nonsandayo: どんどん暗くなっていく
[594.128] syagami: そうかな？
[594.771] forthemoment_elt: いえいえ
[598.821] うつらん: そう...かな...？
[600.227] teruharu_: 気遣いの鬼
[600.642] lun__01: カフェさん背負い過ぎやw
[601.201] nosveral: 幽霊はいるが精霊のいない世界
[602.520] tabibitox: 体作ってきたからなｗ
[602.752] (S)ronamu22: せやな
[603.699] (S)hone253: 地図も持ってくれないし…
[604.627] (S)junjamaica: ちょっと昨日怒ってたからな
[605.646] taiyaki_ltd: ほんそれ
[605.680] (S)kkshkk: 心臓部なんで
[605.774] weeep1: カフェさん死んだらアウトっす
[606.814] amakuchi_110: 花見楽しくできて欲しいね
[607.429] balthazar000: 裏のお仕事
[608.306] (S)gyu_nyuu_pann: 気遣いがすーごい
[608.490] neon_d99: めっちゃルート検索してるからなｗ
[609.362] うわらば_: 暗くなるスピードはっや
[609.634] (S)憂う者の弟子: アール・・・
[610.074] (S)mart_00_: カフェさん掘り下げて
[610.181] shifoncafe: 明るい
[611.447] ~MISSING_COMMENTER_INFO~: 杖持ちにジンバル持てねーしな
[611.883] syugi3: 裏での多大な貢献があるか
[611.884] koudou3: ナビ役一人しかおらんやん
[614.807] たあぼ0126: 今日のだよぉ！暗いよぉ！
[615.105] neon_d99: 予約もしてるし
[615.570] nonsandayo: 街灯だ
[616.513] (S)食用ばるさみこす: カフェ氏には潰れてもらっては困る
[616.961] はしし11: 実際カフェさんいったら旅終わるよなｗ
[617.180] のってる: 岩手は規模的に四国縦にしたようなもんだからな
[617.892] HirocoT: ほいですｗ
[618.714] chandio2251: ほんとにそれはそう
[619.477] lun__01: ほんま縁の下の力持ち
[621.019] レム__: 暗い
[622.364] (S)hone253: 明かりが！
[623.619] だいこん_: さすが面積2番目の県
[623.630] ペプシ男: このパーティ、賢者いたんだな・・・
[624.808] aranami0: 街灯がありがたい
[625.446] Game_Art_101: is this daigo the adventurer 
[625.935] のぞみくん: みんな地図も見ないしさあ～
[626.275] ババシャツ: これ映画化しない？
[629.266] (S)gyu_nyuu_pann: ありがてぇ
[630.341] ddddppppgggg: 魔法使い兼戦士か
[631.063] (S)tilia211: 街灯あったけぇ
[631.304] dagashiya190: カフェさんが旅のブレーン
[631.754] besser_org: タイムライン見返したら面白そうね
[632.929] keigunnoikkaku: 俺は10kmも歩きたくないよ
[635.943] Hitode_noko: 裏方のドキュメンタリーほしいわ
[636.676] ryo0405: カフェさんが命綱かあ
[637.383] forthemoment_elt: むしろ勇者
[637.474] right_8: 街灯がチラホラ
[638.789] mevius003: ゴールしたらポックリとかないよね・・・
[639.945] (S)gyu_nyuu_pann: すごいなぁリアルタイム
[639.952] chin_56_: それについていくだけ
[641.781] syugi3: カフェさんを落とすわけにはいかぬ
[641.999] orihei: 夕飯は何食べるんですか？
[643.442] (S)hone253: 時間調整も大変そう
[643.598] nonsandayo: 神社か
[643.599] tsurioji_san: リアル賢者
[644.268] njpw2017: 何でそんなことできるんだよ
[644.362] あでぅ: カフェさんは普段企画に裏方で参加されてるんですか？
[647.256] balthazar000: 次は北海道最北端か？
[648.843] (S)gyu_nyuu_pann: 有能すぎる
[649.689] yamanashi_sp: 航海士が居ないと船は目的地にたどり着けない
[649.792] (S)食用ばるさみこす: ホテルから電話もかかってくるしよぉ
[651.032] 閃光の: ブレインやからな
[651.724] (S)achieichi: 後ろ盛り上がってない？
[652.948] チアリーダー: ウメちゃんとの馴れ初めきいてほしい
[653.208] (S)fikat_0702: 映画化良いなぁ
[653.830] (S)junjamaica: カフェはリスナーにしか怒りを伝えれないｗ
[654.303] (S)nacci516: カフェさんありがと～～～
[655.287] fabregas123456789: カフェさんとボンオフで話したのが懐かしい
[656.194] koudou3: 航海士とやってること一緒じゃんねえ
[656.311] (S)gyu_nyuu_pann: 後ろ元気だなぁ
[656.875] ddddppppgggg: うしろうるせえw
[658.277] chin_56_: 呑気なやつら
[660.923] dagashiya190: DVD化出来そうね梅旅
[661.879] (S)憂う者の弟子: わろとるで
[663.764] (S)くえんち: 楽しそうw
[663.801] さっぽさんぽ: 39.949824, 141.064518
[663.904] (S)tilia211: アイツラな～に言ってっんだ
[663.931] myodent21: 楽しそうやなあいつら
[664.188] forthemoment_elt: はよこいやーー
[664.472] (S)gyu_nyuu_pann: 呑気組
[664.556] あんころーる: 敵が現れた
[665.576] yoshikawa_yo: 都市伝説みたいな絵w
[666.957] (S)hone253: 後ろの輩wwww
[667.172] lun__01: 後続に追いつく
[667.184] renoarenoa: たわけども
[669.529] (S)kkshkk: なんだあいつら!!!
[669.617] teruharu_: のんきw
[670.895] (S)hone253: 呑気組w
[670.989] スーパー対魔人4: 「後続に追いつく」？？？
[671.233] borkh3js: WutFace
[671.904] weeep1: ガリガリ
[673.163] (S)hiaaru: カチャカチャ
[673.324] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[673.438] や8: のんき
[673.850] daruma2597: ひきずっとるがね
[673.967] mevius003: こえーよｗｗ
[674.987] (S)mart_00_: たわけ三人衆
[675.082] (S)m1s4m0: 音が…
[676.066] ame512: 確かに怖いなｗ
[676.444] Coedawg: 歩道から出てると跳ねられるぞ
[677.772] のぞみくん: 妖怪じゃね
[678.120] アンインストール: 言うて梅さんあの体でよく膝壊さんな
[678.123] hirarilemon: のんきだし車道に出てるし
[678.335] (S)goto888: 化け物集団
[678.621] akasatana54095840: wwwww
[680.024] mahiro_8: 横になって歩くんじゃぁない
[680.179] (S)rm_rf__: ガリガリ
[681.158] chachachakoma: 音がホラーｗ
[681.642] syugi3: こやつらよお
[682.208] pico_za: 甘やかされてるｗ
[682.391] (S)gyu_nyuu_pann: ｶﾞﾘｶﾞﾘ
[683.566] (S)hone253: たわけ組www
[684.635] nonsandayo: シルエット配信
[685.674] balthazar000: 黒い集団
[686.777] isekai7153: 百鬼夜行ｗ
[687.279] (S)machakyuro: 杖引きずる人
[687.715] (S)tilia211: ｶﾞﾘｶﾞﾘ
[690.577] watanabe0731: 引きずってるやついない？
[693.672] masarin763: 稚内駅から宗谷岬までは30キロくらいだから散歩に最適 
[694.033] weeep1: くっら
[695.227] (S)黒光り肉の: 画面よりも実際は明るいらしいから
[695.390] jacofrost: 歩道歩け
[697.268] (S)まとご: カフェ談との落差よｗ
[697.672] (S)achieichi: 何の話だよｗ
[699.418] (S)gyu_nyuu_pann: なんか楽しそうな話
[699.579] myodent21: たわけはアホな話してますねぇ
[700.111] jagajaga1943: 何の話してるんだｗ
[701.268] (S)junjamaica: 今日の飯は？
[701.804] (S)shinobuchan4649: まっくらやｗ
[701.888] shifoncafe: なんもみえねえｗｗｗｗｗｗｗ
[702.047] (S)マルい: 草
[702.204] (S)闘劇のアルベルト: 一方その頃
[702.456] 芋之山: 面白そうな話してるな
[703.642] (S)rm_rf__: オカルト集団やん
[703.728] low_single: 反射材付けてるのこれ？
[703.917] sakula_n: カメラ助かる
[704.321] のぞみくん: のんきなものよ
[704.467] besser_org: 楽しそうｗ
[704.591] (S)brutal9998: Dの声がしばらく聞こえないな
[704.686] もきち555: 面白そうな話ししてる
[706.396] HirocoT: 話題ｗ
[707.662] (S)gyu_nyuu_pann: 転生したらみたいな話かなw
[707.749] teruharu_: アラフォーの会話です
[708.350] ddddppppgggg: ゴミwww
[708.901] や8: 楽しそうな話ししてる
[709.091] (S)kkshkk: 落差がすごい
[709.148] blackie_1988: 普通に会話弾んでんなーすげえなー
[710.238] 閃光の: カラカラ
[713.503] daruma2597: 放課後の中学生か
[713.594] tenkas10: 話の落差おもろすぎる
[714.184] tsurioji_san: 楽しそうな話してるなー
[714.987] nikorinko: 中学生みたいな話w
[715.149] ebifuryai: 現地はもうちょっと明るいのかな 配信は暗いけど
[715.188] onesolo52: カフェさんの話聞いたら怒りが
[716.380] manifu_: たわけた話してるw
[717.891] Sibuna_jp: 話の内容の落差すごい
[718.850] jinkosan123: 元気やなぁw
[719.522] yoshikawa_yo: ガリガリさん ガリガリさんが来るよ
[720.172] アンインストール: 関東ももう暗くなるの速いわ
[721.984] nonsandayo: また中学生トークｗ
[723.324] (S)inudog_1: ハンチョウの話にありそうなおっさん達
[723.574] indobazaar: 旅が長すぎてすごい会話になってきてるな
[723.975] chin_56_: カスみたいな内容
[724.330] beehive3: 学生の帰り道
[725.383] tsurioji_san: 部活帰りかな？
[727.638] (S)mart_00_: たわけばなしww
[727.773] 閃光の: たわけてんな
[728.114] neon_d99: まき戻りのなろう系じゃん
[728.797] ima_son: でも途中で飽きない？
[730.080] (S)憂う者の弟子: 子供か！
[730.653] (S)gyu_nyuu_pann: www
[731.345] HirocoT: ｗｗｗ
[732.623] weeep1: ｗｗｗｗｗｗｗｗ
[732.887] ｾｲ: 中坊みてえな話w
[733.559] icyblue1985: けん玉ｗ
[735.695] mevius003: ケンダマン
[736.735] eremin_39: 歩道じゃん
[736.811] アベ0206: みんなに何もないように～ ⇒ 最強！最強！ギャハハ！
[737.437] weeep1: 何の話してんだよｗｗｗｗｗｗｗｗ
[739.235] (S)keel_116: こういうのがいいよ
[740.374] forthemoment_elt: 野田代弁してやれ
[740.695] のぞみくん: 後半かふぇ氏がぶちギレたらおもれーな
[741.879] (S)まとご: 忘れ物率１００％
[743.455] (S)m1s4m0: ご飯大丈夫なのかな
[744.669] keigunnoikkaku: 何も見えんくなってきました
[744.961] Phenomer: かふぇさんマジでありがとうございます。
[747.816] ペプシ男: かたや売名できたという人もいるｗ
[751.104] ddb365: けん玉の才能あってもなぁ
[752.022] tsurioji_san: アールさん黙る
[758.716] アンインストール: 精米
[760.100] nonsandayo: 精米
[760.332] (S)gyu_nyuu_pann: カフェさんのありがたさが沁みる話題の落差よw
[761.717] (S)mart_00_: 話題の質が違いすぎるww
[762.985] 今夜も赤こんにゃく: これを全部許容するカフェさん
[764.510] gajonaori: コイン精米好きすぎるだろｗｗｗ
[764.557] hairi0610: 「医者に写真を見せて…お叱りを…」「けん玉がさー」
[765.587] hikky722: ひぐちは人生３周目だよ？
[765.968] lun__01: 田舎の風景コイン精米
[766.787] toro0524: アールさん思わす無言にｗ
[768.324] balthazar000: 昔はできなかったんだけどねー
[769.430] (S)kkshkk: D～?
[771.178] neon_d99: その機能は対人勢のせいだよ
[771.224] act_ruka: もう少しや！頑張って！！！
[771.918] aranami0: みんなそんな精米するん？
[774.778] jinkosan123: アールさん絶句してるやん
[780.996] njpw2017: あのゲーム適度は縛りプレイが面白くなるよね
[782.487] 猫神寝猫: さーすがに暗くなってきて見えんなw
[785.921] hobit_ojii: エルデの王のありがたいお言葉
[788.485] (S)くえんち: でぇーじょぶ ドラゴンボールがある
[790.603] hi_im_botti: 田舎はすごい精米する
[792.273] chin_56_: 転生できたらいいね〜
[793.097] (S)brutal9998: カフェの献身の元に歩く王
[793.999] natoooji: ああいう精米小屋って利用する人いるんだろうか？
[794.219] nosveral: ホテルまであと20km
[794.931] tsurioji_san: 保護者と子供たち
[795.431] (S)gyu_nyuu_pann: 時を戻そう
[796.195] nonsandayo: 時が戻せない方が結局楽しい
[796.640] kaigaizei: この話した後こいつらまた忘れ物するんやろなあ・・・
[801.560] (S)mart_00_: 「転生について」
[801.656] neon_d99: くっらい
[802.199] gajonaori: えいたあっさあ
[803.052] fabregas123456789: なにいうてんねんw
[803.836] Hitode_noko: 米ぬか10円で手に入るのがでかすぎる
[804.466] (S)diediedying: 精米するよ順番待ちしたことある
[805.448] yoshikawa_yo: Dおる？
[805.847] syugi3: 小学生と引率の先生くらいの
[806.500] weeep1: 飽きるね
[809.263] (S)fikat_0702: 忘れ物は気をつけてほしいｗ
[809.964] (S)gyu_nyuu_pann: ww
[810.736] (S)~MISSING_COMMENTER_INFO~: こっわ
[811.910] ~MISSING_COMMENTER_INFO~: いつでもリセマラできるとしても妥協の連続になりそうやしな
[812.544] 沸騰沢庵漬: 田んぼ持ちは精米するし 親戚から精米する前の米もらったりするから無いと困る
[813.014] taiyaki_ltd: それ、最近やってたドラマじゃん
[814.209] nonsandayo: お、明るい
[814.515] icyblue1985: 残機０だからイイんだよ
[816.430] サンシロ: 繰り返してどう感じるかはひぐらしを見ればわかる
[816.743] (S)gyu_nyuu_pann: たしかにw
[817.278] (S)hone253: 盛り上がってるね～
[817.898] Mrk111: ホワイト急便
[818.568] ame512: 発想がサイコすぎる
[819.038] ddb365: 明るい
[819.273] eremin_39: この3人いい感じで歳離れてる
[819.980] (S)gyu_nyuu_pann: 明るーい
[821.721] weeep1: リスクがあるから楽しいんだよ
[822.443] トネ: 全員いきている？
[822.466] (S)noboooooooooru: レア自販機
[823.505] nonsandayo: 自販機エリアいいね
[823.833] niboshidaiashi: フラウィーみたくなる
[824.831] umesecond: タイムリープものは微妙
[826.584] (S)brutal9998: またこいつら忘れ物してカフェの精神削られるんだよw
[828.370] hi_im_botti: 基本精米してない米を持ってるから
[828.494] Mrk111: 車こわっ
[829.147] (S)憂う者の弟子: 元気やなｗ
[829.704] アベ0206: ふざけた3人組
[831.387] aranami0: ウメちゃんメガネ似合うな
[831.444] chin_56_: HAHAHA
[832.054] アンインストール: 会話もループしてない？
[834.445] ebikatsu39: ｗｗ
[835.042] momiji4431: Dいた
[836.338] chachachakoma: ｗｗｗ
[837.798] (S)gyu_nyuu_pann: www
[839.162] トネ: いきている
[840.560] yoshikawa_yo: あっ 良かったDだ
[841.182] HirocoT: ブラッシュアップライフ
[842.707] monti370: 無限増殖したスーパーマリオや
[843.898] バーバー谷口: 平和な話しとるで
[843.976] jagajaga1943: D苦しそうｗ
[844.280] (S)kkshkk: めちゃくちゃ元気じゃん
[844.289] (S)takashi726: FEはリセット押しちゃうな
[846.443] のぞみくん: いる
[847.181] (S)mart_00_: 忘れ物ってちなみに誰が一番多いの？
[847.621] (S)gyu_nyuu_pann: Dさんいたぁ！
