[27.969] ancehutn: スト７！？
[2237.848] キンチバ: レバーはガチャガチャ音するから違う
[2242.405] 憂う者の弟子: はめちゅ
[2244.864] おやつハンター: hitboxにも棒なかった？
[2246.224] (S)日本語かな: レバーの頃のオート昇竜はレバーレスだと難しいのかね
[2248.665] hirokiaaa: 今レバーの方がつええからなあ
[2262.402] m1s4m0: ためキャラじゃないしねぇ
[2272.277] tabibitox: ぎり
[2272.359] shellfish55: ふーどもアングリーも棒だしな
[2274.422] ponpon0005: ふがし！でいやふん！
[2283.105] (S)日本語かな: でたーm
[2284.276] オワオワタ: 棒が再評価されて嬉しいよ僕
[2285.429] (S)kkr_l: おおお
[2287.556] (S)sh1n0217: 判断やっば
[2287.735] hikky722: ダブルドラゴン！
[2289.490] 倉内: うめえええ
[2290.890] furu13: 棒でもパッドでも強いやつは強いよね
[2298.115] (S)monpiipop: おおおお
[2298.308] 憂う者の弟子: はめやで
[2299.951] nidouhu: うめぇ・・・
[2301.754] (S)brunoman1: おおおおお
[2301.810] kuniyoshi8: すっごい
[2302.280] Ganondorf_nulvi: Nice
[2302.522] (S)イエール: アイイイイイ
[2302.661] (M)gameinntwitch: ノイズ抑制がオフのままになってるっぽいから以前より音が聞こえるだけで、この家にレバーは無いですね
[2305.763] キンチバ: 溜めキャラでも棒かと思ったけどDJって溜めキャラっぽくなかった
[2305.776] guilegairu: やば
[2306.934] bec118_japan: レバー勢が強いだけでレバーが強い訳じゃない
[2308.628] 戦う山田: PADプロ頑張れー
[2310.329] muteking510: メナがパッドだしな
[2310.446] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2314.199] Skrichur: downloaded
[2314.341] (S)のぶとも: 家に無いw
[2318.353] (S)日本語かな: 家にレバーはない
[2323.452] kuniyoshi8: もう家に無いんすねｗｗ
[2324.912] shellfish55: デバイス差はないと思うよ。レバレスはガチャ昇竜がないのが致命的だよねって話
[2326.524] m1s4m0: ノイズ抑制オフがいいからこのままがいい
[2328.592] moririka755: なるおレバーで６ボタンはすんごい
[2331.714] zyangara2: 悲報、梅原家からレバー消滅
[2331.719] (S)ponponguripon: いつだったかノイキャン切ってたね
[2332.503] (S)のぶとも: メンおじ一閃！
[2336.619] hojihojidx: 6ゲージある時の最大削り把握してるんかな
[2337.708] gyosan: ノーレバーハウス
[2338.661] 憂う者の弟子: 棒は捨てた
[2342.333] キンチバ: ヤマはレバーレスじゃなかった？
[2351.062] m1s4m0: ヤマもももちも
[2351.496] bec118_japan: おおー
[2354.872] (S)gularain: うまいなあ
[2355.837] Jeakfreet: おおお
[2356.899] (S)日本語かな: 入力速度はレバーレスに分があるけど、みんなメリットデメリットあるしな
[2358.066] 母の日ですお母さんに: マッドキャッツはもういない
[2365.128] mochii6262: パッドは指痛くならないんかな
[2366.324] jgtmae: ジョビン平本蓮に〇〇予告されてるからヒゲ早く剃って反省してますアピールさせないと
[2368.391] (S)gularain: 渡会くんにまさに教えてたことだ
[2374.759] shellfish55: そうそう！メリットデメリットで決めればいい
[2384.804] フェルナンドセギノール: レバーあると使っちゃうから練習段階で捨てたんだっけ
[2393.158] キンチバ: ときどは昇竜する状況よりもガードする時の方が多いからやっぱレバーレスにしたって
[2394.256] (S)日本語かな: 本当に良い意味でデバイス何でもいい
[2395.382] m1s4m0: ウメちゃんのとこのコメントが勝手にお喋りしだすの好き
[2396.953] tabibitox: 端がつえーんだこの爺さん
[2406.591] 戦う山田: ここは俺たちの自由帳
[2409.403] m1s4m0: たのしい
[2410.569] フェルナンドセギノール: 中央も強い
[2423.732] zyangara2: 平本は盛り上げるためのただのトラッシュトークだから
[2428.239] オワオワタ: 期目に来た
[2431.142] tabibitox: あったｗ
[2431.934] kusogekun: 今更だけど投げから投げの絵面すげーよねｗ
[2432.124] (S)kkr_l: おおおお
[2435.208] m1s4m0: ないすー！
[2435.354] bec118_japan: 使って正解だった！！！！
[2435.401] bunkichi23: おおおおおおおお
[2436.465] gift_hope: nice
[2437.641] (S)monpiipop: うほほ
[2437.859] ponpon0005: うっま
[2438.415] Jeakfreet: おおおおお
[2439.344] sn0wf0x3: おおおお
[2440.026] フェルナンドセギノール: たりたー
[2440.070] 戦う山田: えらーい
[2440.812] (S)イエール: umeCossack
[2441.132] おやつハンター: うま
[2441.374] ぐるえむ: PogChamp
[2442.684] たくあんどす: うほおおお
[2443.296] Mimicdess: Still did the hard extention 
[2443.361] poponnzu: かっけぇえ
[2445.227] (S)でかちゃん: カッコイイ！
[2446.884] hojihojidx: 蹴鞠コン
[2447.057] 2MakeMe: DAAAAAMMMMMMM
[2447.469] haniwa09: すごいな、一気に崩れた
[2447.545] shellfish55: JPざまぁ
[2447.751] kiton_taichi: すげぇ
[2448.149] (S)軽く捻るか: ナイス！
[2449.266] kuniyoshi8: かっこいい
[2450.409] zyangara2: いいねーー
[2452.033] muteking510: 完走
[2458.886] tabibitox: もっけ
[2459.645] bec118_japan: すげーわーー
[2459.903] bunkichi23: ももも！！
[2460.135] (S)ponponguripon: あ
[2460.763] m1s4m0: もっけ！
[2461.985] オワオワタ: ボスラッシュやん
[2462.199] (S)monpiipop: もけw
[2463.168] おやつハンター: もっけ
[2464.833] pondenring0930: もっけ
[2465.029] (S)日本語かな: も史
[2465.744] chocolat1234: 👏👏
[2465.769] 戦う山田: 最強
[2465.975] kuniyoshi8: もけ史上
[2466.118] haoo888: ときどは言ってたね２試合に一回あるかないかのガチャ昇竜より２０回ある歩きガードだって
[2466.192] sn0wf0x3: もっけ
[2466.296] (S)gularain: もっけ
[2466.545] (S)ぺりんご: リーガーおかわり
[2466.815] tama_zx61: も史も！！
[2466.831] nonsugar_436: もけあそびやで！
[2467.325] じゃっｶﾙ: 史上
[2467.478] une3333: もっけ
[2468.013] (S)イエール: けっけも
[2468.960] (M)gameinntwitch: 梅原塾の時のレバーは我が家にあります、ちなみに当時のマッドキャッツレバーも全部ウチにあります
[2469.147] gozdemon: ケン面白いですか？
[2471.129] たくあんどす: も史も
[2472.336] muteking510: もけあそび
[2473.819] une3333: リーガーとバンバン当たる
[2475.647] hoemin247: もけにい来たか
[2475.940] takahashiseigi: カカトパニカンSA3は確認出来て5200ダメージ
[2479.100] prisira: もけ史上最強のもけ
[2482.815] (S)dokuyubi: もけ史上がどうこう
[2483.506] kiton_taichi: 秘宝館やん
[2485.539] ore4aa: レバーの音ひさぶりに聞いた気がする
[2489.694] オワオワタ: ボジョレヌーボーもけ
[2489.912] (S)日本語かな: メンおじの家に集まるレバー
[2491.391] shellfish55: このゲームそんなに歩きガード重要じゃないけどな
[2498.532] hojihojidx: めんおじの家ウメハラ記念館やん
[2499.839] m1s4m0: レバーじゃないよ定期
[2508.515] キンチバ: でも中足当たりたくないからガードは重要かも
[2508.627] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[2509.395] kusogekun: あくび許さん史上最強のあくび許さん
[2520.447] 戦う山田: レバーはもうちょい低音のイメージ
[2527.579] tabibitox: なーがい
[2527.810] kuniyoshi8: 博物館になるねメンおじ家
[2527.910] (S)ぺりんご: レバーは家に無いって固定コメントにしてもらうレベル
[2536.360] hoemin247: レバーはもっとガコガコする
[2537.778] twitchyarutch: PCパーツとかも一旦メンおじのとこに集まるのかな？w
[2538.899] (S)軽く捻るか: 記念館ｗ
[2546.321] shellfish55: 個人的にはウメちゃんのオート昇竜好きだったから棒復帰してほしさある
[2549.127] オワオワタ: メンおじの家一般公開してほしい
[2555.681] Hitode_noko: 静音レバーの音はこんな感じじゃない？
[2556.381] (M)gameinntwitch: プロになった年のEVOの金TEは、いつか後ろに飾りたいね
[2559.792] おやつハンター: ウメハラ記念館
[2564.957] ore4aa: なんだ違うのか
[2570.332] gin_and_nick: レバーじゃないと咄嗟に対空、SA出せなくてレバレス辞めました・・・
[2570.513] hojihojidx: もう下のヒトボのロゴのとなりに「を使ってます。」ってテロップした方がええな
[2574.479] (S)日本語かな: 金のあるのか。みてみたさ
[2577.214] 戦う山田: BOしてもつえー
[2579.931] hirokiaaa: そいえばGO1がパッド使ってたけど持ち方まんまレバーだったわw
[2581.465] m1s4m0: やるー！！
[2581.939] tabibitox: 通したｗ
[2582.928] (S)イエール: ウメハラ記念館を足立区に建てようw
[2588.683] (S)yut7xot8: すてきっす
[2593.188] carry_on_my_way: つえーw
[2594.234] twitchyarutch: レバーもっとクリクリってした音な気がする
[2596.746] m1s4m0: 弘前に建てようよ
[2602.239] nurumayu045: お、白道着に戻ってる！
[2612.648] kuniyoshi8: 斧も飾ろう
[2623.062] (S)ぺりんご: 手元カメラ復活とか
[2634.738] めれおじ: ウメさん 今年のSFイベントはファブカップで締めくくりですか？
[2636.436] 戦う山田: うっま
[2638.024] Jeakfreet: おおおお
[2640.315] (S)イエール: ベースカメラを流用するか......。
[2640.904] (S)yut7xot8: きたーーー
[2642.814] たくあんどす: KZHCUPで白道着に変えてからそのまま？
[2646.066] (S)monpiipop: いいねー
[2652.582] m1s4m0: やるー！！！
[2653.777] (S)日本語かな: デバイスは逐一文字が説明してあげればいいでしょ
[2655.204] babyshochan1024: うますぎ
[2656.359] (S)イエール: ういい
[2657.891] (S)yut7xot8: うぉぉぉぉぉ
[2658.338] mako6912: うま！
[2659.824] (S)軽く捻るか: あいいいい
[2663.221] fireballkid1981: ｱｲｨｨ
[2665.586] carry_on_my_way: 上手すぎる
[2666.095] tabibitox: OD撃たないと詰み状況か
[2672.121] キンチバ: メナとかはパッドのボタン押す時、アケコンみたいにして使ってる
[2673.275] (S)ponponguripon: ﾀｶﾀｶﾀｶﾀｯ
[2685.380] (S)mart_00_: こんばんはー、もっけだ
[2690.910] hoemin247: このランクマやっぱ緊張感あっていいな
[2705.145] オワオワタ: ときどバンバンもけ
[2709.616] pepepe393: メナあの持ち方でどうやって強パン強キック押してるのあれ
[2714.667] (S)yut7xot8: きたーーー
[2716.926] 憂う者の弟子: そのパターンも知っている
[2717.436] m1s4m0: あっとうてき！
[2717.903] 戦う山田: ウメちゃんまた強くなってね？
[2719.643] (S)イエール: うりゃあああ
[2721.072] fireballkid1981: 対策ぅ
[2722.309] nurumayu045: うっま
[2743.828] (S)日本語かな: にがさん！
[2746.172] casita226: 逃さん１
[2746.730] m1s4m0: 一時期の徹底的に待つやり方やめたのね
[2755.988] carry_on_my_way: 出た闇の力
[2761.579] (S)イエール: ナイスbo
[2763.880] (S)日本語かな: みてる！
[2764.489] shellfish55: 待つならガイルでいいもんなぁ
[2767.352] オワオワタ: モダンもけ
[2767.438] (S)イエール: うはーーー
[2768.405] キンチバ: これは有利
[2768.897] fbhjkl: PogChamp
[2771.010] (S)ちぇんぷる: うますんぎ
[2771.128] hoemin247: うへー
[2771.518] booby_one: さすが、もけ！
[2772.669] myaaaaaa123: まままま
[2773.783] (S)kkr_l: まーまーまーまー
[2774.805] tabibitox: ゲージ有利
[2775.555] 黒光り肉の: ままま
[2777.576] nonsugar_436: 春にやったら弾追いかけられるだけだし
[2777.860] tama_zx61: Ｍけ
[2778.081] twitchyarutch: DJ戦だけじゃね？ラッシュ止めるために
[2778.648] notowasa: 使わせた
[2779.880] (S)のぶとも: モダン人間じゃん
[2787.039] (S)イエール: うーー！
[2793.670] 戦う山田: 奴もまたM
[2794.899] 084bean: ACT1のとき19~20うろうろしてたけど、ACT2になってから20台キープしてるな
[2794.947] (S)日本語かな: もけってレバーレス？
[2795.180] takahashiseigi: 勝久さんも新しいコンボ勉強して強くなってる
[2798.979] ダイナソー龍崎: ウメちゃん
[2804.082] m1s4m0: レバレスだよー
[2813.455] kaka0708a: この技真空竜巻で出ていい技じゃないよね。
[2815.878] bec118_japan: BO
[2817.035] (S)日本語かな: ありがとー！
[2822.170] (S)switchdv: これはおいしー
[2824.364] (S)kkr_l: うま
[2824.829] しすてむえらー: そういえばCPTのまさと同じプールだったうめちゃん
[2825.152] 戦う山田: あの天翔はレバレスじゃないと無理よな
[2826.492] tabibitox: 相打ちコン
[2829.371] nonsugar_436: 指サック勢
[2829.855] (S)yut7xot8: きたーー
[2832.405] bec118_japan: 出た相打ち竜巻！！
[2833.383] m1s4m0: よしゃー
[2834.039] shellfish55: 春麗はレバーレスの方がいいとかありそう
[2834.481] Chaco_WiMus: nice
[2834.837] pondenring0930: もけ史上最ももけに近いもけを倒すとは
[2835.891] 黒光り肉の: さすがー
[2837.027] (S)イエール: アイイイイイ
[2837.193] たくあんどす: うおおおあ
[2837.904] fbhjkl: SeemsGood
[2839.784] booby_one: BO削り、ありがとーーーー
[2840.833] fireballkid1981: ｯｹｲ
[2841.634] syan1114: すげー
[2843.200] (S)ponponguripon: うおー
[2843.383] hoemin247: 連勝ッケイ！
[2843.383] carry_on_my_way: 今の竜巻で拾えるんだ
[2843.932] (S)のぶとも: 削りかっこよ
[2854.174] m1s4m0: ごはんなにたべた？
[2854.922] 黒光り肉の: リーガーとやりあえるなぁ
[2856.247] (S)ぺりんご: 削りーさる
[2859.660] ダイナソー龍崎: go1はレバーであんなに天昇脚でるから凄いよな
[2862.511] kaka0708a: やっぱり dゲージ管理くそ重要だわ
[2864.024] KiragoDono: bonjour , ohayo
[2865.055] (S)yut7xot8: かっこいいです
[2868.697] m1s4m0: いってない！
[2872.220] (S)yut7xot8: ふーど
[2872.937] (S)日本語かな: いってない！
[2873.042] saibabasan: 今日の今日で！？
[2873.317] キンチバ: ふ～ど
[2873.389] fireballkid1981: 流石に？ｗ
[2875.031] (S)Fkdso555: 流石に早いｗ
[2875.059] (S)mart_00_: ふーどがツイートしてたよ
[2875.621] 0208h: もけ史上最強のもけが...
[2879.324] perfecttakahashi: ゴン太の店って誰でも行っていいの？
[2879.403] booby_one: 家から出る文字おるか？
[2880.780] hoemin247: 流石に？
[2882.096] (S)箸くれ: さすが右腕
[2882.461] 黒光り肉の: 生牡蛎うまそうだった
[2887.773] twitchyarutch: カフェ氏が行ってたね
[2889.811] tabibitox: カフェ氏とふ～きゅんがいってるぽいね
[2892.252] (S)軽く捻るか: ｗｗｗ
[2893.177] ミスターポポ: 文字は酒を飲まない
[2893.661] (S)てべす1103: 文字はネームドが多そうで行きづらい
[2895.743] (S)箸くれ: しゃけ食べた？
[2896.112] 戦う山田: どこにあるの？
[2899.354] johndoe6523rp: 竜巻拾いは中央でもできますか？
[2900.677] ぢょごぢゃん: 石井プロ？
[2901.724] ara5588: ウメちゃんは今日行ったの？
[2906.371] tayue07: 12月中には行きたいな
[2908.575] booby_one: 文字は恥ずかしがり屋だからよ～
[2909.603] (S)きしー: さすがに落ち着いてから行こうかな
[2913.670] オワオワタ: オラ文字共家から出ろよ
[2914.025] m1s4m0: 今度行こうと思いますがクレカ使いたいな
[2917.643] pepepe393: 新宿にあんだっけ
[2918.755] ArikaBoy: ウメサワーウメヌキ
[2919.445] nakao1976: 有名人多くてビビってますｗ
[2919.823] matsu_zalem: ヨーグルトのやつ飲んでたような
[2922.001] perfecttakahashi: ネームドの中に混ざりには行けない
[2922.224] (S)箸くれ: 遠方だから行けても来年
[2923.447] ずんころもち: ウメサワー
[2927.254] neon_d99: 西新宿か
[2927.526] 黒光り肉の: 格ゲー勢が支えてくれる店になればいいね
[2931.636] shellfish55: 安いよね
[2934.917] (S)のぶとも: いきなり今日行くのはちょっと気が引けてしまうw
[2935.135] kasutadonshirokuma: 酒はダメなんで、オレンジジュースください。
[2935.947] (S)箸くれ: いいなーｗ
[2937.397] (S)ぺりんご: ネット回線通ったら配信安定するかな
[2939.545] オワオワタ: 格ゲー居酒屋かー
[2940.325] booby_one: 落ち着いた頃いくかー
[2943.841] tabibitox: 鈴木、マスターやん
[2945.383] hikky722: ゲーム置いちゃダメなのか
[2946.081] m1s4m0: 西武新宿の方でしょ？
[2947.418] (S)monpiipop: そのうちいく！
[2948.102] (S)gularain: Www
[2948.148] だいこん_: ぷげハラ
[2948.481] tama_zx61: ｗｗｗ
[2948.754] fbhjkl: WutFace
[2949.435] fireballkid1981: ぷげｗ
[2949.657] (S)ponponguripon: りんごジュースはあるって言ってた
[2950.031] casita226: リュウみたいにする？
[2950.389] 戦う山田: ぷげｗ
[2950.554] (S)軽く捻るか: ｗｗｗ
[2951.058] carry_on_my_way: w
[2951.858] (S)日本語かな: ww
[2952.067] hoemin247: wwww
[2952.095] (S)イエール: たしかにw
[2953.327] (S)箸くれ: ぷげらの重たい甲羅
[2954.075] 何も知らないジョンスノウ: www
[2956.789] (S)イエール: あの鬼太郎w
[2957.192] (S)monpiipop: りゅうせいとかね
[2957.743] (S)mart_00_: wwww
[2957.868] neon_d99: 東新宿かぁ。スクウェアとかある場所だっけ
[2958.193] aranami0: ぷげすげぇや
[2960.398] twitchyarutch: ハンデw
[2960.706] (S)ぺりんご: さすぷげ
[2961.451] kahaku91: ポマードつけよう
[2966.588] matsu_zalem: ラーメン屋でやるか
[2966.996] (S)matari2: タオル巻く？
[2967.528] ぢょごぢゃん: ぷげらはお店のノレンと一緒で見えるって言ってるけど・・
[2968.644] tasuminn: スクウェアあるね
[2969.693] hoemin247: BUMPリスペクトかもしれない
[2969.878] 戦う山田: 自らに枷を付けるぷげら
[2972.144] 吉田じんぎ: 脱いだらズシャ！
[2972.265] Chaco_WiMus: XD
[2975.487] (S)日本語かな: 相手の名前永遠のダイヤ勢でマスターになってて草
[2976.326] (S)イエール: ポマードをゴンタに借りよう
[2976.485] LGA2011: 見えすぎるからあえて隠してるんや
[2983.124] 黒光り肉の: 行けばもしかしたら誰かしらに会えるかもっていいね
[2983.252] (M)gameinntwitch: 後ろのキャップなど
[2983.872] Karaage9_9: youtubeのサムネ何？ww
[2985.482] neon_d99: スクエニだったわ。おじがでちまった
[2989.833] casita226: 通ればでかい無敵技かなるほど
[2991.746] matsu_zalem: ウメポマード
[2994.167] m1s4m0: ウメちゃんが作ったひよこ
[3000.867] 戦う山田: なんならマスターでもかなり盛ってる
[3002.532] casita226: 中足ラッシュに毎回昇竜してるのえらい
[3013.450] mokzxxxx: 髪のすき間で距離測ってる説
[3022.556] (S)ぺりんご: もうダイヤには帰れない
[3024.489] zyangara2: プライベートで作ったフェルトのヒヨコちゃん
[3025.252] neon_d99: ブロンズの田中みたいな名前だな
[3028.519] matsu_zalem: メンおじは店で飲んでないの
[3030.658] BigbossJP: プレオープンの時は内装があれだったけど写真見たら照明も雰囲気あってかなり良くなってるね！
[3035.052] carry_on_my_way: つんよ
[3036.553] twitchyarutch: まだヒヨコなのか、変わったって言ってた人いたけど
[3047.660] (S)日本語かな: メンおじポスターくれなかった？
[3047.702] (S)イエール: なんか隠れ家的な雰囲気あって良かった
[3053.999] takahashiseigi: プレミアは序盤にtsさんと当たるのかな
[3066.315] (S)gularain: 照明の重要性をかんじた
[3071.794] pepepe393: そういえば俺をとれのアーカイブってどこでみれるん
[3072.179] (S)きしー: 営業中は照明で全然雰囲気違ってよかったね
[3076.060] m1s4m0: タオルまこっか
[3077.391] (M)gameinntwitch: ポスター持ってったけど開店前にでたよー。サインもらったから見に行ってね
[3100.845] zyangara2: コンボ中にコメント見てるｗ
[3101.254] bec118_japan: 俺を穫れは消えた
[3103.607] m1s4m0: YouTubeにあがるのまつ
[3106.531] (S)日本語かな: いつか行きたいなー
[3114.294] pepepe393: なくなっちゃったんだw
[3114.427] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[3120.813] neon_d99: 50円でチンチロハイボール的なチャレンジできたりしないんやろか
[3121.240] matsu_zalem: ゼロ3のポスター？いつか行きたいなー。
[3123.091] twitchyarutch: アーカイブは切り抜きで我慢
[3149.237] kahaku91: じゃんがら情報いれてるねえ
[3156.911] twitchyarutch: 全編はある事情であかんらしい
[3170.510] (M)gameinntwitch: ゴンタと我々が出会ったゲームだし、コーディー真ん中のポスターだからお店に丁度良いかなと
[3183.850] ilm0806: アキバのじゃんがら、すごい並んでるから、おざなりになるのかな
[3188.764] matsu_zalem: 素晴らしい
[3189.101] gift_hope: noooooooooooo
[3189.547] aranami0: エモい
[3196.181] (S)のぶとも: ぴゃー
[3200.090] (S)ぺりんご: ポスターはメンおじプレゼンツですか？
[3201.996] (S)日本語かな: ていうかその時代のポスターを所持していたことが驚きである
[3203.260] m1s4m0: ゴン太さんスト6やらないのかなー
[3213.565] kasutadonshirokuma: ダイヤつよいなぁ
[3227.745] twitchyarutch: 半年休みなしならやる暇無さそうw
[3228.158] bec118_japan: すっげぇ拾い方
[3230.611] (M)gameinntwitch: 我が家に20年以上貼ってあったポスターです
[3231.612] okamasa456: ゲームやってる暇ないやろw
[3235.201] (S)のぶとも: 今の拾えないw
[3239.087] (S)日本語かな: 20年！？
[3240.947] tabibitox: 20年モノｗ
[3244.488] diego_ohunabara: umeYay
[3244.641] 084bean: アキバ行ったらMAZERUか影武者だなあ
[3260.570] かべ_娘は双子: 美しい魔闘家鈴木みたいなもんか
[3265.816] matsu_zalem: 豪鬼かリュウのとこにウメさんサインあるのかな。
[3270.708] (S)ぺりんご: すげえｗ
[3288.639] zyangara2: ゴンタさんの末永くお店盛り上がってくれるといいなぁ
[3292.511] takahashiseigi: 入れ込み狙いかw
[3299.526] 憂う者の弟子: 闇スペをガードしていく
[3304.280] (S)日本語かな: 俺はケン使いがさも確認してるかのように打つ中段sa3で心おられる
[3305.136] neon_d99: じゃんがら赤坂店が職場から一番行きやすいんだけどウメちゃん的にはどうなんやろ？
[3310.856] (S)gularain: <3
[3313.269] bec118_japan: 返したー
[3316.007] (S)kusomegane123: 大Pさいっきょ
[3318.702] hojihojidx: 有名ゲーマーのサイン色紙がズラっと並びそう
[3319.284] オワオワタ: めっちゃ強いダイヤだったな
[3322.826] kawasak1n: 王髪のびたねー
[3323.706] egatyan: 石井プロは、配信で俺はプレオープン呼ばれなかったってブツブツ言ってたよw
[3326.350] (S)4きね8: 4きね8 subscribed at Tier 1. They've subscribed for 8 months, currently on a 6 month streak! こんばんは
[3330.910] takahashiseigi: パニカン時はSA3はノーキャンで入ります
[3330.918] 戦う山田: お前のようなダイヤがいるか
[3331.021] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[3337.592] (S)日本語かな: 石井プロ草
[3338.745] aranami0: 石井ちゃんかわいそう
[3344.673] twitchyarutch: 呼ばれないと行かないんだw
[3355.863] 000105: 面識あっったけ？
[3364.374] (S)ぺりんご: プロ『呼ぶんじゃねえ』
[3368.805] neon_d99: 草
[3370.086] オワオワタ: 人狼くらい？
[3372.098] kuniyoshi8: じゃあ呼ばれないだろｗｗ
[3376.092] だいこん_: 格ゲーマー人狼くらいじゃない？
[3381.007] (S)日本語かな: じゃあ呼ばれないだろw
[3387.971] matsu_zalem: 昔蹴られてビーマニまで吹っ飛んだ石井プロ
[3391.304] nxpoint1218: 人狠話不多
[3392.197] usa451: 石井プロたぶん家近いよな
[3393.517] gorogorogorn: ネチネチｗ
[3396.692] okamasa456: オフで会ったことあんの？って話
[3398.697] aruch_22: なぜ呼ばれると思ったのか
[3399.943] jmyswrows: ごんたの店ってどうせ身内のプロばっかり集まって一般人は肩身狭い思いしそう
[3403.873] balthazar000: 足刀喰らってゴンタの店まで吹き飛ばされればOK
[3412.470] kahaku91: 生身であった事ないまである
[3420.896] (S)yut7xot8: うぉぉぉぉお
[3422.134] chocolat1234: 👏👏
[3429.669] millioniwashi: 匠
[3430.906] nikkou18: オシャレな勝ち筋
[3433.290] (S)日本語かな: ゲージ回収良さそう
[3435.933] neon_d99: 石井プロ側だけ友達だと思ってた感じだ？
[3438.934] bbooou: ゲージ溜めうめぇ
[3440.202] okekke: ゲージもりもりコンボ
[3467.388] kimie_white: エリア的にいろんな人来そうだけど
[3468.348] (S)日本語かな: 溜まりすぎだろw
[3471.071] オワオワタ: 今日のウメちゃん強いな
[3475.277] (S)switchdv: もうちょっとか
[3477.831] tabibitox: たまらんかった
[3478.662] nakao1976: ゴンタさんのお店、ソニック灰皿あるのかなあ
[3493.863] m1s4m0: ゴンタさんって喫煙者だっけ
[3495.535] (S)日本語かな: ソニック灰皿ってなんやねんw
[3504.127] (S)4きね8: タバコは電子のみだから灰皿ないかとw
[3506.778] bec118_japan: でも顔色悪いよねうめちゃん
[3508.277] haoo888: ゴンタさんと古い人はアールさんやらエビちゃんじゃね
[3514.648] m1s4m0: 電子のみなのか
[3515.365] matsu_zalem: 石井プロネタ。笑
[3535.837] fireballkid1981: 間合いすごいな
[3537.634] カザマツリ: 懐かしいなぁ、すてきなさんにんぐみ
[3551.731] twitchyarutch: たまにガラスとか陶器の灰皿あると怖かった
[3552.534] pepepe393: 格ゲーマーでタバコ吸うのってマゴくらい？
[3559.480] m1s4m0: いやたくさんいるよw
[3564.129] tabibitox: やべー
[3565.664] (S)日本語かな: やべー
[3569.650] kawasak1n: umeYay
[3577.076] 戦う山田: amakipOmanjyu
[3583.002] Jeakfreet: ｗｗｗ
[3583.966] millioniwashi: 有情
[3584.240] だいこん_: 余裕で4ねた
[3585.418] 憂う者の弟子: しゃぶりすぎた
[3586.131] (S)軽く捻るか: 許された
[3587.028] m1s4m0: ゆるし
[3588.120] kimie_white: やさしいジュリ
[3588.736] (S)日本語かな: スタンミスったっぽいw
[3588.991] (S)mirin_melon: w
[3589.871] alice_in_jp: 何故か生きてる
[3589.988] (S)4きね8: umeYay
[3592.035] tabibitox: スタン受け入れ態勢整ってたのに
[3594.364] haniwa09: 肝冷えた
[3594.408] umashika_o: ウメちゃんにバックパックばとるやってほしいな
[3594.790] librabird: インパクトしないんかーい
[3600.073] tabibitox: あ
[3601.601] kawasak1n: おおおお
[3612.346] (S)日本語かな: りゅうてゃ
[3613.633] kuniyoshi8: てゃ
[3614.172] bec118_japan: ごめんりゅうてゃ
[3614.486] hojihojidx: 相手のＤゲージ削る攻略すすんでますね
[3615.007] (S)dokuyubi: またあした来ます
[3615.376] eremin_39: 店いくの？
[3617.800] (S)ぺりんご: デイリー拒否
[3618.495] 新ころりん: バトルよりもヒーローのが梅ちゃんには向いてそう
[3618.518] gorogorogorn: 正しい発音ｗ
[3618.678] (S)RFKage: てゃ
[3625.212] (S)軽く捻るか: てゃ
[3626.836] oinari6: 最近そんな忙しの？
[3626.905] twitchyarutch: もうちょい早く気がつけばw
[3627.471] zyangara2: 八時ギリギリまでやりましょうって言いそう
[3630.848] m1s4m0: 野菜くんだ！！
[3631.166] (S)のぶとも: ごめんてゃ
[3634.932] まるいとうふ: りゅうてゃ前ステありがてえ
[3637.100] (S)箸くれ: 行って帰ってまた行くほど近いんかｗ
[3638.650] johndoe6523rp: りゅうせいくん強いよな〜
[3640.968] mako6912: てゃ
[3641.836] だいこん_: 後では行くんだｗ
[3646.638] (S)日本語かな: なるおリスナーや
[3658.865] 戦う山田: なるおにコーチングされてた人か
[3678.318] millioniwashi: うま
[3683.683] m1s4m0: めっちゃうまいーw
[3683.725] オワオワタ: 最近ジェイミーの評価あがったらしいよな
[3690.254] nidepuni: きれいすぎる
[3693.119] (S)日本語かな: 16歳
[3695.817] (S)mirin_melon: すごい
[3703.939] neon_d99: そういやグーグルマップに出てこないのってあえてなんだっけ？
[3704.991] kawasak1n: 今日２０時までなの？
[3707.154] millioniwashi: なるおの配信が最先端攻略になってるの面白い
[3709.338] 戦う山田: 学校行ってないだけある強さ
[3711.592] twitchyarutch: 手数多いから割られちゃう
[3728.428] donburikanzeu: ランクで当たるジェイミーなるお絶対見てるって人ばっかや
[3728.581] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[3730.709] (S)日本語かな: うま
[3737.673] (S)のぶとも: ありけんのクラブやないか
[3738.587] だいこん_: 押さない
[3740.605] niboshidaiashi: しのいだｗ
[3746.633] twitchyarutch: あたった
[3750.174] オワオワタ: ジェイミー村の村長だからななるお
