[32.049] junichi_pad: 🐮🖐にょっす！
[1377.956] (S)アイソンキャリー: wwww
[1378.472] sazanami555: ｗｗｗ
[1378.546] daisuke_1105: みんなまるが気になるのか
[1379.730] rxixbx: ヒロックええてwwwwww
[1380.406] kanahibi: そうだね！ましなクソ！w
[1380.465] (S)koyoru358: 芸術点高かった
[1380.683] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位え
[1380.761] キティー: www
[1381.430] イルカ89: てかってた笑
[1381.591] (S)パープルサワー: ピカーン
[1383.221] (S)kerokerokurop: 後光
[1383.360] gachapin_4869: 定期的に坊主にしてて草とは思ったよwww
[1384.240] (S)2017eve2: 「きれいな土下座した」おｋ
[1384.316] rain_on_friday: 脱退しても話題多すぎる奴らやね
[1384.446] kakeru32: 力ない土下座w
[1384.568] daisuke_1105: ピンク人気だな
[1384.636] (S)island_33: www
[1384.857] flower_7878: たとえがw
[1385.008] せのび_: 見たwwwwwww
[1385.054] jpkengo012342000: 土下座坊主wwww
[1385.068] rei_marika: 月ꉂ🤣𐤔
[1385.468] kininino_ni: それ見たwww
[1385.623] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロック
[1385.687] しづく1112: 光ってたねw
[1385.699] megu0724: 笑笑
[1386.068] monaca1010: 😛
[1386.132] masayuki464946: 選挙みたいなね
[1386.212] バジル12: 満月土下座www
[1386.248] ux_xu_dj: ふぉいさんつぎ髪型なんにすんのー？？
[1386.284] aka_murasaki_luckywanco: wwwwwwwwwwwwww
[1386.665] hojoh_jp_114: aruber1Sharingan
[1386.723] おぎゃわん: 🌕
[1386.738] tomosaboten: スペシウム
[1386.758] (S)mihooooooko: 月wwwww
[1386.832] 福山はさまります: wwww
[1386.889] ザーサイふぉい太郎: 笑笑
[1386.966] おしっこ隊長: 月www
[1387.011] sivka120: ватахееел
[1387.349] tai_tai0707: ピンクの話も聞きたい
[1387.595] tadanohito1210: 配信見てきました初見です！ 僕は今中2なのですが、この前中1から好きだった女の子に告白したら「ごめん、友達でいたい」と言われ振られましたそこから付き合えると思いますか？？
[1387.797] ぽんジュース: ご来光🌅だったよね
[1387.977] 知_とも: 3人でライブってしばらくやらんの？
[1388.190] hayakenta: www
[1388.567] 32gksjg: 今の社長のビジュアルめっちゃいい
[1388.792] frenki_art: Подними руку если ты лох
[1389.445] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一
[1389.496] (S)tou_rin: ドームでピンクへの歌チョイスしたのは何で？
[1389.614] takenoko0312: 相談良いですか？
[1389.639] cojicoji75: 頭キレー
[1389.756] daisuke_1105: 笑
[1390.161] (S)アイソンキャリー: お坊さんやったな
[1390.412] ちぴろん88: ふぉいくん、社長帰ってきてからイキイキしとる。
[1390.615] kokokokomimimim: ライブ始めてきた😂🎤こんばんは＼(^▽^)／！
[1390.898] lala202209: 綺麗な土下座🙇
[1390.920] haruto0859: ピカーンピカピカ
[1391.320] うしゃ丸: もう日本でライブしないの？
[1391.426] masak_0713: MOON社長
[1391.473] djnekomi: 社長は犬みたいに飛び跳ねるね 
[1391.529] eemooonk8: 純がモンハンで叫んでる
[1391.539] (S)イシヘンジンの匡くん: みたみたwww
[1392.242] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位f
[1392.348] sivka120: а
[1392.909] risukamo: 見たwww
[1394.277] jpkengo012342000: エンタメやなw
[1394.503] opanda1990: そう言う事じゃねーしw別にアレも🖕🏻
[1394.764] aiai519: まぁ、社長だもんね
[1395.067] (S)パープルサワー: 科学の授業のやつだった
[1395.179] kentaro12013: ひろっく
[1395.303] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位z
[1395.444] 34tsuru: そういうところ持ってるんだろうなぁ
[1396.210] ami_xoxo_: あの写真綺麗だったwww
[1396.638] 瀬古: すみません北海道さんの続報はないんですか・
[1397.664] (S)aki444444: 初日の出だったわ🫶
[1397.944] lala202209: モヒカン
[1398.067] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位s
[1398.281] penguini_812: wwwww
[1398.459] 8036_: もし沖縄がチートだったらどうするの？
[1398.512] kuso5rilla: @tadanohito1210 人が喋ってるんだから終わるまで待てよ
[1399.216] pomemonian: ドームよりファンに土下座してあげてw
[1399.430] muteki911: 一周回ってあのハゲ好き
[1399.647] ぷっちゃんは猫: 今日チャイナ事変って連絡来たからチャイナまで手を広げたのかってすげーって思ったらチバだったの誰やったの？ミスが面白すぎるwww
[1400.314] (S)blood_rose_home_96: 後光がさしてたから、神コース行ってたｗｗｗ
[1400.990] chioriy77: ピンクの話しよ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
[1401.130] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位w
[1401.209] yuco_923: 見た見たw
[1401.263] ザーサイふぉい太郎: お前もスキンヘッドにするか？？
[1402.010] aka_murasaki_luckywanco: 神々しい
[1403.675] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位q
[1403.880] イルカ89: しかも土下座してる時、もう辞めましょうよ！命がもったいない！って言ってる人いたね笑
[1404.277] nuuuum_: なんか無法地帯やけどここってモデレーターいないの？
[1404.281] kakeru32: 土下座しながら太陽拳やめてくださいね
[1404.682] onia_daisuki: あくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたん
[1404.853] tadanohito1210: 配信見てきました初見です！ 僕は今中2なのですが、この前中1から好きだった女の子に告白したら「ごめん、友達でいたい」と言われ振られましたそこから付き合えると思いますか？
[1404.940] naokidayo1: ふぉいくんなかなか大物になりそうやな
[1405.069] gachapin_4869: 社長って頭の形綺麗だよね
[1405.452] rit1125: 1.5億NIKKEに課金したのすんげぇな
[1406.014] ukiukigindaruma: ドームの3人の立ち姿、めちゃくちゃカッコよくて震えた
[1406.044] foy_xoxo: ちゃんとサングラスも服も脱ぐとことかちゃんとしてて感動した
[1406.981] Fancy5510: 噛んでるの即座に突っ込んでて流石だった！
[1407.064] (S)みい_0615: 五光がさしてたwww
[1407.347] 7_premium: 社長今もう海外？
[1407.531] soruirunamoriko: ふぉい久しぶりー！
[1408.064] ハイウェイです_: JOYkun こんばんは
[1408.081] rain_on_friday: 同接やばいな
[1408.143] へか帝: 耳に指突っ込んでポテチのカス付いてるかでストレスチェックなるぞ
[1408.272] yuu_ge: ニケはどう？
[1408.472] idomin007: おめでとう🎊
[1409.557] anko0705: あれ以降まるとは連絡とった？
[1409.767] runatic_m: どんだけ振られた話答えて欲しいんwww
[1410.288] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位y
[1410.517] (S)kuda_rk: 光ハゲ
[1410.563] ux_xu_dj: ふぉいさん次の髪型決めてるー？
[1410.676] ヨゴレ: サブスクできるようになった
[1410.863] hndagmaes64: よかったよかった
[1411.619] (S)blood_rose_home_96: 説明感謝します
[1411.664] onia_daisuki: あくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたん
[1411.682] kanahibi: 今日はゲームしないのかい？
[1412.878] penguini_812: ありがとう
[1412.909] surumeika931: djfoyfHYPE
[1412.952] kakeru32: 土下座しながら太陽拳やめてくださいね、
[1413.081] (S)1007yokko: ゲーム配信はいつからできそぉ？
[1413.279] おぎゃわん: よかったね
[1413.591] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位r
[1413.722] omonnaine442: 沖縄は結局競技しないの？
[1414.432] mami0323: フォイくんもほっとしたね
[1416.098] soukainasu: 通訳 ありがとう
[1416.712] ふぉいのアゴヒゲ: 警察沙汰の騒動何があったのー？？？？？
[1416.900] (S)katotokato: 説明ありがとう
[1417.121] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位v
[1418.634] kentaro12013: 社長の頭好き
[1418.846] millix01: まる銀太とふぉいはまだ仲良いの？
[1419.134] すてふぃんかりー: 大変ですね
[1421.411] らーいーむ: Youtubeのショートから来ました
[1422.281] ちぴろん88: 良かった。
[1422.408] ザーサイふぉい太郎: じゃニケやるか？？？
[1422.499] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位#
[1423.345] hayakenta: ニケの課金額何円？
[1423.515] (S)みい_0615: ふぉいが元気ならいいわ
[1424.155] idomin007: 嬉しいよ🙌
[1424.637] gachapin_4869: 何飲んでるの？
[1425.136] potetooo8: 久しぶりに社長さん見れて嬉しかったです
[1425.247] r_yoro: その水飲んじゃお
[1425.348] tomosaboten: 中道を、語る
[1425.573] nicojwele2525: 3人でステージ立ってみてどうだった????
[1426.009] (S)kerokerokurop: DJシャッチョな
[1426.863] 寺田ココシャネル: ふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお
[1427.481] hojoh_jp_114: BleedPurpleHD
[1427.525] r_yoro: おいちー
[1427.696] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位##
[1427.739] (S)chika_430: 教えてくれてありがとね
[1428.205] 寺田ココシャネル: ふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくおふ
[1428.781] 骨ひつじ: ピンクはこれからなにするの？
[1428.854] rain_on_friday: チバニャンのにゃんともラジオアーカイブみよ
[1430.394] 寺田ココシャネル: ふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお願いしますふぉい、ありがとう！ お前凄いよ 一生お前についていく これからよろしくお
[1430.597] idomin007: おかえり
[1430.615] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位@
[1430.629] (S)kumi197: 反省してた
[1430.826] takesi37564: まるが心配
[1431.820] (S)イシヘンジンの匡くん: 千葉ニャンはボヤ騒ぎ
[1431.983] (S)blood_rose_home_96: チバニャンと社長久々に喧嘩したって言ってたな
[1433.621] mamasansan030: まる銀とは連絡取ってるの？
[1433.800] ktpp7: チバニャンってレペゼンなの？
[1434.441] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位c
[1434.574] kakeru32: そしてだれもいなくなった
[1435.839] onia_daisuki: あくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたんあくたん
[1436.246] masak_0713: 裏方さんとかは辞めてないの？
[1436.898] gachapin_4869: 謝罪してたんだ
[1437.879] kakeru32: そしてだれもいなくなった、
[1438.534] pinoarasippp: ちばにゃんはわかった事が無い
[1439.005] ぽんジュース: チバニャン出家するの？
[1439.095] anko0705: あれ以降ピンクとは連絡とった？
[1440.180] ami_xoxo_: 真ん中の存在でいてくれてありがとー！
[1440.200] surumeika931: 俺は今度5人目の子供生まれるぞ！
[1440.367] naokidayo1: ふぉいくん名古屋で来てたセントマイケルのジャージめっちゃ欲しい
[1440.507] tadanohito1210: 配信見てきました初見です！ 僕は今中2なのですが、この前中1から好きだった女の子に告白したら「ごめん、友達でいたい」と言われ振られましたそこから付き合えると思いますか？？
[1440.569] (S)hire218: ラジオのゲストってインフルエンサー多いけど配信者も呼んで欲しい
[1441.251] (S)アイソンキャリー: 銀太の野球どうだった？？
[1442.321] kentaro12013: ふぉい頑張って
[1442.978] r1ntaso: あれ何か悪いのか?
[1443.019] jpkengo012342000: ちばにゃんは仲裁
[1443.112] かじゅぴだよん: お前ら仲悪すぎだろ
[1443.545] takesi37564: ちばにゃんw
[1444.898] hojoh_jp_114: BleedPurpleHD
[1445.391] gachapin_4869: ボヤってたんだ
[1445.432] nuuuum_: 振られたやつ無理だよ
[1445.486] NELO1357: チバニャンさん悟り開いた人みたいになってませんか？
[1445.774] (S)みい_0615: ちば配信で謝ってたよ
[1446.145] tomosaboten: だいぶくらってた
[1446.384] バジル12: ボヤニャン
[1446.887] penguini_812: 悟り開いてる
[1446.929] ぱんふぁい: 仏教だってよ
[1447.050] 8036_: 沖縄は競技行ったらwo0tみたいに世界行けるかもしれないぞ
[1447.134] risukamo: チバニャンは仏門にむかってる
[1447.355] motiduki06: ぼやしたの？
[1447.780] strap1631: ちばは仏
[1447.949] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位
[1447.993] ux_xu_dj: 銀太野球クビになってたねwwwww
[1449.166] daisuke_1105: ピンク大丈夫か？？
[1449.524] nanohana20: 言葉が足りなかったんだろうな
[1450.066] 34tsuru: ちゃんと自分で火消しした
[1450.220] ちぴろん88: チバニャン時々病むよね。
[1450.273] sayuhaoyutoyomu: 確定申告知らんかったふぉいが1.5億稼ぐとか将来希望持てるぜ
[1450.288] aka_murasaki_luckywanco: ボヤwwww
[1451.255] ふぉいのアゴヒゲ: 警察沙汰の騒動何があったのー
[1452.091] rain_on_friday: チバニャンはすぐ対応したから
[1452.230] hotiemon: ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位ヒロックTikTok Live日間一位fh
[1453.293] runatic_m: 今日髪の毛セットしてます？
[1453.502] tomo0286: チバニャンお釈迦様のこと言うてたねw
[1454.152] frenki_art: Что за чувырла сидит в углу?
[1454.365] millix01: まる銀太とふぉいはまだ仲良いの？
[1454.790] (S)kerokerokurop: ありがとう、ごめんなさいができればいいって…死んだ婆ちゃんがいってた…
[1455.564] 7_premium: マル最近あった？
[1455.900] イルカ89: 未成年だけど、ふぉいくんが美味そうに酒飲んでるので俺も酒飲みたいと思います
[1456.010] (S)1007yokko: ぼやにゃんw
[1456.237] (S)aki444444: 全然見れてないから何もわからないごめん 笑笑
[1456.895] hndagmaes64: マウンテンデューとドクペで迷ってます。
[1457.382] anko0705: ピンクがピンクじゃ無くなったよね
[1458.068] (S)2017eve2: ｗｗｗ
[1458.381] knaton_5: 仏の道へと進むのか
[1458.678] yuco_923: ぼやにゃんやめてw
[1458.828] yurintarou: まるはいまだによく燃えてるもんな
[1458.996] らーいーむ: ふぉおおおおおおいいいいい
