[11.762] (S)~MISSING_COMMENTER_INFO~: ｷﾀ━(ﾟ∀ﾟ)━!
[8654.320] ぴ組員: ことよろ
[8654.396] 湊ソラ: まだあけおめなんかい
[8654.876] (S)khr245: akeome
[8654.977] ~MISSING_COMMENTER_INFO~: あけおめ
[8655.066] (S)hukuhukuneko: おけ
[8655.574] (S)りるちぃ: radaoOtu2
[8655.582] (S)amichan711: あけおめ
[8655.631] ayunosioyaki0223: radaoOtu2
[8655.718] (S)reiki_1220: radaoOtu2
[8655.799] nqta_coconut: radaoOtu2
[8655.833] (S)kuroshituzi: radaoOtu2
[8655.856] さつまいもおいしい: radaoOtu2
[8655.902] (S)hoshi_54: radaoOtu2
[8655.928] (S)ame__x_xq: radaoOtu2
[8656.022] (S)Rimon_sky: あけおめ
[8656.077] (S)suzunone_: あけおめ
[8656.242] _まいまいちゃ: radaoOtu2
[8656.246] (S)トモモチ: また年明けた
[8656.657] (S)スパチ: akeome
[8656.761] (S)ren_0107001: あけおめ
[8656.816] (S)ゆう1151: radaoOtu2
[8656.891] (S)abara_129: あけおめ
[8656.911] タクトン: radaoOtu2
[8657.032] (S)かんでら: radaoOtu2
[8657.115] 霞ちゃん: radaoOtu2
[8657.262] ばにら0115: 21字
[8657.264] sakiika0w0: radaoOtu2
[8657.563] karokaro23: radaoOtu2
[8657.570] (S)potima03: あけおめー
[8657.583] kon0703: ことよろ〜
[8657.621] mizn0_0: おけ
[8657.678] (S)rarannge: あけおめ
[8657.707] (S)むぎ丸: あけおめー
[8657.787] ゆずシフォン: あけおめ
[8657.898] くるくく: あけおめー
[8658.051] konduki02: radaoOtu2
[8658.757] きのお: radaoOtu2
[8659.084] rin12027: radaoOtu2
[8660.376] (S)komamuro: radaoOtu2
[8660.408] (S)pomhono: radaoOtu2
[8660.956] (S)kokonattu334: radaoOtu2
[8660.995] (S)usakanono1030: radaoOtu2
[8661.178] sakiika0w0: radaoGJ
[8661.575] (S)7daruno: radaoOtu2
[8661.781] kocco03: radaoOtu2
[8661.797] (S)らいちょむ: radaoOtu2
[8661.801] (S)ぷぷり: radaoOtu2
[8662.467] (S)ウルトラ戦士: radaoOtu2
[8662.612] (S)Taaai2626: radaoOtu2
[8662.757] (S)kururusannano: radaoOtu2
[8662.840] 1しずく1: radaoOtu2
[8662.854] (S)ささみみさん: radaoOtu2
[8663.141] (S)いぶちゃんぶ: radaoOtu2
[8663.261] ko_do_1123: radaoOtu2
[8663.375] (S)しんどい凛音: radaoOtu2
[8663.376] (S)たゆう_はね: radaoOtu2
[8663.499] (S)fukun_3651: radaoOtu2
[8663.993] (S)xy_08: radaoOtu2
[8664.086] ﾏﾙﾏﾙ: radaoOtu2
[8664.103] ﾅﾏﾁｬ: radaoOtu2
[8664.108] あるみ屋: radaoW
[8664.164] (S)るいい: radaoOtu2
[8664.179] (S)ぱわ一: radaoOtu2
[8664.228] kanthia_: MingLee
[8664.432] (S)okara25: radaoOtu2
[8664.438] (S)おはおはお: radaoKansya
[8664.526] (S)yuuuu87: radaoOtu2
[8664.550] (S)ranman_chan: radaoOtu2
[8664.642] 아카리_あーたん: radaoOtu2
[8664.754] 鯖の味噌煮焼き: radaoOtu2
[8664.963] (S)k0ku3: radaoOtu2
[8664.971] (S)赤人: radaoOtu2
[8665.053] Orufe_0: radaoOtu2
[8665.101] mathneko29: radaoOtu2
[8665.145] someppp: radaoToire
[8665.218] (S)ラウド25: radaoOtu2
[8665.227] yu__0316: radaoOtu2
[8665.239] (S)ただのもち3321: radaoOtu2
[8665.243] kaerunomoto: radaoOtu2
[8665.254] (S)fukut403: radaoOtu2
[8665.289] aira_rrr: radaoOtu2
[8665.306] (S)yashinawaretai_syatiku: radaoOtu2
[8665.309] (S)harumaki0925: radaoOtu2
[8665.346] (S)ren_0107001: radaoOtu2
[8665.745] yumichi0724: radaoOtu2
[8665.782] にゃご崎: radaoOtaku
[8665.816] (S)さわタイ焼き: radaoOtu2
[8665.846] (S)ぁちゃも: radaoOtu2
[8665.888] (S)otooto_: radaoOtu2
[8665.934] (S)ni_ha218: radaoOtu2
[8667.165] ra1two: radaoOtu2
[8667.231] (S)enemyacc: radaoOtu2
[8667.335] (S)yunyun7171: radaoOtu2
[8667.339] (S)kuro_kuro03: radaoOtu2
[8667.413] (S)potepote380: radaoOtu2
[8667.421] ぴぐみぃ: radaoOtu2
[8667.454] ちゃわん蒸: radaoOtu2
[8667.498] (S)SakuraSieru: radaoOtu2
[8667.535] (S)hukuhukuneko: radaoOtu2
[8667.663] (S)akaigori: radaoOtu2
[8667.866] (S)鴨柚1945: radaoOtu2
[8668.008] (S)月山シエスタ: radaoOtu2
[8668.079] (S)猫山えーこ: radaoOtu2
[8668.216] しめざめ: radaoOtu2
[8668.417] kira_011: radaoOtu2
[8668.567] salted_Wani: radaoOtu2
[8668.646] sqchq_n55: radaoOtu2
[8668.809] (S)ユゥリー: radaoOtu2
[8668.873] (S)依田三雲: radaoOtu2
[8668.914] 紗弥0926: radaoPikon
[8669.103] (S)kazu_1453: radaoOtu2
[8669.310] まだら25: radaoOtu2
[8669.335] (S)あんちょび_: radaoOtu2
[8669.372] (S)y_tako20: radaoOtu2
[8669.528] (S)コータ_: radaoOtu2
[8669.597] isoyan6921: radaoOtu2
[8669.602] (S)こーちゃんだよ: radaoOtu2
[8670.110] キアラ3: radaoOtu2
[8670.231] kurageru: radaoOtu2
[8670.253] (S)petrichorjp: radaoKomaku
[8670.383] (S)hime_25253: radaoOtu2
[8670.412] ﾊｸﾁｮｳ: radaoOtu2
[8670.445] (S)夏吉: radaoOtu2
[8670.455] (S)きなこ117: radaoOtu2
[8670.472] mira_o: radaoOtu2
[8670.479] 北宮エクストリーム: radaoOtu2
[8670.526] (S)tsubakiiiii0113: radaoOtu2
[8670.553] ゆずシフォン: radaoOtu2
[8670.568] (S)うずらの玉子: radaoOtu2
[8670.746] (S)わいる_921: radaoOtu2
[8670.805] (S)shiroro25g: radaoOtu2
[8670.823] ir0hani: radaoOtu2
[8670.900] (S)mashumarohoi: radaoOtu2
[8670.958] (S)toura_me: radaoOtu2
[8671.019] とりぃまる: radaoOtu2
[8671.028] からたべ: radaoOtu2
[8671.082] (S)jinnosakura: radaoOtu2
[8671.226] rui_sk39: radaoOtu2
[8671.268] (S)yu25imo: radaoOtu2
[8671.673] (S)nemohila007: radaoOtu2
[8671.831] つむじのきもち: radaoOtu2
[8672.210] (S)そら_1907: radaoOtu2
[8672.259] sarana222: radaoLimit
[8672.278] yoneto_: radaoOtu2
[8672.403] (S)shicimi7: radaoOtu2
[8672.634] (S)remuril: radaoOtu2
[8672.658] (S)unshu23: radaoOtu2
[8672.676] (S)ayashi_aaa: radaoOtu2
[8672.720] (S)dreamtake: radaoOtu2
[8672.920] 66はなぶさ: radaoOtu2
[8673.369] (S)しあんねこ: radaoOtu2
[8673.468] (S)spurrrri: radaoOtu2
[8673.639] わるた: radaoOtu2
[8673.662] (S)ちなこぽっぷ: radaoOtu2
[8673.722] (S)うさきのこ: radaoOtu2
[8673.943] (S)ネコミミカラス: radaoOtaku
[8674.007] 瀬文: radaoOtu2
[8674.143] (S)huuyu_Hy: radaoOtu2
[8674.188] (S)soy_nuts_: radaoOtu2
[8674.307] (S)halcloud: radaoOtu2
[8674.410] (S)ねこねこお嬢: radaoGJ
[8675.136] (S)saraniron: radaoOtu2
[8675.434] (S)chamchampon: radaoOtu2
[8676.078] (S)SOKA_HARU35: radaoOtu2
[8676.312] (S)decoponno: radaoOtu2
[8676.824] 惰性さん: radaoOtu2
[8676.889] (S)gyaryi: radaoToire
[8677.129] (S)しーーーーか: radaoOtu2
[8677.259] (S)cokeraita: radaoOtu2
[8677.377] yu__0316: radaoMute
[8677.904] (S)ぽみすけ: radaoOtu2
[8678.060] (S)roni_0624: radaoOtu2
[8678.125] なんでもいい: radaoOtu2
[8678.132] rinka59: radaoOtu2
[8678.135] くるくく: radaoOtu2
[8678.892] mononobe822: radaoOtu2
[8679.016] ゆき_りな: radaoOtu2
[8679.278] (S)ウルトラ戦士: radaoGJ
[8679.285] _りばいあ_: radaoOtu2
[8679.502] (S)tsfv6: radaoRainbow
[8679.730] (S)らとぉぉ: radaoOtu2
[8680.296] (S)sakura51867: radaoOtu2
[8680.488] (S)ずーーーーみん: radaoOtu2
[8680.529] (S)しゃしゃも_: radaoOtu2
[8680.595] (S)seiasama: radaoOtu2
[8680.716] nekodama2155: radaoOtu2
[8680.788] (S)akaringo424: radaoOtu2
[8680.848] (S)めだかちゃん: radaoOtu2
[8681.081] (S)ゆう1151: radaoOtaku
[8681.626] (S)みやた23: radaoOtu2
[8681.862] nonsugar017: radaoOtu2
[8682.092] ﾊｲﾌﾝ: radaoOtu2
[8682.123] (S)LNChocolatte: radaoOtu2
[8682.665] (S)suzunone_: radaoOtu2
[8682.830] (S)maruyan23: radaoOtu2
[8682.930] (S)asakura832: radaoOtu2
[8682.948] (S)開かないごま: radaoOtu2
[8683.049] しらたまたらし: radaoOtu2
[8683.359] (S)とろネギ: radaoOtu2
[8683.663] メイラス: radaoOtu2
[8683.665] (S)さくぅぅぅぅ: radaoOtu2
[8684.065] (S)kobato1130: radaoOtu2
[8684.641] (S)wind_lv0: radaoOtu2
[8685.161] (S)guri_meu: DinoDance
[8685.398] (S)なぁもち: radaoOtu2
[8686.286] (S)くも0925: radaoOtu2
[8686.341] ｱｵｲﾊﾙ: radaoOtu2
[8686.421] ayunosioyaki0223: radaoOtu2
[8686.452] (S)suntesoo: radaoOtu2
[8687.201] (S)てっちゃん115222: radaoOtu2
[8687.223] (S)hamunokesin: radaoOtu2
[8687.731] (S)志岐_月影: radaoOtu2
[8688.018] イカスミてんぷら: radaoOtu2
[8688.280] (S)zero0724sw: radaoOtu2
[8688.426] 壱代目: radaoOtu2
[8689.049] (S)potima03: radaoKitya
[8689.139] ゆずシフォン: radaoMute
[8689.177] kanna0730: radaoOtu2
[8689.254] (S)ネコミミカラス: radaoRainbow
[8689.266] (S)tya22maru: radaoOtu2
[8689.358] (S)ぽてち3: radaoOtu2
[8690.212] (S)sui_1103: radaoOtu2
[8690.407] (S)kusike_888: radaoOtu2
[8690.611] (S)yuzu_koko: radaoOtu2
[8691.502] (S)kokone0927: radaoOtu2
[8691.753] (S)ゆっぴさん: radaoOtu2
[8694.297] yu__0316: radaoOtaku
[8694.826] piroropiro: radaoOtu2
[8694.925] (S)くぅが00: radaoOtu2
[8695.652] (S)hime_25253: radaoRainbow
[8695.726] (S)리_히: radaoOtu2
[8695.951] cafe_mokcha: radaoOtu2
[8696.085] nryu1220: radaoOtu2
[8696.545] romu115: radaoOtu2
[8696.820] (S)甘酒大好き: DinoDance
[8697.038] ぎむきょういくろせ: radaoOtu2
[8697.558] (S)みかん_まる: radaoOtu2
[8698.035] _りばいあ_: radaoKitya
[8699.105] (S)rian_1103: radaoOtu2
[8699.245] Takeko_da: radaoOtu2
[8699.309] (S)あると_08: radaoOtu2
[8699.353] (S)alt123h: radaoBanzai
[8699.857] (S)enemyacc: radaoRainbow
[8700.536] (S)Bey0803: radaoOtu2
[8701.209] ねるいさん: radaoOtu2
[8701.246] sunomono8: radaoRainbow
[8701.500] n_0809: radaoOtu2
[8702.365] (S)koko55557373: radaoOtu2
[8705.165] (S)だんぼーーーーる: radaoOtu2
[8705.287] (S)志岐_月影: radaoRainbow
[8706.331] (S)ももあられ: radaoOtu2
[8706.384] (S)capricorn0001: radaoOtu2
[8706.471] (S)shiba_maru3: radaoKansya
[8706.693] れもんちぃ0: radaoOtu2
[8707.725] (S)くず餅ころりん: radaoRainbow
[8708.394] (S)vivi_i55: radaoOtu2
[8708.658] (S)kaito_1996: radaoOtu2
[8708.686] niina0127: radaoRainbow
[8709.048] (S)りりーそぐ: radaoRainbow
[8709.429] (S)toaru1023: radaoOtu2
[8711.632] (S)akaringo424: radaoRainbow
[8711.927] ばにら0115: radaoRainbow
[8712.611] (S)むぎ丸: radaoRainbow
[8713.363] umitakekun: radaoRainbow
[8715.561] nattttttumi: radaoRainbow
[8715.891] さんま缶: radaoRainbow
[8717.349] (S)ボンゴレパスタ: radaoOtaku
[8718.594] ばにら0115: radaoRainbow
[8718.730] amanooomikami: radaoRainbow
[8719.020] (S)しゃしゃも_: radaoRainbow
[8719.534] (S)うみやま: radaoRainbow
[8720.370] (S)てまり0010: radaoRainbow
[8720.879] (S)らいちょむ: radaoRainbow
[8721.747] (S)みそてん: radaoOtaku
[8722.258] (S)月神雪兎: radaoRainbow
[8725.660] (S)シンノノ: radaoRainbow
[8726.257] (S)りるちぃ: radaoRainbow
[8726.657] (S)vivi_i55: radaoRainbow
[8728.212] (S)hirobiiiin: radaoRainbow
[8729.185] ゆきリン: radaoRainbow
[8730.382] an_do121: radaoRainbow
[8731.348] (S)ソイラテ: radaoRainbow
[8731.579] (S)koudayooo04: radaoRainbow
[8732.764] ばにら0115: radaoRainbow
[8733.238] あるみ屋: DinoDance
[8733.395] (S)かむーあ: radaoRainbow
[8733.476] (S)a_onemu: radaoRainbow
[8735.953] (S)みそてん: radaoRainbow
[8736.180] (S)unshu23: radaoRainbow
[8737.365] (S)chisapons: radaoRainbow
[8738.158] しああき: radaoRainbow
[8738.465] (S)toa_sky: radaoOtaku
[8738.584] ばにら0115: radaoRainbow
[8738.854] (S)suzunone_: radaoRainbow
[8739.697] zakry_39: radaoRainbow
[8740.897] (S)akaringo424: radaoRainbow
[8740.954] ちびまるちゃん: radaoRainbow
[8741.015] (S)halu0622: radaoRainbow
[8741.040] (S)そら_1907: radaoRainbow
[8741.966] (S)potepote380: radaoRainbow
[8742.137] (S)toa_sky: radaoRainbow
[8742.146] (S)わいる_921: radaoRainbow
[8742.921] itonemushi: gutituNe
[8743.378] (S)ぎんしゅ: radaoRainbow
[8743.470] yukimochi08: radaoRainbow
[8743.731] (S)ボンゴレパスタ: radaoRainbow
[8744.051] (S)ゆう1151: radaoRainbow
[8744.380] _りばいあ_: radaoRainbow
[8744.402] (S)赤人: radaoRainbow
[8745.379] minippu_haima: radaoRainbow
[8746.444] (S)potima03: radaoOtaku
[8746.559] るんぱっぱ12: radaoRainbow
[8749.644] (S)zero0724sw: radaoRainbow
[8749.698] (S)しずく0624: radaoRainbow
[8750.625] domesuke: radaoRainbow
[8754.672] (S)reiki_1220: radaoRainbow
[8755.715] toch15me: radaoRainbow
[8762.501] スパーズ: radaoRainbow
[8762.834] itoyu_62: radaoRainbow
[8763.130] kazmaru427: radaoOtaku
[8763.784] (S)unshu23: radaoRainbow
[8764.006] 壱代目: radaoRainbow
[8764.237] itonemushi: itonemushi subscribed at Tier 1. They've subscribed for 40 months! w
[8765.287] with4159: radaoRainbow
[8765.312] (S)みみみみっ: radaoRainbow
[8768.355] (S)Soudako___: radaoRainbow
[8771.702] (S)お化け堂: radaoRainbow
[8772.114] (S)tabasukomothi: radaoRainbow
[8772.389] ばにら0115: radaoRainbow
[8774.324] (S)白鈴シエル: radaoRainbow
[8774.391] (S)kasutera313: radaoRainbow
[8776.151] (S)shibakan0104: radaoRainbow
[8777.175] (S)こんにゃ: radaoRainbow
[8777.622] (S)あかに: radaoRainbow
[8780.515] kazmaru427: radaoRainbow
[8781.126] (S)sui_638: radaoRainbow
[8781.889] ばにら0115: radaoRainbow
[8782.066] (S)unshu23: radaoRainbow
[8783.029] (S)チョコチョコミント: radaoRainbow
[8784.291] nack_ch: radaoRainbow
[8784.782] (S)てっちゃん115222: radaoRainbow
[8788.454] takane0589: radaoRainbow
[8790.008] (S)ふくうう: radaoRainbow
[8792.120] れなぽんぽん: radaoRainbow
[8794.528] (S)あいほぷ: radaoRainbow
[8794.662] (S)なの汰: radaoRainbow
[8795.010] (S)kar0726: radaoRainbow
[8796.100] (S)ささみんた: radaoRainbow
[8798.179] (S)スズメ_0610: radaoRainbow
[8798.554] (S)いつは_: radaoRainbow
[8800.364] darkmoca331: radaoRainbow
[8800.566] (S)yuzu_koko: radaoRainbow
[8804.458] (S)いぶちゃんぶ: radaoRainbow
[8804.920] ヒトデ森: radaoRainbow
[8806.409] (S)kuraponn: radaoRainbow
[8807.119] (S)rinapi_pi: radaoRainbow
[8807.143] panno_mimi: radaoRainbow
[8807.494] ttikuwa_313: ttikuwa_313 subscribed with Prime. They've subscribed for 22 months! 
[8809.503] (S)seiasama: radaoRainbow
[8811.993] ばにら0115: radaoRainbow
[8814.048] (S)nemesia0219: radaoRainbow
[8816.496] (S)l0v3pedro: radaoRainbow
[8816.753] (S)ぺーさんだ: radaoRainbow
[8817.519] ねこすず: radaoRainbow
[8818.064] (S)fukut403: DinoDance
[8820.344] (S)team18rin: radaoRainbow
[8822.122] (S)spurrrri: radaoRainbow
[8826.005] (S)らいちょむ: radaoOtaku
[8827.951] (S)ラウド25: radaoRainbow
[8831.719] (S)rukan_x3: radaoMute
[8831.932] ばにら0115: radaoOtaku
[8834.624] (S)unshu23: radaoRainbow
[8836.801] (S)ryahoo0221: radaoRainbow
[8838.654] nack_ch: radaoRainbow
[8840.528] (S)ぺーさんだ: radaoRainbow
[8841.017] (S)ウルトラ戦士: radaoRainbow
[8841.495] (S)あっひょ: radaoRainbow
[8842.666] (S)suzunone_: radaoOtaku
[8847.575] domesuke: radaoRainbow
[8849.473] ばにら0115: radaoOtaku
[8851.120] (S)unshu23: radaoOtaku
[8852.518] ばにら0115: radaoOtaku
[8853.527] ばにら0115: radaoOtaku
[8854.764] dhisan_ino: radaoRainbow
[8860.778] (S)omuricemogumogu: radaoOtaku
[8864.144] yo1tei: radaoRainbow
[8870.291] (S)suzuyachloe: radaoRainbow
[8872.033] ばにら0115: radaoOtaku
[8874.740] nack_ch: radaoOtaku
[8875.227] (S)haniiiiii_: radaoOtaku
[8877.512] (S)mahorunn: radaoRainbow
[8878.958] なりぷし: radaoOtaku
[8879.664] (S)れまたっぴ: radaoOtaku
[8880.293] 千石要: radaoFight
[8883.277] (S)猫ミントン: radaoOtaku
[8883.452] ばにら0115: radaoOtaku
[8883.676] (S)ちびちゃんん: radaoRainbow
[8885.978] ばにら0115: radaoOtaku
[8887.604] (S)すわ0622: radaoOtaku
[8888.628] けむバード: けむバード subscribed at Tier 1. They've subscribed for 18 months! 
[8889.741] わさびじる: radaoRainbow
[8891.629] (S)猫ミントン: radaoHi
[8891.689] (S)鴨柚1945: DinoDance
[8892.390] clavis0222: radaoHi
[8892.705] (S)halcloud: radaoOtaku
[8894.117] (S)sanae_1109: radaoOtaku
[8897.894] ばにら0115: radaoOtaku
[8898.912] (S)kako_kyu: radaoOtaku
[8899.373] (S)mahorunn: radaoRainbow
[8899.417] なりぷし: radaoOtaku
[8904.375] (S)momonokko: radaoOtaku
[8907.505] (S)しろとらららら: radaoRainbow
[8913.392] evolblackhole555: radaoOtaku
[8916.440] (S)シンノノ: radaoOtaku
[8919.100] (S)baceneKo: DinoDance
[8923.207] (S)わいる_921: radaoOtaku
[8925.000] ばにら0115: radaoOtaku
[8927.526] なんでもいい: radaoOtaku
[8927.600] ばにら0115: radaoOtaku
[8931.355] (M)Nightbot: サブスクライブはこちら https://www.twitch.tv/products/raderaderader/ticket Primeの方は無料でスポンサー登録ができます→  https://twitch.amazon.com/prime
[8932.082] (S)kidrada: radaoOtaku
[8936.206] (S)yukimura_22: radaoOtaku
[8938.154] (S)iruneko: radaoOtaku
[8940.338] なりぷし: radaoOtaku
[8945.415] セレちゃ: radaoOtaku
[8945.749] (S)kuro_kuro03: radaoOtaku
[8949.587] kurageru: radaoRainbow
[8954.203] (S)re_rito: radaoOtaku
[8955.218] (S)syungiku_0209: radaoOtaku
[8955.946] (S)baceneKo: radaoOtaku
[8956.500] (S)narurin0927: radaoOtaku
[8957.396] kurageru: DinoDance
[8966.282] Fulfills: radaoRainbow
[8967.264] ムラさん: radaoOtaku
[8982.726] (S)care_tyan: radaoRainbow
[8983.969] (S)yuuuu87: radaoOtaku
[8990.058] (S)しーーーーか: radaoOtaku
[8990.905] (S)ドラ吉: radaoOtaku
[8991.579] (S)devi_day: radaoHi
[8991.829] m_taku: radaoRainbow
[8993.398] (S)mahorunn: GoatEmotey
[8994.074] (S)ラウド25: radaoOtaku
[8995.669] (S)食べかけたみかん: radaoOtaku
[8998.119] あいさわ2525: radaoOtaku
[8999.657] m_taku: radaoOtaku
[8999.861] なりぷし: radaoOtaku
[9005.993] (S)ただのもち3321: radaoBanzai
[9008.402] (S)inosisi1004: radaoOtaku
[9012.052] (S)wind_lv0: radaoRainbow
[9012.999] (S)sentouryoku3: radaoBanzai
[9015.100] (S)スコーンをすこーん: radaoOtaku
[9016.517] なりぷし: radaoOtaku
[9017.801] (S)おはおはお: radaoOtaku
[9021.228] gawrib: radaoOtaku
[9035.163] (S)shiro_buuu: radaoOtaku
[9036.334] (S)dreamtake: radaoOtaku
[9042.365] nassan46: radaoOtaku
[9047.206] 雪だるま_0: radaoOtaku
[9055.472] あいさわ2525: radaoOtaku
[9057.764] れなぽんぽん: radaoOtaku
[9057.793] (S)黒いぬこ: radaoOtaku
[9058.058] (S)asakura832: radaoOtaku
[9068.317] (S)ｻﾄｱ: radaoOtaku
[9074.995] (S)かにかま8: radaoOtaku
[9075.800] (S)halu0622: radaoOtaku
[9080.889] ささにとら: radaoOtaku
[9082.311] (S)ranman_chan: radaoOtaku
[9085.662] minippu_haima: radaoOtaku
[9085.968] (S)agekk0: PizzaTime
[9087.719] (S)うぷしろ: radaoOtaku
[9089.432] (S)ぴピよ: radaoOtaku
[9102.704] ていとかい: radaoOtaku
[9116.710] なりぷし: radaoOtaku
[9120.737] (S)コータ_: radaoOtaku
[9120.893] (S)ｱﾘｻ: radaoOtaku
[9122.984] (S)おゆまるまる: radaoOtaku
[9132.740] ahopontan_: radaoOtaku
[9136.517] (S)reiki_1220: radaoOtaku
[9137.582] (S)enemyacc: radaoOtaku
[9138.521] ゆずシフォン: radaoOtaku
[9138.971] 唐辛子ガール: radaoOtaku
[9139.827] (S)伊丙カオル: radaoOtaku
[9140.068] gawrib: radaoEhehe
[9140.692] (S)aaaaaaayaaaa: radaoOtaku
[9146.727] なりぷし: radaoOtaku
[9147.119] many7575: radaoBanzai
[9149.013] (S)halcloud: radaoOtaku
[9152.665] (S)_つちのこ_: radaoOtaku
[9156.053] (S)agekk0: radaoOtaku
[9157.754] 雨傘ライ: radaoOtaku
[9158.068] omochiYZkDX: radaoOtaku
[9161.447] 羽心_: radaoOtaku
[9161.912] (S)kaito_1996: radaoOtaku
[9163.813] m_taku: radaoRainbow
[9163.956] Number7298: radaoOtaku
[9166.843] (S)かやふー: radaoOtaku
[9169.992] (S)agekk0: radaoOtaku
[9170.125] Yakishio_1219: radaoOtaku
[9174.988] (S)sponjapan: radaoRainbow
[9176.816] domesuke: radaoBikkuri
[9178.124] (S)aaaaaaayaaaa: aaaaaaayaaaa subscribed at Tier 1. They've subscribed for 5 months, currently on a 4 month streak! 
[9183.239] あいさわ2525: radaoRainbow
[9184.414] (S)yuzuha__0: radaoOtaku
[9185.077] Takeko_da: radaoOtaku
[9190.205] (S)yuzuha__0: radaoRainbow
[9190.642] (S)だんぼーーーーる: radaoOtaku
[9191.171] itigo_noko: 明日も頑張ろうと思えます！ありがとうございます！！これからもがんばってください！！
[9193.739] (S)mizu_dayo3: radaoOtaku
[9196.574] (S)agekk0: radaoOtaku
[9197.975] (S)いつは_: radaoOtaku
[9201.025] なりぷし: radaoOtaku
[9202.880] (S)Airmoka: radaoOtaku
[9203.696] (S)haru29131070265: radaoOtaku
[9204.933] (S)dreamtake: radaoOtaku
[9206.570] (S)らら茶: radaoOtaku
[9207.101] (S)gakkun09: radaoH
[9207.679] (S)龍縁路蓮: radaoOtaku
[9207.898] _りばいあ_: radaoOtaku
[9209.274] (S)tabasukomothi: radaoOtaku
[9210.206] (S)agekk0: radaoRainbow
[9212.337] (S)sunege_ff14: radaoOtaku
[9214.106] Yakishio_1219: radaoOtaku
[9214.782] (S)enemyacc: radaoOtaku
[9216.441] chashibu_310: radaoRainbow
[9217.129] ゆずシフォン: radaoOtaku
[9217.952] yoru4095: radaoLimit
[9218.566] 猫の髭: radaoOtaku
[9220.212] cupirus: radaoOtaku
[9220.386] (S)agekk0: radaoRainbow
[9220.940] (S)ryahoo0221: radaoOtaku
[9221.641] (S)SAKu_053: radaoOtaku
[9222.826] (S)ぱわ一: DinoDance
[9227.726] (S)ささみ_1111: radaoOtaku
[9228.308] (S)sakusakurano: radaoOtaku
[9229.328] (S)甘酒大好き: radaoMute
[9234.980] (S)koge3: radaoOtaku
[9235.682] (S)mizu_dayo3: radaoRainbow
[9237.684] (S)rai_0112: rai_0112 subscribed at Tier 1. 
[9238.044] (S)sunege_ff14: radaoRainbow
[9238.476] ぐるぐるいずの: radaoOtaku
[9239.877] (S)fukut403: radaoOtaku
[9240.126] (S)potepote380: radaoOtaku
[9240.569] (S)Piki2038: radaoOtaku
[9243.008] (S)rukan_x3: radaoOtaku
[9244.197] (S)kodada85: radaoOtaku
[9244.927] (S)いつは_: radaoRainbow
[9246.458] _イオ_: radaoOtaku
[9246.698] (S)yabu2808: radaoOtaku
[9247.398] yoru4095: radaoOme
[9250.619] (S)yearpon: radaoRainbow
[9253.710] redooosannn: radaoOtaku
[9259.565] なりぷし: radaoOtaku
[9260.019] ワンタン6660: radaoOtaku
[9262.096] (S)agekk0: radaoRainbow
[9266.852] (S)yabu2808: radaoOtaku
[9267.078] でにぃ: radaoOtaku
[9267.464] edyuwar66: radaoOtaku
[9270.211] (S)siro_0810: radaoOtaku
[9274.498] (S)dxnmmmumgj: radaoOtaku
[9280.545] (S)みるく金時: radaoOtaku
[9281.302] Ichigo_Strawberry15: Ichigo_Strawberry15 subscribed with Prime. They've subscribed for 34 months! 大規模合同コラボたのしみ！！！
[9282.065] (S)baceneKo: radaoOtaku
[9285.950] あいさわ2525: radaoOtaku
[9288.508] miam_1018: radaoOtaku
[9289.639] ayunosioyaki0223: radaoOtaku
[9297.872] (S)mattsun_02: radaoOtaku
[9297.894] (S)yui1yui: radaoOtaku
[9299.529] ばにら0115: radaoOtaku
[9300.173] (S)nekonaaa: radaoOtaku
[9301.687] ギンヤンマ: radaoHi
[9306.505] (S)ウルトラ戦士: radaoOtaku
[9308.919] (S)やなちゃそ: radaoOtaku
[9311.610] (S)ojishimo: radaoOtaku
[9312.911] (S)funny_onikun: radaoOtaku
[9313.244] (S)aibo2222: radaoOtaku
[9317.930] (S)こゆび_: radaoOtaku
[9323.188] (S)omizugokugoku3: radaoHi
[9324.226] (S)suzunone_: radaoOtaku
[9326.188] (S)yuuu0525: yuuu0525 subscribed at Tier 1. 
[9326.447] (S)sabumikaru: radaoOtaku
[9328.103] (S)re_rito: radaoOtaku
[9330.940] (S)fukun_3651: radaoBanzai
[9332.325] (S)しらたきしらす: radaoOtaku
[9332.467] (S)enemyacc: radaoOtaku
[9335.625] yo1tei: radaoOtaku
[9335.844] ムラさん: radaoRainbow
[9337.515] ko_do_1123: radaoOtaku
[9337.790] (M)kaname17ksb: !member
[9337.909] (M)Nightbot: [solo]
[9338.418] lycoris8: radaoOtaku
[9339.710] (S)syungiku_0209: radaoOtaku
[9341.864] (M)kaname17ksb: !commands edit !member [w/ ぺいんと 不破湊 神成きゅぴ 絲依とい 獅子堂あかり ふらんしすこ ぐちつぼ ローレン･イロアス 黒炭酸 / アキ･ローゼンタール エクス･アルビオ 白雪レイド 日ノ隈らん 渋谷ハル ととみっくす Mother3 赤髪のとも 秋雪こはく 猫汰つな]
[9342.065] (M)Nightbot: @kaname17ksb -> The command "!member" has been updated successfully.
[9342.675] (S)pochama120: radaoOtaku
[9343.960] gawrib: MercyWing1
[9344.034] (S)usakanono1030: radaoOtaku
[9344.053] (S)ウルトラ戦士: radaoOtaku
[9344.776] (S)るでぃにあ: radaoOtaku
