[10.418] rioniku1515: うおおおおおおお
[1182.269] mitora2916: 悪くないと思うけどねー
[1182.334] みりむ_423: あんまりいなかった
[1182.487] dokukinoco: シア
[1182.849] jmpta: ほぼゼロだよ
[1182.993] mizuri_____: わこらだ〜
[1183.846] (S)nibosichan_0403: へー
[1184.409] tadanohituzi: radaoHi
[1184.625] toremoro_san: へー
[1184.830] しゃろっく: シアえぐい
[1185.405] (S)ねこれ: わこらだ 
[1185.662] (S)~MISSING_COMMENTER_INFO~: 栗原さんくらい？
[1186.415] pandanomousigo: 珍しい
[1186.812] md_spr: 少ないね
[1187.088] えりさ_: シアやない？
[1187.560] an_do121: バンガ多いよね
[1187.727] そおお: やっぱまどマギやろ
[1188.036] seeker_41528: バンガだね
[1188.513] ayame_oxo: ジブいないね全く
[1189.169] mirumiru_h: へー
[1189.262] (S)samehurai1028: バンガのイメージ
[1189.479] jhonnymorimori: バンガがメタ
[1189.701] ayunosioyaki0223: え
[1189.930] marion205_: ほぼ絶滅だったね
[1190.577] tukky1208: バンガかあ
[1190.827] (S)にわすずめ: バンガ…
[1192.085] (S)sora_mameee: へー
[1193.106] ばじぇぶらいと: シアおらんときつい
[1193.499] drem_chan: ばんが！
[1193.720] Gomichandovuti: 世界はヴァルクリワト多いよ
[1193.733] つらりれ: へー
[1193.746] こらか: ちーきーいるからなぁ
[1194.218] ruu_ha: バンガなんだ
[1195.523] kchan_o0917: シアワトクリみた
[1195.626] kuroe_0425: PAD対策だね
[1196.570] mizusakura0326: へー
[1197.084] (S)AoironoMalco: えぺまつりほぼバンガロールだった
[1197.190] sjindoa: そーなんだ
[1197.283] ayame_oxo: シアバンガやね
[1198.362] tora25_22: はえー
[1198.583] an_do121: Pad対策
[1198.880] h4kto_: えぺまつりでもバンガ使ってた人多かった
[1199.305] cuekeeey: PAdですらバンガを使う時代
[1199.992] kusatao_pokky2525: へー
[1200.307] nattu__: Pad対策ね
[1200.734] aoringo252: padのエイムアシストを消せる
[1201.329] バザァァァド: モクの時代?
[1201.448] (S)mrgrtpsr: たしかに
[1201.642] あらんえむかーびぃ: モク
[1201.886] むろ_: バンガなんだ
[1202.315] (S)ウツル: へー
[1202.821] (S)にょまれ: PADのアシスト打ち消せるんだっけ
[1203.395] tiger_bay: あぺくらいな
[1203.645] 和泉ぴけ: その人が強くないと弱い
[1204.305] seeker_41528: クリプトもちょいちょいぐらい？
[1204.379] miyasan08: shiv?
[1204.433] (S)ハタ_フラッグ: ありぴがヴァル れいーどがジブ らだがガス と予想する
[1205.858] tukky1208: モク呼びさぁ
[1206.160] (S)mrgrtpsr: めっちゃ見るかも
[1206.223] (S)yam4yuu_otaku: padが強いからエイムアシスト消すため
[1206.353] md_spr: パンガはいる
[1206.897] おっくん__: それヴァロ
[1206.924] kyo_gyu: バンガはPADのエイムアシスト切れるからね
[1207.068] ruchi_13: www
[1207.120] えりさ_: ん？
[1207.667] mo_coa: え？
[1207.863] (S)izayoi_77: バンがはpad対策やね
[1208.202] Mac1919: pad対策
[1208.477] sjindoa: wwwwwwwwww
[1210.666] ねぎカレー: ん 
[1210.932] nobuhiro0517: ？
[1211.007] ~MISSING_COMMENTER_INFO~: ｗｗｗ
[1211.263] charlotte0ra: wwwwww
[1211.496] bell_msvio: pad対策やね
[1211.503] (S)にわすずめ: wwwwwwww
[1211.615] tugussiy: モクって言うな
[1211.726] むろ_: ん？
[1211.743] つよいこ: バンガまじみるね
[1211.775] yoichimu: wwww
[1211.839] (S)sora_mameee: ｗｗｗｗｗｗｗ
[1211.946] ヒデちょん: バンガはpadのアシスト消えるから多い
[1212.331] ruchi_13: 草
[1212.849] (S)猫の髭: wwww
[1213.082] (S)雨傘ライ: www
[1213.385] omomo67: wwwwwww
[1213.611] あしゅ228: わこらだ
[1213.804] nobume0v0: wwwww
[1213.913] ドらコアら: コントローラーの時代か
[1214.165] h4kto_: Rasさんもバンガ
[1214.379] りったん_: wwwww
[1214.455] れもんちぃ0: wwwwwww
[1214.635] (S)you_28: え？
[1214.900] アストモ: wwww
[1215.280] patorassyu_29: ここ3人キーマウだしpad潰しのバンガらめちゃあり
[1215.623] haruokkkkkkkkkkkun: www
[1215.803] aruto_33: wwwww
[1215.845] (S)リトラ: わこらだ
[1216.049] pokaburu: バンガパッド対策！デジスコプラウラーなど環境です
[1216.144] ken18790: じゃあカタリストだろ
[1216.277] えりさ_: wwwwwwwww
[1216.564] mizusakura0326: wwwwwww
[1216.802] 胡桃柚子: www
[1217.012] まだら25: www
[1217.041] (S)nibosichan_0403: www
[1217.372] nyarumaru222: PADのアシスト切るためにバンガ居る
[1217.966] jhonnymorimori: wwwwwwww
[1218.745] (S)96猫3: wwwwwwwwww
[1218.750] (S)you_28: 出来るの？
[1218.896] shi__409: wwwwwwww
[1219.260] f1209take: メタはクリプトガスローバだよ
[1219.337] dokukinoco: アストラやろか
[1219.387] むろ_: wwww
[1219.974] ペネロペ: www
[1220.727] (S)96猫3: wwwww
[1222.333] ぷにまろ: えぺまつり優勝チームヴァル シア ジブだった
[1222.744] Tqke_leo: バンガのモクとシアでモクヌキ
[1222.811] kurari_complex: エイムアシスト無効
[1223.441] toremoro_san: チーキー対策でいいんちゃう？ww
[1224.051] (S)にわすずめ: へー
[1224.640] kohaku0730: らっでぃだいすこ
[1224.942] h4kto_: モクでね
[1225.424] riajuboon: バンガは移動がしやすいらしい
[1226.853] (S)mrgrtpsr: へー
[1229.469] kohaku0730: radaoKun
[1231.121] (S)evolblackhole555: へー
[1231.774] cuekeeey: チーキーさんもPAD
[1232.512] terosi08: でもCRカップpadの人少ないからどうだろうね
[1232.820] 猫又01: あー
[1234.159] drem_chan: 別にか
[1235.426] ken18790: 今回チーキーさんいるから必須じゃね？
[1236.955] yuu_1010: たしかし
[1237.399] えりさ_: あー
[1239.460] tukky1208: チーキーいるぞ
[1241.121] yanatama: わこらだ
[1241.351] むろ_: あー
[1241.733] (S)yugappu_1031: pad対策のモクね
[1242.166] (S)izayoi_77: ちーきーくん、、
[1243.016] kano_yumeyume: チーキー対策
[1243.488] nekodama2155: チーキーさん来るぞ…
[1243.516] jhonnymorimori: 確かに
[1244.716] こんばんは1: チーキー対策？
[1245.045] nnaakkii2: でもチーキーさんおるよ
[1245.308] akaihi: チーキーとかいうバケモンおるけど
[1245.508] (S)AoironoMalco: アルファアズール対策
[1246.319] chiho_sosei: ちーきーおる
[1246.392] poteti33: チーキンいるからなぁ
[1247.291] kyo_gyu: チーキーさん対策ありだなあw
[1247.851] 猫又01: チーキーさんいるしなー
[1247.855] cuekeeey: チーキーさんどバンガ
[1248.885] あげだし丸: 使えないやつばっかり
[1249.021] (S)you_28: チーキーいるぞ
[1249.157] (S)yugappu_1031: チーキーとかいう化け物対策
[1250.084] gaiantufan: ガスもアシスト切れるっけ？
[1250.318] ibu1112: チーキー対策
[1250.337] iwassy_gg: チーキーさんいるし必須くさいな
[1251.177] kurono1022: チーキー対策
[1251.906] ruchi_13: www
[1252.449] ken18790: チーキーさん対策いるぞ
[1252.676] nyarumaru222: チーキー対策要る…
[1252.951] えりさ_: www
[1253.456] omoti1208: wwwwwww
[1253.750] typicalynoob: チーキー…
[1254.098] ayunosioyaki0223: wwwwwwm
[1254.282] (S)sora_mameee: 言わずもがな
[1254.292] kotetsu_yuzu0108: わこらだ
[1254.745] (S)AoironoMalco: アズールチーキー対策
[1254.788] miamio121: wwwwww
[1255.264] mo_coa: wwwwww
[1255.555] yakinikuu256: うるーなも今回padだしね
[1256.194] (S)わらびもち_11: wwwwwww
[1256.482] an_do121: wwww
[1256.746] mizusakura0326: wwwwwww
[1256.970] sable_15o: www
[1257.095] toyu315: wwwwwwww
[1257.210] しゃろっく: wwwwwwww
[1257.239] (S)mrgrtpsr: wwwwwwww
[1257.384] れもんちぃ0: wwwwww
[1257.856] 縮緬雑魚: いう必要なかった
[1258.157] dokukinoco: うむ
[1258.290] えりさ_: wwwwwwwww
[1258.484] uka935: radaoMidori
[1258.778] (S)ｻｧｻ: wwwwwwwwwww
[1259.777] ~MISSING_COMMENTER_INFO~: ｗｗｗ
[1259.921] ruchi_13: お前のクリプト見たことねぇ
[1260.412] miyamiya138: wwww
[1261.500] Gomichandovuti: モク外からデジスコで撃てるのが強いんよ
[1262.059] venawy: 出き無さそう
[1262.326] (S)~MISSING_COMMENTER_INFO~: チーキーエイムアシストなしでもバカ強い
[1262.860] t0zo_: らっだぁクリプト？！
[1262.898] (S)96猫3: wwwww
[1264.855] asuparaginn: w
[1264.974] (S)at_gear: レベル高いからモクあってもなくても変わらないとかいうね
[1265.551] tiger_bay: できない！ドン！
[1265.635] drem_chan: w w w w
[1266.091] vattyo1224: どん!!
[1266.768] noboriryuu0519: わこらだー
[1267.401] mitora2916: ドドン！！
[1267.988] バザァァァド: どん！
[1268.229] えりさ_: wwwwww
[1268.359] (S)silua24: シアバンガにヴァルorホラorクリ
[1268.364] pokaburu: クリプトウルトでシアウルト壊せるからいるね
[1268.691] (S)~MISSING_COMMENTER_INFO~: radaoHi
[1269.459] (S)naki_516: わこらだー
[1270.199] ホワイトお餅: わこらだ〜
[1271.719] むろ_: www
[1272.399] kannnazuk1: どん！！
[1272.634] if0990: ドン！
[1272.699] なつおよ: ｯｽｰｰｰｰｰｰ
[1273.700] (S)you_28: ドン！
[1274.548] haruokkkkkkkkkkkun: やったことないだろ
[1276.032] kokonattyo: がんばー
[1276.304] mo_coa: あ
[1276.835] (S)96猫3: あ
[1277.246] venawy: venawy subscribed with Prime. They've subscribed for 50 months! 
[1278.142] asuparaginn: ドン
[1279.165] kohaku0730: わこらだわこらだ
[1279.555] tk1155: ドン！
[1286.366] omotyy: わこらだー
[1288.054] kusiyakimaguro: ドン
[1289.805] nekodama2155: おお
[1294.718] (S)ちゃのすけ: ちゃのすけ subscribed at Tier 1. They've subscribed for 5 months! 今北わこらだ
[1296.291] yanatama: カモいうな
[1297.326] 0331karubo: radaoHi
[1297.417] イヲタ: わこらだ
[1300.706] ayunosioyaki0223: wwwwww
[1302.462] terra_rossa_: 🦆
[1303.402] (S)にわすずめ: お
[1303.591] mo_coa: 武器なしwww
[1304.266] ruchi_13: ん？
[1304.271] (S)sora_mameee: あ
[1306.109] れもんちぃ0: wwwwww
[1306.339] drem_chan: あ
[1306.591] くろざき: あ
[1306.704] runa0921: らっでぃぃぃぃぃ
[1306.717] nattu__: あ
[1306.875] tukky1208: あ
[1306.914] shi__409: あ
[1307.129] ｳﾙ: あ
[1307.165] crowsuke96: ？
[1307.216] あらんえむかーびぃ: radaoNikkori2
[1307.373] youkan_umai: あ
[1307.461] mirumiru_h: 大丈夫？
[1307.502] 猫又01: お
[1307.880] おっくん__: あぁ
[1307.921] 胡桃柚子: あ
[1307.980] (S)わらびもち_11: あ
[1307.987] nekoko28: 終わった
[1308.078] ibu1112: 🦆
[1308.245] drem_chan: まずい
[1308.266] ruchi_13: あ
[1308.362] (S)sora_mameee: おわｔ
[1308.507] (S)イモムシファザー: あ
[1308.551] md_spr: あ
[1308.702] suna0056: おわった
[1308.724] sayorin25256: あ
[1308.755] dokukinoco: radaoOwari
[1308.932] ワタメル0324: あ
[1308.951] kawaharaya: あ
[1309.226] ayunosioyaki0223: あ
[1309.363] ドらコアら: あ
[1309.457] uto_utura: わこらだ
[1309.514] れもんちぃ0: まずい
[1309.689] eichan_2470: え
[1309.730] kagura_kiba: GG
[1309.782] ruu_ha: ブランディング大丈夫？
[1310.104] mizusakura0326: あ
[1310.366] Gomichandovuti: 負けです
[1310.368] 榊原紅葉: あ
[1310.578] charlotte0ra: あ
[1310.606] dally_no: あ
[1310.610] mo_coa: シェリフwwwwww
[1310.716] asuparaginn: あ？
[1310.804] Rino_238: あ
[1310.839] えりさ_: あ
[1310.861] (S)mrgrtpsr: あ
[1311.033] (S)じもじ: あ
[1311.298] こけしやん: おわった
[1311.465] alsuhailalmuhlif: あ
[1311.483] universal_studio_alice: 終わった
[1311.533] nobume0v0: w
[1311.772] kotetsu_yuzu0108: あ
[1311.849] まだら25: あ
[1312.114] kon_rou11: あ
[1312.175] かんこ: ラリー
[1312.220] (S)kuronowa2525: radaoNikkori2
[1312.290] (S)にわすずめ: シェリフだから…
[1312.301] aoringo252: ｗｗｗｗ
[1312.470] つよいこ: あ
[1312.667] __あお: あ
[1312.694] (S)seillane: あ
[1312.899] gaiantufan: あ
[1312.932] (S)ウツル: あ
[1313.179] an_do121: 負けです
[1313.182] woodm9o: あ
[1313.233] poteti02: ゑ
[1313.426] Yu_k1t1: ヴァル、ガス、シアとかどうなん？
[1313.845] (S)にょまれ: 実質シェリフ
[1313.854] eichan_2470: あ
[1313.918] lastma01: えーggです
[1314.043] のせ太郎: radaoOwari
[1314.271] mizusakura0326: おわった
[1314.286] mitsu2647: あ
[1315.041] ruchi_13: なんでもヴァロになる
[1315.046] (S)evolblackhole555: radaoNikkori2
[1315.309] kokonattyo: radaoKun
[1315.848] terra_rossa_: 口がデカい
[1315.953] nekodama2155: あ
[1317.011] れもんちぃ0: あ
[1317.152] tora25_22: 尾張
[1317.197] mbando55: 終わった
[1317.377] mo_coa: ストッピングwwwwww
[1318.252] ayunosioyaki0223: wwwwww
[1318.307] ホワイトお餅: あ
[1318.457] (S)sora_mameee: ｗｗｗｗｗｗｗ
[1318.946] (S)96猫3: あ
[1319.320] 縮緬雑魚: よく言うやつ
[1320.743] asuparaginn: 負けたらやば
[1320.771] 榊原紅葉: 反対語しばり？
[1320.960] mikannn_0117: wwww
[1321.042] まだら25: wwww
[1321.897] えりさ_: www
[1322.199] pokaburu: らっだぁ前回練習したもん！！
[1322.272] (S)じもじ: ゴールドシェリフ
[1322.440] aruto_33: wwwww
[1322.714] tukky1208: ヴァロで例えんなwww
[1322.948] (S)フュ: 運ゲーです
[1323.046] (S)kakinotane__: なんでもヴァロなんだから、、
[1323.125] mizusakura0326: wwwwww
[1323.747] (S)you_28: radaoMugon
[1324.465] Holy_Joester: あ
[1324.758] (S)抹茶の午後: radaoOwari
[1324.850] akai_tani: まるでsellyじゃん
[1324.898] poteti02: wwwwwwwww
[1325.774] yoichimu: wwww
[1326.067] (S)wimpe75: radaoHi
[1327.462] __あお: wwwww
[1327.545] (S)sora_mameee: 変えるｗｗｗｗ
[1327.773] (S)わらびもち_11: wwwwww
[1328.143] charlotte0ra: wwwwww
[1328.533] ayunosioyaki0223: やばすぎ
[1329.016] かりんとお: もう勝ったか
[1330.293] Holy_Joester: radaoOwari
[1331.181] えりさ_: わざわざwww
[1331.214] pandanomousigo: フラグ🚩🚩🚩🚩🚩🚩🚩🚩
[1331.406] (S)you_28: radaoOwari
[1334.888] うもうくん: radaoNikkori2
[1335.996] nobume0v0: 尖りすぎw
[1338.896] oli_liriri: それはキモすぎる
[1339.535] asuparaginn: フラグすぎる🚩
[1339.571] arareruru: radaoHi
[1340.115] (S)sora_mameee: ウィングマンチャレンジ
[1340.381] kohaku0730: radaoCry1
[1342.200] SinCosTan_jp: トロール三人衆
[1342.985] あらんえむかーびぃ: 0
[1343.030] awayuri: わこらだ
[1343.123] アストモ: ALLウィングマン
[1343.679] mo_coa: wwwwww
[1344.217] (S)れむら: radaoOctane
[1344.482] nova2525dayo: わこらだ
[1344.483] (S)にわすずめ: よしよし
[1344.838] dokukinoco: 0
[1344.844] ruchi_13: チーム名ウィングマン(翼男)
[1345.208] nekodama2155: ピストルラウンド？w
[1345.331] つよいこ: みんな翼男か
[1345.786] kurono1022: 前回のCRカップでも使ってたもんな
[1345.818] ayunosioyaki0223: 0
[1345.979] drem_chan: 0
[1346.153] Rino_238: 0
[1347.265] (S)sakuraaaaa25: ウィングメン！？
[1347.322] (S)猫の髭: wwwwwwww
[1347.629] だしまきえっっぐ: 0！？
[1347.820] t0zo_: radaoCry1
[1347.929] (S)96猫3: radaoOctane
[1348.642] バザァァァド: 2人0www
[1348.658] tk1155: www
[1349.099] mary611: wwwwww
[1349.207] (S)ログリア: 0
[1349.445] れもんちぃ0: wwwwwwww
[1349.872] aoringo252: ｗｗｗｗ
[1350.091] wingloqd: 実質ジャッジだしね
[1350.254] (S)96猫3: 0
[1350.499] nobume0v0: 0 www
[1350.562] (S)ベニマル: wwwwwwww
[1351.974] (S)96猫3: 7
[1352.286] mikannn_0117: wwww
[1352.918] nyankichi_773: 0
[1354.769] (S)seillane: wwwwwwwww
[1355.009] dally_no: 0000000
[1355.197] (M)Nightbot: サブスクライブはこちら https://www.twitch.tv/products/raderaderader/ticket Primeの方は無料でスポンサー登録ができます→  https://twitch.amazon.com/prime
[1355.450] mo_coa: カビ？
[1356.186] mbando55: はっやｗｗｗ
[1356.231] aoringo252: かびーん
[1356.638] (S)ウツル: おお
[1356.729] sjindoa: wwwwwwwwww
[1356.761] t0zo_: う、うめえええええええ
[1357.184] drem_chan: かびーん
[1357.189] haruokkkkkkkkkkkun: 7
[1357.725] おっくん__: カビ？？
[1357.772] __あお: wwwwww
[1357.873] sayorin25256: w
[1358.114] tukky1208: カビーン
[1358.128] 甘酒大好き: 花瓶
[1358.180] れぢくす: わこらだ
[1358.858] ayunosioyaki0223: あ
[1358.887] mitsu2647: 7
[1359.256] takuann9500: キルパクww
[1359.526] crowsuke96: ｗｗｗｗｗｗｗ
[1359.758] えりさ_: wwwwwwwww
[1359.762] (S)kuugay0905: かびーん
[1359.923] tk1155: カビ？
[1360.312] (S)96猫3: かびーん
[1360.431] くろざき: wwwwww
[1360.550] (S)pocobokei: EVAやん
[1360.645] (S)evolblackhole555: 花瓶
[1360.877] ruchi_13: あ
[1360.995] (S)冷ユレ: 花瓶
[1361.264] rana_121: かびーん
[1361.579] (S)せここ: カビー〜ーん
[1361.585] koba_yossy: あ
[1361.635] ホワイトお餅: ガビーン？
[1361.731] charlotte0ra: ぐあー
[1361.805] kawaharaya: wwwwww
[1362.021] tora25_22: あ
[1362.145] (S)ウツル: あ
[1362.225] あげだし丸: カビーん
[1362.281] (S)AoironoMalco: はっやw
[1362.401] (S)sora_mameee: あ
[1362.539] ばのさん: www
[1362.627] kuraha_0107: 花瓶
[1362.665] えむたろうさん: かびーん
[1362.721] mo_coa: wwwwww
[1362.871] tiger_bay: ぐわあああ
[1362.926] (S)にわすずめ: ぐわぁ
[1363.135] dokukinoco: ぐわー
[1363.293] __あお: wwwwwwww
[1363.363] an_do121: あ
[1363.414] (S)seillane: かびーん
[1363.428] mbando55: 情けなｗｗｗｗ
[1363.613] asuparaginn: あー
[1363.674] nyankichi_773: かびーん
[1363.675] drem_chan: あ
[1363.750] sjindoa: wwww
[1363.809] ナラ抹茶: wwwwwwwwww
[1363.836] suna0056: ｗｗｗｗｗｗｗ
[1363.921] バザァァァド: ハイエナ死亡
[1364.040] pandanomousigo: あ
[1364.681] まだら25: あ
[1364.953] nobume0v0: あ
[1365.180] saketyaduk25: かびーん
[1365.700] (S)にょまれ: あ
[1365.830] しおなみ: ウィングマン裏切るからだよ
[1365.952] md_spr: www
[1366.189] ~MISSING_COMMENTER_INFO~: ぐわ
[1366.270] mirumiru_h: wwwwwww
[1366.388] (S)seillane: ぐわぁぁ
[1366.474] kagura_kiba: www
[1366.539] terosi08: シェリフとジャッジなんだよね
[1366.628] yanatama: radaoKun
[1366.643] (S)のいたぬ: wwwwwww
[1366.647] ホワイトお餅: あ
[1366.741] (S)抹茶の午後: あ
[1366.827] ペネロペ: wwwwww
[1366.877] pandanomousigo: あ？
[1366.920] akaihi: おい
[1367.002] えんそ: わこらだ
[1367.045] poteti02: がびーん
[1367.143] (S)raderkirai: しぬのはっやw
[1367.253] (S)~MISSING_COMMENTER_INFO~: radaoHi
[1367.356] 0501nao: あーあww
[1367.491] aruto_33: www
[1367.610] dally_no: ぐわーーー
[1367.844] 胡桃柚子: www
[1367.849] kiba_1129: えっぐ
[1367.951] まだら25: wwwwww
[1368.096] haruokkkkkkkkkkkun: えばのとっけん
[1368.180] (S)ログリア: ぐわーー
[1368.375] shi__409: あ
[1368.540] kohaku0730: ぐわぁ
[1368.720] カナバ: あー
[1368.805] わさびぬきで: かびーん
[1369.075] SinCosTan_jp: WMからの制裁
[1369.189] (S)kuugay0905: ぐわー
[1369.317] もにゅぷぷ: wwwwww
[1369.565] (S)AoironoMalco: 持ち落ち草
[1369.836] (S)seillane: wwwwwwwww
[1370.018] mizusakura0326: wwwwwwww
[1370.044] yanatama: あ
[1370.046] maguro_sasimi: ぐわー
[1370.174] mirina017: www
[1370.304] ワタメル0324: 花瓶持って死
[1370.537] reitou0909: wwwww
[1370.664] kokonattyo: ぐおー
[1370.896] Ganbaruooooo: あ
[1370.961] aikinkin07: かびーん ぐわーw
[1371.442] nyankichi_773: ぐわー
[1372.044] negi1203: はっや
[1372.323] mikannn_0117: wwwwwww
[1372.551] むろ_: ぐわぁーw
[1372.785] 西野ゆっけ: ぐえー
[1372.812] tora25_22: 起点か？
[1372.916] (S)にょまれ: あぅ
[1372.945] kaomodi22: ガビーンに釣られたか
[1373.089] drem_chan: 報告×
[1373.108] wata_mitsu: ぐあぁぁぁぁぁ
[1373.718] (S)バナナ民: wwww
[1373.834] つよいこ: ぐわあw
[1373.963] Gomichandovuti: radaoRIP
[1374.151] asuparaginn: ぐわぁー
[1374.161] カナバ: あ
[1374.553] nekodama2155: wwwwwww
[1375.850] えむたろうさん: カビ死亡
[1375.939] (S)you_28: 最低過ぎる死に方w
[1375.963] (S)セレちゃ: はや
[1376.389] つぶみかん: わこらだ
[1376.594] yukio_no1: はい餌
[1378.366] (S)pocobokei: あ
[1378.894] 0501nao: せっかく揃ったのにねwww
[1379.170] ruchi_13: はい
[1379.663] ayunosioyaki0223: radaoRIP
[1380.027] (S)ウツル: おｃ
[1380.245] おっくん__: ｗｗｗｗｗｗ
[1380.782] むろ_: あ
[1381.249] siguma0852: あ
[1381.783] (S)にわすずめ: radaoCry1
[1381.936] dokukinoco: はい
[1382.012] rsir12: がんば
[1382.319] remiiiii_28: あ
[1382.455] ホワイトお餅: ガビーン(死)
[1383.054] charlotte0ra: おｃ
[1383.278] md_spr: はい
[1383.280] sjindoa: はい
[1383.282] maguro_sasimi: あ
[1383.509] syachoo_: nt
[1383.521] syann_0131: はい
[1383.630] ~MISSING_COMMENTER_INFO~: はい
[1383.711] kaomodi22: wwwww
[1384.336] miyamiya138: あ
[1384.340] ｱｵｲﾊﾙ: あ
[1384.440] ruchi_13: radaoRIP
[1384.557] ｳﾙ: あ
[1384.560] aeyuma: あ
[1384.590] ばのさん: radaoRIP
[1384.646] yokaze___: わこらだ何試合目？
[1384.821] nobume0v0: radaoCry1
[1384.973] カナバ: 急に調子悪いね
[1385.089] (S)mrgrtpsr: はい
[1385.285] えりさ_: radaoG
[1385.304] むろ_: おc
[1385.329] ゆあたまご: あらら
[1385.353] syuria10y09: よーし
[1385.550] (S)らあくちゃん: radaoCry1
[1385.606] nattu__: radaoRIP
[1386.070] 白の六号: radaoRIP
[1386.090] (S)ragumaltutyo: あ
[1386.430] (S)スーベニア: あららｗ
[1386.436] asuparaginn: 乙
[1386.518] まだら25: はい
[1386.881] siguma0852: おc
[1386.906] lightreft1250: ふーーー
[1386.939] (S)big___melon: radaoRIP
[1386.984] anzkan_u_u: あ
[1387.124] akaihi: はい
[1387.127] (S)コヂマだよ: radaoRIP
[1387.155] なつおよ: radaoRIP
[1387.167] aeyuma: radaoCry1
[1387.194] yanatama: はい
[1387.505] mizusakura0326: はい
[1388.099] (S)inuyo: まっずい
[1388.145] (S)sora_mameee: よし
[1388.328] kainn_1114: radaoRIP
[1388.380] (S)楓_くん: radaoG
[1388.641] nekodama2155: はい
[1388.699] (S)ウツル: radaoRIP
[1389.004] だしまきえっっぐ: カモはこっちだったか...
[1389.866] (S)huninorinosyasin: radaoRIP
[1389.978] drem_chan: はい
[1390.005] (S)zeeebtg: radaoG
[1390.037] mo_coa: はい
[1390.068] つよいこ: おc
[1390.232] (S)mrgrtpsr: radaoG
[1390.393] ruu_ha: よしよし
[1390.506] (S)tubo1455: はい
[1390.889] (S)96猫3: あ
[1391.027] (S)猫の髭: はい
[1391.158] もにゅぷぷ: radaoRIP
[1391.336] rana_121: よしよし
[1391.399] (S)kinako_amaama: radaoRIP
[1391.584] ペネロペ: radaoG
[1391.600] kohaku0730: ⚰️
[1391.707] kainn_1114: radaoG
[1391.986] (S)ebipirahu_: radaoG
[1391.996] aruto_33: よいしょっと
[1392.029] ~MISSING_COMMENTER_INFO~: おっけ
[1392.287] (S)pocobokei: radaoG
[1392.346] itigo_ore1214: nf
[1392.357] hamusuke_kun: radaoCry1
[1392.843] (S)big___melon: よしよし
[1393.069] jmpta: あれ？笑
[1393.076] tniken: あ
[1393.221] (S)suzuka0901: radaoRIP
[1393.377] (S)96猫3: radaoG
[1393.442] (S)ragumaltutyo: おc
[1393.600] (S)タチうお: radaoRIP
[1394.181] 和泉ぴけ: らっだぁ足枷か？
[1394.289] あげだし丸: うーす
[1394.294] sayorin25256: はい
[1394.453] (S)AoironoMalco: そんなときもある
[1394.453] maguro_sasimi: gg
[1394.570] カナバ: ボロボロのボロ
[1394.751] nyankichi_773: よーしよし
[1395.248] tk1155: マズイ…
[1395.317] akaihi: もう見本はいいよ
[1395.536] (S)wimpe75: radaoG
[1395.639] miamio121: よし
[1396.799] tugussiy: 一旦まずいか
[1396.925] pokaburu: 昨日の勢いはどこへ、？
[1397.062] 胡桃柚子: よしよし
[1397.201] (S)北のまりも: ナイスファイトー！！
[1397.254] dokukinoco: このチームコーチなし？
[1397.311] universal_studio_alice: 昨日の反動
[1397.332] (S)you_28: 起点さんかぁ…
[1397.500] kaomodi22: 一旦ね
[1397.752] (S)~MISSING_COMMENTER_INFO~: うーっし
[1399.957] (S)alka_029: radaoBigcry
[1400.168] suiha_7: radaoRIP
[1400.230] つよいこ: 一通りだもんね
[1400.260] nyankichi_773: そんなときもある
[1400.261] (S)mrgrtpsr: wwwwwwwwwwww
[1400.416] (S)フュ: radaoRIP
[1400.470] shi__409: 一旦やばいか？w
[1400.566] ひとねこ: カービン真っ先に死ぬと
[1400.574] たまごぼ_ろ: radaoG
[1400.947] (S)sora_mameee: 一旦か
[1401.432] ペネロペ: 一旦ね
[1401.601] tniken: 起点さん
[1401.830] dally_no: よー死
[1402.126] かりんとお: 一旦ね
[1402.417] 678_PYPIR: おーし
[1402.503] kisi_00152: よしよしよし
[1402.585] ~MISSING_COMMENTER_INFO~: ｗｗｗ
[1402.591] miichan8111: ふーう
[1402.714] れもんちぃ0: www
[1403.045] カナバ: 中身変わった？
[1403.234] ruchi_13: あ
[1403.284] akai_tani: 起点
[1403.321] oli_liriri: wwwww
[1403.485] (S)にわすずめ: wwwwwwwww
[1404.867] woodm9o: 初動ファイトがまずいか
[1405.256] (S)sintara12: radaoG
[1405.363] (S)you_28: 配信モードやめてけ
[1405.504] 胡桃柚子: まずねw
[1406.841] sjindoa: wwwwwwwwww
[1406.850] なぷスタ: 一旦な
[1406.990] (S)aoi_0902: radaoG
[1407.734] (S)rikurou56: wwwwww
[1407.800] ｳﾙ: wwwwwwww
[1407.827] tugussiy: 起点さん
[1408.304] (S)~MISSING_COMMENTER_INFO~: wwww
[1408.514] あげだし丸: wwww
[1408.591] れもんちぃ0: wwwwwwwwww
[1408.624] tukky1208: もう見せなくてええよ
[1408.791] (S)96猫3: wwwww
[1408.866] mizusakura0326: wwwwwwwww
[1409.028] ibu1112: 一旦ね
[1409.788] (S)khinmr: wwwwwwwwwwwww
[1411.098] okome_maan: わこらだ
[1411.715] poteti02: radaoG
[1411.845] qprz_: 一旦負けとこ
[1412.338] (S)セレちゃ: radaoG
[1412.837] mo_coa: 悪いとこ全部見せてくれると
[1413.334] dally_no: お前のせいや
[1413.376] (S)猫の髭: wwwwwwww
[1413.763] ruchi_13: お
[1413.890] 胡桃柚子: www
