[2.324] (S)なん69: なん69 subscribed with Prime. They've subscribed for 10 months, currently on a 10 month streak! 
[7.232] (S)上ゆい: こんちわ
[987.033] きまぐれ_: おc
[987.388] 神崎立夏: 床美味しいよ
[989.713] shi_n_tou: 負けてもワンピック取るの流石やな
[990.184] はむくんだお: おc
[990.231] youkan_umai: おc
[990.630] (S)mai161116katatumuri: え
[990.996] shi__409: おｃ
[995.328] raynidayooo: あれ
[995.351] (S)howlin_0: 一旦ね？
[996.196] mimipaadesu0428: めっちゃうまかった
[998.285] rioapr03: ;;
[999.967] ayunosioyaki0223: radaoKasu
[1000.349] ruchi_13: おい
[1000.886] renkun1265: ゆかぺろぺろ〜〜〜
[1000.984] (S)レだん: おｃ
[1004.011] lemoncheesesource: あ
[1004.751] Yu_M0620: 虚言吐いてる暇あったら取り敢えず被せないようにしろ
[1005.069] (S)moris1013: おい 
[1005.252] zrs1111: わこらだ
[1005.450] uni_mm: あ
[1006.264] Yukimaru__31: おい
[1007.289] 惰性さん: あ
[1007.476] Ryutan25: 床でまってるね
[1007.737] alice8629: うわ
[1009.421] きまぐれ_: ﾏｯﾏｱﾈ
[1010.968] mafuyu256: 流石聖人
[1012.976] (S)STu_mormot555: ごみ 
[1013.119] すいぺりあ: うわ
[1014.447] 神崎立夏: あ
[1014.760] (S)ゆきゆた: ぺろぺろうまい
[1015.222] remiiiii_28: www
[1015.993] panndaman1: うわ
[1016.348] (S)yukichan2525: あ
[1016.500] uni_mm: これは器小さい
[1016.590] youkan_umai: うーわ
[1017.420] (S)RBlue_Lyco: radaoKasu
[1017.875] (S)evolblackhole555: うわ
[1018.590] (S)ゆきゆた: あ
[1018.817] amcill: 粕
[1019.275] rioapr03: いつも悪者だよ
[1020.099] きまぐれ_: まだ2試合目だからね
[1020.369] (S)お手軽炊飯器: ｗｗ
[1021.045] 惰性さん: うわ
[1023.455] (S)mai161116katatumuri: radaoKasu
[1024.706] alice8629: www
[1025.257] kanakana1225: わこらだ
[1025.481] (S)iamraiku: 器ちっさ
[1026.284] (S)お手軽炊飯器: 器が....
[1027.827] (S)きなこもち46: radaoKasu
[1028.383] nnaaaa: わこらだ
[1028.564] (S)もえもん: www
[1031.651] (S)ゆきゆた: そうだぞ
[1033.344] きまぐれ_: あら？
[1034.988] (S)tommyy_0430: 床あっためてこ
[1040.747] 神崎立夏: どぶぅ
[1043.021] (S)himikokichi_06: へ）
[1048.024] NERUKUN004: たんとお食べ
[1050.901] raynidayooo: ハムスターw
[1051.254] (S)イエタ: モルモットやね
[1052.926] きまぐれ_: どぶ！？
[1054.223] (S)moris1013: ぽまえみたい
[1054.740] tubugu: どぶw
[1055.448] いる1023: おたべ
[1056.857] (S)howlin_0: お前やん
[1057.103] (S)にゃんねね: どぶねーずみ
[1060.982] _もちもち_: アッシュのストーリーおもろいよね
[1062.954] alice8629: ぽまえみたいだね
[1063.186] まふふうぃんぐ: w
[1064.852] ayunosioyaki0223: へー
[1067.878] (S)iamraiku: やーいどぶねずみー
[1068.787] micham1206: お前と同じ
[1069.011] 五色椿: へー
[1071.021] akagi111: へー
[1075.803] きまぐれ_: らだおの仲間
[1076.030] SENA_Chan_da: 実験用
[1077.066] 神崎立夏: パスが拾った時？
[1077.243] (S)otux2_0205: ぽ前と一緒じゃーん
[1077.979] (S)レだん: へー
[1078.398] suzuyayaya: 被検体（？）のマウスだと思ってた
[1079.869] すいぺりあ: へー
[1081.745] (S)こんばんは1: パスに拾われたんだっけか
[1081.797] kuroha7012: 故郷一緒やん
[1082.398] (M)Nightbot: YouTubeにクリップ集を投稿していきたいので、面白かったシーンなどを>>"タイトル"<<をつけてクリップ作成お願いします。画面の右下にクリップ作成ボタンがあります。>>"タイトル"<<を付けて作成してもらえると後でクリップを選出しやすくなります。よろしくね
[1082.463] moririnn1103: へー
[1083.069] non_tako: おろもいよ
[1087.217] (S)evolblackhole555: ぽまえと一緒じゃん
[1089.131] ぱんだぁぁぁ: ｗｗｗ
[1090.061] (S)お手軽炊飯器: よいしょお
[1092.682] shi_n_tou: おおー
[1092.922] (S)tsuM6G1_: www
[1093.642] (S)猫又01: 面白いぞ
[1094.802] alice8629: wwww
[1097.847] あるみ屋: wwww
[1098.322] k0ve0: !uptime
[1098.604] (M)Nightbot: らっだぁ が配信を始めてから 18 minutes 26 seconds 経過しています。
[1099.510] (S)お手軽炊飯器: そうよ
[1101.626] 神崎立夏: チェー
[1102.990] (S)ゆきゆた: よいしょーーー
[1103.087] (S)えりさ_: www
[1103.497] mochimochi_mochimochi: OWちゃん。。。
[1109.178] (S)猫又01: それはある
[1113.499] (S)ゆう77: わこらだ 
[1117.812] rarirarurarua: わこらだ
[1120.260] あるみ屋: それはまじである
[1120.553] su_gar__25: 過疎ってる？
[1121.165] (S)RBlue_Lyco: チェー
[1124.656] maru394: わこらだ
[1125.749] Yukimaru__31: マッチおそ
[1126.673] (S)お手軽炊飯器: 過疎過疎
[1129.904] poyupofulu01: wakorada
[1131.206] air1_1: わこらだ
[1131.810] rioapr03: あ...
[1132.466] (S)にゃんねね: 田舎だ
[1132.539] (S)evolblackhole555: 過疎ってる？
[1134.225] ayunosioyaki0223: あ
[1134.403] (S)himikokichi_06: あ
[1134.958] (S)レだん: あ
[1135.082] shi_n_tou: あ
[1136.089] _こっぺぱん: あ
[1136.098] su_gar__25: あ
[1136.240] (S)nakihai556: あ
[1136.558] (S)howlin_0: あ
[1136.613] _もちもち_: あ
[1137.442] ruu_ha: あ
[1137.739] (S)猫又01: あ
[1137.872] alice8629: あ
[1137.951] shi_n_tou: 言うたな
[1137.966] あるみ屋: あ
[1138.030] (S)ゆう77: あ
[1138.073] runaaaaa_a: あ
[1138.159] (S)みそギン: あ
[1138.368] (S)moris1013: あ
[1139.155] (S)minibanbi: あ
[1139.462] や5: あ
[1139.512] akagi111: あ
[1139.539] uni_mm: あ
[1140.111] うたさゐ: あ
[1140.228] umarekawattasaba: あ
[1140.318] zabuton_fuwafuwa: あ
[1140.468] 神崎立夏: あ
[1140.740] んさく: あ
[1140.983] そー司郎: あ
[1141.825] (S)evolblackhole555: あ
[1142.213] (S)ナラ抹茶: あ
[1142.476] (S)tsuM6G1_: あ
[1143.281] (S)RBlue_Lyco: あ
[1143.320] (S)yoneto_: あ
[1143.504] きまぐれ_: あ
[1143.516] (S)haru_anura: あ
[1144.391] ニコ丸0429: あ
[1144.528] (S)シモ0803: あ
[1144.947] nobume0v0: あ
[1145.041] masaba014147: あ
[1145.052] lua_ceifador: あ
[1145.312] (S)はるのてゃん: あ
[1145.665] (S)みそギン: それ以上はいけない
[1145.923] NERUKUN004: あ
[1146.410] panndaman1: あ
[1147.059] すいぺりあ: あ
[1147.502] kaiyou_kun: あ
[1148.012] hinakai_46: 会社がね
[1148.448] (S)えりさ_: あ
[1148.740] (S)ryo_ngz: 一瞬...？
[1149.349] みたらし5510: ちゃんとストーリーがあるぞ
[1150.106] Yukimaru__31: あ
[1150.212] Ryutan25: あ
[1151.079] alice8629: まずい
[1151.299] shi_n_tou: 2出るから！？
[1152.693] (S)sjindoa: あ
[1153.379] (S)きなこもち46: あ
[1154.015] 神崎立夏: おばぶ
[1154.255] きまぐれ_: ？
[1155.202] kumada111: あ
[1155.616] 雪狐0143: あ
[1155.848] murasaki_chan: あ
[1156.485] bota111: あ
[1167.601] rito1725: あ
[1168.381] (S)ちゃつう: radaoWakotu
[1170.856] フーリー: あ
[1172.742] umarekawattasaba: あ
[1174.293] Ryutan25: ；；
[1174.787] 大宮瑞樹: あ
[1176.042] (S)のせ太郎: わこらだradaoWakotu 
[1176.469] shi_n_tou: 2出るってことは人気ってことやろ！
[1178.220] movu_o29: ぎゃあ
[1178.846] ayunosioyaki0223: おおお
[1181.308] 神崎立夏: へー
[1184.296] (S)RBlue_Lyco: おおお
[1184.741] alice8629: おおお
[1184.786] ruato_1945: わこらだ
[1186.535] (S)Ichigo_Strawberry15: 神メンツきちゃー！！！
[1189.222] Yukimaru__31: うおおお
[1189.489] ri_10_: わこらだ
[1192.319] (S)レだん: おおおお
[1193.609] (S)猫又01: おお
[1194.236] runaaaaa_a: わこらだ
[1196.775] (S)shame_daia0130: わこらだ
[1197.014] re_2434: なんからっでぃの声聞くと鳥肌立つ
[1197.836] shavuto3: わこらだ
[1201.819] hinakai_46: おい
[1204.640] (S)ekf4hamada: ｏｗから逃げるな
[1205.612] _こっぺぱん: 再来年です
[1206.593] (S)taikan_yokoyama: OWプロ出身のFPS配信者多い気がする
[1210.034] mase_hs: でるといいね…
[1214.073] (S)taikan_yokoyama: 再来年やね
[1222.900] (S)sjindoa: でるといいね
[1225.955] shi_n_tou: 焦らすねえ
[1227.287] (S)RBlue_Lyco: 再来年
[1230.138] adumaxx: OWはAPEXほど明確な背景とかストーリーが全員分ないからなあ
[1230.168] 神崎立夏: え
[1233.110] (S)ナラ抹茶: え
[1234.179] (S)sjindoa: 1人クビかぁ
[1236.068] tubugu: え
[1236.403] inoshishi10: わこらだ
[1237.229] あるみ屋: え
[1238.545] よわはと: え
[1239.687] フーリー: え
[1239.969] (S)ichigomilk_252: え
[1240.241] ayunosioyaki0223: あ
[1240.298] (S)みそギン: え
[1240.686] 神崎立夏: リストラ…？
[1240.865] (S)えりさ_: あ
[1241.091] (S)ryo_ngz: こっわ
[1241.179] shi_n_tou: おー
[1242.839] Yukimaru__31: へー
[1243.146] (S)RBlue_Lyco: え
[1243.563] なるか3: あ
[1243.999] (S)taikan_yokoyama: ギスギス
[1244.056] panndaman1: え
[1245.050] くろざき: え
[1245.227] (S)evolblackhole555: え
[1245.283] (S)jima922: あ
[1246.507] Yukimaru__31: あ
[1246.677] フーリー: 解雇か
[1246.751] (S)ichigomilk_252: あ
[1248.562] (S)jima922: でも
[1249.229] nobume0v0: あ
[1249.283] きまぐれ_: こy
[1250.710] Yukimaru__31: こわ
[1251.824] ニコ丸0429: オバ部が…
[1252.057] hotallu_42: radaoCry2
[1252.703] shavuto3: www
[1252.973] 17_ru: わこらだ
[1254.189] (S)iamraiku: こわ
[1254.488] (S)ichigomilk_252: こy
[1255.811] (S)fuu_maru: え
[1256.051] panndaman1: こy
[1256.248] mero_art: え？
[1256.248] 雪狐0143: あ
[1256.271] りろ31: ow部…
[1256.295] (S)jima922: お前誰も居ないやん
[1256.728] 神崎立夏: radaoCry2
[1258.480] (S)レだん: こｙ
[1261.107] (S)howlin_0: radaoCry
[1261.626] 雪狐0143: こy
[1262.385] にわすずめ: え
[1263.741] すいぺりあ: ギスギスオバウォ始まる
[1264.103] (M)Nightbot: サブスクライブはこちら https://www.twitch.tv/products/raderaderader/ticket Primeの方は無料でスポンサー登録ができます→  https://twitch.amazon.com/prime
[1266.351] akaihi: ow部が
[1267.644] (S)ryo_ngz: ただのデブメガネに...
[1268.355] Yukimaru__31: え
[1271.047] nobume0v0: ；；
[1273.541] shavuto3: われわかめ
[1273.683] (S)ナラ抹茶: ；；
[1273.833] goose100294: まだ再来年だけどね
[1274.086] (S)みそギン: え
[1279.122] フーリー: 一般人さん！？
[1280.168] (S)himikokichi_06: やめろよ…
[1280.187] (S)ichigomilk_252: ；；；；
[1281.291] mero_art: ；；
[1282.137] (S)お手軽炊飯器: ｗｗ
[1282.381] world_kohaku: デブメガネ…
[1284.541] (S)evolblackhole555: それなくなったら何できるんだ
[1286.337] (S)sjindoa: radaoCry2
[1286.557] dokukinoco: サイコパスデブメガネがただのデブメガネに…
[1287.409] kurono1627: ；；；；
[1287.656] (S)moris1013: ただの氷おばさん
[1287.674] ogu_0: 扇風機
[1288.047] uni_mm: エアコン…？
[1288.840] よわはと: じゃあ使う人少くなりそうだな
[1290.878] 哀れな人の子: 動くデブエアコン
[1293.754] (S)howlin_0: ただのデブメガネ…
[1300.767] shavuto3: www
[1303.299] panndaman1: 何しろってんだ
[1303.531] kurono1627: 扇風機おばさん……
[1307.210] ちあらちゃん: マジか
[1313.992] (S)ta__mei: 今北わこらだ
[1322.013] _こっぺぱん: 身内でわちゃわちゃが1番楽しい
[1326.737] (S)sjindoa: また見たいねぇ
[1327.887] 神崎立夏: あれは良い
[1329.590] (S)お手軽炊飯器: え
[1331.017] (S)himikokichi_06: え？
[1331.473] ayunosioyaki0223: え
[1331.533] (S)ナラ抹茶: え
[1333.177] ゆきとよ: え？
[1333.285] natsu_ren: また見たいねぇ
[1333.710] (S)nakihai556: え
[1333.745] (S)fuu_maru: ｗ
[1333.826] 雪狐0143: え
[1334.032] りろ31: こわ
[1334.388] 神崎立夏: え
[1334.652] (S)aina___10812: え
[1334.917] (S)fuu_maru: え
[1335.292] zabuton_fuwafuwa: え
[1335.758] (S)Ichigo_Strawberry15: おば部
[1337.019] (S)Ichigo_Strawberry15: え
[1337.170] rioapr03: こわ
[1339.428] トマト狩り: え
[1339.529] (S)ぽぷちやん: おば部
[1340.142] yukii0913: あれ楽しい
[1340.386] や5: え
[1340.906] panndaman1: え
[1340.928] あるみ屋: え？
[1341.817] nobume0v0: え
[1342.741] くろざき: え
[1342.905] (S)evolblackhole555: え
[1342.908] dokukinoco: すなー
[1343.126] Yukimaru__31: え
[1344.329] (S)RBlue_Lyco: え
[1346.850] ruu_ha: お
[1347.429] 神崎立夏: うおおおおおおお
[1347.760] ayunosioyaki0223: おお
[1347.788] (S)himikokichi_06: お
[1347.841] rioapr03: wwww
[1347.934] (S)fuu_maru: お
[1348.472] ゆきとよ: お
[1348.857] (S)moris1013: おおお
[1349.230] (S)えりさ_: え
[1349.415] (S)howlin_0: お
[1349.563] なるか3: おお
[1349.763] ruchi_13: おー
[1350.132] ニコ丸0429: きた
[1350.235] yururano_0: おおおお
[1350.936] や5: お
[1351.409] ワタメル0324: お
[1352.029] (S)aina___10812: おおお
[1352.340] (S)minibanbi: おおおお
[1352.793] rioapr03: うおおお
[1353.146] kagura_kiba: おお
[1353.403] (S)nakihai556: おおおお
[1353.428] (S)natune_0: うおお
[1353.765] 17_ru: おおおおおおお
[1353.911] (S)moris1013: うおおお
[1353.984] kenp1n_8: おおおおおお
[1354.035] (S)sjindoa: おおお
[1354.292] panndaman1: おおお
[1355.439] ちょーみん: タボちゃきちゃーー
[1356.023] にわすずめ: おおおおおと
[1356.157] alice8629: うおおおおお
[1356.261] (S)タクトン: radaoKitya
[1356.529] nobume0v0: うおおお
[1356.918] (S)evolblackhole555: おおおおあお
[1357.149] 惰性さん: うおおおおおお
[1357.175] lemoncheesesource: きちゃー
[1357.190] (S)who_tawn: タボちゃ〜
[1357.759] _もちもち_: radaoKitya
[1357.940] すとぅ: すと subscribed at Tier 1. They've subscribed for 13 months! 
[1358.636] (S)jima922: はいー
[1359.052] (S)Ichigo_Strawberry15: ﾀﾎﾞﾁｬｰ！
[1359.563] や5: おおおおおお
[1360.289] shi_n_tou: radaoKitya
[1360.480] なるか3: radaoKitya
[1360.521] すいぺりあ: radaoKitya
[1360.620] namaeha_madanai_: wwwwww
[1361.795] ruchi_13: www
[1362.235] (S)猫又01: radaoKitya
[1363.075] Yukimaru__31: うおおお
[1363.334] beek648: たぼちゃー
[1363.547] あるみ屋: きちゃぁあ
[1363.800] (S)baberuboburu3939: きちゃー
[1364.366] uziro0836: わこらだ 
[1365.241] (S)moris1013: タボチャー！！！！！
[1365.436] よわはと: www
[1365.558] (S)mai161116katatumuri: radaoKitya
[1365.613] (S)nonsugar017: nonsugar017 subscribed with Prime. They've subscribed for 11 months, currently on a 5 month streak! 
[1365.996] bota111: radaoKitya
[1366.190] nobume0v0: きちゃあ
[1366.267] 大宮瑞樹: radaoKitya
[1366.567] (S)Ichigo_Strawberry15: radaoKitya
[1366.689] (S)STu_mormot555: radaoKitya
[1366.837] おの_レエイ_00: radaoKitya
[1367.283] lemoncheesesource: ﾀﾎﾞﾁｬｰ
[1367.587] uni_mm: きちゃー
[1368.312] atuono: radaoNikkori
[1368.972] (S)iamraiku: radaoKitya
[1369.336] フーリー: きちゃぁぁぁ
[1369.398] panndaman1: radaoKitya
[1369.664] ニコ丸0429: radaoKitya
[1370.059] (S)moris1013: radaoKitya
[1370.315] you_28: きちゃあーあーあーあああ
[1370.993] くろざき: きちゃー！！
[1371.102] すいぺりあ: ﾀﾎﾞﾁｬｰ
[1371.319] micham1206: radao30
[1371.847] (S)かんこ: radaoKitya
[1372.925] (S)nakihai556: radaoKitya
[1373.440] masaba014147: おおお
[1374.020] jasmugi: タボーションきちゃ
[1374.415] namaeha_madanai_: ﾀﾎﾞﾁｬｰ！
[1375.108] naguha23: radaoKitya
[1377.695] あるみ屋: この日のためにw
[1377.910] (S)xxkaexx: わこらだ 
[1378.386] yoshi__126: ノルマ回収
[1380.454] (S)にゃんねね: radaoKitya
[1380.561] (S)SoLAnIN_r: radaoKitya
[1380.840] 哀れな人の子: それは私です。
[1382.194] 右足の片方: 聞けてよかった
[1385.153] (S)ちゆたむ: おおお
[1385.479] (S)えりさ_: radaoKitya
[1388.065] _もちもち_: radaoIiwake
[1388.880] ayunosioyaki0223: radaoIiwake
[1389.363] rioapr03: 言い訳乙
[1390.074] (S)who_tawn: なんか今日漁り遅いなw
[1391.890] (S)みそギン: radaoOld
[1392.028] yuu0811: わこらだ
[1392.604] (S)お手軽炊飯器: ｗ
[1394.152] mikan_san: 言い訳だね
[1394.295] (S)evolblackhole555: radaoIiwake
[1395.234] (S)tanaka_1025: That is me
[1396.160] (S)みそギン: radaoIiwake
[1397.238] sunomono8: radaoIiwake
[1397.983] (S)ta__mei: radaoIiwake
[1398.498] くろざき: 言い訳
[1398.786] (S)tempest0709: radaoIiwake
[1398.960] ゆきとよ: 言い訳じゃないって言い訳やめて
[1399.057] すいぺりあ: radaoIiwake
[1400.085] (S)unavele_nobu: 保険かけるな
[1400.138] (S)Ichigo_Strawberry15: radaoIiwake
[1400.325] (S)haru_anura: radaoIiwake
[1401.901] (S)fuu_maru: radaoMansyon
[1402.462] チュチュンバー: radaoMansyon
[1403.254] (S)mai161116katatumuri: radaoMansyon
[1403.470] (S)minibanbi: radaoIiwake
[1403.759] kurokurone: 保険ではあるだろ
[1404.016] bota111: radaoIiwake
[1404.199] atuono: radaoIiwake
[1404.894] うめた: radaoIiwake
[1404.997] (S)もえもん: radaoMansyon
[1405.910] エイさん: 言い訳じゃないですけど=言い訳
[1407.361] panndaman1: radaoIiwake
[1407.599] あるみ屋: 保険でしかないだろ
[1407.647] ニコ丸0429: radaoIiwake
[1408.562] minto13579: わこらだ
[1409.316] alice8629: らだまろさん！る
[1409.888] (S)雪代: radaoMansyon
[1410.910] kobutyasan: わこらだ
[1413.237] (S)sjindoa: radaoIiwake
[1414.940] ayunosioyaki0223: 優しい2人でよかったな
[1416.449] (S)もえもん: radaoIiwake
[1419.301] (S)えりさ_: radaoIiwake
[1419.555] きまぐれ_: マンションたてんな
[1419.786] mattyarate113: mattyarate113 subscribed with Prime. They've subscribed for 8 months! 
[1425.178] 暗黙の緑茶: わこらだ
[1426.783] rioapr03: それはそう
[1428.084] (S)お手軽炊飯器: そうですのお
[1432.927] (S)natune_0: まじでそう
[1434.443] rioapr03: え？
[1435.620] (S)お手軽炊飯器: ？
[1435.908] 神崎立夏: ？？？？
[1437.234] ayunosioyaki0223: え？
[1438.341] (S)haru_anura: え
[1439.091] (S)fuu_maru: ？？？？
[1439.102] sunomono8: ？？？？
[1439.232] (S)himikokichi_06: ？
[1439.335] (S)nonaru4637: ????
[1439.422] (S)ちゃつう: ｗｗｗｗ
[1439.747] (S)えりさ_: え
[1439.778] や5: ？？
[1439.800] (S)sjindoa: ？
[1439.878] uziro0836: おい
[1439.960] (S)ふれーく: ぐっろ
[1440.102] (S)みそギン: ？？？？
[1440.325] うめた: ！？
[1441.079] (S)evolblackhole555: ？？？？
[1441.117] (S)タクトン: wwwww
[1441.168] 神崎立夏: ぐろ？
[1441.357] なるか3: ？
[1441.452] (S)ナラ抹茶: ？？？？
[1441.560] たまごかけごはんさん: え
[1441.606] (S)natune_0: え
[1441.859] ねねねい: ？？？
[1441.949] micham1206: サイコパス
[1441.977] lemoncheesesource: ??
[1442.084] ニコ丸0429: ？！！
[1442.183] umarekawattasaba: ？？？
[1442.222] ruu_ha: ？？？
[1442.846] (S)moris1013: え
[1442.895] (S)お手軽炊飯器: サイコ....?
[1442.979] ruchi_13: やば
[1443.190] ぱんだぁぁぁ: ぐＲＲっろ
[1443.207] kenp1n_8: wwwwww
[1443.238] (S)レだん: え？？
[1443.273] shiki_maru: サイコパス
[1443.426] たまごかけごはんさん: おい
[1443.653] (S)yukichan2525: ぐろ
[1443.856] alice8629: やば
[1443.877] (S)howlin_0: ！？
[1444.199] (S)unavele_nobu: ぐっろ
[1444.413] ゆきとよ: そうじゃないｗｗｗｗｗｗ
[1444.447] (S)Ichigo_Strawberry15: ！？
[1444.506] rioapr03: 人外でたな
[1445.195] shi_n_tou: おいw
[1445.458] hatu_maki: wwww
[1445.559] (S)minibanbi: サイコパス！？
[1445.814] うぃらすと: 人外
[1445.968] Yukimaru__31: ？？
[1446.082] (S)sjindoa: ！？
[1446.179] (S)baberuboburu3939: ぐっっろ
[1446.290] panndaman1: ？？？
[1446.335] (S)nonaru4637: なんの音だよ
[1446.356] (S)mai161116katatumuri: e?
[1446.388] (S)レだん: ？？？
[1446.843] ebimayou: サイコパス
[1447.263] (S)えりさ_: radaoHatena2
[1447.915] (S)yukichan2525: サイコやん
[1447.982] (S)Ichigo_Strawberry15: ぐっろ
[1448.322] たまごかけごはんさん: 最低
[1448.510] nagosaku: 人外
[1448.931] 惰性さん: ふぁ？！？！
[1449.755] りかお: 痛すぎる
[1449.888] ももしゆ: 人外やめて
[1449.894] kurokurone: どこの部分だよ
[1449.951] amcill: グロい
[1449.964] (S)ゆきゆた: え！？
[1450.361] uni_mm: こわい
[1450.753] (S)RBlue_Lyco: ？？？？？？？
[1451.261] happasan88: グロか？
[1451.881] あるみ屋: ちげぇだろw
[1451.904] ラムネ味: ？？
[1452.191] 17_ru: 挟むってことかな？
[1452.219] (S)Ichigo_Strawberry15: 人外さん！？
[1452.421] (S)moris1013: 今日の人外発言
[1452.937] (S)タクトン: 鋭すぎる
[1453.130] うめた: 間ね
[1453.163] よわはと: きも
[1453.888] NORI25252: 太ももの中に！？
[1453.966] くろざき: ぐろ
[1454.137] ちょーみん: は？
[1454.962] フーリー: えっっ
[1455.111] bota111: ？？？？？
[1455.179] きまぐれ_: え？こy
[1455.355] ガトーショコラ: はい今日のサイコパス
[1455.414] eve_jr10: やばすぎw
[1455.718] (S)みそギン: さすが人外
[1455.881] ウツル: おい
[1456.232] (S)うもうくん: 人外やん
[1456.541] ayunosioyaki0223: サイコパス出すな
[1457.049] (S)もえもん: ぐろ
[1457.083] alice8629: さすがにサイコパス
[1457.277] ウツル: は？？る
[1457.290] suna0056: ？？？
[1457.761] _こっぺぱん: お前と構造違うんだわ
[1458.949] ウツル: やばすぎ
[1459.014] (S)猫又01: おい
[1459.227] (S)Ichigo_Strawberry15: えぐすぎw
[1459.475] すいぺりあ: ぐろ
[1460.085] (S)natune_0: ぶっさすw
[1460.853] suibotu_: おい
[1461.070] (S)iamraiku: 本日の人外
[1461.796] panndaman1: サイコ
[1462.847] あるみ屋: 出たよ今日の人外
[1463.527] (S)RBlue_Lyco: 人外発言
[1464.467] eve_jr10: radaoHatena2
[1464.677] きまぐれ_: 考え方草
[1464.901] k_midoro: おもんないて
[1465.493] kumada111: わかる
[1466.571] ウツル: あぶねー
[1467.392] (S)STu_mormot555: 発想が人外なんよ
[1467.747] (S)ゆきゆた: 人外出るな
[1467.789] ｽｼﾁｬﾝ: お前の下半身どうなってんだ
[1468.508] 神崎立夏: 太ももに太い血管あるから挟むと暖かいよな
[1468.557] (S)who_tawn: 思うな
[1468.740] すいぺりあ: 本日の人外
[1469.529] (S)baberuboburu3939: 人外でてるぞ
[1469.699] nagosaku: ぽまえや
[1469.714] (S)にゃんねね: 今日の人外
[1471.259] (S)Ichigo_Strawberry15: こy
[1471.267] micham1206: いや、お前
[1471.870] ニコ丸0429: 手刀で
[1472.105] shiki_maru: ぽまえがな
[1472.179] (S)nonaru4637: ぽまえだよ
[1472.655] りむりん: それはぽまえ
[1473.394] (S)ちゃつう: お前だろ
[1475.733] ウツル: ライン超えだぞ
[1475.786] alice8629: 今日の人外集でるぞそのうち
[1476.338] (S)natune_0: 仲間さがすな
[1476.488] jasmugi: それおまえ
[1476.974] 雪狐0143: 人外出てるぞ
[1477.019] (S)Ichigo_Strawberry15: それぽまえ
[1477.108] (S)みそギン: 人じゃないのはオメーだ
[1477.247] (S)お手軽炊飯器: ぽまえはやるのか
[1478.660] (S)evolblackhole555: それぽまえ
[1479.343] (S)デデヂデ: ぽ前だろ
[1480.806] amcill: それはぽまえ
[1481.086] shavuto3: それぺまえ
[1482.569] フーリー: それはぽまえ
[1482.686] 雪狐0143: それはぽまえ
[1482.741] くろざき: それぽまえ
[1484.030] (S)Ichigo_Strawberry15: すももんはうさぎだぞ
[1484.257] あるみ屋: それぽまえ
[1487.234] けとせとら: 自己紹介やめい
[1487.435] (S)lycomuss: lycomuss subscribed with Prime. They've subscribed for 8 months, currently on a 8 month streak! 
[1487.477] (S)にゃんねね: それはぽまえ
[1487.502] (S)ここねり: ぐっろ
[1488.085] きまぐれ_: ぽまえがな？
[1488.966] (S)ラボア: それはぽまえ
[1489.013] panndaman1: それぽまえ
[1489.121] 惰性さん: 人外なのぽまえ
[1502.614] (S)猫又01: 人外の感覚を共有しようとしないで
[1506.093] koorigappo: わこらだ
[1511.023] rioapr03: wwwwww
[1512.339] uziro0836: ｗｗｗｗｗｗｗ
[1512.375] (S)RBlue_Lyco: がんばえ٩( ᐛ )و
[1513.091] 神崎立夏: せやな
[1513.192] ayunosioyaki0223: でかきも
[1513.639] ゆきとよ: ｗｗｗｗｗｗｗ
[1513.686] (S)moris1013: wwwww
[1514.025] なるか3: wwwww
[1516.496] ニコ丸0429: ちいかわ構文
[1517.571] (S)お手軽炊飯器: よくいうね「
[1517.715] (S)nakihai556: wwwwww
[1518.394] (S)えりさ_: wwww
[1518.427] (S)who_tawn: ブームがなげえ
[1519.637] きまぐれ_: なぬ？
[1520.073] (S)Ichigo_Strawberry15: ってコト？！
[1520.259] rioapr03: よおでかきも
[1521.081] (S)にゃんねね: でかきも
[1521.315] nagosaku: でかきも
[1522.587] (S)Ichigo_Strawberry15: www
[1522.598] うめた: ブーム長いやん
[1524.441] (S)もえもん: wwww
[1525.251] すいぺりあ: でかきも
[1526.461] あるみ屋: wwwww
[1527.588] nobume0v0: www
[1528.246] (S)evolblackhole555: wwww
[1528.848] (S)Ichigo_Strawberry15: でかきも構文
[1529.962] (S)にゃんねね: また言ってる
[1530.253] (S)fuu_maru: でかきも
[1531.089] きまぐれ_: www
[1532.836] もぐつむり: でかきも
[1533.020] ニコ丸0429: チラつく
[1533.867] 神崎立夏: ちらつくの草
[1533.955] うてんさんかい: JKだもんね
[1535.909] (S)ゆきゆた: 出てるね
[1536.968] kurono1627: さすでかきも
[1537.952] きまぐれ_: えぐ
[1538.115] namaeha_madanai_: でかきも
[1538.181] あるみ屋: 毎日言っとる
[1538.420] (S)STu_mormot555: あのガキがね
[1538.859] ruu_ha: でかきもね
[1539.204] (S)猫又01: でかきも構文
[1539.836] しょーーーん: でかきも、、
[1544.927] (S)ゆきゆた: でかきもな
[1546.438] uni_mm: でかきも
[1547.014] panndaman1: でかきも
[1547.027] atuono: デカキモ
[1547.211] night029: でかきもかぁ
[1547.457] bota111: でかきも
[1548.085] エイさん: 元々言ってたくね？
[1548.693] koromoti1219: 流石でかきもだな
[1550.429] うぃらすと: うるせー！いこー！
[1551.177] raybloss: このおじさん三人衆好きです
[1553.913] hirunnkun: わこらだ
[1556.259] きまぐれ_: 前からだよ
[1564.226] nagikami: お
