[4.024] ゆかりんりん: わこらだ！！！！！
[2130.419] (S)youkan_umai: しいたけ？
[2130.457] (S)Zzz_jun: あー
[2130.475] (S)azu_moti: クリ？
[2130.514] ぱんだぁぁぁ: おおおおー
[2130.657] (S)あんころころもち: くり？
[2130.664] (S)masao0203: お！
[2130.717] noguttyan02: お？
[2130.747] (S)MORIYA_37: 松茸？
[2130.784] ayunosioyaki0223: きのこ？
[2130.859] sachan_606: まさか？
[2130.866] mayoiyomi: きのこ
[2132.201] 雪狐0143: お
[2132.246] tumetai_kokoa: おお？
[2132.333] アオミナ: キノコ？
[2132.340] 茅凪つか: お？
[2132.481] bunchaan: お
[2132.481] (S)うがら: キノコだ！！
[2132.548] hotaru3301: きのこ？
[2132.557] gu_taranosuke: お？
[2132.620] (S)ちゃつう: お
[2132.720] (S)きなこねこちゃん: おっとぉ
[2132.788] (S)kk09073333: しいたけやw
[2132.850] gawrib: おっとぉ？
[2132.886] khinmr: マッシュルーム
[2132.917] 紗弥0926: なるほど
[2132.939] (S)evolblackhole555: おおおおおwwww
[2132.948] shooo818: おー
[2133.121] (S)ほのぼの: あー
[2133.227] 銀河ポテト: おお
[2133.288] (S)sjindoa: おー
[2133.318] (S)ruchi_13: 椎茸？
[2133.320] (S)レだん: まちたけ？
[2133.355] (S)kanio319: キノコ?
[2133.414] (S)lightreft1250: しいたけ？
[2133.495] (S)kanpan0346: きのこ
[2133.725] Kyouzin26: きの？
[2133.916] (S)rioniku1515: おいしいよね～～～
[2133.973] みつおうぎ: キノコ！
[2134.023] niku_aburami: あ
[2134.075] tonkatsu_3: キノコ(調理済み)
[2134.102] (S)のんんんん: しいたけ
[2134.118] (S)てんまる: きのこ！
[2134.279] こめこめおこめ: ほう
[2134.329] bamu__kuhen: しいたけ
[2134.373] 礼紋: おお
[2134.490] kairodi: お
[2134.504] (S)tsuM6G1_: おおおおお
[2135.238] liangshi32100: おおお！
[2135.308] suraimu78: u-n
[2135.410] にこさく: お？
[2135.605] ばにら0115: キノコwww
[2135.670] (S)あんころころもち: 焼き栗？
[2135.803] i_iiiiiip: まつたけ？
[2136.112] あーわ: まつたけ？
[2136.149] emitsin: しいたけ
[2136.162] dokukinoco: uuum
[2136.188] omochi_uma_uma: おお
[2136.215] tadano_reizouko: きのこ！
[2136.221] kiki_rurum: キノコ
[2136.295] siiroda: きのこぉぉぉぉ
[2136.317] (S)ゆずかちゃん: わああ
[2136.364] (S)drem_chan: お？
[2136.390] guminosuke: お？
[2136.391] hash_maro: まつたけ
[2136.584] yururano_0: おおおお
[2136.620] remiiiii_28: おお
[2136.808] shina1116: 椎茸だ！
[2136.869] いこまき: おっ
[2137.027] tumetai_kokoa: おおおおおとお
[2137.053] kokutomitsu: たけのこ一択だろ
[2137.067] ruu_ha: きのこか
[2137.098] kainn_1114: お
[2137.478] mikan_san: しいたけか！？
[2137.542] なななこな: おお
[2137.584] niku_aburami: おおおお
[2137.616] ekurea1221: お
[2137.695] emilu1765: きのこ？
[2137.733] (S)スペルタン: きのこ！？
[2137.751] stotyan: きのこ？
[2137.779] Kyouzin26: きのこ？
[2137.824] magaos_753: おおおおお
[2138.265] itoido: きのこ
[2138.418] (S)ryotamk_2: 椎茸か
[2138.505] (S)あさひ841: おお
[2138.509] ごぜん_: おおおお
[2138.524] アキレゐト: なんかエロい
[2138.609] アオミナ: なるほど
[2138.611] すわずし: くり？
[2138.709] nodoka123654: 🍄
[2138.712] harusame55: しいたけ？
[2138.770] rsk010: キノコ！
[2138.787] るね778: 普通にレベル高くない？
[2138.806] nekonaaa: おおおお
[2138.812] (S)楠木みしろ: 椎茸？
[2138.823] (S)liri_san: おお
[2138.903] シェリー_: きのこか
[2138.908] (S)ゆずかちゃん: しいたけ
[2138.938] beats_18942525: 松茸
[2139.156] gungnill: おおお
[2139.191] mimipaadesu0428: キノコ？？？
[2139.332] (S)n_0809: きのこだー
[2139.590] (S)drem_chan: きのこw w w w
[2139.673] (S)lightreft1250: しいたけだ！
[2139.818] wasabi_kinako: おおお
[2139.841] 2時半: きのこ？
[2139.870] (S)tomiet_: 切れ目入ってるｗ
[2140.108] mitora2916: のこのーこのげんきのこ？
[2140.129] maccha_dethtoroy: きのこ！
[2140.167] 甘酒大好き: しいたけ？
[2140.470] 梨一: ｗｗｗｗｗｗ
[2140.679] you_28: しいたけ！！
[2140.698] (S)きなこねこちゃん: お
[2140.892] 礼紋: 上ww
[2140.894] khinmr: しいたけ
[2140.909] rona0525: きのここの世で1番嫌い
[2141.404] (S)hikky7294: 松茸
[2141.653] rila26: 松茸？
[2141.670] nishina___: きのこだー！！！！
[2141.692] や5: きのこ
[2141.705] (S)OmOtc: 🍄( '-' 🍄 )ｷﾉｺﾁｬﾝ
[2141.712] mutyopasu: しいたけ
[2141.720] gaiantufan: おおおおー
[2141.744] すいろ: 上しいたけや
[2141.803] ayunosioyaki0223: おおおおおおw
[2141.840] nobume0v0: おおお
[2141.861] (S)ruchi_13: おおお
[2141.897] mimumaru: きのこ！
[2142.093] (S)鉛筆びー: きのこ！
[2142.116] (S)みーだん: www
[2142.183] dokukinoco: しいたけ？
[2142.201] 雪寺: のこのこ元気の子
[2142.259] tanuki_pan: しいたけ？
[2142.417] kinote3: 切れ目が入ってる
[2142.544] riyuka_5439: キノコ！
[2142.712] suiryuu_01: お？
[2142.773] yamaziso: きのこ！
[2142.785] (S)kuensa: 松茸
[2142.790] (S)otux2_0205: お
[2142.791] bunchaan: radaoKonro
[2142.837] (S)yuujyuufudann: お
[2142.932] あずき_: きのこ？ww
[2143.209] 梨一: しいたけか
[2143.419] ore_baka: キノコきたぁぁぁあぁ
[2143.429] rrrrr1111: おおお
[2143.493] ラボア: きのこ！
[2143.576] yakiyakitori: 切れ目が
[2143.649] 46_kulo: お
[2143.795] yu_rrr0409: きのーこ
[2143.807] guminosuke: きの…こ…?
[2143.807] syaru_28: しいたけ
[2143.828] huku_mm: 椎茸？
[2143.869] aika_0317: きのこ！
[2143.886] りろ31: しいたけ？
[2143.906] ぺーきち: ティラミス？
[2144.535] momo_0430_: おおおお！！
[2144.552] sulapon58: お？
[2144.580] 469646: ううむぅぅ？！
[2144.601] Kyouzin26: うおー
[2144.756] sei_0401: おおお！
[2144.771] (S)4maten: しいたけ
[2144.780] yurina_conan: しいたけ！
[2144.782] (S)おの_レエイ_00: きのこ？
[2145.449] mamo_yarotao: 頭の上
[2145.488] (S)うもうくん: お？
[2145.505] 雪狐0143: おお
[2145.563] suraimu78: お
[2145.624] ミニミニ: おおー
[2145.781] dky_i111027: しいたけか
[2145.972] 虎空: 毒キノコやん！！
[2145.993] usiuma: それは椎茸
[2146.011] sachan_606: しいたけだーー！
[2146.032] liangshi32100: キノコだ
[2146.094] 五色椿: おぉ？
[2146.109] (S)楠木みしろ: お？
[2146.213] (S)masao0203: ぉぉおおおおお！
[2146.428] (S)lightreft1250: お？
[2146.443] kobutada: しいたけー
[2146.624] (S)ゆきとよ: お
[2146.666] 砂ザトウ: おーー
[2146.770] (S)taikan_yokoyama: お？
[2146.817] rain_12221: きのこか！
[2146.833] getsu_268: しいたけ！
[2146.877] sol_8787_: お
[2146.880] Kyouzin26: うおーれ
[2146.996] ばにら0115: しいたけ？
[2147.072] ぱんだぁぁぁ: お？
[2147.126] (S)レだん: いいねー
[2147.314] (S)NORI25252: 最初から切れ目あるw
[2147.372] 小田野餅: お
[2147.581] (S)らむ麦: いいねえ
[2147.819] nishina___: 物足りない！？
[2147.854] hinakai_46: 包丁入れられとる
[2147.869] (S)ふむふる: おお？
[2148.020] (S)あさひ841: しいたけ！
[2148.042] 椋榎: あー
[2148.251] (S)そふぃ3: 椎茸か！！
[2148.345] (S)kanpan0346: お？
[2148.498] (S)~MISSING_COMMENTER_INFO~: お？
[2148.499] るね778: しいたけかな？
[2148.520] Kyouzin26: うおー！
[2148.653] sunomono8: お？
[2148.723] honehone_2: お？
[2148.727] ワタメル0324: お？
[2148.763] (S)drem_chan: しいたけ！
[2148.796] 縮緬雑魚: お
[2148.831] ayunosioyaki0223: お？
[2148.909] futunooryo: しいたけだ！
[2149.140] ラボア: お
[2149.189] nuiru0710: ちゃんと切れ目あるwwwwww
[2149.195] 잣피: お
[2149.346] rona0525: お
[2149.385] ajataka66: きのこ
[2149.413] jinkucky: お
[2149.557] piisuke0428: お
[2149.772] rsk010: かわいーん
[2149.783] (S)nanane_0: お？
[2149.812] 神崎立夏: 飾り包丁入っとる
[2149.817] ぺーきち: しいけ！
[2149.880] uziro0836: お
[2150.107] 469646: お？
[2150.308] にこさく: しいたけ
[2150.328] binsen_0707: 切れ目入っとる
[2150.415] hash_maro: しいたけ
[2150.746] 雪寺: 焼かせろ
[2150.763] (S)ナナシ_: しいたけだ
[2150.790] chibiko_147: お？？？
[2150.882] mayoiyomi: きのこの
[2150.922] hood_kun: 自然界で切れ目はいってる
[2151.448] ともぞーくん: かわいーん
[2151.465] hana1016: お？
[2151.494] しぺぺぺ: ひわい
[2151.583] (S)baberuboburu3939: お
[2151.868] kazushan: 飾り包丁しとる
[2151.904] 0chashu0: www
[2151.963] (S)universal_studio_alice: 椎茸食いてえ
[2152.074] (S)koromu_rom: 椎茸
[2152.080] (S)みーだん: お？
[2152.086] 名無しの無し: お
[2152.104] hamatarobanana: おお
[2152.140] ワタメル0324: おお
[2152.316] rila26: しいたけやwwww
[2152.327] satou_036: 切れ目入ってる？
[2152.415] mamed790312: お
[2152.483] karasudayou: お？
[2152.537] ぷます: お
[2152.615] ラムネ味: しいたけ？
[2152.693] bamu__kuhen: タケコプター！
[2153.096] mana1o0: お
[2153.117] maccha_dethtoroy: お
[2153.173] そのた: お
[2153.207] non11_piuzo: お
[2153.278] (S)ひびき1214: 頭の十字がいい
[2153.301] nihu_umeki: お？
[2153.366] カナバ: お！
[2153.396] あずき_: しいたけwwww
[2153.426] yurina_conan: 励みたい
[2153.515] kenp1n_8: お
[2153.698] incoka2525: え！？
[2153.775] ぬら_: お！
[2153.807] mimipaadesu0428: お？
[2153.894] yanoneko11299: お
[2153.940] pepelonteeno: お
[2154.464] (S)そふぃ3: おっ
[2154.531] urunc96s: お
[2154.564] mikan1185: お？
[2154.595] d_guma: お？
[2154.657] nekonaaa: お？
[2154.756] (S)あんころころもち: 頭.十字にきっとるw
[2154.914] (S)kuensa: しいたけ
[2155.046] stotyan: おお
[2155.103] cheaperes: お
[2155.157] (S)remon1503: お？
[2155.174] (S)tsuM6G1_: ちゃんとはえとる
[2155.447] (S)ここねり: しいたけ！
[2155.529] acerolaaa3: お？？？？？
[2155.611] yakiyakitori: うお
[2155.700] Kyouzin26: 醤油持ってこーい
[2155.858] (S)rerereghoul: お
[2155.879] ADOD_3nsf: 切れ目入っとるw
[2155.887] rain_12221: お
[2155.906] i_iiiiiip: 切れ目ちゃんとある
[2156.118] 469646: ほうほう
[2156.156] mitora2916: おっと？
[2156.200] (S)konei0210: お？
[2156.401] (S)スペルタン: しいたけ？
[2156.444] mikina918: お？
[2156.507] itoido: お
[2156.665] mameko_7: お？
[2156.825] (S)masaba014147: お
[2156.984] (S)tsuM6G1_: おっ
[2157.128] (S)楠木みしろ: え
[2157.136] gu_taranosuke: お
[2157.229] みりまんじゅう: お
[2157.229] (S)うがら: お！？
[2157.362] karasu57: お？
[2157.365] mimumaru: ハゲ言うな
[2157.389] 38_0501: おー
[2157.430] 梨一: お？
[2157.623] さたさた: はげゆうな
[2157.751] ruuno_1105: お？
[2157.977] nuiru0710: お？
[2157.994] noguttyan02: お？？
[2158.031] (S)chitan0: お
[2158.110] ぱんだぁぁぁ: ぉぉおおおおおー
[2158.122] ラボア: お？
[2158.174] (S)koruku_31: お
[2158.210] suibotu_: お？
[2158.256] mira_bell5: お
[2158.375] 神崎立夏: お？
[2158.409] 雪狐0143: しいたけ！
[2158.426] ごぜん_: お！
[2158.524] ねぎカレー: おお
[2158.586] suiryuu_01: タケコプター
[2158.599] tumetai_kokoa: お？
[2158.775] raina_1215: お
[2158.920] risukao: 椎茸の飾り切りね
[2159.140] (S)lightreft1250: おおおおおおおおおおおお
[2159.289] tukutuku2929: きのこごはん
[2159.370] nagi03016: なんか愛着湧く
[2159.378] nishina___: うおおおおおおおお
[2159.585] sei_0401: お？
[2159.596] (S)きっこまん: きのこごはん！
[2159.615] meronthan: お？
[2159.646] (S)yoichimu: お？
[2159.791] kur0_neko2: おっ
[2159.793] 五色椿: おおおおお
[2159.803] yuiyui_1116: お
[2159.809] (S)らむ麦: え！？
[2160.026] (S)なつおよ: すき焼きのしいたけがいっちゃん美味い
[2160.043] マスクさん: うおおおおおおお
[2160.060] having_harumaki: おーー
[2160.167] mitora2916: あ
[2160.286] alice8629: お
[2160.310] yurina_conan: お？
[2160.420] (S)あんころころもち: 椎茸さん？
[2160.443] 46_kulo: おおおおおおおおおおおおおおおおおおお
[2160.516] makuro0308: ゆね…
[2160.531] mayoiyomi: お
[2161.074] (S)ゆきとよ: 炊き込みご飯だー！
[2161.188] alimax_3107: お？
[2161.204] kurufu1022: お？
[2161.325] satou_036: お？
[2161.474] panndaman1: お
[2161.572] すわずし: お
[2161.583] bunchaan: お
[2161.585] i_iiiiiip: お！？
[2161.714] 137massa: 松茸だろ
[2161.790] (S)rioniku1515: うおおおおおおおおおお
[2162.044] sekka0: うおおおおおおおお
[2162.279] _さらん_: お？
[2162.466] きのここ: おおおおおおおお
[2162.706] 稚魚ちゃん: ？
[2162.764] (S)yuujyuufudann: おおおお
[2162.839] kazushan: 炊き込みご飯だ
[2162.895] 4waiyo: おおおお
[2162.904] wannko10: なるほどね
[2162.957] らむねーど: お？
[2162.975] 五色椿: おいしそう！
[2163.049] ao_aka_kiro: ご飯？
[2163.089] vvakan: ごはんだあ
[2163.254] hana1016: おおおお
[2163.329] shilva_0: おおお
[2163.405] truthdayo: お
[2163.489] sunomono8: おおおおおおおおおおお
[2163.503] (S)natsu_ren: しいたけ！
[2163.623] rioapr03: わーい
[2163.790] しろ_さん: うおおおおおおおおおおおお
[2163.800] イモムシファザー: おおお
[2163.879] (S)レだん: おおおおおおおお
[2164.300] んさく: おおおおおおお
[2164.314] (S)鉛筆びー: お
[2164.427] (S)ふむふる: おおおおおおおおお
[2164.442] (S)おの_レエイ_00: おお
[2164.487] さつまいもおいしい: おおおお
[2164.610] kitu2456: うおおおおおおおおお
[2164.730] suv_2850: 鍋にしてあげよ
[2164.766] ramti0703: おおー
[2164.835] (S)きっこまん: おいしそーん
[2164.914] liangshi32100: おおおおお
[2165.093] kashiwa_ppz: おおおおおお
[2165.105] ねぎま__: うおおおおおおお
[2165.132] (S)Zzz_jun: うおおおおおおおおおおお
[2165.172] (S)楠木みしろ: うおおおおおお
[2165.281] haneko_zip: おいしそう～～～～
[2165.363] ラボア: おおおおおおおおおおおお
[2165.370] シェリー_: おおおおおおお
[2165.398] 守護神タナーカ1111世: おおおおおおおおおおおおおおお
[2165.489] あーわ: お？
[2165.520] emilu1765: お？
[2165.554] ajataka66: おお？
[2165.714] ugei0013: お
[2165.768] ばんしぃ: うおおおおおおおおおおおおお
[2165.786] りろ31: おおお
[2165.990] えびちりすけ: お？
[2166.001] shooo818: おおおお
[2166.077] のへび: おいしそう
[2166.090] kchan1225: お
[2166.119] yotuba_330: うおおおおお
[2166.126] (S)evacoler: ご飯に入れた！
[2166.142] 雪寺: 炊き込みご飯だー
[2166.147] (S)lightreft1250: これは秋
[2166.333] (S)otux2_0205: うおおおおおお
[2166.383] 神崎立夏: ？
[2166.430] (S)MORIYA_37: うおおおおお
[2166.480] やくとみ: 炊き込みご飯ｗｗｗ
[2166.700] mamed790312: うおおおおおおおお
[2166.714] ssss_mudkip: おおおお
[2166.799] (S)yona_0724: うおおおおおおおおお
[2166.812] _イオ_: おおおおおおおお
[2166.821] nodoka123654: おおおお
[2166.828] こめこめおこめ: うおおおおおおおおお
[2166.857] tanuki_pan: 炊き込んだあああ
[2168.122] 縮緬雑魚: わーい
[2168.158] (S)ちゃつう: うおおおおおおおおお
[2168.200] yakiyakitori: うおとおおお
[2168.287] dokukinoco: www
[2168.290] rila26: まさか！！
[2168.394] 甘酒大好き: うおおおおおおおおおおおおお
[2168.476] nekonaaa: おおおおおおおおお
[2168.484] ごぜん_: うおおおおおおお
[2168.551] (S)moris1013: おおおおおお
[2168.611] kenp1n_8: うおおおおおおおお
[2168.639] (S)~MISSING_COMMENTER_INFO~: おおおおおおおお
[2168.660] すいろ: ぐおおおお
[2168.692] negishio___: おおおおお
[2168.709] asaborake0408: おおおおおおおおおお
[2168.742] kinote3: うおおおおお
[2168.827] 鯉々: おー
[2168.838] (S)あさひ841: うおおおおおおおおお！！！
[2168.893] cheaperes: うおおおおおおおおおおお
[2168.895] ochdh: おおおおおおおお
[2169.061] (S)tiger_bay: おいしそー
[2169.081] tyokominnto1227: おおおおお
[2169.195] (S)nakihai556: おおおおおお
[2169.238] 礼紋: wwwwwwwww
[2169.251] 梨一: 美味しそう
[2169.251] kiriya_453145: やたあああああああああ
[2169.321] (S)なつおよ: うおおおおおおおおおおおおおお
[2169.408] (S)taikan_yokoyama: おおおおおおおおおおおおお
[2169.577] (S)evolblackhole555: うぉぉぉぉおおおおおおおおおおおお
[2169.727] (S)ゆずかちゃん: ごはん！
[2169.811] (S)のんんんん: おいしそーーーーーー
[2169.827] (S)ほのぼの: ぉぉぉぉと
[2169.877] karasu57: うおおおおおお
[2169.878] jam_ars: うおおおおおおおおおおおお
[2169.892] (S)そおお: おおおおおおおお
[2169.898] kairodi: おおおおおおおおおお
[2171.174] (S)鉛筆びー: おおおおおおおおおお
[2171.203] 0chashu0: おおおおおおお
[2171.216] hua_uoxou: おおおおおおおおお
[2171.245] (S)sjindoa: おおおおおおおおお
[2171.269] あーわ: かわいーん
[2171.318] futunooryo: うおおおおおおお
[2171.478] rona0525: うおおおおおおお
[2171.482] 名無しの無し: うおおおおおおおお
[2171.623] nihu_umeki: うまそ！
[2171.811] (S)azu_moti: おおおおおおおお
[2171.852] binsen_0707: おおおおおおおおおおおお
[2171.912] 神崎立夏: はぇー
[2171.955] (S)タクトン: たーべよ
[2172.077] guminosuke: 剥けた…?
[2172.078] minibanbi: うおおおおおおおおおおお
[2172.096] ao_aka_kiro: うおおおおおおおお
[2172.238] kanenbutsu: うおおおおおおお
[2172.247] (S)nashu_noike: やったぁぁぁぁぁぁぁ
[2172.373] (S)4maten: うおおおおお
[2172.395] (S)蕪木りん: うぉおおおおお
[2172.602] (S)liri_san: やったぁぁ
[2172.630] (S)あんころころもち: キノコご飯？
[2172.683] (S)ゆきとよ: 美味しそう～
[2172.690] ぱんだぁぁぁ: うおおおおおお
[2172.845] onehome0910: きのこのこの子元気の子
[2172.905] tumetai_kokoa: うおおおおおおおおおおお
[2174.296] なななこな: わーい
[2174.362] nodoka123654: うおおおお
[2174.380] (S)konei0210: おいしそう！
[2174.536] (S)otux2_0205: キノコ嫌い
[2174.537] mimumaru: まつたけごはん？！
[2174.547] gakuto1007: わーい
[2174.585] (S)kanpan0346: おおおおおおおおお
[2174.636] (S)うもうくん: うおおおおおおおおおお
[2174.651] butakoro: おおおおおおおおおお.......
[2174.710] 巫狐: 食べたくなってきた
[2174.735] みりンゴ: うおおおおおおお
[2174.868] satou_036: おおおおおお
[2174.959] kur0_neko2: うまそ!!!
[2174.969] yuzu_0708: かわいいいいん
[2175.055] yurina_conan: ごはん！
[2175.071] まみまる: やったーーーーーー
[2175.092] mokupachi88: うおおおおおおおおお
[2175.140] (S)nqta_coconut: うおおおおおおおおお
[2175.171] yotuba_330: 炊き込みご飯うまそおおおおお
[2175.211] 七瀬優: うおおおおお
[2175.304] (S)ゆずかちゃん: すごーーい！！
[2175.340] ねぎカレー: (´^q^｀)
[2175.598] ちゃい1221: 美味しそう
[2175.695] imoyoukanmaru: やったーーー
[2175.706] gu_taranosuke: おおおおおおおおおおおお
[2175.787] (S)tomiet_: わーい
[2175.848] ラボア: おいしそおおおおおおおお
[2175.854] harugasaku: おおおおおおおお
[2175.871] らたき: うまそー！！！！
[2175.891] みおん3078: おおぉぉ
[2175.893] c_kuma76: うおおおおおおお
[2175.903] たんめん: かわいー
[2177.349] mikan1185: やったぁぁ！！！
[2177.401] カナバ: おいしそー！
[2177.414] さつまいもおいしい: うまそう！
[2177.420] rain_12221: うおおおおおおおお
[2177.426] (S)masaba014147: うおおお
[2177.436] mameko_7: うおおおおおおお
[2177.444] mpru: うおおおおおおおおおおおお
[2177.445] owl317: おおおおおおおお
[2177.507] 469646: おいそーー！
[2177.547] incoka2525: 美味しそー
[2177.594] (S)ひびき1214: 炊き込みご飯だ！
[2177.627] (S)らむ麦: うおおおおおおおお
[2177.639] 角角家: おおおお
[2177.857] (S)universal_studio_alice: うおおおおおお
[2177.869] ao_aka_kiro: はらへったーーーーー
[2177.936] 雪狐0143: おおおおおおお
[2177.981] ｺﾛﾆ: 888888888888
[2178.026] (S)liri_san: うおおおお
[2178.064] rk_1200: うおおおおおおおおおおお
[2178.122] ばにら0115: お腹空く
[2178.172] すいぺりあ: うおおおおお
[2178.202] stotyan: うおおおおおおおおお
[2178.211] guminosuke: うおおおおおおおおおお
[2178.230] emilu1765: うまそう
[2178.274] 礼紋: お腹空いた
[2178.428] ぱんだぁぁぁ: うまそぅー
[2178.699] (S)m46ue: おおお
[2178.699] nuiru0710: うまそー！！！！
[2178.752] meronthan: おおおおおおおお
[2178.762] (S)monhana1147: radaoYatta
[2178.790] nekonaaa: おいしそー
[2178.809] ラムネ味: うおおおおおおおおお
[2178.817] ekurea1221: おおおおおお
[2178.853] mutyopasu: ( 'ω')ｳｵｵｵｵｵｵｵｲｱｳｵｵｵｵｵｵｵ!!!!!
[2178.878] harusame55: うおおおおおおおおおお
[2180.384] omochi_uma_uma: おおおおおお
[2180.407] (S)koruku_31: うおおおおおおおおおおお
[2180.561] am4kumo: うおおおおおおおお
[2180.596] ひのもり: かわいーん
[2180.612] agrqua: おいしそー！！！！！
[2180.622] 6choco2: うおおおおおおおお
[2180.626] pepelonteeno: うまそ
[2180.629] totoaidesu: うおおおおおおお
[2180.799] (S)mary611: うおおおおおおおおお
[2180.812] ぺーきち: きのこご飯！
[2180.835] (S)あんころころもち: キノコご飯だァwwww
[2180.839] 4waiyo: ｗｗｗｗ
[2181.039] kurufu1022: うおおおおおお
[2181.235] 神崎立夏: ふむ
[2181.306] panndaman1: おおおおおおおおおお
[2181.375] chibiko_147: うおおおおおおおお
[2181.449] (S)SHIROMA_468: うおおおおおおお
[2181.490] (S)OmOtc: うおおおおおお！！！
[2181.537] kyo_kaaa: おおおおおお！！！
[2181.628] kohq_Loco: わーい
[2181.686] tukutuku2929: 棒声やめてあげて
[2181.719] アキレゐト: うおおおお
[2181.744] d_guma: きのこのこのこげんきのこ
[2181.770] 梨一: 土の上でできたご飯
[2181.831] sabitetu: おなかすいたー
[2181.870] ruuno_1105: おいしそー
[2181.965] yurina_conan: すこーーーーー
[2181.978] gu_taranosuke: 美味しいやつ
[2182.181] (S)hikky7294: これは美味しい
[2182.199] ヤクシャ: カメラアピw
[2182.215] 縮緬雑魚: 圧
[2182.217] nobume0v0: かわいーーーん
[2182.228] ぴーよよよ: うおおお
[2182.316] truthdayo: うおおおおぉおおおお
[2182.364] 虎空: 棒読みすぎワロタ
[2182.495] mamed790312: ……ww
[2182.771] (S)きのこの炊き込みご飯: きのこの炊き込みご飯？！
[2182.836] kurono1022: おおおおおと
[2182.854] ajataka66: 👏👏👏👏👏
[2183.397] inasaku1739: 丸ごと入ってて草
[2183.428] karasudayou: うおおおおおおお
[2183.618] hash_maro: かわい！
[2183.636] risukao: おいしそー
[2183.647] kchan1225: おおおおおおおおおおおお
[2183.843] kanon_nnn: 炊き込みご飯！！！食べたい！！
[2183.886] 守護神タナーカ1111世: 食え
[2184.066] 紗弥0926: wwww
[2184.076] satou_036: ＼(^o^)／わーい
[2184.087] yamaziso: やったー
[2184.102] (S)ichigomilk_252: うおおおおおおおおおおおお
[2184.105] くろやぎちゃん: うおおおおお
[2184.110] (S)nonsugar017: お腹すいた
[2184.164] azu7151: おおおおおおお
[2184.279] (S)ゆずかちゃん: radaoYatta
[2184.351] munyamalru: wwww
[2184.467] なななこな: おいしそー
[2184.557] ken18790: いいね
[2184.586] nuiru0710: たべよ
[2184.644] (S)masao0203: 美味しそ！
[2184.704] KinakoMochi_06: 共食い！？
[2184.781] wannko10: 88888888888
[2185.009] 雪寺: やく？
[2185.020] yotuba_330: wwwwww
[2185.035] r_udhimaru: うおおおお
[2185.061] 0chashu0: すごいーん！
[2185.086] (S)ta__mei: 美味しそう
[2185.124] 哀れな人の子: にんじんちゃんと入ってるじゃん
[2185.209] (S)RBlue_Lyco: うおおおおおおおおおお
[2185.726] bakemono_0214: おいしそおおお
[2185.754] 2時半: うおおおおおおぉ
[2185.794] kokona0612: うおおおおぉ
[2186.715] heyotun: 丸ごと入ってる
[2186.749] さたさた: 美味いやつー！
[2186.815] 砂ザトウ: 美味しそ
[2186.870] yurina_conan: えええええ
[2186.892] you_28: 美味しそ〜！！！
[2186.957] るね778: かわいいーん
[2187.012] liangshi32100: 8888888
[2187.155] kanuha0922: やったー
[2187.363] nanana_ka: 888888888
[2187.581] hinakai_46: 丸ごとはいってるタイプね
[2187.664] ayame025: うおおおおおおおおおおおお
[2187.703] honekara: かわいいい
[2187.837] nya_tyatora: お腹空いてきた
[2187.838] (S)kuensa: うぉおおおおぉぉぉおおぉ
[2187.885] 38_0501: うまそー
[2187.912] stotyan: おいしそお
[2188.015] (S)remon1503: うぉぉ！！！キノコ食べれねぇぇぇぇぇぇぇえええ
[2188.357] あーわ: wwwwwww
[2188.428] (S)ここねり: うおおおおおおおおお
[2188.459] sachan_606: 888888888888
[2188.666] にこさく: 美味しそう
[2188.792] suiryuu_01: 888888888
[2188.800] wannko10: 8888888888
[2189.212] ごんのすけ: お腹空く
[2189.214] 雪狐0143: おいしそう！
[2189.401] さつまいもおいしい: 88888888
[2189.528] honekara: うおおおおお
[2189.600] i_iiiiiip: 888888888
[2189.832] edamame_283: うおおおおおお
[2189.950] やくとみ: お茶碗感いいね
[2190.008] や5: 888888888
[2190.070] rararango: おいしそう
[2190.217] nijinora: おいしいよなぁ
[2190.458] ぱんだぁぁぁ: 8888888
[2190.693] mayoiyomi: 🍄
[2190.959] tukutuku2929: 8888888888
[2191.063] (S)nonaru4637: かわいーん
[2191.068] (S)kanio319: おいしそー
[2191.076] (S)mary611: おいしそー
[2191.129] kuru053: 美味しそ〜
[2191.172] you_28: うおおおおおおおお
[2191.188] kasuka_sky: アイデア◎!!!!!
[2191.234] 七瀬優: うまそおおおおお
[2191.399] sulapon58: 棒読みｗ
[2191.514] えびちりすけ: うまそー！
[2191.561] (S)ruchi_13: 8888
[2191.666] KinakoMochi_06: 圧
[2191.726] たんめん: www
[2191.775] (S)タクトン: ふりか？
[2191.814] (S)yoichimu: おいしそー
[2191.819] (S)スパーズ: 8888888
[2192.215] (S)lesser2525: そのままはいってんのか
[2192.240] 神崎立夏: 圧
[2192.276] mattyan4545: いい
[2192.295] nekoko28: 888888888
[2192.458] 角角家: 888888
[2192.485] ajataka66: 8888888
[2192.604] honekara: 888888888
[2192.643] kanuha0922: うおおおおおお
[2192.858] (S)ryotamk_2: 888888888888
[2192.873] るね778: 美味しそう〜
[2193.051] ミッシぇる: よーしみんなでたべよおおおおおぉ‼️
[2193.067] wannko10: 888888888
[2193.128] mihiro_1903: 炊き込みご飯生えてて草
[2193.200] piisuke0428: あ
[2193.289] (S)MORIYA_37: 8888888888
[2193.354] kchan1225: 8888888888888
[2193.440] hondachaan: うおおおおおおおおお
[2193.475] jam_ars: 888888888
[2193.566] r_udhimaru: 8888888
[2193.622] na_mo: 8888888888
