[29.644] shiroseitz: よ
[1700.142] テラテラ223: おー
[1701.050] unkotomitaro: マッサージ的な意味で？
[1702.213] どろかつ: 開発者ありがとう
[1702.224] tabacco_taro: 毎回のお相手、プロの方か
[1702.229] takabo124: NTR
[1709.296] ミスタートウジン: RaMuちゃん母乳飲ませられないじゃん
[1710.304] ta9ya_infinity: 女版ジョージやめてね
[1710.586] 猫を食む者: そうですね、そうだと思います
[1712.023] ジャルパンク: 開発されときRaMuも
[1713.215] 1226yoppy: 夢を壊すな！
[1715.749] unkosan893: 酷い 
[1715.812] テラテラ223: ありがとう
[1717.798] ~MISSING_COMMENTER_INFO~: 耕してくれてありがとナス!
[1718.371] sizemini4869: 付き合う人の元カノ気になる？
[1719.408] ｶｯﾂﾝ: ありがとう
[1720.213] manmosu16: 開発やめてね 
[1721.561] どろかつ: 先駆者に 
[1722.039] bpsmikaeru: こっちが気持ちいいんじゃ！
[1726.514] (S)ヒイロジーエム: 草
[1733.131] another_yesman: 開発光
[1733.306] ｶｯﾂﾝ: 前任者に感謝をしろということか
[1734.660] 端数: だから処女が、イイ！
[1744.173] takabo124: 開発されたことは？
[1748.145] ta9ya_infinity: 危機感持ったほうがいい？
[1749.845] nattokinmm: まっちゃーお？！
[1752.336] ~MISSING_COMMENTER_INFO~: 俺は開発済みの方が楽でいいわ
[1755.076] びんとろ0303: らむちゃんはどこか開発してるの？
[1758.666] unkotomitaro: 感謝します
[1760.972] ~MISSING_COMMENTER_INFO~: ありがとうな元カレ＾＾
[1763.425] ribamoa: エロさをこえた保健体育ww
[1766.446] どろかつ: danbor1Sheishei
[1779.660] 1226yoppy: 穴る
[1781.904] tabacco_taro: けつあなは？
[1782.435] hanuman_wind: ほんとに感謝やで
[1784.974] 猫を食む者: 感謝🙏
[1785.670] sizemini4869: 結局おせっせはキライではない…？
[1789.552] takabo124: もこうは？
[1789.681] テラテラ223: は？
[1790.033] unkosan893: え～
[1792.098] yybk1t1234: この話事務所OKですか？
[1794.722] どろかつ: あ
[1799.632] ~MISSING_COMMENTER_INFO~: なりそう
[1799.916] びんとろ0303: いれてだして終わりやん
[1800.845] どろかつ: お腹壊すよ
[1805.567] ｶｯﾂﾝ: すやすやめろちゃん
[1805.912] kimNit0: 大腸炎になるよ
[1809.249] 猫を食む者: 着衣の１０分間、ありがたいです
[1810.404] yybk1t1234: ww
[1810.552] 端数: ケツは準備がダルい
[1811.542] nagi1308: 前哨戦込で？10分？
[1815.565] takabo124: それでいい
[1818.051] zackz_fair: 諦めw
[1818.456] 1226yoppy: お前AVとか見るの？
[1820.512] futonchan893: 28歳だけど、今月Gかぷ彼女に筆下ろししてもらったよ
[1823.306] ｶｯﾂﾝ: ｗ
[1824.784] unkosan893: ワロタ
[1825.471] どろかつ: （笑）
[1826.969] gd17g: 急に？
[1828.702] テラテラ223: w
[1829.209] 猫を食む者: それは怒られるよ
[1829.871] ~MISSING_COMMENTER_INFO~: けつ穴経験者おるのおもれいな
[1829.874] o465o: ramuzuZu
[1830.007] takabo124: なぜいれた
[1830.176] bpsmikaeru: ？笑笑
[1830.565] ｶｯﾂﾝ: いきなりはらめええええ
[1830.598] ダニエルぅ: そりゃそうだろ
[1836.377] unkotomitaro: それはキレる
[1837.851] unkosan893: 痛いやろそんなもん
[1839.189] watcher_japan: 痛いわ
[1839.408] ヨモギ田モギ代: 前任者がんばってほしかった
[1839.542] tabacco_taro: 28の童貞いたw
[1840.158] びんとろ0303: 開発した側か
[1841.925] どろかつ: 怒らんやろ！
[1844.554] gd17g: 急には怒るわww
[1846.288] zackz_fair: なんてことをするんだよ
[1853.673] m0n1k4_ss: 自分がやられたらどう思うよ？ww
[1854.046] どろかつ: 好きな人にされたら嬉しいやん
[1855.144] yybk1t1234: 💩ゆびについた？
[1856.430] unkosan893: らめぇぇぇぇ♥️て言うと思ったのか？
[1857.248] 20210813: カウントダウンすればよかった
[1858.881] 左利きのエレン: 一人で致したほうが気持ちいいんだけど自分の技術ぶそくですか？
[1862.937] 端数: 肛門括約筋もキレるから
[1864.451] thermotogamaritima: 切れ痔になっちゃう
[1866.878] ribamoa: ごうもん
[1867.287] takabo124: 知的好奇心
[1868.254] 猫を食む者: ぢかもしれないしね
[1871.161] sizemini4869: けつあな汚くない？
[1873.758] another_yesman: ゼロ❤️ゼロ❤️
[1878.335] 1226yoppy: 男の毛つげはどう思う？
[1878.983] ダニエルぅ: ｗｗｗ
[1883.012] nattokinmm: 2で入れろ
[1884.994] テラテラ223: 爪が危なくないか
[1887.419] ジャルパンク: RaMuは自分でする派なんだよ！
[1888.461] yybk1t1234: 💩💩💩
[1893.775] ヨモギ田モギ代: いったいどんな勢いで入れたんや
[1894.975] bpsmikaeru: 親指じゃなくて中指の方が良かったんじゃない？
[1897.755] ~MISSING_COMMENTER_INFO~: ネイルしてたら地獄やろな
[1899.841] m0n1k4_ss: 自分がされて嫌なことはしちゃいけないって習わなかった？
[1901.900] 猫を食む者: おやゆびか〜
[1906.997] 木工用ジェームズボンド: 剃ってくれるの！？
[1908.818] ｶｯﾂﾝ: そってくれるんだ
[1909.255] unkotomitaro: 剃ってくれるの？
[1913.906] テラテラ223: そってくれ
[1915.165] emonda_ceo_02: 基本毛は苦手なのね
[1915.368] びんとろ0303: 剃ってくれ
[1916.953] tabacco_taro: 剃ってくれるん⁉️
[1917.114] 1226yoppy: 剃ってくれ
[1918.483] dissydizzy: cp9!?
[1919.803] 木工用ジェームズボンド: ありがてー
[1924.475] どろかつ: 痒くなるからやめて
[1928.825] m0n1k4_ss: 助かる
[1932.500] courtois8310: チクチクしそう
[1936.642] 1226yoppy: 嫌がりながら剃られるとか最高やん
[1940.527] sizemini4869: 逆にけつあな触られたらイヤじゃない？
[1942.653] ダニエルぅ: そんなこと自分から言うやつは化け物
[1943.585] bpsmikaeru: 親指ツボwww
[1946.952] keiogu: あんま見ないで剃られるのは怖いわ
[1947.167] yybk1t1234: ラムは全身脱毛してんのか？
[1949.845] unkotomitaro: ハゲが好き？
[1964.815] yybk1t1234: いいね👍
[1969.770] m0n1k4_ss: 自分嫌ならするなよww
[1972.142] 1226yoppy: デブとガリどっちがすきぃる
[1974.755] bpsmikaeru: 痔になりそう
[1978.413] unkosan893: ワロタ
[1981.309] 木工用ジェームズボンド: ブラックホールかよ
[1981.373] どろかつ: www
[1984.414] kimNit0: すね毛で毛ダルマ作るやつ苦手そう
[1986.051] unkosan893: 最高やんけ
[1986.822] emonda_ceo_02: 吸い込まれるww
[1987.646] o465o: ｗｗｗｗｗｗｗ
[1988.500] どろかつ: そのほうが楽しい
[1988.795] bpsmikaeru: 愉快な人ですね笑笑
[1991.689] ジャルパンク: 四つん這いで
[1992.235] ~MISSING_COMMENTER_INFO~: 愛が無いと出来ないね
[1993.435] tabacco_taro: ご褒美かよ
[1994.307] hanuman_wind: ケツ毛生えないのよね
[1997.295] nattokinmm: ムードもクソもねえ笑笑
[2002.200] yybk1t1234: 斉藤さんケツ毛濃そうだよね
[2009.915] takabo124: こわ
[2015.881] kimNit0: それ男でやるよ
[2016.128] げこ43: えっど
[2019.675] zackz_fair: 過激やな
[2020.412] 端数: 陽過ぎる
[2021.105] keiogu: ありんこ懐い
[2021.321] 1226yoppy: ガムテープではがしてるやっはおった
[2021.903] テラテラ223: なんでライター持ってるんだろうな
[2024.821] unkosan893: ライター何であるんですかねぇ 
[2028.467] pisalo: 俺なんでVCTの音消してこっち見てんだろ
[2034.994] びんとろ0303: ライターであぶるは余計じゃないかｗ
[2035.811] m0n1k4_ss: 今日はこれでいっか
[2047.119] ~MISSING_COMMENTER_INFO~: TBK
[2058.164] どろかつ: 真っ黄色（笑）
[2059.822] bpsmikaeru: あぶると美味しくなるの？
[2067.352] hanuman_wind: 体毛めちゃくちゃ薄いんだけど、すね毛がないのを好きな子に気持ち悪いって言われたのがトラウマ
[2073.171] えっくすぜっと: どういうこと
[2075.385] 1226yoppy: 布団ちゃんやん
[2076.090] kimNit0: 喫煙者とキスいける？
[2085.208] ~MISSING_COMMENTER_INFO~: 歩きタバコ前に居ると追い越すくらい嫌い
[2090.164] m0n1k4_ss: ﾏﾁｬｰｵってこと！？
[2096.016] another_yesman: 「あいつは早死にするだろうなぁ」
[2096.475] takabo124: 彼氏ヘビースモーカーでもいい派か
[2100.122] sizemini4869: 美人、かわいい人はいい匂いは幻想？
[2110.385] unkosan893: 酷い 
[2111.405] tabacco_taro: 口臭うんこ
[2112.464] げこ43: 寝起きでもキスする？
[2112.870] ヨモギ田モギ代: 定期的に実況付きでケツ毛剃る彼女、つらいなぁ
[2115.754] ヨーコはやきの熟練奴隷豚: 臭草
[2118.038] テラテラ223: 誰でもくさいよ
[2118.830] 1226yoppy: 生えるもん仕方ないやんそんなにいやなの？
[2120.797] kimNit0: クサイよなぁ
[2126.595] unkotomitaro: ヤニ？
[2133.229] ~MISSING_COMMENTER_INFO~: コーヒーとタバコの友情コンボ
[2137.483] えっくすぜっと: 加齢臭とヤニどっち？
[2138.523] unkotomitaro: け
[2141.186] sizemini4869: ラム氏でも自分の口臭気になるの？
[2150.172] takabo124: 女は彼氏の口臭くても我慢出来る言うけどどうなん
[2151.882] m0n1k4_ss: yunocyやんww
[2159.663] 1226yoppy: ちんげは剃った方がいい？
[2166.562] bpsmikaeru: 実況なら安心してられるかも
[2167.205] unkosan893: ここの人みんな歯磨きしてないからね
[2174.060] futonchan893: て、まんした後、指臭い
[2175.194] tabacco_taro: 童貞はフロスしないから
[2176.435] ~MISSING_COMMENTER_INFO~: 俺も彼女の口臭くても我慢できるぞ
[2181.999] unkosan893: はぁ～
[2182.103] m0n1k4_ss: RaMuが臭かったら萌える
[2184.475] meyataku: 俺まだ歯磨きしてない
[2186.443] takjwmamw: 舌ブラシやってない人ガチで臭い
[2189.596] 1226yoppy: きたなくさきも！
[2190.519] どろかつ: BibleThump
[2190.663] ~MISSING_COMMENTER_INFO~: 家庭環境
[2192.540] えっくすぜっと: 遺伝の影響もあるからそれやめたほうがいいよ
[2195.963] emonda_ceo_02: 虫歯ゼロ？！凄いな。
[2196.980] kimNit0: 親の教育が良かったね
[2199.536] nattokinmm: 一回言われてからリステリン愛用してる
[2200.579] げこ43: ガキの頃の影響がデカいらしいね
[2202.796] バンジュ: 虫歯は親からの感染
[2202.894] どろかつ: ごめん 
[2209.564] ヨーコはやきの熟練奴隷豚: 虫歯菌は赤ちゃん自体持ってないけど、の唾液から感染するんだよね
[2213.844] ジャルパンク: 胃が荒れてますね
[2214.588] sizemini4869: 舌キレイ？
[2214.697] どろかつ: 歯磨きのめんどくさい 
[2215.644] もつこりもつこ: 今も白い？
[2221.669] takabo124: 乳製品は口臭くなる
[2222.839] 1226yoppy: それほんまにカルピスか？
[2223.070] dissydizzy: 歯科いくわ
[2225.821] m0n1k4_ss: 舌磨き毎回吐くんよな
[2228.977] emonda_ceo_02: それ両親軽蔑してることにならんか？w
[2231.782] unkosan893: 子供の頃キスとか口移ししたらまずいらしいな
[2235.523] tabacco_taro: 食べ物にもついてるから関係ないですね
[2237.693] another_yesman: ミュータンス菌があーだこーだ
[2239.803] syyyow: 逆に歯磨きも関係ないらしい
[2251.921] unkosan893: 歯磨き関係ないは嘘やろ
[2253.189] ~MISSING_COMMENTER_INFO~: ガキの頃虫歯多いと虐待されてる人が多い
[2262.034] bpsmikaeru: 運じゃない？
[2262.043] ジャルパンク: ramuzuZu
[2264.917] emonda_ceo_02: 両親の口内環境は軽蔑してるんだね
[2269.369] ヨーコはやきの熟練奴隷豚: あとは唾液の量が少ない多いとか
[2271.180] nattokinmm: 歯磨き一日一回だけど虫歯はできたことない
[2273.178] (S)わりとシーチキン: 虫歯にならない人はその代わり歯茎が弱りやすいらしい
[2273.266] unkosan893: まぁでも人種で歯の強度ちゃうらしい
[2274.265] ~MISSING_COMMENTER_INFO~: え
[2274.863] ダニエルぅ: え
[2275.123] m0n1k4_ss: 歯磨きエアプ乙
[2275.712] ヨーコはやきの熟練奴隷豚: くっさ！
[2277.698] kakaowpgj: くっさ
[2277.791] unkosan893: は？くっさ
[2279.240] 木工用ジェームズボンド: 幼少期に虫歯菌貰わなかったら死ぬまでほぼ虫歯にはならないらしいよ
[2279.354] another_yesman: くっさぁ♡
[2280.905] 1226yoppy: おぇ
[2281.140] futonchan893: くっ
[2284.951] unkotomitaro: くっさぁ
[2285.030] emonda_ceo_02: えーやっぱ感染しなかったパターンじゃない？
[2285.232] taoclut: 歯並びは関係あるそうね
[2288.450] ジャルパンク: フロス大事じゃない
[2288.582] m0n1k4_ss: 助かる
[2289.497] もつこりもつこ: 口の中見せて
[2290.544] ~MISSING_COMMENTER_INFO~: どう言うことや
[2291.025] unkosan893: やばくね？
[2292.254] bpsmikaeru: その心は？
[2293.091] ヨーコはやきの熟練奴隷豚: 歯の隙間とか見えない部分ヤバそう
[2293.503] (S)わりとシーチキン: それでも虫歯にならない人はならないよ𐤔𐤔𐤔
[2293.623] tabacco_taro: 可愛い顔して口臭かったのか。興奮するな
[2297.237] syyyow: 唾液量とかが重要なんよね知らんけど
[2297.270] gd17g: それで虫歯0は奇跡だな
[2301.379] unkosan893: 何で歯磨きしだしたん？
[2303.855] ヨーコはやきの熟練奴隷豚: フロスしないと虫歯なるよね
[2304.671] ヨモギ田モギ代: ヤベエwww
[2308.067] takjwmamw: してないんかいｗｗ
[2311.404] watcher_japan: そういう人は加齢で唾液の分泌量が減ると虫歯になるよ
[2311.713] takabo124: 唾液量で虫歯なりやすさ変わる
[2313.122] ダニエルぅ: やばすぎ
[2315.813] m0n1k4_ss: 激クサ口臭助かる
[2315.970] げこ43: 関係ないわけなくね？
[2316.166] unkotomitaro: 芸能人は歯が命
[2316.939] (S)わりとシーチキン: 虫歯ならない人は歯茎が弱るみたいだよ
[2325.417] futonchan893: 昼休憩にする子もいた
[2326.010] another_yesman: 最近歯医者いったのいつ？
[2330.133] o465o: ramuzuZu
[2330.417] もつこりもつこ: お願い口の中見せて
[2332.291] keirgear: なんで歯きれいなん、口臭もしないやろ
[2332.725] ~MISSING_COMMENTER_INFO~: 奥歯の横とか虫歯なるわ
[2333.743] emonda_ceo_02: やっぱ歯に恵まれてるんだね
[2334.412] kimNit0: 2回でいいよね
[2338.986] ジャルパンク: 定期検診
[2342.280] (S)わりとシーチキン: 磨く人は食べたら磨くから何回も磨くよ
[2345.336] どろかつ: 最新の歯学だと歯磨きは一日２分でいいらしいしね
[2348.685] unkotomitaro: 親知らず🦷
[2354.777] bpsmikaeru: 親知らず痛そう
[2362.492] emonda_ceo_02: へーいいなー
[2364.136] unkotomitaro: えー
[2364.484] takabo124: 才能
[2365.374] (S)わりとシーチキン: 虫歯ならない体質だ
[2369.491] どろかつ: 唾液の量が多いのかもね
[2370.324] m0n1k4_ss: 俺と虫歯つくろ
[2371.593] unkosan893: 歯石は基本なくね？歯磨きしてたら
[2372.656] lisdil8: うらやましい
[2375.414] (S)わりとシーチキン: 歯茎弱りやすいよ
[2376.356] たかぼぅ: 何くってん
[2376.561] kimNit0: キスしてもおいしそうだな
[2381.047] どろかつ: 唾液が多いと溶けるらしいよ
[2387.695] 1226yoppy: みせてくれ
[2389.568] sizemini4869: 口内見られるの恥ずかしくない？
[2394.481] unkosan893: そのときも無かったのマジかよ
[2401.218] takabo124: カルピスのおかげか
[2402.709] another_yesman: 歯周病になりやすいのか
[2402.710] emonda_ceo_02: 歯磨きしてても歯石はそこそこ着くよ
[2404.134] ~MISSING_COMMENTER_INFO~: 歯白くね？
[2405.907] bpsmikaeru: 歯並びめちゃ綺麗
[2414.386] keirgear: 歯石なきゃ大抵大丈夫よ、凄いな
[2417.120] げこ43: 最悪インプラントとかあるし
[2417.837] emonda_ceo_02: 顔芸w
[2418.574] (S)わりとシーチキン: 虫歯ならない体質の人は歯茎が弱りやすいって歯医者さんが
[2419.723] tabacco_taro: 結構下がってるね
[2420.151] ~MISSING_COMMENTER_INFO~: ホワイトニングしてる？
[2424.310] unkosan893: それ全部自前の歯なんか凄いな
[2425.696] 木工用ジェームズボンド: ドッスンの顔真似やめてね
[2431.963] ｶｯﾂﾝ: 歯並び良さそう
[2440.022] (S)わりとシーチキン: 歯石無いは珍しい𐤔𐤔𐤔
[2440.478] ~MISSING_COMMENTER_INFO~: してないのにそんな白いのか
[2442.638] sizemini4869: けつあなは嫌だけど歯は見せられるんかw
[2447.111] m0n1k4_ss: してなくてそれは白すぎ
[2449.590] げこ43: 白
[2451.226] hanuman_wind: 歯周病も菌由来だからねぇ
[2457.055] watcher_japan: フロスが先だぞ
[2464.442] takabo124: 歯周病は悪化すると脳みそにくるからな
[2468.459] unkotomitaro: 口臭対策
[2469.791] bpsmikaeru: おっぱいみたいに急にボンって悪くなるかも
[2471.483] ｶｯﾂﾝ: フロスはいいよね
[2476.246] takjwmamw: 昼休みも歯磨きちゃんとしてるのに虫歯多い友達いて笑った
[2476.460] ~MISSING_COMMENTER_INFO~: 舌大事やな
[2479.371] m0n1k4_ss: フロス先だろ
[2480.971] たかぼぅ: 先だよ
[2482.116] ｶｯﾂﾝ: フロスは歯磨きの前
[2487.139] unkosan893: いつも後にしてたわ
[2491.800] ~MISSING_COMMENTER_INFO~: 俺も後にやってた
[2494.135] げこ43: フロスは歯磨きの前に行うことが最も効果的に歯垢を除去する理想的な順序である」という研究結果が
[2500.228] m0n1k4_ss: 磨いた後なら何も付かなくね？
[2507.064] emonda_ceo_02: 俺もいつも歯間ブラシ磨いたあとにやってたわ
[2510.237] 木工用ジェームズボンド: コンクールF
[2511.805] ｶｯﾂﾝ: コンクールか
[2514.702] ｶｯﾂﾝ: 緑のやつな
[2515.964] たかぼぅ: 合唱コンクール
[2516.029] kimNit0: コンクールなかなかなくならない
[2521.798] gd17g: コンクールは歯科助手に勧められた
[2529.434] ~MISSING_COMMENTER_INFO~: コンクール買おうぜみんな
[2533.026] takjwmamw: 普通に勉強になるわ
[2533.244] ジャルパンク: フロス前後じゃない
[2539.613] ヨモギ田モギ代: 虫歯なくても臭くはなるってことは、雑菌は繁殖してるんだな
[2541.953] unkosan893: うんち！？
[2544.097] another_yesman: コンクール使ってます
[2544.801] kimNit0: 顔の表情筋すごそうだな
[2545.006] クラウド9: かわい
[2547.140] 1226yoppy: うんち？
[2552.968] takjwmamw: 糞！？
[2559.903] ~MISSING_COMMENTER_INFO~: わかる
[2561.951] 木工用ジェームズボンド: 5分間のうんち！💩
[2569.876] クラウド9: wwwwwww
[2574.616] unkosan893: ワロタ
[2575.047] 1226yoppy: うんちの形は？
[2576.412] hanuman_wind: 口に何か入れたままトイレはなんかやだなぁｗ
[2578.906] sizemini4869: ラム氏の羞恥心がよく分からん
[2581.507] ~MISSING_COMMENTER_INFO~: 俺もトイレしながら歯磨いてる
[2590.668] takjwmamw: 顔ｗｗ
[2596.316] ｶｯﾂﾝ: 効率化の鬼
[2598.023] ジャルパンク: コンクールもったいないw
[2599.033] bpsmikaeru: 力みで出そう笑
[2599.678] ~MISSING_COMMENTER_INFO~: 快便やな
[2600.257] kimNit0: 効率厨だからトイレで歯磨きやるね
[2602.777] reomono96: うんちに感謝ですね
[2606.914] ｶｯﾂﾝ: 笑ったらどうするの
[2609.131] hanuman_wind: スゴいモーニングルーティン
[2614.815] クラウド9: www
[2627.953] ｶｯﾂﾝ: 3回？！
[2632.460] 木工用ジェームズボンド: 快便ですね
[2633.083] 1226yoppy: 歯磨きしながら飯食うのが効率いいぞ！
[2636.342] wakamechanbot: 何宣言やねんw
[2641.865] kimNit0: ペットの歯磨きやる？
[2643.496] ~MISSING_COMMENTER_INFO~: 90センチ出てないと便秘らしいね
[2643.589] ダニエルぅ: 俺は両方2回ずつ
[2648.570] げこ43: ３回も？
[2651.532] takjwmamw: 90cmでてるのか
[2660.041] (S)maro134r: ramuzuMello
[2661.650] kimNit0: みてるやん
[2666.742] kasuhiroto: コンクールは？
[2673.969] 1226yoppy: ながくね
[2675.053] takjwmamw: あの女医か
[2677.526] ~MISSING_COMMENTER_INFO~: なっが
[2680.872] emonda_ceo_02: 90センチは流石に嘘やろw
[2685.311] ミスタートウジン: ミーアたち歯磨きするの
[2686.842] クラウド9: かわいいｗ
[2689.519] bpsmikaeru: 体内に90センチもうんちあるの？
[2692.150] ヨモギ田モギ代: こんなに快便な人の話、伊集院光さん以来やわ
[2692.345] kimNit0: かわいいなw
[2694.750] (S)maro134r: 来ないw
[2700.207] ジャルパンク: どうやってはかるねんw
[2721.067] sizemini4869: 彼氏の前でオナラは出来る？
[2725.694] クラウド9: おもろｗ
[2737.997] 木工用ジェームズボンド: 水に浮くうんちが良いらしいよ
[2749.160] watcher_japan: 配信でする奴もいるのに
[2749.466] tabacco_taro: うんこ出ちゃうから？
[2750.352] バンジュ: 恥じらいの基準がわからん
[2751.945] futonchan893: Gかぷ彼女最高だよ
[2754.281] takjwmamw: 結構しんどくない？
[2755.613] どろかつ: めすらしいね
[2755.935] bpsmikaeru: えー！意外！
[2756.428] hanuman_wind: 毎日三回する人が便秘なわけないやろｗ
[2765.504] kimNit0: ガス溜まってストレスになりそう
[2766.963] (S)maro134r: くりぃむしちゅー上田さんは、タケノコみたいなウンコしてトイレに家族を呼んで自慢したことある
[2770.336] 1226yoppy: https://youtu.be/WCdqgmtHc48?si=fCxJ3cUast0wu-FX
[2789.587] どろかつ: きも
[2793.571] ミスタートウジン: RaMuちゃんのトイレの写真は大のとき？
[2802.796] azuma2005: RAMちゃんのママンもパパンも、若いんだよね？
[2805.248] bpsmikaeru: ガブってしないの？
[2805.945] hanuman_wind: こんな配信聞いてるのにいつもよりスト6かてるらなかった
[2807.310] ひびちゃん_ぽにお: かりあげはやっぱ涼しい？
[2813.339] どろかつ: danbor1Chu
[2818.455] another_yesman: 真剣
[2822.639] unkosan893: トイレ自撮りしてんの！？
[2823.274] どろかつ: ramuzuKaoこんなかお？
[2825.098] げこ43: なんで女ってトイレにいる時間長いの？
[2829.299] どろかつ: ramuzuKao
[2832.928] takabo124: 何の音
[2837.805] ~MISSING_COMMENTER_INFO~: あのミーアキャットどこ見てんだ
[2837.811] hanuman_wind: 勝てるｗのミスタイプで
[2839.501] どろかつ: ramuzuKao
[2840.093] (S)maro134r: メロ君映画かドラマでも見てるんかってくらい珍しく動かないね
[2849.270] ヨモギ田モギ代: 口の中に何か入ってたら、大だと思えばいいか
[2853.391] snake13nonnonon2: らむちゃん痩せた？
[2858.110] どろかつ: yuyutaHage
[2866.774] どろかつ: いいね
[2873.955] unkosan893: らむは手洗わなそうよな
[2882.135] たかぼぅ: なんで女って一緒にトイレ行くの？
[2883.688] ダニエルぅ: あ
[2884.199] 1226yoppy: 駅のトイレってなかなか空かないよな
[2885.202] どろかつ: て洗う？
[2891.670] ~MISSING_COMMENTER_INFO~: 増量期ですか
[2895.421] takabo124: トイレでスマホ見ないの？
[2899.144] bpsmikaeru: なんで女ってトイレ行くの？
[2901.199] げこ43: セッションするためだろ
[2901.628] sizemini4869: うんちした後どれくらい拭く？完全にうんちが付かなくなるまで？
[2901.973] takjwmamw: 確かに
[2906.209] どろかつ: yuyutaDaisuke
[2909.238] 木工用ジェームズボンド: 連れションやめてね
[2914.131] 1226yoppy: ポチャンッ
[2917.085] watcher_japan: 一緒に行かないと悪口言われるから
[2917.088] 左利きのエレン: トイレットペーパーの巻き方は？
[2919.286] どろかつ: ウォシュレットつかうよね？
[2929.932] hanuman_wind: 88888
[2933.600] どろかつ: どうたったー？
[2939.461] ｶｯﾂﾝ: 続き気になる
[2940.112] ~MISSING_COMMENTER_INFO~: いいね
[2945.077] どろかつ: なんでー？
[2946.802] タライン: 女性は小便器でクロス小便できないから可哀そう
[2960.536] 四五郎: ゲームはやった？
[2964.498] takabo124: ついてるよ
[2966.438] tabacco_taro: 便座より綺麗だよ
[2966.885] ｶｯﾂﾝ: 絶対ついてる
[2966.927] ribamoa: わかる
[2969.295] げこ43: ウォシュレット中に出すなよｗｗｗ
[2969.509] kimNit0: 家のでも無理
[2970.149] クラウド9: ついてるね
[2972.248] どろかつ: あー、 
[2977.067] ~MISSING_COMMENTER_INFO~: クロス小便ってなんだ？
[2980.457] takjwmamw: スマホの画面の方が汚い
[2984.634] yokonorizebla: まったく同じ意見
[2989.170] ぴご: ちなみにマジで外のウォシュレットはやめた方が良い（元清掃員）
[2989.395] 1226yoppy: けつげに絡まるから使う
[2991.670] 木工用ジェームズボンド: 💩「やあ✋」
[2998.800] kimNit0: それ潔癖症手前やん
[3004.023] takabo124: わかる
[3005.789] ribamoa: わかる
[3007.272] bpsmikaeru: 和式は床に近いから嫌だ
[3009.074] ~MISSING_COMMENTER_INFO~: いいね
[3031.767] カイくん1010: おお！
[3033.269] ribamoa: トイレの時いえかえるもん
[3034.484] カイくん1010: みたぜ！
[3035.096] ヨーコはやきの熟練奴隷豚: まだ1話しか観てないけど面白かった
[3037.041] ~MISSING_COMMENTER_INFO~: まだ見てねぇけど話してええよ
[3037.618] 1226yoppy: 今日はうんちの話がしたいよ
[3041.160] どろかつ: 教えて
[3042.724] ヨーコはやきの熟練奴隷豚: ゲームやってるとまじで感動する
[3043.087] カイくん1010: ネタバレありで話してくれ！
[3052.514] bpsmikaeru: 1話見てうんこした
[3067.880] ヨーコはやきの熟練奴隷豚: 未プレイの人と一緒に観たけど温度差があったｗ
[3072.881] カイくん1010: うおおおお
[3073.637] yybk1t1234: 📮👍
[3073.966] 四五郎: falloutのゲームはやった？
[3081.584] ヨーコはやきの熟練奴隷豚: 曲もゲームと同じでよかった
[3098.811] redfalcon1000: I recently played the first Fallout from 1997 itis awesome
[3099.131] 四五郎: 3とニューベガスと76もやろう
[3108.181] げこ43: ちん当て拭かせるところがよかった
[3119.079] どろかつ: あったね
[3120.625] カイくん1010: 落ちるとこか
[3132.453] TenguiZz: おはようございます私はフランス人です👋🏼🇫🇷 日本語を勉強中なのですが、あまり分かりません🫠
[3134.169] 四五郎: 目一つの奴がいるとこな
[3139.997] ヨーコはやきの熟練奴隷豚: すげえ
[3145.525] bpsmikaeru: うんちがfall outした。
[3156.480] どろかつ: なるへそ
[3159.046] hanuman_wind: まずﾌｫｰﾙｱｳﾄやらなきゃな… 4と76どっちがいいる
[3161.573] カイくん1010: 新カリフォルニア共和国
[3162.145] hanuman_wind: いい？
[3165.473] げこ43: シーズン２楽しみだね
[3171.846] ヨーコはやきの熟練奴隷豚: イディオットサーヴァントの音とかも出てきてほしい
[3182.591] ヨーコはやきの熟練奴隷豚: 3も面白いよ～
[3200.557] どろかつ: BibleThump
[3206.208] 愛染愛染: ７６は25年後ぐらいだったような
[3207.852] カイくん1010: 戦闘する時VATSでるのいいよな
[3210.008] 四五郎: 3とニューベガスやるのが1番テンション上がるぞ！
[3225.765] hanuman_wind: なるほど4か 今やすいよね
[3225.925] watcher_japan: そらそよ
[3228.380] カイくん1010: ボルトテックのヤツらやべーわ
[3231.959] どろかつ: それはそう
[3250.047] カイくん1010: ルーシーパパどう思った？
[3255.012] 四五郎: 戦前企業は全部信用ならないぞ
[3261.776] ヨーコはやきの熟練奴隷豚: ただの実験場だからなぁ
[3269.103] 愛染愛染: そうだよ
[3291.526] ヨーコはやきの熟練奴隷豚: ドコの派閥もそれぞれ主義主張があってどれが正しいのか分からなくなる
[3309.620] どろかつ: うん 
[3324.500] ヨモギ田モギ代: アメリカの典型的なヒーロー感というか
[3330.035] クラウド9: wwwww
[3347.184] 愛染愛染: アイツ好き
[3359.339] どろかつ: うんうん 
[3359.958] ヨーコはやきの熟練奴隷豚: 墓から蘇るところめっちゃすき
[3370.017] カイくん1010: 200年生きてるんだっけ
[3380.873] どろかつ: 実は１話の初めに出てた人
[3389.553] watcher_japan: それはこっからやろ～
[3396.302] yybk1t1234: おれにわかだからグールのやつジムキャリーかと思った
[3407.335] どろかつ: そうそう 
