[30.309] 卯尾市場: DinoDance
[1685.008] trialgabber: 地下鉄ホームでブリブリ言ってたのって何歳の時なんですか
[1685.547] trick0918: fangより弱かったん
[1685.686] urumax999: その時もザンギは弱いの草
[1685.735] chiri2992: ジュリもいます>最弱候補
[1690.144] oyassan5963: クソみたいな2キャラ
[1692.721] shin_akito: スト4でやらかしたからかな
[1693.874] shikokuzei01: え、どぐらさん昭和62年？63年？
[1694.689] (S)麦の人: スト５の初期のキャラセレBGM好きだったなぁ
[1695.912] mosugamer: S1のダルシムとかどうだったんだろう
[1696.664] (S)あはとぽけ: それでもベガ使ってたの？
[1707.133] OkiNa326: ベガ触るならどのキャラ触っといたらいいですかね
[1714.129] scuta3: ネカリずっと強かった
[1714.775] dd02117: アレクも微妙
[1716.764] pesu700: アレクが確か最初の追加キャラじゃなかったっけ
[1726.303] (S)あはとぽけ: あっへー
[1726.944] (S)mukubado2: S1誰が参戦したんやっけ？
[1727.762] (S)麦の人: アレクは無料追加でしたね
[1728.688] urumax999: シーズン２からはずっとベガ？
[1729.805] (M)(S)ぱぱすぬわ: キャラ迷子勢のよりどころ、ネカリとバーディ
[1730.740] shin_akito: シーズン2からが本番でしたかベガ
[1732.871] (S)raincoat214: ネカリユリアンベガ（セス）アレクの流れでしたっけ
[1739.984] れなまる〇: ネカリ6に出てこれそうかな…
[1741.237] dd02117: アレクガイルいぶき
[1746.906] (S)美濃屋善兵衛: アレクも最初弱かったなぁ
[1748.772] tororogohan3: スト6にネカリが出そうな気配が感じられない
[1752.743] (S)あはとぽけ: そういやなんで格ゲー勢ってみんな相槌が「あっ、へー」なの？
[1752.945] (S)よぞらかげ: ネカリバーディの安定感よ
[1754.416] アル__: こんにちは
[1757.691] utyoten: ベガのえーりん復活して欲しかったなぁ
[1761.141] forest__pixie: セスは？
[1766.230] (S)vra_oji: ダブニーが非ダウンやチャージとバニッシュが統合されたバックフィストとか、4のベースで5要素多めって感じしますね、今回の総統
[1767.296] (S)麦の人: スト６にネカリ来たら面白そうだけどなぁ
[1768.830] hhhjjj9: ユリアンとベガ二刀流てありましたっけ？
[1769.874] humi_akira: Cheer500 誕生日おめでとうございます
[1770.502] (S)よぞらかげ: 6に出たかったら入れ墨を直せ
[1770.538] urumax999: アレクが入ってるの草
[1773.824] pesu700: シーズン1追加キャラがアレク、ジュリ、いぶき、ユリアン、バイソン、ガイル
[1774.979] (S)mukubado2: そんなことはない…はず
[1776.178] unimel1x: そもそもネカリの設定が100年に一度の戦いの時に出てくるみたいなんだから6じゃ出れなそうで悲しい
[1781.486] MUTSUKI4gpchu: ないびー！！！
[1782.751] モドキ: たしかにそんな気がする
[1787.006] rorkallos: 今後他にコラボキャラとか来そうですかね
[1789.105] (S)raincoat214: サイコバニッシュあれば有料バニコンできたのに
[1790.642] hantuki72: セスも使ってなかったっけ
[1792.395] ayatak: 6ベガってブラスト無いんですか？
[1794.535] tororogohan3: 顔面6のネカリかわいい
[1796.108] 上杉朝顔: その相槌使うのどぐにゃんくらいな気がする
[1800.686] (S)よぞらかげ: 5から100年経ってるかもしれん
[1801.740] れなまる〇: ガイルって最初おらんかったなそう言えばナッシュいたからか
[1804.719] (S)mukubado2: 設定が壮大すぎる
[1808.152] しぼみ: ジラーチみたいな設定なのね
[1809.463] (S)kinokogidora: ネカリこち亀の日暮みたいな設定あるんや
[1813.260] scuta3: そうだスト5はナッシュおったな
[1814.061] 蒼なのだ: お誕生日おめでとうございます
[1820.804] (S)satton_ult: satton_ult subscribed with Prime. 
[1821.901] (S)paps0423: 全員ではないんじゃ…と思ったけどウメちゃんとか結構あっ、へー！って言ってる気がするな
[1824.263] (S)mukubado2: 逆に6絶対来ないな、ってキャラおります？
[1825.312] oyassan5963: 結局ネカリなにがしたかったん
[1828.741] (S)raincoat214: ネカリの代わりに出る予定だった元の弟子出してほしい
[1832.763] (S)あはとぽけ: あっへー
[1834.587] モドキ: ウメハラさんだと「あっ、ふーん」言ってる感じする
[1835.727] humi_akira: ネカリは６出るなら胸の傷ふやしてこいとか言われてて草
[1835.843] (M)(S)ぱぱすぬわ: ネカリ顔に傷一本増やせば６出れるからな
[1837.530] (S)よぞらかげ: 日暮やったらしょっちゅう起きてくるやんけ
[1838.201] dd02117: シーズン1って追加キャラみんな弱かったよな
[1840.470] 上杉朝顔: エル・フォルテ
[1841.292] れなまる〇: フェイロン…
[1842.912] shikokuzei01: ゴウケン
[1843.463] scuta3: アベルも無理そう
[1843.638] geppei: ソドム
[1844.421] (S)raincoat214: ネカリフォルテハカン
[1844.659] dd02117: レミー
[1844.925] MadEggMania: フォルテ
[1845.379] tororogohan3: かわいそう
[1847.946] (S)美濃屋善兵衛: いや、ハカンはワンチャン
[1848.274] forest__pixie: WTにいたよハカン
[1848.782] (S)よぞらかげ: ユンヤン
[1849.661] rorkallos: エルフォルテ、フェイロン
[1851.146] わたるんんん: ベガも惑星になるんかな
[1852.054] (S)麦の人: 4K画質でベットベトになった女性陣はちょっと見たい
[1852.506] (S)うちま_: ディカープリ
[1853.695] (S)vra_oji: ネクロは人気なさそう
[1854.229] (S)amakusa_akaikitune: フォルテアビゲイル
[1854.424] onemoch: グローバル化のためにあるかもしれんやろ！
[1854.709] (S)godog02: ホンダの絵では出てきたハカンセンセ
[1857.334] れいとろん: ナッシュ
[1858.052] shiendesu: ダッドリー
[1858.953] tororogohan3: エレナは許されたのにどうして
[1863.643] NamelessMentos: なんかみんな「ネカリは…いいや」って感じなんだけどめちゃくちゃかっこよくない？あいつ
[1867.812] モドキ: 殺意豪鬼
[1868.892] daidaimonn: キャプテンサワダ
[1870.490] (S)mukubado2: そんな…ハカンを待ち望んでるトルコ人はどうすれば…！
[1871.211] 呪縛衆: 逆に来たら面白そうなのは
[1874.833] 朝比奈カズハ: ヒューゴーとかもこなさそう
[1876.048] reika_010: 毎回コラボキャラくると旧キャラ激戦区になるな
[1876.855] MadEggMania: フォルテ出してきたら運営イカれた合図
[1878.289] (S)kinokogidora: アベルフランスと柔道でマノンとドン被りしてるからガチでこなさそう
[1879.132] scuta3: ﾊﾗｷﾘｯ
[1879.752] (S)shi_a__: 同じ国は〜みたいなこと書いてあったからさくらとかもうないんかな？
[1879.825] モドキ: 殺意リュウ
[1880.628] たっつーーーー: どく兄誕生日おめでとう〜㊗️🎉前教えてもらったシャネルのメガネ買ったよ👍👍
[1881.520] (M)(S)ぱぱすぬわ: テリーとエレナ出るならもう過去作何でても驚かないや
[1882.388] (S)よぞらかげ: 影薄いよな
[1884.344] rorkallos: エレナヒーリング流石にどうなるのかなぁ
[1885.964] (S)paps0423: 来てほしい…！けどカゲはもう…
[1888.139] mogetasan: 顔にVって
[1888.793] しぼみ: トルコサイドからの猛プッシュでハカン実装実現して欲しさはある
[1888.871] rabitto320: この先テリーみたいにSF以外のタイトルからキャラ追加あると思いますか？
[1893.944] piyojackass: ｸﾗｳﾗｳ…
[1897.399] 闘劇のアルベルト: ギル、ユリアン来るかな
[1900.237] oyassan5963: なんか風呂場のタイルみたいなスキン嫌い
[1903.255] trialgabber: 実はナッシュも生きてましたみたいな可能性は
[1903.343] (S)麦の人: 鉄拳からとか来る可能性ありますかね？
[1903.753] (S)obiheart: ゆー様が「ベガおめでとう！魂のキャラ出て良かったね！」ってリプくれてちょっと心が痛かったな…
[1905.281] (S)raincoat214: なんか使いたい技構成してないわネカリ
[1906.707] scuta3: カプコンの安心してくださいは正直あやしい
[1910.321] (S)godog02: ヒーリングはちゃんと反省してるのでご心配なくとのこと
[1911.775] skycolor_rite: セス怪しそう
[1916.751] (S)mukubado2: 豪鬼って日本人扱いなん？
[1917.234] MadEggMania: ハカンってトルコ相撲の公式HPで隠しキャラとして登録されてたよね
[1919.457] (M)(S)ぱぱすぬわ: メカナッシュ
[1919.687] れなまる〇: シーズン2はベガ以外陽キャばっかだなぁ
[1921.247] (S)godog02: 闇堕ちナッシュ？
[1922.229] urumax999: まるで男塾
[1923.563] shikokuzei01: テリーは割と出張キャラだからなぁ
[1925.201] モドキ: 他社からの参戦って、ストシリーズは大分後発ですよね
[1928.511] (S)田中脊髄剣田中: こんどぐーハッピーバースデー野崎デー🎁
[1931.036] onemoch: もう眠らせてやれよナッシュは！
[1932.615] (S)よぞらかげ: 逆に3rdのキャラは出やすいよな
[1934.460] (S)raincoat214: 5ナッシュ復活が大分無茶だし
[1936.675] kaeruseijin1008: Cheer100 誕生日オメシャス！これからも元気にゲームやってください！！
[1937.156] shiendesu: ララ
[1937.677] しぼみ: いっそ逆にスマブラからキャラ輸入するか
[1942.061] てつやん: そろそろ元が出ても良いと思う、オロはいらんけど
[1942.233] モドキ: ベガ生きてたからなぁ
[1943.061] 酒呑_童子: こんちわ 結局ベガ本人らしいですねあれ
[1943.285] れなまる〇: メカナッシュは？
[1944.579] (S)obiheart: ナッシュ来たらもうベガと不死身さ変わらなく無い？
[1945.745] (S)美濃屋善兵衛: ナッシュ、実は死んだと思ったのがクローンでー
[1947.247] (S)mukubado2: ナッシュは思い出の中でじっとしててくれ
[1948.139] rorkallos: そんな男塾みたいなことある～？
[1948.945] shikokuzei01: 豪鬼は一応日本人ダゾ
[1949.149] hhhjjj9: テリーのSA3なんだろう
[1949.455] unimel1x: ベガの魂が憑依したんや、ナッシュも誰かに憑依しろ
[1956.986] umi_agla: 冷凍食品コラボで参戦やろ
[1961.550] (S)田中脊髄剣田中: ナッシュは出てない時が一番幸せやで
[1962.761] sannpann_twich: ナッシュはナッシュの案件を持ってくるまで生き返らせる必要がある
[1963.164] echizen2000: 消滅シーンを映されたベガが生きてるんだから誰でも復活できる
[1963.447] てつやん: ナッシュ涙目
[1964.802] humi_akira: 記憶喪失だけでベガ本人らしいですね
[1965.587] (S)godog02: 本音を言うとガイルを増やさないで欲しいから眠ってて欲しい
[1965.925] (S)kinokogidora: 新キャラの来る可能性が高いのは「国」と「格闘スタイル」らしいわ
[1970.405] onemoch: 来るか来ないかアビゲイル
[1971.106] (M)(S)ぱぱすぬわ: サウスタウン・・・？
[1977.378] toto3210119: サウスタウン…？
[1978.758] (S)vra_oji: サウスタウンだったりラオウだったり
[1979.356] 9211212a0105: 力への渇望を抑えきれずね
[1980.162] モドキ: 結局ベガって、今まで何回しんでるんですか？
[1981.483] sannpann_twich: ナッシュの努力は…
[1983.601] (S)raincoat214: jpと対立するんかなベガ
[1984.976] scuta3: ベガきたらローズもきそうな感じするけ
[1985.113] (S)よぞらかげ: ヴィランは生き返ってからが本番
[1985.748] 酒呑_童子: あれただ単にベガが路上で寝てただけ
[1988.194] (S)麦の人: サウスタウンのやつも大概死んでないですもんね
[1988.503] (S)acrofiora: 一人の男(記憶喪失のベガ)
[1989.711] (S)obiheart: でもリュウに酷いことされて片手がひび割れたんでしょ？
[1991.738] rorkallos: まぁ消えた描写はないですからね
[1992.483] 闘劇のアルベルト: あんなひび割れてたのに？
[1994.209] light_hight: 負けたショックで記憶喪失になったテイの男
[1995.698] (S)shi_a__: 死んだふり多いなw
[1995.861] ひらしゅう: ファミ通のインタビューにそこら辺のことでてたね
[1996.925] 灰原_: じゃあなんでベガの声優変わったん？ってなっちまう
[1998.317] shikokuzei01: 数え切れないぐらい死んでるベガ
[1998.526] MUTSUKI4gpchu: サウスタウン？？？
[2000.773] echizen2000: ひどいことw
[2004.867] toto3210119: 粒子になったと思ったのに
[2006.126] (S)ranpub: ギースも何回も死んだし・・・
[2006.906] hhhjjj9: ギースはちゃんと死んだのに
[2007.724] しぼみ: おびさん…
[2013.218] kaeruseijin1008: サウスタウンで死んでるのはギースや
[2013.439] geppei: バージルもなぜか生きてたし問題ない
[2014.569] humi_akira: アレはリュウじゃなくてタカシだよ
[2014.883] genmybrown: リュウのげんこつで記憶飛んだ
[2015.738] trialgabber: サガットの胸の傷もリュウでしたっけ
[2016.345] onemoch: 不遇やったね…
[2016.857] shiendesu: 四天王は揃ってもらわないと困るな
[2018.757] pesu700: 英語版の声優は変わってないって聞いた
[2021.282] (S)よぞらかげ: ウメちゃんもサブで使うかもしれないらしい
[2022.886] unimel1x: 平八とベガでどっちが殺されたことにされてるか競走させようぜ
[2023.125] (S)mukubado2: 主人公の帰還…？
[2025.457] MUTSUKI4gpchu: wwwww
[2025.520] umi_agla: ビルから落ちても生きてる奴もいるし
[2025.901] urumax999: うめちゃんが30年ぶりか？っていってた
[2027.098] (S)acrofiora: 声優変更とか冷静に考えれば結構普通だぞ
[2027.918] てつやん: 目をそらすな
[2028.580] (S)raincoat214: スパ2以来
[2029.548] rorkallos: あのリュウ火力の固まりなんですが・・・
[2029.796] モドキ: とりあえず全シリーズでベガしんでませんか？
[2029.935] piyojackass: ケーン 今だー
[2031.411] light_hight: 懲役長かったなあ・・・
[2031.672] kitori_17: いつもあるあるしてない？
[2034.676] れなまる〇: 今のリュウなんかちょっと強い
[2035.951] (S)よぞらかげ: 俺ぇ！？
[2036.306] (S)麦の人: 洋画の声優さんなんでしたっけ懇回のベガ
[2036.881] reika_010: かじゅもリュウ気に入ってた
[2036.979] (S)akagi_takuma: おかわりもいいぞ
[2038.269] scuta3: 平八はきっちり出なかったのに
[2038.425] yukapero_14: キョロキョロリュウかわいいw
[2038.636] (S)amakusa_akaikitune: 結局無いまでがテンプレやん？
[2040.180] geppei: でもプロ誰も使いませんやん
[2040.409] (S)vra_oji: 無印4最初期以来？
[2041.017] (S)paps0423: 勢いに乗り始めたリュウを諫めにきたのかベガ…
[2041.933] sannpann_twich: サウスタウンで目覚めたならシャドルーの残党も見つけられないのも納得
[2042.001] echizen2000: リュウ人里に降りる方法模索してる
[2043.453] oyassan5963: いきがってるとすぐ沈むぞ
[2044.386] まーきー0916: ｗｗｗｗｗｗｗｗｗ
[2045.812] eag1e2003: 俺も混ぜてよｗ
[2048.212] 灰原_: リュウ「え、もしかして俺ある？」
[2048.888] toto3210119: 高校デビュー
[2048.913] れなまる〇: やめ！！！！
[2049.246] unimel1x: 大学デビューか？
[2049.336] (S)よぞらかげ: ウキウキ
[2049.851] MUTSUKI4gpchu: wwwwww
[2052.731] (S)mukubado2: 俺昨日寝てないやんか〜？
[2052.867] shikokuzei01: スパ２X以来のある
[2052.962] てつやん: ッかーつれーわ
[2057.986] 闘劇のアルベルト: リュウはそんなこと言わない
[2058.082] light_hight: たかしがはみ出てる
[2058.890] (S)raincoat214: きしょ
[2060.049] kaeruseijin1008: いやー眠いわーｗｗｗ
[2060.865] oyassan5963: 過去の自分見てるみたいでしんどい
[2061.550] chataro0: イキってる
[2064.307] onemoch: うざｗ
[2065.870] (S)vra_oji: かーっ！2時間しか寝てないもんなーっ！かーっ！！
[2066.075] eag1e2003: そんなリュウ嫌だ
[2066.181] (S)田中脊髄剣田中: 絶対リュウが言わないシリーズ
[2066.260] (S)shi_a__: 今のリュウならとどめ仕留めてたかもしらん
[2067.284] (S)ranpub: リュウはそんなこと言わない
[2067.327] (S)fox4th: 呼ばれてないけどなんとなくカラオケについてくるリュウ
[2067.336] rorkallos: そんなリュウやだｗ
[2070.656] ritsumeikan: 鏡月きついわ～ｗ
[2074.053] shalily0121: 5でやられかけて3の間放浪して6でまた登場って随分苦労してそう
[2076.654] れなまる〇: あっ、へー…そうなんってケンにあしらわれるリュウ見たくないよ
[2077.536] toto3210119: あぁ…そうなん…
[2082.496] humi_akira: サクラとダン相手に語ってるよ
[2083.222] (S)kinokogidora: ほろ酔いきついわー
[2083.422] yukapero_14: 必死すぎ
[2084.331] kyouya041: リュウはそんなこと言わない
[2084.581] tomiku444: RyuChamp
[2085.403] forest__pixie: DJJPの都落ち組は？
[2085.948] MUTSUKI4gpchu: wwwwwwww
[2086.920] tsubuchoco: ニタついてるリュウいやだわあ
[2090.882] onyancoscratch: よかったね^^^
[2091.618] ebidondon: BibleThump
[2092.186] geppei: でも誰もプロ使いませんやん…
[2095.770] unimel1x: Berealとか頑張って撮ってんのかな...
[2095.804] oyassan5963: 「あ、あの...これ...波動拳...」
[2097.392] dillle623: リュウが強いって激レアやからなぁ
[2100.897] ahiruoji: 陰キャラなんじゃなくて、求道者なだけだし…
[2104.619] (S)mukubado2: クラスの誰にでも抱かれてるメンヘラを自分も抱いて、自慢げに話してくるかんじ
[2105.771] trialgabber: テキカンって何ですか？
[2106.545] ソーな: 詰め方がパワー系
[2109.052] れなまる〇: 来週バーコンやらへん？
[2112.084] rorkallos: ヒゲ剃ろう
[2113.487] chataro0: JPをパシリに使ってる
[2113.536] (S)麦の人: キョロリュウｗｗｗ
[2120.943] ritsumeikan: ｗｗｗｗｗｗｗｗ
[2122.087] onemoch: 標準的な技構成で標準的な強さってキャラコンセプトだもんなぁ
[2124.171] (S)mukubado2: テキカン…？
[2125.196] (S)あおじし: だる
[2127.283] kaeruseijin1008: あ、わからん？ｗｗｗ
[2127.716] unimel1x: んっクソウザ先輩
[2129.411] (S)paps0423: だっるwwww
[2130.191] (S)fox4th: 敵の戦艦のことに決まってるやろ
[2130.953] toto3210119: すぐハブられそう
[2131.422] てつやん: サークルでBBQ仕切ってそうなリュウ
[2133.901] 灰原_: かずのこさんがSFLリュウ使うって言ったらどうします？
[2134.259] れなまる〇: 今教えろ
[2137.653] (S)karuvora: この先輩多分1か月後に孤立してそう
[2138.409] 酒呑_童子: 5の隆ってそんなによわかったんですか？
[2140.574] oyassan5963: 髭剃らない辺り陽キャほど見た目に気を遣えないのがうかがえる
[2141.108] わたるんんん: これハブです
[2141.526] (S)よぞらかげ: JPはどんな感じ＞
[2142.037] (S)麦の人: ダッッッルｗｗｗ
[2142.719] (S)mukubado2: テキーラの缶詰？
[2146.837] forest__pixie: 無理やり飲ませて、どうした？立て笑笑
[2147.781] ahiruoji: まめスパにもこんなダル絡みしてそう
[2157.684] (S)EMA__chan: 破掌撃！破掌撃！うい！ｗ
[2158.021] (M)(S)ぱぱすぬわ: リュウがSFLに出たら3年ぶりなんだよなぁｗ
[2164.414] れなまる〇: 最初それなりじゃなかったっけそうでもないか
[2165.830] oyassan5963: 心眼で気持ちよくなるキャラ
[2166.815] pesu700: 5最後あたりのリュウってパチンコキャラじゃなかったっすか
[2168.279] chataro0: テキカン？あー、公園でよく見かけるよね
[2168.916] lucky7404: スト4のリュウは強かったんすか
[2174.058] (S)kinokogidora: （陽キャグループに自分を）ねじ込む！！！
[2175.565] kitayu11: 5の初期だけ強かったよね
[2176.246] geppei: 最後は5強入りしてたとかしてないとか…
[2176.344] daidaimonn: リアの波動に目覚めたリュウw
[2176.495] skin1018: リュウ先輩っていっつも一人で講義受けてるらしいよ
[2178.271] ckuadesu: DinoDance
[2178.661] yukapero_14: wwwwww
[2179.355] genmybrown: コールｗ
[2184.841] MUTSUKI4gpchu: wwwwwwwwww
[2185.339] tomiku444: DinoDance
[2186.315] (S)麦の人: ねじ込むっっっっ！！！
[2188.529] unimel1x: wwwwwwww
[2189.740] shikokuzei01: というか、リュウ使うなら別の上位互換がいたからな
[2190.223] かたまろ: 集中！集中！
[2190.289] しぼみ: この世の終わりみたいなコール
[2191.007] (S)あおじし: クソすぎる
[2191.032] (S)obiheart: ごみw
[2191.450] 闘劇のアルベルト: そらルークに煽られるわ
[2191.497] (S)よぞらかげ: ｗｗｗｗｗｗｗｗｗｗｗ
[2191.676] (S)mukubado2: 居酒屋のトイレで吐いてそう
[2191.690] てつやん: パワハラ
[2191.954] konoha___0: wwwww
[2193.560] echizen2000: ハラスメントおじさんw
[2193.594] (S)raincoat214: 今それバレたら一発退学あります
[2195.050] kaeruseijin1008: アルハラリュウｗｗｗｗ
[2195.873] (S)ranpub: クソすぎるｗ
[2196.438] (S)paps0423: 終わってるwww
[2196.580] (S)shi_a__: さいてーwww
[2196.722] eag1e2003: アルハラやめてね
[2197.254] (S)fox4th: 集中！
[2197.262] onemoch: 最悪やｗ
[2198.078] (S)ぶれお: カスじゃん
[2198.529] toto3210119: きっちぃ
[2199.946] 呪縛衆: お巡りさんこいつです
[2200.590] (S)田中脊髄剣田中: 終わってる
[2200.656] (S)karuvora: 次の日孤立してるやん絶対
[2201.313] tomiku444: 嫌な奴すぎる
[2201.559] kitori_17: やな先輩やw
[2201.852] naryuhama: しゅ！う！ちゅう！
[2204.051] trick0918: 終わり
[2205.577] oyassan5963: リュウさん集中してなくない？wow wow
[2205.718] (S)godog02: そのセリフを汚した罪は重い
[2206.229] trialgabber: どぐらさんも大学の時そんな感じだったんですか
[2207.508] (S)高級食材ふかひれ: （酒を）ねじ込む！
[2207.849] (S)kinokogidora: ストリートファイターの終わりみたいなコール
[2208.037] rorkallos: どぐら～OUT
[2211.809] てつやん: この道を進むのみ
[2214.962] utyoten: ねじ込む！！！
[2216.114] ahiruoji: 陰キャラが急に張り切るからさぁ
[2216.333] (S)fox4th: 大学デビューリュウ
[2216.890] 灰原_: そんなリュウみたくねー
[2218.530] skycolor_rite: ﾊﾄﾞｩｰｹﾝ…
[2219.732] chataro0: ケータイ見出した後輩に「目をそらすな」
[2220.724] piyojackass: こんなリュウさんは嫌だ
[2221.108] humi_akira: 一気あおるときに集中！ってクソ煽ってきそう
[2221.365] BrokenJP: 不作法
[2222.039] dillle623: 明日からミラーの許可出ないらしい
[2222.493] light_hight: うい～集中～ｗｗｗ
[2222.946] unimel1x: ねじ込んで〜ねじ込んで〜！真昇龍！
[2226.250] wasabisenbei: 余裕で無期限停学以上確定
[2227.069] reika_010: 逆にケン弱かったことってある？
[2235.173] (S)田中脊髄剣田中: バーンアウト（急性アルコール中毒）
[2237.971] shikokuzei01: ウメちゃんですらリュウ使うぐらいならこっち使いなっていうからな
[2245.405] (S)mukubado2: スト4
[2246.548] 酒呑_童子: アルハラ隆
[2246.669] れいとっぽ: 卒業したあとにルークに波動拳いじられてそう
[2255.593] shalily0121: まずスト2がコンパチやったし
[2256.411] echizen2000: でもストクロでは
[2259.369] ahiruoji: スト3サードのケンの顔ほんと好き
[2260.900] (S)raincoat214: スライド投げあっても下の方？
[2261.828] trick0918: ウル4だけやばいけどな
[2263.106] gyudon_tadano: お誕生日おめでとうございます!来週妻と大阪旅行に行くのですが、新大阪付近でおすすめの夜飯ありますか！？
[2264.143] ぎんしょー: スト4の移動投げ強かった気がするケン
[2264.802] (M)(S)ぱぱすぬわ: 最後の方逆にももちが存在感を
[2267.901] (S)obiheart: 4はのケンは移動投げが長すぎて嫌い
[2270.322] (S)mukubado2: 5も別に強くはなかった
[2270.870] piyojackass: SFL今年誰かリュウ出しそうなんですか？
[2271.254] rorkallos: シリーズ通して一番不遇だったキャラってなんだろ？
[2272.703] てつやん: ZEROのケン、前転持ってたんだよな
[2273.980] くろすけ君: ストVはアングリー以外に印象なかったし
[2275.522] onemoch: ZEROシリーズも目立ってた記憶はない
[2279.148] forest__pixie: 陽キャキャラtier作ろう
[2279.873] youbuu: ももちケン以外覚えてないっすね4ケン
[2279.894] reika_010: へー
[2281.257] kitayu11: スト4は道着形、豪鬼とセスがいたもんな
[2284.185] pesu700: ケンスマブラSPの最初あたりは弱かったと聞いた
[2285.739] humi_akira: メインストーリーあと優遇されてるけどキャラ性能がタカシのイメージ
[2288.421] oyassan5963: 心眼で気持ちよくなるキャラ
[2290.931] chururi415: ウル4のケン10強って聞いたんですけど
[2292.729] (M)(S)ぱぱすぬわ: 吉祥寺ケン・・・
[2299.107] (M)(S)ぱぱすぬわ: ＷＡＯ
[2302.039] (S)よぞらかげ: 新大阪って飯屋のイメージないな
[2304.383] (S)vra_oji: タイガーが抑え込んでた感
[2305.681] umi_agla: ゼロは前転が地味に強かった
[2307.850] れなまる〇: スト４はっちゃけてるキャラ多かったからそのせいか
[2310.930] a21dc812: 腐れ外道みたいなもんか
[2314.574] trialgabber: 5はシーズンごとにどのキャラが強かった感じなんですか？
[2330.055] (S)mukubado2: 言うてトップティアだったのもサードと6だけじゃない？
[2335.725] skin1018: ケンはスト6でストーリーにも絡んでるし優遇されてるよね
[2337.149] 酒呑_童子: エレナってどんなキャラだったんですか？
[2346.842] (M)(S)ぱぱすぬわ: ウルコン暗転と波動を重ねてガー不してたとき一番輝いてたケン
[2350.487] (S)麦の人: ケンは強い弱いより楽しいって評価をよく聞きますな
[2351.016] oyassan5963: クソキャラ列伝みよう！！
[2351.076] humi_akira: 気持ちいい～！
[2351.798] unimel1x: 気持ちいい〜！
[2352.020] (S)よぞらかげ: 詳しくは
[2356.174] まっちらいふ: 野崎さん誕生日おめでとうございます
[2356.242] (S)あおじし: クソキャラ列伝を見よう！！
[2357.377] kaeruseijin1008: クソキャラ列伝見よ♡
[2358.420] れなまる〇: エレナがどんなキャラか知りたいあなたに……？
[2358.544] (S)mukubado2: ヒーリング！ヒーリング！
[2358.607] skycolor_rite: それを聞くとリュウもケンも軽く酷い目にあってる時の方が強そう
[2360.499] (S)fox4th: 安心してくださいヒーリングはどうなるのか
[2363.536] (S)paps0423: 3rdも今となっては１個落ちる感じおるしなあ
[2364.342] ぎんしょー: ボンちゃんです。エレナです。
[2364.757] echizen2000: ヒーリングについては「安心していい」らしいから…
[2365.356] piyojackass: 先日クソキャラ列伝を拝見しました
[2373.499] umi_agla: 3ndのエレナは無難だったのになぁ
[2377.162] rorkallos: 大会で対戦相手が頭抱えるくらいのクソキャラ
[2378.630] 闘劇のアルベルト: 釈迦もクソキャラ列伝見て爆笑してたな
[2378.891] trick0918: スト3のエレナのコンセプト知らないんですけどどうなんですかね
[2379.604] 168kkk: ヒーリングは挑発行きになりそう
[2380.663] (S)kinokogidora: ケンってメインのストーリーに関わったことってあるんですか？
[2381.033] モドキ: 「エリナヒーリングあるの？」「安心してください」ってどっちやねん
[2381.274] onemoch: 3rdは！3rdエレナはいいキャラだったから！
[2392.844] れなまる〇: エレナのドライブラッシュめっちゃ長そう
[2399.971] (S)田中脊髄剣田中: エレナ実装まで、この流れでクソキャラ列伝勧められるのは相当アツい
[2400.036] pesu700: 無敵削除されたユリアンと今回のJPの調整ってどっちが弱体化としてはすごいですかね
[2406.510] (M)(S)ぱぱすぬわ: ヒーリングで体力じゃなくてドライブ全快とかあるんか？
[2407.514] (S)vra_oji: ODライノも弾無敵だったら今から震える
[2407.562] shikokuzei01: ケンはバリバリ関わってるよ
[2407.739] (S)fox4th: 体力じゃなくてドライブゲージ回復すると予想
[2411.238] (S)godog02: ヒーリングは存在しないです、とは言ってないんだよね
[2412.641] (S)mukubado2: どうにかして6にアレクを参戦させる方法ないんですか？だってエレナ出てはるんですよ？
[2412.708] 呪縛衆: 令和になってあんなんでんやろ～
[2417.969] kaeruseijin1008: 3rdのエレナはドットの美麗さも相まってむちゃすき
[2420.209] (S)鉄板: こんにちは
[2421.582] (S)kinokogidora: カポエイラってなんで女キャラが多いんだろ
[2423.140] (S)よぞらかげ: さ～すがに
[2423.160] ahiruoji: 3rdエレナのステップヌルヌルしてキモくてすき
[2429.273] trick0918: 圧倒的ユリアン
[2432.941] (S)obiheart: 無敵削除聞いた時みんな震えたよね
[2434.710] MUTSUKI4gpchu: やばいですよねホンマに！！！！！
[2434.943] umehara_sinja: 体力回復は個性として残してほしい...
[2439.351] nyanyatyuya: ユリアンの無敵削除最後の最後にやってきた記憶がある
[2439.889] piyojackass: Furiousくん……
[2440.539] oyassan5963: 「無敵あると打っちゃうから弱い」
[2441.062] echizen2000: やばすぎw
[2441.877] gyudon_tadano: ドライブ回復速度上昇とか来たら面白そうですね。夢のOD5回コンボ
[2446.229] BrokenJP: え、いいよ？
[2446.441] (M)(S)ぱぱすぬわ: ベガも無敵削除組
[2449.180] れなまる〇: 防御変わるし練習もだいぶしなきゃならんくなるな
[2450.119] forest__pixie: リバあるからまあ
[2452.782] モドキ: 切り返し無くなりましたよね
[2453.947] (S)鉄板: 無敵削除は相当
[2455.806] 灰原_: まあまあ
[2457.664] 下水道_: こちとらODスクリューから投げ無敵が消えたぞ
