[10.996] jSTARszn: tykwonNOWAY
[1734.962] prisira: みんな下水道を待ってる
[1737.932] yking0122: 罠解除は持ってないね
[1738.943] (S)ましゅダヨ: 名曲:下水道
[1739.022] Wutevadude: lol
[1744.744] tsubomaru: ないですね
[1755.921] あり0221: ミンサガは金を敵が大して落とさないから宝箱は重要っす
[1758.504] pugya7: あーら
[1758.540] シャンウー: スクエニじゃなくてスクウェアって感じだ
[1759.921] (S)箸くれ: あーら♪
[1763.014] tsukikage_saga: 地図やったね
[1764.882] (S)meat114kg: マップが！
[1768.348] palllight: ♪
[1773.525] yking0122: そう
[1780.179] (S)kakutora_no_o: マジで戦闘開始bgmかっこいい
[1781.829] もきち555: 実質世界樹の迷宮じゃん
[1782.811] kiton_taichi: その通り
[1783.342] gorogorogorn: 察しがいい
[1783.597] tsubomaru: 熟練度が上がると耐久減らなくなります
[1784.863] kuniyoshi8: そういうシステムなのか
[1786.974] shinra0721: クラスレベル
[1788.902] あり0221: 弱い攻撃は使わない。強い技ほど使う
[1791.526] Wutevadude: yeah but she’s wearing a red top
[1793.476] ヤスオン: クラスとかスキルの関係やねえ
[1799.235] tsukikage_saga: まさかウメちゃんのミンサガやりながらロマサガＲＳやる日がくるとは思わなかった
[1800.343] falcanon: わこつ
[1814.523] maddy2623: 弓と風と斧は空に特攻
[1815.500] 残り8万: クラスレベルとスキルと武器のプラス値だったはず
[1820.758] シャンウー: 格ゲー界隈でrgpきてるなこれ
[1822.527] yking0122: くそ弱かったね
[1825.418] Jam10505: 魔法ゴミ以下だったね
[1829.237] GG_sensay: へぇー
[1833.181] tsubomaru: 今作は合成魔法めっちゃ強いです
[1835.882] gorogorogorn: 回復用
[1839.272] spring__thief: 意味わからん術多かった
[1840.465] (S)meat114kg: 敵が使うとくそ強いのにね
[1843.702] tsukikage_saga: リマスターになって更にクオリティあがったね
[1847.299] 残り8万: 今回はチートレベルまで揃ってる
[1847.962] (S)イエール: ww
[1849.858] sh1zuku716: モブが一番つえーや
[1851.310] 14johan1414: これでは魔法強いw
[1851.327] (S)ましゅダヨ: オリジナルは鬼畜……
[1853.402] あり0221: ロマサガ1は理不尽にむずいけど、リメイクのミンサガは良い感じの高難易度
[1854.987] maddy2623: BEAST♪ね
[1855.076] kuniyoshi8: 踊り子だもんあ
[1856.056] (S)gularain: ビーストがね
[1856.789] (S)mt7f: BEASTがね
[1857.387] (S)kakutora_no_o: beast育てていこう
[1858.141] inumos: バーバラなのかBEASTなのか
[1861.236] caltropman: バーバラじゃないバーバラ
[1861.619] おーとん: このゲーム閃いた瞬間気持ちいいんだよなぁ
[1862.215] (S)蟹右手: ディスク以前の魔法全般マスクデータだらけで使う気になれなかった
[1866.602] (S)ましゅダヨ: そうなのかw
[1866.858] fuan4444: 魔術師いないと進めない戦力
[1868.698] chin_56_: ビジュ良くない
[1869.652] GG_sensay: BEAST♪です
[1877.053] Wutevadude: he probably has more than 99 hp
[1885.532] tsukikage_saga: ビーストがしゃべったぞ
[1885.728] 泣き虫サクラ: マムティ良い名前だな
[1891.844] zanpei501: うん
[1893.159] (S)sugi_tree3: マムティ名前かわいい
[1898.308] sh1zuku716: 超節約するのねｗ
[1898.844] natoooji: ボンボン
[1904.923] (S)すれいまん: ボンちゃん！？
[1905.100] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[1906.621] (S)イエール: かっこいいね
[1907.471] ZuborackO: モブ君かっけぇ
[1908.539] kasumika124: ｗ
[1911.638] (S)gularain: 主力ｗ
[1912.796] forjc3rd: 魔術師のクセ強すぎて呪術師やん
[1912.815] (S)monpiipop: wwww
[1914.105] natoooji: 五条やぞ
[1917.068] spring__thief: ごじょせん
[1917.916] 残り8万: 魔法は能力値上がると演出がどんどんデカくなる
[1919.379] すいそう: 名あるだろもはや
[1920.939] 泣き虫サクラ: 背中にこんぶさしてるし
[1922.329] Jam10505: エルデンリングのウメちゃんやん
[1922.356] maddy2623: ジョジョ意識してるね
[1925.621] rekisaku: コロコロ派です
[1927.720] (S)蟹右手: 自分がネームドだと思い込んでる動きしてる
[1930.320] gorogorogorn: 勝利ポーズよｗ
[1933.703] chin_56_: わいちゃうよおお
[1936.773] spring__thief: 海賊が好きだったな
[1939.764] blackcoffee0821: 院踏んだ？
[1941.109] tukumi07: ちゃんとステータスあがる
[1941.145] (S)イエール: 名もなき魔術師がラスボスを倒す件
[1942.348] prisira: やっぱサガの成長システム神だな
[1955.994] (S)箸くれ: BEAST♪の見た目がいまいち
[1961.214] caltropman: 名無しだけで世界を救う縛りプレイみたことあるわ
[1962.100] Spike_rod: 歴史に名を残さない英雄
[1963.979] 残り8万: どんなパーティー組んでも良いのが楽しいの
[1965.576] natoooji: 俺もミスチルだと名もなき詩が一番好き
[1966.301] (S)イエール: なんか魔術師ステータス上がってくれる
[1968.432] (S)sugi_tree3: 多い
[1970.520] degajun: 懐かしいゲームやｗ
[1970.769] シャンウー: ゼノギアスもリメイクしてくんないかなぁ…
[1984.364] あり0221: 戦闘回数多いほど敵が強くなるシステムがマジおもろい。単調なレベル上げみたいなのが逆にサガだと弱行動
[1988.494] fuan4444: 2属性を操るとは・・・
[1993.384] kame277: かっけぇ
[1999.794] (S)イエール: ゼノギアス今の技術でリメイクしたらスクエニなら15年かかるw
[2002.513] yking0122: 魔法がつええっすｗ
[2003.742] gyu_nyuu_pann: つえー！
[2003.982] mikaze0001: 逆にいなかったらつらかったね
[2005.746] tsubomaru: かっこよく見えてきたｗ
[2006.661] degajun: お前が最強だ
[2008.372] unias2: 名もなき猛者として完成されちまった
[2009.284] (S)mt7f: ポーズが強キャラ
[2009.875] inumos: 目隠ししてるやつが弱いわけあらず
[2011.838] yusan090: モブのやる気
[2012.605] (S)箸くれ: ビクビクしてるｗ
[2012.747] pugya7: つよいｗ
[2013.564] gorogorogorn: 出会っちまった
[2015.134] aigamo0214: モブのくせしやがってー
[2016.095] 将門ゴルゴロ: 魔術師アールさんっぽい
[2018.113] (S)イエール: かっけぇ
[2018.283] jjjackass: 詠唱モーションかっけえよな
[2020.468] caltropman: 名無しの欠点はLPが低い
[2020.711] v_harumi_v: 名前ないのにかっこいい
[2022.145] spring__thief: 別れにくくなるな
[2022.217] kosmos5567: ゼノギアスはもう制作陣が任天堂だから…
[2031.109] もきち555: 最後まで連れてこう
[2031.226] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[2033.658] シャンウー: リメイクしたら小出しにされちゃうか。
[2036.300] pettan_omochi: 聖剣3のリメイクみたいな感じでデュープリズムも出してほしいな
[2040.678] nihonsyu_: ウメちゃんってミンサガは初プレイ？
[2041.679] natoooji: 邪神ﾓｯｺｽ
[2041.892] shinra0721: 右スティック押し込みで倍速になるんで気が向いたらどうぞ
[2042.012] ヤスオン: サーチは近くに宝箱あったら表示が出ます
[2045.345] 残り8万: 雑魚敵で稼ぐゲームじゃないんだよねえ
[2045.694] yking0122: 金はイベントでもらってく感じっすな
[2052.968] シャンウー: デュープリズムの名前が出て超嬉しい。
[2054.797] aigamo0214: 近くに宝箱ないとむり
[2059.765] (S)mt7f: 使えるときだけ使えるんじゃなかったっけ
[2062.600] ヤスオン: 自動で出ます
[2062.818] (S)イエール: きゅぴぃーーん
[2064.356] yking0122: あるよってでるよｗ
[2075.639] 残り8万: 宝箱埋まってる時に自動でサーチしてくれる
[2076.244] ぷりにゃん: お
[2079.231] ヤスオン: ああ、スライムかあ
[2079.951] tsukikage_saga: バトルも右スティック押し込みではやくなります
[2080.677] (S)イエール: ほほう
[2081.265] inumos: BGMが神
[2082.030] shinra0721: 戦闘も倍速できます
[2082.085] (S)ましゅダヨ: うおおおおおおおと
[2082.549] prisira: 曲があまりにも神
[2083.679] jjjackass: 急にボスｗ
[2086.242] aigamo0214: 見えない宝箱が見えるようになるって感じよ
[2086.335] chin_56_: えんりょなく
[2087.923] toro0524: BGMがｗ
[2088.227] spring__thief: イトケンさすがすぎる
[2089.579] (S)イエール: やっちまええー！
[2089.958] moyashi117: BGMかわった
[2091.125] unias2: 曲が
[2092.022] おーとん: ボスBGM最高すぎる
[2093.514] v_harumi_v: きたー
[2093.664] 残り8万: 倍速できるのが素晴らしい
[2093.669] gyu_nyuu_pann: 曲かっけー
[2093.756] (S)ましゅダヨ: 神すぎ
[2094.286] ヤスオン: 説明しよう！！
[2094.318] kame277: DinoDance
[2095.148] tsukikage_saga: ｗｗｗ
[2096.629] prisira: 連携！
[2096.903] (S)蟹右手: 説明しよう
[2096.904] (S)ましゅダヨ: あ、
[2097.144] jjjackass: きたー
[2097.364] ぷりにゃん: ゲーム音楽は一つのジャンル
[2097.550] pettan_omochi: 説明しよう！
[2097.621] (S)ponponguripon: ！！
[2097.622] aigamo0214: でたああああ
[2097.966] (S)smile9104: umeYay
[2098.447] ごまさんです: 説明しよう
[2099.486] (S)sai927: ｗｗｗｗｗ
[2099.685] aranami0: 説明ありがとーーー
[2099.718] arnhmci: でたｗ
[2101.098] (S)イエール: 連携きちゃ
[2102.234] kasumika124: と呼ぶ！
[2103.207] tsubomaru: いいｗ
[2103.373] あり0221: 説明しよう！
[2103.438] inumos: 連携と呼ぶ！！
[2103.606] GG_sensay: 声！
[2103.780] (S)monpiipop: wwww
[2103.950] moyashi117: 説明しようｗ
[2104.006] シャンウー: 昭和アニメw
[2104.348] ZuborackO: 説明しよう！
[2105.439] 残り8万: 連携と呼ぶ
[2105.993] tsukikage_saga: と呼ぶ！
[2106.231] hikky722: 連携、とよぶ
[2106.370] 96473785: カッケーw
[2108.626] spring__thief: これを連携と呼ぶ
[2108.845] kame277: www
[2109.578] teruharu_: いちいちカッコいい
[2109.783] すいそう: 街のBGMから全部が全部神曲名の凄いわほんと
[2111.388] gorogorogorn: ヒーローものｗ
[2111.557] よもぎです: 説明いいw
[2111.582] (S)ましゅダヨ: 説明しよう！なんだよねw
[2111.621] rm_rf__: なんやなんやw
[2114.055] (S)きしー: 水曜どうでしょうってこんなかんじのナレーションあったよな
[2114.547] forjc3rd: アレンジ効かせ過ぎで草
[2115.746] (S)ponponguripon: ビクビクしてる
[2117.185] tabibitox: 昭和ではないけどなｗ
[2117.850] おーとん: 昭和感たまらん
[2122.621] ヤスオン: 説明しよう！
[2124.121] kame277: 入り込めるねぇ〜
[2124.311] GG_sensay: これはいいなｗｗｗ
[2126.354] chin_56_: STOP
[2127.493] (S)ましゅダヨ: 声がまたそれ
[2134.391] (S)mt7f: くせになる
[2135.225] ごまさんです: か、かっけえ
[2135.749] inumos: めっちゃ説明してくれるやん
[2136.084] v_harumi_v: と呼ぶ！
[2136.121] オーシタ: これ声優ハメコさん？
[2138.027] すいそう: と呼ぶ！
[2138.227] prisira: よっわｗｗｗ
[2138.617] ぷりにゃん: よわ
[2138.835] (S)yukikaze083: 昭和演出いいね～
[2138.846] (S)イエール: むそく、と呼ぶ
[2142.934] (S)kirama1097: うおおおおおお無足！！！
[2146.837] rm_rf__: この演出でもちょっと良いな
[2148.920] maddy2623: かっけーなミンサガ
[2150.257] 残り8万: ちなみにこれは原作が説明不足すぎて何もわからないから説明演出入れたらしい
[2153.146] おひぐ: BGMいいなぁ
[2156.863] すいそう: こういう説明読み飛ばしがちだけど、昭和ナレーションのお陰で見れるわｗ
[2159.415] もきち555: 説明しよう！
[2159.935] miyomi344: むしろ平成感だろこれ
[2160.454] Jam10505: 無速ってストシリーズでもありそうな名前だな
[2161.076] prisira: イトケンが神
[2172.516] (S)イエール: 魔法強すぎるw
[2173.765] fuan4444: 魔法使い放題やばい
[2175.813] tsubomaru: 武器が弱いからなあ
[2178.706] maddy2623: 腕力アップ嬉しいよね
[2188.532] aigamo0214: RTAでも術無双やしな
[2190.939] yking0122: 武器にも、斬撃・打撃・刺突の３つあるよ
[2192.502] isekai7153: 名作やってますねえ
[2192.708] (S)monpiipop: めっちゃエンカウントするなw
[2193.929] (S)今井みどり: このゲームアールさんの実況ないのか
[2204.729] ぷりにゃん: テレレレーレーレーｗ
[2207.616] isekai7153: ｗｗ
[2209.956] (S)ましゅダヨ: いやそれ
[2211.512] maddy2623: ３は画集
[2212.776] nikukuisugi333: 3は曲いいから
[2213.086] ﾃﾄﾗﾝ: これは1ではないです
[2213.143] prisira: ３も面白いだろ！
[2214.014] (S)monpiipop: そ
[2214.774] jjjackass: 3もいいだろ！
[2218.319] おーとん: やめたれ
[2218.522] (S)monpiipop: それは…
[2220.856] tsukikage_saga: ３も面白いよ！！
[2221.297] kiton_taichi: 3も好きです
[2221.837] 14johan1414: ロマサガは2も面白い
[2223.611] 残り8万: 3のリメイクしたらめちゃくちゃ売れそう
[2223.636] jojojo3311: なんであんなことにで
[2224.159] 有頂天_ゆうがみそら: 神ゲー感謝します 
[2224.534] sussy_int: 戦争じゃ！
[2226.095] まるる8800: 3もいいよ？
[2226.147] (S)イエール: 3は曲かっこええからさ！w
[2227.970] gorogorogorn: ３もいいぞ！
[2230.122] mohita_3: 3は3でおもしろいから…
[2230.947] prisira: ３はリメイクしたぞｗ
[2231.086] ぷりにゃん: こらこら
[2231.257] sh1zuku716: ３おもろいよ・・
[2231.658] natoooji: ３が一番人気あるやん
[2231.986] fuan4444: 3アンチなんかｗ
[2232.184] (S)ましゅダヨ: でも3買ったこの間
[2232.634] kosmos5567: 曲いいよ？
[2233.773] kasumika124: 3人気じゃない？
[2234.578] Jam10505: ３は自由感がないんだよなぁ
[2234.580] tyapa95: 3アンチは珍しい
[2235.308] Ceciltaisa: でも3好きなんだよな
[2235.644] sitasitak: 2もいいよね
[2237.051] yking0122: ２からの３はちょっと残念だったなぁ
[2237.399] aigamo0214: 4魔貴族も好きなんや。。。
[2238.165] マジでラブ恋愛中: うちは2が1番好き
[2238.927] komura0822: さすがに？
[2241.481] shinra0721: 移動も戦闘も3倍速までできます
[2245.347] isekai7153: 3が一番人気なような
[2245.813] m1s4m0: ウメちゃんの目がほとけw
[2246.030] (S)meat114kg: 3ダメかー
[2247.277] おやつハンター: 魔法つよ
[2249.295] jojojo3311: あきらかに未完成なんよ…
[2250.798] みえけん: 2が名作過ぎたのよ
[2252.845] moyashi117: 2が一番好き
[2254.506] ryouiti1111111: こんにちは
[2257.539] wangjinrei1138: ３は毎回同じようなプレイになっちゃうよね
[2259.575] tsubomaru: ２が一番評価高いイメージ
[2259.945] maddy2623: ウメちゃんコロナのとき暇すぎて３やってそっこーやめたのよね
[2260.421] (S)mt7f: ３は角が取れて遊びやすくなった
[2262.186] caltropman: 河津さんは２で完成したて言ってたからね
[2264.403] snkfkn: 2神
[2264.494] fuan4444: 人気は2やろ
[2269.784] (S)ましゅダヨ: BGMはさー神じゃん。。。
[2274.687] 14johan1414: 2が面白すぎた
[2278.756] (S)meat114kg: 3は神曲は多いからまあ
[2279.400] kame277: 音符マークつけるな
[2280.676] tsukikage_saga: １，２，３も好みがある。けどどれも面白いよ
[2287.092] shinra0721: 弱い
[2287.449] natoooji: Steamだと２の評価低い
[2289.036] あり0221: 人気は3だね。ただ熱狂的なファンはやっぱ1かな。1が革新的だったし
[2289.763] isekai7153: 1が一番好き
[2290.924] 泣き虫サクラ: あーなんか俺もRPGやりたくなってきたわ
[2298.736] 残り8万: 強度補正がEP消費増減
[2300.414] aigamo0214: トレードができるのはロマサガ3だけ！
[2306.800] (S)ましゅダヨ: 兄ちゃんは2ばっかやってたな。
[2310.549] Ceciltaisa: ２も３もファンはめっちゃ居る
[2310.840] kiton_taichi: またミンサガやりたくなってきたわ
[2314.938] m1s4m0: 敵の造形ええな
[2315.525] prisira: コマンド古いっていうけどやっぱいいよなコマンドＲＰＧ
[2316.114] isekai7153: カタリナはやっぱりかわいい
[2317.061] (S)イエール: 先手とはw
[2318.718] (S)monpiipop: 先手とは
[2319.124] mohita_3: GBより後のサガ系は前作の思い出補正引きづるとつらいってことだな
[2320.251] (S)ましゅダヨ: 先手とは
[2321.028] おーとん: ウインドカッターOPすぎる
[2324.146] papipupepasso: 誰仲間にするのかわくわくしながら見てます。
[2329.209] (S)meat114kg: 先制技か？ハヤブサ切りみたいな
[2329.816] imokun888: ファスト技かな
[2330.576] sussy_int: ファスト技かなんかかな
[2332.095] naginagi99: １も２も３もそれぞれ違ってファンがいる
[2339.835] yking0122: ちなみに行動順も指定できるよ
[2341.032] isekai7153: あ
[2345.062] 残り8万: でんこうせっかみたいな技があったっけ
[2345.419] (S)蟹右手: エルマーン
[2348.702] (S)ましゅダヨ: ああああああああ
[2350.230] (S)イエール: サガフロ2こそ至高......。
[2352.598] みえけん: つよこいつｗ
[2353.409] isekai7153: ダンカンこのやろう
[2355.318] (S)イエール: あっ
[2356.327] あり0221: 割と頭使うってか脳死でやってると苦労するサガシリーズは
[2357.371] naginagi99: この野郎いただきました
[2358.063] (S)monpiipop: 説明しよう！
[2359.050] (S)ましゅダヨ: 大事なBPが……
[2366.590] 目付きワルオ: エルマンってだれだっけ
[2369.955] tsukikage_saga: ＨＰが０になると倒れる これを戦闘不能 と呼ぶ！
[2380.406] sussy_int: エルマンくんLP多いしまあええか
[2382.278] (S)イエール: 解説助かるwww
[2386.928] silacamision: おじ-さん どおば-さんだ
[2387.045] sh1zuku716: ひっど
[2388.699] isekai7153: リストラ
[2391.469] すいそう: 仲間は使い捨てていく
[2397.399] (S)monpiipop: ジュエル少ないなぁ
[2399.817] imokun888: まだ行ってないところは？？？になる
[2400.013] inumos: エルマンつこうて上げて
[2401.648] 残り8万: マップのつなぎ目で出てるだけ
[2403.134] shinra0721: 行ったことないとこだから
[2406.443] (S)ましゅダヨ: いつまで使うか分からないじゃないか！
[2407.203] prisira: アールさんのツイート笑ったｗｗｗ
[2409.121] tsukikage_saga: 次のマップに進む前だから？？？だったとおもう。進んだから？？？がなくなった
[2412.929] maddy2623: 気づき
[2414.532] sh1zuku716: 気づき
[2415.396] tsukikage_saga: きづいちまったか
[2416.007] aigamo0214: お気づきですか
[2418.280] isekai7153: リメイクどうだったけなあ
[2418.804] chamomile21: ついに
[2421.778] (S)ponponguripon: モブたのむ
[2423.947] すいそう: 斧より魔法が最強？
[2426.450] jjjackass: どうでしょう
[2426.951] (S)sai927: ｗ
[2428.874] unias2: 気づいちまったな闇に
[2429.203] ヤスオン: ｗ
[2429.217] kurone_2022: ｗｗｗ
[2431.408] prisira: ステータスが低いからじゃない？
[2432.130] (S)イエール: ww
[2433.310] とも8はる: www
[2434.166] (S)イエール: なにそれw
[2435.023] moyashi117: あれ
[2435.643] isekai7153: ｗｗｗｗｗｗｗｗｗ
[2435.903] arnhmci: 弱かったーｗ
[2437.666] おざなり: ｗｗｗｗｗｗｗ
[2437.790] naginagi99: ｗｗｗｗｗｗｗ
[2438.250] tsukikage_saga: ｗｗｗｗｗｗｗｗ
[2439.903] Ceciltaisa: ｗｗｗｗｗｗｗｗｗ
[2440.178] まるる8800: w
[2440.978] (S)ましゅダヨ: www
[2441.352] 将門ゴルゴロ: ｗｗｗ
[2442.443] chamomile21: ｗｗｗｗｗ
[2442.711] chocolat1234: 😂ｗｗｗ
[2442.853] GG_sensay: ｗｗ
[2444.884] シャンウー: わかるw
[2445.036] (S)yukikaze083: ｗｗｗｗ
[2445.544] blackcoffee0821: なっつ
[2445.697] 泣き虫サクラ: 昔ネタ出てくるねぇ
[2446.651] chin_56_: ほういい剣だな
[2446.900] mohita_3: 例えの正確さｗ
[2447.972] 残り8万: 攻撃魔法よりバフ魔法が強い
[2448.619] hikky722: NotLikeThis
[2448.959] (S)dokuyubi: あーれダサいです
[2449.182] (S)今井みどり: 伝わるのかw
[2449.852] マジでラブ恋愛中: wwww
[2450.297] Ron_Kido: DinoDance
[2450.760] oheya36: 魔術師が強いだけかー
[2451.721] (S)イエール: やめたげてw
[2453.387] 将門ゴルゴロ: 的確な例えｗ
[2453.397] isekai7153: 10代20代ついてこれんぞｗ
[2453.676] genkotsu6: そんなのあったなぁｗ
[2455.665] tsukikage_saga: 計算違いだったな
[2456.522] 目付きワルオ: あの剣ちゃんとつよいのに
[2460.198] sh1zuku716: 例えが
[2461.043] とも8はる: 適材適所って事ですね
[2462.638] aigamo0214: ミンサガといえばショックウェイブ
[2465.117] maddy2623: モブ魔術師ですらこの強さ
[2470.010] jjjackass: あいつコルド大王って名前なのか
[2470.978] sussy_int: 魔術師はトランクスだった
[2472.781] buretan555: 久々のロープレや
[2479.788] pugya7: 愛がアップ！
[2481.587] isekai7153: わかる
[2481.816] maddy2623: ｗ
[2482.799] sh1zuku716: ｗｗｗ
[2483.393] inumos: 捨てないで！
[2483.489] (S)meat114kg: ｗｗｗ
[2484.786] 残り8万: エルマンと申します
[2485.111] sh1zuku716: わろた
[2485.700] buretan555: ｗｗ
[2487.610] gyu_nyuu_pann: 草
[2487.863] unias2: ソシャゲだと何故か剣持って出てくることが多いコルド大王
[2489.839] meltasco: 非情だ！
[2493.620] toro0524: 予定ｗ
[2493.762] mafrinrin: 弱いままでいてくれｗ
[2494.468] (S)軽く捻るか: 捨てるの確定w
[2495.478] gyu_nyuu_pann: 情が…
[2496.429] moriyasu0917: あ
[2498.408] sh1zuku716: どぐらばいばい
[2506.257] ぷりにゃん: テレレレーレーレー
[2508.458] yking0122: 戦闘も２倍速くらいがちょうどいいよ
[2508.692] isekai7153: なかなかだな
[2513.230] (S)イエール: エルマン折笠
[2519.604] unias2: 断ち切る！！
[2520.587] natoooji: エロ同人で見る攻撃
[2522.816] aigamo0214: 戦闘ランクあがったかね
[2524.081] buretan555: 名前ビーストなんだｗ
[2530.499] tsukikage_saga: ｗｗｗ
[2535.672] isekai7153: 主人公へ昇格
[2535.938] kurone_2022: 連携のSE好き
[2541.113] 残り8万: 旅の踊り子ビースト
[2562.846] もきち555: 無足ー
[2572.186] (S)イエール: かっこよす
[2574.147] isekai7153: 正直予選よりこっちのがうれしい
[2581.595] natoooji: 無足ってスト６でいうと何？
[2583.304] (S)meat114kg: ミンサガも戦闘回数でランク上がるんだっけ？
[2584.234] prisira: サガはＨＰ気にしなくていいからね
[2585.557] maddy2623: ストレスフリー
[2593.039] あり0221: 上がるよ
[2596.308] (S)イエール: おお
[2598.091] (S)monpiipop: ww
[2598.860] (S)gularain: ｗｗ
[2599.932] (S)meat114kg: ｗｗｗ
[2599.933] (S)dokuyubi: 愛着
[2600.383] (S)イエール: 捨てられるのにw
[2600.493] (S)蟹右手: 人のマネじゃーん
[2601.895] isekai7153: どんどん強くなる
[2601.924] buretan555: 捨てるのにｗ
[2602.059] maddy2623: もう最後までつれてこｗ
[2602.781] toro0524: コマ投げ持ちｗ
[2605.768] (S)meat114kg: スタン助かる
[2610.530] GG_sensay: たのしそうｗ
[2612.711] 残り8万: 戦闘回数で敵が強くなって話も勝手に進んでいく
[2613.313] isekai7153: 魔法つっよ
[2617.207] もきち555: 愛着湧いてきた
[2618.225] aigamo0214: 全快のかわりにモブ戦闘すらきちぃ
[2618.900] jjjackass: このメンバーで最後までいったら笑うｗ
[2619.889] haoo888: もうこのパーティで世界を救おう
[2621.412] (S)kurokurro: ロマサガって名前だけ聞くけど初めて見た
[2622.025] 1108044k: 裏切りそうな見た目してる
[2628.358] (S)~MISSING_COMMENTER_INFO~: 衝突剣流行ってます
[2631.085] snkfkn: お願い捨てないで…
[2631.136] prisira: ロマサガはおもしろいでおすすめ
[2631.244] (M)Moobot: ** これ、配信で使ってます ** → オススメ https://hyperx.gg/3F6rGNO
[2633.306] ys120: エナジーボールがあれならエナジードリンクはどうなっちまうんだよ・・・
[2644.125] (S)イエール: 敵のゴロゴロ虫って名前良いよねw
[2646.206] isekai7153: 糸目なんだよなあ
[2646.254] tabibitox: ナンだぁ
[2648.930] silacamision: ぷるで川
[2656.051] isekai7153: ローリング！？
[2668.048] 残り8万: 魔術師が一番強いってマジ
[2670.590] aigamo0214: 動いた後のスタンはどうでもいい
[2670.631] mikaze0001: よくばりさ～ん
[2672.062] (S)蟹右手: 格ゲーのスタンとの差がすごい
[2673.273] arnhmci: エルマン弱ｗｗｗ
[2674.562] (S)sugi_tree3: アールさんもバーバラスタート褒めてたな
[2677.094] 動画勢: スタンまでえええ
[2683.936] prisira: 野田もこの配信を見ている
[2688.479] yking0122: ブランカのロリにスタンついてたらやばいね
[2693.985] 14johan1414: これでイトケンは戦闘曲苦手って言ってるの謎w
[2694.604] ys120: 説明優しい
[2708.249] isekai7153: 着実に強くなっていくぅ
[2708.653] sh1zuku716: 魔術師居なかったらきつくねｗ
[2711.189] シャンウー: アールさん実況してー
[2725.942] yking0122: アールはミンサガ大好きなんじゃなかったっけ
[2726.028] (S)meat114kg: 全力少年だった
[2734.247] isekai7153: 断ち切る！
[2737.441] shinra0721: 戦闘も倍速にできますので気が向いたらどうぞ
[2738.151] mikaze0001: 倒し切りぃ！見えているぅ！
[2741.654] 残り8万: アールは全キャラクリアしてるって聞いた
[2745.843] prisira: 人の見てるとサガやりたくなるなｗ
[2747.417] mohita_3: コブクロといつもごっちゃになる
[2751.644] blackcoffee0821: アールさんに語らせると長い
[2753.343] aigamo0214: アールさんもお暇になったやろし
[2757.400] (S)ましゅダヨ: 野田さんみつけるのはやいw
[2764.142] (S)イエール: 龍ちゃんこの世界観好きそう
[2766.099] (S)monpiipop: 今でも全然やれるクオリティだしなぁ。見てるのも楽しい
[2771.894] シャンウー: ボス戦はアールに実況してもらおう
[2780.283] inumos: アールさん自分でフルボイス喋ってそう
[2781.268] (S)ましゅダヨ: 野田さんとディスコ繋ぎながらやらない？
[2784.933] isekai7153: 草
[2788.022] (S)meat114kg: 草
[2789.151] blackcoffee0821: ｗ
[2796.220] (S)ましゅダヨ: 草
[2806.124] (S)~MISSING_COMMENTER_INFO~: 草
[2806.204] hikky722: Getcamped
[2817.289] hikky722: PrimeMe
[2828.318] あり0221: こういう消耗具合が洞窟からそろそろ退却しなきゃとか焦るんよね。
[2830.777] 残り8万: エルマン弱くないですかね
[2838.534] fuan4444: なお魔法には耐久力なし
[2847.032] (S)ましゅダヨ: あらら
[2848.337] mukade3: 捨てよう
[2848.615] おーとん: LPだけの男
[2849.616] (S)蟹右手: 捨てられる…
[2852.529] isekai7153: やはりリストラ筆頭
[2853.116] unias2: 失うマンじゃんもう
[2853.128] prisira: 序盤だから・・・
[2853.849] v_harumi_v: 糸目だから、目をあけないと本気でない
[2855.546] 泣き虫サクラ: こちとら旅芸人やぞ！
[2856.741] yking0122: スキル上げてないから仕方ないよｗ
[2859.325] inumos: 壁だって仕事してるんだ・・
[2863.035] gyu_nyuu_pann: 肉壁w
[2866.434] natoooji: どぐらやで
[2868.169] tsubomaru: 剣の適正ないから仕方ない
[2869.270] buretan555: ミートウォール
[2870.361] Spike_rod: でもエルマンの顔えいたににてない？
[2871.880] kuniyoshi8: 外しやすくしてんだ、、
[2871.939] (S)meat114kg: 一般人だししゃーない感
[2873.540] spring__thief: エルマンとはさよならかぁ
[2875.190] tabibitox: 捨てる奴になに期待してんだ？
[2879.633] maddy2623: アールさんがウメちゃんのバーバラスタートを褒めてる
[2883.851] ys120: エルマン、上司のプレッシャーで魔術師くんの靴に画びょう入れそう
[2885.781] tkyhage: エルマン、術使うのにに転向してみては？
[2893.837] prisira: 戦闘しまくると敵が強くなるスバラシイゲーム
[2896.006] tsubomaru: エルマンって初期クラスなんだっけ
[2902.877] buretan555: 捨てるんなら素手で良くない？ｗ
[2910.297] volatility1: nice
[2914.291] yking0122: エルマンは商人じゃなかったかな
[2921.772] (S)蟹右手: 宝！
[2922.970] natoooji: 戦闘しすぎるとイベントフラグも消える罠
[2926.022] zangetsu1299: majinoBoogy
[2926.151] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2929.213] (S)イエール: エルマンどころか、エムマン、いやエスマンと言ってもいい。
