[15.229] 熊ビッグベアー: 1gett-!
[4279.071] seikeihanaobasan: 処理じゃない・・・
[4279.320] takahashiseigi: 生駒デビルがGO1ボコった動画、ちょっと見に行きます
[4283.694] (S)m1s4m0: なんか負けそうにない
[4286.441] ~MISSING_COMMENTER_INFO~: 都市伝説になったどぐら
[4287.430] ギアふっしー: 1億の男
[4302.531] (S)fahmy0825: Maximum punish in this game is very important
[4307.416] 新福菜館マン: パキスタンのカマキリ
[4310.497] ootsukemono: 波動お前アカンのか…
[4312.092] nickouthereeee: @mr_plumfield daigo not showing his true power
[4313.788] (S)hinhinpp: GO1とかずのこの仕上がり楽しみ
[4320.969] char1iebr0wn: ｱｲｲｲｲｲ
[4325.384] shalltear_bloodsuck: daigo is ryu?
[4329.726] akindo08: 東京にはかずのこがいる
[4332.029] tukumi07: yes
[4333.629] degajun: うめさんもうまなっとるなぁ
[4334.466] chicken_dumpling: ryu only wins when he corners the opponent
[4337.061] ギアふっしー: かずのこスト６やってんのかな
[4337.544] porcupinepine: かじゅってそんなに仕上がってんの？すげぇな
[4340.757] hoemin247: GO1が勝てば勝つ程どぐらのハードル上がってくの笑う
[4345.784] 記入漏れ: GO1さんはともかく、かずのこさんはもうストリーム一本でしょう
[4345.944] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
[4348.212] bosssan3: KOGの眼力。「これならGO1が勝つわ」
[4353.292] char1iebr0wn: かずのこは今ホロ格とオメストで忙しいから
[4353.663] nickouthereeee: daigo is daigo
[4357.969] shalltear_bloodsuck: who is the othert guy?
[4367.493] おぼんご: uma
[4369.328] japonism: オフ対戦しかないせいで都市伝説発生しまくってんのおもろい
[4371.652] plumfield_kemono: GO1
[4372.032] porcupinepine: カプコンのルールで岸田禁止にしない？
[4375.969] (S)憂う者の弟子: Osaka no obachan
[4377.474] arthurkannibal: PogChamp
[4377.657] (S)mobageiskusoge: go1 is amazing
[4379.276] tabibitox: 下段始動だったからか
[4382.033] japonism: えいたインストール
[4384.639] (S)fahmy0825: That's why parry is important, you spent gauge why your opponents just parry you
[4385.107] guscotu0: かずのこ練習してないし新キャラで対応殺しして加齢に去っていくんじゃね
[4389.419] tukumi07: Daigo vs GO1 and Eita
[4393.626] Sinstrel: Is Daigo playing Ryu?
[4402.390] plumfield_kemono: yes
[4403.409] sndkzfm1: かずのこのホロライブ格ゲーの再生数10万超え
[4407.830] fatandsmile: いまのすご
[4410.028] nickouthereeee: @mobageiskusoge i google go1 and i get Transformational Learning through Online Courses
[4414.814] japonism: えいたのアイデンティティ、インパラーもなくなった
[4428.992] takahashiseigi: 動画観たら確かにGO1を、どぐらが全編ボコってたw
[4433.074] (S)mm2351: かっけえ
[4434.895] LGA2011: おもしれー
[4438.940] char1iebr0wn: どぐら最強伝説
[4440.156] deshbid: Goichi full name I think
[4442.903] mimiprettybot: お互いバーンアウト→スト２
[4447.168] akindo08: このステージ地味にBGM良いよな
[4447.342] porcupinepine: どぐらは無敵の存在
[4450.210] bosssan3: カズノコは100%当てるインパクトとかで対抗してきそう
[4451.198] Sinstrel: Wow
[4451.915] (S)nihonsyu_: まじかーｗ
[4454.121] (S)configlist: tuyyo
[4454.178] nikkoria_: I wonder why go1 doesnt use flying knee more when opponent is burned out
[4455.159] LGA2011: マジでいい勝負
[4457.895] prosciu: あかん
[4460.909] (S)maya_g01: すげえ
[4461.830] mii1818: go1
[4462.578] mugi_yu: こういう局面Go1が持ってくね
[4462.807] shalltear_bloodsuck: isnt GO1 the dbz player?
[4463.583] seikeihanaobasan: うんまー
[4463.711] porcupinepine: GO1 3-0 others(いい勝負)
[4463.787] hoemin247: すげぇな
[4467.569] degajun: レベルたけぇ
[4468.976] ~MISSING_COMMENTER_INFO~: どぐらは無敗のまま引退するよ
[4469.437] 墾田永年私財砲: まだ発売もしてない段階で練習してないって言われるのさすがにかわいそう
[4470.248] ppooppy: これより強いのが不敗伝説どぐら
[4472.424] やきそばぬ: GO1「どぐらならもっとうまくやる。勝つとき相手の口から言葉がでないからね。」
[4486.387] (S)fahmy0825: Daigo not using parry is in my opinion not a good choice by him. Just in my opinion
[4487.757] 墾田永年私財砲: 最強伝説
[4490.645] mugi_yu: どぐらって人そんな強いんか…
[4495.508] LGA2011: ごーちゃんまだ無敗なんか
[4498.916] tabibitox: 垂直するかとおもったらちゃんと前飛びできたｗ
[4501.175] lostvayne91: @shalltear_bloodsuck  usually known for melty blood. but yes dbz as well
[4502.884] towai8: 実力の世界だからしゃーない
[4511.463] bokaaan: 勝ち逃げカマキリ
[4518.050] のってる: 6でも硬そうなどぐら
[4523.304] shalltear_bloodsuck: @lostvayne91 ah i see so this is the guy
[4527.874] (S)raitaso: 対空とインパクト返し縛って勝つからな
[4529.772] degajun: 差し替えしうま
[4532.357] char1iebr0wn: ｗｗｗ
[4542.896] porcupinepine: 情報をまとめると、どぐら一強、その下がGO1、かじゅ、ももちって感じだな
[4544.261] fatandsmile: Go1さんCPT優勝して「関西には俺より強い奴がいる」みたいなこと言ってほしいな
[4546.544] 新福菜館マン: ほぼバーンストレートでしょ
[4561.253] tabibitox: スタン後やｗ
[4562.420] takahashiseigi: どぐらは単なる昆虫やない、カマキリやで…
[4571.619] chorichoris: あるよー
[4574.048] porcupinepine: 生駒捕食者
[4579.384] towai8: どぐら最強は半分ネタでしょw
[4579.480] _ちとせ_: ドライブラッシュ止めるのがうますぎる
[4579.762] (S)daichan1200: Go1 is known for multi fighting game player
[4580.415] asksrg: どぐらはパキスタンの強豪枠だった…？
[4581.039] metalmomonja: ラッシュ絶対止めてくるじゃーん
[4581.830] yudedako: つよすんぎ
[4583.157] char1iebr0wn: まだワンコイン
[4583.997] porcupinepine: 1-2うおおおおおおおおお
[4585.388] tom236n236p: ラッシュ毎回止めてるな
[4586.093] akindo08: どんなとこでもCAあるから怖い
[4586.188] ギアふっしー: 草
[4586.249] 墾田永年私財砲: 頂点捕食者どぐら
[4587.206] moricocoa: エコノミー症候群なっちまうぞ
[4588.524] ~MISSING_COMMENTER_INFO~: メスカマキリに食われるどぐら
[4589.173] 新ころりん: ｗｗｗ
[4590.319] tyapa95: 息苦しいよ…
[4591.916] ギアふっしー: 村崩壊
[4592.014] shalltear_bloodsuck: is that momochi?
[4592.965] hoemin247: wwww
[4593.611] donpapa3425: 座り続けるごーちゃん
[4593.626] (S)kazukitaiga: だんだん追いついてる感はある
[4593.785] char1iebr0wn: 平和な村を焼きに来た
[4594.422] nickouthereeee: why daigo is getting up when he won
[4594.981] degajun: 村がつよくなるでｗ
[4595.447] mukiryoku_mkr: ムーミン谷の悪魔
[4595.619] (S)gazesd: 村が荒らされてます
[4595.736] garo735: ムーミン谷
[4596.029] bokaaan: 村崩壊
[4597.924] guscotu0: 関西はパキスタンだった？
[4598.053] (S)gyu_nyuu_pann: ww
[4598.747] (S)maya_g01: 平和な村が焼き払われちまう
[4600.958] onigiri21: ベジータ編直後のフリーザのようなどぐら
[4602.042] furu13: どぐらこれより強いってマジ？
[4603.250] (S)憂う者の弟子: DaigoはZERO3やってるから！
[4604.318] goodkey44: 村焼かれた？
[4604.902] (S)gyu_nyuu_pann: ムーミン谷が…
[4605.713] (S)んまま: どっかのおばちゃんに荒らされる
[4606.587] 犬ゼリー: 外来種
[4606.695] roa_silk: 関西からきたメガネに・・・
[4606.911] レム__: パキスタン勢
[4607.339] (S)nikukuisugi333: 関西乗り込んでくれ
[4609.797] (S)mobageiskusoge: @nickouthereeee they are practicing
[4609.945] やきそばぬ: エルフの森に火を放て
[4610.780] nyarlbini: ムーミン谷炎上
[4610.888] kaworuko19: 平和じゃ強くなれん
[4611.512] 水郷: @shalltear_bloodsuck go1
[4611.555] ys120: 村は焼かれ、女子供は連れていかれた
[4613.645] MisaMisa_12: どぐら「GO1とはやらん」
[4614.641] (S)configlist: BO3
[4615.536] (S)pandadaiou23: 食い荒らされちゃう
[4616.363] (S)Hiclere: えいた・・・助けて・・・
[4617.609] porcupinepine: 村にモンスターを引き込んだ責任取れい！
[4618.673] ksevenx: Because they play 3 games, player with more wins within those 3 games, stays on
[4620.050] nikkoria_: He had to take a shit 
[4626.213] sanshirou346: 破天荒岸田
[4626.293] yudedako: 破天荒
[4627.208] ksevenx: Daigo won last game, but he lost 2-1 in the 3 games
[4629.189] 墾田永年私財砲: オーク１
[4630.196] ビフィダス: ムーミン谷にトルメキアの戦艦が落ちてきた
[4630.436] guscotu0: 女子供は最初からいないだろ！
[4631.945] pengetop: めちゃめちゃ有意義な練習になるね
[4632.269] sndkzfm1: 悪魔じゃねーか
[4633.829] ぽてゐと: 破天荒
[4634.890] char1iebr0wn: 2時間後GO1に村が育てられるとおもったらGO1がさらに育っていた
[4636.384] RKC48: ﾋｬｯﾊｰｰ！
[4639.152] mukiryoku_mkr: ごーちゃんはヴァイキングだった？
[4641.535] nickouthereeee: @mobageiskusoge they are doing it wrong lol jk
[4645.059] ペプシ男: 災いを呼んでしまった
[4646.319] LGA2011: 残虐非道の限りを尽くす岸田
[4648.868] ikap_ap: イマジナリー女子供
[4650.012] ギアふっしー: おじさんしかいない村です
[4650.342] proajus: 女子供は連れ去られた後や
[4655.737] ebityper: まさかまた勝ちすぎてヘラるGO1になってしまうのか？
[4659.237] (S)grove0301: えいた「許さない...51...絶対564てやる...！！」
[4660.807] れい_007: どこかに討ち果たしてくれる勇者はいないのか？
[4661.799] masabonchicken: ごーちゃんにはとっても美人な奥さんがいるよ
[4663.852] jony_avion: 村が焼かれるのは物語のスタートだからよ
[4664.438] shalltear_bloodsuck: daigo needs to win another EVO. hes starting to fade like valle
[4665.856] hikky722: 勇者どぐら「どしたん？話きこか？」
[4667.082] (S)grove0301: こうですか？わかりません。
[4668.459] takahashiseigi: 世紀末救世主どぐらを、ウメ部屋に呼んで来て！
[4671.909] 記入漏れ: GO1さん オーク説やめろ
[4674.846] (S)mobageiskusoge: well leave it to @nickouthereeee to teach the pros
[4675.969] kaworuko19: FPS村いこか～
[4677.265] char1iebr0wn: やった
[4677.848] ~MISSING_COMMENTER_INFO~: 「俺より強いやつに会いに行く」
[4679.909] onigiri21: 女子供が連れ去られたから、おっさんしかおらんのやなぁ…
[4680.998] tondemonaiyo: 給食のおばさんおるやん
[4683.900] shomarusan: GO1ずっとウメハウスにいてくれ
[4685.399] porcupinepine: 「それダメ」
[4685.534] tukumi07: なお男の山賊しかいない村の模様
[4687.632] akindo08: 全部見えてる
[4690.039] roa_silk: この村に女子供がいない理由は岸田が攫っていたから・・・？
[4692.837] 2youyou2: 強すぎるが故の孤独
[4693.044] ギアふっしー: そのころどぐらはパチへ
[4694.235] bokaaan: オフ満喫カマキリは来ないよ
[4701.814] char1iebr0wn: 関西では日常茶飯事だぜ
[4703.487] sndkzfm1: 関西では〜
[4704.186] (S)gazesd: 関西では常識か…
[4705.703] porcupinepine: 結構みんな知ってると思うぞｗ
[4710.785] guscotu0: ちっがーよ、女子供は最初っから寄ってこないんだよ
[4711.012] れい_007: おそるべし関西帝国
[4711.783] ギアふっしー: 関西猛者
[4712.397] fatandsmile: パキ関西
[4714.015] bosssan3: おまえたち、まだそこ？
[4714.245] mimiprettybot: 世界は核(１億)の炎につつまれたー！！
[4714.921] huxobi: 勇者どぐーらはパチスロ中
[4722.395] のってる: えいたが知識なさすぎなだけな
[4724.078] kwskkwsk: 修羅の国関西
[4724.279] hikky722: 関西の強さは異常
[4724.600] MisaMisa_12: まだ君たちでは関西に来れない
[4726.874] (S)grove0301: どぐらは体験版でオフ対戦キモいてw派閥
[4729.430] porcupinepine: スタダ「うわGO1強い」 二時間後「うわGO1強い」 7年後「うわGO1強い」
[4729.436] やきそばぬ: ドラクエ１１かよ
[4731.578] comment3: 弾無敵あるとモダン相手に弾打てなくなっちゃう
[4732.902] ギアふっしー: ｗｗｗ
[4736.030] sweet_19: おもんなってｗｗｗｗ
[4737.884] shalltear_bloodsuck: luke looking like top tier day 1
[4739.923] gt_26_t: 小技仕込みの絵面が終わってるｗｗ
[4740.210] prosciu: wwwww
[4740.439] cocteauteins: スト66
[4740.679] ~MISSING_COMMENTER_INFO~: 強いな～ｗ
[4741.278] RKC48: ﾋﾟｯﾋﾟｯ
[4742.915] (S)brutal9998: どぐらは勇者感ないなあ
[4743.583] guscotu0: おれもそう思う、えいたさんパリィボタン押してないもんね
[4744.760] furu13: 小技仕込みは確かにね
[4745.900] ギアふっしー: 敗北宣言してんなぁ
[4747.678] sndkzfm1: えいた「このゲームおもんな！」
[4752.873] ぬーぼー2: カンパイ
[4753.625] bokaaan: 同じメガネでもこんな差があるのか
[4754.715] reallities: lol
[4760.066] (S)tetsuwoskt: スト66w
[4766.830] porcupinepine: シュートの恨みを岸田が晴らす形
[4776.519] shalltear_bloodsuck: is ken in this game? whjy they only playing 2 characters?
[4781.759] hikky722: 飛びは攻略
[4787.691] roa_silk: 体験版ですでに壊されるえいたさん
[4788.729] ksevenx: This is the demo with only luke and ryu
[4789.252] porcupinepine: 無敵のインパラーが通じない・・・
[4791.321] sinrin: only Luke and Ryu playable
[4798.219] (S)grove0301: やめろ！否定的な意見は業界的にｳﾝﾀﾗｶﾝﾀﾗ〜ってTwitterで流れるぞ！
[4807.370] mifune1046: みんなジャスト必殺技ほんとミスらないね
[4814.619] one596: GO1はどかせるのか、そしてえいたは今日椅子防衛する事があるのか
[4820.841] shalltear_bloodsuck: only 1 characters playable? im guessing the rest are going to be dlc. seems like a rip off
[4834.103] sinrin: @shalltear_bloodsuck the game isn't out...
[4835.837] (S)brutal9998: スタートダッシュで駄目ならどこで勝つんやえいた…
[4839.051] porcupinepine: わかる
[4839.902] くまたく: CAGにはまだふぇんりっちもいるし、SFLどうなっちまうんや
[4839.995] ギアふっしー: これえいたが勝ったらウメちゃん安い椅子？
[4842.502] (S)mobageiskusoge: @shalltear_bloodsuck the game is not out yet
[4843.733] shalltear_bloodsuck: oh ok didnt know that
[4844.609] ksevenx: guys don't bother, guy is trolling
[4849.269] StriderTempxa: bro lock in
[4856.924] (S)latenight000: スト5の最初の頃もめくりでずらいとか言われてたな
[4864.061] GelidiumJellyCat: umeSalute
[4875.415] porcupinepine: 勝てるかが問題じゃない、3-0を回避できるかが問題
[4886.836] (S)brutal9998: ふぇんりっちどんなプレイするかは見もの
[4899.189] (S)mobageiskusoge: @ksevenx nah, he might be just plain stupid. we can't judge
[4906.920] milanor03: 仕上がりやばww
[4907.417] hoemin247: うんま
[4908.324] fatandsmile: コンボうま
[4908.350] _ちとせ_: きわまってる
[4916.237] のってる: フェンリッチはジャスパ取りまくる方向に進化してるよ
[4936.707] sndkzfm1: SFLのCAGが楽しみやな〜
[4938.544] (S)daichan1200: さすがにスマブラ勢は体験版やり込まないか
[4942.326] shalltear_bloodsuck: guys no need to be rude. i only heard about sf6 from lil wayne
[4946.761] sinrin: JP players already looking scary monkaS
[4964.210] char1iebr0wn: スマブラ勢はデカい大会があったからね
[4976.188] nickouthereeee: @mobageiskusoge i got got toolast week i thought the game was out and i said some dumb shit then i realized the game wasn't out and had to close the stream and go to bed
[4976.495] japonism: えいたやれるんか？
[4987.950] jtopnbsd: ふぇん様仕上がりどうなん？
[4991.106] akindo08: サイヤ人襲来に待ち構えてる地球人みたいな構図だな
[4991.323] porcupinepine: 得意の人間モダンまで奪われた
[4991.528] (S)gazesd: おもんな！
[4991.944] sweet_19: 連呼ｗ
[4992.188] towai8: 体験版やり込むのは異常者だけだよ
[4997.149] guscotu0: 関西対戦みたいになってきたな
[5008.302] nickouthereeee: @shalltear_bloodsuck don't worry bro me too
[5013.791] (S)1108044k: 結局うろうろなん？
[5023.380] ギアふっしー: えいたの意地
[5025.032] moricocoa: うお3入れとる
[5028.921] akindo08: 端コンかっこいいな
[5031.932] fatandsmile: ｗ
[5032.105] ギアふっしー: ｗｗｗｗｗｗｗ
[5032.588] sweet_19: ｗｗｗｗｗｗｗ
[5032.843] akindo08: ｗ
[5032.907] char1iebr0wn: ｗｗｗｗｗｗ
[5032.908] sndkzfm1: すごい精度
[5033.594] rock69696969: w
[5034.275] (S)maya_g01: そろそろｗ
[5034.469] レム__: ｗｗｗ
[5034.597] roa_silk: 中段ｗ
[5036.210] sweet_19: 最後は中段！！
[5036.359] (S)mobageiskusoge: wwwww
[5036.606] (S)gazesd: たてなぁい！
[5036.907] hoemin247: wwww
[5037.033] garo735: ｗｗｗ
[5037.391] lostvayne91: optimal
[5041.281] だいこん_: ｗｗｗｗｗｗ
[5041.596] v_harumi_v: ｗｗｗ
[5043.357] sweet_19: 野田さんは立てないっていってそう
[5043.553] masabonchicken: ウメちゃん完璧
[5045.784] (S)fahmy0825: GO1 undefeated
[5046.843] v_harumi_v: センサー凄い
[5048.225] porcupinepine: 「あ、えいたそろそろ〇ぬな～」
[5050.017] berocyuu: 5-1 5-1
[5050.523] erisuk: 死神のウメ
[5053.194] (S)fahmy0825: Kiss GO1 in the head
[5053.306] towai8: 3-0回避
[5055.402] Sgt_Pincell: keomaLULKE
[5059.130] shalltear_bloodsuck: @shalltear_bloodsuck makes me feel better. thanks man
[5059.433] balthazar000: ５時までの命にしてやろう
[5059.702] 二コラ: LUL
[5060.722] (S)gyu_nyuu_pann: タイミングw
[5060.968] (S)kazukitaiga: 追いつけ追い越せ
[5063.548] mugi_yu: そろそろ
[5064.612] GelidiumJellyCat: umeNirami
[5067.115] TUBE_MAN: はい・・・
[5067.422] milanor03: はいww
[5068.396] tabibitox: はい
[5068.438] porcupinepine: ﾊｲ
[5068.534] char1iebr0wn: ・・・はい
[5070.670] RedsledgeBLU: allrightyKEKW
[5073.507] sndkzfm1: あ、はいw
[5081.619] ギアふっしー: Ｇｏ１この村成長させにきてくれてる？
[5088.410] (S)憂う者の弟子: やだなー
[5088.418] akindo08: 結婚式ｗ
[5088.786] ~MISSING_COMMENTER_INFO~: えいた「側」
[5088.816] moricocoa: 代表ウメハラ
[5089.946] balthazar000: えいた陣営
[5090.595] porcupinepine: 「えいた側」
[5091.362] だわさワサワサ: 側
[5092.786] foo_twitch: えいたJAPAN代表
[5092.979] rxz_2017: エイタ側
[5093.572] sndkzfm1: 結婚式の準備か
[5094.177] GelidiumJellyCat: えいた側
[5095.713] Sgt_Pincell: RyuChamp
[5099.708] tabibitox: 新郎やろｗ
[5099.909] (S)gyu_nyuu_pann: 結婚式
[5101.680] (S)あきル: えいた族ウメハラ
[5101.767] やあああ: ビデオレターになったんかｗ
[5102.855] komine58: 新郎だろｗ
[5103.176] bec118_japan: 新婦側で草
[5104.707] (S)daichan1200: 新郎ちゃうんやな
[5104.977] masabonchicken: 新郎側 新郎側
[5105.045] (S)meeememe: 新郎では
[5107.095] blackcoffee0821: ちゃんと言え
[5107.515] guscotu0: どういう体でって事か
[5109.285] (S)gyu_nyuu_pann: えいたがわw
[5110.579] Papapadad: 俺だよ？
[5111.166] komine58: 新婦じゃねーよｗ
[5113.983] (S)gazesd: 新婦側なんだな
[5114.132] ぬーぼー2: 聞く人を間違ってますｗ
[5114.782] roa_silk: えいた側って言い方ｗ
[5115.584] (S)light_hight: えいたチーム代表
[5116.221] sndkzfm1: 嫁と対決でもするんか？
[5116.739] _ぷっちょ_: 噛み合わずｗ
[5117.798] char1iebr0wn: どういち立ち位置で送ればええんやってことじゃない？
[5118.129] (S)kazukitaiga: 新婦なのにえいた側
[5118.910] 0314tite: 肩書が分からんってことね
[5119.599] edanuma: 新婦えいた
[5120.326] takahashiseigi: 「どぐらさんには一生勝てません」とGO1が分からされたってホント？
[5120.538] effector_shop: ナウマン側はいないの？
[5121.157] balthazar000: えいたと初会話した時の話するとか
[5125.710] ys120: えいたさんは新婦側ってわけ
[5127.477] hogehoge314159: 新夫（しんぷ）
[5127.719] (S)daichan1200: 新夫
[5130.766] ゴン攻め: えいた側 って言質を取りたいんやな
[5135.899] poposuke: えいた側代表ウメハラ様
[5152.265] ガチくんコス転売ヤー: えいたがなぜ無職なのか話そう
[5156.370] (S)mm2351: 練習環境良すぎる
[5159.645] prosciu: こわ
[5162.245] のってる: こっわ
[5163.579] tabibitox: ルークのほうが技揃ってるのよね
[5164.714] ギアふっしー: 関西のが進んでる
[5166.412] (S)fahmy0825: Ehhh, what GO1 said?
[5168.712] kanato_twitch: 突然リーサルがやってくる
[5172.015] (S)fahmy0825: Daigo seems surprised
[5179.075] (S)gftakataka: EXインパラーコンボつながるんだね
[5188.404] porcupinepine: 関東にはまだももちとかじゆがいるからな
[5189.945] towai8: ウメさんまた神父のコスプレしてくれ
[5204.971] peperon17: CAG普通に優勝候補だろうなSFL
[5211.547] _ちとせ_: リュウの中ｋパニッシュで中足つながるの強いっすね
[5213.128] japonism: タイミングめっちゃむずいけどなあインパラーからsa2
[5219.543] mugi_yu: SA3あるから安易に波動使えんのよね
[5219.898] (S)nihonsyu_: フェンもごーちゃんと同じくらいなん？
[5225.605] masabonchicken: つんだーーーー
[5226.511] tabibitox: ガードしたら詰みｗ
[5229.370] (S)latenight000: ウメさんの立ち中Kがうますぎ問題
[5229.472] lostvayne91: the daigo neutral
[5234.739] erisuk: あそこでパりーんはなんもできねぇｗ
[5234.750] ギアふっしー: ウメハラ継続でるか
[5235.670] fatandsmile: 再戦早いなあ
[5236.868] jony_avion: でもCAGにはもうどぐらいないんだよね
[5239.720] y0rmammu: damn why he have to dismantle him like that 
[5247.234] やきそばぬ: これBO3?
[5248.860] ppooppy: この高レベルな関西で不敗なのがどぐら
[5249.850] sndkzfm1: かずのこはモダンで練習するらしいが果たして
[5262.099] towai8: 不敗（勝ち逃げ）
[5264.261] tukumi07: BO3じゃない 3セットで負けてても終了
[5272.781] jony_avion: BCの見解としては「今モダン練習しないのは○○」だからな
[5280.489] porcupinepine: どぐらの実力はもう相当抜けてる
[5286.452] char1iebr0wn: タチカワの見解や！
[5286.742] ギアふっしー: モダン中足とかでないのなー
[5288.473] futoshi77: フェンは差し替えめっちゃ飛んでくるからあきらが攻撃すかると悶絶してた
[5297.509] (S)daichan1200: 大足差し返しうまい
[5310.004] peperon17: かずのこはモダンで強いほうが話題性もあるし配信者としては正解っしょ
[5313.080] jojojoy001: うめぇ
[5317.954] やきそばぬ: 最後までやるBO3か
[5319.235] ぬーぼー2: 要所のインパクトがうーまい
[5320.723] masabonchicken: どぐにゃんは初心者に教える機会がありそうだからモダン練習してた
[5321.941] porcupinepine: きっちり
[5323.741] jony_avion: ゴボ勢あまりにもコンボが上手い
[5325.157] mugi_yu: ウメちゃん今日はインパクト返し振るわんな
[5325.281] DandyCheeks: in the future people will see when a heavy is gonna burn you out and cancel into a special to chip out ftw. thats hype
[5329.687] jagajaga1943: コパンリーサル
[5330.790] bec118_japan: BO3じゃなくて3
[5335.983] bokaaan: ごういちつえええ
[5345.552] porcupinepine: かっこいい
[5348.028] (S)mojira_2222: 差し返しに意識割いてる分インパクトには反応しづらいんだろうね
[5349.829] heishosann: プロがモダン挑戦してくれるの助かるわ、調整の目安にもなるし
[5351.640] 記入漏れ: インパクト見てる余裕がないんだと思うよ
[5364.682] (S)gazesd: 10先見据えた戦いしてる
[5369.869] pengetop: 相手が強いと飛びが落とせないみたいなもんでしょ
[5370.156] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[5386.009] sndkzfm1: ハイタニかずのこ辺りはモダン需要に対応していくのか
[5388.651] fatandsmile: やっべ
[5389.871] jony_avion: しかしこの立ち中Ｋないのはモダンきついよな
[5394.308] hoemin247: いい試合
[5395.851] (S)fahmy0825: Damn
[5396.820] ymdmad: へっるw
[5400.668] mugi_yu: ここを制するヤバいね
[5402.737] (S)daichan1200: これはうまい
[5404.329] mukiryoku_mkr: やすｗｗｗ
[5406.758] sazanami00: ごめーん
[5407.162] char1iebr0wn: 激安の殿堂
[5409.068] ぬーぼー2: なるほどエンプティ込みで打ち切ったのか
[5409.800] porcupinepine: ウメ勝ち越し来るか？
[5411.828] booby_one: 優しい王
[5413.717] ppooppy: 驚きのやすさ
[5414.348] (S)憂う者の弟子: バファリンよりやさしい
[5415.283] masabonchicken: ウメちゃん！？
[5416.463] (S)asaka139: asaka9999 subscribed with Prime. They've subscribed for 4 months, currently on a 2 month streak! 
[5417.134] ギアふっしー: 椅子死守はどちら
[5419.897] japonism: ルークは立ち中pでやっていける
[5421.615] jony_avion: かずのこと言うよりは立川の意見としてモダン推しのようだ
[5427.701] あり0221: プロにとって丁度いいモダン調整は初心者帯には実質弱体化
[5430.821] porcupinepine: GO1を立たせるのは王
[5449.808] ShIMUka: 実際この間のBC配信での立川はいいモダンプレゼンしてた
[5453.123] ギアふっしー: えいたちょっと来るのはやかった
[5453.622] masabonchicken: ウメちゃんがんばえーーーーーーーーーーー
[5454.732] mukiryoku_mkr: そろそろ「うめちゃん俺くやしいよ...」コメントが出てくるはず！
[5455.446] siba510: 言うてまだ2キャラだし。製品版やDLCの中にはモダンの方が強いキャラもいるかもしれない
[5456.225] _ちとせ_: 実際モダンはやりこんだ結果どうなるか見たい
[5460.982] fatandsmile: うめえｗ
[5465.008] char1iebr0wn: ジョンナウタチあたりはモダン頑張ってるね
[5468.697] japonism: キャラ差あるなあw
[5476.847] roa_silk: 立川はモダン弱体化させるためにモダンやり込もうとしてるの草
[5487.635] towai8: 負ける方が最終的に強くなる
[5487.967] jony_avion: キャラ差？ふふっ”人差”
[5494.473] mugi_yu: ゲージ2本スカりは辛いな
[5497.232] donekofg: モダンでやるからプロモダンの人たくさんいると嬉しいわ
[5501.309] sazanami00: モダン豪鬼のワンボタン瞬獄に震えろ
[5510.395] ~MISSING_COMMENTER_INFO~: 投げキャラはモダン強そうだけどね
[5511.848] ぬーぼー2: ベガ立ちえいたもいます
[5518.232] ギアふっしー: リュウの波動がもっと早くなればなーー
[5519.671] (S)lilo7tc: lilo7tc subscribed with Prime. 
[5519.698] のってる: 実際ルークの方がキャラ強いSA3だけ見ても格差ある
[5519.802] char1iebr0wn: でるぅ
[5525.954] 平本: キャラ差か？キャラ差か？キャラ差か？
[5527.639] sndkzfm1: ウェイ
[5527.719] sweet_19: どーん！
[5530.228] いちたすいちわ: 今日からももちもモダン始動
[5533.110] みそボン: かっこいい
[5534.924] blackcoffee0821: バキーン
[5537.007] (S)edgawatinpo: もう政治がはじまってるのか
[5539.311] porcupinepine: ウメ、おかえり
[5542.621] takahashiseigi: ウメちゃん、SF力魅せつけてー
[5550.324] manamolike: モダンは瞬獄削除で
[5560.836] sweet_19: おおお
[5561.096] japonism: モダン強すぎだろ！！つってオフに行ってクラシックに五分るまでがパターン
[5563.669] sweet_19: そして打つ！
[5564.805] char1iebr0wn: ある！
[5567.481] ギアふっしー: 昇竜こするぅ
[5568.832] sweet_19: おおおおおお
[5569.610] roa_silk: 長い
[5569.792] (S)m1s4m0: まじか
[5569.929] sweet_19: すごい
[5570.370] char1iebr0wn: なっがｗｗｗ
[5570.472] (S)憂う者の弟子: がにさす！
[5570.820] fatandsmile: まじかああ
[5571.177] moricocoa: これ長いんよ
[5571.488] (S)gazesd: うおおおおお
[5571.705] garo735: めっちゃパなすｗ
[5572.824] (S)nhhhe: なっが
[5573.096] (S)P03Nekk0: PogChamp
[5575.590] erisuk: あんなのっそりしてるのにｗ
[5575.595] ぬーぼー2: とーどく
[5575.985] hoemin247: すげ
[5575.991] だわさワサワサ: 流石にぃ
[5576.950] sinrin: atpGasm
[5576.966] porcupinepine: えいたを10年使用
[5577.675] (S)nihonsyu_: へるｗ
[5577.908] masabonchicken: SA3ｻｲｯｷｮ
[5577.916] mukiryoku_mkr: 最強技すぎん？Ｗ
[5578.773] sndkzfm1: のそのそのそ
[5580.077] (S)fahmy0825: that super is too long man
[5581.343] (S)mm2351: マジ闘牛
[5581.543] ~MISSING_COMMENTER_INFO~: へっる
[5585.578] (S)m1s4m0: w
