[3.336] nito1116: radaoMoeru
[5396.321] (S)きのここ: あー
[5396.583] nobume0v0: wwwww
[5396.798] 愛の林檎: wwwwwwwwwwwwwwwww
[5396.892] しあーー: wwwwwwww
[5397.017] そふぃ3: wwwwwwwwwwwwwww
[5397.031] ayunosioyaki0223: あー
[5397.101] charlotte0ra: お
[5397.223] (S)96猫3: wwwwwwwwwwww
[5397.244] (S)あーしゃん: wwwwwww
[5397.476] (S)kuugay0905: wwwwwwwwwww
[5397.518] いのりさん: はっや
[5398.442] mochi_00v: wwwwwwwwwwwwwwwwww
[5398.499] うめた: あぶねー
[5398.584] hiraharuu: radaoKitya
[5399.081] (S)ウツル: ｗｗｗｗ
[5399.184] if0990: え
[5399.421] peace3511: www
[5399.511] hima_norita: おー
[5399.883] たいやっき: おー
[5399.888] sjindoa: あー
[5400.039] rei_0537: EAくんさぁ
[5400.119] (S)にわすずめ: さすがにwwwwwwww
[5400.150] sansyoku_dango: wwwww
[5400.296] かっぴーと: お
[5400.525] touhu2553: まーね
[5400.738] takoyaki0917: あ
[5400.748] otumaro: おー
[5401.061] まだら25: お
[5401.378] (S)96猫3: お
[5401.576] (S)あーしゃん: おー
[5401.819] 愛の林檎: はっや
[5401.917] (S)kamiyu0306: さすがにね
[5402.196] if0990: おおお
[5402.679] (S)きのここ: 流石にねwww
[5402.749] (S)96猫3: あー
[5402.905] なっち: さすがにw
[5402.941] myugi39: wwwwwwwwwwww
[5403.741] (S)ウツル: radaoFight
[5404.512] otumaro: したね
[5404.557] peace3511: さすがに
[5404.601] aina___10812: よかったーｗｗｗ
[5404.777] そふぃ3: まさかwwww
[5404.824] まだら25: www
[5405.310] ozokunchan: radaoKitya
[5405.336] ぶるすく: さすがにね
[5405.375] えりさ_: www
[5405.548] (S)にわすずめ: radaoKitya
[5405.611] yamaziso: あぶねー
[5407.978] (S)96猫3: さすがにね
[5408.294] touhu2553: 怖かった
[5408.309] つよいこ: セーーーフ
[5411.831] wakahr: ふう
[5412.285] (S)96猫3: radaoKitya
[5413.599] まだら25: 流石にかww
[5414.571] そふぃ3: ふぅ
[5415.573] Gomichandovuti: あっ(察し)
[5416.163] めるめ: 今第４収縮
[5419.356] まだら25: radaoKitya
[5420.136] (S)AoironoMalco: モチベが…
[5420.570] (S)kamiyu0306: やっぱりみんなスクリム見てるかぁ、、
[5421.320] かっぴーと: これでダメだったらEA君……
[5422.492] (S)mimipaadesu0428: radaoKitya
[5423.288] が_じゅ: みんなCRカップに夢中でゲームしてないよ
[5426.541] (S)壱代目: radaoKitya
[5431.447] (S)kamiyu0306: radaoKitya
[5433.293] (S)kamiyu0306: radaoFight
[5442.300] (S)makiunasan: radaoFight
[5445.326] otumaro: がんばれー
[5445.933] shame_daia0130: 戦績どんなすか
[5446.934] (S)なゆーた: radaoFight
[5448.395] ayunosioyaki0223: radaoFight
[5449.093] 愛の林檎: フィジカル強化大事
[5449.201] ha_1_: 自信もっていけえええ
[5450.170] (S)haruneo_s: radaoFight
[5451.365] ぱけ: 野良ボコして気分上げよう
[5453.275] saiki0528: ｱｼｭﾗｳｨﾝ
[5457.721] su1ryu30: がんばえー
[5457.959] saiki0528: 元気だして！
[5458.137] (S)kamiyu0306: ｱｼｭﾗｳｨﾝ
[5460.660] (S)t_k_n_m: radaoFight
[5460.672] (S)a_mondoKojio: radaoFight
[5463.477] robstar1008: 今日半角やね
[5463.482] 銀河ポテト: 勝つビジョンや
[5463.677] ayunosioyaki0223: www
[5464.309] hima_norita: radaoFight
[5464.375] 愛の林檎: がんばえ
[5466.043] myugi39: radaoFight
[5466.246] sjindoa: radaoFight
[5467.363] naetoru0901: ｱｼｭﾗｳｨﾝ
[5467.636] mochi_00v: radaoFight
[5468.817] chikumi_: ￼￼￼￼￼￼￼￼￼ 
[5469.081] (S)hito_ninn: ｱｼｭﾗｳｨﾝ‼︎‼︎
[5470.036] ぱゆゆ: ｱｼｭﾗｳｨﾝ
[5470.313] rioto___kun: ｱｼｭﾗｳｨﾝ
[5470.418] (S)kamiyu0306: radaoFight
[5470.557] (S)AoironoMalco: チーター臭くね
[5470.809] hiraharuu: ｱｼｭﾗｳｨﾝ!
[5471.853] ロロ郎: ｱｼｭﾗｳｨﾝ
[5472.285] ingenmamesan: ｱｼｭﾗｳｨﾝ
[5473.575] Hinori0228: radaoFight
[5474.795] にゅーん: ｱｼｭﾗｳｨﾝ!!!!
[5475.155] otumaro: がんばれぇー
[5476.640] kazenoko1012: もちべあげてこ。
[5476.749] (S)壱代目: radaoFight
[5476.841] (S)ウツル: ｱｼｭﾗｳｨﾝ
[5477.410] 愛の林檎: ヴォコヴォコにしてけ
[5477.438] たいやっき: 気持ちよくなろう
[5478.244] (S)矢知: ｱｼｭﾗｳｨﾝ
[5479.134] (S)koharapi: radaoFight
[5480.745] (S)ウツル: ｗｗｗｗｗ
[5481.763] aina___10812: ｗｗｗｗｗｗｗｗｗ
[5482.760] えりさ_: www
[5483.149] れもんちぃ0: wwwwwww
[5483.300] charlotte0ra: wwwwwwwww
[5483.727] 愛の林檎: wwwwwwwww
[5483.822] waterdragon131: ｗｗｗｗｗｗｗ
[5483.823] にゅーん: がんばえ〜！！
[5483.970] crowsuke96: ｗｗｗｗ
[5484.232] mochi_00v: wwwwwwwww
[5484.233] ayunosioyaki0223: wwwwwwwww
[5484.243] nakihai556: wwwwwwwww
[5484.571] sjindoa: wwwwwwwww
[5485.157] (S)a_mondoKojio: 一旦きもちくなるか
[5485.194] (S)kamiyu0306: wwwww
[5485.281] たいやっき: wwwwww
[5485.543] 神崎立夏: wwwwwwwww
[5485.765] ingenmamesan: wwwwww
[5485.767] (S)壱代目: www
[5486.013] (S)kuugay0905: wwwwwwwwww
[5487.140] omomo67: wwwww
[5487.781] rioto___kun: wwwww
[5488.008] panndaman1: wwwwwww
[5488.048] sennpuki222: 気分転換よ
[5488.089] めるめ: なわけ
[5488.508] 愛の林檎: 怖すぎ
[5488.576] (S)m_sakuta: 笑笑笑笑笑笑笑笑笑笑
[5488.723] kagura_kiba: wwwwww
[5488.925] otumaro: wwwwwww
[5489.017] (S)96猫3: wwwwwwwwwwwww
[5491.675] mizusakura0326: wwwwwwww
[5492.806] (S)わらびもち_11: wwwwww
[5494.721] (S)odenday_o_: ｱｼｭﾗｳｨﾝ🚽
[5496.068] (S)a_mondoKojio: wwwwwwwww
[5501.514] peace3511: いたらやばいw
[5505.028] まだら25: wwwww
[5511.011] hisakids: 今北
[5512.095] nobume0v0: うま
[5513.543] ayunosioyaki0223: ないすー
[5514.315] まだら25: うま
[5514.914] 愛の林檎: つんよ
[5516.088] nobume0v0: ないすぅ
[5517.077] sjindoa: ないすぅ
[5518.076] (S)96猫3: つえーな
[5518.087] (S)あーしゃん: うま
[5518.459] aina___10812: ないすー
[5518.501] peace3511: ないすぅ
[5518.821] rioto___kun: ないすー
[5520.562] ayunosioyaki0223: wwwwwwwww
[5520.838] (S)きのここ: wwww
[5521.203] mizusakura0326: ないすー
[5521.353] aina___10812: ｗｗｗｗｗｗｗｗ
[5521.663] くろざき: ないすー
[5521.791] otumaro: ないすぅ
[5522.155] たいやっき: んあいすー
[5522.256] 愛の林檎: wwwwwwwww
[5522.757] (S)わらびもち_11: ないす
[5523.226] オレオおおおおおお: wwwwwwwww
[5523.478] チャマチャマ: wwwww
[5523.785] (S)96猫3: wwwwwwwww
[5523.814] mochi_00v: wwwwwwwwwwwww
[5524.062] yona_0724: www
[5524.891] nobume0v0: www
[5525.857] oshousantotanbo: www
[5525.932] れもんちぃ0: wwwwww
[5526.107] (S)kuugay0905: wwwwwwwwww
[5526.115] たいやっき: wwwww
[5526.325] ingenmamesan: wwww
[5526.449] 愛の林檎: それはそう
[5526.991] omomo67: wwwwwww
[5527.631] 猫又01: さすがにwww
[5527.633] 肉汁うどん: w
[5527.954] くろざき: wwwww
[5528.272] (S)haruneo_s: wwwww
[5528.540] drem_chan: むりｗｗｗｗ
[5529.592] mirina017: www
[5530.123] (S)にわすずめ: さすがにCR
[5530.631] kanoaaa8: むりやろ
[5532.584] ayunosioyaki0223: 100無いんだよね
[5533.365] まだら25: wwww
[5534.524] Clrula: wwwwww
[5534.544] otumaro: それはむりら
[5534.754] 弥紅: いいね
[5536.880] (S)96猫3: さすがに
[5538.223] (S)a_mondoKojio: バケモンすぎるぞ
[5538.529] Ishio_62113125: 自信取り戻してこ
[5549.760] たいやっき: 逆にアンバランスで炎上しそう
[5549.975] peace3511: メンタルリフレッシュタイム
[5553.841] robstar1008: キルログの流れえぐっw
[5559.717] (S)dinosaursan: ランニング練習
[5559.922] ちゃちゃね: 減りはやはやw
[5561.812] sjindoa: おお
[5563.898] ayunosioyaki0223: radaoOctane
[5566.459] su1ryu30: 悪い流れをここで良くして
[5566.627] Ishio_62113125: トコトコやなw
[5567.673] よっしぃ37: ESHS
[5569.853] kosei000: なんで降りた？
[5570.107] otumaro: へっほ
[5571.515] (S)imnameak: お散歩
[5571.653] (S)m_sakuta: radaoOctane
[5577.424] toya_155: スクリム終わったんですか？
[5578.382] めるめ: 今最終ラウンド
[5585.866] 遅れます: この後休憩？
[5587.626] otumaro: うま
[5588.445] (S)ayanonn0708: うま
[5589.455] ayunosioyaki0223: ないすー
[5590.136] hima_norita: ないす
[5590.974] nobume0v0: ないすぅ
[5591.202] sjindoa: うま
[5591.266] (S)ayanonn0708: つんよ
[5591.497] (S)96猫3: うま
[5591.519] 愛の林檎: ないすぅ
[5592.048] (S)ｻｧｻ: うま
[5592.541] (S)にわすずめ: ないすー
[5593.544] aina___10812: なーいす
[5593.622] えりさ_: ないすー
[5593.747] mizusakura0326: うま
[5593.864] frogflingpstfst: ないすぅ
[5593.882] 愛の林檎: つんよ
[5593.903] (S)きのここ: ないす～
[5594.082] mochi_00v: ないすぅ
[5594.321] peace3511: つよ
[5594.525] まだら25: つっよ
[5594.793] (S)あーしゃん: うまーい
[5595.003] renren_0909: うま
[5595.049] (S)dinosaursan: ナイスー
[5595.337] (S)96猫3: ないすー
[5595.337] (S)ｻｧｻ: ないす
[5595.619] 肉汁うどん: つんよ
[5596.476] ayunosioyaki0223: 次次
[5596.487] charlotte0ra: おおー
[5596.754] (S)わらびもち_11: ないす
[5596.913] otumaro: ないすー
[5598.299] (S)なんでもいい: ないすー
[5598.316] (S)pocobokei: ないすー
[5598.351] (S)モルガン: モルガン subscribed at Tier 1. They've subscribed for 11 months, currently on a 1 month streak! 
[5600.391] ingenmamesan: つっよ
[5601.059] なるか3: ないす
[5601.706] つよいこ: つんよ
[5602.169] スミネコ: ないすー
[5602.867] mirina017: ないす
[5604.634] くろざき: ないす
[5605.270] renren_0909: ないす
[5605.472] (S)れたす0055: radaoOtaku
[5606.392] robstar1008: 作業ゲーやね
[5607.807] 弥紅: ないすー
[5608.008] 遅れます: ないす
[5610.245] 愛の林檎: チームワーク取っちゃえ
[5610.477] yuzkm: わこらだ
[5613.504] happa_yuki: お散歩気分や
[5619.116] つよいこ: 次次ー
[5619.631] (S)odenday_o_: チームワーク高めてけぇ〜
[5620.774] ayunosioyaki0223: 次次次次次次
[5621.011] Ishio_62113125: 次ィ！！
[5621.745] (S)ウツル: 研ぎ澄まされてんねぇ
[5624.394] (S)筋肉痛の岡田: わこらだー
[5625.369] toubun__: ファイト強いねー
[5632.737] peace3511: あっためてけ〜
[5635.732] otumaro: つよーい
[5636.554] ayunosioyaki0223: wwwwww
[5639.774] 愛の林檎: wwwwwwwww
[5641.279] charlotte0ra: wwwwww
[5643.254] otumaro: wwwwwww
[5644.406] nobume0v0: wwwww
[5645.339] (S)96猫3: wwwwwwww
[5650.866] (S)にわすずめ: あったかwwwwww
[5656.284] ingenmamesan: あるんかいw
[5656.700] まだら25: wwww
[5661.310] 愛の林檎: GOGOGO
[5663.084] すずやんさん: ｗｗｗｗｗ
[5663.141] aina___10812: ｗｗｗｗｗｗｗ
[5663.328] (S)green_tea_1209: 低いし遅いなぁ
[5664.102] frogflingpstfst: えｗ
[5664.108] ayunosioyaki0223: www
[5664.785] otumaro: あったんかいwwwwwww
[5664.859] crowsuke96: ｗｗｗｗｗｗｗｗ
[5665.752] きょぴ: ｗｗｗｗｗｗｗｗｗｗ
[5666.754] ichinomyo_taro: 置いてったwwww
[5666.783] チャマチャマ: wwwwwwww
[5666.838] hima_norita: wwww
[5667.615] aonosuke89: ｗｗｗｗ
[5667.689] 愛の林檎: えwwwwwwwww
[5667.867] nobume0v0: www
[5667.932] peace3511: www
[5668.482] (S)あーしゃん: wwwwwww
[5668.574] miyamiya138: wwww
[5668.845] (S)矢知: wwwwww
[5669.276] mizusakura0326: wwwwwwww
[5669.511] ingenmamesan: wwwwww
[5669.699] kanoaaa8: wwwwwww
[5669.921] haru_anura: wwwwww
[5669.961] (S)ウツル: u
[5670.259] (S)96猫3: wwwwwwwwwwwwwww
[5671.373] おれおお食べ: wwwww
[5671.476] 遅れます: ｗｗｗｗｗ
[5672.954] (S)にわすずめ: くっるし
[5673.114] (S)ウツル: ｗｗｗｗｗ
[5673.127] ayunosioyaki0223: ギリギリまじか
[5673.134] 3153108: わこらだ
[5673.170] (S)わらびもち_11: wwwwww
[5673.184] くろざき: wwwwwwww
[5674.357] charlotte0ra: あっぶ
[5676.093] nobume0v0: ギリギリw
[5676.631] mochi_00v: セーフ
[5677.045] otumaro: おーw
[5677.618] Ichigo_Strawberry15: wwwwwwwww
[5678.837] (S)96猫3: ギリッギリ
[5679.039] 愛の林檎: ギリギリすぎるな
[5680.510] aina___10812: めっちゃギリｗｗｗｗ
[5681.032] peace3511: ひっく
[5681.696] めるめ: もうすぐ終わるよ～
[5683.814] otumaro: ギリやん
[5687.419] (S)にわすずめ: 遅い遅いwwwww
[5687.777] nakihai556: wwwwwwwww
[5689.043] ichinomyo_taro: 遅い遅い遅い
[5689.121] charlotte0ra: wwwwwwwww
[5689.163] ayunosioyaki0223: www
[5690.146] kagura_kiba: wwwwww
[5691.287] (S)96猫3: wwwwwwww
[5691.358] 愛の林檎: れいーど置いてかれてるwwwwwwwww
[5691.686] mochi_00v: 遅い遅い遅いwww
[5692.653] himikokichi_06: うるーか！？
[5693.088] aina___10812: 遅い遅いｗｗｗ
[5693.770] タクトン: wwwww
[5695.525] (S)にわすずめ: 直通だろ
[5695.977] oli_liriri: うるかさん大量発生
[5696.929] ayunosioyaki0223: え
[5696.949] ye1118: わこらだー
[5697.393] crowsuke96: え
[5697.447] (S)ayanonn0708: え
[5697.650] (S)あまりものの: www
[5697.944] hima_norita: え
[5698.021] fh0522: 遅いおそいおそい
[5698.510] aina___10812: え？ｗｗｗ
[5698.550] 弥紅: れいーどwwww
[5699.063] れもんちぃ0: wwwwwww
[5699.080] (S)にわすずめ: つっよ
[5699.582] まだら25: え
[5699.874] ぱけ: 強すぎw
[5699.940] 愛の林檎: wwwwwwwwwwwwwwwwwwwwwwwwww
[5700.103] Ishio_62113125: つっよww
[5700.334] すずやんさん: マジかｗｗ
[5700.639] (S)96猫3: え
[5700.927] charlotte0ra: え
[5701.134] (S)kuugay0905: え
[5701.512] オレオおおおおおお: かっこよ
[5701.595] (S)imnameak: www
[5701.925] えりさ_: つよwww
[5701.948] mochi_00v: かっけぇwww
[5702.313] ingenmamesan: wwwww
[5702.327] sasami_1018: あと３
[5702.914] わらび粉: 置いてかれてるｗｗ
[5702.962] smile_826: え
[5703.116] otumaro: つよ
[5703.559] yona_0724: えwwww
[5704.053] omomo67: wwwww
[5704.598] まだら25: つよwwww
[5705.827] kanoaaa8: かっけ
[5706.096] (S)わらびもち_11: え
[5706.155] mizusakura0326: つっよ
[5706.190] robstar1008: 後3部隊ではあるw
[5706.365] otumaro: かっこよ
[5706.367] つよいこ: かっけえええ
[5707.112] (S)ｻｧｻ: え？？
[5707.126] なっち: かっこよすぎんかww
[5708.215] (S)imnameak: つよつよ？
[5708.287] (S)haruneo_s: かっこよ
[5708.378] たいやっき: かっけえ
[5712.117] まだら25: かっけぇぇww
[5712.670] iriss3535: かっこよ
[5713.895] (S)ｻｧｻ: まじか
[5726.603] aina___10812: うんｗｗ
[5727.627] めるめ: もう終わるよ～
[5727.631] jgpmwp: もう終わるから行こう
[5730.374] 愛の林檎: がちなんだ
[5730.627] (S)haruneo_s: うんww
[5731.188] ponhiro1206: ｳﾝ...
[5732.257] kanoaaa8: うん！？
[5750.284] かいかいじゅ: 休憩あるんやない？
[5752.000] im_a_kutri: 10分休憩ある
[5756.728] ha_1_: 10分休憩じゃない?
[5762.994] robstar1008: 休憩あるのか、あざす
[5766.788] (S)きのここ: ないす
[5768.537] 愛の林檎: ないす
[5768.573] ayunosioyaki0223: ないすー
[5768.612] オレオおおおおおお: ないす
[5769.253] (S)リムヲ: 頑張れ 
[5770.471] sjindoa: wwww
[5771.383] nobume0v0: ないす
[5772.262] charlotte0ra: ないす
[5772.537] (S)96猫3: wwwwww
[5773.135] (S)yu_hi3: ないす
[5773.775] (S)ｻｧｻ: ないす
[5773.922] mizusakura0326: ないす
[5774.834] 愛の林檎: うま
[5774.968] (S)きのここ: wwww
[5775.051] (S)にわすずめ: ないす
[5775.231] もずく_37: ないす！
[5775.736] yuzkm: なあす
[5775.854] (S)わらびもち_11: ないす
[5776.615] (S)96猫3: ないす
[5777.297] (S)あーしゃん: ないすー
[5777.559] (S)pocobokei: ないす
[5777.805] renren_0909: ないす
[5779.864] (S)ayanonn0708: ないすー
[5780.068] (S)koharapi: ないす
[5780.270] mochi_00v: ないす
[5780.545] peace3511: ないす
[5780.831] おじょーー: ないす
[5781.008] otumaro: うま
[5781.056] aina___10812: ないすー
[5781.926] もずく_37: ないすー！
[5781.937] (S)きのここ: いいね～
[5782.535] まだら25: ないす
[5782.887] ruu_ha: ないすぅ
[5783.123] 柗原: radaoOtaku
[5783.461] yuzkm: うまい
[5783.502] 愛の林檎: いいね
[5783.543] (S)ｻｧｻ: おおお
[5783.717] Ishio_62113125: パンチ！！
[5784.888] nobume0v0: ないすぅ〜
[5784.992] つよいこ: ナイス〜
[5785.089] natune_0: うまくねw
[5785.668] crowsuke96: あ
[5785.749] pawameru: ないす
[5786.014] あっすー_: ないす〜
[5786.114] (S)koharapi: おおお
[5786.249] sjindoa: ないすぅ
[5786.305] (S)dinosaursan: パーンチ
[5786.453] 愛の林檎: え
[5786.906] オレオおおおおおお: え
[5786.919] kakyouin0726: ないすー
[5787.514] たいやっき: あ
[5788.259] (S)96猫3: あ
[5788.294] otumaro: パンチ！
[5788.503] タクトン: w
[5788.607] sjindoa: え
[5788.764] えりさ_: え
[5788.772] oshousantotanbo: つよw
[5788.807] charlotte0ra: え
[5788.845] root_1123: 終わったよー
[5789.195] ingenmamesan: パンチ、
[5789.323] (S)きのここ: え
[5789.541] (S)にょまれ: 強いねぇー
[5789.573] haru_anura: あ
[5789.869] ayunosioyaki0223: え
[5790.323] (S)リムヲ: え
[5790.553] otumaro: あ
[5790.586] (S)もあり: radaoMakasero
[5790.600] kanoaaa8: パンチ！？
[5790.652] おれおお食べ: あ
[5790.881] (S)あーしゃん: あ
[5791.126] mizusakura0326: え
[5791.143] くろざき: あ
[5791.563] めるめ: とりま終わったよ～
[5792.624] (S)koharapi: あ
[5792.645] なるか3: ないす！
[5792.863] 弥紅: つんよ
[5792.913] yuzkm: あ
[5793.042] (S)imnameak: 試合おわった
[5794.071] 神崎立夏: あ
[5794.420] なるか3: あ
[5794.585] まだら25: あ
[5794.806] れもんちぃ0: マナー…
[5797.157] (S)きのここ: ショガンボだろ
[5798.071] ルロア: スクリム試合うるかチームチャンピオンで終わりました！
[5799.932] koyaren: なにそれ
[5800.777] ゴミ以下でごめん: ショガンボな
[5801.327] Ishio_62113125: マッチ荒らしwww
[5801.512] kai_4869: ショガンボだろ
[5801.722] (S)upa_930: 試合終わったよ
[5802.262] (S)にょまれ: ショガンボって言え！！！
[5804.058] (S)96猫3: ｼｮｶﾞﾝﾎﾞｼｮｶﾞﾝﾎﾞ
[5804.145] ayunosioyaki0223: タマ
[5805.653] frogflingpstfst: 急ぎでいこうｗ
[5805.899] if0990: ショガンボだろ
[5808.159] (S)ごきげんよう: ショガンボって言え
[5809.150] bunchaan: 【悲報】有名ストリーマーさん
[5809.834] otumaro: 誰それ？
[5810.795] ingenmamesan: ショガンボだろ？
[5811.118] (S)96猫3: にゃあ
[5811.481] oyasai_rc: ショガンボって言えよ！！！
[5811.789] (S)まいなこ: ショガンボって言え
[5812.165] (S)おるがのる: ショガンボって言おうよｗ
[5812.450] つよいこ: にゃーん
[5813.393] はちみつトマト: それ猫
[5813.526] ni4_maru: にゃーん
[5814.654] なぷスタ: にゃーん
[5814.887] oshousantotanbo: うるかチームチャンピオンか！
[5816.751] crowsuke96: おー
[5817.317] (S)にわすずめ: えーい
[5818.264] mizuno0624: え、ショットガンボルト？
[5818.585] otumaro: にゃーん
[5818.926] ayunosioyaki0223: うぇいー
[5819.341] aina___10812: えいー
[5819.671] rei_0537: 終わったよ
[5819.826] sjindoa: つっよ
[5820.249] たいやっき: つっよ
[5820.301] myugi39: 終わったよ！！！
[5820.520] おれおお食べ: つよー
[5820.853] 愛の林檎: つよ
[5821.281] oli_liriri: TOI
[5821.312] ichinomyo_taro: wwww
[5823.234] もずく_37: うえーい
[5823.351] (S)わらびもち_11: つっよ
[5823.410] ぱけ: トイレにするな
[5824.239] (S)きのここ: つよいね
[5825.159] hoshi_54: らっだぁがショガンボ捨てたらおわりよ
[5826.366] waterdragon131: トイレ？
[5827.301] (S)kumity910: ロビー集ってるぞｗ
[5827.433] robstar1008: チャンネル名ショガンボにするぞ
[5828.743] (S)m_sakuta: おわったよ
[5828.889] (S)あーしゃん: うぇい
[5830.046] Ishio_62113125: ショガンボな？
[5830.130] しゃあろっく: 10休憩あるって話聞いてなかったんか？
[5830.718] 遅れます: つっよｗｗ
[5832.043] (S)yunoooa: 休憩ちゃうの
[5832.256] yunchi_5648: 終わっても休憩あるかもだからやってるんじゃなかった？
[5832.777] haru_anura: 休憩あるってよ
[5835.894] takekou0728: え？
[5835.903] 銀河ポテト: 敵を倒す作業みたいやな
[5836.119] なっち: そろそろ手あったまってきたかな？
[5837.384] otumaro: ショットガンボルト？誰それ？
[5838.402] narurari: 休憩入るよ
[5838.842] (S)きのここ: wwwwwwwww
[5839.783] (S)にわすずめ: wwwwwwwwwwww
[5840.038] おれおお食べ: ショガンボだろ？
[5840.785] sunomono8: wwwwwwwww
[5840.881] すずやんさん: ｗｗｗｗｗ
[5840.978] ayunosioyaki0223: wwwwwwwww
[5840.991] れもんちぃ0: wwwwwwww
[5841.119] crowsuke96: ｗｗｗｗｗ
[5841.201] 弥紅: ショガンボって言え
[5841.249] frogflingpstfst: ｗｗｗｗｗｗ
[5841.736] aina___10812: ｗｗｗｗｗｗｗ
[5841.866] nashu_noike: wwww
[5841.944] 愛の林檎: wwwwwwwwwwwwwwwww
[5842.133] nakihai556: wwwwwwwwwwwww
[5842.146] charlotte0ra: wwwwwwwwwwww
[5842.443] nobume0v0: wwwww
[5842.458] (S)いちうら: ｗｗｗｗｗｗｗｗ
[5842.957] sjindoa: wwwwwwwww
[5843.130] yona_0724: wwwwwwww
[5843.183] Ichigo_Strawberry15: wwwwwwwww
[5843.184] うめた: 発作？w
[5843.194] Ishio_62113125: wwwww
[5843.486] まだら25: wwwww
[5843.693] honehone_2: wwwwww
[5843.924] くろざき: wwwwwww
[5844.214] えりさ_: wwwwwwwww
[5844.303] mochi_00v: wwwwwwwwwwwww
[5844.305] hima_norita: wwwwwwww
[5844.456] タクトン: radaoW
[5844.571] (S)ﾀﾂｷ: wwwwwwwww
[5844.680] waterdragon131: ｗｗｗｗｗｗｗｗｗ
[5844.805] peace3511: wwww
[5844.908] (S)jun08081031: wwwwww
[5845.018] (S)壱代目: www
[5845.158] kagura_kiba: wwwwwwwww
[5845.418] ギンナン: ww
[5845.789] おれおお食べ: wwwwwwww
[5845.872] ingenmamesan: wwwwwww
[5845.882] (S)あーしゃん: wwwwwww
[5845.952] かっぴーと: wwwwww
[5846.068] しゃあろっく: ロビーは建て直すぞ
[5846.201] (S)96猫3: wwwwwwwwwwww
[5846.406] otumaro: wwwwwww
[5846.479] (S)mrgrtpsr: wwwwwwwwwwwwwww
[5846.672] もずく_37: wwwwwwwww
[5846.704] haru_anura: wwwwwwwww
[5846.796] ta_tago: wwwwwwww
[5847.915] oshousantotanbo: wwww
[5847.986] (S)わらびもち_11: wwwwww
[5848.249] miamio121: wwwwww
[5848.293] stostos: 弾はいいんか？
[5848.567] つよいこ: wwwwww
[5849.174] (S)haruneo_s: wwwww
[5849.470] (S)Fukenn59: ガチ絶叫ｗｗｗ
[5850.944] わらび粉: ｗｗｗｗ
[5850.979] (S)けとせとら: ワーーーーーーー
[5852.054] kanoaaa8: wwwwwww
[5859.413] つよいこ: まじで蹂躙してんじゃんw
[5862.492] (S)きのここ: wwwwww
[5863.034] ayunosioyaki0223: www
[5863.435] (S)にわすずめ: 無理やろ
[5865.432] あっすー_: wwww
[5866.108] Ishio_62113125: www
[5866.110] たいやっき: wwwwww
[5868.805] つよいこ: wwwww
[5868.966] (S)kamiyu0306: wwwwwwwwww
[5869.089] 愛の林檎: なかなかない
[5869.945] (S)96猫3: 無理やろwww
[5870.294] fh0522: むしろある
[5870.568] まだら25: wwwwww
[5870.800] oshousantotanbo: 無理やろww
[5871.560] peace3511: 無理やw
[5871.691] sjindoa: wwwwwwww
[5872.265] mizusakura0326: wwwwww
[5872.482] mochi_00v: さすがにサクサクすぎるwww
[5873.084] ingenmamesan: m無理やね
[5873.233] waterdragon131: クッソ余裕やん
[5876.203] robstar1008: CRカップ野良
[5876.340] (S)96猫3: wwwwwwww
[5876.371] ぱけ: バランスいかれてる
[5877.503] (S)kamiyu0306: 誰が見るw
[5878.207] otumaro: 無理www
[5880.556] Ishio_62113125: レベチか……
[5880.629] stostos: ただ気持ちいいだけw
[5880.701] (S)yunoooa: 盛り上がりに欠ける
[5882.305] 愛の林檎: 今の飛んでる間にやられてそう
[5884.321] すずやんさん: ばらばらに行動してたしなｗ
[5891.184] つよいこ: 飛ぶ前にありぴ落とされてるよww
[5893.408] (S)きのここ: wwwwwww
[5895.518] れもんちぃ0: wwwwwww
[5896.419] nakihai556: wwwwwwww
[5896.991] 愛の林檎: それはほんとにそう
[5898.191] (S)にわすずめ: それはそう
[5898.595] ayunosioyaki0223: それはそうなのよ
[5899.132] oshousantotanbo: CRカップレベル高すぎるね〜
[5899.353] (S)ｻｧｻ: たしかにwwwww
[5899.591] (S)kamiyu0306: wwwww
[5900.865] オレオおおおおおお: たしかにwwwwww
[5901.085] peace3511: www
[5901.176] (S)96猫3: それなww
[5901.525] otumaro: www
[5904.856] mizusakura0326: たしかにwww
[5905.232] りょう_0224: wwwwwww
[5905.799] (S)にわすずめ: 誰やねんwwwwwwww
[5905.981] まだら25: wwww
[5906.030] (S)なんでもいい: www
[5906.034] 年中頭痛: 世界大会の人たちとことこ歩いとる
[5906.184] (M)Nightbot: YouTubeにクリップ集を投稿していきたいので、面白かったシーンなどを>>"タイトル"<<をつけてクリップ作成お願いします。画面の右下にクリップ作成ボタンがあります。>>"タイトル"<<を付けて作成してもらえると後でクリップを選出しやすくなります。よろしくね
[5906.294] ye1118: wwww
[5906.420] 猫又01: それはそう
[5906.738] ichinomyo_taro: wwww
[5906.971] shuuuuuntaka_escape: wwww
[5907.230] 愛の林檎: 一般ストリーマーぞ？
[5907.248] えりさ_: wwwwww
[5907.477] mochi_00v: wwwwwwwwwwww
[5907.898] (S)きのここ: 誰やねんw
[5907.988] (S)haruneo_s: 強いよね
[5908.139] (S)kamiyu0306: wwwwww
[5908.433] つよいこ: wwwww
[5908.584] miyamiya138: wwww
[5908.661] (S)kuugay0905: wwwwwwwwww
