[7.348] (S)さいこりてぃ: こん塩～
[2762.776] hidegaruru1019: けっつんは...
[2763.129] yukito127: ｗｗｗｗｗｗｗｗ
[2763.258] (S)alohapon: ｗｗｗｗｗ
[2763.389] taku611111: ｗｗｗ
[2763.924] テミト: さみしいかよ
[2765.076] (S)rick12237: 足りんとちゃいますの？
[2765.955] ugg_1113: ばかにしてんだろこれｗｗｗ
[2768.220] boxvt: 何この額wwwwww
[2768.413] wozuxi: BloodTrail
[2768.639] (S)インスタントきなこ: BibleThump
[2769.594] (S)アジ7864: wwwwww
[2770.534] みんみん458: 3人だから3000万
[2771.333] (S)かぐらんチャン: wwwwww
[2771.555] rinori_ddd: ww
[2772.146] 10花: ｗｗｗｗｗ
[2772.275] (S)bonehead51: wwwwwwww
[2772.803] chinpanmansan: うーん
[2773.250] (S)uwantea: LionOfYara
[2774.639] (S)ハイホーハイホー: 歌えってこと？ｗ
[2775.369] (S)たたた25: jaiker3Yametene
[2776.231] (S)kenny5823: あっちが値段を決めるのか…
[2776.295] (S)ペプマシン: バカにしてるなｗｗ
[2776.581] zannennako: FutureMan
[2778.371] (S)ayulri: やすww
[2779.536] (S)motipuni00: やす
[2780.243] ぎたお: まぁまぁ
[2780.829] (S)cocochu_u: やっすいw
[2781.041] ムラサキクラゲ: いねぬこオモロ
[2782.158] テミト: 小銭
[2782.801] yunionss: 抗争ですか
[2782.865] (S)かぐらんチャン: めちゃくちゃいいじゃんヌコw
[2783.034] tatisjrfan23: やっす
[2785.565] (S)S4ntaMar1a: やっす
[2786.606] kukurun08: お
[2787.413] (S)さんこん: なつめに全財産とられてたからな～
[2787.808] 鯖缶だよ: えぇ
[2788.875] masamune0317: @ハイホーハイホー 草
[2789.082] (S)banana_1184: まあ もらえないよりまし・・・なのか？
[2789.965] (S)ccc020202: ｗｗｗｗｗ
[2789.985] nimnim2525: おちんついて
[2790.230] youshockburi: 笑い方ナツメに似てね？？
[2790.362] (S)ペプマシン: お
[2790.796] ごーやちゃんぽ: お
[2790.952] ぎたお: おちんついて
[2791.044] suya0785: 気持ちや
[2791.802] (S)www7mitty: ヘラシギヘラっちゃうよ
[2794.631] (S)足跡ピーヤン: コメ社長やめてね
[2795.697] NOINNOIN: 白市民なんでね
[2796.050] shion0000000: あの日以来の王の圧が見れるか？
[2797.028] derumaso: シギにぃ金ないもんしゃあなし
[2797.593] (S)kiyoshi_1110: おちんついて
[2797.996] tesofo: 出演許可
[2798.193] けむくじゃら男: 白市民なんだからしゃーないやろ
[2799.052] (S)24fuku: おちんついて
[2799.990] chinpanmansan: おちんつこ
[2801.245] yukito127: おおお
[2801.730] sankakubuchishinjukyo: イネヌコさん落ち着いてるなあ
[2802.529] (S)fastman1230: お
[2802.715] gyaoss: 投げ銭あるから…
[2802.903] (S)八咫烏: ネロカスいいねぇ～
[2804.012] ムラサキクラゲ: おちんつだよ〜
[2804.088] (S)きゅむぉ: おおー
[2804.204] (S)おかしなおおかみ: お
[2804.404] (S)yoshimabo5: コメ欄が怒らんといてや
[2804.623] (S)bakubaku52: おー
[2804.932] rinori_ddd: おー
[2805.115] (S)h1rosh1_grn: いねぬこ🤍
[2805.504] (S)bonehead51: おおお！！
[2806.576] rocomoco18: おー
[2806.589] (S)lulufette: いいねー！
[2807.173] (S)市ノ宮権之助: うちに来ないか？ｗｗ
[2807.506] (S)munakata_sasaya: お
[2807.583] (S)鈍足89: 王
[2807.597] iuiuiuiuiiuu: おおお
[2807.950] (S)fastman1230: お目が高いですねぇ
[2808.092] ごーやちゃんぽ: 高い
[2808.175] (S)tenmankougi: おちんついてね
[2808.532] (S)~MISSING_COMMENTER_INFO~: おー
[2808.724] (S)reki_desu: いいねぇ
[2809.294] (S)でじたま: お、王～
[2809.839] kamase1nu422: BloodTrail
[2810.597] taku611111: いいねえ
[2810.656] (S)ayulri: たか
[2810.742] fu_fighters: まちょカーね
[2811.179] (S)fastman1230: 王
[2811.461] (S)アジ7864: おー
[2812.456] (S)ぱと_ぱと: ネロカスー
[2813.033] (S)PINODAY0: たっか
[2814.734] (S)八咫烏: たっか
[2814.821] (S)~MISSING_COMMENTER_INFO~: ほーう
[2814.823] noakk2: 王カスタム
[2815.914] (S)インスタントきなこ: まちょありがとう
[2816.168] (S)_ゆきの_: 8！？
[2816.473] ももけろ: まちょ♥️
[2816.675] (S)takeninth: たっか
[2816.713] (S)ryoji_0422: fantas22Okimochi
[2817.458] (S)ituki13_12: たっか
[2818.344] Ghv3GjB3: えんぐい
[2818.446] (S)bonehead51: ！？
[2819.007] (S)alohapon: たっか
[2819.316] (S)~MISSING_COMMENTER_INFO~: おー
[2819.328] ocha311: まちょめっちゃ高いのくれたのか
[2819.510] mizuki1218: たかいw
[2819.560] yamashu0303: たっか
[2819.804] (S)ayukatono: まちょまじかよ
[2820.453] shokkorihan: え
[2820.778] (S)munakata_sasaya: はち！？
[2820.932] (S)さいとうネコ: まちょ
[2821.726] yukito127: まちょ 
[2821.792] (S)tackey8120: 王カー
[2822.427] (S)rebecca_76star: イヌネコさん落ち着いてていいな
[2822.551] ムラサキクラゲ: え？
[2822.627] royroy_2525: たか
[2822.808] momoyagi0: えっぐ
[2822.879] 鯖缶だよ: たっかぁ！
[2823.068] (S)yuuuuu066: 購入者すげぇ
[2823.090] (S)つちのこ83: たっか
[2823.524] (S)ネオノアン: まじかよ
[2824.020] (S)じゃがいも揚げ犬: まちょ♡
[2824.021] (S)kyo_fny: まちょ
[2824.024] tententen333: まちょありがとう
[2824.192] (S)しろうと: まちょ…
[2824.237] (S)yahoo1192: まちょ主張してくるw
[2824.790] (S)~MISSING_COMMENTER_INFO~: たっか
[2825.015] (S)たたた25: まちょ、、、
[2825.288] (S)www7mitty: まちょ⋆⸜🧡⸝⋆
[2825.291] (S)kenny5823: ８！？
[2825.362] (S)patrick1000koo: えっぐ
[2825.956] nana43: まちょが金欠になった理由よ
[2826.573] (S)かぐらんチャン: まちょきまずw
[2827.124] (S)ituki13_12: まちょまじかよ
[2827.570] (S)_なこ_: まちょー
[2827.790] (S)aichikenmeen: まちょ 
[2827.931] (S)kamakuradaibakuhu: まちょ 
[2828.714] オオゼキ: まちょありがとねぇ
[2828.922] tocca00: まちょチャン
[2829.182] tkshan: だからまちょお金ないのか。
[2829.311] (S)PINODAY0: まちょちゃん
[2829.347] (S)rich3352: ﾏﾁｮﾁｬﾝ♡
[2829.477] yukito127: ｗｗｗｗｗｗｗｗｗｗ
[2830.251] (S)NAMAPASUTA_BABY: まちょぺでぃあ
[2830.262] (S)ayulri: みんや金持ち
[2830.483] わにぱに: まちおマジかよ
[2830.962] (S)uwantea: ８億のまちょ
[2831.319] ocha311: まちょ…
[2831.390] wozuxi: まちょ
[2831.671] (S)kohaku0782: LUL
[2831.687] takumakun5555: まちょ優しすぎる
[2831.921] (S)uzend: まちょｗｗｗｗ
[2832.860] (S)bakubaku52: 最高やね
[2833.099] (S)sayusayusay: 全財産失った白市民は金ないんやろ
[2833.566] (S)cocochu_u: まちょマジか
[2834.542] (S)www7mitty: まちょちゃん
[2834.795] テミト: たしかにー
[2834.920] (S)きゅむぉ: いるんですねえ
[2835.148] けむくじゃら男: まちょありがと
[2835.312] nana43: ｗｗｗ
[2835.370] (S)suzu25012: まちょ❤️
[2835.383] (S)かぐらんチャン: wwwwwwwww
[2835.573] (S)_ゆきの_: いい人なのかなあ〜？
[2835.595] yukitwitch14: wwwww
[2835.679] rt340: まちょの忠誠心の高さよ
[2835.751] (S)エンペリ: ｗｗｗｗ
[2836.564] leeresky: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[2836.574] rinori_ddd: 誰だっけ
[2837.071] のあゆずりは: まちょｗｗｗ
[2837.385] (S)輪入道: まちょお 
[2837.794] (S)tackey8120: まちょの忠誠心 
[2837.905] nukopam: 名前は出しません
[2838.001] (S)gi1g4mesh4u0: 金ないまちょ
[2838.031] (S)けむころね: まちょかわいい
[2839.082] (S)インスタントきなこ: まちょ…
[2839.248] (S)ayukatono: まちょちゃんありがとね♡
[2839.350] (S)ninnjinnbee: 優しすぎるなまじか
[2839.461] (S)reki_desu: ﾏﾁｮﾁｬﾝ
[2839.647] (S)セバス_: まちょw
[2839.882] (S)ゆうたくん: wwwww
[2840.283] rocomoco18: 誰だ
[2840.326] (S)alohapon: まちょ…
[2840.948] (S)NAMAPASUTA_BABY: fantas22No1
[2841.087] bacchan1112: wwwwwwww
[2841.869] (S)ボロポス: まちょ…
[2842.482] era2212: 確かにってなんだw
[2842.914] ootomo777: めっちゃ乗ってる
[2843.116] (S)makomako1007: まちょちゃん
[2843.463] acro_10: そらお金なくなるわねw
[2843.817] (S)~MISSING_COMMENTER_INFO~: 誰だっけ？
[2844.320] (S)アジ7864: w
[2844.333] taku611111: まちょは本当にいいやつ
[2844.508] (S)ぱと_ぱと: wwww
[2844.523] (S)bonehead51: そりゃお金ないなるわ
[2844.538] (S)sou_yyy: ありがとね
[2844.698] イタズラ黒うさぎ: 買った本人が言ってんだからなw
[2844.705] (S)ごはんよりパンがスキ: まちょさんありがと
[2845.255] (S)あっと_: 誰からもらったっけ？
[2845.404] (S)ネオノアン: 誰だっけ？
[2846.126] unk1919: 阿羅？
[2846.245] momoyagi0: 誰なんだろうなぁ
[2846.783] (M)Nightbot: 【Twitter】https://twitter.com/Fanta_JPN
[2846.990] パッつぁん: まちょちゃんいつもありがとう
[2846.996] liebe28: よく滑る車ですよ
[2847.077] (S)きゅむぉ: ｗｗｗｗｗ
[2847.440] (S)rinnteiyaa: ﾀｼｶﾆ―
[2849.395] (S)マルディー: ｗｗｗ
[2850.169] (S)zawashow: それで借金してたら世話ないんだよね
[2850.413] (S)ituki13_12: wwwwwww
[2850.413] 游々: 〇ちょ
[2851.096] テミト: 良かったです？
[2851.490] (S)ruruxxx02: まちょちゃん
[2851.673] (S)~MISSING_COMMENTER_INFO~: もういないけどね
[2853.387] (S)yuuuu_23: それで金なくなったんやな
[2853.624] (S)tgf1357: www
[2854.857] Loar_Mirror: wwww
[2856.240] mame_012: おっおーう
[2856.640] (S)fastman1230: ま、ちょ
[2858.529] (S)rebecca_76star: でも言いませんwwwwwww
[2858.741] (S)ayulri: ﾏﾁｮﾁｬﾝ ｱﾘｶﾞﾄｱﾘｶﾞﾄ
[2858.931] (S)もふーお: 本人ww
[2859.512] hiyamugi0141: ﾏﾁｮﾁｬﾝｱﾘｶﾞﾄ
[2860.374] hinomoto__sekishin: シャンクズは先日ネルカスタムして狸や猫にした
[2861.164] (S)ネオノアン: もう彼は…
[2865.993] omaipasut: ｷｯw
[2869.052] sankakubuchishinjukyo: イネヌコ、落ち着き担当でうち来ないか
[2873.532] (S)バスク9: 順当に行けば第1メンバーだしな
[2886.000] yukito127: ｗｗｗｗｗｗｗｗ
[2886.051] (S)元気なデブ: wwww
[2886.586] のあゆずりは: ｗｗｗｗｗｗｗｗ
[2886.627] (S)patrick1000koo: ｗｗｗｗｗｗｗ
[2887.197] nana43: ｗｗｗ
[2887.290] (S)アジ7864: wwwwwwwwwwww
[2887.310] nkkaz: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[2887.749] (S)rich3352: LUL
[2887.852] (S)そると111: あ
[2887.869] (S)catina5456: ｗｗｗｗ
[2887.956] harumich1: www
[2887.976] nukopam: www
[2888.123] (S)きゅむぉ: ｗｗｗ
[2888.139] (S)市ノ宮権之助: ｗｗｗｗ
[2888.205] (S)kohaku0782: NotLikeThis
[2888.230] (S)atui_samu: ｗｗｗｗｗｗｗ
[2888.245] オオゼキ: ｗｗｗｗｗｗｗｗｗｗ
[2888.251] (S)rinnteiyaa: ｗｗｗｗｗｗｗ
[2888.266] (S)ccc020202: ｗｗｗｗ
[2888.368] (S)せれと: ｗｗｗｗｗｗｗｗｗｗｗ
[2888.616] (S)fastman1230: うぇｗｗｗｗｗｗｗｗｗｗｗｗ
[2888.712] (S)24fuku: ｗｗｗｗｗｗ
[2888.798] (S)けんじーじ: wwwwww
[2888.923] (S)kamakuradaibakuhu: wwwwwww
[2888.965] himajin_235: ｗｗｗ
[2889.031] (S)おかしなおおかみ: wwww
[2889.192] (S)earl2socks: ｗｗｗ
[2889.302] 10花: ｗｗｗｗｗｗｗｗｗｗ
[2889.697] (S)cocochu_u: wwwww
[2889.817] (S)さいとうネコ: マスオでてる
[2890.005] (S)sien4334: wwwwwwwwwwwwwww
[2890.030] (S)landmark1000: やっす〜
[2890.126] (S)laki3145: wwwwwwww
[2890.200] (S)alohapon: ｗｗｗｗｗｗｗｗｗｗｗｗ
[2890.295] (S)八咫烏: 1000万あざｗ
[2890.450] (S)つちのこ83: wwwww
[2890.560] (S)ccc020202: 最高や
[2890.573] (S)zinnagano: wwwwwwww
[2890.588] (S)鯖侍: www
[2890.594] (S)ayukatono: wwwww
[2890.601] (S)NiRa2626: イネヌコはノーリミやんw
[2890.654] (S)PINODAY0: wwwwwwwwwwww
[2890.661] (S)roi_hi: www
[2890.666] (S)suzu25012: wwwww
[2890.821] rinori_ddd: wwwww
[2890.827] (S)べーまる: wwwwwww
[2890.874] (S)地縛神ポンタリウス: ｗｗｗｗｗｗ
[2890.884] fu_fighters: ええー？
[2890.907] ももけろ: wwwww
[2891.005] cibo3564: ｗｗｗｗｗ
[2891.102] papamama1212: wwwwwwww
[2891.134] rosso_k: wwwww
[2891.424] (S)himajinnsann: 草
[2891.425] yobisuke: wwwwwwww
[2891.461] めしくぅいな: wwwwwww
[2891.496] yukitwitch14: wwwwwwwwww
[2891.619] Ghv3GjB3: www
[2891.634] マキシマムなハラミ: あ
[2891.644] (S)たち_: WWWWWWWWWWW
[2891.759] (S)bonehead51: wwwwwwwww
[2891.828] しろしばいぬ: ｗｗｗｗ
[2891.872] doteyaki_0141: wwwwwwwwwwwwww
[2891.879] (S)しゅりな: ﾋﾞｬｱｱｱｱｱｱﾏｽﾞｲ
[2893.067] (S)じんくん3: wwwww
[2893.200] (S)bakubaku52: ファスオもびっくり
[2893.272] ebitiri135: w
[2893.382] (S)マルディー: ｗｗｗｗ
[2893.439] (S)sintaloss: wwwwwwwwwwwww
[2893.457] 黒蜜10: wwwwww
[2893.487] テミト: Aメロだけでええやろ
[2893.642] (S)ninnjinnbee: wwwwwwwwwwww
[2893.816] (S)白湯飲みたい: サザエ〜
[2893.857] (S)でじたま: マスオさんｗ
[2894.021] (S)蛙田いぶき: wwwwwww
[2894.242] (S)フルパワーアフロマン: wwwwwww
[2894.277] 鯖缶だよ: wwwwww
[2894.286] ごーやちゃんぽ: ますおさん？
[2894.470] (S)とっきまる: wwwww
[2894.471] (S)元気なデブ: マスオさんになってる
[2894.598] (S)もふーお: wwwwwwww
[2895.211] monjya26: wwwwwww
[2895.231] (S)S4ntaMar1a: ええー？
[2895.419] ありよりのはべり: www
[2895.487] (S)dakr5123: 殺すぞわろたwww
[2895.539] あかやんぬ: ええてw
[2895.690] (S)ファロン_: wwwww
[2895.852] bacchan1112: wwwwwwwwwwwwwwwwwww
[2895.915] (S)ティターナ: ｗｗｗｗｗｗｗ
[2895.920] magu1223: fantas22Kusa
[2896.466] (S)セバス_: wwww
[2896.562] (S)PINODAY0: 急にやめてwww
[2896.664] (S)nachos708: wwwwwwww
[2896.692] みんみん458: wwww
[2896.707] (S)darkun_1115: まぁまぁ
[2896.764] (S)tenmankougi: www
[2897.041] (S)henohenopeco: henohenopeco subscribed with Prime. They've subscribed for 2 months! 
[2897.214] (S)ishibashikun: ｗｗｗｗｗ
[2897.458] (S)ayulri: ますおさん？
[2897.728] (S)fastman1230: マスオさんもびっくり
[2897.942] momoyagi0: wwwwwwww
[2898.110] (S)popyuki_: 金無いからな ヘラシギ
[2898.513] (S)せれと: その反応最高やわｗｗｗｗ
[2898.701] (S)www7mitty: ますおさん
[2899.007] (S)けんじーじ: そうなるやろね〜w
[2899.021] rocomoco18: ええて
[2899.072] りょうげーさん: えぇ～～～
[2899.174] オオゼキ: 磯野もびっくり
[2899.297] (S)poaiue: wwwwwwwww
[2899.522] (S)bonehead51: マスオさん？
[2899.643] joukunuoj: ｗｗｗｗｗ
[2899.928] アクヱリ: jaiker3Yametene
[2900.027] (S)Takemmon: wwwww
[2900.152] harumich1: マスオさんw
[2900.291] (S)landmark1000: 足元見られてて草どんまい
[2900.370] mame_012: おっとっと
[2901.584] ~MISSING_COMMENTER_INFO~: 白市民の1000万か
[2901.724] (S)八咫烏: シギ兄・・・
[2901.787] (S)しぶさわ: 高い？wwww
[2901.852] (S)zaki384: ファスオ！？
[2902.009] u_tan86: この画面でやめてーw
[2902.250] マキシマムなハラミ: イントロだけにするか
[2902.465] (S)ko78yoshi: wwwwwwww
[2903.197] momo_puree: まぁ白市民やし…
[2903.414] (S)rebecca_76star: マスオさーんw
[2903.516] (S)~MISSING_COMMENTER_INFO~: wwww
[2903.827] dodadora: www
[2904.074] machina01remake: 全財産ないなったから…
[2904.166] (S)keiso_no_oto: びゃああ
[2904.217] (S)alohapon: 出演依頼？
[2904.905] (S)ファロン_: マスオ！？
[2905.098] (S)shinshinbro: 気づいたのね
[2905.102] mizuki1218: マスオさん見たいの出てきたw
[2905.126] イタズラ黒うさぎ: 8億でけえな
[2905.643] (S)blue_lupinus: w w w
[2905.762] ﾏﾏ: マスオさん！？
[2906.096] 10花: ファスオええてｗｗｗ
[2906.343] (S)スカイライン乗り: wwwwwww
[2906.378] (S)S4ntaMar1a: これはTEL
[2906.409] hiyamugi0141: マスオも出ます
[2907.661] kaito_follow: それでイライラしてるのかw
[2907.699] era2212: マスオさんになっちゃった
[2907.745] wozuxi: www
[2908.049] (S)chaapieee: ホストには使うのにねぇ…
[2908.080] (S)_なこ_: ｗｗｗ
[2908.546] windy0715: うーんこの
[2908.685] (S)yoshimabo5: fantas22Dani
[2908.782] (S)フルパワーアフロマン: 0が足りねえよなぁ！！
[2909.473] (S)tomorou_xo: 有り金全部かもしれんｗ
[2909.574] zannennako: コンビニより高いよwww
[2909.707] ヤーマン8: 1人1000万ずつ+1000万ってことかな？
[2909.843] chinpanmansan: 白市民やで
[2909.864] kuro_0099: マスオさんもビックリですｗ
[2910.390] (S)24fuku: マスオさんもびっくり
[2910.597] nukopam: これにはマスオさんもビックリwww
[2910.823] (S)~MISSING_COMMENTER_INFO~: びゃあああー
[2910.860] (S)tenmankougi: マスオさんも驚いてます
[2911.231] フランカー06: コンビニ一回
[2911.264] ugg_1113: だからナツメに詰められるんだ…ｗ
[2911.471] (S)tackey8120: マスオさんもいます
[2912.675] nana43: か、歌手へのギャラじゃないから・・・
[2912.707] すずねちゃん_: しゃーないやろw
[2913.118] テミト: 付き合い考えます
[2913.132] (S)そると111: 兎さんライブの売り上げ１０億って話しよう
[2913.823] mamimumemo123456789: よし全財産とるか、、、
[2913.886] sekisekisekkiii: 送別会だし！！
[2914.059] (S)飛びます飛びます: 思わずマスオさんもびっくり
[2914.437] Ghv3GjB3: 手頃だねぇ〜
[2915.939] sjadwtp: お気持ちなんで…
[2916.233] (S)Karasususu: 値段よりやり方よなｗ
[2916.592] クックカレー: よく考えたらコンセルに金取られてないんじゃないかｗ
[2916.722] (S)koko3568: しょうがないよｗｗ全財産持ってかれたしｗｗ
[2916.759] (S)真なる我: 素寒貧になったし
[2916.879] (S)~MISSING_COMMENTER_INFO~: コンビニかな？
[2918.531] joukunuoj: 怒りのマスオでてます
[2918.735] (S)Takemmon: 正直安過ぎるよねwwwww
[2920.243] (S)saku4869: 全財産なくなったから？
[2920.453] (S)24fuku: びゃあああああ
[2920.766] (S)takashi1111111: 金ないんだろうけどw
[2921.612] unanote: ナツメと揉めて金ないんやろ多分
[2921.899] (S)わさびなつ: ※RPなんでね おちんついて
[2922.275] (S)yuuuu_23: ライブしたら億単位で動くのにねwww
[2923.115] (S)kuufuku12: ヘラシギさーん？
[2923.193] (S)cocochu_u: 桁が違うよねぇ
[2923.411] (S)yukidarum4n00: ナツメにとられたんか
[2923.705] (S)ururisa: 自分で自分の送別会するのおもろいよな
[2923.987] (S)ryhac191: シャンクズも流石にマスオになるレベル
[2924.180] dodadora: 一旦許せんか？w
[2924.904] (S)ryoseeeei: 投げ銭貰って後で払うとか？
[2925.924] lastpink0218: リサセンで一発よ
[2927.253] (S)a24_atsushi: 新曲の告知で終わろ
[2927.635] ferno_w: まちょのネロカスも高いんやな
[2928.641] (S)蛙田いぶき: お金ないのかな
[2928.763] (S)ayataka00: こんなにもたっゆあっていいの！？
[2931.440] (S)uwantea: 金奪われちゃったから、、、
[2932.135] (S)bonehead51: これもビジネスの学びかぁ
[2932.223] (S)元気なデブ: ふにゃふにゃこい
[2932.669] tackmail: 全額持ってかれたからあんま金ないんかなぁ？
[2934.770] (S)S4ntaMar1a: シャンプロ300万円やぞ
[2937.170] sirokuma_777: これってシャンクズ知らんとこで進んでたの？笑
[2937.396] (S)reo214214: 流石のシャンクズも怒りマスオ
[2938.670] (S)インスタントきなこ: アーティスト側に直接交渉されるとよくわからんくなるよなぁ
[2939.829] (S)グリカラ: コンセに全額取られてこれだけ払えるのすごい
[2943.156] (S)sukegg3: 計3000万？
[2944.158] tkr_sai: 全財産無くなってから結構経ってるよww
[2944.904] (S)koko3568: さらに白市民だからね
[2945.041] (S)いぇにく: なら相応の人呼ぶって選択肢はなかったんかなー
[2945.050] (S)さいとうネコ: 詰めてママチャリ返してもらお
[2949.280] (S)yume080546: シャンダーマーでてきちゃうよ
[2950.714] (S)yukidarum4n00: まじどんどん尖って欲しいくそおもれーや
[2950.968] chinpanmansan: VFしか収入源ないだろうししょうがないよ
[2951.233] zannennako: まぁまぁ
[2951.486] tesofo: うさぎさんライブはあっつ
[2951.666] o02to: ホストには何億もつかったのにね
[2954.249] (S)biifuun: き、気持ちが大事よね、
[2954.839] snad_g: VF担保とか面白そうw
[2955.022] (S)peho_okok: ﾍﾗｼｷﾞは昔に囚われており、物価も過去のままなんだ！
[2956.662] (S)HiroshiQvQ: せめて一億じゃね
[2956.916] shion0000000: ヘラシギのやりたい放題ch
[2959.602] (S)ジラフ331: びゃあぁぁぁ、安いぃぃぃ！w
[2961.687] joukunuoj: 店やってて1000万はありえんやろー
[2963.342] (S)バスク9: 戻ってきた時はシギ兄がシャンクズの偽物って言われるのか
[2964.629] テミト: Aメロだけで帰らそう
[2964.722] (S)takeninth: あとは投げ銭か
[2967.614] ~MISSING_COMMENTER_INFO~: ホストで金ない
[2971.194] (S)ペプマシン: おちんつちてｗ
[2971.247] lucifer_r2: 白市民に相場わからないよね、少し仕方ないかも
[2971.547] (S)landmark1000: 「これでええやろ」感
[2972.259] (S)ururisa: アーティストへの投げ銭もヘラシギもっていくん？？それはやばいな
[2972.666] ぞのち: 事務所通して」ってのは大事なんやね
[2975.909] nottariiiii: 店担保にするしかない
[2983.146] (S)インスタントきなこ: あ
[2983.360] romio_jennaro: 今後とも起こりえますね
[2984.707] (S)bakubaku52: ｗｗｗｗ
[2984.882] (S)kami_q51: シャンクズに1000万他メンバーにも一人1000万と投げ銭って事でしょ
[2984.938] けむくじゃら男: ヘラシギが1000万払っただけでこの荒れよう…
[2985.305] mana_bin_: 今回チケット売ってないし
[2987.772] (S)patrick1000koo: ｗｗｗｗｗｗ
[2988.019] (S)PINODAY0: 大型たのしも
[2988.186] yukito127: ｗｗｗｗｗｗｗｗｗｗｗｗ
[2989.182] chinpanmansan: @ururisa それはないとおもうよ
[2989.361] (S)_ゆきの_: wwwwwwwwwww
[2990.104] nkkaz: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[2990.181] (S)zaki384: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[2990.196] びーびー3: ええええ
[2990.305] テミト: あああああああああああ
[2990.552] parupuntte: ｗｗｗ
[2990.718] rinori_ddd: あ
[2990.771] (S)アジ7864: wwwwww
[2990.805] (S)earl2socks: ｗｗｗ
[2991.389] (S)opome12: ｗｗｗ
[2991.522] (S)さいとうネコ: wwww
[2991.568] (S)alohapon: ｗｗｗｗｗｗｗｗｗｗ
[2991.585] (S)kohaku0782: fantas22Kusa
[2991.675] オオゼキ: ｗｗｗｗｗｗｗｗｗｗ
[2991.693] nana43: ｗｗｗｗｗ
[2992.218] (S)~MISSING_COMMENTER_INFO~: wwwwww
[2992.372] (S)fastman1230: ｗｗｗｗｗｗｗｗｗｗｗ
[2992.496] 10花: ｗｗｗｗｗ
[2992.676] (S)sayusayusay: みんなで白市民にロールしてみようぜ
[2992.751] (S)rich3352: せーふ
[2992.981] (S)八咫烏: どうして・・・
[2993.071] (S)rinnteiyaa: えー
[2993.122] (S)でじたま: ｗｗｗ
[2993.431] (S)ぽいぽい_: ｗｗｗｗｗｗｗｗ
[2993.437] (S)ninnjinnbee: wwwwwww
[2994.093] (S)laki3145: どうしたwww
[2994.281] (S)盾マン: wwwwwwwww
[2994.317] (S)suzu25012: wwww
[2994.337] けむくじゃら男: なんだかなー…
[2994.495] ゆっくり竜王竜也: wwwww
[2994.613] (S)白湯飲みたい: wwwwwっw
[2994.627] (S)apron_u: wwww
[2994.713] (S)かぐらんチャン: wwwwww
[2994.718] (S)huranohajime: wwwwwwwwww
[2995.020] (S)福噴く袋: wwwwwwww
[2995.480] doteyaki_0141: wwwwwwwwwwwwwwwww
[2995.534] ran73110: wwwwwww
[2995.733] (S)_ゆきの_: さすが
[2995.755] u_tan86: ええ声でてた
[2995.833] 烏龍茶です: ｗｗｗｗｗｗｗｗｗ
[2995.946] nukopam: fantas22Kusa
[2995.972] (S)ゆうたくん: wwwwww
[2996.181] (S)エンペリ: ｗｗｗｗｗ
[2996.187] (S)地縛神ポンタリウス: fantas22Yamucha
[2996.412] (S)じんくん3: うそやんw
[2996.475] fu_fighters: ええー？
[2996.616] (S)tomorou_xo: セフセフ
[2996.704] hayane_neoki: ｗｗｗｗｗｗ
[2996.868] yukitwitch14: wwwww
[2996.917] ~MISSING_COMMENTER_INFO~: ww
[2997.273] (S)ばむるく: はあ！？ではないｗｗｗｗ
[2997.493] (S)ペプマシン: ベジータいた
[2997.707] (S)あっと_: せーふ
[2998.357] (S)fastman1230: それは怒る
[2998.373] shinya87: fantas22Kusa
[2998.443] kyo325: wwwwwwwww
[2998.633] yukito127: おもろｗ
[2998.974] フランカー06: ナイスー！
[2999.005] (S)蛙田いぶき: wwwww
[2999.193] (S)sagiri_nnn: wwww
[2999.310] (S)rei_lisbeth: はいよ
[2999.501] (S)こしつぶのハーフちゃん: ｗｗｗｗ
[2999.896] leeresky: あるあるすぎるｗｗｗｗｗｗｗｗｗｗｗ
[3000.109] マクドナルド非公式: ？www
[3000.235] テミト: おもろｗｗｗｗｗｗｗｗｗｗｗ
[3000.337] zeto647: はぁああああああ！？
[3000.663] イタズラ黒うさぎ: あぶな
[3000.852] (S)matoyo11: 千鳥やんw
[3000.884] (S)くろう6: ｗｗｗｗ
[3001.051] (S)_やお_: なにごとw
[3001.117] (S)元気なデブ: いいリアクションだ
[3001.270] (S)~MISSING_COMMENTER_INFO~: いつもの
[3001.602] zannennako: セーフ
[3001.669] (S)いぇにく: 動揺がww
[3001.723] ~MISSING_COMMENTER_INFO~: ナイス
[3002.600] ran73110: ナイスポン
[3002.621] アバラボブ: WutFace
[3002.746] (S)ururisa: ヘリ歪んでそうや
[3002.845] 黒蜜10: どうしてなのー
[3002.959] (S)トラファルガー激ロー: fantas22Angryfanta
[3003.224] (S)ninnjinnbee: 珍しいなクリップ向きなの
[3003.417] (S)onsen9674: fantas22Muscle
[3003.430] (S)わさびなつ: ｗｗｗ
[3003.480] (S)ender_ear: 自販機でかなり稼げるはずやけどなw
[3003.654] みんみん458: 1番おちんついてwww
[3004.424] (S)tgf1357: www
[3004.537] bbbsusan11: 1ポン
[3004.608] quick0833: ナイスポン
[3004.785] ほまかな: 流石です
[3004.902] ももけろ: びつくりした
