[33.897] mako090717: こんちゃ
[8394.362] (S)ンパールーパー: 強かった？
[8437.016] (S)ンパールーパー: 極めてる人達集まったらえぐい戦いしそう。このゲーム
[8470.522] (S)ンパールーパー: 色んなゲームの要素入ってるね
[8545.188] (S)ンパールーパー: スペルみたいなマークは0マス？
[8603.017] (S)ンパールーパー: この8文字のマップの中がこんなにぎゅうぎゅうになるのか
[8633.734] (S)ンパールーパー: マップは基本的にこのサイズ？
[8689.341] (S)ンパールーパー: え〜、オンライン対戦とかめちゃくちゃ楽しそう
[8724.371] (S)ンパールーパー: 倒産…、
[8738.590] (S)こよ111: あちゃー
[8748.213] (S)ンパールーパー: あ、良かった。
[8775.323] (S)ンパールーパー: なにそれw
[8783.195] (S)ンパールーパー: え、今あるのかな
[8794.366] (S)ンパールーパー: 気になるハニワールド
[8797.800] kai_yukihiko: ほぼ倒産みたいなもんだな
[8808.735] yochibi2525: カルドセプトだけで飯食ってたんか
[8810.834] (S)ンパールーパー: いいね欄も更新されてないか？
[8883.983] (S)ンパールーパー: PTみたいな感じでファンゲームとかで続編とか出たらいいね
[8895.041] kai_yukihiko: スマホの予測変換で出るくらいだから、それなりに有名なんだろうね
[8904.186] yochibi2525: 今はできないの？ネット対戦
[8917.751] (S)ンパールーパー: Simejiも出てくる。カルドセプト
[8958.078] (S)ンパールーパー: 未だにしてる人いる
[8981.929] (S)ンパールーパー: Twitterでカルドセプトって調べて最新順に並べたら3時間前にプレイ画面のツイートしてる人いた
[9038.301] hijijki1234: 3dsだったらイナイレクソやってたわ
[9050.646] (S)ンパールーパー: テレビ画面の方がツイートしてる人多い気がする
[9066.907] takashi__takashi: 妖怪ウォッチやってた
[9069.678] (S)ンパールーパー: 初めてやったゲーム3DSかも。スーパーマリオコイン…？だっけ
[9089.799] hijijki1234: モンハン4もめっちゃやったなぁ
[9110.634] hijijki1234: ゴアマガラ
[9117.849] (S)ンパールーパー: 星のカービィトリプルデラックスしてたなぁ
[9138.285] hijijki1234: ブラキ3rdじゃね
[9138.679] (S)ンパールーパー: モンハンした事ないや。体験版も触ったことないw
[9148.594] kai_yukihiko: 初めてやったのゲームウォッチだったかな
[9151.499] hijijki1234: トライgか
[9153.637] (S)ンパールーパー: ファンゲーム作るしかねぇな
[9183.068] (S)ンパールーパー: 募集ツイもあるよね、カルドセプト
[9223.521] (S)まーーごめ: のめり込んでやったの格ゲーしかないな､､
[9231.064] hijijki1234: カードゲームじゃないけどぼくなつは毎年8月1日からやってる
[9258.160] (S)ンパールーパー: のめり込んでやったゲームかぁ、テトリスだな
[9270.595] (S)ンパールーパー: テトリス99で1位取るぐらいにまでやった
[9287.481] (S)まーーごめ: スト2ターボは全キャラ誰にも負けん自信ある
[9315.352] takashi__takashi: スイカゲームは？
[9329.752] (S)ンパールーパー: 今、スイカゲーム極めてる！！
[9335.848] (S)ンパールーパー: スマホもSwitchも買った！！
[9350.068] (S)ンパールーパー: 半年してるけど一生ダブルスイカできないw
[9376.198] (S)ンパールーパー: カルドセプトの夢見たって人のツイート少し面白い
[9479.896] (S)ンパールーパー: おいくらするの？
[9514.155] (M)えっっっくす: 1千万超えとかの…？
[9539.007] (S)ンパールーパー: うっっわ、すご
[9549.700] (M)えっっっくす: えっぐ
[9563.626] (S)ンパールーパー: 状態悪いので780万、！？
[9567.170] hijijki1234: 財産じゃん
[9576.719] (S)まーーごめ: 大会もの？
[9576.811] (S)ンパールーパー: 下に書いてあるサインは製作者さん？
[9578.000] yochibi2525: なんでこれほしいの
[9594.650] ~MISSING_COMMENTER_INFO~: 家じゃん
[9605.009] takashi__takashi: 効果強いの？
[9608.123] (M)えっっっくす: どうしてこんなに価値ついてるんですか？
[9613.913] hijijki1234: まじで息長いよなぁ
[9732.787] (S)ンパールーパー: つよ
[9742.335] takashi__takashi: つよw
[9789.127] (S)ンパールーパー: この青のお花ってなんだろ…
[9822.446] yochibi2525: 使えないのに高くなるのはなんでだ
[9822.565] (S)ンパールーパー: ほぉ
[9887.293] (S)ンパールーパー: レア中のレアってことか
[9918.795] (S)こよ111: 夢あるよなあ
[9940.356] (S)ンパールーパー: 買えた時の報告は盛大にしてくれ
[9987.059] (S)ンパールーパー: パワーナイン…なんかかっこいい
[10009.850] (S)こよ111: 強くて激レアで絵が綺麗ってそりゃ高いか
[10078.077] (S)まーーごめ: 自分はMTG通ってないけど個人的にやってたカードの英語版憧れるなぁ
[10078.494] (S)ンパールーパー: 本当に出た途端に強すぎて駄目だってなったのか
[10102.840] (S)ンパールーパー: 6倍も違うのか
[10134.271] ~MISSING_COMMENTER_INFO~: 禁止カードってことはいつか解除されて再録されるのか？
[10184.263] (M)えっっっくす: 対戦で使えないのにみんな欲しがるって不思議だよね
[10196.070] (S)ンパールーパー: 絵柄自体綺麗
[10197.803] (S)こよ111: コレクション精神
[10239.771] (S)ンパールーパー: シリーズ違うけど、ポケカのリーリエシリーズが高額着くのは、可愛いから？
[10239.875] (M)えっっっくす: 色んなレギュレーションの大会があるのか
[10260.743] ~MISSING_COMMENTER_INFO~: 高すぎてシャッフル出来ない
[10292.339] (S)ンパールーパー: 自由度上がるのか
[10312.892] (S)ンパールーパー: バベルデッキって、、そういうこと？
[10350.513] 犬山犬太: ついにmtgアリーナ始めますか。。。。。
[10397.410] (S)ンパールーパー: オンラインでもそのロータスは使えない？
[10422.029] (S)ンパールーパー: ええぇ…
[10425.588] (S)ンパールーパー: 頭パンクしそうw
[10441.600] (S)ンパールーパー: 905…w
[10445.919] wakame_1012: ルールだけ読んで満足しそう
[10448.406] クラウド9: ハリー・ポッターかよｗ
[10450.990] (S)ンパールーパー: 小説でもそんなに目次ないよwww
[10460.185] (S)uta_0929_: やってる人達はそれ全部覚えてるって事？
[10470.293] (S)ンパールーパー: なんか、厳重な誓約書みたいだね
[10481.045] (S)まーーごめ: 遊戯王とかとは違った難しさなんかな
[10485.617] 犬山犬太: やってみると結構直感的なんすけどね
[10527.913] (S)ンパールーパー: カードゲームマジで触った事ないなぁ
[10536.531] (S)ンパールーパー: 1ターン完結？
[10555.558] (S)ンパールーパー: 特殊効果とかは基本1ターン完結
[10608.373] (S)ンパールーパー: 初心者向け属性はなんですか？
[10679.705] takashi__takashi: シャドバっぽい
[10923.206] (M)えっっっくす: fmlchGG
[11005.669] 犬山犬太: スマホでもプレイできるぜ！そこの君も今すぐダウンロードだ！
[11020.390] goriyama3: UKさん何色使ってたたの？
[11054.435] metally_ow: MTGなつかしいですね
[11068.624] (S)ンパールーパー: 変態的…？
[11072.932] (M)えっっっくす: 結局ダルシムか
[11095.784] (S)ンパールーパー: 人気だったのは何色？
[11170.213] (S)ンパールーパー: デッキ枚数が0になると負けなのか
[11185.951] (S)ンパールーパー: うわ、やだw
[11188.067] (S)まーーごめ: やらしすぎるw
[11201.650] (S)ンパールーパー: めちゃくちゃストレス溜まる負け方じゃんww
[11305.732] (S)ンパールーパー: クラゲみたいで可愛い
[11370.994] (S)ンパールーパー: めちゃくちゃ頭使うな
[11418.817] goriyama3: 頭のおかしい睡蓮の花びら
[11427.115] (S)ンパールーパー: ノーコストなのに、マナ3つ貰えるから、、ダメだよねってことか
[11432.274] (S)ygarshy: まだやってた！〆切間に合ったので今から帰宅します。
[11433.811] yochibi2525: ちょろっとオンラインやってください
[11465.597] あんこのデコイ3: 今対抗呪文無くなったんだっけ？
[11468.761] (S)ンパールーパー: UKさん何時起き？
[11474.608] (S)ンパールーパー: え、シャドバ終わるの！？
[11496.714] (S)ンパールーパー: スマホからPCにデータ移行したばっかなのにぃ；；
[11542.700] takehara7: マジックのルールめっちゃ難しいですよね
[11588.754] あんこのデコイ3: MTGアリーナならタダでカードが集めれるんだ
[11591.791] 犬山犬太: ショップで無料でもらえるやつですよ
[11701.194] あんこのデコイ3: 風呂に入るが無い
[11715.405] (S)ンパールーパー: www
[11722.476] クラウド9: wwwww
[11732.401] (S)ンパールーパー: 女の子が帰るぐらいだもんな…ネットニュース見た
[11742.543] 犬山犬太: 紳士のゲームですからね
[11764.622] (S)ンパールーパー: アメリカ？
[11777.211] あんこのデコイ3: MTGは絵がカッコいいけど若者の人口少なかった
[11789.356] korororororo: マジックは無茶苦茶高いカードがあるくらいしか知らない
[11810.329] (S)ンパールーパー: 何年ぐらいのゲームなの、これ
[11813.773] (S)まーーごめ: 絵だけ見たらゲームのウィッチャーっぽい
[11827.179] あんこのデコイ3: アルファ版が92年とかだっけ？
[11832.075] (S)ygarshy: 外、雨でめっちゃ寒いです！遠征気を付けてください。
[11850.133] (S)ンパールーパー: 2024-1992？
[11864.171] takehara7: コロコロで連載してた時やってました
[11879.471] ha0225: これから大雨やっけ
[11897.720] あんこのデコイ3: 調べたら93年8月だった
[11916.577] arushi0328: 8年くらい前に買ったオリジンっていうパックの買取価格みたらあんまり高くてがっかりした…
[11919.848] あんこのデコイ3: 開けない方が高い
[11938.404] ha0225: 昔さくらやとかビックでもカード売ってた気がするわこのゲーム
[11950.333] あんこのデコイ3: ネメシスとか？
[11979.386] tbhandc: タルキールとか？
[12001.129] tbhandc: 何年前の話？
[12007.810] あんこのデコイ3: 新しいのわかんないや
[12032.177] ha0225: 今の子はネットあるからわかるけど、昔はどうやってこういうゲーム知ったんだろうな子供は
[12051.401] tbhandc: その頃のウギンならタルキールだと思う
[12080.907] あんこのデコイ3: 英語版の方が50円安いからそっち買って英語頑張って読むんよ
[12109.170] (M)えっっっくす: 大抵クラスに1人くらいは兄
[12112.946] (S)ンパールーパー: すごい、有識者
[12113.125] tbhandc: パックの顔にウギンおった
[12113.180] ha0225: 39のジジイだけど玩具屋で洋風のパッケージ見て手に灯籠は思わんかったわｗ
[12130.768] tbhandc: 運命再編の方
[12134.570] (M)えっっっくす: 兄/姉が居て情報通な人がいるんだよな
[12189.679] tbhandc: メタちゃんと追おうとすると本当金かかる。デッキ1個持つだけならそこまでだけど。
[12216.220] あんこのデコイ3: でもめっちゃくちゃ金もかかる
[12216.709] ha0225: そのうちピザラジで・・・
[12264.022] hanzo531: UKフォローしたぞ！
[12280.994] tbhandc: モダンとかパイオニアっていうレガシーより範囲狭いずっと使い続けられるルールの方が安くできると思う
[12284.263] あんこのデコイ3: MTGのカード名だけでホルモン歌うって動画おもろかったな
[12353.890] あんこのデコイ3: 同じカードでも何種類も絵柄あるから良いよね
[12365.548] おなお: 1億円くらいする
[12365.577] ha0225: 一番高いカードっていくらするんや
[12372.132] tbhandc: 初期の高額土地カードは面積で換算すると銀座一等地より高い
[12395.546] あんこのデコイ3: 7福神ドラゴンとか無かった？
[12397.461] ha0225: 家やんけ
[12410.705] (M)えっっっくす: 対バン相手がブラックロータスをmcで出してきたらその日はもう勝ち目ないってことか
[12428.714] takehara7: デュエルマスターズの漫画最初マジックしてたからその時始めた子供多そう
[12447.520] (S)こよ111: リアル土地カード
[12450.439] あんこのデコイ3: ガチ土地か
[12454.275] korororororo: 三重スリーブとか四重で使うのかな
[12462.901] あんこのデコイ3: 土地もカッコいいもんな
[12480.582] tbhandc: 土地が高すぎてレガシーもう参入できん
[12483.429] yochibi2525: 絵がいいってのもあるのかね
[12484.781] scarf_gardevoir: ポケカで起きてた現象
[12546.423] ililka: カードゲームより一緒にやる友達の方が大事なことに最近気づいたよ
[12547.508] あんこのデコイ3: ステンのやつか
[12588.651] あんこのデコイ3: はんじょうはいつも一緒にやるおじさん持ってるよ
[12628.783] あんこのデコイ3: 配信者なら集めれそうだけどね
[12631.415] (M)えっっっくす: くさいww
[12638.809] arushi0328: 周りが離れたからもう何年もやってないな…
[12664.325] あんこのデコイ3: 最近はんじょうたち遊戯王やってるよ
[12669.767] (S)まーーごめ: 何年か前に実家からえぐい値の遊戯王カード出てきて家族が湧いてた
[12674.067] hanzo531: ゆゆうたと遊戯王してくれ
[12754.244] hanzo531: 見たい！笑
[12781.524] yoppy7777: あのカオスソルジャーかっこよかったよね
[12781.810] あんこのデコイ3: あの頃ちゃんと取っておけばな
[12818.631] scarf_gardevoir: アスファルト直置きで遊んでたわｗ
[12833.530] あんこのデコイ3: 三国志大戦とか
[12863.557] tbhandc: 初期イタリアしかなかったのにヨーロッパ全体になった時嬉しかったわwccf
[12878.369] yoppy7777: マルディーニ使ってたな
[12882.829] あんこのデコイ3: ペレとか高かったろ？
[12899.180] tbhandc: 中田とか中村俊輔はいた
[12926.108] yoppy7777: チェフ
[12937.171] あんこのデコイ3: カーンは
[12975.276] あんこのデコイ3: ブッフォンウイイレでもクソ強かった
[12986.703] (S)イケザエライダ: ホビ？
[13008.076] yochibi2525: 昔はリアルが楽しかった
[13008.113] edaoni: バトえんは？
[13015.901] あんこのデコイ3: ジターリング
[13018.697] (S)こよ111: カードとビーダマンで甥っ子と取引きしたって言ってましたね
[13039.807] (S)イケザエライダ: ミニ四駆とベイブレードの狭間にいた
[13077.515] ililka: ゲームだとスーファミ世代？
[13094.117] あんこのデコイ3: 初期のJリーグか
[13148.776] (S)イケザエライダ: TVチャンピオンでミニ四駆みてた
[13165.775] あんこのデコイ3: あるね
[13195.252] (S)こよ111: 遠出するお父さん世代を狙い撃ち
[13214.804] yochibi2525: メッシュつけてね
[13217.688] あんこのデコイ3: 昔は500円で買えたけどいくらするんやろ
[13288.758] あんこのデコイ3: 爆龍みたいな違法モータークソ高かったね
[13307.221] (S)こよ111: ミニ四駆ってラジコンみたいなもんかと思ってたけど本物信じられんぐらい早くてびっくりした
[13324.227] ha0225: ハイパーダッシュモーターつかってた
[13337.040] あんこのデコイ3: 手で掴める気がしない
[13340.045] ha0225: 赤黒
[13346.122] tbhandc: オレンジ使ってたなー
[13382.878] jetytrdy: 今から朝マック行かない？奢るけど
[13384.903] ha0225: アトミックチューン？
[13442.893] (S)まーーごめ: 実物触ったことないなポケサーしかないや､
[13469.748] (S)イケザエライダ: https://d7z22c0gz59ng.cloudfront.net/cms/images/stories/mini4eventinfo/guide/motor_jn2015_181.png
[13475.658] あんこのデコイ3: 黒いのがプラズマダッシュらしい
[13499.998] (M)えっっっくす: 朝マック良いな
[13533.111] ha0225: 家庭科で使う裁縫セットの中身抜いてみんな持ち運んでたわ。公式のケース高いから
[13545.158] (S)こよ111: PROと普通のミニ四駆はなんか違うんですか？
[13580.759] ha0225: コースとケース持ってる人気者
[13586.594] (S)イケザエライダ: かねもだ
[13594.320] あんこのデコイ3: ピンバイスとかニッパーとか工具入れてカッコよかったな
[13639.066] あんこのデコイ3: ベアリング
[13642.034] ha0225: ベアリングとかポールみたいなやつなｗあとメッシュタイヤ
[13679.638] (S)こよ111: 俺ら世代でいうとベイブレードだ
[13681.457] あんこのデコイ3: 結局軽すぎると吹っ飛ぶからね
[13717.528] (S)イケザエライダ: ダンパーだの
[13732.005] あんこのデコイ3: ワイのワイルドワイバーン
[13762.200] ililka: 改造モーター入れてトルクが既存の奴より高すぎて車体から煙出てお釈迦にした話親から聞きました
[13854.300] (S)イケザエライダ: ビーダマン、アニメで火吹いてバンバン飛ばしてたのにおもちゃは全然飛ばなくてちょっと悲しかった思い出
[13927.041] あんこのデコイ3: タミヤは今はガンプラじゃね？
[13978.829] (S)イケザエライダ: ガトリング
[14032.400] (S)まーーごめ: まだ100均とかあみあみにじゃらじゃら入ってるビー玉売ってるのかな
[14043.312] (S)こよ111: 俺が物心ついた時くらいにビーダマンが廃れてって次の世代のホビーに変わってったイメージです
[14071.292] ililka: ビー玉の給油高ペットボトルくり抜いて使ってた？
[14137.211] (S)こよ111: wwww
[14173.748] arushi0328: メカメカしい物ってだけで昔はテンション上がったｗ
[14174.503] あんこのデコイ3: 今考えると何して遊ぶんやろ？
[14225.700] (S)イケザエライダ: クラッシュギアはukさんが中学生の頃だから知らんか
[14258.034] ililka: 劣化ミニ四駆
[14267.517] HiRAPARK: ウルトラマンサイダー
[14282.056] (S)こよ111: 尖ってるwww
[14284.981] (S)イケザエライダ: 剣よ
[14289.866] あんこのデコイ3: これも世界を征服するの企んでたんか？
[14335.780] (S)イケザエライダ: ぶつけて戦う？
[14345.349] (M)えっっっくす: ロボコン
[14351.484] ililka: 海外のやつね
[14351.715] あんこのデコイ3: ロボコンのガチのやつで
[14371.436] あんこのデコイ3: 火炎放射器ついてるやつとか
[14413.220] (S)イケザエライダ: battlebots って出てきたけど
[14416.886] あんこのデコイ3: ロボコンだとしょぼいのしか見れんよ
[14464.809] arushi0328: ｗｗ
[14471.900] (S)まーーごめ: こっわ人56せるやんw
[14473.292] (M)えっっっくす: 工学系の技術を競う感じ
[14499.409] あんこのデコイ3: 人の足くらいなら余裕で持ってかれる
[14510.689] (S)イケザエライダ: 負けたらボロボロのゴミ持ち帰るの辛そ
[14558.379] あんこのデコイ3: 回転で吹っ飛ばすスタイルかな？
[14569.267] (M)えっっっくす: 受け流す慶應だったのかな？
[14606.269] ililka: 勝ち抜きなのえぐくない？w
[14624.120] (M)えっっっくす: いかつwww
[14630.042] あんこのデコイ3: 死体撃ちもします
[14634.472] (S)まーーごめ: うわ小学生の時チャリにブラックドラゴンって名付けてたわ
[14642.672] (M)えっっっくす: 審判がカウントしてはwww
[14657.770] (S)イケザエライダ: www
[14681.535] (M)えっっっくす: 火花えぐすぎwww
[14687.460] (S)イケザエライダ: 触れたら吹っ飛ぶのこわ
[14708.308] あんこのデコイ3: 相手になんねぇw
[14739.480] (M)えっっっくす: スマーフきしょ
[14744.727] ililka: モーターdiff
[14828.663] (S)まーーごめ: 青に一票
[14835.825] あんこのデコイ3: 平べったい方
[14849.538] (M)えっっっくす: どっちがどっちだ？
[14859.447] あんこのデコイ3: もっかい車体見せてくれ
[14886.317] ililka: ベストko集だから派手に負けるんだろうなw
[14901.636] (M)えっっっくす: 赤だな
[15015.613] (S)イケザエライダ: www
[15020.819] ililka: www
[15021.503] (S)まーーごめ: プレイヤーは赤のが強そうだな
[15025.451] __ひびき: 復活した！
[15050.995] (M)えっっっくす: テクポplz
[15052.190] arushi0328: ww
[15059.130] (M)えっっっくす: のーー！！！！
[15063.956] ililka: カブトムシスタイル
[15067.179] あんこのデコイ3: いえすっ！
[15068.896] __ひびき: 場外か〜
[15106.279] あんこのデコイ3: リカバリー効くのは強いけどな
[15124.871] (M)えっっっくす: 名前だけで予想しよう
[15146.931] あんこのデコイ3: ドラゴンだもんな
[15149.986] (S)まーーごめ: がんばれブラックドラゴン
[15153.550] (M)えっっっくす: 炎vs四角
[15154.759] arushi0328: これはｗｗｗ
[15170.218] ililka: パーフェクトフェニックスに全ツッパ
[15191.146] あんこのデコイ3: 🟥やな
[15221.820] arushi0328: 1万ベッドしました
[15228.618] arushi0328: 青に
[15248.795] あんこのデコイ3: よっわ
[15256.915] (S)イケザエライダ: でたw
[15260.713] (M)えっっっくす: 舐めプしてやがる
[15266.300] (M)えっっっくす: 気わっる
[15279.774] あんこのデコイ3: もう動けてないわ
[15296.535] あんこのデコイ3: 負けたわ
[15311.626] (S)まーーごめ: マナー⚪︎
[15328.814] あんこのデコイ3: 火吹くからドラゴンやろ
[15329.039] ililka: やはり火こそ最強
[15357.455] arushi0328: 2万8千帰ってきたｗ
[15363.879] (S)まーーごめ: 青がブラックドラゴンかよ我が子に賭けたと思ったのに
[15383.910] (M)えっっっくす: また炎か
[15430.762] ililka: 抜きどころメーターで一番盛り上がっとる
[15513.634] あんこのデコイ3: あ
[15532.030] ililka: ロボットから出ていい火のレベルじゃない
[15547.684] あんこのデコイ3: チキーン！！！！
[15550.211] (M)えっっっくす: ガスタンク爆発したか
[15558.620] arushi0328: まじか…
[15616.427] あんこのデコイ3: wwww
[15619.777] ililka: やばw
[15687.050] (M)えっっっくす: コナン映画くらい爆発してるww
[15693.604] arushi0328: 何があったらそんなに火ふけるんだ
[15784.463] ililka: 小型の方が勝ってる印象
[15987.826] (S)イケザエライダ: 火がね
[16049.571] (M)えっっっくす: リアル空中分解だ
[16075.431] arushi0328: 掃除が大変そうだ
[16245.224] aoinoaoiro: おはようございます〜、何このゲーム!
[16272.059] tbhandc: これレギュレーションどうなってんだろ、重さとかなんかな
[16483.008] (M)えっっっくす: 起きる時間だ
[16495.896] __ひびき: 寝たら終わるから起きてます
[16509.931] (S)イケザエライダ: 寝ずにライブ
[16510.188] (M)えっっっくす: 12時間後に勝負が決まる
[16517.314] (M)えっっっくす: fmlchRoll
[16519.446] tbhandc: zzz
[16522.579] arushi0328: おつです
[16526.107] (S)まーーごめ: おつかれさまです
[16526.177] __ひびき: おやすみなさい〜
[16530.903] (S)イケザエライダ: おつ
