[13.659] 02zegu: ブブ
[1228.830] yamanashi_sp: 携帯電話もすごい。無かったらもっと綿密な計画が必要だった
[1229.449] v_harumi_v: どんななのｗ
[1230.249] neon_d99: どういうことｗ
[1232.535] mako6912: www
[1235.974] porcupinepine: ワンカップ勢ってコト？
[1238.362] neon_d99: 下側に穴開けて飲んでた？
[1239.806] chin_56_: 変なおじさん
[1240.277] ame512: やめろ
[1240.627] GelidiumJellyCat: umeSalute
[1245.637] teruharu_: よっぽどだったw
[1248.478] fin_fannel: ワンカップモンスター
[1249.008] v_harumi_v: ｗｗｗ
[1249.322] thunderbolt0422: wwwww
[1249.328] balthazar000: ウメさんもそろそろスピーチ考えないと
[1250.536] neon_d99: 草
[1250.752] (S)くえんち: ｗｗｗｗｗ
[1251.719] ddb365: ｗｗｗ
[1252.885] (S)tilia211: えぇ・・・
[1253.126] yoshikawa_yo: www
[1254.407] 4jou_half: ｗｗｗｗｗｗｗ
[1255.438] kituneudon0727: ぬるくならない持ち方？
[1255.600] enuemu3: wwwww
[1257.224] teruharu_: w
[1260.889] animarotta: 補給
[1260.947] v_harumi_v: 面白すぎるｗ
[1262.457] neon_d99: 裕次郎がやりそう
[1263.670] mogai555: もうのみたくてしょうがないじゃん
[1263.810] みんら: ショットガン飲みする承太郎ぐらいすごい
[1264.487] fin_fannel: それモンスターの握り方
[1264.713] いがぐりころころ: やべぇw
[1264.723] ddb365: 流し込む
[1266.637] puriea: うめちゃんはいつからお酒好きなの
[1267.050] ロンロ: 拾った金で飲んでるパターンや
[1267.075] LEE4646: ソノ飲み方はたしかにｗ
[1267.644] kituneudon0727: ワイン持ち
[1267.707] スクルドちゃん: ロング缶ストローだったらメンヘラになれた
[1269.435] 4jou_half: 強いやつの飲み方
[1269.720] アンインストール: アル中時代
[1269.768] もきち555: 握れなかったのかｗ
[1271.668] のぞみくん: ウメ持ち
[1272.392] kebiisi: 疲れたおじさんw
[1275.748] ビフィダス: ww
[1278.664] hanao_t: 街道沿いのコンビニって元をたどれば昔の茶屋跡にできてたりするからおもしろい
[1280.275] しいたけもぐもぐ: 流石に？
[1283.893] mogai555: 最後握りつぶしてそうお
[1284.530] (S)EDN3rd: 3つの袋楽しみですね
[1288.386] v_harumi_v: 強そうな敵が飲みそうなスタイル
[1293.260] (S)noriakiisreal: 握れないタイプの手に進化した生き物の持ち方
[1295.304] porcupinepine: ｺﾞｯｺﾞｯｺﾞｯ ﾊﾟｷｷ ﾌﾟﾊｰ
[1302.234] mifune1046: へぇー
[1308.479] ビフィダス: 承太郎みたいな
[1309.769] kalfo2051: へーへー
[1316.912] nosveral: 電話のない 90 年代の世界を想像してみてください
[1318.824] yoshikawa_yo: はや
[1318.968] lun__01: 昔は歩きだったからねえ
[1322.793] x_abu_xx: ワープ完了
[1322.915] fin_fannel: おわた
[1324.110] ふかしいもん: ワープ終わりそう？
[1324.743] hanao_t: 単に土地の問題だったりするかもしれませんが
[1325.194] てつのすけ_: 着いてしまった
[1326.741] mixvegi: あーす
[1326.753] kiichang: 料金請求されるゾ
[1329.186] さっぽさんぽ: 39.898725, 141.096461
[1332.401] (S)黒猫くん: もうワープ終わりかぁ
[1333.132] kebiisi: NPCありがとー
[1338.277] (S)aki__aki: もうワープ終了？
[1339.132] weeep1: 1000Gぐらい取られそう
[1339.716] LEE4646: 旅の扉の役目のNPCさん
[1339.747] さっぽさんぽ: ファミリーマート 西根大更店
[1341.291] 4jou_half: ほんのひと時の休息でも助かるね
[1342.042] アンインストール: バックうめえ！
[1342.898] v_harumi_v: ワープ終わったのね
[1343.291] (S)kkshkk: 腰重そう
[1343.577] みんら: 馬車ありがとー
[1345.027] kitori_17: 「旅のもの、気をつけていくのだぞ」
[1345.457] forthemoment_elt: 何ゴールド？
[1345.999] chin_56_: 払えないだって？じゃあここで死ね！
[1346.181] スクルドちゃん: 割り増し料金来るぞ
[1346.519] v_harumi_v: はやーい
[1347.689] umesecond: ローソンだけは無理
[1349.460] shifoncafe: 座標助かる
[1349.718] lun__01: NPCありがとー
[1351.507] fin_fannel: 「5万円いただきます」
[1353.801] akitama0224: 車ってホント便利だな
[1360.612] qq_taro: ありがとー
[1361.933] ~MISSING_COMMENTER_INFO~: いってらっしゃい
[1363.706] taroumaruh: 3億円になります
[1373.588] hoehoeR: discord部屋入れません。どこへ連絡すればいいですか
[1376.287] Mrk111: あ♡セブンのコーヒー飲も♡
[1377.027] takahashiseigi: ドラクエでいう、魔法の絨毯
[1378.912] (S)yukke85: ウメ
[1381.237] (S)hodanonn: KSK運送ありがとう
[1381.328] 新ころりん: シュートのウメ塩
[1382.493] もきち555: ウメ
[1383.706] mifune1046: なんだその目は！！
[1387.208] kitori_17: ウメちゃん膝はもう捧げちゃった？
[1391.390] (S)dj0d4y4k4: ウメソル
[1391.654] fin_fannel: クソがw
[1393.556] 4jou_half: 運送料は何億円ですか？
[1393.881] ファーペン: ウメソルティアンチやんけ
[1409.175] minaro331: ウメソルで画面寄せよう
[1409.487] もきち555: さっきより町なのかな
[1411.088] てつのすけ_: あと少しふぁいとー
[1416.179] 小次郎_: ごみってどう処分するの？
[1416.476] 000105: あ
[1416.580] sakai_jin2020: こわ
[1416.671] (S)taku_yzfr1: 梅ちゃんそろそろどこかでえいたに軽くお灸すえないと致命傷になるかもよ
[1417.629] しずさん: こわ
[1418.828] (S)hodanonn: きたね
[1420.735] puertoescondidomota: 石井
[1420.909] sunu_p: 石井プロこわいわ
[1421.160] yoshikawa_yo: きったねw
[1421.182] (S)Ryozeki: プロチラ
[1422.067] fin_fannel: きたねーw
[1422.099] (S)inkgran: 石井プロこっわ
[1422.268] kituneudon0727: 下に誰かいるのかと思ってびびった
[1422.331] ddb365: 石井プロが
[1422.435] (S)omochi1111: isii
[1422.657] のぞみくん: いしい
[1423.026] ライム_: 石井いなかった？
[1423.026] てつのすけ_: きたねー車だ
[1423.058] chamomile21: 石井プロいたあ
[1423.275] (S)Maloneal: 石井
[1423.478] (S)ｾﾀﾒﾝ: うっすら石井
[1423.789] ~MISSING_COMMENTER_INFO~: ゴミごみ
[1424.135] akaao123: ゴミが落ちてる
[1424.432] forthemoment_elt: 石井w
[1424.602] Mrk111: 下に誰かいるのかと思った
[1424.615] さきがみ: プロちら
[1424.779] mogai555: ホラー映画のアングル
[1424.786] (S)penwood202: 石井プロが見ている…
[1425.988] しいたけもぐもぐ: 石井さんの位牌が
[1426.519] いがぐりころころ: 石井プロ
[1427.486] 4jou_half: プロチラ
[1427.751] (S)taku_yzfr1: しのさんあたりから怒られそう
[1428.311] lun__01: なんかおったw
[1428.387] アンインストール: なんか奥に口が見えた
[1430.444] (S)しゅごいよ: ホラーやん
[1434.950] ラリメモ: 今病院行ってたんだけどどんな状況？
[1436.188] (S)黒光り肉の: Dいるかー？
[1436.604] ddb365: 石井チラ
[1438.180] kitori_17: 降りたくないでござる
[1438.424] chin_56_: ゴミプロ
[1439.684] xxzoids: 石井プロ、ホラーだね。
[1441.299] yoshikawa_yo: D…？
[1441.418] (S)kkshkk: だから昨日片付けとけば
[1441.858] (S)ｾﾀﾒﾝ: まあ男だらけならこんなもん
[1442.874] mifune1046: レンタカーくっさくなりそう🙂
[1444.419] kituneudon0727: リゾートバイト映画化
[1446.471] (S)shinobuchan4649: 一階座るとキツいな
[1452.359] 閃光の: 九人目の仲間
[1456.880] Mrk111: レンタカーなの？
[1457.616] (S)hodanonn: おじ臭半端なさそう
[1457.732] neon_d99: 草
[1464.355] さきがみ: 一番におりるえいた、ええな
[1464.437] (S)machakyuro: その車うらっ返してバンバンしたいｗ
[1466.349] kuzziraaa: 靴下の匂いしそう
[1476.915] rxz_2017: KSKママの香り
[1480.214] (S)Ryozeki: 部室みたいな臭いしそう
[1481.124] tounyu_dayo: とても臭そうです・・
[1481.854] sakai_jin2020: おっさんの匂いMAX
[1485.335] ssGRiDM4N: 八幡平のどこがゴールなんですか？
[1487.047] porcupinepine: 大男が寝泊まりしてるけど無臭
[1491.335] mogai555: 車も黄砂だらけだったね
[1492.701] (S)hodanonn: KSKならできそう
[1498.811] spica1987: 今日で200kmくらい歩いたことになるんか
[1503.031] maruto2023: 実はいい匂いだったり
[1504.796] mifune1046: みんな着替えどうしてるの？7日分持ってきたの？
[1505.071] ca2ca2: さっき差し入れしたものだけどいい匂いだった
[1505.432] chin_56_: 封筒舞いそう
[1506.276] (S)kireboshibasyato: わんこそばのババァに頼むしかない
[1507.095] kituneudon0727: 高圧洗浄機かけたい
[1518.089] のらねこさん: 洗濯してるんかね
[1521.600] 閃光の: ずっと一緒やから気付かへんのちゃうか？
[1522.799] 4jou_half: 継続は力なりですわ
[1525.800] ラリメモ: 今第4チェックポイント到着したところ？
[1525.842] ノイきち: @100ぐらい？？
[1535.137] (S)aki__aki: コインランドリーとか利用してるね
[1542.014] のってる: ワープが全部で65kmあるから100切ってるよ
[1546.543] 記入漏れ: 昨日は10kmちょっとだから、200は歩いた距離ではない
[1549.748] aranami0: がんばれー
[1551.171] スクルドちゃん: 今更なんだけどジャンル雑談じゃなくて旅行アウトドアじゃないんや
[1553.871] spring__thief: さよならDになるのか
[1554.844] umesecond: 限界か？
[1554.934] (S)foo_twitch: Dが昇天してるかと
[1555.296] chamomile21: Dがんばえ〜
[1555.384] のぞみくん: だんご…
[1556.830] kitori_17: テヘペロ
[1561.267] アンインストール: 髪が！
[1561.372] ファーペン: ぽりだんご
[1562.075] (S)hodanonn: ここで一句
[1566.535] porcupinepine: あーでちゃったか
[1575.568] erukima: だんごさんもうあかんかも
[1578.030] ごまさんです: あーしんどいな
[1592.634] lclc98765: ジャンル 旅行アウトドアのほうがいいね
[1592.801] 記入漏れ: 余裕がないならリタイヤ一考かと
[1594.486] (S)憂う者の弟子: 走るぞー”
[1595.548] mifune1046: Dどうしてグラサンしてるの？
[1596.935] もきち555: 夜道になったら車乗っちゃお
[1600.639] umesecond: つらそうやなｗ
[1600.830] spring__thief: ここにきての脱落はダメージでかいな
[1601.649] てつのすけ_: 19時過ぎかー
[1602.002] _ピート_: 一時間で休憩でしょ
[1603.273] のらねこさん: 足首いってるかもな
[1606.061] chin_56_: なげやりになってない
[1606.264] さっぽさんぽ: 北森駅まで8ｋｍほど
[1607.218] のぞみくん: だんごがんばって
[1608.931] ラリメモ: 誰か軽くで良いから状況教えて～
[1609.304] (S)ｾﾀﾒﾝ: 10kmだと松尾八幡平駅周辺かな？
[1614.684] 65vr39: だんご頑張れ
[1616.360] プーゴリちゃん: D脂汗でてるからやばそう
[1616.394] (S)ｾﾀﾒﾝ: 北森か
[1628.495] kitori_17: アールさんだー
[1629.777] (S)dufushi: ダンゴさんのラストウォークとなるか…？
[1629.781] (S)Hiclere: 2時間半くらいかな
[1630.922] (S)pinkdark01: がんごだんばれ
[1630.941] act_ruka: え、いま北森の近くにいんの？
[1634.345] アンインストール: 足湯入りたいねえ
[1638.008] ファーペン: あまいぞだんご
[1638.445] kirakiracat331: がんばれ
[1640.898] shir039: かーしわぎぃ⤴︎
[1641.054] (S)黒光り肉の: D至るの意志を継いでくれー
[1641.393] LEE4646: がんばって！
[1642.455] zyangara2: みんながんばって
[1644.890] puertoescondidomota: リタイアしますって言うだけや
[1647.190] (S)えー氏: Dがんばえー
[1648.040] nakanohito_22: 結局アールの足腫れてたやつはなんだったん？
[1648.712] もきち555: 最近カシワギなくてさみしい
[1648.977] mahiro_8: だんごれ
[1649.673] マーサマーサ: 満身創痍
[1649.906] yoshikawa_yo: ユーモア伸びてきてるぞD
[1649.985] chanmipoin: でもそろそろ死体見たいな😃
[1653.542] puriea: シュートパーマかけてるの？
[1655.049] matumatu777: ヘッドライトとか持っててね
[1657.436] redbull_athlete_2020: ファイ㌧だゆ！
[1658.315] teruharu_: お気をつけて
[1665.457] lun__01: 折笠の形見
[1668.236] 4jou_half: 連れてかねーとな、あいつの杖
[1668.369] さっぽさんぽ: 今はファミリーマート西根大更店
[1668.522] 記入漏れ: 10kmだと良くて2時間半、どうぞ無理だけないように
[1673.476] (S)えー氏: 呪いを超えて行けー
[1674.624] nikorinko: くれたｗ（自分で買った
[1676.041] mifune1046: 折笠さん最終日きてくれるかな？？
[1676.998] uhpa84: 死に至る杖
[1678.175] みんら: ハンサムも天から見守ってくれている
[1678.241] spica1987: 呪いの杖な
[1678.581] のぞみくん: だんごいなくなったら寂しいよ
[1679.001] (S)shinobuchan4649: ウメちゃん眠そう
[1680.457] ~MISSING_COMMENTER_INFO~: 懐中電灯は？
[1681.354] spring__thief: えいたがここまで残るとは思わなかった
[1689.528] kitori_17: ウメ膝どうにか
[1689.913] datyuranosuke: 北森って宿あんの
[1691.402] tabibitox: かしわぎぃ
[1693.817] ビフィダス: ホテルあるの？
[1697.520] (S)がーこ: えいたにぎやかして
[1697.791] (S)fahmy0825: KSK goes straight to sleep
[1697.963] ~MISSING_COMMENTER_INFO~: そして寝るけーすけ
[1700.498] porcupinepine: 一週間この生活だもんなよくやってるよ
[1700.595] さっぽさんぽ: 宿は安比高原
[1702.009] のぞみくん: ｶｼﾜｷﾞｨ
[1703.502] sakai_jin2020: あいつもう寝るぞ
[1706.713] (S)hodanonn: 折笠さんもう骨になってる頃
[1707.226] yoshikawa_yo: 降らないでくれー
[1707.800] (S)ｾﾀﾒﾝ: 安比までワープ就寝
[1708.735] act_ruka: 北森は宿ないよ・・・安比高原までいかんと
[1709.109] (S)闘劇のアルベルト: ｽﾔｱ 
[1709.210] neon_d99: ゴールの後車でホテルに移動って言ってたような
[1711.475] LEE4646: 杖導入の決断はナイス決断だった
[1715.153] v_harumi_v: 雨ふりませんよーに
[1718.893] takahashiseigi: 靴は何足か既に履き潰しました？
[1719.516] spica1987: アールさんなんでさっき単独になったの？
[1720.628] poposuke: 宿は安比高原のほうだっけ
[1727.946] ~MISSING_COMMENTER_INFO~: 野田さんありがとう
[1728.789] sakai_jin2020: 黄砂やべえ
[1728.865] shir039: 足つる人がでないのすごい
[1729.396] (S)闘劇のアルベルト: きったね
[1731.771] ファーペン: ペース合わせられなくなったらピンチか
[1734.925] のぞみくん: ㌃さんがんばって
[1735.788] potocki1810: 電灯と反射板おもちでしょうか？
[1737.059] kitori_17: 健脚ですねアールさん
[1737.092] act_ruka: でも安比高原まで来た森からでも１０ｋｍ以上あるで
[1738.372] neon_d99: 心の距離も？
[1740.665] (S)foo_twitch: ゴール地点から宿泊地点まではワープ
[1741.894] (S)ぬこごぼう: けっぱれ
[1750.262] shir039: ー←どこにおこうかなぁ？
[1752.036] puriea: アールさん好きです
[1752.318] toriger_: これお金って全部うめちゃん持ちなん？
[1755.764] spica1987: たしかにペースメーカー大事
[1756.235] 4jou_half: 流石武神流の健脚
[1760.510] (S)くえんち: ｗｗｗｗｗ
[1761.472] itokoba11058: 草
[1763.010] woo00001: 歩道もボコボコしてると思うから気をつけてください
[1763.187] v_harumi_v: ですねぇ
[1763.603] zyangara2: しみじみｗ
[1763.971] chin_56_: いまさらやな
[1764.187] maruto2023: ww
[1764.429] sakai_jin2020: 今更だねえ
[1765.528] aranami0: 長いねぇ
[1765.627] iwaisi: ｗｗ
[1765.753] (S)ｾﾀﾒﾝ: 一週間経ってその結論
[1766.892] akaao123: しみじみ
[1767.429] 4jou_half: 今更過ぎるｗ
[1767.859] (S)gazesd: umeGrin
[1768.724] (S)happy_happy_888: だんごさんと、カフェさんって元々どんな関係ですか？
[1769.702] spica1987: ウメちゃんが強がり言わなくなったな
[1769.715] kitori_17: あなたが企画したんですよｗ
[1770.303] yoshikawa_yo: 今更だからこそ
[1770.841] lun__01: めちゃくちゃ歩く
[1771.287] koudai715: 長いですねぁ
[1774.065] (S)メタルぱんだ: 誰だよ、こんな企画考えたヤツ・・・
[1774.241] のぞみくん: 旅はまだ続く
[1774.447] habutaedango: 今更だねえ
[1774.666] てつのすけ_: よし！ここで終わろ！
[1776.312] maruto2023: ほんとに今更ｗ
[1776.600] largsrn: 三日
[1776.663] (S)泣き虫サクラ: 振り返るようになったのか
[1776.753] アンインストール: 景色が変わらんね
[1776.822] あまる_333: 昔の人はすごいねえ
[1777.171] icyblue1985: なげえｗ
[1778.279] korekiyo696: もうちょい
[1778.586] beehive3: 長いねぇ
[1779.807] neon_d99: やべえな
[1781.099] tabibitox: 今更だなｗ
[1781.116] v_harumi_v: ｗｗｗ
[1781.238] (S)しゅごいよ: なっが
[1781.414] hosp1990: ｗｗ
[1781.590] aranami0: ｗｗｗ
[1781.717] (S)eddiedayon: おそろしい……
[1781.825] 芋之山: ゴール見えてくると寂しくならない？
[1781.883] LEE4646: ｗｗ
[1783.037] 4jou_half: ｗｗｗｗｗ
[1783.119] ファーペン: しぬｗ
[1783.819] x_abu_xx: バイやw
[1784.913] potocki1810: ６００ｗ
[1785.235] chachachakoma: ｗｗｗｗｗ
[1785.425] (S)hodanonn: ｗｗｗｗｗ
[1785.763] Ceciltaisa: 企画者が何か言ってるぞｗ
[1786.181] umesecond: ２週間で！
[1786.427] (S)gazesd: 馬鹿野郎
[1787.161] (S)tilia211: 600はもう大事件起きてたね
[1787.344] (S)やすぽこ: (笑)
[1788.949] potesaraudon: 東京から歩く気だったの？ｗ
[1789.457] (S)shinobuchan4649: 半年に一回やろう
[1790.048] (S)ronamu22: 歩いたねぇ
[1791.213] LEE4646: 初めのやり取りを今見ると面白いよなｗ
[1791.408] taroumaruh: 最初は余裕って豪語してたんだよなぁｗ
[1791.421] rxz_2017: 理解った
[1791.449] さっぽさんぽ: 東京からは無理ｗｗｗ
[1792.613] sanoakira_no009: 600km
[1792.941] beehive3: まじ狂ってた
[1793.113] ima_son: でも終わったら、あっという間だったってなる
[1794.027] chin_56_: ばかやろつって
[1794.350] みんら: 伊能忠敬も気絶するレベル
[1795.284] sakai_jin2020: お遍路が1400だから平気平気
[1795.403] lun__01: 道半ばかw
[1796.738] (S)hodanonn: 実感こもってるぅ
[1797.070] (S)ys120: 止めてくれた折笠さんももういない・・・
[1797.467] kitori_17: 休みなしだもん、そりゃ長い
[1799.894] てつのすけ_: 来月またやろー
[1799.916] ebikatsu39: ただの花見のためにｗ
[1800.508] (S)ｾﾀﾒﾝ: 仙台駅から最短で202ｋｍ地点
[1801.484] GelidiumJellyCat: umeFail
[1801.905] habutaedango: よく頑張ってる
[1802.148] まりんらぶ: ピッチャーみたいに休む日がないと…
[1802.579] tabibitox: 妥協して仙台スタートだったけど、盛岡スタートくらいでよかったなｗ
[1803.184] ame512: 止めてくれて感謝しかない
[1806.641] (S)hodanonn: あたおか
[1807.288] forthemoment_elt: ハンサム何人捧げたらいけるかな…
[1809.522] 閃光の: なんのために歩くのかもう一回確認してほしいです
[1810.588] (S)maya_g01: ご安全に～
[1810.956] pengetop: 1400㎞ぐらい
[1810.965] (S)ノア1844: でも45日ですよ
[1811.907] 28282525: お遍路は1ヶ月ぐらい歩くぞ
[1812.395] 記入漏れ: 600kmのままスタートしてたら企画破綻してたねｗ
[1812.818] Sorachan1144: 一日目が懐かしい
[1813.731] aranami0: この企画が終わったらロスになりそう
[1813.938] ~MISSING_COMMENTER_INFO~: 感慨深いものが
[1813.980] 紺青: 1400だったっけ
[1814.489] demonbane_twosword: 久々の生視聴だー 600km言ってたね
[1815.200] Acidrock43: bangkok samui 39C -_-"
[1816.735] (S)ノア1844: 20-30
[1817.386] Mrk111: ロードバイクでもきつい行程だよこれは
[1821.681] (S)kkshkk: お遍路1400すごいね
[1824.229] ebifuryai: でも終わって数日後またやりたくなってそう
[1824.673] レクター泣かせ: 晴れてたら山きれいに見えるんだろうなあ
[1824.704] LEE4646: 30ｋ歩くって自体が結構無理してるｗ
[1824.930] さきがみ: 伊能忠敬がやったように地図をかいてその通りに圧縮するか
[1826.492] (S)hodanonn: リュウ味でてきたな
[1826.541] neon_d99: でも別にセーブロードしていいんでしょあれ
[1827.358] (S)mopenpen: 2ヶ月かかるぞ
[1827.493] (S)ｾﾀﾒﾝ: 1ヶ月以上かかるんじゃないっけ
[1829.390] samuraichampoo: 中段セーブしないと無理ゲーやん
[1829.828] 紺青: 次お遍路か！？
[1830.672] (S)gazesd: お遍路は山がガチだからマジできつそう
[1834.243] (S)aki__aki: お遍路さんは、マジで登山もあるからね
[1836.121] iaheunanjda: 千日回峰行
[1839.753] taroumaruh: お遍路も強行するペースと一般ペースあるから
[1839.762] (S)machakyuro: そりゃあ代行も頼みたくなるなｗ
[1839.833] lun__01: 歩くことが修行なんだよねえ
[1841.117] (S)Hiclere: それに荷物もあるからなぁやばい
[1842.206] weeep1: 山スキップとか言ってられんしな
[1844.741] (S)foo_twitch: 行だからね
[1845.059] porcupinepine: どうでしょうのお遍路は全部ワープ
[1846.254] puertoescondidomota: 頑張れ−
[1847.334] GelidiumJellyCat: アシッドも寒がってる
[1847.586] UNCHI123456: お遍路より遥かに楽過ぎぃ
[1847.880] spring__thief: どうでしょう思い出す
[1848.021] てつのすけ_: 自転車で行くお遍路もある
[1848.323] sakai_jin2020: お遍路は道も相当険しい
[1849.754] act_ruka: 今どの辺り？
[1850.342] アンインストール: でも高知県民は日本一歩く歩数少ないから観光客が歩いてます
[1852.094] habutaedango: サポートがいなかったらもっとかかってるよね
[1855.104] みんら: お遍路にKSKいたってマジ？
[1857.776] mifune1046: 伊能忠敬は35000km歩きました
[1858.842] さっぽさんぽ: 車でも回るなら水曜どうでしょうかｗ
[1859.343] Sorachan1144: 荷物ないんだよなこれで
[1862.037] act_ruka: 大更越えた？平舘？北森？
[1862.131] mogai555: しかも靴ＨＯＫＡじゃないし、、、
[1864.184] gibutzsan: 八幡平市の生協
[1870.237] ロンロ: お遍路も１日２０キロは歩くよ
[1873.137] chin_56_: 時代はワープお遍路
[1874.088] (S)tilia211: 2時間いけーい！
[1874.859] right_8: がんばってー！
[1876.396] neon_d99: 今大更付近
[1879.167] (S)shinobuchan4649: きついよなぁ
[1885.691] v_harumi_v: がんばってー
[1887.167] てつのすけ_: 美味いもん食うぞー
[1887.383] right_8: たった後、2時間
[1887.670] iaheunanjda: 真夏の富士山登頂とか見てみたいね
[1887.977] (S)闘劇のアルベルト: 元気やなあ
[1888.222] kitori_17: 暗くなっちゃうな
[1889.139] act_ruka: 大更か。ありがとう。北森までも結構あるよ
[1889.625] ふかしいもん: がんばれー
[1889.912] Mrk111: 39.899079, 141.096835
[1892.485] teruharu_: がんばれーー
[1896.214] GelidiumJellyCat: うおお
[1897.083] (S)メタルぱんだ: まだ5時前
[1897.917] (S)dufushi: もう歌はええて
[1899.694] sakai_jin2020: 声出していく
[1900.558] neon_d99: 付近は言い過ぎ化も
[1900.752] maddy2623: ソルジャードリームたのんます
[1907.478] gibutzsan: ここの整備工場無くなったんか
[1907.610] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[1907.951] lun__01: 変なテンションになってるw
[1908.580] iaheunanjda: 嵐吹くか？
[1910.438] ふかしいもん: また歌うか行軍歌
[1921.216] kitori_17: みんながんばえー
[1921.861] nosveral: 挑戦しないダイエット（森）
[1929.019] のぞみくん: にゃ～にゃにゃにゃ～🎶
[1936.798] act_ruka: あ、ここ俺の最寄りの美容院やｗ
[1941.060] sakai_jin2020: 軍隊が歌を歌う意味が分かる
[1941.541] (S)wrappin2: wrappin2 subscribed with Prime. 
[1949.279] kitori_17: 入る＝ゾーン
[1950.981] balthazar000: 暗くなった時に歩けるかどうか
[1957.605] (S)kkshkk: 休憩はきついよね
[1958.633] (S)gazesd: umeStretch
[1959.581] さっぽさんぽ: 地元民情報くれ
[1960.821] のぞみくん: ！？
[1961.702] アンインストール: ほおー！
[1962.344] miruujyu: 哀戦士、歌って
[1964.579] keroggu1: 全く想像できんわ
[1964.800] toriger_: マグロやん
[1965.135] porcupinepine: 歩きメインの身体になっちまった
[1965.200] LEE4646: 座って休むときついよね
[1966.368] sakai_jin2020: 動き出しがしんどすぎる
[1966.813] zyangara2: 一回止まるとキツイ
[1967.384] (S)しゅごいよ: おかしくなってきてるね
[1971.253] bitbitas: え、また歌うの？
[1971.469] showsbsp: 前ステし続ける意志力
[1972.083] porcupinepine: 回遊魚なんだわ
[1973.092] (S)ノア1844: 明るさダイジョブうですかね
[1973.425] tounyu_dayo: 通常状態が歩きになってる
[1975.066] seikeihanaobasan: 筋肉曲げるのきつくなってるからね
[1977.983] act_ruka: このさき、ホーマックとかマックスバリューあるからそこで休憩しとき。向いに飯屋もある
[1979.493] (S)ｾﾀﾒﾝ: もう体が歩きに特化しだしてきたか
[1979.840] balthazar000: 19時まで歩いて、車移動して、ホテルイン？
[1983.836] showsbsp: あ、歌は大丈夫っす。
[1993.278] (S)pung_pung_ouji: 懐中電灯とかもらった？
[1995.983] kaworuko19: 雨は大丈夫だったっぽいね
[2005.400] (S)闘劇のアルベルト: 結局雨降らなかったね
[2006.914] showsbsp: 雨降らないといいですねぇ。
[2021.863] ca2ca2: この後中学生めっちゃくるよ
[2028.066] 閃光の: アールさんはスト6で誰使いますか？
[2028.934] keroggu1: 雨回避偉い
[2029.557] balthazar000: 歩くルートじゃなかったんだね
[2033.667] (S)hone253: 永遠の悪魔出てたか
[2038.475] kgt6996: アール氏
[2045.270] (S)tom236n236p: シュート、めっちゃだんごさんサポートしててあったけえ
[2050.146] kgt6996: 梅氏いいコンビ
[2050.948] (S)ノア1844: ライト貰いましたか？
[2051.969] paul1984jp: ある程度アップダウンあって景色も変わらないと地獄だよ
[2065.444] balthazar000: アールさんは以前鎌倉散歩の写真公開していたよね？
[2067.053] アンインストール: ゴジラの滑り台懐かしいな
[2068.177] Phenomer: 今日は晩飯きまった？
[2077.586] (S)ｾﾀﾒﾝ: 到着19時くらいだと真っ暗やろな
[2087.934] (S)黒光り肉の: 息子
[2090.962] forthemoment_elt: 急に始まる
[2097.630] cochi5: 1？
[2099.112] (S)gazesd: 1はね
[2099.416] (S)hone253: 1は生まれる前に、2は子供のうちに
[2099.735] halhiko9000: 一作目はそうやね
[2099.803] maruto2023: お母さんはがんばる
[2100.585] アンインストール: １は母親狙い
[2101.939] gibutzsan: 安比高原まで行く感じ？
[2103.501] AtomPeter: 息子のジョンコナーを殺しにきてる
[2104.361] np2np: 出産しないように
[2105.470] pandasan_power: お母さんだよ
[2105.760] chukasoba: 1は母親
[2106.922] balthazar000: １は母親じゃない？
[2107.755] arito_bk: ターミネーター１はお母さんを殺しに行ったよ
[2109.680] neon_d99: 1は母さん
[2110.054] x_abu_xx: 1は主人公の母親を、2は息子を
[2110.381] showsbsp: そう反乱軍のリーダーになるからその前に親を倒しに来た
[2111.887] (S)machakyuro: 母親であってる
[2111.903] pengetop: 1は母親 2は主人公
[2120.994] seikeihanaobasan: ジョン・コナー
[2126.235] まりんらぶ: ターミネーター2は男の子
[2130.493] miruujyu: 母と子孫がまぐわるやつ
[2130.624] daruma2597: サラコナーか懐かしー
[2133.391] (S)闘劇のアルベルト: いない
[2136.747] balthazar000: 生まれる前
[2137.223] pandasan_power: まだいない
[2142.212] kaigaizei: 母親を殺しに行ったら子作りしちゃってむしろ生まれた話が1
[2143.873] showsbsp: 「ゲー？セン？」
[2144.807] arito_bk: 反乱軍側がお母さんにジョンを生ませようとしてマシーン側はそれを阻止しようとした
[2147.593] itokoba11058: シーンにはほぼ出てこないね
[2147.955] chin_56_: 液体金属やばい強かったよな
[2151.847] 小次郎_: ｗｗ
[2152.041] samuraichampoo: スカイネット
[2153.268] 桜風かなた: 産む前に母をやっつけようとした
[2154.179] (S)闘劇のアルベルト: まあそうね
[2158.051] GelidiumJellyCat: あざまーす
[2158.781] neon_d99: グッドマナー
[2159.649] (S)tilia211: 応援ｯｹｲ!
[2159.682] (S)foo_twitch: 続編もリブート失敗し続けてる
[2160.132] (S)hone253: ありがと～～～
[2161.520] ビフィダス: ファーロングな
[2162.442] ishiwata1234: T1000怖かったなぁ
