[20.299] suhifire: おそーいｗ
[2142.142] yousuke778: この人結構リバ使ってる
[2144.335] BrokenJP: 繊細
[2144.748] ひろみつー: これはたかしじゃねえ！
[2145.747] Natsuri_k: ゴリラとは思えない繊細さ
[2146.144] feel2525: だお
[2147.887] (S)ミジンコ隊長: だお
[2149.468] twitchyarutch: ﾂﾈﾆ学んでいく
[2150.145] mutant_dogg: だお
[2151.756] kinkinouzi: だお
[2151.961] Nickflamer: why didn't daigo participate ? :s
[2152.373] (S)やまゆ: 確かにｗ
[2152.968] HirocoT: ｗ
[2153.137] (S)gyu_nyuu_pann: だおっ
[2154.256] あにあにくん: 今更ですが3ゲージとCAって何が違うんですか？
[2155.270] maddy2623: さすがゴリラきたない
[2156.169] suginaka56: DAO
[2156.334] (S)You_nari: そこ？www
[2157.278] yuuubin: ランクマもやってないし
[2157.497] (S)gyu_nyuu_pann: たしかにー
[2158.391] usa451: 実際はトレも
[2158.939] 母の日ですお母さんに: ちゃんこぉ！
[2160.763] sugarsato_: ステージは観戦側の設定だからｗ
[2162.030] hukohuko: ステージは違うんじゃないか
[2163.430] guest324438: 王だお
[2166.718] (S)~MISSING_COMMENTER_INFO~: リュウ触りたくなった？
[2167.172] (S)きしー: 色にもこだわっています
[2167.409] peperon17: 画面はそれぞれ違うから
[2168.082] (S)hitmehitme: ステージは観戦と違うから
[2168.945] (S)morinagasyuya: 選手はトレモでやってるから大丈夫
[2170.035] ゲシュペン: 丁寧なリュウだなぁ
[2170.629] inuinunek0nek0: さすが森の賢人
[2170.863] titilrin: ゴリラは森の賢人っていうくらいだからなー
[2170.883] TEIKETTO: ゴリ要素どこお
[2172.473] sovianix: このゴリ３キャラ使えます
[2175.357] np2np: ステージはトレモなんだよねぇ
[2178.318] ei1eN: この組み合わせは五分？
[2178.388] wakebera6k: ゴリ無双なのに背景に擬態する
[2183.869] たあぼ0126: へー
[2184.901] soutyanneruuu: レンガじぇねえしな
[2185.900] qwer______: 五里夢想
[2186.186] BrokenJP: DR
[2186.826] hanamarukii: ルークは小Kラッシュ仕込みめっちゃ多いですよね
[2187.735] sussy_int: しんじゃうDR・・・！
[2188.730] aranami0: うま
[2189.619] Coedawg: naru04Nltu
[2190.552] あり0221: 死んじゃう昇竜
[2191.021] (S)latenight000: ガードで小足ラッシュ出しちゃうとSA3が確定か
[2191.757] Nao_iwt222: 当人たちはトレモステージ
[2191.864] TEIKETTO: 死んじゃうツモ
[2191.976] goroutai: しんじゃうしんじゃうしんじゃうわ
[2193.331] ぼむむ: 死んじゃうツモぉぉぉ
[2193.796] perushi8: ｗ
[2195.506] zakkn: なんて？ｗ
[2208.383] BrokenJP: G7岸田
[2208.769] (S)ミジンコ隊長: あー
[2209.257] zakkn: きしだああああ
[2209.385] だいこん_: いいバクステ
[2210.330] feel2525: 岸田！
[2210.795] maddy2623: 行くしか無い、駆け抜けるしかない状況！
[2210.948] akira_s_: 猩猩
[2214.017] (S)hitmehitme: きしー
[2214.257] 157655: 破天荒モード
[2215.002] (S)ミジンコ隊長: きしだぁ！
[2216.574] (S)gyu_nyuu_pann: 破天荒しろ！！
[2216.797] vector_56: 増税だぁ
[2223.180] zakkn: 検討していけ
[2223.830] soutyanneruuu: ルークの小ｋは判定がちでつええ
[2226.531] 1108044k: 岸田の玉
[2226.645] (S)You_nari: 岸田って言いたいだけwwww
[2227.574] 503_win: 岸田の○○
[2228.662] ei1eN: 岸田部屋の岸田
[2229.910] tentough: 検討
[2233.227] aranami0: えええ
[2234.230] BrokenJP: しっかりとKOして参ります
[2235.354] (S)gazesd: おじちぇ
[2235.388] jagajaga1943: 多分ミスｗ
[2238.754] ddb365: G７の話からの岸田
[2238.942] (S)gyu_nyuu_pann: おおお
[2239.176] ひろみつー: 岸ちゃん
[2239.464] mohita_3: 岸チャン
[2239.867] (S)ミジンコ隊長: いきなり中段
[2240.413] (S)You_nari: きしちょ
[2241.372] hiro_chan: きしチョップ
[2243.169] shibaponz: 狙ってやってるならすごい
[2243.448] 天然ベニテングダケ: おじチェック
[2243.721] feel2525: 岸チョップ
[2244.640] foo_twitch: ホンダのエクスカリバー
[2251.960] jigokunonekomatu: もう海外勢しかGO1って呼んでない岸田さん
[2263.667] 黒猫くん: ウメさん岸田のこと好き？
[2266.719] natsume1313: スト6ほんと見てておもしろい
[2267.127] maddy2623: コレは厳しい
[2269.971] ひろみつー: 仕上がってるなー
[2270.015] aranami0: つええぞ岸ちゃん
[2273.401] (S)latenight000: 小足ラッシュは今ではガードでも通用しちゃってるねぇ
[2273.913] gaga_u4x: www
[2276.167] feel2525: ｗｗｗ
[2276.214] aranami0: ｗｗｗｗｗ
[2277.198] レム__: でたー
[2278.254] tabibitox: やってるｗ
[2278.466] bunkichi23: ｗｗｗｗｗｗｗｗ
[2279.229] ゆや96: でたー
[2279.326] (S)ミジンコ隊長: やってる
[2280.973] usa451: 立川
[2281.957] nihonsyu_: www
[2282.356] (S)hitmehitme: ODきしちょ
[2282.382] zakkn: かちたいんじゃああ
[2282.623] あり0221: えいた式
[2283.978] feel2525: 勝ちたい中段
[2284.038] (S)日本語かな: えいた
[2284.329] pandasan_power: えいた式
[2284.540] (S)gyu_nyuu_pann: わぁー
[2284.775] akira_s_: 勝ちたいんや
[2284.926] jigen0104: えいたかよ
[2285.053] 田中山田鈴木: 執拗な中段狙いw
[2285.524] (S)funacchi15: www
[2285.715] (S)You_nari: かちたいきーっく
[2285.819] (S)chinnen1: えいたみたいだった
[2286.594] クラクラ777: かちがたがりすぎいいい
[2288.367] taroumaruh: 勝ちたがり
[2289.031] mohita_3: 勝ちたい～～
[2289.423] (S)ヘイヨー: 勝ちたいアタック!
[2294.454] nnmdfs: 意外と立てないインパラー
[2296.104] (S)きしー: 誰が優勝候補ですか？
[2298.163] shomarusan: ラッシュ中断と下段の択って、見てから立ってるのかな
[2300.150] りゅしか: ガン待ちから奇襲
[2305.419] tabibitox: キャミィのスピンナックルにも勝てる
[2305.528] (M)(S)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[2306.516] King_Fuudo: リュウ意外とありか？
[2308.835] (S)nagasaki3662: さすなお
[2313.072] maddy2623: 目の付け所が違う
[2313.186] naginagi99: sakoさんなんだよなあ
[2314.817] nihonsyu_: なおくんｗ
[2314.830] akira_s_: さすがやで
[2315.711] taroumaruh: いけるで
[2315.920] mukade3: けんきにも教えてあげて
[2315.990] (S)gazesd: なおくんやねえ
[2316.118] (S)gyu_nyuu_pann: さすが
[2316.641] (S)ミジンコ隊長: なおくんすごい
[2316.880] gaga_u4x: 勝ってなんぼ！
[2318.065] ひろみつー: ナオくんすごい
[2319.267] aranami0: ベッドで寝ない男
[2319.531] (S)morinagasyuya: さすsako
[2320.113] 1108044k: ベータ勢だからね
[2321.648] BrokenJP: ウメちゃんとなおくん
[2322.814] レム__: コンボ用かと思いきやフェイントにも使えた
[2324.580] (S)蝉時雨: あら〜
[2326.930] jigojigo: なおくんって開発力あるよね
[2328.197] goroutai: フェイントやで
[2328.384] (S)gyu_nyuu_pann: キャンプ中のなおくん
[2329.732] mike__neko: お邪魔します～
[2332.178] kabicha000: なおくん呼び毎回くすっとくる
[2333.567] akira_s_: 岸田ー
[2333.936] foo_twitch: 面白すぎて床で寝る勢のなおくん
[2337.373] maddy2623: sakoさんですらJPはやりすぎって言ってプレイやめた
[2339.159] titilrin: なおスペ
[2340.592] (S)latenight000: 実はね、あるよね
[2342.222] guruguruwan: 塊
[2343.381] (S)donachan: LUL
[2344.915] natsume1313: sakoさんまじ一生ハブいるよね
[2345.221] naginagi99: sakoしかやってこないやつあるからねｗ
[2348.513] sussy_int: しかもうれしそうに教えてくれるからなおくんすき
[2349.162] gorilla_osaka: あるとかのレベルじゃない
[2350.222] kuuso1: スト６フィジカルのために春麗選ぶ男
[2352.739] レム__: sakoスペ
[2352.775] wakebera6k: むしろそこが一番の強みまである
[2355.064] 157655: 開発して勧めてくる
[2357.469] ~MISSING_COMMENTER_INFO~: くんをつけろよで、こすけ野郎！
[2358.221] babaVulcan: どんどん岸田が堅くなっていく
[2359.124] taroumaruh: スト6でsakoスペでてくるまである
[2360.603] (S)junjamaica: ごーちゃん配信しながらやってるから繋ごうw
[2361.345] (S)蝉時雨: あるよね〜とかじゃない、塊
[2362.600] shoedini: is Diago in this tourney?
[2367.035] (S)funacchi15: ゴリさんがんばれー！
[2369.057] (S)osarusan26: でも今の時代開発力ある人って簡単に真似されるからちょっと可哀相
[2370.588] suzukisuzu: 1日17時間やってるからねなおくん
[2370.606] pandasan_power: 開発勢なのに何故か強いのがなお
[2371.038] ぼむむ: カゲあるで！
[2374.830] 桜風かなた: そのうえでだれも再現できないものもあると。
[2375.589] (S)noriyuki3: これめっちゃ強いで
[2380.006] 残り8万: 対戦よりトレモのほうが好きななおくん
[2380.027] tamanegi30: 開発してニコニコしながら「これええでｗ」って勧めてくるなおくん
[2384.238] naginagi99: sakoさん今ゲーム部屋にキャンプしてるから
[2384.517] jackxxx321: is daigo in this tournament?
[2388.017] (S)蝉時雨: sakoが触ったキャラ大体弱くなってる
[2389.896] gajpmwtdpw: 66が出ない
[2396.760] KronoKat: @shoedini diago is not, and neither is daigo
[2397.658] ei1eN: リュウどうして・・・
[2401.902] (S)northernpike777: リュウすることなくない？
[2402.208] ひろみつー: 厳しいー
[2402.564] (S)蝉時雨: カゲはあれやけど
[2406.307] (S)nagasaki3662: たかし
[2406.392] tyapa95: 追いかける展開がきつい
[2407.870] shiemi483: この小足ぴっぴモードの対処法は…
[2408.258] zakkn: きつくなってきたかあ
[2423.927] mikaze0001: 大須さん誘いませんか？今トレモ配信してます
[2427.034] ぼむむ: go1はこれで終わり、ディスコや
[2429.001] (S)latenight000: 下がって小足モードはさすがに崩すの難しい
[2431.249] ひろみつー: やはりケンしかおらん
[2431.407] valhalla5555: たかしの未来はないのか
[2431.468] (M)(S)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[2432.504] (S)funacchi15: ウメさんは本戦、招待されてないんですか？
[2434.420] (S)junjamaica: ごーちゃんよぼう
[2436.541] のってる: 小足ぴっぴは歩きガードでラッシュ漏らさせれる
[2441.595] hanamarukii: ３キャラ使えるのになぜあえてのリュウだったのだろう
[2443.924] (S)ちばきゅん: インストラクターとゴルファーが並んでる
[2444.945] ちゃんたて: たかし、、どうして、、
[2447.531] mohita_3: 岸田の声が聞きたい
[2449.521] kaigaizei: キチパリプレイかよ
[2450.073] nyapittu: 絶対にクラシックの方が良いキャラっていますか？
[2450.318] (S)nagasaki3662: GOちゃんもう出番無しなのか
[2451.078] ei1eN: 岸田全試合終了
[2456.132] あり0221: ウメちゃん4年くらい組手出てないよね
[2459.996] シミズム: ゴルフやってそうよね
[2464.893] hanamarukii: JPとキャミィのがいけそうな気が
[2478.463] akira_s_: ヨーロッパ開催だったら参加してましたか？
[2480.944] BrokenJP: うおおおワンボタン中足刀！
[2483.724] titilrin: 全然関係ないけど昨日かるびが飛びだけの素人に負けてて笑った
[2484.270] (S)gyu_nyuu_pann: スタンダードキャラってやつ？
[2487.097] horikawa_r_i_k: ケン2大pないからね
[2488.055] chanmipoin: 逆に絶対にモダンの方がいいキャラは？
[2490.489] 吉田じんぎ: ケンは全然あり
[2490.939] Botamoti1: リュウはアシスト操作で逆に難しい
[2492.028] erisuk: こんなはやくから絶対を求めないで
[2492.187] MisaMisa_12: 重要なコンボパーツが出せなくされてるキャラか
[2495.100] ひろみつー: さすがに南アフリカは行きたくないよね
[2495.153] (S)osarusan26: ガイルとか溜め技を前、上なしで出せるってどれくらい強いんですか？
[2500.946] (S)すれいまん: ケンはマジモダンで使えない技がつら
[2502.263] gorilla_osaka: DJがわりとモダンあるんじゃないかって噂が
[2502.685] jigen0104: ケン屈小Pないからな
[2505.161] _ピート_: 旧作のキャラじゃないですか？
[2506.096] tabibitox: 新キャラはモダン適性高く作られえる
[2511.541] 吉田じんぎ: いやあるよしゃが大
[2513.214] 残り8万: ガイルはモダンである意味がないかも
[2514.359] vungo_mr: シュートが言うにはマリーザらしい
[2526.259] caloriemeiko: レバー1pの真空のコツってないですか？
[2527.957] (S)gorogorogorn: シュートはモダン一択らしい
[2530.968] ei1eN: きちぱ
[2534.897] horikawa_r_i_k: 強いキャラはモダンも強いだけじゃね？
[2537.174] jasminecat: モダンマスターケンが多い
[2538.925] gbmtp366: マゴさんキチパザンギがｊｐ勝っててに感動してました
[2541.180] ひろみつー: アリスさんがんばれー
[2541.664] kobetaf: これリプレイか
[2543.809] のってる: リリーもダイヤモンドとかでモダン良く見る
[2544.421] tsukikage_saga: ウメちゃんはモダンを使いたい気持ちありますか？
[2552.343] nyapittu: ときどさんって今モダンルーク？
[2552.931] まるまり_: モダンのマリーザって利点なんだ
[2553.987] HirocoT: お
[2554.569] まーきー0916: モダンガイルタメなしでSA3出るらしいよ
[2556.314] erisuk: シュートはクラシックじゃ辞めるつもりだったレベルのマリーザ
[2559.210] (S)gyu_nyuu_pann: おお
[2562.712] tamanegi30: キチパザンギの試合面白すぎるんだよな
[2563.189] (S)蝉時雨: モダンやめたんでしょときど
[2567.503] hakujin1231: ワンボタン、スクリュー強くないですか？
[2568.649] yonayona04: キチパは本当にすごい
[2573.734] おりっち: この二人、配信入るとブブるからリプレイらしい
[2576.294] 1108044k: 通常技つえー
[2581.527] suginaka56: ときどさんこそモダン選択しそうだけどやめたんだ
[2582.979] (S)日本語かな: コマ投げのダメージが3900だからthank youっていうの笑うw
[2583.386] あるみや: ダブラリでめくり落とせないって聞いた
[2583.971] xxaxxmaster: Reversal!
[2584.973] tabibitox: ダブラリはめくりきつくなってるから
[2585.884] kaigaizei: リバ多用するんよなキチパ
[2588.834] カラメルキッチュ遊撃隊: うわー三沢からーじゃん
[2589.087] だいこん_: 腹筋ガード
[2592.984] irukano: ザンギのモーションマジカッコいい
[2593.727] usa451: ポージング
[2594.742] あしゅ1300: 三沢
[2595.124] gbmtp366: モダンマノンは全キャラ中使えない技が最多らしい
[2596.717] (S)osarusan26: スクリューがループする性能だったらモダンスクリューはめちゃめちゃ強かっただろうね
[2596.722] hiro_chan: 力道山パリィ
[2601.461] tamanegi30: 相手を画面端に押し付けるストV的リバ
[2602.095] 残り8万: リリーは奪うとこがないからモダンていいっていうかわいそうな意見みた
[2603.662] goroutai: アドミナブルサイやね
[2605.195] シミズム: ザンギ起き上がりのモーションも凝ってて好き
[2615.241] chanmipoin: あの中段立つの無理やろ
[2615.451] erisuk: なんかＤリバ消費そんななくて強そうに見える
[2619.148] jagajaga1943: キチパって2回勝ってたっけ？
[2623.071] valhalla5555: あ
[2624.818] ひろみつー: うまー
[2626.629] (S)donachan: おぉぉ
[2628.675] sovianix: うめちゃんキチパの評価高いよね
[2629.967] (S)gyu_nyuu_pann: おおおお
[2632.503] pondenring0930: ありすケンうま
[2634.109] (S)nagasaki3662: モーション1番好きなキャラは？
[2634.603] nameless_774: ザンギHPおおいのに
[2635.105] (S)ちばきゅん: キチパの主題歌流れてる
[2640.483] hukohuko: dリバーサルって1ゲージ？
[2644.307] tamanegi30: ２
[2646.302] foo_twitch: SFLでもドラフト候補だったしね
[2646.441] nyata1234: 強いよね
[2647.425] (S)ミジンコ隊長: 相当つよい
[2648.586] おりっち: JPにも勝てる唯一のザンギ
[2648.873] suginaka56: シンプルに強い
[2648.914] (S)redpeppar510: ありす上手すぎ
[2649.532] (S)latenight000: ふつーにつえーやつ
[2650.928] kabicha000: ときどキラー
[2651.453] 1108044k: 人つよ
[2653.845] (S)gyu_nyuu_pann: 相当
[2655.298] (S)noriyuki3: ザンギは端で攻め継したい時にリバ使う
[2658.070] mu_chan: ときどに勝ちまくってるよね
[2659.223] siki1031: CoolCat
[2659.560] ロディア8: 現状微妙じゃない？
[2660.083] ゲシュペン: ザンギ端追い込まれたらほんとに苦しそう
[2660.197] manasvin13: 今のザンギ使えるの我慢がすごすぎる
[2660.317] (S)蝉時雨: 頑張ってるのを感じる
[2661.487] one596: キチパの評価低い人とかいないっしょ
[2663.040] あり0221: キチパは投げキャラ強かった時、5の頃から相当目立ってた
[2667.244] shomarusan: Dリバーサルってガードされると確定反撃あるの？
[2667.837] 吉田じんぎ: 一本はうざい
[2669.063] (S)towai8: ガーキャン強いと攻めれなくなるからね
[2671.228] balthazar000: リバ強いと下がりゲーになるよねぇ
[2673.014] zakkn: キャンセルラッシュに使うはありかなと思ってるなー
[2674.405] hogeta_hogeo: 1本だと攻め側の気持ちよさがそがれちゃう
[2674.672] (S)wonodera_105: wonodera_105 subscribed with Prime. They've subscribed for 2 months, currently on a 2 month streak! キチパつよいねえ
[2674.709] ei1eN: パッドの達人キチパ
[2674.792] erisuk: リバすることで削り守れるから実質２ゲ－ジじゃなくない？
[2680.027] balthazar000: 特に後半下がりっぱなしに
[2683.431] 田中山田鈴木: JPとかはリバで距離離せるのめっちゃ強く見えるけど
[2684.592] だいこん_: -8はやりすぎな気がするけど2本はいい調整だと思う
[2685.825] kaigaizei: いちいち渋い
[2687.422] nyapittu: JPってよくDリバしますよね
[2688.669] Botamoti1: 無敵昇竜ないからDリバくらいしかないよね
[2688.758] gorilla_osaka: ｗｗｗ
[2688.936] (S)ミジンコ隊長: おおおお
[2689.886] (S)donachan: うおおお
[2690.272] ゆや96: えええ
[2690.496] (S)おかもこ: すご
[2690.593] feel2525: へった
[2690.673] pondenring0930: へっるｗｗｗｗｗｗｗｗｗ
[2690.993] aranami0: へっるｗ
[2691.481] suginaka56: えええ
[2692.163] (S)gyu_nyuu_pann: Dリバの1番の強みってなんなの？
[2693.036] siki1031: P
[2693.316] goroutai: ロマンあるわ
[2693.676] 310_2525: へーる
[2693.708] hotokemax: wwwwwwww
[2693.799] (S)maya_g01: うおお
[2693.927] みそボン: ｗ
[2694.844] (S)3_dots: ooooof
[2696.234] (S)gyu_nyuu_pann: へっる
[2697.556] sandwaku: まじかw
[2697.581] BrokenJP: この勝利ポーズ
[2697.789] (S)ミジンコ隊長: 動き草
[2698.637] kaigaizei: 煽り勝利
[2700.447] zakkn: もーりもりへるねー
[2700.933] xxaxxmaster: lol
[2703.221] twitchyarutch: これがないとね
[2703.502] kanegon7237: エグイーーーーwwww
[2704.189] eluuu___: オワッてるw
[2704.351] (S)gyu_nyuu_pann: 草
[2704.733] foo_twitch: P勝利の勝ちポーズ初めて見た
[2705.326] (S)donachan: ザンギのp勝ち演出おもろいｗ
[2707.248] あり0221: 初めて見たw
[2707.272] gumi69: ヨガか？
[2707.902] (S)蝉時雨: ごりっとね
[2708.625] (S)latenight000: 3300
[2708.828] chichichichiro: 勝ちポーズうぜえな
[2714.164] chanmipoin: ザンギは極端な試合になるねw
[2715.258] user_5960: ザンギの勝利ポーずw
[2716.754] シミズム: Pで違うとかあるのね
[2716.905] (S)noriyuki3: ウメザンギはよ〜
[2717.598] (S)ミジンコ隊長: へーる
[2724.270] (S)ちばきゅん: P限定の演出あんのかすげ
[2738.892] erisuk: マノンで投げのダメージ感覚バグってる
[2739.057] (M)(S)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[2742.749] chandio2251: 中大連ガじゃないんか？
[2745.465] foo_twitch: 3パターンぐらいない？通常と僅差と大差？
[2746.283] あり0221: ザンギがP勝ちするって相当凄いな
[2748.654] sh00pz: yo daego LEGEND
[2749.309] (S)蝉時雨: なんか正統派なザンギいいね今回
[2752.091] chichichichiro: ガチくんはほんと癒し枠だな
[2752.151] (S)junjamaica: うめちゃんザンギ使ったとてこいつに勝てるのか
[2752.831] sin466: めくり分かりづら
[2763.931] nyapittu: パッドクラシックの日本プロっていますか？
[2766.880] gorilla_osaka: 残り体力で４種類くらいある
[2768.073] apacheconf: プレッシャーがやばい
[2770.071] siki1031: PっていうかHP90％以上の演出だった気がする
[2777.977] あり0221: キチパがパッドだよ正に
[2780.480] (S)gyu_nyuu_pann: キチパ
[2780.969] donekofg: パッドクラシックは竹内ジョン
[2781.160] pandasan_power: 今ザンギやってる人がパッドクラシックだよ
[2783.395] zakkn: プロレスしてるねー
[2785.105] 1108044k: 削れないのつら
[2786.655] akira_s_: JPがいるおかげでザンギへのヘイトが少ない
[2798.575] eluuu___: ぽこぽこなぐってるおもろい
[2800.370] erisuk: 削れないのきついな
[2801.988] BrokenJP: HELL
[2809.162] (S)ノア1844: ザンギ自体が弱いからっていうのが一番かと
[2811.438] pondenring0930: ネモさんがキレちまうよぉ…
[2813.737] (S)gyu_nyuu_pann: ザンギへのヘイトはネモさんのイメージしかなくてわからない
[2814.828] (S)donachan: 技振りがいいなぁｗ
[2817.460] kaigaizei: こっわ
[2818.944] hukohuko: そうじゃなくても今作のザンギはヘイト要素ない
[2821.682] foo_twitch: ときどのYouTubeで細かくパッド解説してるから面白い
[2823.136] manasvin13: ザンギきつそうでしかないけど人性能で何とか戦えてるって感じ
[2827.647] shomarusan: ランクマモダンザンギ多いからクラシックスクリューの減りがすごいな
[2828.297] ei1eN: ですな
[2829.159] (S)latenight000: そんな感じする
[2829.957] shoronpo999: ザンギも別に弱く無いけどなぁ
[2833.703] hanamarukii: nobleさんは？
[2834.347] akira5063: ぽいね
[2835.133] tominaga0331: パッドで二回回すのって結構大変そうだけど慣れで済むのかな
[2835.488] rump_momo: 翔マージでつええ
[2836.810] aranami0: 水派くんめっちゃいいよ
[2839.305] sistersguitarreplica: 翔さん色んな人に推されてますね
[2841.031] guest324438: プロレスでのグーパンは最終手段
[2841.128] (S)gyu_nyuu_pann: ありそう
[2844.681] yougen1124: この固め意味分からん
[2845.345] jagajaga1943: ＪＰをザンギで勝つのきつくね
[2845.575] usa451: ノーブル
[2847.786] touruko: 岸田・・・
[2852.273] (S)ミジンコ隊長: うおおおおおおおお
[2853.823] (S)gyu_nyuu_pann: わぁー
[2853.886] (S)rugalgenocidecutter: Great parry
[2854.741] erisuk: へんなパンチモーションだったああああ
[2856.935] (S)nhhhe: オーバーキル
[2859.576] King_Fuudo: キャミィの水派が翔にいけるかも
[2859.965] mako6912: おおお！
[2861.709] isekai7153: あ
[2861.872] レム__: あ
[2862.173] aranami0: ！？
[2862.404] chanmipoin: その差がよく分からんw
[2862.528] 閃光の: GOちゃんだめ？
[2862.772] crownin_fumizuki: ｗｗｗｗｗ
[2862.799] bunkichi23: ｗｗｗｗｗｗｗｗｗｗｗ
[2862.973] (S)hitmehitme: umeFail
[2864.093] zakkn: 岸田どうして・・
[2864.323] (S)~MISSING_COMMENTER_INFO~: だーきし
[2865.231] BrokenJP: NotLikeThis
[2865.536] roval789: 破天荒
[2865.728] (S)ミジンコ隊長: 岸田どうして・・・
[2865.844] jigen0104: キチパ強いなー
[2866.215] apacheconf: ｗｗｗｗｗｗｗｗ
[2866.924] kaigaizei: 岸田はもう落ちた
[2867.197] (S)towai8: 岸田は負けたよ
[2867.807] (S)gyu_nyuu_pann: 岸田wwww
[2867.833] 1108044k: カーテン
[2867.924] suginaka56: 。。。
[2868.103] valhalla5555: ｗｗｗｗｗ
[2868.285] Papapadad: 岸田はもういない
[2869.084] きゃすさん: ｗｗ
[2869.398] ei1eN: 岸田はもう負けた
[2869.419] (S)宇佐見連コ: 我が岸田
[2869.806] gumi69: 普通に外したのかとw
[2870.573] jagajaga1943: 岸田敗退済みです
[2870.697] peperon17: 岸田はもう敗退した
[2871.032] (S)~MISSING_COMMENTER_INFO~: だーきしにあやまって！！！！！！！
[2871.129] (S)おかもこ: なお
[2871.361] pandasan_power: いーや、ノーブルだね
[2871.379] donekofg: 岸田はある
[2871.435] (S)latenight000: その程度の存在・・・どうして
[2872.271] tsubame5204: umeFail
[2872.465] ガチくんコス転売ヤー: SFLの時もそうだったよね・・・
[2872.474] tabibitox: 岸田はもうなさそう
[2872.541] inkgran: 我が岸田
[2872.769] (S)junjamaica: ダーキシ忘れるな
[2873.192] (S)maya_g01: 本当の本当に
[2873.237] danny_love_danny: どうして…
[2873.350] babaVulcan: まーた忘れられた岸田
[2873.430] bowabowa999: ｗｗｗｗｗｗｗｗｗｗ
[2873.728] nagilay1: 岸田はもう負けたぞ
[2874.082] suginaka56: 忘れられるんだ
[2874.258] hanamarukii: さっきまであんなにきしだいうてたのにｗ
[2874.328] azu_maru: 岸田・・・
[2874.484] ukir02: 岸田の影薄すぎ
[2874.490] underground0714: 何が大丈夫なん？
[2875.364] 157655: ごーちゃんが震えちゃう
[2875.717] naganaiz: 岸田もう２敗だからもう…
[2875.828] one596: 岸田もう終わったよ
[2876.047] kuroinanika521: 岸田はもう落ちたから
[2876.853] ぼむむ: 岸田はもう終わったよ
[2876.906] taroumaruh: 岸田解散！
[2876.972] isekai7153: もう負けたの？
[2877.089] (S)morinagasyuya: 岸田はもう負けてるから…
[2877.184] niemalsaufgeben: きしだあああああ
[2877.492] Coedawg: umeYay
[2877.558] King_Fuudo: ごーちゃん敗退確定じゃないの？
[2877.604] をかし: GO1大丈夫、大丈夫やから
[2877.792] maddy2623: ドラフトのこと忘れないで
[2877.870] mikaze0001: 何が大丈夫なん？
[2878.293] kernel999: 岸田さんは2敗だから…
[2878.509] zakkn: きしだごめーーん
[2878.614] (S)blueplanet96: 親方どうして。。。。。
[2878.659] nakao1976: 岸田さんビックリしてそうｗ
[2878.766] feel2525: ｗｗｗ
[2878.800] ひろみつー: 岸田内閣忘れるな
[2878.939] akira5063: 不信任決議
[2878.993] 黒猫くん: 岸田はもう終わってるぞい
[2879.058] Kurosora: 岸田もうない
[2879.187] v0m0v: 岸田はもう・・・
[2879.262] yamido2601: 岸田とキチパ水派翔には差がある
[2879.419] krowflow: ごめーーん！
[2879.593] kaigaizei: 岸田すでに予選落ちです
[2880.234] prototypeie: 岸田はすぐ忘れられちゃう
[2880.376] shomarusan: どういう差があるんですか？
[2880.552] Lplp6lkhp: 岸田はもうダメなんでOK
[2880.726] balthazar000: ウメさんカーテンに注意してね
[2880.983] ddb365: カーテンチャンス
[2881.126] shoronpo999: 岸田はもう敗退決定しとる
[2881.641] (S)~MISSING_COMMENTER_INFO~: どういう流れｗ
[2881.980] レム__: 岸田＜ほたて
[2881.999] (S)tama_zx61: なんで？ｗ
[2882.204] jigen0104: www
[2882.227] nameless_774: 岸田本田もあるぞ
[2882.245] banjo_03: ｗｗｗ
[2882.418] (S)gyu_nyuu_pann: 大丈夫やから
[2882.686] akira_s_: ちゃんこ食わんかーい
[2882.827] foo_twitch: 岸田さんはまだ変身あるから…
[2882.828] gloomymario: 予選落ち
[2883.015] zizo_xd123: LUL
[2883.093] (S)gorogorogorn: 体験版で遠征までしたのに…
[2883.680] yoinio: umeYay
[2883.816] milanor03: 食いたいだけww
[2883.858] (S)aruch_22: 食いたいだけ
[2883.980] mukade3: いみわからんｗ
[2884.029] (S)yuzubox: wwwww
[2884.248] シミズム: 鬼電きそう
[2884.258] rump_momo: 岸田目無しだから…
[2885.230] nnmdfs: 食いたいだけ
[2885.417] chandio2251: どういうことだよｗ
[2885.648] gettyozi: 食いたいだけだろｗ
[2885.848] BrokenJP: 「岸田はいいとして」
[2885.896] original0115: 食いたいだけ
[2885.913] aranami0: 岸田にホタテ送ろう
[2886.172] ぐぐっす: 詫びホタテ
[2887.309] SleepShiva: 詫びホタテ
[2887.353] erisuk: 謝罪としてホタテくいま～す
[2887.864] jagajaga1943: 岸田もう敗退決定してます
[2887.967] (S)maya_g01: 謝罪ホタテ
[2888.187] iguchiill: それ褒美じゃんね
[2888.256] goozy009: ご褒美じゃん
[2888.316] isekai7153: 負けてるんなら忘れててよかった
[2888.322] twitchyarutch: 謝罪おいしい
[2888.482] sovianix: 増税されるぞ
