[66.152] vovovoooooo: ぐへへ
[5733.690] lucentsnow: なるほど
[5734.210] ただひろ: 凄いレベルで戦ってるんやなぁ、、、。尊敬します
[5745.636] Kanquez05: umeJam
[5768.026] darksydephilipe: P0rn0zeus subscribed with Twitch Prime. 
[5768.115] (M)Moobot: @P0RN0ZEUS with the Prime sub!
[5779.111] dcdryuya404: そういやパッドで背面にボタン増やす公式のアタッチメントあるけどアレってツアーとかでも使っていいの？
[5804.376] lucentsnow: 同じボタンの増設だめだからなしじゃない
[5813.697] mrhillandon: 硬派な配信に来ました
[5834.808] idiot_tanuki: sugoi
[5835.107] Kanquez05: 瞬獄だけは食らいたくない
[5835.822] ただひろ: パチパチパチパチ
[5868.230] sorry_under: ポルノゼウス？
[5880.950] 寝るポイント: パッドの増設ボタンは方向キーも割り当てられるからかなり無理そう
[5907.271] (S)darksydephilipe: You a freaking beast Daigo!
[5908.332] たあぼ0126: うめさん昨日は遅刻せずに済みましたか？
[5924.273] sibazuke0141: あ、
[5924.425] ただひろ: (笑)
[5924.509] (S)tukumi07: ６時間遅刻したの？
[5925.206] (S)korejanai: ｗｗ
[5926.093] Kanquez05: umeYay_BW
[5927.689] orange88: ｗｗｗｗ
[5928.874] たあぼ0126: ごめんさない・・・
[5929.715] 寝るポイント: きかないでｗ
[5931.864] サラバア: きかないで///
[5933.898] (S)korejanai: あ
[5936.304] 001162: SeemsGood
[5936.701] シシガバ: ３つ・・・
[5936.825] (S)user81023: umeYay
[5937.517] (S)curemikan: umeYay
[5939.636] meganesandesuyo: 怒られたんだな
[5943.254] phillip38: ＡＤＨＤ
[5944.241] knock_fg: ヌキさんより遅刻した？
[5948.272] (S)user81023: umeGrin_HF
[5949.207] ただひろ: ww
[5949.530] (S)麻雀打ち: それはｗ
[5950.903] haru__12345: 人生初の大失態
[5952.147] (S)suupu: それはアカンｗ
[5953.326] uncledoon: 相手の人に向けて謝罪配信しなきゃ…
[5957.654] orange88: ヌキの呪い
[5958.440] 将門ゴルゴロ: それはやばい
[5961.176] maccccccckkk: 最近珍しくね？
[5961.289] (S)lunasolnars: レッドブルの集まり？
[5961.917] avmajvm: もう大貫くんを笑えないねえ
[5963.229] (S)user81023: ちゃんウメ！
[5963.458] akiaki0612: そのうちわかる？
[5964.203] maetantan: umeFail
[5964.494] (S)tyatyakuro: ６時間？
[5966.642] tokai1234: ヌキを笑えなくなったな
[5970.434] (S)MadEggMania: あやまって！
[5979.224] AdrianoHirai: 忙しいねえ
[5980.737] (S)麻雀打ち: ウメちゃん俺嬉しいよ！
[5981.434] maccccccckkk: ６時間遅刻って今聞いても笑う
[5986.248] ただひろ: 人生色々ですねぇ～
[5989.713] (S)koakoa4649: 遅刻五神
[5990.812] mameneko1124: 殺意のシノさん乱入あった?
[5991.376] (S)てんてふ: Daigo "Don't ask about what happened yesterday... I forgot one of 3 meetings"
[6002.360] (S)kxiaofen: umeCatHope
[6006.739] akiaki0612: とりあえず無事に済んだのかね？
[6007.416] sorry_under: しかも公式生放送だからね
[6010.809] shikuramandam: 6時間あれば沖縄行って帰ってこれるからおｋ
[6011.594] たあぼ0126: でも6時間遅刻してないから・・・
[6021.220] une3333: ボンちゃんとかに怒られました？w
[6025.301] maccccccckkk: ここだけ英訳su
[6029.786] (S)highspeedwarakia2: 屈当身pは食らい判定引っ込むのが早いから空振りのリスク下げる為屈を使ってるんかなぁ…他の方々知らないから分からん…
[6030.694] maccccccckkk: なw
[6031.218] INSEMINATI0N: daigo do you like manga?
[6034.255] hiuhia: is that true daigo?
[6039.744] Kanquez05: 6時間遅刻はやべって言ってた時間に寝始めないといけないから
[6048.853] maccccccckkk: DAIGO LOVES MANGA
[6063.023] mynameisplaymaker: why dont u play gouki daigo?
[6065.400] liblie: いやレットブルのやつは大丈夫だったんだって
[6081.813] たあぼ0126: まさか俺ライン越えちゃいました？
[6089.634] ただひろ: ランク高っ
[6090.436] tabibitox: やん
[6098.573] (S)tukumi07: 単純に歩いてガードしてジリジリしてることが多いからしゃがみで当て身出る事が多いんでは？
[6098.820] une3333: えいちのさんや
[6103.061] INSEMINATI0N: japanese people here, do you know filthy frank?
[6108.757] verdict5557: ウメちゃんレッドブルの上着借りたの？
[6116.002] maccccccckkk: カップうどんとコーラを飲みながらみるウメハラ配信、これがうまい
[6126.107] ~MISSING_COMMENTER_INFO~: 読めない
[6129.098] une3333: ブルの用事は間に合って個人的な用事に遅れたのねw
[6129.665] balthazar000: カロリーもりもりやなぁ
[6130.013] Emrino94: who's frank? 
[6132.609] (S)tencooooooooooo: うめちゃんってRBアスリートってことでいいの？
[6134.924] Kanquez05: マサからのジャスティスは免れたか
[6135.427] ただひろ: 強すぎるわ
[6145.481] akiaki0612: ウメちゃんからお願いとは珍しい仕事
[6151.859] (S)~MISSING_COMMENTER_INFO~: もしかしてデート忘れたのか
[6154.692] INSEMINATI0N: @maccccccckkk which manga? shounen or shoujo?
[6159.631] balthazar000: このバルログ色いいねぇ
[6159.763] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます。未登録のかたは こちら参照ください → https://bit.ly/2YE2nLB
[6176.829] (S)べーこん118: ブルから近々何か発表ありそうね
[6178.027] maccccccckkk: shounen ex jojo hunterhunter
[6190.377] (S)tukumi07: 確かにグリーンいいね
[6191.993] ただひろ: 強敵だ
[6195.294] Kanquez05: ｗｗｗ
[6195.801] 雨男: モンエナみたいな色してんな
[6205.684] maccccccckkk: 差し色w
[6211.692] 001162: 1hp
[6212.199] akiaki0612: 送られてくるレッドブルの服、サイズ合わないんだっけ？
[6217.930] 四国エスハ: ウメちゃんはしょぼい柿ピーで我慢できる？焼き鳥買っちゃう？
[6218.137] (S)highspeedwarakia2: あれバルログスキル2ガード-6fだけど弱昇竜反撃届きやすかったけ…忘れた
[6218.813] INSEMINATI0N: nice i like haikyuu, boku no hero and attack on titan
[6235.763] (S)kotatsunoko: 一人だけサイゲのジャケット着てから忘れたのかと思った
[6237.366] horikawa_r_i_k: こんなに格ゲー界隈グラブルで騒いでるのにスト5botはスト5botだった。そんなあなたが大好きです！
[6270.733] mrhillandon: 相手のクラン名ライン超えてるでしょ
[6270.915] (S)feel2525: 相討ちコンボか
[6271.318] ただひろ: 最強ー
[6288.756] maccccccckkk: daigo loves old japanese manga too
[6288.902] jann12392: Slam Dunk is pretty popular even to this day in japan
[6308.090] (S)だいこん_: ♂
[6311.063] INSEMINATI0N: oh damn thats a really old one
[6317.373] gumi1113: 爪大pからの爪外しは-2
[6321.376] ただひろ: 端さきつい
[6322.578] INSEMINATI0N: one piece is number 1 in japan right
[6333.966] hiuhia: why is it always the same map? does he like the squares to better gauge distance?
[6339.321] av6969: @DaigoTheBeasTV is tanaka combo good?
[6342.966] gioytsos: daigo who do you think is better now gouki or kage?
[6349.392] dcdryuya404: へー
[6352.657] ただひろ: 勝った…
[6353.985] kaname019: 😍
[6354.976] 平和太郎: よくもれる
[6355.319] Adanatello: KAPOW
[6356.085] myfishdrownd: @dreamwish it shouldn't even be top 5
[6357.246] idiot_tanuki: evo19Download
[6357.756] kaname019: 🥰
[6358.161] ただひろ: パチパチパチパチパチパチ
[6360.551] kaname019: 🤗
[6363.617] kaname019: 😍
[6367.929] kaname019: ☺️
[6371.643] kaname019: 🙌
[6372.457] 四国エスハ: スト5のキャラ追加ってもう今後一切終わり？
[6372.905] (S)highspeedwarakia2: 暴発かあ流石にかわいそうw
[6374.992] Maxi_46: @hiuhia yes
[6386.086] (S)macmega_: hahaha I love it when he speaks English
[6394.302] daruma2597: 同時押しが難しいんすよこのゲーム
[6398.733] hiuhia: thanks
[6398.983] ただひろ: はい
[6409.121] Barluke_: Daigo fights with his heart, not Top tiers 
[6409.295] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[6410.224] ただひろ: あー
[6410.333] Maxi_46: SeemsGood
[6410.818] idiot_tanuki: daigo english good
[6414.002] ohigara: ペアリング
[6416.519] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[6417.164] stnkkh: ペアリングしなおさないとｗ
[6418.233] オシュ: ペアリングしなおす
[6418.688] うわらば_: ペア登録しました？
[6419.413] shupii097: ペアリングした？
[6420.236] ただひろ: そです
[6420.763] maccccccckkk: 設定からペアリングし直そう
[6421.187] knock_fg: ペアリングした？
[6421.198] ーたまむしー: そりゃペアリングしなおさないと。。
[6422.170] une3333: ベアリングしなあと
[6422.240] 将門ゴルゴロ: そりゃペアリングしないとねｗ
[6422.576] obo_006: そらもう一回ペアリングしないとダメですね
[6423.736] (S)lunasolnars: ペアリングしなよ
[6423.788] hiuhia: why do you play kage then if gouki is better
[6424.953] (S)kotatan_twitch: 情弱すぎるｗ
[6426.493] ただひろ: ペア
[6426.797] kaname019: He’s getting better in understanding english
[6427.691] (S)19ze: おじいちゃん
[6427.877] gatssu_san: daigo speak french
[6430.133] たあぼ0126: 再設置しなおした？
[6430.683] kaname019: 👍👍
[6434.913] une3333: いいなーBluetoothイヤホン
[6436.077] ohigara: 神 神
[6436.257] ただひろ: Google
[6436.310] (S)墾田永年私財砲: ぺあ・・・りんぐ？
[6437.607] shupii097: イヤホンによる
[6439.882] (S)MadEggMania: イヤホンによりません？
[6439.924] maccccccckkk: うちの親父みたいで可愛いw
[6441.257] ただひろ: 設定
[6441.829] jerich100: Diago easily my favorite fighting game player
[6443.008] (S)macmega_: @hiuhia cause he plays Kage for Fun
[6445.798] (S)べーこん118: ブルートゥース開いてその名前タップしたらええんやで
[6446.346] jerich100: Such a good guy
[6447.099] (S)zappnn: 説明書よも
[6447.134] obo_006: イヤホンのほうの説明書みないとー
[6447.757] shupii097: 猫にペアリングっていえばわかるよｐ
[6448.666] 将門ゴルゴロ: ペアリングに対応するボタンを長押し
[6448.703] kbjn10mg: そこしないで繋がらないとは恐れ入ったｗ
[6451.361] gioytsos: he like the way kage plays
[6452.271] オシュ: 最初どうやって接続したか気になりすぎるね
[6454.796] ~MISSING_COMMENTER_INFO~: kage is hobby
[6456.292] tabibitox: こばやんやん
[6457.313] (S)MadEggMania: メンテおじ助けてー！
[6458.530] hiuhia: i see
[6461.242] (S)user81023: umeGrin
[6463.815] (S)millioniwashi: メガネみたいなマークタップして
[6468.923] 平和太郎: 試すなら電源長押しとかかね？
[6470.864] 将門ゴルゴロ: 買った奴がいきなり繋がったらそっちの方が怖い
[6472.737] ーたまむしー: イヤフォン側でペアリング待ち受けにしてiphoneでBluetooth設定開けば表示されるよ。
[6473.415] tabibitox: 17歳だっけ？超若手
[6478.356] うわらば_: AndroidならBluetoothの設定開くといけるはず
[6480.490] kaname019: 😘
[6482.587] gomeeeeeeen: アルマスめっちゃくるなー
[6483.271] INSEMINATI0N: @myfishdrownd really? but it sells so well
[6486.401] zx1bith: 10 wins xd
[6487.553] ただひろ: でかない？このキャラクター
[6488.638] maccccccckkk: そんだけスト５で神の技術持ちながらbluetoothわからないの可愛い
[6489.145] dcdryuya404: 運びエグい
[6490.904] (S)墾田永年私財砲: 単純に硬いだけである程度の強さ
[6493.056] shupii097: 端から端へ
[6496.904] (S)tukumi07: 俺もペアリングわかんなくてなんか草
[6504.795] akiaki0612: ペアリングごときでメンテおじ呼んでたら、さすがにキレられるw
[6506.895] stnkkh: イヤホンのペアリングボタンおしてスマホで登録
[6512.307] (S)kotatan_twitch: そのイヤホン名とペアリングでググればやりかたでてくる
[6514.084] ただひろ: 勝つんだよなぁ、、
[6516.779] (S)millioniwashi: アビ運送やべぇ
[6521.247] (S)highspeedwarakia2: バイソン並みに運ぶねぇ
[6522.687] kbjn10mg: ガイルに変えてヒトボ繋いでないのに ヒトボで動かないよって言ってるようなモン
[6528.708] (S)tukumi07: みんなブルートゥース使ってんだな 紐無し未だに信じれないわｗ
[6528.962] たあぼ0126: おじにペアリングは難しい
[6535.140] (S)feel2525: さすが10強
[6539.608] ただひろ: デカ過ぎる
[6547.321] うわらば_: イヤホンの説明書捨てちゃってペアリングモードの入り方忘れるのはあるある
[6549.072] (S)macmega_: lolol
[6551.325] 平和太郎: PS４コントローラーも同じ
[6552.715] Emrino94: LUL
[6553.321] heterotopia3: BTイヤホンいいよタッチノイズと無縁だし
[6553.554] あいばにーず: LUL
[6556.348] (S)macmega_: that was dominant
[6556.718] (S)多抜深夜: カゲジュードーつええ
[6566.110] (S)kxiaofen: <3
[6567.169] (S)tencooooooooooo: うめちゃんトパンガのティア表みた？
[6570.042] LordNeptune1: PogChamp
[6571.603] youlookcute: take the throw 
[6572.561] gioytsos: lol daigo the grappler
[6575.871] (S)user81023: umeCatHope
[6577.583] GreenJiggy: BlessRNG
[6582.853] (S)だいこん_: 15WINアビに楽々勝利
[6583.227] tabibitox: 弱点が多いからだとおもう。きつい組み合わせが多いし
[6585.522] (S)多抜深夜: 対策すれば問題ないって結論だった
[6585.732] (S)tukumi07: 相性にムラがあるからっていう評価
[6587.696] kbjn10mg: 強いのふつうじゃなかったかな
[6594.839] (S)墾田永年私財砲: 結局相性が極端っていう所が最上位には届かない評価でしたね
[6595.480] (S)user81023: TPFufun
[6597.666] ただひろ: 目が一つやからね、ハンディーあるね☆
[6607.177] (S)墾田永年私財砲: 遠近感がね
[6610.678] gomeeeeeeen: ガイルSランクじゃなかったね
[6611.368] shikuramandam: umeGrin
[6615.434] ただひろ: ww
[6616.012] zuryci: umeJam
[6624.874] (S)tencooooooooooo: 豪気とガイル逆じゃない？ｗ
[6630.434] (S)hasitaka0: 強いけど、他も強いって感じだったかな
[6641.947] stomachbb: ガイルって強化点がダイブだけだからかね
[6642.291] junichitanaka: 板ザン配信とかでお馴染みのコバヤンさん
[6651.712] たあぼ0126: A？
[6661.159] (S)多抜深夜: 知ってた
[6670.533] shupii097: CAはいるようになったとか通常技ちょっと強くなったとか
[6674.405] nomi_k_: 大会でカゲ使いますか？
[6684.276] ただひろ: やばい
[6692.446] 13geeky: Daigo you handsome bastard
[6698.629] meganesandesuyo: ウメちゃんトパンガ配信今まで一回でも見たことある？
[6698.800] tabibitox: ベガにいけるしバーディカリン落ちたしラシードも前よりは戦いやすくなってる時点で上位だと思うけどなぁ
[6702.425] (S)多抜深夜: ブル組手の時点でパンク相手にはまったくダイブソニック機能してなかったしね
[6705.549] ただひろ: あか～ん
[6709.322] junichitanaka: ガイルにそういう感想なら余計カゲ使いたく鳴っちゃうね
[6710.115] たあぼ0126: グラブルに行って猛者しか残らなかったんか
[6715.920] KurtLazare: nice music
[6716.295] BoltBandicoot: Daigo, you're a Beast, bro!
[6716.939] yoyodoooon: tier決めるのまだ早くない？
[6717.997] hotaruru88: トパンガでは豪鬼、春麗、ユリアン、コーリン、ラシード、キャミィが強いのではってなってた。
[6718.066] ただひろ: 勝つんだよなぁ、、、、、
[6718.405] (S)tencooooooooooo: まぁもちろん暫定かつTOPANGA内のティアなんだけどねｗ
[6724.553] (S)hasitaka0: カゲとアビは同じランクだっけ？
[6741.731] (S)wahaha7788: ウメちゃんの評価が一番あてにならない説あるからね
[6745.411] 001162: aah
[6751.345] (S)墾田永年私財砲: ガイルはちゃんと上位なのは上位として扱われてたぞ。最上位ではないってだけ
[6754.035] KurtLazare: daigo is a metalhead
[6756.469] (S)nikoharu_ceo: 日陰ものの影を陽の当たる場所にした梅原さん Cheer5000
[6756.694] (M)Moobot: nikoharu_ceoさん、大量ビッツありがとうございます！
[6758.620] (S)nikoharu_ceo: nikoharu_ceo's Cheer shared rewards to 150 others in Chat! 
[6760.675] (S)墾田永年私財砲: ひえ
[6764.691] une3333: うおお
[6767.597] tabibitox: 5000！
[6767.953] pinetreeg: Thanks for the 
[6768.920] (S)totomaru_chan: ガイルとアビが同ランク
[6769.081] (S)tencooooooooooo: うひ
[6769.195] (S)yarukiannu: ＠nikoharu_ceoさん、LuvCoolをありがとう。
[6772.597] (S)feel2525: まじ？
[6772.622] ただひろ: ありがとうございます！
[6774.058] BoltBandicoot: Thanks for the 
[6774.797] obo_006: 5000ビッツきてます！
[6777.794] lucentsnow: 石油がわいた
[6777.827] (S)tencooooooooooo: これは石油王
[6780.479] une3333: LuvSign
[6781.223] たあぼ0126: メガチェアってなんだ？
[6785.769] junichitanaka: どこぞの CEO が5000 も
[6787.030] FLoW009: damn
[6787.861] tabibitox: ニコハルさん5000きてました～
[6789.973] (S)highspeedwarakia2: アビは投げられ判定でかいせいで影端の柔道、最速小足4f暴れじゃないと割れなかった気がする確か
[6790.141] bamboo0855: これはラシード
[6792.053] payuka: Valeu pelo emote 
[6792.124] (S)lunasolnars: さすが社長
[6792.904] ただひろ: 石油王きた
[6793.197] (S)macmega_: umeGrin
[6793.482] 将門ゴルゴロ: 石油王
[6795.144] 13geeky: Ah almost had it
[6795.490] (S)tencooooooooooo: nikoharu
[6797.954] show_an: ＠nikoharu_ceoさん、LuvBlondeLをありがとう。
[6798.003] たあぼ0126: ニコハル氏
[6798.978] Barluke_: Daigo san, if you like Saint Seiya, what is your favorite Gold Saint?
[6799.354] (S)nikoharu_ceo: 道着使いのファイナル砦
[6802.060] juninho_ras: KAGE EVO YESS ?
[6808.447] alextehk: Hi Daigo~
[6809.939] (S)user81023: umeYay_EV
[6812.600] BoltBandicoot: Ares
[6818.529] 一雙木羊: LuvBrownL
[6821.447] kbjn10mg: キャンサー
[6823.139] une3333: ウメちゃんラスティ砦だったかーーーー
[6824.327] dcdryuya404: シャカ
[6825.097] daruma2597: 牛でしょ
[6825.394] kaido111: AKUMA?!
[6826.686] あいばにーず: ＠nikoharu_ceoさん、LuvBrownRをありがとう。
[6826.963] (S)べーこん118: デスマスク？
[6827.068] maccccccckkk: nice quesyion
[6829.131] (S)19ze: 考えてて草
[6829.990] (S)tencooooooooooo: まさか英語の質問で聖闘士セイヤがくるとは
[6830.601] hiuhia: deep question
[6832.904] junichitanaka: 金のあるところから金のあるところに流れていく
[6833.684] (S)tukumi07: めっちゃかんがえてるｗ
[6833.756] alettiiii225: めっちゃ考えるやん
[6834.482] tabibitox: 真面目に考えてるｗ
[6835.487] (S)よもぎです: やっぱ釈迦？
[6836.388] Barluke_: Wow 
[6837.039] (S)feel2525: 悩んでるのぉ
[6838.368] wsryd: 真剣すぎる
[6838.963] FLoW009: ahhaha
[6839.261] lucentsnow: ｗｗｗｗｗ
[6840.966] kbjn10mg: ガチで考えるなｗ
[6841.885] 13geeky: So deep o didn’t get it
[6842.844] (S)macmega_: losh kana
[6843.130] BoltBandicoot: PogChamp
[6843.570] (S)べーこん118: ライブラか～
[6843.977] FLoW009: libra?
[6844.126] (S)19ze: 格ゲーより真剣に考えてる
[6845.672] (S)墾田永年私財砲: 童虎ｗｗｗ
[6845.922] akiaki0612: アルデバラン
[6846.242] FLoW009: ahh
[6846.914] stomachbb: 渋すぎるｗ
[6847.701] Umechan55: 間違いない
[6848.323] orange88: ｗｗｗｗｗｗｗｗ
[6850.229] (S)totomaru_chan: 童虎
[6854.110] kimie_white: douko
[6854.585] 将門ゴルゴロ: 間違いない
[6854.917] daruma2597: 星をもくだく
[6855.488] juninho_ras: LIBRA
[6855.672] (S)19ze: ⚖
[6856.770] edsonzj: sugoooooi
[6857.825] igor_umechanchin: 弓好きちゃうんかーい
[6858.763] (S)nauti1us123: サジタリアスじゃないんだー
[6860.417] Barluke_: Rozan!!! Shoryuha!!!
[6861.670] kbjn10mg: 普通自分の正座いかない？
[6861.722] Umechan55: てんびん座にきまってるよな
[6863.730] (S)hatano_kuboya: 武器いっぱいや
[6865.379] dcdryuya404: 天秤座の童虎
[6868.495] ただひろ: なるほど
[6871.932] (S)macmega_: owha? owha?
[6871.941] kimie_white: Aioros
[6874.178] (S)19ze: アイオロスは至高
[6874.470] gatssu_san: TheIlluminati
[6879.172] stomachbb: マニアックすぎない？
[6880.961] junichitanaka: こんなに考えてくれて幸せもんや
[6881.013] akiaki0612: ウメちゃんは牡牛座かな？
[6881.086] jann12392: Daigo doing freemason symbols at his stick
[6882.600] Umechan55: ウメちゃんわかっててオレすっげーうれしいわ
[6884.516] (S)べーこん118: アイオリアじゃないのがポイント
[6887.639] (S)nikoharu_ceo: あいつ若返るしw
[6895.563] (S)19ze: ♐
[6897.530] 神戸ルル: ＠nikoharu_ceoさん、LuvBlondeRをありがとう。
[6899.066] あかの: わいもジェミニ好き
[6900.624] (S)多抜深夜: ジェミニのマサ
[6902.923] (S)tencooooooooooo: ｗｗ
[6903.569] (S)MadEggMania: オレはヒドラのイチ
[6911.314] Umechan55: やっぱ老師っすわ
[6913.711] うわらば_: 若返る前？？
[6917.149] une3333: とか言いつつザンギをボコる
[6919.368] VersuSfor: Aiora!!!!!!!!!
[6920.093] lucentsnow: 老師若返るのＷ
[6922.252] たけちの: ＠nikoharu_ceoさん、LuvBrownRをありがとう。
[6922.343] hotaruru88: 老師は良いよね
[6923.361] Umechan55: 武器沢山あるしな老師は
[6924.648] 13geeky: I just peeped he isn’t using a fight stick with a stick this time
[6929.084] liblie: ヒドラのイチわろたｗ
[6929.233] edsonzj: Aioriaaaa
[6930.293] kbjn10mg: リスナーにおじ多くて助かったな
[6930.305] ただひろ: 勝ちまくってるからテンション上がってきましたね☆
[6931.963] (S)nikoharu_ceo: クロス着る時わか
[6932.086] 将門ゴルゴロ: 熱い告白
[6934.148] akiaki0612: 蟹座はいじめられた80年代
[6935.293] (S)べーこん118: すぐクロス脱ぐ紫龍はどう思う？
[6936.369] stomachbb: 紫龍かよｗ
[6936.596] kimie_white: １年に１時間しか年を取らないやつ
[6937.437] fen6: umeYay
[6939.431] (S)lunasolnars: 俺の周りではデスマスク嫌われてた
[6940.670] (S)user81023: umeYay
[6941.317] (S)多抜深夜: 爺専！？
[6943.637] (S)macmega_: umeWin
[6943.883] 残機なな: sekiKusa
[6944.737] akiaki0612: 廬山
[6945.604] うわらば_: 表面がパリパリ割れて17歳の老師になる
[6945.667] (S)acdcfandesu: umeFail
[6949.854] nepentheses: トンファーが良い
[6951.093] (S)user81023: しゅきいいいい
[6956.789] kaigaizei: 老師好きなのに春麗使わないんだ
[6961.730] (S)19ze: umeJam
[6963.029] (S)curemikan: ミソペタメノスだっけ
[6963.062] VersuSfor: Seiya!!!!!!!!!!!
[6964.362] (S)nikoharu_ceo: ほぼ戦わない 老師
[6966.115] orange88: ラスボスハーデスだっけ
[6967.113] ただひろ: 観てて気持ちいいっす
[6968.773] (S)hatano_kuboya: 老師愛が笑
[6968.855] あかの: デスマスクの小物感好き
[6970.114] maccccccckkk: ここにいる外国人全員漫画のこと好きだろw
[6971.869] ただひろ: ありがとうございます！
[6975.583] tabibitox: 是空やな
[6982.691] edsonzj: Aioria ha mo subarashii
[6986.288] akiaki0612: でもウメちゃんはアルデバラン
[6989.495] stomachbb: 聖矢って地味に海外人気高いからな
[6991.808] kimie_white: ブラジルとかセイントセイヤは神アニメだぞ
[7003.760] (S)べーこん118: キグナスはダイヤモンドダストまでのポーズがださかったな～
[7004.576] (S)19ze: ｗ
[7005.162] ただひろ: はい
[7005.806] 13geeky: Any English speakers
[7006.359] kbjn10mg: そこがカタルシスでしょうが
[7008.198] audience01: でもさ積尸気冥界波強すぎない？直で地獄いくんだぜ
[7009.445] (S)多抜深夜: イッキ好きだった
[7012.443] (S)19ze: ねーちゃん
[7019.615] (S)macmega_: @13geeky here
[7020.187] jerich100: Would be nice to have more than one win animation
[7022.612] (S)macmega_: lol
[7029.363] 雨男: キャラソン
[7029.678] ただひろ: (笑)
[7033.011] たあぼ0126: キャラソン？
[7033.770] lucentsnow: フェニックスがブロンズなのはちょっと
[7034.374] (S)lunasolnars: カシオスの歌もあんの？
[7035.488] hogwash_2: poor gief
[7037.761] stomachbb: カプコンは星矢のゲーム作った方がいいな
[7039.984] 000105: ゴールド聖闘士は高貴な存在じゃなかった
[7040.472] (S)curemikan: 俺も持ってたしｗｗ
[7040.922] 将門ゴルゴロ: 結構だなおい
[7043.199] akiaki0612: スチール聖闘士で誰が1番好き？
[7043.785] ippatsuman22: カシオスは？
[7044.265] alettiiii225: ガチ勢やんけ
[7047.601] うわらば_: 魔鈴はねーちゃんかと思わせて結局別人だったんだっけ
[7047.950] ただひろ: もしかして…………歌えるんすか？
[7049.031] あいばにーず: キャラソンって言葉知らないのおもろい
[7049.738] サラバア: 聖闘士星矢の格ゲー出たら絶対やる勢いだな
[7052.091] (S)べーこん118: やっぱウメちゃんならジェネラルバトル１発で突破できるの？
[7053.445] (S)macmega_: there are usually many in his streams
[7053.532] (S)hatano_kuboya: キャラクターソングwww
[7062.171] kbjn10mg: MAKEUPとか影山じゃないのかい？
[7062.473] (S)tencooooooooooo: 聖闘士セイヤってスピンオフ的な作品めちゃくちゃない？
[7063.712] ただひろ: アカペラいけるんすか？
[7070.381] kimie_white: メデューサのアルゴル大好き
[7078.325] (S)19ze: ファミコンの聖闘士星矢はトラウマ
[7090.746] (S)exile23z: daigo would you ever play the new guilty gear?
[7094.877] あかの: 光GENJIの聖闘士星矢
[7100.682] show_an: 星夜はアムロ、紫龍はブライトさん
[7104.984] 13geeky: @mattietwitch awesome, I just had a question as to his switches between the fight sticks, like is it to keep his hands from being tense due to the joystick or something
[7111.421] Umechan55: 老師、次点でフェニックスの一輝
[7113.318] (S)麻雀打ち: ペガサス流星拳とかまねした？
[7113.442] (S)べーこん118: いまだに一輝が初めて出て来た時のメガネは謎
[7113.722] ーたまむしー: 大して強くないドラゴン紫龍の盾
[7115.136] kimie_white: ゴッドウオリアー編は見てた？
[7117.707] 13geeky: @mattietwitch thank you 
[7127.762] yoshikawa_yo: 辰巳徳丸すき 剣道でなんとかする執事
[7132.417] hotaruru88: シャカはどうだった？
[7133.116] (S)curemikan: スコーピオンはシャアじゃないか
[7144.937] (S)べーこん118: ミロやね
[7145.245] hiuhia: he likes to use the hitbox for charge characters
[7147.875] lucentsnow: ムーか
[7149.402] titilrin: シャカって全キャラで最強らしいね
[7151.851] akiaki0612: ウメが星矢ならイッキはサコさん
[7153.235] hiisan: シュラでしょ
[7155.439] edsonzj: Daigo won two EVOs on Guilty Gears
[7156.222] junichitanaka: Some ppl don't know how to shorten their questions
[7157.220] stomachbb: シャカを好きなやつは少ない気がする
[7158.293] (S)多抜深夜: ピンチに出てきたイッキの期待感やばい
[7159.181] kimie_white: 最も髪に近い男
[7160.020] nepentheses: 一輝は舞い戻り過ぎ
[7164.213] (S)hatano_kuboya: 釈迦は目が開いたら最強
[7165.508] (S)べーこん118: 5感を奪うはやばい
[7167.329] 13geeky: Aye that makes sense
[7169.086] Umechan55: 小宇宙（コスモ）
[7180.376] (S)curemikan: ハーデス編のシャカめっちゃカッコイイじゃん
[7182.011] (S)macmega_: @13geeky hiuhia is correct... he uses Hitboxes alwys with Guile
[7183.422] yuuhase: 好きな技は？
[7185.717] (S)lunasolnars: 魔鈴とシャイナさんどっち好きでした？
[7190.561] Mayumix1025: 同じ技が通用しないのはチート
[7193.103] (S)べーこん118: ペガサスローリングクラッシュという投げ技ｗ
[7193.631] hiisan: ええ・・・
[7194.755] Umechan55: ウメちゃんの灼熱はコスモを燃やしてるってことにしよう
[7197.921] うわらば_: 千日戦争
[7202.253] akiaki0612: ストーム久保はカシオス
[7203.170] (S)よもぎです: ヒョウガもいいでしょ
[7208.937] 13geeky: Yeah I guess I was over thinking lol
[7214.111] jerich100: Can hold both directions with hitbox, easy charge
[7217.267] stomachbb: カシオスめっちゃいいやつやで
[7217.959] (S)19ze: 銅より金だよな
[7218.119] 13geeky: Thank you, again
[7218.640] lucentsnow: ネタにされるユニコーン
[7220.401] (S)curemikan: ゴールド聖闘士3人相手できるシャカ強いぞ
[7223.159] sasimi96: こんにちは！
[7223.822] audience01: 婦女子にはカミュ人気だったな
[7226.308] jimmythebarker: no gbvs for daigo?
[7226.446] Barluke_: Aldebaran is strong... just joking
