[23.788] (S)かげでん: な、な、な、なぜ今ｗｗｗ
[949.399] ~MISSING_COMMENTER_INFO~: ウメマルス
[954.278] クズ220: 捕らえるコマンドで倒せばいい
[959.377] gazesd: あえてのニュートラル
[961.834] lavel214: 捕らえるでとどめで捕獲できます
[967.189] (S)suginaka56: ゲームルール全然わからんから傍観
[969.862] scottiever06: オーシンとか言う化け物で反撃はダメやで
[979.478] kiriwo777: 必殺出たw
[981.493] moromororo: ｗｗ
[982.490] (S)prisira: 強い武器残さないときついよな
[984.637] poyoyon915: トラキア難しいけど、ウメちゃんプロゲーマーだしね
[987.511] shochann: FEオタクの人がトラキアクリアできたら、他余裕って胃ってたな
[989.268] (S)7yashiki: 捕らえるコマンド連打でいいんじゃないの？
[994.914] (S)komine58: 体格3以上じゃなかったっけ？
[996.346] on2au7: umecheer100
[999.602] loq901: なんかきた
[1029.117] poyoyon915: 情報量増えた
[1034.130] おじキッズ兄: 主人公よわｗ
[1036.153] mgs_faye: 手槍は遠距離攻撃だからフィンの勇者の槍だと一方的に攻撃される
[1041.650] (S)komine58: 唯一職マウンテンシーフ
[1043.874] (S)varoshi: 素早さも上まってないと、捕らえられない。
[1044.726] (S)henrietta19: 必殺とか連撃とかランダム性が激しいゲーム性なのでうまく行かなくてもしょうがないと思わないとやってけないよ
[1056.114] クズ220: 相手より体格が高くないと捕らえられない
[1056.956] コル: 今上に出てきた斧のデブが追撃できないから反撃削り向きだよ
[1059.381] kiriwo777: 戦士とか体格大きいやつら活かしていきましょう
[1059.436] inubow: 刻むねえ
[1068.810] (S)prisira: ステータスガチャなかったっけ？
[1076.788] scottiever06: 必殺係数というものがあってね・・・
[1083.822] (S)komine58: エーヴェルは不死身です
[1098.493] Festival_Laguza: ウメちゃんが本当にトラキアやるなんて思わなかったよ
[1107.130] poyoyon915: ウメちゃんはアドバイスどのくらい欲しい派？騒ぐのはいいって感じ？
[1113.355] YamaoP: 相手より体格が高くないと
[1120.906] (S)henrietta19: 体格ってステを見て
[1123.806] (S)komine58: 体格
[1129.867] beehive3: まさかのトラキア
[1133.188] muji_na: 体格が上回ってないと
[1137.755] (S)varoshi: 騎士は体格無視で捕らえられるぞ。
[1139.333] lavel214: 捕獲は体格が下回ってるとコマンドに出ません
[1155.165] (S)henrietta19: ステータス見て
[1158.182] jyube99: 体格が、相手より上回ってないと捕らえられない。
[1158.539] mgs_faye: 力や技とかとは別に体格っていうステータスがある
[1161.627] ksk_is_not_god: 馬乗ってる奴は体格でかい
[1162.095] dokkorashot: 死ぬのも一興だよ
[1168.411] Festival_Laguza: ラジコンはやめろウメの好きなようにさせろ
[1175.254] yuyuyu8438: せめて紋章にすべきやろが.........
[1176.908] コル: 体格が大きい奴が小さい奴を捕獲できる
[1178.942] dokkorashot: 体格が相手より上じゃないと捕獲できん
[1184.115] (S)kumatedd: 捕獲とかあるんか
[1186.173] berny80: みんなくわしいな。紋章の謎しかやったことないわ
[1187.621] gtm555: これ有野の挑戦並みに長くなりそうだな
[1192.145] poyoyon915: スコアボード用意しないと
[1195.051] (S)taisa0131: ウメちゃんおいっす
[1195.916] muji_na: 馬乗ってるやつは強制的に体格20扱いになるよ
[1196.406] (S)kumatedd: クリアできなそー
[1208.243] (S)pontarou: 捕獲しないと進めないん？
[1209.656] (S)komine58: タニタとオーシンは支援あるよ
[1210.271] isYaboiShaad: !rollup
[1210.990] ガイギー: フィンの愛用の武器
[1217.627] jyube99: 初見だとリセット多くなる。
[1220.929] zenzen108: 死神ナウマルスを超えられるか
[1224.556] コル: オーシンで絶対行ったほうがいい
[1228.338] (S)nukaduke91: オーシンでいくと装備もらえます
[1230.634] クズ220: いい武器もらえるよ
[1234.327] lavel214: 専用武器くれます
[1238.810] (S)varoshi: 体格が相手より大きいと、捕らえることができる。あと、重い武器を使っても攻速はおちなくなる。
[1258.439] (S)gengoro1198: もう自由にやろうぜ。いちいちコメント気にしてたらつまらんでしょ。
[1269.626] loq901: でもこれ詰むゲームなんでしょ？ｗ
[1276.736] beehive3: 詰むね
[1281.234] Valask: Daigo plays FE? 
[1282.880] mgs_faye: 平然と詰むね
[1299.465] Blue18653: こんばんはー。まさかFEするとはw FE好きなんですか？
[1305.055] gtm555: 詰んだところも見てみたい 見たくない？
[1311.438] zenzen108: 自由にやってたら何度もやることになる。何度もやるならいいけど
[1314.465] (S)あと1983: アビビ
[1315.110] (S)oimo: まさかのFE
[1323.498] (S)komine58: 捉えた敵を別キャラで引受て、装備剥がして逃がす
[1323.571] (S)diego_ohunabara: umeSalute
[1323.581] (S)henrietta19: このゲームの基本くらいは覚えないと序盤で詰まるよトラキアは
[1324.994] zero_yen: フロントミッションやりませんか？
[1330.723] (S)パチーノ: レトロゲー？
[1334.613] renreso721: いうてそんなラジコンじゃ見ててつまらんやろ
[1340.602] bacchuskou: 懐かしい
[1342.368] クズ220: 人捕らえるとステータス下がるよ
[1342.497] 伝説の狂犬チハル: ネット対戦？
[1353.145] tujimen: J-GUNは罠
[1353.172] (S)komine58: 杖鍛えないと詰むよ
[1355.439] (S)NIVEA1: わー！ゲーム配信だー！！
[1358.235] Blue18653: ジェイガンポジのことわかってるから結構やってるんだな
[1360.405] jyube99: むしろオグマ系です。オーシンは。
[1365.241] muji_na: 素振りは基本
[1373.787] okitakai: 聖戦はやったのかな？
[1382.284] (S)prisira: 難しいからラジコンそこまでできんと思うが
[1385.791] shinku_klein: トラキアまーじか ナウマルス以上の惨劇になるんじゃ…
[1392.907] (S)varoshi: 安心して、必ず死にまくるから。ヒントなんて気休め。
[1393.000] scottiever06: 捕獲したのは武器奪って開放
[1395.341] (S)mentp: トラキアが一番面白いのか？
[1395.395] (S)takeiteasy55: はぁ？なぜこのようなゲームをｗｗ
[1400.832] fgrhh: 俺も初見は詰んだ…
[1403.372] lavel214: マーティは命中が・・
[1405.769] zakkn: ｷﾚｯｿ
[1411.690] (S)diego_ohunabara: umeJam
[1416.570] えすけーえふ: すかっ
[1419.765] 鉢植: umeStare
[1420.498] (S)~MISSING_COMMENTER_INFO~: 避けられてる…
[1424.434] (S)takeiteasy55: トラナナをウメちゃんが配信する違和感
[1425.431] scottiever06: ９９パーでも余裕で外れる
[1430.342] (S)komine58: ベルサガよりは楽
[1436.437] hattrickn: これがCPTの特別なトレーニング
[1448.618] (S)henrietta19: フィンは最後まで行けるよ
[1451.556] unkobakudan: うめちゃんつよーーい！
[1452.284] zakkn: ゆうしゃの槍はまじ有能
[1457.906] come2gou: フィンはいけるでしょ
[1460.801] (S)komine58: いやいやフィンは強いです
[1464.755] come2gou: ジェイガンだらけじゃないよｗ
[1465.274] lavel214: フィンは育つのでokです
[1466.085] Banana_Cake_xd_: 今来た。まさかウメさんのファイアーエムブレムそれもトラキアが見れるとは感動ｗ
[1471.411] ガイギー: そうりょリフ
[1473.367] (S)kanchi0515: パンク戦の秘策か
[1476.265] okitakai: トラキアはライブですら外すからな
[1478.726] (S)oinari6: うめちゃんRPGとか能力で使うキャラ決めるタイプ？
[1487.420] (S)varoshi: 捕らえたら、武器はがして。
[1489.661] zakkn: 二人もてるひとおるう？
[1491.496] (S)nukaduke91: んっ斧もらって
[1493.430] (S)diego_ohunabara: umeWhat
[1495.887] (S)henrietta19: 捕らえたら、武器を奪って、
[1496.502] Custom2015: 人交換って・・・こえーな
[1496.624] mgs_faye: 武器剥がして解放
[1497.101] (S)takeiteasy55: ウメちゃん聖戦はクリア済みなの？
[1498.033] クズ220: 捕えたら武器もらって逃がす
[1498.562] (S)komine58: 武器剥がして逃がす
[1503.475] zakkn: リーフ盗賊団きたな
[1503.527] stvfang: 人身売買
[1504.728] (S)umeharagodaigo: ライブ外すまーじかっw
[1505.618] beehive3: 捕まえて奪うゲーム
[1511.310] えすけーえふ: 刀狩り
[1513.203] yusan090: 無知識でトラキア無理やろ
[1513.830] ulbaha: 武器のためにとらえてんのか
[1514.810] (S)varoshi: そう！
[1515.681] scottiever06: 武器はがして開放
[1515.849] loq901: へーそんなことするゲームなんだｗ
[1517.025] 106manK: 無力化ッケイ
[1517.660] (S)henrietta19: いい
[1517.851] クズ220: そうそう
[1518.462] コル: もうその敵いらないからポイ
[1519.477] mgs_faye: YES
[1521.580] (S)komine58: いいよ
[1523.053] zakkn: はがさないとお金足りないからねしかたないね
[1523.222] (S)varoshi: もういらない。
[1525.405] sora_neko09: 解放しちゃえ
[1525.411] loq901: 追い剥ぎかな
[1528.854] okitakai: 追いはぎして逃がす
[1534.930] (S)AmberColor: 皆さん、よく知ってますね...
[1537.213] (S)varoshi: それでワンクール。
[1542.290] poyoyon915: 基礎知識が積まれていく
[1542.680] (S)komine58: 解放しないとステ下がる
[1543.781] (S)prisira: 武器使用回数あるからねー
[1544.246] shichousha72: さすがの理解力
[1546.358] gazesd: 殺しがち
[1548.012] Banana_Cake_xd_: 装備はがしたら基本逃がすんだよね
[1549.128] mgs_faye: このシステムより有名な名がリーフ盗賊団
[1553.481] terrabattle: ネコハラ
[1554.354] (S)nukaduke91: オーシンで家訪問して
[1559.325] renreso721: 無慈悲
[1562.264] (S)henrietta19: こうして稼がんと武器が持たない
[1562.268] gtm555: 武器使いすぎると壊れるのは知ってる
[1564.186] (S)体調不良は背中をほぐせ: ｗｗｗｗｗ
[1565.007] come2gou: 皆殺し
[1565.402] (S)hiisan: こんちわ FEやってると聞いてきました
[1566.699] Ceciltaisa: ハルヴァン・・・どうして・・・
[1567.261] ガイギー: ｗｗｗ
[1567.910] gazesd: 手加減できんかー
[1573.412] lavel214: こうしてはぎ取っていかないと資金難になります
[1573.692] えすけーえふ: はいー
[1574.338] ガイギー: ハルにぃおつかれ～
[1575.436] (S)diego_ohunabara: umeSad
[1579.909] scottiever06: 待ち伏せ強いからな
[1582.030] (S)体調不良は背中をほぐせ: はりきってるやつおるな
[1583.093] hibiki3232: ハルヴァンよー
[1585.776] tropical_juice_ichigo: なんでトラキアw
[1590.147] (S)kumatedd: 情報なしで初見クリアむずかしそう
[1592.893] roytaly: プロいるな
[1595.133] (S)komine58: スキルが待ち伏せだからね
[1596.677] poyoyon915: 成長したな
[1597.878] stvfang: 追い剥ぎゲー
[1600.506] Rashomonizer: こんばんは、シャイニング・フォースとか懐かしいですね
[1600.643] zakkn: 初見殺しに 震えろ
[1607.560] (S)Papapadad: まさかこういう配信が始まるとは思わなかったｗ
[1611.816] (S)komine58: 聖戦やってないとなー
[1627.693] Banana_Cake_xd_: ma-thino
[1627.851] sora_neko09: 騎士も誰か捕らえてない？
[1628.156] (S)takeiteasy55: 捕える使っとるからやろ
[1628.203] gtm555: 外すねー
[1628.848] zenzen108: 情報無しで初見クリアは無理だと思う
[1637.155] jyube99: これからこのゲームで、悶えくるしむ梅原さんの姿が目に浮かぶw
[1637.453] okitakai: 理解が早くて流石
[1639.916] poyoyon915: オグマは強かったのになー？
[1641.632] コル: 捕獲で攻撃すると命中が激減するよ
[1646.275] loq901: FEやりたくていろいろ調べた結果トラキアはやめとこうって思った記憶だけはある
[1647.307] zakkn: 不殺
[1649.753] stvfang: 傭兵は給料分働くだけ 生残って金もらわないと
[1656.552] (S)komine58: このゲーム最高で99の命中率、100は無い
[1664.233] kiriwo777: 今作の傷薬は全回復だから重要
[1667.991] Banana_Cake_xd_: すんごいなつかしくてゲーム攻略とかあんまり覚えてないｗ
[1671.506] えいぞう: リーフ光の剣は傷薬代わりになりますよ
[1672.134] (S)henrietta19: 良くないです。ダグダ
[1678.554] factor0n: daigoooooooooo
[1679.685] yusan090: 聖戦でもうんざりしたけどトラキアダル過ぎて辞めた
[1694.211] poyoyon915: イケメンが強いゲームだからな
[1711.341] zakkn: ダグダ外伝いけなくてしなせたなーｗ
[1718.193] dokkorashot: 命中率は剣＞斧＞槍＞剣の三すくみの関係できまる
[1733.004] (S)りむ105: GivePLZ
[1740.863] (S)komine58: 前半はダグダ頼ってok、疲労もあるから使うべき
[1749.301] gazesd: LUL
[1750.912] beehive3: PogChamp
[1751.784] fgrhh: ｗｗ
[1752.736] zakkn: わーお
[1754.222] ulbaha: ｗｗｗｗ
[1754.930] jyube99: オーシンはオグマでっせ
[1758.450] tropical_juice_ichigo: FortHype
[1760.554] (S)体調不良は背中をほぐせ: ｗｗｗ
[1761.174] (S)varoshi: スキルもちだよ。
[1765.705] (S)takeiteasy55: 連続発動したら4回まで
[1765.958] えすけーえふ: wwwww
[1767.954] Banana_Cake_xd_: 3回とかすごｗｗ敵なしじゃんｗｗ
[1768.600] ガイギー: 連続→追撃
[1771.073] scottiever06: ジェイガンなんかと比べないでｗｗ
[1771.173] mgs_faye: あれ、今の連続発生？
[1771.986] (S)henrietta19: そうか疲労もあったっけこのゲーム
[1773.783] (S)メピパラ: トラキアってむずくね？
[1788.216] scottiever06: ２０回とか攻撃するからな
[1789.283] (S)komine58: トラキアは普通の人は無理です
[1793.768] (S)takeiteasy55: 突撃発動したらいっぱい切る
[1800.751] (S)varoshi: 個人スキル人によって違うぞ
[1824.782] goodguy3: Oh this game, this is the infamously hard Fire Emblem!
[1825.481] Banana_Cake_xd_: 疲労システムのおかげでめっちゃ頭脳使うねトラキアは 聖戦だとゴリ押しいけたけど
[1827.455] (S)hiisan: やったことないんだけど難しいんだこのゲーム？
[1832.445] drewspira: Fire Emblem 
[1835.427] zakkn: 暗闇面で悶絶だな
[1835.575] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[1837.601] モンゴル: こんばんわ
[1840.800] (S)メピパラ: まさかcc前にトラキア配信するとはw
[1841.093] (S)komine58: 激ムズ
[1845.787] (S)kumanobed: かなり難しいと思う
[1846.662] dokkorashot: FE最高難度だねトラキアは
[1847.116] sayuegu: このゲームコメ欄で知ってる人多いけど名作なんですか？？
[1851.008] kiriwo777: 初見殺しがやべえゲームなのは間違いない
[1856.782] Siberian644: Thracia776 - hardest FE game for me
[1857.754] yusan090: 難しいと認知されてて草
[1858.110] beehive3: 問題作
[1863.179] (S)henrietta19: ヤバゲーです
[1863.421] (S)prisira: 難しいことで有名
[1865.480] Banana_Cake_xd_: ベルウィックサーガとトラキア776はめっちゃムズいって聞いたことある
[1866.401] tropical_juice_ichigo: 聖戦の系譜くらいにしとけばよかったな
[1867.078] zakkn: 難易度では一番好きだなー
[1869.371] (S)hiisan: やべぇじゃん・・・ウメちゃん逃げてぇ・・・
[1873.189] (S)takeiteasy55: ある意味名作。普通に買えなかったからねぇ
[1876.976] loq901: 外人もむずい言うてるのかｗ
[1877.711] zakkn: 聖戦のがやりやすいよなｗ
[1882.622] purpleprint777: :O
[1886.603] (S)pontarou: 捕らえないと積むってことで良いん？
[1890.146] (S)kumatedd: 友人にかりてやったけど普通に詰んで返した記憶が
[1895.047] (S)takeiteasy55: 今Switchで出来るようになったらしいが。これはそれなんだろう
[1896.097] (S)komine58: 名作であり迷作であり問題作
[1900.075] zakkn: つみはしないがきつい
[1900.613] (S)metal_hellion: 聖戦はヌルゲー
[1902.206] (S)onigiri21: ムズいゲームでもウメちゃんなら・・・
[1904.678] Banana_Cake_xd_: ハーデストFEゲーム！
[1907.901] (S)prisira: シュミレーションはつむぞいｗ
[1908.986] scottiever06: 聖戦は育成しまくって無双できるがトラキアはできん
[1911.254] gazesd: 詰んじゃダメですよね
[1917.067] dokkorashot: 詰むんだよなぁ
[1918.651] (S)kumatedd: どうやって勝てるかわかんなくなって諦めましたねぇ
[1921.064] (S)komine58: いや普通に詰むよ
[1921.470] yusan090: 詰将棋みたいにぎちぎちに成ってるのに命中ではずれるとかイラつくんすよ
[1923.688] Ceciltaisa: シビアな戦争なんだよなぁ
[1925.362] (S)kumanobed: トラキアは詰む
[1925.736] (S)メピパラ: これは詰む可能性あるぞ
[1927.487] (S)takeiteasy55: いや初見だと割と普通に詰む可能性あるぞ
[1931.471] gnsxvmvjjpj: ※詰みます
[1931.694] bacchuskou: ファイヤーエンブレムって仲間死んだらそれっきりだよね？
[1934.446] zakkn: 初見ならそうか
[1934.652] (S)varoshi: 捕らえたら解放しないと。ステータス半減だよ捕虜がいるときは。
[1935.214] mgs_faye: 現時点でもわかりやすいこと言うと武器が無くなるとかetc
[1935.760] scottiever06: 最終章は特定条件下で詰む
[1940.740] えすけーえふ: 戦争は詰むか詰まされるかだから
[1941.407] (S)henrietta19: ときどとパンクが徒党を組んで襲ってくるようなゲームです
[1942.587] kiriwo777: ストーリーよく読んでないと地獄を見ます
[1943.729] keydashonline: :O
[1947.489] dokkorashot: 詰将棋でいきなり相手の持ち駒が増えるゲーム
[1949.772] Banana_Cake_xd_: トラキアは初見さんを詰ませる要素が盛りだくさんだよねｗ
[1951.832] (S)prisira: 武器も有限だしねー
[1953.890] hondata12: ジェイガンでゴリ押すのが一章の基本じゃないの？
[1956.126] stvfang: アドバンスド大戦略とか負けルートが帰結だと詰まない
[1958.599] keydashonline: hiii
[1959.707] (S)kitagawakun: ねこ
[1962.176] (S)komine58: 攻略見ても詰むし
[1962.257] zakkn: ケンプフの作戦が楽しみだな！
[1966.370] gnsxvmvjjpj: 神器
[1972.554] scottiever06: 鬼神オーシン発進して
[1972.779] (S)juuuunation: ScaredyCat
[1980.848] loq901: 弓の音が喉が鳴ってるみたいに聞こえる
[1983.632] zenzen108: 蒼炎と暁のリメイク出してほしいわ
[1985.385] (S)pontarou: 積む積む言ってるけどどういう状況で積むのか言ってるやつが居なくてワロタ
[1985.776] (S)takeiteasy55: 相手飛車角ばかりでうぜーなと思ってたら実際はワープであうあうなゲーム
[1987.346] stvfang: ｗｗｗｗｗ
[1991.375] zakkn: せやでｗ
[2014.258] moromororo: １章でシステム理解していこ
[2015.500] Siberian644: LUL
[2016.616] しみてん: なので他キャラで隣接させて人交換→物交換→解放
[2029.471] noob_oh: 味のあるドット絵とUIですねえ
[2034.636] (S)prisira: 強い武器は使わないようにしないとね
[2035.974] BendingMachineX: なにやっとんウメちゃん
[2041.926] scottiever06: きずぐすりで全快するで
[2048.711] malionl: 今のところ緩そうだけどそんな難しくなるのか・・・
[2048.775] (S)komine58: 敵の杖を無力化できないと積むね
[2050.810] zakkn: しかし何故今これをやるの？ｗ
[2057.611] gnsxvmvjjpj: 自軍すごい貧乏だからね
[2060.542] balthazar000: 猫
[2060.737] stvfang: 何っ
[2061.044] (S)メピパラ: 増援に蹂躙されるとか？
[2062.359] denden173: おつかれーｗ
[2072.528] rondarchia: ウメハラさんこのタイミングでトラキアとか正気ですか…
[2078.707] ﾃﾄﾗﾝ: 絶対クリアまでやれないでしょこれｗ
[2080.350] Ravenkool: Daiigo Umehara 
[2081.844] カメタロウ: ゆうしゃのやりもったいねえ
[2083.480] tropical_juice_ichigo: 忙しいとは思うが是非とも完走してほしいねぇ
[2087.956] zakkn: 閉じ込められて死ぬは通る道だねー
[2093.707] (S)メピパラ: なぜ今感はすごい
[2096.992] umechin: ウメちゃんがＦＥやってる・・だと・・
[2098.653] Banana_Cake_xd_: ウメちゃんのトラキアとか夢を見ているようだｗ 絶対にやらなさそうだったからｗ
[2100.439] (S)takeiteasy55: × フィン有能 〇勇者のやりマジ有能
[2101.358] shinku_klein: 軍師力を鍛えて格闘ゲームに活かしていく
[2104.267] (S)komine58: 3章が前半の山場
[2105.129] triskeal: 年越しでやられたらずっと見ちゃうわ
[2105.864] Angelos_BoC: Hi Daigo. Greece here 
[2107.416] jyube99: クリアまで配信希望
[2110.366] jony_avion: え？ウメちゃんがトラキア？何の冗談だ・・・と思ったらほんとにウメちゃんがトラキアだったｗｗｗ
[2113.136] yusan090: 発狂して投げ捨てる所まで見れたらクリア
[2119.607] stvfang: テスト前に小説や映画無性に見たくなるもんよ
[2122.448] (S)kumatedd: おっクリアまで寝ない枠だったか
[2124.968] pesca_on_air: なんで急にトラキアやろうとｗ
[2128.699] gtm555: 年越しトラキアってまじ？
[2129.379] loq901: でもウメちゃん難しいゲーム好きだから意外と続くんじゃ
[2129.398] (S)prisira: 詰んでも最初からやればいいから平気平気
[2129.719] umechin: あれ？これゲームボーイアドバンスとかだった？
[2130.890] zakkn: ｃｃ前だぞ！
[2131.486] zenzen108: ラジコンありでも相当時間かかるぞ
[2135.059] Banana_Cake_xd_: これこれーｗｗ
[2137.635] Ravenkool: Hello Daigo 
[2142.954] mgs_faye: 稀にそういうトラップが
[2143.216] hal90000: Hi Daigo. Dominican Republic here 
[2148.322] jony_avion: トラキアは元々はスーファミ
[2150.231] (S)henrietta19: ラスベガス言って帰ってきても寝れねえよっ
[2150.870] しみてん: トラキアは攻撃避けるだけでも経験値入るからこれだけでもレベル上げられるよ
[2151.548] zakkn: え？
[2153.423] (S)メピパラ: クリアまで寝れないならcc行けないやつ
[2153.490] (S)Brizaemon: umeSalute
[2154.417] (S)takeiteasy55: こんな時間にさんぽ配信かーと思って来てみたらまさかのトラナナで吹いた
[2157.204] (S)モンゴル: umeParry1
[2159.939] kiriwo777: セーブないです
[2160.790] mgs_faye: 章クリアしないとセーブできない
[2161.346] zakkn: ならなななめてるの？
[2161.759] (S)takeiteasy55: 中段はちがう
[2162.563] Ceciltaisa: 中段
[2162.833] bacchuskou: 途中セーブは甘え
[2163.348] yusan090: 下段かな
[2163.388] loq901: コンソールならクイックセーブあるんじゃないの
[2163.640] (S)あと1983: スパロボじゃないんだからさーー
[2166.571] (S)hiisan: わっかんねー
[2168.014] (S)avmajvm: セーブあるシミュレーションとかあるう？
[2171.225] (S)takeiteasy55: セーブは攻略中はできない
[2171.747] zakkn: フェニックスモードつかお
[2173.112] (S)komine58: 途中セーブ無いよ
[2173.448] stvfang: スパルタだな
[2173.708] yuiyui1991: いちおうVC裏技のセーブはあります...
[2174.060] shichousha72: さすがに？
[2175.756] debimaru72: 下段
[2176.404] shinku_klein: 戦争にセーブなんてあるわけない
[2176.793] tropical_juice_ichigo: そんなゲームじゃねぇから！
[2178.785] (S)prisira: コンソールだからあるんじゃない？
[2178.786] えすけーえふ: 一応ハードウェアセーブはあるよ
[2179.104] adawong123: 昔のゲームだから
[2181.677] svcchaozu: 禁術使うか
[2182.867] (S)varoshi: ワイズマン倒さないとセーブできないよ。
[2184.028] (S)kumatedd: いいね
[2184.273] (S)onigiri21: あまりにも硬派
[2185.160] umechin: おにいちゃん・・
[2185.902] jony_avion: キャラ死んだらそれっきりって事は知ってるんだろうか
[2190.160] (S)あと1983: 昔ってかFEはそういうげーむ
[2191.729] yusan090: 一時中断は出来るんじゃね
[2191.974] (S)yunyun_ada: wii-uのホームボタンでクイックセーブできるよ
[2192.162] Banana_Cake_xd_: 硬派 硬派
[2192.176] lavel214: そんなぬるいものはないです
[2200.983] えすけーえふ: ハード側でセーブは出来ますぞい
[2201.220] yuiyui1991: VCだからありますよ...邪道ですけどｗ
[2202.460] debimaru72: 設定でゲームスピード変えられるよ
[2206.605] tagane6: セーブできるって
[2207.226] kiriwo777: でもVCだからできるのか
[2207.931] ガイギー: レックスに勇者の斧を上げた泉おばさんだね
[2208.353] (S)あと1983: クイックゲセーブつかってこ
[2212.691] (S)khide05: リーフ盗賊団のゲームやってるな
[2219.188] zakkn: クイックあるのか
[2222.219] (S)komine58: 格ゲーといっしょだな
[2228.014] Banana_Cake_xd_: 手ごわいシミュレーションであるファイアーエムブレムシリーズのなかでも最高難易度のトラキア
[2229.483] balthazar000: よく見たらブルTシャツか
[2229.696] kiriwo777: wiiuのクイックセーブつかいましょ
[2230.081] コル: リーフ君は育成しとかないとやばいステージがある
[2232.717] (S)thefrozensun_: 格ゲーを今日一日やりきってこれ以上しても無意味だと判断したからだよ＞なぜ今
[2234.910] (S)henrietta19: 泉おばさん好こ
[2242.519] pesca_on_air: wiiUでやってるの？
[2245.999] loq901: こんだけ悪名高いゲームも珍しいなｗ
[2252.089] umechin: ウメちゃん、ＦＦタクティクスやらない？
[2253.473] かけ男: おお～ウメさん息抜きしてんのか いいね
[2256.333] hal90000: 1999 Fire Emblem 
[2257.064] (S)komine58: エーヴェルの素性知ってます？
[2259.365] debimaru72: 人交換っていうのもあるでよ
[2266.321] jony_avion: 息抜きにしては高難易度すぎるわｗ
[2268.250] kokotaneko77777: もんじゃやれよ
[2269.481] zakkn: てか初プレイなの？
[2272.109] naosansan: 一章でこれだけ理解してればすごい方だと思う
[2273.574] メンタム: ウメちゃんこんなに捕えなくていいよ
[2276.307] (S)natoooji: アンサガより難しいんか？
[2277.079] (S)ememeume: 音楽が懐かしい
[2277.978] (S)takeiteasy55: ネタばれはやめてやれ
[2286.232] Valask: Turn count must be through the roof T-T
[2286.824] stvfang: ディスガイアよりは健全かな
[2296.454] (S)metal_hellion: 中盤辺りから味方にも壊れっぽいキャラ入るけどね、それでも無双はできない
[2309.256] lineline999: 0
[2311.433] カメタロウ: 変えないよ
[2311.676] balthazar000: ０G
[2312.104] bacchuskou: 0
[2313.354] shichousha72: 金…
[2314.287] (S)prisira: 金ないｗ
[2314.320] (S)あと1983: おかねない
[2315.033] (S)juuuunation: ０
[2315.860] mgs_faye: お金がない
[2316.203] (S)takeiteasy55: 金ねーじゃん
[2316.636] umechin: ０Ｇ
[2318.495] (S)domontyan: ｗｗｗ
[2319.401] (S)hiisan: かねないがｗ
[2320.259] sora_neko09: 金ない
[2320.383] 106manK: 文無し
[2320.575] yarukiannu: っw
[2321.371] hal90000: 0G 
[2321.979] (S)モンゴル: ｗｗｗｗｗｗ
[2322.098] tagane6: ０G
[2322.246] (S)avmajvm: おかねおかね
[2322.463] umechin: ごめーーん
[2322.473] ガイギー: ノークレジット
[2322.790] (S)あと1983: ０クレジット
[2323.168] (S)onigiri21: ウメちゃん金欠
[2323.398] beehive3: 0G 
[2323.800] tropical_juice_ichigo: 金もってねぇじゃねぇかw
[2323.834] (S)takeo_onakasuita: www
[2325.298] Ceciltaisa: 文無しがよー
[2325.895] (S)domontyan: うめちゃん？ｗ
[2325.903] gtm555: あなたさぁ～
[2326.162] saron00: 道具やいっても金がない このゲームは
[2327.255] zakkn: 貧乏・・
[2328.333] (S)kumatedd: すまん、かねがない ｗ
[2328.517] ulbaha: ｗｗｗ
[2329.047] balthazar000: 財布落としちゃった、、、
[2329.383] tagane6: ゴザプレイ
[2330.654] (S)Papapadad: ウメちゃん・・どうして・・・
[2330.793] goodriser: なんで0なんだよ！W
[2331.721] scottiever06: 金は奪ったものを売る
[2331.880] game_out: ヌキさん予防
[2333.454] jony_avion: ウメちゃんと違ってリーフは金ないんすよ
[2336.349] (S)あと1983: コロッケチンしてたべよ
[2338.954] oheya36: 一文無しの軍隊ってあるぅ？
[2340.367] gazesd: 村襲われてんだよ無料で提供しろ
[2343.756] (S)avmajvm: ウメちゃんに金ないと言わせるとは・・・
[2344.481] (S)kumatedd: ウメちゃんはあるのにゲームの中では…
[2347.189] (S)atsu_240: 冷やかしは帰んな！w
[2349.858] ガイギー: リーフもレッドブルにスポンサーしてもらお
[2351.506] pesca_on_air: まるごと保存ってやつ使えば疑似途中セーブできるな
[2352.734] (S)henrietta19: むずいステージで捕らえるとかやってらんないし楽なうちにかき集めるのが良かったはず
[2354.989] mgs_faye: 命中！命中！
[2356.021] (S)kumatedd: スポンサー募集ｗ
[2357.665] (S)komine58: 人がやってるの見るとやりたくなってくる
[2360.337] (S)takeo_onakasuita: w
[2360.682] (S)prisira: ステータス差大丈夫か？ｗ
[2362.365] zakkn: ボス捕らえないといけないとこもあるしなｗ
[2364.122] BendingMachineX: 最近のファイアーエムブレムはとらえるとかあるのか
[2368.515] (S)avmajvm: わかっているのか、おい
[2370.045] hal90000: Both miss 
[2376.331] francetaro: 奴隷制
[2376.554] loq901: 酒飲みながら見るウメちゃんの配信は最高や
[2376.569] balthazar000: 最近、、、？
[2378.910] saron00: ボスも捕られられるけど、捕獲時はステータスさがるので攻撃あたらないほうがおおいです
