[24.046] kobayan86BRZ: 見れた
[2803.210] prisira: それ波動打たなくていいやん全部ジャスパだし
[2806.941] sndkzfm1: スト5リュウは強くないのに使用率1位
[2811.838] 風水ライダー: 難しいことしてるキャラの方が強いのはまぁしょうがないとは思う
[2824.509] (S)hanageeee: 確かに、決勝でリュウ対ケンは見たくもある
[2826.728] (S)reg112v: ジャスパしたら集中貰えるとかっこいい
[2828.799] wangjinrei1138: リュウケン対決だろうとそれが続けば飽きられるよ
[2832.169] gajonaori: 真昇竜当てたら相手のバフ全部消すってすればピンポイントで使われるかもしれん
[2833.277] Moneybagzzzzzzz: wow
[2834.965] 夕匕木丙木弓1: 錬気を４まで貯めれるようにして４になったら技が常に強化されるようにしよう
[2840.794] (S)yomoyansan: ジャスパ優遇面白いね
[2844.336] latenight000: リュウが強キャラになる上で、目指すべきだった「ハイスタンダードキャラ」枠もルークに奪われ、もうリュウの行く道は色物しかない
[2845.859] syura26syusyu: リュウもサイコパワー使おう
[2847.613] Moneybagzzzzzzz: that was some tekken shit
[2855.383] sweet_19: ｗｗｗ
[2855.712] (S)gularain: ｗｗｗ
[2856.783] (S)日本語かな: ww
[2858.114] ミスターポポ: なんかキャンペーンみたいだな。ジャスパで集中もらえる
[2858.691] 今夜が山田ァ: エスパー専用キャラ
[2859.588] TB2117: ｗ
[2860.236] sweet_19: BibleThump
[2862.306] (S)gularain: それはそうｗ
[2867.581] 1108044k: それプラス集中複数ストック可能だったら強そう
[2867.960] TB2117: ばっさりｗ
[2873.648] lesame: スト5みたいに当身キャラだけはやめてくり〜
[2873.819] ケツ洗い坂48: ジャスパ集中は翔が使ったらやばそう
[2874.824] (S)dokuyubi: やっぱリュウが強くあってほしいよね ゲームの顔だし
[2875.553] prisira: まずＯＤ波動のダウンを膝崩れとかにしよう
[2876.672] gajonaori: てか常時集中しろっていう話
[2876.681] (S)GG_sensay: それいったら、、、、
[2877.333] reaoamiaca: リュウは波動だけでも最強になればなあ
[2879.232] bumpy671: 火力はエグいやんリュウ
[2880.254] arizonafiend: lowti3Laz
[2884.251] korekitwitch: ラッシュ早くないとダメだと思う
[2885.766] (S)merkava_mk2: １番不遇なのはザンギさんなんだけどね
[2886.172] OKG_TWIN: 今のリュウ、壊れ技ないよう念入りに補正とか調整されてるから
[2889.526] (S)gorogorogorn: うめリュウいつ見れるんだよ
[2891.875] Aroma8854: ジェイミーみたいに足払いから集中できるようにしよう
[2896.771] (S)kimi_3_: ダウン取ったら集中になれる
[2904.740] 記入漏れ: 火力がエグいのはＳＡ３絡めた時だけだよ、それもマリーザやＪＰには遠く及ばない
[2908.880] (S)tabibitox: 中足ガードで確定か
[2916.678] gatsbyin: リュウはネガティブ要素多いね
[2917.200] novea19: 全部吐いたリュウは火力凄いけどそうじゃないと大したことないぞ
[2917.924] 風水ライダー: 電気やられで追加コンボできるとか
[2922.531] prisira: それなら膝崩れにしない？電気だし
[2922.683] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[2922.701] korekitwitch: それでもケンでしょｗ
[2928.481] latenight000: つーか、集中してOD使って当てても、真空波動で追撃できるの距離限定なの意味わからん
[2929.574] 1108044k: JPみたいなキャラいれるなら多少やりすぎてもいいじゃん
[2932.354] (S)matoo0777: 中足を７Fにしてほしい
[2934.442] boco_gaming33: 単純に弾の威力上げるとかは?
[2935.138] scottiever06: ついでに集中波動のダメ2000にしよう
[2935.351] wasabinasusan: ソクトウ当てたらストックとか？
[2936.072] taroru3: ザンギは今のままでいいぞ
[2937.207] bumpy671: マリーザとくらべたらあかん あの三角筋見てみろ そら火力あるやろ
[2937.227] heijitusan: 大足キャンセル可能にしよう
[2942.619] Radio_hitd: 野獣杯の優勝賞金はいくら？
[2944.688] gajonaori: 一人だけゲージ１本使ってドライブインパクト属性ついてる波動撃てるのも
[2945.269] xyz1648: 微妙なところはそのままに尖った性能は欲しいね
[2961.884] taroru3: 集中というより覚醒ｗｗｗ
[2968.296] (M)(S)gameinntwitch: 大足と旋風脚をキャンセル可能にしよう
[2969.139] prisira: 気づいてほしいあの技名集中じゃないことに
[2975.149] TB2117: いやほらリュウは修行してるから
[2977.067] (S)gorogorogorn: キメツのリュウ
[2978.001] latenight000: 集中だから悪いわ、デビル化みたいに殺意の波動まとったことにしよう
[2980.646] だがたかし: タメ波動ででんじんにしちゃえ
[2982.244] kiyomo001: 集中5回貯めたらエグゾディア
[2982.760] gajonaori: 大集中してくれ
[2983.900] kskskn: 今どきは全集中じゃないとダメか…
[2985.713] (S)dokuyubi: 集中！の時やっぱ口とがらせてるのかな…
[2991.858] (S)yomoyansan: 技の多様性より威力を磨いてるって設定なんだから相応に反映させてほしい
[2992.005] chinnen1: インパクト返しでタゲコン漏れるのもなんとかしてほしい
[2996.742] sndkzfm1: ケンはストーリー主人公、JPはラスボス、リュウは岩に座ってるだけ
[3005.862] (M)(S)gameinntwitch: ディージェィもだけどね
[3008.245] dai920san: 集中は時間制にして波動撃つまで攻撃力アップは壊れるかなぁ
[3011.504] syugi3: 集中して殺意の技思いだそか
[3022.754] (S)日本語かな: 旋風脚はノーマル竜巻でキャンセルさせてくれ。確認してるのにOD竜巻だけって何？
[3024.751] syura26syusyu: そりゃはどぅーけんって煽られるわ
[3025.048] Radio_hitd: Does anyone know how much the grand prize is in the beast cup?
[3025.076] arizonafiend: GIGACHAD Luke
[3026.082] xyz1648: 集中！→瞬獄殺
[3032.614] まるいとうふ: BibleThump
[3032.694] かべ_娘は双子: 集中の使い方増えたらいいね
[3032.708] gajonaori: せっかくフォトナとコラボしたんだし、SA3をロケランにするか
[3033.893] (S)とまとたいがー: 焼酎！て言って酔拳キャラになるのは駄目ですか
[3034.041] 1108044k: リュウは強いとすぐ調整されるのに弱い何もされない
[3036.099] (S)mimiprettybot: 集中アイコン作ってストックできるようにするか
[3043.268] nakao1976: りゅうなにしたんや？w
[3043.396] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[3043.662] latenight000: ルーク「リュウさん・・・もう、"隠居"したらどうっすか？」
[3054.551] johndoe6523rp: 集中したらドライブゲージとSAゲージ回復
[3055.690] (S)gularain: ；；
[3064.906] sndkzfm1: パッケージはルークだよ
[3065.574] ケツ洗い坂48: もうチャカ持たそうぜ
[3070.009] tosusan: 人気もあるのにもったいないよなぁ
[3070.478] Moneybagzzzzzzz: ; ;
[3070.499] messhu0: リュウをベースに調整してそうだからなぁ
[3072.648] 記入漏れ: でもねぇ、カプコンは宣材のトップにリュウさんを置くんだぁ
[3072.761] (S)voyager029: もう集中でSaゲージ盛りにもれるようにしようか
[3073.250] TB2117: 日本のキャラを強くしたくないのかな
[3074.116] maddy2623: "元"顔ね
[3074.946] 大作_: 集中でプレイヤーの反射神経が上がるようにしてほしい
[3077.141] 夕匕木丙木弓1: いうても今作ケンとルーク主役やし二人は強いし…
[3078.438] lesame: もう5年くらい弱いのに…
[3078.699] チャビ20: ザンギはめちゃくちゃ良いバランスなのになぁ
[3079.265] ﾃﾄﾗﾝ: 性能微妙でも使用率高いから強くしにくいのかもね
[3079.341] (S)dokuyubi: でもパッケージイラストルークに乗っ取られてたし…
[3081.215] gekizawa: 格ゲー界の顔なのに・・・
[3082.535] latenight000: ダルシムの知名度もすんごい
[3084.526] reaoamiaca: 剛拳呼び出せるようにしよう
[3086.317] ゆきおん: 斬空使えるようにしよう
[3087.208] Hagimagi_14: ストーリー上はケンとJPの戦いだしね
[3088.599] gajonaori: どっちかいうとケンとチュンリーが今回時代に合わせて進化してきたって感じはある
[3090.500] 風水ライダー: カゲの横に撃てる空中波動拳欲しい
[3093.816] ペプシ男: スト6最後の年はリュウが最強になってるよ
[3097.012] xyz1648: not money, Daigo do anything for champion is prize
[3098.107] moririka755: いまでも知名度はリュウ、春麗よ
[3099.604] だがたかし: ６でもけっきょくこの扱いなのか・・・
[3105.391] LooseDash: スト2の面子はもう全員有名だよね
[3107.431] (S)matoo0777: チュンリーはあんなに強いのに、どこで差がついんたんや
[3107.865] Goodwisp: ５の時にコラボ出稼ぎ頑張ったのにこの仕打ち
[3111.971] (S)gorogorogorn: 集中でジャスパ猶予３フレに
[3116.146] dustblowers: ダルシムあたりが知名度高そう
[3125.689] syura26syusyu: おれが小学生の時、じゃんけんの派生で波動拳のモーションみんなでやってたよ…
[3125.875] arizonafiend: Luke is the new ryu
[3130.162] prisira: カプコンはリュウ嫌い説ない？５のシーズン２からゴミキャラだよ
[3133.281] lare153: スト5のS2からどっかでまた強くなるって言われ続けてたけど結局最後まで弱かったなリュウ
[3135.170] (S)dokuyubi: 定期的にリュウのことおもいだしてみんなで話すよね 昔の知り合いみたいに
[3135.675] ikkoku24: フォートナイトからチャカ持ち帰ってこい
[3136.134] wow75: LUL
[3136.376] battyo76: ルークのアピールのハドウケンって言うやつ見ると面白いよ
[3136.624] チャビ20: 春麗の10倍コンボ簡単だからそこは仕方ない
[3138.479] gajonaori: そろそろモンハンで修行してた豪鬼が帰ってくる
[3140.195] 記入漏れ: 強くする方法がカプコンもわからないんだと思うよ
[3142.147] Moneybagzzzzzzz: I'm glad I have the twitch translate extension lol
[3142.584] yoshikawa_yo: 波動撃つたびに波動メダルあげよう もちろんラウンド持ち越しで
[3142.865] (S)tabibitox: 春は難しい高性能キャラって立場を維持してる。リュウは簡単なのがあかん
[3146.624] ebikatsu39: 体験版が全盛期は悲しい
[3146.813] konechan013: マゴがリュウ救ってたぞ
[3149.843] (S)オワオワタ: リュウは客寄せパンダってワケ
[3162.169] TB2117: 今インドが伸びてきてるからダルシム強化来るか
[3163.000] Moneybagzzzzzzz: this shit is funny
[3164.967] gajonaori: リュウはブラックカードでマゴさんに案件出してる
[3166.378] (S)voyager029: リュウだけSa
[3166.821] dustblowers: 波動拳を強くするのが原点っぽくて一番良さそうだけどな
[3168.361] johndoe6523rp: ケンが竜巻昇竜できるんだからリュウにも百鬼つけてけれ
[3170.345] 夕匕木丙木弓1: 初代スト位昇龍で削れるようにすっか！
[3174.684] まるいとうふ: RyuChamp
[3174.865] sndkzfm1: カプコンはスト3以降ずっとリュウから主人公交代させたがってるから 成功してないけど
[3178.378] かべ_娘は双子: うまいひとはリュウがそこそこだからリュウ使ってるまであるからなぁ
[3180.013] nakao1976: 客寄せ撒き餌？
[3180.256] moririka755: そなたにリュウを救えるか？
[3180.293] momomo00123: リュウはエンディングウォーカーが救ってる定期
[3180.481] latenight000: ルークという令和版道着の完成形ができて、リュウの行き先が無い
[3184.039] Radio_hitd: @xyz1648 Anything? I mean anythinggggg?
[3185.458] (S)日本語かな: 本当に望んでるのはパッと思いつくような強化じゃなくて予想の斜め上をいく調整なんだよね。5の是空のキャンセル変身とかあーいう感じ。
[3186.371] bumpy671: マゴのはあれはモビルスーツじゃなくてパイロットがやばいだけ
[3189.172] 記入漏れ: なんかイベントや大会あるごとにトップ画像を飾ってるから忘れようもないぜｗ
[3192.667] nappamatei: コパンのダメージ8000でギリギリ強キャラぐらいかな？
[3193.239] (M)(S)gameinntwitch: 大丈夫そうなので仕事もどります。人狼最大トーナメントもチラ見してねー
[3199.502] (S)voyager029: リュウのSa
[3199.931] taroru3: 下手に玉強くしたらサガットが出た時に差別化困りそう
[3207.452] prisira: まぁ竜爪くれよって話よ
[3211.022] goozy009: メンおじありがと〜
[3211.270] かべ_娘は双子: リュウはとてつもないアイコン。ストシリーズだけじゃなくて格ゲー全体のアイコンだからヤバい。リュウと春麗。
[3214.361] syura26syusyu: めんおじおつおつ！
[3220.257] latenight000: 結局、リュウの弾より強いキャラがいるからね、ガイルとかサガットとか
[3221.882] maddy2623: メンおじお疲れ様です
[3224.341] 風水ライダー: タメ要素はルークが持っていったからなあ
[3228.151] かべ_娘は双子: メンおじありがとう〜
[3228.803] TB2117: ルークが出てきて居場所がないからこそ殺意に目覚めてもいいのにな
[3230.612] Radio_hitd: @moneybagzzzzzzz How do you get that extension?
[3240.483] doderino: i love you diego
[3240.918] Goodwisp: SA2を殺意モードにするとかで色モノになるしかないんだ
[3250.578] Moneybagzzzzzzz: It's on the chrome store
[3262.962] migiriugachi: マゴしいのは自虐コンテンツではある
[3268.838] かべ_娘は双子: ルークへの殺意に目覚めたリュウ
[3273.586] latenight000: 嫉妬の炎に染まったリュウ
[3277.379] onlineguile: Just learn Japanese then you wouldn’t need a translator
[3281.810] (S)voyager029: そろそろ片手で波動拳打てる様になって
[3290.014] (S)とまとたいがー: 集中長押しでドライブゲージも回復
[3293.638] no_name__yet: リュウは、任天堂で言えばマリオ的存在だと思うけどな。カプコンはリュウに何の恨みがあるんや
[3294.571] 夕匕木丙木弓1: 毎シリーズ修業した修業したって言いながら他キャラに遅れ取ってるの恥ずかしくないんか？
[3296.768] 青鬼12321: マゴさんのリュウ見てたけど当たれば強いけど当たらなかったらゴミみたいな感じだったから、懐に入り込みやすくなる技が欲しいって感じなのかな？
[3297.809] Moneybagzzzzzzz: @longshoted_ bet, Imma go do that rn
[3298.346] TB2117: 嫉妬のリュウｗ
[3298.972] sndkzfm1: 何キッカケで殺意に目覚めるんやリュウは
[3299.460] johndoe6523rp: 変身は鉄拳のカズヤみたいだな
[3311.987] Radio_hitd: @longshoted_ many kanji 😭
[3313.240] bumpy671: もしかして尖ってないのが真のスタンダードって事かカプコン
[3313.496] yoshikawa_yo: ギルみたいに灼熱波動と氷波動作ってコンボ伸ばして
[3315.475] onlineguile: @moneybagzzzzzzz glad I could help 
[3329.219] チャビ20: 何でこんな運びにケンと差をつけたんだ
[3334.083] bumpy671: 素うどんや リュウは素うどんなんや
[3334.675] 記入漏れ: 波掌撃モリモリ強くして弾と双璧で軸にして戦うキャラか、通常技強化するか ぐらいかな
[3335.485] ババシャツ: 是空みたいに殺意と切り替えれるようにしておくれ
[3343.589] (S)izm03: 大ゴスをキャンセル技にして、波動拳の速度を弱を遅く強を速くして欲しい、OD波動掌をドライブインパクトと同じやられ効果にして欲しい
[3348.816] TB2117: 素うどんｗ
[3359.053] prisira: とりあえず中足波動連ガにしよう
[3359.609] (S)オワオワタ: 今回ケンに色々与えられすぎたな 物語的には全て失ってしまったけど
[3365.531] 記入漏れ: 今日日、店で素うどんだしてるようなトコないぜｗ
[3366.239] successmk2: そもそも殺意の波動はもう捨てたから使えないよね
[3366.564] Radio_hitd: @moneybagzzzzzzz What is that extension called?
[3368.487] hinatazaka46_hinanoosi: 他のキャラはボクシングでリュウは空手のイメージ 一発は強いけど当たらない
[3371.005] ドドリアン: リュウソウとヒャッキよ
[3383.663] (S)yamato925925: ニューチャレンジャw
[3385.750] (S)gorogorogorn: どんな認定戦だよｗ
[3385.826] onlineguile: @radio_hitd you only gotta learn like 40 of them , most of these people are writing in simplified kanji
[3386.611] (S)tabibitox: 認定戦とよくあたるなぁ
[3387.220] TB2117: 素うどんはひどいｗ
[3394.382] かべ_娘は双子: 一生リュウの話できるやん
[3396.153] konechan013: ケンだけトッピング多すぎませんかね
[3398.343] 記入漏れ: 捨てたんじゃなくて克服したのに、特に変化がなかった･･･
[3399.424] gisvmpwf: やっぱ地面から波動撃つか
[3404.023] ババシャツ: 素うどんは通なんよw
[3407.679] パチパンチ: ランダムか
[3408.433] ムエタイ: パイナポー
[3412.827] jojojogiogio: いきなりダイゴとの認定戦とかコワすぎる
[3413.543] akasanz3x: 認定戦の相手が悪すぎるｗ
[3417.325] unlimited_teddy: 認定戦の門番がウメちゃんってヤバすぎだろw
[3421.776] sirokurorabbit: どすこいパイナポー？
[3424.767] gajonaori: ケンはこれで弱かったらほんまなんもない煽りされてただろうけど、クソ強いのでセーフ
[3428.947] (S)tabibitox: 3連勝ってとこは認定戦8勝1敗でウメちゃん引いたかな？
[3429.743] Moneybagzzzzzzz: check whispers
[3438.397] sndkzfm1: 自分の為だけに修行してる奴は弱いって事や
[3444.097] korekitwitch: ハブでいっぱいやってるのかな？
[3445.400] TB2117: リュウネタおもろいなーｗ
[3447.327] (S)戦う山田: ランダム強者
[3447.468] sirokurorabbit: 神による選別
[3448.997] (S)yamato925925: このニューチャレンジャー強いな
[3449.138] 夕匕木丙木弓1: 認定戦でウメハラさんと戦えるのは嬉しい
[3454.751] 風水ライダー: ぱいなぽーいいなー
[3461.732] 記入漏れ: 新要素の格差がマジでとんでもないのよなぁ･･･
[3469.461] maddy2623: これぱいなぽー？
[3470.193] 記入漏れ: 新技、か
[3470.442] domontyan: やさしい
[3470.720] (S)dokuyubi: ウメちゃんもしケンが弱かったら誰使ってたんだろう
[3474.715] dadadai17: 負けたアアア
[3478.067] kurobedam: あれ？
[3478.756] esutark: ウメちゃんって、強いけどこういう人に負けるよね
[3479.818] Moneybagzzzzzzz: idc what anyone says lily is scary
[3483.831] log_zzz: ビクビクしてるのじっと見られてた
[3484.270] (S)gorogorogorn: 永島さん？
[3485.726] ババシャツ: 普通に負けたw
[3486.059] (S)tabibitox: パイナポー？まさか
[3487.242] kamonan_9: ぱいなぽーといえばイーグルスパイク
[3489.384] 記入漏れ: ガイルじゃないかな？
[3493.246] hamham9999: リリーこれで１年調整なしなの可哀そうだな
[3496.419] unlimited_teddy: ディージェイじゃないかしら 興味持ってたし
[3496.633] 風水ライダー: リリーもってるのか
[3499.365] (S)オワオワタ: 元チームメイトじゃん
[3512.601] TB2117: やばい名前がじわるｗ
[3516.795] TKC_BOO: ささもくん、今日だけで10キロ痩せたらしい…
[3522.820] esutark: LP2000よりこっちのほうが怖い
[3526.692] maddy2623: 10キロｗｗ
[3535.982] mm2351: 少し痩せた方がいいな
[3536.287] gajonaori: パイナポー本人だったら感動の再開だというのに
[3538.040] yamamoto0713: ササモほんとに頑張ってほしい
[3539.562] latenight000: レオくんダイエット
[3540.379] (S)戦う山田: 笹松
[3541.142] ebikatsu39: ナガシマパイナポーなの？
[3541.686] (S)GG_sensay: ランダム持ってる猛者とかすごすぎ
[3543.673] gatsbyin: プロが使わないだけで一般レベルでは十分リュウ強いと思う
[3544.541] kamonan_9: 160kgだっけか？
[3552.580] akasanz3x: メンタル相当やられてるやんｗ
[3552.900] (S)yamato925925: レオ君とか当たって欲しいけどないだろうなぁ
[3555.057] sndkzfm1: 1日で10キロ痩せるのは物理的に可能なのか？
[3559.018] 記入漏れ: 流石にどんな巨漢でも１日10kg痩せたら失神する
[3561.786] nakao1976: 瀕死ダイエット
[3561.857] 風水ライダー: レオくんマジで強かったからな
[3565.909] (S)オワオワタ: シュッとしたササモと成長したレオ君の再戦みたいなぁ
[3566.062] (M)Moobot: ＊＊新ヘッドセット登場＊＊ HyperX Cloud III -- ヘッドホンクッションが大きくて柔らかいので耳が痛くならないよ！ → https://hyperx.gg/42XVwOf
[3568.399] (S)gorogorogorn: レオ君ダイエットいいな
[3583.409] ozizo333: リリーはやっぱ強くないのかな？
[3586.579] domontyan: ささもにい、
[3588.644] yamamoto0713: エンディングウォーカーがはよ勝ちたいならケンにしろってツイートしてたのちょっとかなしい
[3594.921] konechan013: ゲージ管理出来るレオくんもちょっと見てみたい
[3595.118] (S)日本語かな: リリーが本当に弱かったら何でMR1900〜2000にいるのって話
[3597.885] ペプシ男: 一日１０キロは肉えぐられないと無理だろ
[3599.446] n12d: i love you daigo
[3603.576] successmk2: 1日に10キロはもはやダイエットじゃなくてなんか生んでるね
[3609.004] 特盛りポテト: 仮に130キロが120になった所で誤差だろ
[3609.355] novea19: リリィ強くはないけど尖ってはいる気がする
[3610.954] mm2351: 試合直後のササモの顔が忘れられません
[3611.482] (S)オワオワタ: 起き攻めしないで風まとう女
[3612.809] gajonaori: ドライブゲージ振り回しスタイルも間違いかわからんくなってくるのがドライブシステムの奥深い所
[3617.821] yamamoto0713: トリコのウンコが15kg
[3618.278] 記入漏れ: 実際EW氏はちょいちょいケンを使い始めているよ
[3618.570] kamonan_9: ダイエット企画の罰ゲーム下手すりゃ死ぬから変えて欲しい
[3621.273] TKC_BOO: ルーク人形がトラウマになる唯一の人物、ささも
[3621.315] 0mantv: 結構おるな
[3622.403] (S)merkava_mk2: ワンチャン引く力はある
[3622.807] 歩歩歩: 戦ってる分には通常技長くて嫌だわリリー
[3625.956] (S)gorogorogorn: 本田も入れてあげて
[3627.861] ババシャツ: 水分とクソで減ったか
[3628.186] sei_6: ササモ兄にはまずダイエット頑張ってもらって
[3629.791] (S)yomoyansan: 上位とそれ以下の差が残酷すぎる
[3629.823] hinatazaka46_hinanoosi: リリー使いこなせば強いよ。一生二択迫れるし
[3634.149] (S)ドラキュラおじさん: バフ技持ってるキャラってイマイチな感じか
[3635.311] Eigyotyu440: 8万キロカロリーは減らんだろ
[3643.029] prisira: でも杖の方が強いよ？
[3648.508] moririka755: 武器使うの反則
[3652.800] esutark: ササモって可愛いよな
[3653.557] sndkzfm1: リュウは脱ぐとパワーアップする重い道着
[3657.181] ozizo333: 隆ジェイミーとかよりは戦えるって感じなのかな？
[3661.426] 蝉時雨: コマ投げ持ってるキャラが有利な突進技持ってるのが嫌すぎる
[3661.671] akasanz3x: 杖おじやばいだろｗ
[3662.829] novea19: つーか一番高齢のJPが武器使うってモラル的にどうなの
[3663.541] vitey_san: Dia
[3663.889] 歩歩歩: JPの杖に神経入ってないのリアル思考すぎる
[3665.095] gajonaori: 格ゲー界で強い武器といえば杖、傘
[3670.037] gisvmpwf: 釘バット持たせたら？
[3673.697] 風水ライダー: 防御は不安あるけど強みはあるよね
[3675.493] (S)gorogorogorn: リリーも殺意の波動持ってるよね
[3676.444] sweet_19: nemohand1JP
[3681.743] TB2117: リュウはＪＰに杖もらおう
[3682.511] shiroinurin: www
[3683.246] ドドリアン: 棒はずるい
[3684.600] maddy2623: 16連勝？
[3694.856] sndkzfm1: リリーの波動はダルシムが心配してる
[3696.440] (S)日本語かな: 弱くても荒らし性能高いかどうか
[3702.987] prisira: ５から棒に神経つけてたのにｊｐどうして
[3704.797] 夕匕木丙木弓1: ラシードは結局どうなんやろうねー
[3705.289] bumpy671: リリーも棒持ってるし差し合い強いんちゃうんか
[3709.835] 記入漏れ: もう剛拳の数珠もらって振り回すか
[3710.139] Radio_hitd: umeGoat
[3727.078] latenight000: ガチ勢ほど、弱キャラには興味ないから弱キャラがどのぐらいの強さなのかわからない
[3728.908] gajonaori: もうリュウは下駄履いてキックの射程伸ばせ
[3742.878] prisira: 棒より杖の方が強い何でかは知らない
[3746.451] konechan013: リュウは杖と風もらおう
[3754.555] johndoe6523rp: 今思えば剛拳もパッとしなかったな
[3757.584] heijitusan: バージルの剣も全通常技に神経ないから強いよ
[3788.842] gajonaori: リュウもSAで前髪かき上げ始めたら強くなる
[3789.109] (S)日本語かな: アルカプのバージルの剣に神経通ってたか？そう言うことよ
[3825.494] TB2117: リュウは十手持って面つけてキャラ変しよう
[3825.620] (M)Moobot: ～ 新ヘッドセット登場 ～ HyperX Cloud III → 空間オーディオの臨場感で楽しくゲーム出来てます https://hyperx.gg/42XVwOf
[3832.128] ババシャツ: 修行により行き着いた先が武器は可哀想すぎる
[3844.421] かべ_娘は双子: あんなヒットの仕方もあるのか
[3848.208] sariechan: うめちゃんでも起き上がり昇竜でないんか
[3849.872] hamham9999: みんな言ってるけどやっぱそうなんだ
[3851.572] (S)gorogorogorn: ベースが足りん
[3852.090] maddy2623: リバサはどうにかしてほしい・・
[3852.185] (S)日本語かな: リバサむじい
[3853.294] hisotensokuzei: みんな出ない
[3853.997] prisira: リバサは修正入るんちゃう？
[3854.056] ペプシ男: リバサマジでむずい
[3854.376] LooseDash: ほんとうにリバサの猶予短すぎる
[3854.559] 0mantv: ｶﾀｶﾀｶﾀ
[3854.969] (S)はいぺろ: 端攻めエグすぎw
[3859.740] chinnen1: そして出たときはガードされてるという
[3860.147] (S)pompom393: そこでモダン
[3860.848] kamonan_9: ムキになってリバサ試し続けて全部くらうわ
[3861.567] bumpy671: リバサむずい
[3865.749] maddy2623: ほんとそれ
[3865.850] sstteex: まぁね
[3867.004] 風水ライダー: 確かに出て欲しい時出ない
[3873.588] かべ_娘は双子: リバサムズいねぇ…
[3875.124] (S)gorogorogorn: 4フレじゃないん？
[3877.103] aobara0208: モダンでも出ないんだよなぁ・・・
[3879.833] johndoe6523rp: それみーーんな言ってるのになあ
[3881.040] tamacho: カプコン聞いてるか
[3881.557] LooseDash: やっとリバサ無敵技出せたと思ったらガードされてんだよな・・・
[3882.181] esutark: 今日は暴れる有象無象を退ける強い意思を感じる
[3886.626] playatlas: なんか理由があんのかな
[3886.694] gisvmpwf: モダンを使うのでーす
[3889.623] gatsbyin: 異論は認めない( ｰ`дｰ´)ｷﾘｯ
[3889.941] (S)matoo0777: リバサ昇竜はまじででない。むきになると負ける
[3890.689] hamham9999: カプコン聞いてるか？
[3893.290] gajonaori: モダンは連打してたら出るがｗ
[3905.292] ゆきおん: モダン使えってことか
[3905.960] akasanz3x: 全てさんが怒ってるぞ・・・
[3913.081] gftakataka: しかも、ようやく出た昇竜はガードされる
[3915.646] stnidic: リバサはモダンのためにわざわざ出しにくくしてるぐらい出ない
[3917.716] sigurenigame: 出るか出ないかは観測するまでわからない
[3918.200] ぬーぼー2: 猶予5Fは構わないがラッシュで入力が飛ぶのがストレス
[3918.496] TB2117: クラシックの人離れていっちゃうよ
[3919.240] pianoniisan: 石井プロも毎回配信でキレてる
[3920.206] prisira: 何も起こらないなｗ
[3922.918] おひぐ: 出そうとした昇竜でなくてくらう×N、次に出た昇竜は様子見ガードされるあるあるすぎる
[3924.554] scottiever06: なんか検証してた人いたな
[3927.482] chanmipoin: このゲームそういうの多いやん、コマンドが消えたりだとか
[3928.813] lare153: ラッシュ出せないって声多くて修正されたしリバサ昇竜も声多くなれば変わるかも
[3929.825] blueplanet96: イウサールよえーｗ
[3930.432] ysoksug: ラシードとかDJ戦やると一人でぴょんぴょん跳ねてコンボ重ねられてる間つまらないんだよなぁ
[3930.766] (S)chicken_dumpling: lmao. just hold parry for all rashid BS
[3931.220] bumpy671: リバサそんなに難しくしたら読み合いもへったくれもないやんなー なんとかしてカプコン
[3939.328] Siriaru0520: ヒトボだとガチャれないしね
[3939.475] magayanen: ラッシュの暗点でコマンドが潰されるんだっけ？
[3940.281] lesame: うめちゃんを怒らせたらたいしたもんだよ
[3943.159] xxpik0xx: リバサでない→相手重ねてる→リバサでない→相手重ねてる→リバサでた！→あいて様子見
[3943.308] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典があります → https://bit.ly/2YE2nLB
[3944.434] Moneybagzzzzzzz: goofy ahh rashid
[3945.789] momomo00123: イウサールで2ゲージ分のリターン取れてるラシードもう居ない説
[3947.827] prisira: ギルティとかも猶予短いとか聞いたけどどうなんやろ
[3949.345] heijitusan: リバサもだけどスパキャンも出にくい気がする
[3949.688] berurusuko: イウサールで画面端作れてる時点で一定の成果なんよな
[3951.576] 0mantv: こうなるのか
[3965.507] guilegairu: おれを獲れ面白過ぎてコロナ治りました
[3989.145] かべ_娘は双子: ラシードってこんな変な嫌がらせばっかするキャラって本人の性格と合ってる？
[3989.442] ちゃむんぽ: 仕様かどうか
[3989.752] stnidic: あとラッシュで入力消えるのも直してほしい
[3990.394] (S)yomoyansan: 5で散々メシ食われてたから対処に慣れられてる感あるイヴサール
[3992.092] blueplanet96: ヲシゲ仕事しろ
[3994.637] (S)日本語かな: リバサ昇竜使用してたら氏んでた、あるある
[3995.634] 記入漏れ: 無敵技を弱くしたいんでしょう
[3996.180] LooseDash: ギルティはダウンリバサの猶予がありえんみじかい 何でかは知らない
[4004.273] ぴーなつ8: まじでリバサは出ない
[4007.600] moricocoa: GGSTは2Fじゃなかったっけ
[4008.137] (S)pompom393: ぴったり
[4010.900] ~MISSING_COMMENTER_INFO~: カプコンさんおねがいします
[4011.719] てんまくん: 今の昇竜もリバサ出てなかったね、猶予が足りな過ぎる
