[14.698] ちくお: っわこらだ
[370.552] michio0106: でもスパチャ欲しいんだろ？
[371.347] すいぺりあ: ﾆﾁｬｧ
[371.390] kalpiswota: V特に
[371.545] mochimochi_mochimochi: CRカップばんざい！！！
[371.820] 灰色_灰色: わこらだ
[371.975] もんじゃ焼きたべたい: 昨日友達に進めたら
[372.016] creamwarabi: radaoKansya
[372.042] くりすぴーぴざ: 20万人おめでとうございます🎉🎊
[372.513] owlf_edamame: 相変わらず棒読みなの草
[372.733] (S)ここねり: あ
[372.846] yuna_aaaaaaaaa: あ
[372.937] kohak_utou: わこらだーおめでとう
[372.946] みりまんじゅう: わこらだおめでとう
[373.019] kuri_1112: こんなピノキオがいてたまるか
[373.475] salt_na: もっと人気になってくれよな
[373.589] papikon_0714: おめーーー！！
[373.691] かがりごまだれ: バレないとなんで思ったんだ
[373.744] uki_1205: ずっと更新してたもんね
[373.849] mikankan693: かわいいな
[374.395] venawy: 良いことです
[374.501] ici1411: あ
[374.831] ponpoko_no_pon: リスナーには嘘はつけませんよーーーー
[375.153] ayunosioyaki0223: それはそう
[375.240] loupe_5385: たしかに
[375.329] creamwarabi: radaoKansya
[375.676] tako23456: なにす？
[376.022] runa_xx1023: ニコニコしてんのわからんから実写いこ
[376.071] たるたるたると: 流れてきてるねー
[376.536] (S)jasmugi: 20万人おめ
[376.776] myuu2001: ﾆﾁｬｱ
[376.829] (S)かみまろ: radaoKansya
[377.558] yua_0214: わこらだおめでとう
[378.288] having_harumaki: 腕組みながら話してます
[378.410] (S)encry_02: たしかに
[378.509] creamwarabi: radaoKansya
[379.866] (S)バナナチ: radaoWakotu
[380.110] oo1016: それはそう
[380.164] aoisorazora: これからも応援してます！
[380.383] mrain_33: わこらだ ぽめ
[380.670] miimii1225: ニコニコは？
[380.813] 紗弥0926: お
[381.151] (S)yona_0724: お
[381.351] すいぺりあ: radaoKansya
[381.433] yakuza_isi894: ママリス注意警報出てるよー
[381.645] (S)星空くん: わこらだ
[381.837] mimitabu_92: たしかに
[382.077] えびとまと: それはある
[382.750] 黒い探偵: 顔出し？
[382.828] acha0922: わこらだおめでと
[382.879] mikan_san: ドッジとか？
[383.072] t4ni_yuu: 雑談((o(｡>ω<｡)o))
[383.326] (S)kurau___: お
[383.622] (S)ichigomilk_252: たしかに
[383.739] 檜山尚人: らっでぃそういうの目ざといからな
[383.758] (S)oremin_003: わこつ
[383.820] ピポ助: わこらだーおっめぇ
[384.534] omizzu: らっだぁが20万人達成したせいで失恋しました
[384.677] tako23456: すぷらで
[384.991] きのお: たしかに
[385.286] agtwk: おめでとう(*´ω`*ﾉﾉ☆ﾊﾟﾁﾊﾟﾁ
[385.499] zinbee114514: おめおめ
[385.509] ぎょろっとみかん: あぺ？
[385.763] 梨一: あぺする？
[385.893] (S)ゆう77: お
[385.916] bloccolieee: アペ練習しよ
[385.960] kiminonamo: よかったねぇ
[386.451] (S)PEI_OwO_: やったー！
[386.692] tokotto: cr効果
[386.866] rawalpi: あぺ？
[387.289] (M)あずまっくす: radaoWakotu
[387.625] (S)na_narunru: アペ？
[387.756] (S)koukoukoy: わこらだ！おめでとう！
[387.978] kureemuobasan2142: 腕組むな
[388.298] (S)rui_sk39: よいしょ
[388.688] mizyu26: mod見つけてきた？
[388.755] kiba_1129: 尚ママリス0人
[389.142] pipipi334: 浸るだけ配信
[389.153] ふーら: あぺ？
[389.372] はるきち02: 20万人いったから毎日配信してくれ
[389.724] kino_0812: あぺやろ
[389.747] s_i_i_a: おめ
[390.426] tunatubaki: おめでとー！
[390.480] hitorinbo_0605: アペ練習
[390.500] 20070217_: なにするぅー？
[390.601] (S)ここねり: あぺ？
[391.024] 8分19秒: だからこそのくそコメントもふえる
[391.636] (S)escargot0331: escargot0331 subscribed with Prime. They've subscribed for 5 months, currently on a 2 month streak! 20万人おめ🎉
[392.049] (S)ミラティブ: ***やってほし
[392.203] ayunosioyaki0223: アペ練する？
[393.035] (S)しかくのさんかく: おおお
[393.409] ぎょろっとみかん: お
[393.520] zinbee114514: 🍎
[394.199] tera_takan: あぺ
[394.217] (S)kurau___: やたー
[394.233] shinr91: valorantみたい
[394.424] ta_tago: やったー
[394.672] はんなりパン: 実写であぺ？
[394.676] enpt___qmq: あぺ？
[394.891] kureemuobasan2142: おけ
[394.956] esuteru_03: あぺ？
[395.332] meg_rita: やた
[395.427] nekomaccha: なにするんー？
[395.988] kinon00: ゔぁろ？？？？？？？
[396.012] (S)ディンダン: お
[396.189] たほ: やったぜ
[396.221] kalpiswota: かわせさんなんか言ってたよね
[396.240] yuna_aaaaaaaaa: おお
[396.414] hatiti88: あぺじゃろ
[396.440] (S)jasmugi: お
[396.520] (S)PEI_OwO_: おおお
[396.525] いずえいと: あぺ？
[396.621] (S)shi_n_tou: てか明後日だよね？
[396.625] ogaoga7815: おおお
[396.639] かがりごまだれ: 何やるんだい？
[396.703] きのお: あぺ？
[396.724] tsuM6G1_: お
[396.755] カズの子だよ: エペ練
[396.971] (S)poru1010: あぺ
[397.011] (S)ゆきとよ: お
[397.199] (S)ドコサヘキサエン: お
[397.619] riin_2020: あぺ？
[397.825] 伊丙カオル: あぺは？
[397.855] kappon23: おお
[397.949] (S)yona_0724: やたー
[398.014] shinr91: valorant
[398.095] くろばり: おっめぇ
[398.108] (S)ichigomilk_252: お
[398.138] (S)paseri_tabero: kurohamu05 subscribed at Tier 1. They've subscribed for 7 months, currently on a 6 month streak! 
[398.151] kulage0309: わこらだ20万おめ
[398.197] a_kyasu: おお
[398.204] Mini_ken2131: お
[398.370] peace3511: わこらだ
[398.523] ayunosioyaki0223: おー
[398.563] r0_0Ru_ruru: おお
[398.586] kankitukeijyosi: 大きくなりやがって、、、
[398.590] nao_naon: ドッジ
[399.029] (S)dokokara_dokomade: おー
[399.145] ame_ume: あぺ？
[399.382] rokunome: やったー
[399.503] (S)kurau___: がんばっえ
[399.931] (S)junjun_911: 巨漢あぺ？
[400.167] kappon23: 楽しみ
[400.194] michio0106: ドッヂボールから逃げるな
[400.383] tukuyomi513: お
[400.387] tommyy_0430: あぺ？
[400.798] chura6666: おめでとう〜〜〜〜〜！！！！！
[401.188] (S)shige__maru: お
[401.253] tomo__04: やたー
[401.410] アストモ: APEX？
[401.423] (S)marimoko6231: お！
[401.498] (S)ルヲフ: おめでとう
[401.521] kiminonamo: お
[401.531] nobume0v0: アペ練しないとやばくない？
[401.606] (S)福茶丸: 大会近いよね
[401.639] sugikafunn: お
[401.834] runa_xx1023: やたーー！
[402.275] (S)shi_n_tou: やった
[402.313] みつおうぎ: 立派なアペ配信者だね
[402.382] owlf_edamame: あぺいいね
[402.529] loupe_5385: あぺやってあぺやってあぺやる？
[403.142] oo1016: アペってもいいのよ
[403.202] sonopiti: わこらだ
[403.252] wasurete_shimae: ごっこでもやるか〜
[403.369] らるとす_99: 大会あるしね
[403.590] れいおん_: わこらだ
[403.596] enpt___qmq: お
[403.627] t4ni_yuu: (￣0￣)/ ｵｫｰ!!
[403.855] mono_0114: お
[403.963] toubun__: 今日カスタムでないの？
[404.058] (S)kopepe_: わこらだおめ
[404.133] creamwarabi: radaoNannan
[404.595] ta_tago: お
[404.635] hururun86: がんばえー
[404.689] (M)Nightbot: らっだぁ切り抜きチャンネルはこちら→https://www.youtube.com/channel/UCh-qC7-Ru8a54apFdHnASsA/
[404.789] EBImaru_0098: 手元？
[404.850] rin_0505: 巨漢は？
[404.874] skz46_: マイクラ？
[405.154] ruu_ha: 大会あるからな
[405.369] (S)taito001: 巨漢？
[405.429] winwindows01: アペしよ
[405.702] mikan_san: あぺは明後日だからね
[405.891] (S)ドコサヘキサエン: そうだねがんばれ
[406.076] (S)dokokara_dokomade: そうね
[406.268] ささざら: 久しぶりにみみず
[406.286] 鉛筆びー: お
[406.287] amara_2401: あぺ……
[406.495] (S)PEI_OwO_: 大会だもんね
[406.708] あなりーぺに: ドッヂボール飽きた？
[406.739] (S)goodfriends02: お
[408.202] kotehan31415: 逆凸やらんの？
[408.263] (S)ディンダン: おお
[408.364] _さらん_: お
[408.407] tsuM6G1_: いいね
[408.413] (S)atuono: 巨漢はなし？
[408.425] ﾏﾛ: Cheer5000 わこらだ！20万人おめ👏👏👏
[408.426] kainn_1114: おー
[408.445] yugamiru187: 大会あるんだろ？
[408.490] ごり之すけ: 練習しないとね
[408.502] nasu_nonasu: いいね
[408.563] kappon23: いいねえ
[408.620] pichu_0412: すぷら？
[408.801] (S)dia11313: アペしかねぇだろ
[408.866] さらんらん: いいね
[408.866] creamwarabi: radaoNannan
[408.982] ふれーく: それはしゃーない
[409.119] (S)バナナチ: ドッチみたいなぁ
[409.216] ツキミコ: 大会あるもんね...
[409.544] s_i_i_a: あぺたすかる
[409.744] (S)tomo_spl: 今北！おめでとう！！
[409.748] wasurete_shimae: きた
[409.956] riin_2020: お
[409.969] (S)ツキ猫: ツキ猫 is gifting 10 Tier 1 Subs to らっだぁ's community! They've gifted a total of 10 in the channel! 
[409.978] (S)kurau___: あー
[410.016] 紅茶まみれ: お掃除する？？？
[410.080] ta_tago: 一人で出ないの？
[410.088] kikibellf: 顔だしありがとうございます
[410.140] tommyy_0430: おやすみ配信？
[410.289] _こっぺぱん: へー
[410.610] runa_xx1023: あら
[410.665] nekomaccha: あぺ??
[410.810] とんかつどん3: valorant
[411.121] (S)ツキ猫: ツキ猫 gifted a Tier 1 sub to 0820mairingo! 
[411.192] (S)ツキ猫: ツキ猫 gifted a Tier 1 sub to むとちゃん! 
[411.248] (S)encry_02: じっーしゃ、じっーしゃ
[411.256] (S)ツキ猫: ツキ猫 gifted a Tier 1 sub to dagaxa4! 
[411.298] (S)ツキ猫: ツキ猫 gifted a Tier 1 sub to oyasai_! 
[411.412] (S)ツキ猫: ツキ猫 gifted a Tier 1 sub to うたげ! 
[411.420] (S)ツキ猫: ツキ猫 gifted a Tier 1 sub to kome0310! 
[411.489] (S)ツキ猫: ツキ猫 gifted a Tier 1 sub to aira03! 
[411.576] esuteru_03: いぇぇい！
[411.674] (S)ツキ猫: ツキ猫 gifted a Tier 1 sub to ai_37210! 
[411.705] (S)ツキ猫: ツキ猫 gifted a Tier 1 sub to ko__hina_! 
[411.731] (S)ツキ猫: ツキ猫 gifted a Tier 1 sub to ic_moon! 
[411.985] デデヂデ: 明後日やんけ
[412.586] (S)ドコサヘキサエン: あら
[412.782] creamwarabi: RitzMitz
[412.876] 伊丙カオル: ありゃ
[412.931] (S)ぱんだぁぁぁ: おおー
[413.025] (S)mmoonneeoo: ありゃー
[413.806] venawy: 大会ぶっつけ本番なんだってね
[414.725] 紗弥0926: ありゃ
[414.764] (S)peroki0531: ほんとだったらスクリムだもんな
[414.837] oo1016: まぁ好きにやっていきな
[414.858] mikankan693: めっちゃテンション高いやんけ
[414.877] creamwarabi: radaoNannan
[415.362] あらんえむかーびぃ: ｗｗ
[415.434] yuity_: ソロカスタムいこw
[415.726] toki_ra: apexひとりでカスタムでろ
[415.943] (S)しかくのさんかく: wwww
[415.949] (S)jasmugi: ｗｗｗｗ
[416.104] odeko00: odeko00 subscribed at Tier 1. They've subscribed for 21 months! おめ
[416.142] zomukyo_i: あぺる？
[416.392] (S)ruchi_13: ぶっつけ本番頑張って
[416.601] tsuM6G1_: がんばえー
[416.608] かがりごまだれ: かんばえ
[416.628] runa_xx1023: WWWWWWWWWWWW
[416.644] カズの子だよ: 近いなー
[416.647] tamatama525: スクリムでるの？
[416.650] (S)ichigomilk_252: せやな
[416.835] (S)yona_0724: wwww
[416.840] (S)かみまろ: おぉー
[417.065] subaru_41: radaoKonro
[417.189] らるとす_99: っw
[417.248] c_kuma76: ありゃ
[417.415] himasugiruhito: www
[417.429] sugikafunn: もう明後日だっけ？
[417.644] esuteru_03: 明後日なのか！！！
[417.681] namazuuun_: いいね
[417.793] (S)ゆきとよ: ｗｗｗ
[417.862] nattu__: 一人でランドマーク取ってこい
[417.926] ごり之すけ: 1人で乗り込めばw
[417.930] skz46_: わこらだグッズとどいたよぉー
[418.232] pipipi334: ドッジボールの魅力教えて
[418.440] (S)ruan_mt9: OWやる？
[418.453] kappon23: がんばれ！！！！！
[418.475] (S)goodfriends02: 頑張れよ
[418.647] (S)rui_sk39: ww
[418.725] ta_tago: www
[419.045] sjindoa: wwwwww
[419.051] (S)shi_n_tou: radaoWakotu
[419.057] kureemuobasan2142: おお
[419.149] (S)ミラティブ: スリザリオやってほしいなぁ
[419.639] meg_rita: 忙しいなぁw
[419.659] 雪華0830: わこらだー
[419.749] dt_apa: ノックアウトシティは？
[419.795] (S)福茶丸: 巨漢楽しみ！！！
[419.808] _こっぺぱん: wwww
[419.821] kankitukeijyosi: あぺか
[419.824] _さらん_: あぺ練はして
[419.930] みりンゴ: wwww
[420.057] (S)kuuuuuuuuchan: wwww
[420.239] ねぎカレー: radaoOkane
[420.264] (S)daizu___mame: やばやん
[420.293] 燐だよ: wwwwww
[420.816] (S)dokokara_dokomade: wwww
[420.857] (S)PEI_OwO_: radaoSekiyu
[420.900] 鏡神: 巨漢復活やでな
[421.032] ~MISSING_COMMENTER_INFO~: 大会あるしね
[421.142] みずいろか: wwww
[421.151] (S)abokadooisii666: きょかくらいつ？
[421.233] nekomaccha: 頑張れよん!!!
[421.280] すいぺりあ: ぶっつけだもんね
[421.307] (S)kijinrin: ソロで行けよ()
[421.551] kiminonamo: www
[421.725] yugamiru187: 巨漢で出るんだろ
[421.804] 梨一: wwwww
[421.926] (S)星空くん: それぞれコラボ中だっけ？
[421.934] r0_0Ru_ruru: ｗｗｗｗ
[421.971] えびとまと: radaoSekiyu
[422.011] mikan_san: uuum
[422.566] roy_rag: ぼっちでのりこも
[422.698] sugikafunn: www
[422.788] rafalec2013: ソロでいこ
[423.121] (S)gorigori_kun: YouTube100万で金盾をツイッチで開封配信してほしい
[423.731] (S)mochimochiku: radaoSekiyu
[423.848] ぎょろっとみかん: かわすみてぇてぇしてる
[423.911] (S)FU_U03: ww
[423.941] (S)ディンダン: そやったね
[423.973] 6choco2: おめでと
[424.022] (S)ゆう77: radaoSekiyu
[424.097] まりもころころ: radaoSekiyu
[424.265] kankitukeijyosi: おおお
[424.520] kabinohaetamoti: ソロ参加？
[424.693] (S)すぃま: radaoSekiyu
[424.782] iononrada: ソロカスタムいこ
[424.940] huku_mm0v0: www
[424.944] とっとこみんたろう: ＯＷ?
[425.231] (S)atuono: あらま
[426.039] a_kyasu: www
[426.217] ruu_ha: www
[426.274] (S)goodfriends02: radaoSekiyu
[426.276] きのお: あら
[426.427] ぐれぶる: OWはいいぞ
[426.526] (S)かみまろ: radaoSekiyu
[426.649] (S)ruchi_13: wwwwww
[426.861] (S)しかくのさんかく: しゃーないねｗ
[427.061] rinne1221: www
[427.064] (S)mmoonneeoo: OWしながらあぺしろ
[427.207] 紅茶まみれ: お
[427.275] radodo26: カスタム1人で出れないの？
[427.283] mpru: えっ
[427.307] mono_0114: ソロ？
[427.420] くりすぴーぴざ: 20万人おめでとうございます🎉🎊 Cheer1000
[427.483] pochi_po: 忙しいね
[427.723] yossii63: ソロで乗り込も
[428.251] soumen652: スクリムなしってマジ？
[428.271] たるたるたると: ｗｗｗｗｗｗｗ
[428.959] (S)前髪が長い: 先約は仕方ないよね
[428.987] ayunosioyaki0223: やばwww,
[429.019] ぎょろっとみかん: wwwwwww
[429.169] みつおうぎ: らだお１人のほうが嬉しいよ
[429.219] nasu_nonasu: ソロ凸
[429.222] みどふぃ: wwwww
[429.341] aoisorazora: カスタム大丈夫？
[429.405] カズの子だよ: ええぇ…
[429.431] ten_nen_sui_: ふぁいとー
[429.449] koniro_: あり
[429.479] ピポ助: お絵描き伝言とかみたいな
[429.532] (S)ディンダン: radaoSekiyu
[429.553] ねぎカレー: radaoSekiyu
[429.671] (S)dia11313: 乗り込む？
[429.700] wasurete_shimae: 振られたな
[429.924] pirokasugg: www
[429.930] aro_2111: w
[429.980] 蛍_: 紅白楽しみだ
[430.134] arasin2157: wwwww
[430.328] ひのした: wwwww
[430.349] amaebi____: あー
[430.370] (S)yu_ai89: radaoSekiyu
[430.507] n_paa: oh…w
[430.529] (S)oootyao: ww
[430.544] (S)のこ汰: radaoSekiyu
[430.585] 檜山尚人: APEXが仕事みたいになってきたね
[430.607] (S)goodfriends02: www
[430.721] (S)nehar_maki: アグレッシブやな
[430.876] loupe_5385: ソロスクリムいかないんですか！？
[430.961] yuzu0331: wwwwww
[430.974] nobume0v0: しゃーなしw
[431.023] s_i_i_a: なんでよww
[431.124] (S)mikuru_minto75: radaoSekiyu
[431.153] _ほたる_: wwww
[431.376] (M)あずまっくす: いつ練習するん？
[431.451] pichu_0412: スマブラは？
[431.468] k_taronosuke: 応援してるゾォ
[431.492] toki_ra: 一人でカスタム行け
[431.533] hururun86: 浮気？
[431.597] (S)ichigomilk_252: wwwwww
[431.598] はるきち02: uuum
[431.844] esuteru_03: 忙しいねぇ
[432.173] meg_rita: おばうぉ......
[432.207] 週末_: そっちがさきやからしゃーなし
[432.378] (S)shige__maru: wwww
[432.423] (S)ruchi_13: 仕方ないよw
[432.552] ドロッと食感: ソロでカスタム参加したら？
[432.617] kyouka_ky: wwwwww
[432.745] お湯割り: wwwww
[432.832] pu_tyan: www
[432.942] yua0027: 明日たのしみ
[433.043] (S)そおお: ひとリで出るかカスタム
[433.045] miimii1225: ぼっち
[433.158] amaebi____: wwwwww
[433.259] Suima2525: www
[433.264] (S)スペルタン: 仕方ない
[433.471] kankitukeijyosi: ありゃ
[433.786] らるとす_99: 誰かとするの?
[433.943] (S)tomo_spl: 忙しいなー
[434.022] yossii63: 乗り込みに行こ
[434.402] 佐藤太郎のちゃんねる: あらw
[434.438] runa_xx1023: 今日もらっだぁの声聞けてよかった
[434.620] かがりごまだれ: 忙しいね、うん
[434.999] (S)shinichan227: owなんてやってる場合かよ
[435.096] kalpiswota: 逃げたらダメだからね
[435.229] mpru: 分身しろ
[435.285] inasaku1739: ヒカキンさん→ギアさん→らったぁ
[435.458] lara_3o: wwwww
[435.507] aiueo52780: wwww
[435.699] mokumoku1126: みんな忙しいもんね
[435.708] (S)ディンダン: 合わなすぎて笑う
[435.763] しなやかしょうゆ: しゃーなしw
[435.988] (S)ぱんだぁぁぁ: wwwwww
[436.205] aisathank: ぶっつけ本番じゃーん
[436.214] (S)ドコサヘキサエン: 巨漢忙しいね
[436.417] mimitabu_92: wwww
[436.988] (S)ゆきとよ: そうわね
[437.036] kiminonamo: 忙しないね
[437.184] ayunosioyaki0223: wwwwwww
[437.283] mira_889: 1人でカスタムでよ
[437.316] yutsunu: なめくさってんな
[437.362] (S)めろぅ: オバウォきちゃ！！
[437.492] yasino1504: 20万人おめでとうございます👏👏
[437.583] mikan_san: 感覚狂わんの？それw
[437.597] すいぺりあ: 約束はしょうがないよ
[437.607] (S)kurau___: しかたないね
[437.681] deeno_vl: カスタムソロでいこ
[437.722] subaru_41: radaoKonro
[437.785] tokotto: しゃーなし
[437.921] (S)atuono: ちょうど揃わんやん
[437.954] Miriotta: www
[438.123] medo_710: カジュアルだしね
[438.377] ~MISSING_COMMENTER_INFO~: 草
[438.564] iononrada: ソロで乗り込も
[438.603] _こっぺぱん: マクリーでウィングマンの練習
[438.791] masao0203: wwwwww
[439.068] (S)こまし: しかたない
[439.091] anp01008: ふざけとる
[439.156] (S)shi_n_tou: 明後日の言い訳決まった？
[439.443] sosko3260: ｵﾊﾞｳｫ嬉しい
[439.594] yakuza_isi894: ソロカスタムはエグいてぇー
[439.806] rekuron379: www
[439.832] nyoiiinsan: わこらだ！おめでとう🎉
[439.844] aoisorazora: 明日楽しみ！！
[440.041] (S)ねねねい: しゃーないこれは
[440.284] kuri_1112: お前ももう陽キャだな…
[440.521] (S)ichigomilk_252: 忙し
[440.642] (S)dokokara_dokomade: まぁしゃーない
[440.691] meg_rita: しゃーないね
[440.730] nattu__: ランドマークどうするの？
[440.852] kino_0812: そうわね
[440.993] t4ni_yuu: レペル上がるのはや
[441.117] 8分19秒: 舐めプですか？
[441.216] mimitabu_92: しゃーなし
[441.292] (S)dia11313: wwwwwwwwww
[441.337] strawberry_7_2: wwww
[441.341] ゆのちゃ: ゆのちゃ subscribed at Tier 1. They've subscribed for 22 months! 
[441.505] tamatama525: ランドマーク大変じゃん
[441.508] えびとまと: 忙しいねえ
[441.951] 伊丙カオル: 忙しいね
[441.952] もんじゃ焼きたべたい: 昨日友達にらだお勧めたらマイクラも、青鬼も知らんかったわwww
[442.046] ~MISSING_COMMENTER_INFO~: wwwwww
[442.201] (S)kuuhaku417: wwwwwww
[442.254] (S)ずつうがいたい: まじかww
[442.528] yugamiru187: ぶっつけ本番でしょ？
[442.786] ひのした: もう無理だw
[442.837] 檜山尚人: www
[442.902] k_taronosuke: 忙しいなｗ
[443.091] (S)のこ汰: wwwww
[443.300] tomo__04: おば
[443.300] たほ: しゃーない
[444.050] (S)PEI_OwO_: まぁしゃーないね
[444.075] winwindows01: www
[444.144] tunatubaki: 忙しいんだね
[445.204] kelutan_1128: 予定ぎゅうぎゅうだな
[445.418] (S)oootyao: しゃーなしw
[445.427] はむおくん: 絶対コメントくるよ
[445.605] もねねん: うれしい
[445.627] (S)yona_0724: メンツまだ公表してないよね
[445.639] hi_oyu: 一人でカチコミ行って
[445.673] enu_xo: 忙しいね
[446.158] ふぁじぃ: 巨漢ならいけるよ
[446.349] owlf_edamame: 頑張れー
[446.626] yossii63: ランドマークどうすんの？
[446.825] riajuboon: ぶっつけ本番ってことか
[447.452] (S)atuono: 朝やるしかない！？
[447.894] マカライト: モヤモヤしながら楽しんでこい
[448.119] a_kyasu: 忙しいなw
[448.445] 佐藤太郎のちゃんねる: しゃーなし
[448.664] わらびモち: 全員での練習はない、とw
[448.792] カズの子だよ: アペ連しなさいな…
[449.000] (S)chuwann: ソロで乗り込むか
[449.026] 蛍_: 誰に誘われたん？
[449.197] いずえいと: ソロ行こ
[449.792] kino_0812: 引っ張りだこらだ
[449.958] kend5656: 仕方ない
[450.235] (S)ruchi_13: カジュアル大会やから
[450.394] (S)mmoonneeoo: 両方同時にこなせば大丈夫だよ
[450.449] toma_neko: そうね
[450.479] ひのめ: 忙しいわね
[451.585] ボンレスブス: 1人でランドマーク取りに行こ
[451.675] tantana03: わこらだ
[451.732] oo1016: 急に決まったもんな
[452.246] たるたるたると: メンバー前回と一緒？
[452.316] 神威という者: メンバーひいっしょ？
[452.437] tommyy_0430: がんばれ！
[452.480] ringo_ame_0141: しゃーなし
[452.717] きのお: 当日挑むの凄い
[452.816] kalpiswota: 優勝したらおもろい
[452.867] (S)sakiritu: 楽しそうなMOD来てたからマイクラしよな
[453.079] yossii63: ランドマーク決めらんないじゃん
[453.498] daifukt: しゃーなし
[453.702] ぱたりろ: 二人で練習してるよ💦
[453.795] (S)peroki0531: だれだろ
[454.110] ta_tago: しゃーなし
[454.303] かがりごまだれ: 言い訳マンション建築するかい
[454.970] (S)ゆきゆた: 忙しいわね
[456.319] rina_1113: 草wwwww
[456.448] koronn1101: 昼練だよなぁ！
[456.508] itumi434: せやな
[456.526] ゆかりんりん: わこらだ！！！
[456.530] (S)ten154: ten154 subscribed with Prime. They've subscribed for 3 months! わこらだ
[456.658] もねねん: 全部楽しみにしてる
[456.835] (S)もっちにあ: ランドマークとかどうなるの？
[456.996] こしつぶ: 先約だからしゃーなし
[457.039] 紗弥0926: 練習無しか
[457.080] (S)まここま: まここま is gifting 10 Tier 1 Subs to らっだぁ's community! They've gifted a total of 10 in the channel! 
[457.443] _ほたる_: 嬉しい悲鳴だね
[457.942] kiba_1129: らだおは個人だからコラボ以外忙しくないもんな
[458.147] kankitukeijyosi: ワチャワチャやな
[458.164] (S)まここま: まここま gifted a Tier 1 sub to Mavisopus! 
[458.216] (S)まここま: まここま gifted a Tier 1 sub to Ozatsuma! 
[458.293] (S)まここま: まここま gifted a Tier 1 sub to Massyuuuu! 
[458.363] enu_xo: がんばってね
[458.462] (S)まここま: まここま gifted a Tier 1 sub to yuki_____1121! 
[458.486] (S)まここま: まここま gifted a Tier 1 sub to r_smdwf! 
[458.610] (S)まここま: まここま gifted a Tier 1 sub to otonatu! 
[458.619] (S)まここま: まここま gifted a Tier 1 sub to うかな! 
[458.712] (S)まここま: まここま gifted a Tier 1 sub to ﾍｯｸｼｭﾝ! 
[458.813] (S)まここま: まここま gifted a Tier 1 sub to ruruchanxx! 
[458.965] (S)まここま: まここま gifted a Tier 1 sub to sasadango_! 
[458.972] _さらん_: 誰とやるん？
[459.121] ame_ume: しゃーなし
[459.177] 8分19秒: 同時にどっちもやれ
[459.404] Miriotta: しゃーなし
[459.734] nobume0v0: ソロでカスタム行こうぜ
[460.437] iononrada: ソロいこ
[460.536] hururun86: らっでぃ人気者だからしゃーないよ
[460.820] よーーひ: ランドマーク取りで一人でいかん？
[460.911] radodo26: ソロカスタムいけぇ
[461.099] (S)しかくのさんかく: ぜったいくる
[461.528] pichu_0412: 余裕のOW
[461.656] ﾏﾛ: maroon1223 is gifting 10 Tier 1 Subs to らっだぁ's community! They've gifted a total of 279 in the channel! 
[461.747] (S)みみと: しゃーなし
[462.552] (S)ミラティブ: radaoIiwake
[462.601] えびとまと: radaoSekiyu
[462.632] カズの子だよ: なら明日はオールで色々やろう
[462.633] hatiti88: 片手ずつやろ
[462.768] ﾏﾛ: maroon1223 gifted a Tier 1 sub to bolo_egg! 
[462.838] (S)ゆきゆた: いいよ
[462.883] ﾏﾛ: maroon1223 gifted a Tier 1 sub to noonmoon521! 
[462.935] ﾏﾛ: maroon1223 gifted a Tier 1 sub to osashimin! 
[463.029] ﾏﾛ: maroon1223 gifted a Tier 1 sub to ばは! 
[463.074] ﾏﾛ: maroon1223 gifted a Tier 1 sub to あやさきぃ! 
[463.181] ﾏﾛ: maroon1223 gifted a Tier 1 sub to numenumm! 
[463.204] ﾏﾛ: maroon1223 gifted a Tier 1 sub to taku2253150! 
[463.314] ﾏﾛ: maroon1223 gifted a Tier 1 sub to yukaru0120! 
[463.336] aisathank: エンジョイだしね！
[463.353] kurokuroeroe: オーバーウォッチでエイム合わせ
[463.383] ﾏﾛ: maroon1223 gifted a Tier 1 sub to rinnnatu0223! 
[463.456] ﾏﾛ: maroon1223 gifted a Tier 1 sub to sitorin5024! 
[463.796] (S)ねねねい: radaoSekiyu
[463.872] gonnchan: えらい！
[464.028] kiminonamo: しゃーなし
[464.131] pipipi334: らっだぁって社交的な陰キャ？
[464.147] (S)ゆう77: radaoSekiyu
[464.914] (S)ここねり: そういえばグッズ届いたよ
[465.345] はんなりパン: 先約だもんね
[466.345] ｸﾛｲ: radaoOkane
[466.429] soumen652: 明日ソロで行こうぜ
[466.766] mina_0607: わこらだ
[467.224] yuna_aaaaaaaaa: せきゆおー
[467.271] (S)taito001: radaoSekiyu
[467.508] 週末_: そのコメントはうざい
[467.736] hi_oyu: radaoSekiyu
[467.984] oo1016: ランドマーク調べとけな
[468.091] (S)PEI_OwO_: radaoSekiyu
[468.171] らるとす_99: しゃーなし
[468.368] sogashi1232: ソロ行こ
[468.541] runa_xx1023: すーちゃん言ってそうボイチャで言ってきそう
[468.665] 12akina16: 忙しいわね
[468.685] (S)ここねり: radaoSekiyu
[469.036] riria0814: しゃーないね
[469.485] えびちぃ: 大富豪さん!?
[469.552] ta_tago: radaoIiwake
[469.637] (S)shige__maru: radaoSekiyu
[469.969] _ほたる_: radaoSekiyu
[470.245] ドゥルカマラ: わーい
[470.844] (S)wassann1118: radaoSekiyu
[470.846] (S)nashu_noike: radaoSekiyu
[470.855] anp01008: ぶっつけ本番じゃん！
[471.065] (S)ココっぺ: radaoSekiyu
[471.256] (S)mikuru_minto75: radaoSekiyu
[471.263] (S)mochimochiku: radaoSekiyu
[471.735] (S)_こなた_: radaoIiwake
